ParlaMint-NO_2010-03-22.ana.ud1354e66	The representative of Morten Höglund, who has been licensed, has once again taken his seat.
ParlaMint-NO_2010-03-22.ana.ud1354e1563	Thank you for the answer, which is essentially, as I see it, addressing today's system and to a small extent what is the question of the interpelation, namely new funding tools. I perceive that the Council of State essentially defends and explains a comprehensive toll usage that it has a broad local anchoring. It is at best a question that can be challenged, including: on the basis of the fact that no direct question is asked of the inhabitants of any of the municipalities concerned. I would like to challenge the scale, whether the current Minister for Transport agrees with the previous one of what was said in December 2008, ‘I agree that toll financing has received a large amount’, and whether one is satisfied with it. The follow-up question is: Is this necessary? That's what I tried to light up in my main post. Is this necessary when Norway is financially richer than ever before? We're getting financially richer and richer every year, we can be happy about it. But at the same time, we need to rust up, modernise and streamline our own infrastructure. Then we come to the new funding tools: how can we connect financial wealth with the need to invest in infrastructure? The response from the Council of State is largely about going a few rounds within the existing system, where everything is treated as if it were of 12 months' duration, when we are talking about, is building roads and railways that last for 40–50–60–70–80–90 years. We deal with the use of money for investments in infrastructure that will provide value creation for decades to come, just as we treat expenditure that has been used up and eaten up for 12 months. That's where we need to get a new funding tool. Then I hear the Council of State finally talk about the new round of rolling at the next new level. In the last rolling round, before the current 2010–2019 plan came into place, there were a lot of recordings. And there were also recordings from some of the parties that were mentioned here, LO and NHO. Reference was made to the need for new funding tools. But as in the hearing rounds with government and government parties, you obviously hear what you want to hear. Both from LO and NHO, a strong call has been made to change the budgetary system, to use a government loan scheme, to look at project financing to a much greater extent. Time doesn't allow to give more examples, but they're there.
ParlaMint-NO_2010-03-22.ana.ud1354e1574	I'll try to answer the questions in turn and orderly, for the first thing if I agree with the previous Minister of Transport that the amount of tolls is large. That's the answer, yes, it's a big deal. I am pleased that this is local initiative and local willingness for this to be even greater. I myself live in an area where I've seen what Rogaland has got out of different toll projects, and how one of them got tied up better together. There are still more projects, but both many individuals and a lot of businesses say that they like to be more interested if they are only strengthened. I thought it was worth listening to. There has been a strong increase in public funds here, and they will be strengthened further. We have a very ambitious national transport plan to follow up. Last Friday, we sent ten new draft evaluations in the order. That means ten new long distances to get closer, and it's going to get more. It's not the most important thing if we here provide for more OPS projects, or for other types of funding. The most important thing is that this is money at the disposal. That's what's happening now. There have been an increasing number of also public crowns – heavy percentages that I just referred to: 10 pst. from one year to another, 23 pst. Up there again. My question is, when we are going to roll this plan, to present a new big message in 2013, are we still going to bet on these two main sources of funding, i.e. government funds and tolls? Maybe so. But there are also contributions to other funding methods that I think we should discuss before submitting the message. That's why I have an open and listening handle.
ParlaMint-NO_2010-03-22.ana.ud1354e1583	We have now started on the first year of the National Transport Plan for the period 2010–2019. This is a plan to modernise our transport system and to ensure efficient and, not least, safe water, air, road and road traffic. In the national transport plan, there is an historic state investment. In addition, it is planned to take out the toll potential. Tolls as part of the financing before the transport sector have long and good experience in this country. Most toll projects are financed partly by public funds and partly by the funds that enter the toll stations. In recent years, both toll revenue and government fees have increased. I come from a district where we are surrounded by toll projects on many edges, a great western district characterized by islands, deep and long fjords and sometimes tall mountains. The E39 triangle has a continental connection for 30,000 islanders and the inherent removal of four ferry routes. Without tolls such as sub-financing, this project had not been implemented. The toll rate is lower than the ferry rate, and in a few years' time we run free on the route. At E134, once Åkrafjorden and Rullestadstevet were horror routes that all road users resorted to pass anytime of the year. The same thing applies to E39 over Stord. This could have engulfed a number of roadside improvements that have made life easier and, not least, safer to live for people in general and perhaps especially for business. What characterises these toll-funded projects is also not that there are rough luxury roads. There are safe, easily accessible highways with yellow middle stripe, cork more or less. For this reason, it has also been widely recognised in these projects, both locally and regionally, that road users themselves would contribute directly to the financing by having tolls as part of it. In most capitals, the business community has gone to the fore to get through these solutions. More and better roads faster have been driving. In my homelands, there seemed not to have been such a great disparity in party politics in eagerness to support toll collection in order to realize an important road project. Municipalities with spokesmen from the Progress Party – Askøy, Os and Austevoll – all have our active in this way. This is part of building the country. In any case, we in the West have seen that this kind of work must be done. Here in Austland, there are also several examples of the same thing. Interpellanten Sortevik's own party, the Progress Party, has, as I understand it, been the propellor and voice for tolls locally, among others. by the country's largest toll package, Oslopackak 3. The oil fund is interlinked as an alternative source of funding for road investment. The progress game is the game that usually suggests more money for most. It's been a long time since this party. If they had managed and had multiples in the last 15–20 years, it is very likely that we had no oil fund today. Nor could we have had an increase in the national transport plan of DKK 100 billion for the coming period. The use of tolls as a sub-funding source for road projects must be local and regional anchoring. The working party will support applications with local support. It's not like I love tolls, but it's a fact that some of the projects that have been realized because of tolls have given me both time and opportunities to love more. And it's love that the state alone has not been able to make right. That is why I have largely paid my tolls with joy.
ParlaMint-NO_2010-03-22.ana.ud1354e1602	It was good, then, that we did not spend them overnight – NOK 2,640 billion! There are many opportunities and ways to go when a country, based on its geographical location, is given opportunities for huge revenues and with this manage large national revenues that we have through oil and gas production, revenues that should benefit business and our citizens effectively through, among other things. ensuring effective roads. Many countries, including our neighbouring countries, which do not have large revenues from oil and gas, are able to manage their state revenues in such a way that citizens are not exposed to a large amount of fiscal taxes, taxes and tolls. Do we want to look a little further than our neighboring countries, such as the United States? Albania, Poland and Hungary, which have a completely different economic position from Norway, is in fact able to implement the development of motorways and other roads without using toll financing. So our neighbouring countries are able in a far more efficient and safe way to develop their infrastructure, including the road – I don't know if I'm going to say in spite, or if I'm going to say because they don't have much extra revenue from oil and gas production. Then it is surprising that the extra income of Norway as a country has actually resulted in too many people becoming both tailor-made economists and Uncle Screws who are trying to save money almost everywhere and implement regimes where others – and in this case the drivers – pay the bill. We know that the large majority in this Chamber want to receive toll financing. It not only has an economic impact on the individual driver, it is also crucial to powder political responsibility. In other words, you don't want a kid to place political responsibility on. The driver is today a dairy cow for the state. The country’s total car-related revenues in 2010 are DKK 60 billion. In addition to this, there are tolls. In the last period at Stortinget, more than 30 toll financing cases were dealt with. Total covered by this Decision for the collection of more than DKK 25 billion. We know that this will escalate violently in this period. In the adopted NTP, government parties claim that they are to carry out a bet on the road of approx. NOK 219 billion. The total revenue generated by the State through taxes and tolls is in the same period of approx. 700 billion kroner. In other words, the drivers finance the roads three and a half times during the period. Nevertheless, the government – I would say – has the gift of fear and says that this is a great initiative. So it's not a government that makes a bet, it's actually the drivers that finance this, three and a half times. The use of tolls for financing is expensive. Politicians at local and county level become hostages in every road cause, because the aftermath is so great, and the desire to give their own inhabitants a good path is very great. The use of tolls is unbelievably out of place socially and randomly, causing many large expenditures. The use of tolls in the world’s richest country testifies to politicians’ long, long - standing emergency. Then it is claimed from this pulpit that you have good experience with tolls. I would say, you shouldn't use words like ‘responsible’, ‘decisive’ and ‘responsive’ from this pulp, because it's actually the drivers that have been pushed over.
ParlaMint-NO_2010-03-22.ana.ud1354e1625	It is almost predictable that there will be little debate in Stortinget about the toll usage, because there are many parties in Stortinget that are eager followers of just using tolls. The government can use fund returns, can use government loans, can use project finance, can change the budgetary system, as many economists are calling for, to ensure state financing of road construction, but will not. Magnus Lagbøte made road standard in the Law of 1274. Unfortunately, Norway no longer has a clear and compliant road standard. The same Magnus Lagbøde introduced in the same law an obligation to ensure road maintenance. Unfortunately, this government has developed, expanded and increased a new road requirement: tolls for all users. There will be more on this issue in an interpellation debate tomorrow, then with the Minister of Finance who is taking part. But I fear that Minister of Finance Sigbjørn Johnsen is far more reprehensible for using modern financing tools than Sigbjørn Johnsen was as a county manager. Today, the Minister of Transport of the evening post says that she wants to ‘snow stones’ to get more money on the road and the railway. The name of the largest stone is the Ministry of Finance, and the boss is here tomorrow. In the small debate that has taken place, I have heard both the Minister for Transport and the representative Rommetveit from the Workers' Party boast of the good experience of building important toll projects. Let me then, for sure, stress that all of the over 30 projects dealt with here in Stortingen in the previous period were good projects and also supported by the Progress Party, but with a different funding. The drivers experience the effect of buying roads on payment is that they are expensive. So let me just end up with a little number, because I had some numbers initially. Between 1990 and 2007, that's what I've got some good figures on, 46 billion kroner have been paid in tolls to build important projects. But 15 billion of those 46 have agreed to pay the repayment costs. It is expensive to force the drivers to buy the road on payment. It is also completely unnecessary.
ParlaMint-NO_2010-03-22.ana.ud1354e1640	I'm taking a distance from the Progress Part's calculation piece. I also distance myself from parts of their vocabulary, e.g. the use of the word ‘gisler’ in this context. I should like the Progress Party, rather than grudge over the funds that have come in this way, and that have been materialized in the way, to at least feel a bit happy that there is indeed a significant number of both businesses and communities who are delighted that they have had this opportunity to help get to a better path. In Finn Island they now pay without a discount NOK 750 on a road with a small truck. They pay the same other way. They pay 200 kroner each way for a small car. I don't think everyone does it with the same joy in the 'now'. But at the same time, they're happy that they're now involved in financing a tunnel that will give Finnøy great new opportunities, because there's no big complaint above the level. There are questions about reducing the tariffs, assuming that there are far more running than anyone had expected. When it comes to the Eiksund connection in More and Romsdal, they're counting on a down payment period of 15 years. It now seems to be paid in six years. It tells me people are running, people are in and out. Whenever it is with OPS that the main finding is at a higher or lower cost than traditional implementation, and that gains can be derived through changing contract strategies within a system of ordinary government budget promises, I see it as important during this period to contribute to new forms of contract. That's what they're trying to do, for example. in Helgeland and the development of E6 combined with operation and maintenance for 15 years. So I would like to thank you for a neat debate, if anything shorter than I had expected. I think I have a lot of people with me when I say that it would be ideal to allow all the means to cross the tax haven too, but we also have other tasks in this society to solve.
ParlaMint-NO_2010-03-22.ana.ud1354e1655	So the debate is on case No. 6 is over.
ParlaMint-NO_2010-03-22.ana.ud1354e1671	In the last year, and in particular recently, there has been considerable noise in the public debate – wild and tourist interests on the one hand and breeding interests on the other. The noise has been a matter of many aspects, but this is mainly a debate on whether the development of the farming industry in Norway is sustainable in relation to the administrative responsibility we have for the North Atlantic wild species. The arguments are strong, sometimes one-sided, sometimes little objective from both sides. Opinions and views from different parts of the government and authorities are moving in a dim direction and that is why this interpellation was sent to the Prime Minister. It is difficult to see who is the leading, strong political hand in this conflict. It seems that a firmer political view or governance may be necessary. As a result, we must not lose a reputation for one of our most important and growing export industries, nor must we neglect our administrative responsibility for salmon. To make decisions that are right for the future, we need evidence-based information – not too much information, whether from the actors themselves or from the authorities. On the part of the authorities, there are strong statements, including: in a lecture I was on in Trondheim for a while back, where representatives from the Directorate of Nature Management said that the majority of salmon populations in Norway are either eradicated, threatened, vulnerable or weak, and that the cause, among other things, is is salmonius and escaped farmed salmon. They said about escape, that this is far beyond the limit of sustainability, and about the lack of control of wild fish salmonid problems, and that Norwegian farming is currently not sustainable in a wild fish perspective. They also said that the element of escaped fish in the broodstock is far above the harmful level, and that it is alarming in terms of lice. They also said that we will not be able to take care of our responsibilities if the farming industry does not get its environmental impacts under control. These are strong statements, especially when we know that Norway has one third of the world's remaining population of North Atlantic wild breeds. But then we also know – we who are engaged in value creation – that the farming industry contributes to economic growth and employment along the coast with an export value of well over DKK 20 billion. Involved in a nutritional context, the Norwegian farming industry may produce almost three times as much salmon as there is meat production in agriculture. We also know that farming, unlike agriculture, is a non-subsidized industry, which is growing strongly and is actually profitable, at least for periods. Population growth and increased protein demand in the world are expected to increase rapidly in the need for farmed fish, as wild fish are globally limited by the fact that the strains are often heavily taxed or over-taxed. However, fish health is a major concern in the farming industry. The veterinary institute stated last summer that the development of parasites, faeces and disease outbreaks is not satisfactory and that new growth should not be allowed until a comprehensive control plan is in place. One of the measures favoured by the Veterinary Institute is proposals from the industry on set-aside between production cycles and the closed-ended transport of fish due to coastal contamination. The problem with such measures is that they are expensive, perhaps not feasible for all breeders and that organisations often do not have enough overall about them. There is no doubt that salmon farming may have a negative impact on wild salmon, but the impact is manifestly controversial and whether it is permanent or temporary. The effect consists of diseases, escapes and lice. The only thing that is certain in this debate is that it is a highly polarized debate. There are farmers who believe that the farming industry is a pure industrial production that may not affect the environment at all. On the other hand, there are nature protection organisations that believe that farmers are largely filling the fjords with poison, and are without control of anything. Such polarisation creates – at least it can create – a significant reputational problem for the farming industry, but also for the tourism industry and wild-fishing industries. Nor can the sense industries sell if people don't think they get real goods. Ruminant salmon may have a negative impact on wild breeds through changes in genes, and the wild species being watered out and genetically impaired survival over time. But neither do you agree on such an area and the trade unions give different signals. It's e.g. studies demonstrating that escaped salmon have low survival and die quickly in the sea, while other studies show that they have a high percentage of escaped salmon in the rivers and have a good survival capacity. Official statistics show that escape is falling, but it is also not possible to reconcile the different views on whether the statistics are correct and often question the authorities themselves. The industry has zero tolerance for escape, but it does not prevent it from taking place, partly because of equipment weaknesses and also because of human error. There is little doubt about the need to put an end to the run-up to industry, and that some of the same sanctioning mechanisms that industry has otherwise had to withstand for its emissions are likely to be used. Breeding provides an increased number of fish on which salmonids can multiply. As a result, the number of lice in the sea is increasing, which later affect the number of lice in the wild, and which may weaken populations. Here, too, there are different opinions of the learners. Where should the action levels be when there is an increasing number of farmed salmon? Could there be a difference between geographical zones? Should you differentiate if there are no salmon rivers nearby, etc.? From the autumn of 2009, there has been a significant increase in lice in farms in many places. That was one of the reasons why the agreed increase in biomass was halted. The reasons seem different. Multi-resistance to lice in some areas is probably the cause, and this is a serious threat to industry. If medicines do not work over time, lice will become a major fish health problem and will also cause other diseases, as one has seen in other countries, such as the United Kingdom. in Chile. A number of measures have been implemented in Norway in the short term. The question is whether it is sufficient and whether other and stronger measures need to be taken in the long term. As mentioned above, the set-aside of production zones has been promoted in the debate; it has also infected closed transport, as I mentioned. Research and development in this area may be the most important thing. This too is complicated as this is a fragmented industry with many different sizes of enterprises, without the same economic strength of many expensive measures. Raising salmon is an important food producing industry in Norway and is very important for export earnings. The fact that it is now exposed to significant noise and the risk of loss of reputation both nationally and internationally in terms of future sustainability is unsustainable. The current conflict between commercial interests based on farming on one side and tourism and wild fish on the other must be calmed down. This can only be done through changes in regulation – changes that must be based on fact making and free of special interest positions. Then I believe that first there is a need for knowledge, which is documented, about part of the issues I've been dealing with. Secondly, there is a need for a government and a political leadership that agrees with itself. With so many different actors, public regulation is required, which takes care of all interests. It requires the participation and cooperation of authorities, professionals, farming communities and wild fish interests. Some have to coordinate this work. I think it has to happen fairly quickly. There was this lack of coordination of knowledge, facts and actions I called for with this interference I addressed to the Prime Minister. He chose to give the staf stick to the Minister of Fisheries. I hope that means that it is she who will have the future responsibility, not only to respond here today, but to the responsibility that we will not continue to see a powdered responsibility and breaking action from different departments: the Ministry of Fisheries, the Ministry of the Environment and the Ministry of Agriculture, and not least their respective agencies. That's all the implicated parties now really waiting for. It's very important. In the first place, we're waiting as we stand here, with tension on the Council's answers.
ParlaMint-NO_2010-03-22.ana.ud1354e1711	Both aquaculture and salmon tourism are important industries for District Norway. In the autumn of 2009, the Food Safety Authority reported high lice levels, so high that they were not compatible with environmental sustainability. That is why I postponed the announced increase in production capacity in 2010 in order to have time to assess the evolution of the salmon situation in greater detail. The last report of the Food Safety Authority of 15 March shows that the lice numbers in all regions are below the action levels, i.e. is lower than the maximum permitted by the authorities. Although the figures show a mainly positive trend, it will probably be a challenging spring for the industry. The legislation on the control of salmon fever was amended by August last year and the Food Safety Authority now has all the powers to impose measures on farmers. As far as escape is concerned, my message is simple: Breeding fish must be inside the mermaids and not outside. Although the reported escape figures in the last two years are the lowest in 15 years, I do not settle for that. There are clear indications that the actual escape figures are higher than the statistics show. The element of escaped farmed fish in the spawning grounds is a more real measure of the potential harmful effect. The different salmon populations are likely to have different tolerances and robustness, and appropriate parameters and indicators are used to measure their effects. The appropriations for the Directorate-General for Fisheries have increased by 10 million. kr in 2010. The funds shall be used for increased supervision of the aquaculture industry. In addition to the recent revision and improvement of the technical requirements for food-fishing facilities, work is under way to develop technical standards also for seed-fishing facilities and land-based facilities. This will help to reduce the likelihood of an escape accident. There is no coverage to say that the government is overstepping the trades, as someone has claimed. The decision on 5 pst. growth, which was taken early in the autumn of 2009, was based on a thorough review of the input of various professional bodies. Among these trades there were different perceptions of whether or not growth should be allowed. The fact that some colleges did not get full penetration does not mean that their views are not valued and given weight. But there's reason to remember that it was the input of the trade unions that was the basis for excluding some geographic areas from the capacity increase. With regard to the situation of wild birds, it is serious and its causes are multiple. To illustrate this complexity, I can point out that in 2009, ICES, the International Council for the Exploration of the Sea, considered that the North Atlantic salmon stocks are generally in good condition – according to a report ordered by NASCO, the North Atlantic Wildax Conservation Organisation. At the same time, estimates from the Directorate for Nature Management show that salmon ingested in Norway has been halved since 1980. I now want to describe some of the other factors that we know about, and what is being done to counteract these. In a historical perspective, acid rains and various watercourse interventions have eliminated or reduced the incidence of wildaxes in more than 50 rivers. In the last decades, significant improvements have been achieved in water quality in watercourses and coastal areas, among others. by extensive liming. Stricter environmental requirements for watercourse regulation over many years have led to much better consideration of wild fauna in a number of cases. The salmon parasite Gyrodactylus salaris came to Norway from Sweden in the 1970s to a land-based plant on Sunndalsøra. Since then, Gyrodactylus has been detected in 46 Norwegian watercourses. 16 of these are now freshly reported, and 5 are under review. Salmon fishing is a significant influence factor for the wild species. In Norway, sea fishing for salmon has been reduced from approx. 400,000 individuals early in the 1980s to under 100 000. In the same period, salmon estuaries have been stable on about 100,000 individuals. Scientific advice for salmon management has recommended reducing the tax to over 60 pst. of salmon stocks. Variations in the marine ecosystem also have a significant impact on the growth of wild fauna and thus marine survival. In St. prp. No 32 for 2006–2007 On the protection of wild fauna and flora and on the completion of national salmon and salmon fjords, a number of measures were put in place to reduce the threats to wild fauna and flora. Among the main measures is the establishment of 52 national salmon rivers and 29 national salmon fjords, which provide special protection for the main salmon populations in Norway. In these fjords and watercourses, new measures and activities which may damage the wild species are not permitted. The interpellant has asked whether there is a cause for concern about developments that may become unmanageable during the spring, and in that case what the Government will do to ensure the sustainable development of the breeding and salmon tourism industry while respecting the wild species. I want to make it clear that the Government wants to ensure both the wild species and the basis for salmon fishing and to facilitate further growth in the aquaculture industry within a sustainable framework. The salmoneturistic industry contributes to an annual local turnover of approx. One billion kroner. Of these, approx. 30 pst. Purchases of fishing rights. Many rightholders also operate farm tourism and offer package solutions with salmon fishing, guidance, food and accommodation. According to a report by the National Association of Travel Life Companies in cooperation with the Norwegian Forest Association, it is possible to increase the total turnover of salmon fishing from DKK 1 billion to well over DKK 2 billion each year. It is therefore important to ensure that enough salmon goes up into the rivers and that their salmon fish are caught. My predecessor presented the Government's strategy for an environmentally sustainable aquaculture industry last April. The strategy addresses issues, sets objectives and clarifies what is needed to achieve the objectives. The Ministry of Fisheries and the Coastal Department is pursuing measures to minimise the impact of the aquaculture industry on the environment. Of course, the marine industry itself is dependent on a clean sea to produce, but sustainability is also crucial to legitimising activities in the coastal zone and to obtain areas for production. It is not least the reputation and relation of the industry to consumers. In such a perspective, it is therefore inconceivably wise to take care of the wild. Where we see cause for concern, thank you. In the short term, we will look at developments in the salmon situation before we decide whether capacity growth will take place in 2010. In a slightly longer perspective, we are working on the follow-up and implementation of the strategy for an environmentally sustainable aquaculture industry, as the government platform, also referred to as Soria Moria II, provides the basis for further work.
ParlaMint-NO_2010-03-22.ana.ud1354e1752	I thank you for your answer. I agree with the Council of State that it would be immeasurably unwise not to take care of the wild. However, it will also be immeasurably unwise not to facilitate the avoidance of a reputational debate both nationally and internationally that could harm the farming industry. I'm not a protester for the wild fish industry. But as it has now evolved, I see that regardless of whether the salmon industry statistics are better, we are getting a problem that is suitable to worry about. I am not quite sure if I perceive that the Council of State is also concerned. I share her factual description. It's in many ways the same as I have in my interpellation. But there are a couple of issues that concern me especially. I don't think I said in my post that the government is overruning the trades – that's not the problem. The problem, as seen from the outside, is that the trade unions at the different levels in the different departments do not agree with each other. It clearly comes from both those who are breeders, who have fish in the merms, and those who stand in the rivers without getting any fish. That's the one. The other thing that I think is important is what the industry itself can do. I hear that the Council of State will be involved in this, perhaps in connection with regulations, both in the short term and perhaps in the long term. I think some of the problem here, with which the government can't do anything, but which nevertheless is a cross of thought, is that the industry is fragmented. So there are very big differences in the size of businesses in the industry, and there are different economic capacities – ranging from small businesses, with their interests, to the big ones, who may be able to look and see a little longer. Two of the themes that I addressed in my post, namely this with larger zones and set-aside, and possibly looking at regulations for transport methods that allow you to transport fish without infection, will cost money. But I think you have to be willing to also look at it in such a context.
ParlaMint-NO_2010-03-22.ana.ud1354e1765	The interpellant states that the trade unions do not agree with each other. It's not very unusual. My experience is that there are two researchers, there are also two answers. The government's responsibility in this is to accept the professional advice given to us, to deal with them and to take action in the various areas. I have constitutional responsibility for the wild game related to the impact of the aquaculture industry. Then we're essentially talking about lice, and we're talking about escape. It's the industry's responsibility. I am discussing these challenges with the Food Authority at least monthly. What I mean is that the industry itself can do, as the interpellant asks about here, is just to engage in the good dialogue with the Food Authority, which I experience is very much looking for and very keen to find good solutions. Major zones and set-aside are of the themes that I know the Food Authority is particularly concerned about now. The interpellant is quite right that there are great variations in the possibilities to adapt to this. I've said that we have to put all the cloths to look at how one can solve this, because it's of course about those who are big, and who have many locations, being able to adapt more easily to large zones than those that are smaller, and that may have fewer locations. It is also my responsibility that the aquaculture industry should have good environmental locations, and I will, of course, contribute to that. There's also another discussion about this that's very important. It's, as the interpellant was involved in his first post, the importance of the industry as value creators, as an important factor for the settlement along the coast. There I think the industry can contribute more than it does today. There's actually more ways to grow than through size. But before they can grow, it is obvious that they need to address the issues that have been debated here today. I actually feel that there is a lot of will in the industry to do, and not least, as I said, I get feedback from the Food Agency, which is out on the brink, to say it literally. Then we have to be able to have a little bit longer thoughts in our head in parallel with that we're now implementing the short-term grips. These are things I want to discuss not least with the Food Authority, but also with the industry, because it's only the industry that can actually solve the challenges we're facing.
ParlaMint-NO_2010-03-22.ana.ud1354e1778	The representative Fleet has taken up a very important matter in his interpellation. The farming industry is an extremely important coastal industry that contributes to high value creation, jobs and export incomes, while the wild caught interest preserves biodiversity, while the management of the wild game represents many jobs and income opportunities in our valleys, often where there may be meager opportunities. Therefore, it is not unnatural that conflicts of interest may arise. I think it is very important to have a knowledge-based approach to this issue as well. I have allowed myself to raise the question of whether the different environments can not sit down around a table to get into a dialogue. I think that can create mutual insight and understanding. And not least, I think it can contribute to a more nuanced sense of reality than the one that sometimes seems to be raw. Otherwise, I must say that I think the Council of State has balanced the advice of the various professional bodies in a wise way. On the basis of the interpellation, I understand your representative Fleet that it is only the Directorate of Natural Management that is to be taken into account. Let me say that the farming industry is going to operate in a sustainable way. And even though escape has been ripping in recent years, it's assumed that it's dark numbers. I agree with the Council of State that the farmed fish must be within the mermaids and not outside, and that the lice problems must and must be resolved. In the problem description, it is important that representatives of the administration speak out – for that they do – and that they speak wisely, i.e. the overall picture is taken into account when discussing a matter that affects almost the whole of our coast, highlighting in concrete terms which watercourses and areas have been destroyed or are at risk. If you do, it creates respect and trust. If the government doesn't do it, there's a lack of trust and respect. There is no doubt that the farming industry is in a way that is destructive to the wild species in many places in our country. However, there are several anthropogenic measures — including possibly other things — that have destroyed the wild species. Watercourse regulations, Gyrodactylus salaris, which are carried in from Sweden, acid rain and various interventions, as the Council of State did, have destroyed for the wild in more than 50 rivers. The food situation in the sea looks, as far as I understand, also to play a role. In many of these areas, more knowledge is needed. And even though there are now many things that have a negative influence on the wild species, such as escaped fish, salmon, etc., that the industry has to control, it is wrong to blame the farming industry for everything that has affected the wild species negatively in recent years. But I believe that the situation is such that it has to be taken seriously. I feel that both the industry and the authorities are doing it. Then the Council of State has explained concrete measures that have come from the authorities during the winter. There can be no doubt that the government is taking this very seriously. I wonder whether the Right can point to concrete measures that should have been taken by the Department on this matter and that have not been done. I hear that the leading spokesmen and women in the farming industry are crystal clear that the industry must clean up the mess that is still raging, so that it can become a sustainable industry that operates in a satisfactory way, and that the interests of the wild and farmed industries can exchange information and have an acceptable life – if it is not to be a happy marriage once in a while into the future.
ParlaMint-NO_2010-03-22.ana.ud1354e1797	First, I would like to pay tribute to the interpellant who has put this matter on the agenda, because it is an important matter. It is possible that the undersigned and the previous speaker in the pulpit have perceived the fleet a little different in terms of approaches, but as at least the undersigned understands both the post and the interpellation, it is more an invitation to how we can get better, so that these industries can live side by side – not that one industry should receive preference, but that we must try to live side by side. You point out something very important. The piece of reputation is probably more important than we've been taking over in the years that we've had behind us. I'll give you a few examples. It is clear that if we get a discussion in the media internationally about the image of this fish that part of us has seen, which is very lucid, there will not exactly be any sales promotions in our major markets – France, Germany, Russia, etc. – in the case of salmon and farmed salmon. Similarly, if the environmental activist Oddekalv gets through for his thing that the lice fluid we use can be harmful, it's not a good sales argument either. It may be as right or as wrong as it pleases, but if the receiver of the message perceives this as negative, and that it goes in the right direction, we as a nation have a problem. I have heard a lot of speeches from this pulpit in many contexts that it is the farming industry that should be what is “moving” after the oil ends – yes, today Norway exports, along with the wild fish industry, well 25 million meals per meal. day(s) We're a major player. But we must not forget that we have major challenges. The villa is important to take care of, but we must not go into the trap that some people – at least researchers – seem to be doing, that is, absolutely so, from their point of view. And then you're not interested in hearing what others bring out of information. When I look at some statements from some directorates, I might want Harald Eia to be able to create a series of programs related to the established truths in this field as well, and maybe go some things a little bit further into the seams. This is an important discussion, and I have to say the following: I haven't fasitized, I'm no expert either on Gyrodactylus salaris or on salmoncus, the little crustaceans that are naturally found in the sea. However, in some who debate, especially in some other forums, it seems that salmonnus is something the salmon industry has invented. It's not like that. Salmon leaves are naturally found in the sea. Then it's time for us to get out that very message. I want to talk about maybe doing something a little different. Perhaps the Minister for Fisheries and Coastal Affairs and her department should be given a greater responsibility, a more comprehensive responsibility, so that more of what is involved in the sea and in the resources of the sea and in the rivers can just happen to that department, so that we can get a comprehensive policy and not a policy that is piecemeal and divided, which one can get the impression of when one sees some reports from various directorates – and at least when I hear the message from some of these directorates. There have not been many days since some of us turned on the TV and saw some news broadcasts and comments related to the status of the wild race – so maybe Harald Eia has a job to do. I want this debate, not to stop here, but to continue the debate. I wish the Stortinge could also take a greater part in this debate. The fact that the wild and farmed industries can live side by side is important. It's important to us as a nation, as a nature manager, and also as the one who's going to push this forward. I want to give the Council of State a challenge that I hope she can take. Now, beyond springtime, we're going to see what's going on in the fight against the salmon-puzzle – the debates related to the farming industry, related to the reputation, etc. – I could imagine that the Council of State accepts an invitation to come and give a statement on the state of the industry, with a subsequent debate, so that we show that we are actually involved in this and want to do something about it – and not least that the debate continues.
ParlaMint-NO_2010-03-22.ana.ud1354e1820	The questions raised by the inter-pellant and the debate in public space clearly show that this is a complex issue with many actors and many opinions. So there's no easy and transparent terrain we're moving into right now. The management of the wild species has historically proved to be a difficult exercise. Despite the fact that sea salmon fishing has almost been phased out, despite the introduction of their own salmon fjords and despite increased efforts in both stock management and stock management, stocks are falling. So there's something out there that we haven't got hold of yet. Here, in my opinion, it should be possible to do more things. With regard to the problem of wild breeds versus breeding, I think we have a little bit of profit in simplifying the management system in the farming industry. I also think we have a lot to do in order to combine the management of the farmed salmon and the wild salmon, so try to see our coast and some of the stocks in the context of a slightly simpler bureaucratic device. There is also considerable competence in the North Atlantic salmon, in the farming industry and in the professional community, which can be useful in finding out how our seas stand. I call for a greater understanding of many people for holistic thinking, and that it must be possible to manage both green and commercial along our coast. It is said by the representative Haugen that the government is clear about these things, and he is asking what the Right believes is missing. It is also said by the Council of State that the trade unions should crack down in their opinions. From the right, it is a problem that the government cracks in its statements about what you think in this case. After all, the trade unions, under the auspices of the Minister for the Environment, are taking part in the political debate with such strong opinions on the state of affairs, and the statements by the trade unions go quite across what we hear from the Minister for Fisheries and Coastal Affairs, who are talking about industry and commercial matters. In fact, if you look at Norway from abroad and see a political administration that cracks so much, it may be that you have to tear down the sails and think a little about it. So the fact that we're fighting an internal battle for how we're going to have our coast is not the trick from the outside. In fact, I think that is regrettable.
