ParlaMint-NO_2010-05-05.ana.ud2638e26	The representative of Per-Kristian Foss will present a proposal for a representative.
ParlaMint-NO_2010-05-05.ana.ud2638e1385	At the end of the question, I realized that it was Russia and not Rogaland it was – I was a moment in doubt about it. I think this is a question with a lot of x-factors, and that with the new areas east of the Barents Sea it shows in a very good way. If this were to turn out to be very gas-rich areas, it would probably mean that Finnmark, maybe East Finland, is getting a completely different role in the relationship to gas and gas processing than what we've seen so far. In general, I believe that local ring effects are a prerequisite for oil and gas activities, and that we must be clear that they must also be achieved through what we do. So I believe that in what way this happens is something that needs to be clarified based on the size of the different findings and the composition of production in slightly larger areas, and what opportunities we have for land-based development.
ParlaMint-NO_2010-05-05.ana.ud2638e1397	‘The revised national budget for 2009 cancelled the invitation to tender for the cleaning of the gas power plant at Kårstø by redispatching the funds. At the same time, this resulted in the suspension of the investment decision for an indefinite period. For Norway’s climate accounts, it is important to move on with clean-up on Kårstø. New cost estimates have recently arrived on the table. When will the gas-fired power plant tendering procedure be resumed at Kårstø?’»
ParlaMint-NO_2010-05-05.ana.ud2638e1404	As the representative Hemdal points out, the Government presented in the revised 2009 national budget for the decision to stop the procurement process for the construction of a capture plant on Kårstø until a clearer picture of the operating pattern of the gas power plant is provided. There are market conditions that determine the operating time of the gas power plant. It has now been in operation for a longer period, and before it remained silent for a long period. This illustrates the uncertainty. At the same time, the Government wants to look at a possible integration solution between the gas power plant and the gas processing plant at Kårstø. On this basis, Gassco and Gassnova were assigned to carry out a screening study of an integration between that facility. Integration means that the gas power plant delivers electricity and heat to the gas processing plant, replacing existing gas-powered compressors and boilers. The assessment report on integration was submitted to the Ministry of Oil and Energy and the Ministry of Environment on 22 March this year. The study of Gassco and Gassnova concludes that integration is technically feasible and outlines five different integration scenarios. The report sets out preliminary, very rough cost estimates for the different scenarios. The report indicates that no commercial drivers have been identified for any of the scenarios and that integration requires the continuous operation of the gas power plant to act as a steam supplier to the gas processing plant. There has been a major and important investigation into CO2 management in Kårstø. Work has helped to generate important knowledge on different aspects of the establishment of full scale CO2 management facilities at Kårstø. Recently, the Ministry received an external quality assurance report on the decision-making basis for the Kårstø project, a so-called KS1 report. The State Financial Management Code requires an external quality assurance for State investment with an estimated investment cost of more than SEK half a billion. The aim of quality assurance is to obtain an independent analysis as a basis for State decisions. It is now important to have a sound decision-making basis in this case. It's a big deal. There are complex and demanding projects. That means you need a little bit of time to go through this work. The studies carried out will form an important part of this work and form a technical basis for further work on the Kårstø project. As announced in the revised national budget last year, the government will come back to the Storting when we have gone through this in a proper way.
ParlaMint-NO_2010-05-05.ana.ud2638e1425	I know that the Council of State received a script from Nature and Youth outside the Storting today. I hope that some of the things that were in the scripts of the engaged young people are used by the Council of State at some point. The slogans were about the cleaning time of Kårstø, the closing time of Mongstad. It is such that Kårstø was granted a concession on 6 October 2000. In 2005, we heard that Kårstø was to be cleaned by 2009 – we don't know that happened, the government has broken its own promise about it. In February 2009, Kårstø started out too fully and has brushed and walked since then, giving an emission of 3 pst. of Norway’s greenhouse gas emissions. Therefore it is important that we now proceed with cleaning on Kårstø. The council says we need a little bit of time, because it's an important decision, and it's complex. But what is the timing of the Government? What defines the Council of State as ‘a little time’.
ParlaMint-NO_2010-05-05.ana.ud2638e1432	I have no date for it; then I would have said it. I find that it is a comprehensive material that has been delivered, partly from Gassco and Gassnova and partly through this KS1 report. So the fact that time has to be spent on it in the future, and that the processes require their own, I don't think it's very surprising. But I don't have any more time instructions than what I mentioned.
ParlaMint-NO_2010-05-05.ana.ud2638e1437	This is not a good week for the climate in terms of cleaning up gas power plants when we hear the Council of State's response and know the government's history in the case of Kårstø, which should have been cleaned in 2009. We still don't know when it happens, or whether it happens, and the council also informed on 1 May that the government is postponing the cleaning of Mongstad. But it's complicated, none of us doubt it. It's important decisions, none of us doubt it either, but it's kind of necessary that we get a little bit further. As far as Mongstad is concerned, the Council of State has said that we have to look at all the plans, when the cleaning is to be postponed. Now, when you look at the whole thing, we know that at Mongstad, there's an emission permit on pretty much this power plant. Then my follow-up question will be: Will this be considered, now that the Government is making an overall review of changes to the terms after the May 1st message from the Council of State, Terje Riis-Johansen?
ParlaMint-NO_2010-05-05.ana.ud2638e1444	Of course, we must now review all the agreements with regard to Mongstad. We are laying down a new progress plan, which means that one must also go through the agreements that have been, and those that were planned to arrive at. With regard to the emissions permit and the proposal – I had just said – to shut down the power plant, I think there are some practical challenges raised by removing an energy producer – not least with regard to the TCM plant, which, of course, requires its own in terms of energy supply. So I don't think it's exactly a question for simple answers -- I almost said -- that it's just closing it down, and then the problems are solved. We have made a run in terms of energy consumption from the power plant, and that requires it in terms of consumers who are going to make use of that energy.
ParlaMint-NO_2010-05-05.ana.ud2638e1454	I have the following questions for the Minister of Research and Higher Education: ‘There is now a continuous debate on the organisation of the higher education sector. Everyone seems to have one goal: how to get together and become a university. More and more are calling for a fundamental debate on how the sector should be in the future, how the division of tasks should be and how the tasks should be financed. The chairperson of the Church, Education and Research Committee has also taken up a debate on this in Stortinget. When can we expect the Council of State to bring a case to the Grand Duchy on the structure and division of tasks for universities and colleges?’
ParlaMint-NO_2010-05-05.ana.ud2638e1463	Government policy on the development of the higher education sector is based on broad political agreement that our universities and colleges should be autonomous institutions with high degrees of freedom. As is well known, most agreed with the Star Island Committee's diagnosis of the need for better work sharing and more robust professional environments, but hardly any supported the proposal for a policy-driven structural reform in the university and higher education sectors. The reasons included: that the costs would be too high and that any changes had to be professionally anchored and based on voluntary activity. In the context of the treatment and follow-up of the Sterø Committee, the Government concluded that the accreditation system for institutional recognition — i.e. the rules on whether a place of study is a university, a university or a university — is firm. The places of learning must meet a set of quality requirements of the national body for quality in education, NOKUT, before government and accumulation determine any change in the category of institutions. Two years after the Star Island Committee gave its position, we see that the institutions themselves have addressed the challenges. In all parts of the country, cooperative formations are established based on the professional needs and benefits of the institutions and the professional community. I am impressed with the ability to convert and have great faith that this will mean strengthening Norwegian higher education and research. In several cases, the plans also include aggregation – not as an objective in itself, but as a lever for professional concentration and strengthening. That someone also has the goal of becoming a university, I see it as an expression of professional ambition. The fact that a university changes the status of becoming a university does not entail any change in the financial conditions and thus has no impact on the financing of the sector as a whole. Structural changes in the university and higher education sectors are taking on a lot of attention and the theme is given a lot of attention. It is positive that so many are engaged in the country's main knowledge institutions. The government has followed this up by stimulating more cooperation, better division of labour and greater professional concentration in the sector. This goes under the name SAK. The objective of SAK is more robust professional environments capable of carrying out high-quality research and education, and more profiled institutions. Changes in the institutional structure or in the designation of an institution are not an objective in itself. The Ministry of Knowledge is following this development and supporting the good processes. Among other things, we've just distributed the 50 million. kr that was set aside in the State budget for this year for such different SAK measures. These go to different types of processes, both processes that are likely to cause structural changes and processes that will not. In addition, for the second year, we provide own resources for cooperation and work sharing in teacher training. This year it is approx. Fifteen million. kr. These are distributed according to the regional meetings of teacher training institutions, which are now taking place during the spring. The SAK concept was launched in St.meld. No 30 for 2008-2009, Climate for Research, and has been mentioned in a number of documents for the Stortinget, including St.meld. No 44 for 2008-2009, Education Line, and in the Ministry of Knowledge budget for the budget of the year. I would also like to inform Stortinget in the Ministry of Knowledge's technical proposal for the 2011 budget about the further development in the field. In addition, the Storting recently had an interpellation debate on the same theme. I see on this background no need today for a separate case to the Stortinget on structure and division of tasks between universities and colleges.
ParlaMint-NO_2010-05-05.ana.ud2638e1478	I thank you for the answer and am probably surprised that the Council of State rejects coming all the way to Stortinget with a case about this. So when we meet the environments that are connected to universities and colleges, we get feedback that they are calling for a clear direction in the current work. Yes, it is true that the SAK project is a desired process, but there are some clear directions that they can relate to. Universities are talking about the conditions. Today it is that one can be accredited, but there are no changed conditions. The higher education institutions demand a carrot to remain higher education institutions to the highest degree. There are also other challenges that lie here. As part of the predictability of the university and higher education sectors, they are calling for such a debate. Hasn't the Council of State got the wishes?
ParlaMint-NO_2010-05-05.ana.ud2638e1485	Of course, the Council of State is in the middle of both the wishes and the debate. But it's important to stress that the direction determines them themselves. They are autonomous institutions. What is the task of the Council of State is to make sure that they improve qualitatively. Now, if I were to facilitate a debate on the structure of higher education, there might be even more people who would become insecure than those who might be waiting for some clearer guidelines today. I don't want to change the game rules. I want to have the rules of the game that Stortinget – all the games, also the questioner’s game – laid down in 2001 when this matter was decided. I think it would be quite strange if I were to facilitate a debate on this. It would make everyone think that we're going to change the game rules that everyone is now working on. I want to stimulate cooperation, to worksharing, to professional concentration. I want to stimulate better quality, and I also want to appeal to the institutions and say that they have a responsibility for how they will evolve to become ever better and to be able to work with others.
ParlaMint-NO_2010-05-05.ana.ud2638e1494	There is no doubt that there was agreement on that matter initially. When the world then goes on, it's very normal that a person takes a follow-up if one sees that one needs to do it. It's at least right ready for that. As I refer to in the question, it is also central politicians from the government parties who say that it is now time for us to take such a debate. What the Council of State here says is that if, for example, All colleges now merge, get accredited and get the opportunity to become universities, don't do anything to make the higher education sector disappear and we sit with just universities. I think it's a development that we should definitely discuss in Stortinget. I know that many people in Stortinget have their opinion about it. It is a major challenge for the future funding of universities, which one should look at. I think it's a little strange that the Council of State still rejects it completely, but we just have to take note of that.
ParlaMint-NO_2010-05-05.ana.ud2638e1503	The majority has had many opportunities to debate this and will have opportunities for the future, as I mentioned. I do not know what kind of agenda you have here, if you want to change these rules, if you want to make changes to what you were in on in 2001. These are long-term processes we operate with in this sector. I would strongly warn against signaling that we are now changing the rules of the game. But I would like the Right to be involved in ensuring both what is the core task of higher education, that is, professional education – regardless of what they call it, it is important – and to ensure that there are good and predictable conditions for both universities and colleges. I don't think there's any danger that the changes that are now taking place can threaten neither professional training nor research. As I have said, we have had this debate on several occasions and are going to have it in the future. I therefore look forward to good debates, including with the Right, on these important issues.
ParlaMint-NO_2010-05-05.ana.ud2638e1510	Then we go back to question 1.
ParlaMint-NO_2010-05-05.ana.ud2638e1516	This question, from the representative Elisabeth Aspaker to the Minister of Knowledge, will be answered by the Minister of Research and Higher Education on behalf of the Minister of Knowledge.
ParlaMint-NO_2010-05-05.ana.ud2638e1519	I allow myself to ask the following questions to the Minister of Knowledge: ‘Plus-School in Old Town/Fredrikstad represents a valuable training offer for small craftsmanship such as goldsmiths and shoemakers. The latter education is probably the only one in the Nordic region in its kind and vulnerable due to varying numbers of applicants. Education is also important as recruitment to orthopaedic establishments. Changes in the funding base threaten the existence of education. Will the State Council review the financing model for the smallest crafts?’
ParlaMint-NO_2010-05-05.ana.ud2638e1528	I will give the following answers on behalf of the Minister of Knowledge: Subsidies for private secondary schools are granted above cap. Item 228 71 of the State budget. The subsidy shall be granted at one rate per year. students based on costs in similar public schools. Individual rates are calculated for each training programme. The Plus school, as asked, is a private secondary school offering the education programme design and crafts, and receives state subsidies per year. pupils at the rate of this training programme. As of 1 April 2010, the school had 52 students. I am uncertain as to what changes to the funding basis the representative of Aspaker is looking for. No changes have been made to the subsidy model for private secondary schools in the 2010 budget. The training programme rate for design and crafts has increased from 2009 to 2010, from DKK 118,700 in 2009 to DKK 124,600 in 2010. Private schools offering training in small crafts do not have a financing model of their own. The grant model for private secondary schools is structured with rates for each education programme included in the Knowledge Commitment. There are no plans to change the grant model at this point. I interpret the question from the representative, Aspaker, that she is concerned with the Ministry's work on small crafts in general. Old craftsmanship is part of our cultural heritage that it is important to take care of. Today there are a total of 31 subjects on the list of small and protective subjects. In these subjects a special grant is given to apprenticeships. It is a very important measure to contribute to the continuation of training in craft traditions. The Ministry of Knowledge is working closely with the social partners today to care for and develop small and protective subjects. As far as further work is concerned, the Education Directorate has been given a survey of the status of small crafts under the direction of Econ Pöyry. The report was published in March 2009 and the Education Directorate has been asked to assess it and to propose follow-up points. In view of this, the Ministry will consider how to follow-up work. Nordic cooperation on small and protective subjects will be an important element here. Among other things, the Nordic Council of Ministers has allocated funds to look at possible models of Nordic cooperation. Here, a Nordic School Cooperation Group and the Professional Committee Group will launch a project in autumn 2010 to look at opportunities for cooperation on training in selected small crafts in the Nordic region. The Ministry of Knowledge has set aside 1 million. kr to work on Nordic cooperation in the Education Directorate in 2010.
ParlaMint-NO_2010-05-05.ana.ud2638e1547	Governments are right that the change has not occurred in the last year. The change actually occurred back in 2001, under Trond Giske when he was Minister of Education. So it turned out that the problems for these smallest subjects have built up, and some of the subjects are so small today that it is clear that financing the smallest subjects in the same way as financing the very largest subjects that have many students is – to use an expression – almost a bit raw in relation to the challenges of the smallest subjects. Funding today creates considerable uncertainty. It may also mean that students do not apply. You're inside a very bad circle. At the same time, we see that this shoemaker training delivers professionals to Sophie's memory, it delivers professionals to orthopedic workshops, which build special footwear for many people who need it. Does the Council of State see the urgency of doing something with regard to the financing of these subjects, so that they do not die out while waiting for other reports?
ParlaMint-NO_2010-05-05.ana.ud2638e1556	Of course, I share the questioner's concern for the small craftsmanship, which I have explained in the answer. But I think it's a good idea to refer to a change in the funding system that actually happened in 2001 – it's starting to be a few years ago. It's been a development since it's about these schools having a predictable system. A grant is granted at a rate per year. student, which is calculated on a grant basis. This is based on KOSTRA, where municipalities and county councils report their costs to school. It is a predictable system, and in the department we have not received any enquiries either from this school or from others with similar expertise on the alleged problems raised by the questioner. Of course, I take note of the question asked by the questioner and will pass it on. However, apart from this enquiry in the questionnaire, we have not received any reports that there is a problem with the funding system for these schools.
ParlaMint-NO_2010-05-05.ana.ud2638e1565	It is a problem that shoemaker training is now particularly at risk of closure. It goes without saying that in a 30-class financing system you have a significant income and resources to provide, while in a small subject, where you might take up less than ten students – which is the search base you have – you will have major challenges to get that operation to go around. I would like the Council of State to be more appropriate in addressing this issue. I guess that's not exactly true, as the Council of State here says, that this has not been taken up. It has been a recurring theme that the smallest subjects are struggling – the cow is starving while the grass is growing. Investigations are being made, but I – and Right – are very concerned that the child is going to be thrown out with the bath water, because it takes so long before you get what the government thinks is going to be a funding system to live with.
ParlaMint-NO_2010-05-05.ana.ud2638e1572	I would like to remind the asker that her party has actually been with the government for four of the years that have passed since 2001, when this system was introduced. If it was so urgent, it might not have been easy to do anything at that time. Here's the situation, as the questioner probably knows, that according to rules for private schools you have a challenge if there are fewer than 15 students. With three consecutive school years of less than 15 students, there is a problem with regard to the grant. I refer again to what I said in my answer on behalf of the Minister of Knowledge, that we look at this in Nordic context. We are committed to preserving the old crafts and the old crafts traditions in the best possible way, and so far we have not received any concerns from this school or similar schools about that particular challenge. I take with me what the questioner has explained here, in the further work both on a Norwegian and on a Nordic basis.
ParlaMint-NO_2010-05-05.ana.ud2638e1583	The size then goes to question 15.
ParlaMint-NO_2010-05-05.ana.ud2638e1596	This question has been postponed to the next Question Time.
ParlaMint-NO_2010-05-05.ana.ud2638e1602	I allow myself to ask the following questions to the Minister of Renewal, Administration and Church: ‘Is the Council of State willing to amend the Code of Conduct for Church Books, so that the Church can also make use of today’s technology and benefit from its efficiency?’
ParlaMint-NO_2010-05-05.ana.ud2638e1609	In Norway, church books have been kept since the 1600s. Until the 1980s, the church book had an important function as a public register. It was in the church book that information was found on, for example: births, marriages and deaths. Responsibility for recording this type of data has now been transferred to the public register or other bodies. Certificates issued from the church books no longer have so-called public credibility. In other words, the Church Book has been largely restricted to a register of church acts, and it is without civil law significance. The central register of members of the Norwegian Church, which was established in 1999, uses today’s technology. In 2009, a new ICT platform for the membership register was implemented. This register solution facilitates the electronic recording of data locally in each individual socket. The register provides an overview of membership and membership of the Norwegian Church through the registration of, inter alia, baptisms, registrations and withdrawals. In addition, the collected data are used as a basis for the census lists in the church elections. The register formed the basis for the church elections in autumn 2009 and the production of election cards. The new solution has helped to improve the quality of the Member Register. The solution also provides a basis for future efficiency gains for the local church, which can be realised by further developing the platform already in use. The aim must therefore be to complete today's paper-based church records and further develop the membership register towards an electronic church book. But before the paper-based system can be phased out, an electronic solution must actually be in place. The Church Council is now in a process of developing a module for the electronic reporting of church acts. It is necessary to consider in detail the extent of the documentation to be included in the church book in the future. I believe that one has to consider whether it would be appropriate to register all the information that is currently registered in the church book, in a future electronic base. As mentioned above, church records do not have the same meaning as before, and other public authorities have taken over the registration of, for example: marriage. I am concerned that the system must meet the necessary safety requirements and in a good way meet the practical challenges and needs that are local. The registration of this type of personal data creates some specific challenges, not least because there are very many users of the system at the local level. In addition, the Norwegian Church has established a common ICT strategy, addressing the needs to develop a more comprehensive and effective approach to both local record keeping and key needs and requirements. The work on the implementation of this ICT strategy has started – after what the Council of Churches informs us. One of the areas of action is to ensure good local solutions, so that church staff will have modern IT tools to support their work. In this context, the Norwegian Church will review the relevant local needs and the statistics and governance data needed for national planning. I believe it is important that the Church itself find good solutions here and does not develop ICT solutions to solve one problem at a time. So I'm behind the whole angle of incidence that the Church itself has on these challenges. The Church Act today provides for both church records and membership records. I am now working on a consultation note that proposes to adjust the provisions on church records, so that it does not prevent the registration of church acts in the future by electronic means.
ParlaMint-NO_2010-05-05.ana.ud2638e1624	I am partly satisfied with the answer. But it is probably I who have asked a little too short a question, because now the minister actually mixes a central church register and a local church register. This is only about a local church register, which in no way depends on a central register. Today, in fact, many of the church offices are fully capable of pressing the button and obtaining personal information. It's the same paper quality as the church books and the same print form. Then my question is to the Council of State: I guess after this clarification, the minister immediately initiates that change, so that the various church offices can use that electronics.
ParlaMint-NO_2010-05-05.ana.ud2638e1633	As I said in my reply, I am now working on a consultation note on the matter. It'll be clear in a very short time. If you're going to allow local solutions to be used regardless of what the Church centrally needs, I'm not sure. It is important to take into account the necessary personal data and the rules that apply to it, and we need to make sure that there are no records that do not comply with the data protection requirements. With regard to the central register of members in the Church, it is also difficult to keep two registers. So I support the Council of Churches in their efforts to have a common register, where information is recorded in one place – not both in a central register of members and in a locally kept church book. I think it's important that we have both parts in one register in the long term.
ParlaMint-NO_2010-05-05.ana.ud2638e1640	I have to say that I am amazed that the minister gives the word ‘property’ a completely different content than what is used in church terminology. The fact that you need an investigation of this is completely unimaginable. So it's already in place in the church offices today. You can only press the button, tie this paper into the skin-bound perm – and place the paper inside. I don't understand that it should be necessary that it takes some time. In the past, the Minister of the Church and I have had dialogue, and I have been clearly informed that the Church is expected to operate in the most efficient way possible. Then you are involved in putting plugs in that system, which means that the Church is getting more expenditure – funds that could otherwise have been used for personal activities. So I must say, I'm amazed. But pending this investigation, is it so to understand that the Minister of the Church is willing to grant extra funds to the Church?
ParlaMint-NO_2010-05-05.ana.ud2638e1649	As I said, we want to facilitate the electronic management of church books. Then I will respect the wishes of the Church Council when considering whether to have local solutions or joint solutions for the individual churches. The Church Council is responsible for this and must also be responsible for having a good enough data security, so that information does not go astray. In order to set up a central membership register, 20 million were allocated. kr. $13 million. kr went above the state budget, and we have increased the operating costs from 3.5 million. NOK 9.4 million. kr for good operation of the register. In addition, this year I have granted 1 million. To put in place a central strategy and to clarify the issues raised by the representative here, so that we can have good security and a good localization for these registers. But I want to wait for the answer given by the Church Council before I might give other leadership.
ParlaMint-NO_2010-05-05.ana.ud2638e1659	‘In connection with the coastal petroleum activity, the various landing options in the north are more updated. Will the Council of State consider it natural that the Coastal Works should play a leading role in a professional assessment of the alternatives involved?’
ParlaMint-NO_2010-05-05.ana.ud2638e1666	The Coastal Agency is a professional advisor to the Ministry of Fisheries and Coastal Affairs, with, inter alia, Directorate of Fisheries and the Marine Research Institute. The department's professional councils will provide the basis for the department's professional evaluation with regard to the selection of a landing site. It is natural that the professional competence of the Coastal Plant will weigh heavily, and the answer to the question of the Coastal Plant will have a prominent role, therefore it will be yes.
ParlaMint-NO_2010-05-05.ana.ud2638e1671	Thanks for the answer. As the Council of State describes it, the Coast has responsibility for preparedness for acute pollution. In the context of the debate on drilling, in order to define more precisely the resources that one has under the seabed outside the Lofoten and the West Pole, there will be a consequence that this area will be produced as extra vulnerable, and additional resources should be deployed to prevent this. In the 2010 state budget, North Norway is not satisfied with extraordinary efforts, despite the fact that one sees that significant quantities of oil already pass reasonably close to these areas in the form of ships carrying oil. These ships are described as having a potentially very high risk of being able to land or in other ways to get into the sea, which means that a person is at risk of having large emissions.
ParlaMint-NO_2010-05-05.ana.ud2638e1678	Now I have a feeling that maybe we're talking about two different things. The question was, of course, related to a possible landing site and the role of the Coastal Plant in it. The answer to that question is yes. As far as the Coastal Authority’s economy is concerned, as far as a completely different issue is concerned, but as I can still comment, the activity of the Coastal Agency is always risk-based. A great deal of action has been taken to reduce the risk. The most important thing in the north – and I guess the representative is familiar with this – is the long-sea routes that we have approved, as one example which hopefully reduces both the risk and therefore the need for activity and then the costs in the last instance.
ParlaMint-NO_2010-05-05.ana.ud2638e1685	The President will only recall that supplementary questions should be an addition to the main issue and not a new one. But, of course, the Council of State is free to answer, as she did now. Does Grimstad want additional questions?
ParlaMint-NO_2010-05-05.ana.ud2638e1688	Yes, thank you, I do. It's on standby that the Coast Guard has. We now saw that during the 'Full City' accident, the Coast Guard was strongly criticized for not intervening with local emergency plans, and using local knowledge and knowledge could have a more proactive role when it comes to implementing the necessary measures to minimise the damage. So in the follow-up to this, the question is whether, according to the Council of State, the Coastal Agency should be more closely involved in local plans and plans to exploit local resources.
ParlaMint-NO_2010-05-05.ana.ud2638e1695	Once again, I would like to remind you that the question was related to a possible landing site of oil. In fact, the landing of oil in full monn was full City, but the landing site was not exactly planned. On the question, I can say that the local knowledge and cooperation between local actors, the Coastal Agency and the central authorities, are of course crucial to achieving good processes and good solutions. This is not least in the context of ‘Full City’ – getting an interaction that is important, and having good knowledge in advance of whether there are issues related to the landing site or general oil protection, of course, makes sense. There's something I'm emphasising that we should have – local knowledge.
ParlaMint-NO_2010-05-05.ana.ud2638e1705	‘According to the 2010 State budget, 115 children and young people had decisions on home accommodation and were waiting for foster homes per year. 31 January 2009. A further 619 were notified as relevant for place in foster homes. In addition, there are fears that there are large numbers of darkness in the area. Non-profits, including the Church's Social Service and the Salvation Army, want to recruit foster homes, but get signals from the directorate that this is not desirable. Does the Council of State want the efforts of non-profit actors in foster home recruitment?’
ParlaMint-NO_2010-05-05.ana.ud2638e1712	It is important that we have enough foster homes, and that foster homes receive follow-up, so that they can make good offers. It is serious that more children and young people lack foster homes. I share the representative's concern about this. Children to be placed in foster homes are exposed and vulnerable, with a special need for care and safety. It is Bufetat who is responsible for recruiting and distributing foster homes, while child protection services in municipalities are responsible for approving foster homes. There is a systematic and targeted job of recruiting enough foster homes. In particular, the following immediate measures are in place to reduce waiting time: First, foster home services now go through all pre-established foster families to see if they can accept children and young people other than they originally intended. Secondly, Bufetat will strengthen the focus on what is effective recruitment measures, and in 2010 it will increase efforts to recruit foster homes in larger agglomerations and at the homes of young people, which is what we especially lack. Thirdly, careful consideration shall be given to the presence of caregivers in the family and close networks of the child. Buffetat will assist municipalities in need of assistance with the assessment, including: through the use of family advice, to find good caregivers in the child’s community. Furthermore, foster home services will contact former foster homes to encourage them to make a new effort for children in their community. These are families who have already received training, who already have experience and who can therefore get into this at relatively short notice. So is it that the waiting time for adoption from abroad is increasing, and the number of children adopted from abroad is decreasing. Being a foster home can be an alternative for a part of those who want to care for children. Therefore, Bufdir will communicate the possibility of becoming a foster parent to all those seeking adoption. It is the government's policy to use public services as much as possible. This also applies in the area of child protection. It is also government policy to give priority to non-profit actors, insofar as we need to use private services. This applies to all services, including foster homes. The individual region of Buffetat itself has to make an assessment of whether they need to buy foster homes from private individuals. Although the recruitment of foster homes is initially a public task of Bufetat, there is nothing in the way of cooperating with private actors in the recruitment of foster homes. I am therefore positive that NPISHs contribute to the recruitment of foster homes, and will clearly signal this to the Children's, Youth and Family Directorate. However, Bufetate will continue to have overall responsibility for ensuring that a sufficient number of foster homes are available within each region to meet the different location needs. With regard to the provision of foster homes to individual children, the responsibility for this is the national regional child protection authority. It follows from the Children’s Protection Act that ‘it is prohibited for individuals to engage in intermediary activities for the placement of children without adoption for the purpose of their eyes’. This means that private actors cannot place children in foster homes, and the provision is an expression that such activities are considered a public task. But the last thing I think is uncontroversial, and the questioner also agrees. The short answer to the representative's question is therefore yes, and I want to contact the directorate to clarify that signal.
ParlaMint-NO_2010-05-05.ana.ud2638e1735	First, I would like to comment on the moment when the Council of State states that the Government wants primarily to use public services. Then I would also like to remind you that child protection was established in Norway even before it became a state invention, precisely through the involvement of organisations. Then I am glad that the Council of State now opens up the use of the capacities and resources of these organisations in this area. It's unsustainable that kids are in line for foster homes if we can give them the opportunity to get it. My next question to the Council of State will then be: does the Council of State see that the networks of voluntary organizations, such as the Salvation Army, the Church's Social Service and others of their supporters around the country, can provide a larger recruitment basis that can allow us to have more foster homes?
ParlaMint-NO_2010-05-05.ana.ud2638e1744	I'm a little surprised that the representative is amazed at my signal on priorities, for me, all parties, including the Christian People's Party, have stressed that we need to exploit the public capacity we have in child protection, which we're not always good enough for. Nor do I think there is any disagreement in the Stortinget that it is important that a strong proportion of our child protection services are carried out by the public. So it will always be like this, I think, in child protection that there is also a need for private and then preferably ideal actors. The recruitment of foster homes is a good example in an area where we want to make good use of the help, skills and networks that NPISHs have. I would like to welcome that effort in the very important job we have in recruiting more foster parents. I look forward to the contributions that the Salvation Army and others can make to it.
ParlaMint-NO_2010-05-05.ana.ud2638e1751	My point was just to stress that the volunteer organisations have always had a place in child protection, and therefore should have it as well. It was nothing but that. I am pleased that the Council of State gives a clear signal that he is open for the voluntary organizations to recruit foster homes, because many organisations in different regions have experienced, not least in the last year, negative feedback from Buffetat on that very thing, and it is paradoxical when children are in line for foster homes. I would therefore challenge the Council of State to engage in dialogue with voluntary organisations and ask whether he is open to a dialogue on how they can make the most of their potential to recruit more foster homes over time. I would also like to challenge the Council of State from what time the new signals here will be applicable to Bufetat's practice.
ParlaMint-NO_2010-05-05.ana.ud2638e1760	As I said, I would like to make quick contact with the directorate to clarify that signal. I think some of the issues in which non-governmental organisations feel that there has not been a wish for them to contribute to foster homes are related to foster home placements, which are once again linked to institutions of which we should in some cases have less of them. But with regard to normal foster home placements, I believe that we need the efforts of volunteers, just as we do and will continue to have it in the field of institutional child protection, even though on a scale and scale it will be somewhat less in the future than it has traditionally been. I'm open to dialogue with the volunteer organizations about how they can contribute, and I'm also going to focus on the directorate that I expect the same from the department.
ParlaMint-NO_2010-05-05.ana.ud2638e1769	That being the case, it is no. 1 completed on the current map.
ParlaMint-NO_2010-05-05.ana.ud2638e1782	There is no record. Is anyone asking for the word before the meeting is cancelled? - The meeting's been cancelled.
