ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u1	We'll start work again.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u102	First let me outline the context, then what I know about the FAGG and then some additional elements. Laboratory studies have shown the presence of the following potentially harmful substances: toluenediamine, toluene diisocyanate and diethylene glycol. In this context, the FAGG has pointed out to me that detected levels of diethylene glycol are within the acceptable safety margin, and that the degradation products toluenediamine and toluenediisocyanate are classified as group AK2B cancers by the International Agency for Cancer Research, a part of the WHO. For this category of chemicals there is little evidence of carcinogenicity in humans and insufficient evidence of carcinogenicity in experimental animals. Laboratory analyses also showed that as the foam breaks down, it tends to stick to both nearby surfaces and to itself. This reduces the risk of inhalable particles entering the ventilation circuit. In addition, the available evidence suggests that most broken foam particles are too large to be inhaled. In addition, diisocyanate is associated with isocyanate-induced asthma in a very small number of patients. The FAGG has contacted both Philips and the other European Member States to follow this up. Analysis by the manufacturer and the Member States shows that there is no serious acute toxicological health risk associated with the use of those devices. For medium and long-term effects additional research is needed. The evidence available suggests that the risks to patients who do not have immediate access to an alternative are significantly greater in the event of a cessation of use of those devices than in the identified biological safety risks. The risks of discontinuation include accidents at work and while driving due to daytime sleepiness and individual comorbidity. The FAGG recommends that patients contact their treating physician about continuing treatment. The risk-benefit analysis is not only based on problems with the device, but must also take into account the medical background of the individual patient. As for the number of years during which patients use these devices, I have no data. The declared service life of these devices is about five years. Some patients may have had multiple devices in use consecutively. As has just been mentioned, the FAGG is indeed in contact with Philips, as well as with other European Member States. Philips' corrective action consists of: first, a registration by the customers of the devices that are still in use; second, a regulatory approval of the changes to the design by the notified body; third, a combination of replacement by new appliances and repair by Philips and/or its service partners. The full implementation of the replacement and repair of the appliances concerned will take a long time. The exact timing depends on the regulatory approval and the number of aircraft registered worldwide. At present, the registration phase of the devices is ongoing. Philips shall consult with its notified body for the approval of modifications to the design of the appliances. This is a different type of insulation foam. The notified body has assessed the amendment as not significant in accordance with the Regulation on medical devices, so that there is no automatic suspension of the CE certificate. The notified body concerned has not yet taken a final decision on the approval of the changes made to the design and maintenance of the CE certificate. Without the approval of the notified body, new appliances cannot be placed on the market. A direct consequence of the lack of approval is that no devices can yet be replaced or repaired by Philips. According to Philips' draft Benelux allocation plan, the replacements will start at the end of September 2021 and be fully completed in September 2022. However, the allocation plan is very provisional: without the approval of the notified body, no start can be made. The speed of rounding also depends on the number of devices worldwide and/or in Belgium that are still in service in relation to the total number of potentially involved devices. According to the information available to the FAGG and the manufacturer, 55.131 CPAP/Bilevel devices are in Belgium. It should be noted, however, that not all these devices are currently in active use. As regards liability, the principles of civil liability and product liability apply. It's a legal matter. It is a very complex dossier and I, as Minister for Social Affairs, do not want to take a stand on it. Polyurethane polyester-based noise suppressant foam is frequently used as insulation foam. The FAGG does not have the design details of all medical devices and cannot therefore exclude the use of polyurethane foam in other devices. The FAGG has already effectively raised this issue with Philips. Other Member States have also made this comment, but it does not seem possible to significantly shorten the deadline, given the size of the aircraft concerned, Philips' production capacity, etc. The FAGG is in regular contact with Philips about the follow-up of this corrective action and will continue to insist on a rapid execution in the interests of patients. The manufacture of medical devices and the repair kits takes place worldwide, but not in Belgium. Philips has informed the FAGG that it is deploying its full production capacity for this replacement operation. In addition to the consultations with Philips and other European Member States, the FAGG is also in contact with the Belgian medical technology industry, beMedTech, to explore how support can be offered to both sleep centres and home care providers. Philips has created a specific website containing information related to the corrective action, the devices involved, frequently asked questions and so on. In addition, Philips created a specific web page for the registration of the devices concerned and is also offered support for this registration via a free telephone number. The problems also arise when the appliances are not cleaned with ozone. As described in the safety warning letter, the degradation of the foam may be aggravated by the use of off-label cleaning agents such as ozone or when used in high humidity or temperature environments. According to our data, these worsening circumstances are very likely not to apply to Belgium. The insulation foam is used for noise reduction and is also part of the mechanical structure of different designs. Without the insulation foam, the devices will not work properly. The removal of the insulation foam by the patient itself has not been recommended or validated by the manufacturer at any time. The removal by patients may have very negative consequences due to the potentially large exposure to harmful substances during removal. Philips is no longer responsible for the correct operation of the device after improper removal of the insulation foam by the patient.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u103	Minister, you say that in Belgium there would be just over 55,000 people. Did these people have to register themselves for that? If I understand correctly, they have to register with Philips themselves to get a new device. Is it possible that certain people aren't aware? Have they received any warning? That's not entirely clear to me. The device is taken back as a precaution because it may be carcinogenic. I think it's going to be a bit light, and it'll take Philips a year to replace those planes. So people have to inhale those potentially carcinogenic substances for another year. If a product is placed on the market and paid in full, it is also responsible. Isn't there any stick behind the door to put more pressure on Philips? Philips may not be able to increase its own production capacity, but maybe it can share the technology and ask other companies to increase their production capacity. It is difficult to allow people to inhale those potentially toxic substances for another year.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u104	Thank you, Minister, for your comprehensive reply. We had a webinar in which a number of people from your cabinet participated. What I find very bizarre in this dossier is the communicative part about the patients. In the United States, aircraft are being retrieved and it is believed that this news does not immediately float to the European mainland, and that it does so in Internet times. They allow a few days to pass and receive a fair response. It is communicated that treatments should be discontinued and subsequently it concerns individual examination of whether or not treatments should be continued. I take it from your answer that you are looking closely at this together with your administration and the FAGG, but communication is crucial here. I also hope that this will be well followed up by the association of Belgian dormitories and that good communication will be made with regard to patients and sleeping centres. I have also heard that this story is very nuanced in function of the patient and his safety. That's important. I call for good communication from your services to the patients who are being treated today and who are concerned about this. This file will certainly continue to be followed. Hopefully everything will be resolved soon.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u105	Debates of the European Parliament 55019374C Mrs Depoorter's 55019765C was postponed. Debates of the European Parliament 55019379C by Mrs Merckx will be converted into a written question.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u106	Minister, I will be very brief. I already asked a question before the holiday about people who cannot be vaccinated for medical reasons. Then you said, "If you cannot be vaccinated for medical reasons, you have a problem. It will have to be tested, and testing costs money if one is not vaccinated." Now there is also a second group that cannot be vaccinated, but which cannot have a PCR test taken for medical reasons. Those people have a bigger problem. After all, either one must be able to demonstrate that one has been vaccinated, and that one cannot be, or one must have a PCR test taken, but neither can they. They can, of course, show that they have or have not had covid, but that must also be demonstrated with a PCR test, so that's where they also fall out of the boat. My question is very simple, Minister. Maybe it's just a small group, but these people have rights too. What are you doing with this group? The holiday is now over, but some people go on vacation after the summer, so my question is still topical. What will you do with these people if you want to roll out the coronapas in the states? How will you deal with that problem?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u107	The situation presented by Mrs Sneppe, namely: medical contra-indication for reduction of PCR and vaccination, has so far never been reported at the Task Force Vaccination. Mrs Sneppe, if you are aware of a specific situation in which you have a medical counter-indication for the reduction of a PCR test and for vaccination, I suggest that you give it to me. Then the experts will thoroughly analyse them and undoubtedly seek solutions. However, I do not know of such a case.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u108	I am asking this question in response to a question I received about a specific case. Of course, I can't specifically...
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u109	Maybe you should try to pass that on to me on an anonymous basis. Then I'll get it to the Task Force Vaccination. I'd like to know what kind of case that is.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u110	Is there nothing else you can do about it? A person who cannot be vaccinated must deposit 55 euros each time to go to a festival or to travel, and later to have a beer. It's not very social.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u111	No, we look at the problem of people who cannot be vaccinated for medical reasons with the RIZIV, because then we can ask the question of how to deal with testing requirements for such people. That's what we're looking at. However, what you are presenting is someone who cannot be vaccinated and who cannot be tested. That is very special, I must say. I do not want to rule out such a particular case, but I would like to see what kind of case that is.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u112	When people come to me with such a case, of course I do not ask to show me his or her entire medical record.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u113	Let's be serious. Dirk Ramaekers is a doctor. If you have a medical file, you may, with respect for the medical secret, contact a colleague or have the case examined.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u114	Mrs. Sneppe, I suspect that your reply was contained in just going beyond the formula of question and answer here?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u115	That's right. It's a strange answer from the Minister, but that's what I'm used to in the meantime.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u116	Debates of the European Parliament Mrs Gijbels' 55019395C has been converted into a written question.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u117	Minister, this question is somewhat dated, because the situation has already changed somewhat. My question is about the obvious fact that after a covid infection a mRNA vaccine would be sufficient to achieve a sufficient antibody response. According to the latest evidence, this response is even stronger than a double vaccination in previously uninfected people. Apparently the serological tests play little role in our vaccination campaign. I don't know why that is. How come serological tests are not accepted as a disease? Why has it been chosen that only a PCR test can prove a disease? Is someone who has antibodies and has received a covid vaccine accepted as fully vaccinated for obtaining a corona certificate?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u118	Mr President, Mrs Gijbels, what role does serological testing play in the vaccination campaign? In a recent opinion, the Supreme Health Council recommends that people who have already been through COVID-19 should also give a full vaccination schedule. This advice takes particular account of the phenomenon of the new variants. After all, we know only of the Wuhan virus, the English and the South African variant, that one shot is enough. Why is the serological test not accepted? That question is actually a little answered by my previous answer. We are very uncertain whether we can decide on the basis of a serological test that someone is adequately protected. Another fact, which you ask for in another point, is a positive PCR test of up to six months old, which is considered to be a recovery certificate when using the corona certificate. So we accept a positive PCR test, while we believe that a serological test is not so easy to decide that people are adequately protected. That is why we say that these people still need a full vaccination schedule. I hope that I have answered the questions clearly.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u119	Thank you, Minister, for your reply. With all the rules and decisions taken, I do not always see clearly what they are based on. For example, you refer to the Supreme Health Council, which would recommend double vaccination in people who have been through COVID-19. However, I just read a very recent recommendation from the High Health Council that one dose of a mRNA vaccine after an infection should be sufficient. I find that confusing, at least. In other countries, moreover, this is understood in a different way. That's how I learned the story of a Swedish professor who came to a conference in Leuven. A single mRNA vaccine infection was not accepted here, whereas it was accepted in Sweden. I am therefore not always clear on what data is being used and I find the differences between the countries very confusing. Can you refer to the opinions that have been given correctly on this issue? That would be interesting.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u120	I was just referring to Opinion No. 9634: 1 or 2 doses if infected with SARS-CoV-2 of the Supreme Health Council. I know what you mean, in the various activities of the High Health Council, it has indeed been pointed out that one shot is effective for people infected with certain variants of the virus, but I think that the general advice of the High Health Council is nevertheless that we must fully vaccinate all people in the vaccination campaign, including those who have been infected once, in view of the new variants. There is also the doubt about the interpretation of serological tests, in particular how to read them in terms of being protected from the disease.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u121	Debates of the European Parliament Question No 5, by Mr De Caluwé: Mr Creyelman's 55019449C and 55019511C are converted into written questions.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u122	I'll go over the questions. First question: is there a view of the number of aspergillosis infections in covid patients? Were guidelines issued to test for aspergillosis? In the clinical surveillance of the hospitalised covid-19 patients, it is asked whether the patient develops a fungal infection. However, the diagnosis is complicated and can only be made correct by a combination of present risk factors in the host, mycological criteria and radiographic criteria. These specific criteria, necessary for an accurate diagnosis of invasive fungal infection, are not questioned in this covid-19 surveillance. The surveillance indicated that 0.69% of the patients under surveillance, 203 out of 29.230, had contracted an invasive fungal infection. That can be both an understatement and an overestimate of the actual incidence, because of the reasons I have indicated. There are international guidelines on the diagnosis of fungal infections, which are also applied in clinical practice. I come to the second question. The environment in which a hospital is located would increase the risk of fungus spores in the air, e.g. when buildings are in progress. Are hospitals informed about that, so they're more alert? Your third question: is there a general national plan of action? Excuse me for being brief, but I would like to refer again to the international guidelines on the treatment of fungal infections applied in clinical practice. I think you will find the answers there. We have formulated something like a national plan of action. We believe that the international directives form a solid basis. As far as your last question is concerned, do we have any idea of the resistance? Is that being investigated? The follow-up of antifungal resistance is done via the NRC, led by Katrien Lagrou of UZ Leuven. In 2019 a report was published on the basis of the data from the national reference centre:Mycosen. Epidemiological surveillance in Belgium. 2016-17. I would like to refer to that report that you find on the website of Sciensano.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u123	If I understand correctly, in our hospitals 0.69% of patients with these fungal infections would have been diagnosed with COVID. In the figures I myself have, there are 15% fungal infections in covid patients in the intensive care departments. I thought that was a big cut. It also seems to be a long way from the figures you mention. I assume that diagnosis is not easy either, and it is difficult to find out whether the fungal infection was already present before or when it appears exactly in the disease process. I will certainly consult the reports to which you refer and perhaps come back to them later.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u124	There is indeed a big difference between the international publications to which you refer, and which zoom in on patients in intensive care, and the Belgian data you requested. They're of a very different order. I assume, of course, that our intensivists also know and follow this literature. However, I have no explanation for the great difference you have made.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u125	Minister, I have already asked you a question on this subject for the holidays. Meanwhile, the vaccination for the plus 12 has already rolled out. I would like to come back to it again and update my question. The WHO believes that children should not be vaccinated at this time: "There is not enough evidence yet for the use of vaccines against COVID-19 in children to make recommendations to vaccinate children against COVID-19." I read today that experts in the UK see that there is more myocardiitis after a second vaccination in boys around 14 years of age. In the meantime, they advise against vaccinating young people. My question is, therefore, why do you not follow the WHO's advice not to vaccinate young people and apply the precautionary principle? Do you intend to follow the advice of the UK experts and stop vaccination of young people? What scientific insight does the roll-out of vaccination for young people depend on? I'd like some references on that. If you do not want to apply the precautionary principle, who is responsible for any side effects and damage in the medium and long term? We are talking about our young people, Minister.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u126	Mrs Sneppe, I'm a little perplexed by your question. Why should we stop it? We have decided after the advice of the Supreme Health Council. That council looked at all the literature on this and held a debate on it with the Task Force Vaccination. The vaccine is offered to young people from 16-17 years of age as we offer it to adults. Children between 12 and 15 will also be given the opportunity to be vaccinated. That decision gave a detailed consideration to the assessment of risks and benefits. It seemed clear to us that there are more benefits than risks, taking into account everything we know about side effects. You're suggesting we cover for side effects. The problem of side effects is commonly known. That's not specifically a problem for children. The balance of benefits and risks has been duly taken into account. Liability for serious side effects with regard to children is regulated in the same way as for other age groups. The debate that has attracted the WHO is a debate on priorities. The WHO perhaps says first of all to vaccinate the population of poorer countries, developing countries, before starting with children. That is a convincing plea, for example in the case of a booster for the elderly. As long as there is no convincing scientific evidence for this, these vaccines can be better used in third world countries. For the truly successful completion of our vaccination campaign, we believe that there were sufficient arguments to vaccinate Belgian children between 12 and 15 years of age and not to use these vaccines as a priority in the third world countries. We were of the opinion that our vaccination campaign was well completed, assuming that that group would also be vaccinated. That can, of course, be discussed. That debate was held in detail before and during the summer. The scientific insights can all be found in the advice given.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u127	Minister, I would like to read out the WHO quote on their website: "Children should not be vaccinated at the moment. There is not enough evidence yet for the use of vaccines against COVID-19 in children to make recommendations to vaccinate children against COVID-19." It does not say here that we should inoculate the third world before we start our children, but that there is not enough evidence yet for the use of vaccines against COVID-19 in children. As a concerned mother, I wonder on what scientific basis you say that we should still vaccinate our children and young people if there is not enough evidence yet. As a good mother, I'd look the cat out of the tree and apply the precautionary principle. You give an answer again, which means that the trees are no longer seen through the forest. This is not about the Third World, it is about our young people. The experts in the United Kingdom who now find that there is more myocardiitis in young people after the second vaccination, and especially in boys, advise against vaccinating young people, and you say that we should not, that our experts say something completely different.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u128	You flirt with antivax all the time. It's outrageous what you're doing.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u129	Well, that's your answer. Anyone who asks critical questions is immediately pushed into the corner of the antivaxers.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u130	Now listen to me instead of making up fake news.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u131	I'm not an antivaxer. If you give me that kind of answer, you won't have to answer anymore. I am not an anti-vaxer, but I would like you to apply the precautionary principle to our young people.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u132	What you say about myocardiitis has been studied very extensively and there is a lot of scientific literature about it. This is followed up and all experts who are working on it say that this is not an argument not to vaccinate young people. If you think you know better than all those experts by referring to it, you flirt with antivax. You do that a lot. That's your hallmark in this committee.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u133	I want to get you the article. It was in Latest News. Now HLN is antivax too? All those experts in the UK who now say that we should be more careful and apply the precautionary principle are, in your opinion, not experts, but all anti-vaxers. I guess that's what you're saying.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u134	Mr President, Minister, I can be very brief. It is also a written question, which we have been submitting for a long time, but to which we have never received an answer or a satisfactory answer. Either you save me the trouble, because the answer contains quite a lot of numbers and you send me the answer via mail, or I will read my question.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u135	Mr President, Mrs Sneppe, it is not so much that I do not want to read the answer, but it contains, among other things, a graph which you should see. I would therefore ask you to pass it on. I have a detailed answer, but it also contains a graph. So I suggest I send it to you. Is that okay? It could happen right away.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u136	Mr President, Minister, thank you very much.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u137	I would like to thank both the Minister and Mrs Sneppe for their conciseness and pragmatism.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u138	Minister, I will conclude the session and thank you for your time. I would also like to thank those Members who have asked questions today and stayed until the end. I am thinking, for example, of Mrs Gijbels, who is still visible. Minister, you can leave the premises four minutes earlier than promised. Ladies and gentlemen, have a nice evening.
