ParlaMint-HR_2009-06-30-0.u34361	To what point of the agenda could we do tonight?
ParlaMint-HR_2009-06-30-0.u34372	Thank you. A few corrections. Mr. Representative Emil Tomljanović, first.
ParlaMint-HR_2009-06-30-0.u34373	So indeed in a number of incorrect allegations, I will correct only one, when my colleague has repeatedly said, quote, that the investigation committee or most have prevented the hearing of witnesses. That's not exactly an esteemed colleague. The investigation committee did not prevent the hearing of witnesses on all the essential circumstances that should have been assessed in the work of the investigation committee. The proposal was rejected to face witnesses because it was considered an unnecessary waste of time and in fact contrary to the provisions of the law and the decision to set up an investigative commission, so I will quote. "According to this, the Commission of Investigations is obliged to carry out research actions for which it was established no later than three months." So, within 3 months, "and afterwards submit a report to the Croatian Parliament with a proposal for measures." Everything you have suggested, you have proposed to extend this deadline and to continue and further politicize this tape on these issues. Thank you.
ParlaMint-HR_2009-06-30-0.u34374	Second Mr. Representative Andrew Hebrang.
ParlaMint-HR_2009-06-30-0.u34375	Thank you very much. Well, there's a colleague, Beus, driving all the time by truck on the left, and I've got to fix a whole series of driving parts. First. He said such trucks could be delivered by eight manufacturers. In this letter of November 25th, the headquarters told Minister Roncevic at the time that none of the suppliers met the technical characteristics except for the two. The minister of those two chose... The second is incorrect that General Milicevic has rightly carried out inspection. [[The speaker doesn't understand.]] Croatia is no longer in the system where the generals were superior to the minister. And that's what General Lucic said in his investigation. So, General Milicevic illegally took control of the minister. Other state administration bodies are operating over the minister. And third, that the State Audit gave the wrong offset report. Offset programme was introduced by Minister Roncevic, the regulation was not adopted and therefore the offset amounting to 16% of the domestic production of those vehicles was made that year later when the regulation was adopted. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34376	Third Mr. Representative Krunoslav Markovnović.
ParlaMint-HR_2009-06-30-0.u34377	Thank you, Mr. Vice President. Well, here's where my colleague Beus Richembergh talked more about the documents, and there wouldn't be so many false allegations about impressions. Because he must have been impressed by the amount of documents. Here, first of all. The vast majority of the members of the committee tried to prevent work. That's not true. The problem with the commission was the moment the last documents arrived. And then it was seen that the affair had nothing to do with it. And here was the panic of the SDP and HNS promoters. Next, these aren't military trucks. So another inaccuracy. For the export of trucks from Germany that were produced trucks to Germany, the defence minister had to sign that these trucks were being exported out. I doubt our carriers get a signature from the Secretary of Defense when they buy trucks. Next, third. Ms. Šima Krasic had no documentation, so she did not deal with price comparisons. Wrong again. Mrs. Šima Krasic made it clear that the tender was cancelled and there was no need to discuss the competition at all. Finally, if the State Review were to deal with all cancellations in Croatia, I think that's all it would do.
ParlaMint-HR_2009-06-30-0.u34378	And fourth, Mr. Representative Berislav Roncevic.
ParlaMint-HR_2009-06-30-0.u34379	Thank you very much, Mr. Vice President. Indeed a series of incorrect allegations. Some have already been corrected. But I'll do it again, because obviously in this story it takes a lot of repetition, it takes a lot of shape. Two incorrect allegations, the esteemed representative Beus said the inspectorate has always supervised the ministry. It never is. The law does not allow it, and the examined witness, Chief of Staff General Lucic, said that he was also the Chief Defence Inspector and that he never went to the inspection report on the management part of the MORH because he... And another incorrect allegation, the Chief Staff did not determine the main headquarters did not ask for the mentioned document on November 25th, the Chief Staff of Logistics, the Meritor's Administration of the Central Command, and insisting on obtaining either Iveco or Mercedes. [[The speaker doesn't understand.]] "Iveco" was obtained because according to the contracted program, it was 17.5% cheaper. So it's true.
ParlaMint-HR_2009-06-30-0.u34380	Mr. Andrija Hebrang's club of representatives. Here you go.
ParlaMint-HR_2009-06-30-0.u34381	Thank you very much, Mr. Vice President. Dear colleagues and colleagues. I'd like to start by saying a few words in general about this affair. The "Caminia" affair is either a public procurement crime or a political crime in making up slander about a political rival, the third is gone. I hope that this debate, but also part of the ongoing investigation, will lead to the right answer in Croatia's interest. So, the charges of getting the trucks came out in the media. It is typical that the sources of these accusations were political centres of power, not the bodies of the state administration. So, we've never read in the media the charges of law enforcement, in the ranks of the state's attorney, in the ranks of the audit, but always from the center of political power. What were the charges? There were so many different people, it was immediately clear that something didn't smell. The first charge was that the minister embezzled 14.8 million kuna. It is the accusation of Joza Milicevic. The second charge was that he embezzled 10 million kuna, allegedly from the police. Which Mr. Faber denied. And third, that 5 million kuna has been subscribed due to unpaid VAT, which was naturally denied by Ms. Šima Krasic. The offset claim was also made up, as he was a year later when mature legal convictions were realized. So 16% of the work was done by domestic factories. The fifth announcement was that the trucks were not used. It was denied by General Lucic's investigation. And in the end, the State Audit was changing the statements. No, I don't. According to the European Union's guidance, the state audit came out before this Assembly as well as all previous years with a summary report. And in that summary report, she found that there were no irregularities. So, then who fabricated this affair? Someone who cares about the cancellation and investigation of the police and surveillance of the State Audit, who had no objections to the purchase of the truck. I have to express one fence here, because another part of the investigation is under way. That's the part that leads the Bounce. And it's a shame that our debate came before Uskok gave his report. I am deeply convinced that this debate will not be any pressure on the USKOK investigation. HOPING has so far shown its high professional consciousness. USKOK has proved that it is not subject to political pressures, so I am sure this time it will give objective supervision, the result it was. About the commission's work, too, a few words. The work of the commission worked according to the Rules of Procedure. A session was interrupted when the chairman of the committee failed to put our proposal on the agenda. And that's why we thought the session would continue, because the chairman of the committee broke the Rules of Procedure. That's what you can tell from the records. Most of them continued and made their own conclusions. If we were under pressure in the commission, we were. I will personally tell you two examples concerning me. In one Mr. Stazic as chairman of the commission, he accuses me of trucks. Don't be surprised. He's accusing me of being Deputy Prime Minister back then. Mr. Stazic knows well that at the time of signing this contract and selecting a truck, I did not act as Deputy Prime Minister, but at the hospital I fought for my own life in a hemorrhagic shock where mortality is 90%. Mr. Stazic knows that but he cares about other people's lives when it comes to the political goal. The second danger over my head was when I read in the paper that Mr. Beus was a member of the board on the Internet who wrote that he needed a doctor, perhaps he meant Dr. Cosic, I would be glad that his head, that the doctor from the commission should be lobated. ... I said I'd read it in the paper, I'd show you the clip, and you didn't publish it. [[You can't hear the intruder.]] So the doctor needs to lobotomy and let him burn in hell like a match. Why like a match? Because while the matchhead's on fire, you can't shut it down. So there was pressure, but despite that, we did do the task this Parliament gave us. From the results of our investigation, I will quote key sentences of key witnesses. Jozo Milicevic was heard at a secret closed meeting, according to the defence minister's decision. The result of that hearing was published the second day in the Morning List. I read Joza Milicevic's hearing in "The Morning List" earlier than I received from the parliamentary services as a member of the commission. It is the paradox of the moment of Croatian politics. So why is it that Jozo Milicevic and his report of a difficult meal, the embezzlement of nearly 15 million kunas, is not legal? Because General Josip Lucic, the Chief of Staff, is testifying to us. When asked if he was allowed to exercise the supervision of the General of the Civil Minister, he replied: "In my practice", and he was Chief of Staff and was the Chief Inspector in two terms. "In my practice," I quote page 51/1 of the phonogram, the chief of staff said: "In my practice, the chief inspectorate never supervised the ministries because the ministries were institutionally superior to the inspectorate.". The last sentence of Joza Milicevic's report completely excludes him from serious consideration because it reads: "Not all the documents were available to us, but if they were the conclusion might be different.". That sentence, of course, wasn't transferred by "morning" the next day, but it skipped, it was perhaps for some obnoxious people, but for those of us who wanted to be objective, it was completely read. He accused a man of 14.8 million kuna embezzlement but without documents because if he had them as I admit the conclusion could be different, so now Roncevic is taking it out. Why didn't he have the papers? Because he went into illegal surveillance. He admitted himself, you see in the phonogram, that he didn't read the Defense Act so he didn't know if he was competent to oversee the minister. That's too bad. From the long quotes I would quote Mrs. Šima Krasic. We asked Šim Krasic if she had identified any irregularities in her supervision. She replied, quoting phonogram 32/5: "No. We have found irregularities that have affected the giving of opinions but have not found illegal actions. The state inspectorate didn't find any illegal stores.". Next to us, an unusually important witness was Mr. Vladimir Faber, who was talking about a police investigation. Page 41/3 of the phonogram, on the question of whether a suspected crime was committed in the purchase of the truck, Mr. Faber replied, quote: "No. If we had found reasonable suspicion of a criminal offence, that any person had committed a crime, we would have decided on the form of a criminal report rather than a general report to the State's Attorney's office.". He added that investigations continue to be carried out, that the State's Attorney's Office can still initiate the procedure, etc. But he said, "No, we didn't find the elements of the crime.". Neither the police nor the State Audit found the elements of the crime, and they are very credible witnesses to us. And now that we've quoted key players to see what happened briefly with that purchase. Therefore, the first invitation to tender has been annulled on the basis of Article 64(1). The public procurement law, and the State audit, and the police had no objections. The contest has been annulled, who wants details, I cannot explain for a short period of time, let him read this article of the law. The second invitation to tender was held on the basis of Article 5, but now points 5 and 7. Public procurement law which determines how the tender takes place by direct contract. Neither this second competition nor the audit nor the police had any objections. Everything in the papers, on TV, etc. The report came from political centres of power, not the police and the State Audit. We'll see if it's from Uskok soon, apparently. In the second competition, the prices received in the first tender for that group of vehicles were agreed. So prices aren't made up, they're not bigger than they were in the first competition. Now, how did those who mutilate water try to cast the mud into clear clear water? The first competition offered six bidders with different prices. By letter from the Chief Staff, you have it in your attachment, since 25 November 2004, four bidders are excluded from those six because they do not have satisfactory technical characteristics. And the headquarters says, "We agree with the following offers," and quote the types of vehicles they agree with. There's all six types of vehicle listed. At the same time, there is a final dynamic in NATO's pre-accession negotiations. Therefore, the need for vehicle groups is changed and some vehicles are supplied. For example, a sanitary vehicle for NATO is not necessary, a bus for NATO is not necessary, a van for NATO is not necessary, it is decided because negotiations are pre-accession, as Minister Roncevic led those negotiations, I congratulate him once again, very successfully, we saw the result when we were admitted to NATO. He was in charge of the negotiations, and he was instructed that we should strengthen military trucks, so of all six groups of vehicles, he decided to buy the so-called. Group 2. For Group 2 this memo, the headquarters was exclusively except for the Iveco truck and Mercedes, and due to this letter, the service of Minister Roncevic of the then minister continued a direct contract with only the two producers. So, not by your own free will, but by the choice of headquarters. Why headquarters? Because the headquarters is the advisory technical body of the minister, because the ministry has no person who could even interpret the technical characteristics of the vehicle, the headquarters has them. It excludes four suppliers not because they are not good, and they have military performances but did not offer them in this contest. So it's not true that other NATO countries have these manufacturers with equipment that is offered, no, have a much higher level of equipment that has, of course, a much higher price. And what vehicles were purchased? Vehicles only from another group, those unnecessary at that time due to the NATO-access dynamics, were not obtained because there was no money, only vehicles from other groups and only according to the headquarters's recommendation. Iveco and Mercedes entered the short-term selection. Of those two, the ministry found Iveco cheaper around 16, 17%. And that's why Iveco chose. So Mercedes was more expensive by 16%. And another proof that it was all right is that none of the bidders complained about the choice and had legal options because they knew that they had offered these four technical characteristics below the level required and Mercedes had good vehicles that needed to meet the conditions but was 16 to 17% more expensive. So this isn't about public procurement crime, it's about procedures that both the authorities, the police and the state audit have given the opinion that it's perfectly fine. Who then invented the affair and what it serves I leave the public to judge. But in advance I can argue, the irreparable damage to the Republic of Croatia has been done because the affair of trucks across Europe has been taken as an example of corruption at the highest level. We see here that corruption was not met, that NATO standards were met, that everything went according to the Public Procurement Act, that that made four suppliers that were cheaper and that you see in so-called. Stazic's columns are mostly red, compared to those excluded by the Staff with those bought by the ministry. So why do those excluded compare? For political reasons. Once again, I conclude. There's been a lot of imaginary affairs. The Zuzul affair, it had to leave the government, has now won a dispute in court, but the consequences have remained politically. Not long ago, Dr. Bergman, a former HZZO director, accused of attracting a million euros, all the investigations showed that he did not, the man was demoted along with his family for life. Rončević will hope to save us, not only with this parliamentary debate, but also with the investigation of Uskok, we will see what will be the result. But in conclusion, the following, imaginary affairs are harmful for two reasons. First, because when the public is busy with imaginary affairs, it enables real corruption to progress peacefully in the background. And others, because we muddle ourselves in front of Europe, we raise ourselves a reiting perception of corruption on cases that later in court show that they were not corruption but the lamb in Croatia, to individuals remains. And finally, we appeal that the affairs are not made up, that the real criminal offences are being prosecuted by all means through the courts, so if you want to condemn the media but that democracy in the Croatian state is not being misused. Thank you.
