ParlaMint-NL_2015-12-21-eerstekamer-4.u1	We have arrived at the second term of office.
ParlaMint-NL_2015-12-21-eerstekamer-4.u129	That's no secret at all. On that motion I said that I fully support the direction and that I consider the motion to be superfluous in that respect. I also said that the 2018 date mentioned in the debate is very probably not feasible, because the chain partners do not keep up with it. The petitioner said he wasn't hammering on that. The motion was then put to the vote without this date being targeted. I can explain that it is not feasible. That is not a new fact at all. In that sense, it is also politically attractive that this is the line that there are many things on which the parties in the political spectrum disagree, when it comes to box 3, but not about the final picture. A tax based on the yield actually achieved is an acceptable final picture for many parties. That is a resounding perspective, because there are enough things in taxation that we do not agree on.
ParlaMint-NL_2015-12-21-eerstekamer-4.u130	I have a practical, clear question: when does the Secretary of State foresee this interim report?
ParlaMint-NL_2015-12-21-eerstekamer-4.u131	I made a commitment to next year's tax plan. Then we'll know more. Then there's more substance to talk about the content. Then there is something to say about implementation and feasibility. That is perhaps also a particular point of interest for this Chamber.
ParlaMint-NL_2015-12-21-eerstekamer-4.u132	I would ask everyone to intervene as briefly as possible and at once.
ParlaMint-NL_2015-12-21-eerstekamer-4.u133	Mr. Chairman. I would like to take this opportunity to say that our group has every confidence in the Secretary of State on this point. He said in the House of Representatives that he would not be able to meet that date in all aspects, but that he would go as quickly as possible.
ParlaMint-NL_2015-12-21-eerstekamer-4.u134	Yes.
ParlaMint-NL_2015-12-21-eerstekamer-4.u135	That's what we're gonna hold him to, and we're gonna rely on it.
ParlaMint-NL_2015-12-21-eerstekamer-4.u136	Following on from what the Secretary of State has just said and what is of a high level of reality, is it so strange that Mr Van Rij, knowing that next year the tax plan will come into sight, but that the introduction may or may not be after 2018, asks in his motion to look at a revision in that bridge period next year? That seems to me to be quite realistic in the realism shown by the Secretary of State.
ParlaMint-NL_2015-12-21-eerstekamer-4.u137	I just went into that. With all due respect, it's the same question again. I think that the energy should be in the development of a system that has broad support and that is based on the real efficiency. We must not waste our time on interim, superficially quick-thinking alternatives which will prove to be very resilient in practice. Over the past year, a huge variety of box 3 solutions has been considered. Many of them do not charge around, are impossible, extremely prone to fraud or a disaster for the Tax Administration. I'll see what questions I haven't answered. Mr Van Rij has asked a question about the Schalk motion, but I shall deal with it in a moment. Mr Ester's motion will also be discussed. Mrs Vos has asked why we are extending the third disc. She surprised me with the precision with which she then gave all the answers herself. The only argument that has not yet been mentioned is that this has to do with the complete reduction of the general tax discount for that same group, so you're giving away something, but you're also taking something away. That needs to be balanced. Eventually, there is a limited increase in purchasing power for higher incomes, albeit within the group of workers, within the sine qua non of a balanced income ratio. The workers at the bottom get more percentage. All in all, this was considered to be a good balance between a balanced income ratio and the incentive to work, through lower labour costs. In addition, not only workers were looked at. Apart from these objectives, there has also been significant purchasing power repair, including for the non-employed and for the elderly. Anyway, I've already said that, and I won't speak provocatively. Along that line, that's what happened. What we should also keep in mind is something that we did not send directly, but which is not unimportant. If you lower the burden on labour at the bottom, you get mainly profits in terms of the number of jobs. If you do that at the top, it contributes more to economic growth. It's gonna take a mix of those two. The top also provides work for the bottom. Many CPB notes have been published on this subject. Innovation or a huge economic activity of highly educated people, a kind of creative class, is ultimately also the engine for employment at the bottom. In that balance, this is done.
ParlaMint-NL_2015-12-21-eerstekamer-4.u138	When the Secretary of State has finished his remarks on the balance of income, I would like to ask him to respond to the imbalance I have observed between the different income groups, regardless of the source of their income. The last document, the note following the report on the novelle, shows on page 5 Table 2 on the median purchasing power development in 2016. That is after the Tax Plan, but including the purchasing power repair for the elderly and those with benefits. He writes: about all these types of income measured, the low household income, less than €35,000, is up by 0.7%, that is €130, I say, and the high income, more than €70,000 per year plus 2%, so that's €1,000. Why does he keep calling that balanced?
ParlaMint-NL_2015-12-21-eerstekamer-4.u139	I believe that 42 tables have been provided in this debate, but I know what Mr Köhler is talking about. The answer to the question why we consider it balanced is as follows. We have made a distinction, even if it is not embraced by everyone, but we have done so, between workers and non-workers. Within the workforce, the highest percentages do indeed go to the lowest incomes. Mr Köhler was right to point out the purchasing power figures for income groups. In addition, workers and non-workers come together. Many of the non-working people arrive in the lower group and those who lengthen it with lower percentages. It has been chosen to repair to a zero level, but not in all cases for the same level of pay as for workers. That's a choice; that's true. Therefore, this mixing group finally reached a lower percentage at the bottom. When you disintegrate that again into the workers and the non-working, you can see the image I gave at the beginning of my speech. That's been a choice, too. I understand from Mr Köhler some time ago that he would certainly make that choice differently, and I understand that in his case. Mrs Vos asked a question about municipal taxes. I think I should reassure her without being able to be very specific. Mrs Vos asked whether what I said about no income effects means that it is an equal amount for every citizen. The choice of the base is still open, but the technique is not to look at a load isolated and then to see if you're doing something income neutral or that you're leveling or de-leveling. This is not the way a tax system works and we should not do it that way. You enter a tax or you expand a municipal tax area. That's on some basis. At system level, income effects are then secured. For example, progressivity must be guaranteed at system level and not at the level of one measure. This means that we never talk about a municipal tax alone, but always about a municipal tax with corresponding measures, for example in the sphere of income tax. The argument that this still has to be done within that peripheral condition of balanced income relationships concerns the system as a whole, including a possible municipal tax area to be introduced. The remark that there should be no income policy relates, for example, to the fact that it may be attractive for municipalities to unilaterally avert certain tax increases to small groups or non-voters. Let me give an example of the first. They could be homeowners, for example. There are big cities, I know one up close, in which the homeowners certainly make up less than half of the electorate. Well, then maybe it's attractive to tax a little bit there. You may think so, but that's not the point. The second thing you can think about is getting it from the entrepreneurs because they don't vote. That too is not the intention of the cabinet to create that incentive. The aim is to make municipal elections more contentful and to offer municipalities a greater choice. Whether they are going to tax less or more, they must fight in their election struggle and their governance. The intention is not to provoke these kinds of secondary effects at local level. There are explicitly those at national level. There is also a tax system. Shifts are conceivable. That is all possible, but the cabinet has not chosen to do so again at municipal level. Nor is that the use of these municipal taxes.
ParlaMint-NL_2015-12-21-eerstekamer-4.u140	It is, of course, difficult, precisely because municipalities will be given the freedom to do so. Each city council will think differently again, and that leads to different systems. Then, of course, it becomes complicated how the national income tax system could possibly add to that, because in one municipality it will work out differently than in the other. In this sense, I find it difficult to say that it should never be income policy. That can also go exactly the wrong way and perhaps it is sometimes necessary to take account of the different incomes in your municipality and therefore to look at how taxes in your municipality also affect those different incomes. I would be sorry if the cabinet went so far as to say that it should not be allowed at all. Anyway, we will have that discussion.
ParlaMint-NL_2015-12-21-eerstekamer-4.u141	That discussion is about to come.
ParlaMint-NL_2015-12-21-eerstekamer-4.u142	Let's get on with it.
ParlaMint-NL_2015-12-21-eerstekamer-4.u143	That discussion is going to come, but the thought is that you have to set irrevocable limits to the extent to which, if you want to safeguard balanced income relationships at national level, you want to compensate again or.......................................................................................................................................................................................................................................... That is also the consequence of taking responsibility for income relationships. It means that you have to keep it a little under control and that you don't allow others to radically reverse that image, because then you don't guarantee those income relationships anymore.
ParlaMint-NL_2015-12-21-eerstekamer-4.u144	Mr Van Rooijen, briefly!
ParlaMint-NL_2015-12-21-eerstekamer-4.u145	I just wanted to talk about taxation at the state level, because that is what we are talking about here, at least now. In the letter I read about 4 billion reductions in income tax through taxes on labour. So that's not for the people who don't work anymore, the AOWs. This, of course, also has major purchasing power implications. Will the Secretary of State continue to systematically exclude the non-employed from tax relief? That is a very fundamental question.
ParlaMint-NL_2015-12-21-eerstekamer-4.u146	First of all, I would like to comment on the first two points, because it is pertinently incorrect that the non-working people of the 5 billion have been cut off. In all kinds of forms, there has been purchasing power repair. In fact, for 2016, the older people are more than proportional to the basic path. Thus, systematic allocation to workers is not the case. I agree with the statement that, even if a municipal tax area is introduced, balanced purchasing power developments will be taken into account. That applies to all groups.
ParlaMint-NL_2015-12-21-eerstekamer-4.u147	A brief reaction, Mr Van Rooijen, and then this item is closed.
ParlaMint-NL_2015-12-21-eerstekamer-4.u148	I understand. The word'systematic' referred to the remark I made earlier, namely that structuralally the non-employed are excluded from the tax reduction. That's what I said. I know that a one-time repair has indeed been done, but older people are not only there for repair. They also have structural rights.
ParlaMint-NL_2015-12-21-eerstekamer-4.u149	That's right. This is why the 2017 Tax Plan has a total of 200 million structuralally repaired and in such a way that the elderly discount is back to its 2015 level. Mr Backer indicated that he needed to talk about capital taxes more fundamentally. This could be done, for example, if we had a more detailed explanation next year as to what a box 3 system might look like and what the possible avoidance of us is asking for. In that context, we could have that discussion. He also considered it desirable to have legislative proposals earlier. That's what he said, but I think he meant he wanted to have the discussion earlier. The legislative proposals for the Tax Plan are, of course, consistent with the Millions Note, so I think he means that the discussion should be planned earlier. We're just puzzled about how to do that. We can also see that a great deal is being asked of Parliament here. I am also in a constant sensation of haste here, and that does not always help the discussion and does not always improve the humours. So we are still looking for the way in which such sounds can be done right. As soon as I find something, I'll get back to you on that. We're jigsawing about that internally. Mr Ten Hoeve asked for the inheritance tax to be included in further reforms. Other parties have also requested this. Nor do I think that we should say that the inheritance tax should be excluded from reform. He's asking if we can get back to work. I have just said something about this. The ambition has been there since Prinsjesdag 2014 and the directional plans have been there since this summer. We're gonna have to live with things like that always going step-by-step. It will not be up to me; I prefer big than small steps, but we have to hold on to each other and you can see how difficult that is if the amount of reform is not overwhelming. His plea for simplicity I turn out and hang on the wall. I think I have addressed his questions about box 3 in the sense that it will probably amount to some form of hybrid systems. He can call me on that next year. Mr Schalk asked if the promised letter would also come to the Upper Chamber. I would like to make a commitment to this. That letter will be around the summer and I'll make sure she goes to both chambers. He asks me if I am going to go into options to reduce the differences. I think that's a rather wondrous figure. He actually invites the cabinet to go into the 50 ways to undo its own cabinet policy. When I was a little boy you had the song "50 ways to leave your lover." This looks a bit like it. I do not think we should do this, but I would like to go along with another commitment that Mr Schalk is asking, namely whether I am prepared to continue constructively and to do so in the first months of next year. The answer to that is yes. I'd very much like to be willing to do that. A small lesson from this phase of the Tax Plan is that tax plans are also a little out of touch with the processical and political logic of recent years. The fact that the cabinet is thinking about what is considered to be a reasonable middle and sends it to the Chamber has not always helped. This is becoming more and more difficult, and we have to establish this with each other. In any case, I had put some homework on my mind to start with the 2017 Tax Plan in the first months of next year and to go around sounding around to see how the different things are being thought about, as far as I don't already know, but there too can be done in depth. In this context, I will report to Mr Schalk's party.
ParlaMint-NL_2015-12-21-eerstekamer-4.u150	It's great you're gonna check in. Can I also know on what time it will be? If the letter is there by summer, we know that there are in fact long lines to the Tax Plan and that might be a little too late. Can you give us a more specific indication at what point we are beginning to speak?
ParlaMint-NL_2015-12-21-eerstekamer-4.u151	I suggested something about it. I have planned my period of intensive caffeine intake for the first three months of the following year.
ParlaMint-NL_2015-12-21-eerstekamer-4.u152	Thank you for this offer. I'll make sure the coffee's ready.
ParlaMint-NL_2015-12-21-eerstekamer-4.u153	Mr Van Rooijen, a brief question.
ParlaMint-NL_2015-12-21-eerstekamer-4.u154	Can you promise that you will also look at the Nagel motion, which has been adopted here, with speed?
ParlaMint-NL_2015-12-21-eerstekamer-4.u155	Look, it's not that. I looked at her. I note, however, that the majorities in one Chamber are not always the majorities in the other Chamber. It's not looking.
ParlaMint-NL_2015-12-21-eerstekamer-4.u156	Two motions have been passed. I wouldn't want you to make a difference between two motions by looking at one and thinking about the other.
ParlaMint-NL_2015-12-21-eerstekamer-4.u157	I believe that Mr Van Rooijen asked for a look and Mr Schalk was thinking. I also want to promise, think and watch it symmetrically in the opposite direction. Mr Schalk says that I have said that he has hit the subject. I think so, too. He's staged his theme in a very visible way. That does not mean that the cabinet shares its objections. In the General Financial Reviews I said that I have to admit that the examples are sanding here and there. That's how far I've gone. I congratulated him on the arrangement of the subject, but I did not automatically say that I supported his objections. I did say that I understand his objections. He argued that this should be taken into account in the interpretation of the models. I had to think about it while he argued it. Then he told me to do it with the heart, too. I'm one of those people who thinks you shouldn't do that too much with the heart, because all our hearts point a different direction. So that doesn't pay much. You don't care much about my heart. I always try to think logically from the public interest, while taking on board the various objections. If my heart suddenly has to do it all, it's not enough for all of us. It doesn't do us much good.
ParlaMint-NL_2015-12-21-eerstekamer-4.u158	Indeed, I will not ask you for your heart anymore.
ParlaMint-NL_2015-12-21-eerstekamer-4.u159	It's there, but it's not public property.
ParlaMint-NL_2015-12-21-eerstekamer-4.u160	Luckily, I hope it works well for the time being. I return to what I wish to argue. When there is a model, this can focus, for example, only on the economic value of paid employment. Caring or caring for children also has a value, an intrinsic value. This may be very difficult to measure, but there are possibilities to measure that. We do the same with the environment, which also gets value in a certain way. Would it be possible that, in addition to paid employment alone, the CPB also includes other aspects in the valuation?
ParlaMint-NL_2015-12-21-eerstekamer-4.u161	I don't think the models are for that. The value we attach to the results of these models is what you have been hired for. You are the ones who value those outcomes. You also attach different values to this. What one finds pleasant about income redistribution, the other finds a negative aspect. The value one attaches to paid work because it is not only work, but also participation or emancipation, is of interest to the other in a very different way or not. I don't have to start taking things like this. The cabinet has views on this; parties have views on it. It would be strange for me to pretend that my views should be included in a model and not Mr Schalk's. That would be weird. These debates serve to see who attaches what value to them. Those models shouldn't do that for us, and they can't.
ParlaMint-NL_2015-12-21-eerstekamer-4.u162	Briefly, Mr Schalk.
ParlaMint-NL_2015-12-21-eerstekamer-4.u163	This last speech by the Secretary of State fits very well with that of the director of the CPB, as it was in the Reformatorisch Dagblad last Saturday. She indicated that these models are ultimately mainly technical and not moral. We shall have to add that morality ourselves. We will be very happy to pursue this debate with the Secretary of State, and with each other.
ParlaMint-NL_2015-12-21-eerstekamer-4.u164	I would like to support Mr Schalk, surprisingly perhaps, in a plea for a broader concept of prosperity. That's what it's all about in the end. The models look at how we can achieve the highest possible economic growth, while we know that growth is only indirectly related to well-being. Does the Secretary of State support initiatives that are already underway to achieve a broader concept of prosperity and to use it as an inspiration for our policies? I am referring not only to initiatives from the Central Planning Bureau, but also to initiatives in cooperation with other institutes, such as the Social and Cultural Planning Bureau.
ParlaMint-NL_2015-12-21-eerstekamer-4.u165	There's always that understanding here and there. Something technocratic like, for example, a social cost-benefit analysis contains a lot of monetarized parts that do not fall into what we will call economic growth. The idea that the government would only be driven by economic growth is total nonsense. I believe that in 98% of the debates there is no economic growth and that we talk about things that never happen in an economic growth state in all kinds of other ways, from morality to conviction. The value attached to different issues is determined by politicians and not by model makers. Something that can be monetarianized, such as a loss of time, may be just yet, but it is difficult to determine what participation is worth or economic independence. The value Mrs Sent attaches to economic independence is in line with the value I attach to it, but there will be enough Members who think otherwise. Then there were some questions from Mrs Sent. She noted that 2017 was too late for the Budget Space Study Group. I must have caused confusion, because 2017 is not the date either. That study group will report directly to the public in 2016, probably mid-year. The cabinet isn't gonna be nesting on an egg for a while. I've caused confusion. I agree with her that 2017 is late. So it'll be sooner. Mrs Sent asks me to pay attention to the difference between reality and the perception of the various governments' share of the total revenue from taxes and premiums. It refers not only to the perceived relationship, but also implicitly to the visibility of that tax. Something that is deducted from your salary before you receive the salary is less visible than something for which you get an acceptance giro card on the bus. Many people are unsuspecting about the sometimes many tens of thousands of euros they pay to pay taxes and can become white hot from an attack they get from the municipality. We must pay attention to the important dimension of visibility, which goes beyond the acceptance giro card or the perception between those two amounts. In general, visibility plays a major role. I say to her that this visibility will be taken into account in the reflections later next year. That is very important. I'll tell you there are different currents. There are people who say: I like municipal taxation, but let it be as invisible as possible. Others say: a municipal tax area only has a function and a role and can only be defended if it is visible. It is precisely because these currents exist that we will pay attention to them. Perhaps Mrs. Sent already wants to convert to one of the two currents?
ParlaMint-NL_2015-12-21-eerstekamer-4.u166	Short, Mrs. Sent.
ParlaMint-NL_2015-12-21-eerstekamer-4.u167	I would particularly like to draw attention to the transition from the current situation to the new one. I can imagine that visibility is desirable, also from the perspective of democratic legitimacy. At the same time, it is important that there is now a lot of invisible and that there is a dependence. The transition must therefore be adequately supervised.
ParlaMint-NL_2015-12-21-eerstekamer-4.u168	Agreed. I can see that. I think I'm basically through the questions. I tried to be that for elves.
ParlaMint-NL_2015-12-21-eerstekamer-4.u169	You said at some point that you would come back to the Ester motion.
ParlaMint-NL_2015-12-21-eerstekamer-4.u170	I haven't run out of questions yet. What a bluff I am. You're absolutely right. There are two things I haven't done yet. Mr Ester asked the government, through his motion, to ask the CPB to process the most up-to-date data. As a result of the previous questions, we have understood ourselves with the CPB. That claims or, rather, insists that involuntary long-term unemployment may be similar to that observed in the 2006-2009 measurement period. In fact, the CPB believes that the use of the most up-to-date data would deteriorate the model. If I respond to the request, I suggest that I insist on a model change from a political point of view. The CPB objects to this on substantive grounds, whether or not it is right. I don't want to go in there. I don't want to influence the CPB in any way administratively or politically. I'd like to question the CPB, but don't put any pressure on it to come to any other conclusions. That would be very wrong. I believe that the cabinet should really not interfere with the final judgments of the CPB. That's also the power of the CPB.
ParlaMint-NL_2015-12-21-eerstekamer-4.u171	I shared that with you in detail last week. I fully support you in that. It's just not about other models, it's just about updating the data used for those models. As far as I'm concerned, the models don't have to change a millimeter. It's just a matter of using the most recent data. That's all I'm asking for in my motion, no more, no less.
ParlaMint-NL_2015-12-21-eerstekamer-4.u172	There is no lack of clarity about this, but whether it is a data change or a model change, it is not about the design of the model, but about the dates and thus also about the model outcomes. I would not urge the CPB to use other datasets from the cabinet in one way or another. I agree with Mr Ester that the cabinet can ask the CPB about this. Once the CPB's answer and final judgment are there, I have to take a small step back and let the CPB do the work in which it is so good, among other things be very critical of the cabinet. That really needs to go on. All in all, I believe that we have now debated the Tax Plan for 42 hours. In fact, I have listened with great fascination and admiration to the fundamental nature of this debate, while in the media it is sometimes dismissed as spielerei. It was about something. I really think this kind of debate is necessary. I'm glad they're here. We're not talking about nothing. I must also admit that I was very pleased with the support of the CDA. From the outset, that party indicated that there had to be room for some relief in the case of a attracting economy. I am also grateful to D66 for the very constructive co-thinking. I also thought it was important to get a party like D66, I say honestly. Of course, I was also pleased with the permanent reformist sounds from that angle, as you know from me. We still have a lot of people to convince. It's gonna be a while. We've got to keep going. We've got to keep going. I have previously expressed my respect, including in the House of Representatives, for the objections of the SGP and also the Christian Union, which were very fundamental. I complimented them on the arrangement. It's a fundamental discussion. From other parties I also respect and understand the criticism. At the same time, there is a very small point of concern, just before the holidays. Many parties had their own wishes. Unfortunately, many of these wishes were contradictory, I have to say. I also note, at least, that I am of the opinion that each of these currents has gotten something, although that sounds like I've given something away, which is not true. I'd better say that every one of those currents has gotten something done. The Chamber can share that view with me or not. At the same time, that is a reason for a lot of parties to say here too: I did get something done, but that is no reason to vote in favour. If we have a political climate in which everyone wants to achieve 100% of what he has put in place, while the wishes are so different, we are going to have a difficult time. I respect the objections of, for example, the PVV, but at the same time I see that it would vote against a tax reduction for workers and the elderly. I respect the firm fight of 50PLUS, but I think it is right and proper that thanks to this Tax Plan a lot is happening for the elderly, not 100%, but to a very important extent. In the Lower House I said with great respect to the GroenLinks spokesperson that I greatly admired his persistence on greening proposals. At the same time, I note that this is the most greening tax plan of the last five years. There are five to six measures in the greening atmosphere. It is not for me to decide whether GroenLinks is voting against, but it is a pity to see that the most greening system is one that they are voting against for the first time in years. I say to the SP that in the great repair of purchasing power at the bottom, although it is not large enough, before Mr Köhler wants to add it to me, there is the greatest increase in income for workers at the bottom. There's also a box 3 proposal that the SP doesn't spit on, I guess. Still, I didn't manage to get the SP because it's not 100%. That's the only shadow I see about this Christmas.
ParlaMint-NL_2015-12-21-eerstekamer-4.u173	Mr Köhler, a very short question.
ParlaMint-NL_2015-12-21-eerstekamer-4.u174	For the rest, I would like to thank the Chamber for this fantastic debate.
ParlaMint-NL_2015-12-21-eerstekamer-4.u175	Now that the Secretary of State invites us: we do not have that problem. The purchasing power repair for the minima, which is indeed there, albeit insufficient, is separate from the Tax Plan. Even if we vote against the Tax Plan, the purchasing power repair will be maintained. So the Secretary of State can't make that objection against us.
ParlaMint-NL_2015-12-21-eerstekamer-4.u176	I have no objection, I respect everyone's views. They are very skilled and often also witty put forward, but often very visual and with a lot of examples, in which a lot of work has taken place. Not a bad word about that, but I have some concerns about governance and my next tax plans. That's what I want to end up with.
ParlaMint-NL_2015-12-21-eerstekamer-4.u177	I will close the debate and deal with the legislative proposals. I'll do that by bill. I ask the normal question I always ask. It's no big deal. I am simply asking Members whether they want a vote or not. Would any of the members like to vote on the 34302 bill, the 2016 Tax Plan? The answer to that is yes. Then I go to the Law 34303, the Disability Benefits Act Article 2-Funds? Does one of the Members wish to vote on this bill? No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, Then that bill is accepted. Anybody want a note? That is not the case either. Then the bill 34304, the law compensations wage domain. Anybody want a vote on this bill? That's the case. Then the vote on the legislative proposal 34305, Other fiscal measures 2016. Does anyone want a vote on that? I see D66 is asking for a vote on that. I'm going to vote on the legislative proposal 34306, the Law implementing amendments Mother-daughter directive 2015. I see that the Chamber also wants to vote on that. Then the vote on the bill 34276, the Act implementing Common Reporting Standard. Does anyone want a vote on that? That is not the case. Then the bill is accepted. Anybody want a note? That is not the case either. Finally, does one of the members want to vote on the 34460 Bill, Amendment to the 2016 Tax Plan? That's the case. I propose that tomorrow evening at the end of the sitting we vote on the legislative proposals on which we have been asked to vote and on the motions. That's how it's clear to everyone, I'm sure. I'm closing the meeting... oh, no, I can't close the meeting, I'm suspending her. I'm not gonna do that until after I wish the Secretary of State good Christmas. I shall suspend the sitting until 9 a.m. tomorrow morning.
