ParlaMint-NL_2015-07-07-eerstekamer-8.u1	I have already welcomed the Secretary of State for Security and Justice to the Upper House.
ParlaMint-NL_2015-07-07-eerstekamer-8.u83	Mr. Chairman. I would like to thank the Secretary of State for the adequate and detailed answer to all the questions put. We have experienced it as a very constructive debate. I will go over a few points in the order used by the Secretary of State in his reply. It is clear that these European Union directives entail a "higher judicial review," as the Council of State calls it in its opinion. Although the ex-nunc assessment was already introduced in 2010, it is both full and integral and ex nunc. We believe that it could lead to better legal protection for asylum seekers and, hopefully, to shorter procedures. Does the Secretary of State share this impression? The next item is the medical costs associated with the application for asylum. If an application for asylum is rejected, the medical costs incurred by the asylum seeker or by third parties will not have to be reimbursed. However, we are pleased that the Secretary of State has repeatedly noted that if the medical examination paid by the asylum seeker or by third parties contributed to the grant of the application for asylum, the costs will be reimbursed by the IND and in individual cases the follow-up procedure will also be reimbursed. We have also discussed in detail the issue of border detention. Our group has taken good note of the fact that the Secretary of State really sees this as an ultimatum remedium and that he wants this detention in the spirit of the directive and the new implementing legislation to be as short as possible and to be included in the Aliens' Decision, including in those terms. Furthermore, in practice this detention will often be shorter, as it is not necessary that the standard will always last four weeks. With these observations, I would once again like to thank the Secretary of State for a very good debate.
ParlaMint-NL_2015-07-07-eerstekamer-8.u84	Mr. Chairman. I thank the Secretary of State for his reply, but I would have preferred to have heard that he had come to his senses and that he understands that it is impossible for the Dutch citizen to explain that an asylum seeker costs almost three times as much as an AOW. Hence the next motion. The President shall: Mr Van Weerdenburg, Mr Markuszower, Mr Van Strien, Mr Kops, Mr Kok, Mr Faber-van de Klashorst, Mr Dercksen and Mr Van Hattem proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas one asylum seeker costs the Dutch taxpayer more than €36.000 per year and that this is almost three times as much as an AOW citizen gets a year;]] [[Whereas the total cost of asylum reception is now 867 million per year;]] [[calls on the Government to immediately introduce a full asylum stop and to invest the resulting savings in care for the elderly,]] [[and goes to the order of the day.]] [[She's getting No. kst-34088-F]]
ParlaMint-NL_2015-07-07-eerstekamer-8.u85	Mr. Chairman. The VVD Group has listened with interest to the intentions and views of the Secretary of State on tackling the issue of migration at European level and the answers to the questions raised by my group. As indicated in the first term, these directives were drawn up at a time when the world looked very different. This legislative proposal does not respond to those issues that have been outlined by other groups in the first period. But that's not what a bill is for. My group still has a question of substance. This relates to the costs of the case-law. The Secretary of State has said the necessary things. My group's concerns relate in particular to access to justice in general. Can the Secretary of State confirm that the additional costs involved in this bill will not result in further pressure on access to justice, in other words that the courts will keep or have sufficient budgetary space to continue to be able to speak in all possible jurisdictions? As has already been stated in the first term, my group welcomes this proposal. Moreover, it is an implementation of European directives. That, too, is a reason for my group to support this bill.
ParlaMint-NL_2015-07-07-eerstekamer-8.u86	Mr. Chairman. I would like to thank the Secretary of State for the comprehensive answer to the questions. As a result of that answer, I have one more question. How is full and ex-nunc testing interpreted in neighbouring countries? Can the Secretary of State undertake to inform us more about this? How, for example, does this happen in Belgium, Germany or France?
ParlaMint-NL_2015-07-07-eerstekamer-8.u87	Mr. Chairman. I would like to thank the Secretary of State for his reply. Much has become clearer. I am pleased that the Secretary of State himself indicates that the number of refugees will not decrease rapidly, given the huge number of refugees worldwide. The vast majority of them are located in the region. A country like the Netherlands should be able to handle 30,000 asylum seekers easily. I wouldn't panic until we couldn't. I asked about the vulnerable groups who need special procedural guarantees and for whom the border procedure is not really appropriate. In response, the Secretary of State refers to FMMU's medical advice, but that is a very limited medical advice, only considering whether someone can be heard. It is not a question of examining whether this person is fit for the border procedure. Perhaps the Secretary of State could comment on how the screening could take place at a timely time. As far as judicial review is concerned, I am pleased that the Secretary of State has made it very clear that the judge must come to an independent judgment and that the way in which he does so is up to the judge himself. There is a big difference with the current marginal key, where the judge will see if the IND has taken the right steps. Now the judge really has to assess whether the assessment that the IND has linked to the asylum story is correct. Of course, the judge doesn't start in the air vacuum that would be a caricature of how he was going to work but he bases himself on the file and the decision. However, he is not limited to it. In fact, the ex-nunc test obliges him to assess all new facts and elements, as the Secretary of State also indicated. I am therefore pleased that the Secretary of State says explicitly that the judge can also test new asylum motives. The judge may allow the IND to assess these new motives and will probably do so, but within the same asylum procedure. I understand this from the Secretary of State, didn't I? I believe that this is very important not to violate the directive and to prevent an asylum seeker from entering a flawed follow-up procedure. This is particularly important for the small group of asylum seekers who have not been able to tell their story straight away, for a good reason: shame about what they have been through or the trauma they have suffered as a result. The medical examination concerns exactly this group. I am pleased that the Secretary of State is prepared to finance the medical examination in the event of subsequent applications for asylum, if that has contributed to the acceptance. Often someone makes a new application for asylum with that medical certificate. He's already had medical research done at the iMMO and he's starting a new procedure. Then it's already paid for. If it contributes to an agreement, it seems to my group to be only normal and in accordance with Article 18 of the directive that this is being financed. My final point concerns reception after the four-week departure period. It's nice that it's not often necessary for the judge to decide within four weeks. We all know it happens sometimes. In particular, if the number of applications for asylum increases, this will increase. The Secretary of State says: then we act as things stand. My point was precisely that the Reception Directive applies to everyone who is in the asylum procedure and can also wait and see in the Netherlands. Then it is not appropriate to say that one group will be relieved of this, namely those who have been given a four-week departure period. I would like to get the answer to the question on which the Secretary of State bases it that this group could be excluded from the shelter.
ParlaMint-NL_2015-07-07-eerstekamer-8.u88	Mr. Chairman. I thank Members for their thanks for my answers. Mrs Van Bijsterveld asked about the intrinsic advantage of the changes. That's part of the eye of the keeper, of course. One will be more charmed by the fast-moving possibilities in the event of obvious unsubstantiatedness. The other will be more charmed by the fact that the judge can now go full test. It is a value judgement whether there is an intrinsic advantage, but I would not underestimate the benefit of the process in itself. It is not the case that all Member States already had a very elaborate and crystallised process that provided enough guarantees and legal certainty. Part of the harmonisation process is aimed at establishing sound procedures in countries that have no or less yet. The fact that there is not much material change in itself after harmonization may be due to the fact that the directive does not propose much, but it can also be inferred that the directive is in favour of a model which largely corresponds to how the Netherlands has already dealt with it. This does not, of course, mean that there is little need for adjustments in all countries, but that one Member State needs to adapt less than the other, because it already broadly complied with the guarantees laid down. That brings me to the next point. The longer you go through with this, Mrs. Van Bijsterveld was right to give that to.The more you get on paper reality. It is the same everywhere, in every Member State. However, this does not mean that the procedures are the same and that everyone in every country is the same. I share her call to focus on convergence in practice. Each Member State regularly draws up an updated country policy, but we can still have 28 different country letters. Even if we take the step towards a single message of office for a particular country, it is still possible that 28 different consequences will be attached to it. These are all things that are not easy to capture in advance. The migration agenda is already a major political priority for our Presidency, but we are also aiming for convergence in practice at the level of the administration, where, of course, many processes are taking place that we do not see directly. This convergence must take place hands-on in practice. Based on practical considerations, we need to look at what is still needed on paper. What exactly is ahead of us now? The Commission is examining whether the Temporary Protection Directive should be amended or replaced. We are talking about a directive which has never actually been applied in practice. So it's not something we're really after. Furthermore, we are not aware of any plans to make great success at this level. I have already spoken about the migration agenda and the discussion I have with colleagues. What are the prospects? It's hard to say. I remember the JHA Council during which we discussed relocation and resettlement. There are really countries that are not immediately solution-oriented and do not accept that it is something that we really need to tackle together. There are countries that may still be under the illusion that if they do nothing, they will not have to deal with the problem. That is why they are not in a solution-oriented position. It's hard for me to predict anything, except it's not gonna be our fault. We are doing a great deal to speed up the adoption of proposals that can be supported. As was the case with the compulsory nature of resettlement: if it does not go as it should, then it has to do as it should, but it must de facto lead to large participation. Our commitment is that you cannot tackle with half a problem that we all bear. It has also been set in motion at the point of return. Recent research by the ACVZ has shown that we are already doing a lot of work which is paying off. In addition, we are trying to realise things that can be done better. As a practical example, I would like to mention the organisation of ambassador conferences. At such a conference I recently spoke with the ambassadors of countries with which we should have a good relationship in the field of return. I wanted to bring the problem to the fore in practical terms. This is also an element of the EU's migration agenda. A session was devoted to this at the last JHA Council. In doing so, I will work with my Belgian colleague to highlight this element and to make it clear that if the European Union wants to keep the mandate to hold talks of this kind with third countries, it must also do something about it. The first step is that this is recognised by the Commission. That's what we've achieved. This has not changed the world yet, but it is a necessary step to achieve results in this respect. That's where we stand now. The fact that I was perhaps brief in setting out the agenda in my first term is because I thought: let me summarise what we have already sent to Parliament in writing on a regular basis about our commitment and let me devote a lot of time to the questions on today's legislative proposal. That is not a reflection of the extent to which it concerns me or of how my time is divided the rest of the week between the European Union's migration agenda and these directives and legislative proposals. Mrs. Stienen asked about the size. What are we talking about now? Someone's looking at the first four months. It's tricky magic with statistics. Last year there was an extrapolation of a certain week. In the top week we had so far this year, the influx including after-travel was higher than in the highest week of last year. That's another equation, which could lead you to think: if you do 52 times, then it's a more serious matter. If you look at the first four months, the influx just started later this year. This also has to do with seasonal influences and weather conditions. So that's hard to look at. If I look a year, I see a significant increase in 2014 compared to 2013. If I do an educated guess that's not gambling, but making educated predictions on the basis of influences that we also see in migratory flows a little further away, then I come to the estimate that this year will be about the same order of magnitude as last year, unless major changes in world conditions occur. I always separate the convenience from the desirability. As long as it is so, we must deal professionally with it and ensure that people are given adequate care either if they deserve it, or quickly find out that this is not an option and that it is possible to start the return process. I also refer to the European Agenda on Migration to reduce the causes and influx.
ParlaMint-NL_2015-07-07-eerstekamer-8.u89	However, my group appreciates the fact that the Secretary of State for Foreign Affairs is allowed to give an account of all these statistics after the recess. Indeed, we can remember how the predecessor of the Secretary of State arrived with very scary stories and extremely high figures. Then it turned out to be not so bad, even though I cannot use the word in this situation, because it is never easy that 60 million people worldwide are on the run. However, I believe that we should continue to look at the figures in a realistic way. I support Mrs Strik van GroenLinks' thinking that our country should also be able to provide 30,000 people with shelter.
ParlaMint-NL_2015-07-07-eerstekamer-8.u90	If 30,000 people apply for asylum, this does not lead to 30,000 people in need of permanent care. It's temporary, but it's not permanent. I hate to quote myself, but I described it in this way last Saturday: I do not want to ring the alarm clock, but I do want to paint a realistic picture. This year, too, the influx will be about the same as last year. So far, we've seen those two running quite parallel. Not in the first four months, but in the first six months and in the first seven months, certainly. That is why provision will also be needed which is temporary in nature. I will return the figures that we have on this matter and which we measure ourselves, send to the Chamber or refer to the reports in which they are to be found, because we keep that and we add it up. On that basis, I see that we are quite similar to what we saw last year.
ParlaMint-NL_2015-07-07-eerstekamer-8.u91	Then I would like to thank the Secretary of State for the commitment that we will have an overview. I would also appreciate it if it was not just a few months from now, but indeed showed the trends of the last five years.
ParlaMint-NL_2015-07-07-eerstekamer-8.u92	Let me see if we can look back to five years, but at least the figures for the last few years are known. Those trends are also visible. We'll take care of that. Mrs Stienen asked a question about the right of transition between shore and ship, because there is a new justification as of 1 January. Those two go well together in themselves. The more detailed justification can also be used in the old system, but that was not necessary. Just to prevent people from falling between shore and ship, we started early. Anyone who is about to appeal with a statement of reasons for the last month can then immediately be included in the new system rather than come to court with an old statement of reasons. Just to prevent that, we started early. I'm sure you can. Mr Schrijver had a number of summaries and observations and asked me to endorse them. Yes. He also talked about the heavier burden. First we look at how it works in practice. I can't tell if it's gonna add up yet, but we're gonna keep the finger on the wrist. We can imagine it leading to an increase. That is why we are constantly talking about this and we will also take this into account in the estimates. The motion tabled by Mrs Van Weerdenburg I will not recommend. A complete asylum stop is not in line with the policy we are currently pursuing. The cabinet therefore sees no need to do so. It's not the way to keep our commitments. It is also not the way to effect a decrease in inflow. Furthermore, there is a false contradiction, as if the budget allocated to AOW or to care for the elderly in the broad sense would depend on the costs you incur for asylum. That is not the case. One link has been made in the policy, namely between first-year care and its funding from ODA funds. The only thing I could do to change that is a decoupling. However, I do not think that the PVV Group appreciates that. This link is precisely how much of the development cooperation budget is spent in our own country, on the people working at COAs. I therefore think that is not in the spirit of the motion. Mrs Duthler asked about access to justice. It is not intended to be put under pressure by this proposal. We've compensated the known effects. Structural compensation is foreseen from 2017. This compensation has not yet been quantified, because we also want to take the practical experience that has emerged in the meantime. Since financial compensation has been provided for, I have no reason to believe that this will put further pressure on access to justice. Mrs Wezel asked how neighbouring countries dressed it. I have more information on this by now. We raised this question through the European Migration Network and received a response from about 20 Member States. This shows that the vast majority already has a full and ex-nunc test in appeal and that no one makes major adjustments to this part of the directive as a result of the implementation of the directive. Our marginal test was an exception. We have transposed it; most other countries already had a full and ex-nunc test. There is no detailed information on how they do that in practice. I do not therefore have any information on the basis of which I can briefly indicate how this works. Then I should know a little better what we are looking for and which elements should be further explored. We now know that most countries have long been full and ex nunc tests.
ParlaMint-NL_2015-07-07-eerstekamer-8.u93	Multiple parties have asked what is meant by full and ex-nunckeying. Is that full, full and so forth? Can the Secretary of State undertake to check with the other countries how they interpret that?
ParlaMint-NL_2015-07-07-eerstekamer-8.u94	We can see how they have incorporated it into the legislation. I already indicated how I think it might be possible and how I wish it. We have heard a nuanced coloring of members who may have a different wish. In the end, it's up to the judge himself to shape the way he does it. He may also be inspired by case law from other countries. I can bring in the legislation of these countries, but I do not feel very strongly about carrying out a full case-law investigation while the Dutch judges themselves are shaping Dutch practice.
ParlaMint-NL_2015-07-07-eerstekamer-8.u95	It seems right to me that the judge wants to know what the legislator wants from him or her and that the legislator knows what he means by the legislation. It seems to me bad that the same concept is being implemented in different ways within Europe.
ParlaMint-NL_2015-07-07-eerstekamer-8.u96	That depends only on the degree of difference. We have been clear as legislators. We have had extensive debates on what we mean by full and ex-nunc testing, to what extent it makes sense to bring new elements with us immediately or to do so through an administrative loop, and whether an assessment of the work of the judge in a critical sense is the same as a re-evaluation of all aspects in a material sense. In my view, it's first up to the judge to see what he thinks of it, with our intentions. He may be guided by practices in or case law from other countries. If in the Netherlands there is a practice that would be far lower than that of other European countries, which is also based on the same directive... I have no reason to expect this.......................................................................................................................................................................................................................................... Mrs. Strik asked about screening for the border procedure. She said the FMMU has a limited focus. In addition to the question of whether someone can be heard, the FMMU also looks at any restrictions or indications that someone needs other guarantees. So it's a little wider. This is done in conjunction with the investigation into detention fitness or disability. That's what the medical department of the Justice Department does. That gives me sufficient confidence that we have these guarantees high in the border procedure. Furthermore, at any time in the procedure there is the watchful eye of the IND to possibly adjust things if the IND has the idea that this is necessary. So it's a broader test. I have every confidence that that will be enough. I was just saying something about desirability. Mrs Strik summarized how the debate had gone in the first term, and so did Mr Schrijver. There was a difference in nuance. I can follow Mrs Strik on many points, but I would always add the word'may'. Perhaps that betrays that I expect it to happen less and Mrs. Strik a little more. To be precise, it is an independent judgment of the judge, in the sense that he has an independent opinion on the administrative work carried out and that he has a wide range of options to choose and to consider and assess matters. I'm not imposing an obligation on the judge. He can take new facts with him in a broad sense and withdraw a new asylum motive through the loop into the procedure. It's possible. If a medical examination has contributed to the completion, then payment is made as indicated at first instance. In a subsequent case, it can be reimbursed. That's always a bit of a difference.
ParlaMint-NL_2015-07-07-eerstekamer-8.u97	I understand that, but I'm glad that...
ParlaMint-NL_2015-07-07-eerstekamer-8.u98	Through the chairman, Mrs. Strik.
ParlaMint-NL_2015-07-07-eerstekamer-8.u99	I am pleased that the Secretary of State has indicated that this can be done in subsequent procedures. We are therefore informed, either over time or after a year, of the way in which it is applied. Did I get that correctly?
ParlaMint-NL_2015-07-07-eerstekamer-8.u100	For structural funding, we will have to look at how practice has developed. Perhaps it is advisable to take that together. From now on, this will be a year in the direction of the 2017 budget. We must then consider whether the way in which practice has developed, including in the financial sense, gives rise to further compensation. Then it also makes sense to take these elements with you. Mrs Strik had another question about the exceptions to reception. If there is no suspensive effect on the appeal, you should not wait in the Netherlands. So the Reception Directive will no longer apply to this, but then there will be an obligation to leave. There will then be four weeks of reception, unless someone applies for a provisional provision, because then there will be a right of residence. This only applies to the category without right of residence for more than four weeks, where we look at individual circumstances to determine how we will deal with it after those four weeks.
ParlaMint-NL_2015-07-07-eerstekamer-8.u101	You went very quickly. You said that they are not covered by the directive if they do not have suspensive effect. But if they apply for a provisional permit, they can wait and see in the Netherlands. If a judge has not yet decided on that request for an interim ruling, they may still wait and see in the Netherlands. Suppose the judge does not take a decision on that application for an interim ruling within four weeks. The asylum seeker may still wait for that request to be dealt with in the Netherlands, so he is covered by the directive.
ParlaMint-NL_2015-07-07-eerstekamer-8.u102	Yeah, but that's double what-if. First of all, we are talking about the decision to be taken within the time limit, and now we have a provisional provision that will allow an interim assessment to be made of whether, despite the standard, someone can wait for the request. As long as the request has not been granted, the person concerned should not, in principle, wait for the handling in the Netherlands.
ParlaMint-NL_2015-07-07-eerstekamer-8.u103	I think you just said it right: the moment you make a request for a preliminary ruling, you can wait for that request to be dealt with. The application for an interim remedy has suspensive effect, so you can stay in the Netherlands until the court decides, so you are covered by the directive.
ParlaMint-NL_2015-07-07-eerstekamer-8.u104	This gives you the right to stay, which means that you do not have to hold on to detention after four weeks.
ParlaMint-NL_2015-07-07-eerstekamer-8.u105	Finally!
ParlaMint-NL_2015-07-07-eerstekamer-8.u106	It's not about detention. As long as you can wait for a court ruling in the Netherlands, you are covered by the Reception Directive and you are entitled to care. That is why the four-week cut made in the Netherlands is not in conformity with the directive.
ParlaMint-NL_2015-07-07-eerstekamer-8.u107	That's in suspensive action. If there is no suspensive effect, the person concerned must not wait for his request to be dealt with and you will no longer be covered by the Reception Directive. That's what I said.
ParlaMint-NL_2015-07-07-eerstekamer-8.u108	You're done with your second-term response, I understand. You passed Mrs. Strik's exams.
ParlaMint-NL_2015-07-07-eerstekamer-8.u109	We call that Trick questions among ourselves!
ParlaMint-NL_2015-07-07-eerstekamer-8.u110	The bill is passed without a vote.
