ParlaMint-NL_2015-02-12-tweedekamer-8.u1	I would like to welcome all those present in the Chamber.
ParlaMint-NL_2015-02-12-tweedekamer-8.u138	I don't know who else is profiling, the SP or GroenLinks. The motions mentioned differ in that they say in our motion that the gas tap should be as close as possible and that steps should be taken in the direction of 40%. Then we didn't get the SP's support. I'm incredibly glad that support is here today.
ParlaMint-NL_2015-02-12-tweedekamer-8.u139	Thank you. Everyone has seen that it has been busy at my table in the last eight minutes, during Mrs Van Tongeren's contribution. There is a discussion about the lunch break. Some people are in great need of this, but I know that there are also people who cannot wait to hear Mr Vos say his contribution. There are also people who are simply hungry, for example the staff in the Chamber. My proposal is an interim solution. I am now going to suspend for ten minutes, so that they can be eaten for a while by those who are in great need of it. Then we'll do Mr. Vos's contribution. I know that there are people in the public gallery who want to go home afterwards.
ParlaMint-NL_2015-02-12-tweedekamer-8.u140	Mr. Chairman. Like my colleagues, I come to Groningen a lot. Also a few weeks ago I walked in another Groningen farm. I saw struts against the outer walls, inside struts in the kitchen, cracks in the beams on the ceiling and cracks in the walls. I'd almost call it "the familiar image." I had a conversation with the residents at the kitchen table in which the problems with the NAM were discussed. When I walked out again and looked up at those beams with cracks in them, I found myself glad that I could walk out of that farm; that I left not only those problems but also the risk behind me and that I didn't have to see the moment of an earthquake at the kitchen table. If you realize that, you'll know right away that you can walk away. You're a representative from The Hague and you live in the Randstad. You don't live there, but tens of thousands of people live there. They live in that earthquake zone. They should not only sit at the kitchen table, but also have to go to bed in the evening, often not alone, but with their partner and with their children. Then you realize that we have a great responsibility to bear with each other. Since the 1950s, generations of Dutch people have grown up with a very different picture of natural gas: luxury and comfort. We shower in the morning with water heated by the Groningen natural gas. We go to dinner at night and cook our hot meal on Groningen natural gas. We sit together in our living room, which is also warm in winter thanks to Groningen natural gas. The gas yields are huge. We have all made EUR 265 billion of it. Our education, our roads, our bridges and locks, our health care, our enormous prosperity would not have been possible without that huge stream of money from fossil wealth. But the downside of all these achievements, wealth and luxury is dramatic. The Groningen soil is sinking. Houses collapse, the earth trembles. Since the beginning of the 1990s, the earth trembles more and more; houses, churches, offices, schools. Families must leave their homes because their homes, which are irreparably damaged, must be demolished. Kids have to go to an emergency building because they can't go to school anymore. Enough is enough.
ParlaMint-NL_2015-02-12-tweedekamer-8.u141	I hear a very compassionate story from the Labour Party, but what we are all very curious about, of course, is whether Mr Vos supports Mr Samsom's words that it is inconceivable that the gas tap will open again in the second half of this year.
ParlaMint-NL_2015-02-12-tweedekamer-8.u142	It is unthinkable that gas extraction will rise again after 1 July. We also opt for the safest scenario after 1 July and that is the scenario in which as little gas is extracted as possible.
ParlaMint-NL_2015-02-12-tweedekamer-8.u143	It is, of course, deeply sad that it takes elections to get the Labour Party moving. What is the guarantee of the Labour Party that this gas crane will not be fully opened after 1 July? Does that guarantee run until the elections, or is that guarantee still there after 1 July?
ParlaMint-NL_2015-02-12-tweedekamer-8.u144	The Labour Party wants three things. Firstly, the extraction of gas must be reduced immediately to the lowest possible level. That was mentioned earlier today as the level of security of supply. Secondly, a new extraction plan should be drawn up as soon as possible, at the lowest possible level for safety. If I understand correctly, we can see the extraction plan in the Chamber on 1 July. Thirdly, we will be working on a further reduction in gas extraction, and we will be able to look forward to the plans by the end of the year. It is quite clear: gas extraction causes earthquakes and the opposite may not be scientifically proven, but it is very plausible.
ParlaMint-NL_2015-02-12-tweedekamer-8.u145	We also hear beautiful words from our PvdA colleague. My first question is how are we going to establish together that gas extraction is going to the lowest possible level as soon as possible. We must agree that we are not going to wait until July. Mr Vos is a businessman; he occasionally talks about it. He knows contracts are leading. For words, the Groningers don't buy anything. There are two legally binding decisions by the Minister. One decision sets the 10-year ceiling at 445.7 billion cubic metres from 2010 to 2020. There is now also the Minister's assent decision with 39.4 billion cuub. How, as an opposition, will we, together with the PvdA, ensure that we make a change in these decisions, and indeed in this debate?
ParlaMint-NL_2015-02-12-tweedekamer-8.u146	I understand that as an opposition, you want to do something together with the Labour Party. First of all, I am concerned with what this cabinet has decided and how I judge it, as a member of my group, together with my group. Then one thing is clear: it has been enough. Everyone speaks of compassionate words that are expressed, but I think we are also turning them into deeds. The Minister initially reduced production at Loppersum by 80%. Then he said that 39.4 billion cub was the maximum. At that time, we asked if that was real enough. There is now a new decision that we are going to win up to 16.5 billion cubs until 1 July. The Labour Party has said that it is unthinkable that gas extraction should go up again afterwards. In the end, this will also fall down in the debate, but I would also like to give the Minister the opportunity to respond to what we have said here. It is clear that the cabinet deserves criticism as far as we are concerned. It was too little, it took too long and the seriousness of the problems was underestimated. There hasn't been enough decisive intervention. Almost everywhere, it was felt that gas extraction should be restored: you, Mrs Mulder of the CDA, Mrs Van Veldhoven of D66, the SP and even the PVV, with the Labour Party. Nevertheless, the cabinet continued to pursue its course until the very last moment. Was that necessary? No. I think that in a democracy you have an expensive duty to listen to the minority too, to know those arguments and then to shape your decisions. It's been too long.
ParlaMint-NL_2015-02-12-tweedekamer-8.u147	Either the PvdA clearly explains here that it does not support the Minister's decision of consent, or we are only hearing a lot of hollow phrases here about what might happen in July, what might be investigated and what might be going on. Are you in favour of this Minister's decision and are you in favour of the assent decision? Or are you really going to do something in this debate, so submit or support a motion to bring that gas extraction back as quickly as possible and as far as is realistic as possible?
ParlaMint-NL_2015-02-12-tweedekamer-8.u148	It is not inconceivable that we should come up with something like that. We shall see that at the end of the debate. The decision of consent was taken by the Cabinet. Technically, it is still there, but materially, of course, it is off the table at the moment, because we have said that only 16.5 billion cubs can be won in the first half of the year. Legally, as a Member of Parliament, you do not have the opportunity to wipe the assent decision off the table here. The Chamber doesn't have that authority. I would like to hear immediately from the Minister how he intends to deal with the material reality that we are now facing, but it is clear that even the NAM has now announced that it agrees with the reduction until 1 July. That means 33 billion cubic metres for this year, with reserves of 2 billion cubic metres.
ParlaMint-NL_2015-02-12-tweedekamer-8.u149	I hear Mr Vos say that the PvdA also wants to return to a minimum approach, as I advocated on behalf of the CDA in the first term. We have linked it to the fact that we want to go back to 30 billion cubs, with the exception of very extreme winters; we have just talked about this. Can the PvdA find itself in that line of thinking?
ParlaMint-NL_2015-02-12-tweedekamer-8.u150	Once again, I think that everyone here agrees that we need to bring gas extraction back. This has become increasingly clear, perhaps delayed for many people. We have no difference of opinion on that. You want to debate with me now whether it is going to be 30 billion cube or 33 billion cube, but we have already talked about last night's letter. On page 4, the cabinet says that GTS has conducted an investigation. They're engineers trained to do this. They advise 33 billion cuub. I'm not gonna say it's gonna be 30 billion. I find that irresponsible. Of course, that 3 billion doesn't make any difference either. What I do say is that we want three things. The third thing we want at the end of the year is another plan to go back into the extraction if necessary for the safety of the Groningen.
ParlaMint-NL_2015-02-12-tweedekamer-8.u151	It is then counted with the most extreme winters you can imagine, such as the winter of 1963, in which cars rode on the IJsselmeer, and the Eleven Cities Tour in 1985. They're looking at that data. I have a question for the CDA. It has been said to the Chamber that 3 billion cubs are needed in the Loppersum cluster, because otherwise the houses cannot be kept warm. In retrospect, it turns out that the conversion capacity has not been used to the maximum and that we should have done without the 3 billion in the Loppersum cluster. I have to say quite frankly that this has done something with my confidence. I'd rather, hand on the crane, 30 billion cube. At the moment when it is really such a harsh winter, the Minister comes back here and asks if we can possibly go up a bit. How does the PvdA Group stand in there? Didn't she hear about that 3 billion cube that was left over from the reduction in the Loppersum cluster? What is the view of the PvdA Group of the European People's Party?
ParlaMint-NL_2015-02-12-tweedekamer-8.u152	My trust has been low, too. I remember having to discuss 54 billion cube gas here, which was won in a year when we were talking about earthquakes over and over again. I understand that very well. The cabinet has now said: 39.4 billion cub. We have said that this is not enough. Now there is 16.5 billion, while 22 billion cube was planned for this period. That's a 25% reduction. I think it would be wise not to go any further than 33 billion cubic metres on an annual basis. If you do, you run the risk of getting a peak load on the Groningerveld at once and, if it is a cold winter, you have to open the wells at Loppersum. I cannot, however, assess the extent of the risk. There are safety risks to that, too. If Mrs Mulder thinks she can make a better assessment than the engineers of GTS, she will have to table a motion which states that it should not be 33 billion cubic metres, but 30 billion cubic metres. In any case, together we can see that she and all the other parties in the House of Representatives have been given what they have asked for, namely a significant reduction in gas extraction in Groningen from the point of view of safety. I'd rather discuss that profit with each other than argue over that last 3 billion cube, which is mostly a technical difference of opinion.
ParlaMint-NL_2015-02-12-tweedekamer-8.u153	I'm gonna try it sometime. Mr Vos tweeted, one hour before the Minister started his press conference, on Monday's decision that the security of the Groningen people is leading the gas decision. His colleague Nijboer also said that it was a good decision. Deputy Moorlag has said that the 16.5 billion cuub will have to go down in the second half of the year and that it will have to go down even further next year. The leader of the PvdA has said other things. That's how it gets very confusing. Wouldn't Mr. Vos and his party be doing himself a huge service by making it clear where the party is at the moment, now that the whole of Groningen is watching?
ParlaMint-NL_2015-02-12-tweedekamer-8.u154	The cabinet has further reduced gas extraction, from 22 billion cubic metres to 16.5 billion cubic metres. That's a 25% reduction. It is no secret that my party has insisted on this. We have also said that it is unthinkable that gas production should increase after 1 July of this year. I don't know how to say it any more clearly. This is the story.
ParlaMint-NL_2015-02-12-tweedekamer-8.u155	Is this the story of Mr. Vos or of the Labour Party? Do I get the same story from the delegates, the directors and the departments in Groningen?
ParlaMint-NL_2015-02-12-tweedekamer-8.u156	The beauty of the Labour Party is that it is a broad popular movement. There's a lot of people in there and a lot of opinions. I remember the first time I was taken to Groningen by my colleague Tjeerd van Dekken, who is from Groningen. I met the local parties, party leaders and members of the Labour Party. They took me home and church to church. I suddenly realized how important it is that you are a party, a movement, and that you do things together. I never would have understood what was going on there if those people hadn't been so loud. I've had a fight with some of those people, too, because I didn't see it that way. That's very good, because that's how democracy works. Today I'm standing here and this is the end result. I'm actually a little proud of that, actually. I think I speak not only for myself, but on behalf of my entire group. I'm sorry it took so long. This is something that can't and can't anymore.
ParlaMint-NL_2015-02-12-tweedekamer-8.u157	Then the next question remains. If the Labour Party is proud of the result achieved now and thinks it unthinkable that gas production should be increased again after 1 July, why does it not now choose to send a clear message to the Minister, as all opposition parties do, that the gas extraction decision should be amended? The line of the PvdA could be: up to 33 billion cuub or 30 billion cuub. Why doesn't the PvdA group just say that? It is not the case that the Minister has always treated the PvdA Group with equal respect. The PvdA Group itself has had the feeling: my confidence is embarrassed. Why doesn't the PvdA do what the Groningers are waiting for: give clarity about how much it will be for this year, not just over the period until 1 July?
ParlaMint-NL_2015-02-12-tweedekamer-8.u158	Let me correct one thing: I have always been treated with all respect. I did not always agree with the decisions taken by the cabinet. Mrs. Ouwehand says, what does the PvdA want? However, I have made this very clear. We need a new extraction plan as soon as possible. A new extraction plan should be established at the lowest possible level for safety. We expect to see this extraction plan here in the Chamber. I am sure the Minister will be able to explain how this is done in terms of timing and how it is done in both legal and technical terms. We would like a new extraction plan because we are going to 16.5 billion cubic metres.
ParlaMint-NL_2015-02-12-tweedekamer-8.u159	The Group of the Party of European Socialists is therefore also able to discuss putting that at 21 billion, if it believes what it is saying, namely that security must be a guiding principle. I press the PvdA the following on the heart, because I find it very annoying again. In the first term, in which the Labour Party has the chance to send a clear signal to the minister where to and where not, leave the PvdA escape routes open, for himself and for the minister, to do other things after 1 July. But Groningers don't have that escape route. It is time we recognised that and put it at the heart of the matter. So come on, a little balls, Mr. Fox.
ParlaMint-NL_2015-02-12-tweedekamer-8.u160	Firstly, the extraction of gas is immediately reduced to the lowest possible level. Secondly, a new extraction plan must be put in place in which safety is the starting point. Thirdly, there is a need to work towards further reduction of gas extraction. I expect the plans by the end of the year. I don't know how many balls Mrs. Ouwehand expects from a coalition partner, but I think this is clear.
ParlaMint-NL_2015-02-12-tweedekamer-8.u161	My group does not think it is clear yet. I have heard Mr Vos mention two points: security of supply and security. If the cabinet does not make any promises now, can we expect a motion from the Labour Party in the second term, which says: we are going back to 35 billion cubic metres for the whole year? My group thinks that this is too high, but I am assuming Mr Vos's perspective. Is there going to be a motion that says 35 billion cubs for this year and, if necessary, from the point of view of security, we are going to take further steps back? In other words, is that 39.4 billion for the Labour Party off the table? If the Minister does not take that step, will the Labour Party take that step?
ParlaMint-NL_2015-02-12-tweedekamer-8.u162	That 39.4 billion seems to me to be off the table. Before I look further ahead, I await the Minister's answer in the first term. Then we can see in the second term what exactly we come up with. I do not think it is impossible for us to be lower than the 35 billion in the second half. There are new investigations, and that is what we can see. What applies to me is the level of security of supply as a lower limit and lowering the level of security of supply as far as possible by dealing as smartly as possible with all the technical possibilities we have.
ParlaMint-NL_2015-02-12-tweedekamer-8.u163	It's just not clear yet. I hear what Mr Vos is saying, but he is not prepared to make any consequences of this and to put it in place immediately, now or in the second term, that 35 billion cub is an upper limit for him and that he is prepared to go further down if necessary for safety. Why isn't he willing to do that? Why don't we clear it up for the Groningers? They are in uncertainty and they expect that clarity, but they only received it for six months. I think that we really need to provide that clarity today, because of the importance of the safety of the Groningen people. Pretty much the entire opposition that's standing here wants that. The only one on whom we are still dependent is Mr Vos; that is the Labour Party. Why don't you come to our side and speak up?
ParlaMint-NL_2015-02-12-tweedekamer-8.u164	I have already concluded that all parties in the House of Representatives are on the same side here, namely that gas extraction must be reduced to ensure the safety of the people in Groningen as much as possible. That is why gas extraction has now been reduced from 39.4 billion to 33 plus 2 billion on an annual basis. If it is said that it should go to 30 billion or that it should be guaranteed for a longer period, then I would like to wait for the second time, because the Minister's answers will come to us. In the end, we will be able to make the final assessment. But the suggestion that I leave any ambiguity here? Once again, gas extraction goes back to the lowest possible level with immediate effect, a new extraction plan must be put in place. The old extraction plan will then be abandoned and we want to work towards a further reduction in gas extraction from the point of view of the safety of the people of Groningen.
ParlaMint-NL_2015-02-12-tweedekamer-8.u165	Mr. Fox, I'm gonna try again anyway. Perhaps you could put those neatly prepared sentences that you have just looked back at a few times, on the side. I think we're pretty close. I'm gonna try and unravel it. You have said and repeated a few times that it must go immediately to the lowest possible level: 16.5 billion. You also said that you repeated the words of your party leader: it is unthinkable that we should win more in the second half. So we come out at two 16.5 times is 33 billion. We have two kinds of letters or plans in which something like this can be recorded. You have the extraction plan, which actually states what wells you're going to make, and you have the decision to set that ceiling. For the extraction plan, you say, you want to wait for that investigation to find out what well we're getting. It's still under study, and then maybe we can make it even safer. But we can change that ceiling today. You don't need that extraction plan for that. Are you prepared to adjust that ceiling today with a very large part of the opposition and not to leave it at 39.4 billion, but to bring it to 33 billion?
ParlaMint-NL_2015-02-12-tweedekamer-8.u166	I think there's a difference of opinion as to how this is formal. As far as I know, the assent plan is a matter for the cabinet. Once again, I would like to await the Minister's reply if otherwise. It is clear that we have now all decided that we are going to win 16.5 billion in this six-month period and that the Labour Party considers it unthinkable that we should win more than that 16.5 billion in the second half. That means we're going to be 33 plus 2 billion for this year. You can talk a lot about all kinds of legal and technical ways in which we can fly into this and try to create confusion, but the fact is that today we are going to gain less gas with immediate effect. That is the result of the discussions and the political pressure you and all your colleagues have exerted with the Labour Party here. If I were you, I would congratulate myself on that, knowing that we have been far too late and that it is not enough.
ParlaMint-NL_2015-02-12-tweedekamer-8.u167	I will leave Mr. Fox's entrapment for a moment. I would like to say a few words about the assent decision. I have just checked, through official assistance, whether much preparation is needed to amend that assent decision. No, I was told, that can be done right away. We can therefore immediately lower that ceiling. The crucial question before the Labour Party today is: are we prepared to do so? Mr Vos says that in the second half of the year it should not be more than in the first half of the year. So you reach 33 and a margin of 2 billion; we can talk about that. Is Mr Vos prepared to amend that assent decision today? Of course the Minister is talking about that, but it is a cabinet in which the Labour Party sits. If the Chamber today puts down a motion by a broad majority stating that the ceiling should be lowered, that the assent decision should be changed, then I think the Minister will listen carefully if the Labour Party is prepared to do so.
ParlaMint-NL_2015-02-12-tweedekamer-8.u168	Winning plan, assent decision; it will all be discussed in a moment. I have already said that the Labour Party is asking the Cabinet to submit a new extraction plan as soon as possible. I think it is only one thing to say that I am rather pragmatic about whether or not gas extraction is going down. Mrs. Van Veldhoven, are you still listening?
ParlaMint-NL_2015-02-12-tweedekamer-8.u169	Sure!
ParlaMint-NL_2015-02-12-tweedekamer-8.u170	So for me, it's just one thing: is the gas extraction going down or not? Let us conclude that gas extraction is going down, for the third time now and for the first time a little significant: from 22 billion to 16.5 billion for this six months. For the period after that, it is unthinkable that extraction should go up again. With that we have realized something and actually changed something. Mrs van Veldhoven can then talk about extraction plans and approval decisions until she weighs one on us, but I think it really matters to the Groningen people whether or not the gas comes out of the tap.
ParlaMint-NL_2015-02-12-tweedekamer-8.u171	Chairman...
ParlaMint-NL_2015-02-12-tweedekamer-8.u172	Mrs. Van Veldhoven, we ask questions in two. I would therefore first like to give the floor to Mrs Van Tongeren.
ParlaMint-NL_2015-02-12-tweedekamer-8.u173	I don't care.
ParlaMint-NL_2015-02-12-tweedekamer-8.u174	Yeah, but I'm the chairman here. Mrs. Van Tongeren, go ahead.
ParlaMint-NL_2015-02-12-tweedekamer-8.u175	We were just discussing who could best ask the next question, Mr President. I note that in today's debate Mr Vos is not getting any clarity about further reductions and that the PvdA is simply supporting the Minister's decisions for the time being. I want to try to fly it from the other side. I heard Mr Vos say 'that is a fine signal 'that he also wants to work on further gas reduction'. If demand decreases, less needs to be won. Unfortunately, the PvdA voted against the previous GroenLinks motion to look at gas-free neighbourhoods, but I assume that next time the PvdA will vote in favour. Is the PvdA therefore willing to break open the energy agreement and ensure that there is a huge acceleration in insulation, in the number of zero-on-the-meter houses, in bringing down the gas consumption, and that less heat leaks to the outside air. Colleagues had all kinds of proposals on this. Do we find Mr Vos today with the clear statement that he is prepared to break open the energy agreement to ensure that gas demand goes down?
ParlaMint-NL_2015-02-12-tweedekamer-8.u176	The Group of the Greens/European Free Alliance likes to break things open and see them differently than they have been established. The energy agreement is incredibly important. Mrs Van Tongeren knows better than anyone why. The energy agreement ensures that we get renewable energy in the Netherlands: solar energy, wind energy, geothermal energy. We need this energy instead of the fossil energy that we are using now, from, for example, the Groningen field. The energy agreement has been signed by over 40 civil society organisations and companies, from Greenpeace to Tata Steel. It has been confirmed by the Cabinet and supported in the Chamber by almost all parties. I'd be crazy to break it open. The energy agreement must be implemented as quickly as possible. If energy saving is not sufficiently guaranteed, I will do everything within that agreement to ensure that energy saving is made more efficient. I also have to think a little bit about what is going on in Groningen at this point, because there is a long way to go in Energy Valley with such initiatives. Green gas is also there...
ParlaMint-NL_2015-02-12-tweedekamer-8.u177	That is another debate, Mr Vos. Today it's about the gas.
ParlaMint-NL_2015-02-12-tweedekamer-8.u178	I note that the Labour Party is not prepared to make serious efforts to reduce gas in the Netherlands, because that requires an adjustment of the energy agreement. Is Mr Vos perhaps prepared to do this again? I am trying to see if there is anything in it to ensure, together with GroenLinks, that at least no new foreign gas contracts are concluded? If he does not want to further reduce the extraction, he may want to reduce domestic gas consumption. However, we just heard that the PvdA doesn't want that. Does the PvdA perhaps want to reduce foreign demand and ensure that we do not conclude new gas contracts?
ParlaMint-NL_2015-02-12-tweedekamer-8.u179	As far as I know, no new contracts are being concluded with foreign countries. That is at the request of the Chamber and is also a success of your own group.
ParlaMint-NL_2015-02-12-tweedekamer-8.u180	I believe that there are no longer long-term contracts, but short-term contracts, as we have heard. Mr. Vos just asked me if I was listening properly. Yeah, I'm listening, but I can't hear anything. That's what's happening here. Mr Vos says that it is unthinkable that we have heard here twenty times that the gas tap will open again in the second half. Then I say to Mr Vos: there is a way to guarantee that. This can be done by adjusting the ceiling. Apart from the ceiling, he can figure out between now and July where he wants to gain the amount of gas that is under the ceiling. I have just checked with the officials: the ceiling can be adjusted. We can do that this week, if the Chamber decides. The crucial question is the following, and I will listen very carefully if I hear a yes or a no. Is the Labour Party prepared to take action today with a large number of opposition parties, to say that it is unthinkable that it should put a guarantee on it and adjust the extraction ceiling of 39.4 billion cubic metres?
ParlaMint-NL_2015-02-12-tweedekamer-8.u181	I still do not quite understand what Mrs Van Veldhoven is asking for.
ParlaMint-NL_2015-02-12-tweedekamer-8.u182	I'd be happy to ask the question again, if you don't mind.
ParlaMint-NL_2015-02-12-tweedekamer-8.u183	Despite all the criticisms that have been made, we have made it very clear that gas extraction is going down. I think it's a little acidic to deal with it this way, when you realize that we've reduced gas extraction from 39.4 billion cubs to 33 billion cubs. Now we put down 16.5 billion cube and see what happens. Maybe after 1 July we can reduce gas extraction even further. Why can't Mrs van Veldhoven wait for a moment and be confident that the efforts we have shown to get here will continue in the future?
ParlaMint-NL_2015-02-12-tweedekamer-8.u184	Before I give the floor to Mrs Veldhoven, I must once again ask the people in the public gallery not to express disapproval or consent. People in this Chamber must have the space to express their views freely.
ParlaMint-NL_2015-02-12-tweedekamer-8.u185	Trust is good, but a clear ceiling is better. The Labour Party says the gas extraction has been reduced to 33 billion cubic metres. If I were, I wouldn't be standing here. The simple fact is that the Chamber and the Cabinet have not yet reduced gas extraction to 33 billion cubic metres, because there is still a ceiling of 39.4 billion cubic metres. That is why my question to the Labour Party is whether it is prepared to bring the ceiling back to 33 billion cubic metres. That is the proposal that Mr Vos says he is actually in favour of. Then record it with us, and we're done!
ParlaMint-NL_2015-02-12-tweedekamer-8.u186	What Mrs Van Veldhoven is doing here is creating confusion at a point where there is no confusion at all. In fact, she has put a very clear question to the cabinet, together with me and all the other colleagues in the Chamber: can gas extraction please be reduced? Gas extraction then went down. Mrs Van Veldhoven could have said that it is nice that the gas extraction has gone down and that we are going to see how we will proceed in July. The Labour Party's commitment that it is unthinkable that gas extraction should then go up again could have been borne by Mrs Van Veldhoven. I think that I have already fulfilled a lot of commitments and that trust is based on something. We could have looked into it further, because maybe it could be a little less than 35 billion cube. That is why it is unwise to set the ceiling at 35 billion cubic metres. But now Mrs. Van Veldhoven just leaves it for what it is.
ParlaMint-NL_2015-02-12-tweedekamer-8.u187	I think the whole opposition is clear. The only one who is not clear is Mr Fox of the Labour Party. I've heard the word "invincible" ten or twenty times. "I expect, I think, we're going to work on it, I'm waiting": what guarantee does Mr Vos give to the people in Groningen that the gas crane will not open again on 1 July?
ParlaMint-NL_2015-02-12-tweedekamer-8.u188	I've been here for two and a half years. I haven't seen this before. I have said that it is unthinkable that the crane will open again after 1 July. So it doesn't open any further. Maybe it'll close further. We will look at how we should formally write that down and what decisions are needed for that. We will also see which motion text it leads to in the second term. It is clear that gas extraction is no longer rising. That's unthinkable. The safety of the inhabitants of Groningen is paramount. Gas extraction's more likely to go down.
ParlaMint-NL_2015-02-12-tweedekamer-8.u189	"Instantaneous" doesn't help us at all. A decision taken four weeks before the elections ends a few weeks after the elections and then Mr Vos guarantees that it is unthinkable? With all due respect, is Mr. Vos so naive or does he think the Groningen are naive? What guarantee do you give? I thought you were the guy who thought it was unthinkable that Aldel went bankrupt.
ParlaMint-NL_2015-02-12-tweedekamer-8.u190	That's another subject. I'll repeat it one more time. Gas extraction shall be reduced immediately to the lowest possible level. This means that this year we will go from the 39.4 billion proposed by this cabinet to 33 billion plus 2 billion. If you listen carefully, this means that it is unthinkable that after the 16.5 billion for the first half of the year more than 16.5 billion will be won in the second half. It's clear, isn't it? Second. We would like to see a new cabinet extraction plan, because it is no longer a good thing. We're assuming other quantities. Thirdly, we would like to see scenarios to reduce even further. I don't know how much clearer I can be than this, but it seems clear to me that this has achieved results and that the gas crane has been turned further; as close as possible. I think Groningers can do the math, too, Mrs. Klever.
ParlaMint-NL_2015-02-12-tweedekamer-8.u191	This is, after all, the most crucial issue today. I hear the Labour Party saying that it is willing to go further down. Apparently, she's assuming 33 billion cube right now. Is the Labour Party prepared to lower the ceiling which can be waived in extreme circumstances? Could Mr Vos perhaps come back to it in his second term? I can imagine that Mr Vos now also wants to know from the Minister whether he is going to go to 33 billion cubic metres. Suppose the Minister says we go with the Labour Party to 33 billion cuub. In fact, we now hope for that answer, because otherwise we will have to wait until 1 July of this year. Is that a scenario for the second term which Mr Vos says: can I agree with that reasoning?
ParlaMint-NL_2015-02-12-tweedekamer-8.u192	I'll be honest with you. I actually wanted that 30 billion cube, too. That is what most Groningers wanted; it was called for. That is why, in the actual round of questions, I asked the cabinet exactly what that was about. What is the safest level if you rely on security of supply? Based on the answer to that question from the engineers of GTS, I have to conclude that it is 33 billion and not 30 billion. So I'm assuming we're gonna take that 33 billion plus 2 billion if, as it's said, you can drive your car across the IJsselmeer. However, I do not think that any less than that is justified. After all, you know that the opposite is true. If we sit too low, and we need a peak load and suddenly we have to tax the Groningen field, then that leads to all kinds of consequences that may have a greater effect on safety than produce level. Unfortunately, that is the current state of affairs, as I have seen from the facts.
ParlaMint-NL_2015-02-12-tweedekamer-8.u193	Is Mr Vos's expectation that the Groningen will eventually be clarified today, or does he think that it may not become clear until 1 July what the extraction will look like in the rest of this year?
ParlaMint-NL_2015-02-12-tweedekamer-8.u194	I think the Groningen people understand very well the difference between the 42.5 billion that was originally there, the 39.4 billion that the cabinet wanted to decide and the 33 billion plus 2 billion that is now ahead. We will see exactly how we are going to achieve that. But today, with immediate effect, that extraction will be returned. In any case, I am very much in favour of this. I have already been able to say quite a lot in the answer to the questions. I would like to go into the question of the settlement of damages. It's not taken care of properly. We have been debating this with each other for years. The patience of my group is actually exhausted. Residents are still told that they have to prove that damage is caused by earthquakes and that there is no delay in maintenance. This morning I received a letter from someone who had been told at first: yes, it's okay; we're gonna fix it all nicely. Then the story was: we have looked at it again and it turns out to be overdue maintenance. A small 10% of all damages in Groningen are currently not reimbursed. That's not right. We have now discussed this with each other a number of times. I ask the Minister to resolve it now, because if he doesn't solve it, we have to deal with all kinds of matters that I know the Minister doesn't like very much, such as the reversal of the burden of proof. I'm gonna give you a shot right here. I say this is the last time we will talk about it in this way. I know the promise lies that by the end of the year all complex things will be resolved. If that is not the case, we need to take drastic measures. Families in Groningen are often on their own. They sometimes fight large, powerful agencies that are hard to fathom. I find it hard to remember myself sometimes. We have a Groninger gas ombudsman, who is also independent counsel, we have a special committee for special cases, we have a Dialogue table and so we can continue. Where are you supposed to be? I would like families to receive independent, paid assistance from, for example, a damage expert, an architect or a lawyer if they have a trial or a problem with the NAM. Can the Minister ensure that this assistance is provided to people with complex problems? Unfortunately, there will be a lot of construction work in Groningen in the coming years due to the restoration and strengthening of housing. These construction works, however harsh, of course also have a downside, namely that there is a lot of work. That's work for construction workers and work for architects. However, the FNV has found that there have been repeated violations of Dutch laws and regulations on construction sites in the north of the country. All I have to do is refer to the construction of the coal power plant, and everyone knows how that happened, with illegal labour. I would like to receive the Minister's undertaking that he will talk to the FNV to ensure that the problems and abuses are dealt with, that the construction work takes place in accordance with Dutch legislation and that Dutch construction workers can find the work that they need so much at the moment in the still difficult economic situation. Then there is the question of which villages, communities and municipalities should and should not be included in the supplementary agreement. That's administrative bullshit. You either have earthquake damage or you don't. If there is earthquake damage, you will be helped, and if you do not have earthquake damage, you will not be helped, whether or not you are within the administrative agreement. The fact that there's stooge about that is actually too embarrassing for it to be. I would also like to see all 500 damage cases outside of Menterwolde and Hoogezand just fall within that arrangement. I would also like to receive a commitment from the Minister on this point. Finally, here's what I'm gonna say. We owe money to Groningen. The recognition of the many problems in the region has finally come, but we are far from there. Over the next few years, we have an expensive duty to restore the trust that has been completely lost. We will have to show a great deal more commitment than has been shown today. We will also have to achieve a great deal more than has been achieved so far.
