ParlaMint-NL_2015-03-25-tweedekamer-10.u1	Ten speakers have come forward. I shall be the first to give the floor to Mrs Ouwehand.
ParlaMint-NL_2015-03-25-tweedekamer-10.u208	Mr President,......................................................................................
ParlaMint-NL_2015-03-25-tweedekamer-10.u209	It was an answer to a question from Mr Vos.
ParlaMint-NL_2015-03-25-tweedekamer-10.u210	I would like to give Mr Vos the opportunity to ask his question first.
ParlaMint-NL_2015-03-25-tweedekamer-10.u211	I thank the Minister. I would like to clarify one point; I also have a question. It is not so much that my group advocates a different way of financing but that it advocates an additional form of financing. With regard to State aid, I would like to mention the comparative forms of financing established in the United Kingdom and Germany in the field of renewable energy. Similar forms of investment are used there. Would the Minister take that with him?
ParlaMint-NL_2015-03-25-tweedekamer-10.u212	I will involve Mr Vos' suggestion in the elaboration.
ParlaMint-NL_2015-03-25-tweedekamer-10.u213	It's a good thing the Minister's gonna work that out. He rightly raises the fundamental question of whether you should want this. My question to the Minister would therefore be whether he thinks you should want this at all.
ParlaMint-NL_2015-03-25-tweedekamer-10.u214	I think it makes sense as we have set it up now. You let the market do this, as the market also owns the gas plants and coal plants. What we own is the electricity network via TenneT, and the gas network through the Gasunie. Whatever's around that, let's go through the market. The amount of 12 billion we spend on this between now and 2038 does not seem to me to be of such a nature that we should immediately deviate from that line. If a political group in the Chamber points that out to the Prime Minister as an alternative option to which attention should be given, and if the Prime Minister agrees, then I feel bound to do so. I will put that in the picture and I will include Mr Vos's addition. My line is to do it like I just said. I want everyone to understand how I'm doing this. The first is that I want to achieve that objective. The second is that I want to do it for as little money as possible. The third is that I want to realize wind at sea according to the plan which I myself presented to the Chamber in detail. The fourth point is that I want to do as I have explained in relation to the financing and the taking of risks. However, this does not mean that, for example, in the procedures to be carried out on the precise locations of the windmills in the Water Plan, I am deaf to participation and to what emerges from it. Nor does it mean that I would not listen to suggestions from the Labour Party in the Chamber, let alone that I would not keep a commitment from the Prime Minister.
ParlaMint-NL_2015-03-25-tweedekamer-10.u215	I wouldn't even dare make that suggestion! The question remains whether the Minister would also like to comment in his statement on the possible consequences of delays, perhaps they are not at all risk of delays. In fact, I believe that there is a great deal in the Chamber that we should not want delays.
ParlaMint-NL_2015-03-25-tweedekamer-10.u216	I will. I also think that this is a relevant aspect. The Group of the Party of European Socialists, which draws attention to this, also calls for attention to be paid to the timely achievement of the objectives. I will certainly include that element. Thank you, Mrs Van Veldhoven. I shall look into other points raised by Mr Vos. He was compact in his input. He also talked about the location of IJmuiden Ver, about which the fraction of the VVD also started last time. I've already responded to that. I have also responded to the issue of employment. Mr Vos has spoken to me in support of the existing permits, for which I am grateful. I have also responded to the issue of employment in Vlissingen, Den Helder and the Eemshaven. I believe that there are great opportunities for these regions. There are also very good companies that can take advantage of these opportunities. I will certainly also take advantage of my opportunities to support them and work with them.
ParlaMint-NL_2015-03-25-tweedekamer-10.u217	I had added another point about speculative bidding. In the past, speculation has occurred on wind farms at sea. Does the Minister intend to take measures to prevent this from happening in the future, in order to prevent the granting of a licence when the implementation cannot take place in a timely, inadequate or even at all?
ParlaMint-NL_2015-03-25-tweedekamer-10.u218	Can I come back to that in a second term or at a later occasion? It seems to me to be an important point. I will see if I can provide an adequate response to this question tonight. I come to Mr Bosman. First of all, I would like to express my appreciation to Mr Bosman. I think he was only told yesterday that he had to do this debate. I really appreciate how he picked it up like that. He talked about cost reduction as a condition. That's how I see it. Those ten times 0.5% a year that we have to take off, we record. The market promised to achieve this cost reduction in ten years. If that does not happen, then we cannot grant a subsidy. Mr Bosman wondered whether this law would not anticipate the establishment of the sites. That is not the case. That's what's happening in the Water Plan. However, it is fair to say to the Chamber that I am on a duty to do something. I have my idea how to do it. I made a commitment to the Chamber on IJmuiden Ver. I just went into that. I will keep that promise. If there is clarity and if the outcome takes me off my point of view, I will tell the Chamber what the new position is and how I intend to achieve it. If that is not the case, however, I will continue with what I am doing now. Mr Bosman also addressed the possible damage suffered by a windmill operator if TenneT is late. In response to other spokesmen, I have already discussed this in detail. That is all I have to say, Madam President. I had you...
ParlaMint-NL_2015-03-25-tweedekamer-10.u219	Amendments?
ParlaMint-NL_2015-03-25-tweedekamer-10.u220	...promised an hour and a half, but it's gotten a little longer.
ParlaMint-NL_2015-03-25-tweedekamer-10.u221	I still have one more question. Perhaps this will save a second-term motion. How exactly is the STROOM legislative process going? STROOM is extremely important to be able to roll out winds at sea. Is it gonna be in the room in time? It is a rather complicated legislative process.
ParlaMint-NL_2015-03-25-tweedekamer-10.u222	I have no delay with regard to STROOM to report. It's no different than what I've communicated to the Chamber before. Actually, I should know exactly when STROOM is coming to the Chamber. We have to do that through the Council of State first. Can I come back to that in second term?
ParlaMint-NL_2015-03-25-tweedekamer-10.u223	Of course you can. I have the hope and expectation that STROOM will come to the Chamber before the summer, so that we can deal with it in good time and enter it next year. If this does not work, I suggest that parts of the legislative process be removed and sent to the Chamber as a legislative proposal, so that we are not delayed in terms of wind at sea. Perhaps that is not necessary at all and we will get the bill without further delay in the Chamber. Of course, that would be the most beautiful thing.
ParlaMint-NL_2015-03-25-tweedekamer-10.u224	I was already pleased with Mrs Dik-Faber's input. With what she's saying here right now, I'm totally happy. I really need the cooperation of the Chamber in order to deal with these matters smoothly. Mrs Dik-Faber declared her willingness to grant it. That's important to me. Soon I'll come back to the exact moment we arrive with STROOM. I hope that Mrs Dik-Faber's attitude will become the attitude of the Chamber as a whole.
ParlaMint-NL_2015-03-25-tweedekamer-10.u225	Is the Minister still going to deal with the amendments in the first place?
ParlaMint-NL_2015-03-25-tweedekamer-10.u226	Yeah, I just asked.
ParlaMint-NL_2015-03-25-tweedekamer-10.u227	Okay, fine. I had a small question, but maybe it's a little technical. If, therefore, it is answered in second time, I think that is excellent. The question was whether it had legal consequences which could lead to administrative burdens, which would reduce the cost benefits if a wind farm was partly built outside and partly within the exclusive economic zone. Would the Minister like to take another look at that?
ParlaMint-NL_2015-03-25-tweedekamer-10.u228	Yes. I have looked at this and can reply briefly: no, this does not lead to additional costs. This is a bit short, for which I apologize. Is it good that I now respond to the amendments?
ParlaMint-NL_2015-03-25-tweedekamer-10.u229	I'd love to.
ParlaMint-NL_2015-03-25-tweedekamer-10.u230	Mrs Dik-Faber has, through the amendment to item No. 11 that the possibility of amending or withdrawing an authorisation should be withdrawn in the event of a change in the marketing authorisation holder's financial capacity. If the marketing authorisation holder's technical or financial capabilities change, I can withdraw the authorisation according to the current legislative proposal. Mrs Dik-Faber believes that I should not have that possibility, because it creates uncertainty. The first paragraph of Article 17 does indeed provide for the possibility of amending or withdrawing a licence. If a licence is applied for, we will check whether the application is technically, economically and financially feasible. If that is not the case, the application shall be rejected. This seems to me right away to be a reaction to Mr Vos, who does not want people to speculate about something that they cannot achieve at all, which delays us in achieving our objectives. In order to avoid this, we can test the application both technically, economically and financially. If necessary, we shall be advised. That way we can separate the chaff from the chaff. I shall continue with my response to Mrs Dik-Faber's amendment. If at a later date it appears that the holder of the authorisation is unable to keep the technical aspects of his wind farm in order or is in financial difficulties, this Article provides the possibility to amend or withdraw the authorisation in the extreme. Of course, financiers are not happy about that at all. Apart from the fact that at the beginning we release a test to check whether this is technically and financially correct in our opinion, financiers will also check it out. So the likelihood of such a thing happening is not great. Moreover, I will use my powers very reluctantly. However, I do not want to completely deny that competence. Something may occur, which makes it desirable for the public interest to make use of this possibility. I say to Mrs Dik-Faber that I will use it very reluctantly. Mrs Dik-Faber's amendment, which completely deprives me of this possibility, I do not recommend.
ParlaMint-NL_2015-03-25-tweedekamer-10.u231	In part No. 11.
ParlaMint-NL_2015-03-25-tweedekamer-10.u232	In part No. 11.
ParlaMint-NL_2015-03-25-tweedekamer-10.u233	Mrs Dik-Faber has another question on the previous amendment.
ParlaMint-NL_2015-03-25-tweedekamer-10.u234	I do have a brief question for the Minister. I understand what he is saying, but I believe that this article creates a lot of uncertainty for investors and, unfortunately, the Minister can already withdraw a permit on the basis of Article 15 and Article 17........................................................................................................................................................................................................................................... This article of law is therefore in addition to the possibilities that the Minister already has. Since this creates uncertainty, I wonder whether we should delete it.
ParlaMint-NL_2015-03-25-tweedekamer-10.u235	The idea at the market is not that there is uncertainty. The idea at the market is that the Dutch government knows very well what it wants, that it has made the money available for it, that it has great support for it, both politically and in society, and that it has also set a very logical line. So there is not the idea in the market that there is uncertainty at this point. We're doing a review and the financiers are doing a review. I make a commitment to Mrs Dik-Faber and to the Chamber that I will use this opportunity very reluctantly, but I do not think it would be desirable to complete the procedure. That's why I don't recommend the motion. We, as legislators, should not take away that possibility. In the amendment to item No. 12 Ms Dik-Faber stated that the possibility of amending or withdrawing an authorisation should be abolished if the SDE+ grant has been withdrawn. Article 17 (1) provides for the possibility of withdrawing the licence in such a case. If the SDE+ grant from a wind farm has been withdrawn, this may be reason to change or withdraw the permit. If that possibility is deleted, that means I can't re-tend that lot. If there is a problem and the SDE+ grant has to be withdrawn, I also want to be able to withdraw the licence. If I can't, it's still there. And I can't have it quieting. I gotta go. I must have those windmills running there in good time, which is why I want to have the opportunity to withdraw or change the permit and then allow another to realize the windmill park via a tender. That is why I do not recommend the Dik-Faber amendment to item No. 12.
ParlaMint-NL_2015-03-25-tweedekamer-10.u236	From the perspective of the importance that we both attach to the realisation of wind farms at sea, I can fully follow the Minister. However, withdrawal of a subsidy may have many causes, including those which are outside the scope of the authorisation holder's influence. Isn't it inappropriate governance to say as a government that the subsidy is no longer there, then we're also going to withdraw the permit? And would this eventually stand in court? Those are my legal questions about this article. In substance, I agree with the Minister, but I think that there are some legal comments to be made here.
ParlaMint-NL_2015-03-25-tweedekamer-10.u237	Yes, Mrs Dik-Faber is right about that. If we were to do it in an irresponsible way, there would be inappropriate governance, for example, if it were our fault that we withdraw a subsidy and it was not the party that received the subsidy that was to be blamed, and then we would withdraw the licence. But of course we're not gonna do that. I'm very happy if someone's been honored with a plan with a grant commitment. I would also very much like him to realise that plan, but if we see that it is not going well and we have to withdraw the permit under the SDE+ conditions, we will do so. We must be able to justify ourselves, of course, even to the courts, but if we can do this responsibly, I do not want to worry about the fact that the licence has then continued to run. Then we were able to withdraw the SDE+ grant commitment with justice, but then we still have that permit. In that case, I would also like to be able to withdraw the licence. I do not think that we think differently. Perhaps this amendment is not recommended for Mrs Dik-Faber to withdraw it. I'll wait and see. I come to the amendment to item No. 13 by Mrs Mulder. She doesn't want lots in the stretch between the coast and 12 miles away. I have already said that this bill does not regulate exactly where the windmills are going to be. This bill is neutral in terms of locations. It doesn't rule out one and it doesn't rule out the other. We'll arrange things that will allow us to pinpoint the locations in the National Water Plan. I'll give the Chamber some clarity about my commitment. The Chamber is now crystal clear, I think. However, I am open to going through the procedures that need to be carried out in a proper and careful manner. I will do the same in the development of the amendment to the National Water Plan. So I do not think it is right to table this amendment to this law at the moment. That is why I do not recommend the amendment. The amendment in part No. Mrs Van Tongeren's 15 concerns the existing permits. It does not want it to expire until the first Lot Decision has become final. I can't get out of my way with the existing permits. The ambition to achieve 14% by 2020 and 16% by 2023 can only be achieved through the roadmap I set out, with 10 and 12 miles and IJmuiden Ver still following what I have just explained. At least I can't get rid of the existing permits. We have been working on the existing permits since 2009. I've already ruled it out for the SDE+ 2014. I have spoken with those concerned about the costs that they have had to incur in this context and the fees that have been paid for them. I've completed those talks. I advise the Chamber not to leave those permits hanging over the market any longer. On this basis, I would advise against the amendment to item No. 15. I do not rule out the possibility that Mrs Van Tongeren and I could agree, because I might also be right once in a while, I say to her. Maybe in that case, I'll get it from her, too. In the amendment to item No. 17, tabled by Mrs Van Veldhoven and Mrs Ouwehand, provides that local authorities should be able to appeal against the Lot Decree. Article 8 of the Bill declares Chapter 1, Section 2 of the Crisis and Recovery Act applicable to a Lot Decision. This means that the accelerated procedures apply and local authorities cannot appeal against decisions. Through the European directive, we have been given a task of achieving renewable energy. We are very much behind in this respect in other countries. That is constantly being rubbed under my nose in the Chamber. We have to catch up. We have an ambition. We have concluded the Economic and Social Committee agreement with all those concerned. This means that we need the provisions of the Crisis and Recovery Act in order to achieve the required pace. The amendment in part No. 17, which is intended to give local authorities the right of appeal, is not in line with this. My starting point is that governments should not sue against each other, but should try to reach an agreement through consultation. I'll keep trying. However, I do not want to delay the transition to renewable energy. I would like to take advantage of the possibilities offered by the Crisis and Recovery Act. I therefore recommend that the amendment be rejected in respect of item No 1 of the motion for a resolution. 17. Then I come to the amendment to item No. 18, tabled by Mrs Van Veldhoven and Mrs Ouwehand. The purpose of this amendment is to limit the scope for derogations from the Flora and fauna law. I would advise against this amendment. I think it is desirable to apply only the European rules on protection under the Birds and Habitats Directives. They provide a good level of protection. This bill provides for this. There is another bill pending before the Chamber which removes the national head of the Flora and fauna law. In accordance with this, the same thing is happening in this bill. The amendment in part No. 18 the aim is to put the national head back on top of it. That's not what I want. The amendment also introduces an additional test, which requires us not only to check in advance when taking a lot decision whether there is no other solution but, in specific cases, to review whether there is no other alternative. That's the national headline. I don't think this is right. This is also contrary to the amendment of the Nature Protection Act, in which the national head also goes off. That is why I reject the amendment to item No. 18.
ParlaMint-NL_2015-03-25-tweedekamer-10.u238	The Minister said earlier in the reply that nothing of the Nature Conservation Act was excluded by Article 5. Now he's basically saying he's up to this. If I compare Article 4 with the articles that are excluded in Article 5, I see that the current Nature Protection Act is not fully incorporated into it. What is stated in Article 19d (2) and (3), namely that you can carry out actions necessary for the management plan, for example, can no longer be done. That is not included in Article 4. So I do not think that the entire protection of the current legislation is included in Article 4 and the protection under the Lot Decision.
ParlaMint-NL_2015-03-25-tweedekamer-10.u239	In the beginning, I said that the relevant European directives for Natura 2000 sites are being respected. All procedures and any considerations applicable to them shall be followed and made. This is about the head of the Flora and fauna law. What do we do with that? The cabinet has already submitted a bill for the protection of nature to the Chamber in which that head is removed. That's what the coalition agreement says. It would be strange for me to be associated in this legislative proposal, where all these things such as the Lot Decision, the licensing and the grant commitment are linked and the relevant conditions are linked, to do something else. It makes sense, then, to act now in accordance with the other legislative proposal that we have made to the Chamber. That's what we're doing now. This is nothing but bringing the bill into line with nature conservation.
ParlaMint-NL_2015-03-25-tweedekamer-10.u240	Under the Nature Protection Act, you cannot just do damage in Natura 2000 sites. You have to prove that there are no other options. In fact, what is expressed here is something that is also covered by the current Nature Protection Act. I simply note that Article 4 does not fully cover what is excluded in Article 5. I think the Minister's just saying that this is the intention. Perhaps this could be resolved already if Article 4 states that the damage must be prevented, as referred to in Article 19d (1), (2) and (3). I believe that we will then ensure a complete transplantation of what is excluded from Article 5, because it is included in the Lot Decision, into the real protection under that Lot Decision. In that case, we will not change at all what is in the current legislation.
ParlaMint-NL_2015-03-25-tweedekamer-10.u241	I don't think that's true, but I'll take another look at that in a minute. I shall come back to that in the second term, if necessary. But the line is as follows: what is stated in the relevant European directives on nature conservation, we are fully implementing. Those procedures are being followed and nothing is being done about that in this bill. The national headline on the Flora and fauna law is taken off by the bill of nature protection that lies with the Chamber. In this bill, we are doing exactly the same thing as in that bill. Those two proposals are in line with each other. Mrs Van Veldhoven said that attention still needs to be paid to this. I shall look at it again in a moment and come back to it in a second term. If I don't, it's like I just said. Then I will stick to my opinion, namely that I should like to amend item No. 18 detachment. I now turn to the amendment to item No. 19 by Mrs Ouwehand. It says that the quality of the measures to prevent damage to flora and fauna should be one of the ranking criteria for authorisation without subsidies. The amendment adds a ranking criterion in the event of the non-subsidised authorisation procedure being applied. The measures to be applied by a marketing authorisation holder to prevent damage to flora and fauna shall be included in the Lot Decision. So we take a lot decision and we attach to it conditions to ensure that damage to flora and fauna is prevented. I have already mentioned mitigation measures rather than compensatory measures. The addition of this ranking criterion will also require rules on the measures to be attached to the authorisation. However, we have arranged this through the Lot Decision. If the Chamber were to do what Mrs Ouwehand says, the lot decision and the permit would run through each other. This breaks through the system of the bill and has no added value. That is why I do not recommend the amendment to item No 2 of the motion for a resolution. 19 by Mrs Ouwehand. Madam President, can you give me a two-minute suspension? I would like to discuss one of the amendments. I'll get back to you in a minute. Is that possible?
ParlaMint-NL_2015-03-25-tweedekamer-10.u242	Yeah, that's fine.
ParlaMint-NL_2015-03-25-tweedekamer-10.u243	Thank you for the short suspension, Madam President. It has not given me new insights, so I can conclude my contribution in the first term.
ParlaMint-NL_2015-03-25-tweedekamer-10.u244	Mrs Mulder asked for a letter in her first term. I understand the letter is with the Chamber. That is why I propose that we suspend for 15 minutes.
ParlaMint-NL_2015-03-25-tweedekamer-10.u245	Thank you for coming to the Chamber this evening, because otherwise we might have had to go a long way tomorrow. I would like a moment to read the letter and I would like to proceed as soon as possible.
ParlaMint-NL_2015-03-25-tweedekamer-10.u246	Do I understand from this that you think 15 minutes is too short?
ParlaMint-NL_2015-03-25-tweedekamer-10.u247	Depends if he's here already.
ParlaMint-NL_2015-03-25-tweedekamer-10.u248	Fine. If the letter calls for more time, I'll take that into account.
ParlaMint-NL_2015-03-25-tweedekamer-10.u249	We shall begin with the second term of office.
ParlaMint-NL_2015-03-25-tweedekamer-10.u250	Mr. Chairman. As has been said, no form of energy generation has any drawbacks. The need to distance ourselves from fossil fuels and to switch to truly renewable energy sources such as sun, wind and water is great. In this respect, we support the government's ambition to work on wind energy, but it is still difficult for this government to do very little about energy saving, but it is prepared to weaken the protection of the already fragile nature in the North Sea in order to set up windmills there. We believe that nature in the North Sea deserves protection in itself, and we call on the government to do so seriously and thus to designate areas such as the Borkumse Stones as a marine reserve, to comply with the OSPAR Convention and to minimise the effects of windmills at sea on nature. Having listened to the Minister's answers, we are not quite sure yet. That's why I'm filing a number of motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the installation of windmills at sea can cause a lot of noise that has a negative impact on underwater life;]] [[noting that Germany has set an upper limit to the level of underwater noise which may be produced as a maximum during the installation of windmills;]] [[noting that this cabinet is still examining the possibility of such a noise standard being included in the framework of ecology and cumulation to be developed;]] [[calls on the Government, like Germany, to include an underwater noise cap in the framework of ecology and cumulation for wind energy at sea,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34058-22]]
ParlaMint-NL_2015-03-25-tweedekamer-10.u251	I have also asked for mitigation measures to be taken at all times in the possible impact of windmills on Natura 2000 sites. The Minister has said something reassuring about this, but we are not quite satisfied yet. I'm filing a motion to record this. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the installation of wind turbines at sea may have a significant impact on Natura 2000 sites;]] [[calls on the Government to opt for mitigation measures in the event of possible significant impacts of windmills on Natura 2000 sites at sea,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34058-23]]
ParlaMint-NL_2015-03-25-tweedekamer-10.u252	Then the leak of heavy metals from the windmills into the water. The Minister wasn't worried about that. He said: if it is, then a permit must be issued under the Water Act. We think it would be better to include it directly in the permit conditions and the subsidy scheme. Today, the German institute warned about the consequences. So the Germans seem to be leading the way in making wind energy possible and effectively protecting nature. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that windmills with anti-rust anodes can cause substances such as aluminium, zinc and other heavy metals to gradually dissolve into water;]] [[noting that there are techniques to protect steel without the release of these toxic metals;]] [[Whereas heavy metals should not enter the environment;]] [[calls on the Government to include in the regulations and the subsidy scheme for offshore wind energy the use of less polluting ways to prevent rust from windmills,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34058-24]]
ParlaMint-NL_2015-03-25-tweedekamer-10.u253	The Minister will say: that costs more money. That's right. We have a game for that if we stop spending the SDE+ money on ways of generating energy that are actually carrying water to the sea. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a large proportion of the SDE+ funds are spent on the production of biogas from animal manure;]] [[Considering that manure production is a major waste of energy, with 62 petajoule per year lost to livestock feed production alone, equivalent to the annual energy needs of 5 million households in the Netherlands;]] [[noting that the fermentation of manure itself produces very little energy;]] [[calls on the Government to adapt the SDE+ scheme so that manure digesters are no longer eligible for subsidies and the funds released can be spent, inter alia, on (innovation in) wind energy,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34058-25]]
ParlaMint-NL_2015-03-25-tweedekamer-10.u254	Finally, Mr President. The Minister did not want to broaden the debate. The Party for Animals always does. The need to combat global warming, including by focusing on renewable energy, is vital, but we are not going to make it with just windmills. We really need to save, save, save, also because of the argument that any kind of energy generation has disadvantages. Therefore, this motion to support the Minister. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that significant energy savings can be achieved through the Environmental Management Act, which can force public authorities to use the best available techniques;]] [[noting that enforcement of the Environmental Management Act is inadequate in this respect;]] [[calls on the government to put the Environmental Management Act in place, for example by investing this task in the Environmental and Transport Inspection,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34058-26]]
ParlaMint-NL_2015-03-25-tweedekamer-10.u255	Mr. Chairman. I thank the Minister for the answers he has given to all the first-term questions. I also congratulate the Minister on the speed with which he wants to catch wind at sea. My group greatly appreciates this and we are happy to support it. I will therefore give my group a positive opinion on the legislative proposal. We have just received a further justification for the cost reduction by the choice for TenneT. Indeed, that letter gives us more insight, even though I read a number of assumptions in the letter. There is still a study on the amounts and that means that we have to keep a close eye on each other's wrists. I do not entirely agree with the Minister on a number of points. In any case, I will not withdraw my amendments, but put them to the vote. I shall also read out a few motions for resolutions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas priority should be given to the transition from fossil energy to clean energy;]] [[considers that extraction of fossil fuels, such as oil and gas extraction, should not hinder the roll-out of wind energy at sea;]] [[calls on the Government to apply the principle of "priority for sustainable" in the use of marine space in the National Water Plan,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dik-Faber and Mr Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34058-27]]
ParlaMint-NL_2015-03-25-tweedekamer-10.u256	The Minister has expressly stated that it is also his intention to roll out winds at sea. So he has spoken a certain direction, but with this motion I am also really trying to anchor the principle in the National Water Plan. My second motion concerns the SDE+ scheme. D66 will also table a motion on this subject, which we will probably be supporting. My point is that the SDE+ is used every time for things that do not directly contribute to the transition to renewable energy. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Sustainable Energy Production Incentive Scheme (SDE+) aims to stimulate the production of clean and renewable energy and that it is fed through a levy on the energy account;]] [[Whereas the Cabinet has decided to financially compensate the holders of existing licences for incurred costs due to the withdrawal of the licences;]] [[calls on the Government not to use the SDE+ for purposes other than scaling up and achieving clean energy and to propose a different coverage for the compensation for energy companies,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34058-28]]
ParlaMint-NL_2015-03-25-tweedekamer-10.u257	My final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the best possible use should be made of the opportunities for responsible co-use within the fields of wind energy at sea;]] [[considers that the early involvement of the shipping sector and the fisheries sector leads to the reduction of the disadvantages of lot decisions;]] [[calls on the Government to consult with stakeholders on co-use of the North Sea at an early stage when developing the lot decisions and to make proposals to minimise the damage or improve co-use,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34058-29]]
ParlaMint-NL_2015-03-25-tweedekamer-10.u258	I brought this into the debate and the Minister responded to it. He said he wants to talk to the other users. That was exactly what was also in the answers to the questions asked by the Christian Union Group. I hear, however, from the point of view of practice, that the sector is struggling to conduct the consultation properly and to put forward its position properly. The aim is to involve the sector at the front of the consultation process and to assess the damage caused to the sector and what measures could be taken to minimise this damage. That doesn't go well. That is why I have tabled this motion; I hope the House will support it. My final motion is the motion I will not table. This motion is about the law trail STROOM. I really hope that the bill will be sent to the Chamber soon, so that this will not delay further the wind energy at sea Act.
ParlaMint-NL_2015-03-25-tweedekamer-10.u259	Mr. Chairman. Since the debate on gas extraction in Groningen, Mr Bosman has been such a familiar face in our midst that we have completely forgotten to welcome him. To this end, I would like to welcome you. Wind at sea is going to make a very important contribution to our sustainable energy supply. To this end, this law is an important step. However, we are not yet here. We must try to place the parks as cleverly as possible. This includes the participation of coastal communities. It also includes that we try to keep the impact on nature as small as possible. I have tabled amendments to that effect. The Minister is actually pre-empting a law that has not even been dealt with by the Chamber. At the moment, we should simply stick to what is in the current law. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government is considering allowing wind farms in the territorial sea, within the 12 mile zone;]] [[Whereas it is recommended in the SMEA which the government has commissioned on this subject that further consideration should be given to the areas in which the risks of social disadvantages outweighing the cost benefits are greatest, and the impact on employment and the economy of coastal communities;]] [[calls on the Government to investigate these matters further and to send the results to the Chamber at the latest before the planned decision on the locations of the wind farms,]] [[and goes to the order of the day.]] [[This motion was proposed by members Van Veldhoven and Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34058-30]]
ParlaMint-NL_2015-03-25-tweedekamer-10.u260	By linking this investigation to the deadline for the submission of the proposed decision, this should not lead to any additional delay. It does make the decision-making process extremely careful. My second motion has everything to do with the importance for the Chamber to have good information on the figures and the facts. We also saw in this debate that it is very important to have those figures on paper before the debate, otherwise we will have to ask again during the debate for a letter where it all stands. This also leads to additional work in such a debate in support of the Minister. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Government intends to have TenneT implement the deployment of a network at sea;]] [[Whereas the costs of setting up and maintaining the network at sea will be passed on to the customers of energy, with the government considering charging it not only through network charges but also through the SDE+;]] [[Whereas it is still unclear what the effects of the proposed cost recovery are;]] [[calls on the Government to send to the Court an overview of the effects of the proposed cost recovery well before the examination of STROOM with at least the following information:]] [[the financial impact on households and businesses of a cost settlement via the SDE+ compared to a cost settlement via the network charges;]] [[the impact of an SDE+ cost adjustment on the SDE+ budget available for renewable energy objectives and the potential impact on the share of renewable energy that can be achieved with the current envisaged budget,]] [[and goes to the order of the day.]] [[This motion was proposed by members Van Veldhoven, Dik-Faber, Agnes Mulder, Van Tongeren, Smaling and Klever.]] [[She's getting No. kst-34058-31]]
ParlaMint-NL_2015-03-25-tweedekamer-10.u261	My final point is this. During the debate, the Minister seemed to have extended the duration of the Energy Agreement to 2026. However, in the letter he just sent us, he states that by the end of 2023 the price must have fallen to €0,09 per kWh. In addition to what the Minister told us during the debate, I ask him how he is going to achieve this cost savings up to €0.009 per 2023, because this is different from the schedule he sent us in his previous letter.
ParlaMint-NL_2015-03-25-tweedekamer-10.u262	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the bill for wind at sea seems to fall mainly on households and that the Minister wishes to spare energy-intensive companies;]] [[Whereas large consumers should contribute to the energy transition according to consumption and capacity;]] [[calls on the Government to inform the Court of a number of representative sample users of the distribution of electricity costs between small consumers and large consumers, the impact of the distribution of costs of the network at sea, the volume correction of network charges and the abolition of the coal tax on power plants on this distribution,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that it is important for public acceptance and accountability that there is full transparency about the estimated costs for the network at sea;]] [[requests the Government to inform the Chamber of the total investment costs and operational costs of the network at sea and of the network to the first lot of Borssele,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Tongeren and Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34058-32]] [[This motion was proposed by members Van Tongeren, Agnes Mulder, Van Veldhoven, Ouwehand, Klever and Dik-Faber.]] [[She's getting No. kst-34058-33]]
