ParlaMint-NL_2015-12-16-tweedekamer-12.u1	I understand that the Secretary of State for Security and Justice will speak first.
ParlaMint-NL_2015-12-16-tweedekamer-12.u249	The facts we had at the time were also obvious. The facts were that in 2014 Opstelten had mentioned amounts of which he had to say in the summer of 2014 that he couldn't actually call them that. In June, the Chamber politically accepted these conclusions. So we basically ran out of money. Then, of course, there were rumours: the 5 million Doedens and the 4.7 million since that Wednesday in Nieuwsuur. But the only research we had was Van Brummen's investigation, which said that there are not enough memories to support an amount.
ParlaMint-NL_2015-12-16-tweedekamer-12.u250	I do not know if the Prime Minister is aware of it, but this is a demonstration of: start by apologizing twice and then systematically refer all the detailed questions of any colleague to the realm of fables and explain that we all see things wrong here. We spent two years as a room trying to get the bottom stone up. Two rulers have resigned. Another ruler thinks it's a conspiracy theory. There's all kinds of numbers coming up. And all this time, the Prime Minister has been absent and has hardly done anything with it. He also asked Mr Teeven not the shirt of the body: what exactly happened? Then he apologizes twice, and then refers everything to the realm of fables. How on earth can we regain credibility if this is the Prime Minister's attitude?
ParlaMint-NL_2015-12-16-tweedekamer-12.u251	That's not my intention. I have already told all the questioners that I understand the questions and try to answer them with all due conscience. Take the memory of Bitch. We've all been able to see the notebook. It's coming up at 7.1 million. That is a very different amount from the 4.7 that Nieuwsuur came up with and which was on the receipt of the Monday morning. We knew from Van Brummen that, partly on the basis of the conversation that Roes had with Teeven, there were not enough substantiated memories. That was his conclusion. Also in the note of Roes you can see that. I do not take Van Brummen's conclusion to mine, because there is a lot of methodological to note on that research, on how fast it has gone and so on. That's what Oosting says. So we simply didn't know. Since the summer of last year, there has been no money that could be called credible by the cabinet. Set-ups had mentioned amounts a few times. He said in the summer: I should not mention amounts. Van Brummen also says: it is also very unwise to mention them, because there are not enough memories to support. That was the situation. Then things turn up, and I blame myself for that. Exactly that point, I say to Mr Roemer. He's also right to say that I could have done more there. That doesn't apply to the truth finding. I make that distinction very clear, because I cannot do that, but I could have said in the process: okay, we had Van Brummen and he has drawn conclusions, but it keeps getting through. Not that I'm gonna do research myself, but, I don't know, maybe there could have been a second investigation. Well, that's the question. I blame myself for not having made an extra effort during that process, an extra effort to get those things on the table. The last thing I want to do, and then I shall close, Mr President-in-Office, is to put aside the remarks made by Mr Roemer or others here as irrelevant. They are all relevant comments and they show that until Monday morning 9 March it simply did not succeed in knowing what it was about.
ParlaMint-NL_2015-12-16-tweedekamer-12.u252	If, within twenty minutes, Mr Dijkhoff can see that the receipt can be found with a slightly different search, and I can go on for a long time, that is a reproach to the Prime Minister that he has done nothing with it. It is two years trying to keep party mates out of the wind and continue to support them. The Prime Minister is now saying that he accepts the conclusions of a tough report. He apologizes for not doing a few things and for having given a press conference that has only made things worse. If you add all that together, what is the Prime Minister's conclusion? Shouldn't he draw a different conclusion than he has now?
ParlaMint-NL_2015-12-16-tweedekamer-12.u253	I deny there was an attempt to keep people out of the wind, if you'd even want that to work. Why would you want to do that? We are all here for the rule of law, as Mr Samsom said, and to ensure that the Chamber is properly informed. This came up in March 2014. I was informed then, too. An investigation was then initiated. This study shows that it is not sufficiently clear what amounts are involved. There has been no attempt to cover anything. Neither does the Oosting Committee. Mistakes have been made. There's been a methodological mistake with Van Brummen. I don't blame myself for not looking for the truth, because that's not my job. I do blame myself for not saying earlier that, when this continued to go on for so long, we might have to do another investigation. So I should have made a lead suggestion in the process to see if we could do something with all those signals. But there has been no attempt, Mr Roemer, to cover anything.
ParlaMint-NL_2015-12-16-tweedekamer-12.u254	For two years, the Chamber has been trying to get information. Not only MPs but also journalists are constantly looking, but the Prime Minister still doesn't get a light on it, because it's really getting out of hand. That doesn't happen even if directors have resigned. Even when the report is on the table, the Prime Minister is still tempted to say things he should regret later on at a press conference. The attitude from day one to the last day is always nonchalant. It is not the attitude to protect the rule of law, to inform the Chamber correctly and to try to solve the problems as quickly as possible. The Prime Minister has no choice but to ask: have I indeed done the right thing and should I not draw the hardest conclusion myself? But he's actually writing a new chapter to the chapter "Sorry Democracy."
ParlaMint-NL_2015-12-16-tweedekamer-12.u255	I must, of course, ask myself whether I have properly informed the Chamber. I believe the answer is yes at all times. Did I make sure that the logical process steps were taken and that investigation was done? Yeah, that's what happened. If it continues to go on then, and that is my lesson, then it is better to do a second study. Mr Roemer also says that even if the rulers have resigned, they are not going to find out what the situation is. But we knew what was going on then. At that time the 4.7 million was known, because that was Monday 9 March, the first time I heard of it myself. I got a call on Monday morning with the message that the receipt had been found and thus the evidence that it was about. The report with conclusions on the quality of Van Brummen's research and on the whole process in 2014-2015 I do not question in any way. I didn't do that on Friday. What I am blaming myself for at that point is that I committed the clumsyness, the unwiseness, that's even harder to get back to the deal in 2000, as I just outlined. This gave me the impression that there would be more information or that I would not follow the conclusions of the Oosting Committee. That is not the case.
ParlaMint-NL_2015-12-16-tweedekamer-12.u256	The most deceptive of all that we have heard and read now is perhaps that it gives us a glimpse of the way in which the departments are run. It is a glimpse of the way in which Security and Justice are run. That's like some kind of VVD party office. Anything that goes against the goal of making the VVD big on that department, must be sidelined, whatever rules are put aside. A MP just said he had too much influence. The Prime Minister says he had too little influence; it happened under his eyes. We have seen that a year ago, the Prime Minister, in setting up the committee, mainly pointed out to the officials. How is it that so much is being leaked into the department, then the question was. That had to be investigated. How is it that the information does not come to the ministers? Turns out what? Those ministers stopped it. In short, therefore, I ask the Prime Minister to reflect on this. What happened during these five years, which turned the Department of Security and Justice into some sort of VVD party office and not the political leadership but the officials were blamed? The first thing this new minister did was throw out the sg, the highest official. Last Friday, the Prime Minister exalted Mr. Bitch. Luckily, he's taking it back now. Above all, we should not come to Mr Teeven, former Secretary of State of the VVD. But never does the Prime Minister talk about what matters, about the fact that the VVD is also there to serve the country and the rule of law, and that sometimes this means that as a politician you should not be in a department all the time, but take a step back. I would ask the Prime Minister to reflect on that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u257	In all sincerity: there has been no interest in covering a receipt or an amount. I'm looking for the motive in this. What's the motive supposed to be? I really don't know. If you'd like to be angry and cover it up, it's always coming up. There is so much truth in the Netherlands. Then it'll come true. But why would you try? What could be the motive, whether it was 2 million or 5 million? Of course, 5 million is over 2 million. Can't it get out because it might be 5 million? It wasn't like that. It wasn't like that. As far as the cover is concerned, the Oosting Committee says quite clearly that Mr Van Brummen's research is an incomplete one. I must say that Mr Buma is absolutely right. That is why I also follow the conclusion of the Oosting Committee. That is why I say that it would have been better, for example, to re-examine whether we could find it, when in the autumn of last year and at the beginning of this year, it appeared that the matter was still going on and on and on and on and on and on and on. That's absolutely obvious. There was a lot of shit going around looking for that receipt. That turned out to be possible very quickly with a few simple interventions. So I understand very well that people say something will be covered up. I'm just looking for motive. Apart from the fact that it really isn't: what would the motive have been?
ParlaMint-NL_2015-12-16-tweedekamer-12.u258	The problem is the focus. That department's focus is on making chocolate cups in the newspapers. That was just said at the beginning. What do we need that department for? That's where we need to show that we're crime fighters. That's how the previous duo started. But it has gradually been forgotten that just now that department is the department where you have to follow the rules properly, that you do not have to praise everyone who makes tough statements, that these officials are not only in the way and that the political leadership should be much more careful with that. Hence my question to the Prime Minister. How does he look back in the light of what happened to naming those two MPs who were sitting there all over their ears? How is that possible? Doesn't he recognize that this was an error of assessment?
ParlaMint-NL_2015-12-16-tweedekamer-12.u259	First of all about the department: I fully agree with Mr Buma. If things go wrong, it is always the fault of the politicians and not of the civil servants. It is also unthinkable that as a politician, you blame an official for something outside. I am very opposed to that. You take responsibility for official mistakes that are made, if they are already made. Then you'll discuss how we'll prevent it next time. If the same official makes the same mistake over and over again, you can also talk about whether it is in the right place. But you always do that in the privacy of the room. I call that the Henk Kampdoctrine, on whose compass we sail at this point. I come specifically to the appointment of the two men. I found and felt that they were most suitable for this function because of their portfolio in the Chamber, their specific skills and knowledge and their ability to gain support for policy. See how Mr Dijkhoff is now taking up the very difficult issue of the refugee issue and manages to manage it in a sensible way in the Netherlands. That's why I think these were two good appointments.
ParlaMint-NL_2015-12-16-tweedekamer-12.u260	The Prime Minister says again: we have to take responsibility for officials' mistakes. I keep saying that the point is right here that Mr Opstelten, for example, has said that he should take responsibility for the mistakes in not finding the receipt, while he himself had already caused the receipt to be found not by failing to give a good commission to Mr Van Brummen. In short, the mistakes are political. Two people have been appointed who indeed have skills: making and changing press releases and shutting down a department. Yeah, they had those skills. But it was the political skills that belong to the chocolate head department and not the skills that belong to the state department.
ParlaMint-NL_2015-12-16-tweedekamer-12.u261	We have an extremely complex issue here today and a very heavy debate. I repeat my view of the administrative-political situation. By the way, Oosting says nowhere in his report that the assignment to Van Brummen was not good. He notes, however, that the way the investigation was conducted is inadequate. That is quite clear and I really do take care of it.
ParlaMint-NL_2015-12-16-tweedekamer-12.u262	Yesterday, the Chamber received answers to 250 parliamentary questions, written on almost 60 A4s. There was no mention of the Prime Minister's view in Mr Roes's memorandum, the Director-General, that there was talk of an amount of 4.8 million or 4.9 million guilders. So there is no mention of this in the whole answer to the 250 questions. Now we have a discussion report from the Prime Minister. He is so generous in making that available to the Chamber. We note from this that he has indeed seen that Mr Roes' report talks about 4,8 million or 4,9 million guilders. Why wasn't that answered directly in those 250 parliamentary questions?
ParlaMint-NL_2015-12-16-tweedekamer-12.u263	Because I show in the questions what my consideration was to follow the administrative advice in the timeout of the suspension and to go along with the view that it is a personal note. First of all, because of the time constraints, so I could not determine whether there were any personal policy ideas in the document. That is crucial, because otherwise I would put the official who drafted it in trouble. So there wasn't that time. That was the discussion in Mr Pechtold's speech at the beginning of my reply. Secondly, we have considered that we have already dealt with the piece once. It is not a new piece that pops up, because it was involved in the research of Van Brummen, as we know by now. Thirdly, it would be given to the committee. Looking back now, I would have preferred to ask the President to suspend for longer and to look at it longer, to determine whether there were any personal policy ideas in it. That was crucial to me: not what facts were in it, but whether or not the document was a personal note, and I would put an official involved in trouble by making it public.
ParlaMint-NL_2015-12-16-tweedekamer-12.u264	But that is not at the heart of the matter. At the heart of the matter is the answer to the 250 questions that have been asked. Then the Minister had enough time, a few days, to have that reminder sign up in the answer to the questions. Why didn't that happen?
ParlaMint-NL_2015-12-16-tweedekamer-12.u265	Because I explained in the questions why, in view of the time constraints, I went along with the policy officer's view that this is a personal note. In the meantime, now that I have had more time to look at it, I think it is actually just a discussion report that could have been sent to the Chamber with chairman Oosting of the committee. As I outlined in my answer, I didn't have that time in the break. So it was not about the facts that were in it, but about whether I would cause problems for an official. Obviously not because of the 4.8 million or 4.9 million, but because of what could not have been in the piece, for example some commentary on Bitches, because why was it a personal note? I couldn't read that because there wasn't time. Again, on another occasion, I will take that time.
ParlaMint-NL_2015-12-16-tweedekamer-12.u266	But that was no longer the issue at all, because this was the answer to 250 parliamentary questions, where the Minister was no longer bound at all by the fact that it was a note from an official with a few scribbles. No, everything was clear then and it was already published in Oosting's research. Then the Prime Minister and the Prime Minister were going to answer Parliamentary questions and he could very easily have written: yes, I saw that at the time. Why didn't he? That's my question, and that's what it's all about, but people don't fall for it.
ParlaMint-NL_2015-12-16-tweedekamer-12.u267	In all honesty, the parliamentary questions are about why I did not make the document public. I just answered that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u268	However, I have difficulty with the discrepancy, the difference between the sincere regrets and the feelings expressed by the Prime Minister in relation to what we have been through here for a year, with the stubbornness with which everyone who asked for or criticized was dismissed every time not only under the leadership of this Prime Minister, but also by the Prime Minister himself. He said: Every day I have contact with Opstelten, every day, full focus, day and night sits on it. Well, it turns out that wasn't true. He said that Opstelten had to leave only because of finding a receipt. Well, with Oosting and tonight we have established that there were ten reasons to send Opstelten away. About Bitches he said: he didn't have to leave at all, it was just Setups. Even on Friday, the Prime Minister says: we need people like Fred Teeven. That insight, that mea culpa, those excuses come very late when you see how many times the Prime Minister himself has had the chance to find out, correct things or go after them.
ParlaMint-NL_2015-12-16-tweedekamer-12.u269	First about Fred Teeven. What I said on Friday is that I respect Fred Teeven as a crime fighter in his time as a prosecutor. I'm not talking about the Secretary of State Crimefighter label. Fred Teeven is a man who has done extremely complicated things with great personal risk to ensure that the worst criminals in the Netherlands could be caught. I'm not talking about this case, but in general, I really stand for that statement. I respect people like Fred Teeven, because we need them as the Netherlands. If you don't have it, you can't handle organized crime. That does not change this case, it does not alter the conclusions of Oosting, because I fully support them. That was my comment about Fred Teeven. It is wrong that I combined that remark about Fred Teeven Friday with what Oosting says on pag. 259: we do or do not know exactly what etc. With that I created the confusion as if I would not support Oosting, as if I knew more, as if I would suggest that there was still a consideration. That is not the case. I support Oosting, all his conclusions, without any nuance. Then to Ivo Opstellen. It's true that he and I had a lot of contact. The same applies now to Minister Van der Steur and I, and certainly also to Secretary of State Dijkhoff, because they are on important dossiers. What has my greatest attention as Prime Minister right now? That is the fight against terrorism, and I have a great deal of contact with Mr van der Steur, and that is the whole issue of migration, on which I have a great deal of contact with Mr Dijkhoff. Sometimes there are other themes that arise, such as COP21 in Paris. I'll be in touch with Mrs. Dijksma almost every day. Sometimes there are weeks when I don't speak to the Secretary of State for Infrastructure and the Environment. So it depends on which topics are high on the agenda. What I am blaming myself for is that I did not raise the subject of receipt and Cees H before and that I did not go into more detail myself with Ivo Opstelten to see if a second investigation should take place. There was too much trouble, too many facts kept popping up, there is too much unrest in the Chamber about whether it has all the data. Again, in all honesty, there is no motive. It's really not like we've been trying not to find things.
ParlaMint-NL_2015-12-16-tweedekamer-12.u270	Let's go back to what it's all about. The VVD runs this department. The VVD is also on taxes. There are millions of laundered. There's just money back, apartments, boats, jewelry. Nothing's been picked. There's just been a criminal made stinking rich through the D.A.'s accounts. That's what happened. I do not expect this more politically than the others, but the political colour under the leadership of the Prime Minister wants to stand out on these issues. That's what I'm talking about. Whatever I'm talking about, it's fine to stand in front of your people, but not to the nonsense, to the absurd, because that's what happened here. Again, the Prime Minister says: Bitch was a fantastic guy, also in his role as a prosecutor. But since 1998, he's made the only deal out of tax, which is just a money-laundering deal. The Prime Minister just said he was blessed. No, it was explicitly against the will of the state's attorney's office and the minister. He may be a fantastic family man, but he's done something terrible wrong. The Prime Minister may stand in front of his people, but he must also say: Stand up, come on, everyone saw that he no longer controlled the files, and Bitch has made a capital mistake.
ParlaMint-NL_2015-12-16-tweedekamer-12.u271	I would almost refer to it, but I am not going to do that to the secretary of the Committee of Inquiry who said last Saturday in a piece by Tom-Jan Meeus in the NRC that Teeven is not really that much to blame here. I don't know, and I'm gonna go to Oosting. What matters to me is that I am not defending Fred Teeven in the context of this report. What I'm doing is I'm saying that in a country like the Netherlands, we shouldn't be naive in his absolute creeps trying to enlighten the rule of law. Then you also need people who are at great personal risk to fight against it. That is a general remark about Fred Teeven, and I am really holding on to it. Besides, I'm not taking anything away from this report. If Mr Pechtold wants to hear from me now that, because of this report, I am putting Fred Teeven in the big trash, I am not going to do that. That's my only point. I don't make any nuances on this report. I support all conclusions.
ParlaMint-NL_2015-12-16-tweedekamer-12.u272	It just can't be. There has been laundering, tax evasion and a deal has been made, which the Committee of Inquiry says cannot be done. There has been an out-of-control operation, a violation of the Minister's wishes, and the criminal has served half the years he was convicted of. The criminal has become stinking rich from money laundered by us, the government. Then you can't say that you're gonna continue to support that figure at the time, then officer, then Secretary of State, and now MP? Each time Mr. Bitch continues to suggest that there is more. The Oosting press conference was still going on, and yet again, Teeven had a judgment that nothing was going on and that there was not much to blame. That's what I'm talking about. I think the Prime Minister should distance himself from that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u273	I do. I actually agree with Mr Pechtold's whole speech. I am just saying a few things not in contradiction with what Mr Pechtold says, but in addition to that. Firstly, the Oosting report criticises a great many people for what happened 15 years ago. That doesn't focus on one person, but on a lot of people. Secondly, I am in no way compromising what Oosting says, but I am not putting the District Attorney bitches who have made this country safe from the bulk of waste in all kinds of other cases at great personal risk. I'm not. We agree, but it's time to find the nuance.
ParlaMint-NL_2015-12-16-tweedekamer-12.u274	Through this point we can also go to the Prime Minister's press conference last Friday. We don't weigh the motives of a former Secretary of State and of a former crime fighter as a state's attorney, and we don't weigh the personal and warm feelings towards someone. I'd like to give all of that to the Prime Minister. But what matters is facts and the assessment of the Oosting Committee. Then there was a prime minister who put on the smoking machine again and threw up fog. The Prime Minister often uses English words, but my question was what was he thinking at that time? What happened Friday when the Prime Minister said what he said?
ParlaMint-NL_2015-12-16-tweedekamer-12.u275	I just outlined that and it wasn't right. That's what I said. It's never wise, but I let a journalist seduce me in the heat of the moment. After I first found that I support the conclusion of Oosting, I also said that last Friday, when it was about that deal that was not good, I said that we do not know whether and what other achievement was achieved. That's stupid. It was my first press conference after the report came out. Except for RTL Late Night where many other topics were discussed, this was my first press conference, my first public appearance after the report came out. I have rightly been extensively questioned by journalists. I have thus given the impression that I would not support that conclusion, although I said in that press conference that I am doing so and that I know more, which is not the case. That's why I shouldn't have. But how does that work? Yeah, only human; I got carried away.
ParlaMint-NL_2015-12-16-tweedekamer-12.u276	This was not a slip of the tongue; this was the undermining of the Oosting report for 40 minutes, where he says that this is the final report, that they have examined everything and that they have heard the story of Vraking. Then there was a whole argument that there could be much more. Surely it doesn't inspire confidence when you say one minute that you endorse the conclusions, then undermine them and then say a few days later that it was stupid and that we're going to continue with Oosting again? That's not a trustworthy story, is it?
ParlaMint-NL_2015-12-16-tweedekamer-12.u277	I also read back that press conference. Again, I'm not taking anything away from the mistake I made there. I recognize that as a matter of principle, but that press conference dealt with a great many more issues relating to the withdrawal. All sorts of things have been dealt with. I don't think I've said any unwise things there either. Part of the press conference is about this, really a part because not the whole press conference was about this and that part was not sensible.
ParlaMint-NL_2015-12-16-tweedekamer-12.u278	Finally, Mr Segers.
ParlaMint-NL_2015-12-16-tweedekamer-12.u279	I reviewed the press conference again, and you will be questioned for minutes about whether you know anything else. In this context, there was even a painful question of confidence: can we simply believe what the Prime Minister says, namely that there was a version behind the version of Oosting? As a result, there was a fog and what does the Minister say about it? What does the Minister say about the truth, knowing the truth and wanting to know the truth? What does he say about the Easting Commission?
ParlaMint-NL_2015-12-16-tweedekamer-12.u280	Again, I agree with Oosting. I endorse the conclusions he draws on page 272. It was unwise that I brought what he wrote on page 259 to the press conference. In conjunction with the conclusions on page 272, that gave the impression that I would not support those conclusions and that I would know more. I repeat: that was unwise.
ParlaMint-NL_2015-12-16-tweedekamer-12.u281	I think you're done.
ParlaMint-NL_2015-12-16-tweedekamer-12.u282	There have been so many interruptions that I think I must have answered all the questions by now. Unless someone jumps up now, I've answered all the questions.
ParlaMint-NL_2015-12-16-tweedekamer-12.u283	There is also a second term. This brings us to the end of the government's first term. I'll take a look around to see if there's any need for a short suspension.
ParlaMint-NL_2015-12-16-tweedekamer-12.u284	A little more than short, 45 minutes, please.
ParlaMint-NL_2015-12-16-tweedekamer-12.u285	I see everyone nodding yes. I'm suspending the meeting for 45 minutes.
ParlaMint-NL_2015-12-16-tweedekamer-12.u286	I will reopen the sitting for a very brief statement: I have been asked to extend the suspension until 10 p.m.
ParlaMint-NL_2015-12-16-tweedekamer-12.u287	We shall continue with the debate on the report of the Oosting Committee. I shall be the first to give the floor to Mr Segers. He's not here yet. Probably on his way. We'll wait until he gets here.
ParlaMint-NL_2015-12-16-tweedekamer-12.u288	Madam President. The Prime Minister went through the dust tonight. Both new rulers have preceded him in this. Before that there was the report from the Oosting Committee. That was published last week. The report is in its conclusions very hard. The Chamber has been misinformed. The Chamber is incompletely informed. The deal, what it was all about, shouldn't have been closed. He did not do good, neither to purpose, nor to purpose, nor to its effect and procedure. For many years, the information that could have clarified more about this has not come to the table. She has just remained hidden and therefore not sent to the Chamber. In the first period, I began to outline the importance of the democratic rule of law: it must be possible to assume that power can be controlled, that justice is in its way. Especially in circumstances where you make deals with criminals, it comes down to it. The Prime Minister and both other rulers have dealt with these mistakes and have apologized on many points and promised to get well where it can be done better. But the doubt has remained. It's hard for me. However, under these circumstances, I see no other option than to submit the next motion to the Chamber. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[taking note of the conclusions of the report of the Oosting Committee;]] [[rejects the policy pursued under the responsibility of the Prime Minister,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Segers, Mr Roemer, Mr Van Haersma Buma, Mr Pechtold, Mr Wilders, Mr Klaver, Mr Krol and Mr Thieme.]] [[She's getting No. kst-34362-7]]
ParlaMint-NL_2015-12-16-tweedekamer-12.u289	Mr. Chairman. We have had a debate today in which the cabinet has been given the opportunity to make a fresh start in restoring confidence in the rule of law and in politics, after government officials have damaged it for a long time. After the answer given by the cabinet, I can only conclude that it did not succeed in that task. Too much has gone wrong, too much has gone around the truth and it has taken too long before a start has been made to get the truth out. We have not seen enough of the leadership to restore the damaged trust today. That is why the SP Group has co-signed the motion of censure that Mr Segers has just tabled. As far as the SP Group is concerned, there was not a single word of Spanish.
ParlaMint-NL_2015-12-16-tweedekamer-12.u290	Madam President. We have spoken intensively today in response to the report by the Oosting Committee. At the end of this long day, there is a disenchanting image. The Ministry of Security and Justice should be the guardian of the rule of law. From that point of view, that department should be run, but in reality it is run like a VVD party office. It was mainly intended to produce chocolate letters in the newspapers. Everything that stood in the way of that image had to give way. Officials got the blackbird, Minister Schippers saw conspiracy everywhere and press releases were even rewritten by MPs. All this happened under the eyes of the Prime Minister. He stood there, watched it and let it happen. He led this VVD campaign, when he should have defended the rule of law. Today, the Chamber must draw a line. We do not want this country to be governed, and we do not want it to be governed by the rule of law. That line draws Mr Segers' motion. That is why the CDA supports this motion of censure.
ParlaMint-NL_2015-12-16-tweedekamer-12.u291	Madam President. Top criminal and drug dealer Cees H. got 4.7 million, pardon and reduction from Fred Teeven. He got his freedom back. Henk and Ingrid who break the law in some way get a fine. If they don't pay them, they'll be held hostage and lose their freedom. The Netherlands does not understand such a policy. The Netherlands does not want such a policy either. The fact that the facts have been ignored for years, which has been cheated, cheated, lied and deceived, is not only the bankruptcy of the rule of law, but also the bankruptcy of politics. Minister Van der Steur and Secretary of State Dijkhoff have simply contributed to a press release that made the truth very gently, I say, violence. What it said didn't add up. They have also left the Chamber in the dark about the figures we wanted, what we asked for and what they knew and heard. It is unforgivable that they have kept that under their hat. The same is true of the Prime Minister. He made all this happen. He also did not do his best to ask about the facts, while there was every reason to do so. He used excuses about lyrics. He'd seen them, but he didn't read them. Later he had seen a number with an angry eye, but he kept it from him. The Prime Minister also continues to support the Secretary of State of those millions to the criminals. If a Prime Minister has failed once, if a policy has to be rejected, then it is now. My name, on behalf of the PVV Group, is therefore under the motion of censure.
ParlaMint-NL_2015-12-16-tweedekamer-12.u292	I also heard Mr Wilders' first-time contribution, as well as the discussion we had earlier. On several occasions he has indicated that he has no confidence in this cabinet, in the Prime Minister, in the Secretary of State for Security and Justice and in the Minister for Security and Justice. How am I supposed to judge this motion of censure? Is it a kind of weak broth of the mistrust that Mr Wilders has expressed?
ParlaMint-NL_2015-12-16-tweedekamer-12.u293	I believe that the motion tabled by Mr Segers, with the exception of the SGP signed by the entire opposition in this House, which condemns the policy of this Prime Minister, who is the Prime Minister of the whole cabinet, can be described as anything but a lame motion.
ParlaMint-NL_2015-12-16-tweedekamer-12.u294	As part of the opposition, I naturally wonder how I should interpret this motion. Should it indeed be seen as a motion of censure against this cabinet?
ParlaMint-NL_2015-12-16-tweedekamer-12.u295	You must indicate the motion as it stands: a motion of censure on the policy pursued by this Prime Minister.
ParlaMint-NL_2015-12-16-tweedekamer-12.u296	Mr. Chairman. It was a heated debate. In my first term, I asked the Prime Minister what lessons he had learned. The Prime Minister was clear: he should have directed earlier, he should have communicated more purely and he should have shared better information. I very much appreciate that the rulers have said in different terms that there have been major mistakes in the handling of the Bitch Deal. The recognition that major mistakes have been made is of great importance to my group. I like to underline that. My group has co-signed Mr Segers' motion. As the Prime Minister himself clearly rejects the policy pursued, I assume he recognizes himself in this motion. I'm counting on it, I'll tell the Cabinet, that this was never again. Some classes come with bruises.
ParlaMint-NL_2015-12-16-tweedekamer-12.u297	Mr. Chairman. I would like to thank the Prime Minister and both heads of security and justice for their reply. The Prime Minister spoke of a very heavy debate and it was. This debate, too, unfortunately again illustrated how careless the Rutte cabinet has dealt with the foundations of our rule of law and our democracy. My group appreciates the apologies of the Prime Minister and of both other leaders. However, these excuses cannot undo the damage that has been caused. Damages occur under the direction of the Prime Minister. Damage to political culture, the rule of law, democracy and most importantly, damage to society's confidence in politics. It is not easy for me, but I have therefore co-signed Mr Segers' motion, a motion that condemns the policy pursued in relation to the Temple Deal.
ParlaMint-NL_2015-12-16-tweedekamer-12.u298	I shall now turn to Mr Klein.
ParlaMint-NL_2015-12-16-tweedekamer-12.u299	We can be very excited, but it's about a very serious matter. I'd like to know what's going on under state law. What do we do if there's a motion of censure? Since it is precisely Mr Pechtold's constitutional conscience that is at stake, I would like to know how to refer to this motion so that I can coordinate my voting on it.
ParlaMint-NL_2015-12-16-tweedekamer-12.u300	The motion speaks for itself. If you want to know what a motion of censure means, look at Wikipedia. It's very clear. The policy pursued is rejected. It is then up to the cabinet how, if the motion is adopted, that ruling of the Chamber is dealt with and how it is dealt with if it is not adopted.
ParlaMint-NL_2015-12-16-tweedekamer-12.u301	That's quite right. In this respect, I can endorse what Mr Pechtold says. I would just like to hear from Mr Pechtold what purpose he is aiming for, other than rejecting the policy pursued.
ParlaMint-NL_2015-12-16-tweedekamer-12.u302	I do not know which nails Mr Klein is looking for on which water. We've been doing a lot of truth-finding over the past year and a half. We've handled a solid report here. We've had a tough debate. We heard an apology. Nevertheless, my group has taken into account the total of what has happened over the past period, even after the presentation of the report and the comments on it, in our opinion. This has led to the rejection of the policy pursued under the direction of the Prime Minister.
ParlaMint-NL_2015-12-16-tweedekamer-12.u303	Madam President. I would like to thank the rulers for their reply. They have acknowledged that there have been serious errors and shortcomings in a number of important areas. Indeed, a lot has gone wrong. The 2000 deal is flawed in its creation, content and settlement. When the discussion on the deal started, the cabinet did not respond adequately. There was insufficient awareness of problems, inadequate direction and inadequate research. This led to incomplete and incorrect information in the Chamber. The active intelligence obligation of Article 68 of the Constitution has thus been violated. The direction led by the Prime Minister was then inadequate, as he himself indicated. Furthermore, it can also be charged to the cabinet that the active members of the coalition have been too closely involved in this issue, which also called into question the controlling role of the Chamber. All this leads my group to support the motion of censure. My group sees this motion itself as a classic motion of censure. For us, in this particular case, it is not a question of trust, because earlier this year, on the very subject of inadequate information to the Chamber, leaders of Security and Justice have already left.
ParlaMint-NL_2015-12-16-tweedekamer-12.u304	Mr. Chairman. Fungality. Keeping things under wraps. Lack of information and transparency. They are structural problems of Rutte II. You'll see it back at the MH17. You can see it in the debate on Volkert van der Graaf. You can see it in the post-taxation of the EU. And you'll see it again tonight on this deal with Cees H. That's why we support the motion of censure.
ParlaMint-NL_2015-12-16-tweedekamer-12.u305	Mr. Chairman. I thank the rulers for their clear, honest and open response. A lot's gone wrong. That is what I noticed in the first period, and that has also emerged clearly from the debate this evening. Many have said that the functioning of the rule of law requires compliance with rules. In the first period, I said that it was clear that the end of the 1990s and the beginning of the century were unconventional. Political responsibility has been taken for the way things have gone with Nieuwsuur broadcasting in 2014 and 2015. I still have the impression that I described in the first term: it was mainly a situation in which people did not know what was going on. In my opinion, the current rulers on V and J also clearly indicated that it was also apparent that the amount could have been found much faster if requested. That is why I now note that it is right that the political consequences have been drawn. But a rule of law requires not only respect for rules, but also for the treatment of criminals. As in the first term, I would like to stress that this approach of criminals has, in my firm belief, always been the intention of those who have acted on it. Nevertheless, we can only conclude that the Oosting Committee has drawn the right conclusions. We support them, too.
