ParlaMint-NL_2015-10-01-tweedekamer-9.u1	I give the floor to the Minister for Security and Justice for his first answer.
ParlaMint-NL_2015-10-01-tweedekamer-9.u218	In the context of the discussion about monitoring and securing and how we find out what the security level should be, NCTV has instructed the police guards to enable that photograph. Mrs. Voortman asked why was never discussed to cancel the photo moment. She said the direction was lost. That's where she hits the nail on the head. That was the problem. The central direction was gone after May 15th. We found that the NCTV felt that it was no longer necessary, because Mr Bontes had let us know where he lived. There had also been announcements to the neighborhood residents about where he lived and there had been no fuss. Nevertheless, the NCTV did not inform the lawyer, the AIFM or the prosecutor that it was no longer necessary. That means that actually publishing the picture for the DA and the NCTV came as a surprise, but should not have come as a surprise. Mr Recourt asked whether the NCTV had been told that it was not a good idea in the end. The answer to that is no. My investigation has shown that, although the NCTV considered that it was no longer necessary, it did not notify it, nor did it notify the prosecution. Mr Oskam and Mr Segers asked whether the NCTV and the There is an answer to that that may not sound so nice: the Security and Security Service has no opinion on what one does within one's own service. The task of the service is to carry out orders and ensure that the person who is protected is actually safe. The NCTV initially considered that the AIFM could contribute to that security. Later the need was missing, but no follow-up was given and no one was informed.
ParlaMint-NL_2015-10-01-tweedekamer-9.u219	That is precisely why I found the phrase in the letter that sensitive information is sometimes limited to employee level, not so chic. I heard the minister say: the GDP is doing its job and is given the job of protecting someone, and that's what the GDP is doing. Then it is true that the management of the AIFM or the organisation that directs this service must ensure that when an assignment gets a different interpretation or whatever else it is, it also lands and continues to do so? I have some difficulty with the phrase: it has been limited to employee level. Yeah, those people are just doing their job, but they're being controlled. As for those who are controlled, I would like the Minister to address those people.
ParlaMint-NL_2015-10-01-tweedekamer-9.u220	That's exactly what it says in the letter. People at the level of implementation are addressed on their responsibilities, but not in the sense that they result in consequences. As I said at the beginning of this debate, it is up to my department and its departments to take responsibility for this. However, it is a fact that crucial information, not with regard to the built-up fund, is not discussed in the context of the project, but with regard to the public prosecutor, the NCTV and my department, for example information on the question of Focal Point, has never reached official management. The fact is that crucial information in a politically sensitive file has not been brought to the leadership so that the leadership has not been able to inform the minister, even though it should have. So I fully agree with Mr Van Oosten. That sentence is no different from a factual finding. The task lies with the administration and ultimately with me as minister.
ParlaMint-NL_2015-10-01-tweedekamer-9.u221	In this answer I miss the parole hearing, on which I had asked another question. There's two sides to it. On the one hand, there is the role played by probation in the broadcast, in which the suggestion was raised that Volkert van der G. had violated the media ban. I think that's part of the probation. So my question is how the Minister looks at that. On the other hand, the Minister mentions the screening of his own department, the Public Prosecutor's Office and the NCTV and the fact that everything is going to happen there to prevent accidents. What about the parole board? The top of the probation also didn't know what was going on and it also stuck in the organization.
ParlaMint-NL_2015-10-01-tweedekamer-9.u222	Mr Oskam is quite right about that. There is a difference, in the sense that the probation is an execution organisation of the D.A. So the moment the D.A. gets the question from Brandpoint Reporter, it's up to the D.A. to report to his own administration and then it's up to that administration to report to me. The probation could have done that, but if it hadn't happened and it had gone well everywhere else it wouldn't have caused a problem. So there is a small nuance difference in the task of parole. The probation works on behalf of the D.A.'s office. In itself, it's pretty clear that the director of the parole board thinks he should have known about this. There's no discussion about that. There are a number of separate questions, but most of them have been dealt with in all the interruptions and debates we have had. I have already explained the measures. I have also raised the issue of the position of the National Police. Mr. Chairman. I think I came to the end of my first-term response.
ParlaMint-NL_2015-10-01-tweedekamer-9.u223	Thank you very much for that. This brings the first deadline to an end. Can we proceed immediately or is there a need for a suspension?
ParlaMint-NL_2015-10-01-tweedekamer-9.u224	I only have a small fraction, but I would like to talk for 15 minutes.
ParlaMint-NL_2015-10-01-tweedekamer-9.u225	I find it difficult to refuse such a request in such a debate. I see agreement, too. We're gonna suspend for 15 minutes.
ParlaMint-NL_2015-10-01-tweedekamer-9.u226	The next item is the second part of the debate on the provision of information to the Chamber on Volkert van der G. I shall be the first to give the floor to Mrs Helder, who has about two minutes' speaking time in the second period, including the tabling of motions.
ParlaMint-NL_2015-10-01-tweedekamer-9.u227	Mr. Chairman. Volkert van der Graaf appeared to everyone's horror on TV. Questions were raised, which were answered in Question Time. In that Question Time, the Minister misinformed the Chamber. There was a debate and the Minister found that incredibly annoying. After an interruption of the PVV there were eventually excuses and those excuses of the minister are more than justified. It was Volkert van der Graaf's then attorney who made sure we know what we know. We must also make that clear to ourselves. It wasn't the Ministry; it was the then lawyer who finally got the ball rolling. Then the Minister, after numerous mistakes that have been made, says 'I do not know whether the broom should go through the Ministry', and 'you should be in my shoes'. That is not very hopeful for the future, but let me put it this way: the excuses came eventually and my group is satisfied with that now, but it says: this is the last chance we give the Minister. Then the content that the debate was finally requested about, Volkert van der Graaf. My group does believe that he has violated the media ban. If it isn't with its appearance in focal point, then it is with the independent offering of camera images that have been made. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are grounds for bringing the question of breach of the conditions of the conditional release of Volkert van der Graaf before the court;]] [[noting that, on the basis of Article 15i (1) of the Code of Criminal Law, the Minister is empowered to request the Public Prosecutor's Office to bring an action for the withdrawal of the conditional release;]] [[calls on the Minister to request the Public Prosecutor's Office to bring an action for the withdrawal of Volkert van der Graaf's conditional release,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Helder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-VI-11]]
ParlaMint-NL_2015-10-01-tweedekamer-9.u228	Not on this motion, but on a general question, Mr President. I do not know whether Mrs Helder has read all of her motions, but I myself would like to table a motion stating that Volkert van der Graaf's security will be lifted because there is no threat. He goes into the media himself; the mayor also said something about it. My question to Mrs Helder is whether she is going to support my motion, because it seems that she is not coming up with that motion herself. I shall ask for the support of Mrs Helder in advance.
ParlaMint-NL_2015-10-01-tweedekamer-9.u229	I can't get ahead of myself. I will have to read the motion and then I will discuss it with my group for advice.
ParlaMint-NL_2015-10-01-tweedekamer-9.u230	That's not such a complicated motion. The operative part will be that Volkert van der Graaf's security will have to be lifted immediately.
ParlaMint-NL_2015-10-01-tweedekamer-9.u231	Despite that, I'm not going to anticipate things. I'll wait for the motion, and I'll discuss it internally.
ParlaMint-NL_2015-10-01-tweedekamer-9.u232	Mr. Chairman. Thank you for the first-term answers. Two final questions on the substance of the Volkert van der G case. Is it true that Volkert van der G. had an obligation of secrecy regarding the framing of the photos, I ask the Minister? Is criminal action being taken now that he appears to have violated this duty with focal point? Then I would like to speak about the legislative proposal on long-term supervision, behavioral influence and restrictions on freedom. It's in the First Chamber. On 18 November 2014, the First Chamber submitted questions on this subject. Part of this bill, it has already come to order, is the Van Toorenburg/Helder/Van der Steur amendment. Can the Minister answer these questions as soon as possible so that the legislative proposal can enter into force on 1 January? It's in a hurry. Does the Minister also understand that there is this urgency, given the release of Volkert van der G. and that supervision will end differently in 2016? So it's really jumping in a hurry. The CDA Group is deeply concerned about the way in which it has all dealt with the Van der G case and the way in which this case has been dealt with within the Ministry and the services and ultimately led to this debate. Was the performance last week illustrative of this minister's actions, toughness for reliability, impulsiveness for care? Security and Justice must be a strong core department. Last week that wavered and today two new cases have been introduced which confirm that. No motions today. The improvement must simply become visible because this type of error is no longer made. We expect a lot from the Minister. We expect the Minister to manage this properly. We are still waiting for the report from the Oosting Committee, on which we will have a detailed discussion with the Minister. Very special in this case of Volkert van der G. is that this minister himself has shown little involvement. He sits there for six months and only at Question Time he went further into the matter and gave orders. I'd like a comment on why this has all been so difficult. For the CDA group, it is also important that after today no new bodies come out of the closet. Can the Minister guarantee that there will be no more surprises? Is this the last ghost file from his ministry?
ParlaMint-NL_2015-10-01-tweedekamer-9.u233	Madam President. You're trying to get such a debate working on you a little bit, and I'm left with a feeling of bewilderment. How is it possible that there was so much prior consultation between all kinds of organisations, between directors and with the lawyer, and that there was so little communication that there was so little transfer of knowledge? That remains an astonishing observation. The problem arose not only in advance, but also afterwards, after Question Time. That not all alarm bells went off immediately says a lot about political sensitivity and judgment in and around the minister. A ministry and a minister with so much experience and knowledge and skills and then such a baffling political feeling, it remains very difficult to follow exactly. It concerns a ministry and a minister on very important issues. It's about the police, it's about the fight against terrorism, it's about the rule of law, it's about the Public Prosecutor's Office. Such important topics and then such an assessment point at such a point... The minister says he didn't fully assess the scope. That, of course, concerns the other issues. There are even more important issues where the same error of assessment can be made. That's what's left of it. I invite the Minister to reflect on this and to answer the question of how confidence can be restored. Mr Helder interrupted and the Minister apologized. I think we need to draw a line here, because it affects the confidence between the Chamber and the Cabinet that when information is requested, that information comes to the Chamber and is good, good and checked. I am tabling a motion for the future with a view to the future of the ministry. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is an unhealthy concentration of power in the Ministry of Security and Justice by bringing the Security Part of the Ministry of the Interior under Rutte I to the Ministry of Security and Justice;]] [[Whereas, for a sound balance of power, it is desirable to return Security, including police management, to the Ministry of the Interior and Kingdom Relations;]] [[points out that at the next appropriate time Security, including police management, should be re-housed with the Ministry of the Interior and Kingdom Relations,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Segers and Mr Berndsen-Jansen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-VI-12]]
ParlaMint-NL_2015-10-01-tweedekamer-9.u234	Mr. Chairman. I would just like to point out that the Minister has ruled out the fact that there was nothing more in the notice than what had to do with the photo in violation of the media ban. However, it is still incomprehensible to my group that no action was taken on the Monday after the broadcast. There is no urgency and political sensitivity. How is it that information doesn't get to the top of the organization? The Minister's apology is in order. The Minister himself has chosen to come to the Chamber with incomplete information. D66 gives the minister a yellow card. The Minister can hardly afford any mistakes anymore. Can the Chamber trust that V and J will now send correct and complete information to the Chamber? Does the Minister further fully understand the need to be in control of his ministry now? Is he prepared to instruct himself and the Secretary-General to keep the administrative sustainability of the department well and openly under review? I have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that since 2010, the government has organised the Ministry of Security and Justice in such proportions by adding Security to the Department that internal coordination, management and information to the Chamber have been compromised;]] [[Whereas several incidents have occurred since 2010 in which the Chamber has not been fully informed by the Minister of Security and Justice and the organisational problems in the Ministry have, inter alia, been the cause of these incidents;]] [[Calls on the Government to examine the administrative sustainability of the department and to develop a scenario in which Security from the Ministry of Security and Justice returns to the Ministry of the Interior, and inform the Chamber thereof before 1 May 2016,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Berndsen-Jansen and Mr Segers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-VI-13]]
ParlaMint-NL_2015-10-01-tweedekamer-9.u235	Mr. Chairman. It was not good what the Minister showed and heard this afternoon. Yet he gets the benefit of the doubt: chopping over the ditch. Even the excuses came out a little arrogant. Anyway, the minister just got here and let's try it again. Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to stop Volkert van der Graaf's security immediately and never to re-establish it,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the official summit at the Ministry of Security and Justice and the Public Prosecutor's Office systematically informs the directors insufficiently and incorrectly;]] [[noting that the Minister of Security and Justice is afraid to clean up his department and the Public Prosecutor's Office;]] [[calls on the Bureau to conduct a parliamentary inquiry into the functioning of the official summit at the Ministry of Security and Justice and the Public Prosecutor's Office,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bontes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-VI-14]] [[This motion has been proposed by Mr Bontes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-VI-15]]
ParlaMint-NL_2015-10-01-tweedekamer-9.u236	Mr. Chairman. When you look at the course of the debate, it becomes very clear that the focus was very one-sided. It was entirely focused on the question of whether there was a violation of criminal sanctions. There was no careful checking and careful informing each other. There's been an act with blinders on it and, yes, I only have one word for that: tunnel vision. The Minister will have to make every effort to improve the situation in the Ministry, to improve internal communication and, above all, to ensure that political sensitivity is also developed. I say that because this cannot be repeated. The department must become the department that people trust, because it is very important that we do not have to hear things from the newspaper when it comes to justice. In other words, the Ministry must communicate clearly and the Minister is the first point of contact.
ParlaMint-NL_2015-10-01-tweedekamer-9.u237	Mr. Chairman. I thank the Minister for the answer. It would not be very pleasant to have to be in the Minister's shoes at this time. That applies not only to this day, but also to the Ministry. It's not nice to have to constantly ask yourself what else to ask and who to trust. After all, the Minister was sent to the Chamber with a ticking bomb. The bomb was ticking and the minister could have asked himself: what is ticking and should I look more closely? It does not alter the fact that the employees who said to the Minister "go into the Chamber with this story" sent the Minister with explosive material on the way and that cannot be done. I have already said in the first term that it was not good, that it is not good and that it should be better. That is why there is a huge task for this minister. He must improve accountability and information, but not create a culture of fear. After all, the Ministry must be able to do its job. There are a lot of good people working, as he himself stressed. We are going to talk about this in the Oosting report. Trust in the Ministry must return. However, I am convinced that the Minister is going to do so with full force. Finally, I come to another story, the story of the rule of law. The rule of law began at a time when the government could throw random citizens into prison. Most of the rules we have are there to protect citizens from the unbridled power of government; this applies to every citizen. We shouldn't forget that. Sometimes, however, it seems as if part of the Chamber forgets that. I think that is a worrying development. I do not want political persecutions, and I will look very strongly at them in the coming period.
ParlaMint-NL_2015-10-01-tweedekamer-9.u238	Mr. Chairman. My conclusion is that my concerns have increased. That's two things: I've got an even clearer view of the cultural problems in the ministry and the information is not in order. However, my confidence in the Minister has increased. Why? The Minister sees the mistakes, he acknowledges the mistakes, he regrets the mistakes and he has drawn up a firm plan to resolve them. That is why this debate is at the end of the day. My appeal to the Minister is therefore to make a strong effort to solve the problems. We will follow that and we will undoubtedly have another debate on it. If the Minister continues in this way, we will support it. The question is also whether incidents can occur. A professor of ethics once said to me: you are doing it wrong at Question Time, in other words: you should do it differently. You should bring a minister to Question Time every Tuesday and ask him what mistake he made last week. If he says he didn't make any mistakes, you have to send him away acutely. After all, it is impossible for a ruler in such a complex ministry to make mistakes. However, policies should aim to minimise the errors and learn from the mistakes made. The diametrical point might be that if the Minister succeeds in getting the information in order, perhaps we will have more debates on incidents, precisely because information on them will come out better. We should not be afraid of that and we should not say 'once, but never again' or that the Minister should leave when there is another incident. No, we have to check every time whether the policy is aimed at preventing these incidents, and whether the Minister is prepared to learn from the mistakes. At the moment, I see that this is the case.
ParlaMint-NL_2015-10-01-tweedekamer-9.u239	Mr. Chairman. The SP finds it incomprehensible that things could have gone so wrong. The House of Representatives, and therefore society, must be able to rely on the accuracy and completeness of the information it receives from the directors. Around the publication of the photo of Volkert van der G. that went horribly wrong. The Chamber is incorrect and incompletely informed. I still find this incomprehensible, especially since it was and is an extremely politically sensitive issue. Yes, mistakes have been made by others. The D.A.'s office wasn't complete. The Department of Press Information didn't make the call in time about the dispatch of Brandpoint, while that afternoon the message was already around that the summary proceedings had been won and the broadcast would continue. But the Minister in particular has made huge mistakes. First of all, he did not make enough effort to find out the truth himself. He has been there for six months, but he has not done enough between the broadcast and Question Time. Two important signals have also been missed: the Public Prosecutor's Notice on the involvement of Justice in the photograph and the lawyer's warning. The minister says, "I didn't know why the lawyer was angry." But he didn't pick it out either. Nevertheless, the minister stands here with a fraction of the whole story. As far as I'm concerned, that shouldn't happen again. We must be able to rely on the accuracy of the information. As far as I'm concerned, it's on this point but never again. I asked the Minister how this could have happened. I did not get a clear answer to that. The Minister promises to get better, but does this mean that he will think twice before he says anything and that he has the facts in order? After all, we are not in a pub here, but in the Lower House. This is about trust in the Minister. For the time being, my group is giving him the benefit of the doubt in getting the ministry in order. That is also what this is about: confidence in the Ministry of Security and Justice. That confidence is also damaged, and that is bad. For the SP, the image has not been taken away that the Ministry is too busy with imaging, with the protection of the image of the ruler. and too little with the matters that matter, such as the security of society and the strengthening of the rule of law. This has to change to restore confidence.
ParlaMint-NL_2015-10-01-tweedekamer-9.u240	Mr. Chairman. I would like to raise four points briefly in the two minutes I have. It is good that the Minister recognises that serious bottlenecks need to be resolved, both within the department and within the associated organisations: the Public Prosecutor's Office, the probation and so on. It is also good that the Minister is prepared to look critically, not only at the department, not only at the official summit, but also at himself in particular. I also note that the Secretary-General is now working. I would like to stress once again that I expect the Minister to be on top of that. I also expect him to say that all options are left open when it comes to possible human consequences. Not because I want to see a head roll, but because I really want us here in this Chamber to know with us 150's that all the information is coming to us that is necessary to be able to discuss all the issues properly and fully. Mr Van Nispen also spoke about this. But first, analyze, act. And quick, please. I shall come back to the point where it all began, namely the questions I myself raised for Question Time. I continue to say that I would very much like to do so, and my group, too, would like it to be considered whether Van der G. has violated the conditions for his release both literally and in spirit. It's not just about the media ban, it's wider than that. The VVD also wants to see whether Van der G. infringes the conditions for obtaining or maintaining his welfare allowance. Finally, I would like to appeal to the Minister. I am asking the exact same question with which I ended my speech last week. Please, Minister, do not hesitate to end up using your own powers if, after examining the probation, the Public Prosecutor does not decide on his own initiative to refer it to the court. Then make use of your own powers. I expect a positive basic position on this point.
ParlaMint-NL_2015-10-01-tweedekamer-9.u241	Mr. Chairman. I thank the Minister. In my first term, I have already mentioned that an employee usually has a few months probation period and that an evaluation interview follows. That is what we have been feeding today. There are many criticisms and doubts. From D66 the minister even gets a yellow card. As far as we're concerned, he's not getting a permanent appointment yet, he's getting an extension of the probationary period. In doing so, he is specifically instructed to make a real clean-up of the bad culture and communication that it is so lacking on parts of his ministry. I still have one urgent question to ask. I found that it did not help that the murderer of Pim Fortuyn was not sentenced to life imprisonment and was also released early. That will cause permanent discomfort. Does the Minister see opportunities to come up with a workable solution to this invigorating issue?
ParlaMint-NL_2015-10-01-tweedekamer-9.u242	This ended the second term of office. The Minister indicated that he could respond immediately to the motions tabled.
ParlaMint-NL_2015-10-01-tweedekamer-9.u243	Mr. Chairman. Your Chamber asked critical questions and made critical comments in the first and second periods. They're justified. I'm not running away from my responsibility as a minister. I have listened carefully to your Chamber and I note that there is a heavy task on me and all my staff to restore confidence in our department. I also see it as my job to restore that trust, along with all those employees working with heart and soul for the safety of our society that day in, day out. I shall first briefly answer a number of questions and then come to the debate on the motions. Mrs Helder said: we must realise that we now know how things went thanks to the lawyer. I would point out that Mrs Helder is not quite right in that, because I promised in Question Time that I would inform the Chamber about the precise procedure, precisely because I did not know what the precise procedure was either. However, it is a fact that the lawyer felt called to make the announcements he has made, as I have made them, which I do not go into any further. These were, in fact, correct, as I said in the first term. Mr Oskam asked about the obligation of confidentiality of Van der G. The government has not been involved in the agreement concluded between Mr Van der G and the photographer concerned. So what is further regulated there does not respect the government either. Mr Oskam has asked me whether I can make haste with the legislative proposal which incorporates the amendment tabled by Mr Van Toorenburg, Mr Van der Steur and Mr Helder. Yes, we always make haste with important legislative proposals and yes, we also give very careful answers to the questions raised by the Upper Chamber from the legal background of our department. It's gonna take time. We are taking this time because we believe that it should be done carefully. I am glad that when I look at Mr Oskam like that I can count on the approval of the CDA Group for the whole of the law, including the amendment. Then we will also be able to implement it as soon as possible. Mr Oskam has asked whether this will be on 1 January 2016. This is quite an intrusive bill. Reality shows that implementation will not succeed before 1 July 2016. I will also inform Mr Oskam about this through the First Chamber.
ParlaMint-NL_2015-10-01-tweedekamer-9.u244	There is a risk that these two years of supervision will be over. What about Volkert van der G's case? Is there any possibility of extending that surveillance?
ParlaMint-NL_2015-10-01-tweedekamer-9.u245	I am not entirely focused on the retina when the conditional release of Van der G. expires, but my impression is that the bill will be implemented in time, because it will take place in 2016. I think the conditional release runs until 2018. I would add that this is not based on facts, because I don't know. This is what I think!
ParlaMint-NL_2015-10-01-tweedekamer-9.u246	The Minister learns quickly. I would ask him to keep a close eye on this.
ParlaMint-NL_2015-10-01-tweedekamer-9.u247	Yes. I have already promised to inform the First Chamber of this, as is customary. Mr Oskam has also asked whether this is the last ghost file we encounter. I also heard Mr Dijkgraaf very well just now when he said: we are going to ask the Minister if he has made mistakes in the past week; if the answer is no, he has to leave. In a department like mine, with the work we do, with that complexity of laws and regulations and with people who oppose, like criminals who do not cooperate, which is very annoying! There will always be things in the organization that don't go well. The only answer to Mr Segers' question as to whether the Chamber could count on me to inform her fully, in good time and correctly is that of course she can count on it. That's the stakes and the stakes. If that does not happen, I will be accountable to the Chamber. I have heard well that some of the groups have said in that context that this is a discussion with some depth and weight. By the way, I realize that I just said that the photographer had an agreement with Mr Van der G. That is not the case. I understand it was an agreement between the lawyer and the photographer. Mr Van der G. is not involved in this. Mr Oskam asked in the first term how the mission to the Public Prosecutor's Office went. I've had that checked out. An official of my department was communicated to the Public Prosecutor's Office early on a Monday morning that it wanted to have a notice of office from the Public Prosecutor on this matter in the light of the announcement. As we know by now, this has been answered focusedly on the media ban, which was also the issue in the media. Mr Segers has blamed me for a flawed political feeling. [[Sentence could not be parsed: Ik kan niet anders dan zeggen dat ik dat nederig aanvaard.]] I have admitted that at that time I was not sufficiently aware of the nature and scope of the communications I received from the Public Prosecutor's Office and others, including the NCTV. That's right. That is also the essence of what I wrote in the letter. I took good note of the yellow card I got from D66. I can confirm to Mrs Berndsen that I see it as my job to be in control and remain in this department without giving the guarantee, because saying that mistakes are never made again would be unrealistic. That will be the case. For the sake of clarity, I would like to say once again that the Oosting Committee will make compelling recommendations and that I will immediately follow them up and implement them. I would like to thank those Members who have given me the benefit of the doubt despite the critical note they have cracked. I also found Mr Dijkgraaf's contribution very insightful on this point. I'd like to take up the challenge of making strong work of the improvements. After his assessment of this debate, Mr Van Nispen asked: how does the Minister intend to proceed next? I think I'll say more often than I actually do: Room, I don't know exactly, but I'll figure it out; you'll hear from me. If I do that very often, the Chamber will ask: what is that annoying thing? I know that, too. I am, of course, trying to take the golden middle course. On the one hand, I take on the duty to inform the Chamber correctly and in good time, but on the other hand, I should have noted on this point and in this particular case, as I wrote in the letter, that I had the impression that there was more to it and that I did not know what that was, but that I would have found out. I did, by the way, but not in advance.
ParlaMint-NL_2015-10-01-tweedekamer-9.u248	I'm gonna come up here anyway. Of course, the Minister must think carefully about what he says in the Chamber and, if necessary, take the time to think carefully to be properly informed. The crucial point why I believe we have been here all afternoon and all morning is that crucial information does not seem to reach the Minister automatically if he wants it. I would like to see the official summit always bring crucial information to the Minister. That's the point. That sometimes takes time, I think, but all the information is known, so there has to be someone who takes control of it and gets that information to the minister. He should not be informed very briefly, quickly or briefly by means of a notice of office, but simply completely with the whole story.
ParlaMint-NL_2015-10-01-tweedekamer-9.u249	I can only say that I fully support Mr Van Oosten's speech. Mr Van Oosten also said that I should not hesitate to draw human consequences for individuals if, in the context of the improvement I am going to make in the department, on which I am still informing the Chamber, I come to the conclusion that I have to do so. I have confirmed in the first term that I will not fail to do so. I am sure I will do so myself, moreover, that the Public Prosecutor's Office will look very widely at the conditions and their possible violation, as Mr Van Oosten asks. With regard to assistance, I must say that Mr Van Oosten will not mind that this is a matter for the city council of the municipality of Apeldoorn. It is the municipality that is competent to provide assistance. I have heard his appeal about my powers under the Code of Criminal Law. Mr Krol expressed his disappointment at the case law in the Netherlands in this particular case. It is not for me as a minister to comment on that. I believe that this is in line with the call made by a number of political groups to uphold the rule of law in addition to security and attention. I will do so with great emphasis. I come to the first motion, the motion in part No. 11 by Mrs Helder of the PVV Group. She asks me to ask the Public Prosecutor's Office to file a claim for the withdrawal of Volkert van der Graaf's conditional release. I have no choice but to dissuade Mrs Helder from this motion. The probation has to do the investigation first and then the Public Prosecutor will test that investigation. I have promised Mr Van Oosten that this will be done by all his lawyers, or at least the good ones. After that, the Minister's next move. I am expected to inform the Chamber around mid-October about my opinion and what I might do. That is why, as I have said, I will not recommend the motion. In the motion by Mr Segers and Mr Berndsen-Jansen to item No. 12 it is stated that security should be restored to the Ministry of the Interior and Kingdom Relations at the next appropriate time. Lyrically, the motion on that point is difficult. I can already say to the Chamber that as far as I am concerned the next appropriate moment is not coming, at least not in my view. The next appropriate moment may well be in the negotiations on a new coalition agreement, in the future. I'm not sure I'm playing a part in that. I cannot carry out this motion if it were to be adopted. Moreover, it is not defined in such a way that I can do anything with it. Apart from the fact that I am supposed to be a minister to implement the coalition agreement, this option has not been described. So I'm gonna have to dissuade the motion. I recommend that Mr Segers introduce this point on the occasion of a new coalition agreement, assuming that he is involved in these negotiations. In the motion in part No. 13 Ms Berndsen-Jansen and Mr Segers asked the government to examine the administrative sustainability of the department and to develop a scenario to achieve that division. I will discourage that motion for two reasons. The first is that the coalition agreement does not allow me to take up this motion. The second is that I am not going to burden my department in any way with an investigation that I do not know whether it is current or real. I think that this debate has also shown that there are other things to do in my department that require the full attention of all my people. For that reason, I advise against this motion.
ParlaMint-NL_2015-10-01-tweedekamer-9.u250	A brief comment on the motion by Mrs Berndsen-Jansen and Mr Segers. A motion requesting a ruling from the Chamber should not, in my view, be discouraged by a minister. That motion does not ask the government, but asks the Chamber to give its opinion. In my humble opinion, the Minister does not need to speak on this issue.
ParlaMint-NL_2015-10-01-tweedekamer-9.u251	The Minister is an advisor to the Chamber. He's giving an opinion to the Chamber, and of course he's free to do so.
ParlaMint-NL_2015-10-01-tweedekamer-9.u252	Thank you, Mr. Chairman. The motion says that something quite radical will change in my department. That applies to the motion in part No. 12. The motion in part No. 13 is addressed to the government. I will give a ruling on this on behalf of the government. For all the motions, however, my judgment is my judgment. It is an opinion and it is up to the Court to draw its conclusions.
ParlaMint-NL_2015-10-01-tweedekamer-9.u253	Mr Van Nispen's comment saw on the motion in part No. 12.
ParlaMint-NL_2015-10-01-tweedekamer-9.u254	Okay. Mrs Berndsen asked whether nothing happened on Monday. As I just said, the public prosecutor's office was requested on Monday. I immediately asked myself what was going on. Consultations were held with Reclassing The Netherlands on his statements, because they turned out not to be correct. The analysis of various documents has, of course, already begun, particularly in the light of the violation of the media ban. Then I come to the motion on part No. 14, by Mr Bontes. It calls on the government to stop the security of Volkert van der G immediately. There is no exception to the rule that people who need security get that security from the government. Furthermore, I can neither confirm nor deny the existence of security of the person concerned. For that reason, I must advise against this motion. In the last motion, in part No. 15, the Bureau is invited to conduct a parliamentary inquiry into the functioning of the official summit. I assume that this motion is addressed to the Chamber, not to me or the government. I don't think the motion is addressed to me as a ruler. If the motion were addressed to me as a ruler, and if Mr Bontes were to confirm it, I would also advise her against it. I think it would be much better if I, as the Minister responsible, looked at the official summit of my department. I think that would be much better than a parliamentary inquiry by the Chamber.
ParlaMint-NL_2015-10-01-tweedekamer-9.u255	As President of the Bureau, I also believe that I should leave this motion to the House.
ParlaMint-NL_2015-10-01-tweedekamer-9.u256	I'll come back to Volkert van der Graaf's security. He's not threatened. The NCTV itself said: we don't want to let that photo shoot go on. That is not well communicated, but that was the approach of the NCTV. There's no threat. We don't have a duty of care for Volkert van der Graaf, do we? We don't have to take care of his safety, do we? You don't think other criminals are protected, do you? If we had to protect all those people, wouldn't there be so many murders in Amsterdam?
ParlaMint-NL_2015-10-01-tweedekamer-9.u257	The same question has already been put by Mr Bontes in the first term, in the same terms. I give the same answer to the same question: I cannot answer because I cannot deal with the security situation of individual Dutch people.
ParlaMint-NL_2015-10-01-tweedekamer-9.u258	This has indeed already been changed, Mr Bontes. But go ahead and ask your question once more.
ParlaMint-NL_2015-10-01-tweedekamer-9.u259	Apparently he has been placed under the regime of state security, or it means that the decisions are subject to state security. That's the world upside down, isn't it? He looks up the media himself and arranges for a picture to appear in the newspaper. The mayor of his hometown, Apeldoorn, says: we have a new resident, Volkert van der Graaf. That's weird, isn't it? The NCTV itself says, no, there's no threat, so you can call off that photo shoot. You can't explain that, can you?
ParlaMint-NL_2015-10-01-tweedekamer-9.u260	Thank you.
ParlaMint-NL_2015-10-01-tweedekamer-9.u261	I would point out that the observation made by the NCTV to which Mr Bontes refers was made in June 2014. That was over a year ago. For the rest, I say exactly the same thing as I said in reply to the same question by Mr Bontes in the first period. I cannot, and will not, make any communication about the individual security situation of the Dutch. Finally, I note that a great deal is being asked of me as a minister, of the Ministry of Security and Justice and of all our people. A great deal is rightly being asked of us. I will do my utmost to restore the confidence of the Chamber and not to damage it, even if it may be on an extended probationary period, as Mr Krol called it.
ParlaMint-NL_2015-10-01-tweedekamer-9.u262	We shall vote next Tuesday on the motions tabled.
