ParlaMint-NL_2015-04-21-eerstekamer-7.u1	I give the floor to Mr Schouw.
ParlaMint-NL_2015-04-21-eerstekamer-7.u109	We are still sometimes against and sometimes against things. It used to be, and it is now. However, in the early days, our propaganda was very much directed towards what we were opposed to. Then we ran a campaign for what we were for. Mr. Chairman. Together with the Labour Party, the SP advocates a mayor elected by the Council. We disagree about the extent to which this elected mayor has already been achieved. We are more critical of the current situation with secrecy and pre-selection. Too often, this process leads to outside professional directors, and would result in a different type of mayor than an ordinary election by the council. The Dutch Society of Mayors may be satisfied with the current situation, but the local players do not have to be. Thus, unlike the Labour Party, the SP does not consider that the mayor elected by the Council has in fact been largely realised. By a mayor elected by the council, we mean candidacy in a public council meeting according to Belgian model, not a secret pre-selection and finally the choice between two applicants. So we do not think that it is actually going so well that the change in the constitution is no longer urgent. I intend to advise my group to vote in favour of this initiative proposal at first reading. It's okay if the procedure can continue. The proposed constitutional change could make it possible to elect the mayor by the city council, which we have always wanted.
ParlaMint-NL_2015-04-21-eerstekamer-7.u110	I would like to ask Mr Meijer a question. He said just now in a few sentences: we are also in favour of a mayor elected by the Council, but unlike the Labour Party, we believe that it should be possible in a public meeting. There are plenty of ways to arrange that differently. That's all in the city law right now. There is therefore no need for a constitutional change. There are also many other ways of achieving a mayor who may be more democratic. They're all in the municipal law, too. There is no need to change the Constitution. So I just wanted to say to Mr Meijer that it would be a good thing if he brought in the municipal law before he said: I want it to be different. 'Cause that's how it's gonna be.
ParlaMint-NL_2015-04-21-eerstekamer-7.u111	Mr De Vries and I agree. That is also in line with what I said earlier, namely that the question is whether a constitutional change is an absolute necessity to achieve this effect. If it can be achieved in another way, we agree. I mentioned it because I sense some satisfaction from Mr De Vries with the current situation. I do not share it, despite the fact that we have the same preference for the direction in which it should go.
ParlaMint-NL_2015-04-21-eerstekamer-7.u112	I am talking at constitutional level perhaps with some satisfaction about the situation, but I am very sorry that we have not seen a chance to make changes to the municipal law to ensure that all kinds of rigidities in the system are resolved. There really are complaints about the system and its functioning. It can be done better and it can be done democratically. Mr Meijer also read Minister Plasterk's note. It sets out a number of suggestions that can be introduced in this way, without the need for amendment of the Constitution. So I would say, at least let's take advantage of those opportunities, no matter what happens to this bill.
ParlaMint-NL_2015-04-21-eerstekamer-7.u113	With Mr De Vries, I believe that these opportunities should be exploited. That is also in line with what I said in the first term. I had come to the end of my speech with the statement that my group is likely to be in favour of this proposal. With that agreement, we are not taking an advance on the second reading, with a two-thirds majority required. If, as in 2005, there is a government agreement based on a mayor elected separately from the city council, we reserve the right not to agree at that stage. This is particularly true if it turns out to be a strong mayor who is above the Council in breach of Article 125 of the Constitution. Then a situation may arise in which, like the spokesman for the Labour Party, we find the proposal even worse than the unsatisfactory regulation currently in force.
ParlaMint-NL_2015-04-21-eerstekamer-7.u114	Well, Mr President, how should we evaluate this debate and what should I advise my group? First of all, on behalf of GroenLinks, I would like to thank the initiator and the Minister for the detailed answer of all our first-term contributions. I do not want to be tempted to tell myself on behalf of GroenLinks as to what is the most desirable method of appointment. At the same time, I can see in advance that at second reading this constitutional reform is going to fall. The initiator also has 2005 clearly on his retina. I was there at the time, though I was not the spokesperson at the time, but my predecessor Leo Platvoet. The proposal then fell because at least the PvdA, the SP and GroenLinks but possibly also other parties were not unwilling in principle against the constitutional revision but they certainly did not want to take over the way in which they were appointed as they were in the bosom of the cabinet. I understand that the initiator, sometimes even a bit cramped, kept away from any method of appointment, because otherwise it might already be killed at first reading. Mrs Huijbregts asks for a final picture on behalf of the VVD before we talk about this constitutional revision at the second reading in the new composition. I believe that the sword of Damocles is hanging above this constitutional review. As the debate progressed and I listened to the good speech of the initiator and the Minister that his competent people were here in the debate, I began to wonder more and more why this proposal is really necessary. Why do we not, on the basis of ordinary legislation, engage in the debate on the method of appointment, after a social discussion, a political-administrative discussion in society, hear all kinds of mayors, aldermen, municipal secretaries and the like, who, on behalf of 393 municipalities, give the local authorities, with all their heavier tasks and responsibilities, the best possible form and content for the benefit of the communities of people? I have tried a few times in the event of interruption to clarify for myself what stands in the way of ordinary legislation on the most desirable method of appointment if we maintain the current constitutional provision on the appointment of the mayor. There's nothing that's gonna stand in the way. I do not hear anyone else here saying that it is absolutely essential to amend the Constitution in order to make room for the debate on the way in which it is appointed. In short, I am confused and I am going to my group with this confusion. And you'll see what came out of that next week. I wish us and you very much strength in that!
ParlaMint-NL_2015-04-21-eerstekamer-7.u115	Mr. Chairman. I would, of course, like to take advantage of this second term in the first place to thank both the initiator and the minister for their first-term reactions to the contributions of the Chamber, including my own. In the second term, I would like to make three further comments. These are not new issues but points that I have raised earlier. First of all, this concerns the justification for the need for constitutional change. I must also say after today, having heard the initiator and the ruler, that I am not convinced of that need for constitutional change. I therefore tend rather to use the counter-argument for amendment, in the sense that after 1848 this article apparently did not need to be amended and therefore the convincing need for change did not reach me. So my conclusion is actually that the constitutional change is considered necessary because it is a barrier to something other than the current method of appointment. Of course, I have heard that even after the second reading of this constitutional amendment, if it so happens, there may not be any change, but I would like to point out that the justification and argumentation of the need for this constitutional change lies in the fact that this is now a barrier to a different method of appointment. The second point concerns the question of the national interest in the appointment of the mayor, the Crown appointment. We all agree, I think, that the mayor has now become a municipal body. I also recalled this in my contribution in the first term. I would like to point out that the same mayor, who is a municipal body, has super-municipal interests. With these super-municipal interests, I particularly refer to the maintenance of public order and security. I can't see that that would be a purely municipal matter. According to municipal law, the current mayor is both a man or woman of the municipality and a man or woman of the governorate. That double task is also visible, although perhaps symbolic, in the mayor's chain of office with the national weapon on one side and the municipal weapon on the other. Then there is my third point. More or less in anticipation of the possibility of this legislative proposal being adopted next week and of Mr Schouw and we could still see the successful conclusion of a second reading, I would like to make the following comment, which is aimed in particular at the directly elected mayor and local dualist democracy. If the mayor is to become a political leader, can the dualist municipal government still be maintained? That is a serious question for our groups. That dualist system is based on two equivalent bodies: the Council and the College. If the leader is appointed by the council, the council runs on the mayor's leash. On paper it may be the other way around, but in countries where we know the directly elected mayor, I am thinking only of countries like France and the United States, where the mayor is directly elected. I believe that this would be difficult for the dualist system to cope with if we continue on the path advocated today by many sides. I don't think we want any of this.
ParlaMint-NL_2015-04-21-eerstekamer-7.u116	I call Mr Schouw.
ParlaMint-NL_2015-04-21-eerstekamer-7.u117	Mr. Chairman. I would like to thank Members in the second term for their interesting and interesting input and their questions. I agree with everyone who has said that we have had a good, solid and substantive discussion today on a subject with a huge history. Almost none of the speakers could speak on this subject without mentioning history. I think we should try to throw the ballast of the past away from each other. Let's see how we can deal with that in the future. I can tell that many of the Members are prepared to do so. I would like to thank Members for that. I think it would be practical for me to pass on the comments and questions raised by the various speakers. I shall begin with Mrs Van Bijsterveld's contribution. Mr Plasterk and I have made an exhaustive effort to include the CDA Group in our reasoning that we need to take a first step in getting the mayor's position, because that is what we are talking about from the Constitution. The government and the initiator are convinced that this method of appointment in the Constitution is not a cornerstone of our state system, nor does it guarantee the rights that citizens can derive from the Constitution. I'm just going to put it very squarely: this is our position. We have tried to include the CDA in this. That worked in the House of Representatives. I hope it works in this room, too. After all, there is a group meeting at the CDA. It'd be great if it worked. I don't have any more arguments. I won't come up with new things either, because that wouldn't do justice to the subject. This is the position; that's what we're in. Mrs Van Bijsterveld also said that a discussion about the office is not a reason for deconstitutionalisation. I could go for a walk with her by saying: that's right. The discussion alone does not have to be a reason to deconstitutionalise. However, I would point out that, in recent history, two-thirds of the majority in the House of Representatives were in favour of doing so. In view of history, you can see that, in addition to the discussion, there are also facts that have kept this subject on the agenda and that make us try to take this subject a step further every time. I have done so as initiator, but the government has also found it necessary. Another question from Mrs Van Bijsterveld was: why did the initiator not take Article 125? That article concerns the head of the board. I based myself on the proposal on the deconstitutionalisation that was formulated in 2000. That's basically the basics. If I had included Article 125 in the amendment to the Constitution, I would have anticipated a possible discussion on models. Mrs. Huijbregts was right to say so. The possible outcome is that you look at that, but you don't have to arrange it in front. Mrs Van Bijsterveld also asked me to extend this proposal to include models at second reading. I can do a lot, but at least I can't rule my own political grave. I don't know if I can be at that second reading. After all, elections are coming. I have no idea if I'm on the party list. I see that Mr De Graaf has serious doubts about this too. Mr De Vries confirms that. There you are as initiator! I'd almost say it's getting more and more certain I'm not there. I can therefore say very little about it. But all crazy on a stick! It seems to me to be the most practical thing in the future. The First Chamber will decide on this next Tuesday. I hope, of course, that it is a positive decision. But then the work for the initiator is done until after the elections. Today's debate has resulted in someone else having to go to work, not as a stagehand, but as a director. That person will also write a letter stating how the directional role will be fulfilled. In parallel to the moment that this bill is resting for the second reading, the cabinet is starting to discuss the models. What I can imagine in the most pragmatic sense is that these two discussions will come together at some point. In any case, they come together when there is a new Lower House and if this bill has to be discussed in the second round. Then many will ask: what has been the outcome of the discussion initiated by the cabinet? That's how things get back together. I'd prefer that role-sharing. Should this discussion lead to an amendment of the law, I am talking about the ordinary law and that sort of thing, then it is up to the cabinet to be the first to do so. Mrs Huijbregts spoke about the usefulness and necessity of bringing this bill into procedure. She hit the nail on the head when she said: it's a bit of a chicken-or-egg discussion whether you're going to start the discussion and take the first step or you're going to do it at the end. I understand very well that Mrs Huijbregts said that. I stressed in the first term that if we do not take this first step now, we will see that the debate on the future and the models cannot be conducted at full speed. That is exactly what the VVD Group wants. I am also tasting from Mrs Huijbregts' input that she says: let us take the first step now, because then we can also have the discussion about the models very well. Mrs. Huijbregts is doing a few non-verbal things that I can't quite interpret. It's a mystery. I hear something about next week. Mrs Huijbregts also said: take the rethink vigorously. I have heard the VVD Group correctly. She says: between the first and second readings, of course, something must be done, assuming that the second reading will take place in 2018. I think it is up to the Minister to outline its outline, as well as his own role in it. I thank Mr Engels for his compliments. With the discussion he sparked over the breadth and scope of the mission, he addressed the VVD group, but also the minister. I liked the interruption that this has been concluded with: there will be a letter, in which the Minister will write down the scope and the process. That letter goes to the First Chamber, but it was the suggestion of Mr Engels that the House of Representatives should also look at it. They'll be happy about that. Then we can take that step further. Then I come to Mr De Vries. I would also like to thank him for his contribution in the second term. He referred to history and, of course, has a point when he says that you should see all the marking moments also in this file called Thorbecke and 1948.... in their context. Of course, he has a relevant point to make. The point I wanted to make is that the common thread throughout history is quite simple to summarize with the question of whether or not the method of appointment should be included in the Constitution. Today we are witnessing one of these moments. Mr De Vries noted that the urgent need remained in the middle. Mr De Vries (S). - (NL) Mr President, ladies and gentlemen, I should like to begin by thanking Mr De Vries for his excellent report. Obviously, the input of the Minister and the initiator has taken the matter a step further, so that the urgent need for this change remains in the middle and is therefore questionable, I say in the most sunny way. Is the method of appointment a cornerstone of the Constitution or not? This question is somewhat along the lines of the previous point. That is something we can argue about, and that is what we are doing with the CDA Group. As initiator, I have taken a position in this: this is not part of the Constitution. What I would like to give to Mr De Vries and his group is the good news that it would not be out of the Constitution if the Chamber voted in favour of the proposal next week, because it would obviously require a second reading. At the end of the first term, I tried to say something that didn't seem right, and I'm attracted to it. I understand if groups still have hesitations, but I wanted to say that if you have hesitations, try to overcome them. Mr De Vries sounded a bit boisterous: one should not have hesitation in amending the Constitution. It was not my intention at all to make Mr De Vries angry, but it is of course the case that I am also trying to see here that a number of groups have reservations about this proposal. Then I say: try to overcome it, because there will always be a second reading, in which two thirds in the Lower House and two thirds in the Upper Chamber must vote in favour. That is something that is still being discussed very well. I had to respond to the point of the two captains on one ship. Asked how I feel about that. As a rule, the ship and its course aren't doing so well if there are two captains. There may be exceptions, but this seems to me to be the rule. Then I come to the Society and the conclusions of the Society. I understand very well, of course, that Mr De Vries says: the society has said that the current situation is workable. However, I find that conclusion questionable. Of course, I read the report very well. I've also read all the interviews with the president of the Society. In my opinion, the society says that the current situation can be improved. This is also entirely in line with the three problems I have raised. I didn't make it up myself. I got it out of the report from the Society. It seems to me to be a good thing to stress that the society does not say: it is good and it must remain that way. No, the society says that the current situation can be improved, but let's do it carefully and put the method of appointment in context. The initiator and the cabinet have said that a sensible route to find. Mr De Vries continues to look for a final picture, including me. There is and cannot be such a final picture, but the agreement is that we will take up the challenge with the Minister to see which model is possible. If it is not possible to find something good or sensible on it, then we still have the existing model. Mr De Lange said on behalf of the OSF and the Party for Animals: count your blessings. I will do that next Tuesday if Mr De Lange does not blame me. I also thank him for the compliments and I very much agree with him that it has been a good debate. On behalf of the SP Group, Mr Meijer has carefully expressed his support. Thank you for that. It is all still to be discussed in the group, but I am glad that the SP Group also says that we should take a step in whether or not we should leave it in the Constitution. The Group of the Party of European Socialists also says that it is good to have that discussion with each other. Quite rightly, there is a piket pole around a particular model and that is, of course, the right of every group. I believe that this good and meaningful input, as well as the suggestions to give the Minister the perspective of the international context, to be taken into account. Mr Thissen wonders whether it will succeed with that second reading. He bases himself on a piece of experience and history that we both experienced in 2006. He noted that there were differences of opinion on the final picture at the moment. It will be quite an exercise, I admit, to see if there can be a common image, but well, we have time for that. If that common image does not arise, it is likely that this will entail some risk for the second reading. That's what I hear him say, and I feel it, of course. We cannot put that under the table, but it is not firing us from making a choice in the vote at first reading. Then we can start the further process. Mr Holdijk...
ParlaMint-NL_2015-04-21-eerstekamer-7.u118	For my group, it is essential to get an answer to the next question. What if that constitutional change doesn't happen? Is that a sine qua non condition for a different method of appointment, yes or no? In my second term, I made very explicit mention of my confusion as a result of this debate. That confusion also has to do with this point. Why can't the Second and First Chambers agree on a method of appointment that we like here through ordinary legislation, without the need for a constitutional change? This constitutional change is not the setting up of the Chamber for the debate on the method of appointment, is it? It's a little more principled, isn't it?
ParlaMint-NL_2015-04-21-eerstekamer-7.u119	A constitutional change is the method of appointment and also the driver for the discussion. That's why we're here. In history, this has happened a few times: stimulating the discussion. We have to do that, I think, because it puts the discussion on edge. A large number of modalities require constitutional changes, as far as I can see now. I say this under the terms of the Minister's sensible comments on the question of lawyers. Of course, you have the relatives and the easiest. When it turns out that there is no two-thirds majority in favour of constitutional change, you may have to consider whether it should be done in a different way. However, it is necessary to have a common idea about a final picture. If it had been easy, I say to Mr Thissen, we would not have been standing here for the umpteenth time. It's a difficult subject. The content of the opinion is quite different. However, I think it is important to take that first step on the constitutional change, because it is a catalyst, a driver for the further discussion that is also widely politically desirable. Mr Holdijk continues to doubt the justification for the need for this proposal; I say it to the most cheerful and friendly. I have the impression that Mr Holdijk, on behalf of his group and the Christian Union Group, continues to say that this appointment is a cornerstone of the Constitution. We don't think so. I have, of course, been working very hard to make a bridge between Mr Holdijk's view and my own view, but I am not able to do so very well, otherwise than to tell Mr Holdijk that with a positive choice for this initiative proposal next week, it has not yet been done with the removal of this method of appointment from the Constitution. A few years from now, this will be discussed further. So it's a first step, but not a final choice. That's the bridge I'm offering.
ParlaMint-NL_2015-04-21-eerstekamer-7.u120	I would like to respond to the issue of motivating the need. I thought I heard the initiator say in the first term that it was ultimately a matter of appreciation. Let me add: a matter of appreciation by some political parties. Am I wrong that that is actually the only foundation left behind in all discussions on the usefulness, necessity, desirability and justification of a constitutional change?
ParlaMint-NL_2015-04-21-eerstekamer-7.u121	It is a good thing that Mr Holdijk is asking this question. Perhaps to clarify the following. My first foundation is the question of whether or not the method of appointment is part of the Constitution. I am referring here to the statement that it is not part of the Constitution. So we need to get it out. Then there is a second way of reasoning. It refers to the question when you get something out of the Constitution, or, vice versa, when you add something to it. Then the understanding of the legal and social need comes around the corner. On that point, I would argue that it is not possible to cut it with scissors. It is not with a receipt to deliver when something is legally or socially necessary; that is also a matter of appreciation. But if you are really convinced that this subject does not belong in the Constitution, then there is also a legal need to take it out. As far as the social necessity is concerned, almost everyone in this Chamber says that it is a good thing that we study the mayor's position in that context and with that relationship. So there's a social question. Whether that's a necessity? I never know when a question will turn into a necessity, because it is, of course, a scale. Mr Holdijk also points to public order and security in relation to the mayor's role. He is very consistent in that, because he has already pointed this out in his first term. I think this point will certainly be part of the discussion. I have also taken good note of his warning, which is why I explicitly refer to it here, about mayor's monism as a solution to the discussion. After all, there are a lot of disadvantages. This was my second-term contribution. I have done my best to include the Chamber in the reasoning I have followed. I apologize if I haven't taken the space to talk about models and if that sometimes seemed too cramped. Mr Thissen, I apologise for that, but Members all understand on the one hand how difficult and complicated this discussion is and on the other hand that there is a great desire to take the debate a step further. You'd have to walk on eggs. If you have noticed, Mr President, I can confirm that I have. However, I hope and trust a good outcome next week.
ParlaMint-NL_2015-04-21-eerstekamer-7.u122	Mr. Chairman. My first point concerns the directional role. Actually, I've already started doing that, with the two notes I've been working on. At first instance they were received positively by the Dutch Society of Mayors and the Association of Dutch Municipalities. I'm gonna take a closer look. This autumn we plan to organise a conference together on this theme. To make a long story short: I am happy to send a letter containing an overview of the direction as I see it in my mind. I would add that it will be largely a procedural letter, which is not about the final picture, but about how we intend to shape this process. Mrs Huijbregts said that the timing I spoke of was somewhat slow in her eyes. I have tried to give state law purely the timing of the order of decisions as they are ultimately taken by the States-General. Something else is that thinking is of course free and that everyone can form opinions much earlier. I hope to contribute to that, too. But when I look strictly at the timing, assuming that this cabinet and this House of Representatives will remain in place until 2017, it seems realistic that the second reading will not be until 2018 by the two Chambers of the States General. If one would like to change the law, it has to be done by ordinary law, so you are indeed at 2019-2020 before the decision is taken legally. But once again, nothing forbids others to form views on this matter before. I would like to point out that we are actually already seeing a preview of this today; Mr Thissen pointed out, as did Mr Schouw, that of course you should always be careful about that catch 22 that my highly valued predecessor of the Interior De Graaf ran into in a way. Some parties say 'we do not want to decide on deconstitutionalisation until we know what the final picture will be', while others say 'if that becomes the final picture, I would rather stick to the current crown designation'. That way you can hold each other for a long time.
ParlaMint-NL_2015-04-21-eerstekamer-7.u123	I waited for my interruption because I thought the Minister would be more specific with his timing proposal. I assume that will be in his letter as well. He just said what he thinks will be the order. My question was precisely that of having that final picture before the second reading, or at least having a view of the final picture. This means that from now on he will have three years to really shape his direction.
ParlaMint-NL_2015-04-21-eerstekamer-7.u124	I make every effort, but not the result, because that is ultimately up to the States-General. This will have to be done by law, in the next composition of the First Chamber, with all due respect: that will soon be... and then also of the Second Chamber. I hope that will be in 2017. All I can do is commit to the effort, and I will. I'm just passing through a few questions I've asked. Maybe I'll come to a final word. First of all, Mrs Van Bijsterveld asked me if I was willing to have the whole discussion on the subject of municipal governance of the future. Yes, I am. I think the mayor's appointment is an integral part of that. I think we agree on that, too. That is precisely why we are discussing this issue with each other today. I will come back to that in the final word. I have answered Mrs Huijbregts' questions. I do not think that Mr De Vries has quite convinced me yet, that is my impression. We agree that the method of appointment of the mayor and the organisation of the municipal administration are interrelated. I see that as an argument to say: the Constitution is crystal clear. In this context, I would like to quote once again Article 132: The law governs the establishment of provinces and municipalities, as well as the composition and jurisdiction of their administrations. It is then logical that this one aspect, which is indeed related to the rest of the establishment, can be regulated by law. Hence my plea. Indeed, I see the Crown designation of the mayor as a relic from the time when the Empire, and indeed the Crown, wanted to ensure that in those further democratic congregations they did not do things that the Crown did not like. That's where that came from in the end. In the meantime, we have been able to undermine this by the current procedure, but that is as far as we can go. I will come back to that later. Mr De Vries quoted the Dutch Society of Mayors which says that the current situation is workable. I would like to endorse that. I would like to underline that. The current situation is workable and very good mayors are appointed. Only the citizen has no influence on that. If it is to be deinstitutionalized, the ordinary legislator will have to determine whether all this is a desirable situation and whether there are situations in which the citizen can influence it, while preserving the good. I mentioned a number of variants of this in my note. They will eventually return to the discussion in the coming years.
ParlaMint-NL_2015-04-21-eerstekamer-7.u125	Does the Minister not see the possibility of doing something about this citizen's position without this de-constitutionalisation? I would remind you that referendums have even been organised. You can try all kinds of ways to involve citizens in something. Then what is the need for this de-constitutionalisation? In fact, I have to ask: is this deconstitutionalisation necessary?
ParlaMint-NL_2015-04-21-eerstekamer-7.u126	To be very precise, and that was actually what I wanted to say in the direction of Mr Meijer and Mr Thissen, I note the following. In the note I sent, I said that variant I.3 needed constitutional change, as well as all variants II and III. If the city council appoints it, let alone if the citizens elect it, the role of the Crown will in fact lapse. It will only be possible to apply it if the Constitution is amended. That is indeed the position. I say immediately, as simple beta: this is not an exact science, but this is the conclusion about what fits within the limits of the Constitution as we know it now.
ParlaMint-NL_2015-04-21-eerstekamer-7.u127	It's an interesting subject, though.
ParlaMint-NL_2015-04-21-eerstekamer-7.u128	Sure, sure.
ParlaMint-NL_2015-04-21-eerstekamer-7.u129	It may not be an exact science. That's supposed to be more fun, according to you.
ParlaMint-NL_2015-04-21-eerstekamer-7.u130	I didn't say that. I'm happy to be standing here.
ParlaMint-NL_2015-04-21-eerstekamer-7.u131	Maybe I didn't put it right. I meant that in today's municipal law all kinds of things have proved possible to involve citizens in the selection of a mayor. I mentioned the consultative referenda which, in my opinion, were simply withdrawn too early, although perhaps they were not satisfactory. We could have thought about that further. There are also other possibilities in the law. You can, of course, involve citizens in all possible ways. Why do you need this deconstitutionalisation?
ParlaMint-NL_2015-04-21-eerstekamer-7.u132	I do not think I should answer with a second question, but I do ask the question: why do we attach to the Crown appointment when we are seeking to give citizens a greater role in this? If that's what we're after. What is the objection to removing that Crown designation from the Constitution from 1848, after which all options remain open? When people say 'we want the procedure with a trust committee where we do not know who is applying and where we do not know who applied', then that is one of the procedures that is possible. It's also in my review. However, it is also possible to choose one of the other variants. The legislator - that is what you are - then has the room to make a choice.
ParlaMint-NL_2015-04-21-eerstekamer-7.u133	Finally, Mr De Vries.
ParlaMint-NL_2015-04-21-eerstekamer-7.u134	Of course, the legislator has a lot of possibilities because he also makes the Municipal Law. I indicated that attempts have been made in the past to hold consultative referenda, for example. You can organize anything to achieve greater involvement of the citizen. You can turn the question around, but answer my question. Is there a need for this de-constitutionalisation?
ParlaMint-NL_2015-04-21-eerstekamer-7.u135	There are referenda organized earlier and how you appreciate them now is equally verse two. Under the current Constitution, this can and could seem to be done. However, that is a little different from all the variants that I have written down in my note, which relate either to appointment by the city council or direct election by the citizens. Both require a constitutional change. Mr Holdijk spoke about the responsibility for public order and security. I said in the first term that this is an important point. That will also have to be involved in the legislative amendment. By the way, it is not the case that the mayor does so in the capacity of a state body. The mayor is constitutionally only municipal body, even if he or she acts in the field of public policy and security. I wanted to add that. This brings me to my conclusion. I shall look again at Mrs Van Bijsterveld, who has not yet given her full opinion on this matter. I do not know whether I can draw Mr De Vries's line. My plea to you would be to stop the discussion now and to allow it to be looked at at at second reading. In the end, the ordinary legislator can decide what is the best way to appoint the mayor. If this proposal for a constitutional change is to come to an end again, it will be a very long process in which we can look again at the way in which the mayor is appointed. I hope that not only a majority but also a large majority will be able to give the confidence that this proposal will be accepted in a subsequent period, perhaps at second reading.
ParlaMint-NL_2015-04-21-eerstekamer-7.u136	I'm here to deal with the bill. The Group of the Greens/European Free Alliance has asked for a roll-call vote. It will take place next week.
