ParlaMint-NL_2015-03-24-eerstekamer-8.u1	I give the floor to the Foreign Minister.
ParlaMint-NL_2015-03-24-eerstekamer-8.u66	Mr. Chairman. I've got a whole laundry list for me, but given the time, I'll pick out just two subjects. I am deeply concerned about the Middle East and, in particular, the crumbling of the Arab world. I think the same applies to the Foreign Minister. If we ever want to find a solution, we will have to have some sort of dialogue with the constructive forces in the Arab world. I wonder whether attempts are being made to reach a constructive Arab dialogue coalition with countries such as Morocco, Tunisia, Jordan and some wave states. I do not think that the Arab League can really be our partner. Does the Secretary of State see it that way? Has a movement started to do this? I ask this because last week at Clingendael, where I sometimes teach Arab diplomats, I had a whole conversation with a number of Arab diplomats who are equally concerned about what is going on there. They also say that as Arab countries, they must try to get together and be an interlocutor for the rest of the world, especially for Europe, in order to solve the problems. Is that how the Minister sees it? Is the Netherlands committed to achieving that? I think it's an important point. I have two points for the Secretary of Defense. She talked about niche capabilities. One of them is missile defense. The new NATO strategy has announced that missile defense is one of our priorities. The Netherlands has Patriots, a scarce and expensive weapons system, and air defense and command frigates, which are potentially capable of doing maritime missile defense. Isn't that a point like that QRA where we could really do something together in pooling and sharing? The Germans also have Patriots as one of the few other countries. Can we not come to a pooling of these missiles? The maintenance and storage of these missiles are extremely expensive. If a Patriot battery goes to post, then the missiles from the pool can be involved. You can then pay for the valuable maintenance together. Something similar applies to the Missile Defense for ships. In the NATO discussions this has been suggested several times by parliamentarians, but I wonder if it also lives in government circles. In principle, the Netherlands, Germany and Denmark have frigates capable of doing missile defense. They have the launch devices and the radar upgraded. The problem lies again with the SM-3s, the missiles that are needed. They're expensive as hell. Is it not possible for the Netherlands, Germany and Denmark to do the software integration together to make radar systems and launchers suitable for the SM-3? It saves a lot of money if it's done by the three of us. Wouldn't it be an opportunity to pool those missiles and buy, store and maintain them together? If there's a ship in the mail, then missiles are taken out of storage, and when the ship comes from mail, it returns them. I believe that this could lead to a significant reduction in costs. It would also be a great pleasure for the Americans, because because we barely have that capacity in Europe, they had to get back six missile defence frigates from Asia they had sent there. They have had to retrieve them, while in Europe we have potentially twelve ships... four of the Germans, four of the Danes and four of us............................................................................................................................................................................................................................................. I'll leave it at that. Of course, I would like to thank both ministers for their comprehensive reply. I should have started with that. I have to say, I've learned something. That's nicely taken.
ParlaMint-NL_2015-03-24-eerstekamer-8.u67	Mr. Chairman. What good is it to have such an exchange of views today on the many and complex questions in the field of international security, defence cooperation and everything related to it. After all, everything is connected. What is striking in the debate is that we find a great deal of agreement on the analysis of the complex questions. Apart from a single distasteful contribution which has not been repeated in the second term, we have had a very good discussion about this. That everything is connected also affects some of the themes that I would like to highlight once more. I will start with the issue of Frontex and the whole debate on what is happening in the Mediterranean. We received a letter on this subject from the Secretary of State for Security and Justice this evening. This is a little in line with the discussion we have had today on how Frontex's tasks and mandate relate to the humanitarian task and the need to rescue refugees at sea. This concern about the relationship between border management and saving people, between defence and humanitarian commitment, is, as far as I am concerned, the common thread throughout the debate. How do you work on social cohesion within the Netherlands to prevent polarisation? How do you have a joint responsibility, even within Europe, in the knowledge that you are not entirely in line on all fronts? The Minister of Defence has already said that on the one hand it is an illusion, at least in the short term, to think that you can do everything together and on the other hand it is desirable, necessary and possible to take steps. On that point, I would like to underline the question of whether we can take another step further in terms of division of labour. So far, we have largely the philosophy that we could perform a very broad military task, but de facto there are all kinds of specialisation and job alignment, which I think is only very good. As far as I am concerned, there is also the core of defence costs and investments. For my part, let me be clear: the importance of a good military force is paramount. We have a military force that plays a very important, high-quality role, which serves military and therefore humanitarian purposes. This is an extremely important task, especially in this dangerous world in which we have to live together. I would like to emphasise once again the importance of common policies at European level, in foreign and security policy. I agree with what Mr Franken said about the TTIP debate and the risk of giving power to all kinds of non-state actors, in this case companies, to the detriment of the sovereignty of the states and of the states together. I have left the subject of Israel and Palestine in my contribution because of the time, but I would like to endorse what Mr Schrijver has said about it. Finally, here's what I'm gonna say. In the discussion on how we strengthen cohesion in that policy... the idea that everything is related to everything...................................................................................................................................................... This was also underlined in the policy letter and by the Minister for Foreign Affairs. In my opinion, and in the opinion of a number of colleagues, this should be even more specific. We need a little more insight into how we can strengthen the support of diplomacy and development in this world, especially at this time when all attention, rightly, goes to Defence. In that context, I shall table a motion. The President shall: Mr Ganzevoort, Mr Schrijver, Mr Kox, Mr Elzinga and Mr De Vries proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the power of Dutch policy lies in a link between defense, diplomacy and development (3D);]] [[Whereas increased insecurity in the world is often the first to focus on military measures and to put pressure on diplomacy and development cooperation;]] [[Whereas the States-General has repeatedly supported the strengthening of diplomacy and development cooperation in order to prevent destabilisation;]] [[calls on the Government to step up its 3D approach and to promote it at European level;]] [[calls on the Government to clarify how the investment in diplomacy and development cooperation can be increased and brought into line with international standards,]] [[and goes to the order of the day.]] [[She's getting No. kst-33694-D]]
ParlaMint-NL_2015-03-24-eerstekamer-8.u68	I would like to thank the Ministers for their response and their commitment to these important and essential tasks for our country and the world.
ParlaMint-NL_2015-03-24-eerstekamer-8.u69	Mr. Chairman. The government said in its notes that security is not a matter of course. It is therefore useful that we have been able to exchange views and positions in a long debate today. The debate ends in two motions, which have also been signed by my group. One is in line with previous calls on development cooperation and diplomacy, and the other is a justified appeal to do everything possible to give OSCE people the protection we also provide to representatives of other international organisations. I hope the government appreciates these two motions as positive. I thank the ministers for their commitment. I think it's worth it. I see the struggle of the rulers to answer the Chamber on the one hand and let us go to bed before midnight on the other. I also have no comment on the lead of this contest. All in all, I think we've got a fair answer. The Minister of Defence is sometimes encouraged, perhaps by some groups in this Senate, which is all too enthusiastic when she tries to sum up what "the Senate" thinks. The Senate doesn't really find that much. Some groups find something and others find something less. I think, for example, that the Minister's idea that more spending on defence is really necessary, that it cannot be otherwise, can count on the support of some groups. However, other groups feel differently about this. The coalition colleague of the minister will also think a little more nuanced about this than she indicates. It is just that the Minister knows that there are also groups that say that increasing defence expenditure is not the first priority we can imagine. I'm glad the Secretary of Defense said that President Juncker meant his words more nuanced than he said them. But I've known Juncker a long time and I know he never says anything by mistake. He will soon come to Strasbourg, to the Council of Europe, and then I will present to him the Minister's analysis and see what he has to say. I think it must be clear that a European army is a step that goes far too far, including for this Parliament. The discussion of sovereignty is beginning to become a false discussion, said the Secretary of Defense. I doubt that. According to some groups, that may be the case, but sovereignty over your own army is one of the most important areas of sovereignty we have. In my view, "Lisbon" is very clear about the fact that the national parliament and the national government are concerned about this, however easy it may sometimes be to make faster international agreements.
ParlaMint-NL_2015-03-24-eerstekamer-8.u70	Despite the late hour, I am not letting Mr Kox get away so easily. Those who have advocated a broader approach to sovereignty are also talking about sovereignty at our European level and not at international level, just as much as a general cry. It's also about the fact that you occasionally dare to take a step further in what we've built up in 70 years. At least my group does not say no to that. I wonder if the SP stays on that "reluctant."
ParlaMint-NL_2015-03-24-eerstekamer-8.u71	For the time being, my group is saying no to this, because it has been recorded in the context of 'Lisbon'. You cannot yet expect the SP to call for even more "Lisbon" at that point, although I understand that you say that from a defence point of view further cooperation would make sense. Further cooperation is one goal, but not the only one. The abandonment of national sovereignty in this essential area is very difficult for our group. According to the Secretary of Defense, NATO cannot yet retire. I'd be in favour of an ultimate makeover of NATO anyway. I very much believe that we need new security arrangements in the world and that NATO has survived in that sense, but we will not solve that tonight. With regard to the bombing of Iraq and Syria, I would like to ask whether, in the long term, we can obtain a written overview from the Minister: how is collateral damage assessed by the alliance bombing? If there are thousands and thousands of air strikes and if every air strike demands one victim, then we are talking about tens of thousands of deaths. I do not know the figures exactly, but I get too many figures to just assume from the Minister that things are almost always going well. I think there are other numbers. Perhaps the Minister would like to inform the Chamber about this. After all, it is also a military action by our country in another country. We should be informed about this. I would like to thank the Foreign Minister for his analysis of how we should deal with Palestine and the recognition of Palestine. We do not entirely agree on this, but I follow the Minister's line. I appreciate his commitment to keep us informed of developments. I think that at the moment public opinion in Israel has changed, external pressure is really needed because otherwise we will not move forward. I share the Foreign Minister's remark that a return to diplomacy is urgently needed. Especially when I am in Eastern Europe, I am amazed at how little we can achieve by diplomatic means. I have always learned that in times of crisis diplomacy must do its job. If nothing's wrong, all our diplomats can go on vacation. However, if something is going on, they should be working overtime. I hope that the government will be able to gain a little more attention in the future and make a little more resources available.
ParlaMint-NL_2015-03-24-eerstekamer-8.u72	Mr. Chairman. I would like to thank the rulers very much for the comprehensive answer to all the questions. A policy debate does not always lead to harsh statements. The quality of the arguments exchanged is particularly important. Let me support the rulers, especially with regard to the interconnection of internal and external security. Minister Koenders also mentioned it a few times; I assume it is a broader cabinet policy. I like that because I'm really worried about practice and preach. If we continue in the Netherlands with an increasing hardening in the views about each other, we will become less and less credible in an attempt to advance those same values internationally and to find solutions. Hence my emphasis in my contribution to not forgetting the cultural side as well. It's not just gun clatter. I'm not saying that from some sort of pacifist attitude, because I'm really there for that where you have to, you show your teeth. However, we must not forget that other side. If we want to stay away from this increasing polarisation and invest a little more in confidence in each other, I think we are moving forward. This may not be the case in the short term, but I am convinced that in the longer term it will be the only answer on the road to both national and international peace and security. I have one final comment. I've asked the Foreign Minister why the government has stopped supporting the annual memorial of slavery history. It is a national monument and it is a national memorial, but the government withdraws. I don't think that's possible. It may be a strange element in this debate, but it has everything to do with the values I have put forward in the other areas of security policy. You're not credible when you say to parts of your own society all of a sudden: we thought it was enough now after ten, twelve years. That can't be true. I'm curious to hear the answer in second term. If necessary, there will be a detailed written reply, because this is not yet ready.
ParlaMint-NL_2015-03-24-eerstekamer-8.u73	I see the ministers are able to answer immediately. I give the floor to the Foreign Minister. I'm just looking at the clock, and I hope you can do it in half an hour.
ParlaMint-NL_2015-03-24-eerstekamer-8.u74	Madam President. I would like to thank Members for their second-term questions. I would also like to say that it is a very pleasant debate and, in my view, a very substantive one. Questions have been put to me and motions tabled. Let me begin with Mr Franken's questions on cyberwarfare. The reasoning is that cyber attacks can achieve such intensity that they have as much impact on a modern society as conventional warfare, for example. In such a case, the right to self-defense under Article 51 of the UN Charter may become applicable and the NAR may decide to invoke Article 5 through the existing procedures. This is always the subject of political decision-making, in which the Netherlands also acts on the basis of the analyses made in the case of cyber attacks, just like the allies. NATO has agreed that NATO, in close consultation with individual allies, will work to strengthen national cyber defence activities and capabilities. This will strengthen the resilience of NATO and its Member States. NATO may, inter alia, assist Member States through capacity development through training, training and exercises, threat analysis sharing and contingency planning. Member States are themselves responsible for the financing of these programmes. In the Netherlands, cooperation with NATO is carried out through the Minister of Defence. As far as the Netherlands is concerned, cyber attacks that exceed the threshold of an armed attack are also subject to humanitarian war law, the gravy in bello. Where the threshold of an armed attack lies and which rules and behavioral standards apply to cyber attacks below that threshold, it is less clear. The Netherlands contributes to the international reflection on this subject by addressing this issue at the Global Conference on CyberSpace in The Hague on 16 and 17 April. In addition, as side-event, a consultation meeting is organised by the Netherlands on international law applicable to cyber operations outside the context of an armed conflict. With The Hague as the legal capital of the world, the Netherlands can contribute to promoting the international legal order, including in cyberspace. In short, there are also some questions to answer about that case. It is quite complicated, but it is given serious attention by the Netherlands. We are also trying to come up with a number of proposals there. It seems that ISIS has also penetrated Turkey. It has been asked whether international action is being taken against this. We do not have any independent information that this is the case. Of course, it cannot be excluded that ISIS is also active in Turkey, as it can be active elsewhere in the world. Turkey itself has important reasons to fight terrorism. Firstly, the country has often been the target of attacks. In the past Al Qaeda had two synagogues in Istanbul and there have been several other attacks. Furthermore, Turkey faces the threat of these groups, but also of the Turkish Hezbollah, of DHKP-C and PKK. Fortunately, in this latter area, the peace talks are intensifying. Because Turkey is bordering the unstable Iraq and Syria, there is a high risk of attacks, as witnessed by the attacks in the border town of Reyhanli in April 2014 and recently in Istanbul. Turkey therefore supports the global approach to terrorism and has included groups such as Jabhat al-Nusra and ISIS on the list of terrorist organisations. Turkey is also co-chair of the Global Counter Terrorism Forum with the United States. Within this multilateral forum, which we are also in, we look at the way in which we can work even more closely with Turkey because of its great responsibility, which the country also accepts when it comes to receiving refugees. We talked about that earlier tonight. It must also take responsibility for border surveillance in the other direction. A debate on TTIP can be held on its own. On the basis of the assessment of the risks to ISDS......................................................................................................................................................................................................................................................... The Minister for Foreign Trade and Development Cooperation has written a letter on this subject. The aim of the Netherlands is to incorporate the improvements in the ISDS instrument into TTIP. Those improvements focus on limiting access to ISDS, limiting and clarifying investment protection, improved arbitration procedures with increased transparency and appeal mechanisms, high quality guarantees, an arbitrator's independence and clear safeguards for the parties to regulate in the public interest. The four areas on which the Commission intends to pursue the debate correspond to the areas where the Netherlands wants improvements, as well as the proposals made in the paper of a number of Member States to which the Netherlands has contributed. These improvements are aimed at the same goal, namely to ensure that there is not so much a level playing field but that what we have built as a social model in Europe is not undermined by this TTIP Treaty. It has a lot of potential positive consequences, but it is critical of the desirability that it does not undermine what we have agreed with each other in Europe and also at national level. This is why further consideration is being given to the appeal mechanism. It is, by the way, still at the negotiating stage. At Mr Schrijver's address I note that the quartet is indeed not very sparkling. He agrees with me. We can make different assessments of whether the path I have described is passable and whether it leads to success. That is what this is about, and that is what the initiative has to be dealt with, especially when it is still in its early stages. A number of things are being addressed vigorously at this stage. I admit that it is not a change in the world, but the fact is that the first priority is to appoint a new EU Special Representative in the field of the MOVP, Mr Gentilini, who is working as quickly as possible to shape an enlarged EU. This in itself indicates that activism that is now needed from Europe. Mr Schrijver asked how non-state groups should be qualified and how to deal with them. That question is not easy to answer. "Non-State groups" is a container concept, including many different groups, from human rights NGOs to terrorist groups. What these actors have in common is that they are not a state. Moreover, Mr Schrijver has already mentioned the criteria for being a state when we were discussing the recognition of the Palestinian State. For this, the criteria in the Montevideo Convention are guiding. Apart from the common element of not being a state, there are, above all, many differences between non-state groups. These differences relate, inter alia, to their organisation, composition and objectives. Much will depend on the context in which they operate and the resources they use. Non-state groups, for example, may be parties to an armed conflict in the sense of humanitarian war law, even if there is area control. In doing so, it is necessary to consider whether they are using legitimate acts of war or unauthorized tactics which lead to violation of the law of war. Where they serve terrorism, including the discussion we have had earlier, members of these organisations can be placed on penalty lists which determine how they interact with these persons and entities. In some cases, non-state actors can also play an important role in future peace negotiations. There is no internationally accepted or internationally recognised classification of non-state actors. It's also not that easy to make that in abstracto, because it's all in development. The renewal of means of communication also gives us more and more new forms. In each individual situation in which a non-state group plays a role, it will be necessary to consider the specific characteristics of that group and how best to deal with it. A number of questions have been asked about diplomacy. I am grateful for Mr Kox's words on this, and I very much agree with that. Twenty years ago we said that diplomacy might be a bit out of date and that we would do everything faster outside governments and diplomats. The opposite is the case at the moment. We also understand each other again, without drinking tea alone. We have good discussions to reach agreement when there are conflicts of interest. I would point out to Mr Van Kappen that it is indeed a transformation of the Middle East. I do not think anyone knows what this is going to be, for example whether the existing states will continue to exist. In addition, there are major differences of opinion between states, such as the Arab League. There are new strategic regions, such as those around the Red Sea in which Europe also has direct interests and where the traditional differences between a region of the Middle East and Africa are actually once again disappearing and where organisations such as the African Union, let alone the Arab League, with fairly large differences of opinion, are working less well. This means that organization-to-organisation discussions often become quite sterile and that makes it difficult to see how you can then conduct sensible diplomacy. I can only say that the Netherlands has been very active in this area in the past period. In recent times, I have been to Morocco, Algeria and the Gulf States and have spoken with the Egyptian Foreign Minister and Turkey. I've been to Baghdad and Erbil. The whole story is to see, of course, together with colleagues from larger countries, whether we can formulate a number of similar interests in the region. Should an acceptable agreement be reached with 'acceptable' I mean that there is no sign whatsoever of the importance of non-proliferation with Iran, the movement continues so that Turkey also cooperates more closely with the United States, including NATO, that some Arab countries are going to see the problem of ISIS much greater than before, and that this will lead to important developments in regional diplomacy, I believe it is possible to invest in it. I have no illusions, but it has rightly been pointed out that, perhaps at a time of proxy wars, all of which are driven by a number of countries in the region, the core of a diplomatic approach should be. With regard to the OSCE, I would like to say to Mr Schrijver that the OSCE's special monitoring mission has undergone enormous adjustments. I understand very well what he is saying, and I will deal with his motion in a moment. They're not military protected. The conflict has changed since the beginning of the level of violence. That's absolutely true. That got them in trouble. In addition, new tasks were assigned to the mission. We have also worked very well with the government on the issue of the MH17. We are very grateful to the people who have helped us in the mediation between Ukrainian government and separatists. But I insist that it is at the heart of the matter to strengthen the missions. The current mandate has recently been extended by eight months. In that sense, it is the most important game in town. The mission is widely supported. The mandate of the OSCE Special Monitoring Mission in Ukraine has not only been extended by that year, but has also been extended by up to 1,000 monitors. The Dutch Government has made an additional contribution of 36 million. She also focuses on strengthening the mission in order to achieve actual things. I am referring to the drones used to gain access, but also to support the negotiations in that area. We have no fundamental problems with the UN mission. We have the impression that the current approach is the best one. I come to Mr Schrijver's motion on letter C. I consider the motion to be a positive support for the policy. I have a lot of sympathy for the motion. The Netherlands has been striving for international legal personality of the OSCE for many years, precisely because of the essential reasons mentioned by Mr Schrijver: people are at risk and do not have the same protection. So it is about the status of staff and immunity. We want to keep doing that. As far as the political environment in which these new efforts need to be made is concerned, I have to say frankly what the political situation is at the moment. Previously, the US and Russia were opposed to each other on this issue. As a result of the Ukraine crisis, this has only become more extreme. Previously, the Chamber probably knows that a draft convention on the legal personality of the OSCE has been negotiated within the OSCE. Among other things, Russia has put a footnote to the fact that this convention can only be adopted if there is a constituent document for the OSCE. The exercise to arrive at such a constituent document, I do see as risky, because attempts will be made to completely rewrite the existing one. Moreover, the principle of consensus hinders us here and then arrive at a good story. Moreover, the absence of formal status is referred to as a serious restriction on the effectiveness of the organisation. There's something to be done about that. I would classify the lack of formal status as an obstacle, but in practice solutions are found. The best recent example is the OSCE Special Monitoring Mission, which has rapidly and pragmatically closed down the MoUs needed. Nevertheless, I continue to support Mr Schrijver's vision: we simply need to take better care of it and we need to stand behind it. I'm willing to try that again, but I thought it was fair to declare the force field. In the limited space that exists, we continue, supported by the Upper House. I am going to examine these possibilities and, in principle, report them to the Chamber at the time Mr Schrijver mentioned. I would like to say a few words about the internal hardening of views about each other. I agree. You can see that in our diplomacy in the world. It is not just about the harsh language, but also about the reflection of what is happening within the Netherlands, by the way, entirely on the basis of freedom of expression. That also reflects on how the rest of the world looks at us and vice versa. We have images of countries, based on CNN or Nu.nl and often very small fragments of a debate in another society. Judgement is good, there may be sharp dangers to the wind, but of course there are limits to that. Mr Van Boxtel asked a question about the slavery monument. For the Dutch Government, the element of slavery is not suddenly something that it no longer considers important, quite the contrary. I think that every sane person can sense how extremely important that is, not only for large parts of our own population, but also internationally. I will therefore contact my colleague from SZW who is talking about this. I do know that there will be a number of discussions with all the organisations involved this month. If not, it's next month. It will look at how, in the decade on this subject, we can talk about a symbolic ten-year programme for people of African descent with the various groups, which will discuss the celebration this year and the support of the government.
ParlaMint-NL_2015-03-24-eerstekamer-8.u75	For the sake of clarity, I do not advocate further continuation of research. I really only focus on the annual national commemoration of the past of slavery, as a lesson for the future on how to deal with our past, with the inhabitants and perhaps with other population groups that it may affect later. We have also had such discussions about people from India and about the Moluccas. In this security debate, to which we attach internal and external security, I find it almost impossible for the cabinet to say: we no longer believe that we support the annual commemoration. That can't be true.
ParlaMint-NL_2015-03-24-eerstekamer-8.u76	I've listened to you very carefully. I will, of course, convey this message to the Minister concerned. I understand the message behind it. Let there be no misunderstanding about how this Minister looks at this problem. Also know that the Minister of SZW and I also thought that OCW's are having those talks this month. I assume it is also possible to inform the Chamber about this. Your call is clear. The Dutch government sees an integrated approach as the essence of its policy. If I were here together with the Minister of Defence, the Minister for Foreign Trade and Development Cooperation could have been there too, we would be working in a completely integrated way. The Chamber can count on that. We do this daily and we discuss it. I think that's essential, too. In all the examples we mentioned this evening, it was about the 3D approach. I mentioned that in the update of the security note. This is how we look at the intensification of our efforts: from the common need to strengthen the security and peace of the Netherlands and Europe. In that sense, we have heard the call from this Chamber well. That applies both to the Secretary of Defense and to me. We are living in an unsafe world, which means that the political investment - or that is a financial investment - is going to mean that we are going to go for that security. But that's an integrated story. This means that I am tabling Mr Ganzevoort's motion. in letter D as support of policy, if it is interpreted in a certain way. I cannot anticipate the discussions to be held in the Cabinet on spring note and budgets; that is not the issue here. The support of the 3D approach mentioned in the motion cannot be interpreted too lightly. Each mission and every political approach to conflicts, look at Syria and Iraq, each time it is indicated what the 3D approach is. I therefore agree with the first recital of the motion. With regard to the second recital, 'whereas the increased insecurity in the world is often the first to focus on military measures', I wonder whether that really applies to the Dutch Government. To be honest, I don't think so. "Often" is just too vague for me. Anyway, that's a consideration. "In view of the fact that the States-General has repeatedly advocated the strengthening of diplomacy and development cooperation to prevent destabilisation," I think that is fine. That is at the heart of what the cabinet stands for. "Calls on the government to step up its 3D approach and to strengthen it at European level." We don't have a problem with that. "Asks the government to make it clear how the investment in diplomacy and development cooperation can be increased and brought into line with international standards." Yes, we are going to make investments transparent in the light of the Van der Staaij motion, which deals specifically with the armed forces. Following the Van Ojik motion, we have used Sjoerdsma resources to ensure that diplomacy is in order. Look at the recent intensifications of the intelligence apparatus, for example. This is also about internal and external security. This is also an element of the 3D approach. There is therefore a responsibility of intelligence services, but also of the Ministry of Foreign Affairs. The request to bring this into line with international standards is fine, insofar as it is in line with the policy that has been set out so far in the agreements made by the Cabinet on this subject. I'll leave the verdict on this motion to the Chamber. I see the motion as supporting policy within the interpretation I have just given.
ParlaMint-NL_2015-03-24-eerstekamer-8.u77	Mr Ganzevoort, may I ask you to be very brief in view of the time?
ParlaMint-NL_2015-03-24-eerstekamer-8.u78	Of course. I'd like to go to bed. It's good to get it straight. The motion is certainly intended to support the policy. In that last point there is a bit of the sting; I understand that very well. The alignment with international standards refers to whether we can reach the OECD standard. It can be formulated more clearly, but I understand you'll get into trouble. It is a repeated appeal, also from this Chamber, to outline a way through which we can return to that point where we have been and on which we should return to the conviction of many, hopefully also of this cabinet.
ParlaMint-NL_2015-03-24-eerstekamer-8.u79	The motion deals with how the 3D approach can be shaped in a way that provides sufficient funds for the three elements: defence, diplomacy and development cooperation. You're talking to a former Minister for Development Cooperation. Let there be no misunderstanding about that. There are international standards in this respect. They're important. But what is stated in the motion is basically an intensification on the basis of the agreements made in the cabinet.
ParlaMint-NL_2015-03-24-eerstekamer-8.u80	Mr. Chairman. Stealth technology does not make aircraft completely invisible. That was never discussed during the F-35 debate. However, this technology makes it more difficult to pick up aircraft. That's kind of the core of stealth technology. I think it's a good thing that the development of sensors is taking a huge flight. That will only increase further. The statements to which Mr Franken refers, if I still have them clearly on the retina, have a relationship with the possible consequences outlined for the so-called sixth generation yacht aircraft. But the F-35 is a fifth-generation plane. It's very "if so," "maybe" and "ten strokes to the arm." At the moment, I have no indication that the US Navy would like to adjust the number of F-35s down. The fact that people are careful about decorating stealth technology is so realistic because there will always be a race in technology. Look at the current hunting flies, like the F-16. The current F-16 is almost impossible to compare with the F-16 at the time of introduction, as it has had a lot of updates and upgrades. That's what's gonna happen to the F-35. If Mr Franken is okay with this, I am not sending a letter, but the Chamber is informed about this in the amount of progress reports I am already sending about the replacement of the F-16. The stealth technology and the race that is going on in relation to sensors and other technological developments will of course be discussed again and again. Again, I have no indication that the US Navy is going to order less F-35s, JSFs. That is an important conclusion.
ParlaMint-NL_2015-03-24-eerstekamer-8.u81	Mr. Franken, please, briefly.
ParlaMint-NL_2015-03-24-eerstekamer-8.u82	Very briefly, Mr. Chairman. I agree, provided that you promise that these progress reports on the new technology, and in particular on this technology, which seems to be quite remarkable, will be reported so that we can get an explanation of it.
ParlaMint-NL_2015-03-24-eerstekamer-8.u83	I have agreed on the other side to send a progress report in the near future according to the timetables. I am very willing to send that same report to this Chamber. It will also address the technology presented by Mr Franken. It's a fat suit, but I'll ask the Chamber to read everything! Mr. Chairman. Mr Van Kappen made a number of suggestions on the maintenance of the Patriot missiles. This is already on the wish list of further cooperation between the Netherlands and Germany. I'm not clear on the retina whether the pooling of the missiles is sufficiently addressed on that wish list. That wish list of cooperation between the Netherlands and Germany is long. You can't pick up everything at once, so some things around the Patriots have also moved a bit further in time. Because we were in Turkey together, we wanted to speed up very quickly. However, since there were some specific deviations from the systems and thus from the demands that were made on our people, we decided to hold off for a moment. I do believe that this should now be speeded up. I will then immediately involve the pooling of the missiles as such. I just wanted to talk to you about the LCFs. The upgrade of the SMART-L radar is under way. We know that. Last year, also in the run-up to NATO summits, we discussed this on several occasions. There is a study on sensor integration, in which the Netherlands and Germany play a role. Denmark is a little more complicated. That was also a discussion point during the upgrade of the SMART-L radar. It examines how the SMART-L sensor on Dutch and German ships can be used to fire and conduct missiles from other ships. Pooling of the missiles is not yet on the agenda. The missiles are delivered by the United States; Mr Van Kappen may know that even better than I do. The United States, but especially the other allies provide the sensors. Let there be no misunderstanding that the discussion about the possibility of pooling the missiles does indeed take place within NATO. It's just not on the agenda right now. I can say that the Netherlands has taken a very positive stance in this regard. In the next report on the further international cooperation of the Dutch armed forces, I hope to provide the Chamber with more information on this.
ParlaMint-NL_2015-03-24-eerstekamer-8.u84	I propose that we vote next Tuesday on the motions tabled.
