ParlaMint-NL_2015-09-29-eerstekamer-8.u1	I have already welcomed the Minister of Health, Welfare and Sport to the First Chamber.
ParlaMint-NL_2015-09-29-eerstekamer-8.u190	Thank you for the explanation, but it is not quite clear to me why that limit is exactly there. It is stated that the specification of whether or not to promote or monitor health is not necessarily decisive. However, it is not just about the body, but also about the spirit. The question then is whether a mental caregiver should not be included in the concept. I am not concerned that this person should be brought under the law, but I am concerned about what the reasoning was that they were not covered by it.
ParlaMint-NL_2015-09-29-eerstekamer-8.u191	We have very strictly named what is covered by Zvw, so that you can cut for the Zvw with a scissors what is and what is not covered by it. That is why I think Mr Ganzevoort's question is a real one. We use a much broader definition here, so it may not always be very precise to cut with scissors. The whole process in the Second and First Chambers and everything that has changed in the Chambers about this proposal is part of the history and application of the law. We have also discussed in detail the additions we are making in the House of Representatives. But I agree with Mr Ganzevoort that this is not always a very precise limit. Alternative care is also such a fluent and vague concept of care.
ParlaMint-NL_2015-09-29-eerstekamer-8.u192	If we do not agree on the question of when a law applies, we do have a problem.
ParlaMint-NL_2015-09-29-eerstekamer-8.u193	The person providing the care must register in a health care register. The inspection shall supervise that profession and the profession shall be delimited accordingly. If you're a preacher, you don't get into the health records and you don't get under the inspection. So it's not random. However, there are actions that you may wonder if that is ggz-like concern that falls under the alternative circuit. Anyone who is registered in the healthcare register shall also be deemed by the inspection to comply with the Wkkgz.
ParlaMint-NL_2015-09-29-eerstekamer-8.u194	That's exactly my problem. The care provided by mental caregivers and pastors is sometimes very close to the ggz. It is not clear to me why we should say to them: you do not have to register, or you must register. The criteria laid down by the law on the definition of care are not clear to me.
ParlaMint-NL_2015-09-29-eerstekamer-8.u195	I find them much brighter with pastors than with beauty specialists. They are not included in the register as a health care provider, but they do work with laser devices and they inject all kinds of resources. This cosmetic industry will indeed come under the law. Preachers and fitness trainers obviously don't. A directive has been introduced into the law for what is covered by the concept. There are a number of handouts, such as the register and the fact that the actions must be medical. In alternative medicine, you always have a less defined area. Anyone who calls himself an alternative physician and performs cancer therapies does not comply with everything we have included in the quality law. However, he is subject to this law. The aim of this law is to prevent the legalisation and economicisation of the complaint system altogether, because it is precisely the case that it is committed to dialogue. I think I have explained that sufficiently in my response to previous questions.
ParlaMint-NL_2015-09-29-eerstekamer-8.u196	Do I see the last piece of paper?
ParlaMint-NL_2015-09-29-eerstekamer-8.u197	Yeah, I'm with the last spokesperson. That is the question of the PVV about the state of play of the modification of the WGBO. The modification of the WGBO is in the final phase. Then she must go to the Council of Ministers and to the Council of State. So it's gonna be a while before she gets sent to the Chamber. The delay was caused by complex cases, such as parental access rights in the files of, for example, deceased adult children. That kind of dilemma is in that law. About the retention periods has been stowed for a very long time. In the end, important choices had to be made about this. It's been delayed a little bit, but she'll be here soon. I'm getting to the feasibility. We need to limit the abuse of the right to complain. Asked what possibilities I see for that. There may be a group of complainants who complain a great deal and are never satisfied. The law allows providers to develop an approach for these specific multi-layers. For example, the dispute authority may request fees or declare cases inadmissible because of unreasonable conduct of proceedings. Moreover, such situations have never occurred before in the current dispute committees. Is there any consensus and clarity as to how the work should be organised? With what people and resources does this happen and can we do so with the current cuts? The Wkkgz provides that care must be organised in such a way as to ensure that it is provided with human and material resources that it reasonably leads to the provision of good care. "Good Care" is a concept in the Health Insurance Act that depends on the state of science and on the directives adopted. Money cannot be a reason not to provide certain care. Suppose you have a certain type of cancer, and that includes an extremely expensive medicine. If that medicine is in the package and there is a medical need for the medicine to be used, the patient should just get it. Money can't be an argument for not getting it. If you don't get it, you can go to a complaint board. By the way, I'd go straight to the inspection if I didn't. That's what I'd recommend to everyone, because that's a lot faster. I do not see any ambiguity in that regard. Mr Van Hattem asked how in practice to deal with a desire of spiritual support by, for example, an extremist imam or fill it out. Healthcare providers are not required to meet the extreme requirements of a patient but to meet reasonable requirements. As an example, he suggested someone who sits in a Thomas house demanding that there be a separate room for women and men. That's not a reasonable demand. You don't have to live up to that. If you are lying on your deathbed and want to receive spiritual care from a certain imam that you have designated and that is nearby and available, that is a reasonable requirement and a healthcare provider must comply with it. The effort is made to meet, as reasonably as possible, the requirements of life. Mr Van Hattem asked if there was specific attention in the AMvB to violence such as genital mutilation. He said: these people must be dealt with and punished. I can be very brief about that. Genital mutilation is a crime and therefore a criminal offence.
ParlaMint-NL_2015-09-29-eerstekamer-8.u198	The text stated that the starting point was that conciliation would take place first, including in cases of honour vengeance. Is that still the starting point for a possibly imminent AMvB?
ParlaMint-NL_2015-09-29-eerstekamer-8.u199	Anything that's criminal, you shouldn't try to solve through mediation. If there are criminal offences involved, such as rape, genital mutilation or an estimate to kill someone, whatever, then you shouldn't go to a mediator. You'll have to go right into criminal justice. So we are in complete agreement on that. The complaint procedure is intended in case you think you have been treated unjustly and mediation can actually add something. So I do not think we have a difference of opinion on this.
ParlaMint-NL_2015-09-29-eerstekamer-8.u200	In this case, I was talking about the code.
ParlaMint-NL_2015-09-29-eerstekamer-8.u201	There's a code of domestic violence. It indicates that domestic violence should not be kept silent if you notice it, but that you actually report it. That is precisely what is aimed at that there is action to put an end to it, rather than thinking that you do not need to talk about it in the context of the relationship of trust. Mr Van Hattem said a number of things about registration, ultra-registration and disclosure of all indicators. Let us be very clear: it only makes sense to register something if it actually says something about what is being delivered. No one at all benefits from registering and driving each other crazy with a hundred indicators that actually say nothing about how good care is. The caregiver doesn't see the point of it and goes crazy about everything he has to fill in. It doesn't help the patient, because it doesn't say anything about the quality of care. So let's not make each other crazy. It's about the things that say something about the quality of care. Let us concentrate on that. This gives us a real insight into what is being delivered. Mr Van Hattem gave an example of mortality rates. It is clear that an institution with very complex patients who are severely ill has a higher mortality rate than any regional hospital that does gallbladder operations in particular. That is why we agreed with each other that these figures should be corrected on care gravity, that there should be a case mix correction and that institutions should be able to explain or explain themselves: we are in an area where people are generally in the hospital at their last stage of life. I totally agree with those who say: registering to register gives false security. That is absolutely not what I am looking for with this bill. I hope I've answered all the questions.
ParlaMint-NL_2015-09-29-eerstekamer-8.u202	Mr. Ganzevoort would like to ask you a few more questions.
ParlaMint-NL_2015-09-29-eerstekamer-8.u203	I must admit that I did not ask it very explicitly, but in the technical questions at the beginning of the AWBZ statement I pointed out that the reference in Article 3 to Article 1 in the text of the legislative proposal was no longer entirely correct.
ParlaMint-NL_2015-09-29-eerstekamer-8.u204	I shall return to these two things in the second term, as well as to the question of whether anything is laid down in the implementing provision or in the law.
ParlaMint-NL_2015-09-29-eerstekamer-8.u205	Mr. Chairman. The CDA Group supports the intention of the law to improve the quality of care and complaint and dispute procedures where possible. There is also support for more customer-oriented care and accessible, fast procedures. We have raised a large number of concerns that we have heard from the field about the quality and the impact of the law. They dealt with regulatory pressure, the position of dispute committees, quality, short deadlines, consistency with other legislation, unclear definitions, unwanted effects, legalisation, claim culture, the limitation of learning ability and so on. Other groups have added important points to this. It was striking that almost all groups expressed similar concerns. The CDA Group has asked a large number of specific questions. I mentioned the themes. We thank the Minister for her response. A number of points have been clarified. On a number of points there appears to be a difference of assessment as to the drafting of the legislative proposal. This indicates not so much a difference between the CDA and the Minister, as Mr Bruijn suggests, but a difference between the field and the Minister. On the other hand, I would like to point out that the Council of State has indeed raised problems with the combination of complaints and claims and indeed talks about the risk of judicialisation. This is not only about the original bill but also about this bill. There are more points to mention. It's about a difference in vision. The Minister is optimistic and in fact says: the intention is good, so this bill will automatically improve. But that's the question. We have one specific question on the settlement of disputes. We had asked not to dedicate this exclusively to the SGC; all the dispute bodies should be able to do so. I think the Minister has confirmed that. I'd like to hear that again. I can hear her say that any dispute body would have to comply with the qualification system, as it is with the SGC. Does that put other initiatives for dispute committees at a disadvantage? How does the Minister view this? The members of the CDA Group have listened carefully to the Minister's replies. We know that she can speak well and explain the purpose of the law properly. We have been able to see that again. Over the next few days, we will consider whether the answers are sufficient to give the legislative proposal the benefit of the doubt.
ParlaMint-NL_2015-09-29-eerstekamer-8.u206	Mr. Chairman. First of all, I would like to congratulate colleagues Don and Bredenoord on their maiden speech. I have heard Mr Don sigh that he does not find it easy to be the Socialist Party spokesman at this time. I can imagine. Should it really be too much for him, he is very welcome at the VVD. At least he doesn't have to change the color of his tie, as you can see, but perhaps the color of his insights. I can strongly recommend to him the last two VVD election programmes as well as the next one. I'll be happy to go over them with him, too. My group would like to thank the Government, and in particular the Minister, for the very comprehensive answer to all the questions. Contrary to what Mrs Martens just suggested, my group does not think there is a contradiction between the field and the minister, but between parts of the field and the minister. From the field we have also received messages of support. There are gremia, including the Inspection, who would like this to be introduced quickly. There are those who think it is an unnecessary law, because they themselves have been working like this for a long time. And there are also gremia who have concerns or perhaps have had or have some by now, about matters such as legalization, costs and so on. We have asked questions about this to the Minister. It has given a very comprehensive and convincing response to this. I will therefore advise my group to vote in favour of this proposal. My final point concerns the scope of the Wkkgz in relation to the Wmo. I would like to say something about this, because there is now a discussion on that point. As far as my group understands, the cabinet has opted for decentralisation of parts of the AWBZ to municipalities and thus for a separation between heavy long-term care and other long-term care. As a layer of administration close to the citizen, municipalities are now in principle responsible for this. So the mindset is basically the same as in this bill: care is brought closer to the citizen himself. The legislator has therefore decided that the establishment of rules on quality, complaints and disputes in the field of WMO is the responsibility of the municipalities. That makes perfect sense. It would actually be very strange to get that out of there. In her reply, the Minister referred to the Van 't Wout amendment c.s. on the Wmo 2015. That is Amendment No 33.841 No. 83. First of all, it should be noted that, following the adoption of that amendment in the Lower House, that law was also adopted in this Chamber on 8 July 2014. A large majority voted in favour. Let us zoom in on the content of the amendment. That amendment was actually about the deletion of a provision on governance structure and management as well as on the allocation of responsibility for complaints to the providers by the municipalities. What were the objections in the Lower House, which apparently the Upper House has also agreed to? After all, the First Chamber did not bring that provision back in the legislative proposal, as far as it could. It was then considered undesirable to do so, and this Chamber followed it up by requiring each city council to impose by regulation requirements on the healthcare provider with regard to the handling of complaints and participation. So that is quite different from what we are dealing with in the Wkkgz. Today we are talking about a specific form of the complaints system, namely complaints officers and dispute committees. According to the applicants, this would entail a great deal of administrative burden for municipal authorities and healthcare providers, and apparently it is also followed here. There could also be an uneven playing field for providers when municipalities impose different or contradictory requirements.
ParlaMint-NL_2015-09-29-eerstekamer-8.u207	Mr Bruijn repeatedly says that apparently this Chamber felt the same or that it agreed or followed. I did not read Mr Bruijn's speech entirely back then, but I think it goes too far. The fact that a law has been passed here in its final amended form does not necessarily mean that that amendment has also been approved by this Chamber as such. The whole package has been adopted here, but I do not think that Mr Bruijn can say that this Chamber has followed the reasoning of the House of Representatives, because that is something else.
ParlaMint-NL_2015-09-29-eerstekamer-8.u208	I note that the bill has been amended in the House of Representatives and that the amended bill has been adopted here. We agree on that. That was with broad support, at least in the Lower House. What was it about then? Firstly, it concerns the provision that each city council is obliged by regulation to impose requirements on the healthcare provider in respect of that scheme. That seems to me to be something quite different from the Wkkgz. Secondly, it concerns the provision that municipalities in the regulation at least determine the requirements for the governance structure and the management of providers. That seems to me to be something completely different from what we are discussing here today. That was considered undesirable, and that was accepted here. Subsequently, a provision on governance structure and management was deleted and the amendment provided for municipalities to be able to determine in the regulation what provision they consider to be necessary for a complaint system or a co-determination scheme. So that's settled now. I will advise my group to take a good look at this before we step over a number of things too quickly and do something that we really do not want to do. I think it is quite right for the Minister to say that she is going to wrist first in the House of Representatives or that there is any support for this; I interpret this just the same; the Minister should confirm or deny it in her term of office under the Wkkgz of the Wmo. If that is the case, then I assume that the Minister will first submit it, in whatever form, to the House of Representatives before returning here if it is a legislative amendment.
ParlaMint-NL_2015-09-29-eerstekamer-8.u209	Mr. Chairman. You see, I'm gray. I will honestly confess to this Chamber: I once, in the past, voted VVD once. You see it: wisdom comes with years. So, how old are you, Mr Bruijn?
ParlaMint-NL_2015-09-29-eerstekamer-8.u210	Older than you think, I think.
ParlaMint-NL_2015-09-29-eerstekamer-8.u211	Do I hear another batch through this? Anyway, it is a special day today and if you are also invited to the VVD! I'll be brief. I've got a few small points. I welcome the Minister's comprehensive reply. I would just like to briefly touch on two points. This concerns in particular the support of the first-line professionals for the change that awaits them. I have just mentioned this in my interruption, but I cannot stress enough that this must be done in a constructive way and that the first-line professionals and the industry organisations are also involved. This also applies, of course, to client and patient organisations. There will also be a change in this direction, and there too the message will have to be announced. I think about organisations like the NPCF, Care Interest and Each one(in). Should this bill become law, I would ask the Minister to involve them and to draw their attention to the fact that something is going to change for patients and clients. We are pleased to say that my third point is that the Minister has promised to go back to the House of Representatives and to try to include the Wmo in the scope of the Quality, Complaints and Disputes Act. We're very happy about that. We would like to emphasise that joy once again in the form of a motion. The Chamber received that motion. Maybe the SP can get some support for that. If that's the case, we'll report in the course of this week. The SP will also discuss this week how it relates to this bill.
ParlaMint-NL_2015-09-29-eerstekamer-8.u212	Did I hear you speak of a motion, Mr. Don?
ParlaMint-NL_2015-09-29-eerstekamer-8.u213	Yes, I understand the motion was signed by five people.
ParlaMint-NL_2015-09-29-eerstekamer-8.u214	I have to read out that motion for a resolution.
ParlaMint-NL_2015-09-29-eerstekamer-8.u215	I didn't know that. It's my first day, too. The President shall: Mr Don, Mr Ruers, Mr Meijer, Mr Wezel and Mr Köhler proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Quality, Complaints and Disputes Act (Wkkgz) is limited in scope to the areas of care of the Health Insurance Act (Zvw) and the Long-Term Care Act (Wlz);]] [[Considering that this includes clients under the Social Support Act (WMO) outside the domain of the Wkkgz and as a result the undesirable situation arises that supervision quality and complaint law are filled out differently for clients under the Wmo domain on the one hand and the Zvw and Wlz domain on the other;]] [[calls on the Government to include the Wmo within the scope of the Wkkgz Framework Act,]] [[and goes to the order of the day.]] [[She's getting No. kst-32402-P]]
ParlaMint-NL_2015-09-29-eerstekamer-8.u216	May I ask Mr Don for a brief explanation? If I read it correctly, this motion does not ask the Minister to examine whether and how the Wkkgz could fall within the scope of the Wkkgz, whether there is sufficient support for it in the Lower House and how it could subsequently take shape, but to at least, in any case, include it within the scope of the Wkkgz Framework Act, regardless of the outcome of that pol process of the Minister, if I may call it so disrespectful, and the various ways in which it could be shaped. Is that right?
ParlaMint-NL_2015-09-29-eerstekamer-8.u217	That's right. Research is a first step, but eventually you investigate something for a certain purpose. It would be nice if that goal were to be achieved.
ParlaMint-NL_2015-09-29-eerstekamer-8.u218	Madam President. We thank the Minister for the answers we found convincing. When I was asked how many minutes I wanted to speak, we were at the stage where I had not yet heard the answers to my questions. I've heard that one by now. Our questions have been answered. We believe that this law really represents an important step forward. We support that step. We would like this law to go through. Then I come to the point raised in the motion. There is already a commitment from the Minister, namely to probe the situation in the Lower House. I think this is the most important thing. In our view, that would render the motion superfluous. I want to give that process priority, also because you don't know exactly how the feelings are there. Again, thank you. We think this is a persuasive action by the Minister. I will advise you to support this law.
ParlaMint-NL_2015-09-29-eerstekamer-8.u219	Mr. Chairman. I would first like to congratulate Mrs Bredenoord on her maiden speech. I think her input has shown that she is very concerned about this issue. There's probably gonna be some nice thought formations. I welcome the Minister's answers. I think she has shown convincingly that in the triangle of client, care provider and health insurance provider, in particular, reinforcement is needed on the client's side. This bill is an important contribution to this. Inside, the core is the conversation to solve problems. In my view, that is the most common sentence: to establish dialogue, to achieve good things, if care does not go as intended. The explanation of the Dutch Health Information Point also shows that clients who are sometimes weaker in their relationship with the healthcare provider will be supported in their way there. We also thank the Minister for her commitment to look at the full functioning of the law, as a kind of framework law, with an impact of the WMO. In the context of the relationship between the First and Second Chambers, I agree with Mr Kuiper that there should first be an exploration of how that lies with the Second Chamber and what was behind it. It should not now be a clear commitment for the Wmo, but we thank the Minister for her willingness to discuss this with the House of Representatives. It has also undertaken to consider how to bring the Youth Act under this law, so that it is clear to clients that there is one framework, by whomever the care is provided. At the same time, it creates a level playing field for everyone in healthcare. We also thank the Minister for her willingness to explore what chain care or network care means in the context of healthcare. It has also promised to bring this issue to the attention of the Health and Society Council. We welcome the Minister's commitment to discuss implementation with the field if this bill is adopted here. Like Mr Don, I think it is important not only to look on the side of the healthcare provider, but also on the side of clients to see how the grassroots can be supported to give it hands and feet. I hope that the Minister will also support the strengthening of the client side. We hope that the results of the evaluation study will show what we intend to do with this bill, namely to strengthen the position of the client in the broad system of care, which goes beyond the Health Insurance Act and the Wlz. I will advise my group to vote in favour of the bill.
ParlaMint-NL_2015-09-29-eerstekamer-8.u220	Mr. Chairman. I can also keep my second term short. I agree with the words of appreciation to the Minister. The answer was decisive, businesslike and particularly substantive. Thank you for that. We were already in a positive position in relation to this bill. The Minister's response has certainly contributed positively to this. I am very curious to see what the consultation mentioned by the Minister is about, to see how the House of Representatives is about bringing the Wmo under the scope of the Wkkgz. We'd like to wait and see where this round leads. I am also grateful for the reassuring response when it comes to reporting obligations on sexual misconduct. There is no limitation, as I thought before. For the rest, all my questions have been answered very well, so I will leave it at that and I recommend that my group vote in favour of this bill.
ParlaMint-NL_2015-09-29-eerstekamer-8.u221	Mr. Chairman. I started my group's input today with concerns about but also support for this bill. Support focused mainly on the quality aspect of the law, on the intention to improve complaints and dispute paths, also in view of the poor evaluations, and to strengthen the patient's position and thus contribute to patient rights and to a more equal relationship between aid provider and patient. These positive points, of course, remain. In addition, on behalf of my group, I have also expressed a number of concerns, which are mainly related to legalisation, increased claim culture and the question of why there is no longer investment in de-escalation, in the front section. I would like to thank the Minister for her very comprehensive answers and specifically for the following two commitments. The Minister has addressed in detail our demand to invest in this informal route, the front route, in order to contribute to the cultural change needed to actually de-escalate, to get that good conversation going and to develop best practices in this area. I would also like to thank the Minister for the commitment to monitor annually the figures on whether or not complaints and claims increase. I hope, therefore, that the Minister will comment on the training aspect that I have just mentioned and on the actual learning of those best practices. I have one more question in response to the Minister's reply. My group supports the extension of the Wkkgz to what is called the other healthcare providers. I believe that the Minister mentioned a number of 40,000. That's a lot of them. They all come under the supervision of the IGZ. Could IGZ have all this? If not, are additional measures needed to check whether those other healthcare providers indeed meet that criterion of non-damage? My group has expressed concerns and hesitations about the legalisation and the culture of claims. The Minister has given a very comprehensive answer. After the two commitments on monitoring and investing in the informal process, our hesitation has not been completely removed, but it has become much less. At least I have the feeling that the finger will be held on the wrist. As far as the motion is concerned, my group is sufficiently satisfied with the Minister's undertaking that she will go to the House of Representatives on the opinion on enlargement to the Wmo. I'm rounding up. I will advise my group to vote in favour of this bill.
ParlaMint-NL_2015-09-29-eerstekamer-8.u222	Mr. Chairman. I thank the Minister for answering the many questions. You can actually respond to two levels and look at the questions, a technical level and a political weighting level. As far as the political weighting is concerned, I have been taken into account in many respects by the Minister's speech. We already shared the intentions. Let us share the hope that it will be good and not wrong, even though I am not convinced in all respects that there are not perverse incentives after all. As far as the technical aspects are concerned, I am honestly not convinced. A few small points will be answered, but I am particularly concerned about the two main points I mentioned. What exactly is the scope of the law, how is "other care" defined and is there even a clear definition at all? Apparently, it's obvious to the Minister, but it's not for me. As far as I am concerned, the wordings are inadequate for a careful definition. To be honest, I think that is an important point in a law. First of all, you ask what a law is and what it isn't about. If that's not obvious, I don't know exactly what we're talking about and how we're dealing with it. I am glad that the clergy do not fall under the law, but frankly I think that some clergy do more harm than beauty specialists, at least in certain treatments. So I'd like to be clear about what it's all about. In addition, I am absolutely not convinced of the discussion on nemo tenetur. To what extent are you obliged to report anything that could get yourself into trouble? The Minister has also given an extensive reasoning on this subject, which I find to be technically unconvincing. In general, I can say that the intentions of this law seem good to me. I don't always think the wording is convincing, but sometimes that's what you have to do if you don't get out of it with each other. Yeah, you could call in a dispute committee, but that might go a little too far in this room. There's a motion. We need to think about what we're doing with that. We can always say that next week. In general, I would rather hear a promise from the Minister than a statement from the Chamber.
ParlaMint-NL_2015-09-29-eerstekamer-8.u223	Mr. Chairman. I would like to thank the Minister for his comprehensive and very enlightening reply. Yesterday, Patient Federation NPCF brought out the message that almost half of the people have had to deal with a medical error. For all these people, it is an important support that this law can contribute to their position. As PVV we are really convinced of that. At the same time, it is clear that there are limits to reasonable demands. I've just noticed that. I will discuss the motion with our group. I can give our group a positive opinion on this bill. So far.
ParlaMint-NL_2015-09-29-eerstekamer-8.u224	We've arrived at the Minister's second term. She's not gonna be able to answer right away. That is why I shall suspend the sitting briefly.
ParlaMint-NL_2015-09-29-eerstekamer-8.u225	I give the floor to the Minister of Health, Welfare and Sport.
ParlaMint-NL_2015-09-29-eerstekamer-8.u226	Mr. Chairman. As a result of the first deadline, I had a number of answers to give. In the law, the word AWBZ still exists while it has long been replaced. It has been said that there is nowhere to be found or that is being changed. Article 12.1.16 of the Long-Term Care Act provides for an adaptation of the provisions of this Act. The reference in Article 3 to paragraph (f) of Article 1 (1) is indeed incorrect. That will be modified in the VWS Sweeping Act. Does the law, the AMvB or the implementing regulation state that the prosecution can access data from the VIM in the event of serious criminal offences? The law provides for protection against the use of data in criminal proceedings. Where data cannot reasonably be obtained otherwise, the Office may use VIM data for criminal evidence. There are strict conditions before the D.A. can obtain data from the VM. They're in a clue to the D.A.'s office. Among other things, the condition is that the judge-supervisor must agree to an action and that it must be serious offences, murder or manslaughter. Where does the judge's commissioner have to agree to the prosecution's request for information from the VIM? This is stated in the "Investigation of facts/criminal investigation and prosecution in medical matters." I would like to thank Members for their second term. I hope that in the first term I indicated that I am not in a position to make things better if the intention is right. I don't think that's the way things should be arranged. I think this is of a different order: if we take care of it better, it's better. It was asked whether disputes could be settled for all dispute bodies. That's right. There is no obligation to join the national dispute settlement body. We're gonna let that go. So you can set up your own arbitration body, but it has to meet the recognition requirements.
ParlaMint-NL_2015-09-29-eerstekamer-8.u227	So they have to meet the recognition requirements as they are now with the SGC?
ParlaMint-NL_2015-09-29-eerstekamer-8.u228	Yes, they must also meet the recognition requirements. V and J have a set of requirements and they all have to meet them, including any new ones that may need to be set up. Mr Bruijn quoted something that was deleted. That's right. This was about requirements regarding governance structure and business formation. This concerned paragraph d. Paragraph (e) contained requirements for the handling of client complaints regarding the provider's behaviour towards a client, and for the participation of clients in intended decisions by the provider. So that is also about the complaints. Paragraph (f) set out the requirements for reporting emergencies and violence in the provision of a facility. Those are, in my opinion, the three that have been deleted. I have been asked to take constructive action to support the first-line professionals, as well as the involvement of industry organisations and patient and consumer organisations. That's what I'm telling you. I think it's important that we do that, that we help where we can and that we set up hand-outs if we need to.
ParlaMint-NL_2015-09-29-eerstekamer-8.u229	I would like to come back to the previous point. I mentioned that. I agree with the Minister that this was in it and was removed from it. I read that the objections raised by the proposers were that the fact that it was there would lead to each municipality taking care of it in its own way. So that's different from what we're doing with the Wkkgz right now. I have concluded that I am pleased that the Minister will first look again in the Lower House at how the Wkkgz could fall within the scope of the Wkkgz without running into this kind of thing and then she will look again at how that could be designed. I am also pleased that the Minister then decides whether or not she will shape it, contrary to what is stated in the motion before us, and that she may first refer it to the House of Representatives.
ParlaMint-NL_2015-09-29-eerstekamer-8.u230	I'm really attached to probeing that, too. Of course, I'm a little stuck in the door between two Rooms. Let's be very honest about that. That's always a position that's not very pleasant. I would therefore like to look at how we proceed with this in the light of the opinion of the House of Representatives. That is also my reaction to the motion. Mrs Bredenoord asked me to include the training pathway and the learning of best practice in the annual monitoring. That's what I'm telling you. So we'll take this with us in the monitoring. It has been asked whether the inspection will not need more manpower or resources if 40,000 healthcare providers are added. What really helps the inspection is the register. We have been talking to the inspection and she says: "We have wasted so much time figuring out where an institution actually is; we often cannot find institutions and they are unknown to us. This kind of job will help greatly if we simply have a register in which everyone in the Trade Register is required to be registered." The IGZ can then perform checks based on the data contained therein. That makes her work so much easier. On the other hand, she gets a huge amount of suppliers. The inspection does the work risk-driven. So she'll check, but she doesn't visit 40,000 providers. However, the IGZ has a little support: if there are abuses, this law helps to actually act. So I think we can do it with the capacity that we now have. In fact, the inspection is so incredibly extensive that we have to be careful that an extension can still be kept up to date by an organisation. Then I'll get to the scope. I'm gonna try one more time. It is about actions in the field of individual health care. That is the starting point. That's how the BIG Act was built. The BIG Act has gradually, also through case law, defined this more and more clearly. Here it's the same as in the Law BIG. These are actions in the field of individual health care. Only the target is different. So that's why the other concern has been added. That is not quite possible with scissors, but just as in the BIG Act, case law will make it increasingly sharper here too. As for not having to cooperate in your own conviction: there are also situations where it is not so much a matter of being the VIM of your own doctor, but that GP A has a VIM and GP B also, while the sentence of GP A is in the VIM of GP B. So it has not been said by definition that it must be your own incident report in order to really benefit from involving that report in a case. I think I answered all the questions.
ParlaMint-NL_2015-09-29-eerstekamer-8.u231	May I ask one more question for clarification? This concerns the definition of good care. Good care is often a professional standard, or a quality standard. The legislative proposal extends this to reflect the real needs of the patient or client. Do I understand well from the Minister's answer in the first term that ultimately a definition of the Quality Institute is being worked on, that this also does not explicitly address the real need of the patient, which is a free subjective element, and that, in due course, the definition of the Quality Institute or the Dutch Health Institute will apply to the whole healthcare sector? Did I get that correctly?
ParlaMint-NL_2015-09-29-eerstekamer-8.u232	Slowly but surely you will see that where directives have now often been drawn up by scientific associations alone, we have now begun to see that patients can also have an opinion on what is good care. It is not only scientific associations that can do that. For example, pain management and its impact on the patient may be more or greater than the scientific association determines. Mrs Martens is therefore right that, with the Quality Institute, we are slowly but surely replacing all these guidelines and protocols with tripartite quality indicators.
ParlaMint-NL_2015-09-29-eerstekamer-8.u233	Clear. Thank you.
ParlaMint-NL_2015-09-29-eerstekamer-8.u234	Does one of the Members wish to vote on the bill? That's the case. Then I propose that we vote next Tuesday on this bill and on the motion.
