ParlaMint-NL_2015-10-15-tweedekamer-14.u1	The Minister is now moving on to his last block: the future-proof energy supply.
ParlaMint-NL_2015-10-15-tweedekamer-14.u173	Fine, you'll continue your speech.
ParlaMint-NL_2015-10-15-tweedekamer-14.u174	Mr Graus did not ask any additional questions. The same goes for Mrs Klever. Mr Verhoeven made a general comment. He wondered what the Court's budget law still meant. The Court's budget law is, of course, fully in place. It is my job and the job of the Cabinet to ensure that we come to the Chamber with a budget bill. The Chamber may then examine whether it can agree. The Court may, by means of amendments, indicate that it wishes to change its position on a number of points. Then, for financial reasons, cover, and/or for substantive reasons, I can say that I do not agree with an amendment. In the end, the House's budget law remains unchanged. I have dealt extensively with the TKI payment as to why it is very undesirable, for financial reasons, to do what the Chamber has intended. The Chamber has a budget right, but I have the right to provide the Chamber with information as best I can and to inform it of the considerations that are being discussed by us, by the Cabinet and by me. Then I come to the two amendments tabled by Mr Verhoeven, on small workshops, which were previously referred to as the fablabs, and SURF. Mr Verhoeven asked whether these were only financial considerations. That's not true. I have dealt with both amendments in substance. I have also indicated to Mr Vos why I consider it very unwise to allow extra occasional money to go to SURF from the EZ budget at the moment. However, I do intend to do a number of other things. I've gone into that in detail. I am fully prepared to do so, as I said to Mr Vos. I have therefore also said for reasons of substance to the two amendments tabled by Mr Verhoeven, on fablabs and on SURF that I do not recommend them. Mrs Van Veldhoven asked a question about the area coordinator. In the meantime, she has noticed that the suggestion that originally came from her has been worked out conscientiously. I had to keep doing that in Groningen and Drenthe. I think I've got the two best people available to do the job as area coordinator. I don't want to deviate from that anymore. I've identified those people. I understand that Mrs Van Veldhoven wants the people in the area to be consulted before they are appointed. For the future, I can certainly accept that as a clue from her. It seems to me that this will only benefit the process. I do not like to contradict Mrs Schouten, but I have to do so on the point of MARIN. She said I didn't stick to that 10%. I will not now discuss with her the content of that 10% and the extent to which it is established or not, but the contribution is 17.5%. So that is considerably higher than 10%. Mr Dijkgraaf has asked me if I would like to report on matters relating to legislative proposals which should set out the rules on printing. Each legislative proposal must therefore be subject to a rule-printing paragraph. I will see to it that this is the case. I will report specifically to the Chamber twice a year in the progress reports. On this basis, the Chamber can exchange views with me and has a handle for it. (NL) Mr President, that is what the remaining questions were.
ParlaMint-NL_2015-10-15-tweedekamer-14.u175	We consider the evaluation of the TO2 institutions to be important. The Minister has that evaluation done, but 2016 is very long. When will we get the results of this evaluation? The Group of the European People's Party (Christian Democrats) and European Democrats would prefer it for budgetary treatment so that the results can be taken into account.
ParlaMint-NL_2015-10-15-tweedekamer-14.u176	I apologise; Mr Bosman had indeed raised that point and he should have received a response from me. I'll be happy to give it to you now. I would like to do what Mr Bosman says, but I cannot do that. I can't do that. The TO2 institutions are large institutions, with a lot attached. In view of the savings that we have made, given the ambitions that we have for the future and in view of what is going on with the ECN, which I have discussed with the Chamber, the evaluation is going to be a major operation. I will never get that for the 2017 budget, because that would mean that I would have to do everything in the first half of 2016. I can't. It therefore has an effect from the 2018 budget. In itself that does not have to be objectionable, because of course we have done it well prepared. The decisions we have taken on this matter are now being taken in the organisations. On this point, Mr Bosman will have to be patient a little longer: he will be able to see the effects on the 2018 budget. This means that the evaluation should be completely clear by early spring 2017. It will therefore have to be done thoroughly next year.
ParlaMint-NL_2015-10-15-tweedekamer-14.u177	That's clear. The Minister now goes on to advise on the motions. I would suggest keeping it compact, because most of the arguments have already been exchanged and they will be clear to most Members of Parliament. That way we can try to stick to the timetable.
ParlaMint-NL_2015-10-15-tweedekamer-14.u178	In the motion in part No. 22 members of Gesthuizen and Kerstens have identified a real problem. I can report that today the board of the European Patent Organisation has decided to carry out a social audit. What is indicated in the motion must have the attention, in the way that Members Gesthuizen and Kerstens propose. I'll leave the verdict on this motion to the Chamber. The Bosman c.s. motion. in piece No. 23 concerns the abolition of roaming charges. I've indicated how I feel about this. However, Mr Bosman keeps the pressure on it. I think I have to accept this, so I will leave the verdict on this motion to the Chamber. I remain prepared to consider whether it is sensible and possible to take a step in the Benelux context earlier, partly because of the importance I attach to cooperation in the Benelux context. The Bosman motion in part No. 24 is about the tourism sector. I have indicated that we have brought the financing of the tourism sector and the NBTC to a level that must be maintained. I said I wanted to make extra money available. Mr Bosman wants to go one step further: he wants to look at this in the Navy paper, depending on the possibilities that may exist. On the condition that Mr Bosman agrees with me that, if more or more additional resources are made available on an occasional basis, other parties must also contribute to this, I leave the opinion on this motion to the Chamber. Other parties must do the same; it must come not only from the government, but also from the provinces and municipalities concerned, and perhaps also from companies. It must therefore be a co-financing project. If Mr Bosman can agree to that explanation, I will leave the verdict on this motion to the Chamber.
ParlaMint-NL_2015-10-15-tweedekamer-14.u179	I note that Mr Bosman nods in agreement, as I note for the Acts.
ParlaMint-NL_2015-10-15-tweedekamer-14.u180	In his motion in part No. 25 Mr Bosman asked the government to inform the Chamber well before the 2017 budget on the progress, allocation of ERDF funds and state funding of the field labs. I'm willing to do that. I shall therefore leave this motion to the House's judgement. Mrs Mulder's motion on item 26 deals with the issue of VAT. When companies, public authorities and educational institutions work together, other VAT rules emerge which make the projects more difficult to realise. It is a very real problem. I am prepared to say to Mrs Mulder that she is right, that the problem needs to be solved. I'm working on solving that. This is not easy, because there are very strict European rules for VAT and because Europe receives part of that VAT revenue. So we cannot simply shift into VAT. So it is something I have to achieve with both finance and Europe. I cannot guarantee what is stated in the operative part of the motion. That's why I can't help but discourage the motion. I can't say I'm gonna take care of it. I can only say I'm gonna do my best. Should Mrs Mulder change her motion in that direction, I will be able to leave the vote on the motion to the House. If she maintains the current text, I advise against the motion.
ParlaMint-NL_2015-10-15-tweedekamer-14.u181	An effort obligation, therefore, and not a result obligation.
ParlaMint-NL_2015-10-15-tweedekamer-14.u182	I thank the Minister for doing his utmost to get this done. We know it's a tricky problem. We also know that we can achieve a great deal in a region when we have solved this problem. We think that is very important for Limburg and for Chemelot and all the opportunities that lie there. I will amend my motion in this way. Then it's nice that she gets judgment room.
ParlaMint-NL_2015-10-15-tweedekamer-14.u183	The motion in part No. 26 shall be adjusted in the sense of an effort obligation. Then the motion could get judgment Chamber. That has to wait and see.
ParlaMint-NL_2015-10-15-tweedekamer-14.u184	The motion in part No. 27 by Mrs Mulder and Mrs Oosenbrug are about initiatives for high-speed internet in the outskirts. I will save the Chamber a reflection on the amount of connections we already have on the fast internet. I also note that for the part that does not yet have a fast internet, a mobile solution is possible and that we are already doing a great deal to find solutions for those who remain. The motion calls for experimental and control space. If the proposers can accept that my space is limited by European State aid rules, I am prepared to do so. This is what I can do within these state aid rules to enable experiments to be carried out. If that is the explanation that Mrs Mulder and Mrs Oosenbrug can accept, I will leave this motion to the House.
ParlaMint-NL_2015-10-15-tweedekamer-14.u185	Let me talk to Mrs Oosenbrug about that. I think that's so neat. Then the Minister gets a message about it later.
ParlaMint-NL_2015-10-15-tweedekamer-14.u186	Okay, that's still backup.
ParlaMint-NL_2015-10-15-tweedekamer-14.u187	In the motion in part No. 28 Ms Mulder asked the government to take into account the strengthening of SMEs' own funds and the mobilisation of private assets, facilitating both direct investment and indirect investment through crowdfunding platforms or funds, when designing the 50 million. For those 50 million, I have the first picture of start-ups and start-ups-related SMEs. Then something has been brought forward from the startup. It's about employee options. You have startups that can't give money to their employees at first. They give us options. If those people get high tax charges for those options a year later, they can't pay it because they didn't get their hands on money. So that's a problem. The second problem is the usual wage system for the initiator, who may not get any money from that company at all, but still have to pay taxes again. The third problem is venture capital. What Mrs Mulder is doing now is developing the issue of venture capital. I think this is a little unbalanced. That is why I am giving my explanation. If she can accept my explanation as a fact, I can accept her motion as a given and leave it to the Chamber, with my explanation.
ParlaMint-NL_2015-10-15-tweedekamer-14.u188	If that is enough, Mrs Mulder, you can nod in agreement, but you have the floor.
ParlaMint-NL_2015-10-15-tweedekamer-14.u189	I assume, however, that these matters can be taken into account as a precondition, as well as the other two points just mentioned by the Minister. Did I hear that right?
ParlaMint-NL_2015-10-15-tweedekamer-14.u190	No, because I don't know what I'm gonna do yet. I'm gonna look into all those points. This concerns both the strengthening of capital, the usual wage regime and the way in which we can find a solution to the options. There may also be other things coming forward. I want to make the best possible choice. I will present that choice to the Chamber. The Chamber may have views on this matter and may wish to amend it, whether or not in consultation with me. However, it is too far away for me to consider Mrs Mulder's points as preconditions. I do not mind if any of the three points were clarified by her or by the Chamber, but I cannot accept that as a precondition.
ParlaMint-NL_2015-10-15-tweedekamer-14.u191	But as a further explanation, the Minister takes these points into account in the overall impact.
ParlaMint-NL_2015-10-15-tweedekamer-14.u192	Sure, I'm willing to.
ParlaMint-NL_2015-10-15-tweedekamer-14.u193	With that commitment and this interpretation, you leave the judgment to the Chamber?
ParlaMint-NL_2015-10-15-tweedekamer-14.u194	Yes. In the motion-Agnes Mulder c.s. in piece No. 29 states that the government must compensate for the reduction of the budget to ECN from 2015 to 2016 from the research budget in the SDE+ scheme. I would advise against the adoption of that motion. I have indicated what I am doing with ECN and what I want to prevent in 2016. However, I am not prepared to pay extra money for this now. That doesn't help the process I'm working on. In the motion-Agnes Mulder c.s. in piece No. 30 states that the government must suspend fracking activities pending the seismic risk analysis and the amendment of the Mining Act. We have been doing Fracken since the 1970s. It is a standard processing technique for parts of natural gas extraction in the Netherlands. We've done that more than 200 times. There have never been any problems, as SodM has told us. It is not right to say at once that we should suspend this. There's no reason to do that. In the motion-Agnes Mulder/Dijkgraaf in part No. 31 the government is invited to count the integrated Wbso/RDA proposal on the current applications. I can't do that. I have 23,000 requests. If I have to pass it all on, it's a huge job that doesn't pay much. Based on our knowledge and experience of the different types of applications, we do know what the reasonable expectations are. I have already shared the outcome of this reasonable expectation with the Chamber: I believe that there will be no shift within the Wbso as regards the distribution between SMEs and large companies, also in view of the three elements I raised in the discussion on this subject with the Chamber. I am prepared to share with the Chamber the calculation underlying my communication. If the Chamber could accept that calculation and not ask me to pass on all 23,000 requests, I will leave the ruling on this motion to the Chamber.
ParlaMint-NL_2015-10-15-tweedekamer-14.u195	Thank you for at least receiving that calculation. What would the Minister think about a representative sample?
ParlaMint-NL_2015-10-15-tweedekamer-14.u196	I don't think it's necessary. We're very close to that Wbso/RDA. The proposal comes from ourselves. We make an assessment on the basis of all our knowledge. I think this should be enough for the Chamber. Let us not make it more difficult for ourselves than is necessary.
ParlaMint-NL_2015-10-15-tweedekamer-14.u197	With the Minister's restrictive exegesis, this motion has been given the opinion of the Court of Justice.
ParlaMint-NL_2015-10-15-tweedekamer-14.u198	The motion-Jan Vos c.s. in piece No. 32 is about a study that we should have the CPB do on social entrepreneurship. I have already mentioned this social entrepreneurship. I think what we would do now with this motion is wrong. We have received an ESC opinion. There's still a cabinet response to that. We would now again say that there should be a further investigation. That doesn't help us much either. I believe that the ESC opinion will be a sound opinion. We will come up with a sound cabinet response to that. Then I don't think it makes sense to have the CPB investigate that again. The Vos motion in part No. So I'm telling you, 32 I'm telling you.
ParlaMint-NL_2015-10-15-tweedekamer-14.u199	The motion in part No. 32 is not recommended. That gives rise to a question for Mr Vos.
ParlaMint-NL_2015-10-15-tweedekamer-14.u200	The ESC opinion to which the Minister refers specifically states that the impact of these companies should be better measured. In my view, the request for an investigation from the Central Planning Bureau is really in line with the ESC opinion. I was wondering whether the Minister had sufficiently taken that into account in his consideration.
ParlaMint-NL_2015-10-15-tweedekamer-14.u201	Yes, Mr. Chairman. Social entrepreneurship is an important phenomenon which is being addressed by the Chamber and now by me. It has also received attention from the ESC and is now receiving attention from the cabinet. Let's come to some conclusions. It may still be that in future we would like to have a more detailed examination of certain things. Then that will happen in one way or another, but I do not want to delay the matter again by waiting for a CPB investigation which I do not think can add much news at the moment. I'm gonna stick to my advice, and I'm gonna dissuade the motion in part No. 32.
ParlaMint-NL_2015-10-15-tweedekamer-14.u202	32 dissuade. The motion in part No. 33?
ParlaMint-NL_2015-10-15-tweedekamer-14.u203	On the motion in part No. 33 I will be brief, heard the encouragement to be short. Mr Vos knows with those who have tabled this motion that I do not think so. As far as Terschelling is concerned, I have to follow the procedure properly. We will see the outcome of that, but in order to make a ruling in advance, I would advise against that.
ParlaMint-NL_2015-10-15-tweedekamer-14.u204	Motion in part No. 33 so advise against it.
ParlaMint-NL_2015-10-15-tweedekamer-14.u205	Just as I've previously advised against similar motions. In the motion in part No. 34 members of Mr Vos, Mr Bosman and Mr Van Veldhoven are invited to involve the government in the examination of the development of the NIA in the scaling-up of the SEED capital scheme. It should be funds of a minimum size of 20 million. What's written here isn't so good. The SEED capital scheme covers amounts of up to 12 million. For amounts from 12 million we have another arrangement, namely the Dutch Venture Initiative. With that we have a continuous whole. I have no disagreement with Mr Vos c.s. I believe that both the Dutch Venture Initiative and the SEED capital can be involved in the development process. If Mr Vos shares with me that it is not so much about the 20 million, but that it is about involving the existing relevant EZ instruments in the development of the NIA, then I am prepared to leave the judgment on that motion to the Chamber. Perhaps Mr Vos would also be prepared to go through the precise wording with me to see if we can make an improvement for the clarity of all those who follow us.
ParlaMint-NL_2015-10-15-tweedekamer-14.u206	I would like to respond to the Minister's invitation to go through the precise wording in order to reach a consensus.
ParlaMint-NL_2015-10-15-tweedekamer-14.u207	The motion in part No. 34 therefore receives a final opinion at a later stage.
ParlaMint-NL_2015-10-15-tweedekamer-14.u208	In his motion in part No. 35 Mr Vos gave a ruling on matters relating to the ECN. It invites the Government to make an arrangement to prevent the loss of crucial knowledge in the field of energy in 2016 and to report to the Court before the end of November. He's just putting a little too much pressure on the case. If I have to do that before the end of November, it will not get the depth that this issue needs. There is a complex issue at ECN that involves several aspects. I am prepared to do this, but I do need more time to do so until the end of this year. I won't try to stretch it till the last day of the year. Maybe I can get it to the Chamber before Christmas. I'll do it as soon as I can, but I won't make it by the end of November. If "November" comes to an end and instead it is "end 2015," I leave the judgment to the Chamber.
ParlaMint-NL_2015-10-15-tweedekamer-14.u209	In terms of leaf mirror, the motion also becomes a bit quieter when "November" expires, because that is now written with the pen. I call Mr Vos.
ParlaMint-NL_2015-10-15-tweedekamer-14.u210	Of course, I am concerned that the institute should be given the peace needed to guide the energy transition properly. I understand that by the end of December, that's the deadline we're talking about. I will be informed again and, if necessary, consult the Minister on this matter. At the moment I will not add the rest mentioned by the chairman to the sheet mirror.
ParlaMint-NL_2015-10-15-tweedekamer-14.u211	We will then wait for the outcome of the consultation and we will have further advice at a later stage.
ParlaMint-NL_2015-10-15-tweedekamer-14.u212	The issue at ECN is so complicated that I do not want to come up with a half-full report. I will have to do this thoroughly and carefully, as I want to do every time. I do not see any way of achieving that before the end of November. I will give that to Mr Vos. In the motion in part No. 36 The government is invited to reach a sustainable mobility agreement with all relevant actors in the transport sector. In fact, we have enough chords now. We have the coalition agreement and the energy agreement. There's a lot of trouble in that. We have the bail committee. We have made detailed agreements on transport in the mobility area of the energy agreement. I will certainly continue to talk about this with the transport sector. In substance, I have no disagreement with Mr Vos on his vision of zero-emission cars, but I do not wish to re-dedicate a separate sustainable mobility agreement to this. That sucks away from me and my organization too much energy I need to live up to the chords that are already there. I therefore advise against the motion in part No. 36. The motion in part No. 37 and the motion in part No. 38 tabled by Mr Graus, both concern the franchise sector. During a thorough discussion with the Chamber, I said what we are doing there, what the process is at present, what I believe should come out of it, why it should come out as far as I am concerned and what we will have to do if it is not. In fact, we have already exchanged everything on this subject. I do not see the point of tabling further motions on this subject, while we are under pressure in that process. I would therefore advise against both motions.
ParlaMint-NL_2015-10-15-tweedekamer-14.u213	We're working on it. I have already tabled these motions once; the motions now tabled are exactly the same. I will continue the two motions until further notice. They will come to the vote at some point, because what the Minister is doing is going to fail.
ParlaMint-NL_2015-10-15-tweedekamer-14.u214	At the request of Mr Graus, I propose his motions (34300-XIII, Nos. 37 and 38). That is what is decided.
ParlaMint-NL_2015-10-15-tweedekamer-14.u215	In the motion in part No. 39 the government is invited to simplify and shorten public procurement procedures for small and medium-sized enterprises. I have already informed the Chamber before the summer that, in my opinion, better procurement is needed. The evaluation of the Procurement Act shows that this is possible. So I'm working on that. I see Mr Graus' motion as a policy support and leave the vote on the motion to the Chamber. In the motion in part No. 40, tabled by Mr Graus and Mrs Klever, the government is invited to disclose dispaying local authorities and, on a constant basis, to shorten the municipal and/or provincial funds. Last but not least, I'm not prepared. I have already said that I will make it clear which municipalities are not paying, so that the municipal councils will fulfil their role. I have also said that I will see if there is any reason to do the same for the provinces. So the first is already settled, until the second I'm not willing. That is why I have tabled the motion in part No. 40 betrayals.
ParlaMint-NL_2015-10-15-tweedekamer-14.u216	I have also had an interrupting debate on this with Mrs Schouten of the Christian Union. This file's been going on for years. Years ago, I put this on the agenda, but nothing has improved. At some point the minister will have to punish, because it just doesn't work. The municipalities don't come out either.
ParlaMint-NL_2015-10-15-tweedekamer-14.u217	We don't have to go over the discussion now. The question is whether the second paragraph of the request will be deleted by you or not. If it is maintained, the Minister will discourage the motion and if it is deleted, it could lead to a Chamber of Appeal.
ParlaMint-NL_2015-10-15-tweedekamer-14.u218	No, Mr. Chairman.
ParlaMint-NL_2015-10-15-tweedekamer-14.u219	That would be a little faint at first, because the Minister has just said that I also know that he is already doing so. I'd think it was a little lame to leave that alone. Then it's a piece of shit.
ParlaMint-NL_2015-10-15-tweedekamer-14.u220	The motion is maintained in its present form.
ParlaMint-NL_2015-10-15-tweedekamer-14.u221	Yes, please.
ParlaMint-NL_2015-10-15-tweedekamer-14.u222	Then I'll tell her off, Mr. Chairman.
ParlaMint-NL_2015-10-15-tweedekamer-14.u223	That leads to a betrayal. The motion in part No. 40 is not recommended.
ParlaMint-NL_2015-10-15-tweedekamer-14.u224	In the motion in part No. 41 asks Mr Graus to take a 20% share in Air France-KLM. That is not something I would now like to give a positive opinion on. The President of VNO-NCW has expressed an opinion on this. On behalf of the cabinet, the Minister for Finance, who manages the public participations, responded. Today, too, he has made nuanced statements about this. I think that we should leave it to the nuanced remarks and that the Chamber should not now make a statement as proposed by Mr Graus and Mr Van Dijck. That is why I advise against the motion in part No. 41.
ParlaMint-NL_2015-10-15-tweedekamer-14.u225	A cartoon has been made of Mr De Boer of VNO-NCW as a parrot who is speaking for me. Why? In the Committee on Air Transport the colleagues who sit with me on that committee know that I have been asking for years if the State can take a part in KLM. Now I'm asking because the need is really starting to get really high. ABN AMRO is sold, I've understood possibly for 15 billion. Now take out the $400 million. That is what this is about. Then you have 20% of the shares. The Minister knows the Floran law: then you can also double that 20% possible to 40% in the future. That's what the French are gonna do.
ParlaMint-NL_2015-10-15-tweedekamer-14.u226	I have the impression that this discussion...
ParlaMint-NL_2015-10-15-tweedekamer-14.u227	It's all new facts, Mr. Chairman.
ParlaMint-NL_2015-10-15-tweedekamer-14.u228	Hasn't this been discussed yet?
ParlaMint-NL_2015-10-15-tweedekamer-14.u229	I've been having that discussion for years. Now even the Minister of Finance is coming to my side.
ParlaMint-NL_2015-10-15-tweedekamer-14.u230	Actually, this round is meant to modify a motion or not.
ParlaMint-NL_2015-10-15-tweedekamer-14.u231	I don't know if the Minister has any suggestions for that.
ParlaMint-NL_2015-10-15-tweedekamer-14.u232	No, this discussion has not been discussed at all in the budget debate. I got that motion. I advise against that motion and advise the Chamber not to make this judgment. As I have said, the Minister for Finance, who manages the state's participations, has spoken about this in a nuanced manner. That is the view of the cabinet. I advise the Chamber not to take a decision as proposed here by Mr Graus.
ParlaMint-NL_2015-10-15-tweedekamer-14.u233	As this discussion has not yet taken place, I give Mr Graus the opportunity to make a follow-up comment.
ParlaMint-NL_2015-10-15-tweedekamer-14.u234	Briefly for the Acts: I said very clearly that I put that in the Committee on Aviation. Even the PvdA is coming my way, the member Monasch. Even Mr Dijsselbloem wants it, if you can believe the messages. So even the Minister of Finance is coming my way. That is why I am asking this Minister.
ParlaMint-NL_2015-10-15-tweedekamer-14.u235	The minister's been clear about it. It leads to a detachment of the motion in part No. 41.
ParlaMint-NL_2015-10-15-tweedekamer-14.u236	In the motion in part No. 42 Ms Klever and Mr Graus asked for all fiscal innovation facilities to be abolished. I'm not prepared to do that. I advise the Chamber not to make that statement.
ParlaMint-NL_2015-10-15-tweedekamer-14.u237	The motion in part No. 42 is not recommended.
ParlaMint-NL_2015-10-15-tweedekamer-14.u238	In the motion in part No. 43 Mrs Klever and Mr Graus say that the government should focus on improving the business environment and report to the Chamber on this. I do nothing but focus on improving the business environment, which, as I have already said, is not bad at all in the Netherlands. I advise against this motion.
ParlaMint-NL_2015-10-15-tweedekamer-14.u239	The motion in part No. 43 is not recommended.
ParlaMint-NL_2015-10-15-tweedekamer-14.u240	In the motion in part No. 44 the government is invited to show ambition in improving lending. I hope that is not the view of Mr Verhoeven, Mr Vos, Mrs Mulder and Mr Öztürk. It is not, of course, the case that we are not showing any ambition to improve lending. If that is the case, 'the government is asking for ambition to continue to be shown to improve lending', I leave it to the Chamber to decide.
ParlaMint-NL_2015-10-15-tweedekamer-14.u241	The question is whether the word'stay' can be added, Mr Verhoeven.
ParlaMint-NL_2015-10-15-tweedekamer-14.u242	It rarely happens to me, but I just accidentally omitted this word. It should have been there, of course. This minister is full of ambition. I would like to amend the motion so that it reads as it was once intended: permanent ambition.
ParlaMint-NL_2015-10-15-tweedekamer-14.u243	That's clear.
ParlaMint-NL_2015-10-15-tweedekamer-14.u244	The Verhoeven c.s. motion (, No ) has been amended to read as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is important for the Dutch economy that entrepreneurs can find sufficient funding;]] [[whereas the ECB's investigation shows that Dutch entrepreneurs have the lowest risk of credit across the EU;]] [[Whereas the current system of guarantees, loans and grants may be unclear due to the number of around 70 schemes for entrepreneurs;]] [[calls on the Government to improve the system of grant, guarantee and financing schemes by linking schemes smartly where possible;]] [[calls on the government to continue to show ambition in improving lending to businesses and to continue to talk to banks about their social function and responsibility,]] [[and goes to the order of the day.]] It seems to me that their submission is sufficiently supported. She gets no, was no. 44 ().
ParlaMint-NL_2015-10-15-tweedekamer-14.u245	In the motion in part No. 45, by Mr Verhoeven, the government is asked to recognise the digital infrastructure (AMS-IX, hosters and housing) as a third mainport, to develop, together with relevant stakeholders, an economic vision to strengthen the position of the digital mainport, and to invest in the implementation of that vision. I'm gonna put in the middle what "invest" is. You can do that in different ways. You can also invest energy and time in something. We come with a new digital agenda for the summer of 2016. I think this is an important part of that. I am ready to address this third mainport in the context of that new digital agenda for 20016 and 2017. I also see this as a third mainport. That explanation, which will be in line with what Mr Verhoeven is trying to do, allows me to leave the opinion on this motion to the House. In this case, I do not even need Mr Verhoeven's confirmation of that agreement, because I know him well enough.
ParlaMint-NL_2015-10-15-tweedekamer-14.u246	The Minister leaves the judgment on the motion in part No. 45 to the Room.
ParlaMint-NL_2015-10-15-tweedekamer-14.u247	In the motion in part No. 46 asks Mrs Van Veldhoven to use the resources that have been saved, so she sees that it can be returned to households. We know from her that she means that we should do a little less to co-incineration of biomass and a little more to bio-stream. By doing less on biomass, money would be released, which she believes should be redirected back. However, I do not want to do any less to co-incinerate biomass, because I want to achieve those objectives of 14% and 16%. That is why I advise against the motion in part No. 46.
ParlaMint-NL_2015-10-15-tweedekamer-14.u248	The motion in part No. 46 is not recommended.
ParlaMint-NL_2015-10-15-tweedekamer-14.u249	The motion in part No. 47 belongs to Mrs Van Veldhoven and Mrs Mulder. They express their views on the appointment of an area coordinator. If they can accept that I have now appointed two coordinators in Groningen and Drenthe and that I think they are very suitable for doing that work, but that I would like to take this as an important pointer from the Chamber for the future, then I will leave the verdict on this motion to the Chamber.
ParlaMint-NL_2015-10-15-tweedekamer-14.u250	The Minister leaves the judgment on the motion in part No. 47, considering the exegesis, to the chamber.
ParlaMint-NL_2015-10-15-tweedekamer-14.u251	In the motion in part No. 48 The government is asked to use at least 50% of the money remaining in the energy innovation for SMEs. I can't see if there's any money left in this energy innovation. However, if there were money left, we would use it again for top sector policy. I do not want to say in advance that 50% of the money will have to go to SMEs. I don't think it makes any sense to limit us in that way. We also need to create an active whole in this top-level sector policy. We have included a representative of SMEs in each of the top teams. In addition, MIT has received all kinds of additional resources and we see how this is used to involve SMEs. We also see the disproportionate advantage available to SMEs from the Wbso/RDA. On this basis, I do not think that this further limitation of our possibilities makes any sense. That is why I advise against the motion in part No. 48.
ParlaMint-NL_2015-10-15-tweedekamer-14.u252	In his budget, the Minister notes that there is money left in energy innovation. That's why he's moving that money to the top sector. So that is a shift that the Minister has proposed in his budget in budgetary terms, and not an additional one. I say this to clarify this point. Does the Minister agree with the Group of the Party of European Socialists and the Group of the European People's Party (Christian Democrats) and European Democrats in the Group of the European People's Party (Christian Democrats) and European Democrats in the European Parliament, that it is important that this money should go towards sustainable and renewable innovation in this sector, given the challenges? The minister doesn't want to do less, but he wants to do more to get that 14%. Does he also agree that SMEs deserve special attention in this respect, as in other areas? Maybe that's how we can get closer to each other.
ParlaMint-NL_2015-10-15-tweedekamer-14.u253	There is no question of insufficient attention being paid to SMEs; there is plenty of attention being paid to SMEs. Within these top sectors, it is also about ambitions that need to be realised. We often need big companies, which is not a dirty word. We need to look at how we can involve large SMEs in a balanced way. I am convinced that, in view of the possibilities offered by the Van Veen motion by the Chamber for SMEs in the top sectors policy, that is something that has been highlighted. If money becomes available here, that attention will be there again. I therefore see no added value in the Court's ruling on this point. I want the motion in part no. 48 dissuaded.
ParlaMint-NL_2015-10-15-tweedekamer-14.u254	In the end, there are two proposals in the motion. The Minister addressed the section on specific attention for SMEs. He calls that disproportionate. D66 considers SMEs to be very important. We disagree on that, but that is the case. The point remains that this money should go to sustainable and renewable innovation. This is in the context of the ambition expressed several times by the Minister to achieve 14%.
ParlaMint-NL_2015-10-15-tweedekamer-14.u255	I have to say that if we reach 14%, we still have 86% fossil energy and we still have 84% fossil energy by the year 2023, when we reach 16%. It is conceivable that there is relevant innovation aimed at limiting or improving the use of fossil energy during the transition period. I don't want to rule out those possibilities anyway. Of course, my focus is on renewable energy, but fossil energy is not a dirty word in the transition period.
ParlaMint-NL_2015-10-15-tweedekamer-14.u256	Mr. Chairman.
ParlaMint-NL_2015-10-15-tweedekamer-14.u257	No, unfortunately, Mrs. Van Veldhoven. You've already had a second chance. The Minister continues to discourage this motion, and I would like to stick to that.
ParlaMint-NL_2015-10-15-tweedekamer-14.u258	Mrs Van Veldhoven has two options: either she makes a point of order or she brings up a personal fact.
ParlaMint-NL_2015-10-15-tweedekamer-14.u259	Hello, Minister, you can't preach.
ParlaMint-NL_2015-10-15-tweedekamer-14.u260	I'm gonna change the motion.
ParlaMint-NL_2015-10-15-tweedekamer-14.u261	Look, the motion is still being reviewed and modified. Perhaps there will be further consultation and a further opinion may follow.
