ParlaMint-NL_2015-10-14-tweedekamer-5.u1	I can see the minister at the microphone. He's ready to give his first-term response.
ParlaMint-NL_2015-10-14-tweedekamer-5.u210	Madam President. Tens of thousands of asylum seekers are flooding our country. This is because our borders are open, wide open, thanks to Prime Minister Rutte. Next year, according to the European Union itself, there will be millions more towards Europe. Many will also find our country. The Netherlands can't handle that. Millions of Dutch don't want that. It's disrupting our country and it's definitely beyond our absorption capacity. A lot of people from our beautiful country are angry. They are furious and feel powerless, because they are laughing at their legitimate concerns and their justified objections. And I say to all these people again today: resist! Resistance! Of course, nonviolent and democratic, but do it! It's working! Look at Purmerend, where people protested in a neat way and the city council finally said no to an AZC. Of course, it is also insane: open borders and an asylum system that is going to cost our country billions, billions that the Dutch have earned for better care or an indexed pension. That's what we're waiting for. That's what our money needs to be spent on. These open borders lead to more Islamisation, more crime. All those testosterone bombs on our streets chasing our women and our daughters. Who wants that? It leads to the taking of our jobs, while we still know 600,000 unemployed here.
ParlaMint-NL_2015-10-14-tweedekamer-5.u211	Now that Mr Wilders is here again, I wonder if he has been able to reflect a little on the fact that he has not done what he has to do, namely to assess the proposals that allow the reception of refugees.
ParlaMint-NL_2015-10-14-tweedekamer-5.u212	I gave that answer to you in my first term.
ParlaMint-NL_2015-10-14-tweedekamer-5.u213	No, because then you didn't know. So I wonder if you've checked what happened by now. You are all using very big words now, and I will not let you say them if you do not indicate what you really did.
ParlaMint-NL_2015-10-14-tweedekamer-5.u214	I gave my answer in my first term, no matter how many times you ask.
ParlaMint-NL_2015-10-14-tweedekamer-5.u215	This is the famous Wilder method again. As soon as one question comes, the debate stops and Wilders doesn't answer anymore. I'm asking a perfectly normal question. The first round I confronted you with the fact that you do not do what you have to do, namely to check the government's plans. You shout at everyone "go in opposition," you share leaflets, but what you have to do, you don't do. So my question is: you could never have done that then; have you reflected on it already? That's something that needs to be done now. That's my question.
ParlaMint-NL_2015-10-14-tweedekamer-5.u216	I just gave my answer. I keep telling you, no matter how many times you ask.
ParlaMint-NL_2015-10-14-tweedekamer-5.u217	No, it is not, because you cannot give the answer that you said it in the first term if I ask you now whether you have reflected on it since then. The answer is yes or no.
ParlaMint-NL_2015-10-14-tweedekamer-5.u218	I've already given my answer.
ParlaMint-NL_2015-10-14-tweedekamer-5.u219	No, that's impossible.
ParlaMint-NL_2015-10-14-tweedekamer-5.u220	I will continue my speech.
ParlaMint-NL_2015-10-14-tweedekamer-5.u221	No, I'm just asking a question and a normal MP here is answering a colleague's question. That's the debate.
ParlaMint-NL_2015-10-14-tweedekamer-5.u222	I just did. You don't like it, and that's all you're gonna get. I'm sorry.
ParlaMint-NL_2015-10-14-tweedekamer-5.u223	So you insist that what you said in the first term is an answer to a normal question from a colleague in the second term. This room doesn't have to accept that from you at all. We ask you normal questions, and you should be pleased that I am having this debate with you. You are not conducting the debate at all. I ask you one more time: have you since the first term reflected on the fact that you simply did not do what is your core task, the assessment of the cabinet?
ParlaMint-NL_2015-10-14-tweedekamer-5.u224	That's what we do. We always do. In that case, we have done the same. I have just replied to Mr van de CDA. And yes, you will have to deal with that.
ParlaMint-NL_2015-10-14-tweedekamer-5.u225	That's very interesting. Now the answer will come. You say, "We did that at the time."
ParlaMint-NL_2015-10-14-tweedekamer-5.u226	We did. We always do.
ParlaMint-NL_2015-10-14-tweedekamer-5.u227	If so, it will be interesting to know why you agreed to the cabinet's proposal to make it easier to set up large asylum seekers' centres in the province.
ParlaMint-NL_2015-10-14-tweedekamer-5.u228	If you look back carefully, you will see that my colleague, Madlener, has also made the comments in the Acts. He commented on the fact that this law would be used for the larger asylum seekers' centres. In the end, we have thought about this law in its entirety, and that is what I am still saying that we could vote for it in general. We have done that, but the comments, our objections, read the Acts, but after Mr Madlener made them. You can just find it in the records of it.
ParlaMint-NL_2015-10-14-tweedekamer-5.u229	Mr Wilders is still talking about the totally wrong law. He is now talking about the start of the Crisis and Recovery Act. This is about something more recent. I mention it because it is so essential, because it gives the cabinet the legitimacy of what he is so opposed to and against, namely the creation of large asylum seekers' centres in the provinces. That was an AMvB that was given a veil a year ago in November last year and was passed through a written procedure here. The majority of the parties agreed to this. Mr Roemer is the only one who asked questions about this in a written round. Not you. It's passed and it's in the Official Journal. So your entire Mr. Madlener didn't say anything about that.
ParlaMint-NL_2015-10-14-tweedekamer-5.u230	Oh, yes, I do.
ParlaMint-NL_2015-10-14-tweedekamer-5.u231	You didn't even look at the right law.
ParlaMint-NL_2015-10-14-tweedekamer-5.u232	It doesn't make any sense. I am going to answer again and then I am not going to give it any more, although Mr Buma says 500 times: we have made the point when dealing with the law from which the AMvB comes that we think it should not be used for this. You can read that back in the pieces. There was much more in that law and that is why we voted in favour of it. That's what we did. We have looked at it and we have given the answer. We often vote in favour of laws that contain a part that does not please us. The Crisis and Recovery Act from which that AMvB comes also had many positive points. We have done our job very well and are going to do it again tomorrow in the country, Mr Buma. Doing your job here and doing your job outside, don't bite each other. I'd like you to do that a little more often.
ParlaMint-NL_2015-10-14-tweedekamer-5.u233	Mr Wilders keeps talking about the wrong law all the time. That says enough. He's had hours. We often ask the cabinet to write a letter within an hour, but this is about one AMvB, which he has not looked at. I ask Mr Wilders, when he goes to all these places again, to tell the people honestly that thanks to him there will soon be large centres in the provinces for the reception of asylum seekers and that he, doing his job in the House of Representatives, has chosen not to stop it. Then he'd be a guy instead of calling for the resistance of others.
ParlaMint-NL_2015-10-14-tweedekamer-5.u234	We will be telling the people of the country, Mr Buma, quite honestly that, as far as the PVV is concerned, there will be zero more asylum seekers in this country, that we will close the borders, that no one will come in at all and that we will no longer need asylum centres for that reason. We will also tell the people, Mr Buma, that the CDAs are the accountants of this Chamber, who may indeed be looking at everything and pay tribute to it, but in the meantime open up the borders, which means that we in the country need asylum seekers' centres. You don't need them with us. I'm going into the country to support the people. With you you need them, for you say: Come in with your servant, with the limits wide open. And that is the reality.
ParlaMint-NL_2015-10-14-tweedekamer-5.u235	But then there's no reason to go to all these places. So now that all these people are already in the Netherlands, you also think they should be taken care of, because that is why you voted in favour of that rule. You were open to the borders, but now that they are, you say, given what you were supposed to do with the AMvB, apparently also: sorry, now we have to agree to large asylum seekers' centres. Be a man and say that.
ParlaMint-NL_2015-10-14-tweedekamer-5.u236	Yeah, I'm a guy, and I say, "Next line, zero asylum seekers." I say to everyone: look at the CDA, look at Mr Buma. Mr Buma says: the borders must be wide open. Mr Buma says that the 13 000 of September is not enough. Mr Buma says: we must build up the country with asylum seekers' centres. He may be laughing a bit now, but the CDA lets all these asylum seekers in, and the CDA lets us spend all that money on asylum seekers instead of on pensions and other things.
ParlaMint-NL_2015-10-14-tweedekamer-5.u237	Of course, the CDA is quite right that you do not read the laws, but I would like to comment on what you can tell us in the country about the moment you deliver. In the first term, I asked you to reflect on the fact that when you formed the government, thousands of asylum seekers came and you now say: it is going to be zero. Are you going to say in all these places: I tell and promise you that, but the moment I sit at the table, I just let it happen? Do you also say that I am campaigning "65 stays the age," but the day after the election do I turn that in? And you say: I'm going to tell you now that there are zero asylum seekers coming in, but the day that I have the power again, they just keep coming?
ParlaMint-NL_2015-10-14-tweedekamer-5.u238	It is a bit embarrassing to see that Mr Buma is just laughing at people and Mr Pechtold is trying to do a trick now. You do not have all the people behind you, and I believe you are on ten seats in the polls, Mr Pechtold. Your story doesn't resonate. People do not understand why Mr Pechtold and Mr Buma leave these boundaries open. I say to everyone, as I say to Mr Pechtold: at the PVV you know one thing for sure, and that is zero asylum seekers. With us, you know one thing for sure, and that's that the boundaries are closing, that's enough. People can hold us to that. We're not from the Buma and Pechtold Division, but we're opening the borders. We do not, we do not want that, and I am very happy that there is at least one party left in the House of Representatives who dares to represent all these millions of people. And I'm telling you, I'm proud of you.
ParlaMint-NL_2015-10-14-tweedekamer-5.u239	It is not the easiest day for Mr Wilders: a little hand in the pockets and a little discomfort, because yes, it is once again debate blown.
ParlaMint-NL_2015-10-14-tweedekamer-5.u240	It's a great day.
ParlaMint-NL_2015-10-14-tweedekamer-5.u241	You noticed by the first term. With the first group chairmen he still dared, but then came the cabinet. He didn't have a question. Not to the Prime Minister, not to the Deputy Prime Minister, not to the Secretary of State; he had no one to ask. 'Cause he'll see how it goes at the moment it's about facts. If he's been to law enforcement, he'll be dried out here. At the moment he says "zero," it is shown here that he himself is responsible for thousands. The moment he is confronted with Greece, his own past appears to be rather dubious here. I think Mr Wilders should go into the country a lot, but with something else, namely: "I promise you, but I never deliver anything. The only thing I'm giving you is the 20th motion of censure." 'Cause I think that's it today. What an anniversary!
ParlaMint-NL_2015-10-14-tweedekamer-5.u242	I know that it hurts a lot in all those colleagues and groups in the House of Representatives who see hundreds of thousands of voters walking away to the PVV every day. That hurts. I understand the frustration with Mr Pechtold, who is trying so hard and is going to interrupt every detail twenty times. No Dutchman who gets him and no one who looks at him. Every week he returns seats. I am looking at Mr Buma, whose party the same thing is happening. He has about the same big mouth to me, but no beginning to understand what all those voters think and say. We'll represent them. I'm proud of it and I'm going into the country! When Mr Pechtold said in the first sentence of his first term that he found it embarrassing, all those voters who are opposed, I interrupted him because we are not that kind of politicians. We are politicians, Mr Pechtold, who say what people think. We take seriously the sound of the people in the country, in Purmerend, in Almere, and Wassenaar and anywhere else, who say that we do not have a centre for asylum seekers. We do not play The Hague games, in the vein of: were you there then or were you not there then. We take these people seriously. You should do that instead of standing like a sheep laughing at the interrupting microphone. You should do this. You'd learn something from that.
ParlaMint-NL_2015-10-14-tweedekamer-5.u243	It's all questionable games. If anyone's been around here for 25 years, paid by the taxpayer, it's Mr. Wilders. It's the frontrunner of The Hague. It's the frontrunner! When I wake up on Sunday morning, I see Wilders tweeting again about the polls. The fact is, Mr Wilders, that you lost three elections in a row. In the Senate, in the county, in the city council, if you're already in. You must tell the people: I scream, I cause unrest, I set up groups against each other, and I promise you that I will let zero in; but at the moment I am working, I turn all this back in. It's a lot of noise and it's motions of mistrust, but it's a zero, zero. Fat zero.
ParlaMint-NL_2015-10-14-tweedekamer-5.u244	This is why Mr Pechtold will never get past being "guy Pechtold," with a few seats in the polls and no influence in The Hague. Much more important is the total loosening of reality on the street. I have just read you ten, fifteen, twenty e-mails from ordinary citizens in my first term. You're laughing at it, but they're civilians who know their daughter's being chased. That disabled people in the shop are almost kicked out of their wheelchairs by the Islamic scum that makes the streets and shops unsafe. That's the kind of people we stand up for. For those people, Mr Pechtold, the PVV Group is not picking up its nose. We are proud to stop Islamization. We are proud to ensure that the Netherlands remains a safe and beautiful Dutch country. That's what we fight for. Every day. Here in the Lower House and tomorrow again in North Brabant. And next week in Purmerend and I know wherever. You'll see us everywhere. I tell you, Mr Pechtold, people appreciate that. You'll notice. That great zero of yours will have the result that we will be many, many times greater than D66 ever will be.
ParlaMint-NL_2015-10-14-tweedekamer-5.u245	I've been listening to it for a while. Of course, Mr Buma is right. It would adorn Mr Wilders to admit it if he made a mistake. I made a mistake this weekend and just admit it. It would also please Mr Wilders if he said: Mr Buma, you are just right.
ParlaMint-NL_2015-10-14-tweedekamer-5.u246	That is the answer I have given 23 times: it is not.
ParlaMint-NL_2015-10-14-tweedekamer-5.u247	Mr Wilders is only talking about those polls, about the PVV that is getting so big. He says he speaks for the people. But what if his party becomes the biggest? Maybe that's what's gonna happen. Then what does he do with the other part of the people, who 60%, according to Maurice de Hond's poll, think that Mr Wilders is divisive in society? What does he do with those people who do want to receive asylum seekers in the Netherlands? In what way does he ensure that these people are represented? Mr Wilders, you may have your own opinion, you may say what you want, go divinely ahead here, but stop saying that you speak for the whole of the Netherlands, that you are the one representing the Netherlands, because that is nonsense.
ParlaMint-NL_2015-10-14-tweedekamer-5.u248	This is about exactly the same interruption that my colleague put in place in the first place. And I'll give him exactly the same answer. My answer was: I do not pretend to represent everyone. But the people who want more asylum seekers, the people who are going to bring bears and flowers, are already represented by everyone here, from Buma to Klaver, from Mr van de SP to Mr Zijlstra. Those people are represented by everyone. But millions of people, 46%, almost half of the Dutch say "enough is enough," not an asylum seeker. We can't handle it. Those people, half of the Dutch population, are represented here only by the PVV. And that is wrong, that is not something I should be ashamed of, but you, Mr Buma, Mr Zijlstra, Mr Pechtold should be ashamed of. All these people, it's millions of people who find almost no one here who agrees with them. They make fun of them. They're being laughed at. They're called racist when they're not. I'm proud that we represent those people. And I predict that as long as you continue to fool those people and not represent them, we will do so with pride and increasing success.
ParlaMint-NL_2015-10-14-tweedekamer-5.u249	Now, Mr. Wilders, let's deliver. Who here said these people are racists?
ParlaMint-NL_2015-10-14-tweedekamer-5.u250	Well, maybe not here in this room today, but the people are, also by people from GroenLinks, watching you on Twitter, on the Internet for racist until I know what matters. I'm telling you, they're not. They're normal Dutch people who worry about their daughter, about their wife. They're homosexuals who get chased and beaten up on the streets by people who don't like their culture, their orientation. That's what we import. I think that we should take these people seriously, that we should not be laughing about it.
ParlaMint-NL_2015-10-14-tweedekamer-5.u251	I hate what's happening. I'm really sorry when people who just worry about what's going on in their street, in their village, in their neighborhood, are called racist. You know what else I'm really sorry about? That many of the colleagues you address here, including myself, are all called Gutmenschen through social media, often also by PVV's. I am not saying that all PVVs do, but it shows that society is very polarizing, that we are facing each other. Not everyone who is concerned is a racist, not everyone who says that we should be hospitable to refugees who come here is a Gutmensch. Mr Wilders, as politicians, we have a responsibility not to make the differences in society too great. We have a responsibility to take the lead to get through these difficult times. What you're doing is trying to turn people against each other. You can't call yourself a leader, can you? You can't be serious about wanting to be the biggest party, can you?
ParlaMint-NL_2015-10-14-tweedekamer-5.u252	We don't turn anyone against each other. Let me say that first. What we are doing is standing up for all those people who do not feel represented here, for all those people who think that the size of 13,000 asylum seekers per month is a bit full. We have problems in the Netherlands. I mentioned police salaries, care institutions that are closed down, pensions that might be indexed once. That is the problem that we have to deal with. That is why we have been chosen here. We were not elected by the people of Syria, the people of Iraq or the people of Mali, Ethiopia or Eritrea. We were elected by the Dutch people. If we are a true representative of the people, the PVV pretends to be a representative of the people, then we stand up for those people. It is not in the interests of the Netherlands, it is not in the interests of the Dutch people that we bring millions of people to Europe and some of them to the Netherlands unlimited by means of an open border policy. We can't do that. We shouldn't do that. I'll fight for it every day, every day I'm here and in the country, to stop it.
ParlaMint-NL_2015-10-14-tweedekamer-5.u253	I think that most of those people Mr Wilders is now saying are being thrown away as racist are not racist at all. I also think that the vast majority of people, if you talk to them for a moment, are quite willing to take care of people in the Netherlands. However, it is a question of how that happens. The reception must not be too large and spread, people must be properly integrated and there must be intervention if there are incidents. That is also a role that you could take as a representative of the people: try to narrow the differences and see how you can cope with people fleeing war and violence. That is a choice, Mr Wilders. You don't choose to do that. You choose to turn people against each other. You say you don't, but you do. If you set up a resistance to ensure that there are no asylum-seekers' centres, knowing that the borders are not closing, even if the PVV comes into power, then you turn people against each other instead of finding solutions to a problem that we are all facing. Mr Wilders, we are all in this together. It would be a pleasure for you to join in, at least if you pretend to be the biggest. That really requires a little more responsibility than you are now showing.
ParlaMint-NL_2015-10-14-tweedekamer-5.u254	Once again, Madam President, we are not turning anyone against each other. It is too ridiculous for words that Mr Klaver is suggesting this alone. We stand up for millions of Dutch people he abandons.
ParlaMint-NL_2015-10-14-tweedekamer-5.u255	At first it might have been amusing, then it got annoying, but when you said that you were the only one representing the electorate, I was reminded of the conversation I had on Monday with residents of Enschede, who protested strongly against the arrival of the asylum-seekers' centre. Some of them have gone bouncing over the TV footage, with hard spoils about that asylum-seekers' centre. When I asked them, it was a hearty conversation, whether this means that no asylum seeker should be received in the Netherlands, the answer was: "No, of course not. It just shouldn't be here on this scale, not here at this place and not here at this time, but I also think that asylum seekers should just get a place in the Netherlands." This was someone you said you represent. This man, however, had a completely different view of closing the borders from you.
ParlaMint-NL_2015-10-14-tweedekamer-5.u256	I don't believe that. There are probably many more people who think that we should close the borders. According to polls, for what they're worth, almost half of the Dutch population thinks so. It's millions of people who do. Mr Samsom, through you, Madam President, they are not refugees. If they were already refugees, they've come through six safe countries and you have to treat them like migrants. Let us assume that someone has genuinely fled from the violence in Syria, that can happen. He came here through six safe countries; Turkey, Greece, I have already mentioned the list a hundred thousand times. So we don't have to let those people in. We can't let those people in. I don't see people like that as refugees. If someone is on the border from Germany to the Netherlands and says he is a refugee, I say he is not. He comes from Germany, a safe country, and must seek his salvation there and not with us.
ParlaMint-NL_2015-10-14-tweedekamer-5.u257	The people who vote for you know that very well. They're not stupid. They know very well that there are six countries between Syria and the Netherlands that the refugees have walked through. Yet those people also think that you should eventually receive refugees who have travelled here. The voters of you think so, although not in that large-scale way, sometimes not in that place and sometimes not at that time. Your voters are much smarter and less one-dimensional than you are here.
ParlaMint-NL_2015-10-14-tweedekamer-5.u258	It really isn't. I understand you want to make a nice point, but it's not like that. I believe that about 98% or 99% of our voters think, as any research shows, that it is enough and that the borders must be closed. In my opinion, even 30% of the PvdA electorate now thinks so. There are more people in the Labour Party who agree with me than there are people in the PVV who agree with you, please take that from me. Madam President, the Dutch Government sends out an unbridled signal to everyone in the Middle East and Africa: come here, the borders are wide open and we build prefab houses so you can live in them. We may, with the Minister of Social Affairs first, still provide you with a job with the employers. If you get a permanent residence status after a few years, the whole jackpot will play for you. If you are excluded from the boat and do not get permission or license, go into illegality, because even then the VVD will give you bed, bath and bread. If you wait a few more years, illegally and paid by the government, there's always a VVD that gives you a general's pardon. Madam President, mad policy. Crazy policy! And even if they are here with their 80s on the microphone, I will be happy to have a debate every week to repeat this, because this House of Representatives is destroying the Netherlands. This parliament is destroying the Netherlands. This Prime Minister, this government, is doing the same thing. They do not take into account the interests and wishes of millions of Dutch people. I can't send the Lower House home, but I can try to send the Cabinet home by submitting a motion of censure. This will enable what needs to be done, namely an end to the open door policy, an end to the cabinet and a new House of Representatives which, hopefully, will represent the people. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the cabinet is acting against the interests of the Netherlands by not closing the borders for asylum seekers;]] [[declares confidence in the cabinet,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Wilders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1015]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u259	Madam President, thank you for your reply. One of the most commonly used words in this debate is perhaps the word'sober', but that certainly does not refer to today's time span and the number of interruptions. It does make sense what the shelter should look like if it's up to the cabinet. In this respect, the SGP expressed its support for the line set out in the letter. We do not want to encourage a race to the bottom either. It is important that there is decent care, but on the other hand it is also important that the facilities are not so generous as to have a disproportionate appeal to the Netherlands. That is simply a real point, because both sides of the coin matter. It is good to hear that the motion adopted last week by the Chamber for serious work and support in the European context on the surveillance of external borders has the attention of the Cabinet. I hope that it will be well expressed at the European summit as well. Finally, I am tabling a motion underlining the importance of temporary reception. We must do as much justice as possible, precisely in order to maintain and increase support for policy. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, as far as possible, residence permits for asylum are intended to cover foreigners temporarily and to return as soon as the situation in the country of origin so permits;]] [[Whereas the significant increase in the influx of foreigners underlines the importance of temporary residence of foreigners and that the asylum system should provide sufficient space to allow for return within a reasonable period of time;]] [[noting that a fixed-term residence permit is converted into a permanent residence permit after five years if it is not possible to return at that time;]] [[calls on the Government to promote return beyond five years, if the individual circumstances and the situation in the country of origin so permit, and if necessary to recommend adjustments in a European context,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Staaij and Mr Van Haersma Buma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1016]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u260	Mr. Chairman. I thank the directors for their first-term response, but also those who have supported them from all kinds of places in this building. Last week, the question dominated "where's Rutte?" Quite the discussion. Of course, that was a bit faint, because everyone knew that our Prime Minister was participating in an important trade mission in the United States. On the other hand, the discussion also raises an important issue. There is a lot of discussion about refugees in our country. It is a debate, a debate that can, at certain times, polarise quite a lot, both here and in the country. There's trouble. There is also sometimes uncertainty about the approach and how to proceed. I would like to encourage the Prime Minister to take every opportunity to tell the honest story, to take the floor and to play the binding role he can and must play from his position as no one else. We can do that here in this building, but also in the country, of course. With regard to next week's European summit, I would like to put a big line on the Prime Minister's promise that the so-called 'hotspots' should really function. We know that there are all kinds of agreements to get up to six such hotspots, but at the moment only one is active. All the others aren't working yet. Something really has to be done about that. I ask the Prime Minister to make this a top priority in the discussion with his European colleagues. We have also talked a great deal about home care, about the problems with it and about how we can do it better in the future. On this side, I would like to express my appreciation for the work done by the Secretary of State. That work isn't easy. We ask him to take up the small-scale care, on which the Chamber has ruled, as soon as possible. That's good for the support. I appreciate that he has now also made clear agreements regarding the Dutch Team and the return to the original agreements. I urge him to continue to involve the municipal authorities in initiatives to provide shelter, including in order to avoid difficulties in the community. It is important that we now also sometimes take unconventional measures to give the large numbers of refugees a good place. It is very important that it is clear what is at the heart of our foreign policy. That core is: if people are really refugees, we will always try to give them a place. I shall table the next motion for a resolution on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the reception of large numbers of asylum seekers sometimes calls for unconventional measures;]] [[Whereas the adoption of these measures should never prejudice the obligation we have to receive asylum seekers in a humane and just manner;]] [[points out that austerity should never be used as an instrument of foreign policy,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Slob, Mr Klaver, Mr Roemer and Mr Pechtold. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1017]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u261	Mr. Chairman. Mr Slob made a comment on austerity. He said austerity should never be an end in itself. But there is no question of austerity; in my view there is a discrepancy. We shall therefore vote in favour of Mr Klaver's and Mr Slob's motions. During an interrupting debate with Mr Samsom, we talked about existing houses where possible status holders could also be established. In relation to that, I shall table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that figures from the COA show that there is a significant shortage of housing in municipalities to accommodate status holders;]] [[Whereas the cabinet is to use assistance in kind to cover, inter alia, housing costs;]] [[Considering that the housing mission of municipalities in the first half of 2016 is at 20,000 and has been estimated at 23,000 for the second half of 2016;]] [[whereas figures from the CBS show 189,000 vacant houses, of which 101,000 are long-term;]] [[calls on the Government to identify, in addition to the construction of temporary housing and the use of office premises, whether temporary or not, status holders can be housed in existing homes which are long-term vacant;]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1018]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u262	Madam President. I thank the rulers for their answers. They will be present tomorrow at the European Summit on our behalf. I do not think that this is an easy task, and I sincerely wish them much strength and wisdom. In support of this motion, I shall table three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the current continuous influx of asylum seekers is causing increasing problems in many areas;]] [[whereas there is a limit to the reception capacity of the Netherlands, but also of the other European countries;]] [[Whereas this limit will be reached sooner or later;]] [[calls on the government, at the European Summit, to make a substantial commitment to the short-term surveillance of the European external borders,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas Europe consists of more countries than the European Union;]] [[whereas the flow of refugees towards Europe is therefore not only a problem for the European Union but also for the continent of Europe;]] [[Whereas this means that all European countries must make their contribution, including financially;]] [[calls on the Government, on all occasions, to address all non-EU countries directly or indirectly their part in addressing the refugee problem,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1019]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1020]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u263	And my final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in the countries of origin the picture and possibilities in the Netherlands are presented as too bright;]] [[Whereas this is likely to attract more refugees;]] [[Whereas everything must be done within reasonable limits to contain the flow of refugees;]] [[calls on the Government to examine how to organise information on the real possibilities of the Netherlands for refugees,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1021]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u264	Mr. Chairman. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government, the German Chancellor, to call on the European Summit to stop its inviting words about refugees,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas countries such as Denmark and Belgium are actively engaged in discouragement in relation to asylum policy;]] [[calls on the Government, following these countries, to launch an informational discouragement campaign in countries of origin and transit countries,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that thousands of asylum seekers are currently entering the Netherlands per week;]] [[calls on the Government to state the maximum number of asylum seekers that it considers the Netherlands can handle,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bontes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1022]] [[This motion has been proposed by Mr Bontes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1023]] [[This motion has been proposed by Mr Bontes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1024]]
ParlaMint-NL_2015-10-14-tweedekamer-5.u265	Mr. Chairman. For a long time, the cabinet waited. Too long. Only last Friday a first discussion took place with administrators who have been struggling for a long time with the influx of asylum seekers in their municipality and province. And until this weekend, the flying was going to catch each other between the coalition parties. Finally, prior to this debate, a letter has come up with proposals on how to proceed. The CDA will look open to that. But again today there were remarkable differences. Where the Prime Minister spoke in particular about the restrictions and austerities of reception, we saw a Deputy Prime Minister who spoke mainly about exploiting people's opportunities and the opportunities for refugees. Two so totally different statements about the same problem, as if two Cabinets were talking about refugee policy. These differences mean that the CDA will monitor very closely the content of the plans when they are drawn up. The current situation is not sustainable in the long term. It is our moral obligation as the Netherlands to help war refugees as well as possible. This is perfectly possible with a policy characterised by security, austerity and temporaryity. But it falls or stands with a good performance. It should also be made clear that those who enjoy our hospitality must return to their own country after a war to help build it there. This is also because we know that the current flow of asylum seekers will not be the last. In the future, too, our continent will face displaced people from other parts of the world. Even then, we will be asked to be ready. That is why I supported Mr Van der Staaij's motion, which states that temporaryity is not a question of 'five years and you can always stay', but that temporaryness can also be longer, as long as it is justified to go back and help build a country. Very recently, in recent weeks, the number of refugees reached southern Europe has increased. Also from the Balkans, a safe area, we still see people coming to Western Europe. Germany, where the debate is at least as intense as here, is now in the process of increasing border controls on the south side. We also want to establish transit zones for those refugees who do not cross the border. The position of the CDA is that as long as Europe's external borders are not adequately guarded, and that is not yet the case, we must not escape internal border controls. Hence, finally, the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas surveillance of European internal borders is necessary as long as the surveillance of external borders is not in order;]] [[noting that the Netherlands has established a limited form of mobile border control;]] [[Whereas Germany will strengthen border controls at the southern border and establish transit zones;]] [[calls on the Government, in consultation with neighbouring countries, to strengthen the Dutch border controls along the lines of the German approach at the southern borders,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Haersma Buma and Van der Staaij. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1025]]
