ParlaMint-HR_2017-07-07-0.u38846	Mr. Bunjac asked for a word.
ParlaMint-HR_2017-07-07-0.u44034	Your Honor, Mr. Vice President, honourable MPs and counsellors, ladies and gentlemen. I thank you for the opportunity to present briefly the work of the Croatian Foundation for Science for 2015. The Croatian Foundation for Science was founded by a special law in December 2001. In accordance with the Law on Amendments and Supplements of the Law on the Croatian Science Foundation of 2012, the body of the Foundation consists of the Management Board and the Executive Director. In addition to the foundation body, the work of the foundation during 2015 included permanent committees and areas, established according to scientific areas, evaluation panels, reviewers and administrations. During 2015, the Management Board adopted a whole series of acts that would list only some of them. The Work Regulations, the 2015 Annual Work Plan and, in particular, I would like to highlight the Strategic Plan of the Croatian Science Foundation for the period 2014 to 2018, which was sent to the Assembly during 2014, but was adopted in mid-April 2015. The revenue from the donations is in 2015. The year amounted to HRK 97.7 million and consisted of the following items. The most significant revenues from the state budget for funding research projects of €74.5 million were also revenues from the state budget for the programme of PhDs and after the PhD of the foundation of €18.6 million, revenues from the state budget for the work of the foundation amounting to €4.4 million, revenues from the Ministry of Science, Education and Sports for the implementation of the second technology development project financed by the World Bank of 70,333 kuna and revenues from donations from a foreign company... in the amount of 50 thousand kuna. [[The speaker doesn't understand.]] For the most part, operating costs, i.e. In 94%, the project funds or the funding of scientific projects and payments for PhDs, which is actually the basic purpose of the foundation. The criteria for the evaluation of project proposals are prescribed by the Management Board of Foundations, and they are adapted in particular to each competition in order to actually reflect the objectives and objectives of this particular programme. The criteria for the evaluation of project proposals are available on the trust's web pages at the same time as the publication of the competition, which increases the transparency of the entire tendering and evaluation process. The general criteria for the evaluation of project proposals are, I'm going to count them now. So these are the scientific quality, the importance of research feasibility, the quality of the promoter and the research environment. Funding of scientific projects during 2015 was next. At the end of 2015, the evaluation process for project proposals reported on research projects and research projects was completed. At this competition where the deadline for the application was in September 2014, we received 414 project proposals, of which 311, that was 75% for the Research Projects programme, and 103, and 25% for the Founding Research Projects programme. After the project was received, i.e. the project proposals have been implemented. In the evaluation process we contacted a total of 221 Croatian scientists and our call to participate in the evaluation process was accepted by 169 who were divided into 26 evaluation panels within 6 scientific areas. In the same evaluation process, 3214 international reviewers were contacted and 939 and 29% of them, respectively, our call turned down 1282 and 40%, respectively, and 993, i.e. 31% didn't answer the call. These data related to the response to the call for review of our projects are in line with the European average where the figures are approximately similar. A total of 412 project proposals were sent to the second round of evaluations. And for them, it was necessary to provide two reviews that were already being submitted by the international reviewers. Following the completion of the same level of evaluation procedure, the evaluation panels carried out the final evaluation and developed a ranking list of project proposals which were then proposed for financing. Based on the evaluation results and recommendations of the evaluation panel, standing committees and areas, as a senior body, have made a recommendation for funding and this recommendation was then sent to the Management Board and, at the end of the whole procedure, made a final decision on financing. Thus, the final decision accepted the financing of 190 projects, of which 59 from natural sciences, 29 from technical, 18 from humanistic, 26 from social, 41 from biomedicine and health and 17 from biotechnical sciences. In addition to these two programmes, a competition for partnership and research programme was opened in December 2014. This programme seeks to attract additional extra budgetary investment in scientific research in the following way, so that the Partnership and Research Programme supports joint research between public universities or public research i.e. the scientific institutes and extra-financial sources of funding from the country, from abroad. This can be and is expected primarily to be private enterprises but also local administration units, self-government, foreign foundations and/or agencies that finance research, foreign scientific organisations and the like. The total budget of this programme was 15 million, and only 6 applications arrived at the tender. Of these 6 applications, 3 were from the field of technical science and 3 were from the interdisciplinary field of science. During the evaluation, i.e. Finally, two project proposals were adopted during the final evaluation. The Foundation also launched funding for young researchers, i.e. We have opened a competition for the second time called “The project of the development of the career of young researchers, the education of new doctors of science.” This is also one of the strategic goals of the Croatian Foundation for Science, which is one of the strategic goals of the Croatian Foundation for Science. The Strategic Plan of the Croatian Foundation for Science provides for the financing of the development of young researchers' careers as well as the active promotion of mobility from academic to economic sectors, and therefore the foundation, depending on the resources available from the state budget, finances 200 to 250 new students each year through a doctoral study to achieve a stable level of about 1000 PhDs in the foundation support system. In this contest the foundation selects the best mentors who then have the opportunity to hire a doctor, and the cost of their salary is covered by the foundation. The contest opened in September 2015, and the foundation received a total of 251 applications from the mentor candidates. As with project proposals in these previously listed tenders, the maximum number of applications was received from natural sciences, i.e. 86 of them. Then follow technical sciences with 64 applications, biomedicine and health care with 40, social sciences with 29, biotechnical sciences with 18, and humanities with 14 applications. Of the 251 candidates reported, 212 and 84.5% of mentor candidates are leaders or co-workers on projects financed by the Croatian Foundation for Science. 36 and 14.3%, respectively, were actually reported leaders of international projects while 3 of them and 1.2% were engaged in centres of excellence. If we look at the distribution according to the applicant's parent institutions, we see that the most applied candidates for mentors are 49.8% employed by the University of Zagreb. Then followed by the Ruđer Bošković Institute as our largest scientific institute with 17.1%) and other public institutes with 14.3% and then followed by the University of Rijeka, Split, Osijek and the University of Zadar. The Foundation ended the evaluation process for mentor candidates in November, but the competition by the end of 2015 was not fully completed because no funds were provided for the employment of young researchers. The funds are only provided by the state budget for 2016, and only 158 PhDs have been employed since September 2016. The increase in the number of applications shows that it is necessary to increase the resources for the recruitment of young researchers because their number in the system has been falling significantly, and for a long time there has been no significant employment, which, unfortunately, will, over several years, create huge problems for the academic community in Croatia and for the continuation and also for science, or research. In addition to these contests, the foundation has opened and a competition called... a story for excellent and young scientists in the field of pharmacies. [[The speaker doesn't understand.]] This tender was opened on the basis of a grant contract concluded between the Croatian Science Foundation and ABVI pharmaceutical company worth 50,000 kuna. The award was intended for excellent young scientists to conduct research that finance innovation in the field of pharmacies with the aim of fostering innovation development and further cooperation between industry and public scientific institutions in the field of pharmacies. Research for 12 months is also funded. The competition was first published in 2013 and the second time the competition was opened in June 2015. And the winner of the award, so for 2015 he was Dr. Matija Gredičak of the Ruđer Boskovic Institute. The Ministry of Science, Education and Sports on behalf of the Government of the Republic of Croatia launched a programme called the Unity Fund in 2007 with the help of knowledge. The fund was initially supported by the World Bank loan under the Croatian Technological Development Project. In February 2014, the Croatian Science Foundation took over from the Ministry of Science the implementation of this fund in a way that we signed an agreement on the transfer of funds to the Croatian Science Foundation. So in 2015, this fund opened a competition under the Program of Scientific Cooperation, i.e. Support named across the border supported research projects in Croatia, which include cooperation with the Croatian Scientific and Professional Diaspora. The objectives of support across the border are to enable Croatian scientists and experts who live and work abroad to start and establish scientific cooperation with domestic and foreign scientists and experts who live and work in Croatia, but also to encourage Croatian institutions and companies to use the potential of Croatian and scientific professional diaspora. The tender was opened from March to June 2015 and received 71 project proposals, funding contracts were signed after the evaluation process was implemented, for 9 projects worth 11.3 million kuna. Their implementation began on 15 December 2015 and ends on 15 December 2017. In its business during 2015, the Foundation financed and monitored a total of 449 projects totalling 320 million kuna. Of which 332 projects are implemented in our biggest programme, research project. 97 projects in the Programme set up research projects, 6 projects in the Programme for Economic Cooperation called Partnership Research, 3 projects in the Programme of Cooperation Research Projects, 3 in the Programme for the Establishment of Support, 3 in the Research Project Foundation and 5 projects in the Research Networking Programme. At the same time, through the project of the development of the career of young researchers, gross salary was financed, 176 PhDs, and in the framework of the Unity Fund, with the help of knowledge that I have recently cited, funded and monitored 27 projects totaling around 32 million kuna. As regards international cooperation as one of the key factors that guarantees the improvement of the quality of scientific institutions, as recognised in Europe, but also in Croatia. The Foundation aims to strengthen international cooperation, i.e. internationalisation of action and programme. The Croatian Foundation for Science is therefore a member of the Sence Europe association in 2014. Sence Europe is an organisation that brings together European institutions that finance scientific research, and actively participates in the work of the organisation itself, as well as its working groups. The aim of Sence Europe is to promote the common interests of all Member States' institutions and to support members in improved scientific research in Europe. As regards international cooperation, i.e. the procurement of funds between national sources in June 2015, a framework agreement was signed between the Swiss Federal Council and the Government of the Republic of Croatia on the implementation of the Swiss-Croatian Co-operation Programme to reduce economic and social inequalities. Under this programme, a donation amounting to 45 million Swiss francs, i.e. around 326 million kuna, has been provided. And for projects to be implemented from 2016-2024. Among other things, two activities to be carried out by the Croatian Foundation for Science are foreseen. One will be implemented in cooperation with the Swiss Science Foundation, in order to ensure the preconditions for scientific research projects, and the other will be in cooperation with the Swiss partner EPFL... which will provide an incentive environment for the scientific career in Croatia. [[The speaker doesn't understand.]] The Croatian Foundation for Science continues to consider it necessary to encourage a wide range of research and development activities and programmes that would integrate Croatian scientists into the European Research Area. Since the European Research Area is the best integrated countries that invest most in funding science at national level. It is through regular competitions of trust and funding of best projects and rejuvenation of systems through the money of the employment of PhDs that Croatia can and must raise the quality of scientific research, ensure that our best scientists conduct their research and develop their careers in Croatia, as well as attract excellent young foreign scientists and ultimately increase the competitiveness of domestic research groups in European scientific programmes and funds. As in most EU Member States, which finance scientific research through national foundations, financial resources as well as the allocation of funds for individual trust problems, depend primarily on the resources provided from the state budget. Unfortunately, for several years, it has continued to worry about the decline in investment in scientific research, and the Foundation's Management Board has repeatedly warned that financial resources below critical levels are sufficient for the development of competitive scientific research, but also insufficient for the development of the career of young researchers, which in the long run reduces Croatia's competitiveness in the European Research Environment. Unfortunately, according to the UNESCO report on science for 2015, Croatia has been one of the few countries in Europe in which R & D allocations have steadily decreased since 2004. In funding from the state budget, the foundations also seek to increase part of the extra- budget financing of scientific research and to provide funding from European and other international funds. So the foundation has been actively involved in finding new opportunities, withdrawing EU funds, and will in particular complete its budget through the European Social Fund to provide funding for the Development Programme in the career of young researchers, as well as for the Cooperation Programmes with the Croatian Scientific Diaspora. Finally, however, it is not possible to maintain the quality of international competitive scientific projects and the development of young researchers' careers with state funding of only 100 million kuna per year. The lack of budgetary funding is not possible, meaning to replace here with extra budget funds such as grants and European funds because they are not primarily long-term and cannot intend to maintain the institutional stability of the National Scientific System. Thank you.
ParlaMint-HR_2017-07-07-0.u44035	Thank you very much. Does the committee reporter want to take the floor? No, I don't. Thank you. Does the Prime Minister want to further explain his opinion? No, I don't. Thank you. I'm opening a debate. The first one appeared on behalf of the Mosta, the Club of Representatives of the Mosta, the distinguished representative Marko Sladolev. Here you go.
ParlaMint-HR_2017-07-07-0.u44036	Thank you, Mr. Vice President. Dear Mr. Matakovic. A bridge of independent lists will support the Annual Report of the Science Foundation for 2015. The bridge is also an important work of the foundation in the previous assembly of colleagues from HSLS and the Most Foundation was awarded around 7.5 million kuna additional funds, which is not much, but is one message that we have important work of foundation and science. However, we have three well-intentioned remarks on the work of the trust, i.e. about the report. One refers to the evaluation process, the other to the project of the development of the career of young researchers and the education of new doctors of science and the third social and scientific impact of funding. We believe that the process of evaluation of the project's application is so set that the Management Board is in control of the evaluation process and thus the process of assigning projects to the Management Board to determine the forms, criteria and appoint the Standing Committee. The Standing Committees then appoint evaluation panels that conduct the pre-separation and send the same level of evaluation to the reviewers of their choice. In pre-locations, around 25% of projects are rejected on the basis of internal criteria and sad evaluations. Prelocation of such a form is an unusual mechanism, for example. the prestigious European research council grants do not have a pre-location but the evaluation of the project is based on international historical evaluation. The report does not discuss how conflict of interest is avoided. A foreign example of good practice is the Unity Fund, with the help of knowledge that has so fully implemented projects in its first cycle, and in part until 2014 when it was transferred to the jurisdiction of the Foundation. Pre-location under the control of the foundation does not create savings, a quarter is denied but unfortunately opens up the possibility of conflict of interest which is particularly expressed in small areas such as Croatia. The second comment is on the development of the career of young researchers and the education of new doctors of science. Employing new doctorates, a scientific spring through the foundation, should be the cornerstone of the refreshing of scientific staff, but as a result of several errors and authorityal approaches, there have been several major employment problems. First-generation doctorates from 1.1.2015 are not employed at the workplace and are paid by the doctorate in accordance with the Law on Scientific Activity and Higher Education, as stated in the report, but at the place of the expert associate. That's when the foundation hired the doctors to do the same work as their colleagues, but for less pay. It did not bring any savings to around 6% of the net salary, but it unnecessarily exposed the system to the potential of the lawsuit and created injustice in the system. The contracts that were made were also in breach of the Labour Act and until the direct intervention of the trade unions of the Ministry of Science and Education and Sports and the Ministry of Labour and Pension System was the only solution to the termination of the labour contract for two years. Therefore, this system does not work well even though it leads to some innovation compared to the old systems and it is commendable. The third and final observation is that the social scientific impact of funding is. The role of the Trust Management Board is to strategically direct science funding in line with national priorities. As part of the annual report of the Foundation, it does not give concrete distribution at any time by projects of national interest Stan area and area of the issue of national identity or comment on the expected impact of the implementation projects, it is not discussed how funding contributes to the national strategy or what is the context in terms of eu ranking. The overall report does not have sufficient relevant quantitative, qualitative indicators to be achieved or planned. Insufficiently discusses the number of patents and the number of scientific publications or collaboration with industry in the context of invested finances. From the annual report, it is impossible to assess the contribution of the foundation to financing the Croatian research space, but only that the foundation produces the activities it should. Thank you very much.
ParlaMint-HR_2017-07-07-0.u44037	Thank you very much. Before I give my word to the next club I can't take the impression and I have to mention how we all usually drill into our chests how important science is and that only science can get us out of a difficult situation, etc., and this class with letters and figures seven (7) MPs in the hall, well with me eight, which points to the position unfortunately of our colleagues on science. We're clearly heart-to-heart for science, but that's not what you'd say. I had to say it or I'd have to go out on my elbow. The next club of MPs is the SDP on behalf of which the distinguished representative Zeljko Jovanovic will speak. Here you go.
ParlaMint-HR_2017-07-07-0.u44038	Thank you very much, Mr. Vice President. That's exactly what I wanted to start with when I counted that we were eight. I also have one comment that I think would be useful if, apart from the representatives of the Croatian Foundation for Science here and the representative of the Ministry of Science and Education, it was almost pointless to discuss, and there is no representative of the Ministry of Science and Education. Otherwise, at first I can say that we will support this report with another remark that we are discussing the 2015 report, and 2016 is long gone. Perhaps we should have made an effort when this report was too late to have today's 2016 report so we could discuss both reports together. What should be said is that this form of foundation began working somewhere in April 2013 when it was decided to change the way of funding scientific activities in Croatia and that the Croatian Foundation for Science became the central place of funding science with the primary goal of leaving science to scientists and that politics only has the role of supervision. So scientists decide what and how to develop science and politicians try to secure as much money as possible for science and to monitor whether that money is spent transparently and to improve science. We heard from the opening statement, so maybe there's no need for me to repeat all those numbers. In addition, 449 projects totalling 320 million kuna were financed. It should be pointed out that following some initial problems, initial errors in the steps during 2015 have been further improved procedures for receiving and evaluating applications for research projects, the education of PhDs, the manner of reporting has been simplified, and thus the foundation responded to the observations of the scientific community that were related to what it was in 2014. The transparency, evaluation of the decision on the financing of the best-valued projects and the monitoring of the responsibility of the use of money entrusted to the Foundation for the achievement of those tasks set up before the Foundation and as indicated in this report. What was especially in 2015 and the new challenge was monitoring the projects, as the first periodic reports of previously approved funded foundation projects began to arrive. It should be said that despite the lack of funding, the foundation has quite well met its role as the central bodies providing financial support and stronger and human resources and procedures and thus helps positioning science as a driver of positive economic and social change, which we keep repeating here in the Croatian Parliament and when we bring the budget and when we discuss education and science but ultimately remains the problem of how to provide it through adequate funding. So I will repeat again the Croatian Foundation for Science takes the central place in the financing of scientific research and we can all agree that Croatia must insist on increasing investment in science and higher education in the coming period because in all our strategic guidelines and documents we have defined that education and science is a key factor in Croatia's economic development. What is special, which I would like to highlight in this report, and as regards the monitoring of the work of the foundation and everything that is mentioned in this document and what was highlighted by the introduction of the Croatian Foundation for Science and the colleague of Sladolev in his debate, several things that we would like to draw particular attention to. So it is a pity and we regret that the budget has not yet provided the funds according to the 2013 plan when the aim was to make this kind of science funding in Croatia up to about 750 projects in permanent financing. So that was the plan when in 2013, this kind of funding of science was established in the Republic of Croatia, we see that we are somewhere on 449 projects. What should certainly be pointed out is that the Croatian Foundation for Science as a foundation needs a little more attention and effort to devote and secure funds that do not come only from the state budget. I regret that still the only real donation somehow external was the company's donation... in which I myself participated in 2013 and I think that this was a good example of how a stronger relationship with the economy could be ensured. [[The speaker doesn't understand.]] Therefore, the science-connection programme with the economy cannot yet be overestimated as too successful and should certainly be potential for all that the foundation is doing in the next period. What we can hear from scientists themselves, which is that administrative procedures are still sometimes rigid and sometimes require too much involvement of scientists in paperwork, which is the most common observation of scientists and that scientists do not like to waste time on paperwork. The report did not reveal the number of projects accepted by individual institutions in the RS Science System, which would certainly be an important and interesting data. Some scientists also commented on the process of reviewing the Croatian Science Foundation, especially in cases where the evaluations or assessments in two external reviews are diametrically opposite. At the same time, the third review is not possible, nor is it taken into account in any way by scientists' remarks. So if we have really diametrically opposite two external reviews I think we should try and get to the third review to see actually where the problem is. In this connection, the process of estimating the quality, procedures and procedures of the Croatian Foundation for Science and the evaluation of the quality of the evaluators used by the Foundation should be established. So it's important to see how they do their job. What I wish to draw attention to in time to the Management Board of the Croatian Foundation for Science and the Ministry that members of the Governing Council were elected at the beginning of 2013, that their term of office takes five years so that it should be kept in mind that as soon as possible the procedure for the selection of new members of the Management Boards so that there is no delay in the procedures before the Croatian Foundation for Science. Lastly, I will quote six objectives set by the Strategy for Education, Science and Technology. So in the field of science and technology, the strategy sets out 6 objectives: 1. the rapid launch of changes in the system of higher education and science, 2nd international competitive and public universities and public scientific institutes in Croatia's highly educated research space that create new scientific, social, cultural and economic value, 3rd environment that enables and promotes interaction and transfer mechanisms of cooperation of the research community with innovative economies and social activities. 4. universities, universities and scientific institutes involved in smart specialization processes and related guidelines for technological development. 5. National research innovation infrastructures with public access, including and linking to European infrastructures, the 6th growth in R & D investments, the improvement of the public funding system and the promotion of business and social sector investment in research and development, which I have talked about and in my debate. And these six objectives are defined as the 28 measures that need to be taken to achieve these objectives. And I'm just going to look back at the sixth goal again. I will therefore repeat the growth in R & D investment, by improving the public funding system and by encouraging investment in the business and social sector in R & D essentially refers to measures to achieve an increase in R & D of 1.4% of GDP, of which 0.7% through state and public funding, of which 0.7% through state and public funding and by general refocusing expenditure towards research towards research and innovation and small and medium-sized enterprises, and by strengthening the financing of development research conducted by the business sector from other national and foreign sources seek to achieve a total investment of 2% of GDP in 2020. So in 2011, that percentage was 0.75, 2014. 0.81 and our goal was to reach 2% by 2020, with half of that growth coming from the economy and half from the state budget. Here, this is the task that here 8 of us should encourage the Croatian Parliament to ensure when budgeting if possible. Thank you very much.
ParlaMint-HR_2017-07-07-0.u44039	Thank you very much. We have one replica of the distinguished representative Bedekovic. Here you go.
ParlaMint-HR_2017-07-07-0.u44040	So here is my colleague Jovanovic, although I was going to say this later in the presentation, but I still have the need to stress it again and agree with you, I would refer to that part of your presentation in which you spoke about the need to strengthen public investment in scientific research, and I would like to say that we need a stronger integration of science and economy, because this is something that will, among other things, contribute to the competitiveness and then to Croatia's competitiveness both in European and then in a wider world scale and remind that the foundation is founded with a fundamental purpose of providing support for the development of basic, applied and development research. I would put it here when it comes to connecting with the economy, especially the emphasis on applied and developmental research and on taking care of the application of their results in practice, because in the end, why we are doing research on one of the basic objectives and the purpose is certainly research aimed at improving practice and, in that sense, I think we should strengthen so on. The third mission of higher schools and institutes, therefore, and all those involved in scientific research, in order to ultimately focus all this together on improvement, as I have already said, competences and competitiveness of Croatian society.
ParlaMint-HR_2017-07-07-0.u44041	Thank you for the response of the esteemed representative Jovanovic.
ParlaMint-HR_2017-07-07-0.u44042	Thank you very much. My colleagues, so very briefly I reiterated what the strategy says, that the goal is to reach 2% of GDP, this would be an increase of 1.4, but from the state budget it is truly unrealistic to expect all these funds to be secured rather than half. Half should come from the state budget and the other half from cooperation with the economy. Here I come from a river university where we have really received great equipment in the past term, and that equipment will only make sense if it is used by the economy and if, through this cooperation with the economy, the development of the economy is ensured and the return of funds to a university that will encourage further employment of young scientists, and the return of our scientists from abroad in which the University of Rijeka is very successful at the moment, and that is precisely the goal of developing science in Croatia.
ParlaMint-HR_2017-07-07-0.u44043	Thank you. Next club of representatives of the HSS. The esteemed Kresa Beljak does not have a speech, so he loses his right to speak, and then, on behalf of the Club of Representatives of Independents and HSU, the distinguished representative Vesna Pusic will speak. Here you go.
ParlaMint-HR_2017-07-07-0.u44044	Thank you, Mr. Vice President, Mr. Matakovic, colleagues and colleagues. Of course, we all have this chamber atmosphere in which we are having this debate as few of us as possible, and in some ways I feel like “teaching to the converted” or as if I can assure those who are already convinced of these things that everyone here had to say. But it may be an opportunity for a couple who are interested in us not only because of our former or parallel careers, but also because we are convinced in any case, I am convinced that this is not only a question of the development of science and research but in a country such as Croatia and the size and economic situation and the need for rapid and accelerated development, that this is an identical issue, an economic question and any other question. That it's actually based on the answer to who we are and who we're going to be in ten or twenty years. And from that point of view, I think the first idea of the Croatian Foundation for Science was and remained a very good idea, that it should be supported, developed and I will say a few things about this report which our club will of course support. But I'm going to take that opportunity just a little comparatively in the end to remind us, first of all, it needs to be financed because whatever we're talking about here, without money, this area simply can't work. And that's what it is, I have a feeling not only of the number of people who are here but also of generality, there will never be anyone who will say it's against it, but that a lot of people in the deep soul think it's some luxury and that there are some few wisers who want to do it, but that de facto there are hundreds, that I don't say thousands of more important topics and more burning questions than this. It's my deep belief that it's not like that, that it's just the other way around. And a lot of what we're dealing with here as burning issues and as terrible crises or some trouble that we find ourselves in is the result of the fact that we're not taking long-term care of this. And that really applies to everything because like I said, it seems like a lot of people think it's a luxury first. And the second one swears greatly before the elections because this science and education are always perceived or at least still perceived in our society as some instrument of social mobility. After the election, however, it will be in some donkey bench that entire vault. So, the Croatian Foundation for Science was founded as you know in 2001, in 2003 this board of directors was appointed and then de facto it began to work. It is interesting that the first projects were support for higher education reforms in 2004 and the inflow of brains, therefore bringing not only people from Croatia who are in diaspora, but generally attracting talented highly skilled and educated people in Croatia. One part or some elements of this project support for higher education reform are seen throughout the concept of education reform. The question is how many of these research results are used, what are done with them when they come. And they're not stupid people, and they're not worthless results. These are all the topics that, I think, have anything to say to what extent it is more relevant than the current ones with the forgiveness of the words of the political talks that we often have on these topics, not looking back on what we paid, or what Croatian taxpayers paid for. That I'm not going to the whole history of the Science Foundation now and when what's being introduced. What I find crucial and what I really need to work on is this instrument... evaluations by people in the same area, the same profession by international experts. [[The speaker speaks English, not understood.]] In a small country like us, such as Croatia, which has an even smaller or appropriate smaller scientific community where everyone knows each other, went together to school or college, loved or not for any reason 30 or 40 years ago, it is necessary to have an external, therefore international evaluation where people will have no idea who the project author is, but simply look at quality and measure. As long as we have this evaluation within our own environment, it's impossible that antipathies and sympathys of individuals that last for decades don't play a role. And that is why this international evaluation is something that I think is crucial to develop and work on and perhaps design additional ways to involve people and motivate top experts in certain areas to participate internationally. Because, of course, it's hard to get people to do that, to participate in this evaluation. But without it, we don't have a chance to actually be useful. By useful thinking and objectively, that is to really recognize quality regardless of some personal relationships within our small scientific community. From that point of view, I agree with what is said to be a somewhat questionable mechanism. It's clear to me that not everything can be sent, because it simply doesn't have enough people internationally who want to accept to be reviewers. And there are probably some things that are simply not at the level at which they should be, but perhaps more clearly or in some let's say a more transparent way to execute that pre-location where it would refer to the technical characteristics of the project precisely in order to allow as much objectivity as possible in the evaluation of the proposed projects. In 2015, as reported in this report, this follow-up of ongoing projects began. So, not only wait for the project to be completed but to either assess the quality of the proposed project, but also to monitor and implement the project which I think can be if it is good and quality work can only be useful and I think it should be developed and continued. Another institute or another form of work that was introduced here was the research partnership, i.e. the partnership between institutions financed from the budget and other elections outside the budget sources of income, i.e. the economy, foreign foundations, etc. It's my opinion that it's certainly good and it should be done, otherwise it can't be done. But at the same time as you look at Croatia, you have five companies that, when anything ever comes to mind, always go to them, for science money, for money for local self-government, for money for culture, for money for art, whatever you can think of, it's these companies. It's just a situation. So it seems to me that it's not enough to say that it's necessary to do so. That you might need to come up with some kind of more proactive policy, which means doing it? Maybe with some stronger tax reliefs than those that have been planned so far, maybe with the Institute of Technology Parks at universities, where what they're doing there in cooperation with the economy would be spent in some kind of practical product, let's say. Every man who deals with science, even social sciences, which among natural scientists should always be a little bit told about having a need and a desire for what some knowledge has come to, to try to translate into something that really works or reflects on real life. So, I think this partnership is a good idea, practically another way we don't have, that all of these things are somehow increased by funding, but that there should be one more proactive attitude by the state, and as far as tax policies and reliefs are concerned, and as far as these technological parks are concerned, and maybe some other ideas that don't come to mind right now, but they're certainly coming up with it. Connecting scientific and academic institutions, institutes and researchers from the economy is an obvious and good thing and should certainly be supported. And now just in the end, a brief comparative review of the funding of science and research in us and in the EU 28 plus 10 countries, some of our neighborhoods, some of Europe's economic space and some of the world's like the United States, Japan and South Korea that are considered here. Namely, this whole debate about the Croatian Foundation for Science and what I should do and what shouldn't be a little bit like that story, when a little boy comes into the store and says, "Please mix me with candy for 1 kuna, and the seller gives him 2 candy and says, and mix them yourself." So here and here, what the Science Foundation would need, but there's no money, there's no money to do it. I agree that we should do all this and now, of the 38 countries that have been taken into account here, just for 2015 is the last year to be combined, so 28 EU members, and 10 of these non-EU non-EU members, Croatia is at the worst 18% to say so, i.e. 7 from the bottom. As a percentage, the GDP that is allocated for science, so 0.85% for 2015. We are worse than Cyprus, Latvia, Malta, Romania, Montenegro and Serbia, with Montenegro and Serbia being data for 2014 and Serbia having 0.77, and we have 0.79. So from that perspective, it's hard to say what we should. That's why it's a topic for us. It has to be a political decision. There's no other way. And like any political decision, it's a choice. Those money's got to be taken somewhere. At a time when the economy is in a very bad situation, it is particularly difficult, when it grows slightly, as it is now growing slightly, it might be a time to do so and I will end up with the highest percentage of GDP in science and research going to the absolute most successful countries of Europe, Scandinavian, with 3% of them being much more money than 3% of us.
ParlaMint-HR_2017-07-07-0.u44045	Thank you very much. We have one replica, distinguished representatives of Grodana Peric. Here you go.
ParlaMint-HR_2017-07-07-0.u44046	Dear colleagues, really reading this report, I wondered what we actually invested, what we paid for and what we got for it, and did we get it? But in another way, I am pleased to see that here, specifically for competition applications, research projects and research projects, we have, from 414 project proposals, even 311 is a tender for research projects and 103 for establishment. And of that, when we look at the structure itself, it's 101, 24.4% biomedicine and health care of 97 23.43 percent and technical sciences are even 16.43% or 68%. So total, natural sciences that prevail in terms of social ones, which is very, very good and that should otherwise make us happy that this is happening and that research is most directed here, and I really expect that we will then have some benefits or application in society, and then also in the quality of life and GDP growth.
ParlaMint-HR_2017-07-07-0.u44047	Thank you. The answer of the distinguished representative Pusic.
ParlaMint-HR_2017-07-07-0.u44048	Thank you very much. Bravo, it is good to take projects from natural and technical and medical sciences etc. report largely, however, these projects cannot be financed unless you have money. Danes of the Danish budget do not have 3% of the same 3.33, Finns 3%, Sweden 3, and some percent, these are their budgets not of our budget, not of our budget, but of the small GDP, but of their GDP which is more than ours. And regardless of the areas, and as I said in these areas projects are additionally expensive if you give people insufficient money, they won't do anything and it's actually even more expensive than anything when they make something half. But like I said here, I don't think there's any difference between political options, it's just one negative social value that if we can change it together we should. Thank you.
ParlaMint-HR_2017-07-07-0.u44049	Thank you. The next club of MPs is the HDZ on behalf of which the distinguished representative Vesna Bedekovic will speak. Here you go.
