ParlaMint-HR_2017-04-05-0.u25144	Are they interested in taking a break? There are. Representative Alexic.
ParlaMint-HR_2017-04-05-0.u35641	Next, first, the proposal for a decision to resolve part of the members of the Governing Council of the Croatian News Agency. Secondly, the proposal for a decision to appoint part of the members of the Governing Council of the Croatian Reporting News Agency. The proposal is proposed by the Government of the Republic of Croatia. The debate is closed. In accordance with Article 12. The law on Croatia's reporting news agency on each proposed member of the Governing Council of HINA will be voted individually. First, I am voting on the motion to relieve the member of the Board of Directors of HINA from the ranks of HINA employees Slavica Cvitanic. Please engage, let's vote. The vote is over. I find that the proposal has been accepted unanimously. I am voting on the motion to relieve members of the HINA Management Council from the order of economic and financial, legal and information experts, Josip Weber. Please engage, let's vote. The vote is over. I find that the proposal has been accepted by most votes. 128 for, no abstentions and one against. I am voting on the motion to relieve members of the HINA Management Council from the ranks of economic and financial, legal and information experts of Mr. Vlada Rajic's sciences. Please engage, let's vote. The vote is over. I find that the proposal has been accepted unanimously. I am voting on the motion to relieve members of the HINA Management Council from the order of economic and financial, legal and information experts, Roman Juric. Please engage and let's vote. The vote is over. I also find that this proposal has been accepted unanimously. I note that we have reached a decision on the resolution of part of the members of the Administrative Council of HINA as proposed by the Government of the Republic of Croatia. Second. Dear MPs and MPs, we will now vote on the appointment of part of the members of the Governing Council of HINA. I am voting on the proposal to appoint Slavica Cvitanic as a member of the HINA Management Council from the line of staff in HINA. Please engage and let's vote. The vote is over. I find that most of the votes 126 in favour, 1 abstention and no vote against the proposal has been accepted. I am voting on the proposal to appoint Bruno Dobrinić as a member of the HINA Management Council in the order of economic and financial, legal and information experts. Please engage and let's vote. The vote is over. I find that most of the votes 122 in favour, 3 abstentions and no votes against the proposal are accepted. I am voting on the proposal to appoint Maja Pleskalt as a member of the HINA Management Council in the order of economic and financial, legal and IT experts. Please engage and let's vote. The vote is over. I find the proposal accepted unanimously. I am voting on the proposal to appoint Romana Bogut as a member of the HINA Management Council in the order of economic and financial, legal and IT experts. Please engage and let's vote. The vote is over. I find that most of the votes 123 favour, 1 abstention and no vote against this proposal has been accepted. I note that we have reached a decision on the appointment of part of the members of the Administrative Council of HINA as proposed by the Government of the Republic of Croatia.
ParlaMint-HR_2017-04-05-0.u35642	[[CONTINUATION AFTER THE MEETING AT 11:00 A.M.]] Proposal for a Act of the Government of the Republic of Croatia pursuant to Article 85 The Constitution of the Republic of Croatia and Articles 172 and 204. Rules of Procedure of the Croatian Parliament. The material was delivered to the boxes. On the occasion of the agenda, we accepted the proposal from the Proposer to discuss this legislative proposal in an urgent manner. In accordance with Article 204. The Rules of Procedure shall unite the first and second readings, and the amendments may be submitted by the end of the debate in accordance with Article 197. Rules of Procedure. The debate was conducted by the Committee on Law, the Committee on Economy and the Committee on Justice. Some reports have been received at the meeting, and the Committee on Economy's report will soon be divided because this committee has only recently completed its work. I would now like to ask the applicant's representative to further explain the proposal. This is Prime Minister Andrej Plenkovic, Prime Minister of the Government.
ParlaMint-HR_2017-04-05-0.u35643	Good afternoon. Dear MPs and MPs in the Croatian Parliament. Thank you for the words, Vice President Jandrokovic. Ladies and gentlemen. Deputy Prime Minister Martina Dalic and I have agreed to share these 30 minutes we have on behalf of the Government, so I will hold a first-part presentation, and the Minister of Economy will clarify the individual provisions of this law in the second part. So before you there is the Act on the procedure of extraordinary administration in companies of systemic importance for the Republic of Croatia. This is not a law for Ivica Todorovic, this is not Lex Agrokor, this is a law by which the Croatian State, Government of the Republic of Croatia, and I am convinced that the vast majority of representatives in the Croatian Parliament are protecting the interests of the Croatian financial system, Croatian economy, workers and employees of Agrokor, OPG, suppliers and all stakeholders currently involved in the process that is taking place in connection with our largest company. There we must be quite clear and the Croatian public should be fully aware of it. This law has its own political context, has its own economic, financial, strategic, foreign policy if we will, labour-legal context, agricultural context and all this is on the agenda of the Government of the Republic of Croatia with or without this law. It's all on the agenda of all political states in the Republic of Croatia with or without this law. Why are we deciding on this law? That's the key and that's the fundamental question? In some situations where the social market economy, which in principle in free countries, countries of democracy, capitalism needs in a market that is most reasonable and in accordance with best practices regulated by the legal framework, comes into a situation of certain difficulties, a particular problem, when possibly only and all stakeholders of this process are unable to find a solution, then this is the moment where the government, the state institutions need to take responsibility and try to help solve the problems that currently exist. That is the fundamental meaning and purpose of this law. And I think it's important that we all fully understand the war of our engagement. It's a key prerequisite and it's the essence of this law. At the same time, we want to protect our taxpayers, all the people in Croatia, because the law refers to what we precisely defined societies of systemic importance. And companies of systemic importance, in our opinion and according to the criteria which determines this law, of course, relate to the number of employees, to the overall importance associated with the demarcation of business, to the participation in GDP revenues, but also to existing obligations that such companies may have. So we have put two basic criteria in this law that it is companies that have more than five thousand employees on average, and that have obligations greater than seven billion and 500 million kuna. Such companies in Croatia do not have much, but there are enough of them to employ 11 and a half percent of total employees in Croatia and make up 34.6% of GDP. These are facts and it makes them systemically significant. In particular, Agrokor is a company that has 60,000 employees not only in Croatia, but in neighbouring countries, which has more than 5,000 suppliers, which has more than 70 companies in the context of a concert and which is currently in some difficulties. The fact that one of the Credit Rating Agency Moodys has reduced the credit rating of Agrokor from B3 to CAA1 with negative prospects and, of course, an assessment that concerns and requires special efforts and special circumstances. Here I would like to say that Agrokor is, of course, a private company, the Croatian Constitution, all our legal regulations protect private property, protect freedom of entrepreneurship, and we do not give up on that. And this law is written in a way that is in line with the Constitution of the Republic of Croatia. That is also what I want to say at the beginning because I think there has been a lot of debate in the public on this subject, and it is very important in my court because this law follows several constitutional principles. It follows the provisions of Article 49 which discuss the responsibility of the State to promote economic progress and social well-being. The following is Article 3 which speaks of social justice as one of the highest values of our constitutional order. Next, Article 16 in which we are talking about the general principle of proportionality in the Constitution of the Republic of Croatia, where the restriction of freedom or rights can only be made proportionate to individual cases and needs of the situation. But what is most important and most important is that this law follows Article 50(2) which speaks of proportionality in the restriction of entrepreneurship and ownership rights and can only be limited in order to protect the interests and safety of the Republic of Croatia, nature, the human environment or human health. That's the key. These constitutional provisions were the framework on which we developed the proposal for this law. What is the key and purpose of the process that should solve this problem? The script A. Screenplay A is currently going on. The owner, the management obviously through the process of dialogue with all interested stakeholders, and that is primarily for the believers, aims to find a solution for suppliers. This solution involves a fresh, new liquidity, so the willingness of credit institutions to give the company in these circumstances fresh money. This fresh money should be used for business, this fresh money should be used for salaries of workers and employees, this fresh money should be used to settle tax obligations and this fresh money should be used for payments made to suppliers and small and large, all those who are in that business chain relying on the business of our largest company. The scenario also includes a restructuring process that is necessary and crucial in the circumstances that the company faces today and that, as you can see in the public company itself, is working. If an agreement was reached which, as we can also see, would allow that creditor who is now ready to provide fresh liquidity under these circumstances to ensure that his demand gets the status of the oldest demand, which means the one who gives the last one when the situation is as it is, then he gets the championship when it comes to the repayment of those financial liabilities. Then there's the possibility that the process is going on in scenario A. What's scenario B and why we're talking about it and that's the point of this law? If such an agreement does not occur, the time factor and circumstances that you see have also led to the blocking of the accounts of certain companies and companies in the Agrokora system, which as we can see have led to the blockade of individual suppliers’ accounts, which certainly cause intolerance and mistrust in those who are also related to these suppliers. When we look at this process, then it is important that the state, either at the request of the creditors or at the request of the debtor himself, and the debtor in the words of this law itself, asks Agrokor itself to apply to this company of systemic importance for the Republic of Croatia the Law on Extraneous Administration goes into its implementation exactly as is provided for through these fifty articles, with the aim and in a way that just an extraordinary commissioner appointed by the Commercial Court in Zagreb according to the provisions of this law, and, of course, to the Government's proposal to be the one with his deputies, with close consultation with the Religious Council, with the advice of the Advisory Council, and of course in order and that is the key, in order to ensure the best and most professional interests of the economic and financial Republics, acts on the welfare of all stakeholders of the process. It's not the same as who conducts the restructuring process. If it comes to the Government of the Republic of Croatia, on the initiative of the Croatian State, then the person who comes there or the persons who come, must take care of the employees of Konzum in whom probably each of you occasionally comes, about the interest of the OPG supplier, the interest of the financial blood flow of the Republic of Croatia, the interest of our economy. And that's the key, and that's the point, and I'm asking you to understand that. A law like this wasn't written in mind. It is written in an accelerated procedure, that is because the circumstances are so, but it is written on the basis of similar situations in which other EU countries have previously found themselves. Other countries also resorted to special legal regimes when such an uncontrollable situation occurred to them in the economy. They sought to solve the problem in the best of their intentions and in the best interests of state interests, general good, public interest and all who are part of this process. We make sure this issue has its own international dimension. Agrokor is a large company for Croatian proportions but it is large and relevant in our neighborhood as well. It is important both in Slovenia and in Serbia and in other countries where companies operating in the context of the concert are all interested in the process, one detail about creditors and creditors. Dear colleagues and colleagues, not you, and not me, the private company not only this one, but anyone who doesn't ask who, I mean which bank and whose property and under what conditions they'll be in debt to. For this I am not responsible, nor my Government, nor the Croatian Parliament are the facts that are on the table today, and we together have to look at them and try to solve them in a way that the restructuring process is sustainable, to keep employees, and that the creation of a sort of wall can tell the legal around the company that would involve that moratorium on the traits of the credentials being spoken of today, ensure that all parts of society continue with their business and what is most important teaching with income. And these new fresh incomes of such a society where there are many companies that do very well would generate money that would allow the gradual repayment of debts, quality restructuring and new positioning on both our market and the markets that are adjacent to us. Our goal is to solve the problem, solve it in a responsible way. We offer this scenario as scenario B, a scenario that makes a kind of security network of esteemed MPs and MPs. This is not a scenario where someone goes from the trapeze to the floor but then the network keeps it, the one that goes towards the floor is not a single person, no company, the one that this network needs to keep is the Croatian economy. It's the key and it's the essence of this law, and it's important that we all figure it out together. That's his main intention. And I expect you to know that at a time like this, everyone, and here I am talking to my colleagues from the opposition, you recognize the importance of this situation, I think you are aware of that because you yourself have had the right to manage Croatia several times in our 27 years of independence and that, regardless of the local elections, regardless of the political differences, ideological or anything else we try to find an agreement that is important at this point, this message that we will vote, how we will act, for the Croatian public, for the creditors, for the international financial institutions, for the rating agency is extremely important. Because what exactly do we have to do? It's got to come to a point where you draw a line saying the business that led to this now has to stop. We have a moment of turning point and a new moment is moving in which the most important word is trust. Trust in business, trust in restructuring, trust in those who need to give fresh money, for people who will lead the restructuring process and a stable, clear legal framework in accordance with the Constitution and in accordance with the EU acquis, and in coordination with other regulations that Croatia has. It's a dear colleague and colleague key. Think carefully, whether this is a subject in which we need to differ and share again, or whether this is a subject in which we use common sense and necessity, and also the urgency of action, some of you have spoken and discussed, requires a minimum effort to send a message of unity about this topic today. This is not a consensus in Europe that lasts for years, this is a consensus on the urgent joint action and in the assessment of the government's intention of the parliamentary majority but also of all MPs to solve together the problem that we have here, which will end up in our arms whether we want it or not. That's what this law is all about. And that's what our actions are all about. So I appeal to you and to your political responsibility think about it. If you consider that there are formulas in this law that can be better, which can be a quality contribution to solutions, legal certainty, the effectiveness of action freely state. I'm a man of dialogue whatever we're saying right now, whether we met or not. I think you can recognize that clearly enough. Let us try to find solutions that will benefit the Croatian economy, which will show the political maturity of Croatian political parties and institutions at the moment when we need to show it together. This is what everyone, everyone who is watching this debate, everyone and the commentators and voters and business people and farmers and suppliers and banks and those who have been brought with the greatest expertise and reputation to help restructure everyone is looking at what we're made of now. Everyone sees and expects whether we are ready for a joint effort that carries both certain and responsibilities and risks. But dear colleagues and colleagues, we have no choice. It's our job to act. You've also heard from respected professors it would be against constitutionally not to do anything. That would be the worst. And that is why I appeal to you to contribute to the quality of this law to your discussions, but also to your suggestions. But even in the subsequent process, there is room in the religious council for all groups of believers. There is room in the Advisory Council for all those who can make a quality contribution to the process that will eventually be before us if the law applies and that is the point, that is the key. I would now ask Deputy Prime Minister and Minister Dalic to refer to some specific provisions of this law, and I call on all of us to have political wisdom and responsibility at this time. Thank you.
ParlaMint-HR_2017-04-05-0.u35644	Thank you very much. Well, I'd say the most important provisions of this law are how to activate the application of this law, the bodies in the process and finally its objective. So maybe we should start with this last one. The purpose of the extraordinary administration procedure is to reach a settlement, to reach a settlement within 12 months which can be extended by a decision of the court by another three months. I stress that the aim of this law is also to achieve this process that the law proposes to reach a settlement amongst the creditors on the future of the business of society in such a way that this society should continue to be able to operate in a sustainable and financially stable manner. I stress this problem and the purpose of the law regarding reaching a settlement because in its essence this is not a bankruptcy law, this is not a parallel bankruptcy law and this is not a law in which you define the way the creditors will settle. This is a law laying down the procedure, which provides systemicly significant companies with time for companies to reach a settlement in the prescribed procedure and with the participation of the body of the settlement and with the participation of the body of the procedure. The extraordinary administration process itself opens up in a way that the opening of this procedure may be requested by the debtor or the opening of that procedure may be requested by the creditors, with the consent of the debtor. If a systemically significant company faces any pre-determined, be it for bankruptcy reasons, or if it is in deep financial difficulties. The reason why the opening of the procedure may be requested by the debtor, or by the debtor, with the consent of the debtor, is a double. On the one hand, the leading role of the debtors in requiring the opening of this procedure, i.e. the credentials with its consent, shall be ensured by the legality and conformity of this procedure with the Constitution. Because this prevents malignancy from treating the debtor while maintaining the effectiveness and effectiveness of the procedure. Believers remain on their own when this law comes into force if you vote by your creditors on their own, have the opportunity to request through the bankruptcy law protection of their claims in the manner prescribed by the Banking Act, but under the proposed transitional and final provisions, that bankruptcy will be directed by the court under official duty by this law if the company for which the bankruptcy is required meets the criteria of 5000 employees and a billion euros in debt. On the other hand, in order to initiate this process, it requires relatively simple documentation just so that in the event of deep financial difficulties, systemically significant companies can act quickly. And the simplicity of that documentation and the speed of the procedure are then combined with the way this procedure can be initiated. The bodies in the extraordinary administration process are an extraordinary commissioner, they are a court, they are a Religious Council and an advisory council. An extraordinary commissioner shall appoint a court in which the court shall, after having received a request for the opening of the extraordinary administration procedure, invite the Government to propose an extraordinary commissioner. The reason why this law provides for a provision that the Government proposes an extraordinary commissioner stems from the expected complexity and complexity of the procedure and the settlement process in the case of companies of companies that are so complex that they have this previously mentioned number of employees, and the assumed complexity of financial relations within the company that eventually led to its problems. In this way, an extraordinary commissioner shall be a person of professional, professional, moral and any other public reputation supported by the authority of the court and supported by the authority of the Government and its proposal to guarantee the impartiality, professionality and expertise of the overall process of the extraordinary administration. And so, one of the most important tasks of an extraordinary commissioner is to select within 30 days a restructuring adviser identified by the bill as a legal person with international reference in the restructuring process. The restructuring adviser is a legal person with the highest professional reference to support an extraordinary commissioner in the analysis of the situation, in determining the real situation in the company and giving him support in making and proposing a settlement. Therefore, the choice and quality of restructuring advisers is almost as important as the quality and choice of the extraordinary commissioner himself. Of course, the extraordinary Commissioner has his deputies, and the possibility of deputies who are elected in the same procedure as the Commissioner himself is foreseen, so he chooses from the court on a proposal from the Government. The Court of Justice is a very significant participant throughout the process, given that the most significant decisions of the Commissioner, as well as the settlement itself, which must and can only be concluded with the agreement of the credentials and at least 66.6% of all claims, are confirmed by the Court of Justice. The Religious Council is the body through which creditors participate in the extraordinary administration process. The Sanhedrin Council is formed as a temporary Religious Council within a very short period of time since the opening of the extraordinary settlement process, according to the state of the search, the found state of the search in the company's books. The reason is that it is precisely the one to ensure that believers are brought into the process as soon as possible. The Board of Trustees shall be formed in its permanent composition and shall be formed in its permanent structure after the claims have been uncontested, or after the court has taken a decision on the established claims. The heart of this law is the possibility that an extraordinary commissioner, on behalf of the company over which this process is opened, will take credit and pay off the demand for goods and services created by the date of opening the procedure or the payment of the supplier. It's the heart of this law and such a loan then has the status of the oldest demand. This law combines experience from our practice, but also experience from the practices of other countries that have faced problems of system important companies, such as Italy, such as Austria. By combining these experiences, I believe that we have received an effective instrument in case problems arise with such companies that require the protection of the law. And therefore I ask you to accept this law and support it.
ParlaMint-HR_2017-04-05-0.u35645	I also thank the vice presidents of the government. Here's before we move on to replicas just a few pieces of information. So far, 35 speakers have applied for the debate, which individual debates, we have at the presentation of Prime Minister 27 replicas and the presentation of Deputy Prime Minister 4 replicas. So here we go with the replicas. He's the first respected colleague of Maras.
ParlaMint-HR_2017-04-05-0.u35646	Thank you very much. Mr. Vice President, Mr. Prime Minister. I do not agree to share and take responsibility for the bad decisions you make on behalf of the Republic of Croatia, especially those aimed at the benefit of a company, one of the narrow interests of a small number of people and that problem that has escalated during your and past government. This is the law on Agrokor, this is the law on Todorovic, this is the law you want to conceal as the problem has arisen, as the problem has escalated, you want to conceal your government's interest in Agrokor. Your government is connected to Agrokora with the umbilical cord. And that's the intensity of this law, and that's why I don't want to share or take responsibility with you. You don't care through this law about those smallest suppliers, you don't care through this law or those who work in Agrokor. And what is the umbilical connection of your government to Agrokora we can speak here for hours. We have indications that both your and previous government has contributed to the whole series of acts that the situation in Agrokor is escalating, about the prolongat of the factoring law, to the Accounting Act, to this I want your answer here whether Minister Maric, who came from Agrokor, decided anything. Does he decide when and how the state's obligations to Agrokor will be blocked? All in Croatia see that [[Intruder Jandroković: Thank you.]] The umbilical link between the government of Andrej Plenkovic and Agrokor, unfortunately unbreakable. [[Intruder Jandroković: A colleague of Maras...]] Thank you, gentlemen, but this must be heard by Croatian citizens. Thank you very much.
ParlaMint-HR_2017-04-05-0.u35647	Okay, thank you very much, fellow Maras. I beg your pardon, Prime Minister only. So just a little please. Given the number of people who responded to the replicas, we'll stick to it strictly for two minutes. I think that's correct, and we'll insist on that. Here you go.
ParlaMint-HR_2017-04-05-0.u35648	My colleague Maras, I have to admit neither the Croatian public nor the parliamentary majority, and neither do I. We didn't expect anything better from you. So, you're pretending, you're turning into the champion of the SDP demagogy. Tell me and my government that we have a cord tied to Agrokor, tell the Croatian public that this is the Ivica Todorovic and Agrokor law. Did you read the law? Yes, it is. Then you have a problem understanding, a problem logic, a problem understanding the seriousness of the situation in which Croatia is located. My government and HDZ haven't received a single kuna since I run it, not just from Agrokor, not a single company that's connected to it. You are referring to Minister Maric, who has exempt himself from all decisions concerning any debate in my government with this law that we are talking about today. So stop with the demagogy. I appeal to you as a man who has received the trust of Croatian voters and does not discuss what is irrelevant, but concentrate on what is important. This law is an important colleague of Maras for the Croatian economy. It's also important for you to get paid tomorrow. Is it important that any employee in Konzum gets their salary tomorrow? Will there be a Croatian newspaper at the Tisca kiosks? It is important for every farmer who through his OPG is a supplier. He's important to all of us. And these insinuations stop placing in the Croatian public and focus on the point. That's my friendly advice.
ParlaMint-HR_2017-04-05-0.u35649	So before we go to the replicas, colleague Maras and all the others who fall in with very inappropriate raids in the exposure of others. I'm asking you to stop and talk culturally and politely. Here's my application and appeal. Second replica, dear colleague Hajdash Doncic.
ParlaMint-HR_2017-04-05-0.u35650	Dear Prime Minister, you've usually spoken very well of your smooth European bureaucratic language, and you haven't touched yourself to be the core of this law. And then I'll have a common sense of facts. So by law, you are destroying legal certainty for investing in the Republic of Croatia. Secondly, by law, do you agree and let me tell you in what way? Very simple. The total debts of Agrokor are therefore 45 billion kuna in harsh. Of which your banks are exposed to 22 billion kunas, factoring society with 2 billion kunas. That's 24. There are still big suppliers with six billion kunas, and that's 30. Under the proposal of your conclusion and your law, this very narrow group will dictate this procedure. So there won't be any small suppliers here, there won't be any farms, there won't be anyone here, because the big ones are going to raise the majority. Furthermore, what scenario A, what scenario B? Without the adoption of this or similar law, there is no salvation to Agror, no salvation to the Consuma. How about I tell you why? Who's gonna give the money if it doesn't have a senorita rule? What financial institution will invest money in a failed concert if no law guaranteeing seniority is passed? But not this law that you're proposing, but what we've been saying for three weeks, and we're talking about changing the bankruptcy law and bringing in two categories. One category is precisely seniority, and another category is the clustering of suppliers in several groups. And lastly, I suggest you name Zdravko Marić a special commissioner in Agrokor.
