ParlaMint-HR_2017-11-29-0.u55794	One break on national security.
ParlaMint-HR_2017-11-29-0.u62793	Thank you very much. Replica Mr. Greek, please.
ParlaMint-HR_2017-11-29-0.u62794	... Just for a little while, so yesterday we heard what you're saying to your colleague, Sagar, about the withdrawal of funds, or the withdrawal of funds, is that it has increased 300 percent. [[The speaker is not enabled.]] When you have 2%, so you grow 2% to 300%, it's about 6%. Thus, the situation remains catastrophic. And that's something I wanted to say cleanly, add because you're absolutely right. So, at this point in time, according to the newly published, finally published data by the EU fund ministry. Total payments are not 10% but 7% and that is, of course, at the end of the 4th year of the financial perspective of 2014/20. A little and too little. And indeed, the meeting that took place yesterday should be a practice in the government, and that means every week it has to be at the operational level of a meeting that will determine at which stage the preparation of the projects, which is prepared, which is prepared for the negotiation, which is actually realized on the ground and how much money is really being paid. Without this very detailed and precise process of monitoring and encouraging the entire system unfortunately the result will remain more or less modest. That's what I was gonna say. Thank you.
ParlaMint-HR_2017-11-29-0.u62795	Mr. Sagar's answer.
ParlaMint-HR_2017-11-29-0.u62796	Thank you. The esteemed Greek fellow, so two things matter. The first time you talk about tracking is exactly the intensity of this amendment is in this direction that of course, we cannot determine the units that they must establish an administrative department for European projects. But in order for the ministry to know what's going on in the field, there must be some feedback. It now has through these regular coordinators which are county development agencies, city development, LAGs but obviously not enough work done. And as for other things that may be more serious and also concern the capacity of local self-government units. We are currently in the light of research conducted by the Ministry of Regional Development and the Central Agency for the Financing and Negotiation of Project Programmes. We currently lack 2700 experts in project preparation and implementation, 2700 experts. And the rating of this work so far is from 1 to 5 somewhere is 2.5. That's not satisfactory. Therefore, through such laws to local self-government units, through other legal solutions, it is also necessary to make EU funds as attractive as possible. It's gonna happen to us. It's gonna be three years soon. It will happen to us that we will not withdraw the funds available.
ParlaMint-HR_2017-11-29-0.u62797	Thank you very much. Mr. Bauk. He's gone. He's losing his right. Mr. Bull. He's gone. He's losing his right. Mr. Bunjac. He's gone. He's losing his right. Mr. Minister, here's your final word.
ParlaMint-HR_2017-11-29-0.u62798	Thank you very much, Mr. Vice-President of the Croatian Parliament, colleagues and colleagues of the Assembly MPs, parliamentary representatives. A good, constructive debate. I've also received your amendments, your written amendments. Here's something we're thinking a little bit about and how some of them might be implemented, and so we don't question the basic function of this law, which is better communication between the representative and the executive body, better work of the units of local and regional self-government. I would just like one message here for the sake of the Croatian public, for the sake of Croatian representatives and MPs. So it is a law that will apply to the entire Republic of Croatia, to all municipalities, cities and counties. I do not accept the fact that the law is done for a particular city, county or municipality or God forbid of a mayor, mayor and mayor. And I thank you. Here it is. They're warning me that my time is over. So, thanks again for the debate. You will receive answers to your amendments and I hope that this law will also be next week with a large, large majority adopted in the Croatian Parliament. Thank you very much.
ParlaMint-HR_2017-11-29-0.u62799	Thank you, too. I'm closing the debate. We'll vote when the conditions are met.
ParlaMint-HR_2017-11-29-0.u62800	Final proposal of the Law on Amendments and Supplements to the Law on local, regional and regional self-government, second reading, P.Z. No. 215. The motion is proposed by the Government of the Republic of Croatia, the debate is closed. The amendments were submitted by the Croatian Representatives' Club HSS, the Live Wall Representatives' Club and SNAGA, MP Robert Podolnjak, MP Tomislav Panenić and MP Tomislav Žagar. The review of the amendment has been sent to you by electronic means. I would like to ask the motionary's representative, Secretary of State Darko Nekic, to show that amendments have been submitted. We're going to Amendment number one, that's the amendment of the MP, the Honorable representative of the Downworlder, here you go.
ParlaMint-HR_2017-11-29-0.u62801	I thank Mr. President, the amendment, Article 3 of the professor's representative, Dr. Robert Dolnjak, is not accepted. Article 3 supplementing Article 7 of the applicable law provides for the optional opinion of the residents requested when changing the area of the unit of local and regional self-government. In line with the multiple views of the Constitutional Court of the Republic of Croatia, it is very necessary to obtain the opinion of the population. This opinion is not binding on either the proposing or the legislator. This law therefore provides for the same and in accordance with the constitutional court’s views.
ParlaMint-HR_2017-11-29-0.u62802	Here's your colleague, Podolnjak.
ParlaMint-HR_2017-11-29-0.u62803	Thank you, President of the Croatian Parliament. Let me briefly tell you that this opinion of the population when changing the area of units of local self-government is a provision of the European Charter of Local Self-Government Article 3. It speaks of local authorities seeking the opinion of their citizens when the borders of local self-government change. This will be sought in a way that provides for the European Charter, a referendum if possible. The referendums were held in the Republic of Croatia in some situations in the 1990s, which is exactly the case. Of course, it's about the advisory referendum. The advisory referendum that every student of constitutional law knows is always non-binding legally. But it's politically binding. But it is not said that the advisory referendum is non-binding and that opinion is not binding. Thus, it is an entirely excessive sentence in the law, unnecessary through the advisory referendum, and it is known what its effects are. Thank you. I ask that the amendments be voted upon.
ParlaMint-HR_2017-11-29-0.u62804	Let's vote on an amendment the government doesn't accept. I find that the amendment has not received the required number of votes, so we move on to amendment number two of the Representatives of the Living Wall and the SNAGA.
ParlaMint-HR_2017-11-29-0.u62805	The amendment does not accept, the amendment proposed by Article twenty-four of the applicable law, the size of twenty per cent of the total number of voters identified as necessary when voters propose to reduce the vote to two-and-a-half per cent. The reduction in the required number of voters who have the right to propose a local referendum by almost ten times is considered excessive and unwarranted compared to the current size. Especially for units of local self-government that have tens of thousands and fewer voters in which an analogy would mean two hundred fifty voters could call a referendum every six months. Thank you very much.
ParlaMint-HR_2017-11-29-0.u62806	Here you go, pal.
ParlaMint-HR_2017-11-29-0.u62807	Thank you very much, sir. So two and a half out of twenty is usually eight times. But well, that's not so important right now. But the important thing is that you brought in an excessive article. Twenty percent of the electoral bodies mean in practice, that the referendum will never be held. That's what the statistics have been showing you for the last four years. That only two referendums were held in the Republic of Croatia. This provision of the law is rigid, far more rigid than the one at national level where ten percent of the electoral bodies are prescribed to collect signatures to hold a referendum, and we have seen that even at the national level with therefore twice the percentage of referendums are not essentially held for reasons because the signatures cannot be collected. So you simply, by this draft law, deceive the public, claim that it has the right to a referendum and in practice it is not and can't have it. This is what you directly violated the right of citizens to participate in direct democracy, to decide locally on their fate, and on that side I think it is simply necessary to change this law in the way we have stated. Your fears that there will be referendums every six months are not justified, you underestimate the mind of the voters. They'll just be a little bit more common than they are now, and if there's already a referendum in the law, then it should be made possible. So we're fighting for the notion of a referendum to this law to get its true meaning. For that reason, I demand a vote on this amendment. Thank you very much.
ParlaMint-HR_2017-11-29-0.u62808	Let's join the vote on an amendment that the government does not accept. He did not get the required number of votes, so we are going to the amendment of Honored Representative Tomislav Panenic's amendment number three.
ParlaMint-HR_2017-11-29-0.u62809	The amendment is not accepted. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The proposal for a law also provided for the provision of a way of determining compensation to members of the representative body. However, it gave up on this final proposal. In the light of the above, the Commission considers that the Commission considers that the measures provided for in this Decision are in accordance with the opinion of the Standing Committee on Plants, Animals, Food and Feed,
ParlaMint-HR_2017-11-29-0.u62810	Thank you. Here's my colleague Panenic.
ParlaMint-HR_2017-11-29-0.u62811	Okay, here's a thank you. I'd like to make a comment like this. So the picture we're sending not coming to the sessions was actually something that's been asking us questions here. And that's exactly why this esteemed House has made the decision to sanction those who don't come, if there are no other models. In this way we actually say no, we have one rule here, what's local is the second rule, there may not be coming to sessions as many times as you want but you'll definitely get a flat-rate monthly. I mean, is that really the message we want to send? What you are referring to is that the autonomy of the one we accept as local self-government as such which is inviolable and in the charters, I would agree here if we hadn't also made a decision on the level of wages in local self-government. Right? So we can't have two criteria, then we give, we let everything regulate local self-government, let's not have any legal act that we're editing something that they should decide for themselves. But I was very pleased to see exactly the provision when you had in your first reading because I think it is appropriate to what expectations are actually our voters and here, as well as at local levels and expectations that those who do not work are not even rewarded for it. In this way, here you are well aware then we really have numerous examples where council members do not come to the congregations or their councils and eventually receive the same reward as those who regularly come. I don't think that's fair either, but it's not something we should say that autonomous decision is a local self-government because it crosses borders particularly on moral, moral and political responsibilities. Please vote on this. Thank you very much.
ParlaMint-HR_2017-11-29-0.u62812	Then we move to a vote on this amendment that the government does not accept. I'm saying he didn't get the votes he needed, so let's get to Amendment No. 4. It's a live wall representative's club and SNAG's club.
ParlaMint-HR_2017-11-29-0.u62813	The amendment is not accepted. Article 10 amending Article 40.b of the current law provides for the calling of a referendum for the impeachment of the municipal chief, mayor, mayor and their deputy mayors and it is found that the opening of the referendum may propose 20% of the total number of voters in the unit as well as in the amendment to Article 5. It is proposed that 20% of voters who could propose to reduce the call-off referendum to 2.5%, I have already said that we consider this to be excessive and unwarranted.
ParlaMint-HR_2017-11-29-0.u62814	Who's going on behalf of the proposer? No one? Are you asking for a vote? ... Oh, no? [[You can't hear the intruder.]] Okay. Then let's go to Amendment No. 5. It's an HSS rep club.
ParlaMint-HR_2017-11-29-0.u62815	The amendment shall be accepted in part and in a modified form. The amendment is proposed in Article 10 amending Article 40b of the applicable law most of the two-thirds of the members of the representative body necessary to propose to reduce the calling-off referendum to a supranational majority of all members of the representative body. The amendment now reads: “In Article 10 amending Article 40b of the Law in paragraph 2 of the word ‘two-thirds’ is replaced by the words ‘the half-dozen majority of all’. In paragraph 4, also ‘two-thirds’ are replaced by ‘the half-dominated majority’. The interventions referred to in this paragraph 4 shall be subject to the following amendment in paragraph 2. A part of the amendment resulting from the reasons for the amendment is not accepted and concerns the majority necessary for the adoption of the Decision on the calling-off referendum when the proposing members are members of the representative body. Namely, the applicant suggests that the decision to call a referendum is made by a supra-almost majority of the votes of all members of the representative body, however, the applicant remains with his proposal that the decision be taken by a two-thirds majority of the votes of all members of the representative body. In this way, we will strengthen even more a representative body that has not been able to initiate at all so far means calling a referendum for the revocation of the mayor, mayor or mayor and at the same time remains a provision whereby the referendum can be proposed by 20% of voters.
ParlaMint-HR_2017-11-29-0.u62816	Comrade Vlaović, here you go. ... Someone's probably involved, my colleague Babic, you've got a microphone on. [[You can't hear the intruder.]]
ParlaMint-HR_2017-11-29-0.u62817	Thank you for your help, President-in-Office of the Parliament, Your Honor, Secretary of State, colleagues and colleagues. The HSS Club does not accept this argument and we are asking for a vote on this amendment for the reason that after pressure from the public to take the opportunity of the municipal council, the city council, the county assembly to better control the work of the executive mayor, mayor or mayor. Because you know yourself that 20% of the signatures for the referendum are difficult to collect and it will be difficult to carry out a referendum and we believe that the supra-almost majority of these municipal councils, the city council or the county assembly would make a decision to call a referendum or the county assembly when there is a greater chance of controlling the work of mayors, mayors or mayors. Because it is ultimately up to the citizens in the referendum and it is one of the direct decisions that we advocate. In this way, the pro-forma puts the possibility of a two-thirds majority to the municipal council, the city council or the county assembly, which is very difficult to collect. If I were the mayor or mayor and if two-thirds of the council didn't accept my work I'd resign myself, I wouldn't wait for a referendum to be called and I'd go to the elections. So if the citizens want me, which is the goal of democracy to decide who will lead them, and I think this is how we give the opportunity for citizens to decide who will lead the municipality, the city or the county and ask for a vote.
ParlaMint-HR_2017-11-29-0.u62818	So we're voting now on the original proposal of the HSS Club of Representatives. ... No, he was not accepted as far as I understood my colleague Vlaovic. [[You can't hear it.]] He accepts nothing and asks to vote on his original proposal. So we vote then on the thing about...
ParlaMint-HR_2017-11-29-0.u62819	I'd like an explanation before the vote. So if the amendment is not accepted then it remains in account of what the Secretary of State has already accepted. So does the partial amendment become an integral part of the proposal?
ParlaMint-HR_2017-11-29-0.u62820	So as far as I understand it, the proposer has withdrawn and disagrees with this interpretation of the government and asks to vote on its original amendment proposal. So we here then have a situation where the government doesn't accept what originally was, so I ask you to vote on the HSS amendment originally as it was. I find that the amendment has not received the required number of votes. We are now going to the sixth amendment of Agent Robert Dolnjak. Here you go.
ParlaMint-HR_2017-11-29-0.u62821	The amendment is not accepted. The amendment proposes that most of the two-thirds of the members of the representative body be reduced to one-third. The reduction of that size is considered unfounded, and the applicant considers that a more appropriate solution has been proposed in this previous amendment in the section which is also accepted that the call-off referendum can be proposed by the supposing majority of all members of the representative body.
ParlaMint-HR_2017-11-29-0.u62822	Here's your colleague, Podolnjak.
ParlaMint-HR_2017-11-29-0.u62823	Thank you, Mr. President. As you will see, I have what my colleagues from the HSS have combined into one amendment divided into two. But for this first one, I believe you should all accept it. Why? The logic is to ask for a different number of members of the representative body when initiating a proposal to find themselves in a decision-making debate and the number needed to make a decision. In particular, it is an initial proposal to discuss something at the representative body of local self-government, and it is a decision to take a decision on the calling of a referendum. It is therefore not appropriate to seek either the two-thirds majority or the half-dozen majority of all councilmen. Let me remind you, in this Croatian Assembly when you are looking for an initial number of representatives to discuss a topic, then it is never a half majority. It is one-fifth to initiate discussions on changes to the constitution, one-fifth when it comes to the discussion of the government's trust or to a minister, one-third when it comes to the issue of the president's responsibility. But you never look for a half-breed to put the topic on the agenda at all. This means that the parliamentary majority would always decide whether or not to discuss anything at all. Originally, in the 2007 law, a third of what is high enough for a topic to be placed on the agenda was sought. Therefore, I remain on the proposal, it is only reasonable to discuss the subject and that one third try to convince the remaining council members to decide on a decision to call a referendum. I'm in the market for a vote.
ParlaMint-HR_2017-11-29-0.u62824	Let's vote on an amendment the government doesn't accept. The amendment didn't get the required majority. We move on to amendment number seven of the same representative.
ParlaMint-HR_2017-11-29-0.u62825	The amendment is not accepted. The amendment continues to propose that most of the two-thirds of the members of the representative body need to make a decision to call the recall referendum to be reduced to a majority of the votes of all members. The reduction of that size is considered unfounded. The applicant considers it appropriate to establish a two-thirds majority for the adoption of the Decision on the calling-off referendum.
ParlaMint-HR_2017-11-29-0.u62826	Here's your colleague, Podolnjak.
ParlaMint-HR_2017-11-29-0.u62827	To be clear, this is the second part of that article that speaks about making a decision. So, one is an initial proposal that I thought was enough for one third of the councillors, and the final proposal to decide the half-dozen majority of them all. Such a solution was in the original law in 2007. It did not lead to the flood of the referendum in the local administration for four years as long as that provision was in force from 2009 to 2013, only two referendums were held on the basis of decisions of the representative bodies. All 2 in 4 years. Secondly, half the majority of all council members in the body of local self-government in the representative body is the largest majority we normally require under the Law on Local Self-Government to decide something. The majority decides on the statute, the election of the president of the representative body, on the budget. It is also logical to decide on the initiation of a referendum on the recall of the executive head. The two-thirds majority actually make such a decision extremely difficult, almost impossible mission because we know and I don't need to assure you that such an extremely qualified majority will be almost impossible and we're actually looking at this only through the prism of the whole approach of the Proposer to this law that any initiation of a change of resolution or recall of any mayor for anything simply made impossible by a mission. This 2/3 majority is right on that track, and that's how it is, and it really needs to be watched. Thank you, and I'm asking for a vote.
ParlaMint-HR_2017-11-29-0.u62828	Let's vote on an amendment the government doesn't accept. Neither has this amendment received the required number of votes, so let's go to the 8th amendment of the same representative, please.
ParlaMint-HR_2017-11-29-0.u62829	The amendment is not accepted. The amendment proposes to delete Article 12 amending Article 53 of the applicable law, repealing the obligation to set up a single administrative department in municipalities and cities of up to 3,000 inhabitants. The bill allows municipalities and cities, regardless of the number of inhabitants, to establish a single management department or a larger number of administrative bodies, depending on the needs of each individual unit and the applicant considers that there is no need to limit their will regardless of the size of the municipality or city.
ParlaMint-HR_2017-11-29-0.u62830	It's obvious. Here you go.
ParlaMint-HR_2017-11-29-0.u62831	Thank you. It is a provision that allows almost 25 years after the adoption of the Law on Local Self-Government that small municipalities of up to 3,000 inhabitants can have several administrative bodies. So, instead of a single management department, they can have more of them, which means automatically more headmasters and follow-up services present in each management department. And without any restrictions, fiscal or any other nature. There are probably some municipalities that have a smaller number of residents who have large fiscal incomes, and there may be some reasonable justification in these situations for organising their services through several administrative departments but not selectively for all around 250 small municipalities to enable more administrative bodies to be established, which will certainly lead to additional employment in local self-government. Often in local self-governments, small municipalities that do not have enough fiscal income where we have now made it possible by law, it is absolutely not a good solution and we do not see any logic after 25 years to deviate from one legal solution, in the smallest municipalities to open a non-selective door to additional employment even where there are no elementary conditions to employ a larger number of auditors, officials, secretaries and other administrative staff. And that's why we're asking for a vote on the amendment.
ParlaMint-HR_2017-11-29-0.u62832	Please vote on an amendment that the government does not accept. The amendment didn't get the number of votes needed, we're going to the 9th, it's a respected colleague, Tomislav Zhagar.
ParlaMint-HR_2017-11-29-0.u62833	The amendment shall be accepted in the amended form. The amendment is proposed in Article 54(1) of the current law which provides for the organisation of joint operations under the self-government section of two or more units of local self-government to add "especially for the purpose of preparing projects for withdrawal from EU funds". The amendment now reads in Article 14 which amends Article 54(1) of the Law behind the word "common", the point is replaced by a comma and the words "especially for the purpose of preparing projects for withdrawal of money from EU funds." In addition to the amendment of the provisions of Article 54(1) of the law of the final proposal of the law and the adopted amendment, paragraph 1 is now read as follows: "Two or more units of local self-government can carry out certain tasks from their own administration to organise joint projects specifically for withdrawal from EU funds".
ParlaMint-HR_2017-11-29-0.u62834	Comrade Sagar, here you go.
ParlaMint-HR_2017-11-29-0.u62835	I'll take it.
ParlaMint-HR_2017-11-29-0.u62836	Thank you. So like this, the amended amendment becomes an integral part of the law. We're going to Amendment number 10 of the Honored colleague of the Downworlder again.
ParlaMint-HR_2017-11-29-0.u62837	The amendment is not accepted. The amendment is proposed in Article 69(a) of the Law, which provides for the resolution of the municipal chief, mayor or mayor and their deputies, in the event that they do not propose a budget or withdraw the draft budget and no new proposal has been tabled, to delete the part relating to the withdrawal of the draft budget and not to propose a new proposal within a time limit allowing for the adoption of the budget. The amendment's proposal was unfounded because such a possibility existed in the law so far and before 2012 until the withdrawal of the budget was not stated in the law but was arranged by the Rules of Procedure of Representatives, in practice there were a number of cases in which the budget was withdrawn. Therefore, there is no obstacle to the same regulation. The budget deadlines clearly come from the Budget Act. The budget is made for the financial year and is valid for that year. The financial year is 12 months starting on 1 January and ending on 31 December of the calendar year. The budget shall be adopted by the representative body for the financial year corresponding to the calendar year before the start of the year to which it relates. The representative body shall adopt a budget by the end of the current year, within a period allowing for the implementation of the budget from 1 January of the year for which the budget is to be adopted. In advance, it is not necessary to prescribe how many times the budget could be withdrawn, it is important to allow it to be adopted by the end of the current year. The provision is by no means contrary to the provisions of the European Charter of Local Self-Government.
ParlaMint-HR_2017-11-29-0.u62838	It's an obvious colleague of the Podolnjak.
ParlaMint-HR_2017-11-29-0.u62839	Thank you, Mr. President. If this argument by the Secretary of State stood, then the question is why we have adopted the Budget Act, which provides for deadlines for both the Government and the representative bodies of local self-government and for the executive bodies of local self-government, which is required to submit the draft budget to the representative body by 15 November, so that the representative body has enough time to discuss it in some local self-governments and in two readings, so not suddenly but in the first reading and in the second reading and enough time to decide before the end of the year. In this key legislative article, it is possible, for example, if, after possible today's vote, the law comes into force tomorrow from Monday's representative body to be held in a situation where the head of the executive body withdraws the draft budget unless it is satisfied with the amendments accepted at the meeting of the representative body. All deadlines foreseen by the Budget Law fall into the water, then the one expressing dissatisfaction is required by law to forward the draft budget again. What's that? With the amendments adopted. But then why he withdrew the budget without the amendments, but then he'll be faced again with the same amendments. This article does not make any sense. I call it a ping-pong game between the representative body and the local leader who will end up talking in a way that would best be to adopt the budget on December 31st because then the representative body certainly brings the budget, and the mayor can't withdraw it. I'm asking for a vote. Thank you.
ParlaMint-HR_2017-11-29-0.u62840	Let us also vote on this amendment that the Government does not accept. The amendment did not receive the required number of votes. We're now going to the 11th Amendment of the same representative of the Downworlders. Here you go.
ParlaMint-HR_2017-11-29-0.u62841	The amendment is not accepted. The amendment is proposed in the amended Article 85a of the Law, which regulates the Institute of At the same time disbanding the representative and discharge of the Executive Body, the grounds for both disbanding the representative and the resolution of the Executive Body so that the application of that Institute occurs, under 1) if the representative body, on a proposal 1/3 of the members of the representative body, gives no confidence to the municipal head, mayor or mayor of the majority of all members of the representative body and under 2), if the mayor, or mayor, resigns by reason that he cannot cooperate with the representative body. Decisions proposed by the amendment are not acceptable on the grounds that 1) the representative body does not choose the executive body, so it cannot either show him any mistrust and under 2) the resignation is a personal act and, in accordance with the applicable legislation, constitutes the reason for the termination of the term of office of the municipal chief, mayor or mayor by force of the law. The reasons for the resignation are not to be explained, and the argument alone does not change the essence of the fact that the resignation is made, so no distinction can be made between the resignations lodged without the justification and the resignations submitted, on the grounds that it cannot cooperate with the representative body or the legal consequences of the resignation can not be different.
ParlaMint-HR_2017-11-29-0.u62842	It's obvious. Here you go, buddy.
ParlaMint-HR_2017-11-29-0.u62843	Thank you, Mr. President. Compared to the motion that every time the amendments to the law propose something that does not exist elsewhere in European practice where the mayors are directly elected, I propose something that exists in European practice, a model of simultaneous resolution and mayor and representative body that is happening in a situation of deep mistrust between one body and another. What colleagues in the SDP were planning to solve in the same way, but when they adopt a budget, this is a model that exists for a quarter of a century in Italy. It thus resolves the conflict between the mayor and the council, which is resolved in a way that both go to elections and that the electoral body then decides who is responsible for the political crisis created in the local self-government. And that's the way to look at that model. And what is important to say is that this model that has existed for a very long time in Italian practice has not led to a large number of elections and early resolutions because this is happening in rare situations where there really are legitimate reasons, when something really doesn't really work in that local self-government and then lets citizens decide on that mayor and this representative body who is responsible. It is the sole purpose of this provision. And this can happen at any time during the term of office, there may be an extraordinary circumstance, some situation that makes further cooperation impossible or something that is related to the mayor some situation that makes him inappropriate for that duty. I'm looking for a vote.
ParlaMint-HR_2017-11-29-0.u62844	Let's approach a vote the government doesn't accept. The amendment did not receive the required number of votes. So we're going to Amendment 12, and so is colleague Podolnjak.
ParlaMint-HR_2017-11-29-0.u62845	The amendment is not accepted. The amendment proposes that, in the added Article 86a) of the law governing the conditions for the appointment and resolution of the Government's commissioners, the appointment of an official as a rule and the proposal to add the condition that he is not a member of the political party. The promoter disagrees with the amendment because, as a rule, it leaves the possibility of appointing and someone who is not an official in a situation where he cannot be granted that rule for any reason. As regards membership in the political party, this cannot be an obstacle to the appointment of commissioners, as the Commissioner performs the duties of a representative or executive body which are political duties. Also, membership in the political party is no obstacle to officials, so there is no reason to be Commissioners.
ParlaMint-HR_2017-11-29-0.u62846	Here you go, pal.
ParlaMint-HR_2017-11-29-0.u62847	Thank you, Mr. President. I would like to make it clear that our position in the MOST in the full reconstruction of the Law on Local Self-Government would go in the direction of eliminating the role and the existence of the Government's commissioners because he is a foreign body that enters local self-government and in situations where conflicts between the Commissioners and the representative body occur. But now we can only regulate the minimum function and we wanted to amend two things. First, when the commissioner has to come to be from the ranks or officials of the state administration or local self-government, so someone who is well aware of the regulations relating to local self-government. It would be best if it were from the state administration's office and others if it wasn't a person's rule but it could be an exception because unfortunately we know when we predict an exception, that this exception happens very often. As a rule, the debate with the interested public on this law should take 30 days, and it lasted 15 days. So much for the rule. Secondly, we ask the amendment not to be a member of the political side in order to also depolitise the role of Commissioners who is at that moment at the head of local self-government and we know from experience that there was a situation when these Commissioners, when they were Commissioners, were candidates for the executive body in a municipality or city. So they actually abused the Commissioner's office to compete in the election. That is why we propose this amendment so that they cannot be members of the political party. Thank you.
ParlaMint-HR_2017-11-29-0.u62848	Let's vote on an amendment the government doesn't accept. The amendment did not receive the required number of votes. We're going to the amendment battle 13, the House of Representatives Club.
ParlaMint-HR_2017-11-29-0.u62849	The amendment shall be accepted in part. The amendment proposes that in the added Article 86a) of the law governing the conditions for the appointment and resolution of the Government's Commissioners be omitted as a rule by the managing officer of the unit of local or regional (regional) self-government and proposes to add to the condition that he is not a member of the political party. The amendment shall be adopted in the act relating to officers of the local and regional (regional) self-government unit and shall now read as follows: Article 28 of which is added to Article 86a) of the Law in paragraph 2 of the words ‘local or regional (regional) self-government units or’ shall be deleted. The amendment shall not be accepted in the act relating to the addition of the conditions that it is not a member of the political party for the reasons set out in the reasons for the previous amendment.
ParlaMint-HR_2017-11-29-0.u62850	Here you go.
ParlaMint-HR_2017-11-29-0.u62851	Thank you very much. We're not accepting this explanation and we're asking for a vote on an amendment on the original form. The Commissioner shouldn't be a member of any party...
ParlaMint-HR_2017-11-29-0.u62852	Comrade Lenart, you can't do that. So either you accept this kind of amendment or you won't accept it, so we'll vote on the original then.
ParlaMint-HR_2017-11-29-0.u62853	We're looking for a vote in the original form.
ParlaMint-HR_2017-11-29-0.u62854	So you refuse to enter this section that the government accepts? All right, then let's vote. Here you go, buddy.
ParlaMint-HR_2017-11-29-0.u62855	Thank you, Mr. President. Do not take this personally, however, I believe that there has been an injury to Article 202 here. Rules of Procedure of the Croatian Parliament as well as in the case of Amendment 5. HSS's club because we have to resolve the doubt that has arisen. I believe that in a situation where the Government of the Republic of Croatia accepts the amendment of applicants in action or in a modified form, despite the amendment's request for a vote, what the Government of the Republic of Croatia has adopted regardless of the vote, it becomes an integral part of the bill's proposal and I believe that this is the result of Article 202(1). A Rules of Procedure which says that something has become an integral part of the bill if the amendment has been accepted by the Proposer. Therefore, the Proposer has an autonomous opportunity to influence its proposal for a law. Finally, the Parliament always votes on the bill and decides whether it will accept it with these amendments or not. That is why I believe that despite the proposals and the votes we have made under Amendment No 5 and following this amendment, what the Government of the Republic of Croatia has adopted should be an integral part of the law. Thank you.
ParlaMint-HR_2017-11-29-0.u62856	Thank you, comrade Grbin. However, I am a very clear author of the amendment says it does not accept the government's explanation and is returning to its original proposal. So, the government has shown here the willingness to accept, but whoever proposed the amendment says it will not, but it wants to stay the way he said in his original proposal. So this isn't about the government not wanting to accept it, but I'm the amendment promoter who doesn't want it to be accepted, so I'm interpreting it. Here you go.
ParlaMint-HR_2017-11-29-0.u62857	Thank you, Mr. President. Again for strictly formal reasons, in accordance with Article 236, I declare that I will seek the opinion of the Committee on the Constitution, Rules of Procedure and the political system to resolve this dilemma, because this is not the first time that such a situation occurs and I am afraid that we have quite an unequal practice. Thank you.
ParlaMint-HR_2017-11-29-0.u62858	A colleague of Bacic's. Here you go.
ParlaMint-HR_2017-11-29-0.u62859	Thank you, Mr. President. I think, if in this way, as you have respected the vote, Article 2020 is respected because if the government had intended to make an amendment, then it would have gone with the amendment that we would have discussed. Here the government is making a concession of the motion that he does not accept and in this way, when he does not accept such a concession from the government, we have the right to vote then... [[The speaker doesn't understand.]]
ParlaMint-HR_2017-11-29-0.u62860	Yeah, I mean, we're going to have to, I'm going to stick to this interpretation that I've given. You have the right and I think it is also good to show about it and the Committee on the Constitution, Rules of Procedure and the political system. Here you go, fellow Downhill.
ParlaMint-HR_2017-11-29-0.u62861	Allow me, since I was in the same position, because one of my amendments was the same. In fact, if the government had said that it would conditionally support, in part, that the proposal, the Council on a referendum on the mayor's impeachment, would not have been, would have asked 1/3 of all council members, but a half majority of all. If I had said at that point, if I had accepted it, then it would have been an amendment to the government that I accepted and that would have become an integral part of the Law. So, if I had said, that what would mean by the proposal sent by the applicant, which originally said on the pay phone, that he was inclined to accept, therefore, that it would be a congestive majority. And that I can't change, my amendment. So he put it out here for the pay phone. To propose, but to propose it on behalf of the proposer, not that I suggest it instead. So, he's right, fellow coat of arms when he warns that it's some kind of conditional amendment, which doesn't know if it's the government that didn't come... But it's some kind of conditional amendment that we should accept. [[The speaker doesn't understand.]] He's right.
ParlaMint-HR_2017-11-29-0.u62862	Come on, now we've opened the debate, but this is the topic for the Constitution Committee, the Rules of Procedure, the political system, more colleagues, here's Bauk, and then we'll be done.
ParlaMint-HR_2017-11-29-0.u62863	Mr. President, so it's not the first time that the government has partially accepted the amendment and that the one who submitted the amendment says it disagrees, and that we are voting on this other part, which the government has not accepted, was also a practice. So I think the Committee on the Constitution is discussing it, based on Mr. Grbin's demands and moving on. Thank you.
ParlaMint-HR_2017-11-29-0.u62864	Comrade Bauk, if it were like you said, then the dilemma would be. However, in both cases, explicit, the amendment promoter says, I do not want this part to be adopted and accepted by the government, but rather insists on its amendment and we vote on it. I mean, it was very clear. So let's vote now on an amendment that the government does not accept. I find that the amendment has not received the required number of votes. Let's go to the last amendment, the 14th Honored Fellow Sub-Subject. Here you go.
ParlaMint-HR_2017-11-29-0.u62865	The amendment is not accepted. The amendment proposes to amend the provision of derogations to the law, so that, instead of the first day, the law enters into force on the eighth day from the day of its publication in the National Journal, and proposes to postpone the entry into force of certain provisions of the law, until the decision to call, inland, general and regular local elections enters into force. The proposed solution has not been established, as it is in the interest of all units of local and regional self-government, that the law enters into force as soon as possible, so that the amended solutions can be applied during December 2017. As regards the postponement of certain provisions of the law, it is also unfounded because the issues in question do not apply to the amendment of the electoral rules, nor to the electoral system, and there is no obstacle, to apply during the current term of office.
