ParlaMint-HR_2017-02-09-0.u24659	Dear colleagues and colleagues, we continue our work. Representative Misic.
ParlaMint-HR_2017-02-09-0.u30841	Thank you. Honorable representative of Peja Grbin.
ParlaMint-HR_2017-02-09-0.u30842	Thank you, Mr. Vice President. You see about the Constitutional Court and the Constitutional Court decisions I used to be a little sharper, rougher, not to say more rude. I shouldn't have done it every time, but I did it. It's probably gonna be the way it's gonna be in the future. However, every time, but every time after that, I respected such a decision by the Constitutional Court because it was one to give a valuable judgment on the decision, and the other to implement it afterwards. Since you are withdrawing the analogy with the Constitutional Court which the note is also appointed by the Parliament and which is indeed a political body with great legal and judicial powers, but a political body, then recognise the powers of another political body if all the bodies appointed by the Croatian Parliament are political. So admit to them that they have first opinions and conclusions. But yeah, I'm standing by what I said. We do not assess Minister Barisic's academic career here, Minister Barisic. Not Dr. Pave Barisic's professor. I can't think of that at any point. We're assessing his political career. Whether his doctorate is plagiarism or not, I don't know and can't grade. I can't. This will be assessed by the one who has the right to do so, which is the University of Luxembourg Committee. But based on all his work and before and after he became minister, I have every right to assess whether he deserves my trust. In his particular case, it may be easier for me than it is for you, but I can honestly say, my trust was not, nor will it. Thank you.
ParlaMint-HR_2017-02-09-0.u30843	Thank you. The next replica is the respected MPs Sabine Vosovac.
ParlaMint-HR_2017-02-09-0.u30844	You mentioned the case of former Minister Andreja Zlatar Violic, who was reported and announced in some way by the Committee for the Prevention of Conflict of Interests because a certain amount of funds was identified from the state budget through the Ministry of Culture to Zarez magazine, which she was one of the co-founders. And there's nothing controversial about it. She was actually in an eclectic conflict of interest. However, in December 2016, the Ministry of Science and Education awarded a little more than 14 thousand kuna to the Croatian Club... whose president was Mr Barisic until November 23rd. A little more than 23 thousand kuna to the Croatian bioethical society whose founder was Mr. Barisic. A little more than 22 thousand kuna to the Croatian Physical Society, whose Management Board is sitting in Mr. Glumčić. A little more than 68 thousand kunas to the Mathematical Physical List of which Mr. Glumcic is sitting in the Management Board and is published by the Physical Society. A little more than 47 thousand kunas to the magazine "Nearly" published by the Institute of Philosophy, whose editorial office is located, is Mr. Barisic, whose director was. A little more than 283 thousand kunas in the magazine “Fylosophy Research” whose editor is Mr. Covic, I believe that you know the name and last name. A little more than 405,000 kuna for another project for the magazine “Contracts”. Well, now I'm asking, if this isn't an eclectic conflict of interest in which the minister before he was allocating funds and his secretary or he signed decisions, he wasn't looking for the Committee, and he was supposed to ask for the opinion of the Commission, then I'm wondering what's the new definition of conflict of interest?
ParlaMint-HR_2017-02-09-0.u30845	Thank you. The Honorable representative of Peja Grbin will respond.
ParlaMint-HR_2017-02-09-0.u30846	I thank you colleagues and now you have shown what every official should do before he enters office, which is that you have studied the Law to prevent conflicts of interest. When there is a question of whether there is a conflict of interest somewhere, then the state official is obliged first to seek the opinion of the Commission and only after that to act. I'll give you an example of a graphic. The Honorable Minister participated in the organisation of a symposium in May 2016. The moment he became minister, the meeting had already taken place. The meeting's been held. But afterwards, he is giving support to a meeting he himself organised, which had already held. So if nothing else, the minimum courtesy would be if he had prepared a memo at that point, sent it to the Committee for a decision on conflict of interest, and then when he wrote that memo, he counted all the others he was giving money to, and asked if I could do it. If the Committee said it could, then none of us would have the right to say a. This is how the Committee has given way not only to himself, but also to the duty of the Minister of Science and Education in the Government of the Republic of Croatia. Thank you.
ParlaMint-HR_2017-02-09-0.u30847	Thank you. The next replica of the esteemed representative, Ivan Pernar.
ParlaMint-HR_2017-02-09-0.u30848	Thank you, Chairman. So here we look into Mr Barisic's eyes and laugh, laughing at what counterpart Grbin says when it would be honesty in HDZ, or another phrase of benefit if there is honesty in HDZ. Well, Mr. Grbin, don't think that the party that pulled 24 million kunas from state-owned companies, spent them, ate them, drank them, and today refused to return them to show honesty and shame, and that the man who apparently meant it would admit that it was someone else's work. Signed as Yours [[Intruder Reiner: A colleague of Pernar. ...]] I don't think so, Mr. Rainer. [[Intruder Reiner: Gone From Theme...]] Thank you. And so, what I'm saying is that you think Mr. Barisic will sanction you, and that's Mr. My coat of arms a great illusion. They'll never do that. They'll cover each other till the end. It's like an organization that, according to the directive at one point, everyone regrets it, we're sorry, and the second they say, I don't remember anything, I'm not guilty. This is just one drop in the sea. This is one picture of Croatia's reality in which, as mentioned earlier, the Bear Dog was guilty. Because of two fete prosciuttos, you get fired. Well, here's the worker I think she was talking about, so it's just two feta prosciuttos, like Plenkovic used to tell us, so it's just one footnote. But as we can see, plagiarism is plagiarism, and this government only shows force on the poor. Thank you. [[Intruder Reiner: Thank you.]]
ParlaMint-HR_2017-02-09-0.u30849	We have one breach of the Rules of Procedure. Dear Representative Miroslav Tudjman has come forward.
ParlaMint-HR_2017-02-09-0.u30850	Mr. Vice-President, Article 238 was injured because MP Pernar slandered and insulted the entire party, all HDZ representatives themselves, and all those who elected HDZ representatives meant most of the electoral body because they chose, while avoiding responsibility for libel. When he is sued for slander, then here he whines in front of the Croatian Parliament and prays for four hours not to be stripped of his responsibility for slander. Therefore, it is such an inadmissible behavior that I think you should prevent it every time such collective accusations gives and accuses all of us. I don't consider myself a criminal or responsible for any dream. Thus, such a person in a decent society does not deserve to have coffee with him.
ParlaMint-HR_2017-02-09-0.u30851	Thank you. I warned my colleague Pernar anyway. So it seems like it's done. Now it's your turn for the replica.
ParlaMint-HR_2017-02-09-0.u30852	Thank you. I came to the end of what Mr. coat of arms was saying. The thesis that Stigmatization is sufficient reason for someone to resign I think it's something I said is in the spirit of time, but it's totally unacceptable because it's a way and method that you can disqualify anyone who doesn't fit you in politics, culture, science, economy and anywhere else. It's something that needs to be dealt with by the rules of conduct and the amendments to the relevant laws. On the other hand, the question of this is now being asked again a new reason as it turns out that they are unfounded that they are simply falsified arguments in this interpretation, is now coming out with new thesis, and one of these is that the dissertation is autoplagia, and then it does not want to be said that this standard was valid in Croatia, I do not know exactly until the 1970s and that this standard no longer applies in Croatia. So again, it tends to be that something that simply is a question of how it will work, and you have a statement now that has appeared in Germany, but you also have a statement and other statements that it is something that is regular at those universities. And besides, it's about the papers he reviewed and worked as far as I know Dr. Barisic's mentor. And yet on the question I have not answered, the review work here is not about the original scientific work but about the transparent work, and most of the articles in the encyclopaedia are review papers where they have no references, and they are constantly about the works and names and the thesis of other authors.
ParlaMint-HR_2017-02-09-0.u30853	Thank you. The answer to the distinguished representative of Peja Grbin.
ParlaMint-HR_2017-02-09-0.u30854	My dear colleague, you had your chance again, but you didn't answer my question, and the question was very simple. Do I dare when I do an article, work, graduate, master's degree, university, professional or so on that we don't speak doctorally using one of your numerous scientific papers and not quoting you? I'm not allowed to, but if I'm wrong, please correct me. As for the doctoral dissertation of the esteemed Minister Barisic, in the replica of my colleague Jovanovic, I have made it very, very clear and I am explicitly standing on it, none of us here are authorized to decide whether it is plagiarism or not is the only University of Afghanistan, and if it finds that it is plagiarism, I am deeply convinced that Minister Barisic will then spare all of us from the SDP and you from the HDZ, especially the Prime Minister of Mr Plenkovic's indignity and shame and embarrassment that he must go through such a debate again. I believe you agree with me on that, too. If the competent institution of the University of Augsburg or his competent body at the Faculty of Philosophy finds that it is plagiarism, I believe you will agree with me that the minister must resign without any doubt in that case. And now the last thing, the reasons why we're looking for a shift, is not to do with the stigmatization, but to plagiarize for which there's material evidence. Well, for God's sakes, the man was copying from Wikipedia without Francis Fukuyama's name being exactly copied, I guess he wasn't too careful about the radio ctrl C and clrl V was the first. Secondly, the issue of discriminatory speech by his closest associate who has not been sanctioned in an adequate manner. And thirdly, unfortunately we haven't been able to classify because it came out after we submitted the transfer request, the abuse of funds, the point. Thank you.
ParlaMint-HR_2017-02-09-0.u30855	Thank you. The next club of MPs is that HSS on behalf of whom you should speak the esteemed Kresho Beljak. He's gone. He's losing his right to speak. And we're moving on to an individual debate. First came the Honorable representative of Gordan Maras. Here you go.
ParlaMint-HR_2017-02-09-0.u30856	Thank you very much, Mr. Vice President. My colleagues and colleagues, Mr. Minister with his associates. Here we have been discussing here for 6.5 hours and the first thing I'm going to say is that I am determined to remove the possibility of any politicisation in this case, it was the prime minister's main... So he came and said this is about politics, it doesn't matter who the saint is now in front of us you'd accuse him and say with your finger he's guilty and driven him out of the government. So I want all of our citizens here who still have this case in front of their little screens to hear that this policy and politics in what Mr. Prime Minister Andrej Plenkovic thought had nothing to do with it. So we share the proposal according to certain standards that apply everywhere in a normal democratic, civilised world, if you want a European world where people when they make these failures go away. So in our request today and in the debate, you saw that there were a very large number of cases when people and for less than one thing left the government like Germany, the Hungarian president also resigned to do such a thing. Only in Croatia is the politicisation of Andrej Plenkovic, the only thing in Croatia is pointing the finger at an innocent man, only in Croatia can you not object to such things. Now, if politicisation by the SDP is something that the prime minister means, but how did the politicization get involved in it then scientists from dozens of them from around the world, Croatian scientists from America, England, Australia. Where's the conspiracy? What are they doing it for? Why don't they like Minister Barisic then? If the SDP wishes to replace HDZ Minister O.K. It can pass to someone who follows the politicization on a surface like this. But which is why Ivica Đikic, one of the most quoted, best Croatian scientists in the world, would do it. Why did he just pick on Mr. Secretary? And we're as a background, someone said today that we plagiarized Mr. Djikic, not because we wrote that he wrote, did and counted the analysis he made on January 17th 2017 means less than a month ago where he listed 9 cases, watch 9 cases, obviously has some software because it couldn't investigate which one he could use. And someone mentioned today, it seems to me here, that it wouldn't be bad for us to get it at all the Croatian universities so that we could control scientific works so that these things don't happen. So he probably found nine cases with that kind of software. And what his colleague Grbin said was not him, or he did not suspect and accuse Mr. Baresic of being a copy of the wikipedia paste in a hurry, but that is why he saw the wikipedia miswritten author's name and was also written in a particular paper by Minister Barisic. So I'm curious here why if you're already accusing us of politicizing why you didn't accuse Minister Barisic of defamation of Mr. Djikic? He doesn't have as Mr. Tudjman said here immunity, he can be accused of slander, these are very serious accusations of slander. And I'm sure Mr. Djikic, after signing this, is behind this. She would not be afraid to come to the Croatian court and answer these questions. Why didn't you press charges for slander if Mr. Djikic wrote that you plagiarized the text Stephen Schlesinger, unethically adopted the idea of Samuel P Huntington? Why didn't you, if you'd copied from wikipedia's particular stuff, here's 2, 3 cases, these are serious plagiarization charges. Why didn't you sue Mr. Djikic for libel and thus try to protect your dignity and then maybe you wouldn't have had these questions that Mr. Bacic here says that we're not a court, that the ethical commission is not a court? Although I don't know who's supposed to be judging if not the body that we've ordered him to do but then they'd avoid any suspicion that here you are unfoundedly accused. And if the court ruled, then you'd get a moral and some other satisfaction. So none of this has happened, but Prime Minister Plenkovic and HDZ and Mr Barisic are acting in a way, we're going to charge this today with political persecution, the SDP wants the HDZ Minister to resign, we're going to grow up to when we need to, 1, 1, tomorrow we're going to vote, and we're going to move on because we've won the election, we can do it. So I think it's very clear to everyone what happened here, I'm sure it's also clear to Croatian citizens because it wouldn't be, in this way expressed in public, the feeling of the people that the minister should resign. So I've already told you today that there are several polls where 90% of people say the minister has to resign. There would be no petitions to stop plagiarism in Croatia that were signed by thousands of people and started by 20, 30 of our scientists from around the world and from our universities. All this would not have been done if something had not been done unethical and what the minister had said and what the prime minister had stood as if he were firm behind being able to come to terms with the mistake, apologize and drive on. So there are a lot of things here that are unfortunately not clarified and that I think it's clear to people today who are looking at us that there's no politicization, that it's simply something that's in every democratic society, the European Union if you want a standard that can't go below it because of the implications that we've already heard, that the minister of education can't be the authority of children in elementary school and let alone scientists who go to colleges after all this has happened. And a little bit, I have to be honest with you, I've been distracted by this comparison where it calls for some blind battle with the shadows of Socrates. Because I said, this looks like HDZ's dark cave to me. So we can do whatever we want because we've won the election and light is power. And from the light you don't see out, and when you come out into the light she brings you back to the dark cave. So unfortunately we're acting in this situation and I'm asking everyone here in the assembly and those who will vote tomorrow to be guided by their conscience. I will still tell you that it bothers me that MOST has not given its position, not a single representative and I think it is very important to hear us citizens here who are following this debate that MOST is otherwise very active, here Mr. Bulj has now come out, but the man has probably already 400, 500 debates in the Croatian Parliament, has his own position on everything, about all defenses or attacks, is very clear and very explosive and knows how to thunder here but here he is silent. It's quieter here than the crickets in Dalmatia and the cricket. I'd like Mr. Bully to get his bass up and say this is right or this isn't right. Although tomorrow when we vote, his vote will be loud, individually he will have to say whether or not he's on shift. But again I will tell you I do not recognise the variant where MOST will be given up as freedom of its colleagues and otherwise it is very tight that Maro Kristic will say I'm on shift, so Grmoja will say and what you called the judge of Constitutional Court Baric and now, let's say Minister Barisic you want to replace, I do not admit such excuses. About these things where the government's functioning is reflected and reflects on future work within the government, they must be unique because they were so unique and when they voted on the government's trust and then they could say various things that would possibly bother them not to vote for Minister Barisic or Government as a whole. So, dear fellow citizens and fellow citizens, you're looking at this, there isn't any here, quick replica of Miro, you get there yet. There's no option here. Let me finish. Mr. Bully is here. [[Intruder Reiner: Thank you very much.]] So there's no politicization or "p" here [[No, no. It's over.]] The only question here is whether standards are respected or not. [[Intruder Reiner: Your time is up.]] Thank you very much.
ParlaMint-HR_2017-02-09-0.u30857	Your time is up. We have two replicas of the esteemed colleague Glavasevic first.
ParlaMint-HR_2017-02-09-0.u30858	Thank you, Mr. Vice President, and thank you, among other things, for respecting.../Intruder Reiner: I'm sorry, I skipped, but here I think my colleague, Klisovic, will give it to you. You were like that in the first place. There's no more replicas. It's more like a replica, I'm sorry. It's just that I'm, uh, here's what happens if my colleagues agree. Nothing, I thank you, too, for giving me the line, and I thank my colleagues and colleagues for letting me speak before them, even though I really did call, my colleague Bulj is the last. I was actually going to tell my colleague Maras that he's touched one important subject again. So in this story, about this tennis game and the prelude to each other who did what. I think it is worth reminding that most of the parties in this House and even in Croatian politics have been here for a very long time. They all had successes and failures, light moments and dark moments. But one of the arguments that came through this debate several times today was to watch her for what you're looking for, because as if we did, then anything could come out. Let him out. Well, it doesn't serve anyone any dirt. I think, and actually, my colleague Maras, I think that you did very well in your debate, so there is no reason that no one in this House of Highs who has on the one hand Croatia in the heart, on the other hand, any congratulation on the soul to oppose it. And that theme, as she's careful what comes out of it if we do something. It stretches through several wholes. There was talk in the archives about it, and then, in the context of the judiciary, there was talk about it, so here it is. But no one is honest enough to be afraid of it, and you've actually made a very nice disclosure. Comrade Maras, thank you very much for that.
ParlaMint-HR_2017-02-09-0.u30859	Thank you. Dear Representative Josko Klisovic. Excuse me.
ParlaMint-HR_2017-02-09-0.u30860	Thank you very much, Mr. Glavasevich. Well, that's where we heard, although I don't see that bomber announcer you'll see Mr. Mesic here on Thursday. Because he said we're getting ready, we're just waiting at a low start, and we're gonna go and bomb you. I haven't heard any of what would possibly in this context accuse some who have been in past governments. That's where the standards are set. On the other hand, I have to tell you, here's what one person sent me. I don't want to say which one is that I'm a plagiarizer. Look at the picture. So my painting with my hat and Brad Pitt next to me. A similar hat, a similar beard. Here, take a look. I wish that were true. [[- What's Brad?]] Even if I took my hat off, they'd see the copies were gone. So, Mr. Glavasevic, of course, we're not afraid, and if we need to discuss it from primary school and beyond. Thank you very much.
ParlaMint-HR_2017-02-09-0.u30861	I'm glad your ghost is alive in these late hours. The respected representative Josko Klisovic will now come to terms.
ParlaMint-HR_2017-02-09-0.u30862	Thank you very much, Mr. Vice President. Dear colleague Maras, you said today in your debate that the opposition was accused of politicizing this entire case. I told the Prime Minister in my replica that politics can't be a measure in this matter and make a decision on this matter. For politics, this makes the Ethics Commission made up of renowned scientists, people who are competent to assess whether plagiarism has occurred or not. But the prime minister has been elegantly over what I've been saying. A short time ago, our dear colleague Bačić, here he is still there, whom I have very much respected said that politics, so parliamentary representatives agree that I cannot decide whether plagiarism has occurred or not. But that neither can the people of the Ethics Commission, because it was appointed by parliamentarians or politicians. Now, the Parliament also appoints judges of the Constitutional Court and state attorney, governor, state auditor. Whether or not their findings, policy findings or the findings of the state bodies are based on the profession of the bodies whose findings bind us. I also understood the Ethics Commission that discussed Minister Barisic's case that it was a professional body whose decision will at least make us a political commitment since we take away our right as politicians to judge a scientist. The only thing we can judge here is the political responsibility of the minister and whether we want to have a minister whom the Ethics Commission has found to be a plagiarist. Thank you very much.
ParlaMint-HR_2017-02-09-0.u30863	Thank you. The answer of the distinguished representative Maras.
ParlaMint-HR_2017-02-09-0.u30864	Thank you very much, Mr. Klisovic. Well, I immediately said that, and once again, I am resolutely rejecting Prime Minister Plenkovic's remarks and insinuation that this is about politicisation. I'm not, and I'm going to say right now that I'm assessing someone's scientific work because it has no experience or experience to do that. But what it says here isn't us. It was written and signed by scientists. Ethics commission, Mr. Bacic said that he has nothing to judge us here because the Parliament has nothing to judge, and then there is no Ethics Commission. I will remind you one thing that we have accepted the Ethics Commission's competence to manifest around such things in the report we have accepted seems to me in 2015 or 2016 as a Parliament, so we have accepted the possibility as a Parliament that we will respect what the Ethics Committee brings. And now we've got that right word and why we're now refusing what they wrote. Because we don't like it? Because there aren't four members of nine? So what if it were a 5-4 vote on the Ethics Commission, would that decision be worth it? Look, it's stories for little kids. I'm telling you one more time here it's just that the prime minister and the government think they can do whatever they want and okay. They can, they have most, they'll raise their hands tomorrow, the MOST will help them, but our citizens will see everything. And these 90% of people who think Mr. Barisic should leave this place will remain there and will evaluate the conduct of each representative individually, so will Mira Bulja and Nikola Grumoje and all those who will run in the local elections in three months. So on that side, each of us will vote tomorrow and stand behind his voice, I can, I don't know if Miro can go behind his.
ParlaMint-HR_2017-02-09-0.u30865	The next replica is the esteemed representative of Ivan Pernar.
ParlaMint-HR_2017-02-09-0.u30866	Thank you, Your Honor. Well, I'd like to say often when HDZ is caught with its fingers in a jam they're always telling us they're politically mounted, we're set up, they're plots etc. However, we have seen in the past that HDZ ministers and prime ministers, etc. defend in such a way, and we see that the same way continues to defend. And they're also acting in a strange way, if the commission or that council had ethically said that it wasn't plagiarism then they'd say here see the solution is positive what you want. And when it's negative, then it's a matter of honesty to everyone but themselves and it goes with that story they don't admit to any other court except the court of their own party. Why am I saying that? So because these scientists all who support the Minister of plagiarism, they do not support him for Benevolent reasons, but they are all in some way connected with power and simply the government gives them certain rights, privileges and they in turn give him not scientific but political support to Minister Barisic. Someone's gonna say it's just footnote, someone's gonna say it's just two fete prosciuttos, it's only nine days, and eight days is a deadline, someone's gonna say I'm just late to extend parking etc., the argument is countless. However, we see that when ordinary citizens are at stake, then stick strictly to the procedure, and when HDZ's minister, Vice-President of the Parliament, and what else does the procedure matter? Thank you.
ParlaMint-HR_2017-02-09-0.u30867	Answer, I assume you want to answer.
ParlaMint-HR_2017-02-09-0.u30868	I've already picked up, I don't know if you've seen...
ParlaMint-HR_2017-02-09-0.u30869	Dear Representative Maras.
ParlaMint-HR_2017-02-09-0.u30870	Thank you very much. So I'm not saying at all that if there's corruption in politics, and we've seen it unfortunately in Croatia that there is corruption in all areas of society in the judiciary and we've seen it somewhere. Why shouldn't there be corruption and immoral behavior, I'm not saying this is corrupt behavior, but it's unethical, but it's got twisted behaviors in science as well. Well, that's what we saw, there were cases of passing exams at some colleges, etc., so there are certain things. Now, I'm also not going to limit it. It's possible that in every party, someone gets sidetracked, so don't highlight it as something that's politically intrinsically intrinsic. On that side I'm not making a difference, if not someone made and mistaken some answers. The person who made the wrong name and last name should answer. Ivo Sanader, we've seen how he was wrong and he's responding, and there's no such sanction here that someone would have to go to court, but there's moral responsibility. And I'm saying that again, it's not me to judge because I'm not, I'm going to say once again, I'm not professional enough to judge it, but these people who signed it are professional. And you can't shake your hand and tell them who the plums are, we don't care. It is possible that the entire Croatian public is so manipulated that the media has manipulated it that they have such a feeling that 90% of the people that Minister Barisic should leave. Is that even possible? It says so if the internet is used on several pages that were doing a 90% poll of ten thousand, it was for the departure of Minister Barisic. ... [[The speaker doesn't understand.]]
ParlaMint-HR_2017-02-09-0.u30871	Thank you very much. The next replica of the esteemed representative, Petar Škorić. Here you go.
ParlaMint-HR_2017-02-09-0.u30872	Thank you very much, Vice President. Dear colleagues, Mr. Maras. So here's what I consider the highlight of today's debates to say that this is not political persecution and why Mr. Djikic would do it. On the other hand, you did not wonder why one of the dignitaries of Miroslav Radamn, so the scientist and the Croatian and the world voice gave support to Mr. Minister. I remind you of why Djikic did it. On April 21st, 2012, your former minister, Mr Jovanovic, said in an interview in Free Dalmatia "Djikic is our informal adviser, with us he provides support, but also advises which changes are necessary. Djikic will have no office in the ministries, but will be consulted on more important moves," your minister Jovanovic said. I assume that in this case, you did not ask Mr. Djikic for advice or consultation, but that you and your minister gave him advice and invited him to consult if he would engage in your account in political persecution against Minister Barisic. Your minister, therefore, in the daily in Free Dalmatia Đikiæ provides support and advises him. And these days, in his letter, Djikic himself denied consulting the minister and being politically committed. Who here is telling the truth, your member and former minister or Mr. Djikic? I remind you that Mr Vlatko Silobrčić, the current party member Smart and Haranga initiator against Minister Barisic, is also one of the initiators of support for former Minister Jovanovic who opposed those who destroyed Jovanovic's proposals to amend the law on scientific activity and higher education. It is interesting that both Djikic and Silobrčić were not interested in the obvious conflict of interest of your minister Jovanovic during his term and had no objections at that time.
ParlaMint-HR_2017-02-09-0.u30873	Thank you. The answer of the distinguished representative Maras.
ParlaMint-HR_2017-02-09-0.u30874	Mr. Škorić, the people who watch us here on television all know who Ivica Đikić is, for you I'm not sure that the vast majority of people know who you are and where you come from and I'll tell you who Mr. Ivica Đikić is one of the most important Croatian scientists, let's say that in 2005 Science magazine published in its number that his medical discovery, medical discovery, was in 2005. That he won the European tumour research association award for researchers in 2006. That he has so far published hundreds of papers in scientific journals that have been quoted tens of thousands of times. Why would Mr. Djikić place his reputation, his name, he is otherwise invited in all social situations, by the public, by the media, by all televisions to comment in the field of science what is happening even though he does not live in Croatia? His authority is so much that he is more influential here with his opinion than 90% of the people who do science in Croatia. Why would that man put his name in this way, as you said under the questionnaire, which is his motivation other than to repay himself in this way to his homeland and to say what is right. If you already suspect him, why do you suspect people like Anna Barack, a doctor, a doctor with George Stein University? Why do you suspect Ivan Damjanov's professor of the University of Kansas Medical Center? Why do you suspect the Turtle Fucks of New Mexico Tech? There are 20 of our scientists from around the world who have signed on this issue and launched a petition because they are all manipulated by Mr. Zeljko Jovanovic as you humiliated and underestimated Mr. Djikic that he is doing so on the orders of Jovanovic. Well, come on, hold some dignity, Mr. Scrooge. People know who Ivica Djikic is.
ParlaMint-HR_2017-02-09-0.u30875	The next replica is the esteemed representative of Blaženko Boban.
ParlaMint-HR_2017-02-09-0.u30876	I understood Blaženko Boban Thank you for making me understand. [[You've got it all figured out.]] Comrade Maras, your entire debate has come down to how this isn't political persecution. Now I'm going to say it again, so I repeat this because you weren't in the assembly at the time, but I'm going to tell you in the end why I did it again. The city board of Split's SDP will discuss on Sunday the support provided by Science Minister Pavi Barisic, professor of emeritus Josip Milat and Marita Brčić Kuljiš, professor of science and international co-operation of the Faculty of Philosophy in Split. They signed an open letter along with another hundred members of the academic community in fear that the HNS would not leave before the SDP with a request for Minister Barisic's resignation. Many have seen it as a party betrayal, but the former dean of the Faculty of Philosophy said the letter was signed by a professor and scientist rather than as a member of the SDP. That's part of it. Well, you've been saying it all along, the people who are watching us will read it all out of this. Secondly, you're here through a few replicas, but in the presentation, you said you weren't afraid of anyone's attacks. And that's the wrong thing to say in the freshest history. I'll tell you, back in 15 days here when an affair appeared, your club, on behalf of your club colleague Sabina Glasovac went out and asked for a club break to educate us not to attack for what reasons, I won't speak.../The speaker understands./... The second case, yesterday, your president of the club Mr. Arsen Bauk says when in the morning the debate started over some new, recent affairs but we still don't have the attitude of the USKOK or the DORH about it, too please don't pray until there's no such thing. So you know the difference between you and Mrs. Hope, Hope said well. I know, but you're imagining that you know. [[The speaker doesn't understand.]]
ParlaMint-HR_2017-02-09-0.u30877	Thank you. Agent Boban. I'd like to ask you not to replicate or turn into a debate like this. Replication response.
ParlaMint-HR_2017-02-09-0.u30878	Well, I didn't hear 'cause the gentleman turned off the microphone while he was sitting.
ParlaMint-HR_2017-02-09-0.u30879	Thank you very much.
ParlaMint-HR_2017-02-09-0.u30880	Mr. Boban, you have now mentioned the situation in the city organization of Split for which I do not even know... Yeah, I don't know. [[You can't hear the intruder.]] And she's in this case relevant to what they're going to discuss there. Mr Milat was a member of the SDP, he was an assistant minister, not in the last government but in the year 2000 to 2003, he was a dean of the university and he was already defending Mr Barisic on the matter of those 17 departments or cathedrals, which was already the case. So he's already shown that he's standing very tight with Mr. Barisic. I'm not saying, maybe someone in the SDP will think Mr Barisic shouldn't leave. Obviously, Mr Milat means it especially now that he is in a position to advise both the government and Mr Barisic as a member of this council or commission on what the prime minister has done. And why would that be burdening me now? Why would the SDP do that? So that's not the SDP's attitude? Let him speak his mind. The SDP has its position, the SDP says it trusts Ivica Djikic more than Josip Milat. Is HDZ your problem if someone from HDZ is to tell him he's wrong? Well, maybe he's wrong. And here I'm saying here a very clear SDP member Joseph Milat is wrong. But what, let the man speak. And now what's so funny? So what do you think everyone in HDZ is wrong, that everyone's always right. Well, you don't mean that. Is that what you think? Here, nod left, right, up, down, let me see if you think. So here you are, frozen. So you probably don't think everyone in HDZ is right either. I don't think everyone in the SDP is right either. Mr. Joseph Milat is wrong just as certain as some in HDZ are wrong. And what's the problem? We're asking Mr. Secretary to leave because of what we think he's wrong. That's the point here.
ParlaMint-HR_2017-02-09-0.u30881	Anka's representative Mrak-Taritash has requested a replica.
ParlaMint-HR_2017-02-09-0.u30882	Thank you very much, Mr. President of the Croatian Parliament. Comrade Maras, here's a few hours we've been discussing and discussing, and after that few hours when you draw the line, we have a common denominator that could be said next. We've got two bets. One point is that Mr. Minister needs to leave, another point is that Mr. Secretary should stay. And it's no wonder that the debate is so long and it's no wonder that the debate is now. You know when you form a government and at a time when you represent ministers and when you have someone who has a problem before and when he's named head of the ministry that's closely connected to this problem that I have, I'm deliberately not talking plagiarism and nothing but saying a problem, then you have as prime minister really one problem and one weight around your leg. And you have this foot weight all the time, because if the minister hadn't been appointed to that duty, it would certainly have been something that would have been discussed in the scientific community, something that might have caused controversy. But my colleague Maras and I know very well the following. At a time when you were appointed minister and appointed minister of the department, then everything you did in your former life and you have the right to question yourself and that was also the topic at the time when the government was appointed. And it is no wonder that the topic is now and it is no wonder and it will not be a wonder that this topic is in the future, because it is one weight that weighs on Mr Plenkovic. And it's absolutely clear that I have two sides here. One side that tells my people to be a minister is the obligation and responsibility and the other side that says: "We will defend our minister I'm bareing bodies until I'm ready. [[The President's incursion: Time.]] Thank you.
ParlaMint-HR_2017-02-09-0.u30883	Thank you. Replication response, Agent Maras.
ParlaMint-HR_2017-02-09-0.u30884	Thank you very much. Especially when it comes to, and I think our viewers and citizens of the Republic of Croatia also recognize it when it comes not only to their minister, but to their minister. So it doesn't have to be just from your party. This one's just the prime minister's. Because I'll bet there's a lot of HDZ people here who have been here for a very long time watching one of Mr. Bačić's HDZ's patriarchs who's been here at the highest levels for twenty-and-a-half years has been the party's chief secretary. So I bet you asked him a few days before the government was presented who would be Minister of Science if he were Minister Barisic, I might ask which Barisic. So it is not the HDZ minister, such as Minister Tolusic or Minister Butkovic, who are HDZ vice-presidents, they had certain duties. They've been here 20 years. This is Mr. Plenkovic's hand pick. If Mr Tolusic or Mr Butkovic had done this, they would have already been "goodbye". You can't let that happen here. Here, if Mr Barisic leaves, Mr Plenkovic will leave rather than Mr Barisic. That's why he took this to his back. Believe me, if Tolusic and Butkovic listen to us, I wouldn't want to be in your skin to do what Barisic did. You would already plan a campaign in Novi Vinodolski and Virovitica in the next local elections. Thank you very much.
ParlaMint-HR_2017-02-09-0.u30885	Representative Miro Bulj reported for the replica.
