ParlaMint-NL_2016-04-13-tweedekamer-6.u1	I give the floor to Mr Klaver.
ParlaMint-NL_2016-04-13-tweedekamer-6.u189	I don't know the ambassador's signals. There is, of course, a great deal of talk in many areas. The fact is that there are agreements between the Netherlands and Turkey. If there are rumours or concerns about the implementation of the agreements, I agree with Mr Klaver that it is perfectly normal to ask for a moment and to look behind the scenes. I think that is perfectly normal, but the Commission must be in the lead. I have no objection to the UNHCR playing a role in this, but from his job he cannot conduct some kind of independent investigation.
ParlaMint-NL_2016-04-13-tweedekamer-6.u190	Mr Klaver, I see you have a document with you.
ParlaMint-NL_2016-04-13-tweedekamer-6.u191	It is not about what the Turkish ambassador said in a conversation or something, but about an interview in the EU observer, in which he states that he has no sense and no interest in the European Union interfering in any way with what is happening in Turkey. And that worries me. I would like to hear from the Prime Minister whether these concerns are justified or whether Turkey is allowing a review of how the agreements are being implemented.
ParlaMint-NL_2016-04-13-tweedekamer-6.u192	This is, of course, a matter for the Commission. I think it is perfectly normal for the Commission to be able to talk to Turkey about this type of rumors and to ask Turkey to do so. So I don't recognize the ambassador's signal. I would also find it strange, because I agree with Mr Klaver that it fits in with the agreements with Turkey that, if there are any worries, you will find out what is going on and want to look at each other behind the scenes. I think that's perfectly normal. I come to a whole series of other questions that are a little easier. Famous last words. We have the group of economic migrants. Well, that's easy: you can send it back. Then we have the Syrians. They have specific issues, as the debate between Mr Samsom and a number of other Members has shown. It is important that Turkey be designated as a safe third country by Greece. That will also have to be given its place in the asylum procedure on the Greek islands. We also have the difficult issue of the Iraqis and Afghans. Within these groups there are vulnerable minorities such as the Jezidis and the Christians. Discussions are ongoing with Turkey on the way in which the precise agreements will be implemented. So that's not quite complete. We're very close. It's my feeling that we can get out. We already have an understanding of the economic migrants, we have an understanding of the Syrians, and we are very far with Turkey about the Iraqis and Afghans. This must be organised in a proper manner.
ParlaMint-NL_2016-04-13-tweedekamer-6.u193	Speaking of Syrians, while no Syrian asylum seeker has yet been returned from Greece to Turkey, the cabinet has already started collecting Syrians from Turkey. Why? Which EU countries have already started doing this?
ParlaMint-NL_2016-04-13-tweedekamer-6.u194	It's about very small numbers, which of course you'll be salding again with future numbers. As soon as the asylum procedure begins, the numbers of Syrians going back will increase. In the one-on-one system of course you make sure that it is distributed a bit neatly. It's about the whole thing. It is not an obligation for all countries to participate, but there are a lot of countries involved, including from Eastern Europe. I am not going to mention names here, because those countries have to announce this themselves, but we see a fairly broad front of countries that are participating. If you're in, it's off of your other quotas. We have the quota of 22,500, in which the Netherlands has 1,000 in it, for resolution. In addition, we have the 160,000 for relocation, of which 54,000 places have not been allocated. If we bring people from Turkey into the one-on-one programme, we will deduct them from those quotas. Non-participant countries keep their full quota. So it's not that the Netherlands I'm trying to stay in PVV-language for a while is crazy Henkie. We are not doing any more, but we are doing just as much as other countries. But if we do anything about this, we have fewer obligations in the other programmes. It is good to note that Eastern European countries are also beginning to board. Those countries never wanted to participate because they did not know whether there would be a parallel stream of irregular migration left. They see that this stream is gradually drying up and saying: okay, we understand that it makes sense now to join as Europe. That is a positive development. We've spent a lot of time in it, too. The countries were very consistent: they only wanted to participate if the irregular flow stopped. That logic now appears to be working in practice. Again, I cannot mention those countries now. They'll have to do it themselves.
ParlaMint-NL_2016-04-13-tweedekamer-6.u195	Yeah, they're supposed to do that on their own. Unfortunately, the Prime Minister is taking the lead again in bringing Syrians to the Netherlands. I ask which other countries do that and the Prime Minister says: I do not say that. That's impossible, isn't it? Surely the Prime Minister can indicate which other countries, or at least how many other countries, are doing this? I mean, that's got to be open-minded, right?
ParlaMint-NL_2016-04-13-tweedekamer-6.u196	Quite a few countries are going to participate. But even if there were no countries other than the Netherlands, when this is done, we will be off our quotas and all those other countries will still have to comply with it. It is not the case that we are bringing more refugees from these countries than other countries. All countries have now legally committed themselves to resettlement and relocation. What we're doing here, we're subtracting from those numbers. If other countries do not participate, they will be left with those full quotas and we will not. Luckily, it's not like that. Germany, Finland and the Netherlands were involved in the first small numbers, between 70 and 80. We will probably leave the honour at the next stream to other countries. It is my expectation that you will eventually see that quite a few countries are participating. What Mr Fritsma naturally wants to go to is to hear that the Netherlands is doing more than other countries. But you're not, because you're salting. So what's the problem?
ParlaMint-NL_2016-04-13-tweedekamer-6.u197	I still do not know how many other countries, like the Netherlands, already have an air bridge with Turkey to pick up Syrians. However, I do know that the Netherlands is back in the lead and is the first to pick up Syrians. To stay in the Prime Minister's terms: The Netherlands is indeed "crazy Henkie" by always taking the lead in picking up asylum seekers. Let me try again: what is wrong with the question of how many other European countries do this besides the Netherlands? Isn't that a very simple question to which the Chamber deserves an answer?
ParlaMint-NL_2016-04-13-tweedekamer-6.u198	Those countries decide when to publish it. Then I'll come back to the first question. Mr Fritsma, of course, tries to give the viewer the impression that the Netherlands is now participating and is instantly with a larger number of people from Turkey than other countries. That's not true. We have said legally binding in Europe: 22,500 and 160,000. With these two quotas, the number you get from Turkey will be deducted. The Netherlands can now subtract 31, so that's fast. Other non-participant countries cannot deduct this and remain fully committed. So it's not like you're suddenly with more people in the Netherlands than other countries. It is important to say this before Mr Fritsma succeeds in creating the picture here as if the Netherlands were taking up more asylum seekers than other countries.
ParlaMint-NL_2016-04-13-tweedekamer-6.u199	I'm gonna try one more time. What is wrong with the question of how many other European countries already have such an air bridge with Turkey to pick up Syrians? The Prime Minister doesn't even know the answer to such a simple question. Of course, then, the conclusion is justified that the Netherlands is crazy Henkie of Europe, because the Prime Minister is back in the lead in picking up Syrians from Turkey.
ParlaMint-NL_2016-04-13-tweedekamer-6.u200	The latter we would be if it were to be on top of the mandatory numbers, but that is not the case. I have already given the answer to the first question.
ParlaMint-NL_2016-04-13-tweedekamer-6.u201	The Turks report in the foreign media that the EU is obliged to absorb 250 000 refugees per year. Can the Prime Minister respond to that?
ParlaMint-NL_2016-04-13-tweedekamer-6.u202	I don't know that story. No appointments have been made. The logic is that if all this succeeds and the entire flow would really stop... My ideal future scenario is that no one will cross the Dutch border anymore and that they can be sent back if they do. That would be my ideal scenario, because then you won't have any irregular migration at all. In return, you are willing to get people out of the areas where it is restless, where the camps are: quotaed, in numbers limited and strictly regulated. If this works out completely and the power has stopped, I am absolutely prepared to see how, in accordance with our letter of 8 September, you can get people from Turkey through resolution. There have been no agreements, so that number is totally falling out of the sky for me.
ParlaMint-NL_2016-04-13-tweedekamer-6.u203	Does the Prime Minister rule out the numbers of 250,000? Apparently, the Turks lie in foreign media. Among other things, Greek newspapers mention this. The Dutch media are not, but I would not be surprised if that number were actually mentioned. Does the Prime Minister rule out such large numbers?
ParlaMint-NL_2016-04-13-tweedekamer-6.u204	I'm not gonna respond to every rumor, am I? No, I'm not.
ParlaMint-NL_2016-04-13-tweedekamer-6.u205	It's not a rumor, but it's in the media.
ParlaMint-NL_2016-04-13-tweedekamer-6.u206	Well, then we need to talk about the media again! Then I get to the waterbed effect. The good news is that at least we don't see that at the moment. The flow through Libya to the European Union is actually made up entirely of African migrants, often with a seasonal peak, as we have seen more often. That was also the last point made by Mr Samsom in his term. There are no indications that the current is shifting from Turkey to Libya. You can see that the Frontex figures on the influx from Libya this year have so far been slightly higher than last year, but there is no trend yet. I fully agree that we should be extremely keen on this. You can also see Austria's first reactions to the Brenner. It is very important that Italy should assume its responsibility, but I can also say about Italy: we are not leaving the Italians alone with this problem. We are also going to help Italy collectively, but Italy, as sometimes happened in the past, should not give the impression that people can walk on to the rest of Europe. That is why Austria's initiative with the Brenner is a sensitive issue. But as in the case of the Western Balkans, I understand the Austrian perspective. It is particularly important now that Italy shows that there is no need for it and that it will take its responsibility through proper care. Furthermore, we must of course work very hard on Africa. We now close compacts with Jordan and Lebanon. That is not Africa, but the region around Syria, but the Minister for Foreign Affairs, the Minister for Development Cooperation and the Minister for Foreign Affairs are working on this in Africa. Bert Koenders, the Minister for Foreign Affairs, is in the region in the next few days to talk to people about the possibility of further agreements on how to contain this problem. Of course, you cannot transfer the Turkish model one-on-one. That has rightly been said, even if only because Libya is blessed with a multitude of governments and it is quite complicated to know exactly who to make agreements with. In the end, we will have to succeed in reaching good agreements with Africa as well.
ParlaMint-NL_2016-04-13-tweedekamer-6.u207	Austria has announced an increase in border controls with Italy. Is that what the Prime Minister of Austria is or can he and does he think that Europe should support Austria as long as Italy is unfortunately not in order?
ParlaMint-NL_2016-04-13-tweedekamer-6.u208	It's allowed on its own. The Netherlands has also introduced stricter controls; this is permitted. It is important that Austria and Italy do not surprise each other and that there is good contact. Austria naturally wants to prepare for the expected increase in migration through Italy further into Europe. It is therefore important that the situation in Libya should stabilise and that we, as President, work actively on this. That is why the Koenders journey I mentioned is taking place and is being discussed next week in the Foreign Affairs Council.
ParlaMint-NL_2016-04-13-tweedekamer-6.u209	I would point out to the Prime Minister that it is important for the Netherlands to understand the position of Austria, but I believe that the Prime Minister himself has said so. Italy must do its job, but as long as that is not enough, Europe must support Austria and not leave it in the cold.
ParlaMint-NL_2016-04-13-tweedekamer-6.u210	I'm not ready to say Italy doesn't. That will have to prove again. Last year there were indications that things did not always go wrong, and in that sense Mr Buma and I agree. I do not know for this year, and that is why it is too much to say. However, I agree with Mr Buma that there should in itself be an understanding of Austria's preparations for an expected increase in migratory flows. We've been asked about the staff in the shelters. According to the Frontex agency, there are now enough experts working on the islands. We are making a big contribution to this. There are still a lot of pledges open. The main work is to raise the number of interpreters. Women and children. Greece is looking in particular at vulnerable groups. All kinds of measures are being taken for this. It is also one of the issues involved, alongside Iraqis and Afghans, in the further detailed implementation of the agreements. How are we going to get everyone back in a quiet and decent way? The situation in Idomeni is certainly worrying. I should also like to point out here the dubious role that some NGOs play in spreading rumors. That is one of the reasons why people do not leave, even though there is a shelter at about 15 kilometres where people can be well received. However, people are still being pumped with the hope that the border may still open, even though the Greek and Macedonian authorities have indicated that the border remains closed. The European Union and Turkey expressed the ambition to modernise trade relations in 2015. This also concerns the customs union. On the basis of that customs union, the EU and Turkey apply common external import tariffs. What we want now is a better alignment of the customs union with a number of developments over the past two decades, for example by including agricultural, service and procurement agreements in the customs union and thereby deepening trade relations with Turkey. On the question of food shortages in Greek reception, we immediately questioned them. It became clear that several NGOs have no evidence that there are food shortages at the moment. This was also apparent from the UNHCR's inquiries. There has been concern about the quality of the food. The latest information from the UNHCR shows that the situation is now that there are no serious problems. Of course, the Greek authorities are faced with a huge logistical and organisational task. But they take on their responsibilities and we, at least the Commission, I must say again, pay very close attention to this. I'm not worried about the perverse stimulus. There may be such an incentive, but if you look at how things are going right now, I'm not so worried about it. We must, of course, keep a close eye on this, but the fact that the numbers that are now crossing do not, at least at the moment, indicate that the system that has been discussed is now being used to organise a great deal of resolution through the one-to-one structure. A great deal has already been said about visa liberalisation between Members of Parliament. I agreed with those who said that they simply have to meet all the criteria. The only thing that has been agreed is that 1 October will be 1 July, provided they meet all the criteria. We'll see how far they get. It's an old date. No new agreement has been made on this, except that the target date has been brought forward. It is mainly up to Turkey to reach that target date or not. Then, chairman, I'm coming...
ParlaMint-NL_2016-04-13-tweedekamer-6.u211	Before you proceed, there is an interruption by Mr Bontes.
ParlaMint-NL_2016-04-13-tweedekamer-6.u212	The Prime Minister is going through all the points very quickly, but one thing I haven't heard is that it may still be coming, but perhaps he could forget it, and that is freedom of expression. Part of my input was about that. My question is: how does the Prime Minister judge Erdogan's long arm, which even in Germany wants a comedian to be locked up?
ParlaMint-NL_2016-04-13-tweedekamer-6.u213	We are, of course, dealing with countries outside Europe, on the fringes of Europe, which have not always achieved the level we ourselves consider to be the level of freedom of expression, democracy and human rights. I've called that joke in my party the Zijlstradoctrine. If we only do business with countries that are 100% compliant in all respects, it will become rather quiet around us, at least in our own perception. Others will also be critical of us, as some Members have said. I will not go into the matter between Turkey and Germany. That really is a bilateral matter, Turkey-Germany. It is clear that, of course, in all contacts, we are very keen to ensure that the standards that are not negotiable for us are maintained.
ParlaMint-NL_2016-04-13-tweedekamer-6.u214	This is a bit disappointing to me: a fearful response from the Prime Minister. He is not interfering in the matter between Germany and Turkey. Really scared, scared. 'Cause why not? Why wouldn't the Prime Minister take action? He was always a champion of freedom of speech. He even advocated enlargement. Now he is finally President of the European Union, and he is actually too afraid to address the Turks.
ParlaMint-NL_2016-04-13-tweedekamer-6.u215	As President of the European Union, I must also be on a roll. This really is a bilateral issue between Turkey and Germany. This does not affect the Presidency. Mr. Chairman. Then one more question was asked about...
ParlaMint-NL_2016-04-13-tweedekamer-6.u216	Mr. Bontes, finally.
ParlaMint-NL_2016-04-13-tweedekamer-6.u217	I think it's way too easy to get away with this. President of the EU, there he is. Then the Turks use, Erdogan uses his long arm to Germany and restricts freedom of speech there, and the Prime Minister dares not do anything about it. I think it's really outrageous.
ParlaMint-NL_2016-04-13-tweedekamer-6.u218	What's going on here? The President-in-Office of Turkey has objected to statements in German media. It is now up to the German-Turkey relationship to respond to this. I don't have anything to add to that, do I? Germany is perfectly capable of settling this with Turkey itself. I don't think they're waiting for my help. They don't need them either. It is not a matter for the European Union, it is really a bilateral matter. Mr. Chairman. The final question, perhaps, concerns the implementation of the Turkish Refugee Facility. We have also put something in the letter about this. It is, of course, slow to spend these resources. The Turks are working very hard on this, and we also attach great importance to the fact that the money is being spent in a good way. This contributes to supporting reception in Turkey and education and training opportunities for the labour market. In doing so, we have come to the conclusion that in specific cases refugees can be helped most quickly if they do so through the responsible public authorities. The UNHCR feels the same way. It is, of course, very important that this UNHCR has access to it and is closely involved in it. So I think it is important that we do everything we can to ensure that the funds are spent properly. There's a lot of discussion about the second 3 billion. However, the main challenge in the coming period will be to spend the first 3 billion for 2018 in a good way. Mr President, I think I have answered all the questions.
ParlaMint-NL_2016-04-13-tweedekamer-6.u219	Famous last words... What is the legal status of these agreements?
ParlaMint-NL_2016-04-13-tweedekamer-6.u220	I could, of course, give a brilliant answer now, but since I really want to answer Mr Pechtold's question very well, let me write down exactly what this is about in European law.
ParlaMint-NL_2016-04-13-tweedekamer-6.u221	That comes in second term.
ParlaMint-NL_2016-04-13-tweedekamer-6.u222	Yes.
ParlaMint-NL_2016-04-13-tweedekamer-6.u223	The words "deal" and "agreements" are spoken in the mouth, but legally it is actually nothing more than a statement. Does the Prime Minister agree with me?
ParlaMint-NL_2016-04-13-tweedekamer-6.u224	I'm gonna have to get that straightened out.
ParlaMint-NL_2016-04-13-tweedekamer-6.u225	You can see it, President: the shorter the question, the better...
ParlaMint-NL_2016-04-13-tweedekamer-6.u226	Those short questions from Pechtold are the most dangerous! He's an art historian, so when he brings up legal issues, I pay extra attention.
ParlaMint-NL_2016-04-13-tweedekamer-6.u227	We have another lawyer here: Mr Van Haersma Buma.
ParlaMint-NL_2016-04-13-tweedekamer-6.u228	Absolutely.
ParlaMint-NL_2016-04-13-tweedekamer-6.u229	Ván Haersma Buma.
ParlaMint-NL_2016-04-13-tweedekamer-6.u230	"Buma" or "Van Haersma Buma" is both good, but not "Haersma Buma," not "Buma Stemra," not "Buma Haersma"...
ParlaMint-NL_2016-04-13-tweedekamer-6.u231	It's all in the Acts now, from Haersma Buma.
ParlaMint-NL_2016-04-13-tweedekamer-6.u232	Agreed. The Prime Minister said something important, which I believe is also good news, namely that many more countries, including Eastern Europe, want to participate in the taking over of refugees. It is mainly curiosity to want to know which countries they are, so I will leave that question out for a moment. But I would like to know if the Prime Minister has any idea when this could develop. In my view, it is a very important step if all countries are to participate. If that is not possible, we will have to look at what we are doing with these countries for later; we have talked about this before. However, is there a view on it?
ParlaMint-NL_2016-04-13-tweedekamer-6.u233	If they do not participate, they simply stand at the bar for the numbers; it is not so that those countries will get away with it, as some will say. I just think that it is important for successful implementation and for the support base to involve as many countries as possible. I think it is very valuable to note that Eastern European countries are also starting to scramble on board. I can't call it right now, I don't think it's my place. However, I believe that if more Syrians are brought from the shelter in Turkey to Europe, it will become apparent which countries they are. That's my expectation, although I can't guarantee it.
ParlaMint-NL_2016-04-13-tweedekamer-6.u234	Thank you. That brings us to the end of the government's first term. In view of the movements in the room, there is a need for a second term. I shall give the floor to Mr Klaver in that period.
ParlaMint-NL_2016-04-13-tweedekamer-6.u235	Mr. Chairman. I would like to thank the Prime Minister for the answers to the questions he has asked. The concerns I have about this Turkey deal and the position of the refugees have not yet been removed. I am concerned when I hear the Prime Minister say that he has no reason to believe that refugees would now be returned and that he is relying on the word of the Turkish government. I find that too easy; it sounds almost like the Turkish ambassador yesterday in Nieuwsuur. I attach great importance to Amnesty International's report. That really is not just a second or third-class club, but an organisation that has been dealing with the human rights situation for a long time. If the Prime Minister doesn't mind, I think Amnesty International is a little more credible than President Erdogan. I also think it is important not only to ask the Turkish authorities, but also to do real research to see what is true and how we can ensure that the safety of refugees, who are our responsibilities, is guaranteed. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the EU agreement with Turkey states that "all migrants will be protected in accordance with the relevant international standards and in compliance with the principle of non-refoulement';]] [[noting that there are serious signals, including from Amnesty International, that Syrian refugees are being sent back by Turkey to Syria;]] [[calls on the Government to commit itself to a UNHCR monitoring mission in Turkey and Greece to monitor compliance with the relevant international standards, including non-refoulement,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Klaver and Mr Pechtold. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1116]]
ParlaMint-NL_2016-04-13-tweedekamer-6.u236	Mr. Chairman. It has been an important debate on an important deal. The CDA had said in advance "don't close it" because in the longer term it will make Turkey stronger and stronger and Europe weaker and weaker. That's a very big risk. I think Mr Klaver's motion is important. I'd like to hear the Prime Minister's opinion on this. We are considering going along with this because the UNHCR is a club that can do that. For me, the important point remains that the international conventions are not tailored to the current flow of refugees. I had an interruption debate earlier with Mr Zijlstra. I shall therefore table the next motion with Mr Bishop so that the Prime Minister can put this issue on the agenda during this Presidency. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the international conventions no longer correspond to the nature and extent of the current refugee and displaced persons problems;]] [[Considers that international law needs to be adapted to ensure that reception in the region and temporary protection are paramount, and discourages the use of the asylum procedure as an alternative form of immigration;]] [[calls on the Government, as President of the European Union, to include adjustments to the Treaties on the agenda,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Haersma Buma and Bishop. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1117]]
ParlaMint-NL_2016-04-13-tweedekamer-6.u237	Mr. Chairman. I thank the Cabinet for the clear answer. I actually thought it was a bizarre debate. My impression of this debate is that apart from the SGP the PvdA and the VVD the Chamber says that the agreements with Turkey should be pushed aside. Let's be clear. This means that we go back to the large numbers of refugees who crossed from Turkey to Greece every day. Then we go back to the footage of people who don't survive. Then we go back to the large number of refugees that also got the Netherlands in big trouble last autumn. The agreements with Turkey do not solve the refugee problem, but are part of the solution. The VVD finds rejecting these agreements totally irresponsible.
ParlaMint-NL_2016-04-13-tweedekamer-6.u238	Mr Fritsma, one question. It is the second term and there has been a great deal of debate.
ParlaMint-NL_2016-04-13-tweedekamer-6.u239	I have a question. Mr Zijlstra's simplism really invites me to do so, because he makes it seem like there are only two choices: whether to make ourselves dependent on that terrible dictator Erdogan or to bring tens of thousands of asylum seekers to the Netherlands. With all due respect, what a load of crap! Why doesn't the VVD see that the best option is to take matters into its own hands, close the Dutch borders and go over our own admission policy in order to stop the asylum influx? Apparently that option does not come up with the VVD and that is sad.
ParlaMint-NL_2016-04-13-tweedekamer-6.u240	It is remarkable that when you start your question with a reproach of simplism, this comes after it. I'll leave it at that.
ParlaMint-NL_2016-04-13-tweedekamer-6.u241	Mr. Chairman. I have a few more questions and I would like to make one motion. I have a question for the Prime Minister about visa liberalisation. He said it was only about an advance on the deadline from 1 October to 1 July. I note, together with the VVD, that not even half of the 72 conditions are met, I believe that the number of 19 is now circulating. Isn't it fairer to just drop the deadline and say that all the conditions really have to be met? The Prime Minister mentioned the waterbed effect towards Italy and Libya. He says that's actually negligible. This is not in line with the figures we received yesterday: 2,000 refugees have left for Italy via Libya and it does not appear that this number is going to be reduced. It's about the waterbed effect.
ParlaMint-NL_2016-04-13-tweedekamer-6.u242	I suggest you read the motion, because your time is almost up.
ParlaMint-NL_2016-04-13-tweedekamer-6.u243	Yes. The Prime Minister didn't understand, so I'll explain. It is, of course, a question of how the Refugee Convention is ultimately respected, including in Turkey. That's why I'm filing a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Claver/Roemer motion adopted states that Turkey must comply with all the substantive criteria of the UN Refugee Convention in terms of both national legislation and implementation;]] [[whereas there are worrying reports, inter alia, through Amnesty International, about the possible return of refugees from Turkey to Syria;]] [[calls on the Government to make efforts to ensure that UNHCR is formally monitoring compliance with all elements of the UN Refugee Convention, including the return of migrants from Greece to Turkey, and to monitor the non-refoulement principle,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voordewind, Mr Samsom, Mr Pechtold and Mr Gesthuizen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1118]]
ParlaMint-NL_2016-04-13-tweedekamer-6.u244	Mr. Chairman. I thank the Prime Minister for his first-term answers. It is not that we do not want agreements with countries we need, geopolitics. That is also clear in the contributions, not only today but from 2012. However, the conditions for this must be met, and we have been clear about this from the outset. They are at odds with EU membership and visa, and they are certainly at odds with human rights. That is why we have said today that we believe that these agreements should be suspended until they are clear. I did not ask the Prime Minister for nothing, even just now, about the status of these agreements. After all, we do not vote on it as a Chamber. The European Parliament does not vote on it either. In order to help the Prime Minister get on his way for his second term, I would point out that lawyers therefore have doubts about the consequences of the title, 'clarification', which is now above it. I would like a second-term response to that.
ParlaMint-NL_2016-04-13-tweedekamer-6.u245	Mr. Chairman. The cabinet has sunk to make itself dependent on the untrustworthy Turkish tyrant Erdogan. The deal that has been made with Turkey really only gives one certainty and that is that the gate to the Netherlands for Turks will be wide open. This is due, on the one hand, to the visa-free travel that Turks receive and, on the other hand, of course, to the prospect of EU accession for Turkey. That is why this deal is an historic mistake, which must be corrected. I shall therefore table a motion for a resolution. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that the Netherlands should not be dependent on the EU and Turkey to resolve the asylum issue;]] [[calls on the Government to take matters into its own hands by closing the Dutch borders to all asylum seekers,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Fritsma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1119]]
ParlaMint-NL_2016-04-13-tweedekamer-6.u246	Mr. Chairman. I only have 29 seconds to look at it, and now 1 hour and 29 seconds. It changes a lot.
ParlaMint-NL_2016-04-13-tweedekamer-6.u247	Hahaha. You will receive special treatment.
ParlaMint-NL_2016-04-13-tweedekamer-6.u248	I'm getting special treatment. I always appreciate that. First of all, I would like to thank the Prime Minister for once again giving an adequate response to the questions. In my opinion, only one remained, which I would like to repeat, but first I would like to repeat my initial statement. I am convinced that, if this is going to work properly and that the agreements are being implemented in accordance with the intention, this is the only human instrument you have in your hands from Europe to gain some control over the flow of refugees. That is the reason for us to support this agreement and to express our appreciation for it. At the same time, there are other instruments. One of these instruments is still reception in the region. In what way does the government continue to draw attention to this, particularly as regards Saudi Arabia and the Gulf States? The countries in that region should take responsibility. I would like to see the answer to that question.
ParlaMint-NL_2016-04-13-tweedekamer-6.u249	Mr. Chairman. Thank you to the Prime Minister for the first-term response. That response was short but powerful. Unfortunately, for my taste, a lot of answers were missing. There have been so many organizations that have cracked this deal. I will just mention them for a moment: the UNHCR, the European Commissioner for Human Rights Watch, Amnesty International, Doctors Without Borders, the Red Cross, Save The Children, Kurdish and Friends and the Syrian Observatory for Human Rights. I don't think it's very strong if you have to drag all these kinds of organizations in as parliamentarians to say: you see, I'm right! But I do, because all the concerns they raise are also the concerns of the SP. I have tried to bring it up in this debate. I am sorry that the Prime Minister did not want to dwell so much on this. The conclusion that Turkey can be regarded as a safe third country, which the government partners clearly agree with, therefore does not want to be included in it. I do not have a motion, partly because I fear that it will do very little, but I would like to have said in this second term that this deal cannot take place in this way, because it violates de facto human rights, takes a walk with our own agreements and buries the UN Refugee Treaty.
ParlaMint-NL_2016-04-13-tweedekamer-6.u250	Mr. Chairman. The Prime Minister is afraid to comment on Erdogan's frontal attack on freedom of expression. By the way, Commission President Juncker dared. He's less afraid than this Prime Minister. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Turkish President Erdogan has curtailed the freedom of the press in his own country;]] [[noting that he also wants to restrict freedom outside Turkey, for example in Germany;]] [[Whereas the European countries must unreservedly support freedom of expression and the right to satire;]] [[calls on the Government, in its role as President of the European Union, to firmly renounce the Turkish Government's efforts to restrict freedom of expression and the right to satire,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bontes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21501-20-1120]]
ParlaMint-NL_2016-04-13-tweedekamer-6.u251	Mr. Chairman. Mr Zijlstra called it "a bizarre debate." I will allow myself to differ slightly with him on this. I actually thought it was a good debate, but perhaps it is my duty to optimism that drives me there again and again. However, I note that between all criticism and concern, the Chamber feels an almost unanimous shared responsibility for bringing this issue to a successful conclusion. If all these concerns and issues end up in, for example, a task for the UNHCR to be better looked at, monitored, monitored, or whatever you want to put it into practice, or if these agreements are properly implemented, at least I see commonality in that. Apart from that, even if there is no commonality, we have a duty to resolve this issue, to end last year's despair and chaos and to restore order and security, especially for those people. There has been a great deal of talk in this debate about human policy, humanity and human rights, but I wonder what can be humane about watching people drown in the Aegean Sea and how a million people wander across Europe. That was not humane, that is not humane, and we must put an end to it. We have now taken the difficult measures for this. Now it's up to the execution. I wish the Prime Minister every success.
ParlaMint-NL_2016-04-13-tweedekamer-6.u252	That brings us to the end of the second term from the Chamber.
ParlaMint-NL_2016-04-13-tweedekamer-6.u253	Mr. Chairman. I think there was a misunderstanding with Mr Voordewind about the waterbed effect. I did not say that there is no flow of refugees from North Africa and Libya to Italy; we discussed that. It is not just because there are significantly fewer crossings to the Aegean Sea, that power has moved to Africa. On the basis of the data, we find that this stream consists almost exclusively of people with Africa as their origin. In this sense, there is no waterbed effect from Turkey; it is more of an autonomous given. That power's a little bigger than last year. The trend is still uncertain, but the number is slightly higher. I have already said that it is very important for Italy to respond adequately to this, and we have no indication that it is not doing so, and that we are helping Italy to do so. I thank Mr Bishop for his strong support. I agree with him that reception in the region of the former Soviet Union is of the utmost importance in Saudi Arabia, the Gulf States and in other countries of the former Soviet Union. We very much insist on that. I also agree with him that the results are still limited. So that should simply be better, but our possibilities there are, of course, limited. There is a whole world behind Mr Pechtold's question. I'm about to find out which camel comes out here. So I'm getting very careful with the answer. Of course, you have different kinds of appointments. You can make a treaty; this isn't. This is a lighter form: a political agreement, if you like a political declaration. It could also be a MoU. So it's a lighter form. This means, of course, that this can never exceed all kinds of other legal obligations; so, of course, we are also maintaining these non-refoulement and international treaties. It is on behalf of all parties concerned. On one part, there is indeed a question of bringing some of the agreements under EU law. This concerns the Turkish Refugee Facility, the TRF, the fund of 3 billion. This is entirely dependent on EU law, but it is also a political agreement, agreement or declaration between countries.
ParlaMint-NL_2016-04-13-tweedekamer-6.u254	It is true that it is a "statement," but a number of Dutch lawyers, and not the least, have looked at the content. They said: it is very similar to a treaty. A treaty has probably not been chosen because there is therefore no need for parliamentary assent here or, perhaps just as important, in the European Parliament. Maybe we should deal with this in writing. This is a treaty covering subjects subject to the ordinary legislative procedure, such as asylum and immigration. In such cases, the Council may only conclude a treaty with a third country after obtaining the consent of the European Parliament. All the articles of law are in the piece I now have in my hand. I think it's a far-reaching arrangement that you can't go under the term "statement." This cannot be said to the national parliaments and to the European Parliament: you are not about that. For the follow-up, which we have just discussed, I think that parliamentary and judicial scrutiny is so important. Perhaps we, as historian and art historian, are not going to come out completely at the moment, but, in order to be able to control the government, I would nevertheless like a more detailed written answer, explaining why it is maintained that this is an explanation.
