ParlaMint-NL_2016-01-20-tweedekamer-6.u1	I would like to welcome the Minister for Security and Justice. I call Mr Omtzigt.
ParlaMint-NL_2016-01-20-tweedekamer-6.u220	Have you finished your speech?
ParlaMint-NL_2016-01-20-tweedekamer-6.u221	Yes, Mr. Chairman.
ParlaMint-NL_2016-01-20-tweedekamer-6.u222	I am not yet going to take those lessons, although I have a few things to say about them. But I would now like to take back an open question from the first term and refer to what the Minister has replied. First, we asked him about the facts. That didn't happen. Then we asked him when he knew the facts. The Minister's reply was: this minister may be deemed to know the complete dossier from 2 December. I have asked the Minister when he has taken that facts and I would simply like an answer now. When did this minister see the facts?
ParlaMint-NL_2016-01-20-tweedekamer-6.u223	That's complicated, although it's a very easy question. You can and should be able to address me on everything in the file from 2 December. That is the moment when I received it and sent it. I read it then, of course, during the Christmas holidays.
ParlaMint-NL_2016-01-20-tweedekamer-6.u224	Let me be very clear about this, because at the end of the Minister's input I do not want to play word games in order to explain the fog that causes his wordings. Does the Minister now say that he did not take the facts until after 2 December? I hope he can confirm or deny this.
ParlaMint-NL_2016-01-20-tweedekamer-6.u225	I am very sorry, but I really have to give a formal answer to this. I may be considered and should be deemed to know the facts of the matter from 2 December. At that time I received it and forwarded it to the Chamber for confidential inspection. That's right. From that moment on, you may address me on the content. Then it's irrelevant when I read it myself. Of course I did, but from the moment I received it, I also knew it.
ParlaMint-NL_2016-01-20-tweedekamer-6.u226	Last question.
ParlaMint-NL_2016-01-20-tweedekamer-6.u227	Thank you for your coulance, Mr. Chairman. Let me ask the question for the third time, again differently. Does the Minister say that he didn't see the facts and didn't know the facts before 2 December?
ParlaMint-NL_2016-01-20-tweedekamer-6.u228	I sent the WOB documents to the Chamber on 12 October. Everything that wasn't painted out of there, I knew at the time. On 2 December I received the complete file and the complete file is one of my knowledge. I have not received other documents on this, except for the information I have already provided to the Chamber, for example in response to the questions which I believe Mr Sjoerdsma asked, on which presentations there had been. That was information that came out of the file and I also informed the Chamber about it in response to questions. All that information together belongs to my knowledge. Before 2 December, I did not see the unpainted pieces and other information I gave the Chamber.
ParlaMint-NL_2016-01-20-tweedekamer-6.u229	I have a few outstanding questions in a moment, but first I would like to ask a question about this. The minister just said in a subtlety that he didn't read the pieces on 2 December but only on Christmas holidays. It is interesting for us to know whether it was before or after 4 January, when it became public and politically necessary. With this confession from the Minister, he admits that there is a huge difference with confidential access: MPs cannot talk about it anyway, so I don't have to read those documents at all. If he had sent it publicly to the Chamber, he would have read it himself immediately on 2 December, because he would have been able to expect questions about it from journalists and MPs. The fact that the Minister now admits that he did not do so until weeks later makes the point made by Mr Segers, Mr Sjoerdsma and myself very clear: no one was supposed to read it.
ParlaMint-NL_2016-01-20-tweedekamer-6.u230	I really do not follow Mr Omtzigt's reasoning. I am sorry, because I can always follow Mr Omtzig very well in many arguments. On 2 December I received the document. On 2 December, I forwarded the document to the Chamber. From that moment on, the document belongs to my knowledge. There has been no intention or thought whatsoever behind that. The only thing I had to deal with was that it was an internal report from the National Police; I have already explained this in detail. I felt that the Chamber should have had that, and I think that the Chamber should have had that earlier, namely by 12 October at the latest. That's when I should've made that assessment. There is no other form of thought, or whatever Mr Omtzigt suggests.
ParlaMint-NL_2016-01-20-tweedekamer-6.u231	Has the Minister read the file completely before or after 4 January?
ParlaMint-NL_2016-01-20-tweedekamer-6.u232	I took the whole file with me on Christmas vacation. I think I took 99% at the time. I have often read the dossier again after January, including in the preparation for this debate and in the answers to the various questions that have been asked. But as of 2 December, the file belongs to my knowledge. Whether I read it or not is irrelevant. A minister is judged on the basis of the knowledge he should have. If he receives a document in his department, that will be a part of his knowledge. The same applies to this dossier from 2 December.
ParlaMint-NL_2016-01-20-tweedekamer-6.u233	Finally, I would like to make one further comment: after that, I will list the questions that have not yet been answered. This shows the difference between confidential and public access. In public access, if you send the Chamber in public documents, no minister or secretary of state in the country will get in his head to send a piece of unread to the Chamber. You'd be lynched by the cameras! It is precisely the fact that it was a matter of confidential inspection that allowed the Minister not to even take note of this and not even ask about the file for two and a half weeks; the Christmas holiday did not begin until 20 December, when it was sent to the Chamber on 2 December. The following questions are still open. Firstly, Maat was given access to an incomplete file. Why did he have access to a file at the end of November, when he first had access to it, from which precisely the two documents that were exculpatory for him were missing? The Minister referred to an interruption by Mr Sjoerdsma about the three letters from Chief Constable Bouman, but I asked a specific question: should the Chief Constable submit his letters on a police investigation, which takes place independently of a ministry, to the government up to two or three times? Should he be given specific advice on it, if they'd like to fire him, please? Is it still an independent police investigation? And why does the Minister continue to secretly inform the Chamber? Why are phrases like "there has been no understanding and information" painted away? Those three questions have not been answered. They may also be answered immediately after the suspension, as an additional tail of the first period. I think these are important questions.
ParlaMint-NL_2016-01-20-tweedekamer-6.u234	Can the Minister answer that directly?
ParlaMint-NL_2016-01-20-tweedekamer-6.u235	Yes, but then Mr Omtzigt will have to help me, because they were a lot of questions. The first question was about Professor Maat. On 4 September, in the conversation between Professor Maat and the Police Chief of the National Unit, the right of inspection was explicitly brought to the attention of Professor Maat. On 23 November, he saw the investigation file. That's the file that was delivered to the SGBO by the investigators, even before the commanders' verdict. That didn't include the internal memo with the general commanders' advice. Professor Maat has known the existence of the opinion since the conclusion of the study and knew the content of the opinion. He was also reminded by his inspection on 23 November of the absence of this internal memo. At his inspection on 17 December, the internal memo was inserted. The meeting of 17 December was postponed to 4 January because Professor Maat was prevented from doing so, but he knew when he saw on 23 November that this was not there. On 4 September, he was expressly informed that he had the right to inspect the investigation. In reply to Parliament's questions, I have already said that no confidentiality has been imposed.
ParlaMint-NL_2016-01-20-tweedekamer-6.u236	Have all the questions been answered?
ParlaMint-NL_2016-01-20-tweedekamer-6.u237	No, because I haven't answered two questions yet.
ParlaMint-NL_2016-01-20-tweedekamer-6.u238	I do have a question about this question.
ParlaMint-NL_2016-01-20-tweedekamer-6.u239	Just hold off on that, because the minister wasn't finished.
ParlaMint-NL_2016-01-20-tweedekamer-6.u240	But I'm afraid it's three completely different topics.
ParlaMint-NL_2016-01-20-tweedekamer-6.u241	You'll have to wait.
ParlaMint-NL_2016-01-20-tweedekamer-6.u242	The second point was about the Chief Constable's letters, if I recall correctly. As far as I know, it is customary in the relationship between the Minister and the Chief Constable to submit letters relating to subjects for which they have a joint responsibility and for which the Minister must assume the ultimate political responsibility. There has been no influence or suggestion, unlike Mr Omtzigt knows. We have checked this and I have once again been confirmed by the Chief Constable that there has been no influence whatsoever on the independent opinion of the Chief Constable on the termination of the cooperation relationship between Mr Maat and the National Police for the identification process of the MH17.
ParlaMint-NL_2016-01-20-tweedekamer-6.u243	Can I just ask a question about this, Mr. Chairman? Otherwise, I have to save my questions on three completely different subjects. Above the note received by the Minister on 8 June, so not on 11 June, so even before the letters are written, it says: "There is still consultation with the police about the letter from the police to Schoof. Use from the NCTV can be removed under the heading Follow-up, first paragraph, last sentence." Then the NCTV and Schoof still ask the police executive questions to remove cases from that letter and add cases? Isn't that the independence of that police investigation just of no value or nothing?
ParlaMint-NL_2016-01-20-tweedekamer-6.u244	No, because this isn't about the investigation, it's about the Chief Constable's consideration. The Chief Constable has a separate responsibility for this. In the relationship between the department and the police, suggestions can be made in a variety of areas. The other way around, that also happens with great regularity. I'll ask the police for advice if I answer any parliamentary questions that relate to matters that concern the police. It is perfectly logical that you cooperate with each other in this way, but in the end the chief of police has made his own way. That's what he reported to me on June 10th. You can make suggestions about that. By the way, I didn't think the suggestion was very clear.
ParlaMint-NL_2016-01-20-tweedekamer-6.u245	I believe that a further question from Mr Omtzigt has remained.
ParlaMint-NL_2016-01-20-tweedekamer-6.u246	I have a follow-up question. This is not a suggestion: we do not understand. I could imagine that. It says: we have the commitment from the Ministry to get certain sentences and not in the letter. Bouman's first letter doesn't say anything bad about Professor Maat. It doesn't say he's getting fired, but in the third letter, he is. Meanwhile, memos are sent back and forth. Was there any direct influence from the Ministry on the police summit, so that Chief Constable Bouman made different conclusions than he presented in a draft letter the day before? I am shocked by this in relations within the rule of law.
ParlaMint-NL_2016-01-20-tweedekamer-6.u247	There has been no such influence.
ParlaMint-NL_2016-01-20-tweedekamer-6.u248	I think there's been a question left. Can we do that?
ParlaMint-NL_2016-01-20-tweedekamer-6.u249	Mr Omtzigt had one final question. He needs to help me.
ParlaMint-NL_2016-01-20-tweedekamer-6.u250	Mr Omtzigt, one last time and one last time.
ParlaMint-NL_2016-01-20-tweedekamer-6.u251	Why does the Minister continue to secretly inform the Chamber? The fact story with incriminating sentences, for example that there has been no understanding and information, is not made public on 12 October and on 2 December, with such factual sentences in it. The same applies to the sentence which Mr Bontes said, namely that there was another presentation available. The Minister explained what was in that presentation, but that was not the portee of my question or of Mr Bontes' question. The question was why these very factual sentences, which really have nothing to do with policy ideas, are not only made public in the context of the WOB, but are not even made public to the Chamber. Why should we not know in the open of such facts that are annoying to the Minister?
ParlaMint-NL_2016-01-20-tweedekamer-6.u252	I do not regard these facts as annoying to the Minister at all. It is the judgment of general commanders that is part of the judge and decision-making of the chief of police himself. That is where decision-making takes place. The Chief Constable briefed me on this and I informed the Chamber about it. I sent those pieces neatly to the Chamber, complete with everything, albeit confidentially because it is an internal report from the National Police. I should have done so earlier, as I have repeatedly confirmed in the direction of Mr Omtzigt.
ParlaMint-NL_2016-01-20-tweedekamer-6.u253	The Minister just outlined the lessons learned from this debate and the course that preceded it. I am missing a very important aspect which, in my view, is the only fact that we are standing here with each other, namely dealing with lectures where a balance has to be struck between the possible confrontation for relatives and the need to develop a profession. Can the Minister explain what lessons have been learned, what we may change in them and what measures can we expect in addition to what has been written?
ParlaMint-NL_2016-01-20-tweedekamer-6.u254	I've already written about it and I've already said something about it. I have always said, also in the debate on 23 April, that I think it is very important that information can be exchanged among colleagues of mine. We have agreed that only with the consent of the next of kin will photos be used that can be traced back to specific victims. The same exchange took place on 23 April. The LTFO has already taken a number of measures and is looking at how to handle information carefully. Of course, I will inform the Chamber as soon as the LTFO has taken a decision on this matter. I fully agree with Mr Van Oosten that it must be done carefully, but it must be done. It cannot be that we cannot use all the knowledge, skills and experience that we are now gaining as a result of this terrible disaster to ensure that the people concerned, the experts concerned, can do their job better in the future.
ParlaMint-NL_2016-01-20-tweedekamer-6.u255	I'd like to see that. I would therefore like to see the extent to which it is desirable to distinguish between the MH17 and the horrors surrounding it and other disasters which have unfortunately occurred in the past and which are likely to occur in the future or disasters of a smaller scale. Why should there be a difference? I would also like to receive a further explanation from the Minister in due course.
ParlaMint-NL_2016-01-20-tweedekamer-6.u256	I will take this into account in the written reporting of the results of the research that the LTFO is still doing together with the medical ethicist, the doctor and the lawyers.
ParlaMint-NL_2016-01-20-tweedekamer-6.u257	This is a debate the Minister says he prefers not to have. The same goes for us, the MPs, and for me. The reason for this debate was statements that were made and the months that followed. In the relationship between the Minister and Professor Maat, they resulted in the Minister's apologies. We have now had a whole debate here on all kinds of details, letters, sending letters, comments and the interaction between the police and the ministry. That is what we have asked our questions about and answers have been given. I'm trying to step back now. The bewilderment or, let me say, the concern that lives on this side, in the Chamber, wide is the next. Here we were dealing with a professor who was assertive, who took a pencil and a notebook, who was going to write, who ran his own defense and who was quite successful in doing so. He got political support. At the same time, we see a pattern of information that is painted black and information that is confidential. We've had the whole discussion. Can the Minister imagine that the enormous inconvenience that is felt here eventually goes back to the observation that if you are assertive enough, you will manage to recover and get excuses and that, if you are not assertive, you could be ground up by such machinery?
ParlaMint-NL_2016-01-20-tweedekamer-6.u258	I understand that concern, of course. It is for a minister to ensure that this does not happen. This is a very exceptional situation. The coincidence in the relations between the National Police and the Ministry also makes this a more complicated debate than it would be in a normal situation, a situation where there would be no differences of responsibility. I can, of course, reassure Mr Segers. In my opinion, this exceptional situation does not occur very often. However, I share the concern and the commitment is, of course, always to do justice to everyone, regardless of whether they are active people or those who do less. That is an absolute starting point in all the policies we pursue with regard to the police, the Public Prosecutor's Office, parole and prison services.
ParlaMint-NL_2016-01-20-tweedekamer-6.u259	There's another kind of reflection. We must, of course, also think ourselves about what this whole affair is saying. The jumping point is really that also people who do not stand their backs and fight back are done right. People who are less mature, less assertive, must be treated in the same way. In that case, we should not go into blackmailing information and keeping things that are exculpatory confidential. What is the guarantee that people in a rule of law will receive decent and fair treatment, given what has happened in this exceptional case?
ParlaMint-NL_2016-01-20-tweedekamer-6.u260	I do not entirely agree with Mr Segers that there has been no fair treatment here. I can see his concerns. I understand the argument. Of course, I followed it well. I can only say that the rule of law itself guarantees that. We have a rule of law. We have very careful arrangements that allow people to stand up for themselves, whether through experts or not. I am not concerned about this, but I do understand that Mr Segers is expressing it. He can always talk to me about it. Of arbitrariness, détournement de pouvoir and the use of powers where that does not belong and in all kinds of other areas simply cannot and cannot be the case.
ParlaMint-NL_2016-01-20-tweedekamer-6.u261	There's a question that lingers with me. Suppose Professor Maat hadn't been so eager to fight with pen and paper and write a whole report. Then what happened to him?
ParlaMint-NL_2016-01-20-tweedekamer-6.u262	That has just been Mr Segers' question.
ParlaMint-NL_2016-01-20-tweedekamer-6.u263	Yeah, but there's no answer. It is a very important question, because it has led to an apology and we are now standing here. What would have happened if it hadn't?
ParlaMint-NL_2016-01-20-tweedekamer-6.u264	I don't think there'd have been a lot of different things going on. We hadn't had a lot of discussion. In any case, I would have come to the conclusion that I apologize to Professor Maat for my remarks, which I afterwards felt I should have kept more business. So that wouldn't have made the difference. Then there are the elements of the restoration of honour that I have already established: the apology plus the confirmation of Professor Maat's quality and the fact that the National Police will gladly use him again if necessary. Let's hope it's not necessary, because if they've fallen, they're serious. I have already indicated this explicitly to the Chamber, to Professor Maat and to third parties. Not much else had happened at that point.
ParlaMint-NL_2016-01-20-tweedekamer-6.u265	I don't think we would have been standing here right now and the minister in his castle was smoking a cigar, because I don't believe that Maat had apologized.
ParlaMint-NL_2016-01-20-tweedekamer-6.u266	I am sorry, but I too agree with the questions put by Mr Segers and Mr Bontes. The Minister says that he had apologized in any case, but we cannot, of course, control that alternative course. However, I note that every step taken in this dossier has come not from the Minister, but from the Chamber, the media and Professor Maat, and every step in the matter of apology. So why does the Minister think that the situation would have been exactly the same if that one gentleman, Professor Maat, hadn't picked up the pencil and made this public? Would the Minister have done that himself?
ParlaMint-NL_2016-01-20-tweedekamer-6.u267	Recording the pencil was not part of my reflection on the qualifications I gave Professor Maat in the evening on 22 April in the emotion of that moment. That is what I said earlier in the debate. The other two aspects which were of interest to Professor Maat and led to his conclusion that in his opinion there was sufficient restoration of honour were already there: the confirmation, also to the Chamber, in September that the National Police would like to use his services again and confirm his quality. I explicitly mentioned this in the debate on 23 April, because I thought that was the right thing to do. I still think so. One of the points is that Professor Maat and I have found together that precisely because of my qualifications a cloud has occurred in my perception of his quality and expertise. I thought it was okay to take that away. I had to come a long way. I have long felt that it was and afterwards I feel that I should have done it differently.
ParlaMint-NL_2016-01-20-tweedekamer-6.u268	The minister had to come a long way; the minister had to come a long way. The minister had to be dragged with his hair. Finally, as far as I am concerned, those five lessons. The Minister mentioned them all at the end of his speech. Are those the only lessons the Minister would like to draw from this dossier today in this Chamber?
ParlaMint-NL_2016-01-20-tweedekamer-6.u269	Yes, because those are the lessons from which I say that we should have taken a different approach, given the individual points we discussed today in this debate. Then we would have had a completely different situation. That is all with the knowledge of today, because at the time when the internal investigation was carried out by the National Police, there was absolutely no reason to ask for a specific factual account, because I did not yet know what that would look like. On 10 June and 15 June there was no reason to ask for any underlying documents, as there was no reason to do so in the relationship between Chief of Police and Minister. In the context of the discussion on my commitment to the National Police WOB procedure, there was no reason to do so at that time other than I did. But with the knowledge of now, in retrospect, I was able to draw the lessons I have now learned. I have not only learned those lessons, but I will also practice them.
ParlaMint-NL_2016-01-20-tweedekamer-6.u270	I too am not convinced that the outcome would have been exactly the same without this extremely assertive citizen. My feeling about this minister is that he thinks: if I don't know, I can't have a problem with it either. He says he's about to implement the five lessons he's learned. I would like to know from the Minister how he is going to do that, so that we feel a little bit more that it is actually going to happen. You may have all kinds of good intentions, but the Minister has made a big mistake three times, three times, on three files. Behaviour from the past does not guarantee the future, but does not offer that guarantee. So how is the Minister going to implement this for himself and how is he going to implement it as a system manager? Indeed, a number of the conclusions were also concerned with the coherence and cooperation of the system.
ParlaMint-NL_2016-01-20-tweedekamer-6.u271	Firstly, I am going to report on this, because I am taking it into account in the improvement process that I started last year. I do so in the annual report for 2016, so all these points are reported to the Chamber and publicly. Very specific with regard to the Public Administration Act, I will attract external experts at short notice to ensure that the treatment providers of WOB requests are assisted with advice. So we are constantly implementing that we are thinking about the question of personal policy concepts and what it is like to look at them afterwards. The trick is not just to see if it is a personal policy idea or not and then to look at what information you provide. I am now involved in the project myself because I think it is an important project. Those are examples of how you're gonna do it. The other lessons are lessons to myself and the Chamber may assume from me that those lessons have been properly drawn by me.
ParlaMint-NL_2016-01-20-tweedekamer-6.u272	"Accept" and "truthfully drawn"? No, I specifically asked how the Minister is going to implement that. I have another question. In criminal law, we have the concept of "directing information." Our Minister is undoubtedly aware of that. How is he going to prevent the pressure from the Justice Department, which I believe has been there, from being felt by the police in the future as "sending information"? Then it may not be formally a service assignment, but I can imagine that the police people listening to this debate have gotten quite a rage and that they really feel that the sending information came from the Ministry and that the Minister says that they are just free to do their own thing, that he is only system responsible and that in the ultimate case he comes to terms with it. In particular, I would like to hear from the Minister a little more than that the Chamber can honestly assume that he is going to do things differently from now on.
ParlaMint-NL_2016-01-20-tweedekamer-6.u273	There was no steering, either on 22 April or on 10 June. Mrs Van Tongeren also knows the chief of police; it is not someone who is easily sent. That's the way it's supposed to be. He really has his own responsibility under the law, and he has also used it. There's been no reason for any kind of steering. That's not the point. It is his complete freedom to arrive at independent judgments within his powers. I'm never gonna take anything away from that either.
ParlaMint-NL_2016-01-20-tweedekamer-6.u274	Then we have come to the end of the first term of office. I'm suspending the meeting for 45 minutes. Mr. Sjoerdsma? You're a little slow walking to the interrupting microphone.
ParlaMint-NL_2016-01-20-tweedekamer-6.u275	I am not used to interrupting the chairman, but may I suggest that this break not only separates the moment between the first and the second term, but is also a dinner break and thus becomes a little longer than you propose?
ParlaMint-NL_2016-01-20-tweedekamer-6.u276	And what's longer?
ParlaMint-NL_2016-01-20-tweedekamer-6.u277	Shall we reserve an hour and 15 minutes for that?
ParlaMint-NL_2016-01-20-tweedekamer-6.u278	Let me see if there's a need for that. I don't see any protests.
ParlaMint-NL_2016-01-20-tweedekamer-6.u279	The next item is the second term of office, but Mr Omtzigt has a short procedural proposal.
ParlaMint-NL_2016-01-20-tweedekamer-6.u280	On behalf of the groups of the CDA, D66, the SP, the PVV, Bontes/Van Klaveren, GroenLinks and the Christian Union, I would ask you to suspend the sitting for another twenty minutes and to continue at 8.05 p.m. We guarantee we'll be here.
ParlaMint-NL_2016-01-20-tweedekamer-6.u281	I note that there are no objections to this.
ParlaMint-NL_2016-01-20-tweedekamer-6.u282	We will continue with the second term of the Chamber in the debate on the investigation of Professor Maat. Speaking time is two minutes, including tabling motions.
ParlaMint-NL_2016-01-20-tweedekamer-6.u283	Mr. Chairman. The Minister has given answers, but these came only when they were enforced. Professor Maat had to overwrite the story himself. Otherwise, this debate would not have happened. The Minister admitted that he sent documents to the Chamber that he didn't read until weeks later. He just doesn't read his pieces. Four times Parliamentary questions were not enough just to light a file to see what was going on. Of course, this is not the most important dossier, but still. We have doubts about the relationship with the National Police. How do you deal with it? Some sort of pattern emerges with this minister: he finds it difficult to simply send information to the Chamber in the constitutional way. I think it's okay that he indicates that he has five improvement plans. I also welcome the fact that he is presenting a note on Article 68 of the Constitution. I say: take the European information system with you. However, we believe that he should consult with the Prime Minister on the way in which he deals with requests for information from the Chamber. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the fact that the Minister for Security and Justice himself acknowledged that he should have taken a different approach to the matter of Professor Maat;]] [[Whereas the Minister for Security and Justice has once again provided the Chamber with little generous information in this matter and that consultations with the police have been extremely difficult;]] [[Considers that the Chamber should at all times have the information necessary to monitor the conduct of the Government;]] [[Notes that in future, the Minister for Security and Justice should be more careful in dealing with the obligation to provide information under Article 68 of the Constitution;]] [[calls on the Minister of Security and Justice, together with the Prime Minister, to draw up a plan on how to deal more effectively with requests for information from the Chamber in future and to report together on the implementation of the improvements announced by him before 1 March 2016 to the Lower House of States General,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Omtzigt, Mr Sjoerdsma, Mr Segers, Mr Van Tongeren, Mr Bontes and Mr Krol.]] [[She's getting No. kst-33997-60]]
ParlaMint-NL_2016-01-20-tweedekamer-6.u284	Mr. Chairman. I find this a difficult debate on a serious issue, namely a professor who has been wrongly damaged by the Minister. If this professor hadn't written down the truth with pencil, there might never have been an excuse. It kind of feels like a forced excuse to me anyway. The minister says "sorry" because he got caught. I miss some reflection on the Minister's own role. There is no excuse to the Chamber for failing to provide information and there is no complacency. The Minister refers to the police, because according to him the wrong decisions were made there. However, there have been many times when the Minister should have and could have taken responsibility. I have not seen a minister eagerly seeking the truth in this matter at any time. Nor does his attitude show that it has really been learned from it. My group therefore lacks the confidence that we will not be back on a similar issue in a few weeks or months' time. That's why I can't help but table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[expresses confidence in the Minister of Security and Justice,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Van Nispen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33997-61]]
ParlaMint-NL_2016-01-20-tweedekamer-6.u285	Mr. Chairman. The Minister's apology to Professor Maat had to come a long way, a long way. The minister has declared them publicly, but only when he had no choice, after nine months. They were forced excuses. Because if the professor himself hadn't made it, and if the professor himself hadn't dragged on, to use the words of the VVD, then it was doubtful whether these excuses had come. The minister also repented leanly for the course of Maat's dismissal. He points to the chief of police: he made the decision and the general commanders' judgment doesn't matter very much. That wouldn't have changed the decision either, the Minister says. I expected more reflection on that. The Minister has named five lessons: more business reacting, better formulating, more public through the WOB and more information to the House of Representatives. With this, the Minister promises to get better, but he can never, and certainly not for this minister, be free of obligation. That is why my group has supported the CDA's hard motion. That is a motion with a clear deadline, namely 1 March, which strengthens the Minister's points of improvement in such a way that we can actually see whether the Minister is in a different position.
ParlaMint-NL_2016-01-20-tweedekamer-6.u286	Mr. Chairman. I noticed during the Minister's reply that he learned to stay close to his message. That's a message of chance and improbability. There's nothing else I can do. For example, the chief of police's draft letters seem to have come to the minister from nothing. There's an uncomfortable pattern. An incident is almost always the fault of another and not of the minister. The facts are collected and studied only when there is no other way. Until then, the Minister lacks real curiosity to find out what is going on under his reign. It's like what doesn't know doesn't matter. Apologies and openness must be enforced by the Chamber. This culture really needs to be broken. The Minister has taken five lessons, but at least he has not given me the feeling that they have been internalized and are being carried out. That is why GroenLinks is under the motion tabled by Mr Omtzigt. We take that motion as a form of enhanced supervision. I ask the Minister to be aware that GroenLinks thinks he should be under enhanced supervision to see if these lessons are actually going to be carried out. It was a dime on his side for my group, but with this motion we assume that this really is the last major incident at this ministry and under this minister.
ParlaMint-NL_2016-01-20-tweedekamer-6.u287	Mr. Chairman. It was a difficult debate this afternoon and at the beginning of the evening. It obviously didn't go well around the file research Professor Maat. The main causes are the provision of information to the Chamber and the treatment of a citizen. It wasn't very nice last year either, but the Minister admitted mistakes, apologized to Professor Maat and drew five lessons. Actually, that's the most important thing. It has to be better. I welcome the commitment that the Minister will explain in a letter how Article 68 and the confidentiality of documents to the Chamber should be shaped. I am glad that there is also a broader view of how you act with respect, especially with regard to the images of people who have died, in relation to other interests. I will conclude with a quote from the investigation that we discussed all afternoon, with a recommendation from the leaders of the investigation into MH17. They conclude under point 7: "Learning is difficult if you are directly excluded from participation in the future in case of errors. Take action from this perspective." Let us look at that perspective.
ParlaMint-NL_2016-01-20-tweedekamer-6.u288	Mr. Chairman. We have had an intensive debate. The whole issue is hard on the mind of the Christian Union. This issue about Professor Maat affects several elements, first of all the relationship with Professor Maat himself. He must have fought very hard for satisfaction. This also affects the relationship with ordinary citizens. They must be able to count on fair treatment. The simple starting point is that you should not depend on a media campaign, on a persevering Chamber and on a pencil and a notepad to eventually be done justice. It also affects the relationship between department and police. The police got pretty worked up this afternoon. Not least, it affects the relationship with the Chamber. He hasn't been informed enough. The Chamber had to go to a lot of trouble to get information out. We've seen the black-painted pieces come along. The Minister has learned lessons for the future. Clearly, things have to be different. To be sure, we have wholeheartedly co-signed the motion tabled by Mr Omtzigt.
ParlaMint-NL_2016-01-20-tweedekamer-6.u289	Mr. Chairman. In my first term, I indicated that there was a pattern in this minister's mind: to keep things secret for a very long time, then to apologize and then to point out mistakes made by officials and police officers. Tonight, too, we saw that happen. The police were partly blamed. That is, of course, insufferable in situations like this. The minister really lacks self-reflection and tries to win word games again with cleverness, but he doesn't actually succeed. I do not really see any improvement, and that is why I will wholeheartedly support the motion tabled by the SP.
ParlaMint-NL_2016-01-20-tweedekamer-6.u290	Mr. Chairman. I have three comments on the Minister's statements during the debate this afternoon and this evening and on the letters he sent to the Chamber earlier. It is right and proper for the Minister to apologize to Professor Maat. I would like to stress that once again, from this point of view in the second term. It is also good that the Minister should come to the Chamber with measures, even later. This is a way of dealing with the search for balance at similar readings. Because on the one hand, the impact on next of kin is enormous when they are confronted with footage and notification, but on the other hand, it is also necessary to develop the field we are talking about. Finally, I am pleased that the Minister has promised that he will come forward with a note on Article 68 of the Constitution. It is extremely important that the Chamber is not only well informed by the cabinet, but also that there is a good discussion about what internal process should be possible in the department to a certain degree of freedom, so that a minister can make the right decisions. That's what I like to see in the note.
ParlaMint-NL_2016-01-20-tweedekamer-6.u291	Mr. Chairman. I am not convinced by all kinds of answers from the Minister. I made a start on this in the first place, and it did not get any better after that. I also think that the Minister has failed to provide information to the Chamber. Professor Maat is simply mangled by the Minister, who has shown no initiative to restore that. The Minister did say that he would have restored that if Professor Maat had not acted himself, but I have no confidence in that. Nor does the Minister show that he is actually aware of the error of all kinds of actions of his own. He has not been able to give me the impression that he will do much better in the future, not least because this is the third time he has been involved in this kind of problem in a relatively short time. In short, my group has no confidence that the Minister will do better and therefore supports the motion of censure.
ParlaMint-NL_2016-01-20-tweedekamer-6.u292	Mr. Chairman. Many words have been exchanged in this debate, but little has been said. Some questions have been asked many times without satisfactory answers. We now understand that we must not judge the Minister on his statements and his actions, but on his intentions. We can only guess intentions and intentions. We need to look at the facts. They're like this. One, Professor Maat was unjustly blackmailed by the Minister. Two, a police report was wrongly blacked out. Three, the police are blamed for the blackmailed report that the minister sent to the Chamber, which also makes the police a bit dirty. Four, the Chamber is not well informed, because exculpatory information has not been shared with her. Only after Professor Maat wrote the information himself and brought it out, did the Minister apologize, not before, and that certainly didn't happen equestrianly. The Minister does not want us to judge him by what he says, but by what he means and that emotions are considered as a mitigating circumstance. But we can't look into his head. The Minister has informed us incompletely. That is why the Group of the Party of Animals supports the motion of censure.
ParlaMint-NL_2016-01-20-tweedekamer-6.u293	This brings us to the end of the second term of office. There is a need for a short suspension.
