ParlaMint-NL_2016-09-29-tweedekamer-10.u1	I would like to welcome the Secretary of State for Finance. Speaking time is four minutes.
ParlaMint-NL_2016-09-29-tweedekamer-10.u221	I have to be a little tough on you, too. I would ask you to respond very briefly to the specific questions.
ParlaMint-NL_2016-09-29-tweedekamer-10.u222	I think I've run out of questions. Mrs Vos asked if we would start with the medical specialists and the parcel delivery companies. It is good practice that the Chamber or the Secretary of State do not set the enforcement priorities, so I cannot guarantee that we will be the first to continue with the medical specialists or the parcel delivery companies. The parcel delivery companies are very obvious as a sector where we occasionally look, but we start with the most risky clients. On May 1st we will certainly start with the most malicious clients, who are already in the roledex of the Tax Administration and are competing unfairly. Of course, we'll start with that.
ParlaMint-NL_2016-09-29-tweedekamer-10.u223	I don't know if the Secretary of State is at the end of his speech.
ParlaMint-NL_2016-09-29-tweedekamer-10.u224	I have some small things, but I think I might be a long way. Mr Omtzigt would like to know how manyzzp'ers work at the Tax Office and I have to say something about the Hamer motion on payroll.
ParlaMint-NL_2016-09-29-tweedekamer-10.u225	I stayed in my seat for a long time because I hoped that a crucial question would be answered in this debate. What does thezzp'er, who is now in uncertainty, know at the end of this debate? Does he know if the client where he often works will soon have a model agreement? Does he know if he'll be signed next year? Has all this uncertainty been removed now?
ParlaMint-NL_2016-09-29-tweedekamer-10.u226	What he knows is that we're moving towards an undercover system as soon as possible. He also knows that he can ask for individual agreements, but that this is often not necessary and that he can already work with a rapidly growing system of model agreements in various sectors. He also knows that there will be no fines or post-taxes for him if there is any pre-consultation on any date. He knows that, so that's for sure. But he also knows we're in a transition phase. And he also knows that a lot can be done, albeit sometimes in a different way, and that some things can't be done.
ParlaMint-NL_2016-09-29-tweedekamer-10.u227	I'm gonna get a little more concrete now. Let the Secretary of State realize that this is an example, because these people know how to look for the media, because they work for the media themselves. They're dealing with a client. There is a ping-pong game going on between the client and the Tax Administration about the model contract. Thosezzp'ers do not know whether they will be able to work with an approved model agreement. Thosezzp'ers don't have much influence on that either, because that has to do with the discussion between the client and the Tax Administration. What specific answer does the Secretary of State give them? So let's take this group as an example. Do these people know, in a month's time, whether they will be able to work on the same broadcasting or the same programmes next year as in the last 20 years?
ParlaMint-NL_2016-09-29-tweedekamer-10.u228	If it's up to me, we'll get out of there soon. There are four or five model agreements on the way, but I'm not the only one who determines this. If the broadcasters continue to insist on things that are not legally possible, and sometimes obviously not, then we will not get together. I've asked the tax authorities to sit in the relief booth and tell me what they can do. These people are coming to my table, too. Then we'll see how we can pull the raft. However, it must come from all sides, because the Tax Administration cannot and cannot approve things that the law simply cannot. As far as I am concerned, the gas is going on; and with the institution that there is a lot that can be done, that sometimes it will have to be done in a different way than before, and that some things cannot. As far as I am concerned, there will be clarity as soon as possible, but that will require something from all parties. In fact, I am convinced that we will soon be able to put our feet behind it, but I cannot make predictions, because I do not have this in my hand alone.
ParlaMint-NL_2016-09-29-tweedekamer-10.u229	In my view, this illustrates exactly the problem in this whole discussion. There is a discussion going on between the client and the Tax Administration. Thezzp'ers who worked there for years fall between shore and ship. This concerns not only broadcasting, but also, for example, construction or any other sector. I would like to hear from the Secretary of State that he is going to make sure that the benevolentzzp'er is not going to fall between shore and ship between now and about 31 December.
ParlaMint-NL_2016-09-29-tweedekamer-10.u230	I'd like to do anything about that. The same applies to construction. I found that, on the part of the clients, the parties sometimes disagreed. In every sector, the problem is different. The IRS can't break iron with its hands, and it doesn't affect everything. I think I have made it clear that we need to get to a covering system as soon as possible, including in the broadcasting sector. But again, we will not be rid of all the disappointments, because it will turn out that one part cannot and that one part has to be changed. It's my wish to get out of here as soon as possible. The establishment of the Tax Administration is mainly that he says not only what can't, but also what can. In the sectors in which parties are admissible, we have already come to an end. In sectors where it is more difficult, where practices that are very far from the law have grown, this is more difficult.
ParlaMint-NL_2016-09-29-tweedekamer-10.u231	In that case, I would like to have an overview of the sectors where it is infinitely difficult. Because I don't have much of a view on that anymore. I do not need to know until points and commas which companies are doing well and which are not doing well, but if there are sectors where a kind of vague whole is about to arise that will make thezzp'ers suffer, then I would like to hear from the Secretary of State which sectors they are. The Secretary of State can do that in writing; it doesn't necessarily have to be done tonight. So we can keep the finger on the wrist. After all, I am fitting in with the fact that thezzp'ers are going to suffer.
ParlaMint-NL_2016-09-29-tweedekamer-10.u232	I like Mrs Schouten's fanaticism. There are very intensive conversations with the construction and the broadcasters. There are a few sectors where efforts are being made to make progress in the short term. My proposal is to send that for Christmas. Then we have a more complete picture of it. In this letter I already gave an overview. The annex to the letter gives an overview of these branches. In this you can read that it has not yet come off the ground in some sectors. Give it a few weeks more lead time, then I'll make a new overview of it. I will send that to the Chamber with the package I promised before December. Then we can have a new discussion about it. Maybe it's not that bad, maybe it's disappointing; then we'll have another discussion.
ParlaMint-NL_2016-09-29-tweedekamer-10.u233	I would ask Members to put brief questions. There is also a second term. If the first term is too long, I'll really stick to a second term of 1 minute and 30 seconds.
ParlaMint-NL_2016-09-29-tweedekamer-10.u234	I also hope that the Secretary of State will not give the trade unions the key to the model agreements. While we are debating here, I see emails from cheerful employees of the FNV who write: finally clean ship with thezzp'er! I hope that the Secretary of State, for example in construction, will take care of that.
ParlaMint-NL_2016-09-29-tweedekamer-10.u235	What's your question?
ParlaMint-NL_2016-09-29-tweedekamer-10.u236	I hear the Secretary of State say all the time in this debate that he must uphold the law. He just mentioned my example and said: that is the VAR-wuo (statement of employment relationship profit from enterprise). However, that is not the VAR-wuo at all. The only difference that is in favor of D66 is that you will check in advance. That's the big difference. Is the Secretary of State prepared, in addition to implementing the law as it is now, to continue to consider where the law should be changed? This seems to be a taboo for the Secretary of State, who, with D66, wants to ensure that what he and I find entrepreneurs can continue to do their job.
ParlaMint-NL_2016-09-29-tweedekamer-10.u237	I am not here from the point of view of labour law. I can't talk about it with much authority either, so I'm gonna keep a little distance from that. Mr Van Weyenberg knows a lot more about labour law from his work history; I do not know that for a moment. I'm really here for enforcement. I understand that all kinds of spokesmen have all kinds of desires, sometimes contradictory ones, to make things that do not fit in with the current law possible. I understand that, but let us work towards December and make an overview of what is happening. Then we'd better see what's possible and what's not possible. It is up to parliamentarians to have views on this or even to ask questions about it or to make requests to the cabinet. Let's give it a chance. We're halfway through and no further than that.
ParlaMint-NL_2016-09-29-tweedekamer-10.u238	The law has been in force for six months. My point is that I call on the Secretary of State to do fine with the Cabinet, then I make it "the Cabinet" instead of "the Secretary of State" to continue to look at where laws have to be changed. I assume that this VVD Secretary of State shares the view of D66 Chamber members that people who are independent entrepreneurs should not suffer from what is happening now. That's why I'm appealing to look at the law creatively. I am fine with Minister Asscher being involved, but we are here today with Secretary of State Wiebes of the VVD. Come on, don't be modest!
ParlaMint-NL_2016-09-29-tweedekamer-10.u239	Very briefly, I have asked two questions in my speech and have not heard an answer to them. My first question concerned the rigid manual for the DBA.
ParlaMint-NL_2016-09-29-tweedekamer-10.u240	I think I answered that question. I did so in response to an intervention by Mr Van Weyenberg. I have therefore failed Mr Ziengs.
ParlaMint-NL_2016-09-29-tweedekamer-10.u241	That may be so, but at least I have not heard that answer. My second question was whether the definition of authority could be changed. That's the same question I asked.
ParlaMint-NL_2016-09-29-tweedekamer-10.u242	That is actually the same question as Mr Van Weyenberg: the outcome is not satisfactory in all cases for every spokesman, so can we not change the law? To this end, my answer is: I am not here about the amendment of the law, but about the implementation of the law as it is now. We can't just turn labour law upside down at 10:30. I can't take it off in a note either. It is an institution that has grown in 100 years. I'd like to handle that very carefully.
ParlaMint-NL_2016-09-29-tweedekamer-10.u243	The answer is clear, but I am concerned that this should be taken into account in the consultations which the Secretary of State has promised to take place.
ParlaMint-NL_2016-09-29-tweedekamer-10.u244	I think I've come a long way with the answer.
ParlaMint-NL_2016-09-29-tweedekamer-10.u245	I had just received a pre-announcement of two issues that were still to be discussed. A lot of things weren't there either. The Secretary of State just said that. There is also a question from D66. I had asked, in my reply to Mr Van Weyenberg's words, whether the NPO and so on were also the associations ofzzp'ers, such as PZO (Platform Self-employed Entrepreneurs) and FLA (FreeLancers Association). I think that would be a good thing if model agreements were to be drawn up. I also asked a question about the payroll. Can it be excluded that taxpayers' money goes to payrolls? I have asked two more questions, also in relation to the review we will have in December. Very important is that we know how manyzzp'ers are not affected by it now and how manyzzp'ers are affected by it. Perhaps following on from what Mrs Schouten has just asked about sectors, I am curious about the numbers. I also asked a question about the 55-year-old construction worker. Will the Secretary of State go in consultation with Bouwend Nederland?
ParlaMint-NL_2016-09-29-tweedekamer-10.u246	That's right.
ParlaMint-NL_2016-09-29-tweedekamer-10.u247	These are specific questions, and I think they can be answered easily.
ParlaMint-NL_2016-09-29-tweedekamer-10.u248	The numbers are extremely complicated. I will try to be more qualitative, but more precise about the size of the various groups and where and in which sectors the bottlenecks are. I cannot, of course, say as much on this side about whether a payroller could be constructed in the same way as service providers. As an employed person, they may choose to remain flexible and work for a service provider working for different contracts. That's not up to me. It's not up to the Empire; I can't say much about that. When it comes to bona fide parties that pay social security contributions, which are decent employers and enable people to work for different clients, there is not much against it. If it's people who don't take it very closely with the law, then one of our inspections goes straight to it, of course. That could be the SZW inspection.
ParlaMint-NL_2016-09-29-tweedekamer-10.u249	The most important thing is that we give taxpayers' money to the NPO. I fully agree with that, but doesn't the Secretary of State also consider that tax money should not partially disappear in the pockets of payrollers? That doesn't have to be necessary, does it?
ParlaMint-NL_2016-09-29-tweedekamer-10.u250	Let us say that it seems unnecessary to me to work through a service provider or any intermediary if someone always works for the same organisation. Then people can get to work at such an organization themselves. Once again, I am reluctant to judge it, because it is ultimately up to market players themselves. Even the NPO is a market player for me. Mrs Vos had a question about the mailman and then spoke about the one who falls out of the boat. It's about the one who's beenzzp'er so far and is now out of the boat.
ParlaMint-NL_2016-09-29-tweedekamer-10.u251	The construction worker!
ParlaMint-NL_2016-09-29-tweedekamer-10.u252	That's what I want to learn from that hotline. Those are friction cases. In construction it happens to be quite possible to work out of employment in all kinds of ways, but if it is not possible in a specific case and there are bottlenecks, we need to hear it through the hotline and I have to get on with it with the Minister of SZW. That's what I've had the big questions about. If I've forgotten the little one, I apologize.
ParlaMint-NL_2016-09-29-tweedekamer-10.u253	Thank you. We're moving on to the second term of office. I call Mr Van Weyenberg.
ParlaMint-NL_2016-09-29-tweedekamer-10.u254	Mr. Chairman. I have seen a somewhat different Secretary of State here than in Question Time.
ParlaMint-NL_2016-09-29-tweedekamer-10.u255	If you have many motions...
ParlaMint-NL_2016-09-29-tweedekamer-10.u256	Sure. I'm gonna say three sentences. But I still have the feeling that manyzzp'ers who follow this debate have not removed their concerns or their clients. I have four motions on the assumption that this law is there, although my group did not support it in the Senate either. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that manyzzp'ers are currently not getting commands;]] [[Whereas the problems must be resolved as quickly as possible;]] [[calls on the Government to send a progress report on 1 November;]] [[also invites the Government to send the final report of the Boot Commission and a report on the state of play of the DBA Act by 12 December at the latest, and at that time to take a decision on the progress of the law,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Tax Administration is more stringent than is necessary under legislation when giving advance security model contracts;]] [[calls on the Government to use the full scope of the law in the review of model agreements and to bring the DBA review framework into line with this,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the opinion of the Committee on Budgetary Control,]] [[Whereas the risk of after-taxation also prevents clients from hiringzzp'ers;]] [[invites the Government not to impose any post-taxes, unless the client is clearly not of good will,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Weyenberg, Mr Bashir, Mr Schouten and Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-21]] [[This motion was tabled by Mr Van Weyenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-22]] [[This motion was tabled by Mr Van Weyenberg, Mr Bashir, Mr Schouten and Mr Klein. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-23]]
ParlaMint-NL_2016-09-29-tweedekamer-10.u257	Finally, I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas real entrepreneurs should not experience obstacles to enterprising;]] [[calls on the Government to explore how real entrepreneurs can be guaranteed in advance through a test on entrepreneurship without using model agreements, and to inform the Chamber about this before the ceremony,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Weyenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-24]]
ParlaMint-NL_2016-09-29-tweedekamer-10.u258	I call on the Secretary of State to turn half and not go astray.
ParlaMint-NL_2016-09-29-tweedekamer-10.u259	I now give the floor to Mr Bashir instead of Mr Omtzig.
ParlaMint-NL_2016-09-29-tweedekamer-10.u260	Mr. Chairman. Thank you. Thanks also to Mr Bashir. We're not there yet with the solutions. That is why we have wholeheartedly supported Mr Van Weyenberg's motion to have clarity in mid-December. I'm still waiting for an overview of how thezzp'ers work at the Tax Office. Written questions have also been asked about this. I am still waiting for the commitment that the rule of thumb will become public over time and will also be a policy rule. The Boot Committee reviewed the DBA hand-off on authority. I would like that review to be made public as well, because it already existed before the Boot Committee. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers thatzzp's should be able to report problems without the risk that the Tax Administration may carry out an audit on the basis of the notification;]] [[calls on the Government to place the hotline with the Boot Commission and to have it passed on anonymously to the Government,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-25]]
ParlaMint-NL_2016-09-29-tweedekamer-10.u261	It is obvious, it is the first reporting point of the Tax Administration where you have to enter the bsn number. So I think that's quite something. My second motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the concept of "personal work" means that simple work can easily be converted into a model contract, since the contractor may arrange for replacement;]] [[calls on the Government to redefine the concept of "personal work" and to indicate to what extent this is a distinguishing criterion for the distinction between paid and self-employed work and to ensure that very simple work does not lead to false self-employment,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-26]]
ParlaMint-NL_2016-09-29-tweedekamer-10.u262	I also have a more structural solution that is really about employer and employeeship. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that it is often very unattractive for employers to employ people, inter alia by requiring two years' pay in the event of illness;]] [[noting that it has recently been found that labour legislation in the Netherlands has led to much more flexible industrial relations than in the neighbouring countries;]] [[calls on the Government to send a plan of concrete action points to the Chamber by 10 January to make permanent employment more attractive,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-27]]
ParlaMint-NL_2016-09-29-tweedekamer-10.u263	Mr. Chairman. I've got two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that it is undesirable for self-employed persons to be in uncertainty because of the DBA Act;]] [[calls on the Government to eliminate the delays in the assessment of contracts by 1 December at the latest,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bashir and Mr Van Weyenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-28]]
ParlaMint-NL_2016-09-29-tweedekamer-10.u264	In the first term, I asked questions on behalf of the SP Group about the employees with payroll contracts. The realzzp'ers, the real self-employed are increasingly forced to work through payroll contracts, so actually as a temporary worker. There was a wide-ranging vote on this at the time. We want that motion to be carried out. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to implement the Hamer motion on equal treatment in terms of working conditions for payroll workers and to submit proposals for this by 31 December 2016,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bashir, Mr Van Weyenberg and Mr Mei Li Vos. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-29]]
ParlaMint-NL_2016-09-29-tweedekamer-10.u265	I also had a motion on the disclosure of model contracts. The Secretary of State had previously explicitly promised this. Now it has been promised again, and that is why I do not submit the motion, but I do believe that the Secretary of State must honour his commitment.
ParlaMint-NL_2016-09-29-tweedekamer-10.u266	Mr. Chairman. I'm using my second term to file a number of motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas employers and self-employed persons are important for maintaining employment and entrepreneurship;]] [[Whereas this new law should not, directly or indirectly, prevent clients and self-employed persons from being able to work for themselves;]] [[noting that in some sectors there is still uncertainty as to how to use this new law;]] [[invites the Government to clarify and to provide assurance that any contractor and self-employed person working under an approved model agreement is exempt from post-taxes,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas this new law should enable principals and self-employed persons to continue their activities;]] [[Whereas the Government announces a number of actions including increasing the capacity of the Tax Administration;]] [[Considering that the current lead time of an average of nine weeks to assess a model contract by the Tax Administration is very long;]] [[calls on the Government to shorten the term of office of the Tax Administration and to inform the Chamber before Christmas,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas this new law should enable principals and self-employed persons to continue their activities;]] [[Whereas the Government announces a number of actions including setting up a complaints hotline;]] [[noting that a hotline should not only report complaints, but also resolve them wherever possible;]] [[calls on the Government to provide the Chamber with information on the problems identified in the hotline,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Ziengs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-30]] [[This motion has been proposed by Mr Ziengs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-31]] [[This motion has been proposed by Mr Ziengs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-32]]
ParlaMint-NL_2016-09-29-tweedekamer-10.u267	Mr. Chairman. I hope from the bottom of my heart that this debate has brought a little more clarity to the self-employed who are sitting in the Chamber, listening elsewhere, or perhaps reading the report of the debate tomorrow. There are still a number of things that I like to see settled and which continue to amaze me. It is mainly about the model agreement of the parcel delivery companies. I still do not understand why they have a model agreement, but a number of sectors where there is clearly entrepreneurship, which do not have one. I shall table the next motion for a resolution to that effect. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the DBA Act aims to eliminate false self-employment;]] [[calls on the Government to reconsider the model agreement already approved by the Tax Administration for PostNL self-employed parcel delivery companies,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Mei Li Vos and Mr Schouten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-33]]
ParlaMint-NL_2016-09-29-tweedekamer-10.u268	Then I have a motion for a resolution on providing more clarity. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas false self-employment leads to unfair competition which also harms the self-employed;]] [[Whereas the DBA Act aims to eliminate false self-employment;]] [[Whereas false self-employment is relatively common among parcel delivery workers and medical specialists;]] [[calls on the government to start gradually with enforcement after the transition period, giving priority to the parcel delivery sector and medical specialists,]] [[and goes to the order of the day.]] [[This motion has been proposed by Member Mei Li Vos. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-34]]
ParlaMint-NL_2016-09-29-tweedekamer-10.u269	Mr. Chairman. I'm not making any motions myself. I have signed a number of motions. If I had to sum up this debate, I would say: we need gas. Those are the words of this Secretary of State. I do not think that "we need gas" means that we only know in December which sectors are doing or are not doing well. "It needs gas" means that zzp'ers between now and let's say October/November know if they can work under a model agreement approved by the Tax Administration. I know it takes two parties to reach an agreement on this, but if we only hear about problems in certain sectors at the end of December, we will have solved it well in 2017 and all thosezzp'ers have just become unemployed. That is something we must avoid. I would like to thank the Secretary of State for clarifying a number of points. There will be no post-taxes while there is still discussion. Now he's going to take the industries and see what can be improved. The crucial question, in my view, is whether we can give certainty to those sectors which are not yet sure. So I ask the Secretary of State for one thing: does he want to send that survey to this Chamber for the autumn recess, not for the Christmas recess, but for the autumn recess, so that, if necessary, we can debate it earlier?
ParlaMint-NL_2016-09-29-tweedekamer-10.u270	Mr. Chairman. I would almost accuse the Secretary of State of improper administration, for he launches a law here and thus turns a whole industry upside down. 1 millionzzp'ers do not know where they are and employers are shivering and insecure..................................................................................................................................................................................................................................... I think the Secretary of State should sit down with the Deputy Prime Minister to explain the gaps to him. Of the 4,000 contracts submitted, 370 were approved. Of course you can't. The PVV has completely lost faith in this law. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the DBA Act is counterproductive in practice;]] [[noting that this means that many self-employed people are out of work;]] [[calls on the Government to withdraw the DBA Act and revive the VAR;]] [[calls on the Government to seek other targeted solutions to address abuse and bogus self-employment,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Tony van Dijck and Mr De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34036-35]]
ParlaMint-NL_2016-09-29-tweedekamer-10.u271	Mr. Chairman. I would like to thank the Secretary of State for his reply and the many comments he has made. It is clear to me that the Secretary of State intends to clarify this and to give that clarity tozzp'ers, but also to clients. There is already clarity at the moment, namely that there will be no fines and post-taxes for the consultation. For the rest, there is still a lot of uncertainty and it needs to be removed, so that there is room for an independent entrepreneur to undertake.
ParlaMint-NL_2016-09-29-tweedekamer-10.u272	Then we have come to the end of the second term on the part of the Chamber.
ParlaMint-NL_2016-09-29-tweedekamer-10.u273	I call the Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-10.u274	Mr. Chairman. Unlike what I was prepared to do in the labour legislation, I want to interpret the motions creatively so that we can take steps. The first motion calls for a progress report on 1 November and for the final report of the Boat Committee on 12 December. I don't have the Boat Committee on strings. I would like to link the report of the Boot Committee to the progress report. This is what I'm going to present to the proposers. We'll put everything on top of everything. The Boot Committee must also make a firm move. Then we can have the promised report before Christmas, the Boot report, a cabinet position on the Boot report, an analysis of what came out of the hotline and a progress report on the model agreements. This includes the commitment to Mrs Schouten that we should report where it creates friction. It can't be faster than that. I just sent over a progress report. It's still warm.
ParlaMint-NL_2016-09-29-tweedekamer-10.u275	But it said that manyzzp'ers got cold around the heart. That's why I'd like to have that progress report for Christmas. I'm gonna go talk to the co-sponsors. I'm guessing we'll figure that out. The motion also states that the cabinet will then indicate how to proceed. That is implicit in the way the Secretary of State wishes to deal with this.
ParlaMint-NL_2016-09-29-tweedekamer-10.u276	I have now also indicated how to proceed, and I can do that. We can then talk about whether it is final or not.
ParlaMint-NL_2016-09-29-tweedekamer-10.u277	We can make a decision on the progress of the law. We can change the date in December. Mrs Schouten had a specific point about the sectors which are not linked to the motion. I'm gonna go talk to the co-sponsors.
ParlaMint-NL_2016-09-29-tweedekamer-10.u278	I'm committed to separating those two cases. One seems to me to be the porch of the other. For those sectors where things are not going well, after the autumn recess, we can discuss what might still be necessary from the Chamber in order to do so. On Christmas we have the complete overview, including the opinion of the Boot Committee.
ParlaMint-NL_2016-09-29-tweedekamer-10.u279	There must also be an opportunity to make some progress. Mrs. Schouten was talking about October. That's about it. We can't be witches. There's a lot of work going on and there's all kinds of things in the pipeline. I'll know a lot more before Christmas. It must remain feasible. I want to put my full weight behind it, but let us keep it feasible. That is my request to the authors. I understand their intentions. I made a pretty firm commitment, and that's a lot of work, including for Boot. I would like to pledge this and interpret the motion in this way.
ParlaMint-NL_2016-09-29-tweedekamer-10.u280	This is no easy matter, but Mr Bashir whispered to me precisely that we want to be able to debate this. I find it difficult to see the President looking, and I understand that from her responsibility for the agenda. I'd like to make it December 19th. That's the Monday of the last week before the recess. That gives the Chamber the opportunity to debate it if the concerns have not been removed. Then we are three weeks with recess. I fully respond to the Secretary of State's desire to have time to put everything on top of everything. I hope he understands that we want to be able to have another debate with him on this if necessary.
ParlaMint-NL_2016-09-29-tweedekamer-10.u281	That's fair. Thank you.
ParlaMint-NL_2016-09-29-tweedekamer-10.u282	Can I change from this place 12 to December 19? Then the motion has been modified?
ParlaMint-NL_2016-09-29-tweedekamer-10.u283	The date of 1 November is part of this, because otherwise we will not get anywhere. Then I'll have to write a progress report in two weeks, while the letter is still warm. If 19 December applies to both, I will leave the judgment to the Chamber and then I will now feel bound by it.
ParlaMint-NL_2016-09-29-tweedekamer-10.u284	I see the clerk looking at me. I'll file a modified motion. That's so easy.
ParlaMint-NL_2016-09-29-tweedekamer-10.u285	The motion-Van Weyenberg c.s. (, No ) has been amended to read as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that manyzzp'ers are currently not getting commands;]] [[Whereas the problems must be resolved as quickly as possible;]] [[calls on the Cabinet, by 19 December at the latest, to send the final report of the Boot Commission and a report on the state of play of the DBA Act, and at that time to take a decision on the progress of the law,]] [[and goes to the order of the day.]] It seems to me that their submission is sufficiently supported. She gets no, was no. 21 ().
ParlaMint-NL_2016-09-29-tweedekamer-10.u286	This is a tying I have one more question about. In the motion-Van Weyenberg c.s. Wherever my name is, a more far-reaching judgment is required than I have put my finger on. I didn't talk about those 2,000 model agreements that still have to be assessed. I am concerned about the sectors where things are really not going well. I think it is important to have the information on this earlier. I give the Secretary of State room to indicate in a letter before 19 December where things are still difficult. Then we can look at what we can do as a Chamber before the final report of Boot. I want to think along with the Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-10.u287	Well, we also need to learn a few things from that window that still needs to be operational. That's where we're gonna see that in industry x, y and z people get to work hard. Maybe Boot says he just happens to think it's a little too strict in those branches. So then we have a solution. It's part of each other. So I would very much like to discuss that together. That's why I'm thinking: December 19th I'm going to pick up, but if we do it differently, I'll be writing a new letter in two weeks. Then we're not necessarily much further. So I think it's part of each other. One affects the other. It makes a joint judgment possible, so not only from me... how do I see the next steps? But also from the Chamber. That's what we're talking about.
ParlaMint-NL_2016-09-29-tweedekamer-10.u288	Finally, Mrs Schouten.
ParlaMint-NL_2016-09-29-tweedekamer-10.u289	Yes...
ParlaMint-NL_2016-09-29-tweedekamer-10.u290	Besides, it's about October already.
ParlaMint-NL_2016-09-29-tweedekamer-10.u291	Let's not sit on that date of October 1st. That wasn't the port of my story either. I'm just trying to think along with the Secretary of State, so as not to create confusion for all thosezzp'ers. On 19 December we are already quite a bit upset. All these annual contracts have to be drawn up. In December, a lot of companies are planning. I am afraid that if we only know where there is uncertainty, this ambiguity does not apply to us so much, but to all those people who don't know at Christmas whether they have a job. I'd like to avoid that. That's why I want to see how we can think along with the Secretary of State. Can he not indicate in between how many conversations he has had with certain sectors where it is difficult? In between, can he indicate where he might have been able to make good progress and where things are still bad?
ParlaMint-NL_2016-09-29-tweedekamer-10.u292	I have an agenda full of those conversations. Otherwise, it's gonna be so meaningless. We didn't take until May 1st for nothing. Of course, I'm going to try to tell the Chamber about what she wants to know about it earlier. That is the way democracy works, and that is the way it should be. But we didn't take until May 1st for nothing. There's still time. I have also said that if there is anything else unclear, then 1 May is not sacred to this sector or anything else. There's time. This will take time, too. There have also been a lot of unexpected but also nasty surprises. Solutions must be found for this. That's hard work. It must also be done by the sectors themselves. They need to rediscover what the law actually stands for. I really want to hurry, but it has to be feasible. Not for nothing we've taken a full year for this, and we're halfway there now. And there's no enforcement now either. We're not getting a warrant right now. There's no fine. There's no maintenance. This is the moment it has to settle down.
ParlaMint-NL_2016-09-29-tweedekamer-10.u293	Please continue with your speech.
ParlaMint-NL_2016-09-29-tweedekamer-10.u294	By the way, I understand Mrs Schouten's concern. I'll come to the motion in part No. 22. It calls on the government to use the full scope of the law in the review of model agreements. Perhaps Mr Van Weyenberg will forgive me if I find him a little faint here because I have just been explaining in detail that the Tax Administration is following exactly, but precisely, the legislation. He called me a bureaucrat in that regard, but now... I think this is policy support. Because I agree with him that this has to be done, but it will be done as well.
ParlaMint-NL_2016-09-29-tweedekamer-10.u295	I know the Secretary of State. He'll be more creative as night goes on. I want things to change. So this is not policy support. I want, for example, that where testing is being carried out, that happens differently. So if the Secretary of State is going to work on this, that's fine with me. But I do want something to change. I don't want him to say, "We're actually doing this." There should be no misunderstanding about that.
ParlaMint-NL_2016-09-29-tweedekamer-10.u296	Just now Mr Van Weyenberg and I agreed that the Tax Administration must do so according to the law, so according to the Civil Code, but also according to the latest case law. We will. That has also been brought into line with the review framework after Boot.
