ParlaMint-NL_2016-09-08-tweedekamer-7.u1	I would once again like to welcome the Minister for Health, Welfare and Sport.
ParlaMint-NL_2016-09-08-tweedekamer-7.u273	One moment. Is this the amendment to item No. 17?
ParlaMint-NL_2016-09-08-tweedekamer-7.u274	I shall begin with the amendment to item No. 20.
ParlaMint-NL_2016-09-08-tweedekamer-7.u275	The amendment in part No. 20 is the replacement of the amendment to item No. 6. If you go into the substance, we will see which number is included.
ParlaMint-NL_2016-09-08-tweedekamer-7.u276	Maybe I'll forget some of them, but I'll get them later. The amendment in part No. 20 aims to ensure that medical professional secrecy should not be broken for the purposes of fraud detection. In reality, the amendment blocks the codification of the existing practical but not fine solution. In my view, the amendment does not serve any purpose in this respect, because I have just taken this legislative path in order to get it out of the ministerial arrangements and regulate it neatly by law. This proposed article provides a solution to the lack of internal control of the financial records of healthcare providers detected by the Personal Data Authority, at that time still the CBP. The Personal Data Authority recognises the need for internal controls of performance, registration and invoicing. That's what the AP wrote in the opinion. I therefore reject the amendment. I come to the amendment to item No. 21, by Mr Leijten and Mr Van Gerven. This concerns the removal of control possibilities for insurers and enforcers of the Long-Term Care Act. That amendment aims to ensure that insurers are not given new powers to carry out checks, as they could use the information for risk selection. However, this amendment removes all the bases for formal and substantive checks from the law, whereas this legislative proposal provides for a legal basis rather than a basis at the level of a ministerial regulation. The bill is also part of a broader approach to unlawful acts and fraud. These checks are carried out by insurers for the purpose of carrying out the health insurance. Healthcare insurers may use the data they obtain through checks only for the purpose for which the data were obtained. Insurers will therefore not be allowed to use this information for other purposes, such as PR policy. This amendment will force insurers to send the bills to the patient, who will have to advance the money. That is why I also advise against this amendment. The amendment in part No. 22 members Bruins Slot and Volp discuss the exchange of information between the NZa and other bodies such as the FIOD and the Inspection SZW. They want to regulate this with or under General Measure of Management rather than under a ministerial arrangement. The bill adds only the Inspection SZW as the regulator of the Market Organisation Health Act. The other bodies mentioned are not added, because they were already in it. In the case of the special investigation services, the FIOD and the Inspection SZW are listed in Article 70 of the WMG. By the way, I think that the regulation at or under AMvB is something that the Chamber should assess. I therefore leave the opinion on this amendment to the Chamber. I come to the amendment to item No. 23, by Mr Volp and Mr Bruins Slot. It is about defining the roadmap for formal and material control at the level of the AMvB. The amendment aims to bring the steps of formal and substantive control as currently contained in ministerial arrangements to the level of the AMvB. The amendment also aims to refer draft amendments of this AMvB to Parliament. I agree with the proposers that it is important to ensure the privacy of insured persons. That is why the legislative proposal also provides for a legal guarantee for formal and substantive controls, rather than the current level of the ministerial regime. In doing so, I will ensure an even better anchoring to ensure the position of the insured person. I have deliberately left the individual steps in the individual arrangements with a view to tailor-made work. Nor does the NZa's supervisory reports show that health insurers do not carry out their checks in accordance with these steps and that better assurance is therefore needed. Since I can imagine that the Chamber would find a firmer anchoring of interest, I leave the opinion on the amendment to the Chamber. Mr President, I have dealt with the amendments I have before me. I do not have Mrs Klever's amendment from the PVV in front of me. And at this moment I hear from Mrs Leijten that another amendment is missing.
ParlaMint-NL_2016-09-08-tweedekamer-7.u277	In part No. There is another amendment tabled by Mr Leijten and Mr Van Gerven. It provides that no diagnosis information from the insured person is provided when a healthcare provider declares directly to the health insurance provider.
ParlaMint-NL_2016-09-08-tweedekamer-7.u278	I would advise against that amendment. In the legislative proposal, we are maintaining the regulation as we have made it. I think it would be very wrong to remove this arrangement, which has been discussed for so long, with one stroke of pens.
ParlaMint-NL_2016-09-08-tweedekamer-7.u279	This bill legitimizes the Minister completely with the tightening of the leg. What happens at the natural policy must now also be done at the refund policy. This therefore concerns the policy in which the account is not automatically submitted to the health insurance provider, which is often the case. At the refund policy, the bill can also run through the patient. What do we see in the diagnosis information of people who do not want to share this information with their health insurance provider? They must take a refund policy. They can then ensure that these data go off the declaration. The health insurance company then simply reimburses the declaration. Our proposal is to equalize that for the natural policy. What exactly is the Minister's objection to that?
ParlaMint-NL_2016-09-08-tweedekamer-7.u280	This is a long way to go. Mrs Leijten knows that, too. The Board of Appeal for Industry has delivered a ruling. In the legislative proposal, we have done justice to the decision of the CBb. The CBb felt that the diagnostic data in the ggz were so sensitive that the NZa had to take an additional measure. The NZa has therefore entered the privacy statement. With that privacy statement, no diagnostic data will go to the insurer via the declaration. That remains possible after the bill. That's exactly why we wanted to do this. That was in response to that ruling to discourage this.
ParlaMint-NL_2016-09-08-tweedekamer-7.u281	I think it's weird that if you don't want this as a patient, you should take insurance other than the insurance most people have.
ParlaMint-NL_2016-09-08-tweedekamer-7.u282	You can give your opinion on the Minister's opinion in the second term. Do you have any questions for the Minister?
ParlaMint-NL_2016-09-08-tweedekamer-7.u283	On the one hand, the Minister says that there must be an equal policy for the natural and the restitution policy. That is why fraud detection and access to medical records are now also being introduced for the refund policy. Then why force people towards a certain policy if they don't want the insurer to know why they have to go to the ggz?
ParlaMint-NL_2016-09-08-tweedekamer-7.u284	This has really been a long journey. In this respect, statements were also made by the CBb. I believe that the interests in this process have been carefully weighed against each other. We have included the outcome of this in the legislative proposal. I therefore maintain my judgment and reject the amendment.
ParlaMint-NL_2016-09-08-tweedekamer-7.u285	Then there is the amendment to item No. 18 by Mrs Klever. The exchange of views shows that you have a positive view of this. However, we have not yet heard a specific judicium.
ParlaMint-NL_2016-09-08-tweedekamer-7.u286	I would like to commend this amendment to the Chamber. I don't know if that's an official term, but something like that. A question has been asked by Mrs Volp. Before the vote, let me see if that is settled properly enough. I think we should look at that very carefully. If that is not the case, Mrs Klever has already said that it must be well arranged for her. That is where we will get to the votes. I commend the amendment positively. I'll leave the verdict to the Chamber, in a positive light. Something like that?
ParlaMint-NL_2016-09-08-tweedekamer-7.u287	Well, no. We don't do "something like that" here. Can I write down Judgment Room? Or do I note that you are accepting the amendment? It's possible.
ParlaMint-NL_2016-09-08-tweedekamer-7.u288	I'll leave the judgment to the Chamber.
ParlaMint-NL_2016-09-08-tweedekamer-7.u289	This brings us to the end of the Prime Minister's first term, for which I would like to thank you very much. I propose that we proceed immediately with the second term of office.
ParlaMint-NL_2016-09-08-tweedekamer-7.u290	Mr. Chairman. On 29 January 2014, the Health Sector Integrity Task Force met to see what had to be done to combat fraud. This report has been sent to the Chamber, albeit with a lot of black parts. On page 4 we can read: "The NZa briefly explains the investigation and the main recommendations including the need for breach of medical professional secrecy and adaptation Article 13 Zvw." When I asked the Minister about that investigation, she said the Chamber got it. The Court would have received an interim report and a final report. I've just checked it out, because it's been a while since we've read those reports. However, there is nothing in that about the need to break up medical professional secrecy, which is what really stands here. The change in the Task Force Integrity Healthcare sector and the exchange with us, the Chamber, with the Dutch public, is something else. Actually, I'm a little worried about that. How does the Minister explain the fact that it says here "need to break up medical professional secrecy" and that we no longer find this in the advice of the Dutch Healthcare Authority? It makes me suspicious, despite the Minister's defense. She defended it with extreme caution, but with that she has not been able to take away my feeling that we are going too far breaking medical confidentiality to detect financial fraud. Patients will be included in the roadmap. How am I supposed to see that? Do they get a call from the insurance company or a note? Are they invited? Is it all explained? Why aren't they just being asked for permission? Suppose the health insurance company has reason to suspect fraud by a specialist or doctor, but cannot fully find out. Suppose, in such a case, the insurer says to the patient: it is serious enough and it is a major social problem, so I ask you to participate in the investigation and to allow access to the medical file. The minister says, "That's a bridge going too far for me." It does not want to burden the insured with the choice of whether or not to agree. Now, however, she saddles the insured with a statement. After all, the insured person is taken into account and informed. However, there is no emergency braking procedure. Nor does the insured person have the opportunity to say, for example, that I have information to refute suspicion. The patients are therefore not saddled with a choice but with knowledge, without being able to exert any influence on something that is about to happen. Another argument to call it a bridge too far to ask for prior consent is the loyalty between patient and doctor. I'd say it's very good that there's loyalty. This is a very important basis for good and effective treatment, as we all know from research. The relationship in care is therefore essential. But here too, the insured person, the patient, is told that there is something wrong with his doctor... that does something with loyalty... but has no influence on the further course of the study. I think that's crazy. If the minister really thinks it's an ultimatum remedium, then asking for consent from the patient is not a barrier at all. Unless what was exchanged in January 2004, namely breaking medical confidentiality, is the real agenda. There will be an action plan for insured persons, so that they know what rights and obligations they have with regard to privacy in care. It's all very nice, but there's a means of power, isn't there? That means giving permission. We have arranged this for the electronic exchange of data. That's what the minister was for. Now she's not taking care of it. It is clear that breaking medical professional secrecy is also described as such in the report of the Task Force on Integrity in the care sector for my group is the major problem with this bill. Let me make two more attempts; perhaps the Minister can convince us. We all consider it important to detect fraud or financial errors. As far as that authorisation is concerned, this is the following. There is an amendment from D66 that I have co-signed. I'm asking the Minister to embrace that. If it's an ultimum remedium and if there are guarantees, it doesn't have to be a problem. One of the NZa's opinions states that there should be a Chinese wall when access to medical records is arranged for health insurers. That means we're gonna separate a department. These have become medical advisers and they must operate as independently as possible of their employer in this case the health insurance company. Suppose we actually build a Chinese wall. So what would be against making the medical consultant truly independent, so to separate from the health insurance company? The health insurer shows what steps he has taken in the context of physical control. He won't come out and ask for an independent medical consultant, perhaps at the NZa. This one's gonna look, and if there's anything, he can deliver the file to the health insurance company anonymized. They then decide what to do: to withhold money, to deliver it to the Public Prosecutor's Office or the NZa itself, i.e. a criminal, administrative or civil-law solution. Then it's really a Chinese wall. If the Minister is prepared to do so, she will remove all the objections we currently have. I'm finishing up, Mr. Chairman. I see you wiggling and I see time running. As far as we are concerned, the lack of capacity on the part of public authorities to effectively detect fraud should not be a reason to break medical professional secrecy and lay it down with health insurers. For us, medical professional secrecy is so crucial that we believe it should not be used for fraud detection. It should only be broken if the patient is seriously harmed by the doctor if the data is not shared, or if consent is granted. If this is not complied with, we regret to say that this bill is not proportionate and therefore it does not deserve our support.
ParlaMint-NL_2016-09-08-tweedekamer-7.u291	Mr. Chairman. I thank the Minister for her answers. I have a few more questions. We've just had an exchange of views on the medical consultant's conclusion. The Minister makes it very clear that the information provided by the medical adviser to the health insurance provider must always be proportionate, no more than necessary and necessary. That is quite general. As a CDA, I would like to see certain safeguards in place, especially since we now have the opportunity to settle that. I shall therefore table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that medical advisers or persons working under their responsibility, on the basis of the law, have an insight into the medical data of an insured person as an ultimum remedium;]] [[considers that a medical adviser does not provide more information to a health insurer than is proportionate or necessary;]] [[calls on the Government, in the scheme based on Article 68a, third and fifth paragraphs, and Article 68b, paragraph 1, of the Health Organisation Act, to provide that the conclusion and the justification of the conclusion by the medical adviser do not contain more information than is necessary and that the assessment has been designated only in the context of the fight against fraud,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Bruins Slot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33980-24]]
ParlaMint-NL_2016-09-08-tweedekamer-7.u292	This is also reflected in the objections raised by the Council of State. It says that you should only make the conclusion. In my opinion, the Minister has well justified why the conclusion is too little and why you should do so well within those safeguards. However, I would ask her to consider whether this necessity and proportionality can be better substantiated. In the motion I deliberately put the word'regulation', because the articles to which it refers now have to be worked out in a ministerial arrangement. The amendment tabled by Mrs Volp and I may make it an AMvB. We were just talking about reporting the data. I am sympathetic to Mrs Klever's amendment to inform insured persons afterwards. The Minister says that it is already well settled with the investigation services, because insured people are told afterwards. The inspection SZW will get a very large number of cases on its desk, but it may not prosecute in all cases. If there is no prosecution, but the medical data have been given to the SZW Inspection, for example in case of suspected pgb fraud, will the insured person be informed? The Council of State indicated that careful consideration should be given to providing diagnostic information on declarations made by the ggz. The Minister said in her introduction that nothing really changes about that at the moment. Does it mean that such data can be provided in the physical check or does it mean that there are simply good guarantees to meet the concerns of the Council of State? I'd like to get a more detailed explanation on that point. The CDA considers it important that fraud can be dealt with properly. It has added value that things that were first regulated in lower legislation will be better secured by this bill, especially because we can therefore properly consider how medical professional secrecy is handled. This bill contributes to this.
ParlaMint-NL_2016-09-08-tweedekamer-7.u293	Mr. Chairman. This debate has made it clear that one thing is at the forefront and that the Chamber broadly indicates that tackling care fraud is very important. The Minister, whom I thank for all the answers, quite rightly pointed out that it is very important to keep an eye on the ball in the fight against fraud. If you add up what it's all about from the small calculation that I made, it turns out that in the area between fraud and errors, about 3 billion per year is involved. It's clear that this money, if it falls into the wrong hands, doesn't go to care. It can't be. Fraud is needed, because the care money has to go to care. The VVD stands for that. This bill lays down a legal framework which is an important part of the practice. In the first period, I said that it was important to work on an action plan. I called on the Minister to come forward with a plan of action. That's widely supported. The VVD is happy with that. It is important that insured persons are well informed about how it all works with the physical checks. You need to know how that goes. Furthermore, the insured person should be involved: can he help with the audit of accounts? That increases the acceptance and commitment. Fortunately, the research of the patient federation indicates that Dutch people also want to help. Invoices should also be made easier to understand and sent in a more timely manner. If all that comes together in the plan of action, I expect we can take huge steps. There has been broad talk about the way we provide safeguards around privacy. It is perfectly clear that looking at medical records, or some of them, will always be seen as an ultimum remedium. I think it is a good thing that a number of further amendments look at what the outcome will ultimately be. The main objective, the fight against fraud, must be borne in mind. We need to keep an eye on the ball in order to achieve what we want with this broad approach, namely that care money is spent on care.
ParlaMint-NL_2016-09-08-tweedekamer-7.u294	This interruption follows on from the small debate we had in the first term. There are consultants in the care that advise with consultancy firms to make a maximum declaration. We just heard from the minister, who initially said he didn't know those desks, that the NZa has put it together and that it shows that those desks are indeed there, but that we do not have any legal means to do anything about it. When Mr De Lange says that care money should go to care and that the patient's interest should be paramount, what does the VVD intend to do to the army of care consultants who are advising to declare maximum, which is not yet fraud?
ParlaMint-NL_2016-09-08-tweedekamer-7.u295	I think we have taken another good step in this matter today. The Minister was perfectly clear: it is immoral to do upcoding and such to raise declarations. That's an important norm. I very much agree with the norming and I think you should do it that way. That's an important signal to all those caregivers: you don't do anything that's immoral. That's not necessary at all. If you do and it's not right, it's fraud and you have to report it to the NZa. Then, fortunately, we have the bill as it is now before us, which states that you have to adapt it that way. In this respect, I think that we have again made a very clear statement today that we do not want this and that we need to be absolutely clear about it.
ParlaMint-NL_2016-09-08-tweedekamer-7.u296	Upcoding is punishable: that you say you've done something more than you've done, which gives you more. But pumping up declarations is about really looking up the edge to fill it as much as possible, so that you get the best possible price. However, the Minister just said that this is not fraud and that there is nothing to be done about it. So we're going to look at the medical level of people. All this must be possible by the insurer, but nothing can be done to the army of advisers. What kind of feeling does the VVD have? Have we really come a step closer or are we saying to each other: yes, it exists, it seems to fit into the system, that apparently lures it out, we can't do anything about it, and let's just leave it at that?
ParlaMint-NL_2016-09-08-tweedekamer-7.u297	I feel like we've taken some valuable steps again today. And there has been another change today, namely the incredibly important signaling effect of this bill. I have also looked into how it is going to work in all kinds of places, and all these parties are going to help to make it clear that fraud should not pay and that care money should be spent on care.
ParlaMint-NL_2016-09-08-tweedekamer-7.u298	Mr. Chairman. I would like to thank the Minister for her answers, for her positive response to my amendment and for the commitment to see whether the patient can be included in the roadmap, sometime at step seven or step step. When can the Court expect the results of this? I remain somewhat concerned about the various persons who, under the responsibility of the medical adviser, can access files. The Minister calls this "persons with derived medical professional secrecy." Can the Minister ask the NZa to pay particular attention to this and immediately pick up signals if something seems to go wrong? Can the Minister undertake to do so? I don't know if the Minister has heard my question. Finally, fraud should never pay. We must therefore make every effort to limit fraud. Although this bill is a small part of the overall fraud approach, it is nevertheless an important step.
ParlaMint-NL_2016-09-08-tweedekamer-7.u299	Mr. Chairman. I would like to thank the Minister for her very comprehensive reply, which is also important for the legal interpretation. We must therefore deal with this very carefully. She herself said that we are not doing so much news and that it was already in old legislation. Nevertheless, it is very important to have discussed it very carefully once again here, at the moment. It has also set out a number of bottlenecks. The amendments I tabled together with Mr Bruins Slot of the CDA provide sufficient guarantees for the PvdA of the sacred good of medical professional secrecy. The Minister also mentioned positive aspects and things that are now possible, for example through the expansion of the NZa. This is without prejudice to the fact that we have had a very wide-ranging discussion about privacy here. I told you, under a law, you have to look at how it works and how it works. I am therefore curious to see when we can evaluate these documents in particular. The amendment is still in the Ministry's hands, but what is the Minister's view when something is successful and works? And when do we see the need to intervene? After all, the NZa's investigation into the way health insurers deal with privacy in the investigations they conduct is still coming. I also have questions about the position of the medical consultant, who has been nicely rigged. I've just been Googlein'. There is also a whole register and quality requirements have to be met. I was wondering if the Minister would be willing to look with the medical advisers at what this legislative amendment will mean and at the interpretation of what they may or may not share. Mrs. Bruins Slot spoke about that, too. What consequences does this have for their training and training and for the way in which they can be treated with disciplinary action? Mrs Klever also referred to the fact that it is, of course, much more difficult for a health insurance company to find out exactly who had access to a medical file. I think that is also a relevant point. A general practitioner is a limited number of people. At a hospital they work with a coded system. If I looked at my neighbor's data in a hospital, it would be linked to my login records. I would like to hear an explanation of that. The NZa can certainly go into this in more detail in the checks, as Mrs Klever suggested. If a patient sees that there are many more people who have understood his data, and he doesn't want to, I think there should be a feedback to the question of how many people they are and whether that has gone properly. Then I have one motion on the health insurance companies, because the Minister is right to say that this is not helpful for the search possibilities. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas health insurance companies do not invest enough in carrying out checks on fraud and indicate that they do not receive any incentives to do so;]] [[considers that monitoring of the use of premium money is part of the mission of the health insurance provider and that it should be carried out in order to ensure trust and solidarity in the care system;]] [[Calls on the Government to identify ways in which health insurers can be required to monitor the legitimate use of premium money and to inform the Court of the possibilities for doing so before the 2017 budget is discussed,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Volp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33980-25]]
ParlaMint-NL_2016-09-08-tweedekamer-7.u300	Mr. Chairman. First of all, I would like to thank the Minister for his reply. It was a special afternoon for me: my first debate on care, my first debate without tie and my first debate where I was most in agreement with the SP and the PVV.
ParlaMint-NL_2016-09-08-tweedekamer-7.u301	Those are a few facts in a row.
ParlaMint-NL_2016-09-08-tweedekamer-7.u302	I'll put that on my résumé, Chairman. It is also a very important afternoon, because we talked today about the contradiction between fraud and privacy. You could even put it more broadly and say that it is a contradiction between security and freedom. This contradiction is reflected in many debates, but in fact it is a sham contradiction. The answer is always that we have to find a good balance between these two worlds and then it's gonna be okay. The Minister also said today that she thinks that this bill is the right balance. I am just concerned about the practice that is attached to the balance that is being chosen with this bill. My concerns stem from the fact that, in a much broader sense, I see that more and more data are being collected by public authorities, for certain reasons. It is always said that it is necessary, proportionate and effective, that it is limited to the purpose for which that data is collected, that it is done carefully and that the data will not be kept for too long, that the circle of users of that data will remain small and that there will always be a form of consent, participation or involvement of those from whom the data is collected. That's the kind of thing we hear all the time and today. In this sense, the debate was similar to debates I have had before, I say to the Minister. At the housing market one wants to know in advance someone's income for the provision or not of rent allowance. That's also an invasion of privacy. Another example is that the phone records are collected so that you know where someone has been, because that way so-called terrorist suspects can be caught. That happens a lot and a lot. I find it worrying that the cabinet does that a lot. It has also always been shown that these measures do not meet the steeld expressions such as proportionality, effectiveness, purpose-binding and care. That's why I'm worried about this law. I know something has to be done to deal with fraud. I do not have to say that, but it happens too often that the way in which fraud is dealt with is limited in effectiveness and causes a great deal of collateral damage. We almost didn't talk about the collateral damage. There are two things I am concerned about. First of all... There is a power relationship between the patient, the healthcare provider and the health insurance provider. In my opinion, this power relationship is very often the subject of this Chamber. This debate fits in perfectly with that. Second. Of course, medical professional secrecy will be wider than it is now in practice to be put under pressure. Parties like the VVD and the Labour Party say: come up with alternatives. We will. Mrs Leijten of the SP has already announced that there will in any case be an amendment on the independent consultant and its better assurance than is currently the case. It's the Chinese wall that Mrs. Leijten was just talking about. Indeed, we are still puzzled, but we will succeed: we will table an amendment on the patient's prior receipt of information. We do not do that to make Mrs Klever inadequate. In any case, it has arranged for this to happen afterwards. If our amendment does not succeed, but that of hers does, we will support her amendment anyway. However, I think that is even better in advance than afterwards. That is what I said in the debate. This would reduce the infringement of medical professional secrecy in such a way that it is no longer problematic for me, certainly not in conjunction with the proposal made by Mrs Leijten. Those two things can still be expected from me. I will also deal with these two things when discussing this proposal in my group. If these two alternatives are not accepted, I think that the spirit of this debate and the balance sheet is mainly a very serious fraud, while the breach of privacy is not a good thing. Then the balance has gone crazy and we cannot support this bill. We have two alternatives, which we consider to be very important. I would like to hear a response to that.
ParlaMint-NL_2016-09-08-tweedekamer-7.u303	That brings us to the end of the second term of office. I have found that the Minister can and wants to reply immediately. I'd be happy to give her the floor.
ParlaMint-NL_2016-09-08-tweedekamer-7.u304	Mr. Chairman. In the first term, I said that the Dutch Data Protection Authority was positive about this bill. To put it more precisely, she was not about the first version, but about the second version, which is here for discussion. I'm just saying that for the sake of completeness. Mrs Leijten actually says that this cabinet has an agenda for breaking professional secrecy. I'd say that's a very crazy agenda, because there's a lot of professional secrecy in care for nothing. That is what we need to do so that everyone with peace of mind can put everything on the table with a doctor and seek medical help without having any negative consequences for him or her. So that's a big good. It's of great value, but not absolute. We've seen that before in other files. Yesterday we were talking about professional secrecy in the consultation on suicide: to what extent are family members allowed to look in the file? There are always considerations to be made. There is no absolute medical professional secrecy, but a professional secrecy which we must guarantee as far as possible in relation to other interests. That's what this bill did. I'll say it again. I am somewhat surprised at the input of D66 in particular. This practice also existed at the time when D66 was in the government itself. It wasn't even good and carefully regulated in the law. Now we are dealing with this through the law and we have all added guarantees. There are additional safeguards, but now it is suddenly a problem, when it was just applicable at the time. At that time it was less well guaranteed and less well arranged. I found it necessary to regulate it by law and to discuss it with the Chamber in this careful manner, to weigh it up and to secure it for the patient. I am also surprised that we have had a number of major fraud debates in which the approach was, in particular, 'Minister, we have not been able to do anything at Europsyche for all those patients for restitution; we can do it for those in kind, but not for the patients for restitution'. Well, that's what we're trying to do with this bill. If you find the fight against fraud an important aspect of our insurance, for which we pay high premiums and where we are in solidarity with each other, you also want care money to be well spent. That's the lead. Then you have to be able to act against fraud. Then you must be able to act against fraud that has been committed in the context of such a Europsyche. Then you must be able to act against fraud, not only when it comes to upcoding, but also when immoral things happen. That's exactly what I've been calling attention to for years. It's not like I'm thinking, oh, let that go. That is a complete misconception. I have already indicated that the NZa cannot act directly against it, but indirectly: if a care institution does so, the care institution can be contacted and paid for. It's their responsibility that they've been given advice from azzp'er, a desk, or I know who. They must be taken into account and, as far as I am concerned, they should also be punished. I think it is wrong to say that the whole system is being overturned. We will strengthen it for a group that cannot do so now, but we will do so for two thirds later. It has major consequences to remove responsibility for material and formal control and for legitimate concern for a piece from the insurer. I'm not against that. A capacity shortage is not an argument. In recent years, I have expanded the NZa, the Social Affairs and Employment Inspectorate and the Public Prosecutor's Office. We've invested a lot of money in that. The capacity has only increased. I am convinced that we will solve it with this bill and that we will need the whole programme, including that additional capacity. We do not work with an external medical advisor instead of a Chinese wall because it adds nothing. The requirements of the external medical advisor, Mrs Volp said, are similar to those of the current medical advisor. They're strict and not too childish. The NZa oversees independence, expertise, etc. Mrs Leijten asked about the report and the report. At the time, perhaps she remembers that, I asked the NZa, at the request of the Chamber, to indicate the extent of the care fraud in the Netherlands. It was discussed in that meeting. The NZa explained in the Administrative Consultation Task Force Integrity Healthcare to the other participants that a determination of the extent of the fraud in the care would only be possible if the NZa were allowed to look into the medical records. However, this would require a breach of medical professional secrecy. It was not a plea of the NZa to do so, but an answer to my question whether the NZa can map that size. The NSA replied that it can only do so if it breaks the obligation of professional secrecy. After that, the NZa explained what would be needed. Since the NZa is not allowed to look into medical records and I do not want to settle that, the NZa made an estimate of the irregularities in the care at the time. I sent it to the Chamber.
ParlaMint-NL_2016-09-08-tweedekamer-7.u305	A lot has been blacked out in the report of that consultation given to us, including an explanation of a memo from the NZa. This is too bad, because that doesn't tell us what it is. It says literally: the NZa briefly explains the investigation and the main recommendations, including the need for breach of medical professional secrecy and the adaptation of Article 13 Zvw. The latter concerns the law of care that was eventually blocked by the Upper Chamber. Is that second this law or is it something else?
ParlaMint-NL_2016-09-08-tweedekamer-7.u306	This was in the context of a request from the Chamber to give me an overview of the fraud. I asked that question and the NZa said they couldn't deliver it. I also find it annoying if I have to send painted reports, but we have tried to give maximum transparency. It was non-public consultation and then it is customary to remove a number of things that cannot be shared with third parties, which have also been established, from the government. We painted it.
ParlaMint-NL_2016-09-08-tweedekamer-7.u307	It is a study with the main recommendations. Apparently, they're so important that they're written down and they're not blacked out. That is good, because that enables us to talk about this now. The Minister is now saying that we received that investigation with those recommendations in March and December of that year. I caught them, but they do not contain any recommendations aimed at breaking medical confidentiality. That's what it was. If that were the case, if the NZa were to say that it could not provide a real factual basis because it could not, that would mean a breach of medical professional secrecy and that it would not want to do such a thing, it could of course have just been in there. But it really says "recommendation." This makes me wonder what happened and what research that has been. If the Minister says it's a bridge too far for her to grant permission, that makes me very suspicious.
ParlaMint-NL_2016-09-08-tweedekamer-7.u308	Of course, that can always be the case, even if you share almost all the information, including the one that you can find. These are really two different things. The NZa has never recommended us to break medical confidentiality for the NZa. She answered my question as to what she thought would be necessary for this, and in her view medical professional secrecy should be broken. With us there has never been any mention that the NZa could view personal data in a medical file. We have never considered that, so that has never come to pass. And she never asked for it, but only stated it in a statement to me. I also exchanged this with the Chamber when it asked why the NZa could not deliver this. Many Members had asked me to do so. My answer was: because a supervisor doesn't have all that data and he can't just walk into a hospital and ask him to look at the medical records. A supervisor can't do that. Mrs. Bruins Slot filed a motion. It found that medical advisers or persons working among them have an insight into the medical data of an insured person on the basis of the law as an ultimum remedium. It considers that a medical adviser does not provide more information to a health insurer than is proportionate or necessary. I agree with all of that. However, it asks the Minister to arrange on the basis of a number of articles that the conclusion and the justification of the conclusion by the medical adviser does not contain more information than is necessary and that the assessment is only appropriate in the context of the fight against fraud. These articles also cover other matters. In any case, the medical adviser does not see more data than is necessary and there must always be proportionality, but access by a medical adviser to a medical file is sometimes necessary for material control, not only for fraud investigations. For that reason, I must advise against this motion. However, Mrs Bruins Slot could also simply make it'material control'. I think we could get pretty close, but that's obviously up to her.
ParlaMint-NL_2016-09-08-tweedekamer-7.u309	I am also looking closely at the opinion of the Council of State and only on that basis will I vote on my motion. So colleagues know that there may be another amended motion. Before that, however, I would like to take a closer look at the documents.
ParlaMint-NL_2016-09-08-tweedekamer-7.u310	If that change is about as the Minister indicated, do I understand the Minister that she would leave the judgment on the motion to the Chamber if she had seen that motion as such on paper?
ParlaMint-NL_2016-09-08-tweedekamer-7.u311	Yes, Mr. Chairman. There is a big difference in that. Maybe we should just split things up. My judgement on this motion is the judgment I have given.
ParlaMint-NL_2016-09-08-tweedekamer-7.u312	And for the amended motion, did you indicate the direction?
ParlaMint-NL_2016-09-08-tweedekamer-7.u313	Yes. Mrs Klever said that the Inspection SZW has a lot of business, but that it does not always lead to prosecution. She asked if that would be shared. No, that is not shared in the current situation. She further asked whether there are good guarantees and what about the diagnosis and the ggz in that declaration data. Yes, there are good guarantees for that, because we have taken on board precisely the ruling of the Board of Appeal for Business. So all the guarantees that this college had to offer, which were actually negotiated for years, are in it. Then Mrs. Klever asked... Oh, no, I'm working on Mrs. Bruins Slot's questions. So I'm addressing her again. It's been a long time. The College of Occupation for Industry, the sector and everyone involved have worked something out. That has been taken over one-on-one; we do not change anything about it, so that it is well secured. That's what everyone's working with right now, and that's what's going on now, after years of scrubbling about it.
ParlaMint-NL_2016-09-08-tweedekamer-7.u314	I have a question for clarification. Does this mean that the material control does not break through what has been agreed?
ParlaMint-NL_2016-09-08-tweedekamer-7.u315	What's agreed is one-on-one taken over.
ParlaMint-NL_2016-09-08-tweedekamer-7.u316	So even if the material control is carried out?
