ParlaMint-NL_2016-01-14-tweedekamer-9.u1	I give the floor to Mr Van Gerven on behalf of the SP Group.
ParlaMint-NL_2016-01-14-tweedekamer-9.u139	It is quite right that a large number of speakers have pointed out that this development is in keeping with the awareness that it requires a very good dialogue between those involved in order to take the steps needed to improve accessibility. It calls for a firm and concrete agenda at local level, where the difference must be made for the people. That is why I very much appreciate having discussions with various experience experts, people with disabilities, in the run-up to the implementation plan. I'm definitely going to involve them in the further implementation of the law. Several groups have already been mentioned. I think it is very important to look at what needs to be firmly on the agenda for the coming period from the experience of people with disabilities. At national level, we can then see how this can be stimulated at local level. In this way, a practical approach is adopted at local and national level, which actually leads to the necessary improvements for people. I look forward to that process with a great deal of ambition. If we use this law to take the historic step towards ratifying that treaty, an important law will be created for people with disabilities. Above all, however, what it will mean for them in practice is important. That is why the cabinet attaches such great importance to a practical approach. There have been a number of questions that I would like to deal with first. Then I will give my explanation to the seventeen motions that have been tabled. Mr Van Gerven asked about the review by the College of Human Rights. The college has different tasks. One of them is to investigate whether a distinction is made in response to a complaint. In carrying out this task, the College of Human Rights may not review the rules in accordance with the Convention, but may issue an opinion. Mr Van Gerven asked: what are you doing with that opinion? It's an advice. It is not binding, but the College of Human Rights is an authoritative body. The government will therefore have to act on a reasoned basis. Mr Van Gerven further asked when the analysis of the Ministry of Security and Justice and the Ministry of Foreign Affairs will be ready to ratify the optional complaint law protocol. I have already promised in my first term that I will present this to my colleagues. It's impossible for me to outline a timetable. Moreover, individual complaint law is a relatively new task for all the committees concerned. It is therefore difficult to foresee how complaints about socio-economic issues will be dealt with in member countries. That's actually the explanation why I can't indicate a time frame. As I said, I put this question to my colleagues. They will respond to this. Mr Van Gerven also asked whether the research of the University of Utrecht was involved in the analysis of the optional protocol. On behalf of OCW, the Human Rights Study and Information Centre at the University of Utrecht has carried out a study into the consequences of the complaint law. This investigation has been sent to the Chamber. It was limited to the policy area of education and covered another treaty. However, the findings of the report will be taken into account in the decision-making process on the ratification of the Complaints Protocol. Mr Van Gerven also made a number of comments on inclusive society and all the laws on care that have recently been adopted. It won't be strange for him that I don't share his vision. I believe that the decentralisations, in which we take more account of personal circumstances, offer an enormous opportunity for people in a vulnerable position. We do not have a general policy, but rather take much more account of the personal situation of people. Let us not continue this debate. We have done so extensively. I do not think we agree on this point. Mr Van Gerven also made a number of comments on the special assistance. He asked if the cabinet realizes that it can be humiliating. I realize that feeling. For my part, and certainly on behalf of the cabinet, I would like to say that special assistance in certain situations is a right and not a favour. People who have to call on special assistance should not feel humiliated when they invoke this right. This right does not exist for nothing, precisely in support of those who need support. Mr Van Gerven further asked about the role of the Ministry of the Interior in making voting rooms accessible. Home Affairs has drawn up a checklist of accessibility criteria for voting rooms. That includes the legal requirement of at least 25%. The criteria are about accessibility, accessibility, usability and communication. For each election, the checklist is brought to the attention of the municipalities, requesting that the criteria be taken into account when designating voting rooms. This is the subject of information. The final responsibility for the accessibility of the polling rooms lies with the College of Mayors and aldermen, as has also been pointed out by several MPs. That's responsible to the council. I also think it is right that this particular gremium should be considered, for example, between the number of voting rooms and their accessibility. I think that's the right place for that. Mr Van Gerven also asked how we are going to ensure that policy makers take into account people with disabilities and, above all, how we are going to ensure that accessibility is taken into account in public administration and in society. I have just tried to point out that raising awareness is one of the most important policies to ensure that blind spots in the area of accessibility can be addressed. The public authorities and the public administration must set a good example in this respect. For example, the accessibility of public buildings is regulated in the Building Decision 2012. It shall describe how many square metres the accessibility sector shall be the space which is independently usable for persons with disabilities. All information provided by public authorities via the Internet should be accessible. The public sector websites must comply with the web guidelines drawn up internationally. I am very impressed and the same is true of my colleagues, because the consequences of this treaty naturally also involve a task for the government to take the lead wherever possible. This concerns public communications, for example on websites, but also on the accessibility of public buildings. It must be absolutely clear that the government has an exemplary role to play. The government should regard this treaty as a task for itself to set a literal and figuratively good example. I come to Mrs Keijzer's questions. I think that her questions about my assessment of the amended amendment have now been dealt with in sufficient detail. Mrs Keijzer also asked how the European directive on accessibility relates to the ratification of the UN Convention, including the amendments tabled on that point. We are going to talk about this in detail. I believe that the Court has now received the sheet on this subject. There's a substantive and a legal component to it. The European Commission's directive uses the internal market as a basis. In fact, it is about an internal market in relation to the products of people with disabilities. That's another foundation. The government has indicated that it is wondering whether this is a good basis for a European directive. In this sense, the directive goes a little further than the UN Convention and the amendments, because the directive mainly uses internal market considerations to achieve a level playing field for products and services for people with disabilities. The Chamber has been able to read the comments made by the government. As a headline: the European directive goes a little further on a number of points, but the government is actually questioning whether the basis chosen in it is the right one. This view is also shared by more Member States. That will therefore give rise to the necessary discussion. Mrs Keijzer also asked when the plan of action would be implemented. As I have said, I would very much like to work with the designated parties and experience experts to ensure that specific accessibility objectives are set. This must be done on the basis of problems actually experienced by people. We will also see at national level how we can give the necessary impetus locally. This also explains the active involvement of the Association of Dutch Municipalities in this approach. We're already working on that, of course. That involvement is already there. I have good hopes that in the middle of this year I will be able to present a concrete plan of action to the Chamber.
ParlaMint-NL_2016-01-14-tweedekamer-9.u140	This will therefore be an elaboration of the plan of action implementing the UN Convention on Disabilities. That is being worked out, and the Secretary of State, as I have asked, is going to include very precisely what exactly is going to happen when. Let me get this straight.
ParlaMint-NL_2016-01-14-tweedekamer-9.u141	As I have tried to point out in the debate, the plan of action now before us actually describes the method of the plan of action. How do we work together with the parties to achieve concrete objectives? In what areas do they see? Which timelines should we consider? This is important for the cabinet, as this will lead to a gradual realization. So we can look together to see what's going to happen. To paraphrase Mr Van Dijk: it is not self-evident. He's absolutely right about that. This means that you should not only have this law, with a number of rights and a number of movements that you want to make in society. It's just not gonna happen on its own. This means that, in the government's view, there must be a plan of action, an elaboration of this document with an objective in a number of policy areas and the timetables used. Then I'll come in on the help and outside the voting booth. Outside the voting booth, all voters can be provided with the help they need, such as explanations on how to fill in the ballot. That help can be provided by a person of your choice. You can see, also internationally, that it becomes more difficult and exciting when that happens within the voting booth. We do not think it is the right way to demonstrate a mental disability, as some Members of Parliament have suggested. Mrs Keijzer suggested that this can be proved if a provision is made by the Wmo. That makes it very complicated in the voting booth, if someone who gets domestic help from the Wmo on that basis gets or doesn't get help in the voting booth. The government is indeed adopting a cautious approach. We want to avoid appearances. This means that we do not take people who, for whatever reason, cannot indicate what the problem is, literally and figuratively by hand and offer help in the voting booth. We do not think it is the right way to make the intellectual limitation provable. Not only does it depart from the principle set out in the letter of the Chamber that a voter casts his own vote, but it would also lead to bureaucracy in the polling office if you had to look at the limitations that a person has and whether or not you should offer help.
ParlaMint-NL_2016-01-14-tweedekamer-9.u142	Still, it's weird. If you have a physical disability, someone can help you in a voting booth. If you have an intellectual disability, it is by definition impossible. It seems that the Secretary of State assumes that anyone with learning difficulties can be easily influenced. You have a lot of different degrees. The same applies to people with mental illness.
ParlaMint-NL_2016-01-14-tweedekamer-9.u143	I very much agree with Mrs Bergkamp, but precisely because you cannot determine that, you cannot determine what extent of influence might occur. That's one of the problems. A person with a physical disability can help you get into the voting booth or close the door or curtain. Unfortunately, it's still often curtains, I think. Then there is de facto no influence. Finding out what form of restriction creates an influence is not a matter for those who sit in polling stations. That is not their competence, and we should not want it to be.
ParlaMint-NL_2016-01-14-tweedekamer-9.u144	This is some kind of black and white image. It is not a question of asking for voting advice. Someone wants to know how it works in a voting booth. The Secretary of State indicates that the cabinet is very cautious about this, but I think this is very black and white. I'd like to ask the Secretary of State to join us in thinking about getting this done anyway. It is black and white that people with physical disabilities can be helped and people with intellectual disabilities cannot, by definition, be helped at all. If you're suffering from stress disorder, you can't be helped in one of those booths. That's weird, isn't it?
ParlaMint-NL_2016-01-14-tweedekamer-9.u145	I tried to argue the following. If someone with a stress disorder is in a booth and asks who to vote for, then it's clear you can't do that. And it is unacceptable for him to say: tell me that on a certain list I am not going to call a number "to vote." It is complicated to have to make this type of choice in the polling station and to weigh it all down. I would add this to the fact that I did not receive a signal at the various elections that this is now a very serious problem.
ParlaMint-NL_2016-01-14-tweedekamer-9.u146	I am also very concerned about the whole discussion on this issue. I don't think it's a big problem either. Still, I'm being addressed by the same person on this. It is a young man with an intellectual disability who wants it very much, but does not manage to do it in the voting booth. And he knows very well what he wants. I agree with the Secretary of State that you shouldn't want people affected. We all share that. And yet, and yet, and yet, the Secretary of State cannot consider whether there is anything in the vg sector, which I think we are talking about in particular, on the basis of which the president of a polling office can determine by simple means whether someone has any intellectual disabilities? The President already has far-reaching powers. For example, he's allowed to evict people from the polling station.
ParlaMint-NL_2016-01-14-tweedekamer-9.u147	You will notice that I am very hesitant about this, because we would ask the president of the polling station to assess the extent to which there is an intellectual limitation that could lead to someone being helped. That requires an assessment of the situation and that goes a little far.
ParlaMint-NL_2016-01-14-tweedekamer-9.u148	Finally.
ParlaMint-NL_2016-01-14-tweedekamer-9.u149	That's not what I mean. I can also see that you cannot ask a president of a polling station who has a completely different job in his daily life; it is only a volunteer to determine for a moment whether someone has an intellectual disability. I am thinking of an indication or something that has been recognised in the vg sector. The interest organisation Each (in) could perhaps be very helpful to the Secretary of State. Can the Secretary of State not check whether there is anything that makes it easy for a president of a polling station to establish that it is someone with a restriction who can be helped in the voting booth?
ParlaMint-NL_2016-01-14-tweedekamer-9.u150	I keep having hesitations, because with that you give people a stamp or someone's limitation is such that they may or may not be helped. That raises all kinds of questions in the sense of: why, how do we come to such a thing? It's a problem that I haven't seen yet that it's really very big. I'm sticking to my hesitations.
ParlaMint-NL_2016-01-14-tweedekamer-9.u151	Your last interruption, Mrs Bergkamp.
ParlaMint-NL_2016-01-14-tweedekamer-9.u152	That's right. I think we had two. I am devoting my last interruption to this subject. It's okay in Belgium and France. I wonder why it is allowed in those countries. The Secretary of State says it's not a big deal. Research shows that 7% of people are unable to vote. I think that is quite a high percentage when it comes to democracy. By the way, I'm not saying it in my head: I think it's 7%.
ParlaMint-NL_2016-01-14-tweedekamer-9.u153	Then I think you're forgetting the possibility of an authorization. That can always be done: everyone can vote by means of an authorisation. Then you'll have help outside the voting booth.
ParlaMint-NL_2016-01-14-tweedekamer-9.u154	Something weird is happening. The Secretary of State refers to an authorization, as if intimidation is not possible, but is it not a matter of people voting themselves? I call once again on the Secretary of State to consider between now and next week's vote what adjustments to my amendment are needed so that he can embrace it.
ParlaMint-NL_2016-01-14-tweedekamer-9.u155	You're assuming this hasn't happened yet, but I've been thinking very extensively with you. See what discussions have taken place around elections, such as discussions on whether elections had gone well. This always raises the question of the extent to which there might have been within the voting room or the impression might have been given. I think that the Home Secretary would like to monitor this very closely so that this does not happen. This has led to the cabinet's position. Be assured that I will continue to think along with you if those possibilities exist. Mrs Dik-Faber asked me to discuss with the Secretary of State I and M the accessibility of bus transport and public transport services. Yeah, I want to do that. Mrs GroenLinks asked another question about all voting rooms.
ParlaMint-NL_2016-01-14-tweedekamer-9.u156	You mean Mrs. Voortman!
ParlaMint-NL_2016-01-14-tweedekamer-9.u157	Did I say "Mrs. GroenLinks"? Can you tell me how much respect I have for her, Mr. President? The prominent MP and prominent member of GroenLinks, Mrs Voortman, has asked why we cannot arrange for all voting rooms to be accessible, sometimes with simple adjustments. We do have a slightly different assessment of the answer to the question of whether the percentage of 100 has significant consequences. The UNG also points this out. Exact amounts are indeed not mentioned by the UNG; this would require further investigation. So it's still a trade-off. Mrs Voortman has also asked where this consideration is being made. I think it's good that it's made at local level. I also think that the 25% is not a minimum for nothing. That percentage is low, but at the same time I think it is a good thing that consideration is made at local level. What happens if the percentage has to be 100? Are we going to have so few polling stations that accessibility will be called into question again? That wouldn't be good. I agree. I also thought that we said that this balance could be made at local level. Then the choice can be made at local level which combination is best locally.
ParlaMint-NL_2016-01-14-tweedekamer-9.u158	We would then like to see, in principle, all voting rooms accessible. If that is not possible, there can always be a derogation from it, but it has to be explained why that cannot be done. We have also added the 'comply or explain' paragraph very emphatically. If there were too few polling stations, that should be possible.
ParlaMint-NL_2016-01-14-tweedekamer-9.u159	Perhaps this is a good example of something that can be arranged in the implementation plan: stimulate local plans to make the polling rooms as much as possible and fully accessible. Then you leave to the local level at what rate and to what extent that is achieved. We can take that point very well into account in the implementation plan.
ParlaMint-NL_2016-01-14-tweedekamer-9.u160	The cabinet's proposal does not say "as much as possible," but "at least 25%." I'm talking about as much as I can, that is, 100%. That's "as much as possible." If you can't, explain why not.
ParlaMint-NL_2016-01-14-tweedekamer-9.u161	Perhaps it would be a good idea to include this point explicitly in the implementation plan.
ParlaMint-NL_2016-01-14-tweedekamer-9.u162	Mr Van Dijk, your last interruption.
ParlaMint-NL_2016-01-14-tweedekamer-9.u163	Is this my last interruption? No, I don't see the clerk looking very strict.
ParlaMint-NL_2016-01-14-tweedekamer-9.u164	This is the second one, yes.
ParlaMint-NL_2016-01-14-tweedekamer-9.u165	It is an important subject, because it may also be a symbol. Here it starts again with setting a standard, namely that of "at least." The UN Convention is a human rights treaty and voting is a civil right. If we then start to bargain about whether 25% of the population is at least sufficient, we will not be able to get there. Then it starts with setting the standard. Everyone should be able to vote in a voting room. I think it's very practical, too. You take a map of your municipality and you see which locations are accessible. If there are not enough, then it is a good thing that there is an amendment from me with others to promote that accessibility. But it does start with setting a standard so that people can exercise their civil rights.
ParlaMint-NL_2016-01-14-tweedekamer-9.u166	Here too, we are very much in agreement on the objective we want to achieve, but here is a practical question: what consideration do you make when elections are to be held? Let us take the example of March next year, when we have such a thing. Then you face the question of how many polling rooms are accessible and what it means for the number of polling rooms and the accessibility of the polling rooms if we have to make more polling rooms accessible. That is a legitimate consideration, so that as many people as possible can vote with disabilities. That consideration is very reasonable, but, of course, you should aim to ensure that all voting rooms are accessible in general. At least you have to make sure there's at least a certain percentage. You should also see at what rate you can make them all accessible. I would almost say that this is exactly the approach advocated by the cabinet.
ParlaMint-NL_2016-01-14-tweedekamer-9.u167	That is exactly the approach that my party is opposed to. If you don't start asking where you want to come from, the road to it is also very free of obligation. Then it's just a matter of planning an approach. You first have to set the standard with each other, and that is that you just need to be able to vote and that society needs to be accessible. The road to it may be gradual and reasonable and "comply or explain," but you first start by saying what we as a modern society want to get out of. That's accessibility for all people.
ParlaMint-NL_2016-01-14-tweedekamer-9.u168	We differ zero percent on that. In the end, it's about what happens in practice. If we were to say that we have the 100% standard, but that it cannot be achieved, there will not be much difference in practice from the approach in which we aim to achieve a minimum of 25% and that we will grow to 100% through an implementation plan. I agree with Mr Van Dijk that it may be a good illustration that both approaches do not differ so much and that we may be able to bridge that gap. Mrs Bergkamp asked whether I recognise that travelling by train for people with disabilities is still complicated and what concrete steps can be taken to make public transport accessible. Yeah, I recognize that. Travelling by train for people with disabilities is not as easy as for people without disabilities. In a European perspective, the Netherlands has its national approach and its ambitious objective of self-accessibility at the forefront. The aim of Dutch public transport is to make this transport accessible gradually and for 100% independently. Indeed, this involves huge investments. More than EUR 660 million will be spent on railway stations alone until 2030. New trains purchased have been made accessible independently. At bus, tram and metro, major steps forward have also been taken in recent years. Half of the bus stops have been adapted and almost 70% of the journeys can be made accessible by bus. Almost a quarter of a billion was spent on adjustments to improve bus stops. But admitted, it's still not as easy as it is for people without disabilities. If it is not possible for people with disabilities to use ordinary public transport, we will arrange separate transport. That is indeed a next best solution, but it is necessary. The transport of people with disabilities is regulated at local level by the municipality and at upper regional level by Valys, as is well known. I think it is a good thing to enter into agreements on punctuality on the part of the carrier. Delays are never excluded, but even if the next is best, you need to make it as accessible and accessible as possible. Mrs Bergkamp also asked whether the problem of assistance dogs and taxis would be resolved if the Bergkamp/Keijzer amendment had been adopted. Yes, a taxi driver is then obliged to allow an assistance dog. Again, a taxi driver may refuse to do so only if the admission of an assistance dog is a disproportionate burden. We can hardly imagine that this situation will arise.
ParlaMint-NL_2016-01-14-tweedekamer-9.u169	This situation occurs at the assembly line, just in the city centre of The Hague, here on the corner, by Muslim men saying that a dog is haram and that's why it doesn't come in. What's the penalty?
ParlaMint-NL_2016-01-14-tweedekamer-9.u170	We're going to introduce this treaty. You asked if this is something that results from what we write in this law. My answer to that is yes. I cannot guarantee that there are no hiccups in the execution because people do not want or can keep to it. Of course, there are other things that need to be done. Maybe you'll take to force that this doesn't happen again another taxi, as you pointed out in that example.
ParlaMint-NL_2016-01-14-tweedekamer-9.u171	I don't think that's so strong. I am going to vote for this amendment with complete conviction. We know a dog is a different story after all. I asked the Secretary of State about the sanction. It is an amendment that is likely to be adopted. It'll be incorporated into the law, so it'll include a sanction.
ParlaMint-NL_2016-01-14-tweedekamer-9.u172	These signals may give rise to further measures, e.g. towards the taxi company. There may be conversations. The municipality can say in the permit policy that it has an impact on the permit if it occurs again. There is a range of possibilities to ensure the implementation of the Convention. I note that this sets a standard to ensure that there is access for assistance dogs. Mrs Agema asked about the cost of ratifying the Convention.
ParlaMint-NL_2016-01-14-tweedekamer-9.u173	I have one short question, Mr President. Is it also the case that a taxi driver who refuses someone with an assistance dog is punishable by discrimination?
ParlaMint-NL_2016-01-14-tweedekamer-9.u174	I should study that more closely. I'm not gonna make a statement about that right now.
ParlaMint-NL_2016-01-14-tweedekamer-9.u175	And then you're going to inform the Chamber about that before the votes, I suppose.
ParlaMint-NL_2016-01-14-tweedekamer-9.u176	If Mrs Keijzer appreciates it.
ParlaMint-NL_2016-01-14-tweedekamer-9.u177	She nods yes.
ParlaMint-NL_2016-01-14-tweedekamer-9.u178	Yes. Mrs Agema asked for a cost picture of the ratification of the Treaty. It has been discussed extensively in the context of the Convention. In drawing up all the legislative proposals, the Bureau carried out a financial and economic examination of the costs and benefits and, more specifically, the compliance costs of the extension of the various laws in the field of goods and services. On the basis of this study, it has been established that ex ante, in advance, is not possible to assess the costs and social impacts. This applies both to the advantages and to the disadvantages. On the other hand, there are no signs that this would lead to unacceptable effects. This is one of the reasons why the explanatory memorandum to the legislative proposal states that two years after the entry into force of the law, it will be considered whether or not this adoption has been justified. If that is the case, we will include it in the cabinet's programme on burden burdens.
ParlaMint-NL_2016-01-14-tweedekamer-9.u179	I thank the Secretary of State for the answer, but I didn't ask that. The cost picture of the treaty was well known: 0.5 billion to 5.5 billion. It was, I mean, something in that bandwidth. The Secretary of State was very clear just now: a quarter of a billion dollars to make public transport accessible. It seems to me that you can split that up in more areas. My question, however, was about the cost of the amendments. We always think that's very normal. I asked the Secretary of State in the first term and in the second period to take account of the amendments tabled by Members of Parliament, because I believe that we should treat everyone equally.
ParlaMint-NL_2016-01-14-tweedekamer-9.u180	I can imagine that Mrs Agema is asking that question, which is a bit of a difficulty in determining the costs and benefits of all these measures. The point is a little bit that you can't tell in general. This leads to changes in practice, which can be very diverse in nature. There are things that actually cost nothing at all, like putting down a shelf. Well, that's gonna cost a shelf. However, there are also costs associated with adapting a building. Of course, that's more expensive. In new buildings, that's different. The same is true of the amendments. The same analysis can therefore be applied to the amendments. The costs are therefore very dependent on the impact in practice. So it's only later that you can see what meaning this has. I can imagine, moreover, that this is a difficult consequence. We all see that. That is why we have gone so far as to deal with the legislative proposal itself. The reasoning behind the legislative proposal therefore also applies to the amendments.
ParlaMint-NL_2016-01-14-tweedekamer-9.u181	Mrs. Agema, your last question.
ParlaMint-NL_2016-01-14-tweedekamer-9.u182	I think the Secretary of State is wrong to go along with not treating him equally. Over the years I've seen the craziest cost tags on the table from all kinds of very smart calculators, at VWS, at Finance, you name it. If a quarter of the polling stations are now accessible, the good-looking heads must really be able to calculate what it costs, for example, to make 100% of the polling stations accessible. I think the Secretary of State doesn't want that and that he wants separate treatment, and I think that's wrong.
ParlaMint-NL_2016-01-14-tweedekamer-9.u183	I can imagine these comments, but even in making the polling stations accessible, it will be a simple slippery slope at one polling station and a staircase lift at the other polling station and at another polling station there will be a question as to whether voting should still take place in the same building. That means you can't properly calculate in advance what it's going to cost.
ParlaMint-NL_2016-01-14-tweedekamer-9.u184	Secretary of State, how are you doing answering the questions?
ParlaMint-NL_2016-01-14-tweedekamer-9.u185	I'm almost done, Mr. Chairman. Mrs Van Ark specifically asked whether the term "assistance dog" has a protected or legal meaning. That is not the case; this term has no specific legal meaning. It's a general term for dogs that help people in their daily lives. I have now come to the interpretation of the motions.
ParlaMint-NL_2016-01-14-tweedekamer-9.u186	Indeed, I asked that question in relation to the amendment on assistance dogs. Is this a special case of something already included in the law or is the assistance dog, the help dog and the guide dog already covered by the legislation proposed by the government? In that case, it would only be about making this category visible. That was actually the background to my question.
ParlaMint-NL_2016-01-14-tweedekamer-9.u187	This is a general, non-legal term for dogs that support people in their daily lives. So it's not a category.
ParlaMint-NL_2016-01-14-tweedekamer-9.u188	I am referring to the following: is this category implicit in the amendment of this law and does the amendment make this category explicit in that case? You could say that this is symbolic legislation; that's what I called it, a little unkind. Or does the amendment also add some substance to the legal status of people using an assistance dog? If I have to vote in favour or against of this amendment, I think that is very important in my deliberations.
ParlaMint-NL_2016-01-14-tweedekamer-9.u189	You should ask the proposers, but I think they indicated when submitting their amendment that the legislation already regulated accessibility as such, including for people using dogs. They further indicated that they aim to specify the cases of people with an assistance dog. So if you ask if this had already been arranged, my answer is: yes, but the proposers have asked for such a clarification.
ParlaMint-NL_2016-01-14-tweedekamer-9.u190	This is important to me, also because of my speech on legislation. I would therefore like to ask whether I can be told before the vote whether this changes the legal position. I am concerned with the simple question as to whether there is a difference in the legal position of people with a help dog who are refused or not. I would very much like to know.
ParlaMint-NL_2016-01-14-tweedekamer-9.u191	In view of your input and considerations, I can imagine that you would like to know that before the vote. So I'll do this. I'll move on to the motions. In the first motion, in part No. 37, the government is asked to send a review and review of all existing legislation and lower legislation to the Chamber. In our view, we have done so very comprehensively. We have indicated this in the explanatory statement. The adoption law and the implementing law set out in the article-by-article part of the explanatory memorandum by article what legislation or policy has been in the Netherlands in relevant areas. The legislation also contains provisions to ensure that the lower legislation complies with the obligations under the Convention. I therefore advise against this motion. In the motion in part No. 38 The government is asked to sign the optional protocol soon. I said in the debate that the ratification of the optional protocol is being considered in conjunction with two other complaints legal protocols. We can all see that this is a difficult process. Colleagues are still considering this. We cannot yet indicate a timetable for this. That's why I'm dissuading the motion. However, I have indicated that colleagues will inform the Chamber further on this matter. In the motion in part No. 39 the government is asked to include concrete objectives and a timetable in the plan of action. We have discussed this in great detail in the debate. I have made a number of commitments on this point. I consider this motion to be a policy support and leave it to the Chamber to decide. In the motion in part No. 40 The government is asked to encourage access to public sector information for people with disabilities. This was also the subject of an exchange of arguments in this debate. The Minister for Foreign Affairs is preparing legislation on this matter. He also made a covenant on accessibility with the government's suppliers. I'll leave the verdict on this motion to the Chamber. In the motion in part No. 41 the government is invited to consult with the national umbrella of the VACs. This is on the premises of my colleague for Wonen and Rijksdienst. I would like to respond to this motion in consultation with the Minister for WR. Moreover, the voluntary advisory committees are already looking at the accessibility and adaptability of housing. The Court will be informed of the outcome of this consultation before the summer recess. That is why I leave the motion to the Chamber. In the motion in part No. 42 The government is asked to draw up a plan of action for the Caribbean Netherlands on the basis of the results of the inventory. We believe that this motion supports the policy and leave it to the Chamber to decide. In the motion in part No. 43 the government is invited to include people with disabilities as part of the dialogue with partner countries. This is also part of the regular contacts the Foreign Minister has. My view is that this motion is a policy support, with the remark that the Minister for Foreign Affairs will inform the Chamber more about how that could be done. In the motion in part No. 44 the government is asked to examine the extent to which people with disabilities have representative or administrative functions and the obstacles they face. In the end, I have no objection to this motion, although I do have a bit of a question as to how we are going to investigate it. I ask the Chamber to give me time to clarify that. With that remark, I have no objection to the motion and leave the judgment to the Chamber. In the motion in part No. 45 the government is invited to make the debates in the Second and First Chambers followable for people who are deaf or hearing impaired. I tend to ask the President-in-Office to consult with the government on this, because I am not sure that the Chamber itself wants to do so. I assume that this will be the case if the Chamber makes a motion on this matter. Mr. Chairman. Could we agree to observe the right forms for a moment and come back with a letter after I have consulted the Bureau of the Chamber? Maybe it's okay to hold the motion until the consultation has taken place.
ParlaMint-NL_2016-01-14-tweedekamer-9.u192	I think that's a good idea.
ParlaMint-NL_2016-01-14-tweedekamer-9.u193	Then I'll hold the motion. I'm curious when the letter will come.
ParlaMint-NL_2016-01-14-tweedekamer-9.u194	At the request of Mrs Voortman, I propose her motion (33990, 33992, No. 45). That is what is decided.
ParlaMint-NL_2016-01-14-tweedekamer-9.u195	In the motion in part No. 46 the government is asked to take an exemplary role and to take measures to fulfil this role, including with regard to employment participation and (digital) accessibility. We believe that this motion supports the policy. We leave the judgment to the Chamber. In the motion in part No. 47 the government is invited, in addition to existing policies, to draw up a plan of approach to accessible public transport together with the public transport sector and experience experts. I would, of course, like to discuss this with Mr van I and Mr M. There is already a plan for accessible public transport. I can say that my colleague from I and M is prepared to give further information to the Chamber. My suggestion would be that I should ask colleagues from I and M to send a letter to the Chamber on this matter. I therefore ask the author to hold the motion.
ParlaMint-NL_2016-01-14-tweedekamer-9.u196	I am prepared to do so, but I had just asked when the letter would come as a result of the previous motion I had tabled. I would also like to know what that is about with this motion.
ParlaMint-NL_2016-01-14-tweedekamer-9.u197	In the first quarter. Is that what?
ParlaMint-NL_2016-01-14-tweedekamer-9.u198	Yes.
ParlaMint-NL_2016-01-14-tweedekamer-9.u199	At the request of Mrs Voortman, I propose her motion (33990, 33992, No. 47). That is what is decided.
ParlaMint-NL_2016-01-14-tweedekamer-9.u200	In the motion in part No. 48 the government is asked to ensure the involvement of experience experts in national policy, starting with the implementation of the UN Convention. That is a very important and relevant point. Involvement is in place, including in the spirit of the UN Convention. We see the motion as supporting policy and we leave it to the Chamber to decide. In the motion in part No. 49 the government is invited to invest responsibility for the implementation of the UN Convention with the Minister for the Interior. Although I am to a large extent tempted to leave the judgment on this motion to the Chamber, I would, in the end, like to advise against the motion.
ParlaMint-NL_2016-01-14-tweedekamer-9.u201	What is the reason to discourage the motion?
ParlaMint-NL_2016-01-14-tweedekamer-9.u202	There is already a coordinator of human rights in the Interior. That is the Minister of the Interior at ministerial level. The National Human Rights Action Plan is his responsibility. A specific responsibility, which has already been established in consultation with the Chamber, rests with the Secretary of State of VWS. We do not see any reason to change the distribution of responsibility in this respect. In the motion in part No. 51 The government is asked to pay attention to the importance of assistance dogs in the campaign. That's very important. With the remark that I would like to do so with the experience experts themselves, I leave the assessment of this motion to the Chamber. In the Bergkamp motion in part No. 51 the government is invited to make an effort to break the taboo on the sexuality experience and to consult with a number of organisations to this end. I promised in my letter that I would come up with a plan in mid-2016. I would like to draw up this in consultation with the organisations mentioned by the applicant. So I go in consultation with them. The motion is policy support, and I leave it to the Chamber to decide. In the Berkkamp/Voortman motion in part No. 16 the Government is invited to examine the resources needed by the Human Rights College. There is no reason for us to assume that we need more resources than we have already agreed with the Human Rights College. I don't think it's right to ask "what do you need?" Just to put it that way. For that reason, I would like to discourage the motion. In the Van der Staaij/Dik-Faber motion to item No. 53 the government is invited to examine whether there is any reason to change the policy on abortion for reasons of disability. I think it would be wise to do so on its own merits if there is reason to talk about legislation and regulations on abortion and termination of pregnancy, and not to re-examine this in the light of the Treaty. That's why I'm dissuading the motion.
ParlaMint-NL_2016-01-14-tweedekamer-9.u203	If the Otwin Van Dijk amendment is adopted, the UN Convention will change significantly. The Secretary of State is against the adoption of the amendment. My question to him is what he's going to do.
ParlaMint-NL_2016-01-14-tweedekamer-9.u204	I shall, of course, discuss this in the Cabinet, taking into account all the arguments that have been exchanged in this Chamber, including the motives of the proposers.
ParlaMint-NL_2016-01-14-tweedekamer-9.u205	That's a very clever answer from the Secretary of State...
ParlaMint-NL_2016-01-14-tweedekamer-9.u206	I think that the aid dog in the public gallery that is barking now agrees with that.
ParlaMint-NL_2016-01-14-tweedekamer-9.u207	I am glad that this is confirmed, Mr President.
ParlaMint-NL_2016-01-14-tweedekamer-9.u208	Does the Secretary of State go to the First Chamber, yes or no?
