ParlaMint-NL_2016-06-15-tweedekamer-10.u1	I welcome the Minister of Security and Justice. I call Mr Pechtold on behalf of D66.
ParlaMint-NL_2016-06-15-tweedekamer-10.u270	I'd like to know how far you're going with answering all the questions.
ParlaMint-NL_2016-06-15-tweedekamer-10.u271	I have had so many interruptions that I have answered all the questions, except those of Mr Pechtold. I'll move it to the second term.
ParlaMint-NL_2016-06-15-tweedekamer-10.u272	A lot of questions haven't been answered. Let me just talk about justice. Mr Klaver was right, of course. The Minister is throwing the equity and equalization reserve back into one heap, while these are two very different things. The equalization reserve is intended to cope with business fluctuations and not to exhaust them. That is what the Minister has been doing for years. The Court of Auditors established this in the latest report. Own funds have fallen, fallen, fallen. Now it's because of a coincidence that we just didn't get into the red numbers. What kind of financially irresponsible behaviour is this to impose on its own reserves and to impose a financial problem on subsequent Cabinets? Because it's that simple.
ParlaMint-NL_2016-06-15-tweedekamer-10.u273	Let me read out the figures for Mr Van Nispen. In 2013, equity was 29 million, in 2014 it was 23 million and in 2015 it had increased to 24 million. So I cannot support Mr Van Nispen's conclusion. The same applies to the equalization account. It amounted to 52 million in 2013 and 58 million in 2014. It thus increased in 2014 and slightly decreased to 41 million in 2015. This means that the total reserves in the case-law amount to 65 million, compared to 81 million in 2014. There is therefore no basis for Mr Van Nispen's comments on this.
ParlaMint-NL_2016-06-15-tweedekamer-10.u274	The Minister is now directly opposed to the report of the General Court which was presented to us last. Too bad he doesn't seem to know that. Another conclusion from that report is that since 2010 the VVD came into power in the Ministry of Security and Justice............................................................................................................................................................................................ The price is being negotiated, but the number of cases is rolling out of the model. Year after year, the Minister chooses not to implement it according to the rules of the law. In doing so, he saddles justice with a financial problem. My question is again why the Minister does that.
ParlaMint-NL_2016-06-15-tweedekamer-10.u275	That is what the Minister does because it appears year after year that last year too was the case, again, that the estimates are not necessarily equal to the number of cases that are being carried out. For example, over the past year we were able to add money to the general reserve, own funds. It's as simple as that. The Minister responsible for justice is, of course, free to make good agreements with the PxQ agreements, knowing that if there are shortages at the end of the day, he will have to meet them. There's no other way.
ParlaMint-NL_2016-06-15-tweedekamer-10.u276	Finally, Mr Van Nispen.
ParlaMint-NL_2016-06-15-tweedekamer-10.u277	I totally disagree with the Minister on this point. Another unanswered question from me concerns this morning's article in De Telegraaf, which contained figures: an additional cut of 30 million on the police that is threatening, an additional cut of 3 million on the Public Prosecutor's Office that is threatening and an additional cut of 5.5 million on the Council for justice. The Minister says that this is only a little philosophic and that we will see it at the end of the year. However, I am getting information that this is not the whole story. Organisations can be used for this type of money throughout the year. These organisations are therefore being cut back during the year. I demand clarification on this tonight. I want to know how these cuts relate to the whole story about how we're gonna solve problems and we're gonna see it by the end of the year. I don't think that can wait.
ParlaMint-NL_2016-06-15-tweedekamer-10.u278	Just so we're clear, how does it work in the funding country of the government again? That works like this. We have the spring note, in which you can cover expected setbacks for the year 2016, in this particular case. You have the autumn note, in which the view you have, the overall picture, is already a bit better. You can take measures for the same year, in this case 2016. Then you have the budget for the years 2017 and beyond. That's how it works. If there were any setbacks after the first quarter of the year, there was the discussion about the issue of how to solve it. Of course, that's what they're looking at. I have just said that there are no cuts in 2016 and I am sticking to them. I have already promised Mr Van Nispen that. Furthermore, I do not think it is appropriate to discuss internal notes. After all, we agreed to do so on the basis of the spring note, the autumn note and the budget.
ParlaMint-NL_2016-06-15-tweedekamer-10.u279	Thank you. Mr. Van Nispen.
ParlaMint-NL_2016-06-15-tweedekamer-10.u280	The Minister therefore denies that organisations can be cut back during the year. So that's not right at all? You can't?
ParlaMint-NL_2016-06-15-tweedekamer-10.u281	No, of course you can talk about this with each other during the year.That is perfectly logical.But the question is then what that reflects in. This ultimately reflects in the spring note or in the autumn note, especially in the autumn note. In the end, the annual report is accountable. Those are all moments when you can debate it as a Chamber. Of course, the Ministry is free to organise the financing as it sees fit.
ParlaMint-NL_2016-06-15-tweedekamer-10.u282	Thank you.
ParlaMint-NL_2016-06-15-tweedekamer-10.u283	I've answered all the questions, Mr. Chairman.
ParlaMint-NL_2016-06-15-tweedekamer-10.u284	Yes. Mr. Buma.
ParlaMint-NL_2016-06-15-tweedekamer-10.u285	There's been another question about the police. It was $50 million twice. I understand that the Minister has indeed said that there is a police deficit of 50 million. Is that right?
ParlaMint-NL_2016-06-15-tweedekamer-10.u286	We have made an additional investment of EUR 188 million in total in the budget and in the Spring paper. This means that there is still a difference of 50 million compared to the research we have carried out. I have agreed with the national police that she will ensure that the 50 million will not be realized in terms of direction. If that is the case, then the reserve, the police's own resources, will provide enough room to absorb it if necessary. We hope that this is not the case, but if it is, if part of it is to be taken up, it can be done within the general reserve.
ParlaMint-NL_2016-06-15-tweedekamer-10.u287	As to whether you can do that, you can certainly disagree. Perhaps it is a good thing that this will be looked at later. You can cut what you want, but where is the limit of responsible shortening on own funds? Indeed, own funds are not meant for everything either.
ParlaMint-NL_2016-06-15-tweedekamer-10.u288	Allow me, Mr. Chairman. There have been very clear agreements on this. At some point it is so that the equity of an organization like the national police under a certain... I thought it was 1.5%, but that I hold for a while for good, because I do not know exactly. But that means that a recovery plan should be submitted. None of us want that, of course. That is why this will also be carefully looked at. But the deal with the national police is that they will cover that amount of 50 million by means of guidance in a responsible way. For that reason, with the loss of that equity, without risk of recovery plans, I dare to take that responsibility.
ParlaMint-NL_2016-06-15-tweedekamer-10.u289	Thank you for that answer. It is important for the Chamber to be clear about this if it were to happen in due course. What I find intriguing is 'control measures for EUR 50 million', because that is quite an amount. So what are the steering measures that should yield EUR 50 million?
ParlaMint-NL_2016-06-15-tweedekamer-10.u290	Maybe it's just as good for the perspective to say this. The total budget of the national police is 5 billion. The steering problem is 50 million. I'm always trying to make that very simple for myself, but maybe that's because I'm a lawyer. This means that a €5,000 problem has to be solved at €50. Those are the proportions. The police have been asked to contribute to this. The way she does it, she's with the police. The Chief Constable's just gonna have to make policy on that. He doesn't have to do that today, but he has to make sure he gets close to 50 million by the end of the year. He must do so responsibly, without being forced to resign, without affecting the primary basis for police care, because she has made these agreements explicitly with the Chamber and with me. Within a budget of 5 billion, that is a task, but it is not impossible.
ParlaMint-NL_2016-06-15-tweedekamer-10.u291	Perhaps this is part of the big difference of opinion with the Chamber, because while the Minister was always talking about money, he now says: 50 million is being cut and I do not know what it is. That is not enough, because he can say that 50 million is not as bad as 5 billion, but he also knows that most of the 5 billion is simply fixed. You can sell your car and sell your boat, but most of it is just pay. So there's always just a little bit you can cut back on. The minister doesn't say there's going to be cuts. So that's not gonna happen. There will be "control measures." I want to know what these steering measures are, because if the Minister had taken them, he would have really written a 50 million cut in a regular letter. I suppose he already knows what the police are thinking about.
ParlaMint-NL_2016-06-15-tweedekamer-10.u292	No, that's really up to the Chief Constable himself. He has a responsibility of his own. I have said the following: Mr Buma does not have to worry about that. If that were not possible, then the equity would be sufficient to absorb it. The task lies with the Chief Constable, who also accepted it, to work on it by means of control, for example by countering overtime. Overtime is a big post in the national police. If you improve your internal organization on a number of points, there will probably be less overtime. You can think of the picket fees, you can think of the hiring of externals, where there are quite a lot of them. Those are all possibilities, but it's up to the Chief Constable to do that. That's the system we chose with the national police.
ParlaMint-NL_2016-06-15-tweedekamer-10.u293	I do find it interesting that...
ParlaMint-NL_2016-06-15-tweedekamer-10.u294	Mr Buma, you also have a second term.
ParlaMint-NL_2016-06-15-tweedekamer-10.u295	I'm sure I'm gonna take advantage of that, but the Minister is now talking about picketing fees. You can reduce it, but I think that's what's stopped. So I'm not sure that's wise. Can I ask the Minister to tell the Chamber, for the supplementary budget, how the 50 million additional cuts in the police force will be completed?
ParlaMint-NL_2016-06-15-tweedekamer-10.u296	I have to think about that, but there is no objection, of course, in principle. If that's what the Chamber is asking, I'll be happy to meet it when it's known by then.
ParlaMint-NL_2016-06-15-tweedekamer-10.u297	This brings us to the end of the government's first term. I think there's a need for a second term. We're just gonna keep going. Speaking time is two minutes including tabling motions.
ParlaMint-NL_2016-06-15-tweedekamer-10.u298	Mr. Chairman. When we were here in November, we all had the same picture. The minister had gotten extra money for next year, but we all knew that we couldn't see exactly what was needed. We in the Chamber do not just go tens, let alone hundreds of millions to a department if that is not necessary. In the end, this debate led the Minister himself to say: I understood the Chamber correctly when Mr Pechtold said that he expected me to be a combative stance on that budget. What happened? 49 million for the police, for refugees. Very important. But actually, the conclusion is that we were exactly right at the time. There was €0 too much, there was €0 too little. That can't be true! It can't be true that we have to establish this now that we've been so many months and we're talking about a department like this with 100,000 people that billions of people are dealing with. That's what the Minister is trying to tell us. We have done our homework as an opposition: SGP, SP, D66, GroenLinks, all sorts of things together. We have listened carefully and said to those foremen: don't complain, what exactly is needed? 150 to 200 million for this year. We'd like that. I'm about to file a motion on behalf of six parties. I would, of course, like to answer my question about the vouchers. I still think that's really weird. The Minister did put the police to work, because if you drive off the Lange Vijverberg, there will be a drinking control. So everything is done immediately to get it from us. Holy shit! Yes, decisive minister. But that doesn't pay 40 million. I'd like an answer right away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in 2016 there were budgetary deficits and implementation problems in the police, the Public Prosecutor's Office, the case law and the NFI, thereby jeopardising the performance of the security tasks of those authorities;]] [[calls on the Government to add EUR 200 million in the supplementary budget to the budget of Security and Justice, which will enable the police, the Public Prosecutor's Office, the judiciary and the NFI to be repaired in 2016,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Pechtold, Mr Van Haersma Buma, Mr Roemer, Mr Segers, Mr Klaver and Mr Van der Staaij.]] [[She's getting No. kst-34300-94]]
ParlaMint-NL_2016-06-15-tweedekamer-10.u299	Mr President, with that you have a majority under this motion, or at least sufficient support for the motion.
ParlaMint-NL_2016-06-15-tweedekamer-10.u300	Mr. Chairman. This debate had a difficult start on a bad statement by the Minister of Finance, and it was difficult to get this minister to really stand in front of his people. The reason for this debate was a broken promise, the promise to the opposition to close gaps. That promise has not been fulfilled. In the end, however, this is not about political handshakes or long toes with the opposition, but about the rule of law, about citizens and about people who stand firm for our security. The promise to them is broken. That is why the motion has just been tabled by Mr Pechtold and that is why I warmly signed it.
ParlaMint-NL_2016-06-15-tweedekamer-10.u301	Mr. Chairman. I cannot possibly say that I am starting with an enlightened mind on this second term, because the Minister is very good at euphemisms, but much less good at naming the problems that exist. I have said from the outset that it is a point when the Minister speaks in words which the Chamber knows through its own discussions that it is not really the case, but it is much worse. It is pulling and it is pushing, and even the question of whether a finance minister speaks derogatory words about the services on behalf of this minister cannot be answered. That is why the beginning of this debate was too long for the Minister, but it was typical of the way it went. I don't think that's a pretty picture. A cabinet is taking action. A cabinet stands for its services and must therefore stand up for these services as a whole and not describe them as beggars. There remain a number of other issues, such as the point I discussed with the Minister at the end. Where the minister always talks about additional investments in police, justice and other services, the Dutchman will notice at the end of the year that there have been steering measures with the police that were nothing but austerity. 50 million euros will be cut on the police this year, and the Dutchman will notice that. If the Minister is asked what that means, he says: I do not know and I do not, because that is up to the Chief Constable. It's like the chief of police is making up 50 million to cough up. The Minister was vague in the commitment that I want more concretely, that the Chamber has that insight for the discussion of the supplementary budget. On June 29th there is an AO about the police. That's a good time to discuss this. At the DA's office, there's a deficit of 14 million euros. I understand the Minister so much that he's gonna take care of that. If he's not, he should say so. So we know that there are millions of savings to be made there too. With all these words it remains that there is an irresponsible pressure on the judicial organisation and that this minister is responsible for that. For this reason, I have co-signed Mr Pechtold's motion, which seeks to help this Minister to get his services in order.
ParlaMint-NL_2016-06-15-tweedekamer-10.u302	Madam President. I thank the Minister for replying, but I had to remember some time ago, well, actually a long time ago: 5 April 1566 to be precise. Then a number of nobles offered a petition to Margaret of Parma, and it was said to her, "Do not be afraid, madam, they are mere beggars." Yet that was a serious plea to take, and it was not wise to put those people as beggars. I do not want to qualify the opposition in this Chamber directly as nobles, let us not exaggerate either, but the motion tabled by Mr Pechtold, which I have signed with him, is in fact a petition. That motion shows that the water is on the lips of the many services and that, after all the acid that has come from the Public Prosecutor's Office, the judiciary and the police, it is really time to bring it up now and not wait until next year's budgets. That is why I wholeheartedly support this motion.
ParlaMint-NL_2016-06-15-tweedekamer-10.u303	Those beggars were the "gueux," the geuzen. That will certainly be known to a minister who comes from the Leiden area, where at some point the place was flooded. Warmond's castle was flooded to make sure that the geuzen finally got what they wanted. That's how the story goes on. Those beggars did win.
ParlaMint-NL_2016-06-15-tweedekamer-10.u304	Exactly. So you saw that the negative eventually turned into a positive explanation. Maybe the Minister can also do an act of humiliation by ultimately resisting too many financial restrictions and working for something more air and space, which can make the whole country feel better. I see the Minister already has feelings for that. And I'd say we're just gonna go through with it.
ParlaMint-NL_2016-06-15-tweedekamer-10.u305	Mr. Chairman. The gaps in the budget are not closed. The police have to cut 50 million. On provincial roads there will be checks that are actually unnecessary. That's the result of tonight. This Minister has done very, very little. This minister dares not distance himself from the Minister of Finance. He's too weak for that. He wouldn't dare, and I'm very disappointed. Perhaps the Minister could answer the following question: does this have to do with the weak position of the Minister? The Minister has been through the dust four or five times and has had to apologize. Does that have to do with the fact that he has managed so little and has not dared to distance himself from his Minister of Finance? Perhaps the Minister could comment on that in the second term.
ParlaMint-NL_2016-06-15-tweedekamer-10.u306	Mr. Chairman. I believe that we have had a strong debate with each other in which three organisations, in particular, passed through: the police, the Public Prosecutor's Office and the judiciary. I have listened carefully to the Minister and I have noticed that there is a minister standing up for these organisations. He does not look away from the concerns of course about funding, because we are talking about investments in the security chain. I also see a minister who clearly states: I am keeping that concern in order. That's what it's about when we talk about security in this country. I must say that I expect nothing less from this minister. I have another point. I had an interrupting debate with Mr Pechtold on the fines. I had that little debate to the best of my knowledge and ability, but when I got back to my seat, the spokesperson for traffic looked very closely at me and said, "Foort, you were just a little too legal in your words. I have tried to give a clear answer to Mr Pechtold's question as to whether the VVD wants to increase the fines in order to clean up the deficits. I thought I was being clear, but I should have said much more clearly: no, we don't; n-e-e.
ParlaMint-NL_2016-06-15-tweedekamer-10.u307	There were just such long stories and now there is a no, while the Minister has just announced that there is 40 million deficit. He finds 14 million in the way we're about to hear, and 26 million comes from traffic enforcement measures. That's also in the spring note. We've just heard that the number of road deaths on the provincial roads has been more than halved. That's incredible. That's incredible. Of course, the 40 million or 26 million on all these N-roads hardly gets together in six months. The Spring Paper clearly contains announcements that relate to either higher fines or more fines. This must be done through coupon quotas and so they send people out and say: go and take alcohol tests from MPs who still work after midnight.
ParlaMint-NL_2016-06-15-tweedekamer-10.u308	The Minister has to take care of this. That's what the Minister was appointed for. It's as simple as that in the end. Your question in the previous debate was: are you going to raise fines? No, we're not going to raise fines to clear those deficits.
ParlaMint-NL_2016-06-15-tweedekamer-10.u309	This tough talk is probably meant to reduce the feelings. You're gonna raise $26 million in fines. That seems strange to me, because the administrative costs are already much higher than what costs should be covered. We have already increased the fines by 1.1% on 1 January. Now at least 26 but actually 40 million have to come out in six months. This vague talk from the first term does not relate to the tough talk now and certainly not to what the Minister has just said and written in the spring note.
ParlaMint-NL_2016-06-15-tweedekamer-10.u310	We're going through a little repetition here. I have tried in my second term to meet Mr Pechtold, perhaps even to reassure him by giving a much clearer answer to the question he has asked me. I thought I could do that again now.
ParlaMint-NL_2016-06-15-tweedekamer-10.u311	Mr. Chairman. I thank the Minister for the answers. The PvdA doesn't think otherwise than in the first term. I can repeat it again, but that doesn't make much sense. I'd like to leave it at that. Perhaps one more comment: it is going to take another six months, but the money must be there.
ParlaMint-NL_2016-06-15-tweedekamer-10.u312	Mr. Chairman. This is a very disappointing debate in every respect, but a few things have become painfully clear. Firstly, it has become painfully clear that Minister Dijsselbloem is in charge and not this minister. First of all, this minister gets nothing for his services and then Minister Dijsselbloem indecently expresses himself about the begging of the police and the judiciary that he is a little done with. This minister is afraid to distance himself from that. So Minister Dijsselbloem is the boss. It is also clear that this minister is telling half-truths. We get the good news show, but the new cuts are all philosophic and not the issue. About the 15 million for the prosecutor who has disappeared, the minister says that none of this is going to happen; they can still invest it. There are other cuts to this, and the Minister must be honest about that. It is also clear that promises have been broken and that our trust has been embarrassed and that the police, the Public Prosecutor's Office, the Dutch Forensic Institute and the justice system continue to have major problems. It is also clear that the Minister is having his services cannibalized. The Minister says: there is no shortage, because we have agreed that they will solve it; they have to make reservations. That's not investing. It's hollowing out. That is a form of plunder policy that I can't imagine at all, which at least I don't feel at home with. Partly on behalf of the SP Group, a motion has been tabled asking the government to do what is necessary for the police, the public prosecutor, the NFI and the judiciary for this year. I can't imagine the Minister dissuading this motion. Nor can I imagine that the VVD and the PvdA will not support this motion on Tuesday. If that motion doesn't make it, we're gonna have a new problem.
ParlaMint-NL_2016-06-15-tweedekamer-10.u313	I have a question. The SP has debated and debated the substance of the matter, but under the motion I see the name of Mr Roemer. Did the SP just have all the judgment ready in advance?
ParlaMint-NL_2016-06-15-tweedekamer-10.u314	I would like to repeat that I am replacing my group chairman because he cannot be here today because of circumstances. He would have done the debate. During the debate, a motion was tabled on my desk and, despite the circumstances, I had contact with my group chairman on whether he could co-sign that motion and indeed it did.
ParlaMint-NL_2016-06-15-tweedekamer-10.u315	Excuse me, you spoke on behalf of Roemer. Then it's settled.
ParlaMint-NL_2016-06-15-tweedekamer-10.u316	I spoke on my own behalf. I spoke on behalf of the SP in this debate this evening. It is not unusual for a Member of Parliament other than the spokesperson who is here to sign a motion. In this case, that was my group chairman, who himself faced the motion because he turned out to be able to assess it.
ParlaMint-NL_2016-06-15-tweedekamer-10.u317	That's right. Thank you. I now give the floor to Mr Klaver.
ParlaMint-NL_2016-06-15-tweedekamer-10.u318	Mr. Chairman. The debate started hard, but we are going to a fairly smooth end. What I said when I was interrupting, and what I want to repeat here, is that the Minister really did not understand if he dismissed the beginning of the debate as a game of words. It's not that. This is about unity of government policy and above all about what you radiate as a cabinet. He chooses his words in such a way that he actually tries to defend the Minister of Finance instead of the people he stands for. I don't care if he says he's standing in front of his people, but he's radiating that, too. Then the Minister can shake no and in the meantime snap, or whatever he does, but that's what's going on. Then he just didn't understand. I would like to join with Mr Buma, who had an interesting debate on interruption, which highlighted the beautiful term 'control measures'. 50 million of steering measures would be found, which means that all kinds of money will be found in the police. That is almost magical and I am very curious about that. I would therefore like to join in the call for the Chamber to be associated with what kind of steering measures these are, please, in order to deal with the supplementary budget. Let me also say from this point of view that I think it is unwise to use the equalization reserve to close gaps in the budget in general. That's not what it's for. If the Minister wishes to do so, I recommend that he revise the whole system and funding of justice and consider whether everything should not be thrown into one big pile. If you can just draw from every pot at the moment you lack money, you might as well turn it into a big reserve. Finally, I would like to say that we have co-signed Mr Pechtold's motion with conviction. That's where I started my contribution. This is not a debate between the left and the right. This should not be a debate between the opposition and coalition. This is not an ideological debate on whether more or less money should be spent on security. This is about continuity. This is about good governance. You cannot say that next year there will be more money while there are now major problems within the security chain. Now you have to fix it. The opposition is prepared to do so. All we need now is the coalition.
ParlaMint-NL_2016-06-15-tweedekamer-10.u319	Madam President. To be honest, I found the debate rather embarrassing. In the first half hour of his term, the Minister of Security and Justice has shown that he is totally unfit for his duties; I cannot put it any other way. Three chamber motions were adopted last November for additional money to the entire security chain, but all three were not carried out. In itself, it is a sign and a licence of inability to deal with the people's representatives in this way. In addition, as some colleagues have already said, the Minister leaves his own people in the cold and in the cold by not removing the loaded word 'beggars' from his colleague in Finance. That's unheard of. I will not table a motion of censure against him every week, but let him be told that he has once again demonstrated that he is totally unfit for his duties. He is also unfit because he eventually wants to spend an extra 49 million euros on the police in the spring note and, as I said in my first term, 1.8 billion for asylum, just in 2016. 1.8 billion for asylum: from additional legal aid for asylum seekers up to and including normal assistance for asylum seekers, to healthcare expenditure for asylum seekers, as you know. It can't go on while the policemen and the people in the justice department have to take the money. Hence, on my part, a motion. Contrary to the motion tabled by my fellow Members, this is a covered motion, which reads as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to use EUR 250 million of the extra money spent on asylum reception in 2016 for investments in the security chain,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Wilders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34300-VI-95]]
ParlaMint-NL_2016-06-15-tweedekamer-10.u320	This brings us to the end of the second term of office.
ParlaMint-NL_2016-06-15-tweedekamer-10.u321	Mr. Chairman. I thank the spokesmen for their second term contribution. I have listened carefully to the Chamber and I note that I have not been able to remove the concerns of the Chamber in all areas. I appreciate that this concern has been brought to the fore. For me, the policy that I used a year ago to ensure that my budget is made a structural contribution, as I managed to do with the 2016 budget, the 2016 Spring Note, and is expected to be the 2017 Millions Note and beyond.
ParlaMint-NL_2016-06-15-tweedekamer-10.u322	The Minister thinks it is an important debate. A lot of changes have been made and so on. We get all these fine words and then the Minister says that he will make a structural commitment to them. But not right now, not in 2016. Will the Minister comment on that image I made? It's a billion-dollar budget. It's 100,000 people who work there. In the autumn, in November, we found that there are problems that need to be addressed. We have not yet been able to determine exactly how much was involved. Today's conclusion is that 49 million is needed for the police when it comes to refugees, and otherwise it is exactly right. There's really no need for extras. How is that possible? Surely that is not possible if one example after another is given here? This afternoon, the minister had to say in a general consultation that 22 men are leaving the NFI. That is a small part of the reality that we then zoom in on. Then you can't say, "Wait till the fall"? At the AIVD we've already seen that people leave now, that they're going to apply, that they don't trust it and that they think it's being postponed? The minister should not rule after his period, he must rule tíjdens his period.
ParlaMint-NL_2016-06-15-tweedekamer-10.u323	This comment by Mr Pechtold does not, of course, do justice to the commitment I have made over the past year. The problems have never been covered by me. With regard to the three organisations for which I have specific responsibility and which were the subject of this debate, I have taken very careful care to ensure that the problem is understood. I have put forward solutions to this with the support of the cabinet. I have already managed to achieve structural reinforcements for my budget at two times. And I assume that I will continue to make the same effort with the support of the Chamber for the Millions Note. That is what the Chamber can expect of me as the Minister responsible.
ParlaMint-NL_2016-06-15-tweedekamer-10.u324	If money comes to the Millions note, I think that's fantastic, then we won't do anything bad, but it's election money if you push it out for you and not solve the problems now. We in the Chamber have a problem with that. The Minister cannot beat his chest for what he has achieved, because there are gaps in his budget now. There are problems right now, whether you're looking at the NFI or those fines or at the Rotterdam parquet with the 1,000 cases that have been there for over a year. Everywhere you lift something... I'm not even talking about all this stuff about receipts, about pictures, about professors, about all these incidents. As a major part of the opposition, we have said: we are not going to support a motion of censure, we are not going to follow that every time, because we want to place the weight on the 2016 Spring Paper. Then the final year in which this minister has his responsibility will begin. As a chamber, we believe that we need to solve the problems there. And now the Minister says: there is really no need for that; Mr Dijkhoff gets money because of the refugees, but I am actually very satisfied and everyone behind me must be very satisfied with that. There's absenteeism in the police, there's this, there's that, the opposition can give 100 examples, but the minister doesn't do anything.
ParlaMint-NL_2016-06-15-tweedekamer-10.u325	Mr Pechtold asked for the debate to be repeated. As far as all these organisations are concerned, I have indicated exactly how I am in it, what steps I am taking and what studies I have carried out in order to overcome the problem and how I have taken the wishes and the organisations seriously. I work with the organizations to solve the problems. That has also been the whole line of the debate. Mr Pechtold asked for a more detailed explanation of the policy objectives and the direction of the fines to be resolved in the first period. On 21 April this year, Mr Schultz van Haegen informed the Chamber of the increase in the number of road deaths on provincial roads. The target was a maximum of 500 deaths by 2020. Unfortunately, in 2015, the number of road deaths increased to 621 and there were 51 more than in 2014. That led me to start that conversation with the provinces and the municipalities together to see what we can do to achieve the policy goal. It appears that this has an impact on my budget. I will explain to Mr Pechtold what is going on. A total solution has been found for an expected deficit of 40 million on fines. 14 million of these have been contributed by the Minister of Finance, the same minister who has already been sidelined a few times today. For 25 million additional measures are being taken, such as additional enforcement in dangerous areas and additional deployment of teams of traffic on infringements, where security makes this necessary. 1 million has been found in the regular indexing, which Mr Pechtold has already talked about.
ParlaMint-NL_2016-06-15-tweedekamer-10.u326	I just think it's getting faint. I'm the chairman of the political group. I am going to hold a general debate with the Minister. You look into a case before that, and it just turns out it doesn't add up. In 2003, there were 249 people who were killed on provincial roads. That number has fallen and last year's exact figure......................................................................................................................................................................................................................................................... So it's more than halved. Yes, the number of road deaths has indeed increased where we are allowed to drive 130 km/h. On those trajectories, it's even tripled to around 40. That talk about provincial roads doesn't add up! If it's a problem, it's not too fast, but it's a lack of a middle-breed. That I'm up to that level... but it's distraught that I have to bring the Minister's story back to nothing. No, the story is he's short $40 million on the fines and he's got to cover that hole this year. And we're probably not gonna do that where they're driving 130 km/h, but on the roads where the number of road deaths is falling and where a mid-term is needed.
ParlaMint-NL_2016-06-15-tweedekamer-10.u327	We do this in all places where road safety makes it necessary. I now come to the two questions put by Mr Buma. His first question was when it became clear to the Court how the problem which the Public Prosecutor pointed out to me would be resolved. That's gonna be in the Navy's notebook. I'll be happy to answer for it. I will inform the Chamber, in accordance with Mr Buma's request, of the approach the Chief Constable has proposed for the 50 million. I will therefore pay attention to the agreements on how the Chief Constable relates to the Minister in this area.
ParlaMint-NL_2016-06-15-tweedekamer-10.u328	When will that be notified to the Chamber?
ParlaMint-NL_2016-06-15-tweedekamer-10.u329	You asked if you could do that for the supplementary budget. Then it should be there.
ParlaMint-NL_2016-06-15-tweedekamer-10.u330	Thank you very much. The $14 million cut on the state's attorney's office. Doesn't this year's Navy bill have to be cut by the state's attorney's office to get that 14 million?
ParlaMint-NL_2016-06-15-tweedekamer-10.u331	For that, I have to refer to the Navy's note. I am talking about this and the outcomes and consequences of those talks are reflected in the Navy's Note. It is, of course, my commitment not to cut back.
ParlaMint-NL_2016-06-15-tweedekamer-10.u332	But that's very late in the year. The year's about over, and the DA's got nowhere to go. The same goes for this too, namely that we are halfway through the year and that the public prosecutor should know whether or not to cough up 14 million. The Minister, who stands before his people, will want that clear too.
ParlaMint-NL_2016-06-15-tweedekamer-10.u333	Of course. That's why I'm doing these interviews intensively with the D.A.'s office.
ParlaMint-NL_2016-06-15-tweedekamer-10.u334	I would like to know what it is going to be or when it will come to the Chamber for the supplementary budget. The Autumn note will be December and then you only have a month left to cough up that 14 million if it turns out to be necessary. You can't do that, can you?
ParlaMint-NL_2016-06-15-tweedekamer-10.u335	No, the reflection of the conversations will take place in the Autumn Note. If there is any reason to report on it earlier, I will certainly not fail to do so. However, we must abide by the agreements on funding and the way in which we report on them. The commitment of me and the D.A. is clear: we need to resolve the problem that has been identified quickly.
ParlaMint-NL_2016-06-15-tweedekamer-10.u336	Finally, Mr Buma.
ParlaMint-NL_2016-06-15-tweedekamer-10.u337	One more question about this. 14 million doesn't seem that much, but it's a lot for the D.A. If the D.A. has to cough up 14 million, for example, steering measures, that's 14 million it has to cough up itself. If you don't, that club can keep his people in service. It's as simple as that. This problem is now being identified. Then we can discuss what we're going to do in a month, right? That's not such a crazy question, is it? This minister doesn't need until December, does he?
ParlaMint-NL_2016-06-15-tweedekamer-10.u338	No, but I'd like to stick to the way we report to each other about the finances. The Navy's note is the right place for that. As I have already said, there will be no redundancies because this is not necessary. I would like to point out that 14 million is indeed a great deal for the Public Prosecutor's Office, although the total budget is over 400 million. However, given the structure in which Mr Buma was well introduced, that is a lot. That is why we need to speak about it properly, and I do.
ParlaMint-NL_2016-06-15-tweedekamer-10.u339	For our part, at least we shall come back to the Spring paper.
ParlaMint-NL_2016-06-15-tweedekamer-10.u340	I'd like to join in on this. What kind of weird business is this? We have not even dealt with the Spring paper yet. The supplementary budget laws have not yet been adopted, rejected, amended or whatever. So there's a regular time halfway through this year to look at the financial issues at the Public Prosecutor's Office. I know that this figure is already more than 14 million; I think that figure is already out of date. We are not even talking about the threat of austerity that emerged from this morning's news in De Telegraaf. So we have not even dealt with the Spring Note yet, and the Minister is talking about the Autumn Note. How is that possible?
ParlaMint-NL_2016-06-15-tweedekamer-10.u341	Those are the agreements we made with each other. That's how the system works. We have good agreements on this, and we will continue to do so.
