ParlaMint-NL_2016-11-02-tweedekamer-7.u1	We'll continue with the first term of the Chamber. I call Mr Rog of the CDA.
ParlaMint-NL_2016-11-02-tweedekamer-7.u206	Mr. Chairman. This is the last budget discussion for this Minister and Secretary of State. It is a rather lively debate, in which everything plays. There's still a bit of fun in it, but it's not just shooting at each other from trenches. The treatment has a number of cross-links throughout the Chamber. That makes the debate on the education budget a little more interesting in my opinion than some other debates, so I like to fall into it. In recent years, worrying reports have been published which show that the government is unable to set up the education system in such a way that it is equally beneficial for everyone. The education inspection is very critical: children of the same level do not have equal opportunities. The same talents, but different outcomes: that has been raised by several people today. This inequality of opportunity is not new, but is the outcome of years of policy. In fact, we have been directed towards making our education system more efficient by successive cabinets and administrators, including this Liberal Secretary of State. The sooner through education, the better. At the same time, the system has become less flexible. The creation of barriers, of flow barriers, together with all kinds of other things such as assessing and settling returns, increases the probability gap. You could say that the early selection by obstructing up and down flow becomes irreversible. Early selection continues to harden and the number of barriers increases. At some point, you can expect the kind of reports we've been getting lately. The understanding that we need to do something about that is growing. In the cabinet and a large part of the Chamber, I am happy to see that. Certainly from coalition party PvdA I see valuable proposals in her own initiative paper. Sometimes I know very well what's in there, I'll say, but maybe that's good, because then we'll work on a broader basis. I sometimes wonder if the Secretary of State really wants to run for this. Although we can still get a good deal of agreement in the debates, I see when it comes to action and actually going through things to change, often when it comes to moving forward or very soft law. Are the measures now being taken in the system sufficient? No, they haven't. Is the extra package of 25 million for combating inequality of opportunity sufficient? No, it certainly isn't. I am also pleased that this package is there, because it contains valuable things, but it does not solve the structural problem. It is not enough and it does not touch on the core of what will have to change in our education system. It was said that extra investment would be made in education. An additional 200 million is invested in education. But 230 million is also being cut off on the lump sum, so that schools get less funding. What's the deal now? Is there some kind of magic with numbers now? I would very much like to hear a clear response from the rulers. I would like to see the directors, at the same time, taking on board the way in which they will solve the problem that will arise if, in any case, there is a big line through the proposals on the monument deduction and the education deduction. At least I understood that. How is this going to solve the problem of an additional EUR 125 million on the education budget? I'd really like to hear that. We really need to look at the system. That's why GroenLinks has been arguing for a long time for all kinds of changes. An important part of this is, as we call it, the modern middle school. It is not the case that we want to set up a new kind of school, but it is a matter of summing up a number of principles which education should meet, so that there are opportunities for everyone. For my party, this means a combination of the following: ensuring broad bridge classes, really anchoring the flow right well without all sorts of still permanent obstacles and lowering the workload for teachers. There should also be more money for schools to provide additional guidance and support to those who need it. In doing so, we want to put an end to the growing private tutoring economy. We think that's very important, too. That is one of the concerns that I have not yet heard in the debate, but which at least lives enormously with our group. If you realize that in the meantime, compared to the size of the pack, ten years ago, the tenfold turnover in the economy of private tutoring and retraining, you have to conclude that something is really not going well. So that's going to be something common in education, when we know that that's only possible if you actually have the money for it. After all, it's an expensive joke to have your child educated. The consequences of this development may well be much greater than they are today. I would like to speak about promoting broad bridge classes. GroenLinks considers it a worrying development that the number of broad bridge classes is decreasing by at least two levels. We've reported that before. There has been an increase in category bridge classes and there has been an increase in single opinions. So there's a relationship between them. My group believes that every child has the right to a place in a broad junior grade. That doesn't mean that we necessarily think that every junior class should be wide everywhere, because we want to leave room for category gymnasia or vmbo-schools, but a broad junior class should become the norm. If you're gonna get that done, you're gonna have to do something for it. Then you shouldn't just send a letter and say, "I'll talk about it again." Then you really need to take action. One of the issues in the motion, which was adopted, is that it should be examined how this can be promoted financially. The Secretary of State has made it clear that he doesn't want to. Does he want to explain that here again? I disagree with him on this point. I think it is very important to give this broad secondary school a financial incentive in the right direction, even if it is only because, for example, it can be justified by an objection that is attached to it: that the teacher should take more levels into account and that the approach of such a broad secondary school therefore also requires more flexibility.
ParlaMint-NL_2016-11-02-tweedekamer-7.u207	Mr Rog has a very short question.
ParlaMint-NL_2016-11-02-tweedekamer-7.u208	My question was about the previous point: the homework institutes. Indeed, we can see that there is a huge increase. That can lead to inequality of opportunity. The students who have rich parents can go to those homework desks, get their tests and move on. If we have 20% fewer lessons in primary and secondary schools, what effect could that have on this inequality between pupils?
ParlaMint-NL_2016-11-02-tweedekamer-7.u209	That is a rather difficult question, because the direction of solution for primary education differs from that for secondary education. I think it would be wise to go to a little less hours in secondary school. Then there will be room for teachers to guide more. I also think that there should be a funding component that allows schools to hire additional formation or expand the formation where necessary to provide homework guidance and support. This must not be done through a private circuit, but the school, which should have this responsibility, must offer the student what he or she needs. There must therefore be a reduction in the workload of teachers, which can therefore give more attention to them, but there must also be an additional financial provision in order to be able to hire additional training.
ParlaMint-NL_2016-11-02-tweedekamer-7.u210	That sounds great, but if there's less than five hours in secondary school, could it eventually be that Sem and Starre go to homework counseling for five hours and that Saïd and Sharol are screwed? Wouldn't the desired reduction in hours increase the odds?
ParlaMint-NL_2016-11-02-tweedekamer-7.u211	As I said, Mr Rog's question is a difficult one. If you misread "it might be so," then the result is equal to what Mr Rog is describing. That is why, unfortunately, I could not give the shortest answer. It requires a great deal of care. It doesn't mean that it's said at less hours: figure it out. The available space should be properly filled in, allowing the school to take a broader responsibility instead of just ensuring that the teacher is in front of the class all those hours. Mr. Chairman. The Secretary of State wasn't planning on giving the broad middle class extra finances. I would like to explain this, because I do not think that is wise. My party is in favour of the right of transit. That's what we discussed with this Secretary of State. A motion has been passed asking for this right to be granted to students. The Secretary of State needs a lot of time to work on that. He was about to come back to it now, but in the meantime, we see a plan on equality of opportunity coming back. We see a weakened variant coming back that is subject to conditions. As far as our group is concerned, the only condition that is acceptable is to have proper pre-training within the education system. Vmbo-tl and vmbo-gl give access to the Havo. If there is a problem with the ability of students to reach that level, then that is another problem. We will have to do this in a different way, but we should not shove the problem off our plate by means of additional inflow requirements. Additional influx requirements are not a suitable solution, because this solution hinders children in their development. I want us to settle the debate on the right of transit. I welcome Mrs Vermue's input on this point. I want to hear very clearly from the Secretary of State that he's taking care of it now. Otherwise, I will, preferably with all the parties who feel the same way, present an initiative legislative proposal that firmly regulates the right of transit. The one-after-last but certainly not unimportant point is investing in teachers. We all believe that the quality of teachers is an important measure of the quality of student development opportunities. But if you're gonna work on it, you're gonna run into some crazy shit. In any case, we see that the remuneration of teachers in primary education is clearly different from the remuneration of teachers in secondary education. That's crazy, isn't it? I think we all think that primary school teachers are as valuable as secondary school teachers. When it comes to the development of the child, primary education is at least as important, if not even more important than secondary education. Yet in the reward it is reversed. That means that a lot of people who graduated from pabo do not even start primary school or leave primary school before they reach their 30th. That's not good; that really has to be different. When you look at what's going on, you come up with crazy things. It's gonna be very technical. It's about pay scales and the like. We have to note that the salary scales in primary education are somewhat lower than the salary scales in secondary education. That's crazy, but that's not even the biggest difference. The biggest difference lies in what is called "the third scale": scale LC. In primary education, no more than a few hundred teachers have been trained in LC. This scale is therefore not used at all in primary education. Why is that? It is one way or another that job descriptions and salaries standards are quite crazy at this point. If we want to give primary education a serious place, our group would argue that we should start here and say: we are going to ensure that there is also a very clear possibility in the LC scale and then also in the LD scale, so that we retain experience. This can be linked not only to training requirements but also to experience requirements, to training issues and to responsibilities. Let's do that. I would like to table an amendment which seeks to ensure that at least one experiment is carried out and that one school or a few schools are accompanied to deal with the job evaluation in a different way. Let us see if this can mean that we are moving towards better pay in primary education, while maintaining experience and expertise and strengthening experience and expertise. Mr. Chairman. I want to end up happy. I am pleased that the Secretary of State has made 15 million available to carry out the motion on my part calling for additional funding for asylum children in the second year. There's been quite a fight over that. It did not happen by itself, because the Chamber had to be required to ask this very clearly by way of a motion of censure. But anyway, it's settled now. There are adequate finances and I welcome that. That concludes my story, Mr. Chairman.
ParlaMint-NL_2016-11-02-tweedekamer-7.u212	Mr. Chairman. Let me begin by joining my colleague in the Christian Union's plea to commemorate 1917 in a dignified way. It's worth it. Reference has already been made to the National Museum of Education in Dordrecht, an extremely interesting museum, where you will see not only 1917 but also the impact of the enormous diversity of educational institutions and disciplines. This diversity is partly the result of the education pace. It becomes tangible there, even almost palpable. Then you suddenly understand the enormous social wealth it is for our country that we do not have state education but socially embedded education. We have education that breathes with society as it develops. I was also pleased with the enthusiastic support of the VVD on the resolution of the school struggle, the educational pace. I am pleased that two people have been mentioned here. The first is Thorbecke, who enshrined the freedom of education in the Constitution in 1848. Because there was then a failure to anchor the financial equivalency, the battle continued for a while. Under the leadership of Cort van der Linden, the educational pace was then brought to a successful conclusion. By the way, it is a slightly too generous claim to include Cort van der Linden as a liberal, because he was partyless. He did lead a liberal and liberal-democratic cabinet. I would also like to raise a warning, because there is another liberal who has played a major role in the education struggle. That was Kappeyne van de Coppello, who led a law on primary education by the Lower House in 1874. Because that law did not provide for the financing of Christian schools, he put Christian education in great difficulty. He was reminded of this and then his reaction was: well, that's just a minority. That minority had to be suppressed, because if they did not want to go, they would be the fly that spoils the whole ointment and would have no right of existence for that Christian minority in this society. That too is liberal language. No, that is not a liberal language but a liberal language! I see Mr Duisenberg pointing the finger, and those were indeed other liberals. I wouldn't want to identify with them either. Mr. Chairman. Having said this, I begin my speech. The government expects primary schools to use apprenticeship follow-up systems to monitor the development of pupils. For example, you can show with all kinds of colors how a student stands. It's called some kind of traffic light method. It would actually be useful if we also had one of those cabinet-tracking methods, in which we can see the state of education policy. However, it is also questionable whether such a system of red, orange and green would be sufficient. At the end of this cabinet period, the SGP asks itself the following questions. 1. What went and what goes well? 2. What existing problems remain and have not yet been resolved. 3. What non-existent problems has the cabinet put its teeth into? It will be clear that we can use the color green for the first category. So we're going to give you what's going well. The second category concerns the existing problems which have not yet been resolved. For this category we can use the colour orange or red. However, I was stuck with the third category, namely the non-existent problems in which the cabinet has put its teeth in. I couldn't find a tan for that in the "stop light model." Anyway, let's start with the question of what's going well. After all, I want to start with the good news. Let us be grateful to note that education during this cabinet period, during a serious crisis, has been largely spared. In fact, a lot of extra money has been invested in education on balance, despite all kinds of discussions that I can also put in place and which I would also like to know what the response is. I'm not referring to the money that was first knocked out of the pocket by the students, but to the real money, and that's not a little bit. These kind of remarks in between are just part of it. The way in which appropriate education is introduced is also worth complimenting. I know some people think I'm cursed in church right now, but I want to have said that out loud anyway. There's a mega operation going on. There is a huge change in the system for the support of pupils with an additional demand for care. There is still an incredible amount of work to be done and sometimes things really go wrong, but the way in which solutions are sought even in individual cases deserves to be followed up. I would like to express my full appreciation for the cabinet on this matter. The third point of appreciation is that, after some wild plans, the cabinet continues to recognise the right of smaller schools to exist. This is not only incredibly good news for parents, but also for society in a village, in which one cannot really go without school, because otherwise cohesion in such a village will be affected. At all these points, the traffic light clearly jumps on green. That is to say, keep up the good work! I'll be on the second category. What existing problems have not been solved? During this cabinet period, there has been a strong debate on testing in education. Although the nuance is often lost, the SGP is pleased that there has been a change in the policy of testing more and more. The final test was made compulsory at the beginning of this cabinet period, but after that a pass was made more or less on the spot. But the SGP still has some concerns in that regard. The legislative proposal to make the diagnostic mid-term test mandatory still exists. In fact, the cabinet already has the power to impose these tests without amending the law. The idea that this obligation will come sooner or later is fed up with this. You will also notice that some schools are actually already pre-sorting on that obligation, although they are not at all enthusiastic about it on their own. That is undesirable, and that is why the SGP, together with the CDA, has recently tabled a bill to underline and effectively protect the freedom of schools. We are, of course, waiting for further treatment, but it would be wonderful if this cabinet would send a clear signal of confidence in the schools. The next problem that has not yet been solved is the assessment of learning outcomes. The current system allows vulnerable students to be perceived as a threat to school scores. Of course, that is exactly what we do not want, and that is what the schools do. Honesty requires us to say that we are working with a correction model, which we have known for years that it is actually not right, because there are too few indicators and factors to consider. My colleague, Mr Dijkgraaf, has already presented a discussion paper on this issue in the 2010 budget, and it is still extremely topical. The proposal being developed does not yet reassure the SGP. We continue to work with an abstract model that cannot do justice to the concrete situations of schools, for example the extent of the care demand of pupils. Would the Secretary of State like to explore how more customization can be achieved in the assessment of school outcomes? An example is a well-founded deviation. That principle is being applied more often. The principle of governance is then: apply or explain. The SGP also calls for attention to be given to a bottleneck that can be resolved in the shorter term. Primary schools are not charged on a current, but on an outdated national average. I'm asking the Secretary of State to handle this. The question of home education has not yet been resolved either. For the sake of time, I shall confine myself to the question of the procedure for the proposed legislative proposal on home education. And what about home education organisations? One final point that has not yet been finalised is the debate on performance agreements. We will come back to that in more detail, but I would like to make the statement here that you cannot capture quality in a few figures. That's been on the table before. All kinds of unintended effects can also occur here. How does the Minister feel about this? At these points the image is actually on orange. It could turn green, but it could turn red. Finally, I will deal with the non-existent problems that the cabinet wants to solve. I am thinking here of the development of the teacher register, but I will not go into that further. Another point is important: the big renovation in the school landscape to give parents more freedom of choice. The school-founding system must go against the plains. With such plans it is wise to first ask the environment what it thinks is necessary. We have tabled a motion for this, but, contrary to the request made in the motion, the investigation, at least in what we have seen of it so far, did not check the actual satisfaction of the existing model, but the fictitious need based on abstract indicators. Fortunately, we now also have information from another research, from TNS NIPO, but by the use of drivers' organisations. The conclusion of all the studies so far is in any case that the problem is very limited.
ParlaMint-NL_2016-11-02-tweedekamer-7.u213	Are you going to finish?
ParlaMint-NL_2016-11-02-tweedekamer-7.u214	I'm gonna finish up. Other needs than denomination can also be neatly solved within the system. So what problem is this solved? In the meantime, the many concerns and risks associated with its elaboration do not outweigh the hoped and even limited President... eh, limited benefits. Apologies, Mr. Chairman. I wouldn't dare characterize you like that! It's about the limited benefits. Here the image doesn't actually get color. It has become more like a snow screen and it threatens to run on a large, deep, black plane. I am curious to hear the response of the Secretary of State and the Minister.
ParlaMint-NL_2016-11-02-tweedekamer-7.u215	Mr. Chairman. According to DENK, education must be a source of development for every Netherlands. Everyone, whatever their origins and how much money their parents earn, must feel supported by the fact that education in the Netherlands offers equal opportunities for everyone. But is it? For four years, the couple Bussemaker and Dekker are now the scepters of education. It is painful, but true: the division in education is huge and equal opportunities have never been so under pressure. Education must lead to the recognition of every unique talent in a child, regardless of who it is. Every child must be trained to contribute to society in the end, but in 2016, children increasingly receive lower school advice and increasingly end up at a lower level because their parents have lower education and/or a smaller wallet. Children perform less in education because their parents are born somewhere across our borders, while these children have enough talent and are intelligent enough to get more out of them. In order to tackle the dichotomy and inequality of opportunity in education, it is necessary to do something about the under-advisation of children with lower-educated parents and with a migrant background. Both the inspection and the OECD are calling for this. Teachers can be consciously or unconsciously biased. This is why awareness needs to be increased by increasing the expertise on under-advisation among teachers and by giving greater attention to this in teacher training. Work needs to be done on the number of opinions to be adjusted after a higher final test. That happens now in only one in five cases. There are school boards where, despite higher test results, no school advice is adjusted. Children who can handle a higher level should simply be able to enter at a higher level. Therefore, give children a right to participate at a higher level by automatically updating the advice if the test result is higher. We would like a response from the Minister. Instead of reducing it, more money should be allocated to the education deficit policy. Students from disadvantaged regions are becoming less and less frequent in higher education. The 5 million extra that this year goes to the municipal educational disadvantage policy is rather modest if the cabinet really wants to do something about fighting the division and the inequality of opportunity. In addition, 5 million will now be added, but in 2018 40 million will go down. Efforts should also be made to increase parental involvement in relatively disadvantaged families. Parents from disadvantaged families tend to be less able to stand up for their child. Therefore, strengthen the parent organisations within education and ensure that parents who need support, difficult to reach parents, find their way to these parent organisations. And above all: require schools to provide information on parents' rights and opportunities in school advice and other important matters that are essential for the future of a student. Together with the growing division, the loan system, which should actually have the name "debt system," is a deadly cocktail. Students don't want the debt system. 84% of students think that the debt system is just a bad thing. They call the debt system a privilege system, because they believe it reduces access to education. Fewer and fewer students live in rooms, because they are no longer able to pay for this because of the debt system. As a result, they sometimes cannot choose the study they would like to take and get less from student life. Students also do not want longer internships because they fear higher student debt. As a result, they gain less experience in practice and put pressure on the link between education and the labour market. Apart from the loan system and inequality of opportunity, many young people are also hampered by discrimination in the traineeship market. One in three Turkish-Dutch, one in four Moroccan-Dutch and more than one in five Surinam-Dutch students find it difficult to get an internship because of discrimination. This discrimination can no longer be denied. 30% of bbl-stage companies say they have more to trainees without a migrant background than trainees with a migrant background. Apart from discrimination on the internship market, it also appears that different sectors have to do with a shortage of traineeships, such as in nursing or craftsmanship. DENK finds it unacceptable that students are on the line due to discrimination or a shortage of internships. DENK therefore calls on this Minister. We know you don't like it. Mr Jadnansing had tabled a motion on it and it was adopted in the Chamber. You're wondering, "Would it still be possible?', But step over those procedural objections. Show some social-democratic guts. Give those students an internship guarantee. Make educational institutions legally responsible for students getting an internship place. Of course, they have to do this in consultation, consultation and cooperation with municipalities, learning companies and civil society organisations, but a training guarantee gives you more pressure. That's necessary, because that's not how a student sits at home anymore because it's impossible to find an internship. That way, no more student gets delayed. In this way, the parties assume their responsibilities and we solve a persistent problem. As far as we are concerned, equal opportunities in education apply not only to pupils. They also apply to parents who want to start a school. DENK stands for Article 23 of our Constitution. We stand for the freedom of education and the freedom of choice of parents to choose a school.
ParlaMint-NL_2016-11-02-tweedekamer-7.u216	That's extremely good to hear. I ask Mr Kuzu how he looks at Gülenschools. Can they be in the Netherlands?
ParlaMint-NL_2016-11-02-tweedekamer-7.u217	Yes.
ParlaMint-NL_2016-11-02-tweedekamer-7.u218	That's good news, too. How does he look at the actions that there have been of groups of parents who have actively tried to influence other parents to take their child out of such a school?
ParlaMint-NL_2016-11-02-tweedekamer-7.u219	As I have just said, I think that Mr Van Meenen is also in favour of the fact that this is also about the freedom of choice of parents. It is well known that intimidation, threats and violence are being used, and we have repeatedly said that this is not allowed. Parents, however, have the right to choose which school they put their children at and which school they do not at. Let's leave that choice to the parents.
ParlaMint-NL_2016-11-02-tweedekamer-7.u220	Does Mr Kuzu think that, in the situation of the Gülenschools, that right of parents to choose to keep their child in such a school has been compromised by the actions that have been taken?
ParlaMint-NL_2016-11-02-tweedekamer-7.u221	I think every parent makes a different choice and a different consideration. We must respect the choice of the individual parent in that. If a parent deliberately chooses to send his child to such a school, that's fine. If a parent chooses to send his children to a Catholic school or a Protestant school, that's all fine. That is Article 23 of our Constitution, that is the freedom of education as we know it in the Netherlands, and that is what we stand for. So we stand for the freedom of choice and the freedom of education of parents. Is special education still in good hands with this government and with some municipalities? We get many signals from people who want to set up an Islamic school that they are being obstructed. They feel that there is a municipal and national opposition to initiatives in the field of Islamic education in particular. The most appealing example is the Foundation for Islamic Education in Amsterdam, which has repeatedly spoken about obstacles that it experiences. The Secretary of State is aware of this. I would like to ask the Liberal in him whether he agrees that the law is right to protect citizens from the arbitrariness and power of the government. This is a rhetorical question, of course. Then why do the Secretary of State, the Ministry and the Municipality of Amsterdam continue to oppose these people, despite the fact that there are court rulings that are in favour of the people they oppose? Does Article 23 apply to everyone? Does the Secretary of State feel bound by the law? If so, stop the opposition. If not, just be honest about that. Just say it to his orwellian: all initiators of educational institutions are equal, but some are more equal than others. I'm closing up. Education is the lifeblood of our society. Make sure everyone has equal opportunities, support our teachers and make our schools learnable. Do it for our children.
ParlaMint-NL_2016-11-02-tweedekamer-7.u222	I would like to return to Mr Kuzu's speech on the obligation to adjust on the basis of the Cito test, as the second objective criterion in the case of under-advisation. My other point is internship guarantee. I am glad that he mentions two plans, one of which was introduced by the PvdA four years ago. That didn't have a majority, but I'm glad it connects.
ParlaMint-NL_2016-11-02-tweedekamer-7.u223	What's your question?
ParlaMint-NL_2016-11-02-tweedekamer-7.u224	Then there's the other point. We have presented a wonderful initiative paper as a group to promote equal opportunities. Can we also expect a wonderful initiative paper from DENK on promoting equal opportunities, Mr Kuzu? Then you should also mention that these are your plans, because we came earlier. You can't say later: these are the plans of DENK. Then I expect you to have very good ideas for promoting equal opportunities, and if we agree, we will be working together.
ParlaMint-NL_2016-11-02-tweedekamer-7.u225	Fine.
ParlaMint-NL_2016-11-02-tweedekamer-7.u226	Finally, in this term of office, I give the floor to Mr Van Klaveren, who speaks on behalf of the Bontes/Van Klaveren Group.
ParlaMint-NL_2016-11-02-tweedekamer-7.u227	Mr. Chairman. Education is the foundation of a prosperous future, crucial for the development of our country. Unfortunately, education is still often seen as a laboratory of outdated makeability ideals. In the past, when PvdA reforms were introduced mainly in the educational country, it is thought of the basic formation, the second phase and the study house, it is now a State Secretary of the VVD-huis who wants to reform. For example, in the final opinion of Platform Education2032, we read a report on the future of education, which aims to focus on social competences, cross-skills, ICT literacy and creativity. It looks like history is repeating itself. Old wine in new bags. They are practically the same so-called educational renewals that the Dijsselbloem Commission stated in 2008 that they do not benefit quality and lack serious scientific support. It is time for us to go back to the basics: knowledge transfer. The association Beter Onderwijs Nederland rightly pointed out that more than 10% of Dutch children leaving primary education are functionally illiterate. If these students then learn above all to work together and be creative in secondary school, the fundamental language problem will obviously not be solved. The application of skills is hollow rhetoric in that context, as long as the basic substance is not controlled. The same applies to math. In this way, it is now so miserable that the cabinet was forced to introduce a calculation test for secondary education. This problem continues. Even in colleges and universities, boarding tests are now required to determine whether prospective students have sufficient language and numeracy levels. Professor Anna Bosman of Radboud University states that the spelling is mostly hopeless. The Hague University of Applied Sciences notes that as many as 80% of freshmen do not have the desired starting level in the language test. Students are not helped with hollowed-out diplomas and teachers with superficial expertise. Plans by the PvdA to give powers to a cluster of subjects rather than first and second degree vocational competences are therefore silly and counterproductive. As far as VNL is concerned, the problem is addressed at its core. No more lap drugs. Well-trained teachers and putting true knowledge transfer at the centre. Raising significantly the level of language and arithmetic education. Make the course attractive again by increasing the salary and reducing the classes. No more experiments, no more thresholdless transitions between levels and towards a rigorous selection at the gates of colleges and universities. Is the Minister prepared to commit to this? I'd like a response. There seems to be no end to the number of plans and projects in the field of nonsensical educational innovations. It is precisely in the field where it is really time for sound renewal, Article 23, that virtually nothing is happening. That's weird. The system is a hundred years old next year and it is still fully aligned with the hidden situation of that time. However, the Netherlands has changed. The reality of progressive secularisation has overtaken the existing multi-religious model, which also pays for religious education by the state. The Netherlands has changed fundamentally. The pillar structure of the past is outdated and no longer a reflection of the religious organisation of the Dutch population. According to Dr. Bernts and Dr. Berghuis' research, 82% of the citizens never enter a church until almost never again. This is independent of whether this is desired or not. Almost 70% no longer belong to a ecclesiastical mindset. Spoken atheists now form a larger group than pronounced theists. The researchers even speak of marginalisation and a great Christianity.
ParlaMint-NL_2016-11-02-tweedekamer-7.u228	I'm a little surprised at this sound. Of course, we've known each other a little longer. I know Mr Van Klaveren as an ardent supporter of Article 23 and the freedom of parents. He's suddenly saying that secularization has increased so much. Has this happened since he left us? Or did he just make a spin because his foreman, Mr. Roos, came out with these messages?
ParlaMint-NL_2016-11-02-tweedekamer-7.u229	No, little has changed, I have to say to Mr Bertema. I have always been in favour of religious education, but not paid by the Dutch state. Because there is little substantive discussion within the PVV, we may not have been able to exchange it in such a way.
ParlaMint-NL_2016-11-02-tweedekamer-7.u230	Does it perhaps also have to do with the fact that there is actually just a deep fear of Islamic education and that, in order to abolish it, you are putting all of Article 23 on the brink? 'Cause that's kind of what it looks like.
ParlaMint-NL_2016-11-02-tweedekamer-7.u231	If Mr Beertema, whom I personally like, would like to wait a little longer? I will indeed come to Islamic education later. That is certainly a point.
ParlaMint-NL_2016-11-02-tweedekamer-7.u232	I understand that the Group Bontes/Van Klaveren likes to portray themselves as a classic-liberal group. I've read reports before that they're for state weed. I understand now that they are also for state education. Can Mr Van Klaveren explain that? What's in his mind that parents aren't allowed to decide for themselves which school they send their children to? Should the alderman or perhaps the minister, a Social Democrat, decide that? Please be careful, Mr Van Klaveren, that is going to be a total failure!
ParlaMint-NL_2016-11-02-tweedekamer-7.u233	It would be nice if Mr Rog was more interested in classical liberalism. That can never hurt a Christian Democrat. Classic liberalism is for a small government, a small state. We do not want to be overused when it comes to, for example, the financing of matters that civil society itself can regulate. Mr Rog must appeal to that. The religious component of education can perfectly be arranged by people themselves. Children spend an average of 30 hours in school. The rest of the week one can do at home with religious education. That does not seem to me to be a task for the state. That's very classic-liberal. When it comes to the weed, for example, to which Mr Rog referred, I can say that there will be no state weed.
ParlaMint-NL_2016-11-02-tweedekamer-7.u234	Still a comforting thought. Nevertheless, I am a little surprised at Mr Van Klaveren's speech. 82% of parents opt for non-public education. Apparently, in the eyes of Mr Van Klaveren, they are wrong. Because either they don't go to church anymore or they don't believe in anything anymore, but they do choose a Christian school. So that possibility must be taken away from them. That's a weird argument, isn't it? If Mr Van Klaveren wants to put the freedom, the right of parents first and also give them that freedom, then surely it cannot be that the whole education system should be allowed to do so.
ParlaMint-NL_2016-11-02-tweedekamer-7.u235	It's not. The current system is a remnant of a period that started in 1917. That's why you have more religious or confessional schools than public schools. For the rest, I think people are perfectly capable of making their own choices when it comes to religious education. All we're saying is that this shouldn't be paid by the state. People can still form their children religiously. That can be done in a Christian way, a Hindu way, no matter how, just not paid with taxpayers' money.
ParlaMint-NL_2016-11-02-tweedekamer-7.u236	Parents who send their children to a Christian school should therefore only provide additional funding themselves, in Mr Van Klaveren's view, in order to achieve that? Parents who send their children to public school don't have that cost.
ParlaMint-NL_2016-11-02-tweedekamer-7.u237	All people simply receive general education. One plus one is two in Christian school, but also in public school. So that stays the same. The religious education can take place at home or in the church. That's what happened before 1917. That's just before the time your party came into being, but it really was.
ParlaMint-NL_2016-11-02-tweedekamer-7.u238	That was precisely the reason why we were committed to the constitutional anchoring of financial equality between public and special education.
ParlaMint-NL_2016-11-02-tweedekamer-7.u239	That had to do with universal suffrage, of course.
ParlaMint-NL_2016-11-02-tweedekamer-7.u240	That was precisely the commitment, because there was no financial equalisation. But parents who opt for public schools and want to do philosophical education, should they even pay for that themselves? In other words, you put an extra burden on all those parents. You're gonna cut back on education, I take it?
ParlaMint-NL_2016-11-02-tweedekamer-7.u241	It's not an extra burden at all. The church now also exists without funding from the Dutch state. So it's just gonna stay there. Only where religious education is taking place at school will that have to be done more intensively at home. That doesn't have to cost anymore, because telling a story doesn't cost money. For the rest, of course, you can do that in the church. If you look at it as a whole, you will see that we have a fantastic socio-economic story. The burden is falling hugely with us. We have a flat tax of 25%. People also have a lot more money left in the wallet. If people would like to start a religious institution with their own money, they should do so above all.
ParlaMint-NL_2016-11-02-tweedekamer-7.u242	There is no such thing as neutral education. That has been argued before. I hope we can agree on that. My problem is that if parents do not want to have their children formed religiously, they must make provision for that. Then you must also grant subsidies or not. Isn't it going to be a complete inedible bribe, that education of yours?
ParlaMint-NL_2016-11-02-tweedekamer-7.u243	No, it is getting very clear: we simply have one form of general education. Religious or philosophical formation can take place at home. As I mentioned earlier, this can apply to people with a Christian background, a Hindu background or whatever background. It's gonna be very clear.
ParlaMint-NL_2016-11-02-tweedekamer-7.u244	Mr Van Klaveren has general education. We're our children. That's not about 1+1=2. Of course 1+1=2 is fairly neutral...
ParlaMint-NL_2016-11-02-tweedekamer-7.u245	In any case, we agree with each other. That's good.
ParlaMint-NL_2016-11-02-tweedekamer-7.u246	... ifyou work in the cartesian system. But we're our children. That includes all aspects: citizenship, how you stand in society, what kind of person you are, who you are, how you deal with your feelings and with others. We're our children. That has everything to do with how you stand in life. That cannot be seen as just as neutral 1+1=2. Then Mr Van Klaveren doesn't have enough schools. He's failing teachers. He's failing teachers and parents.
ParlaMint-NL_2016-11-02-tweedekamer-7.u247	No, I absolutely don't. I myself have been a teacher and at the moment I am also the father of three very beautiful children. If I wanted to form that religious, I'd do it at home. I'll do it in church. I'll do it at a catechization club. This does not necessarily have to be done at school with subsidised funding.
ParlaMint-NL_2016-11-02-tweedekamer-7.u248	Mr Van Klaveren makes an artificial distinction between religious and non-religious. Forms are about philosophy. That's about who you are as a human being, how you look at people and society, and how you feel about life. That's all part of the formation. You can't separate that from other parts of education. We're our children. This is not about the transfer of information. This is about knowledge and wisdom.
ParlaMint-NL_2016-11-02-tweedekamer-7.u249	Yeah, but that's definitely about information. That is also knowledge, even in your view, I hope. Furthermore, I indicated that this can be done at home. That doesn't have to be with government funding or support.
ParlaMint-NL_2016-11-02-tweedekamer-7.u250	I think that points are being repeated now.
ParlaMint-NL_2016-11-02-tweedekamer-7.u251	In a country with a more Christian civilian population than the Netherlands, for example the United States, it is. So you can do that in the Netherlands. If Mr Bruins would like to do so, he should do so in particular.
ParlaMint-NL_2016-11-02-tweedekamer-7.u252	I would like to make a final point, Mr President. From now on, thanks to Mr Van Klaveren, Christians are going to pay less tax, because we are not going to use his state education.
