ParlaMint-NL_2016-09-29-tweedekamer-5.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-09-29-tweedekamer-5.u249	The Christian Union attaches great importance to freedom of choice and self-direction of people who need care. That's why we think the pgb is so important. The Secretary of State writes in his letter following the investigation that "certain findings" give him reason to review policy in three of the ten municipalities. Three out of ten municipalities. If I extrapolate that, I don't know if I can do it at all, but well, I come to a considerable number of municipalities. Can the Secretary of State explain what's going on? This really raises questions for me. So I am thinking of the 30,000 people who are not getting pgb anymore. Perhaps I see something that is not there and I would like to be reassured, but I suspect there is more to it than the Secretary of State wrote in his letter. What else is he gonna do about it?
ParlaMint-NL_2016-09-29-tweedekamer-5.u250	If a municipality would say "we don't do pgbs," that would be contrary to the law. If that's the case, the city council, as well as me, will go to the municipality and ask them to explain what's going on. But, again, I do not think that the essence of the issue is or needs to be there. It is more a question of whether it is clear enough on what grounds you might come to a refusal or form other than a pgb, whether the consultations have been conducted properly, whether the grounds are actually unambiguous and what the experiences are in practice. It seems very important to me to combine the experiences of budget holders and the practice of applying municipalities. Hence the joint action with Per Balance and the VNG. That seems very important to me, because I also think: if there are a lot less pgbs, it is or for good reasons, because people say "if you do it that way, it is good" or it is for wrong reasons, and of course that is not good. We have to try to get the finger on that.
ParlaMint-NL_2016-09-29-tweedekamer-5.u251	How does the Secretary of State intend to do that? Indeed, it is only three out of ten municipalities, but something seems to have happened there. That seems to be a policy of discouragement. In the treatment of the Wmo-2015 we discussed this extensively: pgb and care in kind must be fully equivalent alternatives.
ParlaMint-NL_2016-09-29-tweedekamer-5.u252	Maybe I'll do it the same way we do it with the health insurers around the Zvw. There are a number of ways in which the law can assess this. That must be done carefully. How do we do that? Per Balance and the health insurance companies now consider whether the administrative arrangements in this area should be renewed on the basis of experience in practice. This process is in full swing; the Chamber will soon be informed about it, also in the light of the AMvB, if any. Such a route I see in front of me with Per Balance and VNG at this point. In this way, I think we are slowly but surely moving towards an implementation practice that is perceived as good and transparent for all parties.
ParlaMint-NL_2016-09-29-tweedekamer-5.u253	But how does the Secretary of State know that a hand-out is enough? I can also imagine that the law is not clear enough. Perhaps the law should be amended or an AMvB should be adopted in order to clarify this.
ParlaMint-NL_2016-09-29-tweedekamer-5.u254	Above all, together with the parties, we need to look at the best way forward. During the discussion on the pgb in the Zvw, the parties said to each other: the current implementation practice gives reason to consider whether the administrative arrangements we had should be adapted. I am keeping a close eye on that, because it must lead to an improvement. If that is not the case, we must have regulations in place. The same applies here: I am fine with VNG and Per Recht looking at the implementation practice together with VWS. If that proves to be insufficient, we still have the instrument of regulation at our disposal.
ParlaMint-NL_2016-09-29-tweedekamer-5.u255	The Secretary of State said a number of times what we can expect before 1 November. Is it now the case that the Chamber gets one scenario, or multiple?
ParlaMint-NL_2016-09-29-tweedekamer-5.u256	There is agreement between all parties to develop such a budget holder portal as soon as possible. That variant is now being worked out. A number of questions will come to light, such as who is going to manage it, what is going to happen, what about governance? We are going to develop this variant, in line with the line of the previous debate.
ParlaMint-NL_2016-09-29-tweedekamer-5.u257	It's about the construction. My question is about management. The Secretary of State has promised that the whole governance story is part of what comes to the Chamber. It's fine that all kinds of parties are thinking about construction, but my question is about management. Do we get one or more variants for that?
ParlaMint-NL_2016-09-29-tweedekamer-5.u258	I haven't really thought about that. We want to put the content first: what are the functional requirements and what are the conditions. I had already promised that this plan would also highlight the governance side. Whether that's one or two variants, I can't figure it out yet.
ParlaMint-NL_2016-09-29-tweedekamer-5.u259	So at least we get a story about governance. In the letter before 1 November we get clarity about whether it is one or two scenarios when it comes to management and governance.
ParlaMint-NL_2016-09-29-tweedekamer-5.u260	Yes.
ParlaMint-NL_2016-09-29-tweedekamer-5.u261	The Secretary of State indicated that 1 January 2018 was his target date. I think that's very positive. But that means that an invitation to tender is not included. Can I conclude from this that the Secretary of State does not consider a tender to be necessary, since he has found another construction, which makes the date of 1 January 2018 clear for him? It would be nice if the Secretary of State could be transparent about this.
ParlaMint-NL_2016-09-29-tweedekamer-5.u262	I come to that point in response to a number of questions put by Mrs Keijzer, but basically what she says is correct. If we manage to create a joint construction team with parties, we could get that speed. Then there would be no need to tender, because we were, as it were, contracting. If this is not possible for any reason, we must contract. That has consequences for the timetable. Moreover, I cannot fully see these consequences, but there are consequences. That is why I said: let us unite the forces and let us not deal with the questions that are going on later, precisely in view of the ambition to quickly achieve something with that portal.
ParlaMint-NL_2016-09-29-tweedekamer-5.u263	Mr Potters and then Mrs Leijten. Then we're gonna do the specific questions.
ParlaMint-NL_2016-09-29-tweedekamer-5.u264	In view of this debate, the temptation is very great to dive right back into technology. I can also tell by my colleagues. In my opinion, Mr Van der Staaij made it very clear in his first speech: it is not so much a question of determining exactly how to proceed as a Chamber. We simply want there to be a scenario on 1 November on which we as a Chamber can make a full choice and with which we can say to the pgb-holders, to these vulnerable people, that we know what the future is like with that plan. There is a transitional period, but that really means that we in the Chamber can draw a line below that point. I don't want us shooting into technology every time. I just want the Secretary of State to promise that on 1 November there will be a plan on which the Chamber can take a full decision, so that we know what the future of the pgb will be. Can the Secretary of State make that commitment?
ParlaMint-NL_2016-09-29-tweedekamer-5.u265	I kind of feel like I have to do that for the third time now, but the answer is yes.
ParlaMint-NL_2016-09-29-tweedekamer-5.u266	I have heard that the Secretary of State is in favour of a balance between user-friendliness and controls. According to the Secretary of State, is a good balance to be struck on 65 pages for a personal budget?
ParlaMint-NL_2016-09-29-tweedekamer-5.u267	I myself asked for the forms again and checked whether they were very complicated and difficult. Having a budget plan and a healthcare agreement with five different healthcare providers and the question of whether the SVB wants to do the employer's tasks are all things for which data needs to be filled out. Could it be much simpler? I hope so, especially if we go to the digital side. I am very willing to see if it can be simpler now, but a number of things cannot be avoided, because you just need to know a few things before you can declare and pay out.
ParlaMint-NL_2016-09-29-tweedekamer-5.u268	That is a long answer to say: yes, I think it is in balance. That scares me. Let me put it this way. A mother with a 16-year-old multi-disabled son, who has had a pgb for years, has to deliver 65 pages through the new system of the Secretary of State. And if anything changes in the situation, another 65 pages have to be provided. They need to be checked and stamped. Does the Secretary of State think this is balanced? Is that a desired outcome of his policy?
ParlaMint-NL_2016-09-29-tweedekamer-5.u269	No, of course not. Let us be honest: I said once again that bureaucracy is a thorn in my eye. We are therefore looking at where we can improve the current system and make it more user-friendly, and that is why we need to look beyond the domains, bearing in mind that we can make the real move with the future scenarios in which we are going to achieve this with the budget holder portal. I think we can make the big deal out of that. This does not relieve us of the sacred duty to consider whether the current system can be simpler and simpler, especially for those budget holders who have to fill in the same ten times each time. Of course, that's what makes you crazy. I was looking for a more powerful term, but that's not who I am. Of course, that is how it is done, because it cannot be that someone who has a pgb for her child who has had a big problem for 16 years already has a hard enough problem. That's hard enough to fill in that data every time and therefore gets the feeling of "why am I actually doing this?" We all think so, and I think so, with a great deal of heart. This also gives me the task of ensuring that we apply as many simplifications as possible in the current system and hopefully look into the new system to see if it can be done in a more customer-friendly way and much more digitally. This is really a call from me: let us not create a contradiction on this point. That balance will always have to be there. If you grant large budgets of €70,000, €80,000 or sometimes €150,000, it makes sense that there are controls, but they should never lead to people who are in good faith and who have incredible problems with their child having to fill something out ten times. That would drive me crazy myself.
ParlaMint-NL_2016-09-29-tweedekamer-5.u270	I even used the word "demeaning." I think that's it. The Secretary of State said in his letter and in his previous reply that he actually thinks that this situation of form madness will only be brought to an end in the new system. Now he says: I do not want this; we have an expensive duty to solve this. Can I agree today with the Secretary of State that he should write a clear letter before the budgetary procedure in the Chamber, preferably as short as possible, indicating which forms could disappear? I cannot imagine that, apart from the budget holder, who has to fill this out, the care offices and the municipalities are waiting for that huge slip of paper, which costs a lot of money, which leads to mistrust and humiliation and which really does not help anyone. Is the Secretary of State prepared to come forward with a plan of action for the budgetary treatment? Or is he willing to delete or delete papers so that this will just end?
ParlaMint-NL_2016-09-29-tweedekamer-5.u271	The short answer is yes. Let me explain this to you, as the Chamber of mine is used to.
ParlaMint-NL_2016-09-29-tweedekamer-5.u272	Sure.
ParlaMint-NL_2016-09-29-tweedekamer-5.u273	But he's not gonna nuance it, is he?
ParlaMint-NL_2016-09-29-tweedekamer-5.u274	This Secretary of State remains a nuanced man, even though others think that nuance is not necessary. We need to look at all these forms. I'll send them all to the Chamber, too, so everyone can see what's actually happening. I think it's okay to take that trade-off with you. In fact, people understand that this mother also writes that checks are necessary to ensure that payments are lawful and that a number of things need to be completed. Everyone thinks so. Let's keep that balance. Let us not be too easy by saying: there are far too many forms, delete those forms and then we can do it again. What can be deleted, we're also going to delete. The Chamber has received another letter from me, in which I so to speak open the attack on administrative burdens and bureaucracy. In that letter I write: can we not look across the board at all the rules that can be deleted? I am very willing to do so specifically on this point. I kind of manage Mrs Leijten's expectations, because I think that when she sees what happens, she will say to some of those things: yes, I get it.
ParlaMint-NL_2016-09-29-tweedekamer-5.u275	I am satisfied with the brief reply from the Secretary of State, namely that he says: yes, I promise to come up with a clear, brief note for the budget, which does not contain too many nuances but simply indicates which form can be removed or which form does not need to be filled out every time. That's the answer I'm embracing. Then we can at least tell all those budget holders that there is light at the end of the tunnel as to the form madness and the humiliation of filling out over and over that you need care.
ParlaMint-NL_2016-09-29-tweedekamer-5.u276	I would like to share that last point with Mrs Leijten. I come to the specific questions.
ParlaMint-NL_2016-09-29-tweedekamer-5.u277	As long as they haven't already been answered.
ParlaMint-NL_2016-09-29-tweedekamer-5.u278	As long as they haven't already been answered. I have the feeling that I have already raised a number of issues with regard to Mrs Agema's questions. I drew her attention to the fact that it is not the case that there are no controls now and they will be. We are now also subject to extensive checks, particularly prior checks and not ex post checks. I think the questions on that point have been answered. I come to Mr Potters' questions. I think I have answered his question as to whether I have the ambition to come up with the plan on 1 November. The answer to that is yes. We also talked about the large-scale outage. Mr Potters does not want it, and I do not want it. I have also indicated what we are doing to prevent it, including keeping track of it and the intervention when we think it is not going well. I think that's enough. I come to a specific question from Mr Potters on abuse and fraudulent healthcare providers: how will that work? We can do that. I made arrangements about that with the health offices. By letter of 7 December, I informed the Chamber that budget holders who are in good faith and who are dealing with a fraudulent healthcare provider will not be confronted with a claim and that the healthcare offices will address that healthcare provider through a document of assignment. By the way, I am also working to make it possible for healthcare agencies to contact the healthcare provider directly and to legally anchor it, so that a document of assignment is not necessary.
ParlaMint-NL_2016-09-29-tweedekamer-5.u279	That last one's good to hear. We all know last week's example of Woonfoyers. In my contribution, I have indicated how horrible it is that people with a pgb are being abused by a health care provider who wants to profit from it himself. That kind of fraud needs to be dealt with hard. If we don't, the pgb will be under discussion. Let it be clear: the VVD thinks this is an extremely important instrument. The point of the act of assignment is clear. But what kind of legislation will come to us?
ParlaMint-NL_2016-09-29-tweedekamer-5.u280	That is the legislation on the basis of which the healthcare office can directly address the healthcare provider. Now it has to be through the budget holder, because it is responsible. We can overcome that by the act of assignment. But actually, I'd like to make it possible for the health care firm to contact the health care provider directly.
ParlaMint-NL_2016-09-29-tweedekamer-5.u281	That's very nice. We have already tabled a motion on this subject on 13 October 2015, together with colleagues Bergkamp and Van Gerven. I would very much like to know when this legislation can be dealt with in the Chamber.
ParlaMint-NL_2016-09-29-tweedekamer-5.u282	I will try to indicate that in the second term. And, more precisely, what was requested in that motion, namely to ensure that the budget holder is no longer addressed, but that the healthcare provider is addressed, is settled. I informed the Chamber of this in the letter of 7 December.
ParlaMint-NL_2016-09-29-tweedekamer-5.u283	So I get an answer to my last question in the second term, I understand.
ParlaMint-NL_2016-09-29-tweedekamer-5.u284	Is that early enough for your consideration?
ParlaMint-NL_2016-09-29-tweedekamer-5.u285	Well, if the Secretary of State can answer this question by now, that would be very nice. If he comes back to it later, I'm fine with it. I'd like to know when we can expect that.
ParlaMint-NL_2016-09-29-tweedekamer-5.u286	I'll report it in second term. Mrs Bergkamp indicated that there is a lot in the newspapers about the portal. She said, "What's going on, is there panic, is there pressure?" Yeah, there's pressure on it. I also think it is very important to keep the necessary pressure on it. However, I have also said that I count my blessings at the moment. If all parties now say that they are going to build the portal together, so that it can be done quickly and carefully, then that is really good. It's still a little bit to be seen. If it is different, I will, of course, inform the Chamber about this in the plan that will come at the end of October. This also answers the question: is a new system being built or is it coming from Per Balance? I hope: of all parties together, of 'a common construction team'. Mrs Bergkamp and Mr Potters asked if the plan would come on 1 November. And what exactly does it say? The programme of requirements for the portal. What are the estimated costs of this? What does that mean for the investments still envisaged by the SVB and are therefore effective? What's the timeline? What about the clients and ownership, the governance side? My intention is therefore to honour that commitment to the Chamber and to explain it in this way in that plan. I think I have sufficiently discussed the question of controls. There was a question about the lead time of eight months. I think that we share the view that these lead times should be as short as possible. But here too, you see it continues to balance a little bit.It also takes time to come to the guarantees we have agreed with each other. Healthcare insurers The Netherlands and Per Recht have initiated a procedure to quickly find solutions for budget holders who could get into trouble as a result of too long a period of time. This procedure is beginning to bear fruit. Very carefully, I say that the number of problems relating to long lead times does indeed seem to decrease. But together with the care offices and Per Balance I also inventory how further accelerations can be applied in that process. Some health offices have drawn up a number of improvement plans in this respect. We're all freaked out by that eight-month lead time. That is an exceptional situation. Generally speaking, these lead times are decreasing, especially due to the efforts of the health offices and Per Balance. I believe that I have answered the questions about governance and the different parties. In my view, the specific question has been asked as to whether more and more standard models are being used. We have wondered in previous debates whether it is not possible to achieve further standardisation. The Social Insurance Bank is already working with standard models on the website, so they are also available to budget holders. Many budget holders also make use of this. Mrs Bergkamp actually asked if you could make that mandatory. That is indeed being worked on. We need to look again at what you can make mandatory and what we design as a service for the budget holders in a different way. So we are dealing with this standardisation battle. So there are already standard models available on the website. It has been asked why the multi-care scheme should be applied for over and over again. More care can be granted for a period longer than one year, especially when it comes to disease images, just to put it simply, which do not change anymore. With the Dutch Healthcare Authority, Zorginstituut Nederland and Per Recht I am in consultation to further simplify this multi-care procedure for home living clients. There are two types of situations: on the one hand you can get extra costs. Then other solutions can easily be provided. On the other hand, there are clients for whom this is not enough and for whom it should come from the multi-care scheme. Moreover, this scheme is a bit intended for the exceptions, because more than 95% of clients fit into the care-gravity problem without any surcharges or additional care. You can see that this often involves changing needs for care over time. It's hard to establish that. In December, I expect an opinion from Zorginstituut Nederland and the Dutch Healthcare Authority on how to shape more care and a custom profile within the Long-Term Care Act.
ParlaMint-NL_2016-09-29-tweedekamer-5.u287	I understand there will be an opinion at the end of the year. That's a little wider. It is about the customized profile and more care. But I find it very painful and annoying for parents who have a multi-care question that they have to tell the same story every year.
ParlaMint-NL_2016-09-29-tweedekamer-5.u288	Your position is for the second term. What's your question?
ParlaMint-NL_2016-09-29-tweedekamer-5.u289	My question to the Secretary of State is why he's waiting for advice. Why doesn't he just take care of it?
ParlaMint-NL_2016-09-29-tweedekamer-5.u290	If the disease does not change, it can be granted for more than a year. The discussion often arises when the disease is changing and you need a different level of care over time and it is difficult to say clearly: this is the more care that can be applied on a multiannual basis. We'll see where we can and where we can't. I do need that advice to look more broadly, but here solutions are conceivable. However, with varying care images it is often not possible. That's kind of the problem.
ParlaMint-NL_2016-09-29-tweedekamer-5.u291	I have the impression the Secretary of State is finishing up.
ParlaMint-NL_2016-09-29-tweedekamer-5.u292	As far as the contribution of D66 is concerned, yes. I come to Mrs Keijzer's points. I believe that we have already had a number of issues, in particular the question of the willingness to delete rules where possible. I have just made a commitment in this respect. I have also raised the question of which controls are being triggered or not. I think we've had enough discussions on that. I would just like to clarify the issue of the tendering procedure. That's actually a simple point. The law states that the Social Insurance Bank carries out the pgbs. If you want to change that, you will indeed have to change the law. To be honest, I think this is a bit of a problem for later, if we want it to be implemented in a different way. Indeed, if I have to wait until the legislative amendment is implemented with the start of the construction of a portal, even if it can be done as soon as Mrs Keijzer says, then there is a strange delay. And all the efforts are aimed at building the portal together very quickly. So if it succeeds in building that together, with the commitment and the strength that all parties have and develop, that is my preferred option. Why? Because that's how you can speed things up. You can tender instead of contracting and therefore make speed in the realization. If it doesn't work, it won't work, but I think it's an interesting opportunity to investigate.
ParlaMint-NL_2016-09-29-tweedekamer-5.u293	Mrs Keijzer, briefly.
ParlaMint-NL_2016-09-29-tweedekamer-5.u294	I was just waiting to see if this was the whole answer to my question as to whether the Secretary of State was married to the Social Insurance Bank. Yeah?
ParlaMint-NL_2016-09-29-tweedekamer-5.u295	No, we didn't marry anyone. It must be carried out by the party that can do it best. I now notice that all parties say to each other: that portal is a joint responsibility that we all have to share, now and in the future, so let's also see if we can build it together. Again, I appreciate that very much. I think it is a good commitment, also from healthcare insurers Netherlands who want to devote their powers to this. I think that's very good. Then we can look at how management should be managed. Well, we still have a little time for that. We now need to focus on realising the portal as soon as possible.
ParlaMint-NL_2016-09-29-tweedekamer-5.u296	That's just too easy. I heard the Secretary of State just now in an interrupting debate about 'all actors, including the knowledge and skills of the Social Insurance Bank'. Well, we know what that's like by now. I am therefore particularly interested in a variant where management is not in the Social Insurance Bank. I hear the Secretary of State say here: yes, but we are going to talk about building now, and about management later. No. Now there is talk with all parties. I hear, not from the Secretary of State but in the so-called walkways, that it is clear that it has to be with the Social Insurance Bank, whatever happens, because legislation changes, because tender... I just want to hear from this Secretary of State to the point whether or not that is the case. And if that is the case, does he agree with me that this amendment of the law is so regulated and that there should be no obligation to tender? Only then will we really be able to look freely at a good future of the personal budget.
ParlaMint-NL_2016-09-29-tweedekamer-5.u297	If you now want to contract to a party other than the Social Insurance Bank, a legislative amendment is necessary. The law states that the Social Insurance Bank carries it out. We are now investigating the possibility of ensuring, under the direction of the Social Insurance Bank, that all parties work together on the portal in a building team. If that works, and we don't need a tender, we can do it. Then we'll move on. Then we can see on our own merits how this can best be done, and then we are married to no one. But I now choose speed, because I think we all want to realize the portal as soon as possible, with due care. I always look at Mrs Bergkamp and the reports that the chairman has written about it in a different capacity.
ParlaMint-NL_2016-09-29-tweedekamer-5.u298	I hear the Secretary of State say, under the direction of the Social Insurance Bank. I can't believe my ears. Hasn't he proven for the past two years that he's not very good at that? I have already asked Bureau of Legislation how we can change the law. Then that's off the table. Then, together with Per Recht and the healthcare offices, we can look at a new portal, in which there is no complicating factor and in which we can look at things without the Social Insurance Bank? Because you can say whatever you want from health insurance companies, but they don't have the Social Insurance Bank's payment problems. So at that point, they have a better record. I therefore ask the Secretary of State once again whether he believes that this can and should be done in a different way. Get away from that Social Insurance Bank.
ParlaMint-NL_2016-09-29-tweedekamer-5.u299	The question is clear. The Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-5.u300	Mrs Keijzer has obviously already chosen, because she thinks that the health insurance companies should do it. To be honest, I agree with Mrs Voortman's once again nuanced remark, even though I hope that I do not wrong her. She suggested that we first take a good look at what wisdom is. On the one hand, you cannot say that it should be the Social Insurance Bank, because it depends on how we deal with the governance in that portal. But on the other hand, you cannot say at this stage that it should be with the health insurance companies, because that would be best. I don't think that's a good idea. The best thing is to build that portal together now. That's what everyone wants. There are a number of questions about how to manage that portal. We are not married to anyone either. I hope Mrs Keijzer does not want us to be able to make a good balance between ourselves. If this is the portal and if this is the collaboration that we have to organise with both municipalities and health offices, and we also have to deal with the employers' tasks that the Social Insurance Bank is now carrying out, I think the joint commitment to take a step forward now is more important than making choices that are partly dependent on legislative changes and that only lead to delays.
ParlaMint-NL_2016-09-29-tweedekamer-5.u301	A final question from Mrs Keijzer.
ParlaMint-NL_2016-09-29-tweedekamer-5.u302	The way the Secretary of State does it again is beautiful.
ParlaMint-NL_2016-09-29-tweedekamer-5.u303	Well, at least I'm happy about that.
ParlaMint-NL_2016-09-29-tweedekamer-5.u304	It's really great. He talks throughout the debate about the way in which an alternative is being worked with the Social Insurance Bank. I urge you to examine the possibility of doing it without the Social Insurance Bank. I don't know if this Secretary of State doesn't want to hear me or if he can't hear me. I shall therefore put forward a motion to ensure that an option is considered which does not involve the Social Insurance Bank, in accordance with the plan presented by Per Recht and the health offices.
ParlaMint-NL_2016-09-29-tweedekamer-5.u305	In her approach, Mrs Keijzer makes no distinction between construction and management. With regard to construction, let us now ensure that it is possible for all parties to commit themselves to a joint construction team in order to achieve that portal that is useful to everyone, because each party must be connected to it and which could also lead to speed, as soon as possible. It'd be nice if you could. However, the management question is of a different order. That question must be open. It should also be possible to see if it can be managed by others. We can come back to that later, but that question must not prevent us from taking a quick step forward to build together. I think it would be wise not to make that choice now, because it could prevent speed.
ParlaMint-NL_2016-09-29-tweedekamer-5.u306	It's good to hear that at least the Secretary of State didn't marry anyone on this file.
ParlaMint-NL_2016-09-29-tweedekamer-5.u307	I think that is also true of Mr Potters.
ParlaMint-NL_2016-09-29-tweedekamer-5.u308	Sure, but we have said that a long time ago. It's not about who's doing it, but it's about doing it right. It doesn't necessarily have to be the SVB. In my view, the legislation can simply take place in parallel. I think the Chamber can really slap it. The desire to do so very quickly lives Chamber-wide, so the bottleneck will not be there. However, I hear the Secretary of State making a distinction between management and construction. I understand some of that technical distinction, but I do not want to do so, and I continue to stress that on 1 November we still cannot make a full choice as to the role of the SVB now and in the future. It can't be that on November 1st there might be a portal, while at the same time we only have half a plan because we don't really know how to manage that portal. I want a full and complete plan on the basis of which the Chamber will be able to make a decision this year.
ParlaMint-NL_2016-09-29-tweedekamer-5.u309	Maybe fourth time: yes, there will be a plan that will enable us to decide together what the future is of the pgb's, including the construction of the portal and the governance that goes with it.
ParlaMint-NL_2016-09-29-tweedekamer-5.u310	Does that also apply to management?
ParlaMint-NL_2016-09-29-tweedekamer-5.u311	Yes, that also applies to the choices we make with regard to management.
ParlaMint-NL_2016-09-29-tweedekamer-5.u312	Clear.
ParlaMint-NL_2016-09-29-tweedekamer-5.u313	The Secretary of State just referred to my comment about the health insurance companies and whether their management would be in good hands. Of course, I am not saying that management at SVB would by definition be in good hands. I am concerned that we do not immediately say that the SVB and the health insurance companies are the only two options. I believe that there are other alternatives.
ParlaMint-NL_2016-09-29-tweedekamer-5.u314	I could have said it the same way.
ParlaMint-NL_2016-09-29-tweedekamer-5.u315	I had the impression you were finishing up?
ParlaMint-NL_2016-09-29-tweedekamer-5.u316	That's right, Mr. Chairman. So much for the tender. Mrs Voortman made a number of comments on small-scale housing initiatives. She wondered whether they would be too limited by too short contracts. I have already said in general terms that I share the importance of housing initiatives. Municipalities also have that space according to the new Wmo. I am very willing to look at how this can be further promoted with Per Balance and the VNG on this issue too. I would also like to involve that in the support programme. I can see, moreover, that municipalities are very interested in this. I have just said that some small-scale housing initiatives have come about with pgbs. They may need to get their rightful place in the Wmo and the Long-Term Care Act. This way it can be organized in a much more convenient way. I would very much welcome that. I am very willing to discuss this further with the VNG. I have already made a number of comments about the accelerations and simplicity of solutions from one domain to another. Mrs Voortman also asked whether a standard form could be made and/or made compulsory at the Social Insurance Bank. That standard form is indeed there. Budget holders can make use of that. I come to the specific question of the Christian Union how to prevent queues. We have already talked about how we can prevent major outages. We do this by informing and supporting budget holders both in writing and orally. We do this by keeping the emergency channel, which is hardly being used anymore, intact. We're gonna keep the finger on the wrist to make sure everything's going okay. If necessary, we can intervene. The Social Insurance Bank has the capacity to ensure both telephone and manpower that every budget holder gets the help he wants. Mrs Dik-Faber also asked me to do everything I can to get the portal started as of 2018. That is indeed the ambition. This is not only about the portal, but also about the plugs needed for municipalities and healthcare offices to connect to it. Otherwise, we'll have a portal that can't be used. So that's really part of it. That is why it must also be part of the overall plan. I think we have talked enough about the studies in the municipalities. Mrs Dik-Faber also raised a specific question on dispute resolution. The Long-Term Care Act has the following possibilities. One: filing a complaint with the health care office. Two: Objection to the decision of the healthcare office. Three: appeal to the court. Mrs Dik-Faber said about that last possibility that it is a sin when it has to come to this. In addition, there is independent customer support. I understand Mrs Dik-Faber's comments. If someone's worried about something, they can hesitate if it's hard enough to go to court and wonder if it can't be simpler. I would like to promise that I will look into whether we can take a few more steps with regard to dispute resolution, particularly in the area of independent customer support.
ParlaMint-NL_2016-09-29-tweedekamer-5.u317	I have two questions. Will customer support be further strengthened, or will there be independent dispute resolution, as in the position of the SKGZ? And when does the Secretary of State intend to inform the Chamber about this? I've been talking to the Secretary of State about this for a while, inside and outside debates. I really want it to be taken care of, because it really kills people. An Ombudsman or dispute resolution can be very helpful in keeping people out of legal procedures and ensuring that they receive the care they need.
ParlaMint-NL_2016-09-29-tweedekamer-5.u318	If I look in front of myself and try to interpret what is meant, I hope we could deliver that in November.
ParlaMint-NL_2016-09-29-tweedekamer-5.u319	Is that for budgetary treatment?
ParlaMint-NL_2016-09-29-tweedekamer-5.u320	I can't promise you that. There's still a few things to figure out, but I'm really gonna do my best to do that.
ParlaMint-NL_2016-09-29-tweedekamer-5.u321	Is this about strengthening the position of customer support, or is there going to be an ombud function and dispute resolution à la SKGZ? I really attach to the latter. Client support is already there, but it needs a tooth. I'd also like to table a motion and hold it, so that's how we're gonna settle it and get the Secretary of State to work. Something just needs to be done.
ParlaMint-NL_2016-09-29-tweedekamer-5.u322	That might be a good shape. I hesitate for a moment because in a public-law context dispute resolution works differently than in the case of insurers, who have taken care of a number of matters themselves. So I really want to take a look at that. I make a commitment that I want to see which additions are needed. That could be client support, but it could also be the other side. We'll see what's possible.
ParlaMint-NL_2016-09-29-tweedekamer-5.u323	I would like to say in general terms that first-term announcements of motions and then saying that they are still being held makes the instrument very blunt.
ParlaMint-NL_2016-09-29-tweedekamer-5.u324	I think I answered Mrs Dik-Faber's questions about the portal and 1-1-2018 in the general debate. I now turn to Mrs Volp's questions. She asked the specific question what the experience is with calling people. In weeks 35 to 38 the SVB has called budget holders. That happened 11,000 times in total. The SVB indicates that budget holders generally respond positively to the targeted feedback and say: this is not right and that is true. Sometimes the Social Insurance Bank has to call several times because the budget holder does not answer or is not at home. We are going to see whether budget holders can be achieved even better during the start-up period, for example by calling in the evenings and weekends. We also want to see to what extent the provider can be engaged when we feel that it is not working. Shouldn't the care office or the municipality take further action? I don't know if that's going to work, because that's a bit labour-intensive, but I'm trying to indicate that we're monitoring what's coming out and seeing if we can further support the budget holder. Is there sufficient capacity available at the Social Insurance Bank? The answer to that is yes. Later, too. Mrs Volp also asked if we would get the necessary information about the portal and the plan to be able to make a decision. Yes, that's my intention. I think we've already talked about this in detail. We have also discussed the transition between domains. I am willing to investigate this with healthcare insurers Netherlands and Per Balance. The bureaucracy associated with the transition between domains will and must be reduced. The new portal will be able to contribute to this, but that does not mean that we must do everything we can to see whether we can reduce administrative burdens in the current situation. I have already promised to inform the Committee on Budgets about the plans on that point. I come to Mrs Leijten's specific questions. As I have already informed the Chamber, there is currently a European call for tenders to implement the compensation scheme. I hope to inform the Chamber in October whether a suitable performer has come out of it. I can't say exactly yet. Budget is reserved in 2016, so I hope it can also start this year. If that should not be the case, it does not mean that this budget is no longer available afterwards. I believe that I have already tried to answer Mrs Leijten's questions regarding '2018-2020' in this debate. The same applies to the question of whether there are too many or too few forms. I have spoken about this balance and about the signal that budget holders could not declare. In abundance, I would like to point out the following. In view of the current figures and the rate of payout, we can at least see that the vast majority of this has been sorted out. This makes it possible to take the step with regard to the checks on the declarations. Mr. Chairman. This was my first term.
ParlaMint-NL_2016-09-29-tweedekamer-5.u325	There's been an interruption by Mrs Leijten.
ParlaMint-NL_2016-09-29-tweedekamer-5.u326	I had asked about the illegality of these 800,000 claims, as well as the payment rate. Do we have to assume that the payment rate including the 800,000 is unlawful, so that 61%, or exclusive?
ParlaMint-NL_2016-09-29-tweedekamer-5.u327	I'm not sure you can relate that, because 61% is an analysis. Those claims were paid for. This analysis went as follows: if all controls were on in that way, what would be the possible failure? These are declarations that are rightly or wrongly made. So you can't calculate that figure like that.
ParlaMint-NL_2016-09-29-tweedekamer-5.u328	We would be informed about the state of play every month. That's not gonna happen. Each time it is said that 95% to 96% of the properly submitted declarations are paid on time, i.e. within 10 days. Now we have the discussion that 61% would be unlawful if all the controls were on. Does that affect each other? It's kind of relevant to know this. I imagine the Secretary of State doesn't have the answer right now. Agreed, but I'm assuming he can let us know.
