ParlaMint-NL_2016-11-30-tweedekamer-9.u1	I would like to welcome the Minister and the Secretary of State for Security and Justice.
ParlaMint-NL_2016-11-30-tweedekamer-9.u300	So does the Labour Party. Then Mr Verhoeven should say where exactly it should be better rather than saying that it is all just one pot wet.
ParlaMint-NL_2016-11-30-tweedekamer-9.u301	I'm gonna make a lot of proposals. I'd like to start with the law on computer crime. For example, let's agree that we are not going to say that the police and our own government are allowed to buy unknown vulnerabilities in black markets, dark markets, to make sure that we are supposed to be able to tackle crime. Let us try to amend that proposal. This will certainly be the subject of an amendment from us. There will be many others. We will always come up with initiatives to make things better. If I don't say these laws are bad, no one in this room will say it. That's why I do it. I will continue my speech. I said the VVD has become a right-wing party. That was a natural moment of rest. Against these bad laws, D66 will bring many realistic proposals to truly enhance our cyber security and freedom. For example, I would like to say this to Mr Recourt: our pre-summer Tech vision and our initiative paper The Internet of Things last week. It includes proposals such as sticking to strong encryption, digital skills in education, a strong and independent national cybersecurity center, software liability, minimum requirements for internet-connected devices so that we don't get a very safe internet of things, transparency about algorithms from the big powerful companies like Google and Facebook, and so on. We also need to train the police and detectives better in order to better tackle cybercrime and invest in good online detectives. That is why I have tabled an amendment to increase the Team High Tech Crime and invest in better cybercrime prevention campaigns. Finally, I would like to say that this cabinet constantly pretends that security and freedom are opposite each other, as if they were enemies of each other. That is bad nonsense, because privacy is personal freedom and security for 17 million Dutch people. All the proposals put forward by this cabinet make the privacy of innocent citizens smaller and smaller. I just told that to the CDA colleague. That really has to stop. Unfortunately, we also read nothing in this last budget that strengthens the security and freedom of 17 million Dutch people. Once again, there is less budget for our privacy watchdog, the Dutch Data Protection Authority. D66 wants to triple the budget after this cabinet. We put that in our election program. This cabinet is also on its hands in serious data leaks at municipalities, energy companies and hospitals. The Minister then says: his own responsibility. How sustainable is this if large-scale data leaks increase? D66 therefore wants an action plan for cybersecurity in public institutions and for resolving privacy bottlenecks in decentralisation. I would, of course, like to say something about the land register. Call PowNed showed that anyone in this public register can search for sensitive personal data. The proposal to protect data from specific persons in particular situations is not enough. D66 believes that only those for whom the data are necessary should be able to access it. This can be done with a reporting obligation for public registers, so that people can see who uses which personal data of them and for what purpose. There should also be a data lock on all public registers so that only those who have a legitimate interest can access it, for example after an interest test, such as in Germany. I'd like a response. I'm rounding up. Everyone wants a safer Netherlands, but let's stop with clean appearances, tough language and fake security, and let's opt for real solutions. This is the last budget with the VVD on V and J that we all agree on here, but before the next cabinet gets a move on, there are still crucial months to wait. I'd like to know from this minister if he's ready.
ParlaMint-NL_2016-11-30-tweedekamer-9.u302	Madam President. I will start where my group colleague left off, namely in the area of safety. The rule of law cannot be without security, but it is based on another important pillar, namely effective legal protection, in conflicts between public authorities and citizens, between employers and employees, between spouses, between neighbours and between businesses and customers. The judge is here to resolve the conflicts that we cannot resolve ourselves. With that certainty in mind, we avoid self-direction. If a supplier can go to court, he will not go to court with a brawl team to get a story from a non-paying customer himself. Then he sends the bailiff with a verdict. Legal protection was shaken by the austerity drive of the Rutte I and Rutte II Cabinets. Not "what's it gonna take?" But "how can it be cheaper" seemed to be the starting point. Fortunately, money will be added for the police and the judiciary, but previous measures which nibble at legal protection will not be reversed. The cabinet has more in store. For example, citizens and businesses were billed under this cabinet. They now pay considerably more if they want to bring a case before the courts. But what does an independent plumber do with an unpaid bill of €78? It's gonna cost more than it costs to get to court. The alternative, the Disputes Committee on Jobs, now also threatens to be closed down if the subsidy is withdrawn by the Cabinet. Can the Minister respond to that? What's the plumber supposed to do now? Suppose that same plumber on a dark November afternoon with his company bus caused an accident because he overlooks and knocks over a cyclist when he turns off. Then who's gonna assist him in criminal proceedings for dangerous driving? Is there, I would ask the Minister, still a good lawyer who has points and can get an addition? If that company bus is impounded by the police for the criminal investigation, will the plumber get it back? How does he prevent his bus from being sold before there's a judge's decision on his complaint? Is that what I ask the Minister to be waiting for? And what happens to the hit cyclist? How long is it gonna take him to get compensation for his broken bike? Mediation has proved to be a way to quickly resolve damage to one another. It is also cheap, because the judge and the Central Judicial Collection Agency don't have to use it anymore. I am therefore surprised that the Minister does not support a continuation of the pilot criminal mediation. Has the Minister involved the fact that compensation through mediation can be arranged so quickly and cheaply, for example, in his decision not to continue that pilot? I like to hear it. I'm coming up with child protection measures. Let's keep thinking. The plumber ends up in a fight divorce with his ex-wife because of his problems, causing his 9-year-old son to get pinched. His little boy flies so off the bend at school, there's a report coming up. The Children's Protection Board is involved and advises to put the boy under supervision. The question arises as to whether the council will be allowed to do so without the intervention of the judge. I would also like to hear the Minister. These are bottlenecks in legal protection, which seem commonplace but which can occur much. They're not imaginary at all. A little less commonplace is the last subject for which I would like to draw attention: judicial errors. There are signs that there are far more than expected and that the threshold for revision is too high. Does the Minister agree with me that this undermines confidence in our justice system? Is he willing to investigate whether there are ways to prevent error or to recover more easily and quickly? I ask all this with understanding for the fact that it is a difficult balance between legal certainty and the possibility of correcting errors. I'm curious to hear the Minister's response.
ParlaMint-NL_2016-11-30-tweedekamer-9.u303	Mr. Chairman. All good comes in threes. Four years of asylum under the care of this coalition. Four years of rope pulling between the VVD and the PvdA. The VVD wanted to please the PVV-chooser and the PvdA tried to save its ideals. The result? Zigzag policy, chaos, stooge. Unfortunately not only in the Netherlands, but throughout Europe there was division and associated misery. 2016 is the year in which more than 3,000 refugees are trapped in Greek camps in a location where up to 1,000 people fit in. 2016 is the year with the most deaths ever on the Mediterranean. 2016 is the year in which Lebanon and Jordan accused us, the European Union, of doing too little. 2016 is the year in which our asylum policy was outsourced to starting dictator Erdogan. The most characteristic example of the incoherent policy of this cabinet is the bed-bath bread dossier. A year and a half ago, the cabinet balanced on the edge of the abyss. Local directors were kept in uncertainty for a very long time, but last week this Secretary of State pulled the plug on the negotiations. Probably whistled back by the campaign team? Now he says toughly: funding is going to stop and by law local care is simply forbidden. That all makes sense. Tried out? Then you have to go back. Only if you cooperate will there be shelter and you can go to Ter Apel. If you don't cooperate, you'll be on the street. But this Secretary of State also knows that this approach already exists and does not work. Does the Secretary of State recall the Linking Act, with which the Empire would ensure a comprehensive return policy and the municipalities would no longer provide shelter? I hope I do not have to remind the Secretary of State that this return from the street simply does not work. Do we really want to deprive people of the most basic facilities, just because our return policy does not work? What is the Secretary of State going to do with the return and reception of ex-convicts? In which municipalities do the announced rural facilities for foreigners come? I want the funding to municipalities for bed-bath bread to continue as long as there is no conclusive policy. In the letter of amendment, I did not see anything about the deletion of these funds. I'm gonna ask the Secretary of State if he made it to the barracks. I would also like the Secretary of State to waive the legislation he has announced banning municipal care, as long as he himself does not have a better alternative that is also supported by municipalities. I'm asking him if he's willing to do that. I would like to join the Secretary of State in thinking about a better return policy. Is he prepared to see if more can be done to return by releasing specialist capacity at embassies for that purpose? I'd like a response. D66 has worked hard for language lessons from day one for asylum seekers who should be on their hands for months, who cannot start their integration, who cannot work on their future. Research shows that migrants with good language control are two to three times more likely to have a job. After a lot of twitching, a motion of my hand was passed on this more than a year ago, but it took more than a year for the cabinet to write a letter about the execution. Why did this take so long? I can't really think of any other reason than unwillingness and political games. That reaction, more than a year after that, was a plan to do something somewhere in six months, probably after the elections. I ask the Secretary of State, why the delay? Why does the government commit itself to an aid explosion and an integration disaster, and what are the social costs of this delay? Mr President, I will continue! Last year we were here at the height of the refugee crisis. The daily images of buses with asylum seekers from crisis location to crisis location and local drivers with their hands in their hair: complete chaos. Now everyone seems relieved to sit back, because extra shelters are closed and additional IND and COA personnel are sent back out. I ask the Secretary of State: is the cabinet prepared now when that deal with Erdogan collapses? Even if that deal didn't crack, is the cabinet prepared for the additional influx that already seems to be slowly increasing via Georgia and other routes, including the Balkan route? Is it wise to delete all the shelters and do we have a plan of action in the event of an increase in the influx? If you see today's footage of Aleppo, you'll see that city is empty. If you know what's gonna happen in Mosul, you know that town's gonna drain. Those people are going somewhere, and the chances of them choosing Europe and the European Union as their destination are simply very great. Another important point: war criminals and human rights criminals. War criminals hitchhiking in a refugee stream: people are worried about this. I'm not here to scare people, but I do think we should do everything we can to filter those people out. The International Crimes Team has the very important task of signaling, prosecuting and bringing these war criminals to justice. In my opinion, these efforts could use an extra boost. That is why I am tabling an amendment which regulates an additional 2 million to the International Crimes Team. Is the Secretary of State prepared to support that? Finally. My group, supported by the Labour Party, the SP, GroenLinks and the Christian Union, has called for 750 single refugee children from Greece and Italy to be brought to the Netherlands. Twelve have now come to the Netherlands from Greece. Twelve! Of course, that's far too little. In Italy alone, there are 4,000 single children, zero of whom have been relocated. According to the Cabinet, this is due to the "administrative legal complexity" I quote. I do not know exactly what to imagine, but no doubt the Secretary of State is going to explain it to me. I do know that these kids will have very little message about that. I would very much like those 750 refugee children, whom we agree on in the Chamber, to come to the Netherlands and other European countries before Christmas. I'd like action from the Secretary of State!
ParlaMint-NL_2016-11-30-tweedekamer-9.u304	Mr. Chairman. Recently, I was in beautiful Rome. I walked past an old building with on the façade the text "Grazia e Giustitia," Grace and Right. Turns out it's an old building from the Justice Department. In Italy, that ministry used to be called the Ministry of Grace and Law. In 2010, the Christian Union strongly opposed the name name of this ministry and that it became the Ministry of Security and Justice, because the name says something about a ministry. I like that old name from Italy, because it exudes the wonderful ambition to contribute with justice to the restoration of society. As far as the Christian Union Group is concerned, this recovery should be at the forefront of the Ministry's budget. It also includes severe punishment and clear justice, but as part of efforts to restore relations in society, to seek the peace of that society. In this light, I note that after six years of Security and Justice and six years of VVD executives at the helm, the choice to let security go for everything, including in the imagery, has been a wrong one. I am hoping that the ministry will again become a ministry in which the law prevails, i.e. a Ministry of Justice. In many places, in recent years, the ability to work on recovery and justice threatened to get in the background. There were major reorganisations in the police, tight budgets at the Public Prosecutor's Office, the police and the judiciary, and major problems with the national police. Sometimes there was also an unfortunate act by the minister or hassle at the ministry. However, I would also like to congratulate the Minister. We have had to strongly encourage him and the cabinet from the opposition in recent years, but more money has now been added. And I am truly very pleased with that. But now, as far as the Christian Union Group is concerned, those improved finances must really lead to more focus on justice and recovery. In that context, I would like to begin with a proposal for a court of peace. In Belgium you already have these in certain forms. I was put on the idea by Mr. Frank Visser, previously known as The Driving Judge. He suggested in his booklet Our neighbors many years ago to introduce a district judge in every municipality, where you can go easily. I am not thinking of a canton dish in every municipality or anything like that. My proposal is to have a judge sit on site, in the village or in the city, in a community center, a Security House or a Centre for Youth and Family, where you can submit small cases for a small amount of money. It may be canton cases that are normally dealt with in ordinary canton courts, but as far as we are concerned, it is also common neighbor disputes, in which the question of law is less clear. So it's the middle line between justice and mediation. In both types of case, it is about restoring relations and, where possible, resolving the underlying conflict. Such a proposal can contribute to peace for society and it can ease the burden of ordinary justice. I would like to propose to the Minister that he examine the feasibility of this plan. I intend to table a motion on this matter in the second term. Another point of recovery concerns the exit programmes for prostitutes. Until 2018, 3 million euros are available each year, but the money is out. However, there are still initiatives to set up an exit programme in places where there is nothing yet. We believe it is important that there should also be an offer in these areas. Together with Mr Van der Staaij, I have tabled an amendment to make €100,000 available for this purpose. With compulsory co-financing, this can become an amount that helps a lot of women and men to get out of prostitution. I hope for broad support in the Chamber and from the Minister. When we talk about recovery and rights, of course I come to the EUR 1.5 million for the promotion of recovery rights, as Mr Recourt has already mentioned. There's a line through it. I find that extremely disappointing, because it is so important for victims but also for the lives of perpetrators. They can be put back on the right track. It also helps society move forward. That is why I co-signed the amendment with conviction. If there is one organization in service of recovery and justice, then it is the men and women in blue. I would like to express my appreciation for them here, because I know that they sometimes get a different feeling in politics and that the political direction of that organisation sometimes leaves something to be desired. The fact that the police summit and the works council had recently been compromised doesn't help either. I found the Minister's relativisation in the daily newspaper this weekend with regard to the amount that has been cheated, not wise, I must say honestly. Perhaps the Minister would like to reflect on that again. I want to ask another question because of the trust of the ordinary agents. There are a number of very well-paid advisors within the Ministry or in service with the Ministry, in particular with the police. Among other things, former Chiefs Bouman and Welten are employed as advisers. What advice have they given in the past year? Were they really worth that royal salary of theirs? Maybe the Minister can give some insight into what all advisors in the Ministry who make more than €150,000 actually delivered to products. Is it customary for workers leaving to find themselves in an advisory pool for a large salary? I would like some clarification on that. It's important that the police work integrally. That is why I would like to draw attention to two groups. The first are the boas. I would like a response from the Minister to the proposal of the Society and Security Foundation, the foundation set up by Mr Pieter van Vollenhoven. It calls for the placing of boas as sergeants with the police, so that they have a formal position, thus enabling an integrated approach to security. I find that an interesting thought, because police and municipal boas are now working side by side. Is the Minister prepared to investigate such a construction? A second group that calls attention are the police volunteers. The Minister has put police volunteer policy in the refrigerator because of the reorganisation with the national police. The organisation of police volunteers, LOPV, wants a national volunteer policy to be put in place quickly. There are now major regional differences. This organization, as I understand from the newspaper, has quit and will not talk to the minister until it is clear about the position of police volunteers. I find that very worrying. Police volunteers are people who offer their services with heart for the cause. I think we should deal with this properly and, above all, keep talking to them. I'd like to know what the minister's gonna do to get those police volunteers back to the table soon. Yesterday, the municipality of Amsterdam announced its intention to ban street harassment in the APV. It is a problem: women who are being flogged or get sexually tinted comments thrown to their heads. I welcome that initiative. In The Hague, there was a similar plea from the Christian Union groups, the SGP and the CDA. However, immediately there were also lawyers who indicated that such a ban in the APV is not possible, because criminalising the content of statements is a national competence. Is that right? Is the Minister prepared to bring about a national criminal offence? I am also considering a motion on that point. That is a point, Mr President.
ParlaMint-NL_2016-11-30-tweedekamer-9.u305	It's street harassment, or sexual harassment on the street. I'm at an advanced stage with a legislative initiative. The question I have put to Mr Van Toorenburg is also addressed to Mr Segers. If he thinks this is so important, does he participate in that bill?
ParlaMint-NL_2016-11-30-tweedekamer-9.u306	I think that's a very nice invitation. I see a very open attitude in the PvdA Group. We are a very constructive group. I'd love to think along. That is not so much because this cooperation is on one side, but because we are really tackling a very real problem, namely the safety of often women, but sometimes also men on the streets. The street must be a place of all of us, where people feel safe. If we can promote this safety, I'd be happy to do my part.
ParlaMint-NL_2016-11-30-tweedekamer-9.u307	We are convinced that the current legislation is inadequate and that something must be done. That's why there's this legislative initiative. It would be nice if we could get a majority for that in the Chamber.
ParlaMint-NL_2016-11-30-tweedekamer-9.u308	I encourage Mr Marcouch to start this very quickly. If we really want to go further in this period, he must be very quick. I'd be happy to cooperate.
ParlaMint-NL_2016-11-30-tweedekamer-9.u309	Mr. Chairman. "Thousands of people are trapped in Greece. The Greek islands where I work as a volunteer are overcrowded. It's inhumane and embarrassing. The Netherlands promises to relocate 4,000 people from Europe and does not keep its promises so far. The Netherlands has thousands of empty beds in the shelter. It's warm, dry and safe. It's a place where people could wait for their procedures. Why don't we pick these people up?" This is a quote from a letter I received yesterday. It's not the only letter I got. Almost every week I get letters from volunteers working there on Lesbos. It's actually my question to the Secretary of State. By now, 16,000 people in degrading situations are stuck on those Greek islands. They're in the cold and the rain, children and the elderly. It's a disgrace to me. It is a failing asylum policy for Europe. We need to speed up the screening. So does the Secretary of State. That would be better if Europe and the Netherlands were to help Greece. When is that gonna happen, especially to save those single kids from the claws of human traffickers and pimps? How many of those 750 children about whom the Secretary of State has made a commitment have already been included in the Netherlands? Meanwhile today several hundred cars were ready to get these people out of the camps in Greece, with the action We're going to get them. Today, I was handed something over from a hooded driver. Will the Secretary of State also help these people get them? Then I come to the other group that is in danger of falling into the cold in the Netherlands. The consultation with the municipalities about bed-bath bread has been terminated by the Secretary of State. Municipalities are now being financially punished for this, while return policy is the final piece of his own asylum policy and not that of the municipalities. I therefore call on the Secretary of State to resume negotiations without conditions. Otherwise the parties will not come out. Come out, give them the help they need and literally don't let them stand in the cold. I say that about the proceedings, but also about the municipalities. I am also saying it in the direction of the Labour Party. In the event that the Secretary of State does not wish to do so, we have made an amendment with various parties in the Chamber calling for this funding to be made available to the municipalities, at least as long as there is no agreement with the UNG. Finally, I come to the asylum children and the many relocations. The Secretary of State recently sent a letter on this matter. He says to opt for azc's that stay open for a long time so that the children do not have to move, but also recently 52 children have moved from Almelo. There was no need. Can I ask the Secretary of State again? Please, the moment those kids go to school, leave them in those schools and don't move them anymore. I'd like to get a response from the Secretary of State.
ParlaMint-NL_2016-11-30-tweedekamer-9.u310	Mr. Chairman. Following an approved motion by GroenLinks, yesterday the Secretary of State finally sent the anonymised minutes of the granted requests for a children's pardon permit to the Chamber. Turned out there weren't 40, but even less, 29. We have not been able to read all the minutes, but a large part of the cases are cases where a residence permit should be granted in any case. There's gotta be another way. The criterion of participation must be applied with a more human dimension. For example, it is not fair to expect people to spontaneously prepare their departure from the Netherlands or arrange documents at the embassy of their country of origin, if this embassy does not cooperate. I come to this point with a follow-up motion. After a year and a half of negotiations, Secretary of State Dijkhoff pulled the plug last week in the consultation with the municipalities about the bed-bath-bread shelter for processed asylum seekers. Municipalities pick it out with ex-asylum seekers who can't leave the country. In fact, the Secretary of State is working on a ban for municipalities to provide shelter at all to the outlaws. Municipalities have achieved asylum care in the last two years under great social pressure. They have therefore taken on their responsibilities, but so far Secretary of State Dijkhoff has not provided a solution for asylum seekers who cannot return to their country of origin. That is now being passed on to municipalities. Stink for thanks! It's no good to anyone that we let people sleep on the streets in the winter. GroenLinks therefore calls for a committee of wise men to be set up to settle the disagreement between municipalities and the State Secretary. Is the Secretary of State prepared to do so? The COA has announced the removal of one third of the jobs due to the reduction in the number of asylum seekers. In this light, GroenLinks considers it all the more incomprehensible that the Secretary of State refuses to bring more refugees from Greece and Italy as agreed, arguing that we would not have enough capacity. Can he explain how he can unite these two things? The problems that the next cabinet has to solve in the area of justice are great. The house of the national police is cold and is already a wreck. One affair after the other comes to light. The working environment of the security system has been seriously compromised. The Netherlands is leaving behind in the terrorism approach. There is international criticism of the draconian anti-terrorism legislation, but in practice suspects are too easy to get under the radar. And although the worst cuts have been cancelled for the time being, the rule of law is in urgent need of renovation. The Minister's reaction, which portrays himself as a tidy person, is characteristic: not gloomy, not exaggerate. In short, let's be happy, right? But the number of acquittals is increasing. The compensation for wrongful detention is increasing. Right now, there's probably more convicts than we think possible for crimes they've never committed. In his main editorial comment, Folkert Jensma denounced the effectiveness of Dutch criminal justice. The police have only a limited picture of what people do to each other. The Public Prosecutor's Office dismisses about half of all the cases it is aware of. Pakkans and chance of punishment surprised the General Court a few years ago. In the Netherlands, the right to go to court is recognised in the Constitution. In a peaceful society, you do not fight disputes with the fist, but you ask the judge for an independent judgment. Fortunately, after years of cutting back on equity, a temporary pass seems to be made, an opportunity for a high level of maintenance of the rule of law. It is not surprising that, in a situation of runaway legislative drive, complex legal proceedings are often taking place. Successive ministers ask citizens not to go to court in particular, but to ignore the fact that citizens often have no alternative and are sometimes sucked into proceedings by governments themselves. Is the Minister prepared to light his light in Britain, where new digital forms of justice are not offered as a substitute, but as a complement to traditional justice? The preliminary results are innovations and improved access to justice. Citizens know more quickly through digital intakes and efficient information on how the legal situation is in place. Digital justice prevents lengthy traditional procedures and contributes to a fast, accessible and cheaper judicial process. We have to take that chance. That does not mean, however, that we must break down the traditional course of justice. On the contrary. We must prevent social lawyers and the judiciary from becoming a crepe model by directing legal aid payments. For example, by squeezing the fees for council members in police interviews, the Minister denies access to justice and legal counsellors a fair remuneration for their important work. The overload of police officers, prosecutors and judges is a major shift in the effective functioning of the rule of law, and this needs to be resolved. GroenLinks will grant the minister the transition to Artis, which he has ambitioned. However, the directors are still in place. GroenLinks therefore wants to know what the political agenda of both directors is for the coming period. What legacy do they wish to leave to Security and Justice for their successors? Is that an all-expensive farewell party and "after us the flood" or is the Minister going to do anything to get things in order? The Minister and the Secretary of State will undoubtedly read their newspapers. Playing old affair on. For example, what was really the department's influence on the police decision to show pathologist George Maat the door? Why has it not been investigated that El Bakraoui probably bribed the Turkish authorities to be deported not to Belgium but to the Netherlands? Those who step over such an inheritance may retain their sunny mood, but they do not recognize the importance for which the department is entrusted to their concerns, namely that of security and justice.
ParlaMint-NL_2016-11-30-tweedekamer-9.u311	Mr. Chairman. "A superministry" is called it regularly, the Ministry of Security and Justice. Unfortunately for the rulers, this has not led to the presence of a super-minister and a super-secretary. This designation is mainly intended for the large scope of the tasks entrusted to the Ministry of Security and Justice. That's true. The core tasks of the government, contributing to the pursuit of security and justice, indeed come together in this ministry. This has always been a huge task over the years, including for the rulers in this important ministry. You also saw in recent years that the problems in the reorganisation of the police required a lot of attention, as did the increase in the terrorist threat, a massively higher asylum influx and still a substantial number of cases and incidents. The 2012 government agreement promised extra commitment to security. Especially when we look back at the legislative activity and the policy that has been developed, we see that there has been a great deal of commitment to which the SGP Group has often expressed its support. Ensuring safety, ensuring that the toolbox is well-stocked is also part of the public service remit and is part of the mission of Security and Justice. As far as financial investment is concerned, we can see that the cuts have been substantial and that it is high time to invest more in security. In fact, the real security policy is still budgeted less than five years ago in 2017. When we look at the challenge that still exists in raising the figures for detection and prosecution alone, we see that it is necessary to continue investing in security in the coming period. Then there's gotta be real money, too. Investing in security requires a sufficient number of district agents who know their neighborhood or village and indicate when problems occur. When will the promised investigation into the guarantee of this legal standard per neighborhood come? We've often crossed swords about getting the legal standard for neighborhood agents. When's that gonna be okay? Safety and Justice is also the employer of many people who are working hard every day to achieve something of that security and justice and who deserve our warm support. The government has to support these people. If allegations of violence, for example, or allegations of ethnic profiling have been made against them, this should be clarified as soon as possible. It is not only the system that needs to be adapted, but also the clarity that needs to be provided in good time. I would also urge speed with the legislative proposal that has been announced on this subject. Colleagues have already drawn attention to it. An agent from Enschede, to name but one of many examples, has been waiting for months for a decision on how his case is going to proceed, including an accusation of ethnic profiling. That case has been extensive in the media. He's being addressed on the street, so to speak. It's incredibly incriminating that this should take so long. Is the Minister prepared to make clear agreements with the State's Attorney General and the State's Attorney General to ensure that, in principle, agents know what they are up to within three weeks, that clarity is provided? We have spent a great deal of time fighting terrorism in recent years. Let me say this very briefly. The SGP Group also attaches great importance to both its efforts in the field of prevention, with the use of district agents and the prevention of tensions, as well as its efforts in the field of repression, with a well-stocked toolbox and effective punishment of terrorist offences. We would also like to see this legislation on the criminalisation of travel to terrorist areas. This concerns the implementation of the Zijlstra c.s. motion. In addition to handling through criminal law, there is also a need for a coherent administrative approach. A few weeks ago, our motion was adopted asking for a ban on the territory of the Netherlands or an exit ban on France, for example. We call on the Minister to take urgent action to implement the motion. What is his concrete commitment to achieving this, if possible, together with other European countries? It is no secret that the SGP Group does not approve of the current conditional release regime. We have also discussed this with each other on a regular basis in debates. After serving two thirds of the sentence, the prisoner is in principle released. In fact, someone with a 12-year sentence is only in prison for eight years. We have prepared a bill to change this. The essence of the proposal is that the virtually automatic penalty reduction will disappear and that the judge will be able to impose conditional penalty in future. But he doesn't have to. So he can offer more customization. The conditional part may be only one quarter of the sentence and up to four years. When imposing the punishment, it is immediately clear, so is the thought, for which part the punishment is unconditional and for which part the punishment is conditional. With this proposal, the SGP aims to clarify the exact penalty, to use severe penalties, to respect social discontent about the penalty reduction of a third, while continuing to make full use of re-socialisation.
ParlaMint-NL_2016-11-30-tweedekamer-9.u312	I have a question for Mr Van der Staaij. When judges impose a sentence, they just look at what's actually in someone's mind. If you impose ten years, you know that after two thirds the door opens. That last part, which is a third, you use or if someone is misbehaving in detention or if it is free again. So what is the point of this proposal, other than calling it something else? The net prison sentence will remain identical.
ParlaMint-NL_2016-11-30-tweedekamer-9.u313	In any case, what it delivers is more clarity to society and also to the next of kin. You can say, "Everyone knows that so slowly." But every time I notice that a lot of people just when they get more personal with it say: oh, does that indeed work; is this the effect? Then you have the feeling that you will be held to account if a sentence of 18 years has been imposed and someone is released after 12 years, for example in serious homicide cases. If this is clarified right away, it is worth a lot of trust from society. And I don't know what the effects will be on the actual sentence. If the unconditional penalty in a serious murder case would eventually be 12 years, it could also be that the judge says: is 12 years really not too short? Perhaps there will be a feeling that a longer sentence is needed and that the balance will shift slightly more to a larger part unconditionally and to a smaller part conditionally.
ParlaMint-NL_2016-11-30-tweedekamer-9.u314	I think we judges are failing if we say they don't know the effect of their punishment. But if that's the problem, isn't that a lot easier to solve? Instead of changing the law, you need to organize the information a little better. Say, if twelve years are imposed, that means in practice: two thirds actually unless one behaves badly and then the whole sentence is at issue. In short, with information you achieve exactly the same.
ParlaMint-NL_2016-11-30-tweedekamer-9.u315	I think education is a little too thin. If the problem is that you keep getting the wrong picture again and again, why don't you say exactly what you really want? That is an unconditional punishment of a certain number of years and then a period in which you still have room for probation surveillance, other appointments, probation and the like.
ParlaMint-NL_2016-11-30-tweedekamer-9.u316	The SP is concerned about the period of socialisation. It is precisely the period of conditional release, with which Mr Van der Staaij ended his last reply, that is being shortened in the SGP proposal. So the period in which you can force someone on the right path because there is still a criminal law framework, so that you can force someone to go to probation, to abide by the terms and so on, is shortened in Mr Van der Staaij's proposal. Isn't that the risk to socialization?
ParlaMint-NL_2016-11-30-tweedekamer-9.u317	It doesn't necessarily have to be shorter. A long suspended sentence can still be imposed. Ultimately, the idea that customization is possible for the judge and that that period of a third is not automatic, but that it can be shorter or longer. There is a certain variation in that. I agree with the Group of the Party of European Socialists that there should always be room for a criminal title in order to have sufficient time to impose conditions and to keep an eye on someone. I would also like to distribute a copy of the draft legislative proposal to the members of the cabinet and the MPs present here. A draft legislative proposal is not a formal one, but I think it is a good idea for colleagues to put forward the text of the proposal and the explanatory statement.
ParlaMint-NL_2016-11-30-tweedekamer-9.u318	I assume there is no objection to this document being made available to the Central Information Point of the Chamber. (For inspection at the Central Information Point of the Second Chamber of the States General.)
ParlaMint-NL_2016-11-30-tweedekamer-9.u319	That's good. We are going to look at this with interest, but the essence of that proposal is precisely to shorten the period of conditional release. Mr Van der Staaij has just explained this. But just if you want someone to abide by the conditions, regulate their aggression, go to those courses and no longer take resources like alcohol and drugs, then you have to invest in that period. Combating relapses and preventing victims is precisely what you do in that last period. I hope that Mr Van der Staaij will continue to pay attention to this and not shorten the period in which you can force someone to go straight.
ParlaMint-NL_2016-11-30-tweedekamer-9.u320	I have already indicated that we consider it important to have enough room and to keep up with actual measures. As far as I am concerned, this starts in detention and in the period of suspended detention. That is what we are looking for in our proposal. It's always gotta stay up.
ParlaMint-NL_2016-11-30-tweedekamer-9.u321	My party has already tabled several motions on this matter. That's what my colleague De Roon started with. The SGP was always against that. I would like to say one thing, actually two, but on one of them, Mr Van der Staaij has just replied to Mr Van Nispen's interruption. I also heard Mr Van der Staaij say: to offer as much security as possible. Then my question would be, because that was also a motion against which the SGP was against: if the conditions were violated, my group's proposal would be that the conditional release be lifted. Ergo: then the person who violated the conditions actually goes back to prison for the rest of the sentence.
ParlaMint-NL_2016-11-30-tweedekamer-9.u322	We join the system in the law of parole. That is the same thing. If conditions have been violated, the sentence must also be served. I agree with that point of view. That is not what is happening. If I have wronged the PVV's motions in the past, I would like to take a closer look at that. I certainly didn't mean to do that. The SGP had already stated in its election programme in recent years that it would like to shape early release in a different way.
ParlaMint-NL_2016-11-30-tweedekamer-9.u323	Mr Van der Staaij, please continue.
