ParlaMint-NL_2016-11-23-tweedekamer-8.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-11-23-tweedekamer-8.u180	Finally, I should like to give the floor to Mrs Karabulut on behalf of the SP Group.
ParlaMint-NL_2016-11-23-tweedekamer-8.u181	Mr. Chairman. Finance and the very gross cuts on the people with the lowest incomes and their jobs remain a major problem. That's what you're seeing in this debate. The Secretary of State has now said that she is going to tell us about the discussion about structural deficits she is having with the trade association and the municipalities. I hope that the Secretary of State, at least for this section, sheltered work, will provide the money by, among other things, making the bonus for sheltered work structural. This is also necessary if the Secretary of State and the ruling parties believe that they want to give people a real job with real money and a living wage. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to enter into consultation with municipalities in order to establish a collective agreement for employee sheltered work,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34578-14]]
ParlaMint-NL_2016-11-23-tweedekamer-8.u182	I still don't understand why a professional, a doctor or an expert can't determine the work restrictions for the practical route. That determination can be linked to practice, all the more so because we are one government. I would like to turn this around: can the Secretary of State guarantee us that there will be no influx of people without work restrictions? And if you enter that register via the practical route, is it possible to refuse it? I'd like to get a reaction to that. We have tabled two amendments. One is a substantive amendment, which unfortunately the Secretary of State has not recommended. That is what we are going to talk about in the future. The other amendment should provide an insight into the development. The Secretary of State has embraced that. That's something.
ParlaMint-NL_2016-11-23-tweedekamer-8.u183	I have a question about the second amendment.
ParlaMint-NL_2016-11-23-tweedekamer-8.u184	What number are we talking about?
ParlaMint-NL_2016-11-23-tweedekamer-8.u185	The amendment in part No. 11. Mrs Schouten and I have also tabled an amendment for an evaluation, but our motivation is different. We have concerns about other parts of the law, but the amendments are also very similar, because they want to carry out an evaluation. Perhaps we could look together to see whether we can evaluate both parts through one amendment. Then there will be both your concerns and our concerns in the amendment and there will be a joint evaluation.
ParlaMint-NL_2016-11-23-tweedekamer-8.u186	Yeah, that's possible when it's just about factual insight. Then I will distance myself from your political interpretation of sheltered work and vice versa you will also distance yourself from mine. Then it is purely a question of evaluating and understanding the development of the practice of sheltered work and the practical route.
ParlaMint-NL_2016-11-23-tweedekamer-8.u187	Did I understand correctly that the State Secretary's opinion would remain positive if the amendments were to be put together in this way?
ParlaMint-NL_2016-11-23-tweedekamer-8.u188	If that makes life easier for everyone, and if it makes it work for the people, we'll just do it.
ParlaMint-NL_2016-11-23-tweedekamer-8.u189	The votes will probably take place next week. Until then, we can see if we can come to an amended amendment.
ParlaMint-NL_2016-11-23-tweedekamer-8.u190	I am merely trying to verify whether I had understood correctly that the State Secretary's opinion had already been given and would go in that direction, but we will hear it later.
ParlaMint-NL_2016-11-23-tweedekamer-8.u191	The Secretary of State had not yet answered one question: is it going to ensure that when counting the results of the Jobs Agreement for 2017 the current existing jobs are not counted through the SW companies? If so, how? It really has to be about understanding new jobs.
ParlaMint-NL_2016-11-23-tweedekamer-8.u192	Thank you. The Secretary of State may reply immediately.
ParlaMint-NL_2016-11-23-tweedekamer-8.u193	Mr. Chairman. I thank the Members of your Chamber once again for their contributions. If it's all right with you, I'm gonna go check on the members. Then I shall end up with the motions as well. For the record, it is important to say once again that I have taken good note of the three amendments. On two amendments, I said that I would be pleased if we could implement them in 2019. I just heard in the Court's second term that the two amendments could perhaps be put together, which I very much welcome. If the substance of that one amendment is in line with what is before it, then I can leave the opinion on that amendment to the House. Mrs Nijkerken stressed once again that she was pleased that I was going to discuss with the UWV whether we could give that development perspective a place somewhere. For the record, I have also listened to the little debate between Mr Heerma and Mrs Nijkerken. It must be clear that if this bill is adopted, the obligation for municipalities to make sheltered work is not temporary. That obligation remains enshrined in the law. The next item is Cedris's move: can places in the sheltered work also be temporary? I said I wanted to discuss that further with Cedris, but it's possible in principle. Let's take that noise off the line as far as it's formed, because that's what that temporality was about. I listened very carefully to Mr Heerma. I shall look into how the amendment will be implemented over the next few days. I have also listened carefully to what Mr Heerma will present to his group. I have faith in that. Mrs Voortman has tabled two motions. In the motion in part No. 12 the Government is invited to report, at the time of the evaluation, whether the available resources and costs per shelter are agreed, whether the total resources available are sufficient and what is the expected development of the costs of performing sheltered work as referred to in Article 10b, and to report annually thereafter to the House of Representatives. I find this passable, if I may put it that way. If the amendment we have just mentioned is adopted, we are already going to have a good understanding of it. It is of course good to look at the finances in 2019. Therefore, I do not find it strange if a subsequent cabinet or cabinet provides an annual insight into how the situation is developing. I'll leave the verdict on this motion to the Chamber.
ParlaMint-NL_2016-11-23-tweedekamer-8.u194	Technically, you can take over the motion, if you like.
ParlaMint-NL_2016-11-23-tweedekamer-8.u195	I want to take over the motion.
ParlaMint-NL_2016-11-23-tweedekamer-8.u196	I have been able to do so since the amendment of the Rules of Procedure, in particular Rule 66. Are there any members opposed to the Secretary of State taking over this motion? That is not the case.
ParlaMint-NL_2016-11-23-tweedekamer-8.u197	The motion in part No. 13 asks me to report annually to the Chamber whether the 30,000 places are adequate. I find that complicated. I have just said that I am, of course, willing to monitor the need for sheltered work and to inform the Chamber about it, but I do not share the view that more than 30,000 sheltered areas would be needed in the structural situation. We've provided cover for 30,000 places. On that basis, I must discourage the motion. Of course, the municipalities are free to make more than 30,000 places, but that is not the purpose of the motion.
ParlaMint-NL_2016-11-23-tweedekamer-8.u198	I don't think Mrs. Voortman would agree with that.
ParlaMint-NL_2016-11-23-tweedekamer-8.u199	I heard the Secretary of State say she's gonna monitor the need for shelters anyway. After that remark, I think it would be best to withdraw the motion. I was thinking about holding the motion, but then we'll have whole discussions about what our expectations are. We can also wait and see what the monitoring shows, so I'm withdrawing the motion.
ParlaMint-NL_2016-11-23-tweedekamer-8.u200	Since the motion for a resolution tabled by Mr Voortman (No ) has been withdrawn, has ceased to be the subject of a debate.
ParlaMint-NL_2016-11-23-tweedekamer-8.u201	Fine, Mr. Chairman. Then I come to Mr De Graaf. I do not know whether Mr De Graaf was in the Chamber when I answered Mrs Karabulut's question during my first term, and I do not think it was wrong to stress that SW companies are not going to lose out and that they are really jobs in these SW companies, because that is precisely what we are fighting for. On the contrary, we want people in an SW company to be able to work properly with full pay and, as far as I am concerned, Mrs Karabulut, also under collective agreement. I'll get to that in a minute. I really want to underline once again that in the SW companies people are just working. WSWs don't get fired. That frame is just out of the question. I'd like to put that down one more time. Then I'll come to Mrs. Schouten. She likes the idea of a letter coming. It would also like to have a good overview of the resources now available and of the way in which Cedris sees it. I'll take both of those cases into the letter. What if, unexpectedly, January 1st doesn't work? Of course, all the instruments that are at stake will be just as effective as from 1 February or 1 March. I am pleased to say once again that the no-risk policy is therefore on the agenda for an indefinite period, so that these people can also get a contract for an indefinite period of time, without safeguarding employers, whoever they are, the municipalities or regular employers, from the risk of payment of wages in the event of illness. That's very funny. But the only point of attention is and will remain that premium discount. I just went into that. I want it to be clear in all honesty and clarity that, if we do not make it to 1 January, the tax discount can only be applied on 1 January 2018. If 1 January doesn't work, I'd like to try again with the Tax Administration if we can make it 1 July 2017, but I know how incredibly complicated that is for the Tax Administration. So I dare not make any promises about it, in no way. But I'd like to try, if we don't make it to January 1st. I see that's how I get to play it with Mrs. Schouten. Mrs Schouten's final question is what we do with people who are on the waiting list and who have an indication. I'm assuming municipalities are giving these people a place in order. If that's not possible within the yearbook on which those people are on the waiting list, it has to be in the next year. I did not say for nothing that I am going to recommend all the municipal councils in my collection letter to look very closely at the regulation, precisely on that point. Because of course you must also offer perspective to those who do have an indication and therefore simply have to be able to work sheltered. If that place is not there immediately, one must have a perspective that it will come as soon as possible. Mr Kerstens underlined once again how important it is for us to make clear how the first half of 2016 took place in terms of developments in SW companies for the budget treatment. Mrs Koşer Kaya has indicated that she welcomes the development perspective and that she also likes the fact that I have promised the research on the practical route. Mrs Karabulut said that she too found it pleasurable to have that insight before the budget debate. She has stressed once again that she wants the bonus that is now on the table for five years to become structural. I said in the first term that we are going to look again and again at the financial situation. I would like to stress once again for the Acts how can I say that as firmly as possible? It is now time for municipalities to make use of this bonus, because until now that amount has in no way been exhausted. So let us first make sure that the 100 million is actually used by the municipalities. So far, that leaves a lot to be desired. So I do not think we need to think about whether this bonus should be structural if municipalities do not even call on this incidental amount. Mrs Koşer Kaya's motion calls on the government to enter into consultation with municipalities in order to reach a collective agreement. It's a bit of a question about the familiar road. With this operative part, I must advise against the motion because it is not up to a cabinet to reach a collective agreement, but I think that through this debate we implicitly call on employers and employees to simply get back together very well.
ParlaMint-NL_2016-11-23-tweedekamer-8.u202	I assume you do not want to ask about Mrs Karabulut's motion, Mrs Koşer Kaya. Shall we then conclude this motion first?
ParlaMint-NL_2016-11-23-tweedekamer-8.u203	I understand that my name comes to the Secretary of State, but it's Mrs Karabulut's motion.
ParlaMint-NL_2016-11-23-tweedekamer-8.u204	Oh, yes, Mrs. Karabulut. So for the Acts, don't blame me.
ParlaMint-NL_2016-11-23-tweedekamer-8.u205	We kind of look alike, too, don't we?
ParlaMint-NL_2016-11-23-tweedekamer-8.u206	I do not know whether this is the same political assessment by both of you.
ParlaMint-NL_2016-11-23-tweedekamer-8.u207	Some people would say that.
ParlaMint-NL_2016-11-23-tweedekamer-8.u208	You both start with a "K," but I think that's it.
ParlaMint-NL_2016-11-23-tweedekamer-8.u209	Doesn't matter at all.
ParlaMint-NL_2016-11-23-tweedekamer-8.u210	I'll start with a K, too, by the way.
ParlaMint-NL_2016-11-23-tweedekamer-8.u211	So, we're just gonna finish this debate.
ParlaMint-NL_2016-11-23-tweedekamer-8.u212	We all look a little alike, don't we? Do I understand correctly that the Secretary of State says: I see something in the spirit, but I think the motion is a little too definite? If so, what is the objection?
ParlaMint-NL_2016-11-23-tweedekamer-8.u213	The objection is that the cabinet has no position in establishing this collective agreement. In this debate we have exchanged well that people who are going to work sheltered must have good working conditions. They are entitled to at least the statutory minimum wage. If they work with an employer, this includes a collective agreement. It is worth noting that we consider this to be very important. If the shoe fits, put it on. We do not need a motion for that, because I have no formal position, and so do the Chamber, but in material terms I think we have said enough about it now.
ParlaMint-NL_2016-11-23-tweedekamer-8.u214	I don't think so, because I'm gonna say something about it. The Secretary of State is...
ParlaMint-NL_2016-11-23-tweedekamer-8.u215	Go ahead.
ParlaMint-NL_2016-11-23-tweedekamer-8.u216	The Secretary of State is system responsible. It must make the funds available. I was actually more looking for the answer to the question of whether it is the operative part. I am concerned that the Secretary of State should enter into consultations with a view to encouraging them, and perhaps she will hear what obstacles there are. I know it will not be the Secretary of State who concludes the collective agreement. I was just looking for the answer to the question as to whether another wording could give a positive opinion, but it seems to me that this is not the case.
ParlaMint-NL_2016-11-23-tweedekamer-8.u217	No, no. And I've said what I've said. Let's see what's left of me. Mrs Karabulut would continue to find it very pleasurable that the professional determines a labour restriction. I think I have said enough about this in my first term. The last point that Mrs Karabulut had made in the first place and which I had not yet responded to was: is it about new jobs when it comes to the 125,000, or are it places where people can also work who are seconded from the SW company? The latter is indeed the case. We have made good agreements on these criteria. That can't be misunderstood either. That's the answer to that question. That's how I got to the end of my second term. I thank the members of your Chamber and you, too.
ParlaMint-NL_2016-11-23-tweedekamer-8.u218	Thank you very much. I don't see any further questions.
ParlaMint-NL_2016-11-23-tweedekamer-8.u219	I thank the Secretary of State for her reply and the members for their input. I propose that next Tuesday we vote on the bill, the amendments and the motions.
