ParlaMint-NL_2016-04-28-tweedekamer-13.u1	I welcome the Minister of Security and Justice.
ParlaMint-NL_2016-04-28-tweedekamer-13.u183	Please continue.
ParlaMint-NL_2016-04-28-tweedekamer-13.u184	It has been asked whether it is sufficient if someone has a beard or has put on a djellaba. I do not think that is sufficient reason, because that does not automatically mean that you are engaged in terrorist activities or pose a threat to national security. I come to the second element, the scope of the bill. Mr Bontes asked why the bill did not allow administrative detention. We have frequently exchanged the view that administrative detention is not possible on the basis that you do not have sufficient reason to deprive someone of their freedom. I have therefore promised, at the request of Mr Samsom and Mr Klaver van GroenLinks, that I would do my utmost to do the best I can within the ECHR. For that reason, I have chosen to link an anklet to the area ban, so that you get as close as possible to what administrative detention might have the advantage.
ParlaMint-NL_2016-04-28-tweedekamer-13.u185	Mr. Bontes, briefly.
ParlaMint-NL_2016-04-28-tweedekamer-13.u186	I'm always short, Mr. Chairman, you know that. The Minister wrote in his letter that administrative detention runs counter to the rule of law and that it may be at odds with the ECHR. It seems to me that this is difficult, because in Britain they know administrative detention and Britain has also signed the ECHR. Why shouldn't it be possible in the Netherlands?
ParlaMint-NL_2016-04-28-tweedekamer-13.u187	I have discussed this in detail with my Belgian colleagues, because they have said once that they would like to do so. They too have now come to the conclusion that it is not possible. I will look carefully at it in the second term, but I believe that there is something different in the United Kingdom than what is meant in the Netherlands by administrative detention. I would like to return to that in the second term.
ParlaMint-NL_2016-04-28-tweedekamer-13.u188	Please continue. How much longer do you think you'll need?
ParlaMint-NL_2016-04-28-tweedekamer-13.u189	Mr President, I am on block two and I have announced that I have five blocks in total. I come to Mrs Van Toorenburg's question as to what happens if the administrative measures are broken. Then criminal action can be taken and, because of course many alarm bells go off in relation to such a person, there is also the possibility to see if there are any other steps or possibilities. Well, at least you'll be able to take criminal action. Mrs Van Tongeren said: don't you think someone will radicalize more quickly when they are imposed on them? I don't think so. If someone is being imposed a measure, there's enough reason to worry about that person. I think we should do something, even if that means that someone doesn't like it. That is not a measure of not imposing these measures. Mr Bontes and Mr Recourt asked for the choice to limit the exit ban to the Schengen area. The exit ban is, of course, primarily intended to prevent people from travelling to jihadist combat areas such as Syria. In the Netherlands, due to the lack of internal borders in the Schengen area, such an exit ban cannot be maintained because control is difficult. If someone leaves with a second passport that is not Dutch, then, even if the second, not Dutch passport is known, the person concerned will be reported in the national search register. Then, for example, he will be arrested at Schiphol Airport if he tries to leave the country. An attempt to violate the exit ban is, after all, punishable under this law. If someone travels with a passport from another Schengen country, i.e. not from the Netherlands, but on another passport, that person will also be identified in the Schengen Information System and can therefore be noticed by international border guards. We are working at EU level to see if we can further improve the follow-up possibilities for this alert. I've already talked about that in detail.
ParlaMint-NL_2016-04-28-tweedekamer-13.u190	I have also asked questions about this in my contribution. At that time I mentioned two countries which did manage that for their own country. One was Germany and I think the other was France. What is the difference between countries in the Schengen area? Why do we want to regulate it for the Schengen area, when, for example, Germany simply regulates it for its own territory? Why can't we?
ParlaMint-NL_2016-04-28-tweedekamer-13.u191	I think Germany has done something else. The Germans can't do what we can't, so everyone does exactly the same thing at that point. The Germans have only tried to make travelling from Germany more difficult with a kind of separate identity card. I did not think that this would have been possible in the end, but I will confirm this with full certainty in the second period. If my memory doesn't add up, I'll report it, too. Of course, Germany's attempt is equally valid in the same way that there are no external borders of Schengen in that country either, so the enforcement of such a measure is extremely limited. I'll check that before my second-term announcement.
ParlaMint-NL_2016-04-28-tweedekamer-13.u192	Thank you to the Minister for that answer. I am going to look for it myself, so that we can get back to this in the second term.
ParlaMint-NL_2016-04-28-tweedekamer-13.u193	Fine. Mrs Van Toorenburg asked whether municipalities would be encouraged to use the powers to impose restrictions on freedom. I see it this way: if mayors are worried about someone and are themselves failing in their measures, for example because they see someone moving to another municipality or someone using their free travel opportunities, then I assume that those mayors will ask me to impose that measure. It is therefore up to us to ensure that we can do so very quickly. Mrs Van Toorenburg was right to point out that with a number of recent legislative proposals, including the so-called Football Act, we have ensured that mayors in their own municipalities can take substantial measures if necessary. I really see this as an addition to the instruments that the municipalities themselves already have. The mayor can consult with me directly. That was a question from Mrs Van Toorenburg, but also from Mrs Tellegen and Mr Recourt. In an urgent situation, of course, the mayor can approach me to impose measures. In general, mayors know how to like me, too. Then I'll get to the legal protection, the judicial test. In the Netherlands, we have a system in which the administrative judge is competent to judge decisions of the government. The board judge does that in two ways. It may do so by means of a provisional provision which can be obtained in the very short term. This would allow the operation of the measure to be suspended. One of the Members asked whether it would not take very long for clarity to be established. You don't have to do that. Within a number of hours, such a case may be brought to the attention of the administrative judge. In doing so, the person concerned has direct access to justice. There's no objection phase. He can go straight to court to appeal. He can therefore also be heard immediately, even in the full extent of the decision. He may be heard in ordinary proceedings, but also in the course of an interim application. This also means that there is no need for a prior judicial test. I would also find that very strange, because it would seem as if we are systematically going to refer the measures we are taking to a judge in the field of national security. The government would then, by definition, take measures that would not be able to pass the judicial test. I think we should simply choose the system we have. There was a small debate on whether the ex tunc or ex nunc review should take place. The review is ex nunc and not ex tunc as Mrs Van Tongeren said. In assessing the appeal, the court shall take into account facts and circumstances which have arisen after the contested decision has been taken. That can work in two ways. It can work to the benefit of the person concerned, but also to his disadvantage. It works to its advantage if it appears that the danger that existed at the time of the decision has disappeared after the decision was taken. Then the decision will not stand; that may be clear. The other way around, it can work to the disadvantage of the person concerned. If the decision has been taken and the person appears to have done something completely different, it will be taken into account by the administrative judge in the appeal. For both reasons, we have explicitly opted for an ex nunc review. If the decision is submitted to him, the court may consider all circumstances.
ParlaMint-NL_2016-04-28-tweedekamer-13.u194	What possibilities does the Minister see for the ex ante review of his decision?
ParlaMint-NL_2016-04-28-tweedekamer-13.u195	I see all kinds of possibilities. I have also seen an amendment that creates the possibility of doing so, but I am not in favour of it for the time being.
ParlaMint-NL_2016-04-28-tweedekamer-13.u196	Then the Minister has given me a great deal of clarity. Thank you for that.
ParlaMint-NL_2016-04-28-tweedekamer-13.u197	I am again pleased that I have been able to satisfy Mr Van Raak in his need. Mr Recourt has rightly said that it is then a question of whether you are working carefully, because you can fall back on what has happened since then. That's true. That might be possible. Of course, no one is waiting for such a heavy decision to go on. The proposed measures will only be imposed if the dossier provides a sufficient basis for doing so. It also works the other way around. At the time you allow carelessness, further information may lead to the decision not being maintained in any case. It works both ways. Here, too, a provisional provision is possible. Mr Recourt asked which test the judge should use. The marginal test relates to the policy freedom of the administrative body, but not to the determination of facts or the interpretation of the law. The question whether the person concerned has shown certain conduct and whether it fulfils legal criteria such as the protection of national security is therefore fully examined by the administrative court. I have answered Mr Recourt's question. How can anyone defend themselves against measures? In dealing with confidential information, the usual rules are also applied under the General Administrative Law Act. In some cases, the information cannot be disclosed to the data subject and his lawyer, for example to protect sources of intelligence services. Article 8:29 of the Awb provides an arrangement for dealing with secret information in an appeal against a decision. This will allow interested parties, as far as possible, to have a decision also reviewed by a judge on the basis of information whose knowledge should be limited. This is also the case, therefore, on the basis of the existing law. There is no ceiling for the extension of measures, as Mrs Swinkles asked. The ceiling is based on whether there is still a danger to national security. If that danger is no longer present, the measure will, of course, be withdrawn. I'll come to the block about the execution. Mrs Van Toorenburg asked about the reinforcement funds and all the steps we have taken. At least that's how I understood her question. We have actually informed the Chamber about this very often. We have strengthened operational services by 128 million. Its expenditure is on schedule and in accordance with the schedule. They apply, among other things, to the Royal Marechaussee, the first two platoons of which High Risk Security are ready. The remaining four will come in the course of this year. As a result of the preparation, the Assistance Units can be redeemed. This restores the original flexibility of the Royal Marechaussee. The DSI and the observation teams have been expanded. The response concept is adapted to speed and flexibility. The Rapid Response Teams have also been strengthened, in accordance with the agreements we made with the Chamber. And the margin of this debate has still been asked for cooperation. I have also sent a letter to the Chamber on this matter recently. That really is one of the priorities of the Dutch Presidency. In this context, we have also carried out the Samsom/Pechtold motion by advocating non-binding cooperation and compulsory information sharing. There are still a number of steps that we are going to take to the JHA Council in June, in which we will come up with a concrete action plan. We were able to lay the foundations for this in the last JHA Council. In doing so, we are going to make sure, in a number of progressive ways, that there are very concrete arrangements for strengthening the information position. We agree that this is necessary. This has also been demonstrated in the debate on Brussels. The fact that it is much better than many people think is also due to the fact that, of course, in a number of areas, we work very much together with intelligence services that cannot be discussed. This cooperation is also very good in the area of police and the Public Prosecutor's Office. It is getting better and better, as the figures and information provided to systems such as SIS and Europol show.
ParlaMint-NL_2016-04-28-tweedekamer-13.u198	Brief question, Mrs Van Toorenburg.
ParlaMint-NL_2016-04-28-tweedekamer-13.u199	The Minister is right to point out that there is ever better international cooperation. My question was precisely about more local cooperation in the border regions. Can the Minister promise that he will at least be in consultation with the RIECs to see how you get optimal cooperation in municipalities that are almost crossing the border? I am getting signals, especially from Limburg, that this could be a bit more solid.
ParlaMint-NL_2016-04-28-tweedekamer-13.u200	The Regional Information and Expertise Centre in the East region focuses on organised crime, as Mrs Toorenburg knows. From there, of course, we are also considering how to cooperate with North Rhine-Westphalia. If necessary, this can of course also be used to tackle jihadism and radicalisation. That is something that has already been addressed by the RIECs in the East region. For me, above all, it must of course also be about cooperation through Europol, Eurojust and the Europol Counter Terrorism Centre. The various data files we have for that are of course essential. When someone shows up, you have to be able to control him. Then, at the end of the day, this also applies to the Counter Terrorism Group of the intelligence services.
ParlaMint-NL_2016-04-28-tweedekamer-13.u201	The Minister is not answering my question. That's okay. I would just like to say that the CDA Group has asked serious questions about this in the States of Limburg. I'm assuming they'll get to the Ministry through that tape. I think the Minister doesn't want to understand or understand what I mean. That's at this late hour, then.
ParlaMint-NL_2016-04-28-tweedekamer-13.u202	I understand very well what Mrs Van Toorenburg meant. I think I have given a very good answer to that. The RIECs focus primarily on undermining crime, but it is also possible to agree with Nordrhein-Westfalen on jihadism and radicalisation. The RIECs are free to do so. I think that's what we should want to do in the Netherlands as well. Mr Recourt asked whether the multidisciplinary case referrals were also intended to check the administrative measures or whether this was only done by means of official reports. I think it is important that both reports of office and the case-by-case consultation can play a role in deciding whether to impose a reporting obligation, a ban on territory, a ban on contact or an exit ban. The case-by-case consultation can also ask me to do so. It can of course also take measures within its own municipalities. Mrs. Swinkels asked about the parole. Reclassification The Netherlands has written a letter to the Chamber. I intend to designate Reclassification Netherlands for the actual implementation of the electronic monitoring to enforce the area ban. That's what I'm talking to her about. In reply to a question from Mr Recourt, I say that if a document is found in the international SLTD, it says "Stolen and Lost Travel Documents Database' that travel document is withheld. The person in question will then no longer be able to travel with it. This is also a reason for a Schengen border guard to consult the Schengen Information System. He may then determine whether that person is registered as a danger to the safety of a Member State. The Schengen border guard therefore informs the Member State concerned. In principle, the SLTD and the Schengen Information System are not yet linked. However, last week, in the JHA Council, we had a discussion on whether it would be desirable to link these systems, so that a single point of contact, i.e. with one entry, could be used to visit and question all databases. That is an important starting point. In any case, I have reacted positively, as have colleagues from many other Member States. Technically, that is quite complicated and there will still be some legal problems. We have said: at least start with it, work out the interoperability of these systems. If you encounter any legal obstacles, report back. Then we'll have to figure it out.
ParlaMint-NL_2016-04-28-tweedekamer-13.u203	It is probably due to the lateness of my response to the Minister's comment on my question on probation. It was related to electronic surveillance. My question was whether he intends to involve parole in getting in touch with people who are being imposed such measures to see if there is room for deradicalisation and, if so, whether it can be started.
ParlaMint-NL_2016-04-28-tweedekamer-13.u204	Not just the parole. Those people will certainly be the subject of the case consultation where the probation is part of, but much more the police, the Public Prosecutor's Office, the municipality and the ggd. They're part of the case meeting. They will, of course, play an important role in discussing these people and consider whether they can be deradicalized or that there is more danger of them. That is, of course, the intention.
ParlaMint-NL_2016-04-28-tweedekamer-13.u205	I understand that it is also intended to involve the specialized department of probation, I imagine the Minister well-known who has been involved in such programmes since 2012 if necessary.
ParlaMint-NL_2016-04-28-tweedekamer-13.u206	They've been turned on in the case report. They are part of this, and of course they can continue to play the role they already play. Of course.
ParlaMint-NL_2016-04-28-tweedekamer-13.u207	Proceed, Minister.
ParlaMint-NL_2016-04-28-tweedekamer-13.u208	Mrs Swinkels asked if there were enough powers to request and retain data for the purpose of investigating terrorist activities, also in response to the many questions raised by Mr Pechtold regarding the powers of the police and the Public Prosecutor's Office. That is what the debate on Brussels was about. I'll inform the Chamber about that. There are, of course, some obstacles in this area, including those relating to retention periods. I think it is good that D66 has highlighted these obstacles once again. I see this as an important support, including for a number of other legislative proposals that are still in the Chamber. I call it the ANPR (Automatic Number Plate Recognition) system, where travel movements of people can be stored and requested later. We do, of course, need a retention period to make that possible. I am very pleased with the comments made by Mr Pechtold on this point. If you want to know months later what movements someone made in the Netherlands after he arrived in the country, as in the case of Mr El Bakraoui, you will of course have to have a number of systems with the correct retention periods. I shall make a number of proposals to the Chamber, following the urgent requests made by Mr Pechtold and Mr Buma and others in particular. I've already talked about the dissolution of legal entities. A question has been asked about the loss of Dutch citizenship. Of course, this question is not directly related to this bill. However, one thing is certain: the loss of Dutch citizenship is intended to ensure that the person concerned does not return to the Netherlands or at least cannot return to the Schengen area. It serves the protection of national security. If the person concerned is in the Netherlands, we can of course take other measures, such as criminal action, or the measures contained in this bill. Mr Kuzu asked whether this bill would not lead to a far-reaching violation of people's freedom of movement. Yes, in principle, the bill sees a possibility of restricting people's freedom of movement. However, if this freedom is restricted, it is necessary for national security. That's what the law's for. Mr Bishop asked whether the foreign travel document could also be confiscated from people of dual nationality. With the exit ban that's now in the bill, you can't. The Netherlands cannot legally declare travel documents of other countries invalid. The seizure is therefore not enforceable. That means that we do not have any options in this area. I have already said that there are other possibilities. There has also been talk of the temporality of the law. I think we will come back to that in the letter. The temporality of the law is included because it is a far-reaching law that offers far-reaching possibilities. The proposal also contains proposals that interfere with citizens' freedoms, such as freedom of movement. I will reflect further on this in the light of the amendment that has been tabled. This brings me to the end of the answers to the questions put to me. So I will answer two questions in the second term.
ParlaMint-NL_2016-04-28-tweedekamer-13.u209	I'm still missing answers to two questions I've asked. The first question was about the following. This evening we are discussing these terrorist attacks, which are being talked about in a rather miraculous way. According to the PVV, the aim of the attacks is to prepare the people from Islam for the introduction of Sharia. Does the Minister agree with the PVV? Does he agree that this is a deliberate series of terrorist attacks unleashed on the West? That is the first question that has not yet been answered.
ParlaMint-NL_2016-04-28-tweedekamer-13.u210	And what was the second question?
ParlaMint-NL_2016-04-28-tweedekamer-13.u211	I have also talked about working with an area ban instead of an area ban. The PVV would of course prefer that the ban on this type of jihadis would apply to the whole of the Netherlands and also to the overseas territories. Isn't it much more logical, however, to impose a territorial order so that you can check where someone is? For example, the attacks that were carried out in Brussels were actually intended for Paris. In the case of an area ban for one place, there are still a lot of places where one can stay. So I'm saying it makes more sense to work with an area bid.
ParlaMint-NL_2016-04-28-tweedekamer-13.u212	I'll go into the last question first. An area ban can, of course, also be imposed in conjunction with other measures. We must, of course, be realistic about this. You can impose an area ban and combine it with a reporting obligation or with an exit ban. So you can also impose a number of measures at the same time. This will enable you to improve the overall functioning of the measures. They also become more protective in the interests of national security. Moreover, I believe that it will also apply that proportionality can ultimately be brought before the courts. An area ban that would apply to the whole of the Netherlands would probably not be considered proportionate. That would only make sense if someone threatened national security so seriously that they could actually be dealt with in criminal law. In such a situation, the best restraining order is pre-trial detention. That is how I see these measures in conjunction with each other. On the first question put by Mr De Graaf, I would like to say the following. What exactly are the motives of the twisted spirits of people who are attacking innocent civilians, I do not know. It's really hard for me to get involved in that. I can only conclude that their aim is to scare people in our society in a horrible way. I find that extremely reprehensible. I think we should do everything we can to stop these people from doing so.
ParlaMint-NL_2016-04-28-tweedekamer-13.u213	On the basis of the last answer, I have to conclude that terrorism is really something and that terrorists are people who want to instill fear on other people. In fact, the Minister's understanding is so empty. There is no other explanation behind it, but there is no urge to make an explanation either. The PVV knows that explanation; we know exactly where it comes from. Why doesn't the Minister acknowledge that? It is clear that from Islam there is a campaign in progress, the third jihad in which we find ourselves to conquer the West and subject the population to Islam. This is part of it. I would like to mention the recognition of this point. As far as the area is concerned, we are probably getting a little closer together, because it would look like the reporting obligation. So someone who's dangerous would have to get a little higher in rank. Once again, we would like to see these figures all out of the country, but in so far as this has not yet been done, an area bid is closer to reporting. It will then have to be kept strictly.
ParlaMint-NL_2016-04-28-tweedekamer-13.u214	That's exactly the intention. In accordance with the law I propose, all the measures we have are criminal offences if they are not complied with. On that basis, we will have the opportunity to act in criminal matters. We have very well provided for a proper sequence of these measures. You have the administrative measures you apply when the criminal measures are not or are not yet possible. By definition, when these administrative measures are infringed, a criminal law measure is possible. I come straight to Mr De Graaf's question about the United Kingdom. The Terrorism Prevention and Investigation Measures, the TPIM, make it possible to impose different administrative measures, including an area ban, an anklet, a restraining order, the reporting obligation and an exit ban. That is the situation in England. For 2004 it was possible to impose administrative detention in the United Kingdom as well. However, this was considered to be contrary to fundamental rights by the English authorities and no longer possible for that reason. In the second term, I will come back to the Schengen exit system in Germany.
ParlaMint-NL_2016-04-28-tweedekamer-13.u215	That is why we have reached the second deadline. I give the floor to Mrs Van Toorenburg.
ParlaMint-NL_2016-04-28-tweedekamer-13.u216	Mr. Chairman. Thank you to the Minister for replying in the first term. When I said that I saw a glimmer of light in dealing with the returners, I did not for nothing look at the letter sent by the Minister on this subject. That letter was clearly less concrete than the Minister was tonight. In that letter he wrote that he had only spoken with the Public Prosecutor's Office and that he thought he should take another look at it, but today I can hear that he will make serious efforts to ensure that residence on terrorist-controlled territory will be punishable. That then takes a huge flight, because then we can organize anything when someone returns. Then you can actually take someone into custody, because then he's done something criminal. If we were to ensure that these people could do nothing, it would give so much air to those who really care about safety. The Minister will comment on the amendments, but I would like to hear from the Minister this evening about the power of the mayor to do something from his position in an urgent situation. Can the Minister say anything about the amendment we have tabled on this subject? The Minister has said that everything has already been written about the Royal Marechaussee. Yeah, that's right. For example, on 22 April last, a letter reported that the 50 people who joined it at Schiphol Airport were removed elsewhere. That's the point. If they are removed elsewhere, how will they be supplemented? The Minister has not yet given a concrete answer. The Minister reacted a little faintly about cooperation in regional contexts. I understand that the Minister has the idea: put it all there; they will figure it out themselves. There is, however, no hook for those regional links at least not in Limburg to see how cooperation with Belgium can be improved. One might perhaps have cooperated sympathetically in Nordrijn-Westfalen, but could the Minister just give some thought to the way in which the concerns in Brabant, also appointed by Cyrille Fijnaut, cannot be addressed the least? Finally, I shall table one motion, along with the VVD Group. We are a little concerned about the fact that the Minister states that you should not regulate and define everything closely because it no longer offers room for manoeuvre. One could also say that a behavior that may not be criminal or that does not give rise to any concrete suspicion but is very scary, should perhaps be covered by the law or at least developed in the implementation process. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Government has previously indicated that "multiple conduct" must have taken place in order to impose administrative measures in the context of national security;]] [[Whereas the imposition of measures to protect national security may also be desirable on the basis of a single conduct or expression;]] [[calls on the Government to include in the implementation process implementing this Act that the identification of behaviour and imposition of measures may also be based on one or more behaviours or expressions likely to threaten national security,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Toorenburg and Mr Tellegen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34359-18]]
ParlaMint-NL_2016-04-28-tweedekamer-13.u217	As the Minister said, it is a threat to national security. That is why we need to consider whether we can make it so broad that, if there is a real threat, action can always be taken.
ParlaMint-NL_2016-04-28-tweedekamer-13.u218	Mr. Chairman. Thank you to the Minister for replying. We look forward to receiving written answers to the amendments. Fortunately, we are receiving them well before the vote on the legislative proposal. It is important to establish in the first period that I have also argued that a number of small measures, small measures, will not cause the Netherlands to lose all its jihadists, that the Netherlands will lose the Muslim terrorist threat. If you really want to deal with it, if you really want to take action, it's important to recognise where the threat comes from. Even after two attempts, the minister didn't get there. That is a pity, that is a shame for the whole of the Netherlands. After all, that does not give you the measures you want. In addition, we must establish that we must not keep people here, but let them go. After all, we do not need jihadists in the Netherlands. We must also note that, if we want the Netherlands to be free from Muslim terrorism, we must all talk about genuine measures and not stick to the three minor measures in this law. I have another motion, but I also see Mrs Van Toorenburg standing at the interrupting microphone. I'd like to give her the opportunity to interrupt.
ParlaMint-NL_2016-04-28-tweedekamer-13.u219	A very brief question, Mrs Van Toorenburg.
ParlaMint-NL_2016-04-28-tweedekamer-13.u220	I still want to continue to act against the fact that it sometimes seems as if the PVV is okay with people travelling out, on whom we have no vision at all, simply spreading death and destruction elsewhere. The PVV seems to think: boy, if they're kids in Syria, what it itches me, fuck off. It can't be! It can't be here and it can't be there.
ParlaMint-NL_2016-04-28-tweedekamer-13.u221	So what do we do? That's where we throw bombs, and here we start with an exit ban. It's not in proportion to each other. The CDA can keep screaming and making a lot of misfits, but I don't get it. I don't even understand the whole twist, let me put it this way. We're not yelling, we're talking about reality. I shall table the next motion on the reversal of the burden of proof. The Minister replied, but I would like to table a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the burden of proof for the various offences of terrorist offences is very serious, especially in the case of so-called returners;]] [[Whereas any person whose conduct may be associated with terrorist activities poses a danger to Dutch society;]] [[Considering that the "Destination Syria" report states that whoever travels to ISIS territory will knowingly choose to join a group that engages in terrorist activities and attacks in Europe and that in practice this means that both male and female extraditors, armed or otherwise, participate in the fight of ISIS;]] [[calls on the Government to reverse the burden of proof in these cases,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members De Graaf and Helder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34359-19]]
ParlaMint-NL_2016-04-28-tweedekamer-13.u222	Mr. Chairman. We discussed a number of small measures this evening: a ban on territory, a ban on contact, an exit ban. It is a step in the right direction. We will therefore support the bill, but it is far from going far enough. We lack measures such as administrative detention and criminalisation of residence in terrorist territory. The Minister is working on this, but of course it should have been done by now. Something should have happened to the penalty limit and the temporality and to the approach of violence preachers and institutions that give these guys a stage. We all miss that in this bill, but it is nevertheless a step in the right direction. We therefore support this proposal, but it is far from enough.
ParlaMint-NL_2016-04-28-tweedekamer-13.u223	Mr. Chairman. I thank the Minister for answering my questions, but I still had and I still have four serious objections to this bill, which provides for far-reaching measures, the Minister said that it itself could be imposed without concrete evidence and with unclear definitions. I will briefly repeat my four objections. Firstly, the need for the law for D66 has not become clear. My group believes that the criminal instruments are sufficient. Secondly, my group has doubts about the proportionality of the law. These are far-reaching measures. According to D66, these measures go too far and rely on far too vague criteria. Thirdly, there is a lack of legal protection because it is unclear what a measure is imposed on a person. Fourthly, D66 has doubts about the effectiveness of the measures. Much prefers my group to see the focus on measures that are effective and that, for example, would have really stopped an El Bakraoui. This is about the mandatory exchange of information by the intelligence services and the adequate equipment of the police and the intelligence services themselves. My main objection is and will continue to be that there is no prior judicial test, while, as far as my group is concerned, the judge is the institution of our rule of law which can determine whether anyone presents a danger to national security. The votes on the amendment I tabled with GroenLinks and on the amendment tabled by Mr Kuzu therefore determine the final position of D66 on this law.
ParlaMint-NL_2016-04-28-tweedekamer-13.u224	Mr. Chairman. I would like to thank the Minister for his reply. At the beginning of my first term, I indicated that my group will vote in favour of this proposal, at least that I will advise it to do so. The answer has, however, increased that feeling. I wasn't aware in advance that this is a full judge's test. I think that is a strong point. As always in administrative law, the judge will check that sometimes briefly and sometimes slightly longer after the imposition of the measure by the board. It is therefore not necessary to make it a kind of criminal procedure and to leave that decision to the court and to have it examined in advance. No, the judge takes that test in many cases and in all cases in administrative law, at the end. That's good. Furthermore, I think it's okay, I realized that only later on, the ex-nunc key of course also means that the defense can bring in ex-nunc information and that the judge also weighs that information in the full test. That means that this bill with a horizon clause and other safeguards is in balance. On the right, it wants to be a little more left-wing, but the Labour Party is satisfied with the balance in this bill. Let's see how it works. If it doesn't work, it'll be gone in five years. Otherwise, we're gonna go on for a little longer until it's no longer necessary and then it's gonna go away.
ParlaMint-NL_2016-04-28-tweedekamer-13.u225	Mr. Chairman. I thank the Minister for the clear answer. The VVD strongly supports this bill and considers these administrative measures to be an important complement to the criminal law instruments we already have to combat and combat terrorism and jihadism in the Netherlands where possible. I make two more motions, because the VVD believes that we should do everything we can to prevent hate preachers and to address the institutions that invite them where possible. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is necessary to ensure that persons susceptible to radicalisation are not inspired by hate preachers;]] [[Whereas there is a need among mayors to prevent hate preachers more easily;]] [[Considering that efforts are now being made at EU level to address hate preachers from outside the EU;]] [[whereas we do not yet have an answer to hate preachers travelling through Europe with an EU passport without being able to deny them access to our country;]] [[calls on the Government to address hate preachers from within the EU by drawing up a list of hate preachers from within the EU and, if possible, jointly with other EU Member States,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is necessary to ensure that persons susceptible to radicalisation are not inspired by hate preachers;]] [[Whereas organisations and institutions regularly invite hate preachers who make or have made statements that threaten our free society;]] [[considers that organisations and institutions have an obligation to provide a location to whom they make available;]] [[believes that organisations and institutions that offer hate preachers a stage should be affected;]] [[calls on the Government to make it possible for organisations and institutions that invite hate preachers and/or a stage to be sanctioned,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Tellegen, Mr Bontes, Mr Bishop and Mr Van Toorenburg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34359-21]] [[This motion was tabled by Mr Tellegen, Mr Bontes, Mr Bishop and Mr Van Toorenburg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34359-22]]
ParlaMint-NL_2016-04-28-tweedekamer-13.u226	Mr. Chairman. I remember years of debate on the granting of powers to mayors on football hooligans, but we now pass a bill in one evening. It turns out that fear is a very, very bad counselor. The tendency in our society to take harsh repressive measures on the basis of fears in society will cause society to continue to derail. In his reply, the Minister indicated that the instruments resulting from this bill apply to all terrorist offences. However, some of our objections remain, such as arbitraryness and definitions, which cannot be sufficiently clarified. Questions about the feelings of stigma and discrimination against ethnic and religious groups are not answered at all. In that sense, I ask the Minister whether he actually realizes that we are at a crossroads in our history. We stand before the decision whether we defend our achievements with man and power to show all those terrorists that they are not getting us under them or that we are giving in to the divisions and fears in society and the world, in which we hang our heads and go along with the repression. Which side of this story does the Minister intend to go into the history books? This bill seems to be a remedy for further damage to our rule of law. It is the beginning of a journey that can eventually end in a form of Guantánamo Bay. We'll fit in.
ParlaMint-NL_2016-04-28-tweedekamer-13.u227	I see that the Minister is ready to reply; I believe that this can be done very briefly.
