ParlaMint-NL_2016-01-14-tweedekamer-4.u1	I would like to welcome the Minister for Security and Justice.
ParlaMint-NL_2016-01-14-tweedekamer-4.u102	Mr. Chairman. I always find this a difficult debate. A SP'er is generally very pronounced and knows exactly what he or she stands for, but this is a kind of ethical-legal issue that I find very difficult to implement. I listened to my colleagues and the Minister throughout the debate and made a list of pros and cons. I'll let them pass briefly. This also prevents us from having to give an explanation of vote later. The most difficult thing about this bill is, as several parties have indicated, that alcohol should not be a mitigating circumstance. I can confirm that in itself. In fact, I think it is reasonable to say that this should not automatically lead to a reduction in the penalty. However, this law looks at a penalty increase. I find that very difficult. If you look at this bill positively, you could say that this makes it possible to impose special conditions more often and perhaps even more quickly. In that light, the bill has added value to the SP, precisely because you can treat mentally ill people, for example psychiatric retarded people who have an addiction. Hopefully this will lead to a recurrence reduction. I would very much like the Minister to stress once again that I can interpret it in this way. In fact, if the one-to-one bill leads to increased penalties, so that people only get locked up sooner, that does not, of course, lead to a recurrence reduction. I sometimes say crazy that prison is more of a crook-to-criminal education. The recidivism figures don't speak for jail time. I would like the Minister to take that up. In the context of the costs, the Minister said that he is making a budget for the NFI. The SP, of course, likes to see a somewhat larger budget, so that we do not have to work with a quota. I'd like to give the Minister one anecdote of a working visit to the police, an experience I had when I asked to join the Police Academy. I thought that would be fun, because then I would learn how to catch bad guys! Like many police officers, you learn what road and traffic laws mean and how to act as a cop. I thought: oh no, I've just spent a whole week with my nose in all those laws and get it here again! The aspirants explained to me that in the event of a collision they had to fill out all sorts of forms, but that they had an extra form with them because people should also blow if they had a collision. The whole class asked me in choir if we could please stop producing all kinds of extra forms. I do have a bit of a problem now, because this bill actually introduces an independent form. I'm having a really hard time with that. I would therefore ask the Minister to respond to this. I also welcome his commitment to training in this area. That is an important commitment. Still, I'm really stuck with the workload in my stomach. Finally, I come back to testing for medicines. I have already explained this and will simply read my motion. I think that will clarify a lot. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that research has shown that there is a likelihood of a link between the use of antidepressants and the emergence or increase in aggressive behaviour;]] [[Whereas in several court cases there has been or has been a discussion on the possible relationship between the drug use of the suspect and the possible side effects;]] [[calls on the Government to allow for a blood sample to be taken shortly after a crime to be used for alcohol in order to clarify the use of medicines,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Kooiman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33799-13]]
ParlaMint-NL_2016-01-14-tweedekamer-4.u103	When this law comes into force, it is important for our group to be able to make the overall assessment. I made a motion for this on purpose, so that I leave it to the Minister.
ParlaMint-NL_2016-01-14-tweedekamer-4.u104	Mr. Chairman. Thank you to the Minister for answering the questions. It is always a good thing to pass the painful points in legislative consultation, precisely because legislation has a history that can always be taken into account in its implementation. That's the power of this kind of consultation. That is why it is right that the Minister should say that he is hesitant about our amendment and that he should explain why it is so. This requires me to look again at the amendment in order to see how we can tighten up the motivation. Indeed, it is precisely because we are restricting ourselves to cases of pre-trial detention. But there are a few provisions whose consequences are so serious that you can ask yourself whether there should be no exception. There are many exceptions to the law, but the Minister is right to point out that we need to motivate it a little better in order to understand why we deviate from a fundamental starting point. We will. Knowing that the Minister will return to it in the second term, I would at least like to give him something, should it be so, I can hardly imagine that he will not accept our suggestion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Public Prosecutor may require and impose on the judge that, inter alia, following the use of established means at the time of committing a crime, the accused must comply with a special condition such as compulsory treatment;]] [[Whereas suspects are regularly reported not to attend the hearing;]] [[whereas this is unacceptable;]] [[calls on the Government, with the Public Prosecutor and the Court of Justice, to discuss the desirability of adapting their criminal law directives and guidelines on this point, so that in such a situation there is no hesitation in demanding or imposing an unconditional prison sentence,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Toorenburg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33799-14]]
ParlaMint-NL_2016-01-14-tweedekamer-4.u105	Mr. Chairman. I would also like to thank the Minister for his reply. I will limit my second deadline to justifying the amendment tabled by my group. The Minister stated two technical reasons in his reply: the current possibilities are sufficient, and in the designation framework for criminal proceedings and OM actions, a whole mouthful of.............................................................................................................................................................................................................................................. But a clue isn't a law. My group's amendment regulates a legal grounds for increasing penalties. Because in a law you indicate what you as a co-legislator think is important, with which you actually indicate what society thinks is desirable. A law must be repealed. A directive or a designation has been amended as required, but not a law. The bill is being discussed now, so that as a co-legislator you have to take your task seriously: then we think it is desirable to make use of the opportunity now to lay it down in a law. If that had been possible with a legislative proposal on violence against persons with a public role, my group would also have advanced a legal increase in criminal sanctions in the general part of the Criminal Code, because that would indicate that certain things are simply undesirable and that there are consequences when people cross the line. That's what the Code of Criminal Law is for. I'll leave my reasons to it. I would just like to say that I will amend it in the sense that it will include a phrase which reads as follows: if the lower limit is exceeded as defined in the General Measure of Management. I would like to discuss this with the Bureau for Legislation, but then the Minister will know that it is being amended to at least mention the lower limit.
ParlaMint-NL_2016-01-14-tweedekamer-4.u106	Mr. Chairman. I shall briefly summarise my main objections. Many colleagues have today pointed out the penalty-aggravating effect of this legislative amendment. I repeat, this amendment is not aimed at this. It gives only an objective handle for judges, but alcohol and drugs alone and its use do not say anything about the violence. The use of alcohol or drugs has a different effect on each individual. I do not think that we can say here that the use of alcohol or drugs leads to aggressive behaviour. That's not certain. I'm not convinced of it at all either. In addition, the judge needs the freedom to decide for himself how to take that into the punishment test. From my experience as a judge, I know that alcohol and drugs are also included in the sentence. There is no such thing as that discussion in the courtroom, which the minister is referring to. The Council for the Law and the Dutch Order of Lawyers also say this. Punishment is bespoke; the minister himself says so. The judge takes with him all the circumstances and therefore also the use of means. That objective handle can also work counter-productively, because what if it is not there, what if there is no test or the results in the file are missing? I therefore believe that this proposal brings us to the debate in the courtroom. I seriously question the deterrent effect of the drug test. I can't imagine anyone thinking, "I'm gonna have a Coke now because I'm gonna fight later." I'm not convinced of that. In view of the violation of human rights, the Minister himself has already said that you must pay close attention to proportionality. I am not convinced that the use of this law is so great that it justifies or can compensate for the violation of fundamental rights in this case. For the D66 Group, the bill is part of symbol legislation, because it does not in itself allow for stricter penalties, even if presented in this way. It only introduces a means of coercion that the practice does not require. The EUR 2 million it all costs is, in view of the gaps in the budget, a very large expenditure. I think that's weird. In any event, because I am so critical, if this proposal comes through, it will be evaluated quickly, within three years, as I have proposed in the amendment I have tabled.
ParlaMint-NL_2016-01-14-tweedekamer-4.u107	Mr. Chairman. In my first term, I have already indicated what my group's considerations are, as well as what is my greatest fear in the drafting of this bill. This is seen in the inclusion of the results of the research on resources as an argument why you cannot be held entirely responsible for the violence you have committed and the victims you have caused. The Minister has made clear statements on this matter. He has also made clear considerations about the element of punishment. I'm gonna think a little bit more about it, because I'm gonna be okay with it. I have also explicitly indicated here that I am sending the message to the Public Prosecutor and the judiciary that at least 40 Members of this Chamber are very keen to see the excessive use of alcohol and the excessive use of drugs included in the assessment of the penalty requirement and the penalty to be imposed. I come, together with Mr Marcouch, to the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Law on the Amendment of the Code of Criminal Procedure relating to the introduction of the power to order an investigation of means of violence and any related amendments to the Road Traffic Act 1994 aims to improve the treatment of violence under the influence of alcohol or drugs;]] [[noting that this would provide a legal basis for the use of means testing against violent bombers;]] [[noting that the results of these resource tests may be involved in the penalty to be claimed or imposed;]] [[noting that the aim of the law is to increase the penalty for the use of alcohol and drugs and to encourage the use of special conditions in the case of perpetrators of violence under the influence of those means;]] [[Considers that it should be possible to establish that such research and the results of such research also achieve this effect in such a way that the results of the investigation as an aggravating circumstance are incurred in the penalty claim and recognised in the penalty to be imposed;]] [[calls on the government to monitor whether the law does indeed have the intended effect and to inform the Chamber thereof,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Oosten and Mr Marcouch. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33799-15]]
ParlaMint-NL_2016-01-14-tweedekamer-4.u108	Mr. Chairman. I thank the Minister for answering the questions. As I said before, the bill can count on our approval. I do not see the law as an end in itself, but as a means of tackling a social problem. That problem is violence on nights but also outside; think about football stadiums in combination with alcohol and drugs. Policemen I have spoken to say that they run into alcohol and drugs, which make these groups problematic and unspeakable. We need to be able to appeal to those people for their responsibility with regard to the use of these resources. We need to be able to hold them accountable. This can only be done if the police have the power to write and measure properly the actual use of resources, so that the officers and judges can make good judgements on the victims of the violence with that information in the minutes and with those observations. That is what we stand for: we want the public space to be safe for everyone, for our children, for our families and for women, but certainly also for our service providers who work every day at risk for themselves and for their members. We want to make sure it's liveable and safe out there. This power and this law are linked in a series of measures that we take to ensure that people behave. This also includes the fact that people with an addiction problem or an alcohol problem or people who often come into contact with justice because they are under the influence and commit violence are sometimes forced to accept help. In addition to increased penalties, as I said before, it is just as important to help people and to provide the necessary tools and facilities for this. Only in this way can we ensure that we are effective in reducing this problematic violence.
ParlaMint-NL_2016-01-14-tweedekamer-4.u109	Mr. Chairman. First of all, I would like to thank the members of the Chamber, also for the fact that, for example, Mrs Kooiman has made it clear where the balance lies. I am beginning to get the impression that I have not been able to convince the D66 Group of the usefulness and necessity of this bill, but the last thing I say to Mrs Swinkels on this issue is that I think that D66 too should find it very important that we arrive at conclusions on the basis of facts in the courtroom and not on the basis of thoughts, suggestions and feelings of people involved in the criminal case. I would ask the D66 Group to look again at whether it is better to judge people on the basis of facts than on the basis of feelings, ideas or thoughts that arise in the case-file. I am pleased that Mrs Kooiman has indicated where her considerations and those of her group are. Of course, I can confirm that this bill also gives the Public Prosecutor's Office and the judge the full scope to opt for a higher sentence or for a higher sentence combined with conditions, a conditional penalty or special conditions, such as indeed a treatment. The government really is about customization, but with the note that it is explicitly intended that this customization is made on the basis of a higher penalty requirement. Mrs Van Toorenburg has rightly said that this will then lead to more room to apply special conditions. This also means, of course, that both the Public Prosecutor's Office and the judiciary are also looking at whether it is a first offender and, if so, what is most important for this particular first offender: is that perhaps a harsh punishment to show that this is not acceptable or is it not a serious punishment and is it especially important for a first offender to know what is going on with him and to let go of treatment? In my opinion, it is essential that we always bear this in mind, including in this legislative proposal. That is what we have established our legal system on.
ParlaMint-NL_2016-01-14-tweedekamer-4.u110	Now the motions, because we need to move a little faster. Mrs. Kooiman, briefly!
ParlaMint-NL_2016-01-14-tweedekamer-4.u111	If I understand correctly, the Minister says that this law also makes it possible for an addict or a psychiatric deranged person who is under alcohol or drugs to be subject to special conditions, whereas this was not possible before.
ParlaMint-NL_2016-01-14-tweedekamer-4.u112	That doesn't change the bill in itself. The law already makes it possible for a longer sentence to be imposed, and there is also a possibility to impose part of it on a conditional basis and to attach special conditions to it. That's what I'm talking about. In her motion, Mrs Kooiman asks for item No. 14 to look at drug use in the blood sample. This requires a new formulation, more research and more costs. That is exactly what Mrs Kooiman said she did not want, however sympathetic and understandable I think it is. I said what I said about medicine. I am sorry to have to advise against Mrs Kooiman's motion, because that would indeed lead to an additional workload and new forms, not only in the police but also in the NFI, without doing anything with those results. That's why I'm dissuading the motion. Mrs Van Toorenburg, in her motion, asked to discuss the desirability of applying criminal law directives, so that there would be an opportunity to demand an unconditional penalty if someone did not wish to participate in his particular conditions. That is, of course, up to the individual consideration of the Public Prosecutor and the judiciary. I would be happy to get in touch with them on this, but I would say very quickly that in some cases someone is saying that he is not going to do it, but he is going to do it eventually. I do think it is important that the D.A. and the judge always bear that in mind. However, I am happy to enter into the discussion requested by Mrs Van Toorenburg. In this respect, the motion may also be held or withdrawn. If she wishes to put the motion on the table, I shall leave it to the House to decide.
ParlaMint-NL_2016-01-14-tweedekamer-4.u113	I'd be happy to hold the motion, but I expect the Minister to report back at some point. You can do that in a general consultation or in a collective letter. It doesn't have to be in a separate letter, but I'd like to hear what the outcome of the conversation has been.
ParlaMint-NL_2016-01-14-tweedekamer-4.u114	At the request of Mrs Van Toorenburg, I propose her motion (33799), No. 14), as last amended by Regulation (EC) No 40/94 of the European Parliament and of the Council on the common organisation of the market in fruit and vegetables. That is what is decided.
ParlaMint-NL_2016-01-14-tweedekamer-4.u115	I'm getting to the motion on part No. 15 by Mr Van Oosten and Mr Marcouch. They are not asking for a new evaluation or for a permanent evaluation, but to keep a finger on the wrist and, like Mrs Van Toorenburg, to examine, at a subsequent AO, whether any of the results of the new law is already available and in a letter to the Chamber, what are the first impressions of the application of the new legislation. So that can't be until the end of this year and maybe spring 2017. I'd be happy to. For that reason, I can leave the verdict on this motion to the Chamber. Finally, I notice... no, I don't notice anything anymore. These were the motions. I would like to thank the Members of the Chamber for their care and thoroughness, but also for the exciting, legally insistent debate we have had with each other. I would also like to thank the members of the Chamber for their contributions. And, Mr President, you have presided very well.
ParlaMint-NL_2016-01-14-tweedekamer-4.u116	Well, well, well. Thank you.
ParlaMint-NL_2016-01-14-tweedekamer-4.u117	We will vote on the legislative proposal, the amendments tabled and the motions next Tuesday.
