ParlaMint-NL_2016-02-18-tweedekamer-23.u1	I see Mr Omtzigt standing at the interrupting microphone.
ParlaMint-NL_2016-02-18-tweedekamer-23.u195	Mr. Chairman. As far as I am concerned, it is a rather bizarre debate. Legislation is one of the key tasks of the Chamber. It now seems that there is a need for very extensive discussions on this subject, while it has been treated as a hammer piece. I find that rather bizarre. A first-term question is still open. It is about the letter of amendment and whether we can also look at consultations that have taken place or consultations that have taken place. The Minister has indicated in general that he wants to do so by legislation. As far as I am concerned, lobbying is not only good or acceptable if its content happens to suit you. The Minister also says that everyone can lobby. But I got the impression from the Minister's opinion at the time: if I don't like the content of that lobby, you really shouldn't complain. And I think that's going a little far. As far as I'm concerned, that should also be heard. You cannot agree with it, but even then, lobby contributes to a debate.
ParlaMint-NL_2016-02-18-tweedekamer-23.u196	Mr. Chairman. I thank the Minister for the answers. I asked questions about the risk of state aid in the first term and how it is looked at. I think I've got a clear answer. I also understand now why the reference to credit institutions had to be removed from the text. That was because of that risk. Thank you for that. I'm gonna say something about coco's. Yes, these are instruments that are allowed and perhaps disciplined and put the risks in the right place. Nevertheless, I continue to worry about possible systemic risks myself. Like Mr Nijboer, I am in favour of more equity in the system. The point, of course, is only that debt is cheaper. That's why I have a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that, within the current tax regime, it is more attractive for companies to finance themselves with debt than with equity;]] [[Whereas companies become less vulnerable with a higher share of equity;]] [[calls on the Government to make proposals to increase the level of tax treatment of equity and debt,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Koolmees and Mr Nijboer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32013-121]]
ParlaMint-NL_2016-02-18-tweedekamer-23.u197	Mrs De Vries has another question about the motion.
ParlaMint-NL_2016-02-18-tweedekamer-23.u198	I have a question about the explanation of the motion. The VVD tabled a motion on the tax climate some time ago. Mr Koolmees also supported this. How am I supposed to see that in relation to this motion? This can also be a common burden on business. I can't imagine D66 being for that.
ParlaMint-NL_2016-02-18-tweedekamer-23.u199	I'm certainly not in favour of that. The Minister said in the first term: it is part of the discussion we are now having on OECD/BEPS and the tax avoidance treaties. I think it is very good to make equity and debt more fiscally attractive, but you can also use that money very well to invest in the tax establishment environment, to ensure that the Netherlands remains indeed a very attractive country to enter into. That is why we have recently supported Mrs Neppérus' motion. I believe that there is another general discussion on BEPS on 3 March.
ParlaMint-NL_2016-02-18-tweedekamer-23.u200	I'd like to understand. If Mr Koolmees says that it needs to be reinvested, then that is part of the motion. I guess that's the context. Or does he just say: make proposals about whatever forms of equalization? That matters for our decision whether we can support the motion.
ParlaMint-NL_2016-02-18-tweedekamer-23.u201	The motion makes it very clear that the cabinet is being asked to make proposals to treat equity and debt more neutrally and equalize. That's the motion's request. Of course, that fits in with the way D66 looks at OECD/BEPS, locational climate and that sort of thing. That is why Mrs De Vries rightly refers to Mrs Neppérus' motion for which we voted with conviction. However, this motion only calls for proposals to be drawn up.
ParlaMint-NL_2016-02-18-tweedekamer-23.u202	Mr. Chairman. I would like to thank the Minister for his commitment to future transparency in the field of lobbying. The Minister indicated how everything was weighed. I think this is a better way to deal with it in the future. I asked for that too. I have two comments to make, including the tone of the debate in part of the Chamber. Especially if, in my opinion, you have forsaken your co-legislative task, don't fit it to blow as high off the tower as has been done. The second point concerns the provision of information to the Chamber. The information position of the Chamber is strong. That must be handled with decency. Members of parliament are waving white planes on internal mails sent to each other by officials, saying "it's a disgrace." However, they have received all the information, all the considerations and all the internal notes, which contained everything. Yet they want to create and score a hint of mistrust. Even if they are not my words, they are the words of my fellow Members, I do not think that this would benefit the Chamber and the functioning of the Chamber. It is creating mistrust, which I think is very bad and ultimately does us all no good. The Minister defends the measures taken in the banking sector. That's a lot of them. But the PvdA also thinks: move on and move on. That is what we are going to talk about. I understand that the Minister says "a lot has happened," but we are far from there. The sector is not yet healthy.
ParlaMint-NL_2016-02-18-tweedekamer-23.u203	Mr. Chairman. The CDA Group still sees the pattern of wage increases in ABN, in the dismissal of the NS top man, in the post-levy and in the Fyra Group that we had to dig a little further before the information came up. Same with the coco's. We thank the Minister for promising that we will not have this kind of thing in the future. This indeed does not deserve the beauty prize. We must ensure that we have timely information through the Council of State. I say to my colleague in the Labour Party: we do not need to see these internal memos. I therefore look forward with great interest to the discussion within the Cabinet on Article 68 of the Constitution. The cabinet will conduct the internal discussion on how it intends to comply with the obligation to provide information to the States-General, the First and Second Chambers. We're not a WOB institute. We need to get that information. Not thick packages, but just three sentences in the explanatory memorandum of a letter of amendment: this may have European law aspects, but we do not think so. That would have been enough. Leaving out those rules can still lead to hundreds of millions of fines. If that happens, we will look back at this debate and also at the statements made by several colleagues and by the Minister. I sincerely hope that we will get that note, preferably as soon as possible before 1 April. I've been looking into the Minister's real-time agenda. He did say he's here.
ParlaMint-NL_2016-02-18-tweedekamer-23.u204	What a surprise!
ParlaMint-NL_2016-02-18-tweedekamer-23.u205	That's right, and it was just scheduled for today and not tomorrow. Let us keep it that way. But there are only the public agreements in there. I understand that from the Minister, because if there is a crisis in the financial sector, he should not make his agenda completely public, but he should do it a little bit afterwards. Then it may have some degree of confidentiality.
ParlaMint-NL_2016-02-18-tweedekamer-23.u206	Thank you. I shall now give the floor to the Minister for his answer. I think he can be very short in the second term.
ParlaMint-NL_2016-02-18-tweedekamer-23.u207	Very briefly, Mr. Chairman, because my agenda says I'll be out of here by midnight. Otherwise, my schedule doesn't add up. By the way, there are only public things in that. Does the Chamber really want me to mention every meeting? Do you know how much internal consultation I have with all my officials one day? Do you want me to mention: I'm moving with Jan and Piet now? That's really... This also touches a bit on the essence of the point which will also be reflected in the memorandum on Article 68 of the Constitution. The Chamber shall have the right to information. We must inform the Chamber in full. This does not mean, however, that every document and mail message exchanged in the Ministry must be sent to the Chamber. I look forward to that debate. I come to state aid. If I believe that something is not state aid, I would find it special to bring it to the attention of the Chamber. I'd write that in the bill from now on. Moreover, the explanatory memorandum to that letter of amendment did contain a paragraph on European law, but no mention of State aid. So I would have to write down the European legal aspects in future: I do not think it is state aid. I think that's weird, but okay. Mr Merkies and also Mr Omtzigt said to see a pattern. I'm very sorry about that. It's probably wise not to go into that. It's a bit of scratching and damaging the regiment. I was indeed surprised at the post-tax, Mr Omtzigt, after a week. That was simply because I do not accept such a high post-tax rate as the figures you should appeal to, because you are always arguing for transparency on which this calculation is based, and you are not being given to us. Over the next few weeks, we have been committed to getting these figures from Eurostat to the public. That's what happened in the end. But getting such an account without revealing the figures it's based on, I'm still surprised. We have had this debate before. I do not think I should have properly informed the Chamber. The same applies to the other examples. We don't have to do that over and over again. The lobby section must contain everything, Mr Merkies said. Wider than an internet consultation. If there have been broader contacts, then we will mention the issues and the interlocutors, all within reasonable limits, I hope. I hope that I do not have to mention every contact and conversation I've had with people I meet at a meeting somewhere, all in a legislative proposal from now on. It doesn't have to get hysterical. It is a question of transparency. Mr Van Dijck has asked a question about Rabobank's 2.2 billion. I can't answer that. Maybe the Rabobank can do that on its own. He also asked a question about the 350 million. It is based on the size of the hybrid instruments that were under Basel II. The assumption that it was simply an assumption that the Netherlands was 16 billion. The assumption is that at some point these will be replaced by new hybrid elements, coco's, as we now know them under Basel III. If you do the math, you'll get to 350 million. Is that what's happening? We haven't got that far yet. Five and a half billion dollars of coco have now been spent. Part of it is also to replace the old instruments. Mrs De Vries asked whether the letter of amendment could be consulted in future. I'd rather choose the other route. A letter of amendment is something that always goes after it as a matter of urgency, sometimes during the debate in the Chamber. If we have to do all this in consultation, it will lose the character of a letter of amendment, namely a rapid additional amendment. This was a major issue. That is evident from today's debate. That should not have been put behind a tax collecting law in a letter of amendment. Mrs De Vries is shaking no. If I misunderstood that, she just needs to clarify it. I understand the question in a moment. I will come back to the opinion piece towards the banks once again. It's not about lobbying. Everyone in the Netherlands lobbies for their interests and so do banks. They can do the same. I was concerned with the type of argument. It is extremely remarkable when you come out of such a financial crisis and put society on such an account, that you try to counter it with such false arguments as society says: you have to put your balance in order and solve your own problems from now on. There was my annoyance. As you're hearing, I haven't quite lost it yet.
ParlaMint-NL_2016-02-18-tweedekamer-23.u208	There's been a motion.
ParlaMint-NL_2016-02-18-tweedekamer-23.u209	Then I'll get to the motion. It calls on the government to make proposals to improve the tax treatment of equity and debt. I'll leave this motion to the Chamber. Some of this is already in the new proposals, and we shall return to this as soon as possible. Of course, Secretary of State Wiebes will do this, because it is about fiscal policy. The direction is shared by us and the cabinet.
ParlaMint-NL_2016-02-18-tweedekamer-23.u210	Mr Merkies is asking his last question during this debate.
ParlaMint-NL_2016-02-18-tweedekamer-23.u211	Mr President, the nature of an interruption is that you are also interrupting the Minister, but I understand your ambition to be ready by 24:00. Maybe we should move the clock a little bit. Mr Omtzig is interfering now and we will certainly be dealing with the clock of twelve. I was at the lobby about the following. We have seen that there was an entire mail exchange outside the law. Then I'm not interested in whether they participated in the internet consultation or not. If it is not about that consultation, I want to see it in one way or another, even when it comes to a letter of amendment.
ParlaMint-NL_2016-02-18-tweedekamer-23.u212	We're about to.
ParlaMint-NL_2016-02-18-tweedekamer-23.u213	This is also my point. I did not ask for an entire internet consultation for the letter of amendment, but if there has been consultation, please report it. I'll come back to the motion. What is the Minister's view of the tax environment when concrete proposals are being made?
ParlaMint-NL_2016-02-18-tweedekamer-23.u214	You can read the motion in different ways. It does not necessarily say that business facilities are shrinking. The motion could also theoretically be read in this way, but then I would also have to ask for cover that the deductibility of own funds should be thrown open, so that equity and debt are both deductible. In that case, this is a great relief for Dutch industry. This is a serious answer. The motion does not say that the facilities should be reduced or extended, but it must somehow be levelled. We are very aware of Mrs Neppérus' motion that we should look at the locational climate, including in the European context. We will. I will not carry out this motion with the aim of increasing the burden on business. Let's make a deal like this.
ParlaMint-NL_2016-02-18-tweedekamer-23.u215	It's exactly a minute before 12:00.
ParlaMint-NL_2016-02-18-tweedekamer-23.u216	This brings us to the end of this debate. We shall vote on the motion after the recess on 1 March. I thank the Minister and his officials, the people who followed the debate, the MPs, the Stenographic Service, the messengers and the clerk. I wish everyone a very nice recess.
