ParlaMint-ES-PV_2015-05-29.u0	Good morning, everyone. We'll start the whole meeting. First point in theme list: "The question is, "The question is, that the members of the staff of the U.S.A.R.R.A.R.R.R.R.A.R.R.R.R.A.R.R.A.R.R.R.A.R.R.A.R.R.A.R.R.R.A.R.R.A.A.R.R.R.A.A.R.R.A.S.A.S.A.S.S.S.A.A.S.S.A.A.S.A. Too much of a lady, it's your word.
ParlaMint-ES-PV_2015-05-29.u120	Thank you, Mrs. Gallastegui. Mrs. Beltrán de Heredia, your word is yours.
ParlaMint-ES-PV_2015-05-29.u121	Eskerrik asko, president andrea. I am surprised, because two signatories of the same agreement today I have heard two different interpretations. You must also clarify what you want to move with the agreement. In any case, Mrs. Gallastegui, you regulated the use of spearheads, and you started the purchase file of the least harmful material, what we call spearheads. It took them more than a year and a half, between the acquisition of the first units and their final purchase, at the end of 2012. He talks in his presentation about 4,000 officers, but the fact is that the bulk of the training work we have done in this legislature. And, consequently, it has also been in this legislature that police officers have been removed from their lanzapelotas, replaced by lanzabolas and restricted to the use of lanzapelotas exclusively to special units, i.e. the Mobile Brigade. He also dared to say that in this legislature he has not detected any progress, as if the only possible progress was that of replacing one weapon with another, but he has not bothered to listen to the director of the Ertzaintza, although today he has served as an excuse for this debate. Today, thanks to the decisions of the Strategic Plan of the Ertzaintza Horizonte 2016, we have a better equipped comprehensive police, better assembled in our social reality; the agents and agents of the Mobile Brigade have appropriate vests and anti-trauma protectors to deal with complex situations; the lanzabolas have already been subject to modifications of improvement even proposed by the agents themselves; we have a well-defined instruction of use; no training on lanzapelotas is provided except to those units that could, exceptionally, use it right now. Therefore, their use is absolutely prohibited outside the scope of the regulated restriction, and in fact they have no longer been used in what we are in the legislature. In short, the replacement of lanzapelotas by lanzabolas has been a further contribution (one more contribution) to the design of a better prepared, equipped and adapted police force to the situation in Euskadi. We are, therefore, Mrs Gallastegui, much closer to what this parliamentary proposal raises than you have ever been. Thank you.
ParlaMint-ES-PV_2015-05-29.u122	Eskerrik asko, Beltran of Heredia anderea. The seventeenth point in the subject list: "To ask the question, Jul's Arzuga Gumuzius EH Collectors made for the head of the Security Department, the management of the operating system against the seven young wrongfully punished by the National Court." Mr. Azuga, your word is yours.
ParlaMint-ES-PV_2015-05-29.u123	Thank you, Mr. President. Good afternoon. The anti-democratic justice of an anti-democratic state follows that political euscal Militantes are judged and punished by their political and transparent work, especially those who are young. The prisons are filling up again with the rebellious youth. This is becoming unrest and indiscretion in the vast sectors of society. Unfortunately, it's becoming a border-inflict to refill the prisons or to complete the right channel. Only 28 young men were judged, but they were punished. The incriminations which had been tortured were the support of seven of them for a six-year sentence. Xabat Moran, Marina Sagastizabal, Ainhoa Villaverde and Bergoi Madernaz were arrested on 6 May by the Ertzaintza, even before they were notified of the sentence, a judgment that is not final and will also be appealed. There was no risk of escape. For this reason, his family members have filed four complaints of illegal detention with the courts of Gasteiz and Bilbo. I repeat: there was no risk of escape. The reason for Ertzaintza's unlawful conduct of this detention is clear: Ertzaintza has no reasonable methods in the face of acts of peaceful disobedience in protest of these arrests. He clearly demonstrated this in the Gasteizko Herri Harresia, where hundreds of people showed their active but peaceful solidarity to Aiala Zaldibar, Igarki Robles and Ibon Esteban. Really, counselor, did you find it appropriate, proportional, congruent, the operation that carried out the Ertzaintza on the past 17, a few meters, a few meters from here? Are you proud of that operation?
ParlaMint-ES-PV_2015-05-29.u124	Thank you, Mr. Azuga. To answer, Mrs. Beltrán de Heredia, your word is yours.
ParlaMint-ES-PV_2015-05-29.u125	Eskerrik asko, president andrea. Mr. Arzuga, you're specialists making homework. Don't do your own things, always at the expense of others. The order of the National Court was clear: location, notification of the sentence, and communication of his entry into provisional detention. And, in fact, four of the persons sought for justice were located, the sentence was communicated to them, they were arrested, and they were taken to Zaballa prison, and two others managed to evade the detention. They immediately set up the machinery to stage his arrest and seek confrontation with the Ertzaintza. That's the reality. The Ertzaintza fulfilled its obligation. It is not the responsibility of the Ertzaintza to prejudge judgements or court orders. The Ertzaintza had no interest in arresting a neighbour of Nafarroa, for example, if the person in question had not had an explicit interest in being arrested by the Ertzaintza. The Ertzaintza, before starting the eviction, invited those present to avoid any situation that complicated the arrests, and the persons under arrest had all the opportunities they wanted to be able to solve the situation in another way, less dramatic, less choreographed, less used as the object of window and political desire. Some did, didn't they?But others chose what is already well known: antifaces, wigs, paintings, ropes, chains..., everything that occurred to them at those preparatory meetings, and well accompanied by shouts, insults and aggressions also to the Ertzaintza. An active, very active resistance, Mr Arzuaga. Disobedient protest, as you said yesterday, yes, but peaceful no. I told him once and I tell him again from this rostrum: it is not good to preach the indifference to others and to be submissive to oneself. Because, tell me, what police do you want, a disobedient police, acting outside the law, only when it suits you?
ParlaMint-ES-PV_2015-05-29.u126	Eskerrik asko, Beltran of Heredia anderea. Mr. Azuga, your word is yours.
ParlaMint-ES-PV_2015-05-29.u127	In Beltrán de Heredia, the City Wall is not a machinery, it's not a strategy. The answer to the indication or the result spontaneous. If only it should not be arranged! You talk of dramatization, that's all peaceful dramaization. This must not be underlined again. The boys were all empty-handed in front of the whole mess of the mobile brigade, that's what we could see. A wild edge violence is what you want to justify. Apart from these three young men who had been ordered to arrest him, there were 20 other people arrested and 70 wounded. That's where you see violence from. In addition to the images of violence, we saw other pitiful pictures: the heads of the young men entered the fountains, or tried to help the wounded with the edge of the field. If this be done in the sight of all, what will they not do when no one looks? A neighbor to whom the Ertzaintza did not let the wounded who was causing the operation, spat out the angry ertzainas: "I have the right to be outraged! I have the right to be outraged!". We share that indignation, we share that feeling. We have the right to be outraged at the performance of the Ertzaintza. The origin of the operation was illegitimate, that decision of the National Court; the arrest of Moran, Sagastizabal, Villaverde and Madernaz was illegal, and the attack on the peaceful attitude of the Herri Harresia of Gasteiz was absolutely inadequate, disproportionate. Anyone with minimal sensitivity sees it that way. Madam Counsellor, is this the Ertzaintza of proximity? Is this the Ertzaintza for coexistence, the objective of that peace plan initiative? Is this the Ertzaintza for a new time? That's my question.
ParlaMint-ES-PV_2015-05-29.u128	Thank you, Mr. Azuga. To answer, Mrs. Beltrán de Heredia, your word is yours.
ParlaMint-ES-PV_2015-05-29.u129	Look, Mr. Arzuaga, I told you before, it was a whole liturgy, also responding to the truce of the act, the electoral act... Curiously, a lot of resistance, chained people... The first detainee had to be chained to another seven persons, because it was not possible to open the chains at the site and the detention could not be extended further. But, look, curiously, upon arriving at the police station, curiously, when there were no more cameras, the solution, the triggering simple, immediate. The liturgy had already ended. They filled the square with orange t-shirts, orange handkerchiefs, which came very well to them in that electoral use (e-lec-to-ral) of the act, but, as I say, once that liturgy was finished, they all complied with the law. They complied with the law. Mr. Arzuaga, there are things that seem to have not changed, or that some have not evolved. Seek constant confrontation with the Ertzaintza. And, I told you before, submission yes, but for others, for others. Complying with the law does, when there are no cameras. Is that the reality of the act they were looking for?
ParlaMint-ES-PV_2015-05-29.u130	Eskerrik asko, Beltran of Heredia anderea. The 18th point in the subject list: "Interlation of Arti Zulaika Portillo, the law of the Union, made to the head of the Medical Department, the law of Social Security, concerning the legal discipline of the silent professions." Mrs. Zulaika, your word is yours.
ParlaMint-ES-PV_2015-05-29.u131	Thank you, Mr. President. And good morning to all. It is the subject which affects the health of the workers and in general the health rights of society to-day. The Reformation of the Populative Party has made another step towards a strong public system, and the privatization of health; but it certainly is a great step forward to the reductions of the civil health of the workers. We're talking about the final reform of the Social Security Law. On the 18th of December, in Congress, the reform of the Social Security Law was adopted, which belongs to the legal regime of the dumb offices and professions. But, as we hoped, this reform is not made for the benefit of the workmen, nor has the Popular Party once more sanctioned it for the benefit of the patrician. This reform will produce enormous changes in the management of the health of the workers. But not only in this, but also in the management of the health of society. Among the principal changes of the Reformation, we have the following: First of all, the mutes' name has changed. From the dumbness of labor and profession the mutes of Social Security have become co-conspirators. But the change of the name is not important. The important thing is that the most important object behind the name's change is that the mutes in common events (out of work and accidents) should have manual handling. That's what you want with time. And in front of this, our first refusal. On the one hand, because we believe that the Social Security must not increase its collaboration with the dumb, quite contrary. And, on the other hand, because it extends the field of action of the dumb, in the direction of the public medical system. As for temporary impotence, the dumb will have more power to control, to continue, and to press, to end the state of the baja. And in this line, the most significant changes have occurred. When they consider it appropriate, they will have the opportunity to make proposals for medical discharge for the medical inspection of public health services. Another important change: the medical inspection of public health services must inform the mutual and the INSS, within a maximum of five working days, of the issue of the discharge or its refusal. In the event that the public health service rejects the proposal of the mutual or does not reply in form and time, the mutual may request the INSS, which must reply within four days. And another important change, perhaps the most important for us: the dumb will be able to call workers on health examination from the first day of the farm. And if the worker does not go to his study (it's all right why, for what reason), it's a chance to break off the case. Then the workman will have four days to justify the reason of not going, and, if he does not do it properly, the temporary state of impotence will become extinct. And mutuals will also have the right to access to the clinical history of workers. And the medical staff of the public system will have tables of standard duration by pathologies, as they already do or as mutuals already work, so that they have guidance to discharge. And these are just a few of the changes that this reform entails, which, although they seem to be only a few technical changes, are quiet changes, which will directly affect the health of the whole of society in general, and the health of workers in particular. In the motivation of the Reformation, it shows that the rate of absentism is a reform that decreases, and this cannot be motivation at all. This reform presupposes the character of fraud to the workers. Besides, data shows us that the rate of absence is lower and lower. In fact, because of the last form of work, the workers, even if they're on food, can be fired, a lot of people go sick to work. The opposite situation is just happening, that is, anatomism, in private business or in public. Besides, this may give other workmen serious consequences in general to the health of society. So we are also against this end. We don't agree at all. All this is to make a distinction in favor of corporations, in prejudice to the health of society. The second is that bureaucraticization will decrease. Well, that's a lie, too. It'll be the opposite. The professional members of the board will have a lot more work to do for the silent. And the most important thing is that all this will be done with public money. Instead of investing them in a powerful public system, the public funds open the gates to the medical priorization. This is the principal purpose of this reform in a middle term, the dualization of the health system, in which the workers will have private health management through the mutes, and the health of others will be managed to co-exist. This is the principal aim behind this reform: not only in the management of professional events, but also in the management of economic preparations, or even in the capacity of alcats and beans. And that sounds very serious to us. Besides, as the dumb will be a direct collaborator of Social Security, it will be the priority of the workers in making diagnostic tests on the health system. But not because more resources will be put in motion, but because it is the object of the patronal as soon as possible for the workers. What's that gonna bring? That people who don't work (simpleists, jobless, other people) should be secondary patients. So this reform, as I have said, will affect the health of the whole society. The professionalism of the members of the family is questionable. The doctors will be under pressure to respond as briefly as possible to the alta-proposies. The doctor's work charge will increase visibly. And another serious conclusion: it will be fatal to the workmen' health. As we have said, the workers are more and more afraid that they will not be fired, and this leads to more and more workmen, though they are ill, to go to work. So it can be very pernicious for their lives. It's a law against the right of health. It's a law that brings the health management of workers. So he's gonna reduce the health rights of the workers, and it's going to increase the staff charge because they're going to have to do more work for the mutes. That's why we interact with the health chief, Mr. Darpón. What are you going to do to keep this unjust law from hurting people's health?
ParlaMint-ES-PV_2015-05-29.u132	Thank you, Mrs. Zulaika. To answer, Mr. Darpón, your word is yours.
ParlaMint-ES-PV_2015-05-29.u133	Thank you, Mr. President. Congressmen, good noon. Zulaika anderea, Law 35/2014, of 26 December, amending the consolidated text of the General Law on Social Security in relation to the Legal Regime of Mutuals of Occupational Accidents and Occupational Diseases of Social Security, popularly known as the "Law on Mutuals", to which it refers in its inquiry, is legislation of Social Security, and therefore basic legislation. The text amends a specific part of the consolidated text of the General Social Security Act, approved by Royal Legislative Decree 1/94 of 20 June. In particular, the share that belonged to the mutual partners with Social Security. Paragraph 1 of its single article provides for changes in the definition of mutuals in their object, constitution, economic-financial regime, governing and participating bodies, assets, contracting regime, dissolution and liquidation, powers of the Ministry of Employment and Social Security, and the rest of the General Law on Social Security remains the same. Nothing in paragraph 1 of its single article, which is the basis and most of the content of the law, affects public health systems. The laws you have mentioned, Madam Zulaika, do not affect public health systems in general. The text, as you have well defined, in your single article has a second paragraph which modifies the eleventh additional provision of the Consolidated Text of the General Law on Social Security, which regulates the management by mutuals of the economic benefit for temporary incapacity arising from common contingencies. This part of the law is narrower than the previous, but its content effectively affects the functions that public health systems carry out in the management of temporary disability due to common contingencies, and we do not like it. From now on, therefore, what I will set out refers exclusively to this second paragraph of the single article of Law 35/2014, which amends the eleventh additional provision. The main changes to this text affecting public services are as follows: First, the response to the mutual discharge proposals must take place within a substantially shorter period of time: as you have already mentioned, a maximum of five days from the date following the date of receipt of the discharge proposal. In addition, this response should be communicated to the INSS. If the public health system does not estimate the proposal for discharge or does not respond within the prescribed period, the mutual from there may request the discharge directly from the INSS, which must be issued within a maximum of four days. Second amendment: communications from the public health system on the one hand, and INSS and mutuals on the other, should preferably be made by electronic means. Third amendment: mutuals become able to carry out diagnostic tests and treatments in order to avoid unnecessary prolongation of temporary incapacity processes resulting from common contingencies of the workers attached to them, with the authorization of the doctor of the public health system and with the consent of the worker. The results of these tests and treatments will be made available to public health system practitioners who assist the worker for inclusion in their clinical history. Fourth amendment: mutual societies may sign agreements and agreements with public health services to carry out medical examinations, diagnostic tests, reports, treatments, including surgical interventions, etc., which health services request. To this end, they will set out economic compensation that public health services will have to satisfy to the mutuals as compensation for the services provided. From the Department of Health of the Basque Government we have expressed our opinion on several occasions, and so has the parliamentary group EAJ-PNV in the Congress of Deputies. To shorten the time limit for responding to mutual proposals, we believe that it may lead to a decrease in the number of responses within the deadlines by the public health system, and consequently to an increase in requests from mutuals to INSS for discharge. And, therefore, we disagree. The proposal of the alta will not be asked again until the answer to the public health system is received. Therefore, this could lead in practice to a derivation of resolutions on discharge proposals from public health services (in this case Osakidetza) to the scope of the INSS, and we will try to avoid it. It is necessary to appeal to enterprises in public health systems, in order to respond in time to alta-proposies. So that the decision of the public system will be the principal part of the proceeding to solve alta-proposies. We therefore consider it appropriate, and we will do so, to take action to ensure that the public health service responds in a timely and rigorous manner to the discharge proposals, so that the pronouncement of the public health service remains the pre-eminent in the procedure for the resolution of the discharge proposals of the mutuals. With regard to electronic interoperability in the communication between healthcare professionals in public health services, mutuals and INSS (another variation), for us it is a positive aspect, as we understand that it will improve the care of workers in temporary disability arising from common contingency. As regards the carrying out of diagnostic tests or treatment of a worker in temporary incapacity arising from the common contingency by a mutual, we understand that if the consent of the compulsory worker is available and the procedure in question is carried out on the basis of the mutual's own funds, we have little to say from the Department of Health, because we understand that what will be done will be to speed up the diagnostic procedure. In addition, the results of tests and treatments carried out in mutual societies should be made available and made available to the public health system's practitioners, so that it can only lead to a more agile and therefore better quality health care for the benefit of the patient. And, having said that, we have repeatedly stated that we do not like the legislative amendment. Thank you.
ParlaMint-ES-PV_2015-05-29.u134	Thank you, Mr. Darpón. Mrs. Zulaika, your word is yours.
ParlaMint-ES-PV_2015-05-29.u135	Thank you again, Mr. President. Well, the truth is that I have not been very clear, although Mr Darpón has said that he is going to perform some performances, which will carry out some performances, it has not been very clear to me what they are going to be. With regard to timely response, does that mean that more people are going to be hired? Because obviously, of course, if with the same staff you're going to... I don't know, I wouldn't know how much time or work people, both medical inspection and Osakidetza, will be quantified, but the work will be considerably increased in order to be able to meet all the requirements on the part of the mutuals and all the reports they will have to answer. I don't know if that's going to involve hiring new staff for these tasks. On the other hand, with regard to the diagnostic tests to be carried out (diagnostic tests and examinations) on mutuals, I do not know whether they will then also pay for those tests by Osakidetza, because it is one of the complaints made by the workers, that with public money, well, it is going to derive to private health part of all those tests, also in the common contingencies. On 28 April, which was International Labour Health Day, all the unions went out on the street and all coincided, in different acts and mobilizations, in a common demand: to denounce the Law on Mutuals, because, among others, it means cutting workers' occupational health, and it also means opening the doors to the privatization of the public health system. And from EH Bildu we also want to denounce this law, because we obviously agree with that trade union claim. We believe that it is one more step; that, although this reform is not being achieved now, we will soon see new reforms in that direction, which is another step towards the dualisation of the health system, in which, as I said in my first intervention, on the one hand, people who are not active will be treated in Osakidetza, and on the other hand, it will be left in the hands of private health, in the hands of mutuals and private entities at the service of employers and employers, occupational health.
ParlaMint-ES-PV_2015-05-29.u136	Thank you, Mrs. Zulaika. Mr. Darpón, your word is yours.
ParlaMint-ES-PV_2015-05-29.u137	Madam Zulaika, looking at further details, I shall mention several measures laid by the Medical Department in front of the changes which this law has produced. We are already enabling a new system of electronic communication between the mutual societies and our public health system, in particular through the medical inspections of the Department of Health, encrypted and with limited access functions, to replace the traditional methods used so far; which, as a first step, we believe will facilitate the reception of discharge proposals in the medical inspection and the response from the inspection to the mutual societies. In principle, until we have it in place, we are working on the idea that it will serve to maintain Osakidetza's proportion of responses, despite the legal shortening of the deadlines provided for in Law 35/2014. In any case, even if they were answered in time, and if the answer was negative to the discharge proposal, the mutuals with this new law can always repeat the proposal before the INSS and start the cycle again, which we do not like either. It wasn't like that before. This is a change which this new law presupposes. Moreover, the reduced availability of time to respond, and the fact that a response from the public health system that is not satisfactory can provoke a new proposal before the INSS, means – and we understand this – a transfer of our competences in the public health system to the INSS that we do not like. Efforts are currently being made to enable electronic access to the medical record of the public health system by physicians from the provincial branches of INSS. This access will be limited, and will only be available for those workers in temporary disability due to common contingency, and only for the duration of that temporary disability episode, and only for the affected episode. It is not envisaged to give access, for the time being, to the doctors of the mutuals. This Department of Health works in line with the fact that it is its medical inspection that receives the requests for authorization from the mutuals to carry out diagnostic tests and treatments and decides on their authorization, which we do not plan to pay. As for the assessment that we make from this department of the amendment of the law, we can say that the conduct of diagnostic tests and treatments by the mutuals – I will repeat this again –, provided that the patient gives his consent and the result is available to the doctors of the public health system, does not necessarily imply a decrease in the quality of the assistance provided, nor any violation of their rights. In this sense, Law 35/2014 itself already clearly states – and I read textually – that "in no case will the tests and treatments involve the assumption of the provision of health care resulting from common contingencies, nor will the provision of resources for the latter". We mustn't forget that the worker has to agree first. That the shortening in the time frame of the public health system to the proposals for discharge of the mutuals, and the possibility of repeating the proposal before the INSS if it is not answered or answered negatively, we consider it a step in favor of the management of the temporary disability by common contingency by the mutuals, which we do not like, and we will take measures to compensate it from the public health system. In this sense, this measure was already anticipated in Royal Decree 625/2014 of 18 July, which regulates certain aspects of the management and control of processes due to temporary disability. In short, the Department of Health shows its willingness to continue to maintain the management of temporary disability due to common contingency in the public health system, from the confidence in the rigour of the work of its doctors in this area. In this regard, we do not find it exaggerated to point out that all legislative developments in recent years in the field of temporary disability have devalued the functions of public health services with regard to the management of temporary disability by common contingency. But – for us most importantly – we demand the need to address the transfer of the economic regime from Social Security to Euskadi, including mutuals in their supervision and control. We believe that this is the best formula for building a Basque social protection framework, which clearly sets out the work of mutual societies and the public health system. Thank you.
ParlaMint-ES-PV_2015-05-29.u138	Thank you, Mr. Darpón. The nineteenth point on the subject list: "To ask the question, the parliamentary members of the Rebeka Ubera Aranz and EH Collect Group for the head physician, the unit for magnetic resonance in the Arrastal Hospital." Mrs. Ubera, your word is yours.
ParlaMint-ES-PV_2015-05-29.u139	Good noon, everyone. What we want to know today is what the Medical Department intends to do about opening the new magnetic resonance unit. That is to say, whether he intends to open the new drive for magnetic resonance at the Hotel debbat's Hospital. Why do we say this? He's just opened a new unit in the hospital at the U.S. Center, and we've still got a truck in the Higuegagagagare Hospital for magnetic resonance. As you know, the Debaren Hospital is new, it was opened in 2012, supposed to improve health services, their movements, transfers, and other hospitals, to make improvements in space. After all, get the benefits to the Hotel debaare. But today, what we're seeing is that the activity of the new hospital isn't necessary, that activity, performance, is down. And we think it's a shame. We have a new hospital, enormous spaces, which can be more useful to us, and it still seems incomprehensible to us that we still have a truck in it for magnetic resonances. We could understand how to use the truck in a transition phase, but at this moment it's quite incomprehensible to us when we have the new hospital right there. It seems to us that the existing spaces can be taken advantage of to open a unit, and, after all, to guide the quality of the health service to the improvements and improvements. So today is what we want to know from the Medical Department and see what Mr. Darpón says. Thank you.
ParlaMint-ES-PV_2015-05-29.u140	Thank you, Mrs. Ubera. To answer, Mr. Darpón, your word is yours.
ParlaMint-ES-PV_2015-05-29.u141	Thank you, Mr. President. Partners. Ubera anderea, Osakidetza has no intention today, as you know from this year's budget, there is no intention to open a new magnetic resonance unit in OSI Debagoiena, because it considers that the need for these diagnostic tests in the health region today is satisfactorily covered. We don't think we need to start a unit like this right now. Moreover, the services which have hitherto been given in the field of magnetic resonance have been fulfilled in an accessable and comfortable manner by the patients of this area. Our support for the region I think is well known. As you know, there is a new hospital in the region, and that new hospital was planned in a legislature where this party also ruled, which was then continued by the Socialist Party in the past legislature. Also in the past legislature, specifically since December 2011, a concert was held with a diagnostic center for the provision of magnetic resonance studies to patients in the health area of Gipuzkoa, initially patients of OSI Debagoiena and OSI Goierri-Alto Urola, which neither of them had magnetic resonance. Today, the purpose of this concert, with the hiring of diagnostic studies of nuclear magnetic resonance, is to improve in an efficient way the accessibility of people in the Debagoian District. As in all contracts, it also includes quality conditions that must be present in the contracted service. The health department looks at the conditions under which the useful service is paid, and so it is in all other services which are hired with external requirements.
ParlaMint-ES-PV_2015-05-29.u142	Thank you, Mr. Darpón. Mrs. Ubera, your word is yours.
ParlaMint-ES-PV_2015-05-29.u143	You understand, we don't share your opinion. We don't think it's the quality that should be offered, nor those tests, those magnetic resonances, even when we do it. And it's not just the opinion of EH Collect, but this opinion has come to us from professionals. So it seems to us that we are to consider it, and that in that sense this Department of Health ought to deliberate and rethink it; and in the next year (for I suppose you are already preparing your budgets) to open a new unit for magnetic resonance in the Hotel Hospital. And, really, we're worried. A new hospital, yes, but we see that activity, social surrender, decreases, the patients' transfers are getting more and more to the other hospitals and other services. So, we think this health department has to focus on the Debola. And we'd invite him to come up there and see what reality really is. That's all. Thank you.
ParlaMint-ES-PV_2015-05-29.u144	Thank you, Mrs. Ubera. Mr. Darpón, your word is yours.
ParlaMint-ES-PV_2015-05-29.u145	Well, as you know, in December 2014, the Department of Health put into operation through Osatek a new magnetic resonance at OSI Goierri-Alto Urola, which lacked it, the result of a budgetary agreement with the Socialist Party, which we share and are sure has improved service to people in that region. This has also allowed the full-time concerted mobile unit to be dedicated to OSI Debagoiena. If you allow me and you take out the costs per citizen, in a few regions, with the population that has the District of Debagoia, and after the construction of the new hospital, both the assistance as a whole has been improved. A magnetic resonance is an expensive equipment, both in its acquisition and in its maintenance, which comes to account annually for almost 10% of the cost price. The cost of the latest machines that Osatek has installed and that serve Osakidetza patients ranges from around 750,000 to 1.2 million euros. As you can see, we are talking about very important investments, which need to be planned in order to be cost-effective and to ensure an intensive occupation that optimizes the investment made, even more so in today's times. In the year 2014 it was made, in the mobile unit for which you ask, 3,412 explorations at OSI Alto Deba, and 6,159 at OSI Goierri-Alto Urola. The mobile unit, now installed on a fixed basis at OSI Debagoiena, has carried out, in this first quarter of 2015, 1,165 explorations. And it is not because the advisor says so: it is a volume of explorations that hardly justifies the investment today, and it needs a more efficient solution than the installation of a fixed resonance, so that people in the region continue to access these tests without displacement, in what we agree. Thank you.
ParlaMint-ES-PV_2015-05-29.u146	Thank you, Mr. Darpón. The twentieth point in the theme list: "The question is that the members of the Dava Blanco de Angulo EH Collect are made to the head physician of the Medical Department, C hepatitis is the treatment against disease." Mrs. Blanco, your word is yours.
ParlaMint-ES-PV_2015-05-29.u147	Thank you, ma'am. Good noon, everyone. Mr. Chief physician, at the beginning of the meeting today's meeting, we've been talking about hepatitis and we've got to publish the concern that this subject brings us back to the end. This no doubt means that C is the subject of hepatitis to-day, not only in communication, not only among the sick, but also among most political groups of this legislature. We will not discuss the details of this disease in the EH, because we are not the proper ones for such consideration, so that you are informed. Now we wish to speak of the state in which certain patients are suffering. You know better than anyone in the past month that we've been conducting different initiatives to clear up all the doubts that surround the Hepatatitis. But we must say that the answers of your department have always been vague and brief. For instance, we didn't get to know the exact number of people who have diagnosed this illness. That's why we don't want to be in general with the verbal question today. Our purpose is to be as exact as possible. We know that some of their patients have been accused of being reported by their doctors that no direct anti-virtal influence against the Hepatitis has ever arrived. And again and again they announce that the attention they receive is insufficient when they appear in the media and when they come to us. So, on May 7th, Daniel Zulai, responsible for the plan of Osacy C hepatitis, said that in a week two new kinds of medicine had been added to this disease. Indeed, in the strategy of treating the hepatatitis of the 11th May, there are new therapys. But reality tells us that these two medicines are not in the hands of the sick. That's why we ask you: Why don't we give up new treatments that are predicting the Department of Health over and over? Thank you.
ParlaMint-ES-PV_2015-05-29.u148	Thank you, Mrs. Blanco. Mr. Darpón, your word is yours.
ParlaMint-ES-PV_2015-05-29.u149	Thank you, Mr. President. Partners. White anderea, I think I've understood that Osakidetza is not dispensing the new drugs for hepatitis C. It seems to me that the intervention has ended with that. Well, well, it's fake, and you know it perfectly well. Now at the turn of the answer I can list you what new medicines are not being dispensed. Or do you speak without any rigor? His concrete question today is: "Why are these medicines not being dispensed?". For I have already answered, look: all authorized drugs are being dispensed in the health system for the treatment of hepatitis C. Thank you.
ParlaMint-ES-PV_2015-05-29.u150	Thank you, Mr. Darpón. Mrs. Blanco, your word is yours.
ParlaMint-ES-PV_2015-05-29.u151	Thank you. I am referring to those who appear in the strategy of 11 May, which Mr Zulaika has also come out in the media saying that they are dispensing, but, according to the patient platform, the patients are not receiving. So the question had to be changed: not why they are not within the strategy, but why they do not leave the pharmacy. I am not going to evaluate in this case, to say what other autonomous communities do. We and we only value what you say publicly and compare it with what the patients or platforms that group them tell us. And it's our duty to ask you about it, and I understand that yours is to clarify it. Surely you agree with this group by stating that when the platforms that group these patients are locked up in hospitals, they do not do so for the sake of pleasure, nor for the sake of harassing anyone. What happens is that when you go to your specialist the answer you receive is not the same as that you give publicly or even privately. You have said: "There is not a single person in Araba, Bizkaia and Gipuzkoa who is affected by this disease or by another person who does not have access to the treatment most appropriate to his case among the treatments available." And you know that that is not true, because today you have again admitted that patients are being treated step by step, starting with the most serious. Therefore, there are people who do not have access to the most appropriate treatment, because they have to wait to get worse enough to receive that treatment. Do you know what patients have come to tell us? They prefer to get sick in order to reach a stage 4 so that they can be treated with new antivirals. That's what they've come to tell us. And what has happened again on this occasion, with the other two new medicines that you think are being given, but they say they do not receive. Look, if I'm confused – I'm going to make you a proposal – we'll meet you, us and the affected platform, and if I'm confused I'll stop beating you. Thank you.
ParlaMint-ES-PV_2015-05-29.u152	Thank you, Mrs. Blanco. Mr. Darpón, your word is yours.
ParlaMint-ES-PV_2015-05-29.u153	Mrs. Blanco, she's bought, negotiated and paid for all the new treatments against the virus that's been released for the last few months. Under no circumstances do I think you give the tab; ask in your right. A few days ago you supported with your presence a press conference of some of the affected associations, assuming your message as your own. It was said that the phased treatment of patients was a crime against humanity, and that all patients should be treated at the same time, a difficult thing. A model was put in place to follow the strategy developed by the Ministry of Health, and a solution was suggested for the sick, with their presence, to emigrate to other communities. Next Thursday the plenary of this House will discuss a non-legislative proposal made by you, urging the Department of Health to define a protocol for the use of new antivirals, a protocol that is in use in the centers of Osakidetza. He also urges his non-law proposal to provide new anti-hepatitis C medicines – and I will read literally – "to patients with compensated or uncompensated cirrhosis, patients on the transplant waiting list, and those who do not respond to the applied therapies." In other words, you will urge, with a non-legislative proposal, to prioritise treatments. I mean, what you're doing. In case it was not enough, in the justification of his initiative he tarnishes the strategy of the ministry of restrictive and obsolete. The same strategy as at the press conference he endorsed said it was magnificent and endorsed by experts and professionals. Truth is, it's hard to understand your position and that of your group. Mrs. White, I'm going to give you data. Data. From June 2014 to May of this year Osakidetza has treated 757 patients with the new medicines, carrying out an expenditure of 20 million euros. This expenditure has mostly gone to two US pharmaceutical multinationals, who would not even have suspected in their best dreams support as vehemently as those they receive from their group. What is difficult to understand is that, on the other hand, at this time you have tabled motions in municipalities urging the Spanish Government to intervene in patents and to develop generic natives. As you see, all this is very serious and very consistent, so we don't need them to relate to patient associations. We relate ourselves, don't worry. Mrs. Blanco, let's do it properly. Membership has always offered the best and the most recent medicines, now and forever. And you know that. And that's what we're doing this time: buy and offer our word and do our work honestly. I assure you, we work for the patients. We fully understand the uncertainty about the disease, but everyone cannot be treated on the same day. But, again, Osakidetza is committed to treating all patients, and so it will be. The data and the facts are there, and they are the clearest proof of what we are doing. Thank you.
