ParlaMint-NO_2001-01-31.ana.ud1670e27	It summons the alternate of the Nord-Trøndelag County, Astri Wessel, has a teke seat.
ParlaMint-NO_2001-01-31.ana.ud1670e1541	We go back to question 17.
ParlaMint-NO_2001-01-31.ana.ud1670e1547	This question, from the representative Hallgeir H. Langeland to the Minister for the Environment, will be answered by the Minister for Development who directs him.
ParlaMint-NO_2001-01-31.ana.ud1670e1550	I think the Minister for the Environment is also right when it comes to climate issues, but it is a good thing that the Minister for Development is able to get to Stortinget. She's not here that much, so it's okay. ‘In Norway, we have taken a number of measures to limit the physical damage caused by climate problems, including: flood protection. In poor countries, which do not contribute specifically to greenhouse gas emissions, such as Bangladesh, countries do not have the means to take the necessary measures. In these countries, climate problems very often lead to disasters, including: thousands of dead, destroyed crops and dwellings. What is Norway doing specifically to help these countries cope with climate problems?’
ParlaMint-NO_2001-01-31.ana.ud1670e1559	Natural disasters such as storms, floods, and drought hit the poorest. According to the Intergovernmental Panel on Climate Change, climate change will lead to such disasters occurring more frequently and to a greater extent. The fundamental injustice of climate change is that countries that are most vulnerable to the potential effects of the changes have made little contribution to their own emissions. This issue also reminds us of the link between poverty and vulnerability, and therefore the fight against poverty is important in this context. To address these problems, it is essential to establish an international climate agreement. We are very disappointed by the collapse in The Hague, but we are actively working to get the negotiations going again. Norway is actively working with developing countries to reach a good agreement in this area. China is now No. 2 on the emission peak, while India is in sixth place. We cooperate with several developing countries, including: China and India, in order to reduce their emissions and increase greenhouse gas emissions. According to the International Energy Agency, developing countries will already contribute as much climate emissions as developed countries in 2010. If we are to solve the global climate problems, we must actively involve developing countries in the process. However, floods, droughts and other natural disasters are nothing new. We have a long experience with emergency aid and are increasingly working to prevent such disasters. Norwegian assistance in this area has been concentrated on capacity building and measures to help the most vulnerable populations. We also support the UN Strategy to Prevent Natural Disasters. NORAD has supported the development of meteorological competence in Vietnam and competence in water resource management, including: in the case of flood warning, in a number of countries. In Bangladesh, support has been given for the development of cyclone-proof buildings and a larger national crisis management plan. NORAD provides support for reconstruction, e.g.: as one did after Hurricane Mitch in Central America and the floods in Mozambique and Bangladesh. Norway is committed to a number of measures to help victims of natural disasters, including disasters caused by extreme weather conditions. About 215 million. kr was used for such measures in 2000. Most of the funds went to emergency aid, with emphasis on food aid, health care and emergency shelter. About a quarter of them were used for prevention and preparedness measures, such as: early warning systems and pre-storage of emergency equipment. Emergency aid is concentrated on the poorest populations. We have to assume that the challenges in this area will be even greater in the future. This is what we are following, among other things. increased appropriations, not least for the prevention of damage caused by natural disasters.
ParlaMint-NO_2001-01-31.ana.ud1670e1576	I thank you for your answer. For SV's part, it is important to seize the evil at the root. As I understand it now, we actually need to use some u-help tools specifically for climate action, instead of doing what we should do, simply reducing our greenhouse gas emissions. I would like to comment from the Council of State on the policy that Norway has in relation to the greenhouse gas problem, on the fact that one reduces the price of petrol and thus increases car traffic, and that one goes in to build gas power plants. Does the Council of State mean that it actually helps to reduce u-help by using funds for other things, compared to the fact that this is a climate problem?
ParlaMint-NO_2001-01-31.ana.ud1670e1585	As I said, natural disasters are not a more recent phenomenon, but something we've been working on for a long time on the development side. Such conditions may become more severe, and thus the need for emergency assistance in such contexts will also increase. Then we will probably also spend more resources in the context of assistance on such measures, perhaps especially on the prevention side. It will then be a cost-effective approach to the issue. Otherwise, Norway and the Norwegian Government view climate problems as perhaps the biggest challenge in our time. Climate change will have very serious consequences for all countries, but the most vulnerable are the poorest, who are already the most vulnerable. Therefore, the government’s efforts in climate negotiations are also an effort for poor countries.
ParlaMint-NO_2001-01-31.ana.ud1670e1592	Only a short question finally running on the quota system. A system of allowances must be established, and in such a system only rich countries can buy freely, in my opinion. For Bangladesh, it's a bit topical for example. What did the Minister of Development think it necessary for Norway and the Norwegian Government to do to ensure that there is some sort of justice in the quota system that one should establish and that there is a multiple to establish? What can we do with a developing country like Bangladesh to ensure that they do not lose in this fight?
ParlaMint-NO_2001-01-31.ana.ud1670e1599	I think it is important to stress that the mechanisms discussed internationally in the context of climate negotiations are mechanisms that will contribute to both increased technology transfers and increased capital transfers to the poorest countries. As a development minister, I see this very positively. We must ensure that just such capital and technology transfers take place in the context of the mechanisms that are agreed on internationally.
ParlaMint-NO_2001-01-31.ana.ud1670e1604	Question 18 has already been answered.
ParlaMint-NO_2001-01-31.ana.ud1670e1610	This question, from Mr Ågot Valle to the Minister for Agriculture, will be answered by the Minister for Justice on behalf of the Minister for Agriculture.
ParlaMint-NO_2001-01-31.ana.ud1670e1613	I have the following questions for the Minister of Agriculture and look forward to the answer that the Minister of Justice can give: ‘According to the nations, the European Commission states that Norway has a full right to stop the importation of live bovine animals from EU countries. This is the case after a number of EU countries have become enslaved. The Minister of Agriculture has previously stated that it is desirable that Norwegian farmers do not import bovine animals but that Norway cannot introduce a ban. Is this not enough an example that the Government is not willing to take advantage of the freedom of action that Norway has as a non-EU member?’
ParlaMint-NO_2001-01-31.ana.ud1670e1622	The representative Valle asks whether the Government is not willing to take advantage of Norway’s non-EU freedom of action by imposing an import ban on live bovine animals, with reference to a look-up in the Nation on 25 January. Initially, I would like to stress that the Government is willing to take advantage of the freedom of action we have in the EEA Agreement. Last year, on several occasions, we have taken advantage of this opportunity, first by prohibiting the introduction of some types of Danish meat last spring until the Danes themselves were controlled, and last but not least by not following the EU in relation to the use of fishmeal as feed. The representative Valle's claim is therefore, in my opinion, not correct. The representative, Valle, refers to the fact that the Minister of Agriculture has previously stated that it is desirable that Norwegian farmers not import bovine animals but that Norway cannot impose a ban. The statement is two-part. First, the issue of imports may be prohibited: trade in live bovine animals within the EEA territory is initially allowed if the rules for such trade laid down in the EEA Agreement are followed. The rules are comprehensive and concern both the herd and the animal in the country of dispatch and inspection upon reception. In spite of these control requirements, where the introduction would pose a threat to public or animal health, the EEA Agreement contains a safeguard clause allowing Norway to impose a temporary prohibition on imports. In other words, the import ban must be justified on a professional basis. This possibility is a reflection of the right of any EEA country under the EU Directives. In the case of the risk of spreading bovine animals in this country upon introduction of live bovine animals, it is assessed by the Veterinary Institute that, with the labelling and control of all imported animals and progeny, there is no threat to defend a prohibition. Indeed, any prohibition must be defended professionally through consultations within the EEA Committee. If it turns out that our reasons are not accepted, this could be met with counter-reactions, for example. in the form of appropriate economic reactions or other measures that may make it difficult for us. So the fact is that prohibitions can be imposed, provided that this can be defended professionally. In those cases where individual EU countries have unilaterally imposed a ban on the importation of live bovine animals, the Commission considers that these countries have not been able to provide sufficient professional justification and, according to information provided to me, have granted countries a deadline for lifting the ban in January. So to the statement that it is desirable that Norwegian farmers do not import cattle for breeding purposes. The Minister of Agriculture has answered several times the import question. The risk assessment carried out by the Veterinary Institute suggests that there is a greater possibility of finding cows in imported bovine animals compared to Norwegian births. Therefore, it would be desirable for those who need to import, introduce semen or embryos instead of live animals. According to the professionals, prions giving birth cannot be transferred by semen or embryo. Imports of semen and embryos rather than imports of live animals are, moreover, also a control measure in relation to other diseases. The introduction of such germinal products is also preferable to live animals because the former imposes additional work and costs on the control bodies. I would also like to draw your attention to the fact that the Minister for Agriculture will give the House a broader explanation of these questions on 13 February, followed by a debate on 22 February.
ParlaMint-NO_2001-01-31.ana.ud1670e1647	I thank you for your answer. The spread of cows in several EU countries shows how wrong it can be when freedom of movement and competition are all other considerations and where one of the results is a through-industrialised agriculture. SV was and is opposed to the EEA Agreement, but at the same time we are concerned that Norway is using the freedom of action we have as a non-EU member. I record that the Council of State referred to some areas where you have used the freedom of action, but that is, after all, everything in small areas. The tumors last week gave cause for some comments. Outstanding bureaucrats confirm to both the Evening Post and the Nations that Norway has the freedom to impose import bans. What does the Council of State do when it comes to making use of its freedom of action? No, he almost panics and has to prove to a great extent to the world that Norway has no freedom of action in this area. The result is glowing telephone lines and counter-message from the Commission. Is that not the basis for using the disagreement that exists in the EU Commission to protect Norwegian consumers and Norwegian agriculture?
ParlaMint-NO_2001-01-31.ana.ud1670e1658	The government's assessment is that at this stage we do not have the freedom to impose an import ban, because the EEA Agreement says that it is only where the conditions for using the safeguard clause exist that we can impose an import ban. And the professional authorities that we have here in Norway to assess the professional sustainability of any import ban justified in this particular safeguard clause say that there is no professional basis for using the safeguard clause in the EEA Agreement and thereby imposing an import ban.
ParlaMint-NO_2001-01-31.ana.ud1670e1663	I thank you again for the answer. In the light of what has happened and the statements that have been made, and the disagreements that are, after all, in the EU system, and which I believe should have been exploited for all that it is worth, I am tempted to believe that the Council of State and the Government are more concerned with demonstrating what is not feasible than to follow the advice given by both the veterinary authorities and the State Food Authority, namely that the total ban is the only way to protect themselves against jealousy. I am tempted to believe that this is a deliberate strategy to lure a contentious opinion to say yes to Norwegian EU membership at a later date. But I'm not going to say that, because this is a matter of consumer safety. The Minister of Agriculture has said he will be a strong consumer minister, and I would urge the Government and the Council of State to take advantage of the freedom of action that I believe lies both in the security clause, in the disagreement in Brussels and in the strong opinion of the people of the EU countries themselves. It is not that the Council of State believes that the EU will punish Norway in an area where there is so much concern in the EU Member States.
ParlaMint-NO_2001-01-31.ana.ud1670e1673	I hear that the representative, Valle, maintains that there is freedom of action to impose an import ban. The government’s assessment is that that freedom of action does not exist, and it was also clearly confirmed by the EU after the debate that took place last week. It is therefore the Norwegian professional authorities, the Veterinary Institute, who say that the control we have in Norway today is fully professionally sound, and it is precisely this proper control of imports of animals into Norway – that we have control systems that are good enough – that they say that there is no basis for imposing import bans. I also hear that the representative, Valle, refers to the State Food Authority. We have been confirmed by the Director of the State Food Safety Authority this morning, on the basis of a look-up in the nation today, that he is not familiar with the description given: that he must have said that a total ban is necessary and the only right thing about the importation of live bovine animals.
ParlaMint-NO_2001-01-31.ana.ud1670e1685	I allow myself to ask the Minister of Justice the following questions: ‘11. In October 2000, the Stortinget decided to ask the Government to investigate the possibility of establishing a central knowledge base with competence for sexual abuse against children. In letter of 7 November 2000, the head of Kripos wrote to the Ministry of Justice that he could have such an aid concept operationally 4 months after a clear signal was given. Does the Council of State consider giving such a signal and will it be given as soon as the ‘Barne-Kripos’ can be operational before summer?’
ParlaMint-NO_2001-01-31.ana.ud1670e1692	Following the decision of the Stortinget to ask the Government to investigate the possibility of establishing a central knowledge base on sexual abuse against children, the Ministry has received an enquiry from Kripos, as the representative Marthinsen mentions, proposing a staff increase of 15 years' work to enable Kripos to provide research assistance that is more proportionate to the current needs, as well as to meet the need for skills and methodology development in this area. Since 1995, Kripos has built up competence in sexual abuse, in particular in the field of child abuse, both in the field of research and crime, and there has been an increase in the number of requests for assistance. The Ministry has asked Kripos to follow up his assistance to the police districts in this area by the year 2001 at the latest, but also in letters to the police districts and Kripos last July. Before considering the proposals made by the director of the Kripos, the Department has asked for an explanation of, among other things. how the positions already allocated to this type of crime at Kripos are used, what assistance needs are sought and whether there are areas in which assistance is currently not available. Since it is the national lawyer who is responsible for the investigation and the further handling of criminal cases, I have also found it natural to ask him to consider the Kripos proposal and indicate the needs to be met with such a knowledge base. I have also asked for the views of the Directorate of Police on how best to take care of the central aspect of the Marthinsen proposal, which is to continue to strengthen the work of revealing and clarifying child abuse. Responses were requested by 12 February at the latest. The Ministry has recently received the report from Kripos, which points to several key aspects of the aid function, as well as to the needs that still need a reinforced follow-up. Among other things, Kripos points out that there has been a marked increase in the competence of investigators and prosecution lawyers dealing with sexual assaults, but that there is insufficient capacity to meet police district needs. However, I would like to assess the presentation by Mr Kripos together with the answers from the State Attorney and the Police Directorate as soon as the last two are available. The aim must be clear enough, namely the desire to continue to strengthen the work on raising skills and to identify and solve child abuse. Furthermore, the issue raised by the representative Marthinsen is also mentioned in the recent report on policing, police reform 2000. It shows that: ‘the strengthening of KRIPOS’ means the concept of assistance and by the size of the new police districts, a completely different situation is achieved from today’s. The prosecution authority's follow-up to the rape report and the new measures of competence will also contribute to strengthening the work in this area.'
ParlaMint-NO_2001-01-31.ana.ud1670e1708	I thank you for your answer. I think it was a complementary and comprehensive response, which in many areas meets the concerns and concerns of the majority of the population after the adoption of this. I think it is absolutely right to look at this from a broad perspective, and to involve different bodies also in order to get answers to the questions and areas that the Minister of Justice has underlined and pointed out here. I hope that this means – and I understand it this way in the Council’s answer – that she is also impatient about getting this up and standing, for every child who is being assaulted is too much. I hope that what comes out of this will not be excessive decentralisation – I think in relation to what you say about police districts – but centralisation, so that you achieve a high level of competence and do not spread it.
ParlaMint-NO_2001-01-31.ana.ud1670e1717	The aim is that I am convinced that the representative Marthinen and I are fully in agreement on this, which is to continue to work to strengthen the investigation of child abuse. But what I've been busy about is that before we do new things and new grips, we need to make sure we're doing the right thing, so we don't get anything up fast and stand that's not the right thing. That's why we need to go this round first to make sure that we're doing the right thing when we first do something. I feel convinced that it will not be appropriate in any way to remove the aid concept from Kripos. We've had that for years, and we've been happy with it, so it's primarily a question of how to develop it further, what tasks and what competences should lie with Kripos, and what is the most correct possible to have elsewhere.
ParlaMint-NO_2001-01-31.ana.ud1670e1724	Once again, I thank the Council of State for the answer. I think we're definitely in line with these questions. It is important that when we get such an aid concept up and stand – beyond what already exists – that we have two things in mind. One of course, what's the main purpose of this is to help the kids. The second is that we avoid the unfortunate consequences to which we have seen any progress, namely that someone has been convicted of having committed an assault for which they are subsequently acquitted. So this can beat both ways: it can be a protection for those who are accused of being false, while primarily it is a help for the children and a help in the investigation. I think it is important that this competence is further expanded, and I can promise the full support of the Christian People's Party in the work that the Council of State will do in that case.
ParlaMint-NO_2001-01-31.ana.ud1670e1731	I have nothing to add.
ParlaMint-NO_2001-01-31.ana.ud1670e1739	‘According to Finn Abrahamsen, head of the division of violence in the Oslo police district, the armed situation in Oslo is now hopeless. Situations where people threaten with knives and firearms are increasing. Illegal possession of weapons has a general penalty of 3 months. This is not consistent with the seriousness of the actions taken. Will the Council of State take the initiative to increase the penalties for illegal possession of weapons?’
ParlaMint-NO_2001-01-31.ana.ud1670e1746	In the spring of 1998, the Storting adopted a number of changes to the Arms Act, such as: include the criminal provisions for the illegal possession and use of firearms. According to Section 33 of the Act, the penalty framework has been raised to two years in prison for, among others. ‘no legitimate reason’ means to carry weapons in a public place. Under the second paragraph of the same paragraph, where the offence is particularly serious, it may be lifted to prison for four years. However, the less serious breaches of the Arms Act will only have a three-month penalty framework. I mention, for example, that there may be infringements such as not keeping ammunition and weapons apart, as one should do according to the rules. This graduated scale of penalties — which came into force on 5 June 1998 — should initially provide adequate instruments for criminal responses to illegal possession of weapons. Let me nevertheless add that the Government of Ot.prp. No 21 for 2000–2001 on changes in the Arms Act, which is now under treatment in the United Kingdom, among others. has proposed an upscaling of the criminal provisions of the Arms Act. After this, it is now clear that the stricter two-year penalty framework will also include the illegal possession of firearms. In the light of the recent proposals presented by the Government, which the Stortinget has to deal with, I do not want to take the initiative to further increase the criminal framework now, but to keep the issue under constant review. As regards the fight against crime of violence and the alarming development of the proliferation of firearms among criminals, it is also important to look at matters other than criminal law. Among other things, it is important to have control over the large number of unregistered weapons currently in private ownership. The Proposition on changes to the Arms Act contains proposals for legislation for a national weapon name path. I would like to point out here the positive experience gained through a pilot project on the weapon name path in four police districts. Finally, let me mention that in the summer of 1999, Stortinget adopted a new Section 10a of the Police Act on access for the police to be able to visit people in public places in order to search for weapons. This visitation helmet also includes knives or other dangerous articles which are not prohibited by themselves. This provision was made temporarily for three years from its entry into force and will be evaluated during that year. I also mention that, in the light of the Oslo police districts' input, it is also natural to link to that evaluation an assessment whether there is reason to extend the visitation centre to other types of visitation, such as the visitation of persons. car inspection or search.
ParlaMint-NO_2001-01-31.ana.ud1670e1759	I thank the Council of State for the answer. My question has its background in a description by the Oslo police of a large amount of illegal weapons in criminal environments, and it was raised from high ranks and from several police teams that an increase in the general penalty framework for illegal possession of weapons, which will also include knives, might have been a way to go. I believe that the Council of State gave a satisfactory response to the penalties we have attached to the Arms Act, and I am of course aware that we also have proposals in the Stortingen now on a tightening up. And I take note that you don't want to take any initiative related to an increase in the penal framework in this area, but will follow the situation. But will not an increase in the general criminal framework in criminal law also raise the threshold for illegal weaponry with knives – which has ended in tragic situations in a number of respects – and be an effective instrument also against criminals and gangs?
ParlaMint-NO_2001-01-31.ana.ud1670e1768	I am committed to assessing the criminal framework for the use and possession of weapons, but I believe that the review we had in connection with the amendments to the Arms Act provides a reinforcement that should be sufficient in the first place. But if we were to consider it differently in a shorter or longer time period, we are of course willing to look at it again.
ParlaMint-NO_2001-01-31.ana.ud1670e1773	Once again, I thank the Council of State for the answer. And as I said, I've just recorded that there are several police teams that point out that an increase can be effective in relation to some criminals and gangs who operate not only with firearms, but also have weapons with knives. In a previous answer, the Council of State said something I fully agree with her in – in such situations we will take the time necessary, so that we know that we are doing the right thing too.
ParlaMint-NO_2001-01-31.ana.ud1670e1780	I don't have anything to add here either.
ParlaMint-NO_2001-01-31.ana.ud1670e1796	This question falls away.
ParlaMint-NO_2001-01-31.ana.ud1670e1802	I will ask the Minister of Justice the following questions: ‘The Moss Police Chamber and Moss City Court have little satisfactory premises today, and it is provided that a new police and property building is to be built. Can the State Council explain the progress plan and when can it be expected that the new premises can be completed?’
ParlaMint-NO_2001-01-31.ana.ud1670e1811	I'm familiar with the local situation of the police district and the city court in Moss. I can inform you that a progress plan has already been drawn up which requires the offer material for a new building in Moss to be sent out in the spring of 2001. According to the plan of progress, the submission of offers for new premises should take place early in the autumn of 2001. We expect the police to enter into a lease with the current provider before the end of the year. The construction project is planned to be completed in the spring of 2003. In the case of Moss City Law premises, once the offers have been received and evaluated, the Ministry of Justice will decide whether to start construction. I remember the Ministry of Justice in St.prp. No 1 for 2000-2001 has pointed out that if not both police and court premises can be completed at the same time, the needs of the police will be given priority. This will be a budgetary question. If it were possible to find cover in the next year's budget for new premises also for Moss City Law, these premises could be completed in the spring of 2003.
ParlaMint-NO_2001-01-31.ana.ud1670e1820	I thank the Council of State for the answer – that was very positive. But what's a problem is that these premises, as I understand it, are primarily to be rented, and that it is not the department itself that is to be responsible for the construction. It is now such that Moss's city law has incredibly narrow premises and must be rented out. Wouldn't it be most appropriate, when these two bodies are going to be in the same house, that you also build for both at the same time? It is a pity that a rental should be able to put an end to the entry into temporary premises.
ParlaMint-NO_2001-01-31.ana.ud1670e1827	First, I would like to draw attention to the fact that, as far as I am aware, the plans for construction are such that the police and court should be in each of their buildings, but the buildings should be on the same site. So there are two independent buildings in the planning that have been done so far. The department's assessment is that if we have to choose between the police and the court, the police's premises are the most required, and that's why we think it's the premises that should be given priority if we can't find cover to do both. And what's the situation per. Today, therefore, we are currently not sure whether it is possible to find the budget coverage for the increase in rent that a new building will bring to both the police and the courts.
ParlaMint-NO_2001-01-31.ana.ud1670e1834	I thank you again for the answer. I think the Minister of Justice is now putting a little dent in order for Moss to be able to get into time rooms, which it really needs. It's true that there are really two wings, but they're closely connected. In addition, the Justice Committee was also aware of what the Ministry wrote in the budget proposal, and requested that this be brought into the same building and completed at the same time. I agree that it is most insensitive to the police, but it is also insensitive to the city court in the crowded premises. It is also stated in the press release on the Courts of First Instance in the future that, irrespective of structural changes, Moss must enter new premises. It says that in the ‘long term’ one has to enter new premises, and it really worried me that the city court has to wait another time before it can enter new premises.
ParlaMint-NO_2001-01-31.ana.ud1670e1845	I can just show you what I said. I cannot promise today that it will be possible to get Moss into new premises at the same time as the police. The reason for this is in so far as budgetary assessments are concerned, and in so far as the big message referred to by the representative, Mr Nakkim, is concerned. The implementation of the notification will have to lead to an assessment of where it is appropriate, where appropriate, to give priority to increased operational frameworks, in which case more money will be spent on the operation of the courts in order to cover house rental increases also in other places where it is necessary to make structural and localisation changes as a result of the decisions taken by the Stortinget in connection with the notification of the Grand Duchy of First Instance.
ParlaMint-NO_2001-01-31.ana.ud1670e1853	I have a question for the Minister of Justice: ‘The Minister of Justice has overall responsibility for the coordination of the Schengen implementation. It includes border surveillance and police cooperation. In our neighbouring countries, border surveillance is mainly carried out by a defined body of responsibility. The implementation of Norway's Schengen will affect more offices than the police. This may be the basis for problems if cooperation and sharing of responsibilities are not well anchored. How is this solved?’
ParlaMint-NO_2001-01-31.ana.ud1670e1862	The preparation of all aspects of Norway’s operational participation in Schengen cooperation, the so-called Schengen implementation, has been carried out in the form of two major projects managed by the Ministry of Justice. One project has taken care of the establishment of a national base for the Schengen Information System, SIS, so that Norwegian police can make full use of the system in cooperation with the other Schengen countries. This project will be completed in these days, with the objective of the project being achieved. Following the decision of the Justice and Home Affairs Council of the European Union on 1 December 2000, the SIS is now operational in the Nordic countries. The derogation is the use of SIS for the purposes of external border controls. This function is first implemented on 25 March of this year, when the internal border control between the Nordic region and the other Schengen area is abolished. Then the Nordic countries are taking part in the cooperation. The second project has also been completed a long time ago. The mandate for this has been to complete a number of different actions required for the first series of Norwegian police to be able to handle their Schengen-related tasks. The project includes, inter alia: included the allocation of new posts, training, acquisition and deployment of necessary materials and equipment, the updating of circulars, the preparation of new legislation and border control procedures. In addition to providing police preparation, the project has also ensured cooperation with other agencies. Early cooperation with other departments and agencies and cooperation with our neighbouring countries on cross-border police cooperation was established. With regard to the impact on border surveillance, it has been working closely with the Ministry of Defence. The defence is responsible for the lifting of sovereignty, i.e. border oversight in Norwegian territorial waters, in Norwegian airspace and at the border with Russia. This will give the Defence through the Maritime Defence Department, in particular the Coast Guard and the Army at the Garrison in South Varanger, responsibility for border surveillance at our external maritime border and our external border, which is a very important part of our Schengen participation. The division of responsibilities and cooperation between the Ministry of Justice and the Ministry of Defence in the field of border surveillance have been well taken care of during the project period. It may also be added that border controls and surveillance in the other Nordic countries, with the exception of Denmark, are also distributed among different national authorities.
ParlaMint-NO_2001-01-31.ana.ud1670e1873	I thank you for the answer from the Council of State. It is the defence that is primarily responsible for border surveillance. And recent events along the coast have highlighted the lack of surveillance along the coast, which well represents the longest part of the Norwegian outer border. Our coastal route has a significant geographical extent, and it represents in itself a risk of unwanted border crossings. There is reason to believe that the number of calls covered by the Schengen provisions is significantly higher than one hundred thousand per. years. In addition, there are a low number of coastguard vessels on continuous patrols in the territorial waters. Coastal monitoring can be called anything but exceptional, and there is a significant number of border crossing points along the coast. Has the Minister of Justice started to worry about whether border surveillance is good enough?
ParlaMint-NO_2001-01-31.ana.ud1670e1882	I feel confident that what has been done in terms of both border control and border control is sufficiently well taken care of. It is therefore the defence that is responsible for the general border surveillance, and it is the police that is responsible for border controls, i.e. border controls. So there's a two-part problem here, as in the other Nordic countries. I cannot see that the challenge of border surveillance and Norwegian sovereignty at our external maritime border is generally going to be significantly different now than it has been in the past.
ParlaMint-NO_2001-01-31.ana.ud1670e1889	In the previous St.prp. No 1 shows that, in the context of the Schengen implementation, there would be a need to better integrate monitoring resources during 2000 in order to ensure satisfactory monitoring along the coast, as it is called. This is further described in the budget proposal for the current year. It also mentions the establishment of a monitoring centre by the end of 2001. Obviously this has not happened. More recently, monitoring along the coast has been shown to be insufficient, and this can only result in Norway becoming a back door to the Schengen area in terms of human trafficking. What measures have been taken to ensure adequate monitoring, as recent information shows that the measures mentioned in the previous budget proposal to meet an existing need are clearly not implemented?
ParlaMint-NO_2001-01-31.ana.ud1670e1896	First of all, the question of the criticism of the monitoring that has occurred recently. It has been concerned in particular with the monitoring of ships in the lead which are on the wrong track, etc. The discussion has been on the general surveillance of the defence in relation to the question of defence, and has not generally concerned the border surveillance carried out by the defence. A new coastguard vessel has been decided and ordered; it is also decided to build new frigates. It is all about better monitoring of waters outside Norway. I find it difficult to follow Mr Stang's description that the possibility of entering Norway is considerably greater than before a Schengen implementation.
ParlaMint-NO_2001-01-31.ana.ud1670e1906	I will be allowed to ask the following questions to the Minister of Justice: ‘Organised crime is in worrying development. This has been made visible by seizures of 40 kg of heroin in Asker from individuals reportedly related to the Kosovar Albanian environment and in frightening shooting episodes in the so-called reverberation environment in Oslo. What are the police doing to expose this type of crime?’
ParlaMint-NO_2001-01-31.ana.ud1670e1915	Organised crime has a high level of mobility and operates across borders as well as police districts. This means that this crime must be met with a wide range of measures. One of the instruments is undoubtedly better coordination of the overall efforts of the police. At the time of the establishment of the Police Directorate, Norwegian police have been given the professional central management that both the government and the magnificence have considered necessary to strengthen and coordinate efforts against cross-border and organised crime. The establishment of a National Council for the Coordination of Organised Crime (ROC) is another important instrument. The Council shall consist of members of the Police Directorate, the Public Prosecutor's Office, Økokrim, Kripos, Oslo Police District and the Police Masters. The Council shall carry out projects involving several police districts on short notice. That's 5 million. kr for such projects, and support has already been given in several cases. There is also extensive cooperation between the Police and Customs Department on both coordination, control efforts and methodological development. Regular meetings between the customs director and the new police director have been initiated. The proposals in the recent St.meld. No 22 for 2000-2001, police reform 2000 will both increase the possibilities for better coordination between police districts and release significant human resources such as: may be deployed in the fight against crime, including against organised, cross-border crime. Another important instrument in the fight against crime is the confiscation of the economic benefits of crime. Legal changes have significantly improved the possibilities of withdrawal. Police are required to use the provisions actively. We know from experience that such measures have a major impact on criminal organisations and people who are driven by high profit motives. Drug trafficking involving people from former Yugoslavia is a priority area throughout the Nordic region and in large parts of Europe. The Ministry of Justice took the early initiative in a cooperation project between Oslo police districts, other police districts concerned, Økokrim and Kripos to improve the fight against heroin introduction into Norway, carried out by these groups. The cooperation project has produced very good results and has gained international recognition. Large quantities of drugs have been identified and seized. The follow-up of these groupings continues. In particular, with regard to violence and shooting incidents in the nightclubs in Oslo, Oslo police districts are putting great forces into the fight against criminal gangs. Continuous threat assessments seek to be in the forefront and to develop new measures adapted to changes in criminal settings. The Directorate of Police reports that efforts against this form of crime are being maintained and not least further developed at at least as high a level in the future. Furthermore, all police districts affected by organised crime will receive professional support for coordinated action. I would also like to mention that the Norwegian police are represented in several international forums for combating cross-border crime. Under the Baltic Sea Task Force, which consists, in addition to the Nordic countries, of Russia, the Baltic States, Poland and Germany, there are a number of projects targeting criminals from Eastern Europe, including Poland. These include: organised several actions aimed at different forms of organised crime. Also under the auspices of Nordic police and customs cooperation, there is a continuous exchange of information for use in the fight against criminal groups. Finally, I would like to mention that our forthcoming entry into operational Schengen cooperation will provide Norwegian police with new opportunities in the fight against organised cross-border crime.
ParlaMint-NO_2001-01-31.ana.ud1670e1945	I thank the Council of State for a good and satisfying answer. It seems to me that a number of important measures are now being taken and some important steps are being taken to combat this type of crime that we are talking about. I assume that the Council of State is also constantly concerned that this work is on a sufficiently high level, that it is not least organised in the right way and well enough, and that sufficient resources are being used. But what the Council of State was also about, and I want to ask you a little bit more about, is the relationship with the international situation. It is clear that this type of crime is at a cross-border level. There are always new challenges that way, and therefore it is very important that we are constantly at a high level of international police cooperation. The Eastern European countries are mentioned, and what I would like to ask is: What does the Council of States of the former Eastern bloc countries think of the countries that had different regimes than they do today — how does police cooperation with the former Eastern bloc countries work, to call them that?
ParlaMint-NO_2001-01-31.ana.ud1670e1954	We attach great importance to cooperating with the police in some of the countries from which we know that drugs are being smuggled. It has been a very good collaboration with, among others. Czech Republic. Baltic Sea Task Force, as I mentioned in my reply, is also an important cooperation forum for concrete and operational police cooperation, particularly in the fight against drug trafficking. In addition, I would like to mention that both the development of Europol and Schengen cooperation and the SIS systems will be very important in our further efforts to combat organised crime.
ParlaMint-NO_2001-01-31.ana.ud1670e1961	I thank you again for the answer. We were also concerned about this relationship when we dealt with the paper on international police cooperation at the end of the spring session. In the previous questions, the Council of State was involved in the forthcoming implementation of Schengen, which appears to be on track. I assume, as the Council of State said, that it will be from 25 March, and that we will then become really operational from the Norwegian side. As far as relations with Europol are concerned, during the said deliberation of international police cooperation, we established that Europol is the EU Member States’ main action to prevent and combat international organised crime. It has been operational since 1 July 1999. So it's been a while. It is also said that it is very important to have a third country agreement with Europol. What I would like to ask the Council of State finally is the status of the work to enable us to also become operational in Europol cooperation.
