ParlaMint-NO_2001-02-21.ana.ud63e36	The representative of Kenneth Svendsen will make a private proposal.
ParlaMint-NO_2001-02-21.ana.ud63e1475	I thank the Council of State for a supplementary answer, but I have an additional question. I am seaworthy of the fact that the Storting has decided to suspend the pre-purchase right, and that it has been put to death in the near future. But I am concerned about the impact when we see this case, because it undoubtedly matters to a removal municipality that small farms become the way of life for people who will continue to live in the countryside. When examining the agricultural notification, a large majority, all except the Advance Party, pointed out ‘the value of a local ownership of natural resources that can contribute to the settlement and vitality of the community’. This majority felt that in the future, it would also have to ‘aim at forms of ownership’, where this is the general rule. In this case I've taken up, the forest property is what's going on for this little user to live on his property. I wonder, therefore, when the Council of State considers that there is particular reason to exercise pre-emption rights, and what instruments exist when the right of pre-emption is lifted.
ParlaMint-NO_2001-02-21.ana.ud63e1487	As I tried to express in my main answer, I guess I don't think I can see in what kind of situation it would be natural today to use the state's right of pre-emption. Whether the Government should now go and actively use the State’s pre-emptive right when a majority in the Storting has said that the scheme should be repealed, and when the proposition to remove it has been promoted by the Government of the Storing – although the government party has not actively belonged to this majority in the Storing – I would say that the Storing could rightly call it a strange behavior. So it's almost impossible to imagine when it's supposed to be up to date until the Storting adopts the law changes. However, there are other instruments, such as: Consent refusals and concession terms, which can also be used in the future, but it will then be in special cases and after a very concrete assessment.
ParlaMint-NO_2001-02-21.ana.ud63e1494	I thank you for your answer. I have a small additional question in connection with this particular matter. Such forest property has hunting and fishing rights that have an interest and significance for this small user who wants the property as a way of life and for all human rights. Can the Council of State give an assessment of that question?
ParlaMint-NO_2001-02-21.ana.ud63e1501	At least I have to try. It is likely that land-based hunting and fishing rights cannot be dissociated from the property for longer periods than 10 years at a time. Otherwise, the exploitation of hunting and fishing rights is a fundamental issue. And I have no plans to make any proposal for legislative changes that interfere with or regulate this type of land ownership rights.
ParlaMint-NO_2001-02-21.ana.ud63e1511	I allow myself to raise the following questions to the Minister for Children and Family Affairs: ‘In order for children with a minority background to be integrated and successful in schooling, it is essential to master Norway. Ideally, the children should preside over Norwegian before they begin school. A unanimous Storting decided in May 1999: ‘The government asks the Government to examine various pilot projects in order to improve Norwegian education for pre-school children, and to present this to the Stortinget in an appropriate manner.’ When will the Government propose such pilot projects?’
ParlaMint-NO_2001-02-21.ana.ud63e1520	Both national and international research shows that children with a migrant background who receive systematic language stimulation in pre-school age have a clear advantage when they start school. Already in the autumn of 1998, the Ministry of Children and Family started a three-year trial to improve the Norwegian knowledge of pre-school children. The trial provides free short-term services in kindergarten to all four- and five-year-olds in Old Oslo. Health centres, social offices and schools are important partners. All children enrolled at school are offered nursery facilities if they have not already received such an offer. To date, all children in the target group with whom contact has been possible have been included in the free offer all or part of the year. The trial with free offers in Old Oslo is evaluated by NOVA and the University of Hedmark. The evaluation bodies also follow the children who have gone to the experimental children’s home, into school. The results of the evaluation shall be available at the end of 2001/2002. On the basis of this evaluation, the Government will decide on further follow-up. In St.meld. No 27 for 1999-2000, Kindergarten for the benefit of children and parents, the Government follows up Document No. 8:28 for 1998-99, to which the representative Foss refers in his question. The Ministry of Children and Family shall, in cooperation with the Ministry of Church, Education and Research, systematise knowledge of different language training models for five-year-olds from linguistic minorities. Furthermore, the Ministry of Children and Family is working to acquire and systematise knowledge and experience from municipalities and urban areas on different forms of kindergarten that may meet the needs of minority families. In particular, in the context of the three-year quality effort in the kindergarten sector, we will look at measures that can help to strengthen the competence of nursery workers in multicultural work. It is equally important to recruit more young people with a minority background for work in kindergarten. The size will be briefed on the work of the annual budget proposals. I would also like to remind you that the free kindergarten measure for four- and five-year-olds in Old Oslo will continue in the period under review. I have noticed that various representatives from the Right have been concerned about the Norwegian knowledge of children with a minority background. I fully share that concern with the Right. I have also noticed that the Right wants to check out whether the four- and five-year-olds speak Norwegian well enough. Then there's a couple of points I want to clarify. It must be more important – and I hope the representative Foss agrees with me – to ensure that these children actually learn Norwegian than to check if they can. I would also like to say that the representative Foss belongs to a party with the City Council in Oslo. It would be excellent if the party that Foss is the leader of the capital took good action to ensure that children with a minority background were given both kindergarten space and not least were given this free or at least at prices below today's kindergarten prices in Oslo. I have also noticed that City Councillor Erling Lae wants to offer the four- and five-year-olds in 12 of Oslo's urban areas free of charge short-term kindergarten. He asked for the Government's help to implement the plans. Again, the municipalities cannot call on the state every time they see a problem they themselves have a clear responsibility for. The government has shown through action that it is betting on kindergartens, and I will allow myself to demand the same action from the Municipality of Oslo. But of course, we're going to have a dialogue with the Municipality of Oslo, and we're also going to add that the weakest kids are going to get a good offer in the capital. But they cannot be relieved of the independent responsibility of the Oslo City Council. Of course, I will consider the question from Lae seriously, but as I said, much depends on what the municipality itself does. Then there must also be a cross of thoughts for many – I can’t believe – that we have just received an evaluation of the cash support, such as, among other things. points out that it leads to fewer immigrant children in kindergartens. In this way, we are getting poorer language understanding and poorer integration.
ParlaMint-NO_2001-02-21.ana.ud63e1544	I thank the Council of State for the answer. I had preferred that the Council of State as a specialist council had adhered to the subject and not to the polemics. I believe that the work to improve Norwegian skills for children with different language backgrounds in addition to the Norwegian language is well served by bringing together solutions and not falling into cheap party political polemics or into polemics against individual municipalities. I can inform the Council of State, since she is not aware of it, that kindergarten prices in Oslo are lower than in most municipalities, if there is any concern in particular. But my question simply called for the follow-up of the Government on a matter where in May 1999, everyone felt the urgency of launching more pilot projects. I register that the government is not in a hurry. Since then, neither the previous government nor this government has launched any new or extended test project. My supplementary question is then: How long will the government investigate and wait? When will the Government act, with more pilot projects, as the Storting has requested?
ParlaMint-NO_2001-02-21.ana.ud63e1553	I can't quite agree, when I'm going to meet the representative Foss in Stortinget, to take advantage of polemics, which otherwise the representative Foss masters in an excellent way. So I expect the representative Foss to take it very well. I fully agree with the representative that it is important that we work together on good solutions in relation to these groups. But we have local democracy in Norway, and it's a fact that the Municipality of Oslo is the Right Exhibition Window in relation to what you get from politics. Then it can't be that every time the Right has problems finding good solutions, when making tough priorities, you call on the State for help. In my answer I have carefully explained how the Government follows up this piece. I want to refer to it and see no reason to repeat what I said in my main answer.
ParlaMint-NO_2001-02-21.ana.ud63e1560	It's sometimes something you have to do, including politicians. I don't think it's a question of what representatives or state councils can stand, but how long the problems can wait. I'm a little impressed by governments that polish and don't do anything. I remind you that Oslo has applied for an extended trial project in addition to a single city. The reason why this is important, in addition to this part of the city, is that population patterns change. People move in a city. Gradually, there are several other urban areas with a larger and equally large population of children with a foreign language background. That's why, in order to get a good material to evaluate this eventually, you need an expanded experiment. At its meeting on 14 February, this was presented to the Minister for Municipalities. The Minister for Children and Family Affairs was also expected to be present. It was not a question from Oslo City Councillor, but it was an application from the Municipality of Oslo – to stick to the formal form – about such an extended trial project in several parts of the city. Can I count on the Government from what has now been said, particularly in the context of the recent debate on integration problems, to take a positive view of such an application, which also requires the municipality to contribute financially?
ParlaMint-NO_2001-02-21.ana.ud63e1567	As I said, there's no training either from the Council of State or the Government on these issues, it has to be very clear. We have made a run and will follow up on what Stortinget has said, and that evaluation must be carried out in a proper way. We are, of course, totally dependent on independent bodies carrying out the evaluation, but we will present it at the turn of the year 2001/2002. If we can come up with good solutions together with the Municipality of Oslo, we're going to do that, but we're also kind of dependent on following up the clear recommendation that Stortinget has made in that field, and it's actually that we're going to have a broad evaluation, and then we're going to give the Storting a feedback on that.
ParlaMint-NO_2001-02-21.ana.ud63e1577	I allow myself to ask the Minister for Oil and Energy the following questions: ‘Offshore activity outside the North Coast is strongly increasing. So far, the local ring effects of the activity are very small. In a statement in connection with the Scurvy Area, BP states that they are likely to establish their own centre of operation for Middle Norway and Northern Ireland without Nordland being considered a location. This creates strong negative reactions in Northern Ireland. Is the Council of State satisfied with the ring-fenced effects that the activity has so far given to Nordland, and what will he do to ensure that Nordland can be investigated as an operating centre location?’
ParlaMint-NO_2001-02-21.ana.ud63e1586	The government's policy is that an extension of the oil activity northwards should also have a positive impact on mainland areas. It has therefore been very important for localisation decisions to be taken on the basis of a broad assessment, which also focuses on the impact of local communities and regions concerned. It's per. currently established operational environment in Kristiansund, Stjørdal and Harstad and base business in Kristiansund, Brønnøysund and Sandnessjøen. Oil activity is derived from a holistic and long-term perspective, and to build long-term and competitive activities, it is not desirable to establish too many and scattered operating environments, but rather to increase the activity of the already established environments. In the context of any expansion of the Scurvy Field, BP will assess how Nordland will be managed for the location of the operational organisation, supply base and helicopter base.
ParlaMint-NO_2001-02-21.ana.ud63e1595	I thank the Council of State for the answer. I perceived the council so that he referred to that BP would consider investigating Nordland. And it would certainly just be missing, when we see that this is an area of the country that is now likely to be the region that in a few years will have the largest activity in and around it. Once you've come this far north, and once you reach this time you also have the geographic proximity that would make sure that security and cost would be in place, it would have to be minimal to ensure that the regional centres that are nearby are investigated. Then my follow-up question is to the Council of State: Will he make sure to put some kind of pressure on BP and make sure to follow up the activity that BP is now performing, and that we have seen, for example, that the state's own company, Statoil, has not taken the initiative?
ParlaMint-NO_2001-02-21.ana.ud63e1604	In this case, the questioner and the Council of State want the same thing, i.e. that the activity should be spread northwards, and that those parts of the country that are currently not fully benefiting from the oil activity will experience it in the future. Then there are certain rules that you have to stick to, and I feel it will be wrong for me to advance the process that is to be associated with the work that BP has now seen. But localization and consideration of the local environment will of course be decisive and have a lot to say to the Government when it wants to consider these questions when it comes. I would also add that the oil companies themselves have a responsibility to ensure that the local environment in question benefits from this type of activity.
ParlaMint-NO_2001-02-21.ana.ud63e1613	Once again, I thank the Council of State for the answer. It is gratifying to record that we have the same approach to the challenge outside the Helgeland coast and in the Nordic region as a whole. As the Council of State is probably aware, one is fairly firmly established in the environment around the base functions in particular, and it seems to be very difficult to solve. Can we assume that in the coming period, the Council of State will be a driving force for the Nordic environment to be explored in the heavy sections? We have seen that developments on the basis of Brønnøysund and the Sandness Lake are positive, but it is too cumbersome to count in the overall context, and it is not a development with which one can at least be satisfied on the part of the Nordland coast – when we see the heavy activity being carried out – how geographical proximity to exploration and production must appear as a clear advantage.
ParlaMint-NO_2001-02-21.ana.ud63e1620	The size has discussed these questions with even spaces. I believe that in this room there is a desire for the activity to be spread across as much of the country as possible. At the same time, Size has determined that there must be a certain size and extent of the activities that a localizes to the different locations, to the different bases. As a result, part of my job is to work so that the bases that are already established get activity, so that they can keep up the operation at their bases. That is what is the basis for the work I want to do. Otherwise, I would like to repeat that the oil companies themselves have a great responsibility to assert that there is an understanding of the population, among other things. in Northern Europe, because of their high seas activity, of course, is related to the activity they carry out on land in the same area.
ParlaMint-NO_2001-02-21.ana.ud63e1629	That being the case, it is no. 1 finished.
ParlaMint-NO_2001-02-21.ana.ud63e1643	It took seven years from the first initiative of a separate refugee class to be taken from the Labour Party's side and to final decisions were taken in the Stortinget. Hard balances were made in several governments and in several rounds in Stortinget. In the Central Party, we initially expressed counter-statements against the disclaimer that could be in moving such difficult and important decisions out of a department. We were persuaded that an organisation with its own subjects to deal with complaints would provide more non-discrimination, better legal certainty and strengthen the trust of the Board of Appeal. We stressed that the foreign student is a court-like body, with playwrights represented and in asylum matters with the possibility of a personal appearance for the complainant as a general rule. In other cases, the complainant may be given access to a personal appearance. The foreign student is established from 1 January onwards. There are alarming messages that commentators from various humanitarian organisations, those who would represent the grassroots itself – the lay people – are not included. They are not invited to discuss how to set up your work, sort things, etc. Some ask questions about the fact that they are now going to have to deal with a number of people in the leadership of this name as before dealing with asylum cases and who have now extended responsibilities and independent tasks. Int. O. No 42 for 1998-99, the majority said that the leader can deal with and decide on matters that do not raise significant doubts or that have been dealt with in the past, when there is no reason to believe that the decision will be amended. The plural underscores several other important points in the setting. They say that when it comes to the first group of cases, it is about ‘cash cases’. If the conditions for converting a negative decision from the UDI to a positive decision open to the public lead, there is no reason, says the majority, to extend the length of the procedure by drawing the whole name into the decision-making process. If there is a complaint that one must regard as unfounded, it may not be necessary to submit it. So the majority say that they want to stress that this is a rule of chance, and that the denominator by negative decisions must be particularly careful in assessing whether the complaint is unfounded. They also state that there are decisions that will be purely administrative in nature and support the government's proposal that the principal delegate may delegate such matters to the secretariat. The majority also support this government in deciding that no account should be taken of information, documents or other evidence that could have been given or provided during the previous proceedings. They think that this authority should only apply to cases where it is revealed that the new documents do not contain information that will change previous decisions in the matter. In such a case, it would be useful if the principal were not able to take this information into account. It can make it easier, says the majority, to avoid any training. They say this is a rule of chance that must be used with caution. The plural also highlights the possibility of cropping evidence, etc. does not go beyond the competence of the principal to determine claims for conversion on his own. – So far about what was said that time. Now, in addition to disturbing messages from people who are appointed by humanitarian organisations, messages of unrest and uncertainty from spokesmen and network groups in several communities. They feel that people who have asked for shelter from them, and who use their resources for the benefit of the local community in work and leisure, are not invited to submit the case to the Foreign Study. They are concerned that the rules laid down by both government and government are in practice at risk of being used fairly liberally. In parallel with the creation of the Foreign Study, there is an upgrading of the fight against racism in this country. The government has taken important initiatives there. The Prime Minister said in his orientation on the state of the state of the state the opinion fell into the Questionnaire on 14 February. n.a. following: ‘The government will take the initiative to commit schoolchildren to developing driving rules for a multicultural Norway characterised by tolerance.’ Minister of Education Giske has followed up. In the country, it is felt as a self-contradictor that many parents in these days spend time and effort explaining to their children that their compassion, with which they have become friends, with which they have been happy, who came from another country, is to be sent back where he came from, to relationships they wonder about, to relationships that parents also wonder about – there is no room for them in Norway. At the same time, they must strengthen the fight against racism. Such experiences may, of course, have a background in today’s legislation. They may have a background in today's agreed orientation lines. In the future, they may also have a background in the way that the foreign student organises his or her work in relation to the cases to be dealt with. I want to challenge the municipal minister in four areas from this point of view: 1st@item: inlistbox Does she understand that the members of the group know that they have been excluded from discussing the work and that this reinforces the feeling that more people have had at the beginning of being a hostage in a name, because one is basically a minority?2. Would she, as the administrative director of the Study of Foreign Affairs, take the initiative to ensure that the members of the Board of Directors are consulted when it comes to the work organisation?3. The Kosovo Albanians come under a special return programme. Will it ensure that the individual allegations from this group will also be dealt with in the Study of Foreign Affairs?4. Many communities have networks around people who have sought shelter. How will it ensure that trust between local communities and political decisions is strengthened by the new organisation of the review process? So I'd like to add: the Central Party has been involved in the decisions that have been made. I've done the right thing for the counter-positions we initially had. As a general rule, we should always have, when a new system is in place, that the system should be able to operate over a period of time before we discuss more closely how the system has worked, and I know that the foreign student should be evaluated. At the same time, the organization of this work is so fundamentally important, and indeed vital to so many individuals that it is based on a wish that the organization will be as good as possible over the head, that I address this matter today.
ParlaMint-NO_2001-02-21.ana.ud63e1698	Let me first underline that the foreign student has only been in business for seven weeks, and not all employees are in place yet. That's why I think it's too early to draw final conclusions around the denominator already now. When the Foreign Affairs Department was proposed and the Government's proposal dealt with in the Stortinget, it was never that the members of the jury should have any tasks related to the establishment of the denominator itself. Their role in strengthening legal certainty is to participate in the handling of cases and is exclusively linked to the holding of hearings. The starting point is that, as the representative Kleppa also said, the foreign student is a court-like body, and the function and role of the members can be compared with that of the judges in an ordinary court. The chairperson may be regarded as the judge in a court of law, and that is the court of the court, and not the judges responsible for the organisation and functioning of the court. This is also the case in the Study on Foreign Affairs. The duties of the members referred to are fully governed by the Foreign Affairs Act and by the Foreign Regulation. The establishment of the Foreign Study was carried out by amending the Foreign Affairs Act on 30 April 1999. Twice thereafter, on 28 July and 21 December last year, amendments to the 1999 amendment have been made before the entry into force of the provisions on the subject on 1 January 2001. All legislative changes have been thoroughly addressed by Stortinget. In short, the tasks of the members of the denominator are, of course, to take part in the proceedings to be dealt with, to take part in the proceedings with a member of the denominator and another member of the denominator, and of course to take a decision on the cases. All the members of the panel received their own guidance from the denominator at the end of January. The guide provides information on some of the most important issues of which the members have to know, including student meetings and the tasks of their members. The guide sets out how the meetings will be organised and the tasks and responsibilities of the members. Under the provisions of the Foreign Affairs Act, the Secretariat of the Foreign Office is responsible for the preparation of matters to be dealt with at a meeting. The chairperson may, in accordance with detailed rules, allow the complainant to attend the hearing in person. In asylum cases, the complainant, with whom the representative is well-known, will, as a general rule, be entitled to do so, but there are some exceptions to this general rule in the regulation. This applies, for example: issues where there is no doubt or disagreement about fact. If the complainant is to meet in person, he or she has the right to meet with his or her lawyer or another agent. If necessary, of course, interpreters will be called. Before the meeting, the head of staff will present the documents to the members of the Board and inform them of the rules, practices, etc. in relation to the individual case. The meetings will be held for closed doors. The meeting will begin by providing a brief presentation of the case, the relevant provisions of the Foreign Affairs Act and the Foreign Regulation and the most important issues. In cases of personal presence, the complainant may provide factual information and assessments relevant to the case. This allows questions to be asked to the complainant and allows the authorised representative to make a summary. The complainant and the authorised representative then leave the meeting. The committee then discusses the matter and decides by majority decision. It follows from the task as a member of the denominator of taking part in the written material present in the matter, carefully follow what appears at the meeting itself, helping to clarify ambiguities and misunderstandings along the way, and otherwise to ensure that matters of importance are adequately informed during the meeting. In addition to the written guidance sent to the members at the end of January, they will be provided with written information on different types of cases, country information, etc. When they come to participate in the handling of the cases, they will receive further information in addition to this. Members shall not undergo any other training until they start their activities. I would like to stress that similar arrangements apply to fellow judges in the ordinary courts, who are not given any training in connection with the place of work. As this shows, the working arrangements for the denominator and other organisational and administrative aspects are entirely outside the scope of the members. I would also like to mention that the denominator is to have a coordination committee with a leader and four members, one from each member group. This selection shall contribute to ensuring legal certainty and non-discrimination. It shall be assessed, inter alia: whether different denominators have taken into account the same interpretation of the law and the same exercise of discretion in the decisions. It is also assessed whether the practices of facilitators are the same in terms of treatment and access to personal appearance decisions. The Committee shall then advise the Director on what should be the practice in the relevant fields. The first plenary sessions were scheduled until the end of February. According to the information I have received, it has not been practicable to schedule meetings in the past, among other things. because complaints, lawyers and interpreters who are invited to attend the hearing shall have at least four weeks' notice. In my view, it is obvious too early to draw conclusions regarding the activities of the denominator. I remind you that under the Foreign Affairs Act, the name is used to determine the form of treatment in each case. The establishment of the Foreign Study was thoroughly addressed by the Stortinget as late as December 14, 2000, and I feel confident that the reasons for legal certainty and trust in the decisions taken are well taken. I cannot see that there is a preliminary need for initiatives on my part to intervene in the responsibility of the chairman of the committee to organise the work properly. I would also like to mention that, of course, the activities of the foreign student will be evaluated, and the experience and assessments of their members will then be able to be drawn. With regard to the concrete challenges that the representative Meltveit Kleppa had to me in addition to what is in the very interpellation, I feel that through this I have responded to a part of it. As regards the issue of the Kosovar Albanians, it goes its way. They are, of course, dealt with individually, and of course, matters go to the Study of Foreign Affairs if they are going there, but there are no procedures in relation to those matters other than those previously signaled and also notified to the Stortinget.
ParlaMint-NO_2001-02-21.ana.ud63e1732	I would like to thank you for a neat and thorough briefing. I also notice that the Council of State is satisfied with the arrangement so far, but she says it is too early to draw conclusions yet. For the first time, I would say that it would have our eye-catching if not the Council of State at that time was satisfied when it has worked for seven weeks. I will ask her to follow this very carefully. She has been careful, at given conditions in the Storting in later times, to emphasize that the foreign student is independent, and that she cannot direct the subject, etc. in relation to law and regulation. I noticed at the same time that she today spoke out of the administrative responsibility that she has yet to open, and I asked her to use the responsibility that she has there, to follow carefully the arrangements themselves. I would like to ask the Council of State for more information on how the evaluation is going to be conducted. This is an area where decisions and work are very important for individuals. Can she say anything about the evaluation planned? It is just as she says that the last decision was taken just before Christmas. It was not a big change in relation to previous plans, but a significant change was that the playful part of the topics was reduced from two to one. It means, for someone from a humanitarian organization, that he or she does not actually have anyone else to consult with in the individual case. It was essentially based on resource issues, and I'm not going to say anything about it, and I've also been in that part. But I want to ask her also to follow the part of her work extra carefully.
ParlaMint-NO_2001-02-21.ana.ud63e1739	I can answer the representative Meltveit Kleppa that I will of course follow this work very closely, and it is – as I said – to be evaluated. We have not yet taken a decision on how, but it is to be done. I believe that seven weeks is too short to have a bastant's opinion on how this works, especially when they have not even attended their first examination meeting. They're going to have it at the end of this month. I'll follow up on it, too. I want to say a little about the background because the Storting agreed to create this subject. One meant, among other things: that it was too closed processes, as it was in the Ministry of Justice, and that it was very important to get more transparency, that is, to get the playwrights into this. That's what we've done. I'm glad that the Storting joined the proposal to reduce the number. I think that will lead to that we get matters through faster, that there will be less bureaucracy than one originally provided. Another important thing is that one would increase the legitimacy of the decisions taken under the heading. I think we have a great opportunity to do that once we've done it the way it's now adopted. In the case of those representing humanitarian organisations, those picked from the Ministry of Foreign Affairs, from the Ministry of Local and Regional Affairs or from the Association of Lawyers, they are not such as to represent the Ministry of Local and Regional Affairs or the humanitarian organisations as such. They represent themselves marine, but are suggested by them as I mentioned here. Summaries so far: I will of course follow this very closely. But I'll give them more time than they've got so far, before I draw any kind of conclusion. I believe that those who have been picked out to be members have received the information they should have, and that they have been drawn into the work in the way that the Storting has said they should be involved.
ParlaMint-NO_2001-02-21.ana.ud63e1755	Let me start by saying that I am a little surprised that the representative Meltveit Kleppa will evaluate a scheme that has not yet started. It's almost alarming – for me at least – that we're going to evaluate something that we haven't tried out at all. On 1 January 2001, the newly created Foreign Service started to deal with complaints concerning decisions under the Foreign Affairs Act. It is a positive innovation, in the view of the Workers' Party, which is now in operation. We have seen a significant increase in the number of asylum seekers to Norway in recent years, and it is in view of this that there is a need for the Foreign Office as a new administrative body. It is positive that the department is released from individual cases, while at the same time strengthening the legal certainty of each asylum seeker through a better decision-making basis. The background to the creation of the name was both to strengthen the legal certainty of individuals and to strengthen confidence in decisions. We have no reason to believe that this is not the case. After the Workers' Party's assessment, a faster procedure is an instrument to achieve the objective of enhanced legal certainty and trust. It is in the interests of maximum legal certainty that the Stortinget just before the beginning of the year – already before the beginning of the year – made several changes to the provisions on the Foreign Letter. The fact that it takes some time for an denominator to find his role and his work arrangements is not strange. The denominator has now worked for a month and a half and must have some time to get started, which I do not doubt that they are working hard on. With regard to the work plan for the denominator, which the interpellant addresses, I am sure that the board of directors will organise themselves in the best possible way. We cannot demand from Stortinget that all members of the denominators be equally satisfied. It is the head of department who has been given his mandate to ensure that the work under the heading is optimised. The size has, through the law, given the framework conditions for the function of the denominator, and we grant the funds. Just before the turn of the year, Stortinget changed the composition of the names by reducing the number of members in each title. Each heading shall subsequently be numbered with three persons, against five previously adopted. This means that the influence of humanitarian organisations is strengthened, as they will always meet and after the changes make up one third of the denominator. This has been important for the Storting. As far as further organisation is concerned, I would like to make it clear that as long as the department stays within these guidelines, I think we should let them get started well. The interpellant claims that asylum seekers and communities are concerned and that they do not experience an improvement in legal certainty. The durability of such a claim may be questioned. This is completely new, it has been working for a month and a half, and the first decisions have only been made now. How, then, can it be said that users and the whole community do not experience any strengthening of legal certainty?
ParlaMint-NO_2001-02-21.ana.ud63e1770	When we created the Foreign Study, the main goal was to strengthen the legal security of the asylum seekers, another test with new people in the court. The foreign student is a name of a court-like nature, where the asylum-seeker/refugee is entitled to meet and tell the story again. Errors and misunderstandings shall be capable of being cleared by the road. People with special knowledge of countries should be represented by the name and humanitarian organisations should be represented by one representative in each of the names. We wanted to create respect for and trust in the subject. It's important. The Christian People's Party is very concerned that the foreign student should act as something new, and that trust in the subject is created. It has to happen relatively quickly. If you feel that you have just moved an office, you will lose a lot of money and you will not have to survive the evaluation. I thought it would be a shame. The Christian People's Party is absolutely in its demand that humanitarian organizations be involved as soon as possible in the study work, as extensive as possible, and that they get influence, perhaps also on the pile of unresolved issues that I have heard to be sent over to the denominator. I believe that there is no harm to anyone – in which difficult individual cases are involved – in meeting them and getting a new, fresh and objective assessment in spite of previous rejections. I know some individual things where such a practice would make sense. This is the only way to ensure that the name gives legal certainty to the refugees. The Christian People's Party is very aware that the denominator is new, and that she should have time.
ParlaMint-NO_2001-02-21.ana.ud63e1783	It has been some seven years since the question of establishing a foreign student for the first time was up. In this way, I am a little surprised that there has been a little – as I would call it – ‘cutting and coating’ precisely with the transitional arrangements, since this has been such a clear matter. But we've been dealing with the last parts of the code just before Christmas, and it's been a stressful situation. I agree that this is not the time to evaluate or review this now, until you have seen how the denominator works in practice. But in one area, I think there are mistakes made in the transition system, and I think that will create extra big problems. I hope that the Council of State can give some views on how to get out of it. It is the fact that there were large remnants in the Ministry of Local Affairs with old cases that were not completed when the name was introduced, which should have been dealt with and concluded in the Ministry of Local Affairs, so that only new cases and complaints were transferred after 1 January. It means that there is a very difficult situation now, both for the name and for a very large number of asylum seekers and matters of a different nature in relation to the foreign student's subject, for the name has given the signal that it will include the new issues first. This means that those who have been most in the asylum recipients do not get their cases dealt with until a long time has passed. It is a problem that can be big, and on which one really should focus, because it is an objective to clarify these issues that there have been complaints against several bodies – to get rid of them and to know what to do. Therefore, my appeal to the Council of State will be to make sure that an extra pressure is put on to get rid of the old cases, too, even though I understand that the Foreign Affairs Department had the best thing to do – and of course you can say it wisely – if you had done this scheme differently, finished the old matters, did not hand them over to the Foreign Affairs Department. If the Foreigner's topic is now to practice a system where you take the new issues first, I'm afraid that during this drive-in period, some people who already have a long history of reception, with problems and with the casting ghost hanging over them, will meet a very traumatic spring. The Council of State must try to do something about it.
ParlaMint-NO_2001-02-21.ana.ud63e1794	One of the backbones of this debate is the current search for racism in this country. Our main concern and that of the Council of State today, not particularly related to this matter, should, in general, be in what way we should attack state racism. Asylum policy is an area in which we balance precisely at this dangerous border where public/state racism can be expressed. It's a minefield that we have to deal with sensibly. We know that many forces are asking whether we should not have had a public review of our asylum policy, both the policy part and the administrative part, in line with the Lund Commission. The previous scheme is therefore strongly criticised. The new system inherits from the old bureaucracy. One can ask questions about the will of the administration, and one can also ask questions about the ability of the administration to search for self. My concern in this regard is that the new system has been designed in such a way as to greatly impede public transparency, and thus will also greatly prevent public criticism. And precisely in such matters, where one balances so delicately, it is vital that not transparency and criticism be deprived of one. It puts us and it puts the Council in an exceptionally responsible position. It reduces to the extent that neither the need nor the pressure to have a public inquiry is made. Now we're going to work on the asylum and refugee policy in connection with a message, and it's, as the Council of State says, relatively quickly to evaluate the new regime in that regard. But we still have to look at whether the policy element, at least, is the way we want it to be in the future, and we also need to assess whether we have a sensible instrument. I want to challenge the Council of States, especially because this system is designed so that it is difficult for anyone to see, to be vigilant and give feedback on how this system works.
ParlaMint-NO_2001-02-21.ana.ud63e1803	First, creating a public misunderstanding. Leif Lund's posts could be perceived as my main goal with this interpellation was to launch an evaluation after seven weeks. It wasn't. My wish was to ensure that the work was done in the name as well as possible. But then I want to say that the various recordings that have been made today are in order to underline the need to facilitate an evaluation, and I asked what plans the Council of State had in that way. So to one of my challenges in my post when it comes to Kosovo Albanians -- just a little clarification there. I have been told that representatives from a municipality have been in the Ministry of Local and Regional Affairs on behalf of their two Kosovar Albanian families, where they have been explained that they have been placed under the return programme even if they came to the municipality before war and air bridges, and that because they are located there, they do not have the possibility to come up with their new information and therefore cannot be complained about by the Foreign Affairs Department. I want to come back to the council with a concrete explanation of the matter, but it's on that background that I ask her to follow that group in particular. I asked the government council that they would work to get their cases dealt with individually. She's already confirmed it. This debate shows that there is a broad consensus between both those who voted in favour and those who voted against a new foreign student that this name was meant to represent something new. For the majority, therefore, the denominator was intended to strengthen the confidence of the Board of Appeal and to strengthen legal certainty. The backcloth from our side now is actually a low grant rate when it comes to asylum. The United Nations has shown that. On the United Nations side, there is also some criticism of the current restrictions in Western Europe. Here it's easy to start with a problem compared to the rests. I ask the Council of State in the short term to ensure that legal certainty is not weakened by the fact that the same case handlers set up in the department, unilaterally and independently assess the complaints from the same persons. I would also ask the Council of State, as the individual representatives here have pointed out, to be particularly attentive to the work further.
