ParlaMint-NO_2001-05-03.ana.ud1912e95	The representative Ulf Erik Knudsen, who has been licensed, has once again taken the seat.
ParlaMint-NO_2001-05-03.ana.ud1912e1266	I would like to take up the proposal of the Advance Party II, but first I would like to mention that it is rather remarkable that we reject our proposal I to grant more money to all public hospitals, because it is to be addressed during the examination of the revised national budget. I then assume that the same committee members have the same opinion as regards the proposal from the Government on supplementary appropriations for the Rikshospital. It must then also be included in the revised national budget. For whether a proposal comes from a representative or from the Government, the rules of procedure are identical. The consequence of what the majority of the committee says is that no consideration will be given to the Government's proposal for additional appropriations for the Rikshospitalet. Our proposal II reads: ‘Private hospitals capable of performing operations for normal DRG [[diagnosis-related groups]] Intervention-based funding is a form of unit price where different grant rates are available for the different types of operations. It's not meant to cover all the costs, it's probably now at 55 pst. of a total budget over a year, but it depends on the activity. And for every operation or treatment you do, you get a single payment from the Rikstrygdeverket, to put it simply and briefly. – The exact same as for tariffs, e.g. for X-ray institutes. What's fair is that in the next case you actually have to deal with the tariff system for X-ray institutes. So there is a majority, consisting of the Advance Party, the Christian People's Party, the Right Party and the Center Party, in favour of equal rates for public and private X-ray institutes. It was supposed to be a matter of course in a country like Norway. That's where they say yes to non-discrimination right away. Why then – as far as I understand – do these parties reject exactly the same principle as regards DRG payment? If a public hospital gets a DRG payment, which is not 100 pst. coverage of all expenses because it covers only 55 pst. of a total budget over a year, for a gray star operation or for a broccoli operation, and if there are private clinics or private hospitals that are willing to undertake operations just for the DRG rate, and they are, as far as I understand, part of it, because in certain contexts it is good, why do you say no to it? What is the general position of the other parties to this with the same payment for the same service whether it is a private or a public owner? That's what I don't understand. I challenge those parties that, at least in the case of the X-ray institutes, accept an order to the Government on equal rates of RR research, etc. in private and public X-ray institutes for 2001, to be part of our proposal II, because it will not cost the state five cents, because the DRG rate will nevertheless be paid to the public hospital at a later stage. And if it's a private hospital that gets the DRG grant, you don't pay the government later. So it doesn't cost five cents, and it's allocated over an estimate chapter. It is totally incomprehensible if the same parties who believe this to be true of the X-ray institutes do not vote in favour of the proposal of the Progress Party II in the present case.
ParlaMint-NO_2001-05-03.ana.ud1912e1280	We're going to discuss the X-ray institutes in another case, so I'm not going to go into it that much now. In terms of input-driven funding – DRG systems and the ISF mechanism – I think maybe more people should go into it more closely. The 50 pst.- intervention-driven funding share that we have cannot in any way be compared to what we are in favour of when it comes to financing for private and public X-ray institutions. What we've said in this context is that they should be treated on equal terms, and that doesn't mean that it should be equal to the rate. The setting has also been duly documented and pointed out. Otherwise, I will agree with the Advancement Party in one thing, and it is that it is completely hopeless to talk about inflationary pressures because of one extra billion for patient treatment. I do not agree with that debate either. I agree with the Advancement Party. So to this with the will to grant. We've said we'd spend the 975 million. kr that was granted before Christmas for both domestic and foreign treatment, so that they could be used as efficiently as possible, and so that the waiting lists could be reduced as quickly as possible. And then we said we should look at what we should do when we came to the revised national budget, when the government had been documented some of the things that they wanted to document, to be at all involved in some things. And I hope, as I said in my first post, that Sintef now has his investigations ready, and that there's something going to be revised. I want to ask the Minister of Health a question about the 975 million. kr, which we invited to use both abroad and domestic in the early winter. How much is now used by that allocation? I don't expect it to go at the decimal level, but how much is roughly used by this foreign billion, as it's popularly called. And how many patients have been treated until the month of April/May? Is it possible to get an answer to that?
ParlaMint-NO_2001-05-03.ana.ud1912e1293	There is little lack of precision when the Progress Party discusses the views of other parties. It's not right, as the representative Nesvik said, that the Christian People's Party had no counter-representation against using domestic foreign billions. Then it would be quite illogical if we could not use domestic billions. I'll agree with him on that. But for the Christian People's Party, there were two things that had to be fulfilled in order for us to go in to use the so-called foreign billion. One was that there should be capacity domestically, of course, and the other was that this should have no unfortunate influence on the economy in Norway. And given that we, by the Ministry of Finance, were dissuaded from using the rest of this billion domestically, we did not find ourselves able to go in for it. And it's not right, as Hagen's representative says, that we've filed for equal x-rays for private and public X-rays. We'll get back to that, as the representative of Joy said, in the next case. On the other hand, we want it to be treated on equal terms, and based on the fact that the Storting has asked for this already for the current year's budget, it will be a purely follow-up. Otherwise, waiting time is a known phenomenon when the health service is being discussed. And for my part, I am willing to accept a one-week waiting period to have a coherent budgetary procedure on these matters.
ParlaMint-NO_2001-05-03.ana.ud1912e1303	I did not ask for the floor for the debate itself, which has now been on the proposal, but since I received a direct question from the representative, I will at least try to make a brief comment, also in the extension of an answer I gave in yesterday's Question Time. That has been what I would call a cautious start to the regime of patient treatment abroad, which was adopted by the Stortinget at the end of last year, and it is not unexpected in itself on the basis of the fact that there is a new system, a system that was put in place without any extensive prior information, and which has also been controversial within, among other things. professional medical environments. However, in my opinion, the scheme is now well established, and there is reason to believe that there will be a clear increase in the application of the possibilities it offers for treatment abroad in the future. I have, as I guess it was suggested here, not prepared any exact data for the exploitation until now. The last estimates I saw, I believe, were of the order of 500 identified patients who had either received or were available for treatment abroad, and with the average costs it was supposed to be on, I would think it was about the amount of the order of 20 to 30 million. kr. In addition, the costs associated with the establishment of the scheme and also the measures to be taken in relation to the follow-up of patients. Contracts with foreign hospitals have been negotiated for a total capacity of 4 500 patients on an annual basis, and it is further negotiated similar agreements that are expected to provide a capacity of 10,000 patients on an annual basis.
ParlaMint-NO_2001-05-03.ana.ud1912e1312	Several have not asked for the floor on case No. Eight. [[Fotation, see page 2849]]
ParlaMint-NO_2001-05-03.ana.ud1912e1326	Ms Annelise Höegh and Mr Børge Burnde, represented in Document No. 8:66 for 2000-2001 proposals for non-discrimination between private and public X-rays institutions. In the light of the proposal, the proposers point out that, when examining the revised national budget for 2000, the Storting decided to ask the Government to submit proposals to the Stortinget on a level playing field for private and public X-ray institutes in the context of the 2001 budget. In connection with the presentation of St.prp. No The Ministry of Social Affairs and Health will present the follow-up to this proposal in the year 2000–2001. The Committee shall consider, inter alia: to point out the following statements from the Ministry of this Proposition: ‘The Ministry of Social Affairs and Health agrees that it is important for public and private X-ray institutes to be treated on equal terms and to develop a tariff system to ensure this.’ Furthermore, reference was made to the notification in the revised national budget for 2000 that an initiative had been taken to look at the development of a common code network to provide the basis for a new tariff system for private and public X-ray institutes. The majority of the Committee, all with the exception of the Workers' Party and the SV, understand that such work as this is intended will take some time, but the majority nevertheless feel that there should be nothing in the way that, as long as this work is in progress, the private X-ray institutions are granted a reimbursement rate on equal terms to that received by the public institutions. The minority of the Committee, from the Labour Party and the SV, refers to letters from the Minister for Health which show that the work on a complete review of the tariff system is already under way and that the aim is to promote proposals in the State budget for 2002. The minority proposes that Document No. The 8 proposal is rejected. The Progress Party does not want more time to be wasted before a grant at a reimbursement rate on equal terms and indicates that the work in progress on a new code work cannot justify the private institution having a significantly lower reimbursement rate another year before the code work is in place. The Progress Party therefore supports the majority’s recommendation to ask the Government of the revised 2001 national budget to submit proposals for RTV tariffs on a level playing field to the private and public X-ray institutes for 2001, as a temporary solution pending the proposal announced in the 2002 budget.
ParlaMint-NO_2001-05-03.ana.ud1912e1348	The tariff system for both x-ray and laboratory services needs to be continuously updated, including: due to changes in medical technology, equipment and not least due to very rapid changes in the computer technology part of the equipment. These are changes which may be off-balanced with the fact that tariffs should be reduced or adjusted up, taking into account the cost picture of surveys and sampling. Whether the tariff picture is to be different from the public to private x-ray activity depends precisely on the cost picture, the type of operation and the obligations. For example, the X-ray department in a hospital must maintain a different alert from private X-ray institutes. Education obligations further complicate the image. Indirect cost recovery in public hospitals in the form of e.g. framework transfer measures are included when the tariff picture is to be made. This suggests that tariffs should not be set without a prior thorough assessment of the many factors to be taken into account. I therefore think it is unfortunate that the majority of the population should press for a new rate for MR studies when one is well aware that there is now a review in the department of today's legislation in close cooperation with the parties, such as Norwegian Radiological Association, Hospital and Private Institute. This work should be completed and presented in the 2002 budget, as previously announced by the Ministry.
ParlaMint-NO_2001-05-03.ana.ud1912e1355	Would the representative of Kristoffersen like to refer the proposal to the file?
ParlaMint-NO_2001-05-03.ana.ud1912e1358	Thank you, President. That's what I was going to do – so I'm going to do now.
ParlaMint-NO_2001-05-03.ana.ud1912e1363	Asmund Kristoffersen has taken up the proposal to which he referred.
ParlaMint-NO_2001-05-03.ana.ud1912e1366	The Christian People's Party will show that the Stortinget has asked the Government to propose a level playing field for private and public X-ray institutes in connection with the 2001 government budget. It has been pointed out that current rates do not cover the costs of MR studies by private X-ray institutes. This can clearly have unfortunate distortive effects, which would be particularly undesirable because, in MR studies as opposed to conventional X-rays, ionizing radiations are not used. The private X-ray institutes are responsible for a large part of these important surveys. It should be ensured that such studies can continue to be carried out to the extent desirable and per. Today, as I said, includes both public and private X-ray institutes. Representatives Annelise Höegh and Børge Brende have proposed that the rate of MR studies of the Rikstrøgde Agency should be equal to that of private and public X-ray institutes. However, it is now the case that private and public institutions have different financial relationships and obligations, precisely because they are private and public, as the representative Asmund Kristoffersen pointed out. It is therefore not the case that these institutions should have equal tariffs, but they should, as proposed by the Committee, have tariffs for MR studies on equal terms. It will prevent undesirable developments towards fewer such studies. The Christian People's Party understands that this is a work that can take time and that can be extensive, but we still believe that this should be done now. All the time the government is already working on such work, we believe this should now be completed. On this basis, the Christian People's Party supports the Committee's recommendation.
ParlaMint-NO_2001-05-03.ana.ud1912e1377	First, I would like to say that I am pleased that there is a majority for the Right's proposal to give private and public X-ray institutes tariffs for studies on equal terms, and that this is being done as a temporary solution pending the budget for the autumn. In the case of the tariff system for private X-ray institutes, they have had a refund from the public's financial interests which has been around the same. 20 pst. higher than the reimbursement for the same examination by public institutions. This has been justified by the fact that private institutions have to cover investment costs through the tariff, while public institutions are covered by special appropriations. In the spring of 2000, when the Ministry decided to set the reimbursement from the population allowance for MR studies by private institutions, the rate was set at NOK 838 – despite the fact that MR studies by public institutions were reimbursed at NOK 1625. The reason was that, in principle, the municipalities would have to pay the amount of the contribution needed to provide the private institutions with full cost coverage for MR studies. In retrospect, few county municipalities have been willing to introduce payments for MR and there are several examples of county municipalities having reduced the purchase of services by private institutions and justifying this with poor finances. I could imagine hearing what the Council of State has to say about the county council's failure to follow up in this area, which has put many of the private X-ray institutes in a difficult situation. The current tariff system for private institutions does not differentiate between small and large MR machines. The simplest appliances cost 3 million. kr, while the large apparatus capable of carrying out all types of investigations costs up to 15 million. kr. With NOK 838 in reimbursement, the private X-ray institutes may not even recover capital costs in respect of investigations into the large appliances. The consequence of this is that the private institutions concentrate the activity around the more reasonable MR devices that can only be used for easier studies. This could lead to a reduction in the supply of patients who need the most advanced studies, and these are the patients who have the most potentially serious diseases. There are signs that such a development of a reduced MR offer is already underway. As the rapporteur has pointed out, the Stortinget stated in its examination of the revised national budget for 2000 that public and private X-ray institutes should be treated on a level playing field in relation to reimbursements from the public interest. The government was due to come back with a more detailed proposal in the 2002 State budget. The right already felt at the time that the private X-ray institutes should be given equal reimbursement immediately, and therefore put forward proposals to that effect. We proposed increasing the appropriations for MR tariffs in the budget, in line with the proposal. However, the right did not receive a majority in favour of this proposal. If we had, we could have saved this debate. But there is now a broad consensus that it is important for public and private X-ray institutes to be treated on equal terms. Of course, the right-hand side understands that the department has to have some time. However, we believe it is necessary that we give the private institutions reimbursement rates on equal terms with the public, because here there are not questions about either public or private, but about both, so that patients can get the best offer. The private X-ray institutes are a very necessary and valuable complement to the public. The right is therefore pleased that the majority now sees the need for a temporary solution that can help ensure the operation of the private institutions and provide patients with better treatment.
ParlaMint-NO_2001-05-03.ana.ud1912e1401	There may be reason to clarify what this case is and does not apply. It thus applies to tariffs for MR surveys until the 2002 state budget is submitted. Then it's hopefully the government will present a complete plan for more equal treatment of private and public X-ray institutions, at least that we get a clarification. It's the patient's concern that makes us from the Center Party think it's right now to adjust this in line with the proposal of the representatives Annelise Höegh and Børge Brende. In most cases, it is appropriate to use MR in preference to study with ionising radiations where possible. Then it turns out, as several speakers have pointed out, that the county councils believe that this is becoming too expensive to study, and that we are not using MR for some patient categories that should definitely be investigated with MR. On the other hand, the institutes say that the current tariffs do not even cover the cost of capital. It is important that these studies do not cease and that people receive the studies and treatment they need. Therefore, we believe that it is now right to have RVT tariffs for MR surveys on a level playing field for the private and public X-ray institutes until the 2002 state budget is presented and finalised. We are fully aware that this is not the same expenditure for the private and public X-ray institute, and so it should not be equal to reimbursement. Among other things, the diversity of the conditions under which the public X-ray institutes have emergency functions and their educational responsibilities and tasks. These things must have compensated for, as opposed to the private X-ray institutes. We are also aware of what the Minister of Health says, and what the minority here says, that there is a need for a new code book that takes into account more things than what we take into account now. But for the patient, it is important that we have a tariff system in place to ensure that the MR offer does not go away for the areas and patients that need to use the private X-ray institute.
ParlaMint-NO_2001-05-03.ana.ud1912e1414	Several have not asked for the floor on case No. 9th@item: inlistbox [[See page 2850]]
ParlaMint-NO_2001-05-03.ana.ud1912e1428	In Document No: 8:11 for 2000-2001 the Landfill Representatives Mr Korsberg, Mr Vaksdal and Mr Eriksson made the following proposals: ‘The Government requests the Government to promote the necessary legislative proposals to ensure that social alarms are covered by the public interest and allocated through the assistance centre.’ Similar proposals have been dealt with twice before the current ageing period. At the request of Stortinget, the Ministry of Social Affairs and Health has investigated the costs and consequences of transferring responsibility for the allocation of social alarms to the assistance centres where the costs are covered by popular protection. Of the treatment of St.prp. No 1 for 1997-98 shows that annual costs have been estimated to be about 1 %. 200 million. SEK, of which 11 million. kr will be used for new purchases of social alarms. Afterwards, a report was prepared by a working group with members of the Ministry of Social Affairs and Health and the National Social Security Agency. The report was submitted to the Stortinget in St.prp. No 1 for 1998-99. The investigation shows that a rights attaching of social alarms to public security will not give users equal access to social alarms and social alarm services. Many of today’s users will be excluded. State expenditure on the acquisition of social alarms will vary from 40 to 130 million. kr, shows the investigation. The size was in line with the Government's recommendation that responsibility for social alarms and associated services should remain in the municipalities. The proposers state that the public’s concern after today’s system covers alerts for those who fulfil the conditions for support for technical aids. This is not correct. A broad majority in the Grand Duchy, all with the exception of the Party of Advancement and the Socialist Left, proposes that the proposal be rejected.
ParlaMint-NO_2001-05-03.ana.ud1912e1450	It is of fundamental importance that people feel safe. For elderly people living alone, it is essential that they can get in touch and help in a threatening situation. It can be all about everything from fear of thieves to that they cannot get up after a fall on the floor. By pressing a safety alarm, they are called for help. This simple tool enables several elderly and disabled people to stay at home for as long as possible. The proposers are concerned that everyone should have equal opportunities to receive this offer and point out the wide difference between the provision of services to municipalities and that self-payment varies accordingly. In the past, the Christian People's Party has wanted social alarms to be covered by popular protection and allocated through the Emergency Centre. After a working group of members from the Ministry of Social Affairs and Health and the National Agency has presented its report entitled ‘Possible models for the organisation and financing of social alarms and social alarm services’, we are no longer so sure that this is the best solution. The investigation shows that users will not have equal access to social alarms, as both the proposers and the Christian People's Party are concerned about. The criteria for the provision of a social alarm covered by public health will lead to the absence of a social alarm for several current users. Today some social alarm is given by the municipality, because they have a certain age or as a purely anxiety-relieving tool. A safety alarm for these can be a good precaution and should be able to continue. The Christian People's Party welcomes the development of a community sector guide, and hopes that it will be completed soon. It must not be so high that the elderly cannot afford to rent a social alarm. There should also be no unreasonable interconnection charges. The Christian People's Party does not consider it appropriate to instruct the municipalities that social alarms should be compulsory. Municipalities themselves and in cooperation with users must decide which measures and tools are best for the individual. We therefore vote in favour of the vote.
ParlaMint-NO_2001-05-03.ana.ud1912e1469	The representatives of Storting Øyvind Korsberg, Øyvind Vaksdal and Robert Eriksson from the Progress Party have in Document No. 8:11 put forward proposals to ask the Government to promote the necessary legislative proposals to ensure that social alarms are covered by the public interest and allocated through the assistance centre. After today's system, it is up to the municipality of residence of the individual to decide on the offer of a social alarm and the price to be paid in proportion. It is an explicit objective that older people who want to do so should be able to live at home for as long as possible. In such a situation, it is important to clarify that a variety of care services are needed for the elderly who are in need of care. For the Progress Party, it is an important principle that the day in which a person needs assistance should ensure that he/she is given the assistance he/she needs. This offer must be adapted as far as possible to the wishes and needs of the individual. Social alarms are a very important tool for many people living in the home to feel safe in the event of an accident and a need for assistance. The Party considers that safety alarms must be approved as an aid in line with crutches, wheelchairs and the like. The Party therefore considers that the assistance centres must be suitable as distribution channels for this aid. In this way, a person may also receive a uniform treatment and allocation, where the address of residence is not essential for the cost of this service to the individual. Many older people have very small incomes, and one is afraid that many cannot afford a social alarm because the components are too high. There is also reason to refer to a proposal from the Christian People's Party, the Progress Party, the Center Party and the SV that was promoted in the Inner East. S. No 294 for 1996-97, which reads: ‘The Government asks the Government to ensure that social alarms are covered by public security and allocated through the Emergency Centre.’ When we look at the proposal that exists today, which is almost identical, it is interesting to note that only the Progress Party and SV are on the same proposal as at the time. I hope the Christian People's Party and the Left can tell us why they have now changed their view on this matter. The representative, Einar Olav Skogholt, pointed out that if this went through, there were several people who did not have the possibility of a safety alarm. That would be right if you were to meet the same criteria as the people's rights and assistive technology centre for the award of this service. We also feel that these criteria are in proportion to promoting the necessary legislative proposals, because the offer that is already on offer per year. today, shall be covered by the fear of the people. I finally want to address the minority proposal from the Progress Party and SV included in the setting.
ParlaMint-NO_2001-05-03.ana.ud1912e1489	Harald T. Nesvik has taken up the suggestion he referred to.
ParlaMint-NO_2001-05-03.ana.ud1912e1492	This matter has been dealt with in Stortinget on various occasions, which has also been affected by previous speakers. Among other things in St.prp. No 1 for 1997-98, the Ministry of Social Affairs and Health presented an assessment of this issue, which states that a takeover of expenditure associated with the purchase and operation of social alarms will be close to 200 million. kr per. And of that, 11 million. initial investment every year. Then a sample was set up, composed of members of the Ministry of Social Affairs and Health and the National Agency, who produced a report in connection with St.prp. No 1 in the autumn of 1998 where it is not recommended that the social alarms be the responsibility of the State or their rights attached on that basis. It is based on, inter alia: that there will then be a system to ensure that there will be many who already have a social alarm, who will not be entitled to a social alarm only on the basis of the criteria of old age or safety and anxiety mitigation. We have turned something around in this matter, on which the representative Nesvik was involved, and we stand by that. The principle of equality and, inter alia, removing very different self-payments was strong with us as we dealt with this issue in the last half of the 1990s. But we also see that the principle of equality has its price, among other things. that there will then be a much more hard-handed assessment of who is entitled to a social alarm or not. There's another unresolved question here as well. If a safety alarm is to have a good function, it must be a safety centre that works, and therefore you are very dependent on a good and close cooperation with local, rather than municipal authorities, to make this a security system. It's not enough just to press a button to alert it somewhere, it has to be a place where you can quickly move out and give the person who needs it, assistance and support. It always means that this has to be a close cooperation with the municipality level. At the same time, I think that in some cases the principle of equality also has to give way to locally based knowledge, which includes: open and home-based care may be much greater than the Rikstrøgdewerk sees where the need is and that a security and alert system can then be set up to meet the needs of the individual. That's a lot of the reason why we're in favour of the majority voting today.
ParlaMint-NO_2001-05-03.ana.ud1912e1501	Several have not asked for the floor on case No. 10th@item: inlistbox [[See page 2850]]
ParlaMint-NO_2001-05-03.ana.ud1912e1516	The first speaker is the rapporteur on the matter, Einar Olav Skogholt. The next speaker is Harald T. Nesvik.
ParlaMint-NO_2001-05-03.ana.ud1912e1519	Parliamentary representative Odd Einar Dørum has made the following proposals: ‘The Government asks the Government to submit a legislative proposal authorising the withdrawal of the grant of a grant to a place which discriminates against minorities.’ It is an important matter for Dørum to address in Document No. 8:50 for 2000-2001. The proposer points out that a number of studies have demonstrated that there is more or less systematic discrimination against minorities in outpatient settings on a relatively large scale. The proposer further states that the need to strengthen the protection of minorities against daily discrimination has been highlighted for a long time by a number of teams. I would also like to be shown that the issue raised by Mr Dørum is addressed in his Document No. Eight proposals have been discussed in meetings between representatives from the Municipality of Oslo, the Centres for Ethnic Discrimination and the departments concerned, among others. Ministry of Social Affairs and Health. The Committee has pointed out that discrimination in business activities is prohibited under Section 349a of the Criminal Code. Municipalities can already lay down criteria for discrimination in the administration of the hamlets in the municipality. Municipalities are very free to consider grant applications. The right to refuse an application is more than the right to withdraw an authorisation. The majority of the committees indicate that the alcohol law is an alcohol policy instrument and that the aim of the law is to minimise the social and individual harms that alcohol use can cause. Although it is in line with the aims of the food law to prevent ethnic discrimination at outpatients, in the majority’s view, legislative changes will be necessary to provide the basis for administrative responses in such cases. An overall committee, with the exception of the representatives of the Progress Party, asks the Government to assess the legislative changes necessary to allow administrative responses to offenders. I hope the government's assessment will be available in the near future.
ParlaMint-NO_2001-05-03.ana.ud1912e1550	The President saw something quirky when he gave the floor, and adjusted as follows: Mr. Nose, the next speaker is Harald T. Nesvik.
ParlaMint-NO_2001-05-03.ana.ud1912e1553	There's no prestige in this from my side. I am a person who avoids outdoors to the extent possible. I suppose in that context I am a minority, and I consider myself to be protected from discrimination. But here we are talking about ethnic discrimination on outdoors. This is prohibited under the criminal law, but we have been informed that claims for evidence have led to most cases being dismissed. In the opinion of the Christian People's Party, it is unacceptable that law paragraphs thus become asleep and cannot be enforced. The Christian People's Party therefore supports the proposal of the representative of Dørum and the suspension of the committee. It is important not only to give a clear indication of what is unacceptable behaviour, but also, in this, as in other cases, to give penalties that are inconvenient when, for example, outlaws do not relate to the law in force.
ParlaMint-NO_2001-05-03.ana.ud1912e1562	The President makes it clear that for his part he is aware that this is not an outdoors site, and would like to stick to the rules that apply in the house – therefore the change.
ParlaMint-NO_2001-05-03.ana.ud1912e1565	I hope at least that the previous speaker will be seen as a minority in this case, because if not I'm afraid there won't be many donations left in this country. The Progress Party is of the opinion that there is no need for a new legislative proposal to prevent discrimination against minorities at outpatients. This type of discrimination referred to in this Document No. The 8-proposal from Odd Einar Dørum, is in fact already prohibited under the penal law § 349a. The argument put forward that the requirement of criminal law to provide evidence is so strict that this is the basis on which cases are instituted does not appear to be an argument in favour of other provisions dealing with this type of incident. The important thing is that if someone claims that ethnic discrimination is being practiced, this is in itself such a serious charge that strict evidence requirements must be imposed so that both parties have a good enough opportunity to get their views on the matter carried out. The party of progress also fears that we will face a number of situations in which people will try to abuse such a system as this one is put up to. The Progress Party therefore takes up its proposal contained in the vote.
ParlaMint-NO_2001-05-03.ana.ud1912e1576	Harald T. Nesvik has taken up the suggestion he referred to.
ParlaMint-NO_2001-05-03.ana.ud1912e1579	There have been almost a few confessions about who belong to different minorities. I won't go much further into it, but I think in this context belong to the broad jump. Discrimination is an important and serious issue. That is why the proposal by the representative, Odd Einar Dørum, is something we should take seriously. At the same time, I would say that it's not that easy to follow up on this, because there's a requirement for proof-making regardless of what kind of laws you're going to apply. It is then a question of finding an appropriate law to have the right sanctioning options, such as: The representative, Mr Naess, was also involved. I therefore think that the Committee on the Rules of Procedure has come up with a sensible position and a sensible proposal for a decision, and in this context I would like to say that it is another committee to deal with this in the next round. In this setting, we reject the fact that it should have something to do with alcohol legislation, but believe that it should have something to do with, among other things. serving law to do, and then there is more to the Ministry of Economic Affairs and Trade and the Trade Committee here in the house. But I hope that the Government will assess this and come back quite quickly, because the discrimination to which the proposer refers should not occur.
ParlaMint-NO_2001-05-03.ana.ud1912e1586	I like the setting. I have not read it as the last speaker, that the committee has rejected any way of dealing with it. On the contrary, the government has been asked to look at various laws that may be applicable, to do this. After having recently gone through the situation of the travel industry in Oslo, we know, for example. that you can be granted a gift grant, which you may lose out on, but you may also lose it on faulty terms. No one's losing it on the wrong side. The fact that no one loses it can, among other things, cause us to lose it. have to do with what you control when you go out. Then you can stretch it a little bit further and ask yourself, is it not part of the habit that you don't act with normal people's habits? Isn't it part of the shame that you behave without discriminating? At least it is not an unreasonable question to ask. So I guess it also comes when you consider the matter further. It's a fact that the criminal code we have, to which the representative Nesvik referred, has, over the course of 29 years, led to one charge. That sentence is currently appealed to the Lawyers' Court and applies to Valentino's property here in Oslo. It tells us that the rule doesn't go far. As far as serving law is concerned, I do not think that it will do either, because the criminal law, which is the basis of the law today, is the starting point for an offence, and it may not be enough under the law of serving to have consequences for the grant of a gift. I think those who have to look at the law have to look at the rules of the alcohol law. When one has to comply with a standard of conduct in order to operate a place under the alcohol law – I am not going to comply with the standard of good practice that exists, but we already have requirements to operate with activities that are not allowed, for example: drug trafficking activity — there is a reasoning that, in my opinion, should be considered. I promoted the proposal primarily in order that the existence of such a proposal and the legal provision as a result of it should normally act as a preventive and behavioural regulator in such a way as to have an obligation to act in such a way as to ensure that this does not happen. Anyone will then be concerned that there should be his reputation, the reputation of the place, which does not happen. I think, to finally say in this post, that all the serious ones in this industry won't be interested in this happening. The problem is that in Oslo there is only between a third party and a quarter of the travel industry that is organised. Most of them aren't organized, and some of them aren't organized, you can wonder what's going on. I'm not going to wonder about it from Storting's pulpit except to say that I've had meetings with what I'm going to call the serious part of the business. There's no doubt that they want to live up to these intentions. If you get a legal regulation and enhancements that result from it, I'm sure the industry will cooperate to get solutions, also with the control bodies, so that you have this as a rice behind the mirror, and that it can give you a result. I have also promoted the proposal because over many years of activity, especially in this city of Oslo, I have experienced that discrimination at the scene is almost out of proportion in terms of trust between ethnic minority groups and the authorities. Cleaning up this can help to create a type of general trust that benefits society in terms of, for example, the fight against illegal activities in other areas. People will feel that something they're annoyed about is being taken seriously by society. If you want to be a citizen, you want to be a citizen in other contexts, for example. has a duty to testify. It's weird that it should be like this, but sometimes things get a symbol function. Then it is the duty of politicians to do something about it, and I feel that the committee has dealt with it.
ParlaMint-NO_2001-05-03.ana.ud1912e1599	Several have not asked for the floor on case No. 11th@item: inlistbox [[See page 2850]]
ParlaMint-NO_2001-05-03.ana.ud1912e1613	No one has asked for the floor. [[See page 2851]]
ParlaMint-NO_2001-05-03.ana.ud1912e1627	No one has asked for the floor. [[See page 2851]]
ParlaMint-NO_2001-05-03.ana.ud1912e1635	We are then ready for voting in the cases on today's map.
ParlaMint-NO_2001-05-03.ana.ud1912e1654	There is no voting theme in case No. 2
ParlaMint-NO_2001-05-03.ana.ud1912e1661	During the debate, Mr Valle, on behalf of the Socialist Left, has put forward three proposals which have been distributed in the Chamber.
ParlaMint-NO_2001-05-03.ana.ud1912e1664	We have received several requests with the request to have these sent to the Government. I think it is such a good proposal that the government should be given the opportunity to look at them further, so I ask that they be converted into transmission proposals.
ParlaMint-NO_2001-05-03.ana.ud1912e1669	The President then understood that, on the basis of repeated requests, proposals were converted. 1-3 for transmission proposals, and the introductions are then amended accordingly. Proposal No. 1 sounds in changed form: ‘It is recommended that the Government submit legislative proposals to the effect that a network company cannot have dominant ownership of a content company.’ Proposal No. 2 sounds in changed form: ‘It is recommended that the Government introduce a zero rate scheme on VAT combined with the right to deduct input tax for the NRK’.» Proposal No. 3 sounds in changed form: ‘It is recommended that the Government increase press support to 1997 levels in the 2001 State budget.’ The President proposes that these proposals be forwarded to the Government without any rebuttal. – It shall be deemed to have been adopted. The President will then propose that the statement by the Minister of Culture at the Stortingen meeting on 26 April 2001 on media policy be annexed to the minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2001-05-03.ana.ud1912e1699	During the debate, Mr Valle has put forward a proposal on behalf of the Socialist Left. The proposal reads as follows: ‘The Government asks the Government to submit proposals for the conservation and restoration of Ivo Caprino’s film production.’
ParlaMint-NO_2001-05-03.ana.ud1912e1763	During the debate, Mr Alvheim put forward a proposal on behalf of the Progress Party. The proposal reads as follows:
ParlaMint-NO_2001-05-03.ana.ud1912e1833	During the debate, Asmund Kristoffersen has put forward a proposal on behalf of the Workers' Party and the Socialist Left Party. The proposal reads as follows: ‘Document No. 8:66 [[2000-2001]] An alternative is to vote between the nomination and the proposal of the Labour Party and the Socialist Left Party.
ParlaMint-NO_2001-05-03.ana.ud1912e1857	During the debate, Mr Tom Nesvik put forward a proposal on behalf of the Progressive Party and the Socialist Left. The proposal reads as follows: ‘The Government is asking the Government to promote the necessary legislative proposals to cover the cost of social alarms from the public interest and to be allocated through the Emergency Centre.’ An alternative is to vote between the vote and the proposal of the Party of Advancement and the Socialist Left.
ParlaMint-NO_2001-05-03.ana.ud1912e1882	During the debate, Mr Tom Nesvik put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘Document No. 8:50 [[2000-2001]] An alternative is to vote between the vote and the proposal of the Progress Party.
