ParlaMint-NO_2001-12-19.ana.ud51e69	The representative of Ågot Valle will make a private proposal.
ParlaMint-NO_2001-12-19.ana.ud51e1163	The left's representative said that the only SV has to come into this case is a proposal for a small non-obligatory fund. I have to say, an amount of 150 million. kr to a conversion program at Svalbard is not small. Does the representative from the Left think it's a small fund? That's the one question. SV has always said that we want other types of activity on Svalbard. We have some concrete proposals we could have made, but we don't think that that's right, because both those who live on Svalbard today and some professionals in the picture should get to know this properly, so that you can come up with something that is realistic and that can actually be implemented. Do we agree that a thorough investigation should be carried out in order to run such a conversion program?
ParlaMint-NO_2001-12-19.ana.ud51e1172	There has been a discussion about a Svalbard conversion process over several years. It has been a discussion of whether to continue to operate coal, and whether to operate coal with state support or not. And there's been a development both when it's about the research piece, and when it's about the education piece. But what I wanted to do with the criticism of SV is that I didn't think they came up with clear enough alternatives to coal. That discussion has taken place in the Svalbard community. They may be able to continue a discussion about getting more jobs, workplaces that take special environmental considerations that need to be taken into account if jobs are to be established at Svalbard. But there is still a discussion going on. When it comes to the fund, we think what SV has come up with in the setting is a little too small a commitment that one can get proper alternatives to continuing coal operations on Svalbard.
ParlaMint-NO_2001-12-19.ana.ud51e1181	Several have not asked for the word for a line.
ParlaMint-NO_2001-12-19.ana.ud51e1184	The coastal party is very pleased with the Committee's recommendation on continued coal operations on Svalbard. The coal industry is crucial for continued activity on Svalbard, in our opinion. From a regional policy perspective, it is important that this activity continues. It should also be noted that there are mainly people from the three northernmost states who are employed on Svalbard, so we consider that to be very important. In addition, when it turns out that the coal in the Svea Nord field is of particular good quality and among the purest on the market, as well as that the operation will not produce visible interference in nature, we can only indicate that we support the majority position of the committee. In addition, the coastal party will support proposal No. 3, from the Central Party, which has now been converted into a transmission proposal. I think it is very important to ask the Government to look at the safety at sea at Svalbard. Not only around Svalbard, but also throughout the Barents area, this should be a high priority.
ParlaMint-NO_2001-12-19.ana.ud51e1194	Today will be a special day for the Svalbard community. The coal industry at Svalbard has long traditions. It's a fact that this society is built up with coal-fired power as a base. What has come to be considered secondary industries. The transformation in the Svalbard community has been enormous. I belong to a generation that remembers other relationships on Svalbard well. The workpiece was also very stable at the time. Those who got a job at Svalbard were guaranteed a good income, although it meant hard work and long stay away from family and local environment. The travel and contact possibilities with the home were also very limited at the time. Nevertheless, Svalbard – then as it is now – was the dream of many as a workplace. Even today, Svalbard has stable labour force, and it is still the case that northern districts are best represented among the workers. Over 70 pst. of the employees are from North Norway, and it is clear that this has an impact on the settlement in the districts of that part of the country. A stable Norwegian presence on Svalbard is a prerequisite for a credible and effective exercise of sovereignty. In this context, coal production is very important. Today, Svalbard has a large proportion of families, and there is an active business and a good service offer. This we must make sure to maintain in the future as well. There is reason to rejoice that we can now continue the coal operation on Svalbard without in the future having to collect large public sums of money in operation, but instead get income. New technology and good coal quality make it profitable in the future to extract coal from Svalbard. This year, production is expected to rise to 1.8 million tonnes from the new Strossa in Svea North. The members of the Economic and Social Committee have seen for themselves how this is being done. In no way can employment and efficiency be compared to what was common mining a few years ago. Today, operators are under sheltered mountains and control machines by remote control. The Committee was briefed on training, safety provisions and protective equipment. Over the last few years, a comprehensive training programme has been implemented which has resulted in most miners taking professional letters. We experienced a very positive work force that was genuinely happy at its place of work, and was waiting for the decision here in Stortinget. Environmental issues have been prominent in the debate on further coal mining at Svalbard. Coal, oil and natural gas are the most widely distributed fossil energy sources worldwide. This is also the most problematic form of energy in terms of emissions. This, of course, creates an important debate, but in any case it is that this energy production will continue to increase, and there is nothing to suggest that the share of the coal will be reduced. When we know, as it has been said earlier today, that coal from Great Norwegian will make up 2 per million of world production, this is put into perspective. I have great confidence in the comprehensive impact assessments that have been carried out, including: concludes that coal from Svea is the most environmentally friendly alternative compared to coal from other supplier countries. I am pleased that the Storting will today adopt further coal drift on Svalbard, and that we can now get a long-term for this vital mining community. This must be a good Christmas greeting to everyone who's at Svalbard, and to the rest of us in the Norwegian community.
ParlaMint-NO_2001-12-19.ana.ud51e1217	I am pleased to note that there seems to be broad political agreement on the overall objectives and main features of Norwegian Svalbard policy, and that the issue of the Norwegian coal industry at Svalbard is being discussed in this context. The majority of the Committee supports the Government's proposal to provide green light for the opening of regular production operations in the Svea Nord field after the arrangement mentioned in the proposal, which suggests that 150 million be granted. kr in new share capital for these activities. Through the decision by Stortinget today, we will all hope and believe that we are now laying the basis for a long-term continuation of the Norwegian coal industry at Svalbard, based on profitable operations. Norway has important national interests to care for in Svalbard. These interests are linked both to the maintenance of Norwegian society on the island group, to the protection of the environment, to the maintenance of calm and stability in the area and to the strengthening of sovereignty. The Norwegian coal industry cannot therefore be considered in isolation but must be assessed in the framework of Norwegian Svalbard policy. The need for an annual activity of a certain extent, as a basis for permanent Norwegian presence, is an important element in this context. In the position of the Liaison Committee, it is important for society in Longyearbyen to be maintained as it is today, and for society to be further developed. This must be seen in the context of Norway exercising sovereignty on the island group in a way that ensures peace, stability, protection of the wilderness environment and responsible resource management. I agree with this, and will add that the most credible and stable Norwegian presence in Svalbard ensures by facilitating and developing activities that have a sound economic foundation. Large Norwegians have been dependent for many years on substantial state aid for operations and investments. Most people agree that such a situation cannot continue. The proposal to provide green light for production operations in Svea Nord is based on the fact that the coal business of Great Norske is distinguished into a wholly-owned subsidiary which can be operated on a commercial basis and without State aid. With the equity now transferred to the company and the flexibility granted by the company to adapt the annual production volumes to market developments, the company should now be able to stand on its own financial footing. When I see the impressive effort and enthusiasm that have been put into the project by all employees in Great Norwegian so far, I have the absolute greatest hope that the company will meet this challenge. A majority of the Foreign Affairs Committee agrees that Norwegian mining at Svalbard should be profitable, and stresses – as the Government also does in the proposal – that in the event of liquidation: ‘the State which owns will have to make a thorough and comprehensive assessment of the best way to safeguard Norwegian interests in Svalbard, also in relation to the provisions of the Svalbard Treaty.’ With the decision taken today by the Stortinget, we will hopefully not face such a problem in the foreseeable future. Nevertheless, we are pleased to note that there is broad agreement on the type of assessment to be carried out. When coal operations become permanent, the importance of safety and the environment must be given to them. Coal operations shall take place under environmental conditions established by environmental protection authorities and in accordance with the rules laid down in the Svalbard Environmental Act. And as the committee leader said in his post, the negative impact on the positives has been assessed. The views of the Government are set out in the proposal and in so far as the Committee's position is concerned. I have noted that a majority in the Committee is asking the Government to assess whether environmental safety is being better protected by the introduction of an obligation to discharge the coal ships. This question will of course be followed up. If the Storting decides today in line with the recommendation of a majority in the committee, I will start the follow-up to the decision at a general meeting in Great Norwegian which it has been called to tomorrow. The capital increase will be adopted. After that, it will largely be up to the company itself. With regard to the proposals of the Centre Party, proposals No. 2, 3 and 4 – which have now been turned into transmission proposals, I see, like other speakers, that there are important issues that are addressed. And it's an exposure to securing the shipping around Svalbard in general, not just in coal transport. These are things I'm definitely going to take with me.
ParlaMint-NO_2001-12-19.ana.ud51e1253	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2001-12-19.ana.ud51e1256	It made the impression on me to visit the Svalbard community for the first time, and it made the impression to be inside the mine in Svea and see the modern and efficient exploitation of coal. But I wouldn't have done my job if I wasn't able to put these impressions into perspective when I got home. I have to admit, unfortunately, that I am not sure if the bulk of the money has taken that task as seriously as SV has done. It seems that there are no limits to how much money the bulk of population is willing to spend on environmentally hostile production in this country. I really wish that the bulk of the population would be willing instead to spend the money on the transition to a more viable business. If we had spent this 150 million. kr in another way, I'm sure we could get a lot of excitement on Svalbard, which is a little bit more forward-looking than coal. I have to say that the bulk of the population is debatable from the climate consequences. I thought there was only one party on Stortinget that doesn't believe in the greenhouse effect, now I'm fooling. There has been no great doubt to trace in this debate. The majority seem to overestimate that coal is the only way to assert Norwegian sovereignty on Svalbard. I thought this security is a little weird. We have the conclusion from the Steinnes selection to consider if we want. It was concluded that the continuation of coal operations was not necessary to maintain the construction in order to assert Norwegian sovereignty. I'm surprised that the bulk of the population is so over-conceived that the opposite is the case. I fully understand that the Svalbard community is celebrating this day. It's not society's struggle to survive SV are opponents of, on the contrary. We just want this survival to happen in a more forward-looking way. That being said, I still want to use the opportunity to congratulate society on the day. Of course, SV is also happy that the case is clarified, even though I am overconfident that our proposal would have been an equally good guarantee that society will survive, and a much better guarantee that Norway will take the international climate commitments seriously.
ParlaMint-NO_2001-12-19.ana.ud51e1269	I would like to refer you to Mr Solholm's speech on the position of the majority. The Progress Party is also a member of the majority in terms of what is desirable for the further development of Svalbard. I also agree with the representative Bendiks Arnesen that this must be the greatest Christmas gift the Svalbard community can get, because security is being created about future developments. But it's a prerequisite that's taken into account, and it's that this should be largely driven economically economically. The Progress Party does not usually support proposals for government grants to unprofitable state-run industries, but we have made one exception. Every year we have supported the mining activity at Svalbard because it has to do with sovereignty over the island group. The long line in Norwegian svalbard policy has been to ensure a credible Norwegian government since the Svalbard Treaty of 1920. This has been achieved primarily through consistent compliance with the provisions of the Treaty and the maintenance of Norwegian activities, where coal operations have been decisive and central. Nevertheless, the business as it has evolved has become expensive, with a cost of hundreds of thousands of dollars in net per. the population. Therefore, it has also been the case in the Progress Party that we have discussed from time to time whether there have been alternative solutions and development pathways that have been appropriate for the Svalbard community. Now that the Svea Nord solution has crystallized itself as a realistic alternative, we're happy about that. I support the contributions of the majority in this room, and the arguments that are put here in the field.
ParlaMint-NO_2001-12-19.ana.ud51e1280	Several have not asked for the floor on case No. Eight. [[Footing, see page 1238]]
ParlaMint-NO_2001-12-19.ana.ud51e1288	There shall be a vote on cases No. 2 to 4 and points Eight. There is no voting theme in case No. 1, and case No. 5–7 will be discussed at a later meeting, probably on 10 January 2002.
ParlaMint-NO_2001-12-19.ana.ud51e1295	Three proposals have been put forward during the debate. It's proposal No 1, by Jan Tore Sanner on behalf of the Right, the Christian People's Party and the Left Draft No. 2 and 3, from Siv Jensen on behalf of the Progress Party First of all, there is a vote on proposal No. 3, from the Progress Party:
ParlaMint-NO_2001-12-19.ana.ud51e1382	It is then put to the vote on proposal No. 1, from the Right, Christian People's Party and the Left. The proposal reads as follows: ‘The 2001 budget shall be amended as follows: Chapter.PostObjective:Croner5800 State Petroleum Fund [[(see section 4.4). cap. 2800):]] Jan Tore Sanner has asked for the floor.
ParlaMint-NO_2001-12-19.ana.ud51e1427	That proposal relates in particular to the fact that the cooperation parties will vote against the increase in cape. 248 item 21, as shown in the setting. If our proposal falls there, it would also be natural to draw proposal No. 1st@item: inlistbox
ParlaMint-NO_2001-12-19.ana.ud51e1432	Yes, the President understands this. The president thought that this matter was settled during a debate earlier this week, but when the parties want to put forward that proposal again, they will get a vote on it. That is why we are voting on proposal No. 1st@item: inlistbox
ParlaMint-NO_2001-12-19.ana.ud51e1444	The President assumes that when we get to the vote on the Roman numerals, you can relate to it. We shall then vote on proposal No. 2, from the Progress Party, and which in itself is related to what was referred to by Jan Tore Sanner. The proposal reads as follows: ‘The 2001 budget shall be amended as follows: Chapter.PostObjective:Croner5800 State Petroleum Fund [[(see section 4.4). cap. 2800):]]
ParlaMint-NO_2001-12-19.ana.ud51e3229	First, the president wants to vote separately over the cape. 248 under I. It is assumed that the Right Party, the Christian Party and the Left want to vote against.
ParlaMint-NO_2001-12-19.ana.ud51e3252	Two proposals have been put forward during the debate. It's proposal No 1, by Gjermund Hagesetter, on behalf of the Progress Party, the Centre Party and the Coastal Party Proposal No. 2, from Morten Lund on behalf of the Centre Party There is a vote on proposal No. 2, from the Centre Party: ‘The Government asks the Government to submit proposals for legislation providing for tax exemptions for gifts provided through local funds to local organisations operating in the general interest of a non-commercial nature.’
ParlaMint-NO_2001-12-19.ana.ud51e3274	There is a vote on proposal No. 1, from the Party of Advancement, the Centre Party and the Coastal Party: ‘The Government requests the Government to submit proposals as soon as possible for a significant increase in the deductible amount of grants to non-governmental organisations.’;»
ParlaMint-NO_2001-12-19.ana.ud51e3314	Cases 5, 6 and 7 shall be deleted following a decision at the beginning of this meeting.
ParlaMint-NO_2001-12-19.ana.ud51e3321	Four proposals have been put forward during the debate. It's proposal No 1, by Inge Ryan on behalf of the Socialist Left Party proposal No. 2-4, from Marit Arnstad on behalf of the Centre Party In the course of the debate, the author of the motion for a resolution has referred to the proposals of the Central Party as 'transmission proposals', and they will be amended accordingly. Proposal No. 2, from the Centre Party, reads as follows: ‘It is recommended to the Government that the unloading obligation be applied to Svalbard. The Government is asked to promote a separate case for how this is to be organised and financed. ‘... Proposal No. 3, from the Centre Party, reads as follows: ‘It is recommended that the Government return to the Stortinget with a maritime safety case at Svalbard.’ Proposal No. 4, from the Centre Party, sounds like modified text: ‘It is recommended to the Government to require the freight operators of Svalbard to use marine diesel under any transitional arrangement.’ These three proposals are now all in their form of transmission proposals, and the President will propose that they be forwarded to the Government without any rebuttal. – It is considered biphasic. Proposal No. 1, from the Socialist Left Party, addressed to voting. The proposal reads as follows:
ParlaMint-NO_2001-12-19.ana.ud51e3417	The President assumes that the Socialist Left will vote against.
ParlaMint-NO_2001-12-19.ana.ud51e3437	There is no record. The President uses the opportunity to wish all the representatives, all the employees of the Stortinget and the political groups of the Stortinget as well as the members of the press lodge, although they are not present, a really good Christmas, hopefully a peaceful Christmas holiday and a good start to the new year.
