ParlaMint-NO_2001-02-08.ana.ud1394e38	No one has asked for the floor. [[Fotation, see page 1814]]
ParlaMint-NO_2001-02-08.ana.ud1394e893	I just feel the need to comment a little on the suggestions available from SV. But first of all, I want to be a little helpful to the representative of Kristiansen, so he's not going to get lost in the opinion of the Central Party on the Statkorn case. He should know that we did not support that capital expansion on the part of the Central Party. As regards the previous government's position with the Hydro Seafood case, that government had to leave before that sale was in place. It was too early to respond to it. The central party would have reacted to it. What the government would have done, we would see if the Right had allowed that government to sit still. The debate today has been an answer to a few decisions in Stortinget, among others. to submit a valuation plan for the aquaculture industry. We've come a little bit on the way, but we need quick feedback, which we've been through, on several points. The proposals of the SV concern part of those points. The centre party will not vote in favour of those proposals, but we do not entirely disagree with all of them. As regards proposal No: 1, the Central Party wants us to make sure that the concessions become speculative through local ownership when awarding and reselling the new concessions. We think it's a much better system than we having to put in place a system of State pre-emption rights. With regard to proposals Nos. 2 and 3, the state council also said what I was going to say. We have arrangements today. This with feed access to the aquaculture industry can become a minimum factor and it forces itself to use all available feed. But, of course, priority should be given to what should be for human food. As regards proposal No: 4, the central parties described in the Statkorn setting have more precisely who should be given priority in the award of new concessions, so we think it's a little strange to vote in favour of that proposal. With regard to the proposal to impose remuneration, the central party is against it, because we believe that there should be free allocations, and that consideration should be required for resale, and we still hope that there may also be a proposal from the Government at this point. That is the way to do it that ensures the best access for new actors. It is the way that will ensure that this does not become primarily for those who have the most capital.
ParlaMint-NO_2001-02-08.ana.ud1394e910	This is a debate that we are looking forward to, because the aquaculture industry is a very positive and offensive industry. But in this debate I have allowed myself to be a little critical, because I have a motto: where everyone agrees, there it might be a little bit small. I think we might also have had some contributions from the Finance Committee, because I think when we talk about access to capital for local entrepreneurs, in order to ensure that they continue to retain these rights, perhaps the AS-certification of savings banks is as important for the development of local ownership as many of the measures we are talking about. I have talked about this with the fact that coastal zone planning should be modernised, and that there are many who experience this as a cutting privatisation of the coastal zone. In fact, we are demanding the Law of the Sea and in other contexts that it should be a coastal zone plan. The only way today to have proper local governance can actually be not to plan, because once one has left off planning, players cannot come from the outside and apply for rights that some local actors may have imagined, but one must have a little more time. So I think the coastal zone plans need to be linked to a local right of control and preference in order to get more speed on this planning. In fact, I think there are considerable fears in the coastal communities that in a very short time these rights will be owned by someone who lives 200 miles away. Knowledge is very much required. It takes time to build up knowledge, and you have to respect that. There are also major requirements for cooperation in order to make these management systems work. I would like to emphasise this once again with the need to develop a governance system for this that decentralises the decisions and that the community or regions have a more active role, because I believe in the local community's ability to build skills and build industrial systems and industrial systems with both local owners and outsiders. I believe in the local commitment and the ability of the community to control its own future.
ParlaMint-NO_2001-02-08.ana.ud1394e924	The infrastructure of the coast and the transport costs associated with its use are essential elements for the price competitive conditions of Norwegian seafood. Society must be willing to invest in efficient and user-friendly infrastructure along the coast. It is completely meaningless that Norwegian seafood is to be transported around Oslo before it is sent onto the market. Today it is much cheaper to drive from the coast to Oslo than to drive from farming facilities to organised coastal port areas. The State must take a greater share of the cost of road, bridge and tunnel development along the coast. Only in this way can the transport be channelled away from the bypass of Oslo, where it stops the traffic years, and to maritime transport. In the long run, both the Oslo area and the communities along the coast will serve on it. If maritime transport is to compete with trailer transport, it is necessary to do something about the high charges imposed on coastal cargo today. Loads carried on refrigerators are unduly charged for charges and charges that are in addition to the toll costs the load has already been charged through expensive driving on a toll-capped road network. The Ministry of Transport has done the art of presenting a long-term transport plan without including an adequate investigation into shipping and port logistics, despite the fact that it would be both environmentally and cost-effective to distort the export from wheels to keel. A good infrastructure in the areas where export values are created will be essential for the competitiveness of Norwegian seafood. We have to take the necessary infrastructure promises to keep our markets, otherwise our products will be priced out. The country’s export surplus must be returned to the value added areas to a greater extent than at present, so that good export ports can be reached without having to pass more and more roadside tolls from the place of production to the port of embarkation. This, too, is part of a long-term policy on aquaculture, and I miss the deepening of these relationships that one had expected in connection with a statement on aquaculture policy, because aquaculture policy is also a policy on transport in the broadest sense.
ParlaMint-NO_2001-02-08.ana.ud1394e938	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Votation, see below]]
ParlaMint-NO_2001-02-08.ana.ud1394e946	Then we're ready for voting.
ParlaMint-NO_2001-02-08.ana.ud1394e1005	During the debate, Mr Reikvam presented five proposals on behalf of the Socialist Left. Proposal No. 1 sounds: ‘The decision asks the Government to present a separate State pre-purchase right case in the case of the sale of concession rights. The case is to be referred to the Grand Duchy during 2001. 2 reads:‘The Government asks the Government to intensify its research efforts so that new raw materials and better exploitation of fish waste are used for feed production. The Government is asked to establish a plan to gradually replace raw material of human value with other raw material in feed production. The plan is to be submitted to the Stortinget no later than spring 2002. 3 reads:‘The government is asking the government, in the context of the 2002 State budget, to allocate high-risk capital to investment in projects at the idea stage. The funds should be channelled through SND.’ 4 reads:‘The Government is asking for priority to be given to new and smaller actors in the award of new concessions in 2001.’ 5 sounds: ‘The decision already requires the Government to introduce a compensation scheme in the event of a concession award in 2001. The compensation should mainly be paid to the municipalities where the facilities are set up.» Then the president will ask if there are anyone who wants the floor for an explanation of vote – and that is it.
ParlaMint-NO_2001-02-08.ana.ud1394e1031	Just a short explanation of vote. In the case of proposal No: 1, I will urge the Labour Party to vote against. In the case of proposals No. In the course of the debate, the Minister for Fisheries has done well to ensure that these are processes that are already in progress. I therefore believe that the two proposals will also be voted against. In the case of proposal No: 4, it is already effective, and when it comes to proposal No. 5, it's for evaluation. So I ask that the Labour Party's group vote against all of these proposals.
ParlaMint-NO_2001-02-08.ana.ud1394e1036	In the interview with the transport plan, it is not so easy to get involved in the debates, but as far as I understand, proposal No. 5 come as a matter before Easter, the proposals No. 2 and 3 are in progress, and proposal No. 4 is already effective. I would ask that we have a motion for a resolution on proposal No. 1 and send the rest, to make it easy.
ParlaMint-NO_2001-02-08.ana.ud1394e1041	The President may recommend, since we have now referred to the consideration of proposals submitted to the Government without a vote of intent, that the proposals be drawn up equally.
ParlaMint-NO_2001-02-08.ana.ud1394e1044	All right, President!
ParlaMint-NO_2001-02-08.ana.ud1394e1049	That is when the proposals are no. 2, 3, 4, and 5. Then there will be a motion for a resolution on proposal No. 1st@item: inlistbox
ParlaMint-NO_2001-02-08.ana.ud1394e1060	The President will propose that the statement by the Minister for Fisheries at the Stortingen meeting on 23 January 2001 on aquaculture be annexed to the Protocol. – It shall be deemed to have been adopted.
