ParlaMint-NO_2001-05-09.ana.ud2047e27	The called alternate of the Uppland County, Gry Larsen, has taken the seat.
ParlaMint-NO_2001-05-09.ana.ud2047e1556	The involvement in this matter must be understood in the light of recent events of coastal accidents and a strong desire to strengthen these actions. It implies that the precautionary principle must be fundamental to these activities. It is difficult to understand that transport under demanding conditions must be followed up to a lesser extent with unloading requirements than with other parts of our waters which may be less demanding. I would like to ask: can the Council of State assure me that there is no lead from the overall authority for the Coastal Directorate to take economic considerations into account when giving advice in this area? In fact, in the public debate, one here has given advice on the basis of a framework in which one should not go into the economic sphere.
ParlaMint-NO_2001-05-09.ana.ud2047e1563	I can very well understand the concern that exists along the coast, in the light of the accidents that have occurred. That this becomes especially important in relation to Svalbard and nature there, is also very natural. When I say that this is not covered by the Los Law, it is actually a formal and legal issue. It is a matter of having legislation. It is not the case that there is no authority responsible for doing so in a proper manner; it is the employer’s. With regard to the requirement of security for Svalbard or elsewhere, economic conditions are not imposed. Security shall be ensured, with the measures necessary for its safe implementation. On the part of the Norwegian authorities, it will never be set ‘a ceiling’ for what it has to cost, for reasons other than safety.
ParlaMint-NO_2001-05-09.ana.ud2047e1572	It's not just the Losing Association that is skeptical of the arrangement that is now being proposed. I record that the headmaster of the Tromsø maritime school believes that the Norwegian authorities' position on maritime safety at Svalbard does not ‘hang on hold’. In any case, it must be an expression of one's concern and not content with the solutions chosen. Now leave it. In connection with the complaint in this area of a decision in the Coastal Directorate of the Ministry of the Environment, is my next question: will the Minister of Fisheries consult the Ministry of the Environment in this matter before giving final feedback on the recording that has been made? The Minister for the Environment has been very committed to maritime safety and can have views that could be worth it.
ParlaMint-NO_2001-05-09.ana.ud2047e1579	I can assure the representative of Kvassheim that I and the Minister for the Environment will discuss this and ensure that it is properly maintained. The commitment the Minister for the Environment has in the matter, I share, and it shares the entire Government.
ParlaMint-NO_2001-05-09.ana.ud2047e1587	I allow myself to ask the Minister for the Environment the following questions: ‘The UK Environment Directorate has, after consulting proposals for a new emission permit for radioactive substances from the Sellafield plant, in which the very high levels of radioactive emissions are proposed to be maintained until 2006. Emissions from the Sellafield plant at such a level would result in irreversible adverse effects on fish, crustaceans, farmed animals and the marine environment in other areas along the Norwegian coast. How does the Government protest against these destructive emissions to its British colleagues?’
ParlaMint-NO_2001-05-09.ana.ud2047e1596	In the opinion of the Ministry of the Environment on the UK Environment Directorate’s proposal to allow the emissions of technetium-99 to go unpolluted in the sea until 2006 we state that the proposed level of emissions is totally unacceptable and require a significant reduction of emissions from this year onwards. I have personally raised the matter with my British colleague Michael Meacher during a meeting earlier this year. There he stressed that a final decision was not taken by the British Government. I also raised the matter with my Nordic colleagues at the Nordic Environment Ministerial meeting in February, and invited them to give hearings on the UK Environment Directorate's proposals, as Norway has done. A number of enquiries have been made in the past to the UK authorities, both from the Norwegian side and in the form of joint enquiries by the Nordic Environment Ministers. Norway also cooperates with Norway under the OSPAR Convention, among others. the other Nordic countries to put pressure on the UK authorities to reduce emissions from Sellafield. The reprocessing is the dominant source of the release of radioactive contamination into the marine environment. We are therefore working in OSPAR to save all spent nuclear fuel in the long term instead of being reprocessed. Norway helped to promote a decision on this at the last year’s OSPAR meeting in Copenhagen. The decision was adopted by a majority, but not by the United Kingdom and France. The UK Environment Directorate’s proposal is a consultation paper containing several alternative solutions. The most favourable solution, with Norwegian eyes, is to set a limit on emissions of 10 Tbq from 2001, and that is the option we have asked the British to choose in the first place. The proposal submitted by the UK Environment Directorate means that the current limit of 90 Tbq is maintained until 2006, which will continue to result in elevated levels of technetium-99 along the Norwegian coast. The UK Environment Directorate is likely to take a final decision on their alternative before the summer. Then the British government will also take a decision on the matter in the course of this extension. The government has received a large number of enquiries from municipalities, county councils and environmental organisations requiring the cessation of emissions and the closure of the reprocessing plant in Sellafield. In order to make this commitment visible and put further pressure on the British authorities, on 7 May the Ministry of Foreign Affairs handed over these enquiries to the British Embassy together with a statement of Norway's views on this matter. As mentioned earlier, the Prime Minister will also address the issue of emissions from Sellafield during his meeting with his British colleague Tony Blair in June.
ParlaMint-NO_2001-05-09.ana.ud2047e1607	I thank you for your answer. It is quite clear that there is no world thing that indicates that the UK authorities intend to implement something other than what they are aiming for, namely to deal with the current level of emissions until 2006. There is nothing that contaminates and destroys more along the Norwegian coast than the radioactive substance technetium compared to other contamination, because it has an irreversible effect. And when we see that the adverse effects along the Norwegian coast have only quadrupled in the last ten years, we see where this is going. So just to halve the degradation time of the drug technetium, it goes over 200,000 years. It's known for a relatively long time. It's a too passive attitude to these questions. It does not, in my opinion, hold up requests to the embassy and the two-sided contact you have had so far. No results have been achieved in my opinion.
ParlaMint-NO_2001-05-09.ana.ud2047e1618	I share the concern expressed by the representative Kristiansen regarding the long-term impact of such high emissions of technetium-99 as the most extensive option from the UK Environment Directorate. I do not share the opinion that we have a passive attitude towards this on the part of the Norwegian authorities. Here we are talking about direct enquiries at political level. I am concerned about finding the very best ways we can both protest and gradually reach. The fact that the British Environment Minister has an involvement in the matter, I see as a positive signal. Now we see what Norwegian and further Nordic and other pressure can lead to for the solutions ahead. We have to use all of the channels we have in this work, and hope that it will produce results.
ParlaMint-NO_2001-05-09.ana.ud2047e1627	For Norwegian coastal business, for the marine sector, the development we see in this area is fatal. I am sure that the current Environment Minister remembers the characteristics of his British colleague Thorbjørn Berntsen’s environmental protection then well – ten years back in time. Then he used very strong adjectives. Now the adverse effects and level of emissions — irreversible like that — have increased four times. When we remember what Thorbjørn Berntsen called his colleague in the United Kingdom several years ago, and with the devastating effects of the emissions from Sellafield so far, and the emissions to be at the current level until 2006, what does today's Environment Minister think will be the comprehensive and correct characteristic of her British colleagues?
ParlaMint-NO_2001-05-09.ana.ud2047e1632	It could be a bit daunting to repeat to the representative Kristiansen that the nature of the environmental protection minister Berntsen did not get so much from the situation we can now point to, so that it might not be characteristic that is the most important instrument for achieving it. Personally, I think that there is only a strong, clear, long-term pressure from different teams, and from the Norwegian authorities in particular, that can produce results in this matter. We need to do what we can to the United Kingdom directly, but we also need to work with other countries, as we do – the Nordics, among other things, to try to find alternatives to reprocessing, which, after all, is the starting point for this whole business. But I can assure you of at least the same strong commitment, even though language usage may be different.
ParlaMint-NO_2001-05-09.ana.ud2047e1640	This question, from the representative Bjørn Hernæs to the Minister for Agriculture, will be answered by the Minister for the Environment on behalf of the Minister for Agriculture. The question was raised by the representative of Magnhild Offset Olrud.
ParlaMint-NO_2001-05-09.ana.ud2047e1645	After informing the President of the absence of the Minister for Agriculture, I ask the Minister for the Environment: ‘A minor boy has inherited the family property Røhr Groet in Ringsacher from his granddaughter and applied for a residence waiver until his age of authority. The County Agriculture Department in Hedmark has chosen to waive the right of inheritance and recommends that the boy be denied a concession. Will the Council of State develop guidelines to ensure inheritance, predictability and non-discrimination in such cases?’
ParlaMint-NO_2001-05-09.ana.ud2047e1654	The case referred to was resolved by the County Agriculture Council granting the Peder Røhr concession to the meeting on 3 May 2001. He was granted a concession on condition that he settled on the property by 2013, and then lived and operated the property in a proper manner for at least five years in the context. The boy's acquisition was compulsory and the case was an ordinary concession case under the concession law. The concession law does not provide for special treatment in cases where minors inherit property from a family member. A concrete and individual assessment shall be carried out, including in cases where emphasis is available, inter alia. the connection to the property. The law mentions a part of the aspect to be emphasised when assessing the concession request. Moments to be given special attention are whether the transferee can be considered fit to operate the property and whether he will move to the property to operate it himself. As far as the right of succession is concerned, it is, in my view, well guaranteed in the law by the fact that close relatives can acquire concessional rights. The inheritance of other relatives is ensured by the individual and specific treatment to be applied for. This is a complex assessment in such cases where a number of different considerations apply. It is not uncommon that there may be a different perception of what the outcome of the application should be. The guidelines in this area must not be more detailed than providing room for local and individual adaptations. It is otherwise a fundamental principle of Norwegian administrative law that similar cases should be treated equally. However, the requirement of non-discrimination is so well known that it should not be necessary to address the principle in the guidelines. I therefore believe that there is no need for specific guidelines for cases such as the one addressed by the representative.
ParlaMint-NO_2001-05-09.ana.ud2047e1674	I thank you for your answer. I am fully aware that the County Agriculture Board has given this boy a concession. That is not really what my question is about, it is about the cancellation and handling of the matter by the agricultural authorities. I think this specific case shows that despite the recently adopted amendments to the concession law, among others. with the lapse of the right of pre-emption, concession applicants are not guaranteed the respect of the right of succession. Two relatively similar cases, which in this case – a boy of eight years and one of six years, slightly different in the size of farms – should be treated equally. Can the Council of State say anything about this can be improved in the future?
ParlaMint-NO_2001-05-09.ana.ud2047e1685	As I said in my answer, I don't think new guidelines are the way to go to ensure what we want to ensure through the law. It is important that the guidelines are not more detailed than they allow for the necessary discretion and the individual adaptations to be made possible by the law. The requirement for non-discrimination is so well defined in the existing law that it should be unnecessary and no more to win by further clarifying it in the law.
ParlaMint-NO_2001-05-09.ana.ud2047e1690	So we go back to questions 8 and 9.
ParlaMint-NO_2001-05-09.ana.ud2047e1696	This question, from the representative of Sonja Irene Sjøli to the Minister for Culture, will be answered by the Minister for the Church, Education and Research on behalf of the Minister for Culture.
ParlaMint-NO_2001-05-09.ana.ud2047e1699	I have asked the Minister for Culture the following questions: ‘In 1998, the Grand Duchy decided that the National Historical Centre should be a living centre for the dissemination of ideas in the oldest existing European institution and a centre for the dissemination of both historical and modern political flows. A look-up in the United Nations on 19 April 2001 shows that the function should no longer be to document the development of democracy. Does the Council of State think that this is in line with Storting's intentions?»
ParlaMint-NO_2001-05-09.ana.ud2047e1708	In St. prp. No 55 for 1997-98, About the marking of the 2000–2005 millennium, it was shown that the events of Eidsvoll in 1814 can in many ways be said to represent the beginning of the history of modern Norway. By taking care of the building where the National Assembly met, as a national historical memorial and a living centre for the dissemination of ideas in the oldest institution in Europe, a centre will be set up to work on the dissemination of both historical and modern political flows. In St. prp. No 1 for 2000–2001 it appears that due to the impossibility of basic conditions on the site selected for the new museum building, alternative location has been investigated. In this connection, the Board of Directors of Eidsvoll in 1814 asked the Ministry of Culture to assess the fire risk posed by a neighbouring building to the Eidsvoll building and to assess the possibility of locating the new building on this site. The analysis of the fire risk concluded that this building poses a significant fire risk and that the demolition of the building is the best and safest option. The new site will provide the new museum with a functional location in relation to the Eidsvolls building. As indicated in the budget proposal, it is assumed that the content, area and standard of the building must be processed in such a way that the project, together with costs already incurred, can be carried out within a cost framework of 66 million. kr. I mean, budget-inner. S. No 2 for 2000–2001 the Committee agrees to this, and is pleased that a new location option for the Centre has now been clarified. The purpose of the centre, as outlined, is firm, but new location is clumsy until the Eidsvoll building opens up new opportunities that will be safeguarded in the further development of the project. As provided for by the Stortinget, the programme for the building must be processed. In this context, reference is made to the activity analysis currently carried out for the Eidsvoll Foundation 1814 – the Rikspolitische Zentrum, and to the necessary clarification of the purpose of the new building and the context in which it is to be incorporated. The survey in the United Nations on 19 April 2001 shows that walking distances between the Eidsvolls building and the new building offer new opportunities to disseminate the Centre’s objectives. The foundation and development of democracy will always be a dimension linked to the dissemination of Eidsvoll. In addition, the purpose includes both management and communication of the Eidsvoll building and memories of the events of 1814. Work is in progress on the continuation of the project based on the new location. In this context, the Eidsvoll Foundation in 1814 – the Rikspolitisches Zentrum arranges an idea virtue on 10 May 2001. The aim is to present good ideas and ideas that can underpin further planning and work on the functional and space programme for the new building at the centre, in accordance with the Stortinge's intentions. With normal progress, the new building could be completed during 2004 and in good time for the anniversary markings in 2005.
ParlaMint-NO_2001-05-09.ana.ud2047e1725	I thank the Council of State for the answer. There have been many unfortunate circumstances and – I would say – both poor preparation and poor planning around the establishment of this centre at Eidsvoll. But it now seems that most of it is in place, albeit in a slightly smaller format than before. I have to say that I am very pleased with this location. I think it could be a nice cultural park with the Eidsvoll building and this national political center, where we also work to establish an Ekeland museum. So this can be very good. But there are many with me who are both engaged in and occupied with this, who were surprised at the lookup in the nation, where this again created uncertainty about the purpose. We know there's been a lot of discussion about it. That is why I am pleased that the Council of State is now confirming that the purpose of the Storting is to be respected. I have understood that the municipality of Eidsvoll should also be involved and contribute to such an idea, and that the centre should also be completed in 2004. I hope that this timeframe will last, and I am satisfied with it.
ParlaMint-NO_2001-05-09.ana.ud2047e1734	It is true that the purpose of the center, as outlined, is established. But it is clear that the new location also offers some opportunities that need to be looked at. I am absolutely convinced that the Minister for Culture has this in his safe hands and that this will be a good solution.
ParlaMint-NO_2001-05-09.ana.ud2047e1739	The most important thing for me was to confirm that what was the purpose of Stortinget with the centre is firm, and that we have now also got a time frame for when this centre will be finished.
ParlaMint-NO_2001-05-09.ana.ud2047e1747	This question, from May-Helen Molvær Grimstad to the Minister of Culture, is raised by Elsa Scarbøvik. The question will be answered by the Minister for the Church, Education and Research on behalf of the Minister for Culture.
ParlaMint-NO_2001-05-09.ana.ud2047e1750	I will ask the Minister for Church Education and Research the following questions on behalf of the Minister for Culture: ‘For the first time, a Norwegian produced film becomes the text in cinema. The Landsförbund (Landsförbund) of hearing impaired persons bears the cost of subtitling the film «Elling». Will the Council of State take action to make all Norwegian-produced films that receive state film support available in the text version?’
ParlaMint-NO_2001-05-09.ana.ud2047e1759	Opportunity to introduce a requirement for Norwegian-produced feature films to be texted for hearing-impaired persons will be considered. What's clear is that it costs a lot of money to pay for the captioning of films for cinema. ‘Elling’ was reasonable because there is a digital laboratory process behind the film. However, the vast majority of films produced in Norway are processed by analogy. In the case of such films, a so-called internationative must be produced on which the text can be imprinted. Then new copies of the film have to be produced at a price of approx. NOK 20 000. In addition, the organisation of the dialogue will be estimated at NOK 10 000. Digital processing makes the production of new internatives unnecessary, and it saves about 75 000 kroner. Consequently, for ‘Elling’, it has been possible to obtain subtitles for a quarter of the cost of a film that is processed by analogy. The audience without special needs will hardly choose to watch a text movie. Although there's a textual version, the viewer actually assumes that the distributor is making an effort to get the movie shown, and then that the cinemas actually choose to set up the movie. ‘Elling’ is currently set at 500000 and is still at the top of visited films. This is an exceptionally good result for a Norwegian film. The film has been a very good shop for producers, distributors and cinemas. The fact that they can now afford to text and put the film on a cinema for hearing-impaired people is positive, but hardly any good indication as to whether texted Norwegian films will actually be shown in cinemas, even if Norwegian films are provided with text. Therefore, it will be necessary to discuss the possibilities of the scheme with distributors and the cinemas before launching a test scheme with subtitles for Norwegian films.
ParlaMint-NO_2001-05-09.ana.ud2047e1770	Thanks for the answer. It was a happy day for many when a Norwegian film with Norwegian subtitles was shown last Friday. It's more than 600 000 Northmen who have a significant hearing loss, so it's 14.5 pst. of the population, so there's a large part of the Norwegian people who depend on subtitles to get the connection in a movie. Until the ‘Elling’ film was shown at Frogner cinema, there are no Norwegian films with Norwegian languages that have been texted. There is an eye-catchingly large group of people who have been excluded from film experiences in which others have participated. When it is now said that it costs NOK 10 000 – and even if it can be more for other movies – it is not the big sums we talk about. The Council of State said that he would consider a claim, but I would ask: does the Council of State agree that it is a public task to write Norwegian films, so that it can be made as a requirement to obtain state aid to produce a text film copy?
ParlaMint-NO_2001-05-09.ana.ud2047e1781	I'm sure everyone would have wanted everything that was produced to be as accessible to hearing impaired people as to hearing. But of course it also has a budget page, so I assume that the assessment of this also has to look at the economic aspects – and also on the distribution side and thus have a discussion with the distributors and the cinemas. As I said in my first answer, this has a lot to do with the form of production. The type of production selected for the various Norwegian films in the future will also affect the cost of this. I can therefore not say more than that I agree with the objective that as many people with hearing impairments as possible will also benefit from Norwegian film, but we need to assess which arrangements we might participate in.
ParlaMint-NO_2001-05-09.ana.ud2047e1790	There is nothing new to lyrics Norwegian films, because we have seen them on TV. There are certain requirements for both NRK and TV 2 regarding subtitles for films, including Norwegian ones, because of hearing impaired people, so it is nice that the Swedish Federation of Hearing Aids has now taken the initiative to include cinema films. It should not be the case that a large group of people are excluded from the experiences of Norwegian films and are only left to foreign films. It is stated in UN standard rule No. 10 in the case of disabled persons, working towards the possibility for disabled persons to participate in cultural services, and for countries to take the initiative to develop and use special technical aids to make literature, films and theatres available to disabled persons. I therefore expect the government to follow up this. My question is: what are the appropriate ways the Council of State sees this to be done, for example: in the government budget for next year?
ParlaMint-NO_2001-05-09.ana.ud2047e1799	I would assume that the appropriate way in a government budget would be to grant money for some good purpose in this regard. But I have to say again that we need to have an assessment of different measures and their consequences. What opportunities we have in the distribution of Norwegian films, we get back to. When it comes to captioning on TV, it's clear that it's a completely different technology. If you've looked at the subtitles on TV, you'll have seen that the subtitles are relatively similar from program to program. That's because the subtitles are kind of superimposed on the film that's lying there. When you're going to make subtitles on an analogue film, it's a completely different process, which costs a lot more. There are therefore different ways of doing this and different costs. But all of this we get back to when the review is done.
ParlaMint-NO_2001-05-09.ana.ud2047e1806	Then we go to question 22.
ParlaMint-NO_2001-05-09.ana.ud2047e1812	I allow myself to ask the following questions to the Minister of Church, Education and Research: ‘Applications for the organisation of examinations for dyslexia students have not been met at the University of Oslo. The same goes for some of the colleges. In St.meld. No 27 for 2000-2001 sets out clear intentions for user-based organisation to become a reality. Can the Council of State take the initiative to meet requests for organisation now, what measures can be taken until permanent arrangements are established, and will the right to user-based organisation be statutory?’
ParlaMint-NO_2001-05-09.ana.ud2047e1821	The representative, Wisløff Nilssen, addresses issues related to the examination of right-hand education for dyslexia students. I am not going to say that I am sure I know the specific issues that are the starting point for the representative Wisløff Nilssen's question, and can therefore not comment on them individually. It is the governing body of the educational institutions which, in accordance with the Law of the University and the Law of the University of Applied Sciences, lays down the Rules of Procedure of the Examination. It shall ensure that the knowledge and skills of the students are tested and assessed in an impartial and professional manner, while at the same time ensuring that individual students’ needs for organisation are met. The choice of examination form must also not be at the expense of professional requirements, and students who have their knowledge tested through organised examinations must be assessed according to the same conditions as apply to other students. On 14 March 2000, the Ministry sent out a letter to universities and colleges on the study situation of students with difficulty in reading and writing. The study sites were asked in the letter to review the rules and practices for organising the study situation and exams for dyslexics. In particular, they were asked to look at the conditions and extent of organisation of the examination situation, including: use of an oral examination. I trust that the institutions have responded to this call. I expect that the regulation will now open up flexible exams, and that this will be practised so that dyslexics can be offered organized exams, extended examination time and, for example: offer of examination rooms with PC. A working group has looked at various issues related to the situation of students with specific reading, writing and math questions in right-hand education. The report, which was presented in September 2000, contains several proposals that will improve the flexibility of the study situation, including a more organised form of examination. The Ministry is in the process of following the recommendations made by the working group. The work will include, inter alia: be seen in connection with the follow-up of St.meld. No 27 for 2000-2001. Conversion of examination forms for all students is an important part of the quality reform. I can't now say what changes this will require in law on universities and colleges. In the consultation process, new legislative provisions will adequately address the special needs of dyslexia students.
ParlaMint-NO_2001-05-09.ana.ud2047e1834	I thank you for your answer. «User-based organisation», it seems to me to be a very good expression that the department has used in St.meld. No 27. But it's no longer useful with nice words from big business and government if the experiences the students have in everyday life are marked by a lack of understanding and counterwork. That is why I was somewhat disappointed, because I was also thinking about the letter that was sent for approx. a year ago, and had expected a improvement in our exams. Unfortunately, we see that the feedback is about as many as last year. Will the Council of State take a new round to get closer to the intensification that dyslexics have a right after expert judgement, so that they get the arrangements they want? At the latest today, I was informed that a student goes up to writing instead of to an oral examination, which she applied for.
ParlaMint-NO_2001-05-09.ana.ud2047e1843	The Ministry has no overall overview of whether the situation is better or worse this year than last year. I really hope that the universities and colleges have followed up the letter that was sent last year, and that the rules and practices for organising the study situation and exams for dyslexics, which was the purpose of that letter. There are certainly isolated cases where student institutions make mistakes – it may either be that they have not followed it up properly, or there may be other more formal errors of some sort. I assume that the institutions are correcting this and following what is in the letter. In the dialogue with the institutions, the ministry also has an opportunity not to impose, so at least to draw attention to matters that we do not find satisfactory. To the extent that we become familiar with these kinds of things, I am absolutely convinced that we are also doing what we can to ensure that the individual student gets the organized offer to be given.
ParlaMint-NO_2001-05-09.ana.ud2047e1848	There are action plans for disabled people in our colleges. They are wanted by dyslexics, and departments of higher education have not known about these action plans. These action plans were probably not designed for the Ministry's sake, or only for the'motherhood', to put it that way, but also for the departments below to use them. I've read some of them, and they're very good. My question is: will the Council of State do anything about that piece?
ParlaMint-NO_2001-05-09.ana.ud2047e1855	It is clear that the action plans we are making are designed for the benefit of the user groups of each action plan – neither for the political leadership of the department nor for the service of the department. I think we need to convert the entire examination and evaluation system into higher education. After all, we have provided a big message about higher education, where we, among other things, says that we need to place much more emphasis on the student's work throughout the year in different ways – whether there are project work, written work or other things that allow students to be evaluated according to the effort and quality they have put into their study work. I think this will also benefit the dyslexics. I think it's very often the writing skills, more than the professional insight, that determine how it goes on a full day exam on a June day. We know that there are many students who are in that situation – and are going to deal with such a situation – in the days and weeks to come. We will follow up the action plan, and we will facilitate a better evaluation and evaluation form, and I hope we will have the support of the Stortinge.
ParlaMint-NO_2001-05-09.ana.ud2047e1865	I will ask the Minister for Church, Education and Research the following questions: ‘Samian higher education continues to follow the old national framework plan on dispensation from the Ministry of Church, Education and Research, as reportedly pending the treatment of the Nergård Committee. The school also has unsatisfactory premises. What will the Council of State do to ensure that the Sami college reaches a qualitatively satisfactory level, both in terms of professional content and in terms of premises for teaching?’
ParlaMint-NO_2001-05-09.ana.ud2047e1874	The Ministry established framework plans in 1997 which resulted in changes in professional content, working methods and the organisation of general teacher training. At the same time, it was also decided that Sami teacher training should be investigated. The setting of the Nergård Committee was delivered to the Ministry in 1999. The merger and several other relevant bodies gave opinions on the suspension in the autumn of 2000. Pending final treatment of the suspension, the Sami College has been granted a derogation — at its own discretion — to continue general teacher training under the old framework plans. However, the university has adjusted the local curricula so that the teachers are taught up-to-date and relevant under L97 and L97 Sami. In my opinion, therefore, it should not be a qualitative problem that the university is based on the old framework for general teacher training. The future content and organisation of Sami teacher training will be a natural consideration in the teacher education message that we intend to provide to the Stortinget in 2002. Sámi University has a short history, but has quickly reached a qualitatively satisfactory level. Sámi College has done a good job in raising the skills of its own staff, including: by means of doctoral scholarships and the main subject funded by the Ministry. At its inception in 1989, the Sámi College took over a dispensation in Kautokeino. It was an emergency solution that, in the longer term, is not particularly suitable for higher education purposes. In order to facilitate the conditions of the Sami college, a building with reading rooms, libraries and offices was listed. The Ministry has received plans for a new building for Sami college. In addition to higher education, it shall comprise the Nordic Sami Institute, the Sami Archives and the Name Consultant Service for Sami and Finnish City Names. It is also intended that the Sami special-pedagogical centre of gravity within the State Educational Support System and the planned Outreach Centre should be given a place in this common building. The Ministry of Church, Education and Research has assessed the area needs of the establishments subject to the Department and has contacted the Ministry of Culture, the Ministry of Local and Regional Affairs and the Ministry of Foreign Affairs in order to clarify the needs of their enterprises. Once the land-framework has been clarified, State Building will be able to start planning a joint building for the Sami institutions in cooperation with the users. Bringing together the linguistic and scientific activities of the various institutions under the same roof will strengthen and streamline the environment. As you know, there is a need to implement a number of construction projects in the university and higher education sectors. I cannot therefore make a concrete promise as to when Sami University can meet its needs for better premises.
ParlaMint-NO_2001-05-09.ana.ud2047e1892	I thank the Council of State for a full answer and will show that he has probably – like me – received input from Sami environments that the disappointment is great about that St.meld. No 27 does not mention Sámi College in particular. There are a few lines, while the Dairy Committee, on the other hand, had a larger investigation about this. It is against this background that the question is asked, and from what the Council itself calls the message, a quality message, and also a policy message. I am interested in deepening a little bit more what kind of policy the government has, in addition to what has already been said that the Sami college is the only university in the country to take care of these special tasks from the indigenous perspective and thinking. It has to be grounded. I think it is very important that the Stortinget get a clear message about this already now, after such a long time has passed from the Nergård Committee.
ParlaMint-NO_2001-05-09.ana.ud2047e1899	I am pleased that the Stortinget has an engagement with Sami issues in general and, of course, with educational issues. It's not this council that's sorry. But we've chosen to say that we're coming back to some of these questions, among other things. in 2002. It would have been a little unnatural for me to draw conclusions from such work and such a message before we bring it. Among other things, we need to see the Sami teacher training in the context of general teacher training. Sami higher education is important; it does an important job and has a good quality of the work going on there. In the short time it has existed, it has evolved strongly, so we are satisfied with the work done. Of course, we all have a responsibility to facilitate its development, including in the context of other actions and functions that such a joint centre may contain.
ParlaMint-NO_2001-05-09.ana.ud2047e1904	I thank you again for the answer, and I refer to the fact that a committee majority, all except the Advance Party, in the setting of the state budget in autumn, drew up the special focal point function of the Sami college in the field of Sami teacher education. We assumed that it had to have the necessary framework conditions to fulfill this task. It is clear that with poor premises and old framework plans, this is not the recruitment incentive needed to get more people to apply here. And when we also know that there is a great lack of Sami teachers, the situation is quite serious. But now I put my trust that the Council of State will get real speed on this. I have also registered that the Sami college is not on any of the construction plans. Then I ask directly, can the Council of State come up with something more concrete precisely in this area? Can he say that this school is so special that we have to raise it?
ParlaMint-NO_2001-05-09.ana.ud2047e1913	When you look at the lists of barley, there are a lot of projects that I would like to raise and say were very special constructions, and this was to be done quickly. We have people in Stavanger who have relatively limited teams, we have people in Eastfold waiting for a co-location of their college, and we have people in Nesna waiting for a new college. I see that the representative Rikvam, from Akershus, is going to ask the next question, and we have a college there waiting for a co-location of a lot of buildings. I think it's going to be natural, when we get a map of this area needs and get an overview of it, see which businesses are going to gather and get a plan from Statsbyggen and the other departments, that we put such a building on the priority list. Where it comes from, I don't know, we'll see about that. This is one of the many businesses that need to be included in such a list, which we have to assess in each year's budget. I assume that the representative Tingelstad hopes that this Council of State will be able to speed up this work in the years to come.
ParlaMint-NO_2001-05-09.ana.ud2047e1925	I have the following questions for the Minister of Church, Education and Research: «NOU 1999:33, Useful lessons, proposed to abolish today's system of so-called primary professional depreciation. St.meld. No 27 for 2000-2001 does not mention this depreciation, but the scheme is not included in the table comparing the current scheme with the Government’s proposal for a study finance scheme. [[page 71]] Will the Council of State continue the main discipline depreciation scheme for ten semesters or more?’
ParlaMint-NO_2001-05-09.ana.ud2047e1934	At the end of the 1980s, there was some concern about recruitment to certain higher education majors in Norway. With effect from the school year 1989-90, a partial cancellation scheme was established for borrowers who had completed certain main subjects. As the representative of Rikvam says, it is recommended in NOU 1999:33, useful lessons, that the remission scheme should be abolished. It was pointed out that, with the exception of certain subjects, the recruitment to the main subject is no longer a problem. I have not followed up this recommendation in St.meld. No 27, Do your duty – Need your right, the quality reform. I would like to draw attention to the very strong commitment to the study funding proposed in St.meld. No 27. With a shorter degree structure in the future where students have a very good scholarship throughout the course of their studies, fewer will come up in the higher levels of the depreciation scheme. It may have some economic consequences that can help to strengthen student funding in general. We do not have any concrete plans to remove the primary degree degree, but I would like to point out that this is not a major degree degree, it is a long-term depreciation where you have a graduation from ten semesters or more. It is clear that, in the future, we need to look at all the schemes and see what works best in terms of stimulating students to take the studies they are asking for, if you have a lack of longer types of studies, etc., which was the motivation for this scheme. There are currently no such concrete plans to change the primary depreciation scheme.
ParlaMint-NO_2001-05-09.ana.ud2047e1945	I thank you for your answer. It was a good answer from my point of view. This means that today's system will continue after we have treated St.meld. No 27, if the Storting then decides otherwise – that's of course the assumption. The current system is such that one for ten semesters will receive a depreciation of NOK 22 000. If you have a 13 vacations, you get a depreciation of approx. NOK 53 000. This has been an important recruitment measure to get students to take longer education. I'm quite convinced, although I don't have data and the facts about it, that this has helped recruit people for primary education. The signal that the Council of State is now giving is fairly clear and fairly unambiguous: this system will continue unless the Storting decides otherwise, which I am counting on the Storing not to do. This is an important signal for the future students.
ParlaMint-NO_2001-05-09.ana.ud2047e1952	The representative Reikvam points to a very important point: it is the Storting that now has this Storing message for treatment. The government has proposed a historic increase in study funding, the biggest promise in the history of study funding, where the cost standard will go up from NOK 67 000 to NOK 80 000. This is the most important element of student funding: how much do students have to live for while they are students. That's what determines whether the students can be full-time students, or whether they have to spend much of the time that should have been spent in studies, in cash in a store, behind a bartridge or in other part-time jobs. We have also stressed from the Government that this increase must be compensated with scholarships, otherwise the borrowing burden for the students will increase significantly. That's why, as Rikvam says, it's exciting to see what's happening in Stortinget. We know that e.g. The right of the proposal in connection with the Mjøs Committee says that you do not want a grant of more than 30 p.m.
