ParlaMint-NO_2001-11-15.ana.ud687e26	The representative of Ola D. Glötvold will make a private proposal.
ParlaMint-NO_2001-11-15.ana.ud687e909	The fight against terrorism has begun to reap fruit. Diplomatic work has created a political alliance with the support of most of the world's countries. Extensive police cooperation has been put in place to track down terrorist cells and to close down terrorist funding sources. Afghanistan could not remain a protected place for terrorists who planned mass killings of civilians around the world. The military strategy has now begun to produce results. It did not strengthen the Taliban, as some claim, it has led the Taliban forces away from large parts of the country. A lot of people change sides. This has opened new possibilities. Firstly, without the Taliban's iron grip, new supply routes from the north are now being opened for emergency aid, food, medicine and a lot of other people need. The military procedure provides for a strong strengthening of humanitarian efforts. World society must now support and quickly begin the reconstruction of the country. Secondly, the progress and the Taliban’s surrender of the capital Kabul allow the UN to put full force into the work of establishing a new regime, with the participation of all ethnic groups in the country. And the most urgent thing is to put in place forces that can prevent anarchy, revenge and unnecessary violence, for which unfortunately there are strong traditions in this area. Thirdly, it must be a pleasure for everyone to see how the Afghans, after the flight of the Taliban, can live again with greater freedom. One of the world's most women-discriminatory regimes is on the defensive. Girls can go to school again, women can once again have the freedom to go out and go to work. But we must not forget that the Taliban still has control of important parts of Afghanistan. And even though many of the terrorist training camps are destroyed, Osama bin Laden and the top management of al-Qaeda are not yet under arrest. Military action against terrorists and their supporters must therefore continue. But the fight against international terrorism is not only being waged on the battlefield, and not primarily there. It involves a wide range of instruments, including various political, diplomatic, legal and economic initiatives and actions. Important work is being done within international organisations. In the case of the Middle East conflict, on which the chairman of the Committee was involved, this government also has an active involvement. One of the first things I did as Prime Minister was to contact Prime Minister Sharon and President Yasir Arafat. I appealed to them to put an end to violence and terror, to Israel withdrawing from Area A, and to reopen negotiations on a solution to the conflict. A stable solution can only be achieved through negotiations, as Mr Jagland expressed it, and this must include security for Israel and self-determination and a state for the Palestinians, in line with UN decisions. SV's leader, Kristin Halvorsen, said that first, second and third commandments are that we have to think in the long term, and will what we're doing now, in that way help? Yes, we should think in the long term, but we also had to act decisively and fairly quickly just to prevent cruel, long-term effects. SV's options, not to intervene with military actions, could be perceived as a message to bin Laden and other terrorists that the international community does not intervene against their deeds. It could invite you to new acts of terror. At the same time, work on long-term measures needs to be stepped up, inter alia. poverty reduction, respect for human rights, conflict resolution and conflict prevention and dialogue between religious leaders. The fight against international terrorism will not be over with the fall of the Taliban. It will take several years and will require a lot of resources. It's a fight we can't afford to lose. It's about our common future. To win, we have to stand together both nationally and internationally. Without cohesion and common effort, we will not succeed.
ParlaMint-NO_2001-11-15.ana.ud687e931	It's going to be line change.
ParlaMint-NO_2001-11-15.ana.ud687e934	I want to challenge the Prime Minister to express his opinion on that proposal – No. 2 – which SV has promoted to the debate today, and which is actually an initiative of the September Bishops' Meeting to hold a special session in the UN against terrorism. The reason for that proposal is that in a completely different way, countries are obliged both to prepare themselves and to follow-up, and that it is an effective way to get all countries in the world to discuss in depth the contribution they can make in the fight against terrorism. I should have liked the Prime Minister's views on this proposal. The second thing I have on my heart is the question of class bombs. I believe that the statement made by the Prime Minister for the Storting was surprisingly cautious and defensive when it came to following the decision made by the Storing, which is about working internationally for the ban on class bombs. I would like to hear Mr Bondevik's opinion on this as, among other things, Norwegian People's Aid says. They say that tons of U.S. class bombs have been pushed down over Afghanistan over the last few weeks, and many of the areas they have now labored to clear are no longer available or are uncertain about their availability. Norsk Folkehelp's side also denies that there are ‘smart’ or ‘smart’ class bombs. These are bombs that kill both in and after the war. One is now in a situation where one can hope that one can quickly get into a reconstruction phase, where Norway has an important role to play. In what way will the Prime Minister immediately address the question of full stop in the use of class bombs and of available information for mine clearers, so as to know which areas are actually unsafe?
ParlaMint-NO_2001-11-15.ana.ud687e943	As regards SV's proposal No. 2, on a possible special session in the UN in the fight against terrorism, I would like to stress that the ongoing UN General Assembly is very much devoted to this topic because of the current situation. In addition, it is now important to give priority to a rapid follow-up to the Security Council, which has, of course, been faced with the situation. But I do not overlook the fact that a special session such as this proposal advocates may be a useful, complementary framework for the longer-term work in this field. However, it is important that this does not weaken the commitment of nations to a rapid follow-up to the binding and comprehensive decisions of the Security Council on terrorism. I would therefore – although I should not interfere with the work of the Stortingen – have seen it as appropriate if this proposal could be submitted without a substantive bill today. With regard to the follow-up to the Storing Decision to work for a ban on the use of class bombs, the Government will exert full force in that work. We have so far followed a two-part strategy. For the first time and in the short term, in the framework of the negotiations held in Geneva, Norway has worked to bring together an agreement on a ban on the use of class bombs in densely populated areas, on the reduction of the so-called incidence of the blind, and on the establishment of an expert group for a more in-depth discussion of the issue of the use of class bombs, which will promote concrete proposals for further follow-up. In addition, at the next stage of work, which will increase in Geneva in December, we will discuss with allies and other neighbouring countries the possibility of achieving the objective of a general ban on class bombs. I'll also find that natural to deal with the United States. With regard to the situation in Afghanistan, it is important as soon as the acts of war are over, that one also pursues the process of clearing up mines that have remained in Afghanistan, both after previous acts of war and after they are in progress.
ParlaMint-NO_2001-11-15.ana.ud687e954	I am pleased that the Prime Minister does not exclude a special session of the UN General Assembly at a later date. I had probably hoped that he had a little more commitment to it, because such a special session must be prepared very carefully. That work should start now. Then you have from three to five months to implement it. But my question also relates to class bombs. It is such that the International Red Cross Committee is the largest authority in international humanitarian law. The Committee has asked for a break in the use of class bombs until there is a works of agreement in this area, on the one hand regulating the use and, on the other hand, regulating who is responsible for, and how, cleaning is to be carried out. The International Red Cross Committee is very cautious in its opinions. It has e.g. not to decide whether it is wise to bomb or not to bomb in Afghanistan, because it does not wish to interfere with the kind of political debate. But the International Red Cross Committee is quite clear about the requirement for a break in use of class bombs. The Christian People's Party tends to be concerned with the advice of the International Red Cross Committee. In view of the current situation in Afghanistan, they do not appear to be. Class bombs are being used in Afghanistan now, and the government is sitting quietly in relation to it, sailing if one has plans in the long term. So my question to the Prime Minister is: Does the Prime Minister and the Christian People's Party believe that it is possible to maintain an international legal order if we do not comply with the advice of the greatest authority on international humanitarian law?
ParlaMint-NO_2001-11-15.ana.ud687e963	The government has an involvement in the fight against the use of class bombs. There's no doubt about it. The size has made a decision. The government will follow up on that. And since the representative Haga mentioned the Prime Minister's own party, this party – that will be known to the representative Haga – also has an commitment to this issue. Norway's position is clear. It's made known to the United States. This is a United States/British-led action in Afghanistan. We have been made familiar with information provided by the British Government in the House of Commons about this, after being asked to investigate it. I have explained this in the past. When that information was provided, it was said that class bombs were used against five military targets — a training camp for terrorists, four military Taliban positions — and that none of them should have time settings for so-called delayed explosion. But we ourselves want to find out more, and the Government's position is clear in this area: we want to get restrictions and, if possible – in the long term – a ban on class bombs with delayed explosions, which represent some of the same humanitarian problem as anti-personnel mines. That is why the International Red Cross Committee is also responsible for this work, a commitment shared by the Government. That is why we also have a commitment to this in the discussions that are taking place in Geneva.
ParlaMint-NO_2001-11-15.ana.ud687e970	As a new representative, you try to read the staging propositions from perm to perm. You sometimes get some surprises. A piece out in St. Prp. No 1 from the Ministry of Foreign Affairs under the heading ‘International Criminal Court [[ICC]] ‘Since the United States and Japan will not contribute to the International Criminal Court in 2002, Norway’s share of the total budget will be higher than 1 pst.’ What does this tell us about the willingness to participate in building an international legal society? I'm afraid that it's coming into the line in terms of unwillingness to get to an international legal order. We all know well about the International Court of Justice in The Hague, which deals with disputes between states. Albania and the United States are the only two who have been judged against themselves that have not been followed up. Both were convicted for mining at sea, respectively in the Corfu Strait and in Nicaraguan ports. Less well-known – and recognised – is the International Criminal Court, which must have the power to prosecute and judge individuals who have committed genocide, crimes against humanity and war crimes. The International Criminal Court was given its statutes in July 1998 and they are signed by a number of States. For the establishment of the Court of Justice, ratification by at least 60 countries is required. So far, only 47 countries have ratified, but it is estimated that the Court will operate from the next harvest and have seats in The Hague. The establishment of this International Criminal Court is described as a highlight of individual obligations and responsibilities in relation to international law. My question is, what can the Prime Minister do to improve the international legal order and this special criminal court?
ParlaMint-NO_2001-11-15.ana.ud687e984	I agree with the representative Jacobsen on the importance of expanding an international legal order and, in this context, also getting an effective international criminal court. Norway has been involved in this, and so will we. What we will be able to do in this case is to appeal to all the countries of the world to contribute to the financing and construction of the court, and of course to the necessary ratification so that the work of the court comes to fruition. We will be able to do this both at the political level and at the diplomatic level through the channels we are in this way. Norway has always been a supporter of the establishment of an international legal order, and the intentions referred to here by the representative share the Government.
ParlaMint-NO_2001-11-15.ana.ud687e991	First, I can say that SV is prepared to comply with the Prime Minister's wish to make proposal No. 2 to a transmission proposal. I think maybe the Prime Minister is moving a little slowly forward. But if we don't need help from higher powers to get him up speed, we may need the help of some bishops – so now it would be well-placed so that they can ‘glob’ intensely towards the Prime Minister on this issue. So the question of class bombs. I expect that the situation in Afghanistan is now militaryly such that bombings are about to be closed, and that in relation to the big issue of securing the elementary rights of people and securing people against abuse, it is actually on the ground that it is taking place. But if you can't be sure about it, I would ask the Prime Minister to immediately put an end to the use of class bombs in Afghanistan, because this is a country that has so much been hit by mining from before, that it is 16 pst. which is unavailable. A good miner clears 20 square feet in one day. It's a very laborious work. The other thing I want to ask is that he deals with this with US and British authorities so that you get a very clear overview of where these bombs actually landed. This will facilitate work in relation to the very regrettable clean-up operation that needs to be carried out.
ParlaMint-NO_2001-11-15.ana.ud687e998	Yes, we want to get more information about the use of class bombs during the war in Afghanistan. What's the problem is a so-called delayed explosion, in so far as bombs are used by a category that works that way, and that's what we want to work for an international ban on. I agree with the representative of Halvorsen that it is important now that, hopefully, the war acts do not end for too long, to get information about where there might be such bombs, so that you can get a quick clean-up and harmlessness of them. In terms of mine clearance, I myself, the last time I was prime minister, visited a few projects, such as: Norwegian People's Aid affordable is engaged in. Therefore, I know a little about how difficult this work is. I share Mr. Halvorsen's commitment to having restrictions on and in the long term bans on the use of the type of weapon that remains on the ground, which can explode and damage innocent civilians long after the acts of war are over. I'm also going to prepare that attitude for the U.S. authorities when I plan to travel to the United States in the first week of December.
ParlaMint-NO_2001-11-15.ana.ud687e1005	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2001-11-15.ana.ud687e1010	There is full agreement on combating all terrorism, and no one has forgotten 11 September. Nevertheless, half of the Norwegian people are opposed to the bomb war. I think it was very wrong to start bombing against Afghanistan. This conflict is not between states, but it is between the international community and a network of terrorists that are located in many places. The bomb war strikes innocent people, it has created fear, it chases hundreds of thousands of refugees – many have been killed, others have become homeless and homeless, and the infrastructure of a country is badly damaged. I fear that this only leads to an increase in hatred and a greater basis for increased terrorism, and that we can get a spiral of terrorism that terrorists want. And one of the leaders of them is still not caught. I heard the Prime Minister say that humanitarian aid has increased sharply since the bombing started. Measuring the humanitarian situation in the number of tonnes of food consumed above the border is like producing billions of profits to the richest in Norway as a targeted uplift for the poorest. Auxiliary organisations have given a different image. The situation has become dramatically worse for hundreds of thousands, they say. We should have learned from the other wars in which Norway has participated or supported, and we should have received a report to the Stortinget on the results in relation to the goals set. The Gulf War has caused enormous damage, hundreds of thousands of innocent people killed. The Bosnian War and the Kosovo War hit very many other people than the evil leaders. Ethnic cleansing, major refugee problems, and more hate were the results. Reconstruction in this country is slow. The will to bomb is greatest. Finally, let me remind you of the Tampa refugees, 432 Afghans fleeing from a country where they don't dare be. Everyone condemned Australia that wouldn't help. It was the most prosperous who managed to escape. No one, fortunately, asked if one or ten of them supported the Taliban. Had they not been able to escape, perhaps some of them would have been soldiers, voluntarily or under compulsion, and could have been lying in the wallbreaking today and being counted as enemies of us. To me too, the lives of the common soldiers are valuable. Then I heard Thorvald Stoltenberg on TV when his book was launched. He told about his doubt and went far in saying that he had difficulty pointing to one modern war in our neighbourhood that had been worth the price. He mentioned the Kosovo war in particular. It was good to hear about that doubt. It is a pity it is not heard in the statement from the Government and in the posts after which there has been a change of lines after today.
ParlaMint-NO_2001-11-15.ana.ud687e1026	I would like to join in all the praise that the Prime Minister has received for a very good, thorough and nuanced presentation. It addresses the facts of the case, the dilemma and the challenges of the case, and concludes with the necessary action required of political leadership. Everything now suggests that the military action has had its intended effect, and that this was necessary to deprive bin Laden of his operational capability and protection. The hunt for putting him and his network in charge will continue. I agree with those who said earlier in the debate that without the military attacks, bin Laden's infrastructure and support would have been intact, with the result that we had received possible new actions. It is also a fact that in many years there has not been as much humanitarian aid to Afghanistan as it is now, and it has happened in parallel with the military attacks. The collapse of the Taliban regime, at least in large parts of the country, also offers opportunities to distribute humanitarian aid much easier. As the representative Oddvard Nilsen pointed out, the ongoing war on terrorism is a battle on a broad front with a broad range of instruments. Now, hopefully, the main focus will shift from military action to humanitarian and political action. That's what can build and create lasting solutions. The international community has supported the removal of the Taliban as the protectors of terrorism and thus also oppressors of its own people. Then the international community must also take responsibility for the fact that the Afghan people have a better future and do not enter into new oppression, new wars and internal unrest. The UN is prepared to do so and has Norway's full support in the work of a peaceful Afghanistan based on respect for human rights and for democracy. The battlefield cannot be left to random new rulers without broad legitimacy in the people. The freedom Afghan women experience today, must be the beginning, not just a little bluff. The basis for this appears to have been laid, but there is a need to get control of the situation. The fight against terrorism has not won at all, and it will continue on many fronts and for many years. It was necessary after 11 September to bring together an international front to take the fight with a completely different seriousness than before, with all the dilemmas that come with choosing to use the military. But we're talking about a defense fight against forces that can be able to destroy everything we believe in, and everything we fight for. In such a struggle, one cannot be naive, and one cannot free oneself from the unpleasant decisions required by political leadership. The left is satisfied with the way the Government and the Prime Minister have handled this. Norway is part of the solidarity front against terrorism, and not outside. We hope that the military part of the struggle will be over as soon as possible, and that we can continue to focus on peace, trust, freedom, democracy and the inviolability of human rights and on combating poverty and injustice in all countries. It is the most important and best way to prevent new acts of terrorism.
ParlaMint-NO_2001-11-15.ana.ud687e1041	I have to say that both the previous and the current government have contributed disappointingly little information that has allowed people to assess the situation in Afghanistan in a balanced way. We do not believe in the information that the United States and the United Kingdom choose to go out with at any time, whether it is the safety of bombs, the type of bombs or the agenda of the North Alliance. I can refer you to Dagbladet's interview with the spokesperson for Fairness and Accuracy In Reporting yesterday or what we have learned afterwards about how the American propaganda apparatus worked during the Gulf War. We are many who have questioned the Norwegian Government's willingness to collect balanced information, or to what extent one has at all been critical of American considerations in the course of this war. I wonder if it's ever taken steps to know what kind of bombs are being used in Afghanistan. I never heard that such a problem was raised from the Norwegian Government, or that ever Norwegian demand was made, for example. had to avoid class bombs. As far as I know, both the Workers' Party, the Christian People's Party and the Left have voted that we should work for an international ban on these types of bombs. I also wonder that no one, as far as I know, from the official Norwegian team has questioned that we have allied ourselves with obvious dictatorship states and countries that systematically violate human rights. I have little faith that during this process some demands have been made that e.g. Saudi Arabia must change its policy towards the civilian population or towards Saudi women. For SV, it is essential that human rights do not become relative rights, depending on who you want to cooperate with at all times. Finally, I would like to say that I have in particular wondered about the rapid connection to the bombing strategy that was gradually being pursued. Have alternative solutions been considered at all? Have you been interested in evaluating alternative solutions? I ask because I have never heard high-ranking people make assessments in that direction, other than dismissing the possibility that they exist. What we now see happening in Afghanistan, I would strongly warn against taking income because the strategy you have chosen has worked out. It is very important that a person should be informed as soon as possible that human rights violations have consequences. It is very important to find out how to behave if anarchy breaks out and how to deal with uprisings during the fixed month Ramadan. And we must not take for granted that the agenda of the North Alliance is the same as that of the West. In the SV's view, the best weapons against terrorism are the opposite of terrorists' own, namely human rights, development and democracy. No one has so far been able to convince me that the bombing strategy is a ludicrous strategy, the aim of which is to combat terrorism wherever it might arise.
ParlaMint-NO_2001-11-15.ana.ud687e1054	The Peace Prize winner Elie Wiesel has previously described indifference as one of mankind's foremost enemies. Today, there is once again reason to stress how important it is that indifference does not control our lives and attitudes. We don't have to care about the passengers on Flight 11 from Boston, we don't have to care about the thousands of employees at the World Trade Center in New York, and we don't have to care about hundreds of fire and rescue teams who had to give their lives in the work to save others. And we must not be indifferent to the terror as the being. Part of the debate here at home shows that we both have bad memory, and that we don't care about the true face of terror and evil. It's at the same time only a little over 60 years since evil also showed its true face. Then the evil had borne. Today it's got a motherfucking baby. The free world then took a settlement with the evil, a settlement we in the free world today can reap the benefits of. And then there were many who showed indifference and understanding of the theories and evil. "Peace in our hour," it sounded so tempting, while you could hear the sound of Hitler's marching soldiers and advancing tanks. Fortunately, indifference did not prevail. We wanted to be free people. But it cost enormous sacrifices in death and mutilation. However, they died for our freedom. Today, freedom is again threatened. A broad coalition stands up for freedom from terror and oppression. Fortunately, almost all political Norway has stood up to defend freedom. The indifference has, with a few exceptions, not rooted. I should therefore like to commend Prime Minister Bondevik for his good report. It was comprehensive, structured and unreasonable. Indifference has not been given root. That is why it is important that we now stand together in political Norway at the time. Today, it is the military instruments that are in focus. In parallel with this, there is also a wide range of work in other fields. The fight against terror and evil also looked difficult after the defeat of Dunkerque. It could be tempting to give up, the time that now. We're not going to give up. Indifference shall not win. Of course, those who cry out at home about bombing are going to be allowed to do so in a free and democratic social system. That's what we're defending! However, the height of the fall may become high for some when, in some cases, we will have a rational and objective debate on the Norwegian attitude to the fight against terrorism.
ParlaMint-NO_2001-11-15.ana.ud687e1065	At the SV initiative, the Stortinget took our decision to ask the Government to provide active support for international work that could lead to a ban on class bombs. It was joyous. However, it is less gratifying that we in SV now need to call for the executive power of the Christian People's Party, who are involved in adopting requests that they do not follow up sufficiently when they come into government. This applies not least to the use of class bombs in Afghanistan and to demonstrating active resistance to this use. Kjell Magne Bondevik said in his presentation, among others. ‘the use of class bombs in Afghanistan has, according to our information, been limited and aimed at clearly identified military objectives.’ This is not consistent with reality. According to Human Rights Watch, class bombs were used on five occasions during the first week of Afghanistan. Furthermore, a U.N. spokesman said on October 22 that class bombs had hit a village near the Palatinate, and that nine had been killed and 14 injured. What's happened after this, we don't know. The class bombs used in Afghanistan are of the same type as those used in Kosovo. A bomb contains a few hundred small bombs scattered over large areas. The bombs have three functions: they're armor-breaking, they're bursting into a lot of small parts that can damage people in the wide perimeter, and they're also fire bombs. There are many different types of class bombs. But a common feature for them all is that they contain between 5 and 15 pst. blind gangsters. That's not the only problem with the class bombs. First, the class bombs have poor precision; second, the small bombs that do not explode immediately pose a high safety risk because they are so unstable that they go off at the slightest touch. The clearing of the class bombs is also an extremely difficult challenge. They may not be mechanically cleaned or by means of dogs or metal detectors. As we understand, there are good reasons to get rid of this kind of weapon. The International Red Cross Committee has drawn up a thorough outline of the content of a ban on class bombs. This has been done in advance of the meeting on the Conventional Arms Agreement to be held in December. The Socialist Left Party expects the Government to go out offensively in connection with this meeting and to follow up the clear decision of the Storting. In the opinion of the SV, Norway should play a leading role with the International Red Cross and international forums in this work, in line with the best of our humanitarian traditions.
ParlaMint-NO_2001-11-15.ana.ud687e1076	11 September will be remembered as the day when the world woke up in relation to international terrorism. Never before have we so clearly seen the threat in this term. In the Western world, until September 11th, we have believed that we would not be able to experience events like this. The spontaneous reaction to this terrible attack on human dignity was disbelief and dismay. It was at this moment that a new and unique situation arose: a global alliance was formed against terror. The UN Security Council unanimously adopted Resolution 1368 the day after the attack. NATO gave unequivocal support to the United States and condemned the terrorist attacks. The attacks led to the entry into force of Article 5. The Norwegian Government acted resolutely and neatly in this situation and has the full support of the Advance Party for its line. In a situation where it is recognised that the attacks targeting the United States have been an attack on the entire alliance, we have to stand together. It is therefore very unfortunate that Norwegian policy situations arise where Norway is being questioned whether or not it supports the fight against terrorism. Any matter that contributes to such doubt serves the terrorists. In the future, Norway will have to demonstrate loyalty and initiative in its relationship with NATO. The United States is in a special position in this situation. They have linked alliances across former ideological and religious divisions, and deserve honor for this. We are now facing a new threat picture which is less concrete in the sense that it is not linked to a geographical limitation. In meeting this threat, it is important to actively participate in the design of NATO internal policies in this area. Norway must also take an active part in this debate in the UN Security Council. Nationally, we must also take inward this threat. It's through action, and not just through debates, we can meet this and other threats. Defence and police must be provided with funds and trained to prevent and combat situations that may arise as a result of terrorism. A war against terror will take time and require great resources. We must not get into the situation that politicians in this country are now questioning the will and ability to face this kind of threat. To preserve our way of life, it is essential to show the will to protect it, and thus the will and ability to combat the forces that want to break down our democratic, free and open societies.
ParlaMint-NO_2001-11-15.ana.ud687e1091	The terrorist attacks in the United States on 11 September were horrendous acts, and there is every reason that the whole world is united in taking complete distance from them. There are actions that scare us, and that make us all feel the need to defend ourselves against that kind of terrorist act. But – and this is an important but – it is not the first time we see, around the world, that terrorists are under attack and that the civilian population is hit. It's happened over and over again. Unfortunately, the Western world has often failed to react, despite the fact that genocide has occurred in a number of countries, as experienced in Cambodia — or the use of napalm in Vietnam in relation to the population, or a number of acts of terror have been reported in the Middle East. And what we are seeing over and over again is that the freedom fighter of one country is the terrorist of another country. What we really have to take care of is to wear some kind of glasses that make us accept some kind of action that affects the civilian population, while we don't do it if we notice that we ourselves, as part of the Western world, can be threatened. In many ways, the new thing about the threat picture is that it is noted that the United States and the civilian population in the United States can also be victims of terrorist attacks. The new is not a terrorist attack, it is that the civilian population in our part of the world is completely different from before. And it surprises me that so few of those who speak in this debate today are concerned about the passivity the West has shown in other countries that have been hit, how self-centered we are in our defence of our own culture, and how little analysts become as to the causes of that kind of terrorist activity. Menachem Begin, for example, took part in terrorist activities in 1946 when he was involved in a bombing attack on a hotel in Jerusalem. He's later been awarded the Peace Prize. There are many of these examples. That's why you have to somehow figure out what it is that creates acts of terrorism, and how we can prevent it from happening again. There has been the whole message that SV has given here today, and as far as I see, none of the other parties are willing to go into it. If the consequence of what we are doing now in Afghanistan is that the terrorist image is further reinforced, how can the majority in this Chamber defend it? We see in the United States that the democrats now go out and strongly oppose the changes in laws that Bush has initiated. I have not heard anyone from the other parties who has warned against it here today. What could happen when we in Norway become a bigger defender of a republican president in the United States than his own party traps and opponents of opinion in the United States? This must give cause for concern for others other than SV. It surprises me that it should not be possible to hold a debate in this Chamber where the consequences of the acts of war are problem-solving without being suspected of being the defenders of the terrorists.
ParlaMint-NO_2001-11-15.ana.ud687e1102	I believe that the debate today has shown that there is a very broad consensus on the policy we have pursued after 11 September. I am pleased that the debate has also shown that much will be focused on what needs to be done further. In the case of emergency relief work, in the case of reconstruction in Afghanistan, and in the case of long-term policy solutions which must also include how to prevent further development of terrorism. The last thing I want to do is to elaborate a little bit more. I see in an article by Gerald F. Seib in The Wall Street Journal from yesterday a reference to one in Afghanistan now having a population of 42 pst. is under 14 years of age. In Pakistan, it's 40 pst. who is under 14 years of age, and in Palestine actually 45 pst. A majority of the population in these countries are therefore children and young people. It goes without saying that if you in that age group don't get enough food and don't get school, you're vulnerable and are easily attracted to extreme groups. I think this is a relationship that one has to take inwards, that in these countries there is reason to focus a lot on a whole new and young generation that represents the main weight of the population of the countries. If they are not satisfied with primary needs such as people and citizens, not being educated and not having a vision to live for, they are also getting an ever-increasing recruitment to the environments we want to combat, which recruit for terrorism. In this context, I believe that it is essential in the work that must be done with regard to these countries to show respect for their peculiarity and culture, as a basis for gaining the confidence of the people – especially of the young generation that is growing up – that they be respected by the country and culture of the West and that they can cooperate with us. In any subsequent follow-up work from the United Nations, if it had to become a separate session at a later stage, I think this is a relationship that one should take inwards and elaborate further.
ParlaMint-NO_2001-11-15.ana.ud687e1117	I agree with what Mr Ballo said, that it is difficult to be consistent in foreign policy. But the fact that we have been passive in some conflicts in the past cannot be used as an argument for being passive in this situation as well. The terrorist act of 11 September is quite unique. It is clearly different from many other acts of terrorism by the fact that it was initiated by a powerful network that we have hardly seen in mind. The Al-Qaida network has enormous resources. They're protected by a regime that's shot at power, and that's one of the most brutal things we've ever seen. The goal is to kill as many civilians as possible. On September 11th, Osama bin Laden was actually the fourth time. During this debate, we have not been told what Kristin Halvorsen's alternative is, and what it might involve. If Kristin Halvorsen had been a member of the Government, let's say Secretary of State, she must have thought through the consequences of what she is proposing and going in for. She mentions that the option is diplomacy and talks with the Taliban, but it has actually been tried for several years, without it having gone on. Would Norway be the only country in the world to break out of this broad alliance? We see that countries like Iran and Libya are now being burdened and broken with the West and the United States, and then Norway should be the only country that breaks out and will not join in the joint military actions? The representative Halvorsen said in a reply that she could not understand that I was not at all concerned with long-term solutions. I want to say that I am very concerned about it. The particular situation in Pakistan is worrying. Firstly, the 54-year conflict between India and Pakistan over Kashmir represents the most potentially dangerous conflict in the world because both countries have nuclear weapons. Secondly, Pakistan is now in financial trouble. When they of a government budget of approx. $100 billion spends 70 pst. of it on the payment of interest and repayment of debt, everyone sees it as very problematic. When they use almost the rest of the defense, it's totally unsustainable. It is a dangerous situation, also political, when you have such conditions economically. Therefore, I believe it is important that Norway now assess what can be done multilaterally to improve the debt situation for Pakistan. We also need to step up the assistance considerably. Otherwise we can also experience a dangerous situation in those areas.
ParlaMint-NO_2001-11-15.ana.ud687e1126	We have been asked to choose a page in the last few months – against the terrorists and for the United States. I like to take a stand against terrorism, but the question is whether it necessarily means being for the United States. Is it the case that the United States is fighting terrorism? The world's two leading recipients of American weapons are Colombia and Turkey, closely followed by Israel. What does it say about the United States' fight against terrorism? Colombia is the country that leads the gloomy statistics of being the largest in the number of human rights violations in the 1990s. The U.S. weapons supplies maintain the terror, war, and human rights violations that keep the conflict alive. The arms flow to Turkey increased sharply from 1984. What happened in 1984? Well, that was the year Turkey for real started its war against the Kurds east of the country. What was the result? We got two-three million refugees, ethnic cleansing, tens of thousands of killed, and 3,500 cities and villages were destroyed. Isn't that terror, too? The U.S. got 80 pst. of the weapons the Turks needed. And what about the attacks on the Palestinians? What about the close American allies such as Saudi Arabia, one of the stagings of Amnesty International's lists of human rights violations, a fundamentalist state that executes people by stoning and stoning? The U.S. has made more military interventions in the last century than the very expansive Roman Empire did in several centuries in its time. The victims of US policy have been many. We know that the United States has been willing to support dictators and outlaws if they're just willing to stand on the side of the United States – like Pinochet, like Mobutu and Suharto, and like Osama bin Laden. During the 1980s, the United States built and financed a army of tenants with thousands of Muslim fundamentalists to fight the Soviets in Afghanistan. Out of this, both the Taliban and other fundamentalist groups jumped. On Tuesday, 7,000 people gathered at Youngstorget in Oslo to protest against the war. There were appellants from the Inter-Church Council as well as from the Islamic Council who asked us to think about whether it might be that in the fight against terror one is about to use the methods of terror itself. There's a lot of people who should think about it. And those who are now shoulder to shoulder with the United States, should think extra carefully about it. Is it such that they support the fight against terrorism when there is terror against the United States, but not when the terror is protected and sponsored by the United States? What kind of logic is it in being against the Taliban, but still for the regime in Saudi Arabia, for the regime in Turkey, and for sponsoring the violence in Colombia? That's how the U.S. acts, and we've heard a few judgments of it from the Norwegian team. I wish that Norwegian politicians who are so concerned about supporting President Bush in a thick and thin manner would also start to focus critically on the terror that lives under the protection of the United States itself.
ParlaMint-NO_2001-11-15.ana.ud687e1139	Several have not asked for the floor on case No. 1st@item: inlistbox
ParlaMint-NO_2001-11-15.ana.ud687e1145	Let's go to voting.
ParlaMint-NO_2001-11-15.ana.ud687e1152	During the debate, Kristin Halvorsen has put forward two proposals on behalf of the Socialist Left Party. Proposal No. 2 has been converted into a transmission proposal by the proposer and amended accordingly. The proposal then reads as amended: ‘The Government is advised to work towards the holding of a UN Special Session against Terrorism.’ The President proposes that this proposal be forwarded to the Government without any renunciation. – It shall be deemed to have been adopted. Proposal No. 1, from the Socialist Left Party, addressed to voting. The proposal reads as follows: ‘The Government is asking the Government to take the initiative to stop the acts of war in Afghanistan and to find a political solution that includes a long-term international commitment to humanitarian aid to Afghanistan.’
