ParlaMint-NO_2001-06-07.ana.ud2377e87	The representative, Inger Stolt-Nielsen, will make a private proposal.
ParlaMint-NO_2001-06-07.ana.ud2377e1014	As will be evident from the suspension, there is a broad consensus on the importance of coordinating the resources to contribute to the ‘strengthening of Norwegian food security and the development of Norwegian high-quality competitive agricultural products’, to quote part of the document No. The 8th proposal. However, when the Committee has shared its comments, it is primarily due to the need for a majority to distance themselves from the description of reality made by the proposers initially in the proposal. In our opinion, the negative description of today's agricultural production and food industry by the proposers is not covered. It's e.g. no basis for claiming that the focus that has been on price and volume has given us poorer product quality, and that recent years’ development has weakened the guarantee that the food we eat is clean and safe – not at all the last. In my opinion, the various actors in the industry have always been concerned with producing safe food. It's not that strange either, because it's basically about the entire industry's future. Several studies have also shown that Norwegian consumers have high confidence in the food produced in Norway. Yes, there is already a basis for highlighting Norway as a priority country for clean and safe quality food. Nor can I see that the agricultural report presented by the Bondevik Government, which was discussed a year ago by the Stortinget, provides the basis for the conclusions of the proposers. I therefore rather believe that the introduction of the proposalers must be seen as an accident at work. Therefore, the comments of the majority are relatively mild, both in form and content. That the Left found that there was a basis for a special comment, I find natural. As indicated in the submission, an overall committee has not found the basis for asking the Government to propose to improve the coordination of resources, such as Document No. The 8's add up. On this occasion, I will refer in particular to the letter from the Department of 10 May of this year to the Committee. Here the department shows, among other things: to the value creation programme, the main purpose of which is to contribute to higher value creation both in primary production and processing. The Government considers that the instrument should have a common understanding and strategy on how to make Norwegian agricultural production more competitive. The starting point will be a differentiated market strategy, one of which has its main competitive advantage in Norwegian food safety, distinctiveness and high quality. The Ministry concludes that coordination of resources will be one of the areas that will be continuously assessed in the context of the further development of a more competitive Norwegian food production. The majority of the Committee, all with the exception of the representative from the Left, points out that the value creation programme will be able to respond satisfactorily to the wish of the proposers for a new coordination programme. This programme also aims to identify and remove bottlenecks in the system, thereby helping to ensure that rigid legislation does not prevent the start-up of small-scale food production. – Here I would like to draw attention to the fact that the word ‘not’ has fallen out of the setting for some strange reason. The small word is essential in this context. The majority share the views of the proposers on the need to facilitate increased niche production and agree that there is a high potential for cooperation where local producers can further process local raw materials. It is therefore important, of course, that public policy does not prevent, but helps to promote, this type of production. Finally, I would like to point out that the Committee asks the Government to inform the Government in an appropriate way about the progress of its work in this area.
ParlaMint-NO_2001-06-07.ana.ud2377e1038	We have had several issues in the committee where we have actually affected this area – value creation in food, niche production, etc. It is a comprehensive work ahead of us. I'll show you that in connection with Ot.prp. No 85 has actually given a huge mission to the ministry, and it's exciting to see what can come out of it. But if we compare ourselves to France, there are 20 pst. of the foods are niche products, we are basically very poor. A great deal of effort is required to get a good track in this area. The cooperative organisations say that they have some products that can come under the new brand scheme – which we will talk about in another case. Two or three types of cheeses and a few liquid dairy products may be considered relevant. About the same is the situation in the meat sector. However, there is reason to believe that the labelling system can be an incentive to re-invent products that have lost some of their identity through standardisation, so that the number of products can increase over time. And if the effort to build up a labelling system for agricultural products based on geographical origin, tradition and peculiarity is to succeed, financial resources must be made available. This is a common practice in all countries, and it is in line with the WTO rules on aid limitation that public funds should be used to initiate such work. We feel that we have affected this in a lot of cases, and are now awaiting the work of the Government. I also show that similar comments have been made in connection with the reindeer notification. I think we should have a regulation in Norway that makes dry fish legal to sell, and that dried reindeer meat is legal to sell. It is the quality of the final product that must be decisive and we must not be overly demanding in relation to the processing process.
ParlaMint-NO_2001-06-07.ana.ud2377e1051	Proposals focus on an important theme in the food sector: the development of competitive high-quality food and the pooling of resources to achieve this. We are in the middle of a debate on food prices and margin surveys to prevent the planned halving of food tax on 1 July from benefiting consumers in the form of lower food prices. However, what is important to establish in this context is that Norwegian agriculture cannot be the cheapest in the world. But Norwegian agriculture can create greater values than today. A good many Norwegian consumers are willing to pay more for the right products according to their own preferences. The niche market is already a significant market in growth, and it is not least a more robust market. We experience a trend in which consumers increasingly demand high-quality raw materials, like specialities, the original and the surprising. To succeed in developing Norwegian farm food and Norwegian specialities – really bet on niches – a heavy and long-term, targeted effort is needed. In the examination of the agricultural notification, there was broad agreement to establish an own value creation programme for Norwegian agriculture, a major alliance for Norwegian food, involving key actors in agriculture and the food industry. Competition strategies for Norwegian food are included in this programme. With the efforts made, there should be good opportunities for increased production of high-quality competitive foods. It involves higher value creation both in primary production and processing as part of strengthening Norwegian food production. Coordination and organisation for, inter alia: achieving synergies will be at the heart of the value creation programme. The government is required to inform the Storting about the development. The Party considers that the considerations sought by the proposers are adequately taken into account in the work in progress towards the development of competitive quality foods. We therefore do not see it as desirable or appropriate to make further proposals on this matter now.
ParlaMint-NO_2001-06-07.ana.ud2377e1064	Food safety and high-quality agricultural products have rightly received increased focus in recent years. Increased demand has been recorded by consumers for high-quality, safe and distinctive products. This demand will increase provided that the right grips and initiatives are taken. The food placed on the market in Norway shall be safe. The demand for ever cheaper food must not be met at the expense of safe food produced in an environmentally and sustainable way. This also includes strict requirements for animal welfare. Both traditional agriculture and organic farming must, of course, meet these requirements. Animal diseases in a number of countries on the continent have led to a shift of focus in agricultural policy from the lowest price to the healthiest and good food that consumers can rely on. This should also be a reminder for Norwegian agricultural policy, with the consequence that the focus on the cheapest food should be somewhat reduced. A strong focus on the cheapest food is difficult to combine with the production of high-quality, healthy food and good animal health. We have a good food security situation in Norwegian agriculture today, and we need to facilitate and take care of it and ensure it in the future as well. The somewhat negative description contained by the proposers in their introduction can be interpreted in different ways, but there is probably more to be seen than a description of the current situation. A good measure for which there are high expectations is the value creation programme. This shall contribute and contribute to the development of high-quality specialised food for sale in markets with a high level of willingness to pay, which contribute to the increased value creation of primary producers. I am pleased that the majority in the Committee agrees with the rapporteurs that increased niche production is important, that policies must promote such production, and that cooperation between research and development institutions and agriculture' own businesses is important. In this context, good coordination of resources earmarked for the development of competitive agricultural products, Norwegian food culture and food security is also important. The majority agree that coordination of the resources of the different actors is important. The rapporteurs are very pleased with this. The majority also ask the Government to inform the Storting in an appropriate way about progress in coordination, and I am confident that this will be done in a good way, as a real basis for discussion in these cases. As a result, the intentions of the proposal have been respected. Finally, I allow myself to promote the minority proposal in the vote and ask for support for it. After I have registered a signal to me, SV will also support the proposal. Several are welcome after.
ParlaMint-NO_2001-06-07.ana.ud2377e1081	The representative of Kongshaug has taken up the proposal he referred to.
ParlaMint-NO_2001-06-07.ana.ud2377e1084	In the proposal of representatives Terje Johansen and Leif Helge Kongshaug, there is a critical light on the development of Norwegian food culture, and it is claimed that the focus on price and volume has led to a weakening of Norwegian food culture and poorer product quality. I do not agree with this description, nor can I see that there is a basis for saying that developments in recent years have weakened the guarantee that the food we eat is clean and safe. On the contrary, I would argue that Norway is a leading country in terms of clean and safe quality food. I am pleased to note that the majority of the Business Committee shares my view on this. When the proposers call for a new programme to help develop Norwegian competitive agricultural products with a distinctive and high quality, I would point out that this is exactly what the Government has done. The Norwegian food production value added programme was established at the turn of the year and the main objective of the programme is to contribute to higher value creation both in primary production and processing by making better use of market opportunities. The main strategy of the first phase of the programme is as follows: ‘The Valuation Programme shall facilitate primary producers and food businesses developing high-quality specialised food for sale in high-payability markets and contributing to increased value creation for primary producers.’;» At the time of the establishment of the Norwegian food production value added programme, the Norwegian food competition strategy programmes/activators were also part of this programme. Competition strategies shall be adapted to the strategy of the value creation programme and an evaluation of the competition strategies prior to the agricultural negotiations in 2002. With this effort, the Government considers that the instrument should have a common understanding and strategy on how Norwegian agricultural production can be made more competitive on the basis of a differentiated market strategy. The establishment of the value creation programme and the coordination with the competition strategies should contribute to positive synergies, and some of them are continuously assessed in the context of the further development of a more competitive Norwegian agricultural production. I note that the majority of the Business Committee agrees with this, and the Government will inform the Storting in an appropriate way about progress in the further work.
ParlaMint-NO_2001-06-07.ana.ud2377e1098	Several have not asked for the floor on case No. 10th@item: inlistbox [[See page 3488]]
ParlaMint-NO_2001-06-07.ana.ud2377e1113	No one has asked for the floor. [[See page 3489]]
ParlaMint-NO_2001-06-07.ana.ud2377e1126	Then we're ready for voting.
ParlaMint-NO_2001-06-07.ana.ud2377e1133	During the debate, nine proposals have been put forward. It's: proposal No 1, by Brother Yngve Rahm on behalf of the Christian People's Party, the Right, the Center Party, the Socialist Left Party and the Left Proposals No. 2–5, by Brother Yngve Rahm on behalf of the Christian People's Party, the Central Party, the Socialist Left Party and the Left Proposals No. 6-9, by Olav Gunnar Ballo, on behalf of the Socialist Left Party
ParlaMint-NO_2001-06-07.ana.ud2377e1146	In the light of the debate we have now had, and what the Council of State Siri Bjerke has expressed in relation to proposal No. 1. that this will be carried out in line with the text and intention of the proposal, we will request that this proposal be converted into a transmission proposal.
ParlaMint-NO_2001-06-07.ana.ud2377e1151	The President will allow himself to ask if it was not possible to draw it. In reality, the same treatment is the same.
ParlaMint-NO_2001-06-07.ana.ud2377e1154	We're not subtracting it.
ParlaMint-NO_2001-06-07.ana.ud2377e1159	I just need to notify the vote from the Coastal Party. We shall vote in favour of proposal No. 1 against proposal No 2 against proposal No 3 for proposal No 4 and against proposal No. 5th@item: inlistbox
ParlaMint-NO_2001-06-07.ana.ud2377e1166	Then we first take up proposal No. 1, from the Christian People's Party, the Right, the Center Party, the Socialist Left Party and the Left, which have been converted into a transmission proposal. The proposal is amended as follows: ‘It is recommended that the Government follow-up of the decision of the Storting in the Innst. S. No 256 on the establishment of a cultural memory fund in the context of the 2002 State budget.’.» [[1999 - 2000]] The President proposes that the proposal be forwarded to the Government without a motion for a resolution. – It shall be deemed to have been adopted. Proposals Nos. 6, 7, 8 and 9, from the Socialist Left Party, is addressed to voting. Proposal No. 6 sounds: ‘The Government asks the Government to propose a ban on the use of chromium, copper and arsenic in the impregnation of wood, at the latest in the 2002 budget.’ Proposal No. 7 sounds: ‘The Government requests the amendment of the first national targets for waste management to read as follows: the development of generated quantities of waste shall be significantly lower than economic growth and not exceed the level in 2002.’» Proposal No. 8 sounds: ‘The Norwegian greenhouse gas emissions shall not be more than 1 per cent higher in 2012 than they were in 1990.’ Proposal No. 9 sounds: ‘The Government asks the Government to make proposals on how to phase out the operation of the Halden reactor, with measures on how to replace the disappearing workplaces by other industrial activities.’
ParlaMint-NO_2001-06-07.ana.ud2377e1205	Proposals Nos. 2, 3 and 5, from the Christian People's Party, the Central Party, the Socialist Left Party and the Left, are addressed to voting. Proposal No. 2 sounds: ‘The Government is asking the Government to draw up protection plans to ensure our maritime resources and to ensure their sustainable management.’ Proposal No. 3 sounds: ‘The Government asks the Government to propose measures to address the 50 pst national target. reduction of nitrogen emissions, by 2005, from 1985, can be achieved, at the latest in the 2003 budget, or in the next state of the state of the kingdom.’.» Proposal No. 5 sounds: ‘The Government requests the Government to submit a proposal for ratification of the Kyoto Protocol as soon as possible after the conclusion of the 6th Conference of the Parties in Bonn, Germany.’ [[COP 6]]
ParlaMint-NO_2001-06-07.ana.ud2377e1231	Proposal No. 4, from the Christian People's Party, the Central Party, the Socialist Left Party, and the Left, are addressed to voting. The proposal reads as follows: ‘The Government asks the Government to assess marine protected areas in areas where the petroleum activity is likely to conflict with fisheries and environmental interests, and to propose such areas in the next major communication on the Government’s environmental protection policy and the state of the state of the state.’
ParlaMint-NO_2001-06-07.ana.ud2377e1253	The President is a little uncertain about what the Socialist Left and Left want to do about the setting. Is there any wish to vote against? At least the President has made it clear that there is a possible option.
ParlaMint-NO_2001-06-07.ana.ud2377e1265	I voted wrong. I should have voted in favour of the setting.
ParlaMint-NO_2001-06-07.ana.ud2377e1270	Then 94 votes were cast for the setting and 12 votes against the setting.
ParlaMint-NO_2001-06-07.ana.ud2377e1282	Here the Workers' Party has announced that they want to vote against it.
ParlaMint-NO_2001-06-07.ana.ud2377e1302	Here the Progress Party and the Right have announced that they will vote against it.
ParlaMint-NO_2001-06-07.ana.ud2377e1340	Here the Workers' Party has announced that they will vote against it.
ParlaMint-NO_2001-06-07.ana.ud2377e1400	During the debate, Mr Korsberg put forward a proposal on behalf of the Right and the Progressive Party. The proposal reads as follows: «By the end of 2001, the Government asks the Government to submit proposals for time-limits fora) State bodies’ objections to general and regulatory plans andb) the duration of the treatment of private regulatory plans by municipalities.»
ParlaMint-NO_2001-06-07.ana.ud2377e1434	There is a vote on the proposal of Mr Hilde Frafjord Johnson on behalf of the Christian People's Party, the Central Party, the Socialist Left Party and the Left sent by Mr Odelstinget's meeting on 30 May 2001: ‘The Government asks the Government to review the Energy Act and to promote any legislative changes to ensure that more energy sources can be seen in the context and that account is taken of the development of new renewable energy sources, the development of waterborne heat, etc.’.
ParlaMint-NO_2001-06-07.ana.ud2377e1451	There is a vote on the proposal by Mr Hilde Frafjord Johnson, on behalf of the Christian People's Party, the Centre Party and the Left, transmitted from the Odelstinget meeting on 30 May 2001: ‘The Government is asked, in the context of the review of the Energy Act, to submit proposals for the adjustment of the Energy Act’s objective paragraph where environmental considerations and energy efficiency are better and more specifically covered.’
ParlaMint-NO_2001-06-07.ana.ud2377e1468	There is a vote on the proposal by Mr Hilde Frafjord Johnson on behalf of the Christian People's Party and the Left from the meeting of Mr Odelstinget on 30 May 2001: «The Government asks the Government in the regulation of the Energy Act § 3-4 nr. 5 cf. § 7-6 sets out clear requirements for safe and appropriate operation, as well as adequate competence in the context of the removal of operations. Such requirements should be strict in order not to create uncertainties about operational safety, maintenance and preparedness.»
ParlaMint-NO_2001-06-07.ana.ud2377e1474	Since this proposal has in fact fallen due to the vote of the Labour Party and the Socialist Left, the proposal can be withdrawn.
ParlaMint-NO_2001-06-07.ana.ud2377e1481	It cannot be drawn. The President will recommend that we vote against the proposal.
ParlaMint-NO_2001-06-07.ana.ud2377e1493	A vote is taken on the proposal by Mr Hallgeir H. Langeland, on behalf of the Socialist Left Party, submitted by Mr Odelstinget's meeting on 30 May 2001: ‘The decision asks the Government to submit proposals further limiting the possibility of privatising ownership in the power sector.’
ParlaMint-NO_2001-06-07.ana.ud2377e1508	During the debate, Mr Nilsen presented the following proposals on behalf of the Right and the Progressive Party: ‘The Government asks the Government to sell the State’s shares in BaneTele’.
ParlaMint-NO_2001-06-07.ana.ud2377e1695	During the debate Leif Helge Kongshaug presented the following proposals on behalf of the Left: ‘Document No. 8:96 shall be annexed to the Protocol.» [[2000-2001]]
ParlaMint-NO_2001-06-07.ana.ud2377e1717	A vote shall be taken on the proposal by Mr Ansgar Gabrielsen on behalf of the Right from the meeting of the Odelsting on 1 June 2001: ‘The Government asks the Government to facilitate the exercise of market regulation in the cereals sector by the authorities.’
