ParlaMint-NO_2003-03-05.ana.ud730e28	The representative of Inge Ryan, who has been licensed, has once again taken his seat.
ParlaMint-NO_2003-03-05.ana.ud730e1327	I thank the Council of State for the answer, which shows that the Council of State is aware of the problems that are – and hopefully there will be no more in retrospect. There have been cases of near-accidents where Swedish trains have driven in red – so it has not been green. Whether there's human things that have caused it, whether it's the training that's deficient, or whether there's other things, I shouldn't say so much about. It seems that training may be somewhat deficient compared to that in Norway. It would be thought that to run Norwegian rails there should be the same training, with the same requirements, regardless of who runs them. I would like to state that I am absolutely not against the fact that foreign trains use Norwegian rails, with people from nations other than Norway, of course, but it is about the safety and security of the travellers.
ParlaMint-NO_2003-03-05.ana.ud730e1336	I am concerned about safety, and I am pleased that others are also concerned about safety both by road and by rail – and in the air for that matter. In the case of the railway, supervision has gone through the conditions as they are. It is independent supervision, which will give signals to the actors concerned about the state of the situation and ask for action to be implemented. It's done. I would also like to remind you that both the NSB and the Railway Agency are responsible for the safety of their respective areas in Norway, and it is of course that if we have cross-border traffic, it is not the flag that hangs on the rolling stock that matters to us, but that safety is well taken care of. This work is in progress, and it is going to continue.
ParlaMint-NO_2003-03-05.ana.ud730e1345	I thank the Council of State for the answer. Finally, I would like to ask again whether the Council of State will pursue the matter, i.e. follow what happens after 1 April 2003, so that the safety of the drivers is good, i.e. better than it is today.
ParlaMint-NO_2003-03-05.ana.ud730e1355	It's very easy to answer. Yeah, of course I'll come with you.
ParlaMint-NO_2003-03-05.ana.ud730e1363	I allow myself to ask the Minister for Transport the following questions: ‘From 2001 to 2002, the number of fatalities in traffic increased from 275 to 307. In view of, inter alia: NAF has called for the establishment of an accident commission on road traffic. Such an accident commission shall be able to analyse accidents, identify facts and causalities, and propose and provide the necessary tools for accident prevention. Will the Council of State support a proposal to provide road traffic with a separate accident commission, or other schemes to monitor road traffic accidents?’
ParlaMint-NO_2003-03-05.ana.ud730e1372	In particular, on the basis of the Sem Declaration, a working group set up by the Ministry of Transport drew up a report on the establishment of a joint accident commission. In the report published in February 2002, the Working Party recommends that the Civil Aviation and Railway Commission be extended to include road accident investigations. At the same time, the working group recommends that details of the types of accidents and incidents to be investigated be identified. Accidents in the road sector differ significantly from accidents in other modes of transport, both in scale and in character. The results of this investigation will be available in a short time. I agree that it is important to make progress in this work and aim to establish an extended accident commission in 2004 which also includes road traffic accident investigations. Finally, I would like to point out that investigations of road traffic accidents are also being carried out today. The state road system set up in 1999 an experimental system of accident analysis groups in several counties. The accident analysis teams focus on each of their themes. For example, in Troms, accidents at meet-and-run and in Westfold, motorcycling accidents and accidents involving cross-country pedestrians are seen in densely constructed strata. The analyses contribute to a better understanding of the causes of road traffic accidents and can thus be an important tool in finding better responses.
ParlaMint-NO_2003-03-05.ana.ud730e1383	I thank the Council of State for the answer, which gives the impression that it is working on this important matter. A joint accident commission may, of course, be good for civil aviation and rail. However, when it is now suggested that this can also be extended to road traffic, there is a basis for expressing some doubt as to whether this can help to capture all the accidents that occur beyond the quite land of our roads. I fear in this situation that road traffic accidents by car can become a down-priority task. This type of accident does not have the same dramatism as, for example: an aircraft accident. Now, when the number of accidents is so increasing, this is a serious signal to us, and we have to ask ourselves, what's the cause? Are those old and traffic-threatening cars? Is there a lack of training? Is there increasing aggression in the driving pattern? Or are there bad roads? And in this context, I would like to ask myself, isn't it because of these circumstances that we need to get our own breakdown commission for a car?
ParlaMint-NO_2003-03-05.ana.ud730e1390	It is true that road traffic accidents are different in nature from both aircraft and railway accidents. But we're concerned about, because we have a zero vision, finding out the causes of the accidents and thus getting a better knowledge of how to apply the right measures. We already have, as I mentioned in my main response, analytical groups in place just to give us better knowledge. However, we do not have time to wait for a response to all the analyses. There are many complex causes of accidents. We need to grasp what we know, that there is a need for training, good attitudes, improvements to the road network, etc. All of these areas need to be addressed when we need to give priority to action on an annual basis. But we also need to have a knowledge of why the accidents happen.
ParlaMint-NO_2003-03-05.ana.ud730e1395	I thank the Council of State for the answer. What's my concern, and what I'm afraid of, is that in the case of road accidents, they can quickly be down-prioritised in relation to the heavy, major accidents that often happen on the railways and by aircraft. Heavy organisations such as the NAF and the Automobiles Association say that we should get on the offensive in relation to this issue. Then my question is, is it not possible to imagine that at least we could have had a sub-group that could specifically monitor road traffic conditions? That must be a reason for us to have this significant increase. I believe it is an increase that is totally unacceptable, and which I hope the Council of State understands must receive special attention.
ParlaMint-NO_2003-03-05.ana.ud730e1404	The special attention that's being asked for is exactly what we're grabbing here. We want to expand the Disaster Commission, because this can produce knowledge that can help us both on the railway side, on the aviation side and on the road side, despite the fact that the accidents are different in nature. I agree that we need to look at road traffic accidents, in any case, and that is why we have already started a number of groups in this area. I would also like to believe that it is quite natural to link up with the Commission's analysis groups which are still dealing with specific issues in road traffic. It's absolutely right that we need more knowledge. We have established groups, and we're going to establish more activity in this area, just to meet the need for more knowledge.
ParlaMint-NO_2003-03-05.ana.ud730e1412	I will ask the following questions to the Minister for Local and Regional Affairs: ‘Eastfold county has decided to apply for trials with a unit state. Various signals have been given by the Ministry of Local and Regional Affairs as to whether such an experiment may also include the transfer of tasks from the county to the county council, with the exception of appeal and supervisory tasks. Will the Council of State approve tests of unitary status involving the transfer of tasks other than purely complaint and supervisory tasks to the county council and the strengthening of the county council's role as regional development actor in such an experiment?»
ParlaMint-NO_2003-03-05.ana.ud730e1421	In St.meld. No 19 for 2001-2002 the Government presented its recommendation on the division of tasks between State, county and municipality. The background to the assessment was the view of the Sem Declaration that the county municipality should not become an over-municipality, that changes in the division of tasks must contribute to the reduction of bureaucracy and that decisions should be taken as closely as possible. The size agreed with the Government's view of the processing of the message last year. In concrete terms, the Communication stated that responsibility for the state regional environmental and agricultural management of the county should not be transferred to the county municipality as proposed by the previous government, precisely because this would give the county municipality such an undesirable over-municipal role. Instead, it was suggested that tasks in the fields of environmental protection and agriculture that require local public discretion should be transferred to the municipalities. The size also agreed to open up two types of trials: trials with municipal task differentiation and trials with unit states. In my view, the prerequisites for testing the unit state in St.meld are sufficiently clear. No 19th@item: These assumptions are also repeated in letters of invitation and in the feedback to applicants during the first round of applications. I can't see that the department has given various signals about this, as the questioner claims. Unitary status means the aggregation of the county office and the county administration under a single administrative director. The aim is to simplify and streamline administration at regional level. The tests are initially not about changes in the division of tasks. It is clear from the letter of invitation that trials with a unitary group will be carried out in line with the principles of the division of tasks, and it is specifically pointed out that the county should not become an over-municipality. Since the main importance of the remaining tasks of the county council has an over-municipal character, this means that it is not relevant as part of the attempt to give the county more political influence over these tasks. However, I do not exclude the existence of certain developmental tasks within the county, which can therefore be assessed under state policy management. However, I would like to stress that the aim of the unitary effort is to identify whether less bureaucracy is being created and better decision-making bases by coordinating the county office and the county administration. Thus, it is not a transfer of tasks that are intended for the experiment but to produce synergies and strengthen cooperation at regional level.
ParlaMint-NO_2003-03-05.ana.ud730e1434	I thank you for your answer. The Council of State says that there are no vague or different signals given, but at least this is perceived in Eastfold County. The application sent on 4 October was based on the Ministry's invitation letter, which included: it stressed that all the tasks of the State were initially to be assigned to the experiment and to the entity, with the exception of the complaint and oversight tasks to be organised in a separate State box. On this basis, the County of Østfold stressed the need to integrate regional development, regional services and regional administration into a single unit under elected government. Contact has also been made, among others. with KS. In Eastfold County, it is perceived that the possibility of transferring tasks has been narrowed, in line with what the Council of State has now said. So I just want to ask the Council of State to confirm that in practice there will be no tasks that can be transferred, and that it is a pure simplification of the administrative level.
ParlaMint-NO_2003-03-05.ana.ud730e1443	There may be some individual tasks, not least at the crossroads between county and county, which are also significant in relation to the development role. There will be the possibility that they will be directly or indirectly subject to a county decision. In some areas, there is also duplication of work in relation to parts of the planning processes, as is currently the case. For this reason, tasks may apply in some areas. But the starting point for the whole experiment was simplification, not moving tasks or testing a model where county councils would have greater decision-making power. I know that the ambitions of many county councils have been to transform the Government's and Storting's decision on the division of tasks. We also saw that from the tests that were applied for related to differentiated problem solution. But that's not the point. The aim here is to coordinate administrations, to create better decision-making bases, to create simplifications, and not to move on to tasks.
ParlaMint-NO_2003-03-05.ana.ud730e1450	Just a little comment. I thank you for the answer, which I think is elucidating, but unfortunately not in line with what had been seen by the district of Eastfold and the wish of opportunities for this attempt to strengthen the county council's possibilities, not as a supremacy, but as a regional development operator.
ParlaMint-NO_2003-03-05.ana.ud730e1457	I may feel that the county councils have been much more concerned with taking on new authority tasks than exploring the developmental role of the political role it actually is, with the ability to influence dynamically with the instruments that are left behind today. I think it's important that we stress what unity states really are trying to do. It's an attempt to make administration easier. It is possible that there have been other ambitions for it around. But I don't think we can blame for the fact that there are other signals coming from the government than what has been in St.meld. No 19th@item:
ParlaMint-NO_2003-03-05.ana.ud730e1468	‘The world is in a tense situation, and we know from experience that in such situations it is more important than ever that issues of international law and law are resolved. Therefore, the Left wishes to clarify the guidelines for Norwegian participation in multinational military operations, a problem such as Amnesty Norway. has been busy. How can the Council of States ensure that Norwegian forces comply with Norwegian international obligations if they operate under the command of other countries?’
ParlaMint-NO_2003-03-05.ana.ud730e1475	I fully share the views of the representative Skei Grande on the importance of clarifying issues of international law when Norwegian forces participate in multinational operations. Participation in multinational operations will almost always mean that different countries have different international legal obligations or different interpretations of the same obligations. Within NATO this is very well known. Legal ‘interoperability’ in the case of participation in foreign operations is therefore a matter on which the Ministry of Defence and Defence have been focusing for a long time. Ensuring that war or armed conflict is conducted within the framework of international humanitarian law and international human rights is an overall objective. And there is no doubt that Norwegian forces are related to Norwegian law and to Norwegian international law obligations, even if they are placed under the operational command of an international organisation or other nation. Four relationships make me sure of this. Firstly, when Norway participates in coalition operations under the direction and command of another country, such as Afghanistan, it is set as an indispensable condition for participation — usually in the context of the issuing of a command — that the Norwegian soldiers are under Norwegian jurisdiction and cannot be assigned to missions that involve breaches of Norwegian law or Norwegian international obligations. Further conditions and limitations will also be possible in the circumstances. Secondly, it will always be that the rules of military use, known as ‘rules of engagement’, are reviewed and determined by the Norwegian authorities to assure us that the rules of use of power are in accordance with Norwegian law and Norwegian international obligations. Thirdly, we often want Norwegian personnel in the command chain, with particular responsibility for ensuring that Norwegian forces are not given or carry out missions that violate Norwegian obligations. The Norwegian officers serving at the Agram Air Operation Centre in Afghanistan provide a good example of this, called a ‘red card’ option, or a red card option for the operation. Fourth, Norwegian forces are well trained to act in accordance with Norwegian international commitments. The strengths are briefed on Norway’s international commitments and any pre-departure restrictions. In addition, I would like to stress that Norwegian soldiers receive general training in international humanitarian law, including Norwegian international obligations that may differ from those of other countries. Education takes place both separately and through the inclusion of the subject of international law as elements of other military subjects. In its practical and theoretical education, the Defence also cooperates with external actors, such as: Red Cross. I am therefore confident that the issues raised by the questioner are thoroughly and satisfactorily addressed.
ParlaMint-NO_2003-03-05.ana.ud730e1496	Thank you very much for your answer. We know that in the international operations that are taking place, there is a greater and greater degree of integrated commands. We also see that countries have different interpretations. That's why I'm very happy that the Council of State has the clear answer that she has. But it's a question that I want to address. If there's an assault, it's the soldiers who are experiencing this, who are also going to notify. It can sometimes be a heavy job to alert assaults from other nations' soldiers who you are actually on the same party as. My question is whether the minister can assure me that our Norwegian soldiers have support for reporting an infringement in a good way.
ParlaMint-NO_2003-03-05.ana.ud730e1505	The formal starting point is, of course, that each country is responsible for its own staff, and we do not have a formal responsibility for how other countries carry out their operations. However, this formal starting point also needs to be modified when talking about the reporting of possible abuses by other countries’ forces. A joint Article 1 of the Geneva Conventions states that the ‘Contracting Parties undertake to respect and ensure respect’ for the Conventions. Ensuring respect for the Conventions may, in the circumstances, give an obligation to act in order to prevent and subsequently report abuses committed by other countries’ personnel. Norwegian forces are instructed to report possible breaches of the Geneva Conventions and other international obligations. And that happens as part of the general feedback from the Norwegian quota to the Norwegian authorities. There are also established procedures for the debriefing of military personnel on repatriation.
ParlaMint-NO_2003-03-05.ana.ud730e1512	I thank you for the answer, for which I am pleased.
ParlaMint-NO_2003-03-05.ana.ud730e1527	This question falls away.
ParlaMint-NO_2003-03-05.ana.ud730e1534	«In the evening post of 22 February of this year, there is a dramatic increase in the unemployment rate among newly graduated soldiers. At the turn of the year, 2 110 graduated soldiers were listed as vacant at Aetat. This was an increase of 46 pst. in relation to the previous year. What measures, in the short and long term, will the Council of State take to combat the unemployment of newly graduated soldiers?’
ParlaMint-NO_2003-03-05.ana.ud730e1541	I understand from the question that the representative Halvorsen is initially interested in the specific measures of the Defence Department to prevent unemployment among newly-dedicated soldiers. First, however, I would just like to remind you that the government has also taken a number of steps to ensure that all the unemployed, including the newly-dedicated soldiers, come back to work quickly. Aetate has been strengthened by more than 400 posts, and we have strengthened the level of action by 1,600 places compared to last year. In addition, a tight budget has been adopted by the Government, which provides the basis for lower interest rates and interest rates and, consequently, lower unemployment rates. However, the increase in unemployment also affects newly graduated soldiers. The government has as its clear objective that qualified soldiers should not come out worse in terms of unemployment than those who do not perform first-time duties. Accordingly, the defence already implements several measures to facilitate the best possible transition to work or education. One thing that is important is that the convocations are arranged so that it is possible to start a study both in the autumn and after Christmas. In addition, soldiers may apply for up to eight weeks of early education and employment. Adult training in Defence is our main instrument for the administration and enhancement of the civil competence of guardians, officers and contract officers. Adult training therefore offers courses in subjects from high school, university studies and distance learning, job and leisure courses, as well as providing assistance to soldiers with reading and writing difficulties or math skills. If the Adult Education in the Defence does not have a course or training offer, the soldiers are offered scholarships to cover expenses. However, as with any defence activity, adult training needs to be streamlined and adapted to future requirements. However, adult training will have a high priority, with a focus on the training measures that give the greatest result. The cooperation between Aetat and Adult Education in Defence is also good. In addition to regular meetings of information on developments in the labour market, the defence receives quarterly reports showing the situation of graduates on the labour market in order to follow closely the situation. I also want to strengthen cooperation with actors outside the Defence Agency. At present, we have an interesting project with Aetat in Hordaland, where 15 people who are protected are offered training, practice and permanent work in construction companies. These measures will, as a whole, help to combat the unemployment of newly graduated soldiers. I am pleased that the issue is being addressed, and can assure that we have the same ambition for practical action to get the figure as low as possible.
ParlaMint-NO_2003-03-05.ana.ud730e1564	I thank you for your answer. In fact, I believe that we largely agree on the objective and the means used. But anyway, what's happening seems to be very unfair. 20 pst. serve today's duty of protection and spend one year's life serving the King and the country, as it is called, and end up at the top of the back of the job queue – they get a delay in adult life, you might say. I have been informed that the means of adult education, or civil training, have been reduced by 23 million. kr from last year to this year and onwards will be reduced by 40 million. kr, and that work is done excluding adult training from the Defence. Can the Council of State confirm this, and does the Council of State think that this will help the newly educated soldiers in what was described as the important, i.e. adult training?
ParlaMint-NO_2003-03-05.ana.ud730e1573	I will first address one of the premises of the question, namely that only 20 pst. carrying out military service. I can't do that. It is a little lower now in a conversion period than it is normal, but it is a goal of approx. 50 pst. shall be implemented. It is established and will also be possible to realise when the conversion period is over. I also hope that the measures I outlined in my first response show that the unemployed who have been newly diagnosed do not put at the back of the job queue, but that, on the contrary, they have some specific measures aimed at themselves that have not implemented the initial service. At the same time, the representative Halvorsen is entitled to a reduction in the adult education budget. It explains that it is now seeking to target these measures more specifically against groups of newly diagnosed soldiers, and that cooperation with private actors outside the adult education of the Defence Agency is also increasing.
ParlaMint-NO_2003-03-05.ana.ud730e1582	I thank you for that answer too. Finally, I would like to ask a question about the Committee on Civil Liberties. Some of us are impatient and waiting for the Council of States and the principles that will be imposed on the duty of protection, through this sample. When can the Storting expect to get the case, and will the review address the raising of competence and, where appropriate, the scholarship and the final package, and at all events the importance, content and status of the obligation – everything in the hands of this sample? We hope that it will come quickly. I would also like to ask: will there be a chapter in that inquiry on the subject of professional army? Will it be assessed in this case, so that the Storting gets all the cards on the table?
ParlaMint-NO_2003-03-05.ana.ud730e1591	With regard to the future of the protection obligation, I feel that the right place to deal with it is in the four-year propositions presented to the Stortinget, because it is such a big and fundamental question that the Stortinge should decide on it in an overall context. The last time we had the four-year budget for treatment in Stortinget, there was a crystal-clear majority in Stortinget to maintain the duty of protection. At the same time, I share the questioner's clear priority that it should pay to implement the protection obligation and that status-raising measures are important. In the military professional investigation now being carried out by the head of defence, which will be presented to the Ministry at the end of November, it is clear that different status-enhancing measures must be sought to be incorporated into such a long-term plan. The cost implications of this will have to be presented in the annual government budgets, but my clear ambition is also that the four-year plan that we hope to present to the Stortinget next spring will contain a total package both for the future of the protection obligation and for what we do concretely with state-of-the-art measures.
ParlaMint-NO_2003-03-05.ana.ud730e1608	This question, from the representative Torbjørn Andersen to the Minister for the Environment, will be answered by the Minister for Fisheries who directs him.
ParlaMint-NO_2003-03-05.ana.ud730e1611	I have the following questions for our Minister for Fisheries: ‘In Skagerrak outside the Arendal in East Agder, one of the world’s largest chemical weapons of mass destruction deposit. Around 40 ships with about 170,000 tonnes of fatal German poison gas ammunition of different types were dumped here in 1945-47. It's about hugely deadly chemical ammunition, which even Hitler would not use. Some fears now that serious accidents may occur with the rusted ammunition, for example: fishing in the area. Do the authorities have sufficient control over this, and do they guarantee safety?’
ParlaMint-NO_2003-03-05.ana.ud730e1620	In 2002, the State Pollution Control Agency, SFT, in cooperation with the Defence Research Institute, FFI, carried out a state survey of ships with chemical agents dumped in Skagerrak after the Second World War. The number of ships that were lowered is somewhat unclear, but most likely there are 36 ships in the Norwegian section of Skagerrak. So far, 15 wrecks have been found. The state survey shown the condition of the wrecks has been stable and slightly altered compared to the last survey conducted in 1989. Analyses show no trace of chemicals in the water samples taken locally around the wrecks. There is a minimum risk for both humans and the environment if the shipwrecks remain calm. This is the main conclusion that SFT and FFI have drawn in their final report, which is last year. Following the transfer of responsibility for State preparedness from SFT to the Coastal Works on 1 January 2003, the Coastal Works are responsible for the further follow-up of this case. Based on this, I will follow up this case and ask the Coastal Directorate now to consider more closely the measures SFT has recommended. The SFT recommends, as mentioned above, that the wrecks and ammunition examined with chemical fighting agents should remain where they are now located. The ships have been dumped at 600 to 700 meters deep. Chemical fighting agents are unlikely to leak out of grenades that remain calm inside shipwrecks on the seabed. On the other hand, there is a high risk associated with activities that may move or affect the wrecks and ammunition scattered beyond the seabed. The SFT also recommends that activities on the seabed, including fishing must be prohibited in an 18 km x 6 km area. I would like to ask the Coastal Directorate, in close cooperation with the Fisheries Directorate and others concerned, to assess the establishment of a prohibitive zone which is slightly larger than the area of 14 km x 4 km that is currently marked on the charts. In addition, I would like to ask the Coastal Directorate to consider how to proceed with the location of the other wrecks, probably 21 in the Norwegian zone, in order to assess an up-to-date risk zone. It would also be natural to consider studies of sediment and marine organisms at sites where damaged wrecks and ammunition are or are found on the seabed. Provided shipwreck and ammunition remain at rest on the seabed, the SFT does not consider additional studies to be necessary with the first. The corrosion process is slow if the wrecks are at rest. Slow corrosion of grenades and the gradual leaching of substances into water and sediments may, according to technical expertise, occur without a particular risk to the environment, as most of the fighting agents are rapidly reduced to non-hazardous substances or are heavily soluble. Let me end by stressing that the area where the lowered wrecks are located is drawn on the charts, and the fishermen are through this orientated about the waters where there may be danger of fishing. In addition, I have asked the Swedish Coast Guard Agency to ensure that the best possible information is provided to fishermen and other stakeholders on how to behave if fishing gear nevertheless comes into contact with chemical fighting agents.
ParlaMint-NO_2003-03-05.ana.ud730e1644	I thank you for your answer. The reason why I take this matter up with the Council of State is that there is a lot of evidence that there has been trawling in the middle of this deadly dumping site for chemical combat communication, where an estimated 170 000 tonnes of chemical combat communication are scattered beyond the seabed. So it turns out that in the middle of maybe one of the world's largest chemical combat communication depots, there's been trawling. All the wrecks that were examined had leftovers of nuts on them, and I think it is very alarming. You can just imagine what might happen if this keeps happening. In my view, the risk level of fishing in this area is not sufficiently clear. So here it's 36 or 40 ships, or how many of them there are, but only 18-19 of them are located. My question to the Council of State is: what will the Council of State do to locate also those ships that we do not yet know exactly where is on the bottom of the sea in Skagerrak?
ParlaMint-NO_2003-03-05.ana.ud730e1655	First, it might be important to realize that where wrecks are known, there is a risk here. Therefore, I assume that the fishermen have respect for this, but I will pass on the information that has come here, that they believe they can prove that there has been trawling. In that case, it is irresponsible from my point of view when it is noted in the maps that there is a risk here. At the same time, the latest studies showed that there is no detectable contamination, which one would think would be likely if there has been extensive radiation in these areas. When it comes to what will be done to clarify where, if any, the 21 ships that you think are missing are missing, I refer you to what I said: We have asked the Coastal Directorate and the Coastal Agency to consider how to take action to reveal it.
ParlaMint-NO_2003-03-05.ana.ud730e1662	I would like to ask a follow-up question. I was a little in doubt as to whether the Council of State is aware that there were actually jet bags found on all of the four shipwrecks that were examined last harvest. It clearly shows that there has been some significant, if not extensive, fishing here, and that is why. We all agree that if this is at rest on the seabed, there will be no great danger, but when there are opportunities for this dispute communication to possibly enter a jet bag, and it has been demonstrated by the fact that there has been trawling here, I think it is very alarming. I believe that something has to be done here. I would like to ask: does not the Council of State know that all of the four wrecks that were examined have been found? Does the Council of State know this, or does he not?
ParlaMint-NO_2003-03-05.ana.ud730e1667	I know about these statements. My conclusion was that as long as there is no detectable pollution, this has not had an adverse effect that de facto has had negative consequences. But any activity in these fields increases the risk. As I said in my first answer, the best thing that can happen is that this is still. As I explained in my first answer, I have started a number of processes in relation to the Coastal Administration, which is a new authority, to consider also the recommendations made by the SFT, whether this is satisfactory. We will take action to assess how we may detect those ships that have not been found. This is very serious, and in that way the questioner and I have shared interests.
ParlaMint-NO_2003-03-05.ana.ud730e1674	That concludes today's Question Time.
ParlaMint-NO_2003-03-05.ana.ud730e1684	There is no record.
