ParlaMint-NO_2003-04-02.ana.ud2020e28	The representative of May Hansen will make a private proposal.
ParlaMint-NO_2003-04-02.ana.ud2020e1286	I thank you for the answer, but there were not many numbers to get from there. It's okay to owe the Workers' Party – I agree that they had lower appropriations – but we still have a deficit of NOK 1.4 billion. In the case of road accidents, Director Leif Elevenset in Safer Traffic said yesterday at a committee meeting that they cost NOK 25 billion per year. years. He also said that completion of E6 through Eastfold would sooner than planned save society for the cost of accidents equivalent to two thirds of the construction costs. In addition, the savings for business, on which I unfortunately have not got a number. Is not the Council of State aware of the cost to society of providing for the development of good roads in Norway?
ParlaMint-NO_2003-04-02.ana.ud2020e1293	I want to answer quite clearly: yes, I know. That's why we're accelerating the construction of, among other things. E6 through Eastfold. That's why we started the project with new Svinesundsbru – not least we see that on the accident side we will save society too much expense by implementing such projects. How much we have to gain from the accident side by taking different measures will vary greatly from place to place. It's important that, based on the overall framework we have, we put in the effort where it gives the most in relation to the cost-benefit ratio, where, among other things. traffic accidents are included.
ParlaMint-NO_2003-04-02.ana.ud2020e1300	The Councils point to the overall framework. But will the Council of State come back and do something with these frameworks in the context of the revised national budget, because according to the framework that we laid down in the transport plan, are we today at minus NOK 1.4 billion? In addition, we have the famous Sem statement, where there were also large numbers, appropriations that were to be made for road construction, but that have not been made. It would be interesting to know if there would be anything more to road construction. At the same time, I would like to remind you that I have today submitted a Document No. Eight proposals on E6, Oslo-Trondheim, on which I would also like to move forward. Does the Council of State have any intention of meeting us on that proposal?
ParlaMint-NO_2003-04-02.ana.ud2020e1309	I have to admit that I often stand here and answer questions – preferably from the representative of Nistad – about getting ahead of road investments in Norway. The answer is basically not different than it has been before. We have every opportunity to discuss arrangements and efforts in this area in relation to budgets submitted to the Stortinget.
ParlaMint-NO_2003-04-02.ana.ud2020e1319	I would like to ask the Minister for Transport the following questions: «The Ministry of Transport has asked the municipality of Bergen for further quality assurance of the urban railway project. Ringveg Vest, the second major project in the Bergen programme, has previously received strong criticism in a research report. [[RPR-SAT, § 3.5]] Will the State Council instruct Hordaland Road Office to ensure the quality of Ringveg West, as she has imposed quality assurance on the urban railway project?’
ParlaMint-NO_2003-04-02.ana.ud2020e1328	The construction of the urban railway in Bergen is subject to colloidal and road traffic tolls. In order to finance the construction of infrastructure for roads with public roads and tolls, such alternative use is required to relieve the road system and reduce the need for regular road investment. It is therefore necessary to demonstrate that a collective system could help to relieve the road network by shifting traffic from road to collective system, including, where necessary, additional restrictive measures in the case of road traffic. It is such an investigation that the Ministry of Transport has asked the municipality of Bergen. I do not see this as a weakening of the urban railway project – on the contrary, it will be very positive for the urban railway and public transport in Bergen that the project is organised so that as much traffic as possible is shifted to collective means of transport. In the case of Ringveg Vest, the municipality of Bergen was responsible for the impact assessment. A separate public transport investigation was carried out in the context of the impact assessment. The aim was to assess different collective options to be combined with or as an alternative to road construction. Although it was noted in the consultation round of the impact study that public transport was not properly investigated, the municipality of Bergen, which was both responsible for the impact assessment and the planning authority for the action, considered that these issues had been adequately addressed. All State projects over 500 million. kr shall be subject to external quality assurance. Such a requirement will also apply to the Ringweg West. In the case of the urban railway, this will not be a State project and will not, in principle, be subject to the rules applicable to State projects. The need for external quality assurance of the urban railway will be assessed after further clarification of the building developer's responsibility and the financing plan for the project.
ParlaMint-NO_2003-04-02.ana.ud2020e1337	I thank you for the answer, but I think perhaps the Minister for Transport misunderstood the arrangement in my question a little. I am positive that the Minister for Transport sets quality requirements for the urban railway project. I think it'll strengthen the project. What I'm asking for is that the corresponding logic is taken into account for the second dominant project in the Bergen programme. So in Hordaland, under the direction of Hordaland Road Office, we have a history of dubious project management, large exceedances: western entryways, which are now being dealt with in the control committee here in the house, the North Hordland Bridge and the Osterøy Bridge, which have evolved in a very suspicious way. And then the question is, why is it only in the collective projects that all the stones should be turned around, when it says in the guidelines: ‘When capacity problems arise in the road system, alternatives other than increased road capacity shall be assessed on the same line.’; The question is whether the Minister of Transport is now interested in ensuring that such an assessment is made also in the case of Ringveg West.
ParlaMint-NO_2003-04-02.ana.ud2020e1349	It is not true that only the urban track has to be secured in a special way. It's, as I said in my answer, so that all state projects over 500 million. kr shall be subject to external quality assurance. We have had a solid review of the cost developments of the large projects, and we have had a solid review of what can be done by improvements to avoid over-expenses of the dimensions to which it was referred. Therefore, it is important that we have good quality assurance of all projects, whether municipal projects – as an urban railway is – where we should then use state funds and tolls, or other projects with ordinary government appropriations.
ParlaMint-NO_2003-04-02.ana.ud2020e1354	Thank you. I am somewhat surprised that the Minister of Transport does not want to go into this when, in the project for which the Minister of Transport will be responsible in many ways – i.e. in this research report – it is concluded that the requirements for identifying alternatives other than increased road capacity have not been met. I would like to read from the same report, which deals with the way in which operators and roadbuilders handle these requirements: ‘They then place orders on public transport investigations by consultants that the vegetation’s own people openly say are not feasible with the transport analysis models available in the market today. We have not found a proper explanation as to why the road managers act this way. However, it is close to assuming that the identification of the new road action may be part of the explanation.’ So the question is this one that's going to explore alternatives other than increased road capacity. Does the Minister for Transport think that this is generally happening to a sufficient extent today? If not, what will she do with it?
ParlaMint-NO_2003-04-02.ana.ud2020e1366	First, I would like to say that if the representative Lysbakken is against the collective effort put into the Bergen programme, among other things. through the work carried out in connection with the urban railway, there is a case in point. I'm concerned that when we have this kind of urban package that we're talking about here, there should be assessments of the collective effort. Bergen municipality has also done a solid job. These are also principles that have been put up here in Stortinget, and to which there has been broad support. I support Bergen in the work they are doing just to find good collective solutions. I think that is a virtue of necessity for the future in terms of our metropolitan policy.
ParlaMint-NO_2003-04-02.ana.ud2020e1377	This question, from Tor-Arne Stroem to the Minister for Transport, will be raised by the representative of Bjørgulf Froyn.
ParlaMint-NO_2003-04-02.ana.ud2020e1380	I would like to ask the Minister for Transport the following questions: ‘Avinor AS has, through new provisions, enabled the Defence to close the airspace over Inner Helgeland for civil flight by up to 1,5 hours per. day with one day's notice. This has led to the fact that onlooke has had to cancel flights, which in turn results in travellers not being able to make planned trips. What will the Council of State do to deal with this, so that civil aviation does not suffer from the need for exercise flight by the Defense?’
ParlaMint-NO_2003-04-02.ana.ud2020e1389	Through its membership of Eurocontrol, Norway is required to implement measures to ensure greater cooperation on safety and capacity utilisation in the European airspace. In Norway, parts of passenger traffic have previously been operated in uncontrolled airspace where the Defence has operated training flights. This has in recent years led to several adverse events between civil and military aircraft. The FUA – Flexible Use of Airspace – aims to increase flight safety and improve the efficiency of airspace use by demarcating specific areas for specific periods of time, in order to distinguish military training activity from civil traffic. The Air Safety Authority has laid down a regulation providing for establishment and training areas according to the FUA concept. In the context of the introduction of FUA in Norway, the Ministry of the Air Traffic Management has provided that civil traffic is facilitated to the minimum extent possible. The areas where and the periods when military training activities may be active are carefully planned by Avinor AS and the Defence with representatives of civil aviation. Avinor AS has stated that this work has tried to find the time windows that had the least possible impact on civil users and that were at the same time compatible with the defence’s training needs.
ParlaMint-NO_2003-04-02.ana.ud2020e1404	I thank you for your answer. In a way, it's a little surprising that there's such close cooperation between Avinor and the Defense when they put the times for the exercise flights where they're being laid. The consequences for Onions are not just an issue of the Unionoe's wings, but of the need for travellers to travel further at nodal points, which in this case will primarily be Trondheim. This creates unnecessary problems for travellers to an extent that has caused irritation, and it creates unnecessary costs for the Return as an operator. They cannot deliver the journey they originally offered, as they only receive one day's notice. My question to the Minister of Transport is: Is there not a reasonable reason to look at the system that works between Avinor and the Defence, and perhaps to contribute to finding other times for the exercises so that they burden civil aviation to an even less extent than what is being registered today?
ParlaMint-NO_2003-04-02.ana.ud2020e1413	It is absolutely right that it is important to meet the needs of travellers, but it is also very important that we take care of safety well enough. As long as there is a need for a defense activity, we need to find solutions that are good enough. It's been working on it, and it's going to be working on it just to avoid getting situations like this.
ParlaMint-NO_2003-04-02.ana.ud2020e1422	I have the following questions for the Minister for Transport: ‘New figures for 2002 show that a clear decrease in traffic accidents has been recorded on routes where the speed limit has increased from 90 km/h to 100 km/h. The head of the road safety section of the Directorate-General for Road Safety explains this by the fact that the new speed limit is better adapted to the level that the road users themselves consider to be natural, and that it thus becomes a smoother flow with less acceleration and braking in traffic. In the light of these figures, will the Council of State consider increasing the speed limits of several road sections?’
ParlaMint-NO_2003-04-02.ana.ud2020e1431	The Ministry of Transport decided in May 2002 to increase the speed limit to 100 km/h for parts of E18 in Westfold and Buskerud. This speed limitation increase was part of a test scheme with a specific speed limit of 100 km/h on some multi-field high standard and low accident frequency motorways adopted in connection with the current NTP. Specific requirements were also laid down for the construction of road lighting and earthworks and for the implementation of road safety audits. I believe that this attempt makes sense, inter alia. because it could contribute to ensuring general respect for speed limits. In parallel with these higher speed limit tests, attempts have also been made to reduce the speed limits on particularly accident-prone routes. On the E18 motorway section in Westfold, preliminary records show a decrease in the number of road accidents. In particular, the number of serious accidents has decreased after the opening of the new E18 through Buskerud and Westfold. I think it's a pleasure that the number of accidents has fallen on these sections. The preliminary results indicate that 100 km/h is an appropriate speed limit for motorway sections with very good standard. During the spring of 2003, the Road Directorate will carry out a final evaluation of the motorway sections at a new speed limit of 100 km/h. Road sections where the speed limit is reduced from 90 to 80 km/h and from 80 to 70 km/h will also be evaluated. The last group includes some of the most accident-prone national road sections. On these roads, with bi-directional traffic without any kind of secondary works and often with dangerous lateral terrain, the extent of injuries is large. Of new sections, only the E18 motorway section from Asker to Drammen has a high enough standard to increase the speed limit to 100 km/h. However, before the speed limit can be raised here, a stopover on a section in Buskerud remains to be fitted. Once the final evaluations of today's trials are completed, I will review which speed limits should be selected on different types of roads outside of built-in roads. My starting point is that speed limits are a means of improving road safety, and at the same time they are set to ensure respect for reasonable speed limits.
ParlaMint-NO_2003-04-02.ana.ud2020e1446	I would like to thank the Council of State for the answer. I interpret this so that she is open to consider increasing the speed limits on other road sections. Of course, as the Council points out, it is important that a road should be repaired, and that one should be able to secure the road in many ways. Entrepreneurship on road investment will lead to lower costs for business and will lead to fewer road accidents and will lead to fewer unemployed people in today's situation. My question is whether the Council of State will press for more funds to be released and enough funds for road investment in the future, both when it comes to the revised national budget and when it comes to the 2004 state budget, so that we can thus raise the standard of road sections and thus increase the speed limits.
ParlaMint-NO_2003-04-02.ana.ud2020e1453	I just got this question here in the hall a few minutes ago. As far as I know, no draft budget has been submitted today! That's why we get back to it when the budget comes.
ParlaMint-NO_2003-04-02.ana.ud2020e1458	I didn't ask questions as to whether it would be in the budget, I asked questions as to whether the Council of State would press for money to be given to the road sector. Otherwise, I would like to point out that last year we had a very dark year when the traffic damage – we passed 12,000 traffic damage, an increase of 15 pst. This is a strong negative trend that I think is alarming, and I would like to ask the Council of State: does this not show that the government's agency has failed in several areas, and that one is forced to rethink and use radical tools by increasing road construction and perhaps increasing speed limits in some places? Won't this give us a much better effect so that we don't get the negative development we saw last year?
ParlaMint-NO_2003-04-02.ana.ud2020e1465	Research and experience show that different measures offer different outcomes in relation to increasing road safety, and it is important to apply different measures and to use different instruments. We do that, and as I pointed out earlier today, we are following up not least what is going on in operation and maintenance according to the transport plan, because it helps to keep safety up. Traffic safety analyses show that accident rates vary from time to time. We are currently well positioned this year, but we can in no way take on income because we have done a good job in road safety work. We must constantly ensure that we have a strong focus on road safety. And so it is that when we are within an overall framework, an overall economic framework, we must have a sound transport policy and a sound road safety policy, not least. In relation to whether I want to push for more money for transportation, I would like to remind you that it is the Storting that makes these decisions, finally.
ParlaMint-NO_2003-04-02.ana.ud2020e1477	I have the following questions for the Minister of Local and Regional Affairs: ‘Compared with a number of other countries, the Norwegian local government sector has very limited powers to determine the level of own tax revenue itself. In Norway, local tax revenue from municipalities is only a small part of the total income of the sector. Both Sweden, Denmark, Finland and Iceland have higher local tax rates than Norway. Does the Council of State feel that there is a need to increase the right of Norwegian municipalities themselves to influence the level of own tax revenue to a greater extent than the current funding system provides for?’
ParlaMint-NO_2003-04-02.ana.ud2020e1486	The issue of local tax freedom was discussed by the Income System Committee in 1997. The sample pointed out that the issue of tax freedom is closely related to the issue of the content of local self-government. However, the selection did not find it possible to recommend local tax freedom, primarily because it would make macroeconomic governance of the municipal sector more difficult. In the 1999 municipal proposal, a free-tax experimental scheme was proposed within a range for a smaller number of municipalities. However, the proposal was not adopted by the Stortinget. Nor, in my view, is it an area in which it should be relevant to have experimental activities. The issue of local tax freedom cannot be assessed separately from the general funding of the local government sector. As previously announced in the municipal bill, the Ministry suggests that a major revision of the funding system should take place every 10 years, i.e. every 10 years. the next time in 2006–2007. The Ministry will therefore set up a new income system sample during 2003. The work of the sample should be based on a broad assessment of the funding of the local government sector. It would be natural for the issue of local tax freedom to be included in this assessment. I would like to stress that the Government per. has not yet taken a decision as to whether this should be explicitly included in the mandate. There are several important issues that need to be considered in relation to the issue of freer tax law. Norway has very many small municipalities, in contrast to, for example, Denmark and Sweden. As a result, opportunities for actually increasing revenue will be very different. Large municipalities, in population terms, will be able to significantly improve the economy, while small municipalities can do so to a small extent. This is parallel to toll discussions, where the heavily trafficked road sections can be expanded by user payment, whereas this is not possible in less trafficked areas. So freer tax law provides central space for extra income. As I see it, the political dynamics in Norway will gradually push for an even greater level of revenue, and free taxation will eventually force a redistribution at a higher level of taxation. For me, it is therefore unnatural to believe that free tax law can be combined with today's municipal structure. In total, there will be higher taxes in Norway.
ParlaMint-NO_2003-04-02.ana.ud2020e1495	I thank the Council of State for a clarification. However, the background to my question is that from an increasing number of teams, there has been an increase in municipal autonomy, and increasing municipal autonomy is based on the assumption of increased local political freedom in several areas, including: in the case of tax law. Norway has one of the most – to say – centralised funding systems for the municipal sector when compared with other countries. It gives the state almost full control of municipal income. Very much of the daily lives of municipalities are about economics, and municipalities can do very little else today to influence their own economy, than to complain. Does not the Council of State mean that, for example, a freer, or a free, municipal taxpayer in the case of income taxes, could contribute to the vitalisation of municipal autonomy and contribute to increased electoral participation, and that it could be easier to get people to stand on the electoral lists and engage in municipal policy?
ParlaMint-NO_2003-04-02.ana.ud2020e1504	There is currently one element of free taxation in the municipal sector, and there is property tax. I don't know if we can see so many rosy solutions – greater political mobilization of people, or greater involvement in local politics – by introducing voluntary property taxes around the municipalities. There are many good reasons why the municipal sector should have had a freer tax system, on the ideological level. At the same time, it is important to stress that we have an income system with a very high degree of redistribution, and we have a system in which political differences between municipalities have not been accepted. If it had been accepted for major differences between municipalities, if it had been accepted that compensation should not be granted in so far as the freer tax law provided inequalities, I would also say that it could have been a contribution to municipal autonomy. But per year. Today, I have no faith that this will lead to anything other than an increase in the level of taxation in general in Norway — just as we have freer tax laws today, while all municipalities are at the highest threshold.
ParlaMint-NO_2003-04-02.ana.ud2020e1511	Once again, I thank the Council of State for the answer. I would like to reiterate that we have hardly ever heard a rapporteur be satisfied with the state budget. Rapporteurs, such as complainants, and crisis maximisation in the press regarding the claim of poor municipal economy, have almost become a fixed part of the annual budget ritual. And this centralist income system, I believe, promotes an unfortunate gambling situation, in which municipalities can in a way discharge themselves from responsibility and blame for the lack of state transfers and state underfinancing of the local government sector. I hope that the Council of State can at least agree that this centralist funding system that we have today enables municipalities to a certain extent to discharge responsibility for poor municipal economy by owing to the lack of state transfers. Although the Council of State has already said a lot about this in its answers, I ask whether the Council of State could imagine a kind of experimental scheme in which some municipalities themselves were given a freer position to decide their own taxpayer, at least for a certain period, so that they might not be equally liable to the State for non-financing? Wouldn't this be an interesting experiment that it could be worth looking at?
ParlaMint-NO_2003-04-02.ana.ud2020e1520	I don't think freer tax law is an area that fits for experimentation at all. It also turns out that when we are finally going to sum up the attempt we have had on freer disposal in relation to earmarked schemes, it has also not worked so well, because there have been so many changes during this period. So I don't think this is an area where there's a need to do experimental work. Let me so underline that it is actually such that in those countries that have freer tax laws, among other things. Denmark, there are other ways to control the increase in tax revenue. This means that the negotiating system in Denmark is primarily motivated by ensuring that municipalities do not increase the tax. And the current government has for the first time, with regard to the introduction of tax freezes, also taken the consequences of the negotiating system and pulled municipalities into transfers because they have set up the tax. So it's not that it's just light blue sky over the arrangement in other countries. National authorities also need to monitor developments in the tax field there.
ParlaMint-NO_2003-04-02.ana.ud2020e1537	This question falls away.
ParlaMint-NO_2003-04-02.ana.ud2020e1543	I would like to ask the Minister for the Environment the following questions: ‘In Hedmark, as in the rest of the country, forced renovation has been introduced that works well for most, but for some, and especially lonely, who deliver very little garbage, this is a service that becomes very expensive and irritating compared to the small they deliver or need to deliver. What will the Council of State do to influence service providers into a more flexible and user-friendly system that can be adapted to individual user needs?’
ParlaMint-NO_2003-04-02.ana.ud2020e1552	Under the pollution law, municipalities are responsible for collecting all waste from households. The costs incurred by local authorities in this respect shall be fully covered by a waste charge paid by subscribers and local authorities shall not be able to calculate their profits on this task. So the fee is to be paid for a service at cost. Municipalities have occasion and are encouraged by the Pollution Act to establish differentiated, different, fees to contribute to waste reduction and increased recovery. This can be done in different ways — through different fees depending on the size of the waste container, which many municipalities practice, or on how often the waste is collected, or by a system where the waste is collected by Weigh the subscriber by fetching. Such different fees are desirable for environmental reasons, and at the same time it will be more fair to those who produce little waste, especially older and lonely, on which the representative was involved. I primarily want municipalities to introduce such schemes on a voluntary basis, which is what more and more municipalities do. We don't have exact figures for this, but over half of the municipalities now have some kind of differentiation of the waste charges. And I'm assuming that even in the municipalities you think. I believe that municipal politicians are also concerned with minimising the waste burden. Environmental protection authorities are in the process of developing a revised guide on how municipalities are to set their waste fees. This guide will also address the possibilities for differentiated and different fees to stimulate waste reduction and increased recycling. I want to make sure that this guide gives a clear call for municipalities to put in place such schemes, so that they price their waste services in a flexible and user-friendly way. Where they don't, I actually recommend people to take it up with the local politicians. – It may be a good thing to travel in connection with the election campaign, for this determines the local government itself. Finally, I would like to point out that if, for social reasons, municipalities want to reduce the waste charge for some groups of the population, they have the opportunity to do so. In that case, this must be covered by the other budget of the municipality and no other waste subscribers should be charged.
ParlaMint-NO_2003-04-02.ana.ud2020e1565	I thank the Council of State for the answer, which was a good answer with an explanation of how the system works today. The question really is, are they, often lonely, pensioners who have no waste to minimize, they have so little waste to deliver. They have lived in a time when there was no use and cast-mentality, as today. And then it's clear that the answer to the government council is absolutely right, because we who live with usage and throwing, we have to minimize our waste, we have to sort the source, and we have to follow this up. But the question concerns those who have nothing to minimize – those who have so little garbage that when the garbage car comes in one, two, three or four times a month, they have nothing to deliver. It is for these that flexible arrangements must be made. That's what I'm asking for.
ParlaMint-NO_2003-04-02.ana.ud2020e1572	As I mentioned in my reply, these renovation fees are differentiated in a number of municipalities already. It may be through different fees, depending on the size of the waste container. If you have little trash, you can have a tiny small waste container, which can also be emptied less rarely. Some actually take and weigh by picking up. So here's a lot of opportunities for municipalities to build a robust system. But in order to take even more care of what the representative of Bredvold refers to, I would encourage the municipalities in this supervisor to describe how they think a differentiated system should be. It is then possible to put in place such schemes as to give a flexible and user-friendly price to their waste services, which I believe are also more appropriate to what Mr Bredvold refers to.
ParlaMint-NO_2003-04-02.ana.ud2020e1579	Then I think the Council of State has clarified what I was really looking for. I'm waiting with excitement on that supervisor, and I hope and believe that it will also take into account the minimum pensioners that this often applies, who have a very small garbage heap to deliver, to say it like that.
ParlaMint-NO_2003-04-02.ana.ud2020e1586	The supervisor is important, but as I said, it is also a municipal responsibility for municipal politicians to design a system that is best suited to the challenges in their municipality. We cannot control everything from the staging room, and I have also understood that is not desirable, at least not from the Progress Party; they want more framework transfers and less earmarked funds. It is assumed that there is a lot of wisdom out there in local government as well. Compared to that of the elderly and the lonely and those who have very little waste, is perhaps a system of weighing by picking up the most tailor-made. But not all municipalities have it, and we can't force all municipalities to have it either. But I think there should be a difference between the payment and the size of the waste. It must also be that if you just get the trash once a month, you have to pay a lot less. It is very positive if you can also have flexibility in this system in relation to these three different solutions. But it must not be too bureaucratic, so it will be more expensive for everyone.
ParlaMint-NO_2003-04-02.ana.ud2020e1593	Then we go back to question 10.
ParlaMint-NO_2003-04-02.ana.ud2020e1601	I have a question for the Minister for Fisheries: ‘It is intended that 25 pst. of the cod quotas for the vessel group 15 to 28 metres shall be taken after 1 September. This corresponds to 13000 tonnes. At the same time, we know that cod during this period is not on the coastal fishing grounds. This group of vessels normally land only 3000 to 4000 tonnes during this period, see. the landing statistics of the raw fish team; How does the Council of State view this issue, and how will it ensure that coastal fishermen are able to make use of their quotas when fish are in coastal areas?’
ParlaMint-NO_2003-04-02.ana.ud2020e1610	This year’s regulation of fishing for cod has been established in line with a unanimous recommendation from the Board of Regulators – a Board of Regulators composed of both representatives of the land and the sea. The recommendation meant that you would cancel 25 pst. of the group quotas for vessels between 15 and 28 metres for fishing after 1 September. It was a piece of advice I listened to, and I take full responsibility for the regulation. And then paradoxically, a record-breaking lavish fishing becomes a problem. Because cod fishing in winter has been exceptionally good, fishing for vessels between 21 and 28 metres was stopped on 9 March and vessels between 15 and 21 metres were stopped on 22 March. Until 1 September 2003, these vessels will not be able to operate a direct fishing operation of cod, but they may continue to fish for other species and may interfere with up to 10 pst. cod. In 2003, Norway has relatively large quotas of Norwegian Arctic sej and Norwegian Arctic hyse. When fishing for these species, there will be a non-negligible quantity of cod as a by-catch. We know that from experience. And the exact amount that quantity is, of course, hard to predict. But in order to ensure that the sieving and hoist quotas can be taken, we have to set aside a quantity of cod until the harvest. It's also good for this group that they're asked about here. In addition to ensuring the exploitation of sieving and hoisting quotas and preventing overfishing of the Norwegian total quota, we must not forget the needs of the agricultural industry. The agricultural industry is also an important part of the fishing industry, in line with the fleet – and an up-stream land industry is important both for fleets and for coastal employment. But if it's going to be an up-and-coming industry, it needs the supply of fish more than in some hectic months in winter. However, I can assure the representative of Bastesen that the development of cod fishing is accompanied by the eyes of the argus both from the department and from the directorate. There have been requests from various industry teams to change the cod regulation of the year so that more cod can be fished in the spring. In the control system 13 000 tonnes were set aside for fishing after 1 September for the fleet group between 15 metres and 28 metres. The Directorate's forecasts show that fishing in winter has been so good that only 8 000 tonnes remain. The period quotas for vessels between 15 metres and 28 metres are therefore actually overfished, and the fishing should have been stopped even earlier than that. In order to ensure that the Norwegian cod quota is not overfished, in order to ensure the quantity to cover cod caught by fishing for other species, and to ensure the supply of cod to the land industry from this fleet group in the autumn, there is therefore no basis for making changes to the regulation of cod fisheries this year.
ParlaMint-NO_2003-04-02.ana.ud2020e1629	I have the following additional questions: the Minister for Fisheries is the top fishing authority in this country. He cannot shirk responsibility towards the Board of Regulators and the other organisations. We got the sea fishing fleet, and in that context the trawls, to assist the land industry. I am fully aware that the land industry needs raw materials. But the sea fishing fleet was to supply raw material that could be harvested. It is currently released and can fish its entire quota during the year. It is not permitted to deliver and harvest as it was before. The Minister of Fisheries is making a whole new point when he says that the coastal fleet should be the guarantor of the land industry. Has the Minister for Fisheries considered the withdrawal of the defined beam concessions?
ParlaMint-NO_2003-04-02.ana.ud2020e1636	All experience shows that the sea fishing fleet through long - term agreements has a delivery pattern that supplies the industry with fish all year round. I don't want to be a part of exempting the coastal fleet from the same responsibility. I do not in any way deny my responsibility for the regulation that I have strongly underlined is my responsibility. But fishermen and the rural industry cannot deny their responsibility for giving me one piece of advice in December and give me the opposite advice over the course of the new year. I'm stuck with what we've done. Experience shows that there is now so little fish left in the harvest quota that there will be no risk that the quota will not be taken. I would like to remind you that, in the years 1997–2002, after 1 September, the catch has been between 6432 tonnes and 1067 tonnes. It shows that what is set aside for this group — only 3,091 tonnes remains — is no more than what is needed to keep the industry going. I have to say that solidarity is poor when we do not encourage the coastal fishermen in Finnmark to be able to participate in a fishing so that the industry there could have up-to-date jobs.
ParlaMint-NO_2003-04-02.ana.ud2020e1643	I have not received an answer to my question. I do not expect to get that either. It is common to fish 3000 to 4000 tonnes during this period, cf. the statistics of the raw fish team; We have 8,000 tons left to fish. The fish is to be fished. When the Minister for Fisheries will not respond to whether he has decided to withdraw the concessions, I assume that the fish that had to be left over from the coastal fleet will be fished by the same fleet that does not have the delivery conditions it had before. It is quite new in the fisheries context that the coastal fleet has become the guarantor that the land industry will receive raw material, when it was the sea fishing fleet that was the guarantor in its time when the concessions were awarded. Will the Minister for Fisheries continue to stand on this line?
ParlaMint-NO_2003-04-02.ana.ud2020e1650	I have tried to explain that there is no basis for stopping the fishing. There's only 15 pst left. of the group quota. There are 3,091 tonnes of the quota remaining for the groups 21 to 28 metres. In recent years, it has been taken from 6,400 to 1000 tonnes. It shows that there's no more fish than you need to hurt yourself. With regard to the withdrawal of licences for the sea fishing fleet, there is no basis for that. I am a little surprised to see that from the Spokesman's chair you can demand that the Minister for Fisheries withdraw the licences for this fleet. But as I said, the delivery pattern for the sea fishing fleet shows that it contributes fish to the land industry all year round. I don't think it's too much for the coastal fleet to contribute. Many of us believe that the coastal fleet is the backbone of coastal communities. I intend to regulate it in such a way that it should still be able to be so.
ParlaMint-NO_2003-04-02.ana.ud2020e1657	That being the case, it is no. 1 finished.
ParlaMint-NO_2003-04-02.ana.ud2020e1668	There is no record.
