ParlaMint-NO_2003-03-27.ana.ud1262e69	The representative, Inge Ryan, will make a private proposal.
ParlaMint-NO_2003-03-27.ana.ud1262e1492	On the right, the gas will be put into service — even in the inland. Yes, inland we also need the gas, as in the rest of the country – Mid-Norway and Grenland have been mentioned. But anyway, we also want to have our share when an infrastructure is built. Once you've listened to this debate, maybe there's another perspective that beats you. To me, it seems that the decision it is now being put forward is paving the way for new attitudes when we think about energy policy, when we think about how to meet energy policy, and what opportunities it offers. Norway has considerable resources in terms of hydropower and oil, and this, of course, has given strong environments in these areas. But the low cost of both of these energy sources has unfortunately also given some one-sidedness in the way we have developed the energy industry. It has thus been a hindrance to the research and development that we need for the future in relation to other energy sources as well. In the long term, this can lead Norway into a behind-the-scenes, which I now feel is taking important action if not to happen. I am pleased that earlier in the debate the Council of State has pointed out the need for Norway to have a broader complex energy portfolio, where, for example, bioenergy is also included. The introduction of green certificates is an important step to welcome. The hinterland is often described as being in the oil shadow. However, the region is in the middle of the sun in terms of competence in these areas. Wide areas and forests provide special conditions for bioenergy, and the competence in terms of hydropower would be unnecessary to mention. Putting natural gas into use, investing in research, investing in the environmental perspective and investing in building up skills in this sector is about adding new algae to Norwegian energy policy and Norwegian energy knowledge. This will release structures and trigger new growth and progress for innovation in environments that are also very important for our part of the country. This is not just about pipes to Grenland or not. In fact, it is about our general approach to energy policy, our willingness to take the environment seriously and our willingness to invest in broad research and a broad national competence in the field of energy. Norway has legitimate ambitions to be an energy nation. The energy of the future in most countries other than ours will be about many energy sources. If Norway is to be in the forefront, we need broad knowledge, a knowledge that goes far beyond what has been our natural assumptions in this area.
ParlaMint-NO_2003-03-27.ana.ud1262e1505	It is gratifying that a broad majority of the Biggest give such a clear expression that more of natural gas should be used for domestic value creation. The current government is the first government to start work on expanding gas use infrastructure in Norway. The Labour Party uses a lot of big words, including in this debate, but it is the government parties that act. Natural gas can and should be used in a variety of ways and for different purposes, for direct combustion for different purposes, for electricity production, as raw material in industry and as fuel in the transport sector — e.g. in urban areas where buses play an important role in public transport. The needs of the petrochemical industry for cost-effective and stable deliveries of wet gas are also addressed to the right. Many areas in the country are pointing out to increase their share of natural gas in use. Several places in the West, Agder County, Middle Norway, Helgeland Coast, Grenland and Eastfold are all relevant places to use more of this important natural resource. The heavy-duty industry in Eastfold will be able to make good use of gas either through a branch from a gas pipeline to Grenland or initially via LNG facilities. The strong desire of a clear majority of the Stortinget to involve the public in the co-financing of gas infrastructure is important. On the other hand, we will carry out a responsible and thorough investigation into how to do this and how to do it most effectively. It can't be that you first give billions of dollars to figure out what and how to use the money. A prerequisite for putting natural gas into use in Norway is the development of the necessary infrastructure, but this requires substantial investment and requires the participation of the State in it. It is therefore necessary to examine and clarify the principles of State co-financing and the organisation of the development of natural gas infrastructure. Right, it's a commitment when we want to spend so much of the taxpayers' money that we first investigate how to use the money. We must first put the economy on the table in the infrastructure projects before we give money for this. Such an investigation will not delay the gas projects. The government has been given a one-year period to get the necessary facts on the table. The working party sat in government for a year and a half without doing anything to investigate this. After reading the position of the committee, I think it is remarkable that there are so many and different majority in this case – remarkable because the real distance between many of the different majority is very small. And if the case rapporteur and her party had had a lack of will for it, it would have been possible to bridge the differences of opinion that appear to be present. But no. There has obviously been a desire to cultivate rail disputes instead of reaching the most overall position possible. In the absence of offensive cases, the Workers' Party is now embarking on a career in which the billions are flagging, completely without investigations and preliminary work, in an attempt to buy a break-up among the voters. The taxpayers have over the years paid billions in the form of misguided investments because of these errors.
ParlaMint-NO_2003-03-27.ana.ud1262e1521	The representative Øyvind Halleraker had a good point earlier today. He pointed out that inversely proportional to the rise of the Workers' Party increases populism. I believe that this debate has clearly illustrated this. And the government parties have said it outright, they were unable to do anything about the Workers' Party in this matter. Of course, it's flattering for self-esteem to know that you were the first choice. It should not come as a surprise to the Workers' Party that SV is there – they chose to give the Government a cold shoulder. I am very pleased that the government chose to accept our extended hand in order to settle this matter. Because that's a good deal that we're happy with. We're getting an investigation of the infrastructure issue. And it's not like we've concluded in advance. We'll see facts on the table and get assessments of both economic and technical solutions before we draw the final conclusion. We also get a wide-ranging national hydrogen sample. It's been very important to us. And these investigations are to be coordinated in time. A State guarantee scheme for waterborne heat shall be investigated. It is important to achieve this energy conversion, which is very central if we are to move forward in relation to our energy policy. We have a mandatory green certification market, which is important for providing economic incentives to increase the production of new renewable electricity. And not least: the climate agreement from last year is solid. The use of gas for energy purposes shall enter the greenhouse gas allowance system. The overall gas settlement concluded by the Swedish Government and the Swedish Government once again illustrates that there is a majority here in the Chamber of Good Environmental Policy and a Good Climate Policy, when the Government will. And it's not, given the composition of the Stortinget and the Government's Sem Declaration, a majority for a strong commitment to conventional gas power plants. No one had thought that SV would ever go in for it, either in the LO circuits or in the Workers' Party. It's not because we don't like people's jobs, but because we have a better recipe for how to create the jobs of the future. Despite many of the contributions from the Workers' Party here today, I actually choose to live in hope. I hope that in the long term we will be able to join the Workers' Party and the trade union movement in developing the energy and industrial policy of the future, and start transforming society towards the necessary ecological sustainability. It's a huge project, and we need the trade movement, we also need the Workers' Party – we all need to be part of that project.
ParlaMint-NO_2003-03-27.ana.ud1262e1534	The Labour Party has had a clear message here today, and that is that we want to use gas, and we want to give it the clear signal here and now – and I have to say that I am very proud of that. This debate has been elucidating on some points in many ways. What I think it has been clarifying is that the Workers' Party and the Advance Party will today give a signal that we want to use the gas in Norway. SV is extremely pleased to have got the government parties on a settlement that involves: no guarantees for infrastructure, pipes to Grenland and LNG receivers. SV has clearly stated in several rounds that they would rather not, so I understand that SV is very satisfied with this. I also believe Onarheim when he says he wants to. And I also think that if Onarheim had been determined, this would have reconciled look different. But the point is that there are also others that clearly decide, and that will be in a different direction. I react a little to someone trying to shift responsibility over to us because we would not be involved in a settlement. Well, we would be in a deal, but we would be in a deal that meant that we could give some guarantees that there were some jobs built on the basis of this, that we actually got some of the polluting ferries that are now going around, with gas ferries, and that we could also do something about the energy situation. It was no problem to agree on anything and disagree on anything else. But the government parties wouldn't be in it. It's a choice they've made. So the question of investigations about what's done in the past. It is now about six years since the Stortinget had a gas message for processing. Our government presented a concrete action plan for the use of natural gas in Norway. The store said they wanted a new message. We have received it – many good visions, but very little concrete. And I'm not impressed by that proposal government there had to infrastructure, which was to add a few million into Enova. And I underline: I have nothing against Enova, it was the Workers' Party that proposed to create Enova. But I'm against them taking care of the gas infrastructure, because that means there won't be any gas around Norway. That's why we wanted another company, and that's why we wanted money. But let me stress: everyone who has been involved in this debate and read the position knows that these are not subsidies. This is money under the line. And when the Council of State and others here say that this should then affect the rule of action, etc., that is not right. For this, equity is also equity, and the expenditure side of the country will not be affected by this. Then I also have to say at the end that I have been in several rounds a little surprised by the committee leader Rahm's statement. First, he is quoted as saying that one could not achieve anything more than what one has received. That's wrong. He and some other representatives have also tried to produce it so that the reason why it was not a settlement was that Jens Stoltenberg was in Grenland a week ago and said that the Workers' Party could be open to build gas power. It's nothing new. And besides, the government parties had decided before Jens Stoltenberg was in Grenland. So don't blame others, take responsibility for what you stand for, sail!
ParlaMint-NO_2003-03-27.ana.ud1262e1549	First, in line with many previous speakers from the Workers' Party, I regret that a majority in the Grand Duchy, consisting of the Right, the Christian People's Party and the SV, today decide to postpone the decision to build gas pipelines to Grenland, where the state participates through co-financing. It's a setback, especially for the industry, an industry that we're totally dependent on, and that has huge problems because competitors have better framework conditions, among other things. through access to natural gas. There is no doubt that a gas pipeline to Grenland is among the most effective food policy instruments we can deploy for the area now. And there is a need for tools at a time when jobs disappear here every day in the country, businesses move out or are laid down. However, it does not seem that the Government and the Swedish Government are particularly concerned about making a binding decision now, which would give industry a new boost and new optimism. Gas to Grenland is an important first stage in supplying natural gas to the Central East. Therefore, decisions are so important now, because urgent action is needed, and several areas are waiting to put the gas into service. If we first got gas to Grenland, there are also opportunities to get gas to Østfold present, and also to Sweden. Eastfold Gassforum is already established. It is a cooperation forum consisting of 25 central companies, organisations and municipalities in the county. Eastfold Gassforum is working to safeguard Eastfold's regional policy interests in terms of accessing gas. Eastfold has a significant natural gas market. Large industrial enterprises such as: Overall, Borregaard would have a more robust competitive energy supply with much lower emissions than today if natural gas were available. It would also give much less emissions to other large companies that currently use heavy oil as energy. The market has been surveyed by Østfold Energie, and a likely market that can be rapidly realised is supply to the heavy industry in the county. This start-up market needs a total of 130 million m3 of natural gas per year. years already. Now we can see that, and the need can get bigger. The heating market other than the heavy industry, transport and development of new businesses, etc. will, of course, further increase the market and the conditions for such development are very good in Eastfold, as the heavy industry can be the backbone of a distribution system that can also supply other markets. But today’s decision does not give much hope that the goal is closer. The Labour Party will regret that.
ParlaMint-NO_2003-03-27.ana.ud1262e1566	There has been a fresh debate. It has been characterized by a good deal of rhetoric. I'm not going to comment on that. After all, the impression of where the positions stand in this debate has become more balanced. There have been allegations of delays, of industrial failure and of the kind of statements that have been thoroughly refuted through the debate. Ranveig Frøiland said at the beginning of this debate that the Workers' Party will, of course, carry out the necessary investigations for infrastructure and other tasks. At the same time, the Labour Party argues that the majority position means a postponement of important projects based on the use of gas. What is the postponement of the majority vote if the Workers' Party has to implement the same projects anyway? I also show that the industry has largely been very satisfied with this position. This applies not least to the industry in Grenland. I will repeat the warning that has also been given earlier in this debate, namely the warning to create negative, fatalistic attitudes to what is to happen now. There are no such signals the industry needs, nor are there such signals that should apply in the wake of this debate. For my part, I am very pleased with the setting. I'm recording that not everyone is. However, let me be allowed to invite the whole Stortinget to a broad cooperation. I would like to invite the Labour Party and the Advance Party to conclude the series of important industrial policy initiatives in the future. Let me say to Sylvia Brustad's calculation in terms of so-called under the line-money: I want to once again show that for every single penny taken into equity of such companies, 4 pst. go over the line-money. It's an arithmetic that you have to have, and don't give a wrong idea of how the socio-economic conditions turn out. So I would also say that this government has set aside almost 80 million. kr for the current year’s infrastructure budget. And then we have 20 million. in the authorizations for the award of the contract. So it's closer to 100 million. kr which is completed for infrastructure. No other government has similarly spent money on infrastructure. Neither did my predecessor, Olav Akselsen. So let there be no doubt that this government is also betting on infrastructure. I believe that when dust falls after this debate, there will be a political landscape in which opportunities for cooperation on political responsibility and action on a sensible, forward-looking and well-established policy for increased use of gas in Norway can be demonstrated.
ParlaMint-NO_2003-03-27.ana.ud1262e1587	There has been a common denominator in this debate that very many express concern for Norwegian industry and for Norwegian district policy. The big questions are, what do we do with concern? What kind of signals do we send to the Norwegian industry? And what kind of signals do we send out in relation to Norwegian district policy? For me, it's natural to be particularly concerned with the situation in my own home state, the Nord-Trøndelag. I think that the situation there is incredibly challenging and should worry the whole hall. We know that the Nord-Trøndelag is an agricultural-dependent state, facing major challenges related to migration that arise as a result of the WTO negotiations. We know that one third of the Nord-Trøndelag are in the area that has reduced the employer’s fee and that now has to expect great demands for conversion and challenges. And we know that Nord-Trøndelag is typically a state where the small industry is experiencing significant problems, in terms of closure, deflagration, etc. What can we look for from positive opportunities and projects in a district like the Nord-Trøndelag? What are there plans that can be implemented to create optimism? Industrial power Mid-Norway, in cooperation with one of its strong owners, Norwegian Forest, has planned a landing of gas into Trondheimsfjorden to build a cogeneration plant on Forest. It must again form the basis for Norwegian Forest to make new investments in the paper factory at Skogn. Norwegian Forest now sits and assesses: Where are we going to build a new paper machine – billion investment as it is? Well, we have to build it in a place where we know that we have access to not least enough energy. There are two alternatives that Norwegian Forest now roughly evaluates. It's either building on the Forest in the North Throne Layer, or building in Austria. Why is Norwegian Forest considering building in Austria? Yes, there is access to Norwegian gas. In Austria, Norwegian gas is available, but not in Forests. That's why the Norwegian Forests, trade unions, the NHO, the Christian People's Party, the Center Party, the Right and the Workers' Party are all now joining forces in the Nord-Trøndelag with demands for action now. That's why the North Troops today say that the decision Stortinget makes is bad, it's not good for us. And if others think it's a joy day, then they don't have to impose on us as votes for another scheme, to travel to the Nord-Trøndelag and explain that it's a joy day, don't impose a problem on us that we actually agree with the industry in the Nord-Trøndelag and say that this is a sad day.
ParlaMint-NO_2003-03-27.ana.ud1262e1603	It's almost 15 o'clock. Since there are only four speakers left – unless it is suddenly said in a whole lot of three-minute speeches – the President will propose that the morning meeting continue beyond the regulatory time, so that we can finish the debate on this matter before the meeting is cancelled. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-03-27.ana.ud1262e1606	I want to take the opportunity to start with some adult education. And after the debate we have had today, I hope that there are more than the representative of Korsberg who is now listening to what I am going to say. One of the most important contributions in relation to our CO2 obligations in the future is that we are able to electrify the socket. Another important contribution is that we get research and development of gas power plants with CO2 management. A third is that we can use the gas in the transport sector and in industry. And the last and perhaps most important contribution is that we go our way towards a hydrogen society. That's why the Workers' Party has a policy that adds up to it. If it had been so that the Progress Party would have taken the climate problems seriously, if the Progress Party had pursued a policy that meant that we should comply with international agreements and obligations, and if the Progress Party had not conducted a polling policy, but a more long-term, proper policy – yes, in fact, I think they would have understood where the Workers' Party will. I understand that the government parties today need to leave all the doors open. The political situation is that next time the government will be forced, both in climate policy and in relation to using the gas, to go to parties other than those with which they have now entered into a settlement. That's why it's now going to be a postponement. The agreement with SV has resulted in a delay in using the gas in Norway rather than in implementing concrete measures. We've spent tens of billions of dollars adding gas pipes to Europe. I have not heard the big protests until we spend a few kroner on adding them to Norway. I think it's a strange rhetoric when you claim that you have to figure out something that you've been doing for 30 years. It's good for the environment, some say about the deal. Yes, I mean we've seen that this winter, because we've never imported more coal power, gas power or nuclear power than what we've done this year. Is that good for the environment? Is it Norway’s limit values for climate emissions?
ParlaMint-NO_2003-03-27.ana.ud1262e1621	I think I'm the party leader who has worn the bench in this hall most today. It's not very strange, because I'm born and raised in Grenland. I have spent much of my childhood at the width of Gunnekleiv, before it was possible to see the bottom of it, and feel strongly for the industrial development in Grenland. There are a lot of things that surprise me about this debate. First of all, it surprises me that the Labour Party and the government parties did not get us into the bargain by entering into a settlement. Because it is not exactly so that the representative Onarheim shines with love for SV when he is going to explain this agreement. I think that is an honest matter, but I think it is a sign that it is difficult to take the Workers' Party's proposals and comments in this Chamber seriously. If the will had been present, I think one would have come much further in the direction of a settlement about this. That's the one thing I'm amazed at. The second is how fast the debate is going to be a debate on gas power plants, and not just on one or two or three gas power plants, but on the most possible gas power stations, with minimum restrictions. And there we are at one of the heart of the debate, because we cannot build an infrastructure for gas that we neither have an economic overview nor an environmental policy overview of what it means. The industry in Grenland is not worthy of being a poor little fig leaf for someone who really has a different agenda, namely to build the most possible gas power plant. The industry in Grenland has undergone difficult changes from the time I grew up in the Grenland area in the 1960s – what came out of the pipes, we didn't know what was, and what came out into the sea, we didn't know what was – to a sustainable industry, which we now have, because we found that point, because the environmental movement actually stood on, which made it a sustainable industry there. We understand very well the concerns of those who depend on the industrial workplaces in Grenland for which investment decisions are being taken in the future. But no one is making investment decisions in Grenland ahead of buttons, gloss, air locks and fig leaves. These are investments that will last for 30, 40 or 50 years, and it is not the case that any commercial operators take them on the basis of the exploitability of the Workers' Party in a cancellation. I have trouble realizing that this is serious. I have trouble understanding that NOK 3 billion for infrastructure across the country in a company that is going to be commercially profitable would actually provide one meter of gas pipeline in the direction of Grenland. On the contrary, this is a matter that needs to be thoroughly worked through economically, because it is another matter to use it for industry. That's SV positive. But we can't do that without having an environmental overview of the consequences.
ParlaMint-NO_2003-03-27.ana.ud1262e1634	I would like to congratulate Kristin Halvorsen. Last Friday she said she was very pleased with the Government's security policy, defence policy and position in relation to Iraq. Today she applauds the fact that she has stopped a concrete decision to set up an infrastructure company to provide money, in which, through that decision, we would have determined that it is a public task, not a commercial one, but a public one, to provide a proper infrastructure, i.e. pipelines for gas up to Forest and to Grenland, and possibly later also to Eastfold. I expect them to notice that Kristin Halvorsen has managed to stop it in the Grenland area. But the party that amazes me is the Right, which is now in two very important policy areas, namely security policy and foreign policy, in the bosom of Kristin Halvorsen from the Socialist Left Party – from the Socialist Left Party. So the same thing has happened in terms of industrial construction and value creation. It should be something that's not quite comfortable. State Council Steensnæs invites everyone to cooperate. Yes, it's always the technique of government councillors and prime ministers from the Christian People's Party when they're in a party political corner. They then invite broad cooperation to remove everything called party politics between different positions. But if you're inviting to cooperate, you have to be willing to kidnap. That's what happened now. The government was not willing to jeopardize itself. So the representative onarheim says that you just have to figure out more where the pipeline should be, and other things. No, it's not a matter for the authorities to investigate. We need to get the company in place, which, of course, in a commercial way and in a knowledge-based way, we need to find out how things are going. It's not a political task to draw pipelines on a map, either for the ministry. But to put in place the company that is just going to launch it – while there is a signal that this is a public infrastructure task, where the money for the pipeline is not necessarily seen as a profitable commercial project, because then you have to look at depreciation times of 15 and 20 years – we look at corresponding road construction, because then you can have a perspective when you have to calculate tariffs to send gas through the pipeline, 40, 50 and 60 years, and then you get a quite different price. The political resolution is not when we are going to use gas domestically, but if, today, together with the Workers' Party, we are going to make the real decisions, and then the implementation of a company can be implemented. It's not suitable for further investigation. And it's disappointing that the Right has given up as important things as they've done lately.
ParlaMint-NO_2003-03-27.ana.ud1262e1651	Brother Yngve Rahm has had the word twice before and gets the word to a short remark, limited to 1 minute.
ParlaMint-NO_2003-03-27.ana.ud1262e1654	I wasn't going to take the word any more, but when Carl I. Hagen did, I'd like to be allowed to follow up. He accuses, among other things: Right to not run industrial policy and Christian People's Party in order to be needed in a corner. What I can say is that those who are currently outside any influence on energy policy and on gas policy are the Progress Party and the Workers' Party. And there they haven't sat down using the government parties, but there they've sat themselves. The process has progressed towards the conclusions drawn, distanced itself from the possibilities of some conciliation – to the extent desirable – with the government parties by increasing the randomly selected sum from DKK 4 to 5 billion. Thus a distance was created, a self-marking was created, but no industrial construction was created. We've seen that before. When the Progress Party has incidentally spent money on projects that have not been planned, we have seen that this did not necessarily go so well. IT Fornebu is an example of this, and we have been involved in the FATIMA project earlier, where state councils at that time were accused of not having properly supported their construction projects, and possibly going to court against Kjell Opseth. That kind of industrial construction we don't want to be involved in, we're going to think about it on a solid basis. And in this case, the Progress Party has not contributed to this construction.
ParlaMint-NO_2003-03-27.ana.ud1262e1664	The representative, Hagen, said something right. He said that if you want to cooperate, you have to be willing to jeopardize yourself a little. This applies not least to the two parties which are currently in the Chamber and complain that the other parties are not involved in their case, namely the Labour Party and the Advance Party. As far as I can see, neither the Workers' Party nor the Advance Party have been willing to move one millimeter to try and settle here in the Chamber on the use of gas. Then I think it's a little strange that they're using the whole debate here today to accuse the majority that's agreed on. I would say that what the Labour Party is doing today is that they are not at all realistic about this issue. What the Workers' Party seems to think about today is self-marking in relation to its own primary position, but without looking at what it is possible to achieve wide-ranging settlements about in the Storting. I think that's a pity, because it's clear that the Central Party is also of the opinion that what we are adopting today is important, and we have several possible choices regarding gas infrastructure in the future. We can choose pipeline system, or we can pick coastal gas based on LNG solution. But what both the Labour Party and the Advance Party know is that there is no majority in this Chamber with the government now in place to lay pipelines without setting environmental requirements related to power generation of gas. It's just reading the Sem statement to see it – simple math! Then I think it's remarkable that one stands in a position in Stortinget where neither in committee proceedings nor in the course of the debate has been willing to jeopardize himself at all, as Carl I. Hagen said, in order to try to achieve a settlement. The centre party initially wanted to go beyond what the government parties and SV do, in the sense that we wanted that one could now have had a commitment from the state to enter a pipeline into Grenland, but then on condition that the environmental requirement for gas power generation, i.e. CO2 removal, must be at the bottom if the State is to enter as a partner. So far, the majority does not choose to go today, but we think it is more important to be able to jeopardize the majority that exists, and also to be concerned with the timetable for the further investigation that is to take place now, than to be fully on the sideline. And I honestly think it becomes pointless when the representative Bjarne Håkon Hanssen earlier here today makes it appear that North-Trundellag County was unilaterally dependent on the construction of a gas power plant with traditional gas power technology in Forest. I don't have that bad faith about my own state. There are many opportunities in the Nord-Trøndelag for further industrial development. I think that instead of constantly digging ourselves into a debate about gas power plants locally and regionally in Trøndelag, we should look at some of the possibilities where we could agree to build further.
ParlaMint-NO_2003-03-27.ana.ud1262e1675	In contrast to the representative Arnstad, I have actually been negotiating this case, and what the representative Arnstad here says is not right. The thing was that the government parties were not interested in being involved in anything more than investigations. It was too bad for us in the Workers' Party, and so has Carl I. Hagen confirmed in relation to the Progress Party. In fact, I believe that we should have respect for our point of view. We couldn't be in a situation that was as bad and as non-committal as the majority in this Chamber is now in favour. It's not to jeopardize yourself by trying to get results. Then I must also say that I am somewhat surprised at Kristin Halvorsen, who in his post says that it is difficult to take the Workers' Party seriously. We have been ready in this matter from day one: we were busy creating jobs. The industry has given us one clear message, which has not been misunderstanding, and it has been that if we stop sending the gas out of the country – today 99 pst. out of the country – must be involved in infrastructure. There's nothing to figure out. That is why we have said that we will give a clear signal that this is what we will do, because we are interested in building jobs in Norway and not sending all this gas out of the country, with the loss of jobs it brings to our country. That is what this debate is about. And what lies in the agreement is very non-committal, both in relation to Grenland and in relation to other places around the country. And that SV is satisfied with that, I understand very well, because they have not been interested in using this gas in our country at all. To the question of gas power plants, there is nothing new for anyone in this room that the Workers' Party is also concerned with building gas power plants. We believe that it is unacceptable when both industry and many consumers in Norway today pay far too high electricity bills because the energy nation of Norway has faced a situation where we are not able to produce enough power. Instead, we import a lot of coal and nuclear power. But the matter was that it was fine to agree on infrastructure and nevertheless disagree on gas power plants. I have to say that I react when some parties here – because the Workers' Party has now, as before, been involved in gas power plants – try to create the impression that that's what makes a compromise. We have clearly said that the most important thing for us in this case is to put in place an infrastructure that enables us to build jobs. That's what's most urgent. And then we also said that there is no accident if we get some gas power plants. But it has not been decisive for us in this matter. And when Brother Yngve Rahm stands and harps on as he does, and says that we only have some random sums, I would say that Prime Minister Bondevik raised about the same amount when he was visiting Telemark. And if it's random sums -- well. But the point is that we want pipes to Grenland, and we want infrastructure. We want to give a clear signal about it now, and we think there's no reason to figure it out in the knowledge and the broad, if you know what you want. It's not irresponsible, it's responsible, and it's building the country.
ParlaMint-NO_2003-03-27.ana.ud1262e1690	There are now increasing numbers on the list. If there are many more, we need to consider continuing the debate at the evening meeting. 18th@item: inlistbox The people who have been enlisted are Carl I. Hagen, Kristin Halvorsen, Jon Lilletun and Marit Arnstad.
ParlaMint-NO_2003-03-27.ana.ud1262e1695	First to Brother Yngve Rahm, who was able to compare this with a road development that was thoroughly investigated and evaluated, and which had been throughout the process and had been presented to the Stortinget, who then approved it. That's the process Onarheim was talking about here. It was finished when the FATIMA allocation and the plans went through here in the house, which was then twice as expensive. It's no wonder that we're reacting. But it was actually a road project. It was not a company to provide infrastructure. So for me, it's not crucial whether these pipelines cost 3, 4 or 5 billion kroner. I think of it as repositioning of assets. We're replacing some shares in Coca-Cola and Philip Morris with a pipeline that can lay the foundation for some jobs, which may also be the basis for power generation, and which can be involved in building the country, just like we build roads, based on whether there's traffic. Here we know the volume of traffic. Here we know that it can be exploited. But Marit Arnstad was interested in something interesting about the majority in the hall. I know that my party colleague, Per Sandberg, also said something about it before today. But when we look at the history, we see that the Right was willing to throw a government to get to gas power plants. Now the Right is in government and prevents the same gas power plant because the taboos are so much more interesting. Then some start to ask, is it really the way we have to go about another government in order to get a real industrial policy, get to value, get to some sensible things? Should the Right be set free from the clumsy hand that they feel from the Left and Christian People's Party when it comes to pursuing a sensible industrial and value creation policy, energy policy, not to talk about security policy? It's starting to form a pattern. And it may be that eventually it is the Right Love to sit in government that becomes the path of the Government. That should be right-wing thinking about when they're in government.
ParlaMint-NO_2003-03-27.ana.ud1262e1709	I'll try to keep a tone as objective and sober as possible. I might think that the IT Fornebu alliance in this room should be jumping down a couple of heels, because they've taken the chance before when it comes to wiping out millions to build the country. So you have to know what to do when you invest billions of dollars, both in terms of economics, and in terms of environmental accounts. That has to be the starting point for us. So for domestic gas use: we in SV are positive for the use of gas for process and industrial purposes. But it's a disappearing little part of the gas that we export per. today, proceeding. Most of it goes to energy. And, of course, it cannot be guaranteed, as both the Labour Party and the Progress Party know, that such a large and comprehensive infrastructure effort that is being discussed here now will not, in the next round, lead to an environmental policy that we cannot actually stand for. It's that simple! We have to put that on the table before you start investing billions of dollars. Then I have a very strong wish at the end of the debate: I think that the black paint that you have come with in relation to the situation in Grenland can lead to the table catching. It may be that one, two or three percent can be obtained at the next election campaign, but that is not what industrial investors in Grenland take into account when making their decisions. That is why, in fact, what is being said from this speaker, is quite important in terms of the future of the industry in Grenland. And what the majority of people today have decided is how to make use of gas in the industry in Grenland, and the investments that may be remunerated economically and environmentally by those studies are to be submitted to the Stortinget. You really have a broad majority behind it. That is why my strong call for the Workers' Party and the Advance Party is: Mute that use of words – it can be magic in words! Realize that there have actually been some steps on the way to decisions, and vote subsidiaryly for what is the majority! That would be the signal that went to the decision-makers, that we don't run politically, and that could give some optimism in Grenland, instead of the black paint that I have unfortunately heard in too many posts. It is possible you are concerned about Grenland, but I have my doubts – I have to say.
ParlaMint-NO_2003-03-27.ana.ud1262e1720	What got me to take the floor was the claim from the representative Brustad that Prime Minister Bondevik should have been in Grenland and promised about the same amount. It doesn't match the truth at all. What Prime Minister Bondevik said was a complement to what is stated in the Gas Communication, namely that there should be State co-financing for the infrastructure. It is also in the setting from the plural that this should be the case. When a plurality on the Stortinget actually decides that, it is wrong for the case-speaker and representatives of the Progress Party today to say that we are going away from what is promised for state co-financing. It says in the message, the Prime Minister has said so, and a large majority here today say that we should have State co-financing. Then I thought it would be untimely to present it as if it were the opposite that happens here. I ask the representative Brustad to be sorry for the misinformation about what the Prime Minister has said. What's real is that neither the Labour Party nor the Progress Party have today documented what kind of distribution they're building on when they're dealing with the number they've come up with. Then the representative rallied Hagen quite vigorously. The truth is, if there is someone who has changed the policy when it comes to government involvement and the use of government resources, then it is the Progress Party and the representative Hagen. I can find the setting where one goes against this type of government waste, and then one has changed the policy. That's the law, but the way it's being raided on others is quite surprising. I have to say that I am quite disappointed that one, when State Council Steensnæs invites to cooperate with the plural here today, and with the Progress Party and the Labour Party, says that it does one because one is needed in a corner. The truth is, there's a lot of people here in the room today. One is not needed up in any corner at all, and then one says nevertheless that one wants to cooperate. If you're busy with Grenland, of Trøndelag, of the coast and of industrial construction, yes, say it's good to be invited to cooperate: we're ready to cooperate. When the distributions are done, I hope we'll be able to find a broad majority that will secure both sustainable development and the environment, and that will ensure jobs and settlement along the coast.
ParlaMint-NO_2003-03-27.ana.ud1262e1731	The representative of the Labour Party has stood on this platform and said throughout the day, and as Sylvia Brustad, the rapporteur of the case, repeats, is a notion that everyone else in the Chamber, except the Labour Party and the Advance Party, is opposed to the use of domestic gas, because one does not agree exactly with the solution presented by the Labour Party. A more incorrect picture could not be drawn. If a worker's party has that as a starting point, it might not be so strange that they have failed to reach agreement with other parties. It is reasonable that one faces a question and a matter in which the whole Storting agrees that one should increase the domestic use of gas. One is almost a hundred percent in agreement on how it should be done in the transport sector. One agrees on the use of gas in relation to ferries, and one also largely agrees on the use of industrial gas. The point one disagrees with is the use of gas for power generation, where the Workers' Party has a different view from that of the other batches. If the Workers' Party had sat down and carried out a simple mathematical test before they began to deal with this matter, they would see that they did not have a majority for their view, because of the government constellation and the Sem statement we now have. The working party should perhaps, if they had really been concerned about the industry, and if they really would have increased domestic use of gas, sit down and think: how are we going to be able on this basis to obtain a majority that will increase domestic use of gas? But the Workers' Party didn't. No, the Labour Party has made some demands, they have not been able to pass on those demands, and they have used the day today to tell us that everyone else who does not agree with their demands is against the use of domestic gas – a pointless way of dealing with a case. The matter is of great importance to many regions in this country, and all parties had been served that they had seen the matter in real terms. One can discuss the history, as Carl I. Hagen does, but if one is really concerned that an industrial is going to get something, based on the setting we have here today, one must also relate to today's reality picture. The real political picture suggests that if the Workers' Party and the Advance Party were to have a majority here today, they would have had to move in relation to their own position on gas for power generation. They haven't been willing to do that, so they've stood in the middle of a corner, where they've been through the whole debate. It is possible that this will function well as a rhetoric in the local election campaign, but decent in relation to the case, in relation to the desire for a robust gas industry in Norway and in relation to the wish for the widest possible political gathering on some objectives in the field of gas policy – it is not!
