ParlaMint-NO_2003-03-26.ana.ud1942e28	The representative of Olav Gunnar Ballo will make a private proposal.
ParlaMint-NO_2003-03-26.ana.ud1942e1294	It is quite right, as the representative Höglund says, that trade with the countries with which we have concluded a free trade agreement has increased more than trade with the countries with which we do not have such an agreement. For some industries this is particularly important, and fish – as mentioned above – are one of these. Although, in total, there is not a large part of Norwegian trade, there is an important and large share in trading, among other things. fish. Mexico is one of the countries with which we have agreed, which has definitely been positive. Now we're done with Chile. We have talks going on in EFTA on South Korea. Those assessments will probably be finalised in the Ministerial Council meeting to be held in June, in other words in Norway. The representative asks us if we have ambitions beyond this. Well, it depends a lot on what other countries do, and on what other big commercial powers do. We know that, for example, the United States has been on the road and researched opportunities for other countries. We must follow closely the developments and take the necessary initiatives to safeguard our interests.
ParlaMint-NO_2003-03-26.ana.ud1942e1303	I thank the Council of State for the answer. Just the last country mentioned by the Council of State, the United States, is perhaps the largest market we have next to the EU. Getting an orderly relationship with the United States and a free trade agreement where I think will be of great importance to many industries. We have an agreement with Mexico. If we get the deal with Canada, it's the United States that's missing between there. I interpret the Council's response so that at least the basis for a free trade agreement between the EFTA and the United States will be examined.
ParlaMint-NO_2003-03-26.ana.ud1942e1310	There were in particular two countries mentioned. It was Canada, which we've been doing for a very long time, and which most of us had both believed and hoped that we would have finished. It actually stands at one point, and that's what goes on in shipbuilding and Canadian customs walls for the import of ships. That's the relationship we work intensely on on many levels. As far as the United States is concerned, we know that the United States has taken several steps, in the sense of the WTO as its main track, but that they also look at the possibility of other agreements bilaterally. In this context, it is natural that we also assess from the Norwegian side whether there is a basis for taking initiatives of a more concrete nature linked to negotiations. Such assessments are ongoing.
ParlaMint-NO_2003-03-26.ana.ud1942e1320	I allow myself to ask the Minister for Economic Affairs and Trade the following questions: ‘The sale of Raufoss ASA has stranded, and much indicates that the company is in the vicinity of bankruptcy and needs injection of new capital. Several hundred workplaces are in danger. The State is still a significant owner of the enterprise and has the primary responsibility for its further destiny. What will the Council of State do?’
ParlaMint-NO_2003-03-26.ana.ud1942e1329	Raufoss ASA has worked for a long time to sell most of its remaining business to Dutch Euralcom NV. As part of this work by the company, I obtained the necessary powers from Stortinget that the Ministry of Economic Affairs and Trade could join such a scheme for the sale of activities in Raufoss ASA. I refer in that context to St.prp. No 39 for 2002-2003 on ownership cases concerning Raufoss ASA and others, which gave a broader explanation of the case. The size joined the structure of the main features. There has been further negotiation between the parties since then, among other things. based on a so-called due diligence review. However, the exchange notification dated 14 March of this year states that: ‘The Board of Raufoss has decided to terminate negotiations with Euralcom on the sale of the Chassis business, as it was not possible to agree on conditions acceptable to Raufoss’ shareholders and creditors. The equity situation is considered unsatisfactory and the board is working on a refinancing plan for the company to ensure a long-term basis for further operations. Internal measures to further adapt activities to the above challenges will be implemented.’ The Raufoss group is currently in a demanding financial situation. It's been known for a long time. Annual results for 2002 showed a deficit of minus 362 million. kr, and significant non-recurring write-downs of fixed assets were carried out. The company's gross and net liabilities increased significantly throughout the year. As a shareholder in Raufoss ASA, the department has to await the board's proposal for action before I can decide how the government will act. The proposal of the Management Board is not yet available, and it is therefore difficult to speculate on measures taken by the State. There are also other major shareholders who have to decide what should be done. As far as I understand, the board of directors and management of the company are now looking at the possibility of finding other solutions, and I will therefore wait for the assessments made by the board of directors before taking new steps from my side. A relationship we want to look at is any environmental obligations that may rest with Raufoss, including: related to the dumping of old ammunition by the former defence and defence companies in Mjösa during both the last world war and the 1950s and 1960s. These are factors that may have an impact on further efforts to ensure the further development of the company.
ParlaMint-NO_2003-03-26.ana.ud1942e1345	I would like to thank the Council of State for the answer. Of course, I am aware of what the Storting has said, and what wishes the Storting has had for the sale of Raufoss ASA, but I am, like the Council of State, also concerned about what is now happening to get a long-term basis for further operations. I interpret what the Council of State finally said about environmental obligations, positive. I would like to ask the Council of State if he now sees some basis for clearing the environmental obligations that lie on Raufoss ASA to make a sale of the company easier. That's the one. The second thing I would like to challenge the Council of States, and which can contribute to what he himself said about getting a long-term basis for further operations, not just for this company, but for the whole of the Raufoss-Gjøvik area, is taking an initiative to support an innovation company that can help increase the development of the area.
ParlaMint-NO_2003-03-26.ana.ud1942e1352	The issue of the sale of essential parts of Raufoss ASA is, of course, led primarily by the board itself because the state is no longer the sole owner. Raufoss ASA has significant environmental obligations. These are the environmental obligations mentioned in the prospectus published in 1990 when part-privatisation of Raufoss. I have informed Stortinget about this and have told Stortinget that in this context I will have to act as an shareholder who sits on approx. 50 pst. From the ownership position, it means that there is a common obligation on the shareholders. With regard to the overall environmental obligations that lie here, Norwegian environmental protection legislation clearly clarifies this. If the State assumes obligations in addition to those arising from environmental legislation in relation to companies, it will be a matter for the environmental protection authorities.
ParlaMint-NO_2003-03-26.ana.ud1942e1359	I thank you again for the answer. I record that the Council of State has no comments on a state initiative to create an innovation company in the area. I think it's defensive. I want to say that there are now very many in this area who are waiting for good, offensive answers from the Council of State and the Government. The employees and their families are very insecure. I believe that the state, which is a major shareholder in Raufoss ASA, has a special responsibility to show the way in how this company can be saved, and how this society can see something brighter in the future. So I again challenge the Council of State on this with the innovation company, but also that the state helps to clear the environmental obligations that lie there, just to make a sale of the company easier, and to arrive at a somewhat more offensive policy for this area, because it is expected.
ParlaMint-NO_2003-03-26.ana.ud1942e1366	When I did not respond to it in the first round, it was because I knew that I would have a new opportunity. Just to get out of the picture in relation to the environment: it is clear that it is important and interesting both for the state as owner and for the state as such to sort it out so that any buyer knows exactly what risk lies in Raufoss. I'll take that with me. On the question of whether to participate as a potential actor and contributor in an innovation company, there is definitely something to come back to. I'll say it so that it might be natural to see these things in context. If you get to a solution that's as good as I hope it will be, that we can continue the business, but with new, industrial, safe, good and capitalist owners, that's going to be a little different than if it didn't happen. I would also just like to point out, for the sake of order, that Uppland County is actually among the countries with the lowest unemployment rate, and that of course we need to see the whole country in the context before we distribute funds to innovation companies or seed companies.
ParlaMint-NO_2003-03-26.ana.ud1942e1382	I have the following questions for the Minister for Transport: ‘The use of tolls in Eastfold is in the process of being out of control. In addition to the fact that the funding of Norway’s most traffickers, E6 and E18 through the county, takes place using 50 pst. toll money, a new Svinesund link shall be fully financed with tolls. Although tolls were intended as a supplement to ordinary road appropriations, 1/3 of all road construction is now financed through the scheme. Where does the Government’s toll financing limit go?’»
ParlaMint-NO_2003-03-26.ana.ud1942e1391	It's basically a state responsibility to expand our national road network. This year's state budget allocates approximately NOK 11.5 billion to expand, maintain and operate our road network. Financial policy considerations, however, restrict the financing of the State budget, and therefore tolls have come as an additional form of funding. Toll sub-financing has led to the maintenance of a number of road projects, leading to better and safer roads in a number of places. This year, about 2 billion kroner will be made available from the toll companies. An important principle for toll financing is that this is based on a local initiative. Local authorities must decide on a toll project before it can be submitted for approval in Stortinget. Through the treatment of Phase 1 of the Eastfold Package by the Storting, the main premises for the development of E6 and E18 were made through Eastfold. The decision of the majority involves partially toll-financed development of E6 and E18 through the county. The Ministry of Transport’s proposal for the Storting was based on local decisions. Following discussions between Sweden and Norway, a common Norwegian-Swedish toll scheme was chosen at the national border at Svinesund. At the same time, the Norwegian share of the Svinesund compound was withdrawn from the Eastfold package. In this way, the deployment of E6 in Eastfold is possible, while the E18 is not rocked. Not least for the purpose of the traffic situation on E6, I consider such a service to be very important. I consider the accident situation at E6 in Eastfold to be alarming. The share of tolls as a share of total road financing has not increased in recent years on a national basis. Toll financing will also be widely referred to in the national transport plan for the period 2006-2015, including assessments of the level of toll financing that should be overall. The national transport plan for 2006–2015 will be presented to the Stortinget in spring 2004.
ParlaMint-NO_2003-03-26.ana.ud1942e1413	The facts are that the toll stations are growing up like pad hats. When we dealt with the previous road map, it became quite clear that in connection with it we would have a doubling of the number of toll stations in our country. In the case of E6 and E18, which are the most trafficked trajectories to the country, local politicians in Eastfold have contributed to them, but the new Swinesund link must therefore be fully financed. It's an estimate that Eastfold's population is going to pay 40 pst. of these tolls, because they travel part in Sweden, trade part in Sweden, etc. Thus, a national transit year is to a large extent to be financed by residents in one country. But now protests are growing all over the country. It is recorded that the state and the government have budgeted 33 billion kroner in car revenues for the current year, but uses a very small part of it. [[The President clubs.]] At the same time, the quality of our roads is too poor. [[President clubs]] We know that only 4 pst. of the main road network complies with European requirements.
ParlaMint-NO_2003-03-26.ana.ud1942e1420	Time's up.
ParlaMint-NO_2003-03-26.ana.ud1942e1423	Is the Council satisfied with that?
ParlaMint-NO_2003-03-26.ana.ud1942e1428	I'm a little uncertain about what the question was. I would generally say that all toll matters are up for treatment in Stortinget. Then there is an opportunity for all parties, including the Progress Party, to make their views on it. This Eastfold pack has been treated, so has the Svinesund compound. It was widely agreed that it was important to implement both the Eastfold Package and the Svinesund project. Therefore, I believe that with such a broad upturn it has been a proper way to go.
ParlaMint-NO_2003-03-26.ana.ud1942e1437	In the case of the E6, which is perhaps the most important part of this, the prerequisite for toll financing was a redeployment of this road, with completion in 2009 instead of 2015. Here, too, the Swedes were pressured. The Council of State referred to this agreement with Sweden. But now the Swedish Vegverket proposes to postpone the completion on the Swedish side. So you can finish a lot later on the Swedish side than on the Norwegian side. Does not the Council of State mean, then, that the basis for toll financing is gone?
ParlaMint-NO_2003-03-26.ana.ud1942e1444	If this question concerns whether I believe it is appropriate to postpone the development of four-field roads on the E6 in Eastfold – towards Sweden – the answer is no. I don't think a postponement is right. I think the traffic situation suggests that here we have to act. That is why I think it is absolutely right that we are actually making these investments now, not least on the basis of the accident situation that we have seen on the roads in Eastfold. This is the fairly broad consensus on it. As I said, I think it is very important that we get this development carried out, for the sake of those who use the road, and not least for the benefit of those who live in Eastfold who benefit from the fall in accident rates.
ParlaMint-NO_2003-03-26.ana.ud1942e1454	I have a question for the Minister for Transport: ‘The size has previously adopted the Bergen programme against the votes of the Progress Party, where a main measure is the construction of the urban railway. The setting points out that neither financing of the operation of the urban railway nor financing of upgraded bus services for the necessary feeding of passengers to an urban railway is completed. Can the Council of State clarify the role of the State and can the municipality/communities charge State aid for annual operations or can the inhabitants of Bergen expect the annual operation of the urban railway to be financed by additional annual toll collection?’»
ParlaMint-NO_2003-03-26.ana.ud1942e1463	The Ministry of Education submitted in St.prp. No 76 for 2001-2002 for the Stortinget main lines and principles of the Bergen Programme, and the majority of the Storinget joined these principles. The individual projects included in the package will be promoted to the Stortinget in the context of the annual budget proposals, following the existence of the necessary studies, planning guidelines and quality-assured cost estimates. I am generally concerned that public transport in Bergen and other major cities should be strengthened. This is why, among other things: the effort to facilitate public transport on the road network in major cities significantly increased in the 2003 budget of the State Road Administration. In Bergen, some of these funds are also used to strengthen the provision of collective services on important shuttle routes, until planned promotion measures are completed. I have also announced that the Government intends to introduce a new incentive scheme for public transport in major cities in 2004. If Bergen qualifies to benefit from this scheme, the funds could be used freely to strengthen public transport in Bergen, including for operations. With regard to the urban and upgraded bus options option, the locally adopted financing plan implies that urban investment is assumed to be financed entirely from the state budget and by tolls. The way in which the operation of the urban railway and the upgraded bus offer are to be financed has not been finally established. These conditions must be clarified before the department can take a final decision and before the urban railway project can be taken up for allocation. I assume that the final urban funding plan is designed in accordance with current guidelines and established practices. The Ministry is currently working on the applications related to changed administrative organisation in major urban areas. I can mention that the municipality of Bergen has decided in connection with the Bergen programme that they are willing to assume responsibility for the operation of the urban railway if they are given the administrative responsibility for the operation of the public transport network in general. With regard to the question of the operation of the urban runway by the representative of Sortevik, the additional annual toll collection will be financed, I would point out that there is currently no legal basis for using toll revenue for the operation of public transport. I would like to point out that there is close cooperation between the department, the municipality of Bergen and the state road authority in this matter. The urban trasé is currently in a regulatory planning process. The municipality of Bergen is responsible for further investigations related to the urban runway and documentation for alternative use of ollogical agents. This work is carried out in close cooperation between the municipality, Statens vägvesen and Hordaland County. According to the plan, the results of this work will be available at the turn of the year 2003/2004.
ParlaMint-NO_2003-03-26.ana.ud1942e1480	I am confirmed that many important aspects of this experimental urban railway project hang in the loose air and make the uproar rather surprising. Just because the question of how the operation of the urban railway is financed from planned start-up in 2008 is not resolved in the first-reading phase is a clarification of state intervention of fundamental importance. I think many people perceive that the local consensus on the Bergen program and whether the urban railway actually requires state involvement, the earmarked for operation. Is there any extra money for the operation of the urban railway? Or is it government funds for public transport in general that are to be moved from bus for the whole city to the track for a part of the city?
ParlaMint-NO_2003-03-26.ana.ud1942e1487	Firstly, I would say that it is not that we can now, as development progresses, rely on one and only to solve the transport challenges in big cities by building more roads and providing only for private cars. We have to think of an overall solution that also involves collective solutions. This means that we also need to sit down and think creatively both on the part of the state, on the part of the municipality and on the part of the county council, all of which are involved here. The issues raised with regard to the urban runway are issues raised in the Bergen programme that have been presented to the Stortinget, and there are still some unresolved issues, including: the financing of operations. This is a work that is in progress, and I will come back to Stortinget with this matter when there are clarifications of these unresolved matters. I intend to make it possible for the Stortinget to take decisions on the construction of both the urban railway and the Ringveg west in connection with the 2005 state budget.
ParlaMint-NO_2003-03-26.ana.ud1942e1494	If we are to believe the head of transport in the county, the head of the road and the head of the regional road, there is no other option than to collect operating resources from the toll. I understand that today's provisions of the Road Code provide for so-called road pricing, i.e. payments for the use of road networks at certain times, where funds can also be used for public transport. Are the Governments prepared to use the ministry's ability to impose road pricing? If the Council of State will allow local will to decide on the issue of the introduction of road pricing, as it is also open to in today's road law, is there any local political decision or local political opinion through the referendum of the Council of State to decide such an important question?
ParlaMint-NO_2003-03-26.ana.ud1942e1501	I am initially fundamentally democratically adjusted. It would be totally wrong for me to conclude here today – conclude – in this case, where there are still so many unresolved questions, and where I want to listen to local initiatives. In fact, I think that it is in Bergen that you see the challenges you face in terms of transport areas in Bergen. Therefore, it would be natural for me to listen to what the municipality of Bergen says in this matter, how they take care of the solutions, and how the Hordaland county councils look ahead. Then we have to look at this in relation to the central authorities before this is once again presented to the Storting. I can safely say that I am coming back to this. I will not draw any conclusions about this today.
ParlaMint-NO_2003-03-26.ana.ud1942e1519	I will ask the following questions to the Minister for Local and Regional Affairs: ‘Following a KS 45 pst test. of 150 municipalities added stop and staffing as a result of a tight municipal economy. These municipalities represent half of Norway's population. At the same time, the media presents serious examples of unworthy care for the elderly. Sees the Council of State that the fight for care services where the individual is met with respect and dignity among others. is concerned with ensuring the consistency of the municipalities between tasks and means, and will it as the head of state council for the local economy do something?’»
ParlaMint-NO_2003-03-26.ana.ud1942e1528	The government has promised real growth in the income of the municipal sector during this grossing-up period. We've kept that promise, and we're going to keep it for the rest of the period. However, there are limits to the extent to which growth can be without adverse consequences, including for the municipalities themselves. A tight government budget has contributed to a decline in interest rates. An interest rate decrease of 1 percentage point means that municipalities save 800 million. kr annually. Three interest reductions since the adoption of the State budget, amount to NOK 1.2 billion more for services. A substantial part of this amount is released already this year. A tight government budget will also contribute to lower price and salary growth for the municipal sector. Net operating performance of the local government sector has been weak in recent years. For the period 1998-2001, net operating surplus was between 2 and 2,5 pst. of revenue. In 2002, municipalities received on average a net operating surplus of zero. However, very many municipalities had a positive net operating surplus in 2002. In these years of weak net operating surplus, the income of municipalities has been real. This means that expenditure has increased more than revenue in this period. For 2002, an expensive salary settlement in the municipal sector contributed to the weak operating result. «Community Renewal and Efficiency Networks», a three-year cooperation project between the Ministry and the Municipal Councils of Central America, has carried out user surveys for a number of municipal services in over 100 municipalities during the period 2001-2002. The studies have revealed that the quality of care and care is very good. But there are variations. The users of home services are more satisfied than the users of institution-based services. There are also wide variations in satisfaction between municipalities. When looking for patterns in these variations, surveys show no clear correlation between resource input and quality. It is not that the municipalities that use the most resources — measured in year-on-year care per year. user - have more satisfied users. The assessments carried out in the local authority network project focus on other factors that determine the quality of experience, such as the competence of managers and staff and the commitment of staff. I think it is important to focus on improving quality in the care sector, among other things. to meet the individual with respect and dignity. This can best be done by facilitating local authorities to learn from each other, such as through the efficiency networks. Several municipalities should make use of the good operating models with which Tvedestrand, Ås and the district of Hellerud have excellent experience. In addition, the Ministry of Social Affairs and the Municipalities’ Central Association have undertaken together a comprehensive management development work in the care sector. More money is also important, but not most important if it is the quality of care we are looking for.
ParlaMint-NO_2003-03-26.ana.ud1942e1539	A serious example of Asker or Bergen is one too much. The centre party is continuously working for a more dignified care. Our local populace are -- like the big crowd -- very busy with that. We mean that this is about both stanchions and knowledge, and about getting the good examples and the commitment from the relatives, but it also has to do with money. Expenditure in the municipal sector has increased more than revenue, states the Council of State. She also knows that when many municipalities now present excess, it is because they have cut. They have cut both professional updates and well-being measures against those adding, and they have cut in the number of settings before the care sector. Does the Council of State mean, with its reply, that all municipalities have enough money to provide a worthwhile care for the elderly?
ParlaMint-NO_2003-03-26.ana.ud1942e1550	I believe that, within the means used in the public sector today, we could get a significantly better quality of care for the elderly if all municipalities had managed to get to the level of the best in terms of flexibility in the use of resources, management skills and other. I am sure that not least in order to meet the larger number of older people in the coming years, and to keep the coverage of older people up, we need to have both more people working in the municipal sector, and to give more money to the sector to maintain and improve the supply. I agree that both are important factors. But it is quite important to focus on quality in relation to what you can spend the money for today, because it turns out that we have a very good response to the elderly care we have. The simple examples that we've seen, we don't want to have. However, the single examples show that municipalities with fully comparable economies — and even comparable staffing — are able to avoid.
ParlaMint-NO_2003-03-26.ana.ud1942e1559	The centre party shares the quality of care services with the Council of State. But we have no reason to doubt what the municipality's central association showed last year, that the municipal sector actually needs $6 billion more in 2003. This concerns both a care where the individual is met with respect and respect, and a good and free school. Let me refer to a group that now seems to drop further back when it comes to supply, that is, they demented. The government should not explain that when it comes to good dementia care, it is actually about several options – that is, more means. Now, as I understand it, the Christian People's Party has enjoyed its troops in relation to the local economy, because they have said that there will be more money in the revised national budget. Can the Council of State confirm that?
ParlaMint-NO_2003-03-26.ana.ud1942e1570	No one has said that there is more money in the revised national budget. This cannot be said, since the Government has not begun to deal with the revised national budget. This means that it is not possible to make the kind of promises at a time when the Government has not actually begun to deal with the revised national budget. What we have said about the revised national budget is that we have a review of the local economy. We promised our budget partner in Stortinget – the Advance Party – that we would do so in connection with the tax failure that was found before Christmas. We have also promised Stortinget that in relation to questions related to how energy prices turn out in relation to the local economy, both on social aid expenditure and on the own expenditure of the local government sector. So, what is going on in the revised national budget, no one in the Government can promise anything until the Government has begun to deal with the revised national budget.
ParlaMint-NO_2003-03-26.ana.ud1942e1583	I have a question for the Minister of Local and Regional Affairs: ‘In family reunification cases, it appears that the authorities reject the application for family reunification to foster children, inter alia. UDI case 02003761 and parallel case concerning Somali family at Lillehammer. Although the child has been in the family since his or her 2 years of age and is now in his or her teens, family reunification is not granted. Does the Council of State consider this to be in line with the rights of children under the Convention on the Rights of the Child, and will it then take the initiative to change practice?’.»
ParlaMint-NO_2003-03-26.ana.ud1942e1592	Let me first underline, as I always do in these matters, that I do not have the opportunity to go in and evaluate individual matters under foreign law. It is the Foreign Affairs Directorate who takes decisions in family reunification cases, with the Foreign Office as the Board of Appeal. Under the applicable law, foster children may be reunited with their foster parents in Norway if it is demonstrated that the child is an established member of the household and that those exercising parental responsibility over the child are legally doing so under the law of the home Member State. Evidence must be provided to confirm that parental responsibility has been transferred. Final approval requirements for the foster home are made by Norwegian child protection authorities. Since the introduction of the provision of DNA testing to document biological relationships, we have seen an increase in the number of applications for family reunification from foster children. This may indicate that the specified family relationships are not always real. I am aware that the family structure in many countries is very different from the Norwegian one, and that in some countries it is common for parents to take up the children of others and treat them as part of the family. Such a family structure is e.g. widespread in Somalia. It is often difficult to document such a family relationship. Norwegian non-resident authorities implement strict practices regarding the granting of a residence permit in such cases. However, if ‘particularly strong human considerations’ so indicate, an unborn child may be entitled to stay on the basis of family reunification even if one does not meet the conditions referred to above. However, this derogation is strictly practised. The Government recognises its responsibility towards international human rights obligations and assesses the ongoing relationship with the UN Convention on the Rights of the Child and, as a result, the best interests of the child. When a child seeks family reunification with a person in Norway, the foreign authorities have a responsibility to ensure that the resident effectively exercises parental responsibility towards the child. If this is not the case, I cannot see that staying in Norway is for the best for the child. Unfortunately, we are also facing an increasing problem of child exploitation today. It is therefore very important that we have documentation requirements in relation to children seeking family reunification in Norway. It is precisely the child's best consideration that suggests that we have such documentation requirements. Based on the information we have today, I do not see the need for changes in the rules.
ParlaMint-NO_2003-03-26.ana.ud1942e1605	Thank you for your answer! I am sorry that the government does not see the need to do anything about the legislation. In the cases referred to – there are also several other cases – we have just seen that the Foreign Affairs Directorate does not take a position on the question of whether it is actually an unborn child you are facing, that is. That you almost assume it's an unborn child. However, despite this – and there are situations where 12-13-year-olds have been in the family for 10 years – the decision states that there are no strong human considerations that suggest that such a permit can be granted, and that there are no strong human considerations that speak to make exceptions to the general conditions, etc., almost as a standard. My question is, is this contrary to the Children's Convention? Is it in accordance with the Children's Convention when we actually have a situation where it has been found that it is an unborn child – but despite it, the 12-, 13-, 14-year-old cannot be with the rest of the family of Norway, all the time this child may be of the children who need the most to maintain contact with the care parents?
ParlaMint-NO_2003-03-26.ana.ud1942e1617	I have mentioned that I cannot go into individual matters. I also do not want to comment on individual issues raised by the questioner, with reference to decisions that are outside an area where I have the opportunity to go in and influence, other than on a general basis. On a general basis, I can say that if there is evidence that there is a child-bearing situation, and you can prove that parental responsibility has been transferred, it is therefore open in today's legislation to get family reunification. If there are particularly strong human considerations, which in individual cases are an individual assessment of the situation, it can also be used in cases where it is not possible to provide that type of evidence. I would like to stress that we know that in some countries with these kinds of family structures, it is also a very attractive thing to have their children sent to land in the West. We have had a strict practice in this area, because we know that there are many children who live very discouraged and who have not actually shown that they have been part of that family after they have returned to Norway.
ParlaMint-NO_2003-03-26.ana.ud1942e1626	I would assume that the Council of State sees that when it is found that you are facing an unborn child who has lived in a family for a long time, this foster child actually needs protection beyond what other children in the family may have, and that it – all the time you, for example. have lost parents in war and have had uplifting family problems out of the state of the country, and it states in the Children’s Convention on the need for protection, on the best of the child, on the need to care for family relationships, and also in Article 27 that there is a need to maintain living standards even in situations where foster parents will take part in such matters too fully, and that there is indeed reason to remove the criterion referred to by the Council of State that there must be specific reasons for family reunification. Does the Council not see that if we are now to be able to actively incorporate the Children's Convention into Norwegian law, something the Government will have to change this practice so that the Children's Convention becomes something more than any buttonhole flower?
ParlaMint-NO_2003-03-26.ana.ud1942e1633	The requirements are therefore evidence that parental responsibility has been transferred, evidence that it has actually been part of the family over a long period of time. Then you have the right to family reunification. If you can't prove it, the question of whether there are special, strong human considerations is the reason why you should be able to get family reunification on this basis. We are going to see continuously whether our legislation is in line with or not with the Children's Convention. Of course, if it turns out that we're not practicing in line with the Children's Convention, we're going to change the rules we have. But at the same time, I would like to stress that it is not an assessment. The assessment we have today is that we are not in conflict with the Children's Convention in relation to these matters. We also have a general need to protect children from parents who send their children of low age to a discouraged life in our country, because it is the family's wealth. It's not for the child's good. We also need to be aware that it is not to meet all the wishes for them to come to Norway, which is the right thing to do if we are to take care of the child’s best interests.
ParlaMint-NO_2003-03-26.ana.ud1942e1650	This question has been postponed to the next Question Time. That being the case, it is no. 1 finished.
ParlaMint-NO_2003-03-26.ana.ud1942e1663	There is no record.
