ParlaMint-NO_2003-05-14.ana.ud917e28	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2003-05-14.ana.ud917e1552	I want to thank you for your answer. I agree with what the Council of State says that competition will give more way to the money. I have also seen that the survey of supply received at the bidding round this year shows this. The point is that one could possibly get even more money if it had also been open to small and medium-sized enterprises. I hear the Council of State say that she is busy with competition and that these companies are going to participate in the bidding round. At the same time, I look at the supply that has come in, that they are dominated by the big ones — Most, Road Cover, Selmer, NCC — and that small and medium-sized enterprises are absent. Then my supplementary question to the Council of State: doesn't the Council see a capital requirement as high as 10 pst. does it mean that SMEs are excluded from this competition?
ParlaMint-NO_2003-05-14.ana.ud917e1561	First of all, I want to say that I have received useful input from MEF in this area. I record that I have even received input from members of the MEF who believe that the equity requirement may not be unnatural. So it's not 100 pst. agreement on that. I still want to follow up to see if the competition is real and whether it works. That was the purpose of doing this. That is why I am concerned that there should be competition that is also open to small and medium-sized entrepreneurs. You have more possibilities. Contracts can either be awarded directly, or you can join a work community. I also record that many are involved as subcontractors to other major entrepreneurs. I am concerned that this possibility is still going to be there, because I think it is a very important contribution to this work in the road sector. That's why I'm concerned about this further. There is a balance between ensuring that we have the right size of bureaucracy, that it should not be too large, while at the same time getting enough players in the market.
ParlaMint-NO_2003-05-14.ana.ud917e1568	I just want to repeat what I said instead. I find that the offers that have been received are from the big ones. The actual numbers show that it is mostly only the large ones that have provided. This suggests that one has not got the good competition that one could get, and would perhaps also give even more way for the money. Unfortunately, I have not received any good argument for why this capital requirement exists. If it is the security one wants to take care of, it would have to be enough that one had a bank guarantee. I also have to remind you that an equity can be used up on a job, that one has several jobs, and that it is the same capital requirement that is imposed everywhere. So a bank guarantee must be best if you're going to have security. I would like to ask the Council of State if it would not have been anything to consider sticking to just a bank guarantee for the individual assignment.
ParlaMint-NO_2003-05-14.ana.ud917e1577	The most important thing in this context is that we get more money back. So we have to look at how we're going to do it. Are we on the right path, or are we not on the right path? The signals we've been given so far are that we're on the right track. It is important that we have room for both small, medium-sized and large players in the market. That's what I'm going to do. I think we're doing ourselves a bear service if we don't give this room also to small and medium-sized entrepreneurs. It's important. The questions raised here related to equity and bank guarantee are issues that it would be natural to evaluate after the first phase, and see if there is any reason to change this or not. Now we're on our way. What we see from indications suggests that we are on the right track in relation to the goal. It will always have to be a balance of how big bureaucracy we need to deal with a lot of entrepreneurs in terms of having a fit number. But we must also have room for small and medium-sized players.
ParlaMint-NO_2003-05-14.ana.ud917e1584	Question 21 will be answered at the end of the Questionnaire.
ParlaMint-NO_2003-05-14.ana.ud917e1590	I want to ask the Minister of Defence the following questions: ‘The Invalidity Home of Berea on Kongsvinger is struggling financially, and thus has a somewhat uncertain future. Does the Council of State see that she alone, possibly together with other departments, can contribute to the future of this important place of our war invalids, and thus ensure that those who need such a place after an effort by the country of origin can be there according to their wishes and needs?»
ParlaMint-NO_2003-05-14.ana.ud917e1599	The Foundation War Invalidity Home Bäreia is an independent foundation established by the War Invalidity Association and has for a number of years given the convalescent summit for war invalids and their partners. Residence for this group is covered by the budgets of the Ministry of Social Affairs and the Ministry of Health. The Ministry of Social Affairs is also represented in the Board of the Foundation. As an independent foundation, the Board of Directors of Bæria has the formal responsibility to ensure that the operation of the home is adapted to the number of users. As war invalids fall away, home operations must be assessed in the light of it. The Ministry of Defence is not involved in the operation of the home and as such is not responsible for the home. As Minister of Defense, I still feel a moral responsibility to help our war invalids get an offer of recreation as long as they need it. The United Nations Federation of veterans has expressed the desire to take over Bæria for recreational stays for soldiers who have been in international service and their families. It will be positive if connected through comrade meetings and other events can contribute to the operation of Bæria. With current operating costs and a rapidly decreasing number of war pensioners, the activities of the United Nations Federation will hardly provide an adequate income base for Bærea. The Foundation for the Invalidity of War therefore needs to show creativity and action in order to use the possibilities of earnings available for the home. I am aware that measures have been taken to find good economic solutions, including opening up the Bæria to new user groups. The need for public budget allocations is intended to increase to approx. Twenty million. kr in 2008. The defence budget cannot be supported by Bæria in this order of magnitude. The increase granted in the current budget, in line with the Government's leadership, 6 million. D to the United Nations Federation of veterans. As far as I remember, the Progress Party, as the only party, proposed to cut the allocation to the voluntary defence organizations by five million. kr in the budget position of the autumn. If this were to be distributed proportionately among the organisations, it would mean a reduction of approximately. 600 000 kr to the United Nations Federation of veterans, and thus probably also a reduction to Bæria. What support will be given to the voluntary defence organisations — including the Federation of the Nations of the Veterans — from the Ministry of Defence next year will be clarified in the context of the next year’s budget proposal. It is then up to the United Nations Federation if they wish to use Bæria in connection with its activities.
ParlaMint-NO_2003-05-14.ana.ud917e1620	I thank the Council of State for the answer, which was a summary – some of the history and some of the realities. It is clear that such a place as Bæria, which is so nice and has opportunities to provide recreation to those who have rendered a great service to their country of origin, both domestically and abroad, is needed – there is no doubt. When you know that there may be 50,000 German vets and nearly 60,000 who have been in international service, for example. in Korea, Congo, Lebanon, Sinai, Namibia, the Balkans, etc., it is clear that the need should be there. And the need is probably greater than the money that has been allocated should be said. I know there was a meeting at Kongsvinger yesterday on this matter. Maybe no money was promised there, but at least it has become a dialogue, so you can see brighter in the future. I hope that the Council of State can take part in this.
ParlaMint-NO_2003-05-14.ana.ud917e1629	That's exactly what the questioner says. The State Secretary of the Ministry of Defence was at Bäreia yesterday, and there is close and good dialogue between the Ministry of Defence and the stakeholders around Bäreia. Nevertheless, there is reason to stress that both the Ministry of Social Affairs and the Ministry of Health are the right address for health measures and recreation, while the Ministry of Defence – precisely because we think this is such an important group – has so far contributed to the operation of Bæria through the support associations established. Over the defence budget, the United Nations Federation of veterans has totaled 4.3 million. kr to activities related to Bæria for 2003. Of these, 1.7 million went. kr directly for operating aid, in addition they received SEK 1.7 million. kr for the operation of the organisation. This is a support of 6 million. kr – a support that just goes to the important group that the queryor is occupied with.
ParlaMint-NO_2003-05-14.ana.ud917e1636	I thank you once again for your answer. The amounts the council mentions are correct, but unfortunately the amount is not large enough. Bearia is struggling with a somewhat uncertain future because they lack some money. As far as the budget is concerned, the Progress Party has always been positive about granting money to non-profit-making teams and organisations, especially in the defence sector, so what the Council of State referred to, I'm going to check. At least the progress party shall be the party that wants and wants to contribute money to this. I leave the staff stick to the Council of State so that we can jointly – both the Advance Party, other parties, the Ministry of Defence and other departments – raise enough money for the further operation of Bæria, because the operation is important for those who have done a great service for their country, both at home and outside.
ParlaMint-NO_2003-05-14.ana.ud917e1645	I fully agree with the questioner that it is important to look here at the wide scope for obtaining income for Bæria. Here, different public budgets may be a source, but it is also important to get new user groups to Bærea, and that the Foundation assesses creative measures to raise income. Some of the recordings I have received are about the sale of parts of the property, sale with the acquisition clause after the war disability no longer needs the home, etc. But I expect these questions to come back to us in connection with the government budget of the autumn. And appropriations for the United Nations Federation of veterans are to be shared by us in adopting in November-December this year.
ParlaMint-NO_2003-05-14.ana.ud917e1653	I will ask the Minister for Defence the following questions: ‘A part of those who have participated in foreign operations have a history of psychological damage and experience that they are largely left to themselves. They feel that they are being subjected to very unfair treatment by society, for example, by: no compensation is awarded as a result of the damage suffered in the course of their duties. The Council of State has an overview of the number of people who are currently unemployed due to their lack of work. mental problems after foreign service, and what will the Government do to improve their situation?’
ParlaMint-NO_2003-05-14.ana.ud917e1662	I'm very pleased with this question, because it's an important issue. The defence has put in place a number of measures to prevent mental damage to personnel involved in international service. Before departure, staff are thoroughly tested physically and mentally, and only those who are found fit are offered international service. During the course of the service, personnel are continuously offered medical services, including support from stress response teams. After completion of the service, staff undergo a thorough medical assessment and are informed of all available support services. Where necessary, personnel shall be referred to the civil health service. There are no exact figures on the number of unemployed due to mental health problems after international service. However, the defence has carried out extensive investigations that give us some indication of the extent of the problem. For the period 1990–2001, data from the Rikstrøgdeverket have been used in a major survey on soldier health. The study is pleased to show that fewer people were sick because of mental health problems among staff who had participated in international service than was the case for a comparable control group who had not participated in international service. The number of disabled persons was less than half — in the group that had participated in international service — compared to findings in the control group. This suggests that the measures taken by the Defense to ensure the mental health of the soldiers work well. It is the civil health service, and not the defence, that has the statutory responsibility to provide health services to former military personnel. However, the defence is dedicated to providing personnel who have been in international service with the necessary follow-up. That is why today in the Ministry of Defence we are working on a proposal for a regulation on compensation for mental sensitivities caused by the operation of international peace operations. The draft will be sent to the hearing during this month. The purpose is precisely what the queryer is addressing, to provide financial compensation to people who have suffered mental illness and who are not eligible for compensation on another basis. The health of the defence shall also assess during the year an extended offer of mental health protection, including: in the case of a closer and longer-term follow-up after termination of service. The focus is on rapid treatment after events to avoid chronic plagues. In addition, the health of the defence is in the process of planning a medical centre at Ullevål University Hospital. The Centre shall include, inter alia: providing experience data from international operations to ensure optimal selection, guidance and any treatment of personnel. The aim is to provide the most integrated solution to the civil health system. Just in a situation where the Defense has a high international commitment to peacemaking work, the work that is now under way in the Ministry of Defence is important, and I am therefore glad that I was given the opportunity to say that something is happening in practice.
ParlaMint-NO_2003-05-14.ana.ud917e1679	The last thing is incredibly important, that one at the same time, while one sends people abroad, really follows up at home. So it's incredibly important that both the defense and the state council recognize the responsibility they have towards them, so that the great injustice that was done against the war ropes is not re-established. In order to take some of the government's answers, I think one has to do even more research than the Rikstrøgdeverket has done. Because there are just a lot of these -- at least those I've been talking to -- that the entrance to be recognised in the Reichstrygdewerk is very narrow. That's why I think you need a much larger research base. Then, too, the problem is that the stress assessment team per. Today is not a good enough follow-up. But the main question is: does the Council of State recognize that the Ministry of Defence, and the Council of State, have a responsibility for these even when they come out into civil life, a good deal out into civil life?
ParlaMint-NO_2003-05-14.ana.ud917e1686	Of course, both myself and the Ministry of Defence acknowledge that when we send personnel to international services, we have both a moral and a formal obligation to ensure that there is a minimum burden on them for the rest of our lives. They do an incredibly important job on behalf of the country, and they have been sent out with a clear political mandate in their backs. At the same time, it is important to find solutions where the Ministry of Defence and other departments are able to provide them with an optimal offer when they return home. It's e.g. not desirable with a separate health offer alongside the ordinary health service. That's also why we've been in dialogue with Ullevål Hospital on a follow-up cooperation, working together to determine what needs there are, and working together on experience data. I'm the first to admit that we need experience data from those who've been out, and measures are in progress to bring the people who've been out for good.
ParlaMint-NO_2003-05-14.ana.ud917e1691	I thank you for your answer. I take that answer for a yes – that yes, we will take a greater responsibility than what we are doing today – from the Council of State. I would like the Council of State to confirm that. So I would like her to elaborate on the regulations that it is now working on to provide financial help, because that's also part of the problem, that the case is very large. Dignity falls quickly when you've been a soldier and then comes home to very big economic problems, as many of them have. I have received a message about a scheme that I would like the Council of State to comment on, namely that the defence comes in with an economic start-up package before insurance schemes have been put in place – because we know that this will take a very long time. I also want to challenge the Council of State that she is setting up a group that can look at this from a multidisciplinary point of view, and that the public can have the opportunity to discuss this problem later.
ParlaMint-NO_2003-05-14.ana.ud917e1702	The President understands that the 1 minute Council of State does not have the answer to all these questions.
ParlaMint-NO_2003-05-14.ana.ud917e1705	I'll do my best. First, it is right that compensation and insurance schemes we have today are based on the principle of full compensation, i.e. that the victim should be placed in the same economic situation as he would be in without the damage. That's the principle. But then the questioner points to something important, namely the problem, for example. in the period after returning home, before the claim is paid – for the payment may take time. In addition, the questioner has pointed to the problem for people who may have mental sensitivities and who do not meet normal substitution criteria. This last group we mean to catch up with the new regulations that are being consulted. In terms of practical measures that can relieve the individual while waiting for compensation – whether he is in line with the social security system or in other types of queues in other types of public services – I am willing to look at the ways in which the defence here can help, either by seeking to proceed with the proceedings or by other means to minimise the impact on the individual.
ParlaMint-NO_2003-05-14.ana.ud917e1716	So we go back to question 10.
ParlaMint-NO_2003-05-14.ana.ud917e1723	This question, from the representative of Øyvind Vaksdal to the Minister for Oil and Energy, will be answered by the Minister for the Environment on behalf of the Minister for Oil and Energy.
ParlaMint-NO_2003-05-14.ana.ud917e1726	I want to ask you the following questions: ‘According to KraftNytt 7. May this year, the Norwegian and Swedish warehouse fillings were 18.7 TWh less than normal in week 19. Although a slight improvement has been seen in recent weeks, the situation is anything but satisfactory. Without large amounts of rainfall in the coming months, one will be able to experience a winter with even greater problems than the ones we had last winter, with an explosive development in the electricity price and the risk of disconnection and rationalization. What measures will the Government take to control the situation?’
ParlaMint-NO_2003-05-14.ana.ud917e1735	Vulnerability of weather variations is a fundamental condition of Norwegian power supply. After many years of heavy rainfall and hydropower production, we were reminded in winter of the consequences of a period of low rainfall for a nation that is highly dependent on hydropower. The situation in winter was long worrying. However, developments beyond spring — with relatively mild weather, increased confidence and high imports — have significantly improved the situation. The drop in the number of magazines was reduced, and Norwegian production in March and April became the lowest recorded since 1980. The snow smelting is now in progress, and the magazine filling is increasing. The prices of the Nordic power exchange have also stabilised in relation to winter. The fact that power prices are still higher than usual at this time of the year reflects the fact that there is still scarcer availability of water in the power plants than normal. At the entrance to week 18, the magazine filling was 19.2 pst., 18 percentage points lower than the average level for this week. So the starting point for the season we're going into is weaker than in previous years. However, future developments in magazine filling will depend on weather conditions for the rest of the spring, summer and autumn. However, based on experience in winter, it is important to start work rapidly on safer power supplies. The government has already undertaken to assess measures that may reduce vulnerability to similar situations. An important objective is to have an energy supply that ensures that there is enough energy in the market at acceptable prices – for both households, industry and government. In order to achieve this, it is necessary to consider both short-term measures to address an emerging dry-year situation and longer-term measures to reduce the basic vulnerability of dry-years in power supplies. Extensive measures across a broad range will be needed to improve Norwegian security of supply. In addition to strengthening the transmission capacity in order to avoid unnecessary bottlenecks, both domestically and abroad, I will, on behalf of the Minister for Oil and Energy, bring forward key elements which the Government prioritises: 1st@item: inlistbox The availability of different new renewable energy sources offers many opportunities to convert energy production and consumption. The government will give high priority to the investment in this area.2. We need to save energy. Among other things, new technologies will give us improved opportunities to use energy in a more sensible way than before. Work on energy saving is a main field of action for Enova.3. We need to make the best possible use of the hydropower we've already built up. It is therefore important to facilitate the modernisation and upgrading of our hydropower plants.4. We need to make reasonable use of our natural gas resources, and the Government will now follow up the gas notification in accordance with the Storting decision. The government will draw up the policy for a secure and environmentally friendly energy supply in a key communication on security of supply, which will be submitted before the end of the year.
ParlaMint-NO_2003-05-14.ana.ud917e1763	I thank the Council of State for the answer. The main cause of the problems we had in the last winter was, of course, the policy-driven offer that was in the market, since in recent years there has been an active political obstacle to the development of power in Norway. The result of this we in the Progress Party have warned against for many years – unfortunately not to be heard. The measures — or rather, lack of action — mentioned here by the Council of State will in no way save us through a similar winter if we are to have an equally low-precipitated harvest. What does it take for the Government to understand the seriousness of the situation, to throw away the paralysis of action, and to do something active?
ParlaMint-NO_2003-05-14.ana.ud917e1772	What makes us very vulnerable in winter is that 90 pst. electricity in Norway comes from hydropower. When it's dry, we'll actually have a challenge – regardless of whether we have more hydropower. The government is now working on this issue, and the Energy and Environment Committee is dealing with a matter related to increased availability of hydropower. We are trailers of an upgrade of the hydropower plants that are already at their disposal. If you want to become less vulnerable to dry-years and get new power into the Nordic power market, you need to invest more in renewable energy. Here you have a goal of 4 TWh from the water-borne heat and 3 TWh from the wind. In addition, Stortinget has opened the way for the construction of three conventional gas power stations. Consent has been granted, and it is up to those who have been granted a concession to assess on an ongoing basis whether it is cost-effective in today's power market to initiate these projects.
ParlaMint-NO_2003-05-14.ana.ud917e1779	Once again, I thank the Council of State for the answer. Nor in the long term will the situation improve through the government’s energy policy — or rather a lack of energy policy. The government’s training of gas-based power generation is an example of this. Another example is the Government's attitude towards hydropower generation, which we saw when the Government said no to 0,5 TWh – clean and new hydropower – from the Saudafjelles just before Easter. Is it not soon that the government sees the light – literally – and makes sure that the Norwegian people and the Norwegian industry get enough power at reasonable prices?
ParlaMint-NO_2003-05-14.ana.ud917e1788	I find it difficult to recognize myself in the picture that the representative, Mr. Waksdal, is now drawing. In fact, I thought we agreed that if you put all the eggs in one basket – which is hydropower – you would not be less vulnerable to a dry year situation. Nevertheless, the government has promoted a case for the Storting now about Sauda. An upgrade of the existing installations has also been announced. In addition, I mentioned 7 TWh related to renewable energy and the investment we have on Enova. That the government is supposed to be the action lamb relative to the use of gas, I can't believe. Three conventional gas power plants have been granted a concession. You can put the spade in the ground tomorrow. But I believe that this should happen without the use of State structural measures or Structural Funds. It must be possible to implement it simply because it is economically and economically viable in the market and not through State subsidies.
ParlaMint-NO_2003-05-14.ana.ud917e1795	We're going to go to question 24.
ParlaMint-NO_2003-05-14.ana.ud917e1802	«According to Danish Environment Minister Hans Chr. Schmidt and Finance Minister Thor Pedersen get Danish taxpayers the most environment for the money by investing in climate action abroad rather than in Denmark. The Danish Government is therefore proposing to meet the Kyoto requirements, among others. by purchasing unused CO2 allowances abroad and by investing in non-resident environmental projects. The same assumptions apply to Norway to a large extent. What analyses of food-benefit effects have the Council of State carried out for the Norwegian Government’s climate action?’
ParlaMint-NO_2003-05-14.ana.ud917e1809	Cost-effectiveness is a key consideration of climate policy, as in other environmental policies. It is important to choose solutions that give the greatest environmental benefit in terms of costs. The Government therefore places great emphasis on national and international trading of allowances as an instrument. Quota trading will contribute to ensuring cost-effectiveness in climate policy, because businesses themselves will be able to determine the emission reduction measures to be implemented when they are to be implemented and the extent to which they will buy or sell allowances. It would be in the enterprise's own interest to put in place the most reasonable measures first and reduce emissions from their own activities if they have measures that are cheaper than the expected quota price. Norway has committed itself to an average annual greenhouse gas emissions over the period 2008 to 2012 of no more than 1 pst. higher than in 1990. Last year, greenhouse gas emissions in Norway went down by 2.5 pst, so now we are 5 pst. above the level laid down in the Kyoto Protocol. Norway has worked in the climate negotiations to ensure that emission limitations can be implemented in a flexible manner, while at the same time ensuring that environmental credibility is not impaired. Norway has largely benefited from this in the negotiations. The Kyoto Protocol opens up the use of flexible mechanisms: international quota trading, the green development mechanism and joint implementation between developed countries. At the same time, the Kyoto Protocol states that the use of the mechanisms should be additional to the use of national instruments. This is also the basis of the Danish climate strategy – which I have studied thoroughly – which states that Denmark intends to live up to its international commitments and that it will continue to be committed to national instruments in addition to the use of the mechanisms. The Government proposes that Norway comply with its emission obligations through national measures, supplemented by an active use of the flexibility mechanisms under the Kyoto Protocol. Through its agreement to the main features of the Climate Communication and the Additional Communication, as well as the ratification of the Kyoto Protocol, the Storting has agreed to this. This flexibility is very important. I agree with the representative, although we disagree on the ratification of the Kyoto Agreement and an international climate regime. Both estimates for the Norwegian economy and estimates for the OECD region as a whole show that the cost of implementing the Kyoto Protocol is much higher if flexible mechanisms are not used. By providing Norwegian enterprises with the opportunity to participate in international trading of allowances, a large proportion of them will be able to rely on the market to determine whether it is most profitable to engage in actions at home or abroad. The socio-economic costs of action against greenhouse gas emissions are well documented in different climate notifications from changing governments. I would also like to highlight the analysis of action costs incurred by the industry itself and presented in the White Paper on greenhouse gas emissions from the Norwegian land-based process industry.
ParlaMint-NO_2003-05-14.ana.ud917e1824	I thank the Council of State for the answer. This is a very important question. I'm going to let the climate lie down now, but the political, and especially with regard to the danger of increased unemployment, I'm going to come up with, because at an energy conference that's been held earlier this week, it turned out that 90 pst. investments that will be made in the process industry will be made in countries that have not ratified the Kyoto Agreement. Then you face a huge challenge. We state councils ensure that Norwegian environmental requirements for businesses – and climate action – do not become more stringent than those in the countries with which we compete, so that we do not lose some industrial jobs to countries that have not ratified the Kyoto Agreement and that have much lower environmental requirements in other areas?
ParlaMint-NO_2003-05-14.ana.ud917e1833	I agree with the representative that this is a very important issue. In connection with last summer's floods in Europe, we saw that not taking the climate challenges seriously can lead to very high economic costs. This was an illustration of the consequences of failing to address the climate challenges. In the case of the Norwegian process industry, the situation is such that the industry today does not pay an electricity tax — it is exempt from it. It is also exempt from CO2 tax. The process industry in Norway accounts for 30 pst. the greenhouse gas emissions, while in the EU it accounts for 5 pst. of greenhouse gas emissions. I now have a good dialogue with the process industry in relation to what it can deliver from Norwegian greenhouse gas emissions in the future. Of course, we will also implement national measures. But, as I said, we also need to have an opening for the use of flexible mechanisms. Where these greenhouse gas reductions come from is not crucial. The fact that they happen is important for the global climate.
ParlaMint-NO_2003-05-14.ana.ud917e1840	Once again, I thank the Council of State for the answer. Linking a flood in Europe to greenhouse gas emissions is, of course, largely just politicians who dare to take the chance. At least there are no serious climate scientists who have connected it directly. I am glad that the Council of State has a good dialogue with the PIL, and so do the political parties in this House. I fully agree that we must be allowed to use the flexible mechanisms in full and where they have the most effect. The Danish government will have a climate review of how much CO2 reduction the Danish climate policy has actually given and how much it has cost in the 1990s. Will the Norwegian government also make the food-benefit effect visible at home to industry and individual companies?
ParlaMint-NO_2003-05-14.ana.ud917e1849	As I said in my first response to the representative Korsberg, the socio-economic costs of climate action are well documented in the two climate announcements from changing governments. There are also two major annexes in the two communications that review the cost of action and the socio-economic aspects. As for last summer's floods in Europe, I said it was an illustration of what could happen if we didn't do anything about the climate challenges. I've never said – and there's actually no evidence – that these floods were due to climate change, but that's the kind of weather you want to see more of – and much more of – if you don't do a real job here. However, we agree that it should not be produced in such a way that buying allowances or investing in developing countries in relation to greenhouse gas reductions should be seen as worse measures than others. The situation is that it is more expensive to implement such measures in Norway than in these other countries, but it is also important for us to show that we are going ahead here in order to get others to participate, so that negative developments can be prevented.
ParlaMint-NO_2003-05-14.ana.ud917e1869	This question has been withdrawn.
ParlaMint-NO_2003-05-14.ana.ud917e1877	My question to the Minister for the Environment is as follows: ‘On 11 April the Minister for the Environment approved the establishment of a golf course in one of the country’s best food grain areas, at Atlungstad in the municipality of Stange. It is apparent from the dossiers that the area of the plan is part of a large coherent agricultural area which is very well suited for growing food grain and which represents some of the most nutritious soils in the country. Why did the Council of State choose to ignore the clear recommendation of the agricultural authorities to reject the reallocation of these areas?’
ParlaMint-NO_2003-05-14.ana.ud917e1886	In land policy, it is necessary to assess sectoral interests against what provides the best solution based on a broad societal assessment. Municipalities have an important and difficult task in order to achieve the sustainable development of the community through the work of local authorities, which takes account of both ecological, economic and social considerations. I welcome the fact that the municipality has been able to conduct an intercommunal investigation into the alternative location of the golf course in the Hamar region. The opinions of the agricultural authorities show that the establishment of a golf course in Atlungstad must be balanced against soil protection considerations. At the same time, I agree with the municipality's assessment that in the Hamar region it is difficult to find track alternatives that meet both the requirements of a good golf course location and that do not conflict with other land use interests. In this case, I have placed the decisive emphasis on the assessments made by the local government, i.e. the local government, and that the county council of Hedmark according to an overall assessment has not opposed the establishment of the golf course at Atlungstad. I have also assumed that the establishment of a high-quality golf resort will have positive ring-effects and become a catalyst for housing, economic development, recreation and tourism in the Hamar region. Therefore, after an overall assessment, I found that there was a basis for approving the area of the golf course at Atlungstad. I assume that the agricultural authorities will be involved in the regulatory planning process in order to ensure detailed solutions that take into account that the areas can be returned to agriculture in the event that the wave activity would cease. I will also add the following: On the same day that I decided the case at Atlungstad, I decided two other golf courses. The other golf course case was in Aurskog-Høland municipality, Finstadbru. This golf course was approved. The third golf course case, in the municipality of Granavolden, I said no. We need to be aware that golf is becoming a sport for everyone in Norway. The Norwegian Gulf Federation has passed 100,000 in membership, and more than 10,000 new ones start playing golf every year. The establishment of good golf facilities has a positive impact on public health. Golf courses are sport and recreation facilities for modern outdoors. Although the golf courses are located on cultivated land, they will capture only a very small proportion of the land area on a land-based basis. You have to be aware of that, too. But the issues I get to assess, I consider concretely on the basis of the different information that comes on my table, and there must be an overall assessment, how obviously also the sectoral authorities and the agricultural authorities will be given a great deal of weight.
ParlaMint-NO_2003-05-14.ana.ud917e1907	After what the Council of State now says, I feel the need to stress that I am very positive about golf. I think it's a great kind of sport, and there are many, in all ages, who can enjoy it. I also understand that there are a lot of farmers who choose to spend the land on golf courses, because the industry's earnings are so bad. But my concern is not to take the golf, it's not to take the farmers that lay out the land for golf courses. My concern is that it must be possible to add golf courses to areas that do not represent the very best food soil. In the case of Atlungstad, there is no doubt that the Minister for the Environment has chosen to break his own guidelines for land planning and golf courses – where it is clear that soil suitable for food grain production is to be protected. My further question is: does the Atlungstad case mean that soil protection policy has been changed?
ParlaMint-NO_2003-05-14.ana.ud917e1920	I explained that we decided three things the same day – one golf course got no, and two got yes – based on a concrete assessment of the situation. With regard to the golf course at Atlungstad, there was no doubt an overall political environment throughout Hedmark that was strong supporters of this golf course. You didn't have a lot of good alternatives in the Hamar region. I think it is very strong when Stange Municipality says in a convincing and good way that they need this in relation to local value creation and to keep tourists. There is also a need for development of this inland region, which has been a little bit behind, and I came to, after an overall assessment, that I could not say no to this. It is also necessary to be aware that a golf course usually covers between 500 and 1000 deches, but that there is a small proportion of this which, in the future, should not be changed, can be returned to food grain production.
ParlaMint-NO_2003-05-14.ana.ud917e1927	Now there's enough doubt about whether it's the case that there were no good alternatives in reasonably close proximity to Hamar. You don't agree with that. Let me also follow up by saying that when the Council of State has now given approval to the golf course at Atlungstad, I would think that this will lead to some other builders thinking again – it has been thought that soil protection interests would weigh very heavily in these processes. But now I think some people will think about it, because you see that this, at least in Atlungstad, has not meant enough. Then my question becomes: can the Council of State guarantee that the case of Atlungstad, that is, building a golf course on one of the very best food fields we have, is to consider a one-off case, and that this case will not create a precedent?
ParlaMint-NO_2003-05-14.ana.ud917e1936	First I have to say I'm positive that Haga's representative is also positive to golf. First, if you want to build new golf facilities, you actually have to have the area – and then you can have a continuous discussion about what area is at your disposal. I'm just confirming that golf has come to stay. I have also received documentation on the table saying that a full 18-hole golf course usually occupies 500-1000 decks. Of these, the playing area is usually 250 dekars. It is mainly the green and the sand bunkers that cause heavy interference in the soil. In total, these areas constitute 20 deches. Thus, for a golf course site of 500 to 1000 dekars, heavy soil interventions of only 20 dekars will have to be taken into account, where return to agriculture is expensive. I think it's worth taking into account the assessments that are being made, i.e. that out of 1,000 deaks, there are 20 deaks that cannot be returned to the food grain area if you were to make other assessments later.
ParlaMint-NO_2003-05-14.ana.ud917e1945	We go back to question 21.
ParlaMint-NO_2003-05-14.ana.ud917e1951	I have a question for the Minister of Local and Regional Affairs: ‘The municipality of Stjørdal has a registered housing need for lone, lone dependants and young children’s families and has cooperated with the housing team to build 12 apartments with sober standard at a reasonable price. Of 18 applicants, the housing team is left with only 3 contacts. The remaining applicants have to say no because they do not get a loan from either the House Bank, because they do not. changed rules, or loans in the private market. What will the Council of State do to help these groups to obtain housing?’
ParlaMint-NO_2003-05-14.ana.ud917e1960	The matter raised here by the representative Signe Øye concerns the planned project Arnstadåsen Boretslag at Skatval in Stjørdal. The builder and borrower on behalf of the law-enforcement team is Trondheim and Omgn residential construction team – TOBB. The team has applied to the regional branch of the House Bank in Trondheim for a loan for the entry, and the House Bank has no objections to granting the requested loan amount, which equals 47 pst. of the total costs of approx. NOK 16 000 per year. m2. A problem here may be that deposits will be relatively high, but the House Bank can provide significantly higher loan measurement — up to 80 pst. – and, in exceptional cases, even more so, so that the requirement of equity can be lowered if the TOBB so wishes. Alternatively, the municipality may grant the new Start-up loan. The problem, therefore, is not, as the representative of Øyes asks, that the applicants concerned do not receive a loan from the House Bank. The problem is that TOBB has not been able to sell a sufficient number of apartments to start, and one of the reasons for this is that several of the applicants concerned did not have a financial basis for serving interest expenses, etc. TOBB is not paid out the mortgage until the apartments are sold, nor does it obtain an insurance guarantee. The TOBB cannot start construction. The representative Eye asks what the Council of State will do to help these groups to obtain housing. As you know, this year the Government has established a new loan scheme – Start-up loans – which municipalities can provide to groups of low incomes and low equity. Usually these loans are used for the purchase of more reasonable, used dwellings, and this could provide a good solution both in residential and financial terms. In special cases where the household belongs to disadvantaged groups, such as the homeless, refugees and others, the municipality will be able to grant housing grants, which are, in other words, a form of subsidy, in order for the boutes to come down to such a level as they can. This may be the priority of grant funds to which the representative Eye aims when mentioning ‘amended rules’. But there's something different than the rules for loans in the House Bank. That priority therefore means that for individual groups applying for it if the municipality of Stjørdal within the housing grant they provide, it is considered that this is the main group to provide support for – it will be possible to receive that kind of support.
