ParlaMint-NO_2003-06-17.ana.ud1698e76	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2003-06-17.ana.ud1698e1405	The representative, Grethe Fossli, has made an excellent presentation of the Committee's position, of the proposals for patent legislation implementing the Patent Directive in Norwegian legislation, and also of how to regulate access to exclusive rights, i.e. patents, on inventions related to biological material. It is not possible to undermine the fact that this directive has a history that is well known in the political environment, not only in Norway, but in all countries that have had to put this patent directive on their agenda. The process in these countries has brought the matter up and down and has led to the fact that many of the issues that were very controversial and difficult to deal with in their time have gradually been dealt with. The considerations that should and should be taken care of have been safeguarded in such a reassuring way that I believe that we can today safely conclude that through this processing, which has not least been carried out in the other EEA and EU countries, we have achieved a final result that is to be considered very satisfactory. I think it's worth being aware that a patent itself does not give the right to exploit or exercise the invention itself. The exercise of patents on biotechnology invention is covered by a number of national laws and regulations, on which the representative Fossli was concerned. We have in Norway, among others. biotechnology law, genetic engineering law, pharmaceutical and animal protection laws, product control, pollution law, etc. These are laws that, in this context, will be subject to the patent law as regards exercise rights. It is by means of these laws that we shall first and foremost protect ourselves from the things that I believe will certainly be mentioned by the nature of the unethical and unwanted consequences a little further into the debate. In this respect, I am pleased that the Government is proposing to exercise good control over all genetically modified products, so that the consumer in Norway will not have any reason to worry about the implementation of the Directive in Norwegian legislation. From the Right, it is a natural objective for Norway to appear as an attractive country for research and product development in the field of biotechnology. In fact, the Patent Directive is an important contribution in this area. The biotechnology industry has emphasised that Norway needs to have as good framework conditions in this area as the countries with which we are going to compete. Lower patent protection in Norway than in the EU and other western countries can, of course, lead to the loss of ground in this area by Norway. Therefore, there has been almost a unison feedback from the Norwegian biotechnological environment, from business organisations and from Norwegian patent law experts that we can safely go in to implement the directive in Norwegian legislation. The EEA Agreement shall ensure that the Norwegian industry in the EEA countries has equivalent access to the internal market through common rules and legislation. And by incorporating the Patent Directive into the EEA Agreement, we will achieve a level playing field and the same legal framework as in the EEA area. A parallel development of legislation is a prerequisite for a functioning internal market. Being outside such inclusion could significantly harm the Norwegian biotechnology industry. If we are to get even close to having the common goal that we have all set for Norway to be one of the world's most innovative countries, we must give this industry good conditions. We simply need to improve the framework conditions for the knowledge-intensive industry, the knowledge-intensive industry. And the conditions for patenting are in this area of alpha and omega. We will be hit hard if we experience that the conditions for patenting will be significantly better in our neighbouring countries, in our competitors, than in Norway. We all know that the so-called "life science" industry is an industry that grows annually by 15-20 pst. independent of the cyclical picture around itself. And already today Norway is very small in this area, compared to our neighbouring countries. We can draw Denmark and Finland out as two examples here. By standing outside, we will experience that we will get a cost picture of patenting that puts us in a very difficult situation at cost. Already today we see that patenting in Norway has an average price of approx. NOK 100000 over average EU costs. In comparison, we know that patenting in the United States amounts to 1/3 of the costs in the EU. And when we know that a small, modern and mature biotechnology company in Norway often has around 14–16 patents, we understand that the cost picture means a lot in this context. As stated in the Norwegian declaration of incorporation into the EEA Agreement, several provisions of the Directive provide for a certain degree of scope for implementation. There was also Grethe Fossli in a reassuring way inside. I would just like to conclude by saying that there is an international consensus that biotechnology is very important for the development of the medical, health, food and marine sectors. It is also important that we give these industries, our professional authorities and our industry the same opportunities in this area as others have. In the Right’s view, it is not very sensible to have a high-tech, modern country such as Norway as the only Western country that would limit the industrial framework conditions for the biotechnology industry. We are in a scientific revolution related to biology as a result of the new technologies, and Norway will be acquitted culturally and industrially if we thereby refuse to incorporate this directive. I will also mention the environmental protection area – and environmental technologies – as an area that will be more closely involved in the future under the concept of biotechnology. And finally, with all the counter-conceptions that have come here, I think we have to think very carefully about what kind of effect it would have in the big world that small Norway, with 4.5 million. people, who were almost the only country in the modern Western world to stand outside. It won't be in our favor, and it won't be in our favor for the part of the world that needs our knowledge and our help.
ParlaMint-NO_2003-06-17.ana.ud1698e1426	The Progress Party recommends that Norway join the Patent Directive and keep the necessary progress in the case. It's been a long process. A decision should now be taken and, in our view, the directive adopted without further delay. We find it unsustainable if our neighbouring countries and those with whom we work in Europe have to have different rules in this area than Norway has. The time is now ripe to make a choice. We clearly see that there can be fundamental and ethical arguments against the directive, but we have nevertheless fallen into a position of being positive. Of course, the authorities need to keep it under constant review and supervision in order to adequately address key issues. It is essential that the Directive be implemented in a way that respects the fundamental principles of respect for human dignity and integrity. The Progress Party has stressed first and foremost that the Patent Directive will help people and contribute to a development that gives us better opportunities to treat and cure diseases, as well as to produce results that provide better well-being and quality of life. We have also stressed that biotechnology is considered to be one of the industries that will have the highest potential for value creation in the coming years. We feel it would be wrong if Norwegian companies were not guaranteed a level playing field through the legislation in relation to our trading partners. Another point that should be mentioned is: it would be strange if we took the political position that we would take advantage of the products in this country, only they would be produced in other countries, because we don't like the production method. It would, in my opinion, be a significant inconsistency. Biotechnology has long been a focus of Norwegian research. I would like to refer to the ‘Perspective Analysis and Action Plan for Biotechnology 1995–2005’ which the Norwegian Research Council has set out, the main objective of which is to exploit the opportunities offered by modern biotechnology in the context of ethical and safety standards. Substantial amounts are allocated to biotechnological research projects by the authorities in addition to private funded research. When the public contribution to the research effort is significant, it makes sense to believe that there will be something left for this, among other things. in the form of inventions that can be commercialised and thereby increase value creation and jobs. Although Norway is in the backyard compared to our neighbouring countries, there are several examples of bud shooting and good inventions that, on the basis of patents, have also become world leaders in these areas in our country. The Progress Party will provide Norwegian businesses with the opportunity to participate in the development of biotechnology and take advantage of the opportunities available. That's why we have to act then. Our Prime Minister announced in January that Norway will become one of the world's most innovative nations, and I will take the Prime Minister's word. If this is to be achieved, it is absolutely necessary to improve the framework conditions for knowledge-intensive industries. In biotechnology, patenting is alpha and omega. An important signal from Stortinget will be to ensure that Norway has at least as good terms for patenting as EU countries. It is not reasonable and desirable that patenting conditions should be better, for example. in Denmark and Finland. This is important, not least in terms of knowledge and experience. I'll take an example of what this is all about. A company called Myriad Genetics has patents on genes that detect breast cancer. The professionals disagree whether this is an invention or an discovery. There is a lot of work to discover the relationship between gene and disease. The boundaries between discovery and invention are continuously assessed by the patent authorities. Furthermore, it is important to monitor patenting practices so that patents do not become too wide, i.e. that research can be prevented. As the Progress Party sees it, it is important that Norwegian specialist experts can be involved in and discuss these issues in an international context, among others. of the European Patent Organisation. Norway has signed the European Patent Convention but cannot ratify it without allowing for the patenting of plants and animals in accordance with the Patent Directive. Now that Norway joins the Directive, it will allow for the submission of an application to the European Patent Organisation directly by patenting, without having to pass through an authorised resident of a Member State to the European Patent Convention. By requiring Norwegian applicants to go through an additional phase, the quality of the application work may be impaired, as well as substantial additional costs. The Convention makes it possible to apply for patents in several Member States or all of them together. Patenting thus becomes simpler and cheaper. The Progress Party therefore believes that we must now say yes to the Directive, because a no would negatively affect potential Norwegian patent applicants. We have everything to do with having patent legislation in Norway that is coordinated with European law. Research is expensive in itself, and it would be unfortunate to have problems with patenting as well. Norwegian companies seeking to take an EPO patent are charged additional costs of DKK 100 000, which is being dropped by European competitors. It is therefore important to have comprehensive patent legislation in Europe and, in the long term, also on a global basis. The purpose of the Patent Directive is – and has been – to ensure that the patenting conditions in the EU are in line with the conditions in the United States, Japan and some other countries, as well as a desire to bring about modern legislation for the legal protection of biotechnological inventions. The Directive expressly prohibits patents on the human body at all stages of development, including germ cells and embryos. The process of human cloning is also excluded for patenting. It also prohibits the patenting of human embryos for commercial purposes and procedures for the genetic modification of animals suffering from disease unless a significant medical benefit can be achieved for humans or animals. It is also important to stress that patents on inventions which would be contrary to fundamental ethical considerations of commercial exploitation cannot be granted. These are issues that are not just addressed in Norway. Without it, ethical and safety considerations are at least equally concerned with the exploitation of modern biotechnology. Ethics and societal issues will always be at the heart of biotechnology economic development. It is then important to be aware that these activities are regulated by other legislation, both in terms of research, development and exploitation. This Directive therefore does not preclude strict legislation based on ethical, health and environmental considerations. In Norway, this is regulated, inter alia: by the Law on Genetic Technologies and the Law on the Medical Use of Biotechnology. If conditions are facilitated by a reasonable management by the authorities, Norwegian research and business activities could play a role in this important area. A contribution in this way would be to agree to the EU Directive on the legal protection of biotechnological inventions.
ParlaMint-NO_2003-06-17.ana.ud1698e1458	The Patent Directive addresses serious fundamental ethical and principleal issues. The rules for the patenting of plants, animals, organisms, cells, tissues and genes shall subsequently be the same as for material objects, such as cheese hooves, vacuum cleaners or computers. The Patent Directive equates living lives and material objects. We have a number of opposites to the content of the directive. Some of them may be a little legal, and we'll get closer to them when we're going to deal with the patent law and the implementation of the directive in Norwegian law. The Directive states that only inventions can be patented and the landfill proposal says, ‘Patents on pure discovery cannot be granted’, but at the same time the Directive states that an element that exists naturally, for example: a gene or a cell from the human body may be an invention. Other biological material isolated from its natural environment should also be patentable, even if found in nature. When the detection and isolation of these genes is granted patent protection, it favours eradicating the distinction between inventions and inventions. In normal language usage, finding a pathogen in the human body and figuring out how it works are perceived as an invention more than an invention. However, according to the Directive, he or she who finds such a gene shall have the right to use it unilaterally, despite the fact that there is either natural in man or other living organisms. First, one says that a patent cannot be granted on discovery. So defines an invention as a legal term to also include something that in everyday speech is perceived as just discovery. The assessment of what will then be an adequate level of invention will be left to the patent offices, to the European Patent Organisation and, ultimately, to the courts. We no longer have control of that after we have implemented the directive. A patent is a right to prevent anyone else from commercial use of what is patented. This becomes especially when the invention is alive. The Directive defines ‘biological material’ as anything containing genetic information that can reproduce itself. When an invention can actually reproduce or produce itself, the question is, who is it that violates the patent when a patented animal or plant reproduces itself? It can't be the plant or the animal. Thus, it must be human beings who happen to end up with such plants and animals, which violate the patent. The example of the genetic technology company Monsanto illustrates this. Monsanto has brought lawsuits against several Canadian farmers, because tests revealed that there were genetic remains of Monsanto's patented and genetically engineered plants in crops from farmers who had not bought seeds from Monsanto. It is close to thinking that the genetic material will end up in the crops of these farmers as a result of genetic contamination, for example. by pollen application. With the patent law in mind, Monsanto has sued several farmers for illegally using Monsanto’s patented genetic material. These are the cases Monsanto has won, and Canadian farmers are fined. This example illustrates the difficulties that arise in treating living organisms, as a plant, in line with dead things. The evidence was transferred to the farmer, who had to prove that he had not bought seed from Monsanto. Nor does the Patent Directive give sufficient consideration to the right of the farmer to use self-produced propagating material for his own needs. A number of times during the hearings were mentioned in the committee. The use of seeds from own crops is common, and the Patent Directive makes this difficult. The Patent Directive also contravenes the principle that plant producers have free access to further development of protected varieties. The Directive may also strengthen progress towards monopolisticism and the uniformisation of food production in the world. Patents on plants enable genetic technology companies to obtain commercial exclusive rights for a large part of the world's seed. The Patent Directive can thus help to strengthen the concentration of power within food production in the world. Many people point to the concern of developing countries in their criticism of the directive. Increased patent protection increases the income of countries that have companies that register many patents. Patent income is therefore not evenly distributed over the world, but concentrated in industrialised countries. Most of the world's biological shortages are found in developing countries. These are resources that the growing genetic technology industry relies on, and the Directive gives this industry free access to genetic resources and the ability to obtain a single right to commercial use of genetic resources. Therefore, the Patent Directive legalises renunciation. Multinational companies or others can freely retrieve genetic material from poor countries in the south and obtain patents on it. The patent confers a single right to commercial exploitation of the genetic material without requiring any of the income to be recovered from the country or local population. The patent seeker does not even need to provide information on each of the genes from which a patent is sought. The Patent Directive is therefore contrary to the Convention on Biological Diversity. The Convention states that the commercial value of the exploitation of the biological deficiency should be shared fairly between the local population, the country and the commercial company concerned. The Convention also states that each country has the right to have its genetic resources at its disposal and that access to genetic resources requires the approval of the country where it exists. This was the background for the Netherlands’ complaint to the European Court of Justice. Norway supports the Netherlands in this matter. However, the European Court of Justice was indisputable and concluded that the Directive was in conformity with the Convention. I think it is alarming that the majority of the committee is very much in favour of the interpretation by the Court of Justice of the Convention on Biological Diversity. In particular, in the light of the fact that Norway actually supports the complaint from the Netherlands, this is alarming. It is not for the European Court of Justice to judge whether or not it complies with the Convention on Biological Diversity. I also found it particularly important that the Minister of Foreign Affairs, in reply to questions from the Committee, says that Norway has not intended to take any initiative to ask the Secretariat of the Convention on Biodiversity to consider the issue, because it is up to each country to ensure that it complies with the Convention. The assistance organisations have a clear line to the directive. Norwegian People's Aid writes in its call phrase: «The raw material for genetic engineers is genes, and interesting genes are often found in crops, crops and livestock used and processed by the local population for generations. The problem with issuing patents to researchers who have stolen genes and transferred them into new organisms is that these patents only reward those who have done a small part of a great job.’ This, I think, is a question that the majority of people should have problemated a little more than they do. Nor does the majority take over Norway’s proud role as a bridge builder between OECD countries and developing countries in international negotiations. This role becomes problematic when we join the directive. NORAD writes in its hearing statement: ‘The position of Norway on TRIPS and the ongoing WTO negotiations to amend the TRIPS Agreement shall be that there shall be access to the prohibition of patents on plants and animals.’;» And on the other hand, ‘Conclusion of the Patent Directive providing patent protection for plants and animals will make it difficult to defend the maintenance of Norwegian positions in WTO negotiations.’ And we know that exactly that kind of negotiation is going on right now. We have proposals to lay down the patent directive for an advisory public hearing. It's a radical grip. First of all, we believe that referendums should be used more often than they are today, and we therefore agreed on a proposal that was not agreed in the Stortingen yesterday, to allocate more use of local advisory public opinion. People's vote is a good addition and corrective to representative democracy. In this matter, we believe that this is important because the Patent Directive is concerned with a central ethical issue which, in our opinion, has major and inconclusive consequences for the future. It is about the consequences of an international agreement that has been concluded in the past. But we did not know that this was going to be the consequence of the agreement we entered into. The directive is well-suited to be put to advisory public hearings because it has two clear and conflicting positions. When the proposal to impose the Patent Directive on advisory public procurement does not have a majority, our secondary proposal is that we ask the Government to use the right of reservation to which the EEA Agreement gives us access and veto the directive. I found it sad that we have spent so little time dealing with this matter. And I think it is sad that one has had a long process in the EU, while the quick eye is going through the Storting when one is going to deal with these kinds of issues. It has taken a long time to reach agreement in the EU. We're spending a very short time in Stortinget. Finally, I would like to take up the suggestions that SV has made on its own or together with others.
ParlaMint-NO_2003-06-17.ana.ud1698e1514	The representative of Åsa Elvik has taken up the suggestions she referred to.
ParlaMint-NO_2003-06-17.ana.ud1698e1517	With regard to this case of the Patent Directive, the Christian People's Party has had fundamental ethical and principleal objections throughout the years. In particular, it is ethically opposed to the extensive patentability of living material that follows from the Directive, among others. the patenting of animals, plants, the concern for biological deficiency and the concern for developing countries and their exploitation of their own genetic resources, which have made us aware. This is why the Councils of State of the Christian People's Party and the Left chose to accept it on the issue of the acceptance of the EU Patent Directive on copyright. There are three aspects in particular that the Christian People's Party emphasises in relation to a holistic assessment of the Patent Directive and that constitute the foundation of the Christian People's Party to say no to the Directive. The first is ethical consideration, including respect for the creation and human dignity. The second point is that we are very concerned about the environment, with particular emphasis on the precautionary principle. The last serious concern of the Christian People's Party is the concern of the developing world's interests. We are also concerned that the patent can be used to provide a time-limited one-off right to commercial exploitation of inventions. Disclosure of inventions at the same time as patent holders have been sure to benefit from the commercial potential of their invention is an example of practices that have evolved over time in the field of patents in the field of genetic and biotechnology. It is important to emphasise that the use of patents, and the corresponding rules on the protection of copyright in general, act as an important instrument to stimulate research and development. At the same time, we would stress the importance of stimulating the exploitation of the potential of biotechnology. However, what we find most necessary in this context is that society draws up the boundaries to avoid undesirable development. When it comes to patent law in Norway, it has been relatively similar to that in other European countries. What is worth noting is that Norwegian patent legislation has traditionally been more restrictive than in international contexts. All in the 1990s, the Stortinget and several governments stated that it should not be opened for the patenting of plants and animals or for the production of plants and animals, and that there should therefore be no possibility of patenting naturally occurring material. In these courts, there has been particular criticism of the patenting of naturally occurring material. In order to ensure that patent practices are as restrictive as possible in this field, the size of the case has even demanded the application of the patent law, thereby ensuring that the patent practices currently in force are maintained. legislation on industrial legal protection, etc., the so-called TRIPS Agreement. We note that this has not been followed up, pending the treatment of the EU Patent Directive. At the same time, we would point out that the EU Patent Directive introduces a completely different patent legislation and practice than has been the case in Norway until now. We also note that this means a fraction of the holds that a multiple of the Storting has previously expressed. In relation to patenting of parts of the human body and sequences of human genes when isolated, we would stress that these are highly controversial internationally, including intra-EU. It is a crutch of thought that a medical environment fears that this can contribute to weak medical research and development. In this context, it should be interesting to follow up on what is happening in relation to the Council of Europe's decision. The Christian People's Party believes that the patent directive, as it is designed, does not conform to the Christian view of human beings and thus undermines the fundamental holds, that a human being must have dignity and integrity on which to build our society. The Christian People's Party has respect and humility for all living material. Plants, animals and naturally occurring material must be seen as part of the creation that we are set to administer. In this manager's mind, nature has a self-esteem that we have to protect. In this respect, it is therefore particularly problematic that the Directive makes a small distinction between living material as a fin in nature and that which has been affected. Being able to obtain patents on inventions rather than inventions does not specifically harmonize with such an ethical thinking. This form of a single right to exploit the creation to which the Directive opens extends far beyond what may be said to be reasonable and justifiable. There has been a monthly international discussion on the relationship between the EU patent law and the Biodiversity Convention. It is important to highlight the link between the Patent Directive and the concern for biological deficiency. The Christian People's Party is of the opinion that the Patent Directive will be able to create difficulties in the follow-up to the Convention on Biological Diversity. This will also have an effect on the Catagena Protocol on Plant Genetic Resources. The ability to take patents on living material as a fin in nature could lead to an intensification of the loss of biological material and a uniformation of the biological deficiency, plant and animal life. This is something we in the Christian People's Party are concerned about and really concerned about. In relation to developing countries, the Christian People's Party is particularly concerned with two aspects: firstly, the right to the exploitation of own genetic resources in these countries and secondly, the distribution effects of the implementation of a patent law, such as the EU Directive globally. This may be based on several factors, but it is likely that about 90 pst. The world's genetic resources exist in tropical areas, i.e. that it is mainly developing countries. What we fear in the Christian People's Party in this context is that the Patent Directive will lead to a massive and uncontrolled exploitation of genetic resources in these countries without the country being guaranteed remuneration for this. The Christian People's Party is therefore fundamentally concerned that the Patent Directive can in this way lead to an even more unequal distribution of resources in the world. We have therefore come to the conclusion that my patent directive is unsolvable against the world's poorest, and this is deeply anchored in the Christian People's Party's restraints. The consequence of this is that developing countries will also be able to experience the cost of paying expensively for products created by their original genetic resources. What lies in this is that we can come into a situation where developing countries will experience obstacles to the export of their own products because these are of material patented on the markets of the industrialized countries. This is unsustainable and only contributes to the misalignment of the world in the wrong direction. It was said earlier in the debate that Norway is only 4.5 million people, and that one should not put too much emphasis on what we do. I actually think I have to supplement Ivar Kristiansen and say that many eyes around the world dove in Norway and look at us with great respect for the story we have in order to have a fight for the interests of the developing world. With regard to Norway's driving role and its international concern, we believe that Norwegian support for the EU Patent Directive could weaken our position and therefore be unfortunate. Having said that, I would nevertheless say that we recognise that there is a number of people both in the Government and in the Storting that will accept the Patent Directive for Norway. What is important to us in this context is the introduction of restrictions that result in a restrictive line in accordance with previous practice. So we feel that some of the negative consequences are weakened. This is particularly true of the way in which the Government proposes that Norway should make use of the space for action permitted by the Patent Directive, so that the Directive can be applied restrictively. The government will also introduce information obligations for patent applications in Norway – this to ensure information about each material being patented is actually obtained from. It is also proposed that a specific ethical term, the agricultural derogation, be taken into account. Internationally, we are pleased with the Government's proposal that Norway should be able to take up a restrictive line in international forums when it comes to the development of patent rules. At the same time, it is of great importance that Norway wishes to participate in the EU Councils and Groups providing ethical advice in relation to the Patent Directive. Therefore, the government is increasing the possible tightening of the patent directive towards what the European Parliament has proposed. With regard to developing countries, we will work together with the Government to ensure that their interests in international negotiations are taken care of. All in all, we are relatively positive to the signals that are coming. The Christian People's Party will otherwise join the proposal No. 1 and 2, which is progenitor of the minority.
ParlaMint-NO_2003-06-17.ana.ud1698e1563	It has been said by several of the supporters of the directive that this is a long-term issue and that, therefore, it is high time that it was decided. I would like to remind you that, in fact, only six EU countries have implemented the Patent Directive in their legislation. In fact, there has not been a longer period of time than the fact that there is also a significant disagreement within the EU on how to deal with this directive. France has gone a long way in challenging the intention of the directive in its legislation. On the basis of the Commission on Biological Diversity, the Netherlands has appealed the Directive to the Court of Justice of the European Union — and was initially supported by Norway. During the treatment in the Government here with us, we see that nine of the members of the Government have taken this and recommended the Stortinget to use the right of reservation. Unfortunately, the government of the Christian People's Party did not use this time nor the opportunity to put down its feet and thus ensure that there was a majority in the Government for their views. That should have been the Christian People's Party! With the seriousness that I have perceived that the Christian People's Party, and also the Left, has put in this matter, the Right should have had to surrender for once. However, the fact that the Government has recommended this by a mere majority, and that there is strong internal disagreement within the EU, does not rock the EU's loyal ones in this house. Everything that comes from Brussels is per year. definition thoughtful and reasonable. Minimum time for debate shall be used. It has to be clubbed through as quickly as possible, and it is believed that when it is discussed in the EU, it has been discussed. Then we don't need to spend time on this. Then I hear some people say in the debate that we must not give Norwegian research and Norwegian business worse competitive conditions than the others have. We're actually doing something about it every day! We did it last week in connection with the treatment of the Animal Protection Act. We have done so in relation to what kind of framework conditions we have given the farming industry. We do it in relation to the Working Environment Act. We do it in relation to environmental legislation in other areas. It's part of our daily policy that we want to base some standards other than what many other countries do, in the way we handle things here at home. But in this area, we're not going to do it. It is that from time to time we also have an obligation to evaluate business relationships against ethical relationships. This matter is a matter in which it should have been done quite clearly. It is not obvious that, in absolutely all areas, we must put competitive conditions ahead of all other considerations. The possibility of exclusive exploitation of an invention related to biological material will undoubtedly increase the effort and pressure in this area. There are major economic interests involved for those who will succeed. No one has to be in doubt that for 20 years to come, the possibility of obtaining exclusive rights — patenting — will put enormous pressure on the development of a sector where, in fact, those who are the supporters of the Directive have also expressed scepticism for parts of what is there. The question of the patenting of living organisms is such an important issue that the Centre Party, together with the SV – as has been said earlier – believes that this Directive should have been put to an advisory referendum. In this way, we could actually have the opportunity to have a popular debate on the content of the directive, and get an engagement on whether the Norwegian people believe that this is a direction in which we should go, or whether we should do the opposite – what we have done in a number of other areas of good luck – work internationally to prevent a development that in fact has also expressed a critical attitude to the followers. We did it, for example. on a question of banning the use of anti-personnel mines, and it would have been quite obvious that we could have used it outside the EU too, to fight against a development that we do not want, and which I believe a majority of the Norwegian people are actually behind. Unfortunately, that proposal does not get the majority, and our subsidiary proposals obviously mean that no consent should be given to the approval of the patent directive. Unfortunately, the majority here in the house seems to be in a hurry.
ParlaMint-NO_2003-06-17.ana.ud1698e1586	Patents in life are not just about technology or economics, but about fundamental ethical questions about how to treat nature and man. The EU Directive on the patenting of biotechnological inventions concerns the right of ownership of biological defects. Biological diversity, whether it's the wild axis of the West or bananas and Brazil nuts from the rainforest, is a very special resource. Biological diversity is essential – it is the food we live from, and food production is the most important example of the use of biodiversity. Maybe as much as 90 pst. of the world's bio-diversity is found in the tropics. There is a resource that the rich countries need, and want, at the expense of developing countries. As a result, the issue of the Patent Directive is highly a matter of developing countries’ ability to secure their resources, and so it is so important to regulate the ownership of biological deprivation. The EU Patent Directive will also make it possible to patent plants and animals. In previous bottling of the patent issue, there has been a cross-political agreement that plants and animals should be excluded from patenting. Here borders are drawn. There has been a trade-off between industry's desire for patents and society's need to show that nature is something other than just patentable biological material. Thus, it is now possible to patent plants and animals in Norway because the bulk of the population by all means will avoid vetoing a single EEA Directive. Left seems very sad. The main issue of the Patent Directive is the integrated knowledge view that the Directive has – that it prefers a particular type of knowledge, namely western technical laboratory knowledge. The basis for the directive is the fact that those who work in a laboratory and can sequence genes and create genetically modified organisms must be rewarded with patent rights because they do such an important job. Informal but intelligent research and processing work where the biological deficiency is greatest, e.g. in a strain that lives far inside the rainforest, or a family that serves coffee in Ethiopia, is valued at zero. As this Patent Directive is designed, among organisations dealing with environmental and solidarity issues, it is perceived as legitimate theft. Our researchers and companies can travel and take home exciting biological shortages, and then secure a single right to use it for the next 20 years. Some call it genetics, other bioprospection – but the Left thinks it's fair, no one can say it is. There will be a majority for the EU Patent Directive on Stortingen today. The left would stress the importance of Norway continuing to support developing countries in international negotiations on intellectual property rights. The government assures Norway that it will promote a restrictive line in international forums. During the so-called TRIPS negotiations, Trade Related Intellectual Property Rights, the Left believes that Norway must support the African countries' positions. It is also important that Norway ensure that EFTA does not impose intellectual property rights when EFTA negotiates bilateral trade agreements with other countries. In the setting, it is indicated that the Left State Councils – together with the Christian People's Party – have taken part in the Government on this matter. The seriousness of the matter is also underlined by the common comments of the Socialist Left Party, the Christian People's Party and the Center Party. The left says it's mixed up in these. In general, we also share the separate comments that the Christian People's Party has in the setting. Ethical concern, the concern for the environment and for the interests of developing countries, all speak to vote against the pluralist position today. The left considers this matter to be so important and so fundamental that we will support the proposal for an advisory referendum. We believe such a reconciliation and such a debate will be positive, and see the dilemmas and choices of technological development facing us as a society, no matter where the plurality goes. Finally, the Left will vote in favour of the proposal No. 1 and 2, from the Socialist Left Party and the Center Party, and against the setting.
ParlaMint-NO_2003-06-17.ana.ud1698e1609	We are dealing with a controversial issue today – we are dealing with the Patent Directive. It's very controversial. I think we've spent a little time getting involved in what this is. I have to ask if the voters who have elected us are aware of what the majority in this Chamber is doing. To be honest, I don't think so. I do not think it is the majority of the Norwegian people who want us to adopt the patent directive today. So stupid, I don't think the voters are. But I'm given up on the fact that we're going to decide that I can own the president!
ParlaMint-NO_2003-06-17.ana.ud1698e1617	Doubtful!
ParlaMint-NO_2003-06-17.ana.ud1698e1620	Yes, but we're going to adopt it today! And the president can own me. I've been abandoned for a while. That the Right Party and the Advance Party are in favour of this matter, I agree, because they want to sell everything. Everything that smells of natural resources, they'll sell, and it'll go over to the business people, so they can make money on it. But what about the grass, what about the seed, what about the potato, which we're all so happy about, the fish, the corals, the seagrass, the tangent and the tare? All this can be patented – by businessmen. Not us, no far from it. And what about all the organisms that exist in the sea? We know that there are people out in boats at sea taking samples of the corals, and of course they can be influenced by the fact that they can be patented. And what about genetically modified soya — genetically modified products that we import into Norway? But we're not allowed to use it. Within the EEA Committee, from which documents should be submitted to the Committee, there is a one-year waiting period for all dossiers. One year, the Committee and we big-time representatives must wait for what is being discussed in the EEA Committee. No, I have no problem joining the SV and the Central Party's minority proposals in this case.
ParlaMint-NO_2003-06-17.ana.ud1698e1632	What carries the majority of the government, and which carries the majority of the population, are the opportunities seen in biotechnology. I noticed with pleasure that the minority in the setting also underlines the same thing: ‘These members will also highlight the importance of stimulating the exploitation of the potential of biotechnology.’ This brings us together. But, at my discretion, it is that accepting the directive now is what will put our business in the same position as the rest of Europe, thus giving us the opportunity to do what both the majority and the minority agree on in practice. This is by no means a new matter. This matter has been debated in Stortinget for years, and has also been in the EEA Committee for years. That's why the government parties at Sem, before the formation of the government, agreed that this was the area where the parties would separate layers. I am therefore more than surprised when someone in Stortinget says that this is a matter on which we have had little time – considering that the issue has been well known to Stortinget for years. The proposition underlying the treatment today has also been in Stortingen throughout the spring session. That it has therefore been good time to decide on the matter, I am not a moment in doubt about it. It has also been the case that many other parliaments in Europe have already done so. I agree with those who say that there are difficult issues that are being discussed here, and I think it is important that they be discussed with demands for accuracy and also demands for respect for other perceptions. I am therefore not quite sure how successful I think it is when the minority balances the scope of application with cheese choppers and vacuum cleaners – that is at best a failed polemic point. However, it nevertheless gives me reason to stress a few important things, namely that patents on clean discoveries are not granted, that a patent in Norway does not provide the basis for refusing the use of biological material as it occurs in nature, that it is about who should have the exclusive right to commercial exploitation of a biotechnology invention, and that a patent does not confer the right to the development or use of inventions prohibited by other legislation. So it's not a question of what to develop, but of who to develop it commercially. I would also like to remind you that, in relation to applications for patents, there is a transparency that in itself will be important, not least in the interests of research. The alternative is actually secrecy, and it's a question of reaching your goals more easily. But it is true that there are a good number of problems associated with this, and those are the problems the Government is aiming to resolve through the measures that the rapporteur has listed. I would therefore like to remind you that in Stortinget there is also a proposition, Ot.prp. No 86 for 2002-2003, which is just about implementing legislation in this area. Here you take up some of the objections that have arisen. For example, I have noticed that it is said that the patent seeker does not even have to specify where the genes that are wanted for patent are extracted from. No, that's not right. It's just looking up in Ot.prp. No 86, then you can see that there is an obligation here to disclose this in the patent application. I am also very surprised at what is said about the relationship with the Convention on Biodiversity. All the parties agreed to try this case out in court, but so it's the case that the minority disagrees at the moment they get the result of this test. There is no doubt that we want to implement this, so that there is coherence and consistency. I don't think there's any reason to further problematize that question. That's one of the things that should be taken care of.
