ParlaMint-NO_2003-02-06.ana.ud2316e58	The representative of Øyvind Vaksdal will make a private proposal.
ParlaMint-NO_2003-02-06.ana.ud2316e1089	It's going to be line change.
ParlaMint-NO_2003-02-06.ana.ud2316e1092	If the Labour Party had received a majority in favour of its request for disclosure obligations in 1990, we – that is my claim – would have had 10–12 TWh more in Norway. The Council of State was concerned with some important things in relation to what had to be done, and summed up with three confessions. At the same time, he is very positive in relation to mobile gas plants and to grant concession to it. Then it should be quite curative to help to get the gas power plants that have already received a concession started. Natural forces say that if they clarify the policy lines and have the same competitive conditions as competitors, they will start building gas power plants. The Workers' Party has called for initiatives from the Government to achieve this. My question will then be: will the Government confirm that the Government is in relation to the decision to grant Norwegian gas power plants the same framework conditions as gas power stations in the EEA area?
ParlaMint-NO_2003-02-06.ana.ud2316e1101	With regard to Klungland's main posts, I would say that it was quite obvious how he characterized the contributions of the Progress Party as populist. I wondered what words I would use to characterise the comments of the representative Klungland. But then came the conclusion, which was good. There was a lot in Klungland's posts that were marked by clear disclaimer and a description of reality seen with a severe rift in the eye. Let it go! For disclosure, the Labour Party has had five energy ministers in the 1990s, each of whom could have made proposals for the Storting to amend the Energy Act at this point. It wasn't done. It is likely that the five energy ministers would have recognised that this would have led to a significantly higher electricity price in the market. If this is what the Workers' Party is applying for, it can still be proposed. The second concerns gas power plants. Clear guidelines are requested from the natural force side, says the representative of Klungland. The guidelines that Natural Force has been given to work on in the given concession have been given by the government of Stoltenberg, from the Workers' Party. This government has not changed a comma in the concessions and requirements – both for the environment and for other emissions. The Labour Party is therefore responsible and has a majority in the Stortinget – against the votes of the Christian People's Party – for these conditions. If it is the case that the Workers' Party has come up with different ideas, it is something new, but I expect that the conditions laid down by a majority in the Stortinget still apply.
ParlaMint-NO_2003-02-06.ana.ud2316e1111	The persistent crisis of the winter in the power market has obviously not yet led the Council of State to grasp the seriousness of the situation. It surprises me. The government's so-called measures to meet this challenge are, to say the least, puzzled things. I assume, of course, that the Council of State, like me, is in constant contact with both the NVE and Statnett about the serious situation we are still in, and that can quickly be dramatically exacerbated if we have a longer cooling period. I would therefore ask: does not the Council of State trust the highest expertise we have in Norway in this area, since he has still not understood the seriousness of the situation and will not do anything to increase the production of force?
ParlaMint-NO_2003-02-06.ana.ud2316e1118	This is a very worrying situation in the power market. It is so serious that I have also been willing to resort to exceptional solutions, which are not in line with the environmental requirements that one would otherwise have set for energy production. I have also put in place exceptional measures to make households save electricity and by contributing to an energy conversion, which is not only sensible for households' finances but will also relieve the electricity grid. In conclusion, I came to my post, hopefully before the representative Vaksdal wrote his reply, into three important confessions that we should also be able to stabilise and improve the energy balance in the longer term, so that we do not get into a situation similar to the one we are currently in. In this respect, it must be added that the level of congestion in the warehouses is so high that it is likely that a long period of precipitation is needed to stabilise the situation accordingly. I am listening to the NVE and Statnett, and I can confirm that there is ongoing contact with just these institutions, which are under the ministry. It is also in consultation with these that the policy is designed, and it is upon their advice that we take the necessary measures. I therefore stress that the situation would be further exacerbated and more critical, there are instruments and measures that can be put in place to prevent what none of us wants, namely rationalisation. So far we have got this, thanks to good help from private households, industry and government that have helped save electricity, but not least thanks to a favourable weather development in January, which I hope we will also be able to experience in winter. It is clear that it will be important for a favourable development in the power market.
ParlaMint-NO_2003-02-06.ana.ud2316e1127	Initially, I cannot resist the temptation to remind the representative, Mr. Waksdal, that he actually provided a majority of the government budget for the autumn, so I think it's a little late with the heart attacks that are now coming. Otherwise, I must also say that the gas power issue and the discussion about the mobile gas power plants have made me a little uncertain about where the government is really talking about the gas power issue. The council says that he is in favour of the application for the mobile gas power plants, but at the same time admits that it is not an environmentally friendly solution. At the same time, he indirectly says that massive pollution – a pollution that is actually greater than that of stationary gas plants – is okay for as long as it is temporary. So here I think the government should come up with some clarifications. I must also say that I am pleased that the Government has gradually understood the principle that households need support, so that they can become less dependent on electricity for heating. As I said in my post, 8,200 households have applied for the new support scheme, which is probably only going to reach 9,000. And we're talking about half a million households that need to convert their heating system – away from electricity and over to new renewable energy. There we have a huge challenge, and the amount that the government has put on the table is pretty puzzled to get to this. There's SV taking responsibility. We invite the Government to a dialogue to put in place a long-term scheme that involves more than 50 million. kr. We want to cooperate, and the Government has a majority in the Stortinget for this, if the Government itself wants to – if the Government wants to put in place a system that involves long-termism, more money on the table, and does not throw blues in the eyes of people who need this support scheme.
ParlaMint-NO_2003-02-06.ana.ud2316e1136	I really don't think it would be necessary to repeat for the third time what the government's policy is in terms of gas power plants in general, which are so clearly expressed in the Sem Declaration, and which I have stood so firm in all these debates. Both Rolf Terje Klungland, Øyvind Waksdal and others who are engaged in building gas power plants, permanent ones, have received a clear response from me. I don't think SV should try to question the government's views on the long-term development of gas power plants with CO2 management. On the other hand, I want to put a positive spotlight on what is an outstanding success – it is good to bring it along too, among other things, a little more problematic – namely, the government’s proposal to support households in purchasing – excuse me, President, what is happening to the clock? – pellet foam, heat pump or energy control system. I can inform the representative Vaggen Malvik that this has now been raised in 9 100 applications, and that is about the scope of the proposal that has been promoted for Stortinget. This must not be a problem for us, but a challenge and a success. We have to take the positive view that this has received a very high response, but it also says that most households with good finances and profitability are likely to be able to invest in this, actually without the grant. What has triggered, on the other hand, is attention. It has moved something that we hope will be lasting, and that can put others on the same idea: making a sensible investment that in the long run will also save households money.
ParlaMint-NO_2003-02-06.ana.ud2316e1143	The President regrets that the Council of State was disturbed by the clock, something was wrong here. It is possible that there was too little power! I don't know – but now it seems to work again.
ParlaMint-NO_2003-02-06.ana.ud2316e1146	It's never so bad that it's not good for anything! In energy, it is time to go from talking to practice – and the government has now talked and talked. It actually seems to keep going, and it's disappointing. In terms of talk, I would like to ask the Council of State whether there is disclaimer and populism on the part of the Workers' Party when we claim that we want to have a discovery obligation, when we want a grant scheme to expand new renewable energy, when we want a grant scheme that will continue on power-saving measures, and when we want a grant scheme that will mean that sources other than electricity are used for heating. In this case, the Government follows up what the Council of State calls disclaimer and populism. The working party has proposed a heat pump scheme in the budget for two years, so the government is following it up now. The most important thing the council can do is to answer the concrete question I had in the first row, which he did not answer. It is whether the Government will ensure that the decision on the collapse of gas power plants, which states that Norwegian gas power plants will have the same framework conditions as those in other EEA countries, is followed up. Actually, the Council of State can answer yes or no to that. Thus he can give a signal to the builder, and thus he can do something about the power situation, so that we do not have the discussion about mobile gas plants every year for a long time to come.
ParlaMint-NO_2003-02-06.ana.ud2316e1155	We must tolerate a debate on energy policy, and an energy minister must also bear to be criticised when his proposals do not immediately arouse apathy in the Stortinget. But it is also important that the Government and the Stortinget cooperate in a difficult situation with a shortage in the energy market. And more governments and magnification have to take a co-responsibility because we've come up in that situation. It is in this context that I believe that the representative of Klungland here presents a populist statement, because the Workers' Party could have reintroduced both the obligation of discovery and put more emphasis on renewable energy throughout the 1990s. The representative of Klungland, in his first post, says that too little is being invested in renewable energy, and the Labour Party calls for more money for renewable energy. No government has ever given more money to renewable energy than the Bondevik II government. That's the ratio. That's why I think it's getting a little messy when you give the impression that one would have had more kWh to deliver to the energy market if the Workers' Party had been in power. At least they have not proved this through five successive energy ministers in the 1990s. It may be that they have come to the realization now that they should have done this, and that is all right. That's the right of the opposition to claim. But they didn't. We've done something about it. That may not be enough, and this winter may have shown that it has to do much more. I'd like to take that invitation from Stortinget, because I think there's got to be something to do to avoid being put in the same situation again. We must have a secure supply of power at all times, at acceptable prices. That's the government's goal, and we'd like to cooperate with the Storting.
ParlaMint-NO_2003-02-06.ana.ud2316e1162	The chord shift has been completed. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-02-06.ana.ud2316e1167	This is a debate which, in itself, has evolved as it was necessary to expect in the context of the many debates that have been held since the New Year and until today in all kinds of media, and we are also aware of the arguments. What I want to claim as an interesting observation is how the Workers' Party has, in a sense, been defending itself and using an argument against the sitting government to make its own defective follow-up on the energy front visible in the last ten years. So no initiative has been taken by the Workers' Party to bring more energy into the market. No more money has been spent on alternative energy support schemes. A declaration of will has been expressed, but it has not been made in the last ten years. It would have been possible. Then Rolf Terje Klungland, like Jens Stoltenberg has said in many debates, says that it would be so much better if you had followed the Workers' Party's recommendation on disclosure. I want to quote from Innst. O. No 67 for 1989-1990, where the Workers' Party voted to lift the obligation of discovery. It says, after a description: ‘However, when these members – i.e. the members of the Workers’ Party – ‘will support the proposal to lift the disclosure obligation, it is because it is illogical with the discovery obligation combination and market-based expansion. In addition, it will cause significant problems for each power plant to calculate what can be sold by power when large customers are to be able to trade with other power suppliers.’;» That means that what Rolf Terje Klungland claims about the discovery obligation is not correct. The Labour Party voted to abolish it in 1990. So to the extent that Klungland is given the opportunity to take the floor again, I hope he will clarify whether something has happened in the Workers' Party after joining the Innst. O. No 67 for 1989-1990.
ParlaMint-NO_2003-02-06.ana.ud2316e1179	I think the previous speaker is almost a school example of the way this debate has taken. He refers to 1990 observations. What's actually talking about is today's situation. And our proposal is to buy preparedness. I have heard the comments from the other representatives today, and they have been about general energy policy: high electricity bills, heat pumps, windmills, subsidy schemes and other things. But what is actually involved is the purchase of standby. If we are going to buy that standby, we have to make this decision today. So it takes four to six weeks from a decision here, until these gas power stations are ready to be used. And it doesn't help to come up with such solutions when the crisis is there, because then it's too late. Someone has mixed up that we didn't take this into account when we dealt with the state budget. That is quite correct, but when we dealt with the state budget, we did not take into account the fact that the state has invested billions in increased revenue in the form of VAT. Neither was it any of the other parties that commented in their comments or in their comments on the situation we are facing now. For what's happening is that we're giving up the weather and the wind and completely different powers from what's in this hall, if it's not going to be a crisis. Statnett hopes that Norway will continue to cope with the winter without rationalisation, but will not exclude it. In other words, there may be darkness in some areas. I have to refer to Bergen's Official Journal, which had a case yesterday, where the Western Council asks Stortingen to take action to avoid the crisis that could result in rationalisation and zonal disconnection of the power supply. And that's exactly who we're listening to, because it's those who are going to get dizzy when the crisis might occur, it's those who are going to get it dark. I find it regrettable that the majority here in the Chamber does not see the light, literally.
ParlaMint-NO_2003-02-06.ana.ud2316e1192	I agree with the representative of Korsberg in one thing: it does little for those who are currently struggling with high electricity bills or those who fear stream rationalization, that we are driving and arguing about what has happened in the past. But I take it for granted that the Government, if necessary, will come to the Stortinget with proposals or with questions of assistance if it would be necessary to introduce this kind of extraordinary action. It is the government's responsibility and the government's duty to ensure that an emergency situation is controlled. Therefore, the Central Party chooses to trust that the Government has the necessary overview in relation to the situation we have in the West today, and that proposals will be made to the Stortinget if necessary. But then, unfortunately, I also have to contribute a little bit to tearing up in old debates. The one who got me to take the floor was actually Rolf Terje Klungland – and to recommend a little reading from earlier times: The current Minister of Energy Jens Stoltenberg said in his statement to the Stortinget in 1995, March 23, that around the millennium we will be in a situation where we are dependent on importing power, that we want too little energy, that there is only a price that will be essential for the expansion of new energy, and that there is an increase in the price that is needed to get new capacity or put into use alternative energy. That was the government's prescription in relation to how we were going to make sure that we had enough energy. The first thing Jens Stoltenberg did after he joined as Minister of Energy was cut with nearly half a billion dollars in Finn Kristensen's investment in alternative energy. In 1992/93, the Labour Party had a major investment in alternative energy, but for the market economists in the Labour Party, there was no good solution. It was hoped that the market and price would prevail. On top of this, three new cable connections to Germany and the Netherlands were also approved at the time, with unilateral export obligations of a total of 7 TWh without equivalent guarantees for imports. These cables were eventually scrambled. I would also like to remind you that the gas power debate that the Workers' Party started in the mid-1990s was not a gas power debate to meet domestic demand for power. In repeated debates, the Workers' Party clarified that these gas power stations would be export plants that would export power to the countries around, in order to avoid exporting the gas in unaltered form. So it was some kind of processed gas Workers' Party talked about for export. So when the Workers' Party today turns to the great heights in relation to having taken hold of the situation we're standing up today, it's mildly done. It has nothing to do with reality at all, and nothing to do with what the Workers' Party did in the 1990s, when the Workers' Party today becomes a spokesman for increased energy supply.
ParlaMint-NO_2003-02-06.ana.ud2316e1204	When the representative of Korsberg says that there were no other parties that took account of today's situation, I think it must be a memory shift. It was actually the case that SV in the state budget went against increasing the proceeds from Statnett by 200 million. kr, agreed by the Progress Party and the Government Parties in the budgetary agreement. It was also such that SV added over a billion kroner to Enova in the state budget, among other things. to obtain a conversion away from electricity to heating. In addition, we have made similar proposals a number of times in the past, including in the context of the climate communication which was discussed last June. There are actually parties that have thought about this with power dependence in the past, and that have seen that this is going to happen. There were also parties in their time who did not call for the liberalisation of the power market and the introduction of the new energy law. The Council of State has pointed out that there are currently 9,100 applications to Enova for this new aid scheme, saying that there is no need to make a problem. Of course, it is very nice that 9 100 households have applied for funds for conversion away from electricity for heating purposes. I have often said myself that heating a house with panel furnaces, is like firing on the fireplace with mahogany, it's getting hot, but there's a bad use of electricity. It is very good that so many applications are available, but it also illustrates the problem that the scheme is limited. It's too little money, 50 million. kr is too small. We need to have a long-term perspective that also allows those households that do not have money on the book, or who cannot provide the money on the table now, to invest in a heat pump or a pellet stove. There is also a special feature here, even if you are supported by the state. The excess is not always as easy to tidy up in January to February for households with marginal income, which do not have large amounts in the savings account. So in order for these households, too, to be able to change, one should have at least one scheme that lasts over ten years, so that one gets a long-term interest in this. In the debate, the Council of State has also put the Labour Party and the Progress Party in a very strong position. It's interesting to see how both the committee leader and the state council are hammering on these two parties. I think that is justified. The problem is that in terms of energy policy, the government has just chosen these two parties as its partners in different areas, and unfortunately until now, the party that actually points to the forward-looking solutions, namely SV, has not chosen. That's why I say we want to cooperate with the Government. We want to give our support to a permanent conversion scheme, which involves more money than what has been put on the table until now.
ParlaMint-NO_2003-02-06.ana.ud2316e1213	I am sorry that the debate is going out, but at the same time I want to thank both the representative Odd Roger Enoksen and the representative, Brother Yngve Rahm, for allowing me to go back to the great heights. Now there's a certain question of definition here, if we have the same idea of what are the 'high altitudes', but yet it's dangerous to make history descriptions that are totally misleading and that don't lead to correctness. In relation to what Brother Yngve Rahm said, I can actually refer to his posts and say that when the Workers' Party still supports this, something must have happened before that, as I hope the representative of one of the government parties will read it. With reference to the representative Odd Roger Enoxen, it is quite right that we said we should have renewable energy sources to meet the energy demand in Norway in a normal year. In a normal year! I will make the claim that 2002 and 2003 have not been a normal year at all. I think one of the biggest wishes for the Norwegian population is that it won't be a normal year. But if this is not going to be a normal year, more power is required on the market. Here, the Council of State must sit down with the force of Nature, with the concessionary builders. The Workers' Party's call is: the Council of State must sit down with those who are to build gas power plants, ask what it takes to expand them, and present it to the Stortinget. Then I think the Council of State will get an answer to what needs to be done. The size has decided that gas power stations in Norway shall have the same framework conditions as apply in other EEA countries. Then we had not started coal-fired power plants in Denmark and Poland, and we had not signed an agreement on 50 MW of electricity from North Russia. There is no representative in this house who can say that it is more environmentally friendly than building gas power plants in Norway. At the same time, it is alarming that everyone will sell the gas only out of the country, and so it is that we will spend a lot of money building cables to pick up the further processed gas back to Norway as electricity. There is a cross of thought that government parties should take inwards now.
ParlaMint-NO_2003-02-06.ana.ud2316e1224	In relation to the problem raised by the proposers, listening to the debate can almost become speechless. When Statnett introduced a zoning for a short time back, we were made clear that the delivery situation was different for the country’s inhabitants. It can be extremely difficult for someone, especially in the West. That's a little bit of the background for the proposal to go. This matter is not about distant past and what was said in the settings in 1991, nor about the distant future and what could become the supply situation if we were able to install some heat pumps and do some other grip, but it is about a contingency action. So it's about the present. And when we talk about preparedness policy, a little bit of the point is to be out in good time, so that the action that is being taken will be effective if we come into a situation that makes it necessary for preparedness to be implemented. Then it is encouraging to listen to the debate, in which one is not at all willing to discuss the real content of the present – the emergency response needed to ensure that, in particular, parts of the West, the Sunnhordland region and the Bergen peninsula, should be provided with adequate means of supply in the event of the worst. And there's still cause for concern. Those who live there should be concerned about the lack of commitment and the lack of concern from a large majority in the Grand Duchy.
ParlaMint-NO_2003-02-06.ana.ud2316e1231	Brother Yngve Rahm has had the word twice and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2003-02-06.ana.ud2316e1234	I'm sorry if I extend the debate somewhat. However, I feel the need to point out the main issue here in relation to the large heights that the representative of Klungland was at. This has been an important element of the debate from New Year onwards. The leader of the Labour Party has used this as an argument for some of the situation we are in per cent. Today, and said that if we had followed the Workers' Party and accepted the obligation to discover, we would not have had the situation we have. The Labour Party must stop saying that, because it says that the party voted in favour! Regardless of the history, the party voted for the disclosure obligation to be removed. It's the same energy law that applies today, and it's related to what we call market-based expansion. It also supported the Workers' Party when this law was up. It's going to be wrong – and I would say, at the limit of misinformation – when you try to create the impression that you voted against something you actually voted for.
ParlaMint-NO_2003-02-06.ana.ud2316e1239	Several have not asked for the floor on case No. 4th@item: inlistbox [[Fotation, see page 1790]]
ParlaMint-NO_2003-02-06.ana.ud2316e1255	Since there is a complete consensus in the Presidency in this matter, it should not be necessary to turn to as large heights as was done in the previous debate in the previous case. But that does not mean that this matter is not at least as important. At the request of the Control Committee, in the light of a Document No. Eight proposals from the representative Odd Roger Enoksen, Stortinget decided that the Presidency should appoint a committee of inquiry for the Mehamn accident and draw up a mandate for it. That's what the presidency has done, and it's been an interesting and challenging task. In view of the position taken by the Control Committee, and also the debate, it has been important for the Presidency to hold on to two things. Firstly, the new Commission was going to try to find the cause of the plane crash. Secondly, it has been important for the Presidency to find out in the mandate that it is also important to look at and examine the behaviour of the authorities in relation to the previous investigations. This has its background in the fact that doubts have arisen as to whether some parts of the Norwegian authorities have withheld information that could have led to a clearer conclusion from previous investigation commissions. The Norwegian people and the Norwegian population cannot live with the fact that there is so much distrust in the population, if the Norwegian authorities at all levels have acted with the information necessary to clarify the accident. That is why the Presidency of the Council has stated in concrete terms that further consideration should be given to whether there are gaps in the participation of Norwegian public authorities in the previous investigations of the accident. Both of these main elements of the mandate are important. Then the Presidency has also been concerned that there must be no doubt about whether the Commission and the Commission's composition are havoc. The requirement we made – and were concerned about – when we were going to put together the members of this commission was that we had to get in members who had high professional competence, but who could not at the same time be accused of having preconceived views of what had happened, I had almost said in one direction or another. We couldn't have a commission that had members who were in the commission to prove that previous assumptions were correct. We had to have a commission that went into this with blank sheets, and that was open to all possibilities. We have done that, although it meant that we had to contact quite a few people before we got the whole thing that we thought Stortinget had given the Presidency a mandate to find out. That is why I think I can say that we have been able to draw up a good mandate. I think we've managed to get a very good commission, which will meet the need for the expertise that we think is necessary to find out the truth, if it's possible to find it. So, of course, the Commission should have the opportunity to hire the expertise it needed, and it should do so on an independent basis. There shall be no presidency or anyone else who interferes with the experts they need to support in their very difficult efforts to clarify the root causes of this aviation accident. But that means that this is going to cost money. We just have to figure out that it does. That is why it is necessary for us to go to the Stortinget today, not only to explain how the mandate and the Commission have been put together, but also to make it clear that there is a clear need for allocation, which we have so far estimated at 7 million. kr. I am not able to guarantee that that amount will be enough. There will be the development and need to hire expert assistance, and the frequency of meetings, which will be crucial for the final amount. But in this year's budget, it was therefore necessary to receive this additional appropriation. Of course, we have seen when we have drawn up mandates and when we have seen what decisions are needed in connection with this mandate, taking into account the experience of the Stortinget with previous investigation commissions, such as: The Lund Commission. And what was quite clear to us was that at least we had to make sure that the Storting made a decision that was so that it didn't encroach on any kind of uncertainty about this, that no public official or any human being in this country could say: No, I can't pronounce, because I'm bound by the obligation of confidentiality. Therefore, paragraph 1 of the contested decision states: ‘The Government requests it to use its existing legislation to exempt existing and former officials from professional secrecy in respect of the investigation commission for the Mehamn accident.’ And that has to be done. There must not be one person in this country who sits and feels bound by a promise of professional secrecy and therefore cannot provide information. So I see there are some people who have started to wonder if this Commission can then have the opportunity to see classified documents in the Defence. Yes, of course it is. The Commission shall have the highest degree of security clearance and shall have the opportunity to dive into whatever it considers necessary. I have been in contact with the Ministry of Defence, and they have said: Of course it should be this way. There shall be no document necessary to keep away from the Commission in the absence of the necessary security clearance. But it might be opportunistic for the Defense on this occasion to downgrade a number of documents that can actually help to create greater clarity and that it is no longer necessary to cover with grading or professional secrecy. Therefore, paragraph # of the setting. Article 2 is replaced by the following: ‘The size shall be subject to the submission to the Commission of the material which may be available to the public authorities from other studies completed and all public archives and any other material.’ When we ask the Stortinge to take a decision on this and consider it necessary in addition to the mandate, there is no doubt that this should be the case. So we've put in an amount of $7 million. to address the necessary need for communication between representatives of the relatives and the Commission. The Presidency found out that it would be quite difficult in relation to the question of stability that relatives should be directly represented in the Commission. But we see, because of the great attention that has been on this matter, and also the burden it is for a number of the relatives again to have to go through these processes, that we need to have a proper communication between the Commission and the relatives. The Commission itself must find out how this is to be done. We don't want to impose anything on them specifically, but we have put funds at our disposal, so that this can be done independently of both the financial capacity of the Commission and the financial capacity of the individual relatives. The natural thing is, of course, as the Commission is compounded, that someone in the Commission was given a primary responsibility for this communication. But I would like to stress that there has been one of the Presidency's assumptions for both the allocation and for the way in which the Commission is put together. So I'll just end by mentioning, because it's necessary in view of the fact that this case also has to be dealt with in Odelstinget, that it has been important for the Presidency to ensure that this Commission has legal jurisdiction, so that people can be called to question and do not have to go the way of a court to collect them as it is necessary to collect them. But that does not mean that the Commission is supposed to address neither criminal or civil law issues that it had to discover. That the Commission has been proposed to have jurisdiction is done primarily in relation to being able to call the necessary witnesses, and also to provide both witnesses, the Commission and others involved in this, with the necessary security in relation to other legislation in this country. But it's from the odelstningsproposition. With this, I would recommend the presidency's setting.
ParlaMint-NO_2003-02-06.ana.ud2316e1295	It is extremely positive that there will now be a collapse investigation commission to look at all the circumstances surrounding the Mehamn accident, where 15 people were killed when an Unøe plane crashed into the sea outside Gamvik on 11 March 1982. The fact that this Commission is now actually being set up, and that it is the Storting as what is behind the creation, has not been a non-circular process. The Aerodrome Commission has examined the accident twice and a third investigation has been considered. But the result of this has not reassured the relatives and witnesses of the Mehamn accident. The matter has therefore not been resolved, but has been in the media for more than 20 years, which has been particularly stressful for the relatives and witnesses who have felt distrusted. It has been claimed by several that the Civil Twin Otter flight from On Island was on a collision course with a military aircraft shortly before the flight accident, a military aircraft which may have illegally crossed the prohibitive zone east of 24 longitude. The SV representative Olav Gunnar Ballo raised the matter with Minister of Transport Torild Skogsholm on 27 March last year. The Minister for Transport then replied that there was no new information to be provided for any new investigation and that there was no basis for doubting the Commission’s use of witness statements. In connection with the NRK's focus programme showing a document on the matter last autumn, the Government signaled that it would itself set up an investigation commission. This has always been the opposite, as opposed to what one could get the impression of in many of the other games on Stortinget. I would like briefly to clarify why SV has thought that the Commission must be set up by the Storting and not by the Government. It is of great importance that such a Commission for the investigation of the Mehamn accident, as far as possible, be perceived as unhindered by the population — not least by the relatives of the deceased. I am of the opinion that a government-appointed commission, no matter which people had been appointed, would be too attached to the Government and the administration, and that such a commission for that reason would not have the necessary confidence in the population. In this picture, the Air Hawari Commission, which examined the Mehamn accident in 1984, 1988 and 1997, is a State body. One of the main constitutional tasks of the Storting is to verify that the Government and the Administration follow up the decisions of the Storting. This is done on an ongoing basis in practice by the National Audit Office with regard to the general activities of the public and by the Civil Ombudsman with regard to the complaints of the individual citizen against the administration. Both the Riksrevisionen and the Civil Ombudsman are directly subject to the Stortinget. Since the 1980s, the control of the government of the Grand Duchy has been increasingly complemented by large-scale investigation commissions. I refer you to the Ryssdal Commission of 1985, which examined the management of the problems of the Ryssdal shipping company at the end of the 1970s and the government's information to the Storting in that regard. Then followed the Lund Commission, which was appointed in 1994 to investigate the secret services. In 1997, the Smith I Commission was appointed to examine banks and the role of authorities during the banking crisis in Norway at the end of the 1980s and early 1990s. The last parliamentary review commission was the Smith II Commission, which was set up in 2000 to examine the Gardermoen development. I am of the opinion that a commission to investigate the Mehamn accident, and then necessarily also the investigation of this accident by the Aviation Commission, must be reduced by the Stortinge in order to ensure the Constitutional role of the Stortinge as a control body. It is therefore with great satisfaction that I note that the case nevertheless resulted in the Commission being ordered to pay a large sum and not to appoint a government. The Commission must be able to carry out without hindrance the investigations it considers necessary on the basis of its mandate and report directly to the Stortinget. I am therefore very pleased with the mandate that the Commission has now received in the elections of the Presidency of the Grand Duchy. Finally, I would like to stress that, as far as possible, the Commission must also have access to the archives of other countries. It may well be that the answer to the accident is just in the archives of other countries. I assume that the Government will provide the Commission with the necessary assistance to obtain such transparency.
ParlaMint-NO_2003-02-06.ana.ud2316e1316	It is rare that I can unreservedly join the speeches of previous speakers, as I can today make up for the speech of the President of the Grand Duchy in this matter. I am very pleased that a unanimous increase is in line with this proposal and contributes to the appointment of a new investigation commission. It is absolutely necessary, as it was said, both to find a reason and to carry out a thorough examination of the authorities’ management of previous investigations and the causes of the Mehamn accident. I am therefore very pleased with the attitude that the Presidency has given. We cannot live on the fact that there is uncertainty as to whether public authorities have contributed to the retention of information. Nor can we live with the fact that the survivors feel that all the information in the case has not been provided, and that the facts have not become known. That is why the setting that has now been presented is very good, and I join it wholeheartedly. However, I would like to make a comment on what was said by the President of the United Kingdom about the need for transparency in absolutely everything that might be relevant, and that this is being followed up. Defence personnel have told the evening post that the Presidency of the United Kingdom does not have the power to revoke the Defence Security Act, that the Defence Officer must approve the person to be given access, and that the Defence Officer must assess whether the person to whom security has been cleared needs to be given access to the case in question. I am pleased that it is stated here that full transparency should be given, and that such reservations should not take place. It would be completely pointless if any restrictions were imposed on the investigation that is now to take place on the defence side. I see no reason to add anything more than that I am very pleased that it has been established that the obligation of professional secrecy should be lifted. Full access shall be granted. And not only with that, I want to add on my own account that I also assume that the defence not only relates to the questions that have to come, but that the authorities where you feel that you have information that the investigation commission can benefit from, on their own, contribute to that information being known to the investigation commission, so that the Commission does not have to ask for any information. Here there must be a positive will from absolutely everyone to get to the bottom of this matter once and for all.
ParlaMint-NO_2003-02-06.ana.ud2316e1329	Several have not asked for the floor on case No. 5th@item: inlistbox [[Fotation, see page 1790]]
ParlaMint-NO_2003-02-06.ana.ud2316e1342	The cancellation goes to voting on the matter on today's map.
ParlaMint-NO_2003-02-06.ana.ud2316e1349	Two proposals have been put forward during the debate. It's: proposal No 1, by Arne Sortevik on behalf of the Progress Party and the representative Jan Simonsenproposal No. 2, from Christian Holm on behalf of the Socialist Left Party First of all, there is a vote on proposal No. 2, from the Socialist Left Party. The proposal reads as follows: ‘The Government asks the Government to submit proposals for minimum economic standards in primary schools. The standard must be linked to the hours spent by the students in the different disciplines and to the requirement to adapt the training to the abilities and facilities of the students.»
ParlaMint-NO_2003-02-06.ana.ud2316e1373	It is then put to the vote on proposal No. 1 from the Progress Party and the representative Jan Simonsen. The proposal reads as follows: ‘The Government asks the Government to submit proposals for a new funding scheme for primary and secondary schools, based on the fact that the State pays school fees directly to the school where the student chooses to be a student.’
ParlaMint-NO_2003-02-06.ana.ud2316e1413	In Case No. No voting theme is available.
ParlaMint-NO_2003-02-06.ana.ud2316e1420	It shall be put to the vote on the proposal in Document No. 8:51, from the representatives Carl I. Hagen, Øyvind Waksdal, Gjermund Hageseter, Arne Sortevik and Karin S. Woldseth. The proposal reads as follows: ‘The Government asks the Government to provide instructions and resources to Statnett/NVE as soon as possible so as to reduce the risks surrounding the power supply in the West by realizing Statoil’s plans for a temporary gas power plant at Kollsnes’. As the President has understood, the proposal will only receive the support of the proposers.
