ParlaMint-NO_2003-11-05.ana.ud2613e28	The called alternate of the Aust-Agder County, Liv Marit Moland, has taken the seat.
ParlaMint-NO_2003-11-05.ana.ud2613e1934	I thank the Council of State for the answer. I also noticed in the first answer that the Council of State said that it would be possible to go beyond other projects if you were quite keen on doing something with the supervisor in Svinesund. I would like the Council of State to expand on something more. As far as I am aware, both the Swedish Coastal Agency and all Norwegian hearing bodies believe that it is both socio-economic and environmental right to do something about this, so it is not dangerous for the environment to expand that lane. Therefore, there are very many authorities who believe that it is important to resolve this matter. If it is the case that there is a need to take an initiative from the Halden municipality and that the Minister for Fisheries will then look at this matter again, then I would like to confirm it.
ParlaMint-NO_2003-11-05.ana.ud2613e1945	As a coastal minister, I am not a moment in doubt that for these companies that are there, this would be of importance. That's also the whole reason we've spent considerable resources investigating this. But as Minister of Cooperation, I would like to follow the somewhat doubtful procedure recommended here, that we should take a conflict with Sweden, in the sense that we should start a work. We have to deal with the agreements and conventions that apply, and that prevents us from implementing this. So to the question of priority. Yes, it is that the preliminary estimate of the cost of this project was approx. 60 million. kr. We have chosen, based on what I have now explained, to dispose of the funds in another way, because there are a number of projects that stand and can be realized, and then I find it unreasonable and wrong to earmark such a large amount of money on a project that we have to acknowledge that we are unable to realise, because the Swedish authorities do not allow us to detonate half of the health that lies in our neighbouring country.
ParlaMint-NO_2003-11-05.ana.ud2613e1952	Then we go back to question 25 – question 24 has already been answered.
ParlaMint-NO_2003-11-05.ana.ud2613e1964	This question falls away.
ParlaMint-NO_2003-11-05.ana.ud2613e1971	I allow myself to ask the Minister for Transport the following questions: ‘There are constant reactions to late entry in Finnmark. Post between neighbouring municipalities may take several days. This is contrary to the concession terms. Norway has now decided to close all terminals and sorting departments in Finnmark. This will further delay the postal service. The Council of State is both owner and concessional with respect to the Post Norway. What will the Council of State do to ensure a much faster delivery of Finnish mark entries?’
ParlaMint-NO_2003-11-05.ana.ud2613e1980	I assume that the post office, as far as it is possible, will treat its customers in a non-discriminatory manner throughout the country. This is also apparent from the concession granted by the State to the Post. I am concerned that the service and quality requirements should be met independently of the reorganisations carried out in the company, and I see it as a prerequisite that the new terminal structure contributes to ensuring good quality of the postal services also in the districts. The post office has stated that the quality of mail will be improved for the whole country as a result of the conversion. I think this is very positive. I would also like to remind you that the State buys postal services every year from the Post Office for approx. 300 million. kr, mainly to ensure an equivalent postal service throughout the country. However, I am concerned about the development of Finnmark and expect the Post, in line with the concession's demand for equivalent offers across the country, to focus on ensuring that the transmission time in Finnmark is optimal. The Post and Telecommunications Authority, which supervises compliance with the requirements of the concession, has now asked the Post Office to provide further information on the matter. In this respect, I have instructed the Post Office to meet the requirements of the Postal and Telecommunications Authority to provide information related to the delivery times for priority mail to and within Finnmark. The concession requires 85 pst. the a-item shall be displayed on the day following submission on a country-by-country basis. Point 1.3 of the concession also requires the provision of mail to be equivalent. When further analysis by the Postal and Telecommunications Authority is available, a detailed assessment of the follow-up to the case will be carried out.
ParlaMint-NO_2003-11-05.ana.ud2613e1989	I thank the Council of State for the answer. With Posten's instructions, all mail in Finnmark must therefore be sent to Tromsø for sorting. It seems exactly as if mail from the government building to Stortinget should first be sent to Namsskogan for sorting, and then sent back. It's against all reason. This leads to increased environmental loads, with nearly 7000 km of extra daily running of vehicle combinations. This leads to delays in packages within Finland by up to two days, resulting in the loss of a significant number of jobs. When we can then conclude that changes in the terminal and sorting structure will result in a further delay in the performance of the post in Finnmark, is there any basis for establishing that the Post cannot carry out these kinds of changes, which will therefore result in even further progress from the concession requirement imposed on the Post?
ParlaMint-NO_2003-11-05.ana.ud2613e1998	The transformation currently planned by the Post is not intended to exacerbate the situation, but to improve the situation. I would like to remind you that in total – to give a picture of how the Post actually works per. Today – has a better service and a better quality of the Post Office services than ever before. It's so that on a national basis it's almost 90 pst. by the mail due the next day. That is a good result on a national basis. But reactions from Finnmark show that there is no such situation. We have said that we will take a closer look. We're making demands. And I, as the owner, want to make demands for the Post, so that it will operate as efficiently as possible, among other things. in order for the districts to benefit from it. The current change in the terminal structure of the Post is part of making the output of the Post more efficient.
ParlaMint-NO_2003-11-05.ana.ud2613e2006	I'm experiencing a double signal from the Council of State. On the one hand, she stresses the positive aspects of changes in the terminal structure, on the other hand, she stresses that there are problems in Finnmark. The average will be good, as you know, even if you have a part of the body in the oven and the other part of the ice water, but that's not necessarily a good result for it. I find that the Post itself informs that only 40 pst. mail from the south to Finnmark will arrive overnight and even internal mail in Finnmark will not meet the concession requirement. What is then my concrete question to the Council of State is: 1st@item: inlistbox Is this satisfactory? Or is it that the Council of State considers it to be so remote from the concession requirement that either as the concession authority or as the owner will oblige the Post to have a faster performance?2. If, as there is every reason to believe, changes in the sorting and terminal structure will lead to further delays, will she then conclude that such organisational changes are contrary to the concession?
ParlaMint-NO_2003-11-05.ana.ud2613e2022	If it's right to just 40 pst. by the post office to Finnmark reaches by night, I think it is a very low number. There's a long gap between 40 pst. and 85 pst. We can't have 85 pst. as demands everywhere, because it is a major challenge to transport across the country, no matter what form of communication we are talking about. But we can't have a crack that's too big when it comes to transmission time. There are also other things we're concerned about, and that's what predictability lies here. If the post office is not there overnight, do we know that it is there after two days? It is also an important element for those who are engaged in business or what it may be in Finnmark. Predictability is an important keyword. In terms of the relationship to changes in the terminal structure: I set standards for quality, and then I challenge the Post to find the best way to organise this so that you can deliver the best quality also in Finnmark.
ParlaMint-NO_2003-11-05.ana.ud2613e2035	I allow myself to ask the following questions to the Minister for Transport: ‘Article of the Romesdal Budstikke on 28 October states that the company Hustadmarmor may be forced to conclude a 20-year cooperation with NSB/CargoNet on the transport of liquid lime from Elnesvågen to Hönefoss with Raumabanen. The reason is that CargoNet is going to check-in cars and therefore can no longer provide transport with the fuel tanks Hustadmarm is dependent on. The result can be 1000 new combinations of vehicles per year, increase emissions and more accidents. Can and will the Council of States do anything to prevent this from happening?’
ParlaMint-NO_2003-11-05.ana.ud2613e2044	CargoNet will be investing in combined transport in the future. This includes the transport of containers, aqueducts and semi-trailers. This type of long-distance transport takes advantage of rail’s comparative advantage and can provide the basis for significant rail freight transport in the future. I believe this is an important structural adjustment. This strategy was defined, inter alia: during the landfilling of St.meld. No 48 for 2000-2001, About the activities of NSB BA 2001-2003. This is also consistent with the EU approach to rail freight. CargoNet has had great success in the investment in combined transport between terminals located near major urban, food and regional centres. Over the last ten years, the cargo of containers by CargoNet has increased from about 90 000 to about 300000. So far in 2003, CargoNet has increased its combined transport by 7 pst. A number of freight customers who have previously used CargoNet's traditional wagon load offer have used combined transport, where containers are first carried with semi-trailers, and then carried on by rail. According to CargoNet, most freight customers experience a more efficient logistics when switching to combined transport solutions. In combined transport, efficient freight transport solutions are available for the vast majority of purposes. This also applies to the transport of tank containers, such as: may transport liquid lime. As I have been informed, CargoNet has submitted several proposals for transport solutions for Hustadmarmor and believes that they will be able to find good solutions both in the short term and in the longer term. However, these are business relationships that need to be resolved between CargoNet and the customers concerned. Finally, I would like to mention that from 15 March this year it was opened up to competition in freight transport on the entire Norwegian rail network. This allows for continued wagon loading operations in Norway if other freight operators find it profitable and wish to invest in such operations.
ParlaMint-NO_2003-11-05.ana.ud2613e2057	I thank you for your answer. It was very positive to the right. The reason why I took this up – except for the specific case itself, which I understand can be good opportunities for solving – was that I was afraid that this could be one of the nails in the chest for the most forward-looking transport option in this part of the country, the Raumaban. The traffic base of the space path is no larger than what is required. When it comes to passenger transport, he has been reduced due to the fact that new express routes have now come through the valley of Rome, and I know that other companies have previously cut out to transport by train due to regularity problems. I would just like to ask: is the Minister optimistic about the future of the Raumaban?
ParlaMint-NO_2003-11-05.ana.ud2613e2066	The future of the space orbit depends on many factors, including: the use of it in both freight and passenger transport. I would like to remind you that in the 2004 state budget proposal there is a proposal for investment in a new train communication system, GSMR, blah. at Raumabanen. Here we are planning to use considerable resources, and there should be a fairly strong signal that we are suggesting that the Raumaban has both a future and will be used.
ParlaMint-NO_2003-11-05.ana.ud2613e2073	I thank you again for your answer. I think I'm happy with that.
ParlaMint-NO_2003-11-05.ana.ud2613e2078	So we go back to question 4.
ParlaMint-NO_2003-11-05.ana.ud2613e2085	This question, from the representative of Øystein Hedstrom to the Minister for Finance, is answered by the Minister for Local and Regional Affairs.
ParlaMint-NO_2003-11-05.ana.ud2613e2088	I have the following questions for the Minister of Local and Regional Affairs, who is therefore answering on behalf of the Minister of Finance: ‘According to VG 1 October, the border trade in wine and spirits in Sweden increased by 121 p.m. and 32 p.m. respectively since the accession of the Cooperation Government. Saleshall shows that the border trade in wine and spirits in Sweden is now 13 p.m. the sale of the wine monopoly, while the share in 1997 was 3 pst. In addition, there is smuggling and increased border trade in alcohol in Denmark and Finland. What will the Government do to reduce the border trade in alcohol?’
ParlaMint-NO_2003-11-05.ana.ud2613e2097	With regard to border trade and the impact on the country's revenue as a result of trade, I would first like to remind you that the Government has followed up the budgetary agreement with the Progress Party from last autumn and has arranged for this to be settled through a public authority. The committee presented the report on excise duties and border trade on 30 April this year. The sample pointed out that studies indicate that meat products are the product group that frontier traders primarily travel to Sweden to buy. Tobacco and alcohol are also important commodity groups. The sample estimated the size of the border trade and other car and bus-based tourist imports at approximately DKK 4.5 billion in 2002. The overall impact on value added and employment was, in the opinion of the sample, reported. The report describes developments in the border trade in wine and spirits up to and including 2002. The figures show strong growth in the purchase of wine by the Nordics in Sweden, with more than one triple between 1999 and 2002. Despite the strong growth, border trade with Sweden was only around 4 pst. of the total alcohol consumption in Norway in 2002. The border trade committee presented a preliminary calculation model which can illustrate the relationship between the level of fees, unregistered turnover such as border trade and smuggling and the impact on the income of the country. The committee proposed that the Ministry of Finance, in cooperation with the Statistical Central Bureau, consider further developing the model. The report has just been consulted. In view of, inter alia: views in the consultation round, the Ministry of Finance will consider further developing the model and, where appropriate, making use of the model. I would like to remind you that the fee on spirits was reduced by 25 pst. effectively under the Cooperative Government from 2001 to 2003. The fees for beer and wine were reduced by 5 pst. Nominal from 2001 to 2002. For 2004, a further real reduction of 2,5 pst is proposed. This suggests that there has been a marked reduction in alcohol taxes during the Cooperative Government. However, the Border Trade Committee pointed out that border trade between neighbouring countries could increase in the coming years, not least as a result of developments within the EU. Norway is affected by this development. From 1 January 2004, our Nordic neighbouring countries will have to fully adapt to the EU's liberal private import quotas for alcohol. Denmark and Finland have responded to a reduction in taxes, while the Swedish government has so far proposed no further reductions. If our Swedish neighbours were to reduce the fees, this in turn could help to increase the border trade in alcohol. In that case, the government will assess whether the alcohol charges should be further reduced.
ParlaMint-NO_2003-11-05.ana.ud2613e2114	I thank the Council of State for the answer. I get the idea that the government is trying to minimize the problems of the border trade leakage in alcoholic beverages. I see that today, ANB, the news agency of the newspapers, goes out and says that the Norwegians are trading more and more wine and spirits in Sweden. In two years this border trade has increased by 50 pst. And quite rightly, as the Council of State was talking about, Denmark has reduced the alcohol charge, by 45 pst, I think. Finland comes after next year, and Sweden will certainly reduce its alcohol taxes, because Swedish parliamentarians are very concerned that Swedish citizens are going to do their trade in their own country to get value creation there. Then it's kind of puzzled by 2.5 pst. reduction of charges. This only means that price differences between neighbouring countries and Norway are increasing when we are so puzzled and reducing charges by just 2.5 pst. While neighbouring countries will reduce them considerably more. What tools does the Council of State think are needed now to reverse this frontier trade trend, which is very negative for Norwegian jobs in the commercial and service industries and in the brewing industry?
ParlaMint-NO_2003-11-05.ana.ud2613e2127	I would like to stress that the Government does not minimize the consequences of the border trade or the consequences of high alcohol consumption related to both health and criminal damage in our society. And so it is that although there are proposals of 2.5 pst. In the case of spirits, there has been a real decrease of 25 pst in the 2004 budget. by this government. I believe that a further reduction in Swedish taxes can help to increase border trade against Sweden. That means we'll have to look at this again if that happens. I don't think there's a need to decide what to do with our taxes, based on a premise and a belief in what the Swedes are going to do. We really have to look at what they're doing, and then the government is prepared to take a discussion about what further consequences it's going to have.
ParlaMint-NO_2003-11-05.ana.ud2613e2134	The fact is that Norway is at the top of Europe in terms of fees. This means that we lose any opportunity to control the total turnover and consumption of alcohol, and we negate during smuggling. Governments know very well that mobbing accounts for parts of this smuggling, and that they are also involved in other and more serious trafficking, such as trafficking in human beings and drug trafficking. Doesn't the council now mean you have to stick your finger in the ground and see where you are? The other countries are doing some business all the time to trade in their own countries, but in Norway it becomes relatively static. We have reduced the fees somewhat. Most of it we've come up with pressure from the Progress Party, but that's not enough. Should we not now harmonise it against what makes sense, as in other Nordic countries?
ParlaMint-NO_2003-11-05.ana.ud2613e2143	That's how we follow the evolution that's happening. I think it's also important not least to have a look at the criminal effects of having a border trade, and that there are huge differences in prices. At the same time, therefore, we have followed up on the agreement we had with the Progress Party and have a border trade committee set up, which thus refers to significantly less border trade of these goods as well, than the representative Hedstrom now claims. We have created an analysis model on the basis of proposals from this sample, which we continue to work with after the consultation round to look at the consequences. And then we're going to follow up on those consequences. I don't think the time is right now to say that we are going to harmonise our alcohol charges with other countries' alcohol charges. We also need to take into account the health consequences of this. But we're going to follow up on what underlying changes it can cause, for example. in relation to crime. This will also be followed by the Government when we look at whether the Swedish are going to change their taxes more than what they have so far given the signal that they are going to do.
ParlaMint-NO_2003-11-05.ana.ud2613e2150	Then we go to question 28.
ParlaMint-NO_2003-11-05.ana.ud2613e2156	‘The government has a housing policy in which only those who need it the most will receive help. At the same time as the House Bank reports that they lack more than 100 million. kr in order to finance rental dwellings, reporting residents in municipal housing, including in Oslo, that there are too many people in municipal housing with major social problems. When has the Council of State planned to bring enough money to help both those who need it the most, and to create good living environments?’
ParlaMint-NO_2003-11-05.ana.ud2613e2163	The question bears the hallmark of rhetoric at the outset. It's not that only those who need the most help are the ones who need help. We have a wide range of instruments where some get subsidies and others get improved loan opportunities. So it reaches a significantly larger quantity than just those that most need help. It is true that the House Bank had applications earlier this year for over 100 million. kr more than they had left of available funds in the case of aid for the purchase of rental dwellings. The House Bank is examining applications for grants on an ongoing basis. I have asked the House Bank to target and prioritise projects aimed at those who need it the most – not the loan issues, but the subsidies given – and those defined as those who need it the most are refugees and homeless. Good projects targeted at these groups will therefore take precedence over other less priority projects. Now I believe that the demand for schemes such as housing allowances will always be higher than the appropriations. When subsidies are provided by the State, municipalities will also ask for more for different projects. At the same time, we see that our signals and priorities have reached potential applicants. The number of applications for housing grants for rental dwellings was per year. 30 September went down in relation to last year, because our targeting has clearly given a signal. The government is busy improving the living conditions of those who need it the most. We have also prioritised following up on St.meld in this year's government budget. No 6 for 2002–2003, Action plan against poverty. We propose in this year's budget to increase the housing allowance by 42.7 million. kr. The frame is then going to be at 712 million. kr for next year, the highest framework that has been, with the exception of the extra grant we had last year related to the settlement of refugees. The appropriations are 702 million. kr. Furthermore, we have targeted the housing support scheme. At the same time, we want a more targeted housing grant scheme. Housing allowances for rental dwellings shall help to increase the number of rental dwellings. Construction research has demonstrated that for every 100 rental dwellings financed by grants, the net offer does not increase by 100, but it increases by 50-85 dwellings. Some municipalities have the strategy of not owning more rental homes themselves. We also take inward that reality when we're going to design our instruments in the future. I'm going to provide a housing report that is going to go through the housing products in a whole way, including the subsidies. In the context of the Bostedslöse project, it focuses on the individual's follow-up needs, including: to counteract poor living conditions. So we've made sure to allocate $22 million. kr for follow-up services in housing on the budget of the Ministry of Social Affairs. If the municipalities have good ideas about how to prevent eviction and stimulate good living conditions, municipalities can apply to the House Bank for both development and information.
ParlaMint-NO_2003-11-05.ana.ud2613e2178	I thank you for your answer. With all due respect, I feel that there was not a good enough answer to what was at the heart of my question, because when the rental homes in the big cities are to be increasingly targeted exclusively at those who need it the most, i.e. people who are homeless, who often have social and mental problems, often with drug problems as well, how are you going to manage to create good living environments at the same time? I'll repeat that question. For a good part of those living in municipal housing, living in a municipal dwelling has been a good housing option, which has been safe. Many of those who have lived in municipal homes moved into postwar homes and occupied them. These are people who have in a way had their wages and earned their income and so have not been among those who have needed it the most, as Erna Solberg believes. But they've helped create good living environments. That's the Oslo Municipal Lease Association, among other things. says they have trouble getting to.
ParlaMint-NO_2003-11-05.ana.ud2613e2185	The question was when I was going to bring the money. So the budget proposes more than 700 million. kr for housing measures relating to rental dwellings and to housing establishments, i.e. the housing allowance scheme. It's a high amount. But that's not the way you necessarily create a good living environment. There are questions about how to use the money in a practical way in municipal housing policy. One of the most important means of spreading some of the problems and ensuring that you do not get a ghettoization in terms of social problems and other things is to ensure that municipalities also take advantage of the opportunity to use the 10 pst rule we have, by buying housing in different places and using it instead of building their own housing complexes where the sum of problems can become too large. So it's not a question of money. There are issues about priorities. One of the most important things I think we can do with the House Bank is to expand the House Bank to a competence bank just for how we can solve this type of problem, that the municipalities have a strategy for it. These are among the things we are working on when it comes to the new communication on housing policy.
ParlaMint-NO_2003-11-05.ana.ud2613e2194	It's still a problem. I fully agree that this is very important for the municipalities, for example. to purchase new apartments, use the 10 pst rule. And so do the municipalities. But there are too bad systems – I think the Council of State should look at it – in relation to how to enter the existing residential market and buy up there. This is more difficult for municipalities because of the length of the procedure and the kind of things. The Council of State can look at that. But what is at the heart of this case is that while municipalities have previously preferred to enter into and cooperate with housing construction teams that have built – let's say – youth homes that have been largely devoted to ordinary youth and which the housing construction team has allocated to them, something has also been allocated from the municipality. Thus, good integrated living environments have been created where social problems have not been accumulated. But what's reported from every city now that you're struggling with, is that when you just have to give priority to those who need it the most, you get bigger housing units where there's a buildup of social problems. I wonder what the Council of State has intended to do with it.
ParlaMint-NO_2003-11-05.ana.ud2613e2201	In fact, I do not feel that this is a problem that necessarily revolves around how much money is made available. The strategy chosen by a municipality is to address the housing needs of the weakest. I agree with the questioner that there needs to be more dissemination, and I do not see that there is anything in our leadership that makes it more difficult to spread if you have a conscious policy in the municipalities to do so. One of the things that happens is that the housing allowance is largely used to buy new dwellings while disposing of old dwellings, i.e. a circulation all the time. Unfortunately, we do not get an increased offer all the time with the money we give, but we get a purchase of new dwellings while selling other dwellings. If you have that strategy, it actually means that you can dispose of some of the homes you've previously had in construction complexes, which are purely municipal rentals, and buy in other places. I also want to remember that we have increased the possibility to extend the loan period in the House Bank to 50 years. This will make rent more reasonable, and we believe that the municipalities need to use it more. We don't think it's possible to have a clean rental market to solve all the problems for anyone who needs it. We need to focus our efforts on those who have the biggest problems in the housing market.
ParlaMint-NO_2003-11-05.ana.ud2613e2211	This question, from the representative of Marit Arnstad to the Minister for Local and Regional Affairs, will be raised by the representative of Liv Signe Navarsete.
ParlaMint-NO_2003-11-05.ana.ud2613e2214	I will address the following questions to the Minister for Local and Regional Affairs: ‘The plans for the decommissioning of food departments and emergency preparedness touch with the basic security of many people in the districts. Is the Council of State agreed that the dismantling of these facilities could lead to delocalisation and further centralisation?’
ParlaMint-NO_2003-11-05.ana.ud2613e2223	I have understood from earlier parts of this questionnaire that questions related to healthcare are engaging. I understand that, because it is an important part of the security experience for each of us both that we have good hospitals, and that we have hospitals that are available when we need them. Hospitals are important social institutions. They are important as health services and as jobs. They are also an important security base for the population. They need to know that they can get help where they are, when something happens. Not least, this is important in relation to acute events. I know that this is an important and justified issue locally, both at political level, for trade unions and for corporate governance, and it is an important regional and national policy issue to discuss the availability of healthcare. But there is also a difficult balance between maintaining a decentralised offer, for example. Food departments and emergency preparedness, while maintaining a high level of professional provision to enable the population to use the services to be fully confident that the hospital provision provided in a smaller location is so good that it provides a level of safety as the services provided in a larger and more specialised hospital with a larger population base. I see that changes in important services in the districts may have an impact on people's choice of place of residence, both because important jobs disappear, and because the important security of getting needed help in critical situations can be heightened. Therefore, it is important to focus on how these changes take place, and it is important to focus on the fact that any alternatives to the current offer are also alternatives that provide good security wherever you live in the country. When it comes to changes in food supply, the Minister of Health has informed me that the changes that are now taking place, with some of the smallest food departments, at 200 to 300 births per year. is a follow-up and realization of the leadership of the Stortinget, including the representatives of the Central Party, in the treatment of the so-called emergency message in the spring of 2001. Medical technology is in constant development. With the danger of moving into the health minister's field and his responsibility, I will show that there will be changes, among other things. as opportunities for communication evolve, both through ICT and telecommunications services – and not least through transport investment. We're going to actively use the possibilities that new knowledge gives us. It is through the day-to-day work of teams, depending on several professional groups and specialities, that hospitals achieve better results, and hospitals need to have enough patients to maintain the actual competence of the entire team. It may be problematic in hospitals with very few acute cases.
ParlaMint-NO_2003-11-05.ana.ud2613e2236	I thank the Council of State for the answer, which I can't find in addition. The government's district commission, which is to present its work the next fall, has all signaled that one is gathering on a goal of increasing the migration to the district. A very important target group is young women. For many of these, good welfare is a requirement when choosing a dwelling. Districts of Norway, unlike the districts of our neighbouring countries, have competed very well in that area. The result of the comprehensive policy now being pursued – and I stress the overall policy – is that districts are losing, both jobs and in relation to welfare. Young people's activities in Sogn and Fjordane, which were gathered last weekend, referred to this in an interview to the proposed changes in health services: ‘In addition to this, unnecessary loss of life, disappearance of jobs — and an uncertain health situation make it less tempting to live in the county. A decentralised hospital supply is important for busses, safety and well-being in a state such as Sogn and Fjordane, where people live very widely.’ Can life be measured in crowns? asks the county council of youth. I ask: does the Minister of Local and Regional Affairs see that the closure of important welfare services, such as food and emergency services at our local hospitals, is one development that will make districts less attractive as housing options for young people, and especially young women at the start-up stage?
ParlaMint-NO_2003-11-05.ana.ud2613e2252	Now I have answered the question as to whether it can cause a problem and regional challenges. Yes, of course it can, but the important thing then is whether it gives more or less security. I think that a little bit of the discussion that is now going on related to healthcare and the belief that it's just the current way to organise health services that provide the acute security for people, can actually help, if there's structural changes, to create an insecurity that's unnecessary. One of the areas where there is a raging development is precisely because we have had the geographical population distribution we have, where Norway is at the forefront, is related to ICT-based medicine and to the work done in medical technology with professional support and communication. The experience gained includes: from the hospital in Alta, the University Hospital of North Norway in Tromsø, which shows that much more can be done locally, allowing us to offer, with other forms of organisation, without necessarily maintaining the structure of the day, a significant level of security even if structural changes occur.
ParlaMint-NO_2003-11-05.ana.ud2613e2257	I thank you again for your answer. It is well that at birth there is still a need for midwife and gynecologist, there is not enough help with ICT. I have a follow-up question. In the event of the conversion of maternity wards into pedigree, the pedigree for follow-up services is extended. Anyone who gets more than an hour's travel time, and there'll be many of them with the plans that are currently running around in the country, has the right to follow a midwife or a municipal doctor. A well-developed follow-up service is important for the safety of the birthing woman. Follow-up service is a municipal responsibility. For the municipalities of Inner Sogn, the costs of the follow-up services are estimated to increase by more than 1 million. kr if the maternity ward of the local hospital in Lærdal is turned into a food crutch. The same municipalities had a total deficit of about 40 million in 2002. kr. In a letter from the County Council to the Ministry of Local and Regional Affairs dated 4 March of this year, it is: ‘... the economic situation in the municipalities and for the inhabitants is becoming dramatic.’ Will the Minister of State compensate for the additional costs that will thus be passed on to the municipalities of the State? Or should a safe follow-up service for pregnant women be funded through school cuts and care for the elderly?
ParlaMint-NO_2003-11-05.ana.ud2613e2275	I think ICT can be used for guidance even during birth when you have a midwife and a midwife-led maternity ward. It's one of the exciting things about much of what is now developing around the University Hospital in Tromsø. The specialist can actually sit somewhere else and help others. If there are cases that occur very rarely, and the hospital on site is not trained to handle it, it is actually better to be moved and treated elsewhere than to be in a hospital that does not have enough training in the area. I want to stress that we are concerned about security, but we also need to see that we have new opportunities to create that security. With regard to the local economy, we look at all areas where changes can occur in the distribution of tasks as a result of structural changes that increase the costs of municipalities. These include: in the mandate of the new Committee on Income, which we have set up, to consider whether there are also informal shifts in tasks. It is also a separate sample that looks at the first- and second-line services and the forms of funding between them. I expect that if there is a gradual transfer of responsibility, this will be something we address later on. But I can't stand here right now and say that we have more money associated with that particular change. But we're looking at how we're going to deal with a dynamic change of tasks between the first and second line services.
ParlaMint-NO_2003-11-05.ana.ud2613e2285	«The Trondheim Address Paper writes on 21 October that the Defence Department is working on plans to move the Air War School from Trondheim to Oslo and then join the War School for the Army. Can the Council of State explain whether such plans exist, and whether a move to the opposite side, from Oslo to Trondheim, is also investigated?’
ParlaMint-NO_2003-11-05.ana.ud2613e2292	In order to meet future competence requirements and personnel structure requirements, a regular evaluation of the Defence Education System is necessary. It is apparent from the framework for the military investigation of the Chief of Defence. It is necessary to assess whether competences need to be brought together more closely in order to create powerful environments of competence, or whether the current system is preferable and can be further developed. War schools shall focus in particular on military disciplines where there are no comprehensive civil offerings. In order for the defence education system to contribute to the cost-effectiveness of defence, it is necessary to continuously assess what will be appropriate solutions in the future, including: based on changed student numbers, proximity to other institutions of competence, proximity to operational activities, etc. With regard to the media statements on the transfer of the war schools referred to, there is no right in the existence of plans by the head of defence on the transfer of the war schools. What is true, however, is that the head of defence has been given wide powers to investigate and calculate costs of existing and all other conceivable alternative ways of organising the defence activities, including the educational activities and the war schools. Such a general and transparent approach is necessary to provide a comprehensive picture of the costs associated with the activities of the Defence Agency. It is part of the defence chief's process, and it will lead to his military professional recommendation in December, which will once again form the basis for the ministry's planning work. I intend to present the government's four-year plan for defence in the spring of 2004. However, I have made it quite clear that I do not see it as appropriate to propose the transfer of the war schools in the planned four-year proposal.
ParlaMint-NO_2003-11-05.ana.ud2613e2305	I thank you for the answer, which was exemplaryly clear, I think: it is not desirable on the part of the Minister of Defence to move the existing war schools. However, my question is whether the Council of State in its work will take on the same overall objective as, among other things. The Minister of Administration has presented here in connection with state activities, an objective of decentralisation of jobs, that existing activities can be moved out of the central eastern region, and rather go the opposite way to using the defence as such a decentralisation tool.
ParlaMint-NO_2003-11-05.ana.ud2613e2312	Defense is in its nature decentralised because we now focus on moving resources from administrative level to operational level. The operational units of the Defence are located around Norway’s country, and very many of them are located in North Norway. I've started the downsizing that we're facing in the Defense – we're going to downstrip 5,000 men – with just halving the defense team in Oslo. We now have a new defense management of 800 people, while it was 1,600 before, and it's happened in Oslo. Having said that, I would say that contact with our three largest cities is important. The War School has an equally rooted affiliation in Oslo, vis-à-vis the population of Oslo, which the Air War School has in Trondheim and the Maritime War School has in Bergen. Just because I'm happy with the situation as it is today for our war schools, I don't have any plans to use it in a decentralization model.
ParlaMint-NO_2003-11-05.ana.ud2613e2321	In its first response, the Council of State also pointed to more general views about a change in defence, and this goes much further than just the war schools. It also goes a lot further than just North Norway. We have e.g. The island airstation, which means a lot to District-Midt-Norway, where there is also a constant fear of being centralised into the central eastern region, Gardermoen or Rygge. I wonder if the Council of State will also base the same positions on the question that she has signaled in the answer to the war schools.
ParlaMint-NO_2003-11-05.ana.ud2613e2326	It's a little out of the question, but the Council of State is free to answer it, of course.
ParlaMint-NO_2003-11-05.ana.ud2613e2329	The defense is in a very big transition, and my challenge will be to address what is a problem, and try to propose a solution to it. In terms of what is positive in the Defense, there is also a basis for using that follow-up question to express a very both pride in and positive attitude towards the Orlandan. The island has been hosting NATO Air Meet several times. What's important for the Defense is to have access to the training area. In fact, both Oslo, Bergen and Trondheim are short, because the training areas are often even further away. That's why the station we have on Ørland, linked to our F-16 aircraft, and also the island as a base for NATO's AWACS fleet, that is, a reserve base, is important for the defense. I believe that the challenges we face in the next four years are primarily related to other issues than making changes to the F-16 location in the Orland, or to that part of the Air War School in Trondheim.
ParlaMint-NO_2003-11-05.ana.ud2613e2338	Case No. So 1 is done.
ParlaMint-NO_2003-11-05.ana.ud2613e2349	There is no record.
