ParlaMint-NO_2003-03-25.ana.ud1136e47	The representative of Afghan Rafiq, who has been on leave, has once again taken his seat.
ParlaMint-NO_2003-03-25.ana.ud1136e1293	It's going to be line change.
ParlaMint-NO_2003-03-25.ana.ud1136e1296	I still can't, after Agent Elvik's posts, see the big differences between the minority and what the majority say in this position. What I might wonder about is that no SV will dwell a little on some of the environmental counter-conceptions that the researchers have promoted when it comes to immediately initiating the free capture of the crab – the conditions that are pointed to, that only 10 pst. can be exploited, and that the rest might go overboard. How does SV think we should deal with Russia as a negotiating partner in this matter? Are we just going to start without the previous negotiations that the majority has pointed to and asked the Government to take it along? Does not the representative Elvik think that we can then get into a conflict situation, which may prevent us from taking important steps to limit the spread of the king crab?
ParlaMint-NO_2003-03-25.ana.ud1136e1305	I get to know that the majority in Stortinget needs to reduce the distance from the minority, but I don't understand why not could have supported the minority's comments and suggestions. I am very pleased that the representative Arnesen addresses the question in relation to Russia. I also realize that the royal crab is defined as a common population, and that we manage it in cooperation with Russia. But if it is to prevent Stortinget from giving a clear signal in relation to how Stortinget wants this species to be managed, compared to the fact that Stortinget actually wants to meet its international obligations, yes, then I don't understand anything! That is precisely why we have formulated our proposals so that we ask the Government to take the initiative of the Norwegian-Russian Fisheries Commission. We realise that this is a Norwegian-Russian community – at least he is managed in such a way – that one needs to take the initiatives there, and that the Storting cannot take unilateral action. But I can't see where one should be so defensive. And if there's a main argument that one can't support the proposals from SV, I don't understand why it's a good idea to sit on that line, because it's in its turn to castrate the Storting – if it's allowed to say that on this platform! This is also the background for us to say – and as I emphasized in my main post – that the important thing here is to become a few about a management goal. And then I think the measures are subordinate to the goal. We like to rely on scientific input – I also said that in my post – in relation to what will be the important and right measures to achieve the goal. But I register here today that the majority reject the goal in the first place, and then the measures must be less interesting to discuss after that. I also listened during the hearings that when a researcher challenges them on the goal, they are some in the goal. That's what I thought was pretty interesting.
ParlaMint-NO_2003-03-25.ana.ud1136e1318	Since the president is really a doctor of profession, he has a very concrete perception of the word "casters", which he seems to be a little bit on the side of the vocabulary one should have in the Stortinget.
ParlaMint-NO_2003-03-25.ana.ud1136e1321	SV points to the different dangers and challenges we have in the management of the king crab. In many areas, we share the views of SV. It shows the observations of the majority in this case. But what surprises me is that SV is so impatient in this case. Why can't SV wait and look at the results that the research will tell us? SV's sloping safety seems something striking. We encourage SV to look at the results of the research while implementing restrictive measures. I do not see anything positive in this case, among other things. that the royal crab can provide more and new jobs in an area that really needs it, in Finnmark? We also feel that it can be seen as good district policy in this way.
ParlaMint-NO_2003-03-25.ana.ud1136e1330	I don't have a problem understanding that fishermen who get a relatively large economic benefit from catching royal crabs are happy about it, that it's positive and that it's kind of a contribution to nutrition. But that's not what this question is about. I would rather wish that the Christian People's Party could become a stronger ally in relation to a resilient administration of our most important marine species, namely the cod, instead of emphasising that the royal crab should be managed according to bearing power. Whether we're sloping or not is not the point either. I'm pretty sure of our international obligations, and that they're not being fulfilled as we administer the royal crab. Our international commitments say that we should take action before we have scientific evidence, if necessary. And whether it makes us sloppy or not, to me, is a relatively subordinate question. But I must say that I thought the Christian People's Party leaps quickly from its otherwise good intentions in relation to international environmental management, when one also has to fulfill it at home in relation to the royal crab.
ParlaMint-NO_2003-03-25.ana.ud1136e1339	Several have not asked for the word for a line.
ParlaMint-NO_2003-03-25.ana.ud1136e1342	We in the Christian People's Party share the turbulence of the royal crab's impact on the ecosystem with the other representatives here today. The king crab leads to problems for many fishermen, and he spreads strongly, while the population increases to an extent. The Christian People's Party also has great respect for following up the UN Convention on Biological Diversity, and it is important to reduce threats from introduced species. In this context, we're going to go as far as we can to meet these requirements, while from the scientific point of view it's said that it's impossible to completely remove the royal crab. When this has been given, the Christian People's Party felt that there are more things that you need to point out and that have great meaning in this context. In the Norwegian-Russian Fisheries Commission, an evaluation is carried out. increase king crab capture until stocking and stock development results are achieved. It is also appropriate to authorise the capture of king crabs as a by-catch and to prohibit the discarding of king crabs as a by-catch. It is important to stress that the administration of the royal crab must be done in accordance with the precautionary principle. Another aspect that we believe to be of great importance is that we must actively involve Russia in research, and that understanding on the Russian side to increase the uptake of crabs is desirable in order to reduce possible negative consequences. It is necessary to have a critical search light on the royal crab, and there is clearly a lack of knowledge about the crab and the impact he has on other life in the ocean. There are large amounts of money available for 2003 research into the State budget, and we have full confidence that the Government will follow up this research and assess these results in a satisfactory and adequate manner. We see the need to identify all relevant consequences of the royal crab’s existence in Norwegian waters. In this context, I think it is positive that a symposium should be held this year to deal with the facts about the royal crab – it is about the spread and ecological consequences – with participants from Norway and Russia and from research. The royal crab produces commercial/industrial nutritional properties, although the consequences of the expansion of the king crab in Norwegian waters are uncertain, and even if we recognise that it may have adverse consequences. Still, for life in the sea, it's of great importance to look at the positive sides of the king crab. It can become a valuable economic resource for those who participate in the catch. It's a resource that has a large market potential, where it's good prices to pick up for those in the industry. This can also be a beloved niece and thus provide jobs in the districts. This should be attractive in terms of industrial development and employment in the districts. It's a little daunting that SV doesn't accept this reality, that it's about. 130 boats participating in this catch. So it's going to be circa. NOK 250000 in income for these participating boats. This is an activity which does not depend on State aid and which we must at least approve is of some regional policy significance by providing revenue to participants from District Norway, where a hurt needs this type of job. I would also like to add that as a result, a farm that is land-based has been set up to see if one can use it economically and in a somewhat more controlled way. The majority, including the Christian People's Party, also sees that we need to have a positive look at the possibility that fishermen who get damaged will take advantage of the allocation of new quotas. We in the Christian People's Party are concerned about the rapid and powerful spread of the royal crab. We think that there has to be a west border for the spread of the royal crab, and we're of the clear opinion that research in order to map even better the different consequences of the presence of the king crab in the Norwegian territorial waters must have a high priority. While we are waiting for the results of research, it is important that an increase in the catch of the royal crab be allowed, which in this way leads to both nutrient development and living communities in the districts.
ParlaMint-NO_2003-03-25.ana.ud1136e1365	It's going to be line change.
ParlaMint-NO_2003-03-25.ana.ud1136e1368	I miss the old Christian People's Party. I miss the Christian People's Party that I remember from the time I worked in the environment movement, the Christian People's Party that was concerned with protecting about nature, and that at the time with SV was concerned about having respect for complexity, a kind of awe that there's contexts we don't yet understand, a kind of awe that we're going to tread a little cautiously when we're going to think that it's okay to start business. In this case, I experience a first-ever principle that has turned my head upside down. One argues as if the doubt should benefit the king crab. So here it's the other way around. These are the ecosystems of the Barents Sea. In this respect, the king crab represents a threat. This is not about whether or not we should research more or less in royal crabs, because everyone agrees that we should research more, learn more, know more. We can't be sure what's going on today. But we know that the king crab is a great potential threat. This case is about what awe we're going to have for nature in the period we're going to research more. Shall we have a little less catch and hope that it goes well? Or should we kneel down the precautionary principle and say that we must have a management target that will keep the population as low as possible because it is an introduced species? I hope to see more of the old Christian People's Party in this matter. I'd like to ask the representative if we can't show a little more awe and let doubt benefit the ecosystems in the Barents Sea, and not the royal crab, in this matter.
ParlaMint-NO_2003-03-25.ana.ud1136e1375	I appreciate the outline used by the representative Sørensen, awe of nature. It's relevant. I should be in the first line and admit that one feels insecure. I think a mass collapse would have gone against putting out this crab if one had known he and could have taken a position on him, that it was contrary to the International Convention on Biological Diversity, as it has been pointed out here before. We have one fact today: the King crab is outstretched, and he's starting to get big spread. On that background, a default application has. Keeping it in check leads to increased output and research efforts, including: in the MARE project, launched until 2004 for the first time in order to gain maximum knowledge of the impact of the introduced species in Norwegian regions. It's important to have this knowledge. As a representative of the Christian People's Party, I'd like to have the awe, and I'm impatient to examine where the facts are and how a best person can get the negative consequences that this can lead to. But we don't know enough about this today. Both the department and the majority here in Stortinget are impatient to gain the scientific expertise and knowledge of the propagation of the species in Norway, so that we can put in place the best possible and most effective measures. The measures already taken by the Government show that a person is taking this seriously, and that one will gain additional knowledge, which allows one to deal with this threat to the ecological system in the sea in a highly accurate way. It is a high priority to identify such recognition and to introduce measures.
ParlaMint-NO_2003-03-25.ana.ud1136e1385	Several have not asked for the word for a line.
ParlaMint-NO_2003-03-25.ana.ud1136e1388	The spread of the royal crab has happened quickly. Over the course of seven years, the royal crab population has doubled sixfold. It's been walking 50 miles west. News that has been referred to today suggests that today there are about 16 million king crabs in the Barents Sea. It's almost like one could say that there's been an explosive development of this species, which in no way has walked anywhere, but has been deployed in an ecological area where it actually doesn't belong. After hearing the debate, it is quite clear that the core question is the starting point for the management of royal crabs. Should the royal crab population be treated as a resource, or shall it be treated as an undesirable introduced species in the Norwegian ecosystem in the north? The opinion of the centre lot is that the risk of treating it as a resource is too great for such a starting point to be accepted. Our starting point, therefore, is that the royal crab must be treated as an undesirable introduced species in Norway, and that the instruments must then be selected. In isolation, we might see the king crab as a possible resource and a possible niche for the fishing industry. But then it's also important to emphasize that the industry doesn't want the king crab as such. The industry gives the opposite sign that it wants us to treat this species just as an undesirablely introduced species. It's acutely worded. But I have to say that from the hearings we have had, and from the examination in the committee, it is possible that it is not for fishermen's sake that the king crab should be treated as a resource, but for researchers' sake. It is in the case, in my opinion and in the opinion of the Centre Party, a wrong starting point for the debate. There are two important reasons why the Centre Party chooses to co-exist with SV in comments and proposals. One, as I said, is the starting point we think one should have in terms of the ecological consequences of the spread of royal crabs. It's impossible to predict the consequences this can have for flora and fauna, and the interactions in ecosystems are so complicated that none of us today can sit here and say that the king crab won't have negative effects. Therefore, there will also be a gambling if a waiter and looks too long in relation to the management of the royal crab. The second starting point for the Centre Party, which is also important, is, of course, that both environmental interests and business interests agree on how to manage the royal crab. I also think that an emphasis should be placed on an industry that is so important to the whole of Norway, and not least on the part of the country we are talking about here. I record that the majority also say that they will be responsive to the industry, and that they are busy clarifying what one can do in terms of reducing the population of royal crabs. I think that's positive, but I think that if you want to take the time to clarify, you can actually do it by opening up a free fish. Anyway, after what has been said by the researchers, it will take a long time to fish down the stock. Then it can be a reasonable starting point for a simple way to allow this to be fished freely. I don't think it's possible by the measures the majority wants to reduce the population adequately. I believe that the majority in the Chamber today insists on both treating the royal crab as a resource and at the same time trying to deal with it based on a precautionary principle – a precautionary principle that the debate here today shows that the majority has a bit of difficulty in explaining. I also agree with what has been said by the representative Elvik here earlier, that it is not very interesting to discuss whether it is possible to eradicate the royal crab or not. We have to discuss from the perspective what kind of administration to add up to when you think that the royal crab is a harmful, introduced species. Then, in my view, the only possible administration you can add to, free fishing – that, precisely because you don't have enough knowledge, you add to that kind of strategy. With these comments, I would like to mention the proposal from SV and the Central Party in the setting.
ParlaMint-NO_2003-03-25.ana.ud1136e1416	The representative Arnstad has taken up the proposal she referred to.
ParlaMint-NO_2003-03-25.ana.ud1136e1419	I agree with the case rapporteur, who in today's first article stated that the king crab is a resource. But we also agree that the royal crab is an introduced species in the Barents Sea. It is therefore not initially considered to be a natural part of the fauna of our northern waters. However, everything suggests that the royal crab has come to be – whether we like it or not – and the question is therefore how to deal with it, as the representative Arnesen correctly pointed out. If we ignore the limited amount of research, until now the king crab has been a one-sided problem for those who fish traditional coastal fisheries in eastern Finland. As a by-catch, the king crab has destroyed both its use and has led to the loss of catch and catch time for many fishermen. However, ever since we started research in 1994 in cooperation with Russia, it has been widely agreed that Norwegian policy should be to manage the king crab as a resource for future economic exploitation. As a result, the stock has now risen to a level where it has become a significant economic resource and how many can benefit from it, not least those fishermen who have been most affected by the by-catch problem, as the Committee calls for. I am also pleased that the Committee on Budgets and the Ministry of Fisheries have similar views on key issues. The initial value of the catch was over 30 million. kr both in 2001 and 2002. With less than 130 participating vessels, it generated revenue of approx. One quarter of a million dollars per year. vessel last year. And it's the ones who have had the most trouble with the crab, who are now reaping it, as the committee also calls for. In this way, I have already allocated allowances to those whom the Committee asks to benefit from. The value creation on land is also significant. The export value amounts to 50 million. kr for each of the last two years. In a period when a large part of the industry is struggling very hard, the royal crab is an uplifting exception with good profit margins both at sea and at land. Of course, with Varangerfjorden as the core area to date for the spread of catches, it is especially East Finland that enjoys the royal crab. This could be done, for example, by: have reason to ask what the situation would have been like for Bug Eyes without this economic vitamin injection. The King crab can turn out to be – I stress – a new support for coastal communities in Finnmark in the future. At the same time, however, there must be no doubt that the Norwegian authorities take seriously the problem of the royal crab as an introduced species. This government has stepped up its focus and efforts further, both nationally and internationally. In this way, this government has shown action since we joined recently. I would like to say to the representative Elvik, who is trying to question whether the Minister for the Environment and the Minister for Fisheries disagree with the Royal Cancer and the Convention on Biological Diversity. I am not surprised that you do, but I am surprised that you have not got what is in Annex 2 in a letter from the Ministry of Fisheries, where the Ministry of the Environment states: ‘The Ministry also considers that the measures currently notified are as follows: The letter of the Minister of Fisheries to the Committee of 14 January 2003 will be in line with Norway’s international commitments and with the Government’s marine environment policy.’.» So the answer is given, if you had read the setting. We have agreed with Russia to establish a western border for the joint management of the royal crab, which will provide Norway with a contractual basis to limit the prevalence of these populations west of the border. At the same time, it should not be denied that it will not necessarily be easy or cheap to take action against further prevalence. The Committee shall consider increased fishing activities. We have doubled the Norwegian harvest of the king crab from 100,000 animals last year to 200,000 in the current year, for the harvest. Russia has also doubled its quota from 300 000 to 600 000 animals, which means that catches will actually increase from 400000 animals last year to 800000 animals this year, as the Committee also calls for us to increase. Last but not least, increased research efforts in the royal crab will be carried out this year, with a budget provision of almost 5 million. kr. The Institute for the Exploration of the Sea is entrusted with the task of developing a major programme for research and monitoring the consequences of the entry of the king crab into our waters. We also aim to prioritise such research over the years to come. Together with Russia, we have launched a three-year joint research programme focusing on the issue of the impact of the king crab on the existing Barents Sea ecosystem. In this context, an international symposium will be organised in Norway focusing on introduced species during the current year. So if you're fishing the king crab all the way down the best way to go, you could ask. At my discretion, it's a better option to look for a middle-way between total defrosting on the one hand, which we don't know the end of, and uncontrolled growth in the stock on the other. I have noticed that the majority of the committee wants us both to increase the fishing effort and to impose a ban on king crabs as well as to consider catching female crabs. There are measures that we want to include in the further discussion, and we will come back to that, as the Committee asks, in the forthcoming budget proposal.
ParlaMint-NO_2003-03-25.ana.ud1136e1466	It's going to be line change.
ParlaMint-NO_2003-03-25.ana.ud1136e1469	Since it has been demonstrated with all the clarity that the majority of the population and the minority of the population disagree on how to interpret the precautionary principle, I wondered if the Council of State could do any good for the Government's interpretation of how to apply the precautionary principle. Who will benefit from the doubt? As I referred to in my main post, SABIMA was listening in the committee to the fact that one does not know a single example that an introduced species that has the property of being able to imagine has been a success. Does the Council have an example of introduced species that have the characteristic that they may be mistaken, which have been a success? My last question is at the Convention on Biological Diversity. One has had a meeting of the Parties to find clear guidelines on how to deal with the obligations of the Convention on Biological Inadequacy. The Minister for the Environment was quite clear in the press release sent by the Ministry on 17 April last year, in view of the fact that he was pleased with the guidelines, and he says that the Government will continue to have a very strict practice when it comes to species that are deliberately introduced. Then I wonder if the Minister for Fisheries agrees, and when these principles say that lack of scientific knowledge should not be an excuse for not initiating actions, how he thinks it is consistent with Norwegian administration of royal crabs.
ParlaMint-NO_2003-03-25.ana.ud1136e1478	The President would point out that, in general, the doubt should benefit, but is a little uncertain about who the defendant is in this context. Maybe the Council of State can figure that out?
ParlaMint-NO_2003-03-25.ana.ud1136e1481	I cannot contribute to that clarification in addition to noting that I do not consider myself to be accused. From the debate one might imagine that the crab had to be, but that it indicates that the jury will absolve it! There are questions about interpreting the precautionary principle. Yes, there is no doubt in my mind that we should interpret it, that the doubt should benefit the environment. But it has not been scientifically proven that the crab has a negative impact on the ecosystem after 40 years in the Barents Sea and in the North. Clearly, it has had an economic negative effect on coastal fishermen’s activity in Varangerfjorden since it wandered across the Norwegian side. You can agree on that. But then it's a little obvious that those who invoke the researchers as the tone of interpretation of the precautionary principle do not focus on the researchers' statements. The leading researchers we have on crabs say that we can't prove that it has a negative impact on the ecosystem. We'll have to include that in the further work. So it's like, among other things, The representative, Ivar Kristiansen, explained in his statement that this species was delayed long before the Convention was adopted. In that way, we also have to take it with us. But I think it is important to take inward that we manage this resource and this crab along with the Russians. The consequence of us breaking out of that cooperation could be that the Russians with equal rights could break out of cooperation, for example. the cod. So here it's important that we bring with us the realities of this and relate to the international agreement, so that it doesn't have unfortunate consequences for other species.
ParlaMint-NO_2003-03-25.ana.ud1136e1490	The word "king crab" had probably not been mentioned in this room until I mentioned it in 1998, so there is nothing new. But that's not what I was going to ask the Minister for Fisheries. When the question was asked as to why we manage the royal crab differently than we manage other fish in the Barents Sea, the Minister of Fisheries was not present, there was another Council of State who answered for him. But why do we manage the king crab in a way other than other fish, by the draft decree of the king crab on which there is no quota, while we have landing orders of other fish, that is, the opposite of what we have in the EU? Postponement orders are available in the EU. So we have draft bans on king crabs that we don't have quotas on, and we have bans on landing. If the yarns had been full of royal crabs, and you didn't know your poor advice on how to get them out of the yarns and then took them up on the Kaia, you could get a report to the lenner and get a cure for the yarns being full of royal crabs! I asked that question in this room, and I was told that it should be. My question to the Minister for Fisheries is: why do we manage the royal crab differently from we manage other fish, when he has been proven to be standing here on the pulpit and said that we should manage it as a resource? The question is, why should we have draft directives on king crabs, while we have landing orders on fish?
ParlaMint-NO_2003-03-25.ana.ud1136e1499	There may in turn be reason to recall that there has been a broad political agreement that the royal crab should be managed as an economic resource from the point of view of the Norwegian side and until we opened up commercial capture last year. Since this government took over, we have had an active relationship with the issues that have been discussed today, for example. I think that's getting a little bit lost in the discussion that we now have. We've increased the output. We double the withdrawal with the Russians, so that a total of 800,000 animals will be taken out this year. We set up a Western frontier where, with the recommendations of the researchers, we will ensure that we can best limit the spread without having clear insights about how we should deal with it – rather than the minority today. So far we've managed it for economic reasons, but since it's only about that. 10 pst. However, of the royal crab population that has a commercial value, there is a difficult balance we face if we still want to exploit the crab as a resource. Here is the explanation of the question that Mr Bastesen raised. If the output gets too high, we could risk fishing out that part of the population that has a commercial value, and then we're left with just plagues. It is precisely this balancing process that the Government is trying to maintain, both to exploit it as a resource and to contribute to its non-enlargement, as well as to increase research efforts and thus provide us with more knowledge of this. At the bottom of the decisions that we've taken and that we want to base, it's primarily scientific knowledge.
ParlaMint-NO_2003-03-25.ana.ud1136e1509	In response to the representative Elvik, the Council of State starts by saying that the precautionary principle is to let the doubt benefit nature. That's right. Then he keeps on saying that it's not proven that the king crab is dangerous, and the second after that he forgot what he said first. No, it has not been proven that the royal crab can lead to collapse of the ecosystems in the Barents Sea. We actually don't know that. But the precautionary principle means to reverse the issue the other way around. That means that neither is it proven that it can't lead to it. Then I have to say that I am quite amazed at the conclusions you draw, if at the same time you say that you take the precautionary principle seriously. 40 years ago, researchers said that the pollutants PCB and the injecting drug DDT were harmless. Researchers drank DDT to convince people that it was okay to use such a spray. They used PCBs as chewing gum to convince them that it was completely harmless. Based on the lessons we have learned when we now need to spend billions of dollars to clean up after old pollution, we have to let the doubt benefit nature. For the sake of the royal crab, it means that nature is the ecosystem of the Barents Sea, not the royal crab. That means that if you're looking at the royal crab as a resource -- excuse me, President -- it's actually the way to prove that it's harmless to do it. The burden of proof lies with those who want to manage it as a resource, not with those who will try to keep it at a minimum level because it is an introduced species that can lead to very serious damage. I would like to ask again: is that the ecosystem in the Barents Sea, or is it the king crab that the doubt will benefit?
ParlaMint-NO_2003-03-25.ana.ud1136e1516	The President will assume that in this context, the form of action ‘you’ was meant to mean ‘man’.
ParlaMint-NO_2003-03-25.ana.ud1136e1519	After hearing the representative Sørensen try to draw a scare image of the king crab and use PCBs as an example of that, I guess you're about to get completely out of proportion. There's going to be limits to how far you're going to draw it. I insist, as I said, that there is no scientific evidence that the crab has a negative impact on the ecosystem. But you could also say in another way that there are no adverse effects in the ecosystem. No one can observe it. It is shown, for example: that flyers have disappeared in Varangerfjord. Yes, flights have also been lost in other parts along the coast without there being royal crabs there. You can show that many people have been plagued by interference in tools, but it's not part of the ecosystem. It is the whole argument of several minority representatives that the fishing industry and others, including environmental organisations, have been negative to it. But the researchers, the researchers who have researched this, say, and what's the experience 40 years after the crab was released, is that the Scarecrow that's being drawn, where you compare with the PCB development, is not right.
ParlaMint-NO_2003-03-25.ana.ud1136e1526	With the last answer from the Council of State to the representative Sørensen, I must say that it is beginning to become clear what is the Government's grip on the royal crab. If you want to de-dramatize it by saying that other things have been worse, I wonder if the Council of State is at all in agreement with the purpose of the Convention on Biological Diversity. The point of it is that if we lack scientific certainty, doubt should benefit nature and the environment and not the royal crab. It sounds as if the Council of State wants to leave that purpose. Then we have to ask again, who is to benefit from the doubt? Is it the king crab, or is it the ecosystem of the Barents Sea? The point here is not that the king crab is as dangerous as PCBs. The point is the potential long-term ecological effects of the king crab. That is also what the Convention on Biological Diversity takes care of. Where there is a lack of safe knowledge, the relationship should lead to an actual set of actions. So I'm going to say in favor of the majority in Stortinget, and as a consequence of the proposal to SV, that one starts going that way. As I said in my post, I am overconfident that the SV proposal will eventually win through to the management. But I have to say that the last answer to the Council of State makes me ask questions about what is the Government's attitude to the Convention on Biological Diversity. Let me also clarify, since it was stated in the Council of State, that the point of the proposal by the minority is not to break with the administration that Russia has. This is precisely why the proposal has been formulated in such a way that we ask the Government to take the initiative in the Commission. So it's not about introducing unilateral Norwegian measures, it's about taking initiatives in the Commission.
ParlaMint-NO_2003-03-25.ana.ud1136e1537	In fact, the Government has taken initiatives against the Norwegian-Russian Commission. That's why we can show that there's a completely different policy of this government than the one that's been in the past. We have taken the initiative that has caused catches to double from last year to this year – an increase from 400,000 animals to 800,000 animals. It is a result of a more active attitude that we have now introduced research programmes, both funded by the State budget and in close cooperation with Russia. That is why during the year a large international symposium is to be held in Norway. That's why we've had an impact: we took it up with the Russians and we're going to be able to manage the royal crab in a different way, based on national objectives alone, on the south and west sides of the western border. It should also be said that it is very doubtful whether it is at all possible to eradicate the crabs. So the question is, who introduced the PCB equation? I reject the fact that the PCBs scare image that was pulled up is relevant to the situation that is in the Barents Sea and in the coastal areas associated with the royal crab.
ParlaMint-NO_2003-03-25.ana.ud1136e1544	I did not get an answer to the question – we are used to it in this room. Why should we manage the king crab differently from other fish, was the question I didn't get an answer to. The council says that we have a western border for the spread of royal crabs. So we're going to put the first one right over here. What about a northern boundary? What about a north-west boundary? We now have factory trawlers who get royal crabs in the jet, but they don't know their poor advice on where to make it off, because if an inspector comes on board, they get fined, because they've taken care of the crab. No, they have to get it to sea at full speed. As I said before, why should it be that you can get fined, and that you break the law by taking the yarns full of crabs to Kaia? The Lensmann, who should have given a fine, must break Norwegian law – which is adopted in the nodelsting and laying – by not providing the fishermen with a fine. Why has the Ministry of Fisheries said that it should be so? The council says it's scientists who've been researching the royal crab. It is directly wrong to say in this room that there are scientists, because there is one scientist who has researched the royal crab. There is one single scientist who has been in Varanger, and Varangerfjord is destroyed as a yarn fjord because of royal crabs. I myself have been in Varangerfjord on yarn fishing, so I know what that means. They cannot put the yarns in Varangerfjord because of the royal crab. When you take out 800,000 pieces this year, you take 200,000 in Norway. What's wrong with the Norwegian and Russian administrations – when they take out 600 000 and we take out 200,000? There's something that must be stone hacking wrong. We're taking out 800,000 more, but 600,000 in Russia and 200,000 in Norway. And what's the northern boundary? Can we prevent the royal crab from spreading to Svalbard, to Bjørn Island and Jan Mayen? No, we can't. It's too late. We're in the last team, and you have to have free fishing at the extremes in order for us to be able to limit the growth.
ParlaMint-NO_2003-03-25.ana.ud1136e1567	The representative Bastisen concludes by saying that we're recently made in the administration of royal crabs. So now it's going to be said – I've tried to do it, and the majority has stressed it strongly – that this government has actually taken the initiative and can show that we have a much more active attitude to it. We're trying to do a lot of work to take care of the financial interests that might be related to this, and we're doing it in such a way that it doesn't just become a nuisance. Because if we don't manage this properly, we can risk ruining the economic advantage, but we're left with all the plagues. For neither the majority nor the minority have any constitutions about how we're going to eradicate this crab. Both the majority and the minority are asking for increased catches. So on the Norwegian-Russian side, we're up to 800,000 animals. The reason why there is a disparity between Norwegian and Russian catches is related to prevalence, and it is entirely in line with the administrative methods used when managing resources together, which we can also refer to in the case of other species. So it's not that it's right that there's only one scientist. It is also being researched on the Russian side. On the Russian side, the crab has been longer than on the Norwegian side, so we have to include it in the assessments that are being made. In the case of a Western frontier, a Western frontier will in many ways also be a southern frontier, depending on the position you have. It's just taking out the compass and the map, you'll quickly see that a western boundary could well be called a southern boundary. In the course of the year, on the recommendation of researchers, we will draw such a limit. We agree with the Russians that we should be able to manage it by Norwegian method, and then we will also have an attempt to see if it is possible to do what others have recommended, namely to eradicate the crab on this western side of the border. But we're going to come back to the necessary measures when that limit is drawn.
ParlaMint-NO_2003-03-25.ana.ud1136e1578	So the line change is over. The President will recall that it will soon be the last time it has been made in view of the scheduled time for the morning meeting. With the consent of the President, the President will propose that we finish the debate on case No. 3 before the morning meeting is cancelled, and that we start the evening meeting with the handling of case no. 4 – and considers it adopted.
ParlaMint-NO_2003-03-25.ana.ud1136e1583	I've said most of the things in the lines, but I think it's important for the hall and for the president and the council to find out that I've been fishing for yarns in Varanger, and I've been living with the king crab for all the years since 1964, when it was released. I must honestly say that it was just as if you had hit me in the head in 1997 when I entered the Stortinget. And in 1998 I took it up here in this room. Then it was dismayed, because then no one cared about the royal crab. Today, however, SV and the Zenterpartie have taken an interest in and will deal with this matter. That's how the crab was put out – there's no doubt – by the Russians. But then it has walked in Varangerfjord. It has spread and destroyed Varangerfjord as a yarn fjord. One cannot put yarn in Varangerfjord without having royal crabs. One doesn't know his poor advice, for suddenly the yarns go full of royal crabs. And you don't have the right to take the yarns ashore if you don't have the quota for royal crabs, because here are the so-called research quotas. There's one scientist who's been researching the royal crab every year, and he's been distributing a quota to the boats that were supposed to have a research quota on it. It's research that's been going on in Varangerfjord all along. So if one had got the yarns full of royal crabs and took them ashore to pick out the crabs, one would have been guilty of punishment because one had no quota -- one had no permit, one had no research quota on it. That's the way it is today. I've asked questions in this room about why it should be like this – why one should treat the king crab differently than we do other fish. The factory trawler I was in the city has got a lot of king crabs in the jet. He's risking a fine for getting those crabs. He doesn't have a quota on them. That's completely the opposite of what we have for ordinary fish -- shives, and cod. If you don't have a quota on it, you can't land it, because this is going to be registered, and you're going to find out where that fish is taken, and you should know how much is taken. Why in the world? We don't have the slightest idea -- a lot of royal crabs are dumped, destroyed, and it's not researched at all. Then we could have a landing order, even if you don't have a quota, registered it, and it would be free research. Today, a lot of money is spent on one scientist to research into having a research quota, and it's only the one that's registered. What is illegally caught is not being registered, and we know nothing about that. It's not supposed to be like that, is it? But you must be aware when you decide in this Chamber that it should be that way. When I asked the Council of State about how many scientists are researching royal crabs, he replied that there is only one scientist who is researching royal crabs. So we don't have the slightest idea what this means. And then he says from this pulpit that we're going to limit the spread of that animal. Yes, we should have done it a long time ago, and it should be free fishing. I'm not saying we're going to eradicate the king crab, I'm not saying that, but we're going to have a constraint on how far south it's going to spread. Today, nothing stops it. It can spread all the way south here to the Oslofjorden, to Spikersuppa if necessary. It's scratching ashore. If the majority in this room had taken me by notem in 1998, we would have set a limit then, and then we would have got free fishing south and west and north up to the border. But today it's spreading in the wild, and we don't have the least idea of where the king crab is, and how widespread it is, because we only have one scientist who's researching it. And it's too wrong. I am so glad that there are other parties who have understood the problem and taken it up, so that we can debate it. Now, fisheries policy is not the theme most involved in this Chamber, but I am pleased that two parties have addressed that issue, so that we can finally debate it. Because the way it is with the king crab, it can't go on. It's a pest, but it's also an economic animal, which gives a great deal of counting to those who can use it. Allow all those in Finnmark who have fishing numbers on their boats to fish king crabs. Let it be free fishing beyond the south and south-west boundary. Let it be free fishing across a northern border. And then they don't have to be fined to take the king crab on board. Today, a fine is paid if you take it aboard and if you take it ashore. It's completely wild, and I don't think it's gone up for people in this room, and I don't think it's gone up for the council either, I don't think it's gone up for the department, that we're managing the royal crab in a completely different way than we are managing other fish. Then I have to ask again: why should it be like this?
