ParlaMint-NO_2003-06-20.ana.ud1707e82	Magnhild Melting Group Kleppa will make a private proposal.
ParlaMint-NO_2003-06-20.ana.ud1707e2010	The Coastal Party has presented three proposals that do not seem to have a majority today. Proposals Nos. 111 and 112, which relate to the long-term framework conditions for the development of maritime industries and the simplification of the transfer of competences and the dissemination of information through a national centre of expertise, have, as I understand it, a greater opportunity to be realised through a more thorough examination of the 2004 budget. Since this government has clearly depreciated maritime industries as a future growth sector, it is not appropriate to convert these proposals into transmission proposals. Following the vote in the corridors, these proposals are more likely to be realised by being withdrawn from the vote today and taken up in the course of the harvest budgetary procedure. The premises for the proposals are distributed in the representatives' shelves, so now the idea can lie down and make up for it over the summer, and then we come back to the matter. The location of a centre of competence coordination is less important than its establishment. The main objective is to strengthen and bring together the maritime cluster environments that need to work together to meet the Storting's net pay premise. It should just be lacking – and I do not understand it – that the framework conditions for the maritime industries are not as similar as those we compete with. And where will the officers come from when we don't have young people to man the Norwegian vessels? I ask again, where will the Norwegian officers come from? The years go by, whether we like it or not. Proposal No. 113 to be converted into transmission proposals. There should be elements that the Government might consider, since it would mean both deferred retirement and ensuring broad and complex school competences. The coastal party thinks it's better to use older teachers than to replace them with pensioners, but this government has so many wonderful ideas about how to create a better school, that nothing can surprise us anymore. But in this I leave proposal No. 113 to the Government’s assessment by converting it into a transmission proposal.
ParlaMint-NO_2003-06-20.ana.ud1707e2023	For jobs and businesses in the districts, the differentiated employer’s fee has been absolutely necessary. When the EEA agreement was to be adopted, the current Prime Minister Bondevik almost put his hand on the heart and promised the Norwegian people that this was Norwegian tax policy, and we should keep this. The EU sceptics among us said that no, that's probably not the case, and unfortunately we got the right. In 1999, Norway was sentenced to the EFTA Court. The scheme became known illegally as Norwegian fiscal policy and is now part of the regional policy of the EU regime. Of course, this is SV very worried and tired of. Since 1999, we have been making proposals to bring different governments into line with the principle of long-term consequences and come up with an alternative regime, which was legal, not because we think this agreement is so glittering, but because it has been the majority of them and because we have had to deal with the realities. Three governments have stabbed their heads far into the sand, Bondevik I, the Stoltenberg government and now Bondevik II. It would have been understandable if we, who are against the EU and the rigid regime that is there, had tried obstruction. But that this government, populated by warm EU and EEA members, does not understand the rules of this system, tries to fight for lost schemes, does not understand the rules and opportunities within the system, it is a mystery. The representative of the Christian People's Party, Lilletun, was up and said that it was foolishness on the part of the EU not to approve this scheme that Norway wants and that is glittering. Yes, that is possible, but that is the system Lilletun and his party colleagues want! And then what do we do? It is probably not useful for Norway to say that you are a fool, so please do their system again! And when ESA opens the door on fire for example for Norway. shall be able to expand the geographical area of transport aid, send a letter to ESA and ask them: please close that door again! Isn't that what we said in the first place, that it wasn't allowed to give anything more? - So it's not like that! There are many schemes that could have been tried. For example, it would have been interesting to hear how the Government looks at a type of structural fund that they have in the EU, which can contribute well to regional development – not directly to businesses but to regional development. Then, of course, the question that I think the government has to answer soon, when it seems that they are losing all battles about these arrangements: what is the Government's plan B? All responsible governments must have a Plan B in such situations.
ParlaMint-NO_2003-06-20.ana.ud1707e2043	Like Andersen, I should like to focus a little on the differentiated employer fee. In today's vote, a majority clearly states that the Government must use the possibility of derogation, through ODA Protocol 3. In addition, a majority also argues that one should look at the possibility of extending that derogation to more than Nord-Troms and Finnmark. The possibilities for using the exemption beyond what the Government has so far foreseen are also confirmed in a legal review which was transmitted to the Government in May. Here there is an obvious possibility for the Government, based on the legal developments also the EU has had in the same area, which the Government must apply if the Government is not to be able to properly accuse, in order not to make use of the possibilities available, in order to maintain the differentiated employer’s fee. I strongly recommend to the Government that it take the opportunity of the majority in the Grand Duchy today to use that possibility of exception wider than has so far been provided. There is also an opportunity in relation to the differentiated employer charge and it is possible to exempt enterprises which are not in competition with activities in another EEA country. They fall per cent. definition outside the impact field of the EEA Agreement. This applies, inter alia, to: Norwegian municipalities if they do not compete with other EEA countries. That's also an opportunity. Not getting the exemption from Norwegian municipalities so far has been subject to a differentiated employer's fee, will mean an additional cost of over NOK 2 billion for municipalities. The municipal minister was asked yesterday why one did not take advantage of that opportunity. Then the municipal minister said that they are aware that this possibility exists, but it was not used because it would give municipalities a competitive advantage over private business! From the centre's point of view, there's an excuse not to use the exception, which is completely unacceptable. So one here is going to charge district municipalities in Norway an increase of over DKK 2 billion, because one does not want them to benefit from private activities in the exercise of local well-being and the local welfare services! There is also a possibility that the government should obviously use. In addition, I will be allowed to comment on the Document No. the 8th proposal that the Centre Party has promoted to reduce the share in our foreign fund positions in order to reduce the risk of loss. I believe that, not least in recent years' development, we should have chosen a more steady and less risk-oriented profile on the location of shares and bonds in the oil fund. I am amazed that no other party supports this proposal. I would also like to take the opportunity to present proposal No. 110 on behalf of the Labour Party, the Progress Party, the Centre Party and the Socialist Left Party.
ParlaMint-NO_2003-06-20.ana.ud1707e2060	The representative Marit Arnstad has taken up the suggestion she herself referred to.
ParlaMint-NO_2003-06-20.ana.ud1707e2063	I just wanted to take the word completely short to say something about barley. SV has provided a majority with the Workers' Party and the Advance Party for several buildings for which the Government had not found room in its original proposal. This applies, inter alia, to: the colleges of Eastfold, Stavanger, Nesna and Bodø. We are very pleased, both because these are sensible projects that have been waiting for too long, and because there is now a favorable time for connecting vacant hands with unresolved tasks. We have a lot of people available in the construction industry. In addition, the same parties have secured a majority for a grant to a new student centre in Bergen. It is an important project for the student environment and the student democracy in the city, for the University of Bergen and Bergen City. But the reason I took the floor now was that, like the representatives of Sortevik and Frøiland, I would make a little clarification as to how this allocation is meant. Although the money is in the post they do, I would also like to confirm in the SV's section that they are meant to be started. The design here is largely done. It is important to get started with the project itself. That's why both the SV, the Workers' Party and the Advance Party have clarified that we're about to get started, and we expect the Government to remember it.
ParlaMint-NO_2003-06-20.ana.ud1707e2072	I'm just going to fix two mistakes in Innst. S. No 260. On page 51, under item 6.5.2, it says: ‘The Committee endorses the Government’s proposal to reduce cap. 3430 item 3 with 3.5 million. Here it shall be increased by 3.5 million. kr. – As far as I am aware, it has become correct in the recommendation, but errors in the Committee’s comments. So to page 301, which concerns the Committee's recommendation. In accordance with the text under point 7.12, Chapter. entry 582 is added as the string ‘can be transmitted’.
ParlaMint-NO_2003-06-20.ana.ud1707e2082	The corrections and corrections made by Siv Jensen will of course be incorporated into the documents.
ParlaMint-NO_2003-06-20.ana.ud1707e2085	This goes a little bit in the same street. There are three proposals where SV are co-sponsors, whom we are asking to be made for transmission proposals, with different reasons. It concerns proposal No. 13, which is charged for electricity, which we promote together with the Workers' Party. We don't want to get this down. On the contrary, we believe that this proposal will have future implications. It concerns proposal No. 33, which we are promoting together with the Centre Party and the Coastal Party, and this is proposal No. 114. We want to submit these proposals so that they will not be downgraded. That means we're turning them into transmission proposals. Otherwise, it's probably saying about this debate, that it may not have had a particularly high temperature. That's why I'm going to join the representative of Bastisen, who said he had some suggestions that would lie down and make up for himself over the summer. Maybe we'll do it with the Storting too, let it lie down and make up for it a little bit over the summer, so maybe we'll get stronger back to the harvest.
ParlaMint-NO_2003-06-20.ana.ud1707e2094	We are sincerely hoping that there will be no situations that will make us have to convene the Storting this summer!
ParlaMint-NO_2003-06-20.ana.ud1707e2097	When there was a power crisis in winter, the government's representatives promised that everyone who had problems would get help. It did not follow up the Government. It was the opposition parties that had to take responsibility for giving money. On February 20, we reached a decision here in Stortinget, where we provided 130 million. kr to the municipalities, so that they could give extra money to the social offices that would receive additional costs related to increased electricity costs. It was given NOK 2 500, all of which were agreed, to all the housing beneficiaries, and light and heating supplements were given to families with children. A good number of families with children received cash assistance just during the crisis. The last one that was given was 120 million. to increase housing aid and raise the income limit for families with children. The stupid thing that has happened after this is that the money that was to go to the municipalities has not yet arrived, but they will be paid soon – we are hoping. The stupid thing was that the government decided to cut in the post that would go to the municipalities. The last stupid thing was that the government decided to cut out the 120 million completely. NOK which would raise the income limit for families with children by NOK 30 000. The reason I'm dealing with this today is that something strange happened in this context. Immediately after the decision of the Storting, the Ministry of Social Affairs sent out a circular, U-3, to all the municipalities and counties of the country, explaining the new income limits. But the Ministry of Local Affairs, which is the department responsible, did not send letters of allocation to those responsible for the housing aid, namely the House Bank. The house bank was never informed that this money would be paid to 12,000 families with children. The money was never paid. So now the deadline for applying for this money has expired. It went out on June 10th this year. Now we're sitting here, on June 20th, and we're about to make decisions. It simply means that the Ministry of Local Affairs did not follow up the decision of the Storting. It is then natural for me to ask a question to the Minister of Finance: how many decisions should the Stortinget have to take before the government actually follows up the decisions and appropriations taken by the Stortinget? Why in the world is it that government parties will not be able to extend the deadline for applications? I expect that when we make a decision here, you will get out quickly from the Ministry of Local Affairs, so that we can get the housing support, which has been adopted twice by Stortinget, to the 12,000 families of children who deserve this money as soon as possible.
ParlaMint-NO_2003-06-20.ana.ud1707e2113	There are many issues that could be addressed in relation to the treatment of the revised national budget. There's a lot of politics here, but in three minutes you don't get that much. Like the representative Holmås, I will raise something that has to do with the government's social profile. I also fully agree with the representative Holmås on what he said about the power crisis and those who were particularly hard hit by it. It is critical how the Government has followed them up. The government also reiterates some unsocial proposals in the revised national budget, which relate to increased ownership of, among other things. medical visits, physiotherapy and X-ray studies. In fact, the government also assumes that this is to be adopted by the Storting when negotiating with doctors, psychologists and physiotherapists on pay conditions for the coming years. It's taking certain freedoms. This is from a government that is concerned with the fight against poverty, which says that they are to protect the disadvantaged. Nor will it be better for the Workers' Party to support these unsocial self-promotion applications in the context of the revision of the national budget. But this saves the government from new wage negotiations with, among other things. Toys. The medical rehabilitation field is a major problem. The Centre Party has put in place significant resources to increase the rehabilitating capacity and to ensure that the institutions involved are able to operate somewhat better. Unfortunately, few, almost none, follow this up. It's important not only to treat disease, but also to rehabilitate people, so that they can get a decent life back. Getting people back to work as quickly as possible should be a goal for everyone, and also that those who are no longer active should become as self-responsive as possible and have a decent life. We have submitted a proposal on Røros Rehabilitation Centre, owned by the National Association for Heart and Pulmonary Disease. The majority of the Social Committee has for a long time recommended to the Government that this institution should be approved for operation. It has not yet happened. In the early stages of the review, the Centre submitted a proposal that Røros Rehabilitation Centre should be recognised as a fully-fledged rehabilitation institution as soon as possible and that State reimbursement should be granted for operations from 1 July. Fortunately, it is now a majority that supports the allocation of funds to Røros Rehabilitation Centre, but I am surprised that no more is involved in this proposal – proposal No. 103 – which I have to turn into a transmission proposal if no one else comes forward and says that we support this as a clear and logical consequence of the proposal. So to proposal No. 114, promoted by the undersigned on behalf of the Socialist Left Party and the Central Party. There are no more people who have signalled any health policy views on it, and this also means turning it into a transmission proposal, so that at least we do not get it down.
ParlaMint-NO_2003-06-20.ana.ud1707e2128	The President noted that in the introductory part of the Committee's recommendation at the end. S. No 260 has been shown to have to be changed as a consequence of Storting’s decisions in relation to the various settlements, among others. social security settlement. Against this background, the President will address a proposal, proposal No. 118, containing the corrections necessary for a number to be put to the vote at the final vote. This applies, as far as the President understands, also to proposal No. 119, which is just distributed. Several have not asked for the floor for case No. 1-8. [[Votation, see below]]
ParlaMint-NO_2003-06-20.ana.ud1707e2150	No one has asked for the floor. [[Fotation, see page 3640]]
ParlaMint-NO_2003-06-20.ana.ud1707e2168	No one has asked for the floor. [[Fotation, see page 3640]]
ParlaMint-NO_2003-06-20.ana.ud1707e2177	Then we are ready to vote on the matter no. 1 to 10 on today's map.
ParlaMint-NO_2003-06-20.ana.ud1707e2200	A total of 119 proposals have been put forward during the debate. It's proposal No 1, by Jan Tore Sanner on behalf of the Right, Socialist Left Party, Christian People's Party and Left Proposals No. 2 and 3, from Hill-Marta Solberg on behalf of the Workers' Party, the Socialist Left Party, the Centre Party and the Coastal Party, proposal No. 4, by Siv Jensen on behalf of the Workers' Party, the Progress Party and the Centre Party, the proposals No. 5 and 6, from Hill-Marta Solberg on behalf of the Workers' Party, the Socialist Left Party and the Central Party, the proposals No. 7 and 8, by Jan Tore Sanner on behalf of the Right, Christian People's Party, the Central Party, the Left and the Coastal Party proposal No. 9, from Jan Tore Sanner on behalf of the Right, Christian People's Party, the Center Party and Left Proposal No. 10, by Jan Tore Sanner on behalf of the Right, Christian People's Party, the Center Party and the Coastal Party proposals No. 11-13, from Hill-Marta Solberg, on behalf of the Labour Party and the Socialist Left, proposal No. 14, from Jan Tore Sanner on behalf of the Right, Christian People's Party, Left and Coastal Party proposals No. 15 and 16, by Siv Jensen on behalf of the Progress Party, the Socialist Left Party, the Centre Party and the Coastal Party, proposal No. 17, by Jan Tore Sanner on behalf of the Right, Christian People's Party and Left proposal No. 18, from Siv Jensen on behalf of the Progress Party, the Socialist Left Party and the Central Party, the proposals No. 19 and 20, by Siv Jensen on behalf of the Progress Party, the Socialist Left Party and the Coastal Party, proposal No. 21, by Siv Jensen, on behalf of the Progress Party and the Socialist Left, the proposals No. 22 and 23, from Hill-Marta Solberg on behalf of the Workers' Party and the Coastal Party, proposals No. 24 –27 and 109, from Hill-Marta Solberg on behalf of the Workers' Party, proposals Nos. 28-31, by Siv Jensen, on behalf of the Progress Party, the Centre Party and the Coastal Party, 32-36, from Øystein Djupedal on behalf of the Socialist Left Party, the Centre Party and the Coastal Party, proposals No. 37 and 38, from Siv Jensen on behalf of the Progress Party and the Central Party, proposal No. 39, from Øystein Djupedal on behalf of the Socialist Left Party and the Central Party, proposals No. 40 to 44, by Siv Jensen on behalf of the Progress Party and the Coastal Party, proposals Nos. 45-49, from Øystein Djupedal on behalf of the Socialist Left Party and the Coastal Party, proposals No. 50 to 78, by Siv Jensen on behalf of the Progress Party, proposals Nos. 79 to 95, from Øystein Djupedal on behalf of the Socialist Left Party, proposals Nos. 96-101, by Arne Braut, on behalf of the Centre Party and the Coastal Party, on proposals Nos. 102 to 105, by Mr Brout, on behalf of the Group of the European People's Party, on the proposals Nos. 106, 107 and 111-113, by Steinar Bastesen, on behalf of the Coastal Party, proposal No. 108, from Hill-Marta Solberg on behalf of the Labour Party, the Advance Party, the Socialist Left Party, the Centre Party and the Coastal Party, proposal No. 110, from Marit Arnstad on behalf of the Workers' Party, the Party of Advancement, the Socialist Left Party and the Central Party, proposal No. 114, by Arne Brout, on behalf of the Socialist Left Party and the Central Party, on proposal No. 115, from Jan Tore Sanner on behalf of the Workers' Party, the Right, the Socialist Left Party, the Christian People's Party and the Left proposals No. 116 and 117, by Jan Tore Sanner on behalf of the Labour Party, the Right, the Christian People's Party and the Left proposal No. 118, from the President, proposal No. 119, from Hill-Marta Solberg on behalf of the Workers' Party and the Advance Party. Proposals Nos. 1-107 is included in the vote, proposals No. 108–119 are distributed in the seats of the representatives in the Chamber. There is a vote on the proposals Nos. 106 and 107, from the Coastal Party. Proposal No.106 reads as follows: ‘The 2003 State budget shall be amended as follows: Chapter.PostFormsCroner1062Crossworks34 Ship tunnel design, can be transferred, can be used under heading 30, granted by 17 000 0001320 State road transport Capacity adjustment etc., the fishing industry, granted by 36 000 000 0002420 State food and rural development fund Land-cover seed scheme, granted by 1 000 000 00097 Land-cover seed scheme, granted by 1 000 000 000 000» [[NY]] [[NY]] [[NY]] [[NY]] Proposal No. 107 sounds: ‘The ruling asked the Government to establish a reimbursement scheme for the necessary medical dental treatments including: preserving treatment.’»
ParlaMint-NO_2003-06-20.ana.ud1707e2426	Proposals Nos. 111 and 112, from the Coastal Party, have been withdrawn. Proposal No. 113, from the Coastal Party, has been converted into a transmission proposal, the proposal being amended as follows: ‘It is recommended that the Government introduce a sabbatical phase for teachers in the 2004 budget to ensure that new-educated teachers are given a job at school and that older teachers are encouraged to remain in work until retirement.’ The President proposes that this proposal be submitted to the Government without any restitution. – It shall be deemed to have been adopted. There is a vote on the proposals Nos. 102, 104 and 105, from the Center Party. Proposal No. 102 sounds: ‘The 2003 State budget shall be amended as follows: Cape Town PostDestinationCrones170FN organisations, etc. :76Additives via the UN system, etc., may be transferred, increased by 40 000 000 from NOK 1 340 000 to NOK 1 380 000 000254Advantages for adult training [[(see section 4.4). cap. 2412)]] Proposal No. 104 sounds: ‘The Decision of the Grand Duchy of Luxembourg of 3 December 2002 on excise duties on the 2003 budget for tobacco is amended as follows:No. 2 The fee for tobacco products § 1, first paragraph, point (c) is replaced by the following:(c) Smoking tobacco, savoury tobacco, raw tobacco in retail packing: kr 1,665 per. grams of the net weight of the package.’» Proposal No. 105 sounds: ‘Decision of the European Parliament of 3 December 2003 on excise duties for the 2003 budgetary period is amended as follows:No. 10 The first sentence of the first subparagraph of Section 1 of chocolate and sugar products is replaced by the following: 11 if excise duties are paid to the Treasury for chocolate and sugar products at NOK 16,63 per person. kg of the weight of the goods subject to excise duty.»
ParlaMint-NO_2003-06-20.ana.ud1707e3106	Proposal No. 103, from the Central Party, has been converted into a transmission proposal. The proposal is amended as follows: ‘It is recommended that the Government approve Røros Rehabilitation Centre as a fully-fledged rehabilitation institution as soon as possible so that the institution can start full-time operations with State reimbursement from 1 July 2003.’ The President proposes that this proposal be forwarded to the Government without any renunciation. – It shall be deemed to have been adopted. There is a vote on the proposals Nos. 96-101, from the Center Party and the Coastal Party. Proposal No. 96 sounds: ‘The 2003 State budget shall be amended as follows: Chapter.ObjectivesCrones163Emergency aid, humanitarian aid and human rights:71Humanitary aid and human rights, may be transferred, increased by 37 000 000 from DKK 1 143 000 000 to kr 1 180 000 000221Grunning school Contributions to the release of young people with disabilities, granted by 25 000 00070Free drug-prevention work, etc., may be transferred, increased by 2 000 000 from kr 113 000 from kr 115 000 000 000 from kr 115 000 000732Regional health enterprises71Additions to Health East RHF, may be transferred, increased by 108 900 000 from kr 10 668 000 000 to kr 10 776 900 00072Additions to Health Sør RHF, may be transferred, increased by 65 700 000 from kr 35 000 from kr 6 4 439 000 to kr 6 504 00073Additions to Health West RHF, may be transferred, increased by SEK 5 078 900 000 000 to kr 5 130 000 Additions to medicine, transferred to SEK 1 800 000 from NOK 3 000 from NOK 1 000 from NOK 1 000 from NOK [[NY]] [[NY]] [[(see section 4.4). cap. 4820 and 4829)]] Proposal No. 97 sounds: ‘The Government asked the Government to submit a progress report in relation to the 2004 budget on how far the railway investments have gone in relation to its 2002-2005 action plan. A plan shall also be submitted for the recovery of the lag in railway investments.’» Proposal No. 98 sounds: ‘The government is asked to provide an overview of purchasing power developments in one-person households and proposals for tax changes that contribute to a distribution policy that improves the performance of one-person households in 2004 in the context of the submission of the State budget.’ Proposal No. 99 sounds: ‘The Government is asking the Government to submit proposals for a guarantee or loan scheme for the fishing industry with a view to securing industry or fishing recipients in vulnerable local communities in the context of the 2004 State budget.’ Proposal No. 100 sounds: ‘The Grand Government shall follow up the ‘Fail Home for a 50-note’ action in Sogn and Fjordane with proposals in the 2004 State Budget on how to facilitate similar arrangements in all the counties of the country.’ Proposal No. 101 sounds: ‘The decision asks the Government on the basis of ODA Protocol 3 Article 3 paragraph. the third paragraph, in relation to ESA, apply for a derogation for the entire scope of the differentiated employer’s fee.’;»
ParlaMint-NO_2003-06-20.ana.ud1707e3733	There is a vote on the proposals Nos. 79-82 and 84-95, from the Socialist Left Party. Proposal No. 79 sounds: ‘The 2003 State budget shall be amended as follows: Cape VerdeCroner163Emergency aid, humanitarian aid and human rights71Human aid and human rights can be transferred, increased by 100 000 000 from DKK 1 143 000 000 to DKK 1 243 000 000197Aid to non-ODA-approved countries and international environmental actions70Aids to nuclear security measures, project cooperation with Russia/SUS and the action plan for the candidate countries to the EU can be transferred, increased by 5 000 000 000 from DKK 320 000 000 to DKK 325 000 000221Grunnskolan Sami Højskola, granted by 3 100 000 430 Central Administration of Criminal Welfare Increased fees and fees are granted by 1500 0005312The Norwegian State Husbank [[NY]] [[NY]] [[(see section 4.4). cap. 2412)]] Proposal No. 80 sounds: ‘The Government is asked to ensure that duplication in prisons is used only when the prisoners concerned agree to this, and when it is considered to be sound by the Health Department and social advisers at the institution.’ Proposal No. 81 sounds: ‘The Government is asked to submit a plan reviewing the need for staffing, resources and settlements for the criminal services, including the free movement of persons.’ Proposal No. 82 sounds: ‘The government is asked by the Government of the State budget for 2004 to introduce the same self-payment for the sterilisation of women as the corresponding self-payment for the sterilisation of men.’ Proposal No. 84 sounds: «a.Sparing authorisationSize agrees to save 100 million. crowns of the operational expenditure of the departments with the exception of health enterprises and defence. [[items 1-29, excluding entry 24]] The government is authorised to make the final allocation of the amount. Savings are specified in chapters and items, and the Stortinget is briefed on the distribution in connection with the rebalancing of the 2003 government budget. Saving is currently being done by capping. 2309 Random expenses of 100 million. krones. When the amount is allocated to chapters and items, 100 million are returned. crowns to cap. 2309.b.Sparing authorisationThe majority agrees that 100 million will be saved. dollars in the defence budget. The government is authorised to make the final allocation of the amount. Savings are specified in chapters and items, and the Stortinget is briefed on the distribution of the national budget for 2004. Saving is currently being done by capping. 2309 Random expenses of 100 million. krones. When the amount is allocated to chapters and items, 100 million are returned. crowns to cap. 2309.’ Proposal No. 85 sounds: ‘The decision asks the Government of the State Budget for 2004 to propose an increase in the funding of the network tariff that may strengthen ENOVA’s revenue.’» Proposal No. 86 sounds: ‘The decision asks the Government, in the context of the 2004 budget, to submit proposals for measures that may lead to the use of the land area over heavily worked roads.’ Proposal No. 87 sounds: ‘The Government asks the Government to support the Nordreisa project in order to gain knowledge of predatory issues and preventive work.’ Proposal No. 88 sounds: ‘The Government requests the appropriate transparency of requests for deferral of payment of public charges from particularly vulnerable groups.’;» Proposal No. 89 sounds: ‘The Government asks the Government to launch a pre-project for a student life course survey in Norway in 2003 with a view to implementation in 2004’.» Proposal No. 90 sounds: ‘The Government is asking the 2004 State Budget to investigate the Scrapie Value Chain in Norway with regard to enhanced environmental requirements and to consider promoting measures to improve the situation in particular for mercury emissions, including State contributions to sewage treatment plants.’ Proposal No. 91 reads: ‘Chap. 5559 Charges on the packaging of beverages As from 1 July 2003, the Decision of the Grand Duchy of Great Britain of 2 December on taxes on the packaging of beverages applicable to the 2003 budget:§ 1 paragraph 1 shall be amended as follows: the first paragraph is replaced by the following: a) Glass kr 5,28b)Metal kr 4,28c)Plastkr 2,58d)Carton/paper kr 1,07 § 1 para. the first paragraph is replaced by the following: disposable packaging of NOK 1,07. ‘... Proposal No. 92 sounds: ‘The government asks the government to ensure that the variation in municipal tax access is balanced by the government. The Government is asked to present a proposal for this in connection with the submission of the national budget for 2004.» Proposal No. 93 sounds: ‘The government requests action to be taken by the Government to ensure that the economic and social differences shall be less at the end of this ageing period than they were at the beginning of the period.’ Proposal No. 94 sounds: ‘The Government is asked to provide an assessment of the development of economic and social differences in Norway in the annual budgets.’ Proposal No. 95 sounds: ‘The Government asks the Government to initiate an evaluation of the sale of the Bank of Credit, Statoil and Telenor, to see if the sale has contributed to the achievement of the objectives set by the State.’
ParlaMint-NO_2003-06-20.ana.ud1707e4754	It is then put to the vote on proposal No. 83, from the Socialist Left Party. The proposal reads as follows: ‘The Government asks the Government to remove the cost ceiling for qualification measures for disabled persons’. The central party has announced their support for the proposal.
