ParlaMint-NO_2003-06-04.ana.ud1647e57	The representative, Jan Simonsen, will make two private proposals.
ParlaMint-NO_2003-06-04.ana.ud1647e1171	It's going to be line change.
ParlaMint-NO_2003-06-04.ana.ud1647e1174	When I hear the post from the representative of Kristiansen, it is tempting to remind him that the right was also in the majority I quoted at the beginning of my post. But I understand that it is the state contribution that makes it difficult for Kristians to accept the situation. I would like to quote from an article in Asker and Bærums Budstikke yesterday, where adm. dir. Per Kr. Jacobsen in IT Fornebu will be interviewed. He says the following: ‘I think it’s okay with a status report. But then I hope it will also look forward, and give concrete signals of what kind of changes you might want.’ It goes on to say: ‘IT Fornebu has a 15-year perspective itself. However, the extent to which the Storting or the State believes that the Centre should have developed now — i.e. in 2003 — it is difficult to find evidence of a contractual nature. Neither Jacobsen nor SVs Inge Ryan can answer that question when Budstikka asks. What a status report should actually measure the status may therefore be an interesting question.’ It is tempting to ask the representative Kristiansen the same question: What kind of status do you want?
ParlaMint-NO_2003-06-04.ana.ud1647e1191	I don't think there's anyone who's been in doubt about Right skepticism on an ongoing, continuous and continuous basis to this so-called business idea that's now put into practice, leaving behind one of the heavy elements of the Norwegian agency that is likely to lose an amount of 400-500 million. kr. But I believe that what is important in this context – if you fear a status report – is that you read your own documents, your own settings, your own proposals on what IT Fornebu was to be presented as in 2005, which is Europe's leading area of knowledge and innovation. This is certainly a high goal. I think that today is all the reason to see the heaps of seas you had, the state and some economic forces in this country, and see how this has gone.
ParlaMint-NO_2003-06-04.ana.ud1647e1198	First, for a correction. I don't think the representative Kristiansen has listened to my main post. There were unforeseen delays that could not be loaded into this centre, due to the ESA's assessments, because of the problem around the Municipality of Oslo. It gives two years of postponement from this perspective. But then back to this status report. I would like to mention that yesterday the members of the Committee received a status report from SIVA, who is interested in Fornebu by the State and who is responsible for the interests of the State. This is on page 3: ‘In addition to the process in progress. regulatory issues can be satisfied with the development of the IT and knowledge centre at Fornebu.» That's what the government representative says. But what the majority now want is to get an assessment of IT fornebu as a business policy tool. Those who have followed this up know that it takes 10–15 years to develop such centres. How, then, does Kristians think that after 23 months you can do this seriously?
ParlaMint-NO_2003-06-04.ana.ud1647e1210	I have taken the trouble to read the report from SIVA on the IT and knowledge centre at Fornebu. Let me now ask the question differently: Is the representative Hedstrøm satisfied with what has happened at Fornebu? Is the Progress Party satisfied with what has happened around what has been presented as the largest Norwegian gloss picture over time, which was to develop out there and which would become Europe's largest clusters, when we see that there are a number of vacant office areas to develop in competition with Telenor and others? That SIVA performs in this report to settle down and say that you are satisfied that you are left with perhaps an unrealised loss of between 400 and 500 million. kr, testifies that we need to discuss this report in another forum.
ParlaMint-NO_2003-06-04.ana.ud1647e1218	The representative Ivar Kristiansen said in the debate earlier today about the merger case that politicians are talking down on the value of the shares. Does not the representative of Kristiansen see that it is entirely possible to speak the reputation downwards in connection with business investment at Fornebu? The installation gives the impression that the Right has not accepted a democratic decision that has been taken. If the status report is made in the spirit of the Ivar Kristiansen post, there will be no neutral, objective status report. The installation shakes me; it gives the impression of the closest political hatred to a democratic decision. Is it the signals that a person wants to send from the Right when we now hear that more people are going to establish themselves on Fornebu? It's a bit of a welcome to a business that's struggling. I thought the Right had other interests.
ParlaMint-NO_2003-06-04.ana.ud1647e1223	One would like to discuss something quite different from what this matter concerns, and what concerns this matter. Of course, this is not how the representative Gaundal wants to illustrate it. It has been well-known throughout what has been the many warnings on this matter, and unfortunately we just have to note that it has gone as right and others warned against. It is well known to everyone in the Norwegian business community that Right wants to organise for the Norwegian business environment, the Norwegian business community and anyone who wants to establish new and future activities. And we also want happiness at Fornebu, but we can't equip Fornebu with the heaviest economic state backpack of capital and property mass that makes all the other things we do for Norwegian business going to fade. Much of this wants the Right to correct, and we're completely... [[President clubs]]
ParlaMint-NO_2003-06-04.ana.ud1647e1228	Now I'm going to have a line, but I'm starting to answer the question if I'm satisfied. The Dotcom bubble cracked just after the last decision in this room. Nasdaq was then on approx. It's 5,000, and today it's 1,500. It says something about the situation. But to the representative of Kristiansen, who is concerned with private business: how many ICT businesses in private business have gone down and home, and how many premises are available, for example. in the Lysak Environment? So after all, 13,000 of the 23,000 square meters on Fornebu are filled, we've got the Simula center with about. 50 researchers, we've got an incubator that's gone through 200 projects at Fornebu, after 23 months. But they've built premises, which was a worn-out airport, in 23 months, so it's going to be functional. So there are actually things happening, even though I'm not quite satisfied. For this with this backpack. When we look at international centers, the state's share is much larger than that of Fornebu. [[The President clubs.]] Does Kristiansen have back cover for what he says?
ParlaMint-NO_2003-06-04.ana.ud1647e1237	Yeah, bubble cracked. The representative Hedstrøm is quite right in that. And I share his regrets that it went the way it went. We must therefore take this inward, and we hope that through this report we will be shown that Norwegian politicians in particular should be very careful and careful to contribute through the money bag to identify what are the upcoming winning industries. I see that the Labour Party and the Advance Party want to emerge in the field by area through the State capital bag as the nominees of future winners, either through Norwegian companies, via Norwegian companies, or by pointing to sectors that are going to be winners. It would certainly be lacking that there should not be anything left of the billion-class effort that is probably already spent on Fornebu. I think we have to agree that should be a minimum.
ParlaMint-NO_2003-06-04.ana.ud1647e1242	The cord shift is over. The president thinks he's heard most of the arguments once before. And the Stortinget has a strenuous meeting program.
ParlaMint-NO_2003-06-04.ana.ud1647e1247	I hope the President will listen to me too. If there's too many repetitions, the president's gonna have to kick me in the game. I'm going to try to bring down the temperature a little bit in this debate, and say a little bit about the background to why SV has now promoted this Document 8. Then I have to say a little about the snow that fell last year. We were not involved in this process, because we were not members of the business committee where it was going, but we were very critical of the project. I would then point to the two main reasons why we were critical of the project. One was the enormous centralizing effect such a project would have. I used to say that this is like a funnel with a magnet at the bottom. It was added to a dimension of IT fornebu that was so large that all the IT skills we had in Norway would have been sucked against Oslofjorden. Now Norway is slipping towards Oslofjord slowly, but certainly anyway, but that slide would have gone a lot, much faster. That was a very important reason – that you both offered to move skills, and that you left up so much capital in an area that has already been squeezed. Of course, it had to be taken from somewhere. Both the money and the people who were to serve such an important knowledge center had to be taken from somewhere. So this would have a huge centralizing effect. SV is a party that wants to fight for settlement in this country. We have much more faith in having a number of small centres spread across the whole country – in Oslo, but also elsewhere. The second reason why we were critical, as I would like to mention, was that some of the best areas and areas we have in Norway, which could have been used for housing – student housing and other types of housing that there is a large, large lack of housing in this part of the country. At the same time, areas for different nutritional purposes are good if you look at what's available today. It was a little bit about the snow that fell last year. So a little bit about the proposal. We are asking for a status report, and I think it is obvious that the National Assembly in Norway is involved in a matter that has had so much attention and on which so much money has been spent. It was just to be lacking that you do not care about that matter. You have to care about that matter to see how it works. Maybe it's going according to plan -- OK, then the majority is kind of right, then it's going well. Then we have to say that's excellent. But maybe it's not going very well. There may be a need for a change of course, which requires adjustments so that the damage that is about to occur can be repaired – you can change the course a little. I think it is obvious that the National Assembly in Norway, which has initiated this action, is also accompanying it and rectifying it along the way if things do not go as they should. I think we would have neglected if we hadn't. When I hear the comments from the representative Hedstrøm and the representative Fossli, it sounds like there are no problems, it sounds like there is going down at Fornebu. So they have nothing to look dark on when the status report comes. It's going well, they say. And that makes me happy. I have another information, but I hope I'm wrong. I really hope it goes well – when the Storting has first adopted this. But I fear that it is not going well, and then we have to take it inward and make the necessary decisions to correct the errors that can be corrected. I would recommend the Committee's setting.
ParlaMint-NO_2003-06-04.ana.ud1647e1268	It's going to be line change.
ParlaMint-NO_2003-06-04.ana.ud1647e1271	The suction against Oslofjord was mentioned. What we have sucked at Oslofjorden can at least not be loaded into the IT centre at Fornebu, where it has so far created 550 jobs – not bad, but it does not exist in this context. As far as the status report is concerned, SIVA is given twice a year. But what the majority link up with this is that one should also view IT fornebu as a business policy tool. And you're going to do that after 23 months, when you're just getting started. I think that if you talk to independent people about this, they're going to say exactly the same thing as the Labour Party and the Advance Party: you're going to have to wait a little bit, and see when this is a little bit of a farm, we can do some assessments and possibly change something in line with what the majority wants politically. But to this proposal...
ParlaMint-NO_2003-06-04.ana.ud1647e1280	Time for line is up.
ParlaMint-NO_2003-06-04.ana.ud1647e1283	If you find out that things are not going well, it is important to get in as early as possible and correct any errors.
ParlaMint-NO_2003-06-04.ana.ud1647e1288	I thought the post to Inge Ryan was very good, unlike the undertone and insinuation that I have somehow felt that some other representatives have made in their posts. I am aware that SV is also very concerned that the government should have an involvement in business policy. Now we have over 100,000 unemployed, and SV has, together with the Labour Party and others, called for an active industrial policy. When the airport at Fornebu was laid down, it opened up a possibility to create a national centre that was internationally competitive within an area that the researchers also claimed had a high growth potential. Here were most of the parties on the Stortinget some. What one disagreed about was the extent to which the state would engage in this. Does SV not agree that the state now has a responsibility to engage in the industrial development project? Other... [[President clubs]]
ParlaMint-NO_2003-06-04.ana.ud1647e1300	SV wants a very active state. We want us to have an active tool, we want the state to be an active owner, and we want the state to engage in business development. But sometimes, if we see that there are consequences that are unfortunate compared to what I said in my post – a significant centralisation, the transfer of skills and money – I have to say that maybe the state should do it another way. Perhaps the State should spread competence and capital beyond, so as to avoid strong centralisation.
ParlaMint-NO_2003-06-04.ana.ud1647e1305	It's okay that the Socialist Left Party has always opposed the establishment of Fornebu. That is a consistent position. But it has to be a minimum of conditions that lie at the heart of an investigation. When you are in an initial start-up phase, we believe in the Progress Party that the basic things, the basis for doing it in a proper and proper way, are not available. And then you give authority to the Government to do this -- the government apparatus and the government council, which is opposed to the solution that has been chosen. Are the universities havile to do that? Had it not been better for the Storting itself to have identified who might have carried out such an investigation, or that, for example: The Research Council in the assessment of the Centres of Excellence uses foreign competent persons, so that this can have credibility and stability? Doesn't Ryan think this could be a solution?
ParlaMint-NO_2003-06-04.ana.ud1647e1314	I am aware that it has been a short time for the representative of Hedstrom. Therefore, both two and three status reports may be needed. I do not ignore the fact that SV will promote several such proposals along the way in this process, in order to follow closely. We trust that the Government will do the job objectively. Something else we don't have reason to believe.
ParlaMint-NO_2003-06-04.ana.ud1647e1321	Ryan was busy with the centralizing act that an IT and knowledge centre at Fornebu could get. I respect that. Therefore, one of the main interests of the whole centre was to get a national centre that would not only act as a vacuum cleaner in the regions, but on the contrary would be so large that it became internationally competitive and could attract foreign competence and investment, thus becoming an engine in the development of IT and knowledge in the country and thus could boost the regional environment. The regional environments would benefit from the fact that we had a national engine that was large enough to be internationally competitive. That's why it was a point that we didn't have to shave down the entire project to small areas and small bets. And many said in the debate at the time that instead of having an intimidating IT and knowledge center at Fornebu, it was better that we didn't have anything. And...
ParlaMint-NO_2003-06-04.ana.ud1647e1328	The number is out.
ParlaMint-NO_2003-06-04.ana.ud1647e1331	I'm starting to repeat my sails. As I said, we're critical of such a big bet in one place, just so that's said. But in conclusion – as I have 30 seconds – I hope now that you succeed at Fornebu, when a decision has been made in Stortinget. I hope that the most possible of this will succeed, once you have started and put so much money into it, there is a legitimate decision, and we hope it will go well. But we have to realize that if it's not going well, if it's about to get off the rails, we also have to take it inwards and do the necessary grips. What this is about is how we manage the money that we've invested in this project.
ParlaMint-NO_2003-06-04.ana.ud1647e1340	Several have not asked for the word for a line.
ParlaMint-NO_2003-06-04.ana.ud1647e1343	This case has a long history here in Stortinget, but I am not going to use this post for so much aftertime. Nevertheless, this case shows that it is not as easy to plan and implement something that is so big and that does not have a wider connection. IT Fornebu has never taken quite so far, even if it should have doctors to facilitate this. In connection with the treatment of IT fornebu, we from the Christian People's Party were concerned with ensuring a competition for the development of the centre and, to a greater extent, selling all or part of the commercial space to interested IT companies to the highest bidder. This could be more certain that the companies that established themselves at Fornebu would also be those who believed most in the vision of an IT and knowledge centre. However, this was not the case, and we saw that there was a detailed management from Stortinget's side in this matter, which meant a strong centralisation of the decisions. This could indicate a lack of understanding of the dynamics of business in relation to how such centres arise. However, in this case I will choose to be constructive. The Christian People's Party was in doubt about this development of Fornebu as a very important area for the Oslo region, and we also warn against the sentimental effect that we saw drawing after the multiple visions. To a region where too much movement was going on, one thought it was crazy to put this dimension on this center, with a big move – something that also got membership from members of the parties that drummed through this solution. But there was no breakthrough here in Stortinget. The state has already promised to go in by 425 million. kr. Today, we are uncertain about the results. Therefore, close and good follow-up is important in order to make adjustments to achieve the best possible result. I feel that it should be particularly important for the Labour Party and the Progress Party, which were the engines to reach the solution chosen, to take time for thought and an internal debate. I'm sure that these two parties didn't want to go all the way through the developments that have taken place in society, because the government can't in the future expect to have as successful a commitment to business as he had a generation ago. We have reached a level of competence and capital in Norway, which means that the state has to take a greater position on the sidelines, be participative, stimulating instead of being heavily conductive. A situation where a greater part of personal responsibility and initiative needs to be expected will lead to the best solutions. I think it would be better if the IT and knowledge centre could establish an equivalent and voluntary cooperation between companies and research and demonstration institutions that want to establish themselves at Fornebu. All in all, in the Christian People's Party, it is positive that the Stortinget in this matter asks the Government to present a status report on the IT and knowledge centre at Fornebu, with the emphasis on getting an assessment of the development of the Centre in line with Stortinget's intentions, and to analyse whether the project's concept as a food policy tool has worked as intended. It's been barely two years since it was established. Although there is little time, as the representative Hedstrom says, we all know that this is a critical phase. However, it may be right to enter and look at the situation in order to try to address the problems that exist, and to try to do this together as something better than it might have been otherwise. It's not exactly a poster clock that should be the subject here today, but rather that one should try to go in and adjust the sides that can evolve in the wrong direction.
ParlaMint-NO_2003-06-04.ana.ud1647e1362	I don't think it would surprise anyone that the Left supports the proposal for decisions from the majority of the committee to get a status report on the IT and knowledge centre at Fornebu. I'm not going to take the whole story in my post. It is known that the Workers' Party and the Advance Party were the drivers of this project, and in a way to which the Left and the other parties were strongly critical. And in the course of the many and far-reaching treatments the Stortinge had, the two parties were moderated significantly. And it's right that there was a broad plural that was behind the final decisions. It also had to do with the political realities. It is obvious that the interconnectedness of the IT industry made the start-up difficult for the project. And I'm going to give the Labour Party and the Advance Party justice in that it's too early to give a final verdict on it. It is also in the position of the majority, expressed in terms of others. by the proposer, SV, stating that there is not an evaluation you request, but a status report. Left gives its full support to the comments of the Right Party and the Christian People's Party, and the comments they have with the Center Party. There may be temptations today in this matter to repeat the view that the Left had in the matter of establishing an IT and knowledge centre at Fornebu – the Left also had the Minister of Industry when this matter was decided – but I do not intend to do so, because we await the status report. I hope that, pending it, there is no one going into the corresponding project. For public funds to be used, the innovation and knowledge environment must be built up in real competition to submit the best plans. There must be openness in decision-making processes, with the established research and education environments as active participants. Ivar Kristiansen's posts had some history, and I don't think there was much in his posts that I don't support. In the left we see that it is important that such a controversial project is evaluated along the way, and especially when it seems to be very far from the intentions so far. Such an assessment will also have much to say in general about how the country and private investors can and should cooperate for the country’s economic development. And we'll get the knowledge that goes with it. The representative Hedstrøm asked about how to meet the corresponding project in the future, so that the state could be an active participant to create new jobs.
ParlaMint-NO_2003-06-04.ana.ud1647e1380	This is a debate that shows that there have been fresh paces even earlier when we have debated this – as far as I registered from one of the speakers, it is the tenth time. I've had fun printing all these debates, because I've participated in them all, and read what's said and what's not said, and what visions you've had. In any case, it has struck me – without going into all the details – that it is not all that has gone like a thought. But I'm not going to keep a retrospective post here and now. It only struck me when I read from the debate on 11 December 1997 that the then State Secretary Per N. Hagen had a pretty fresh play that would make this debate superfluous. For he had proposed to plant forest all over Fornebu. At least then we had avoided this debate. What I just want to say, however, is really linked to the proposal for a decision in the vote on making such a status report. No one has to worry that the work of the Ministry of Economic Affairs and Trade will be characterised by anything that may smell of rematch. I don't think anyone has blamed me for that either. Nor can I see that there was a basis for this in the 1 1⁄2 year that I have run the store. My job is to manage the ownership that the bulk of the population determines at any time, whether I'm for it or I'm against it. That means that in the status report that I'm about to start working on, I'm going to involve what you can call independent environments, of course, in addition to the center itself. I think it's pretty important that it has an ambition for such an IT perspective. At least I want to be concerned about what we can possibly do to correct the weaknesses that may have occurred, whether they were foreseen or not. I will, of course, come to Stortinget with one thing about it. I think we need to have a value creation perspective on this. What can we do? Now it's probably not as simple as someone has said, that we can adjust the rate if we find something. We own a third in a centre where two thirds are private actors. It is not that the Stortinget, although the Stortinget should get new good or bad ideas, will be able to implement them when we are in the position we are. But I would assume that the state that owns and as an IT authority will have similar interests with the private interests out there. As I said, I will not go up the history of this matter. I just want to say that I am prepared to do such an investigation. Without exaggerating, I feel that the competence of the Council of State itself is not insignificant in this particular matter.
ParlaMint-NO_2003-06-04.ana.ud1647e1396	It's going to be line change.
ParlaMint-NO_2003-06-04.ana.ud1647e1399	It was of particular interest to the last Council of State now, that if, after such a review of the status, the Government would need to take an initiative to adjust the price, there is little or no way to do so, since there are private interests with a two-thirds majority in Fornebu, which, except for sales and some other things, determine the development. But the Right-Man Ansgar Gabrielsen should be satisfied with the fact that business itself is managed out there. These are our leading job creators – not just peace. Olsen, but Wilhelmsen, Selvaag and all those who have proved their own excellence. I just want to confirm that the Government and the Council of State are standing by their promise and respect the decisions taken, and that this must be the basis for the further development of Fornebu.
ParlaMint-NO_2003-06-04.ana.ud1647e1406	As I said, the state owns approx. One-third. That means there's other ones that have two thirds. That means that, in isolation, the state cannot do exactly what it wants. What I also said is that it must be assumed that the state and the private owners will have very much similar interests, so that if it should appear things that should obviously be adjusted, I would assume it also applies to the other investors. It's quite right, as Hedstrom said, that the other co-investors out there aren't exactly representatives of those who have just assumed BI. They're heavyweights in the Norwegian industry. I have great confidence in the other co-investors. That is not what this matter has in any way been about. As regards respect for the decisions that have been taken, we also have an agreement with the Progress Party on this matter, which we naturally stand by. I have no plans to promote any proposals that are in conflict with the majority of people who have decided on this matter.
ParlaMint-NO_2003-06-04.ana.ud1647e1415	After the post and line-up with the representative Ivar Kristiansen, I want to state that we are very pleased with what the Council of State has said here, both about how such a status report should be and about what should be behind. I just wanted to say that.
ParlaMint-NO_2003-06-04.ana.ud1647e1422	That was enough, President!
ParlaMint-NO_2003-06-04.ana.ud1647e1427	The councils are so pleased that he's over.
ParlaMint-NO_2003-06-04.ana.ud1647e1430	I have a question for the Council of State regarding the possibility of adjusting the price. I am fully aware that the state has only one third of its ownership. But how does the Council of State assess the possibilities if he sees that there is a need to take significant action in order to make better use of the funds that have been invested? Is it an impossibility, or can the Council of State engage in dialogue with its people and ensure that it becomes a reality? Is there an impossibility, or is there a realistic opportunity to change the course if you see that you are tracking it?
ParlaMint-NO_2003-06-04.ana.ud1647e1437	Of course, if you see that you are on the wrong course, you adjust the course to the extent that you can and can influence it, etc. But it's clear that there are some constraints that are formally related to this. We can't do that one-sidedly by the state. But as I said, all logic suggests that you have a parallel interest. I guess the private investors have even more interest in it, those who have actually invested their own money out there, while SIVA uses the taxpayers' money. I would assume that those who have used their sour earned money will agree with us. The ownership is not directly managed by the Minister of Industry, but the Stortinget decided, as far as I remember from that time, across the then Minister of Industry from the Workers' Party, that SIVA should manage ownership. It can also be assessed whether it is appropriate over time for such a large investment, but the possibility of adjustments is, of course, present.
ParlaMint-NO_2003-06-04.ana.ud1647e1444	Of course, the founders and industrialists who pay almost $1 billion of their own money at Fornebu don't do that for fun. They have been harassed, adopted attitudes they have not, and also ridiculed through the media, and politicians have speculated about this. They have not asked for any status review, and I need to get this clarified by the Council of State: what is the logic of getting such a status report – when the private owners do not believe it or have asked for it and the authorities do not have the opportunity to influence the majority of Fornebu, who has a long-term business economic thinking with their investments? I would like to have a clear answer to that.
ParlaMint-NO_2003-06-04.ana.ud1647e1449	That was a very strange question. I assume that, like the undersigned, Hedstrom does not have an overview of what status reports the other investors have made for their own investments. I assume that the investment departments of the companies they represent are continuously conducting such analyses and sending signals to them on the board. The difference is that this owner, the state, takes this into a full-scale storeroom. It is quite obvious that these billionaires are continuously considering all their investments to go out and in. That's why people have reported that they're going in and out. I have not been in contact with any of the private investors, so of course I have no idea what assessments they have made. I know them correctly, they have assessed this almost continuously and continuously on the possibilities of leaving if the possibility has been there to take the values. If they haven't, they've analyzed it so that they see a potential in the future, and that the values have fallen so considerably that going out would be an even greater loss.
ParlaMint-NO_2003-06-04.ana.ud1647e1458	Let me first say to the Council of State that I fully share his assessment of Mr. Hedstrom's confusion in this case, as if it were private investors who decided how the State wants to manage its own portfolio and ownership. The private manages their own way, and then, of course, the Storting and the Government have to manage the investments we've made. But it is precisely this connection that Hedstrom here expresses, that shows how little he has understood of this sadness of a matter that IT Fornebu actually is. History's judgment on this is going to be merciless, but we're not going to take that today. My question to the Council of State is: if it turns out, through this status report, that through the involvement of the State, the organisation that has been carried out by IT Fornebu, one does not reach the goals set by the Stortinget – how does the Council of State see that we should proceed with this? Does that mean that he sees to it that we are going to liquidate ownership? Are we going to use the state's position to figure out something else in these premises on this attractive property? How does the Council of State view the future if it turns out that this is the sadness it actually seems to be today?
ParlaMint-NO_2003-06-04.ana.ud1647e1466	It's a relatively complicated question Djupedal raises, in the sense that when you're measuring whether you've achieved the goals you've set, you have to interpret the goals that the majority of the population, that I and my party were not part of, at the time. But the majority of the population had a very long time horizon, and it has been repeated in this debate that it has to be seen in a 15-year perspective. I guess as we approach the exit of it, you probably don't add a zero at least. But if you haven't achieved the targets, you probably have an explanation that in the meantime there have been some dotcom speakers that make you have to add a few years. I'm basing on what the majority of people have done in this case, and I'm basing a reasonable interpretation of what the Biggest has done, which is the Biggest's goal of setting up out there. Deviations from these objectives would be natural to report to the Stortinget on in this report, and the Stortinget itself will eventually decide whether to adjust the price.
ParlaMint-NO_2003-06-04.ana.ud1647e1473	The cord shift is over. Several have not asked for the floor on case No. 5th@item: inlistbox [[See page 3073]]
ParlaMint-NO_2003-06-04.ana.ud1647e1491	My article on this matter will be very short. An overall committee indicates that the government is working on its own broadband charging message and that it is therefore natural that Document No. 8:113 for 2001-2002 by the representatives of Arnstad and Enoxen shall be annexed to the minutes. In its few comments, the Committee has formulated a little on what we think the notification should be about. The fact that there are few comments is not the same as the fact that there are no political expectations or opinions related to the broadband message. These will be returned when the message is available. The Committee has spent some time on this Document No. The 8th proposal. We have done so because the Committee needs to address the issue of broadband in Norway, but we have also visited Sweden and heard what they have done in this area. We meet the message with hopes that broadband development will get a boost in this, not least in relation to the districts.
ParlaMint-NO_2003-06-04.ana.ud1647e1504	Quite briefly, from SV's point of view, we would like to clarify two things that it is important to come back to when you are presented to Stortinget again. One is using existing networks, of which we know there is a lot, and which are parallel. The second is that you're actually busy reaching the whole country with broadband. We know today that it's easy to build out where there's a lot of people living, very demanding where there's little people, because there's no market, so it's hard to get to commercial expansion there. We from SV expect that when you come back with a case, you have a complete case covering the whole country from Nordkapp to Lindesnes.
ParlaMint-NO_2003-06-04.ana.ud1647e1509	No less than three governments have worked with their e-plans and their plans for broadband expansion. Despite the fact that there has been such a great commitment from these governments to planning, we see that we are terribly far from achieving the objectives set in various contexts for the development of the use of electronic infrastructure, and not least the development of electronic infrastructure. The Committee, as the rapporteur also said, has spent a very long time on this matter, and has, among other things, visited Sweden, Stockholm, to study the principles of broadband development in Sweden. I think it is imperative that we now be able to think again and get away from thinking that the market is supposed to solve all the challenges we face in terms of expanding this infrastructure across the country, and not least to have a pricing of the use of these services that enable businesses and users across the country to benefit from the opportunities offered by new technology, within the same cost framework. It's a shame that we, who are a nation of great distances and with great possibilities, have not managed to prioritize this higher and have failed to get any further. We see that in the period where there are now significant numbers of kilometres of broadband, in some parts of the country there is an over-coverage, a coverage that makes economic problems for the operators operating in this market. It is simply not possible to use its infrastructure. At the same time, large parts of the country lack broadband access and lack of reasonable prices to make use of what is here. I therefore hope that it will not take very long now for this big message to be available, and, as Mr Ryan said in his speech, that this big message also has a number of concrete proposals on how to move forward, both in terms of public participation in development – not only in demanding for services but also in participating in development – to look at the use of capacity in the networks that are already being developed, and not least to look at instruments to ensure that we have a pricing system that enables all parts of the country to put this technology into use. So just in the end: we will come back to this debate wider in the next round, and I am glad that there is a unanimous committee that has agreed to have such a case presented. I just want to challenge the Council of State to say a few words about how far he has come to work on this big message, and when the Storting can expect to get it presented.
ParlaMint-NO_2003-06-04.ana.ud1647e1525	There was a specific question about when this message came. I think I'll refer to Scripture and say that day and hour knows no one. But I assume that either immediately before or immediately after the Stortinget meets on the ‘first Saturday in October’, this big message will be available.
ParlaMint-NO_2003-06-04.ana.ud1647e1530	Several have not asked for the floor on case No. 6th@item: inlistbox [[See page 3074]]
ParlaMint-NO_2003-06-04.ana.ud1647e1543	We then go to voting on the matter on today's map. There is no voting theme in case No. 1st@item: inlistbox
ParlaMint-NO_2003-06-04.ana.ud1647e1550	During the debate, Mr Sandberg put forward two proposals on behalf of the Progress Party. Proposal No. 1 sounds: ‘The Government asks the Government to ensure that asylum seekers travelling abroad or disappear while the application is being processed are automatically refused their asylum application.’ Proposal No. 2 sounds: ‘The Government asks the Government to impose travel restrictions on foreign passports and travel certificates for refugees, so that they are not applicable to travel to the foreigner’s home country or geographically neighbouring country, except on application in situations where there are concrete plans for repatriation.’;» These proposals will be replaced by the Committee's voting.
ParlaMint-NO_2003-06-04.ana.ud1647e1596	During the debate, Mr Hedstrøm has put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘The Government asks the Government to investigate the possibility of transferring the State’s ownership interest in DnB NOR to the Swedish Social Security Fund, Argentum Fund investment or to a new State-controlled fund.’
ParlaMint-NO_2003-06-04.ana.ud1647e1638	During the debate, Mr Hedstrøm has tabled two proposals on behalf of the Labour Party and the Progress Party. Proposal No. 1 sounds: ‘The Government asks the Government to carry out an investigation covering the following points: a) Assessing the experience of knowledge centres as an instrument for creating synergies based on the interaction between research, education and business.b) Analysis of experience from knowledge centres designed from scratch through cooperation between the State and private [[Oulo, Sophia Antipolis, Montpellier]] Proposal No. 2 sounds: ‘Document No. 8:64 [[2002-2003]]
ParlaMint-NO_2003-06-04.ana.ud1647e1667	First of all, there is a vote on proposal No. 1 from the Workers' Party and the Advance Party. Alternatively, the vote will be taken between the vote and proposal No. 2. from the Workers' Party and the Advance Party.
ParlaMint-NO_2003-06-04.ana.ud1647e1708	There is no record.
