ParlaMint-BE_2020-05-15-55-commissie-ic178x.u1	Question No 55002656C by Mrs Vanessa Matz is postponed.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u115	Mrs. Slegers, your perseverance graces you. You've been in our image for a long time. Within the Task Force on Vulnerable Groups, several proposals are being examined to support the most vulnerable groups in our society who are economically and socially affected by this health crisis. In this time of crisis, therefore, we must take measures to prevent poverty from rising all at once. Hence the wide safety net that we have been working on with temporary unemployment and the right to bridge. However, we see that several vulnerable groups find their way to the OCMWs. This is partly explained by the fact that a number of people are experiencing a income shock while their fixed costs are at a higher level, adapted to their standard of living. With the three federations of the OCMW's, the VVSG, the federation of OCMW's, l'Union des Villes et Communes de Wallonie and the federation of Brussels OCMW's, we investigate which profiles these new groups have. To solve the punctual problems of these new groups knocking on the OCMW's, an individual approach is best. The OMCWs look at the specific situation after a social investigation. For this reason, last weekend, the government decided on an initial additional subsidy of EUR 15 million. The survey with the OCMW shows, in addition to an increase in new clients, that debt problems will occur in the longer term as a result of more late invoices and the fact that people often first resort to their own reserves. The legislative proposal that I tabled concerning the postponement to 3 months of payment of consumer credits for families with income losses due to the corona crisis was therefore adopted in the Chamber last week. In addition, we continue to focus on food aid. For example, more than EUR 3 million was made available to ensure the continuity of food aid and hygiene products for the most vulnerable groups. The federal government has also allocated a budget of EUR 276 000 to food aid organisations and storage and distribution centres. Homeless people are also accompanied during this crisis period. 652,000 euros were released to extend the federal winter shelter in the Trierstraat by 2 months. This should also ensure that homeless people can continue to enjoy shelter as many other organisations close down. In the center in the Trierstraat 250 homeless people are taken care of. In this second-line federal shelter, the persons are tested on the spot, after which the infected persons are referred to separate centres, where one can stay in quarantine for 14 days. The cities of Ghent, Antwerp, Liège and Charleroi also received a grant of 200,000 euros. This should allow them to open places where sick homeless people can be housed in a safe and isolated way. The federal government plays a supporting role in the care, housing and social support. In particular, it is the regional and local authorities who take this issue further to heart.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u116	Madam Minister, the OCMWs are indeed saying that in April, for example, the aid questions have already risen by 20%, and that is just the tip of the iceberg. We note that the longer the duration of temporary unemployment, the more difficult it becomes for many families to make ends meet. You said that a lot of resources have already been made available, including for the OMCWs. I would like to thank you and your colleagues very much for that. You are a minister for the fight against poverty with a listening ear and know what lives among the people and organisations. I am confident that, if there are any proposals from the task force or the VVSG in the future, you will also take them to heart.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u117	Madam President, Minister, this week, the testimony of a young pro tempore has been "buzz" on social networks. He worked as a shopkeeper for the Aveve chain. This young temporary worker was dismissed a week before being entitled to his CDI. He explains to us, in a very concrete way, the working conditions which he has experienced. He explains to us, for example, that he worked with an audio headphone in which a voice told him what to do: "Go get the Eurolette, go to aisle 31, fill the palette with X boxes of flour, etc." Every time he realized what he was asked to do, he had to say "ok" in that helmet. A job, actually, robotized, except it's not a robot that works, it's a human being. With this work organisation, the employer only increases the pressure. His boss was even up to the abuse of telling all workers that the one who would be too ill would be dismissed, in the middle of a period of coronavirus. Unfortunately, we have received a lot of testimony from temporary workers. This confirms what we have been saying for years. In the top 100 companies with more than 250 workers, there are the largest number of temporary workers. A fifth of the staff have an interim contract. In ten of these enterprises, more than half of the workers are under this contract of employment. Minister, how are you going to fight these interim contracts? In this period of coronavirus, many workers find themselves laid off while they are not yet entitled to their unemployment. Are you considering making the conditions for this category of workers more flexible?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u118	Madam President, Ms Moscufo, during the period from February 1 to June 30, 2020, there are no eligibility conditions for temporary unemployment benefits. The days of temporary unemployment of this period are also assimilated when calculating the number of working days required to be admitted to full unemployment. I can also inform you that the Labour Inspectorate Control of social laws takes the fight against abuse of temporary work very seriously. Each social inspector is required to carry out a number of checks each year in temporary work undertakings on the basis of findings made by a user. In this context, control mainly relates to remuneration and the reason for acting work. Special attention is also given to large users. Inspectors examine, among other things, whether the number of consecutive daily contracts is proportional to the need for flexibility that the employer must demonstrate. Collective labour agreements Nos. 108 and 108/2 are the guiding principles for this task. The Directorate-General for Social Law Supervision within the Labour Inspectorate is endeavouring to increase the number of open-ended contracts and to reduce as much as possible the number of day-to-day contracts. The National Directorate of Labour Inspectorate is responsible for monitoring the functioning of works councils. Whenever its inspectors visit a company, the use of temporary work and information to the works council, under collective agreement No. 9, are systematically discussed with the employer and the secretary of the works council. Between 1 September 2019 and 31 January 2020, 500 companies were inspected in this regard. It appeared that 20% of them did not give any or too little information about temporary work to the works council. Mention should also be made of the provincial branches of the Labour Inspectorate. These inspectors mainly control foreign companies working in Belgium with temporary staff. Particular attention is also paid to possible abuses concerning illegal detachment or abuses by foreign temporary agencies. If you wish, I can provide you with the figures of temporary work checks by the Labour Inspectorate in recent years. I have a painting that I can pass on to you.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u119	Thank you, minister, for sending me those figures that interest me. I hope you don't consider that there are no more abuses. You didn't say that in your answer, and I hope that's not what you think. Every night we applaud the workers who run the country. You will understand that most are really under pressure for greater flexibility. The possibility of calling backup interims only increases this pressure. We believe that there is a need for a much greater legal limitation on the number of consecutive daily contracts. It is necessary to remove the reason for insertion which, for us, is a system which derogates from the question of the trial period. It's actually a disguised trial period. We support the introduction of a maximum percentage of temporary workers in companies. We understand that information is passed on to works councils but the feedback we have from some trade union delegations is not in line with your information. Important work still needs to be done in relation to this information to ensure that works councils really do what is necessary. I would be interested to have your control figures because they still need to be accentuated. The sanctions could potentially be much heavier than they currently are.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u120	Minister, we have already discussed the importance of workplace well-being inspection. We would like to obtain the most recent figures of the number of complaints received by the occupational welfare inspection regarding violations of measures taken in the context of the fight against coronavirus. Can you also give us the number of checks carried out in companies and the number of infringements found? To what extent are sanctions monitored?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u121	Mrs Moscufo, I have the answer here in Dutch, because you first sent the question to my office in Dutch and then in French. The 150 issues we had to deal with in two weeks were a lot of work. I don't have the translation. But I have the numbers. There were 1,523 complaints of which 994 were warnings and 105 were deadlines. There were 10 minutes and 48 companies were closed. I'll send you all the numbers. We will translate the answer and send it to you. I apologize.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u122	You really don't have to apologize for that. We'll wait for the numbers you send us. I have not understood exactly when they apply.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u123	The period runs from 23 March to 11 May.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u124	Thank you. I will say one more word about the CPPTs, which should play a crucial role in this area. As I know this is not always the case, I will ask you again about it. Social consultation must be respected. When things go well, we don't need inspections. This is all the more important because, if deconfining measures are not respected in companies, we risk returning to a stricter containment - even if this is not our wish.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u125	Madam Minister, you may have seen or heard it, in France, the Inserm has launched a study to determine the typical profile of the person with coronavirus. There are already signs that more than 40% of serious cases come from disadvantaged backgrounds. One of the most serious assumptions of the study currently being conducted by Inserm concerns living conditions (for example, being with several people in a small apartment) but also the working environment. Being in a telework situation is much less likely than going out of your home to work as a caregiver, police officer, delivery officer or supermarket employee. These front-line workers are all the more vulnerable as at the time of confinement, many had to travel by public transport. Minister, is such a study under way in Belgium? Otherwise, do you intend to sponsor such a study? If so, have you ever been able to learn about it and see if there is such a clear link between precariousness and the risk of catching the coronavirus? Is there also a link between working arrangements (telework or face-to-face work) and the risk of catching coronavirus? Finally, should such a link be established, would you consider more special and important attention for the sick and insecure?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u126	World Health Organization studies confirm that relatively everywhere, more poor people are affected by coronavirus. The same studies also show that the difference is lowest in countries where basic health care is accessible. The fact that some groups are more affected than others also depends on other factors such as housing, age or other conditions. Significant statistical links are not always direct causal links. For some groups, medical risk factors are more frequent than for others. The risk of poverty is higher in many countries for older persons than for the general population. This is not the case in Belgium. The poverty factor appears to be only a risk factor, while the real risk factor is not poverty but age. In short, care must be taken not to draw too hasty conclusions. It seems obvious to me that it would be better for such a study to be initiated by federal and regional health ministers as it all begins with medical risk factors and data about them are also in health care. Of course, these are sensitive data, which means that a study can only be initiated if privacy guarantees are included. In addition, it is likely to be necessary to see how such a study can be part of the research strategy of known knowledge centres, such as the Federal Centre for Health Care Expertise (KCE). I am, of course, willing to collaborate in this study on the basis of my expertise. When we get the results, we will have to decide what we want to do with them. While the conclusion is that sufficiently accessible health care is important, let us not forget that high access to preventive and curative health care has been the ambition of successive federal and regional governments. I would like to point out that the social consequences of the current situation are closely monitored by the Vulnerable Groups Task Force, ECOSOC and the VOCID-19 Social Impact Working Group. Particular attention is always paid to groups that are particularly vulnerable during this health crisis because of their labour market position, family situation or socio-economic context.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u127	Madam Minister, thank you. The impact of insecurity should not be overlooked. We agree on the presence of multifactorial elements. However, the bullet should not be returned to the Minister of Health. As you said, if such a study existed, you could join it. It is also important to ensure the impact on front-line workers, many of whom are being talked about and who were the first to be affected. They will probably be for many months to come. We will therefore have to work on this public, to avoid it being - again - the first to pay for this crisis.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u128	Madam President, Mrs Leroy, on May 14, Royal Decree No. 23 was published in the Belgian Moniteur. It aims to introduce a corona parental leave from 1 May to 30 June 2020. This leave is based on traditional parental leave and offers workers, who have been on duty for at least one month, the opportunity to reduce their working time, with the agreement of their employer during the outbreak of VOCID-19 in order to care for their child or a child placed up to the child's 12th birthday. For children with disabilities, the age limit does not apply in most cases. Like traditional parental leave, corona parental leave can take the form of a reduction of half-time or a fifth-time of the normal number of hours of full-time employment. Taking one-fifth of the full-time parental leave will result in a reduction of one-fifth of the full-time pension, as is the case for traditional parental leave. The condition that the portion of a fifth part of the full-time plan always implies that it is not possible to simultaneously take two career reductions of a fifth in order to achieve a career reduction of two fifths. This condition applies in each of the two systems. The regulations on coronavirus parental leave do offer the possibility under certain conditions, and with the agreement of the employer, to suspend a traditional parental leave of a fifth in progress with a view to taking a half-time coronavirus parental leave. At the end of this period, the first will continue automatically until the end date originally requested, unless it has been reached during the parental leave coronavirus. Finally, the same possibility was taken up in Order No. 23 for workers completing a time loan or a career break. They may also suspend them temporarily under certain conditions, with the agreement of the employer, with a view to taking a coronavirus parental leave. At the end of the period, the suspended time credit will continue automatically until the end date originally requested, unless it has been reached during the parental leave coronavirus. In this case, the balance also remains available to the worker.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u129	Minister, that was the first question, on cumulation. This means that if they use it for a month, the standard leave will not be extended by an additional month. He's interrupted.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u130	He's suspended. After the coronavirus, we can take the other remaining period.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u131	The remaining period, but not another month?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u132	Yes.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u133	All right. It's delayed.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u134	You have an eight-month period.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u135	It's supposed to end in June.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u136	You start on February 1st. On May 1st, you leave in Corona for two months. That means you've already taken it from February to May. Starting in July, you will continue your eight-month period in the other system.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u137	All right. These are sensitive and sensitive information for parents. We don't want to give them information that would give them false hopes.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u138	I get a lot of questions. People who work at a fifth and have the current system say they can also go to the corona system, because the premium is higher than in the normal system. After that, they can continue in the system a fifth.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u139	Minister, this week in the Social Affairs Committee, we have examined the bill to remove the notice period for dismissals made before and during the period of temporary suspension of the performance of the contract due to force majeure related to the VOCID-19. After the government has rightly introduced economic unemployment, the situation has arisen where companies can put their dismissed workers out of work while their notice period is still in progress. Consequently, it is the social security which pays the severance pay instead of the employer. There was much discussion on how to fill this gap. We are pleased to have been able to make some significant progress on this subject. In the meantime, this new regulation is on the table with three categories: those whose resignation took effect before 1 March; those whose resignation took effect before 1 March and ended before 5 May; and those whose resignation took effect after 1 March and continues after 5 May. These three categories have different treatments. Why did you not immediately provide for better regulation of the notice period and severance pay when introducing these new unemployment rules? What are you going to do for the most disadvantaged of the three categories, namely those whose dismissal took effect before 1 March and ended before 5 May? Thank you.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u140	In the present state of the law, it is indeed provided that the period of notice notified by the employer shall not cease to run when the performance of the contract is suspended on grounds of temporary force majeure. In the past, there was no need, since force majeure was rarely mentioned as a cause of suspension. For example, it was a force majeure due to fire or damage caused by a storm. As a result of the VOCID-19 pandemic, the temporary force majeure suspension is massively used, we have planned to provide by order of special powers that in the event of notice given by the employer before or during the force majeure suspension, the notice period would cease to run during this suspension. This measure has also been announced in Parliament. However, we then found that this measure was also included in a bill that was dealt with in this committee. Of course, I respect the right of parliamentarians to deal with this issue in the context of a bill.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u141	Madam Minister, thank you for the additional information. Irrespective of all this, there is a category of these workers who not only end up with 70% of their wages, but also lose their jobs. I understand that the case of force majeure was very occasional at the time, but as a minister, you are responsible for this reality today, for not having been able to solve this problem. In the discussion we had in committee, we had just made an amendment to remedy this inequality of treatment for this third category and, therefore, we regret it.
