ParlaMint-NO_2009-06-08.ana.ud2315e98	The representative Karin S. Woldseth, who has been licensed, has again taken the seat.
ParlaMint-NO_2009-06-08.ana.ud2315e3506	The representative of Dagrun Eriksen has taken up the proposal she referred to.
ParlaMint-NO_2009-06-08.ana.ud2315e3509	I just took the word to reflect on two relationships. The rapporteur said that proposal No. 1 was ‘like opening doors’. Yes, it would have been very pleasant if it had been so simple. We could have solved what we're facing by taking a decision here in this room, but we can't. Everyone on this platform knows that this is something that needs to be done over and over again. I think a lot of people have been at the heart of it -- making demands on school management and teachers, making demands on parents, and making demands on an environment. What I see happening tonight is that the whole Stortinget is also in this area, as in other areas, like for example. in the fight against violence in close relationships, stand together and hold up pressure. The second is that over the years, I have often fought too many representatives. But I have gradually begun to doubt the Ombudsman, for it has begun to become a way of removing responsibility from those who are to be responsible. School owners are responsible, and I'm actually worried that we have so little debate about the content of the school – I know that we have a case later this evening that will do something about it. It worries me. Clearly, if we had had a lively debate on the content of the school on the agenda of local government, there is no doubt that there would be pressure on both the school's professional content and the topic we have in common here tonight, because we are all concerned about it. For my part, I have more faith in that method. If there's something in addition, it's going to be using the student representatives that we have. We have it in all the counties, except four, as we have written in a joint comment from the Right and the Left. That's the approximation. But having a lively debate about the contents of the school would help keep the pressure up. I perceive that we will later come back to proposals that are just doing something about that.
ParlaMint-NO_2009-06-08.ana.ud2315e3521	Let me just add a couple of comments first, and that only applies to the number discussion. It's often the case that most of us might be selective about what numbers you're presenting. There are various studies where one attempt to measure the extent of bullying and one that has been referred to here several times is an investigation by the Behavioral Research Centre in 2008 and as a comparison to a corresponding study in 2004. She showed a clear rise in bullying. The size has itself confirmed the implementation of a quality development system within the school. Part of it is a student survey, where students answer questions, among other things. a fairly comprehensive survey on the development of bullying, where we have comparable figures on a range of sizes from 2005 and annually up to the last figures that came just a short time ago. There are rather small developments. It has been mentioned here that it has been a tiny drop in the last year. What has not been mentioned is that when we look at numbers, it turns out that there is a slight decrease in bullying from 2005 to 2008, and that we are now somewhat below it. But then I have to add that the changes every year are pretty small. There's no reason to be happy with the numbers. But that's the actual image when we measure it in the annual, most comprehensive and systematic way that we ourselves have agreed to be the basis for the discussion locally and nationally through the quality development system. So, I believe, like the representative of Eriksen and others here, that it was very important that the then Prime Minister Bondevik – and the King, for the sake of the cause, the same year – took the initiative to get a major social debate and to fight bullying. I think it actually played a big role in putting that question on the agenda, and it meant a lot to a lot of people. I'm also of the opinion that it was absolutely right that a zero vision was launched. Some questions like that are difficult to ask other than as a vision, that one should get rid of it, whether it is a matter of abolishing poverty or of having a zero vision of bullying. Then one has to live with that it gives many hours to one when the goal, where one can't say one has come completely to the goal. Finally, let me say that I think the debate on the individual proposals themselves has highlighted them in a clear way. But I notice that a Joint Committee is asking the Government to draw up proposals on how best to implement an anti- bullying programme or an action plan against bullying in all schools. And of course we'll follow that up. I take it as an important signal that all of the tools we know research has the greatest effect and means the most, and is also important for a mass accumulation.
ParlaMint-NO_2009-06-08.ana.ud2315e3536	Several have not asked for the floor on case No. 10th@item: inlistbox [[See page 3426]]
ParlaMint-NO_2009-06-08.ana.ud2315e3553	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2009-06-08.ana.ud2315e3562	The Committee's consideration of the proposal for a new funding model for basic Norwegian education shows that, with the exception of the proposers, there is a broad breakdown of the funding model we have for the school today. The proposals are therefore not accepted, but the proposals have created both commitment and debate in the course of the debate. The Committee agrees that there has been a significant awareness of local school ownership since the promise of the knowledge. The school is one of the main tasks of the municipalities, and the responsibility it entails must be clarified. In the Right, however, we believe that there has been too little pressure from the Government, and that the responsibility of the municipalities has not been clearly communicated enough. Unfortunately, we did not get the majority with us here. The Committee also agrees that there is a high level of resource use in Norwegian schools and that a clear division of roles between supervision and operation is important. The Committee stresses the responsibility of the county to follow up the compliance of the municipalities as school owners with Norwegian law. Then most of the consensus is summed up in this treatment. A single committee, with the exception of the proposers, rejects a direct unit price financing from the State as a solution to the challenges in Norwegian school. The majority do not consider a single price financing to take account of the differences in «geography and socio-economic background variables» as somewhat simpler or better than the current framework transmission system. One will meet the same challenges in finding the right allocation key as in today's system, and it will, in the majority's view, lead to municipalities no longer having a role in making school priorities. There are many challenges related to today's model. The local economy and wide variation in the activity of municipalities as school owners are some of them. However, the majority believe that it is the active municipalities that provide us with the good examples in today's School-Norway, and that the challenge is to ensure better exchange and transfer of good experience between municipalities. Then I think I've also summed up the main points the broad majority of the committee agrees on, and I'll use the rest of the post to explain to the Right Opinions. We believe, as has already been said, that the responsibilities and duties of the municipalities as school owners are too poorly communicated to the municipalities. This is a crucial prerequisite for the success of the Knowledge Lift. We have repeatedly highlighted the importance of transparency on outcomes, good analyses of local school challenges based on national tests and an active, local debate based on these analyses as being central to raising School-Norway to an international top level. It was one of the speakers in the previous case who also stressed the importance of a local debate for that issue as well. That's where we want it, but what the government has focused on is to oblige the municipalities to use their funds for fruit, and they now promise even more focus on cold food and free SFO. Competition is something today's government doesn't see the importance of general, and that's very much true in school. The Private School Act has effectively stopped the creation of good alternatives. We want to return to a law of free school, where alternatives other than religious and pedagogical alternatives can also be established as long as they meet certain quality requirements. We see that there are significant challenges in getting ahead and targeting competition against the right competitive factors in school. But a strong public school – which we all want – will be served with some good alternatives by its side. A real opportunity to choose from other schools for pupils and parents who, for different reasons, wish to do so in front of the secondary school also at primary level requires that they have some guidelines and a conscious perception of what the price per person is. student is. However, we believe that these are the exceptions and that it is the local school ownership and its priorities that need to be strengthened. We reject the claims of the government parties on improved municipal economy. Here you run a blackmail game, with local democracy as the losing party. Rather, we see that the municipalities have been given a number of new legal orders without the resources being included. There have been strong allegations from the proposers that the control role of the county council is both random and driven by media redundancy. We believe that it is important to look at this. It is important to have a control function that effectively follows the exercise of school ownership by municipalities against their responsibilities under the Training Act. I am therefore addressing what the opposition proposal is all about.
ParlaMint-NO_2009-06-08.ana.ud2315e3581	The representative of Gunnar Gundersen has taken up the proposal he referred to.
ParlaMint-NO_2009-06-08.ana.ud2315e3584	During this period of ageing, we have witnessed a clarification of the political differences in school policy. The party of progress, the Right and the Left have been largely united in school policy, while the Christian People's Party has taken an intermediate position. This proposal for a representative is yet another example of the fact that the Progress Party is a dark blue, liberalist party, but it also shows that the Right and Left are on their way, even though they do not support the proposal on the financing of the price of initial training. Single-price financing of initial training, combined with the right of establishment for private schools, will undoubtedly result in strong centralisation and a discord. When you combine it with, for example, a strong focus on competition, the desire to divide students into groups by knowledge and grades far down in high school, we are moving away from a society with equal opportunities for all. School policy is one of the pillars of the Norwegian welfare community. For us in the Workers' Party, school policy is primarily about strengthening the opportunities of each student within the community. We recognise that there is a good deal left to achieve it, but we have taken a number of measures. The focus is on early interventions, the strengthening of counselling services, more time and resources for physical activity, the involvement of teachers in continuing training, new teacher training and more focus on school-home cooperation. In addition, much more has been allocated to municipalities and county councils, and one has also ensured a quality improvement in school construction through favourable loan schemes. We also record that during the current ageing period, there have been some more teachers and a small increase in teacher density. We in the Labour Party look forward to discussing school policy in the future, not least in the election campaign, with the right parties – i.e. Left, Right and Advance Party. We are convinced that most people agree with us that the way in which a sheep achieves the best possible learning outcomes – overall, and for each individual student – is through a school policy based on early efforts, good organisation for each and every equal opportunity within the community framework.
ParlaMint-NO_2009-06-08.ana.ud2315e3597	According to the Rules of Procedure, the posts held by this interlocutory shall be related to the matter under consideration. It was a little difficult to see how much of the post of the representative de Ruiter that was related to the matter that is actually being dealt with. I just want to briefly refer to the Ruiters characteristic of the Advance Party. I think he said ‘a dark blue, liberalist party’ – and the proposal is therefore about state funding of initial training. I think maybe the representative de Ruiter should read a little bit about ideology and ideological history before he reads off that type of tiger. The school offer is currently being financed as a framework funding for municipalities and counties. Within the framework set out in the annual budgets, municipalities shall provide the basic and important welfare services in schools and care for citizens. This scheme is based on a fundamental idea that it is the individual municipality itself that is best able to assess the organisation and quality of the offer to be made. The result of this funding mechanism is that the provision of school care and care is very diverse in the more than 430 different municipalities and 19 counties doing things their way. They give priority to what they think is most important. In addition to the basic offers, we see that many municipalities prioritise a number of other things – investments in shares, cultural houses and large, fine town halls. In today’s situation, most municipalities have to cut their school budgets. Never before has net operating performance in municipalities been worse than today. This means that the freedom that the majority believes is so important to municipalities, today it is primarily the freedom to cut more in school and in care and care. These are the largest expenditure items, and they suffer most when the municipal fund is empty. The Party considers that education is such a fundamental right that everyone should be entitled to a qualitatively good offer regardless of their place of residence. In order to achieve such a guarantee, it is essential that the financing of the offer is modified. Only by introducing a State, directly differentiated, unit price to go to the individual school via each student will a predictable school operating framework be created, based on national priorities and quality requirements. This does not mean – as the government parties believe – a massive privatisation of schools in the country, but a safe and secure financing, regardless of who owns them. The municipalities and the counties will largely remain school owners, but they will not cut school budgets when the community economy goes bad. A number of municipalities and counties have already introduced a form of price financing for schools, and experience is largely good. The point of progress makes it clear that there is a differentiated unit price that is the solution, so that a student who has, for example: dyslexia, has a higher price because more effort is needed in learning. The same applies to foreign-language students and a number of others who, for different reasons, need increased school follow-up. In this way, these students become sought after by the schools, and the schools are given automatic resources to provide the student with what they are entitled to. In today's system, schools don't get one more ear for students who need this follow-up, and the result is that students get a worse offer than they need. A proposal for unit-price financing also depends on the introduction of free school choice throughout primary education. We believe that the freedom of choice of students is a fundamental principle, and that some competition between schools is healthy. I am surprised that the Right does not support this proposal, especially since in an interpellation in this Chamber recently they indicated that students' freedom of choice is a fundamental right. It is strange that this right is only respected in interpellation debates, and not when there is a vote on concrete proposals. Perhaps this is because freedom of choice as a fundamental right does not take place until higher education, which results in some remarkable principle. It is also worth noting that the Progress Party is alone in proposing a new free establishment law for private schools, with the right to government grants. Of course, the schools must meet the necessary quality requirements, etc., but obviously no other batches will have any of them. That's too bad. On the above background, I refer to the proposal of the Advance Party in the vote.
ParlaMint-NO_2009-06-08.ana.ud2315e3625	The representative Anders Anundsen has taken up the suggestions he referred to.
ParlaMint-NO_2009-06-08.ana.ud2315e3628	In this case, the Progress Party proposes to transfer responsibility for the financing of primary school to the State, and then to create a financing system as mentioned, based on the unit price – payment per. The student and the money are transferred directly to the individual school. It is indeed a very radical proposal. The reality then is that the state takes over primary education. We have received a number of motivations for the proposal: the school will have a better economy, they will drop the municipal priority, students and teachers will have to choose freely – free movement – and it is pointed out that some other countries have introduced this, including the United States, Chile and New Zealand. Not nations developed according to the Scandinavian welfare model, but nations where the differences in school, the differences between those with a large money book and those with a small money book are significantly greater than in Norway — and there are differences between where to live in these countries. If we agree with this proposal from the Progress Party with another proposal, namely that the State should assume responsibility for the care of the elderly, then more than 50 pst have been taken. of the tasks of the municipalities and transfer them to the State. If we then add that the regionally elected level, the county councils, will also be liquidated, we are left with a formidable centralisation of a large part of the public sector and, by far, a liquidation of the regional and local government. There is no professional evidence to claim that unit price financing provides a qualitatively better welfare offer or a better quality school. What we know from the health sector is that unit-price financing leads to a significant build-up of a public bureaucracy, a control system. Here I would like to encourage the Progress Party to read various reports from the National Audit Office on the experience with the ISF. No, this is an ideologically motivated proposal. It's right-wing policy. It might be the contours of the modernized welfare state that the Progress Party has advertised if they come to power. The modernised welfare state: settlement and exit with the local government, and into the state single-price society. There's really not much modern about it.
ParlaMint-NO_2009-06-08.ana.ud2315e3639	At the end of this debate there is a view of communities and municipalities. Margaret Thatcher once said: «There is no such thing as society, morely individual and their families.» Then she cut out «the civil society», the non-communist community, which is not a municipality, which is not a state – the community that we just mentioned in the previous case, about bullying, talked about mobilizing to ensure that people do something more than the legal obligation and beyond the money that comes to you in a check or an e-mail or what it is. The only one that surprises me here is the representative de Ruiter, who always keeps the same post no matter what is said. In fact, he manages to keep it even in a case where there is evidence of a background between the Progress Party and, for example, the Progress Party. lots as Left and Right. I'm not going to comment on that any more. I recommend that the representative take a study on his own. But in this case I just want to say straight out to those who have wondered if there is any difference: there is a difference. The left is for municipalities; we are actually for stronger municipalities; we are for a comprehensive welfare reform that will also strengthen municipalities not only on the health side but also on the school side and on other sides. If someone wants to study a phenomenon that actually undermines local populace, a close-up study of the United Kingdom these days. There, the number of local populace has been cut short. They have been deprived of their duties, and finally the poor Members of Parliament are in trouble, and they must be united about everything, from the hole in the street up to the national level. In addition, when they have a hopeless pay system because everyone in that country has decided that MEPs should not have salary increases, they should only have a check to cover ‘expenses for you second home’, then you get a collapse in the whole system because you don’t believe in what is anchored locally. So it's going to be a seemingly over-simplified version that everything that's difficult has to be solved by a piece price, and the piece price is smart -- it's differentiated according to each and every individual. I wonder what kind of spiritual person – or who it might be – should sit and measure this price. It's going to be a fascinating race. It's probably going to be accompanied by a prescription, so it's legally controlled as well. No, it's that the sense that connects with a government of the people, the sense that connects with the fact that we're citizens and that we belong together, you don't have to abolish it, you don't have to undermine it. The entire Norwegian community is built up by well-being, through school thinking from the bottom up. It's not built up the other way. So for those who have cheated – and now I am asking the representative de Ruiter to follow closely, because he has asked me a lot of lines in this magnificence – I have previously referred to this point, and if he wants to have a written expression for it, he can read the representative Gundersen's glittering comments as the case rapporteur, not to talk about his sparkling good posts here today. So I allow myself the freedom on behalf of both the parties Right and Left to recommend the representative de Ruiter to read this, go home and become wise, because then he understands differences between political parties. It fell so that I felt that I had to take this all the way out here tonight.
ParlaMint-NO_2009-06-08.ana.ud2315e3654	I get it.
ParlaMint-NO_2009-06-08.ana.ud2315e3657	It was possible for me to see the difference between the Left's view and the Progress Party's view in this matter. This is a proposal that reveals many layers of very many important debates that we might have in other contexts should lead far wider. One has been commented by several, e.g. whether the school should be locally controlled or state-run in a small country such as Norway — perhaps a good debate. It's a broad multiple that he should still be locally controlled, although I'm also among those who think that we'll probably need something clearer government governance. But there's a couple of other things I want to comment on. The first is that I think we have a tendency to exaggerate the importance of funding systems when it comes to how well school we have, what students learn, and how it is there. If we look at the international research literature, it's getting pretty far down on the list of things that actually matter to the contents of the school. The second element that was taken up here, among other things. by the representative of Geir-Ketil Hansen, that was that the experience one has from other countries, in building up a management system of this type, e.g. in the health sector, it requires a very large state bureaucracy for implementation. All funding systems require an implementation capacity, but it will in reality be moving a significant part of the bureaucracy up to the state level. The last point I just wanted to mention is that significant parts of the representative proposal apply to the argument that part of the arrangements that one has put in place in the United States, and that, among other things, is linked to Bush's major school reform, 'No Child Left Behind', works well and is a source of inspiration for this proposal. The sources that are then drawn up are research from the so-called Cato Institute in Washington, D.C., a research institution that is closely linked to the previous US administration, and which was an important premiscible for the political – also an important premiscuous – I have seen through the media, for the Progress Party through visits and contacts. I took a check on the research here. We have a lot of research just on how Charter schools work, and how the effect of this reform has been in the United States. It's cracking research. In summary, however, there is no agreement in the research literature that the strong market incentives introduced have had the effect of increasing learning outcomes in the United States. In a large and broad study, known as meta-search, where one goes through a wide range of international research recently carried out, Charter Schools was very poor when 140 schools were ranked by tools. “Charter Schools” came in about a hundred places when the gallant effective agent, with almost no effect on the teaching of the elephants. If you go to slightly wider and perhaps less politically colored sources in this area, you will find that the reform, and its central features, has not led students to learn more. On the other hand, she is now strongly criticised for having a number of unfortunate incentives, particularly the combination of results and penalties in terms of withdrawing transfers of funds to schools. Now, too, the new administration is changing the course of significant parts of these very areas of school policy. So I think it makes sense that there's a wide majority that rejects this proposal.
ParlaMint-NO_2009-06-08.ana.ud2315e3673	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2009-06-08.ana.ud2315e3676	I wasn't going to take the floor, but I think the speech from the Council of State was a little strange, because it was primarily about Charter Schools in the United States, and not about the proposal that is being discussed – otherwise a trend today. There's a lot of talk about a lot that's not being treated here. If the Council of State had read the whole proposal and not just what was involved in Charter Schools and the research of the Cato Institute, the Council of State would have noticed that there is one of the very many examples in the proposal for different types of systems that can be seen when developing a new funding system for Norwegian school. Thus, it is not the case that the Progress Party has proposed introducing Charter Schools in Norway. I don't think that's going to happen either. Since both the State Council and the representative Geir-Ketil Hansen mentioned the fatal impact of the ISF scheme on health, bureaucracy, etc., it is therefore that the ISF system operates under the current government and has worked for four years under this government. It can't be so disastrous when this government doesn't have the ability to do anything about it. Then I assume that they are reasonably satisfied with the funding model in the healthcare system. Of course, the progress party would want the ISF to be higher in health services. But the system has thus maintained this government, under SV's watch in the government quarter. I'm glad. That's very good. In other words, with the danger of provoking Doorum to a new post on the ground between the Progress Party and the Left on this issue, the proposal is not, contrary to what Mr Dørum seems to believe, to abolish local democracy, or the right of citizens to engage in municipal politics – rather, on the contrary: we want to make the far more liberal, and we do not think it will be much more liberal with governments who cut the appropriations for the municipal sector, with the result that students get a far worse offer than they are required by law.
ParlaMint-NO_2009-06-08.ana.ud2315e3687	Several have not asked for the floor and the debate on substance. 11 is over. [[See page 3427]]
ParlaMint-NO_2009-06-08.ana.ud2315e3704	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2009-06-08.ana.ud2315e3713	That was a frightening order of speeches today! Let me first begin by thanking the Cooperation Committee on this matter. It is a topic of major educational policy and social policy importance that is addressed by the proposers in this document. The document sets out six concrete proposals for action to strengthen the basic skills of the adult population. Adults’ right to education to ensure basic skills was introduced in 2000, but the scheme is surprisingly little used. It is a problem both for the individual and for the big community. The ability of individuals to cope reasonably well in an information-intensive modern society is significantly weakened if one cannot, for example, do not. read and write. ==References== Today, 800,000 people in employment are out of work. 40 pst. Of these, also those who have the worst reading skills. The Committee considers that there may be a link between the lack of training over time and the high proportion of disabled people in Norway compared to other countries. Furthermore, the Committee considers that there is a high labour potential in this group, provided that adequate arrangements are put in place for the assessment of residual working capacity, and the Committee points out that education is an important tool for increasing the individual’s ability to work and to return to working life in full or in part. The Committee also noted that the Riksrevision promoted criticism of the Ministry of Knowledge in Document 3:14 for 2007-2008. The National Auditorate wrote, among other things:\t\t You can change the ‘The audit of the Court of Auditors shows that, overall, significant unsolved tasks related to adult participation in initial training remain.’ The Committee is aware that the Ministry has subsequently initiated certain measures to follow up the referrals of the Riksrevision. The Committee agrees on all the essentials of facts and the importance of future focus on actions that can strengthen the basic skills of the adult population. However, the majority of the Committee, consisting of government parties, refers to Ot.prp. 87 for 2008-2009 and to a forthcoming EEA Communication, which will assess actions in an overall context. The opposition is more impatient and, on its side, stands together for five concrete proposals. The Progress Party and the Right agree on another proposal. I assume that the representatives of the majority and the proposers themselves will supplement the content as necessary. I shall then move on to comment on the one proposal on which the Progress Party stands alone. The above-mentioned criticism from the National Audit Office also points out that one of the reasons for the lack of follow-up and control of the rights of adults to initial training is due to the funding system. Today, municipalities and counties are required to finance initial training for adults, and the Progress Party believes this in itself helps each municipality and state to avoid costs by preventing the publication of adult law. About this, the Riksrevision writes the following: ‘The study shows that there is still a debate on the financing of the tasks related to organisation, information and motivation, which are considered as key prerequisites for implementing primary school law. The study also shows that several municipalities justify a lack of primary school provision that the State has not provided additional resources.’ Of these, the Progress Party points out that the main and most effective measure to ensure a better real opportunity to exercise the right to initial training for adults is State funding of the offer. The proposal of the Progress Party is thus addressed.
ParlaMint-NO_2009-06-08.ana.ud2315e3747	The representative Anders Anundsen has taken up the proposal he referred to.
ParlaMint-NO_2009-06-08.ana.ud2315e3750	I'm pleased with the increasing focus it's on adults' learning. There is no doubt that skills needs are high among adults. It is estimated that out of 400,000 adults lack basic skills, such as being able to read and write satisfactorily. The working party also shares the concerns of the proposers for a possible link between the lack of basic skills and the relatively high proportion of disabled people in Norway. We also agree that there are major differences in the way municipalities and county councils facilitate the fulfilment of adult education rights. It's a good part that remains before you can say that this works well enough. Our government is working on these issues. The programme of basic labour skills is an important measure in this respect. Important measures are also increased support for study associations, new adult training law and a notified notification of ageing where one will consider actions for, among others. this group in an overall context. The red-green government is doing a lot in this area, but we have to admit that it will take time, and that we also depend on doing a good job locally and regionally. We see that the members of the opposition are disappointed with the Government. It wasn't exactly a bomb. In this case, the opposition probably thinks that attack is the best defense. We get that. The cut-off budget of the Bondevik government contained a strong cut for the study federations. Yeah, cut over 50 million. This meant that one third of the budget was cut in one year. The progress party would go even further and suggested an even bigger cut. Such a policy involves active death aid to the study federations – so it is not just the Progress Party that is too active death aid. Now there are some mitigating circumstances for the Christian People's Party and the Left in that, after they escaped the Right, they have not proposed cutting off the study federations, while both the Right and the Advance Party have consistently used the study federations as balancing posts in each budget of the period – with such a strong cut that it can be considered a dead-end. It is therefore strange that the same batches are so high on the path to a government that is doing something about adult education, while they themselves obviously need adult training, among other things. in the important role played by study associations in the learning of adults.
ParlaMint-NO_2009-06-08.ana.ud2315e3763	I must say that I had expected from the Labour Party representative Freddy de Ruiter, a somewhat more serious attitude to the topic we are now debating. There is a problem that affects 400,000 adults in Norway and is associated with large stigmas. Many people are struggling to seek help, even though they realize that they have a problem. It won't be easier for the representative de Ruiter to try to make a circus debate in Stortinget on a topic that is very important. If you're going to use the most dramatic criteria, there are as many as 950,000 Nordics who have weak reading and writing skills, but it's probably a far too dramatic estimate. Somewhere between 330,000 and 400,000 is probably the right thing. Many adults with the weakest skills don't really see that they have weak skills. The reason for this is simply that they are in professions — in situations — which do not require so much literacy and literacy skills, and they do not notice that they have those problems either. Therefore, they do not notice that they master worse than they should. Then we have a development in society where, in particular, reading requirements are only becoming stronger and stronger, and we are creating a society where two thirds of the population are working very well – reading and writing well, coping with changes in working life – while one third are falling outside. We also know that 45 pst. by women and 40 pst. of men who are in difficulty belong to the group with weak basic skills. When we know, as others have been involved, among other things. the rapporteur, that there is a significant proportion of the workforce currently out of the labour market, we see both there and in other ways how serious this is. The Bondevik government introduced what was then called a New Chance and has today been renamed the Basic Skills Programme in the world of work. It's a very popular program that allows people to get training at their workplaces. The problem is that there is only one of the measures. It doesn't hit those who are out of work, and we have to do it somehow. That is why the Right is promoting the proposals, and we are promoting them together with the other opposition parties. While I remember it, I would like to address the proposals where the Right is co-sponsored with others. I noticed that the representative de Ruiter is trying to say that it has happened a lot since this government took over. The reality is that, as early as the autumn of 2005, I, together with two other representatives, promoted the first proposal to introduce a system of adult skills cards. You can have your skills mapped on a skills card and fill in with skills as you go. A unanimous committee then wanted the government to come back with that matter in Stortinget. It hasn't happened. In the summer of 2007, Erna Solberg sent a letter to the then State Council, Øystein Djupedal, and State Council, Bjarne Håkon Hanssen, calling for a greater focus on this problem and a national effort. Since then, nothing has happened. Now that we are promoting this proposal, it is precisely because nothing is happening – not because the government is doing many things that are right. I would have liked the government parties in this case to contribute to recognising the seriousness and joining in on the proposals that are being promoted here. There must be a national effort, a effort that must last for more than 10 years in order for there to be some particular pressure in it – and that must be it. There is a need for a national plan in which the municipalities and those of today's county councils with special competence in this area are given some special tasks. In particular, it is important to stress that there has to be consistency between the right of training and the provision of training. Today, only four out of ten municipalities can provide adequate training for adults with poor basic skills. Much of this, of course, is because they do not have the skills to train adults. It's simply because it takes something completely different to train adults than to train children. Among other things, you have to learn a lot of error learning, and things take time. But it's also about that in many small places it'll be quite dramatic if you, for example. have to visit people in high school where your children may go to school to tell them that you have read and write problems. Everyone understands that it can be problematic. I also wanted government parties to be more clearly involved and to support the need to identify the skills of adults outside the labour market, such as adults. are unfit or otherwise outside. It would make a significant contribution to perhaps getting back into work.
ParlaMint-NO_2009-06-08.ana.ud2315e3787	The representative Ie Marie Eriksen Soreide then drew up the proposals she referred to. – On an incuria, the Council of State was advertised as the next speaker. The President will allow the representative, Dagrun Eriksen, to have the floor before the Council of State, Mr Bård Vegar Solhjell.
ParlaMint-NO_2009-06-08.ana.ud2315e3792	I thank you for that. This is a matter I had initially not intended to take the floor, but there was an incredible lack of respect from the representative de Ruiter regarding the seriousness of the matter of active death aid, and to use it as a funny illustration and an image of the lack of appropriations from the Stortings side to organisations. It is not to show respect either for the matter we are dealing with here, or for the matter that the representative de Ruiter raised in his statement. The matter we're dealing with here also has a deep gravity in it. It's a big taboo not to have basic skills in place, and in respect of those people, I think the debate has to be at a different level here in the Great Britain than what they Ruiter provided. I also want to point out in this case that through the period we have been sitting together in the committee under the red-green regime, we are now getting another group that falls through in this society, that is, all those who drop out of high school. There is also a group that we expect that the Storting must gradually take action to include them in our society in the future. The matter is very serious. I will give tribute to the Right for the way in which the proposals have been put forward. This is a group that needs to be seen. Even if the president didn't, I needed to give some retribution to the representative de Ruiter for the way he handled this in his post.
ParlaMint-NO_2009-06-08.ana.ud2315e3807	Proposal providers point to key issues and major societal challenges in the proposals that have been put forward here today. It is true that of the countries in the OECD region, Norway has the lowest number of jobs related to routine manual tasks where there is no need for significant skills, such as: competence from the continuing level. That means that when many people lack basic skills, a lot of people will have trouble being part of the world of work. We also see that this is the case, and not least that it is a significant social division. It is quite right, as the representative Eriksen Soreide said, that over half of those outside the labour market, and for example. social security or social assistance, probably lacking basic skills of different kinds. In addition, basic skills such as reading and writing are not just about participation in the labour market. But participating in society and democracy in an enlarged perspective is a skill that is important for a number of things that make one a full-fledged social participant. That is why the issues are so serious. For this reason, a number of measures have also been taken in recent years. When one goes back a few years, the dishes have been significantly strengthened. Even if these are still discussions, it's marginal in relation to what might be the big challenge, that's that the rights are going to be real. This is why the institutions, Vox and the Education Directorate, who are responsible for following up the offer, will work systematically so that they can be put into practice, and strengthen the information measures, so that more people can know what rights and opportunities they have. Providers need to be better developed and targeted at those who need it. Then it has quite rightly been mentioned from here that it will be working through study organisations and adult training, and that the programme of basic competence in the labour market is now strengthened through two rounds in the budget this year. I just want to say 4 million. The rights of basic skills in the labour market go to those outside the labour market. It is channeled through Nav to the unemployed, and one has a warning that that part should be increased in connection with the reinforcement of Nav. So it's a program that makes something broader. Finally, I would like to say that the permanent training effort for teachers that has now been introduced, also relates to the teacher’s competence attached to the training of adults, which may be relevant to the group we are now talking about. These are very important questions that have to be worked on systematically. I think it's right, as they said here, that it has to work over very many years. We need to have systematic efforts both on offer and to motivate more people to come back to strengthen their basic skills. But I would also like to say that one might have to break some of the taboo that is attached to laboring to writing and reading like the wax.
