ParlaMint-NO_2009-12-16.ana.ud811e26	The representative, Rigmor Andersen Eide, will present a proposal for a representative.
ParlaMint-NO_2009-12-16.ana.ud811e1526	I thank you for your answer. I also perceive that the tone of the Council of State was now much more in line with my opinion than what has been expressed in the media, can indicate. But what I think is that the Trondheim police have left behind as an opinion opinion, is that this should in some way be used as a scare. If you use warnings from employers because of the regulated things that the Council of State did well, it is in a way within our legal system, but going out into the media and wanting to use the gap stick as a scare – that you should alert the employer – I don't think it falls within the ordinary legal opinion of people. So I just want the Council of State to make it clear that that's not how we're going to use this code, that's not what the legislation is all about.
ParlaMint-NO_2009-12-16.ana.ud811e1533	It is obvious that there should be no general warning on the part of the employer in these cases. As I said in my answer, we have no intention of extending the legislation in this area. In fact, we believe that the homes are good enough. They're very tight, and it should be a very necessity criterion to address it. I have expressed this in response to a written question from the representative of Hofstad Helleland, Document No. 15:143. There I said the same thing as I say now. The press has referred to the answer in such a way that you should almost get the impression that this is quite right. But it's not. There are very tight, clear and clear frameworks – as I mentioned in my main response – and we have no intention of expanding them. I don't believe in that kind of solution. When there's a proposal from the police, I'm in line with the Left: people get outside and make suggestions, and then we get to debate it, as we do now. But when the boundaries are set, I don't think there's much distance between the questioner and the signed.
ParlaMint-NO_2009-12-16.ana.ud811e1540	We're getting closer to an agreement. There are, of course, criminal cases in which there is a public debate about whether you should know who you have in the neighborhood. This applies, for example: in connection with child abuse. That's why I think the playout is out of proportion when you're going to alert the employer and hang out on this case, which is not necessarily about trafficking in human beings, but about breaking a law. It can, taken out of context, break very much with people's sense of justice when we agree that we should not make the big warnings about other types of crimes that citizens have committed. So it's important that the Trondheim Police, who have done a good job in a lot of this area, do not, in their eagerness, lose their perspective on what types of assaults you're actually involved in fighting, and who it's important to fight.
ParlaMint-NO_2009-12-16.ana.ud811e1547	I fully agree with the representative's considerations about this, but at the same time I am very safe in the Trondheim police. I'm not sure if the presentation of their views gives them the greatest justice, because these are engaged policemen who want to do what they can to specifically stop human trafficking. Then it's like that for the Trondheim Police as it is for the police all over the country, that you have to follow the very strict rules we have when it comes to notifying of criminal offences. In principle, the obligation of professional secrecy applies.
ParlaMint-NO_2009-12-16.ana.ud811e1557	It's fun to right that the Right gets credit for good questions in the hall today. I hope that my question to the Minister of Oil and Energy also falls in good soil: ‘The production and consumption of energy is the main source of greenhouse gas emissions globally. What will the Council of State do before its field of expertise to reduce greenhouse gas emissions in Norway?’
ParlaMint-NO_2009-12-16.ana.ud811e1566	Yes, I had basically written with a ballpoint pen in the margin here that I think – and I should also say – that it is a big and important question the representative addresses. It was so big that it was a major factor in the climate agreement in Stortinget. It's got its own process, its own follow-up after it again, and we're from the Government's side now inside the interview around the many times earlier today mentioned Climate Change 2020. This will be presented in the course of the year as a basis for a wide-ranging debate. The big discussion about power generation and climate emissions will take place then, but I'm going to say a little bit about how I think about it now. Then we get back to some of the details and the alignment of this over New Year's. Taking environmental and climate considerations into account is an integral part of the Norwegian energy policy. As a result, we see among other things. CO2 emissions per the unit produced on the continental shelf, which is essential in terms of power generation, is among the lowest in the world. We have had a special Norwegian CO2 tax since 1991. We walked in front of that time and did something that not many other countries did then. It has also been continued even though the petroleum sector is now linked to the EU ETS. So we've gone ahead and got results from it. The approval process of the expansion and operation plan also ensures that the chosen expansion solutions comply with the overall climate requirements we set for the base. For more than 10 years, the builders have been required to perform operations based on power from land. The situation is now that the fields Worm Lange, Snow White, Gjøa, Valhalla and Troll A have power from land. The energy demand in the Goliath field, for which the Stortinget decided to expand in the spring session, will also be partially covered by land-based power from the start of production. A process has been initiated to facilitate full electrification. What makes us unable to go any further in electrification of Goliath now is simply that the supply of energy in Finnmark is demanding. We need multiple lines towards the northern part of Finnmark to be able to go for full electrification. What we've achieved through this is that today we produce approximately. one third of the gas on Norwegian base based on power from land. That's a not insignificant number. I believe that force from land is a realistic alternative to new self-developments and when major changes take place in old fields, such as urban areas. the Valhalla already mentioned. However, force from land can affect security of supply on land, and that is why we need to include it in the assessments, as I also mentioned. In the energy efficiency of the petroleum installations we have come a long way, but the aim must be to go beyond what we have done so far. I believe it is a potential to use the energy offshore more efficiently than today, and will focus heavily on it in the work on and the interview around Climate Change 2020. Then we put considerable emphasis on CO2 management. That technology shall contribute to emission reductions both nationally and internationally. It was of the things I was busy showing my American colleague when he was here at the end of last week, and looking at the possibilities that Norway and the United States can work together to get the emissions down by getting that technology available as soon as possible. Furthermore, the Government works with the establishment of a common electricity certificate market with Sweden. We have a comprehensive commitment through Enova to the renewable part of energy production and also energy saving as part of it. For the period 2006-2010, the Government has allocated approximately DKK 13 billion to renewable energy, energy efficiency improvement and carbon capture and storage. We have also tripled the appropriations for research and development in these areas. I mentioned in the introduction that climate change 2020 is the overall framework around this. That means, in conclusion, that I want to refer to the process that is going on until the Storting gets a broad and hopefully good debate on the important topic that is being addressed in the question.
ParlaMint-NO_2009-12-16.ana.ud811e1601	I thank you for the answer and for the exciting thoughts about electrifying the socket. Norway is today an energy storm power. We have great potential to supply and supply clean, renewable energy to Europe that can reduce polluting coal-fired power stations, etc. in Europe. My second question is: What strategy should Norway choose in order to be able to contribute to reducing greenhouse gas emissions in Europe?
ParlaMint-NO_2009-12-16.ana.ud811e1610	I think the most important recognition we have to make in this way is that producing more renewable energy and being able to contribute to reduced emissions in Europe requires some compromises. It requires some decisions that may also be difficult. In this way, the representative Lødemel and I have previously had some discussions about power lines and how to deal with them. I have to say that we in Norway have a need in the future to have more pressure, faster progress in terms of network deployment and network development in Norway if we are to succeed in that intention, which I share with the representative Lødemel. So I think we also have to be honest that it's going to require some difficult decisions, for which it won't always be fully understood by everyone. But it's probably a reality if you're going to get what's being asked.
ParlaMint-NO_2009-12-16.ana.ud811e1617	I am very pleased with the signal when it comes to online policy – an offensive online policy. Right, we really want an offensive web policy, both in order to develop clean renewable energy and in order to take care of the important landscapes we have, especially in the West. Today’s Business Today says: ‘Terje Riis-Johansen indicates that sea cable assessments versus air voltage will be made over Hjørundfjorden, Sykkylvsfjorden and Storfjorden.’ It is an important stretch on the new 420 kV powerline that will go between Ørskog on Sunnmøre and Fardal in Sogn and Fjordane. What does the Council of State put in this quote?
ParlaMint-NO_2009-12-16.ana.ud811e1629	I've also seen what's going on in today's business today, and I think it might be good to get this opportunity, from the pulpit, to elaborate that in the work to be done in relation to fjord crossings on that trail, it is also that we should investigate alternative air voltages. The article could seem to be talking only about cable alternatives, but that is not true. So it's important that with such a big line-up as we talk about in relation to Ørskog–Fardal, different alternatives are tested, viewed and evaluated because the consequences are usually large, as there are interventions we're talking about. But, as I said in a little general form instead: I don't think we're going to get beyond the fact that in this area, too, we're going to demand something from us, that there are some compromises that need to be made. It is not that we are able to obtain renewable energy without it appearing, without anyone thinking it would be better to choose other solutions.
ParlaMint-NO_2009-12-16.ana.ud811e1645	I would like to ask the Minister for Culture the following questions: ‘In the press release of 8 December 2009, the Council of State announced that the Government was not in favour of financial support for Norwegian-Swedish Football-EM in 2016. The decision was published the day after the quality assurance report was handed over to the Ministry, a report which, according to the Council of State, was to form part of the decision-making basis. How was this report addressed in the Government, which departments were involved, and how was this report checked against the professional objections of the NFF to the report?’
ParlaMint-NO_2009-12-16.ana.ud811e1654	Let me first point out that the decision to say no to State aid to a Norwegian-Swedish European Football Championship has been taken after an overall assessment and a thorough examination of the invitation of the Norwegian Football Federation to dialogue on state subsidies. It was handed over to the Ministry of Culture on 2 September this year. Throughout the autumn, the relevant departments and agencies have worked on issues related to Euro 2016. In addition, an external quality assurance of the football association’s treatment has been carried out. The quality assurance report is therefore one of several elements on which the Government’s decision is based. The need to establish a common organisation of the Swedish Government is another important element. The representative, Håbreck, suggests with his question that the decision to reject State aid the day after the quality assurance report was available was premature. To that I would say exactly the same thing as I said on the day I received the report, that I have been familiar with the main conclusions of a preliminary report a few weeks before the final report was available. I can also assure the representative that I have discussed this matter with my colleagues in the Government and that the entire Government is behind that resolution. It is correct, as the representative of Håbreek said, that the Football Association had objections to some parts of the report. I don't want to go into a discussion about details. But I would like to stress that the decision to say no to State aid is based on an overall assessment, where the quality assurance report is included as part of several premises. The fact that there may be disagreement on individual elements in the report does not affect the decision itself.
ParlaMint-NO_2009-12-16.ana.ud811e1669	I thank you for your answer. But I have to say that it confirms the impression that this has been a kind of game for the gallery when you receive a rather heavy and comprehensive report on a Tuesday and have the conclusion ready on Wednesday after. It is also said that this has been discussed in the Government. It is difficult to imagine that one could have had the opportunity to go through the final report in an adequate manner with the Departments and the Football Association in a short time. The question remains: how much did this Econ report cost, and does the Council of State understand that football-Norway and the Football Association can feel tricked after such a process?
ParlaMint-NO_2009-12-16.ana.ud811e1678	Quality assurancers have been in dialogue with the Football Association during their work on quality assurance. There has also been good dialogue with the Football Association and my department along the way. Specific questions about how much this quality assurance report has cost can be answered in the form of letters, but it has probably cost millions. This shows that we have done a very thorough and serious treatment of the football association. I would say that this has been a very thorough process. The ministries have made their own assessments on an independent basis. We have received the preliminary quality assurance report a few weeks in advance. We have had good contact with the Swedish government. All these elements have been the basis for the overall assessment made by the Government.
ParlaMint-NO_2009-12-16.ana.ud811e1685	A football-EM is actually the third largest sports event in the world. It is a huge mobilization from one of the large voluntary organisations in the country that is behind such an application process – and there was a great opportunity for a people's party for the whole nation. I respect that the conclusion should not necessarily be accepted after the government's treatment, for there are many issues that need to be assessed, but I think the Council's response helps to confirm that the report has not been thoroughly addressed and that no time has been taken to discuss the counter-arguments with the Football Association in the short time. I ask the question: What does the Council of State think this sends to other organisations in Sport-Norway that might want to organise sports events later?
ParlaMint-NO_2009-12-16.ana.ud811e1692	The signal we're sending to sports Norway is that when you're going to spend public resources at a big public party, we have to know that this is going to be a real people's party, and that the money we spend on public funds is spent in a sensible way. I think that not only the sport is earned, but also the Stortinget, who will manage the money in a sensible way. So it's clear that we have to go through this process and see if anything could have been done differently. It is quite right, as the representative, Håbreek, says, that the Football Federation has invested enormous resources in designing its proposal, and there has been a great deal of local involvement. There are many parts of that invitation to dialogue from the Football Association that are very good. But we had to make an overall assessment based on the relationships I've explained.
ParlaMint-NO_2009-12-16.ana.ud811e1702	I would like to ask the Minister for Agriculture and Food the following questions: ‘In Hedmark, the number of claims for compensation for sheep taken by wolves increased by a total of 300 pst. from the previous grazing season to the current. From an agricultural policy point of view, this is totally disastrous. People stop completely, or reduce the number of animals. How will the Council of State help to minimise the number of predators and other animals, so that districts are once again more attractive to live and live in as much as possible?’
ParlaMint-NO_2009-12-16.ana.ud811e1711	The level of conflict in predatory game management is too high. This is illustrated by the annual loss of predatory game of 30 000 to 40 000 sheep and 10 000 to 20 000 clean over the last 10 years. But with Soria Moria II, the government is showing what it will do both to ensure nutrient activity based on grazing in the field and to ensure the survival of the predatory wildlife populations, without the conflict becoming greater than necessary. A number of elements shall be reviewed. The government will, among other things, in 2010 the Stortinget invites to a broad agreement on new stocking targets for wolf and bear, to strengthen surveillance and stocking of predators considerably and, in particular, to improve the effectiveness of the stocking of predatory game. It is a major challenge to achieve sound predictability of grazing-based activities while at the same time achieving predatory game targets. The government has addressed the challenges of the last period and increased appropriations for prevention and conflict mitigation, from 37 million. SEK in 2006 to over 80 million. kr in 2009. It is a fact that there was a decline on a country-wide basis of 8 000 replaced sheep and a slight decrease in replaced reindeer due to robberies attacks in 2008. The Ministry is committed to reducing grazing losses for whatever reason. Through a separate grazing project, 5.5 million were allocated in 2009. kr over the agricultural agreement for projects in six counties. The grazing project is continued in 2010 with a provision of 6.5 million. kr. The aim of the project is to develop better sheep farming, with lower overall losses and better evidence of sheep production on the outback. The Ministry also contributes funds to studies on reindeer production and losses.
ParlaMint-NO_2009-12-16.ana.ud811e1720	I thank the Council of State for the answer. Not so much was said about what has been done, and it is possible that nothing has been done more by prevention. Preventive measures may be well and good, but at least in Hedmark it has seemed very bad, if it has worked at all, because there has been an increase of 300 pst. That's a lot. We have had a debate, and we still want to have it, of course, on how many farms there should be in Norway and how many there should be. Among other things, I have the figures used from 1989, when there were 96 000 farmers, to the present day, where there are 46 000. So it's going down. It's clear that when they have the predators to work with in addition, those who want to work with the buffalo, it's hard. It's clear – and I say it so strongly – that there are people who have turned off the light because of the predators. I want that to be taken up by the Council of State and to do something with it, in addition to preventive measures, because at least it does not help in Hedmark.
ParlaMint-NO_2009-12-16.ana.ud811e1727	I agree with much of the reality description presented here by the representative Bredvold. There have been major challenges in Norwegian predatory policies in recent years. We have suffered great losses, and it has been particularly damaging to the users of the pasture. There has been a conflict between building predatory wildlife populations, which we have implemented under the decision of the majority of population from 2003 to 2004, and ensuring future grazing. This is also why one of the new government platforms has addressed a number of measures that are now to be implemented. Some of them are to be dealt with in the Storting, as I mentioned, and it is on stockpiles for bears and wolves, and in addition, emphasis is placed on increasing the effectiveness of the injury trap and better compensation schemes.
ParlaMint-NO_2009-12-16.ana.ud811e1732	I would like to thank the Council of State for its complementary response. Governments and I may agree in many areas, but it may be worse to bring the whole government along. I know we're going to discuss new stock targets, but I'm probably doubting that they're going to be so much lower than the ones that are today. It's good to get faster taking out pests. It's very important, but I really don't think it's that important with compensation, because there's no farmer that works with, among other things. Buffe to get compensation. You drive because you're happy with your animals, and you obviously don't want them to be taken by predators. Then it does not help so much to get a replacement. Of course, it helps financially, but it doesn't help the desire to go on with buffing. This is often the case — whether to continue an industry, either full-time or part-time, and the use of buffing allows many farmers to manage a farm.
ParlaMint-NO_2009-12-16.ana.ud811e1739	To underline this one more time: When the government statement was written, it was signed by all three government parties, and one will of course work on that starting point in proposals for the Stortinget and in the work on. Thus, there are changes in the stock targets, as announced, and as one wants to have with the entire size of a settlement. It is of particular importance in relation to the issue of the collection of pests. I would like to stress that the emphasis has been placed on that point in the government statement, and it will be further worked on in winter. Of course, the Ministry of the Environment is responsible for this and will be able to directly address the discussions.
ParlaMint-NO_2009-12-16.ana.ud811e1756	This question has been withdrawn.
ParlaMint-NO_2009-12-16.ana.ud811e1763	I would like to ask the Minister for Agriculture and Food the following questions: ‘It was announced on 1 December 2009 that the price of beef in Norway should be reduced by NOK 2 to bring down the large stocks of meat. How many tonnes does the Council of State expect us to buy extra due to this price reduction?’
ParlaMint-NO_2009-12-16.ana.ud811e1772	It's true that Nortura has announced a price reduction of $2 per cent. kilograms for beef but a lower reduction for the first half of 2010. There has recently been a sharp decrease in the demand for beef, which means that for the first time in a very long time we can have surpluses of Norwegian cattle produced in Norway. Nortura is responsible for balancing the commodity market, on the basis of the reformed beef and veal organisation applicable from 1 July. It has no target price and access to regulatory storage is limited to 2500 tonnes. In the market organisation, price is a main instrument for balancing the commodity market. Now, the main question is not what increased demand I expect as a result of the price reduction, but what demand response has been observed in the cattle market in the event of previous price changes – in other words, what price elasticity is. It's common to expect a price elasticity for cattle of minus 0.3 to 0.5. The wholesale price was before reduction 48.88 kroner. This means that a price reduction of NOK 2 is approx. 4 pst. With a conservative estimate of elasticity of minus 0,3, the price reduction will result in an increase in consumption of approx. 1,3 pst., or approx. 1 150 tonnes, annual. This is the expectation of increased turnover at wholesale level. In order to increase consumer demand, of course, price reductions need to be continued later on.
ParlaMint-NO_2009-12-16.ana.ud811e1782	I thank the Council of State for a supplementary and a little explanatory answer. I saw this big news on text TV on NRK this day, and then I had to do something about it, of course. Personally, I have no faith that a price cut of 2 kroner per person. kilos can remove some of the stocks that we have of meat in particular. I rather believe that it is a market to control the size of stocks. The demand has a little bit to say for what to produce, and in what quantities. NOK 2 per year. kilos think I'm helping very little. In particular, those living along the border can go to Sweden, where the entrecôte price is SEK 75 per person. kilos, and in Norway we pay NOK 199. Indrefilet costs in Sweden – this is the approximate price – NOK 160, while in Norway it costs NOK 380. I don't think either the government council or I'm doing so much of the two dollars, or what it had to be -- I don't think we're buying more or less because of it. So then I just ask the Council of State: does he believe that this helps?
ParlaMint-NO_2009-12-16.ana.ud811e1789	I guess it's not a matter of whether the government has faith in it, but of whether Nortura, as a market regulator, has faith in it. I would like to stress that when a person starts from the kilo price of beef in Norway, we are not talking in this case about the consumer price of beef, which may be 300-400 kroner per. kilograms – and that there is a 2 kr reduction on that. What we're talking about is the wholesale price. The reduction of approx. 4 pst., which I explained instead, is not small. What is essential to know is that Nortura, as a market regulator, does not rule in the later stages. Nevertheless, in the calculations of price elasticity, which I explained, one presupposes an increased demand in the market, which will decrease by more than 1 150 tonnes.
ParlaMint-NO_2009-12-16.ana.ud811e1794	I thank the Council of State for the answer. Governments referred to the word market regulator. I do, as I said earlier, have more faith that the market and demand will be involved in determining how much is to be produced. It might seem that we have a measure that so many pounds and so many pounds are to be produced – whether it's eggs or meat, or whatever it is – and then you don't think so much about what the market is asking for. That's why I had that question about the market regulator. It is clear that it has a little to say when a price in Norway is NOK 380, and if one travels a few kilometers into Sweden – or maybe just a few meters – get the same type of product for NOK 160 per person. kilos. There is a price difference of 220 kroner – roughly 200 to 250 pst. For an ordinary consumer, it does not help – initially – 2 kroner. per 1 % kilos in cut.
ParlaMint-NO_2009-12-16.ana.ud811e1799	As I said, the price change that we're talking about is at the wholesale level, and it gives a different impact on demand than what the representative, Mr. Bredvold, here suggests. With regard to the role of market regulators, it is important to stress that in the principles of interoperability, the industry itself assumes responsibility for the development of production. No one other than Nortura as a market regulator has a better basis for predicting both the development of demand and, in particular, the development of production and thus ensuring a fair market balance. There has been a major under-cover in the beef and veal market for many years now. Now it's changed, both as a result of the financial crisis and an increase in output. Then, market regulators like Nortura do their job when they now implement such measures, which will provide the effect that I have previously reviewed.
ParlaMint-NO_2009-12-16.ana.ud811e1806	The President could be tempted to comment further on price elasticity in an open market, but leaves it lying, and goes with great pleasure to the next question, from the representative Svein Flätten to the same Council of State, the Minister of Agriculture and Food.
ParlaMint-NO_2009-12-16.ana.ud811e1812	It is a pleasure that the Council of State comes to Stortinget every day, so that you can discuss climate issues several days in a row. My question is this: ‘Has the Council of State overview of greenhouse gas emission reductions in Norway in its area of competence since accession in 2005 and how, where appropriate, the Council of State assesses the results achieved as a contribution to Norway’s national greenhouse gas reduction target.’;»
ParlaMint-NO_2009-12-16.ana.ud811e1821	The size treated yesterday St.meld. No 39 for 2008-2009, Climate challenges – agriculture as part of the solution. The treatment of this message was an important milestone in the work on agriculture and climate. As I said in my post yesterday, I am very pleased that the Storting in its position joins the main features of the message. Agriculture is the only sector that has carried out such a thorough review of climate responsibility and possible climate action, and I note that there is a broad gap between the knowledge-based communication and the proposals for action. A comprehensive greenhouse gas account has been established in Norway. Statistical Central Bureau, SFT, Norwegian Institute of Forests and Landscapes, with several collaborations to clarify emissions and intakes from different sources, including agriculture. This accounts and emission sources have been detailed in St.melding. No 39 for 2008-2009. The number published by the SSB in February this year shows that the agricultural loops in total rose by 2.1 pst. from 2006 to 2007, due to several livestock and a slight increase in the use of fertilisers. However, this emission source has lower emissions than e.g. in 1990. Emission figures show some of the dilemma we face, by increasing food production in the years to come, while at the same time reducing greenhouse gas emissions. This relationship has been discussed in depth in the Annual Report on Agriculture and the Climate Challenges, which includes: Please note that it is not possible to produce food without simultaneous greenhouse gas emissions. The national emission reduction targets are set in relation to 2020. I can assure you that I will do what is possible to get the necessary emission reductions in agriculture. The target, now adopted in the Stortinget, is to reduce emissions by at least 1.1 million. tonnes of CO2 equivalent by 2020. The message addressed yesterday presents measures in agriculture with the potential to achieve that goal, and I believe that this potential is realistic. Biogas is one of the agricultural measures with the highest potential for emission reductions. It's a relationship that I'll follow up on. Reduced nitrogen fertilisers, increased livestock efficiency and reduced tillage are other important measures indicated. In the last four years, the agricultural agreement has strengthened efforts to reduce emissions. The Climate Action Development Programme was established in 2007. This program is now 6 million. kr per. years and shall contribute to increased knowledge of the reduction of agricultural emissions and the potential for carbon bonding in soil. Furthermore, the Programme shall contribute to the competence of farmers and the management of climate action. The pilot project for better use of manure is another project to be expanded in 2010 and the regional environmental programmes also include: as an objective to modify soil processing and contribute to the reduction of CO2 emissions from agricultural soils. As important as reducing emissions, increasing the binding of CO2 is key here. The net capture of CO2 in the forest has been between 25 and 32 million in recent years. tonnes of CO2, which is a large number and approximately half of the total Norwegian greenhouse gas emissions, and not least five to six times the agricultural emissions isolated. In the message, we describe the forest's ability to absorb CO2 and store carbon, and it is essential that the forest is actively exploited. The best way to use forest resources as climate tools is to increase the maximum, so that we can replace more fossil fuels, use more wood in buildings and structures – while at the same time actively operating forestry where we build new forests and bind carbon. The government is continuously working to follow up the climate agreement. Therefore, the Government set up the Climate Change 2020 team only a few months after the adoption of the Climate Change Agreement in the Stortinget in 2008. In February, the Climate Action Report, which is now produced by the SFT and other agencies, will provide the most comprehensive menu of new instruments and measures ever presented in Norway. The Klimakur report will show how Norway can achieve the climate objectives. Following the presentation of a climate change policy in February, the Government will carefully consider the various proposals and submit to the Stortinget an assessment of climate policy and any need for changed instruments.
ParlaMint-NO_2009-12-16.ana.ud811e1856	I would like to thank you for a full answer, and I am thinking of a little bit of what the Council of State has to say about what is important – namely this with increased binding of CO2 in the forest. In the debate yesterday, we did not really get a discussion on this proposal that the Right and the Progress Party promoted, to assess the possibilities of ‘a quota trading system in Norway for forest-oriented CO2 allowances’. The weight now put on by the State Council in the carbon capture in the forest, and the figures — which are correct — show that this is perhaps the most central area. Why does he not believe that the investigation of such an allowance trading system could further contribute to the proper provision of forestry?
ParlaMint-NO_2009-12-16.ana.ud811e1872	These days we are sitting in Copenhagen and discussing such matters, among other things. how much compensation Norway will have for the forest that we have, that grows and that binds carbon. The easiest way to ensure higher carbon bonds in the forest is to exploit the measures we already have today, which are to have a greater impact on the forest fund system and, for example, on the environment. increase the planting of forest, as it will give direct effect. There has been a discussion about a national forest allowance trading system, and I do not reject it. I think that maybe sometime in the future could be an opportunity. At the same time, I think it will depend on internationally accepted legislation, an international system, and that it can be comparable in other countries as well. It gets a possible return to later. It could... [[President clubs]]
ParlaMint-NO_2009-12-16.ana.ud811e1879	State councils will have further opportunities to elaborate on this issue, which is interesting. The follow-up must be: I understand that the Council of State is positively aligned with such a system, and that is good. Then the question is, what do we do to get to a national system? I understand that you may then have to have international approvals, agreements, etc. For example, do we have: with us the kind of positions in the negotiations that are now taking place, so that we can make that happen? Or will this mean completely new rounds with other countries? And finally, even if one minute is a short time to answer, wouldn't it be possible just to do this completely nationally, based on the agreements that now exist with other nations? Is there something that prevents us from doing that?
ParlaMint-NO_2009-12-16.ana.ud811e1886	What I was going to end my previous answer with was that in the project Coastal Forestry, which is owned by the county municipalities from Agder in the south to Finnmark in the north, they have proposed a quota trading system. I guess that's what's the starting point here. There too, the challenges are seen in relation to the impact of the system and how it should be technically done. Very familiar we have to rely on international legislation if we are to have such a system in place, and we do not have it today. In coastal forest farming, it has been decided, as a measure, that when you fly, you have to plant forest. That's the full opportunity for them to do today, and that's a way of following up those ambitions. I am following up the project and the thoughts that the fleet here stresses, and I will perhaps come back to the matter later.
ParlaMint-NO_2009-12-16.ana.ud811e1903	This question has been postponed to the next Question Time.
ParlaMint-NO_2009-12-16.ana.ud811e1916	This question has been postponed to the next Question Time.
ParlaMint-NO_2009-12-16.ana.ud811e1922	This question, from Elisabeth Røbekk Nørve to the Minister for Fisheries and Coast, will be raised by the representative Frank Bakke Jensen.
ParlaMint-NO_2009-12-16.ana.ud811e1925	Today's debate has shown that climate policy is not only important to those who are particularly interested, but extends throughout the political spectrum. It is natural that we, too, who are interested in the well-being of the coast, have this in the debate. A climate debate can be reduced to the purely technical level and is about reducing emissions... [[President clubs]]
ParlaMint-NO_2009-12-16.ana.ud811e1930	The President regrets having to interrupt, but the question is only to be referred in the first round. So it answers that, and then you have two additional questions afterwards.
ParlaMint-NO_2009-12-16.ana.ud811e1933	I'm sorry, I didn't know that.
ParlaMint-NO_2009-12-16.ana.ud811e1938	Then you only read the question that has been submitted.
ParlaMint-NO_2009-12-16.ana.ud811e1941	You're doing fine. «According to St.meld. No 32 for 2006-2007, the fishing fleet amounted to 2,5 pst in 2005. of the total emissions, total 1,3 million tonnes of CO2. What will the Council of State do specifically to reduce greenhouse gas emissions from the fishing fleet?’
ParlaMint-NO_2009-12-16.ana.ud811e1953	There is little doubt that climate change is among the greatest challenges of our time. We know that greenhouse gas emissions affect the temperature of the soil and the sea. What we don't know about is how and how fast these changes will affect the marine environment – how it will affect plankton, eggs, larvae, corals, fish and shellfish. That's why we need a lot of knowledge to be able to adapt to change. All our administration must be based on knowledge. Research and monitoring of ecosystems are essential. These are therefore priority tasks. In addition, we need to ensure that greenhouse gas emissions are reduced. Emissions from the Norwegian fishing fleet are already relatively low. This is due to the fact that the fishing is largely carried out with passive gear near land. In addition, the structural arrangements have contributed to fewer vessels and a more rational overall fishing. As a result, the discharges from the fishing fleet have actually been reduced in recent years. I would also like to commend the fishing industry for having implemented various emission reduction measures through the environmental agreement and the NOx fund. However, we will work to achieve an even more efficient energy use in each fishing boat, and we have identified different measures through a working group where the industry was represented. One concrete measure is to facilitate even more energy-efficient harvesting. Today’s gear rules may hinder the use of energy-efficient fishing methods. It's unfortunate and a little forward-looking. With the limitations we must have in terms of biology and the environment, each fisherman should have the option to choose the most appropriate tool. I would therefore like to start a work to make the tool rules more flexible. It is a good environmental policy, and it allows for improved profitability for the fleet. In the examination of the Climate Change Communication, it was agreed that by 2020 it would be realistic to reduce emissions in Norway by between 15 and 17 million. tonnes of CO2 equivalent in relation to the reference track as presented in the 2007 national budget, when forest is included. In line with the principle of sectoral responsibility in environmental protection policy, the Climate Action Communication, St.meld. No 34 for 2006-2007, set own emission targets for four main sectors. The government is continuously following up the climate agreement. However, the challenge is not that the climate agreement is not adequately followed up. The challenge is that although the climate agreement was a major step forward for climate policy, the measures in the conciliation are probably not enough in relation to our climate objectives. As a result, the government is constantly looking for ways to extend the climate toolkit. Therefore, the Government set up the Climate Change 2020 team only a few months after the adoption of the Climate Change Agreement in the Stortinget in 2008. In February, the Climate Action Report, now produced by the SFT and other agencies, will provide the most comprehensive menu of new instruments and measures that have ever been presented in Norway. The Klimakur report will show how Norway can achieve the climate objectives. Following the presentation of a climate change policy in February, the Government will carefully consider the various proposals and then the Government will present to the Stortingeten an assessment of climate policy and the need for changed instruments.
ParlaMint-NO_2009-12-16.ana.ud811e1982	I record that the Council of State is so knowledgeable that she managed well without the otherwise informative introduction. In St.meld. No 34 for 2006–2007, the so-called Climate Communication, it is said that it is difficult to provide some good estimates of what kind of costs will be associated with setting defined emission reduction requirements in the fishing fleet. What is known is that this will require the renewal and modernisation of the fishing fleet. At the same time, we know that the NOx fund is now quite well received by the fleet. This has led to modernisation and thus reduced climate emissions. The industry believes that the extension of the NOx agreement, the use of GIEK also for the fishing fleet, and the provision of good guarantees, can be a constructive path towards more climate-friendly fishing. My question will then be whether this sounds like beautiful music in the ears of the councils.
ParlaMint-NO_2009-12-16.ana.ud811e1999	As the representative pointed out, the fisheries industry has accepted the NOx agreement, the environmental agreement. It is an agreement signed by the Ministry of the Environment and the 14 trade organisations in May 2008. The Environment Agreement and the Declaration of Accession constitute the framework for the work of the Enterprise NOx Fund. Through the agreement, trade organisations shall provide for concrete reductions in NOx emissions. It has benefited the fishing industry, as both the undersigned and the representative said. In fact, more than half of all major fishing vessels have implemented or planned NOx reduction measures with the support of industry’s NOx fund. The agreement shall now be evaluated and processed. Then we get back to a possible continuation of it. I am very attached to everything that contributes positively to the climate.
ParlaMint-NO_2009-12-16.ana.ud811e2023	Transport, at least when we talk about climate, is an essential part of the costs for both the land industry and the fleet. At the same time, we all agree that bringing goods and products forward in an environmentally friendly and appropriate way is important. A strategy for moving goods from wheel to keel has been developed. My question here is: does the Council see this type of transport as an appropriate solution for transporting products from the fisheries and aquaculture industries to the markets where they are paid for the goods?
