ParlaMint-NO_2009-11-18.ana.ud553e26	The representative, Hans Olav Syversen, will put forward a proposal for a representative.
ParlaMint-NO_2009-11-18.ana.ud553e1302	The government has offensive climate policies and ambitious goals. These objectives are part of the Storting climate settlement and are supported by all parties except the Advance Party. Climate is a global problem, and climate damage is independent of where emissions occur. The government is therefore actively engaged in a global agreement covering all countries and sectors. A broad agreement will help to bring competing enterprises against the same costs of CO2 emissions. Norway was one of the first countries to introduce a tax on CO2 emissions. Large parts of Norwegian emissions were subject to quota obligations when Norway became part of the EU ETS from 2008. The sectors covered by the allowance system are largely similar to those in the EU. Land-based industry in Norway, like similar sectors in the EU, has been allocated free quotas. The compulsory land-based industry is exempt from the CO2 tax. On 11 September this year, the Ministry of the Environment concluded an agreement with Norwegian Industry on voluntary reductions in emissions from the Norwegian process industry, which are neither subject to allowances nor pay CO2 tax. The EU ETS will be expanded from 2013 so that large parts of the process industry are also covered by the allowance system. All establishments that are part of the EU ETS will therefore initially face the same price of CO2 allowances. In its policy platform, the government has announced that emissions from the power-intensive industry will be regulated within the EU quota system. Overall, I believe this demonstrates that today’s Norwegian climate change instruments do not differ significantly from those used in other European countries that pursue an active climate policy. I also refer to Chapter 7 of the National Budget 2010, where the Government has provided a more comprehensive presentation of the work on sustainable development.
ParlaMint-NO_2009-11-18.ana.ud553e1334	I thank you for your answer. I do not know if it was entirely the answer the industry saw separately when the representative Nordtun in the election campaign stated that it was necessary to reduce Norwegian special schemes that burdened Norwegian companies more than competing companies. So, unlike companies in other European countries, Norwegian companies have to pay for new emissions. I thought the government's goal was to ensure the framework conditions that are adapted to our competitors, so that it is the best and most environmentally friendly companies that survive, and not those who choose to establish themselves ashore with less stringent or no environmental legislation. Does the Government believe that enterprises will nevertheless establish themselves in Norway — when the framework conditions are worse than in our neighbouring country?
ParlaMint-NO_2009-11-18.ana.ud553e1345	I refer to the answer I just gave, where a key point was to look at what is now happening in the EU. I also refer to what is in the Government's political platform, for example. ‘to regulate emissions from the power-intensive industry within the EU ETS’. But there is a balance between, on the one hand, pursuing an active and forward-looking climate policy and, on the other hand, taking into account the competitiveness of its own industry. This is also one of the key issues in the EU, because one sees that there may be a certain possibility of so-called carbon leakage, i.e. that production is moved to countries where conditions are more liberal in terms of CO2 emissions. This does well underline the need for a comprehensive and binding climate agreement in Copenhagen, an agreement where one also takes such considerations into account.
ParlaMint-NO_2009-11-18.ana.ud553e1355	Once again, I thank the Council of State for the answer. Once again, Norwegian companies have to pay for new emissions, as opposed to companies elsewhere in Europe. If emissions are to be reduced in total, the number of allowances has to be limited. If the environment is behind the allocation of climate allowances, why will the government not remove the allowances that have not been sold to new businesses instead of selling them back to the European trading system?
ParlaMint-NO_2009-11-18.ana.ud553e1362	I refer briefly and well to the answer I have already given. I think there will be plenty of opportunity to come back to a discussion on this – both before and after the Copenhagen climate summit – because this is an important matter, which we will probably not be finished in the Question Time today.
ParlaMint-NO_2009-11-18.ana.ud553e1372	I allow myself to ask the Minister for Oil and Energy the following questions: ‘It was 6 years since the last notification of the petroleum activity, where the Stortinge had the opportunity to discuss the whole of Norwegian petroleum policy. No such notification was submitted in 2005-2009. In Soria Moria II it is announced that the Government will review the petroleum policy in its own staging message. When can the Storting expect a notification of petroleum activity to be submitted?’»
ParlaMint-NO_2009-11-18.ana.ud553e1381	Petroleum activities are important to ensure the country’s income base and, in particular, employment in this country. Activities shall take place within the framework set by us for sustainable development. Norway will contribute to Europe’s energy security in the future. The global framework for petroleum activities is changing, including: as a result of changes in international energy markets and in energy and environmental policies around the world. The challenges and opportunities on the Norwegian base are also changing. Such developments could result in the need for adjustments in the petroleum policy. The government will review the petroleum policy in its own wholesale message, as the representative Meling mentioned. I would like to add to a broad and comprehensive process in connection with the work on the message. My best estimate per year. Today, a sound and reasonable framework for such work should be around one year.
ParlaMint-NO_2009-11-18.ana.ud553e1390	I thank the Council of State for the answer. I guess the Council of State is well aware that today the industry is experiencing a very demanding situation, where projects are put on hold or scrapped, and where the oil supply industry has to permit or cancel employees. The right is extremely concerned that we are able to maintain what may be our main competitive advantage, namely competence. The industry calls for the long-term nature of a complete discussion that a petroleum message gives us. Does the Council of State, in the current situation, consider that it is satisfactory to be able to submit a notification only in 2010 — in a year’s time — and may it be relevant to immediate action?
ParlaMint-NO_2009-11-18.ana.ud553e1399	The most important thing that a government can do, and as I have done, is to take measures in the relatively short term – and that is to run the numbered concession rounds. I have great faith that a petroleum message will make an important contribution to the long-term oil and gas policy in Norway, but the situation that the representative Meling describes – which I fully agree with – is demanding for parts of the industry. It's a selective crisis we're looking outside. Part of the industry has a lot of work to do, but in particular the traditional yard industry is struggling very hard. It's worrying. With regard to the crisis described, it is to start new development projects and ensure that the industry has work, even in a few years' time, which is the answer. There I have delivered, not least through the 21st concession round, which I started very recently.
ParlaMint-NO_2009-11-18.ana.ud553e1406	I thank you again for the answer. In the round to which the Council of State refers, it's probably right to say that there is no promising new search space. Petroleum industry accounts for as much as one third of national income, and Norway relies on these revenues. With the expansionary budgets provided by the Government, we are extra dependent on future revenues from the petroleum sector. The long-term availability of predictable and well-known framework conditions is crucial for investment. Many will suspect the red-green batches too much disagreement internally, and that is what makes them spend so much time coming up with a new petroleum message. Does the Council have an understanding of the uncertainty created in the food cluster by the fact that it has taken so long before we get a petroleum message put on the table?
ParlaMint-NO_2009-11-18.ana.ud553e1415	I have the greatest understanding of the industry's desire for predictability and the possibility of planning in the long term – I have my own business – that you see what lies ahead in the loop. I totally agree with that. With regard to the follow-up of the representative, Mr Meling, to the fact that the policy we have pursued has not contributed to that, I do not agree. I believe we have clearly presented the government's policy through the management plan that we delivered in ours, as regards both the Barents Sea and the Norwegian Sea. In addition, when we come up with numbered rounds and TFO allocations, it represents the framework for oil and gas activities in Norway, and we also see that the activity level of Norwegian sockets in historical comparison is high.
ParlaMint-NO_2009-11-18.ana.ud553e1425	From the representative of Mr Träldal to the Minister for Agriculture and Food: ‘On Monday 9 November 2009, the nation has a notice that the environmental threat of increasing nitrogen and phosphorus emissions can be significantly reduced if agriculture uses human urine as fertilisers in the future. Each adult produces 400–500 litres of urine per adult. years. There's enough fertilizer to produce 200 kilos of wheat, which in turn gives 350 bread. Thomas Cottis, Senior Lecturer at the Hedmark High School, states: ‘The Norwegian people’s Urin is enough to fertilise the entire Norwegian grain area every year.’ What does the Council of State think of this proposal?’
ParlaMint-NO_2009-11-18.ana.ud553e1433	This issue is postponed, as the Council of State has left.
ParlaMint-NO_2009-11-18.ana.ud553e1439	This question, from Per Roar Bredvold to the Minister for Agriculture and Food, will be answered by the Minister for Oil and Energy on behalf of the Minister for Agriculture and Food.
ParlaMint-NO_2009-11-18.ana.ud553e1442	I want to ask the Minister of Agriculture and Food the following questions, but as I understand it will be answered that the Minister of Oil and Energy. «Many agricultural properties remain empty both in Hedmark and elsewhere in the country due to price regulation, i.e. a maximum price for properties set on the basis of the possible return of the farm. As a result, some of the properties that would have been sold will not be sold, as the sum of the sales will be too low. Will the Council of State help us to get an embellishment of this rule so that it disappears?’
ParlaMint-NO_2009-11-18.ana.ud553e1451	I think the representative is well-known that the matter has been discussed quite many times in this room during the previous growing-up period. What emerged there was that this government is concerned about those who want to enter agriculture and that price controls are justified on that basis. It's a choice you make, whether you're most concerned with the ones that are going in, or the ones that are going out. This shall contribute to ensuring the recruitment of active economic operators and facilitate ownership that provides a basis for long-term good resource management. It shall also facilitate income opportunities and social conditions, which create stable full-time and part-time agricultural jobs. To achieve those objectives, the price level should reflect the value of the property on its operating basis and the value of the property as a residence, while not requiring an unreasonable level of equity. This approach is well anchored in this room, as I mentioned, at the latest when dealing with the changes in our agricultural legislation. In that respect, a majority of the Economic and Social Committee, all except the representatives of the Party of Progress and the Right, stated that ‘it is important to maintain that the value for use for agricultural purposes and the level of costs of agricultural buildings are the basis for pricing’. Of course, in all practical policies it is necessary to look at the need for a balance between different societal objectives as a basis. It's e.g. it is also desirable to use built-up agricultural properties as a dwelling. It is therefore important, in particular for properties with weak agricultural resources and with some degree of housing quality, that the rules to which I refer here do not unduly prevent agricultural property from coming for sale, whether the purchaser is to use it for business or housing purposes. In Ot.prp. No 44 for 2008-2009, it was proposed to increase the housing value in the context of the price evaluation. The aim of the proposal is to increase the rate of turnover of agricultural property and to reduce the distance between market value and concession price, so as to reduce the pressure on price regulation. The proposal was supported by the majority in Stortinget. The Minister for Agriculture and Food has also started work on the implementation of this proposal. These changes may allow fewer agricultural properties to become vacant, both in Hedmark and elsewhere in the country, but there is reason to take a firm approach to the possible consequences of the changes. Experience has shown that it is not only the price that counts when someone is considering selling an agricultural property. Connection to the property weighs e.g. too many.
ParlaMint-NO_2009-11-18.ana.ud553e1466	I thank the Council of State for the answer. It is true that this has been discussed before. Now it's a new big deal, a new minister and I'm trying again, because this is an important question. It is important in the districts, because there are some empty buildings on farm, they are not used. Those who owned them, built them, or inherited them, do not want to give them away more or less because the selling price is too low. Instead, they keep the property, and sometimes it results in the buildings becoming standing empty, maintenance is not carried out and the land is rented out. It doesn't create any growth. I'm going to re-examine this question because it's so important. It may be okay and good that you're busy with those who want to get into agriculture, but there's also someone who wants out, but they won't give up their life's work. If you're going to stop or reduce a fumigation, you're going to have to look at price.
ParlaMint-NO_2009-11-18.ana.ud553e1473	I fully agree that focusing on the presence of active drivers on farms out in District Norway is a priority objective. Then I believe that the great difference between political parties in the Great Britain is in the will to facilitate nutrition. As you can see, it is a little special that the representative of the Progress Party is so concerned about this issue when one sees what is happening in these days in the Grand Duchy in terms of the willingness to actually support under active farming in the countryside. One may be very concerned about the price of selling a property with a certain dwelling value, but if a person is really going to make sure that a lot of farming becomes empty, it is about following the recommendation of the Progress Party by not wanting to spend money on district policy and agricultural policy, and thus making it uninteresting or impossible to take over and purchase farm use in District Norway.
ParlaMint-NO_2009-11-18.ana.ud553e1478	I thank you for the comments that I do not agree with. I believe that the Progress Party has the best policy in terms of rural policy as well as agriculture. The question here concerns a buyer and a seller who agreed on a price. So this goes to political treatment, and the majority of politicians say that the price is too high, it's not going to be a sale. There's a buyer at a farm, there's a seller, and they agree on the price, but it's the political system, the majority of the politicians in each municipality, possibly state, who say no because the price is too high. It is not about the price being too high for the individual buyer. When you want to buy an agricultural property, have a loan and have a certain equity and want to bet on it either as an individual or as a family, I think it's – excuse the expression – a little silly that you can't have an embellishment in this regard, just to let go of fumigation and get in new forces.
ParlaMint-NO_2009-11-18.ana.ud553e1487	It is such that if you are going to bring in the new forces, you must have a policy that allows you to enter. If one gets a free pricing where the housing value, the location of property is what is applicable, a look at a large number of farms in Norway will see that it is something other than the value in use that is reflected in the sum of sales. It will just contribute to what is not to be done by the representative of Bredvold, that one does not get young people into the agricultural industry. Very many agricultural properties will have an alternative value in the market, which is far beyond the yield of agricultural production. This would make it impossible for young, engaged people who want to enter the industry to buy these farms, because it is simply not possible to remunerate loans and equity in traditional agricultural operations, and only those who have capital to assess the property according to their housing value have the opportunity to enter and purchase the property. It will be a drastic proposal to exclude young, engaged future farmers from the agricultural market.
ParlaMint-NO_2009-11-18.ana.ud553e1499	This question, from Svein Flätten to the Minister for Fisheries and Coastal Affairs, has been transferred to the Minister for Finance, who is directly responsible.
ParlaMint-NO_2009-11-18.ana.ud553e1502	I must say it is gratifying that the Minister of Finance himself will respond to the views that the new Minister for Fisheries and Coastal Affairs has had on the wealth tax in the past and probably now has – I look forward to that with joy and excitement. The question was: ‘The Council of State has, on several occasions, made a profit-making settlement with that part of the fiscal policy which taxes the operating resources of an enterprise through the taxes on wealth. Not least in fisheries and farming, with many small actors, increased taxation of operating resources, as we have seen in recent years, increases job insecurity. Can we assume that the Council of State will continue to assert its well-founded view of this tax even within the government of which she is a member?’
ParlaMint-NO_2009-11-18.ana.ud553e1511	The government is committed to pursuing a policy that contributes to increased value creation. The political platform of the Government provides the basis for a policy of community, value creation and justice. We will work for a tax system that provides stable income to the community, contributes to fair distribution, a better environment, promotes employment and value creation across the country and improves the way the economy works. The government has said that during this ageing period we will continue the overall tax and tax level as today. In addition, we have said that within this level there is room to create a better distribution. The government has shown during the previous major period that it is possible to pursue a fairer tax policy within a stable tax and tax level, while ensuring predictability which makes it attractive to invest and operate in Norway. In order to ensure efficient resource use, it is essential that different industries and enterprises face as much equal tax conditions as possible. This also applies to taxes on wealth. The government, through the changes in property taxes, has ensured better consistency between the tax and the tax capacity of people, regardless of how the wealth is put together. For single taxpayers, the discount has tripled, with more than five-fold for married couples. In the 2010 budget, the Government proposes a further increase of the deduction to DKK 700000 for single taxpayers and to SEK 1.4 million. kr for married couples. This will also benefit business and, of course, individuals who are owners of business. Their shares might be subject to property taxes.
ParlaMint-NO_2009-11-18.ana.ud553e1522	I thank you for your answer. I interpret it so that the Council of State I asked the question to will not continue to assert its view of the property tax, but it is on what is the official view of the Government. Then I think it is positive that the Council of State in its answer refers to this as the opposition and the Government disagree. We believe – at least from the Right – that the wealth tax is unfortunate for the companies. The changes that have been made have gone more to the bottom-up and have meant relatively little to small and medium-sized enterprises. What is positive is that the Council of State no longer mentions this as ‘tax relief to the richest’. Can he say anything about that is a concept that you might want to leave more in the debate?
ParlaMint-NO_2009-11-18.ana.ud553e1529	Firstly, I can assure the representative Fleet that in the government room it is high below the ceiling. There are many opinions and different opinions, but the view that comes out in the form of government budgets, propositions and messages to the Storting is the government's view. But the debate can be both lively and interesting. With regard to the last thing the representative had in mind, I am concerned that a person should tax according to his ability and receive as needed, which in a way is the golden principle of taxation. That means that those who have large assets will be subject to a slightly greater tax on wealth than those who have small assets. It is the government's line through what we have done in recent years in the context of the bottom line, that people with small and moderate assets should either drop property taxes or get a little strain on it.
ParlaMint-NO_2009-11-18.ana.ud553e1536	I see that we will not get any further with this today. That is not what we did in the previous period with the previous Minister of Finance. For example, in the autumn of 2009, during difficult times for business, owners pay a property tax based on values that are actually as far back as more than a year and a half, because the cut-off date for the property tax is so far behind, that is, on the historical peak we had in Norwegian business and in the economic cycle. There is a considerable burden on many companies that are now in a difficult situation: the workshop industry, the supplier industry, etc. Does not the Minister of Finance think that there is a cross of thought that might push him into slightly different thoughts over the years that lie ahead of him?
ParlaMint-NO_2009-11-18.ana.ud553e1545	One should never forge the opinions you might have in a while – that is the opposite that is often problematic for politicians; one is confronted with his previous statements. But when said, it is that in the context of the financial crisis the Government introduced significant measures to build up under the activity of the economy, and included in that package there were also measures to ease the burden on businesses. Otherwise, it's probably true that the representative fleet says that we're going back to this in different contexts, and we're getting a new opportunity in a week's time – in the financial debate.
ParlaMint-NO_2009-11-18.ana.ud553e1552	That being the case, it is no. 1 finished.
ParlaMint-NO_2009-11-18.ana.ud553e1565	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
