ParlaMint-NO_2009-04-02.ana.ud2081e78	The representative, Jørund Rytman, will put forward a proposal for a representative.
ParlaMint-NO_2009-04-02.ana.ud2081e2349	The representative of the Svein Fleet has taken up the suggestions he referred to.
ParlaMint-NO_2009-04-02.ana.ud2081e2352	The fact that so many individuals choose to use their precious leisure time for work in teams and associations, I think we should praise. It's really quite amazing that, despite the fact that we've built the world's most comprehensive welfare state with liberal welfare systems, at least from an international perspective, we've also managed to become world champions of volunteering. That is why I say that specialist leaders, assistants, cordials, sports trainers and everyone else who is active in voluntary work in Norway are in their full right to demand greater contributions and greater recognition for their efforts from the public. I believe that the Government has been providing a new gift in the field of voluntary policy, and a comprehensive report has been presented. When the fleet calls for concrete action and not programme declarations, I agree with that, but unlike many other large-scale announcements submitted by previous governments, the government has also fulfilled the concrete promises made by the big business message. When we debate the proposals that are on the table here, it's a little funny that the opposition has voted against several of the proposals for strengthening the area of volunteering that the Government has set up, but leave it at this point. Let me take a few examples: NOK 1 billion has been added to the table as a substitute for lost slot machine revenue for the years 2008 and 2009. We introduced a grass root fraction, so that people who tap, can now choose to give 5 pst. the turnover of the association or association of which you wish. I myself very much enjoy opening the series the next weekend at home in Mjøndalen, i.e. for Mjøndalen Sports team. There they now say that many have registered, and in a very short time they have received 60 000 kroner to go to voluntary activity in the Mjøndalen Sports team – an amazingly accurate and beautiful arrangement. We've set up volunteer registers. We have increased the limits of the reporting obligation for the employer's fee and the obligation to pay the turnover, and not least: while the previous government would remove the money from the Freefonds, the best and most accurate order we have for activities for children and young people, the red-green government has stepped up its support for this important work. In addition to the concrete strengthening of the field, we have announced in the 2009 State budget that the Government is ready to return to the 2010 budget with a new billion. It also says that we haven't decided how to give that money or what kind of support you have. But the billion will come into place. Here we are at the heart of what I see is the main proposal, and there are a lot of volunteers now talking about: the proposal for a zero rate or VAT exemption for the voluntary sector. Such exemption may be one way of supporting voluntary work. For my part, however, and for the Labour Party, I must say that I am not sure and convinced that this is the right method. Let me just bring you some short counter-conceptions. Firstly, I believe that there should be particular good reasons to do something about what is the pillar of the welfare society, namely the VAT system. It's a system you have in a lot of countries. In Norway, it is the bearer of public welfare goods. For example: top taxes or taxes on wealth amounting to approx. 13 billion kroner each for the welfare state of Norway, we get over 200 billion kroner from the VAT system, which is a fissure layer and a very easy way to generate income for the community. I'm not saying you're not going to do anything about it, but I'm saying you're going to have very good reasons to hollow out the system that provides income for the community. The second is that in order to achieve a zero rate with full deductibility for the voluntary sector, voluntary teams and organisations are most likely to have to enter the VAT staff. It's not just a dance of roses. It's a system designed for professional actors, i.e. business. It is quite clear that by entering the mandate you will at least be given greater use, greater criminal liability and not least a good deal of bureaucracy. I'm not so worried about the Red Cross, the People's Aid or other big, national organizations that have people to help themselves, and economic muscles to deal with this. But I'm worried that small choirs, small cookers, small sports teams are not quite aware of what you're going into if you're going into the VAT crew. I'm not saying that it's impossible, but at least I think it's an important counter-conception to bring with me. Although I've explained some of the counter-conceptions, we're going to be pragmatic when we want to provide increased support for the voluntary sector, because it's a fantastic work going on all over the country, and it needs recognition. But in any case, I believe that the government that is now sitting, with a majority behind it in the United Kingdom, has nothing to be ashamed of when it comes to supporting this important sector in Norway. What other governments have managed to get a billion - already in place - that have committed themselves to a new billion. Then, in these days, we are discussing internally both in government and in big business how this support is to be set up. The 2010 state budget provides the answer. The voluntary nature has itself estimated that a VAT exemption for the sector will amount to approximately 50 %. One billion kroner. We're willing to meet that claim for heads. We ask for understanding that you have to be absolutely sure of what you do when you have to choose an instrument for setting up such a support. At least I am absolutely sure that we will be able to find a good solution to the problem of volunteering, which is unbureaucratic, and which gives an important recognition to a fantastic voluntary work going on in Norway.
ParlaMint-NO_2009-04-02.ana.ud2081e2376	It's going to be line change.
ParlaMint-NO_2009-04-02.ana.ud2081e2379	I understand that the representative Micaelsen is not quite sure how to set this up, but he had many good counter-conceptions about using the VAT system. I have one question -- actually, a little rain example, but it's not very complicated. The Mica says that there are particularly good reasons to do something about the public welfare pillar, so do something about the VAT system. Now we know that deducting VAT would have cost the state $1 billion. It would decrease a billion dollars on the carrybar. So the mica says he's also going to spend $1 billion. I'm assuming it goes off the same carrybar. Does he think that it is practical to make a special difference to the other welfare?
ParlaMint-NO_2009-04-02.ana.ud2081e2386	No, there is no practical difference in such an approach. But there's an important difference here, and that's that we, who are elected by the people to represent some electoral groups here in the National Assembly, are also set to be able to prioritise between different purposes. If you want to step up support for the voluntary sector, and believe that it is an important group that deserves recognition in today's society, and say that you, for example, are doing so. If you would like to support it with DKK 1 billion, it is more straightforward to put the proposal on the table here in the Grand Duchy, set it up for all other good purposes – because there is still a great deal of still, unfortunately, even in the welfare state of Norway – and have an assessment and make a decision. There is a significant difference in the sense that politicians who are set to rule by the people can also be in assessing this. We're taking that option away from us by hollowing out the VAT system. It's an important counter-conception. At least I think so.
ParlaMint-NO_2009-04-02.ana.ud2081e2391	We must then note that the Labour Party's spokesperson here probably knows better what Freedom Norway needs than what a collective Freedom Norway itself believes is the most important thing for them. It actually doesn't surprise me much, with the composition that this government has. But I want to address something else that the Micasen was in, namely that there should be a support of NOK 1 billion – he said in 2010, and the letter from the Council of State says it over a few years. Well, we can figure that out. In addition, I have now been in at least two debates with representatives from the Central Party who categorically say that the Government is working on exemption from VAT for non-governmental organisations. So what's the view of the majority government?
ParlaMint-NO_2009-04-02.ana.ud2081e2400	The views of the majority government and the majority parties are very clearly described in the comments. It's that we're willing to step up support for the voluntary sector – and it's true that I was a bit unprecise – with $1 billion over a few years. But the level is $1 billion over a few years. Then we haven't concluded how to set up such a kind of support. For example: that the Central Party itself has chosen to bring this matter forward at its national meeting, which is an important political workshop that makes visible what you want to bet on in the years ahead, so I believe that it has the Central Party's full right to. I guess there are also some issues Christian People's Party and the other opposition parties are going to disagree very much after the national meeting season in the opposition parties is over. And unlike the opposition parties, we have a majority government we want to win the 2009 elections, while the opposition parties still agree very little. So I'm absolutely sure we're going to be able to find a good solution that the volunteer itself will be very happy with when the result is available.
ParlaMint-NO_2009-04-02.ana.ud2081e2407	The representative, Mikalsen, uses, inter alia: the argument that VAT staff numbers and VAT legislation are very complicated and difficult to apply to non-profit organisations. Therefore, non-profit organisations may still pay 25 pst. VAT – i.e. because they will have problems getting involved in legislation. I would like to ask a question to the representative of Ms Mikelsen. If this legislation is so complicated and difficult to understand, it may also be thought that it is a challenge for small businesses already today. Should it not then be considered to simplify the legislation, make it simpler, more understandable and transparent so that even non-profit organisations can get under it and small businesses can get a simpler everyday life?
ParlaMint-NO_2009-04-02.ana.ud2081e2415	I have had conversations with many representatives from voluntary teams and organisations. Let me do an example. I have a father who's active in the spear. He laughed at me because he had to pay VAT when he was going to buy sleeping bags for the kids. I understand that very much, but I don't see him or anyone else as necessarily the VAT they want to live for. What they're looking for, what the whole volunteer is crying for, is increased free money, more money for activity. And then VAT becomes a picture that you have too little of it, and I totally agree with that. The mom system can clearly be easier, and we're going to work on it continuously, but this is a system that is the support of the welfare state, and which requires very good reasons for making major changes. These include: a tax professor who has estimated that only being in the number of VAT staff is a cost of NOK 10000 to NOK 20 000 for a company or a voluntary team or an organisation. Yes, it is expensive to run a shop in Norway, but there are also great opportunities if you succeed. That is why we have organised what we have done in Norway, with quite comprehensive welfare measures for all, while everyone is involved and contributing with their things.
ParlaMint-NO_2009-04-02.ana.ud2081e2424	No more words have been asked for a line.
ParlaMint-NO_2009-04-02.ana.ud2081e2427	Now a part of this debate has already been said, both from the case-speaker and from the representative, Ms Mikalsen. This suggests that there is a broad consensus that non-profits make a great and necessary effort in a range of areas. Non-profits save public for huge sums. Only the Red Cross in Norway has approx. 320 auxiliary corps consisting of approx. 12 900 members, and they carried out in 2008 approx. 700 rescue operations. To perform these rescue operations, of course, the Red Cross and other non-profit organisations depend on good framework conditions, so that one can also have satisfactory equipment. Now there are many organizations that experience it as untimely, which the case-speaker was also concerned with, that one has to pay 25 pst. VAT, e.g. one has to pay 25 pst. more for snowmobiles and equipment other than private enterprises, as well as municipalities, have to pay. It feels unfair to many. I have also received feedback that it also feels daunting. Now the representative Micaelsen had a number of arguments for why he was negative to this. It could be difficult for non-profit organisations to get involved in the VAT code, and then it was the problem with the VAT number. I think that a start at the wrong end if this VAT code is so complicated that it costs NOK 10 000 to NOK 20 000 for each company. There should be room for simplification, so that private enterprises too can get better out, and that non-profit organisations can enter the VAT staff so that they can eliminate VAT. It will be an important contribution. I'm also quite sure that the whole community will focus on it. The representative Mikalsen had a lot of great words and visions about this. I think what's important in the future is that one has to show action. It was shown that Norway is the world champion of volunteering and that there is a lot of social work done by voluntary organizations. It is important that we prepare and encourage them to have a good framework so that they can continue – and perhaps increase – this effort. So now it's time for action, and that's why there's an overall opposition that comes with a four-point proposal. I understand that when it applies to the first two points, which are subject to VAT exemptions for both goods and services, there is a certain movement, a certain possibility that something might happen, perhaps in the 2010 budget, perhaps later, but that at least there will be something about it in the 2010 budget. What the conclusion is, it'll show up. When it comes to the other points, that there should be an increased limit on both wage reporting and employers’ fees, it seems more negative, and also when there is an increased limit on gifts with tax deductions. There also seems to be a very negative government party. I think it's sad, but of course it's not that much to do with as long as we have the majority that we have on Stortinget. In any case, it is positive that there is agreement that non-profits do a good, socially beneficial work. Then I think it's a pity that one can't be any more concrete when it comes to improving the framework conditions.
ParlaMint-NO_2009-04-02.ana.ud2081e2444	Let me first thank the rapporteur for very good work on this matter. Some would argue that bringing the whole opposition together in common notes and suggestions is not so bad. Thank you for that, Mr. Fleet. It is also not a small matter that you agree on. For me, there's actually one thing where there's going to be some ideological dividing lines. The question is whether it is the government through its budgets and its mild gifts that is to govern Freedom Norway, or whether it is more right for the voluntary to have funds for what they actually want. The representative Micaelsen described the added-value system as a kind of monster in which the volunteer organisations should, to a large extent, take care to get involved. Obviously, if the arrangement here is that you have to defend the system and not the system to serve, you can see it that way. But the Christian People's Party chooses to see it from a slightly different angle: Is it reasonable that the volunteer organizations pay the state 25 pst. extra for voluntary work goods and services? We answer no to that question – and that is what this matter is primarily about. I have registered that the Central Party agrees with the proposal. Yesterday, I was in debate with the new Vice-President of the Central Party. He was crystal clear that it was this government that actually worked on, but one should have a robust proposal when it came to ensuring that the volunteer would not pay VAT. The representative Trond Lode, who I see is here in the hall, answered the evening post yesterday to the question of why you voted against something you really were in favour of: ‘Because the Government is already working on the matter.’ So the thing is, voluntary organizations don't have to pay VAT. Here, however, the case rapporteur for the government parties, Mr. Torgeir Mikalsen, has now been very clear: nothing is decided in this matter – in no way. The central party, well, they have adopted this at the national meeting, but besides that, the government parties have not agreed on anything. But the central party outside says that the government comes to a conclusion every moment that means that the voluntary organizations are not to pay VAT. That's what I call a kind of double communication that's on a very high level. It's true, as Torgeir Micaelsen says, there's an infinite number of people who provide an incredible amount of volunteering in Norway. I think we fully agree to commend the efforts made. It had become a poor society without their efforts and what the volunteer organizations stand for. Even if we have a welfare state – or welfare society, which I think sounds a little bit better in the ears of the Christian People's Party – a welfare society will never be able to replace the glow, the idealism and the human qualities of the voluntary organizations. For us, a clear consequence of this is to ensure that the voluntary organisations have more free resources, so that they can prioritise what they think is right to prioritise, do not have to seek project support from A to Å in all departments and municipalities and thus, in effect, the management of activities to a great extent, too much. If you were present at the hearing with many non-governmental organisations, there was a repetition that more and more of the support goes through projects that actually run the organisations. It's a dangerous road. That is why there is also something ideological in the answer given by the Minister of Finance to the Christian People's Party on this proposal. It goes on the question of gift deductions. The Minister of Finance writes in response to why it is not appropriate to increase the threshold: ‘Public governance and control of the measures and objectives to be supported by public funds is also desirable.’ That's where the cat comes out of the bag. It is not appropriate for this government to have the voluntary organisations themselves, for example: by means of a tax deduction, they receive increased resources from which they can freely determine. No, it is much better for the State – with a large S – to decide who will get the money and how much. Yes, here there is a clear political difference between this government and the opposition. At least I like one thing. It is that we can see that there will be a different majority – regardless of the constellations – this, this position, will fall after September. And if the Central Party looks a little closer through the answers given by the Minister of Finance, I really don't think they can agree to that either. This is one thing that engages many, and rightly so. I think it's actually just a matter of time before the case is going to go through, because it's so good in itself, and because it provides more justice in the system, which we're all so busy with, but we're not supposed to defend for the system's own sake -- we're going to make sure that the system is managed for the benefit of the individual citizen and civil society. I strongly recommend the proposal that has been put forward.
ParlaMint-NO_2009-04-02.ana.ud2081e2476	Voluntary organisations have an outstanding activity in Norway. They do a very valuable job, and throughout the history of the Center Party, we've been very supportive about it, because a both develops community between people and does a great job for other people. Regardless of the state of public welfare, a strong voluntary sector is needed – a further development and a strengthening of the voluntary sector. It's one of the highest and best we have to point to in Norway. Government is very positive to the voluntary sector and has shown it in practical policy. And the government has said, and the government parties have written in this setting, that there should be an escalation of this stimulus. Stimulation and escalation shall take place in relation to choirs, sports teams, the Red Cross – this in order to follow the government statement. The government is working closely on the matter to use the most appropriate instruments to support the voluntary sector. This discussion and this setting do not go very thoroughly and operationally into the balances and challenges we face. I had expected that the opposition would have been far more operational in its proposal and presented something that shows the dilemmas that are and the obligations that have to be fulfilled here by those who will be entitled to a public stimulus for their activity. This is a demanding and difficult job. It concerns a number of themes in relation to many neighbouring activities. And the practical design of the further stimulation of the voluntary sector with which the government will come is not yet clarified. It's true, as many people have said, and which are present in the media, that the Central Party has had its national meeting and made its decisions, which the representative Micaelsen agreed to, and made visible where we stand, in the same way that other parties make visible where they stand. In our opinion, it is in favour of the voluntary sector being fully exempt from VAT for the purchase of goods and services. Here, a very important condition is met, namely that the organisations must be registered in a category of the Register of Freedoms agreed by both the State and the voluntary nature to grant the right to VAT exemption. In the same way as today, the state does not distribute incentives to the voluntary sector without it being to defined organisations for the purpose of being particularly socially viable. So it's based on the fundamental idea: Do your duty, demand your right! And the community's support shall go to the most deserving organisations, not to commercial activities organised as volunteers. Just in conclusion to the Christian People's Party: the centre party is, of course, completely in agreement with the fact that free resources are absolutely central, and I think it is a full government that is behind it. The distribution of these free resources, to use that concept, can be done in different ways, and I think there is also a broad understanding in the Government that there is currently too much project support for the voluntary sector, and too little framework incentive so that there is a voluntary sector of seafarer that defines what is most important in the situation in which the local team, for example, stands.
ParlaMint-NO_2009-04-02.ana.ud2081e2489	The President has reason to believe that a "full government" was not meant to be a full government, but rather a collective government – that it should be interpreted that way. It's going to be line change.
ParlaMint-NO_2009-04-02.ana.ud2081e2494	I am not going to decide on either the integrity of the government or what may have been at the Central Party's national meeting, but when the representative Lundtägen only makes a statement in this post saying that he is in order to remove the VAT on purchases for voluntary organisations, and instead blames the opposition that has not been operating in this case – that we have not investigated this, and that we have not mentioned the Voluntary Register – then I will ask the representative Lundtägen to read the proposal, where we are just asking the Government to look at this. We have also said that the Voluntary Register must be in place – it is stated in our comments. Then my question to Lundtigen is: Will he and the Central Party now, after the national meeting, and after this matter, do something so that this can be done, instead of blaming the opposition here in Stortinget?
ParlaMint-NO_2009-04-02.ana.ud2081e2499	I can assure the representative Fleet that the Central Party will do something, have done something and will further develop our view on this matter, because it has top priority. I did not blame anyone in my post, and it was not in a petition I presented what is the Central Party's national meeting decision. I just pointed out that what the opposition has written here is far from being thorough enough to indicate the rights and obligations of the organisations that will be involved in this matter. This is a document from the opposition that I think should have been considerably better, but it is the opposition's case how a form of its proposals.
ParlaMint-NO_2009-04-02.ana.ud2081e2504	What was thought to be a clear decision from the Central Party National Assembly is hardly so clear after this debate, because there were many counter-conceptions in the contributions of the representative Lundtigen. Among other things, he said: Finally, the Centre Party will further develop its view on this matter. In fact, it's in quite a contrast to what the Central Party's own national meeting said: we want the tax off voluntary work. That's what we're going to do,' said party leader Navarsete. - That's it. I want to ask the representative Lundtigen a very important, fundamental question. In the letter of reply from the Minister of Finance on gift deductions, it states: ‘Public governance and control of the measures and objectives to be supported by public funds is also desirable.’ Is this a principleal attitude to which the Center Party subscribes?
ParlaMint-NO_2009-04-02.ana.ud2081e2516	I have to say I am surprised at the Christian People's Party when one here interprets my post as containing many counter-conceptions against the Central Party's national meeting decision. Then I must have expressed myself unusually unclear. That's not the case. The gift voucher has been introduced and will be passed. The discussion is about whether to change it so that it involves greater amounts. So there's no fundamental question at that point. As far as public governance and control are concerned, the view of the Centre is, as I said here, that a wish to provide voluntary sector with funds that can be made available according to the needs of the voluntary sector, but those who benefit from this benefit are organisations with the type of activity agreed by the voluntary sector and the state under that legislation. That's the way it has to be.
ParlaMint-NO_2009-04-02.ana.ud2081e2525	Listening to Lundtigen's main post was almost like hearing someone sitting in a boat with the trailer engine on full gas to get in from deep water. Because at least there is no doubt that the Senterpartiet and Lundtägen are on deep water in this matter. And I think it's very sad for all the volunteer teams and organizations that last weekend experienced the head of the Senter Party say clearly that we should now ensure that they are subject to VAT exemptions. Because volunteering was important, it was important to remove VAT. Today, we experience that the majority are moving because the Center Party does not support the opposition in this important matter for which the Center Party is said to be in favour. Can Lundtägen then guarantee that in a future government debate before the 2010 budget, the Senterpartiet does not give this case on the boat, that this is not an issue that can be negotiated away? Will the Lundtigen and the Zenterpartie guarantee that the VAT exemption will now be included in the budget for 2010?
ParlaMint-NO_2009-04-02.ana.ud2081e2533	The head of the Central Party has, through the national meeting, cancelled the course for the Centre Party. This is the case with us, as with any other party, in the case of the decisions that are taken. The centre party is a driving force in its efforts to improve the situation of the voluntary sector. And we're going to keep doing that. The Central Party is working with the Government to clarify one in this area before the summer, so that one can realize what is stated in the Soria Moria Declaration, namely that the voluntary sector will have a significantly better situation when the government period that we are now in goes out.
ParlaMint-NO_2009-04-02.ana.ud2081e2540	No more words have been asked for a line.
ParlaMint-NO_2009-04-02.ana.ud2081e2543	Firstly, I have to say that what brings together the Stortinge today is that all speakers have started by stressing the importance of voluntary work in Norway. And our government has taken many steps that have made it easier to do voluntary work. We've done tax evasion. There is no finance minister who has done so much taxing to the voluntary sector as I have done, and who has simplified the daily lives of the trashers around the limit of the employer's fee, and such things that you are struggling with when you run small local organisations, sports teams, or whatever it may be. And we've set up with significant funds because many organizations failed when they lost their automatic receipts. And then we have one billion more. We have also signaled very clearly that we want to step up support for the voluntary sector with the voluntary sector saying is the sum of what they pay in VAT, which is DKK 1 billion, a little over time. So the question now is, how do we do it in such a way that we don't undermine the entire VAT system, make a lot of bureaucracy, but actually manage to make it a strengthening of the voluntary sector? Then I thought I'd do something as unusual as invite the Storting to come with some advice along the way, and invite you to join in solving some of the dilemmas you're facing. Firstly, I wonder whether opposition and position agree that what we are talking about in this context is an increase in support for the voluntary sector of about DKK 1 billion – whether it is in deduction of a fee or in another form – i.e. that the amount of the support we are talking about is approximately. One billion kroner. I have heard that some from different parties in the opposition have talked about any VAT compensation being compensated for other types of support to the voluntary sector. So what I think we first have to answer is: is $1 billion going to volunteer in addition to the support that the voluntary sector receives – which the government parties believe – or does that billion replace any of what it receives? Because if we can agree on what kind of magnitude we're talking about here, it's very interesting for volunteer Norway. So some of the dilemmas we're in. I believe that there is a broad consensus in the UK that support for voluntary Norway should be as unbureaucratic as possible. I also expect that many in the room themselves have experience in doing local, voluntary work, and know that the great heroes of the local volunteer work are of course all those who make up, but perhaps especially those who have the accounts at the kitchen table in the evening and wonder how to get a relatively simple account to go together. If you introduce $1 billion in support of volunteering through a zero rate in the VAT system, all small organisations will also be subject to VAT. Then it's right that the representative Micasen was in here: to that it follows a lot of obligations. There is a criminal liability for breaches of VAT rules, which means that the vast majority of small organisations will need help in carrying out those accounts. I'm assuming that it's not the intention of the opposition, and that you agree that you want an unbureaucratic system to get increased support of about DKK 1 billion for volunteering. Okay. Then there's one way to do it, and that's to give reimbursement directly for what you pay in VAT, whether it's goods or services. Then the next question is, where are the limits of this going? For if the extent of the activities of voluntary Norway is taken as a basis, this may be the case. Today, we're talking about $1 billion. But if you don't make any limitations on it, you can easily see that you give tax exemptions to a much larger extent than everyone thought when you introduced it, for example. by the fact that different voluntary organisations on behalf of their members go to the purchase of goods or services, which are then resold with a small profit, avoiding VAT – it could be travel, it could be sports equipment, it could be anything. Without a limit, it is fully legal, but probably not the intention of the proposers. Then is the next question – my third question to the opposition: How do you find a reasonable limit to that? I do not expect that the intention is that more players in voluntary Norway should be able to see that there are some possibilities that go far beyond what will be VAT compensation today. Now no one has to accuse me of suspecting volunteering or anything. Without any limitations, that would be fully legitimate. If anyone has any advice on how to do this, I'd be happy to accept it. Here are significant challenges in how this is to be implemented in practice. But if the opposition and position agree that what we're talking about is a stepping up of support for voluntary Norway, net, at the top of what is, at about. One billion kroner, if we agree that this is going to happen as unbureaucratic as possible, so that even small teams and organisations can distribute that billion without having to pay a lot of money to access any of that billion, and if we agree not to make rules that lead to VAT exemptions for a lot of activities that are currently not part of the volunteer's work, we have actually come quite far on the way, because then there are only questions about how we can arrange this. So just finally, what's VAT? VAT is what the end-user pays. The final user pays VAT – 25 pst. That means that those who are guests of a hotel pay the VAT. This means that the voluntary sector, because they are the end-users and the last ones, does not sell on and take VAT of the ones they sell to. Because if the voluntary sector sells a sausage to someone, they don't take VAT. They therefore pay VAT. I think I get – and I'm sure all the finance ministers, they've probably gotten through history – three-four-five proposals, it might have been an exaggeration, but one or two in a week, about good purposes that should drop VAT, whether it's environmental investment or cancer medicine, or it's a lot of societal tasks, important things, which you think it's unfair to pay VAT on. There are good arguments for each and every one of them, but it is still that the sum of saying yes to everyone is a significantly slimmer common fund and less to all. This was really just to invite the opposition in to give some advice along the way. If they agree with the issues that I have now extended to the Storting, I would like to accept some advice, because voluntary work and the way we can support the job that many do after a long working day for the young people of others and their own, for their own pleasure – let's now remember that it is a very driving force also that someone needs one, and that one is useful and beneficial to society – if there is agreement that that business should be strengthened by DKK 1 billion net, that it should happen unbureaucratic, and that it should happen in such a way that it hits the business that is today, and not a lot of other business that was not intended, we have come quite a long way on the way.
ParlaMint-NO_2009-04-02.ana.ud2081e2575	It's going to be line change.
ParlaMint-NO_2009-04-02.ana.ud2081e2578	I record that the Minister of Finance is trying to problem – or perhaps better – talk away from what matters. The minority proposal reads as follows: ‘The Government asks the Government to present a case on how to exempt the voluntary sector from the VAT burden linked to the purchase of goods and services on a permanent basis and to assess the speed with which such a permanent scheme can be implemented.’ It's possible I'm a little slow, but what's really unclear about asking the government to investigate this? Why does the Minister of Finance have to come to the main hall and ask us to specify more what we want to know? That is exactly what we are asking the Ministry of Finance, with the staff of the Ministry of Finance, investigating. What's the problem?
ParlaMint-NO_2009-04-02.ana.ud2081e2588	I register that Tybring-Gjedde wants me to sit forever. I would have thought that the opposition who is so proud that it has gathered on common remarks for once, has also thought of some concrete thoughts about how they have intended to implement a matter so important to many, many people who are engaged in voluntary work every single day, for which the opposition is out and flagged, but without saying how they have actually intended to implement it. I had actually expected to have some concrete suggestions on how to define this, about what you talk about in sum, and that you had a reasonable plan for how to implement it when you're so tall and dark.
ParlaMint-NO_2009-04-02.ana.ud2081e2595	Both the representative Lundtigen and now the Council of State have wanted more investigations from the opposition. We probably don't have the big apparatus for that, at least not until we get to the harvest. Then it's possible that we can do something about it. I think the Council of State is putting this matter a little wild when she wants to have stated an amount from the opposition. What we are talking about here is that voluntary organisations should have the freedom contained in VAT refunds. I think I'll ask the Council of State a technical question. In the hall here it's said from the Center Party that they want this arrangement, and from the Micasen that he might want it. Does the Council of State feel that it is more difficult for thousands of small businesses in the country, often with perhaps one employee, to deal with VAT legislation than it will be for organisations organised through the Register of Freedoms?
ParlaMint-NO_2009-04-02.ana.ud2081e2604	Yes, I think it is quite demanding to deal with the VAT register. We have to remember that around the country there are a lot of small, voluntary organisations that don't have a single employee, that carry out all this in their spare time, and that to comply with what is today's law, they will need professional help. However, there is only one way to implement VAT compensation, namely to introduce a zero rate. Another way to think about it is you get back what you paid in VAT. But the opposite is that if you don't make boundaries that make sense, you open a bar door and make a lot of activity that goes far beyond the volunteer in Norway today can get tax exemptions. Otherwise, I have to say that if it is to be on the wrong track to talk about what the government is in favour of, is to increase the support for volunteering by NOK 1 billion, and the opposition is unable to say what we're talking about in dollars and ears, I put a question mark on the commitment to volunteering.
ParlaMint-NO_2009-04-02.ana.ud2081e2611	I notice basically that every time the Council of State feels a little shivering, it is high and dark that is being pulled forward. Then you've kind of placed the thing where it really belongs, I see. I think the matter is a little too important for that. I think it is particularly important that the Council of State asks questions about the involvement of the voluntary sector. I'm actually tempted – if you start at that gallie first – to ask why the exposure is so great for a system and not for those that the system is supposed to serve, in this context VAT. In fact, the Council of State has refused to investigate this properly. Coming now and asking for opposition advice is mildly said specifically. We have not seen one attempt by the majority parties to meet something or to ask for a consultation or to join in on common comments. So my question is, is it that the Council of State has, in reality, removed this possibility of compensating the voluntary organizations? Is that what's behind it?
ParlaMint-NO_2009-04-02.ana.ud2081e2618	No, it's not. That's exactly what it says in this case, that's exactly what we're talking about, and I've also invited the opposition to participate in some of the dilemmas you're in, in terms of how to design and transfer to voluntary Norway a support to an extent that goes about what they're paying in VAT today. There are a lot of dilemmas. It's not hard to see that it's going to be challenges. It's going to be for any government. I have to repeat that I think it is strange that the opposition does not have an approximate, common perception of what they believe the support for voluntary Norway should be increased by. It's not in the comments from the opposition. There are no comments from the opposition on what they believe to be the scope of that support or on whether there are any challenges to demarcation. If we agree that it is approx. One billion kroner, if we agree that it's going to be unbureaucratic, and that there must be some constraints there, we've come a very long way.
ParlaMint-NO_2009-04-02.ana.ud2081e2625	I am very surprised and provoked by the fact that the government has led the Freewill of Norway behind the light. At the voluntary conference, the Prime Minister expressed expectations that something would happen at the rate of VAT on voluntary work. But the reality is that when the selection went down, it prevented a man from finding out what this would lead to. When the Christian People's Party has taken matters up on the Stortinget and e.g. The Ministry of Finance asked what it would cost with zero rates and various rates, and the Ministry has not been able to answer that, the least government could contribute to a proper settlement of this. But they've trained it and said that one should rather give one billion dollars in extra support and then control it, instead of listening to what the volunteer sector itself wants. Why doesn't the government want it?
ParlaMint-NO_2009-04-02.ana.ud2081e2631	Yes, but we do. It's the volunteers themselves who say that $1 billion is approximately what they pay today in value added tax. They argue, of course, that they want to use most of what they have of incomes and forces, of the voluntary efforts they make through their organization, and I have a great understanding of that. The question is then: how is it reasonable to support voluntary Norway with DKK 1 billion in such a way that we do not get into difficult balances with other considerations? And those considerations have all the parties -- so does the opposition. I believe that the Christian People's Party does not want small, local organisations to sit and keep VAT accounts in the evening over the kitchen table, and that it should be unbureaucratic. I expect that you do not want to create a system of VAT compensation that is such that it opens a door for activities that voluntary organisations can then start with and that would be fully legitimate. There are some dilemmas about how to design this. I have invited Stortinget to join in and discuss that. I find it strange that the opposition has no further answers.
ParlaMint-NO_2009-04-02.ana.ud2081e2636	No more words have been asked for a line. The President will propose that the speakers who will be given the floor now have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2009-04-02.ana.ud2081e2641	If we peel away difficult words and expressions, the reality is that the voluntary sector currently has an extra cost of 25 pst. when they buy goods and services. It's called VAT, but it's actually a tax on voluntary work, and it's unfair. For the nth time, I object to a good VAT refund scheme by the Ministry of Finance. Different compensation schemes have been tried out over time, and every time it still has up to date with bureaucratic and little accurate arrangements. Therefore, the voluntary sector is asking for entry into the VAT register – for zero rate. It does it neatly, it's boring, and it's a code to stick to. And it's very good to create a simple reporting system for small businesses. The Christian People's Party has ours, is, and will be crystal clear that this unimaginable treasure of voluntary work must be removed. There is no room at home for many, many hours of voluntary work and effort to disappear in the state register. Norway has under 5 million inhabitants, but voluntary teams and associations have over 11 million members. Practically every Northman is involved in volunteering, and many are part of many organizations. As far as I'm concerned from Soria Moria, there was talk of full VAT exemptions for our 150,000 volunteer organizations. Nothing has happened. Last weekend, the Senterpartie would remove VAT for voluntary teams and organisations. Today, they will vote against the removal of VAT for voluntary teams and organisations. I understand that people are confused by this. Voluntary teams and organisations carry out invaluable and irreplaceable community work and a social effort. Voluntary teams and organisations are quick to obtain VAT exemptions. They need more. It doesn't just help with honest mentions, empty words, and airy promises.
