ParlaMint-NO_2009-11-04.ana.ud60e26	The representative of Christian Tybring-Gjedde will put forward two proposals for representatives.
ParlaMint-NO_2009-11-04.ana.ud60e1503	I thank the Council of State for the answer. With regard to the Interaction Reform, there is a great deal of lack of commitment to rehabilitation there. I'm recording that the Council of State is very pleased with the situation, but there is actually a sea between the reality that the Council of State has, and the situation that users, as professionals and as rehabilitation institutions, are experiencing, that is, major defects in the offer. And no matter what the Council of State says, the wording is very vague. It is also confirmed by the Government’s own budget for 2010, where there is a lack of escalation and a commitment to habilitation and rehabilitation. The Soria Moria I commitments are not met and the lack of commitment is also unfortunate in relation to the national strategy. This leads to considerable uncertainty for users, leads to poorer supply and unnecessary keeping out of the labour market, and many suffer from reduced quality of life. This is a fact. When will the Council of State and the Government take the challenges of rehabilitation seriously?
ParlaMint-NO_2009-11-04.ana.ud60e1512	I just have to show you what I said. I believe that the measures taken by the Government, the plans in place, which have also been dealt with and developed by the Health Directorate, also show a commitment in this area. I have a great deal of understanding that those who don't get rehabilitation in time get poor quality of life. I'm also very concerned that we're going to succeed better in this area. At the same time, it has been a bet, and it will be an important area in the future.
ParlaMint-NO_2009-11-04.ana.ud60e1519	Thus, ‘great understanding’ is not enough for those who need rehabilitation. It is a fact, as both professionals and users perceive, that the Government lacks the will to invest and prioritise in this area, both in terms of treatment provision and research and development. The government itself says in the budget that ‘there is a lack of consistency between supply and needs’, and they also say that they want to have the ‘best possible knowledge base’ for development in the field, both in the first and second line services. This concerns the provision of rehabilitation services to children, young people, adults, young people with diseases and disabilities and those with hearing impairment. And it's going to develop and spread knowledge. For all of this, the government has invested 17.7 million. kr. Does the Council of State really believe that this is a commitment to obtaining the necessary knowledge and development across the field, both in the first and second line service?
ParlaMint-NO_2009-11-04.ana.ud60e1526	If that was the only amount we spent, it would be completely wrong, but it is not. As I say, this is of course an important area. It's important for those who need rehabilitation, actually to get it. At the same time, we know that this is an offer given throughout the country. I come from a part of the country where there is little provision for rehabilitation, and very many people have to travel to other parts of the country to get an adequate offer. It is clear that it is desirable to develop this offer further, and that is something we are about to do. It's not that this is down-priority from the Government. This is something we are concerned about, but we are also concerned that the provision of rehabilitation is to be an offer of high quality.
ParlaMint-NO_2009-11-04.ana.ud60e1536	I have the following questions for the Minister of Health and Welfare: ‘According to the National Survey of the Health Authority in the summer of the manning and competence of the car ambulance service, every fourth ambulance was not manned in accordance with the applicable regulatory requirements. Several health establishments have stated that with their current educational capacity and recruitment they will not be able to meet the requirements of the emergency regulation before the expiry of the transitional regime on 1 April 2010. What will the Council of State do to ensure the proper manning and competence of the ambulance service by 1 April 2010?’
ParlaMint-NO_2009-11-04.ana.ud60e1545	The government emphasises the need for the people across the country to feel secure that they have access to ambulance services of good quality and competence, good preparedness and adequate response time. The ambulance service has evolved from being a pure transport service to becoming an increasingly advanced healthcare service. This means increasing demands on the competence of ambulance workers. The public investigation ‘In case of urgency.....’ from 1998 pointed out that there were considerable differences in the training and competence of ambulance staff. Since then, systematic follow-up work has been carried out on the recommendations of this NOU. In the emergency message, from 1999 to 2000, the Stoltenberg I government proposed, among others: the competence requirements for ambulance workers were to be laid down. Emergency medical services outside hospitals, adopted in 2005, shall provide the public with adequate emergency medical services outside hospitals. The regulation requires that the ambulances be two-men's officers and that at least one of them should have a letter of formal qualifications as an ambulance worker. At least one of the ambulance staff shall hold a certificate of competence for the driver of the call-out vehicle. In many places, it was not possible to introduce the skills requirements as early as 2005. It was therefore possible to derogate from the competence requirements until 1 April 2010, as the representative of Davay correctly points out. Regional health establishments are responsible for providing good and sound specialist health services to the population in their region. It also applies to ambulance services. I am well aware of the uncertainty about whether healthcare companies will be able to meet the competence requirements when the derogation expires. Health businesses have made considerable efforts to increase their skills and train enough professionals in the ambulance sector, but access to qualified personnel has been a major challenge for many health businesses. The Ministry of Health and Welfare has therefore asked regional health establishments to explain to what extent they will be able to comply with the staffing requirements of the regulation by the end of the period. Furthermore, we have asked for an explanation of the plans in place to meet the competence requirements. We have received a preliminary answer from Health Mid-Norway and Health Nord. They assume that health establishments will be able to meet the competence requirement within the time limit with their crew. They point out that it is working systematically to meet the requirements of the regulation for staffing, and we will naturally follow this closely in the future. The Government will follow the efforts of health establishments to meet the regulatory requirements closely and is confident that the requirements will be met when the derogation scheme expires on 1 April 2010.
ParlaMint-NO_2009-11-04.ana.ud60e1564	I would like to thank you for your answer, and I fully agree with the Council of State that the ambulance service has become much more than a transport service. It's in many ways the hospital's extended arm. There is a clear need for competence. It's nice that some regions might seem to be able to do this, but others point out that they won't be able to do it. The Council of State points out that regional health establishments are responsible. While this is true, the Council of State also has a responsibility far beyond this, it is at least not the regional health companies that provide training capacity for these groups. So my follow-up question is whether the Council of State will be involved in possible numerical targets for multiple learning places, as well as other measures that should be included in a targeted plan to ensure emergency medical preparedness. This cannot be done by regional health enterprises themselves.
ParlaMint-NO_2009-11-04.ana.ud60e1571	As I said, it is systematically working to meet the requirements of the Staff and Competence Regulations, and we will also follow this closely in the future. We have received answers, as said, from two of the regional health companies, and we follow their work and are confident that they will be able to meet the requirement when the exemption system ends on 1 April next year.
ParlaMint-NO_2009-11-04.ana.ud60e1576	I thank you for the answer, and I see very strongly that the Council of State believes that all the regional health companies will actually do this despite the low educational capacity. Then we're going to hope that that's right. I have another question. It is crucial that urgent and qualified emergency assistance is provided and that the report on the ambulance service, received by the Ministry in March 2009, concludes that today’s minimum requirements, i.e. those currently in the regulation, are simply too low and that crew requirements should and must be raised by 2015 and 2020 respectively – in addition to today’s requirements. My question to the Council of State is whether the Council of State shares this assessment, that we need additional competence than what we have in today's regulation.
ParlaMint-NO_2009-11-04.ana.ud60e1583	I feel that you can never get enough of it. But at the same time, I would like to say that once you have set a target for a quality in the ambulance service, and that is a deadline for you to comply with the regulation – 1 April next year – I am at least very concerned that we will succeed with it, and will focus on it in the future. Of course, it is then a strong objective that we should at least achieve the quality objective that there is sound staffing and competence in the case of ambulance personnel.
ParlaMint-NO_2009-11-04.ana.ud60e1591	I have a question for the Minister for the Environment and Development: ‘Norwegian waste industry has for a long time requested the removal of the combustion levy in order to reduce the export of waste to Sweden. The industry reports a sharp increase in waste exports following the entry into force of the landfill ban on 1 July and that Norwegian incineration plants are now experiencing a shortage of waste. In the 2010 state budget, the Government proposes to increase the combustion levy on the contrary. What measures will the Council of State take to slow waste exports and ensure that Norwegian waste is used for environmentally friendly energy production in Norway?’
ParlaMint-NO_2009-11-04.ana.ud60e1600	The introduction of the landfill ban was a very important step in waste policy. We knew in advance that there would be a lack of national treatment capacity for the first time. The great activity we are now seeing in the Norwegian waste industry is a sign that the ban is working, and that the capacity is now under development. With regard to ensuring the development of combustion plants and district heating networks, it is unfortunate that the framework conditions are so different in Norway and Sweden. We therefore monitor the situation and continuously assess whether the State instruments used in relation to waste and district heating are correct. We do not yet have enough combustion capacity in Norway to deal with all waste covered by the landfill ban. In this situation, I see it as positive that the waste is used energy in Sweden. I believe that we have advantages of having an open waste market, but will nevertheless see developments in the waste market. Putting restrictions on exports of certain types of waste is an opportunity that I take with me.
ParlaMint-NO_2009-11-04.ana.ud60e1609	Norwegian District Heating, KS Holding and Waste Norway previously submitted this week a study based on their member companies, which shows that if the combustion charge is removed from residual waste, the shipment of waste currently going to Sweden will be reduced by half. We are also told that several new start-ups within the district heating system have now been put on ice because of this charge. It's e.g. The Battle of Energy Recovery in Vestfold, in Alvdal, Bodø, Trondheim, Buskerud and Tromsø. We also see that several combustion and district heating plants now need to use oil and gas, and this will lead to CO2 emissions in 2010 of up to 114 000 tonnes. Is this a turn that the Council of State considers desirable?
ParlaMint-NO_2009-11-04.ana.ud60e1617	Let me make it clear that of course we're going to go through the material and the experience that comes. The landfill ban has just come into force, so you have to let it go for a while before you see how it works. The material that the questioner refers to, we're going to go through thoroughly. We have to follow this market very closely in the future to see if it needs to be changed. Let me also add that the most important thing to the seventh and last of all is that the waste is recovered. Either it is recovered in the form of material recycling, which is always the best, or in the form of energy recovery, which is also good, is the most important thing that it happens. But we want more of that to happen in Norway, and we need to follow the market in the future to see if we have the right means to do it.
ParlaMint-NO_2009-11-04.ana.ud60e1624	I'm glad the Council of State takes this offensive attitude, because that's what I'm reading out of the two answers that are now given. The Swedish have already decided to remove this levy from next year, so there will be an even more distorting system between Sweden and Norway in this area. This has some implications for us in Norway saying that we should develop district heating. Then we need more waste to fire these combustion plants. Otherwise it's a little weird that we spend money through Enova to build district heating, and then we don't have anything to fire them with that that's environmentally friendly. I am pleased with the signals that are now coming, but I wonder that the government in the 2010 budget is increasing this charge instead of at least keeping it stable. I am asking the Council of State for an answer as to why there will be an increase when someone will follow this matter carefully.
ParlaMint-NO_2009-11-04.ana.ud60e1631	Let me return the compliment and say that I am very happy that the questioner does not make it as wrong that we have a single market for this, because it only creates more efficiency and makes sense. It is not wrong in itself that something is recovered in Sweden. Nor would it be wrong for any Swedish waste to be recovered in Norway. So that's a positive starting point. I fully agree with the questioner's starting point, and I also said that in my answer. Clearly, major challenges are being created when there are significant differences in the framework conditions in Sweden and Norway in this area. We need to look at whether something needs to be done with those framework conditions, but it has to be based on an assessment of the evolution of this market in the future.
ParlaMint-NO_2009-11-04.ana.ud60e1641	From the representative of Mr Jørgen Bekkewold to the Minister for Justice: ‘If an Iranian homosexual seeks asylum in Norway, the foreign authorities will assume that he will be able to live up to his sexual orientation if this occurs within the socio-cultural framework in force in Iran. The framework for what is socially accepted in relation to gay life is very limited and associated with possible criminal reactions in Iran. In practice, Norwegian foreign authorities require that the homosexual conceals his or her orientation. Does the Council of State consider that it is an acceptable requirement to apply to a gay asylum seeker?’
ParlaMint-NO_2009-11-04.ana.ud60e1649	This question has been postponed to the next Question Time.
ParlaMint-NO_2009-11-04.ana.ud60e1655	From the representative André Oktay Dahl to the Minister for Justice: ‘The Executive Board for Emergency Communications has received significant comments from the National Audit Board on the management and implementation of the emergency network project. The need for the emergency network is considered to be greater now than when it was adopted. The size cannot be said to have received sufficient information, and the information has been late. What concrete measures does the Government implement to limit the adverse effects both in terms of safety and financial terms?’
ParlaMint-NO_2009-11-04.ana.ud60e1663	This question has been postponed to the next Question Time.
ParlaMint-NO_2009-11-04.ana.ud60e1669	From the representative Anders B. Werp to the Minister for Justice: ‘There is considerable and valuable work to be done in criminal matters. How will the Council of State contribute to increasing research on the impact of housing in Norwegian prisons, with special emphasis on what can reduce relapses?’
ParlaMint-NO_2009-11-04.ana.ud60e1677	This question has been postponed to the next Question Time.
ParlaMint-NO_2009-11-04.ana.ud60e1683	This question, from the representative Tina Bru to the Minister of Justice, will be answered by the Minister of Health and Welfare on behalf of the Minister of Justice, who has left.
ParlaMint-NO_2009-11-04.ana.ud60e1686	I will ask the following questions to the Council of State: ‘In the submission of the State budget for 2010, a major effort was announced within the police and prosecution authorities as a result of an increased framework of DKK 1.3 billion. It is somewhat unclear how these funds will benefit the various police districts. To what extent does the submitted State budget contribute to ensuring sound police personnel in the form of increased staffing in Rogaland Police District?’
ParlaMint-NO_2009-11-04.ana.ud60e1695	Never before has a larger increase in the budget of the police and prosecution authority been proposed than that presented in Prop. 1 S for 2010. There is a total of DKK 1.3 billion in increase over the 2009 budget, DKK 1.2 billion if compensation for wage and price increases is deducted. Following the adoption of the budget at Stortinget, the appropriations allocated to the police are allocated to the Police Directorate, which makes the specific allocation to each police district and special body. The distribution takes place on the basis of a resource allocation model based on a number of criteria related to police response, where crime prevention and security represent the main areas. I can therefore not now say what allocation Rogaland police district will receive for 2010. However, Rogaland Police District will have the full-year impact of the 25 civilian positions given to it in the 2009 government action package. In addition, Rogaland Police District will have an increase of two years’ work to the Service Centre for Foreign Workers in Stavanger from the autumn of 2010. This is in addition to two annual works already decided on in 2009. Other changes will be decided by the Police Directorate after discussions with the police officials’ organisations. The State and the main associations agreed on 9 July 2009 on a new agreement on the working time arrangements for the Police and Leniency Committee. As part of the agreement, it is agreed that approx. 9 000 employees receive an extended working time of one hour per day. weeks from 1 October 2009 to 1 August 2012. This represents an estimated 230 year-old resource increase for the whole country. For Rogaland police districts alone, this means about 440 hours per day. week, or approx. 12 years' work. The agreement therefore represents a significant resource growth. The Ministry of Justice is informed by the Directorate of Police of the allocation of appropriations to each police district and special body in January/February 2010.
ParlaMint-NO_2009-11-04.ana.ud60e1708	I thank you for your answer. Rogaland police districts are in a difficult and challenging situation. Ensuring the security of citizens is one of the main tasks of the State and, as the Government itself writes in the draft budget, ‘a major public responsibility’. In a welfare society like Norway, it becomes unacceptable that people should experience a sense of insecurity when they go out, or feel that the police are unable to assist when needed. Rogaland police district is understaffed in relation to the criteria used in the calculations of the Fürst and Höverstad model. Now that the Government says that it wants to bet on strengthening the police, can the Council of State guarantee that the criteria from the model will be based on the allocation of funds to ensure adequate staffing of Rogaland police districts?
ParlaMint-NO_2009-11-04.ana.ud60e1717	As I said, it will only be clear in January 2010 when the final distribution is adopted. But it is clear that the funds are distributed according to the needs that are around the country. It will be taken into account. Another issue that is important here is that there has been a fall in the education of police students. Our government has increased it a lot. It is also a significant increase for 2010. It will also remedy the situation and make us get more police, which I also understand the questioner is concerned about.
ParlaMint-NO_2009-11-04.ana.ud60e1722	One of the criteria used in the model is population growth. Rogaland is experiencing strong population growth and therefore has a growing need for increased resources to ensure the safety of its citizens. Not long ago, a 26-year-old girl in Rogaland felt that she had to flee from her own house when an aggressive and rabid person broke into her house, because the police had no resources to get to her rescue. When the Rogaland police have to fail one of their most important tasks because of the lack of resources, it becomes clear to me that the district is unwarrantably low manned as regards the call-out capacity. That is why I hope the Council of State can respond to the following: if this draft budget is taken into account, how far away is Rogaland Police District to meet the criteria underlying what is considered to be a proper manning in Rogaland Police District?
ParlaMint-NO_2009-11-04.ana.ud60e1729	I have to refer to the answer I gave. Then I will pass on this question to the Minister of Justice and ask that it be answered in writing, because it is not possible for me to answer anything more than what I have said: the budget has increased considerably in terms of the police. Annual work will be significantly increased next year, also in the light of the agreement with the police. That's very good. There will be a significant increase in the number of policemen – including in Stavanger, as I said. We need to get back to details when the Directorate of Police has done the job they are going to do in the light of the budget adopted by the Stortinge in December.
ParlaMint-NO_2009-11-04.ana.ud60e1737	From the representative Jan Bøhler to the Minister for Justice: ‘Over several years, a number of serious violence incidents related to football matches have occurred. There have been particular violent ‘casual’ environments that plan and organise this. The clubs and the support clubs that the ‘casual groups’ claim to fight for take a strong distance from them, but they depend on the police’s efforts to solve the problem. Among other things, in Denmark, England and Sweden, own legal frameworks have been put in place to improve the police’s ability to prevent and intervene against ‘casual groups’. What action does the Council of State think is needed in this country?’
ParlaMint-NO_2009-11-04.ana.ud60e1745	This question has been withdrawn.
ParlaMint-NO_2009-11-04.ana.ud60e1751	From the representative Elisabeth Røbekk Nørve to the Minister for Oil and Energy: ‘The supply situation of electricity in Central Norway has been strained in recent years, which has, among other things, led to the region being its own electricity price range. Rauma Energi has plans for upgrading Verma power plants in More and Romesdal that can increase the production of renewable energy in the region. Moving the input of the power station to Storhaugen could increase annual power generation from 70 to 150 GWh. Will the Council of State contribute to the realisation of Rauma Energia's plans for the upgrading of Verma power plants?»
ParlaMint-NO_2009-11-04.ana.ud60e1759	This question has been withdrawn.
ParlaMint-NO_2009-11-04.ana.ud60e1766	I will allow myself to ask the Minister for Oil and Energy the following questions: ‘An intention agreement has been concluded with Sweden that a single Norwegian-Swedish market for green certificates should be in place from 1 January 2012. Last time Norway negotiated green certificates with Sweden, it aimed to include all new renewable power generation with construction start-ups after 1 January 2004. Will any new generation of power at the start of construction be expected to be included in the scheme of green certificates after 1 January 2004?’»
ParlaMint-NO_2009-11-04.ana.ud60e1775	On 7 September 2009, Sweden’s Minister of Industry Maud Olofsson and I signed an agreement on the principles of further cooperation. The agreement contains important principles for a common certification market such as the level of ambition, time of entry into force and technology neutrality. There are still some issues related to the establishment and work until the establishment of a single electricity licence market with Sweden. One of these issues is the question of whether the content of a national transitional regime until the single market in certificates is in place. The political platform of the Government of 7 October 2009 states that the Government will present a proposal for a transitional regime until an electricity licence market with Sweden is in place, in order to ensure continued deployment of force. I am now working on the design of such a transitional arrangement and am asking for understanding that I cannot comment at this stage on the content of what this scheme will be like.
ParlaMint-NO_2009-11-04.ana.ud60e1782	I thank you for your answer. I guess we're back where we were too approx. four years ago – with great uncertainty about what would happen to green certificates and the type of ahead arrangements. We have a campaign behind us where green certificates and industrial power were a very central theme, right up to the end of the election campaign. When you look at the press release of 7 September on a single certificate market, there are very vague wordings there: A look at the creation of a single green certificate market. Norway is ‘set up’ to have an ambitious commitment similar to that of Sweden and a common certification scheme ‘should’ be technology neutral. Can the Council of State guarantee that it will actually become a certificate market, and that it will not be like the last time the Red-Green government negotiated with the Swedes?
ParlaMint-NO_2009-11-04.ana.ud60e1793	I am a little surprised that the representative Sødemel is concerned about drawing the agreement that has been made, in doubt. I believe that this is a good and important agreement. It is an agreement that helps to bring about peace in the power market, because it is so clear in the framework of the certification market that we will have as of 1 December 2012. Then I also completely disagreed and surprised at the claim that we are now back where we were a few years ago. I simply think that is wrong. We've taken a big step forward. We have actually negotiated an agreement with Sweden. We have a date for start-up, we have the framework for the certificate market, and we are working on the concrete work for the content of more technical nature – the legislative proposal, etc. So I think what we did just before the election this fall was very important. It was a major step forward, not least in terms of creating stability and calm in the electricity market.
ParlaMint-NO_2009-11-04.ana.ud60e1802	I note that we do not get any answers when it comes to the expansions that have been in place from 2004 until today. However, in the annex to the press release to which the Minister refers, it is recalled that Norway took the initiative to discuss a single certificate market with Sweden as early as 2004. When the red-green government took over in 2005, these discussions were well under way, and one could make an agreement with Sweden. This had led to a significant increase in the production of clean renewable energy. For example, No. farmers and landowners lost large incomes on small power, which could contribute to ensuring bushing and securing income in the districts. Norway has still among the poorest renewable energy support schemes in Europe. What will the Council of State do to ensure that current and future small-scale producers have stable framework conditions that will make them venture to expand, for example. small force?
ParlaMint-NO_2009-11-04.ana.ud60e1807	I believe that what we have now done is to contribute to stability and the foreseeable framework conditions for future small-scale producers, such as for renewable energy builders. What has now been done is that we actually have a concrete plan for the entry into force of the licence market. It hasn't been there before. That means that we now have a stability and a frame around it, which has been in demand, and which has been missing. I have to say that I am very surprised that the representative Lødemel chooses to spend time and effort complaining about what was not happening under the government of Bondevik, and what was not happening three to four years ago, instead of actually seeing the opportunities that lie ahead of not least District Norway to exploit the potential of renewable energy as a result of the agreement that is now being made, and the work that we are doing.
ParlaMint-NO_2009-11-04.ana.ud60e1817	From the representative of Trine Skei Grande to the Minister at the Prime Minister's office: ‘How and in what areas is the Council of State constitutionally responsible to the Stortinget?’
ParlaMint-NO_2009-11-04.ana.ud60e1823	This question is postponed until the next Question Time, and will then be answered by the Prime Minister.
ParlaMint-NO_2009-11-04.ana.ud60e1829	‘The Court of Auditors criticises Bioforsk and the State Agriculture Administration for breaches of public procurement rules. The National Audit Office has found shortcomings in multi-purchase protocols. Biosciences are also criticised for a share purchase without the approval of the Stortinge. What will the Council of State do to clean up the problem?’
ParlaMint-NO_2009-11-04.ana.ud60e1836	In the context of the 2008 audit, which is underlined by the representative of the National Audit Office, the National Audit Office commented on the accounts of Bioforsk and the State Agricultural Administration (SLF). Document No 1 is now under consideration in the Committee on Control and Constitutional Affairs. I will follow up on any comments that Stortinget had to make in this connection. Having said that, I would like to stress that I take the criticism of the Riksaudition seriously, and that the follow-up to the errors and shortcomings of the Riksaudition has revealed is a high priority both in the Ministry of Agriculture and Food and in the establishments concerned. I would also like to emphasise, as I have made in my comments on the points raised by the National Audit Office in connection with the audit of the 2008 accounts, that I have to say that I fully agree with the errors and shortcomings that the Riksaudition has revealed in its revision of the two companies. All establishments under my responsibility shall comply with the laws and regulations in force in the country, not least with the public procurement legislation. The Ministry of Agriculture and Food has presented in the audit dialogue with the National Audit Office a number of measures that the two establishments have already undertaken and will undertake. Examples of actions undertaken by Bioforsk are the establishment of internal control in the procurement field and the centralisation of the purchasing function. I would also like to point out that Bioforsk is committed to external assistance to review and quality assurance procurement procedures. Similarly, the SLF has implemented a number of measures to ensure that errors and deficiencies related to the framework agreement in question are corrected. In the case of the non-authorised criticism of the purchase of shares, the procedures have been tightened up. I now assume that the purchase of shares before approval from Stortinget will not occur. The status associated with the follow-up of the actions will be a central part of the Ministry’s governance dialogue with the two activities in the future. I would also like to point out that the Ministry has strengthened its management of the underlying businesses, among others. as a result of identified errors and deficiencies on the part of the National Audit Office. Here, for example, I would like to mention that I require companies to report in management meetings between the department and the individual activities, and that the follow-up of national audit cases should be part of the general reporting to the ministry whenever necessary. Finally, I would like to stress that the Ministry of Agriculture and Food should have a significant focus on the implementation of the necessary measures by both Bioforsk and SLF, so as to avoid similar errors and shortcomings in the future. With the grips that have been taken and will be taken, it is my opinion that the errors and deficiencies that the Riksrevision has pointed out will be followed up satisfactorily.
ParlaMint-NO_2009-11-04.ana.ud60e1851	I thank you for the answer, and I have another question. Much of what the Riksrevision has found was also found the year before. How can it happen two consecutive years that the same problem is reported by the National Audit Office? Then the minister says that you want to work so that you do not make purchases that the Storting has not approved. Then my question becomes to the minister: why can't the minister guarantee that it doesn't happen, not just say you're working on it?
ParlaMint-NO_2009-11-04.ana.ud60e1858	Councillor Riis-Johansen.
ParlaMint-NO_2009-11-04.ana.ud60e1861	This is Lars Peder Breck. I would like to stress that in the field of the Ministry of Agriculture and Food, the establishment of new businesses and major conversion processes have led to a larger and more demanding task in recent years. The management of the underlying establishments is a central and priority task for the Ministry of Agriculture and Food. And, as explained in the annual budget proposal, the Ministry pays particular attention to the need for businesses to pay particular attention to the follow-up to the matters of the national audit, and not least to good staff and financial management. I would also like to point out that the Ministry has continued attention to the fact that its activities meet the necessary requirements for internal control and risk management. Then, unfortunately, you have had comments in the past, which you have worked with, and you have made changes to the procedures in order to answer that errors will not continue to happen. There is continuous work in my department, as in all other departments, and there is a clear ambition that one should remove the errors that have occurred here. As regards the issue of share purchase, we have introduced rules that it is not permissible to enter into that type of activity in the future.
ParlaMint-NO_2009-11-04.ana.ud60e1872	The Ministry of Agriculture and Food states to the Nations that one of the reasons why purchasing is not controlled is that there are as many as 35 to 40 computer systems. Then my question becomes to the minister: what do you want to do with this? You want to make sure you get fewer computer systems, so we can get control of this, or what are you going to do?
ParlaMint-NO_2009-11-04.ana.ud60e1877	Before the President gives the floor to Councillor Lars Peder Breck, the President will note that all speeches should be addressed to the President.
ParlaMint-NO_2009-11-04.ana.ud60e1883	The question raised by the representative, Mr Tåldal, is relevant and important. I would like to stress that it is a clear ambition to carry out further simplification work within the businesses for which the Ministry of Agriculture and Food is responsible. Within the State's agricultural management, which manages important and large support systems, economic systems, this is not least a major challenge. We're constantly working on providing resources to improve in that area. As far as the issue of control of purchases is concerned, it is important from my point of view to stress that following up the Riksaudition remarks is one thing; being leading was is another thing. I have put in place measures to intensify the underlying agencies and the Ministry to follow procurement procedures adopted by the Stortinget and to follow the requirements and requirements outlined by the work of the National Audit Office. It's a work that I take very seriously.
ParlaMint-NO_2009-11-04.ana.ud60e1893	‘From 1 January 2007, the new warning paragraph was incorporated into the law. This should take care of the alert. The new paragraph has now worked for over two years. Is the Council of State satisfied with the results, knows whether the law has taken care of the alert, and can the Council of State also explain how many cases have been dealt with in the judiciary?’
ParlaMint-NO_2009-11-04.ana.ud60e1900	All establishments, both in the private and public sectors, are covered by the new alert paragraph and the rules apply to workers in all kinds of posts. In addition to the general ban on bullying and harassment in the Work Environment Act, this has provided us with strict protection against retaliation. If the warning is in line with the legal requirements, the employer cannot respond to the warning with e.g.: cancellation, suspension or dismissal. Exclusion, exclusion or change in duties or other reactions having the character of retaliation or penalty are also not lawful. The notification rules also contain a principle of shared burden of proof. Shared burden of proof means that if the employee e.g. if, after being notified, the employer is required to provide evidence that the termination was sufficiently justified in circumstances other than the alert. The Ministry of Labour and Inclusion, in cooperation with the Labour Inspectorate, has developed a thorough guide to understanding the rules. In my opinion, the legal rules provide a good protection for workers who warn. In particular, the prohibition of retaliation and the burden of evidence significantly reinforces the situation of the alert, compared to the previous legal situation. Furthermore, I believe that the broad freedom of expression of workers in general provides a good protection against opinions that are not covered by the warning rules. As the representative himself points out, the rules have only been in force as of 1 January 2007, and have thus had a relatively short period of time. So we have limited experience with the rules. As my predecessor has previously warned Stortinget about, it will be natural to evaluate the legislation to see whether it works as intended and whether the companies follow up their responsibilities according to the law. I am now in the process of assessing the content of such an evaluation. We do not have a complete overview of the number of cases that have been dealt with in the courts. However, a review of cases that have been dealt with in justice since the entry into force of the new alert rules will, in my view, be a natural part of such an evaluation.
ParlaMint-NO_2009-11-04.ana.ud60e1909	I would like to thank the Council of State for the answer. I can inform the Council of State that there has probably been one case since the warning paragraph was adopted in Stortinget – one case that has actually been through the judiciary. We know that there are many alerts who have tried to get their case up, but for economic reasons, you are put in a hopeless situation that alerts you because you become to a large extent the one who has to take the burden of proof. I also think it is special that the Council of State says that you have a good protection and that you are being well cared for. In any case, the alerts I have been in contact with often experience that when you meet the public, the big question is, What do you want with this, and why do you raise the matter? I think it is good that the Council of State says that she wants to initiate an evaluation. But I also want to challenge: Will the Council of State ensure that some of those who have got their case up in the judiciary – or who have tried – are included in such an evaluation, just to ensure a good evaluation and follow-up?
ParlaMint-NO_2009-11-04.ana.ud60e1920	I believe that the law we now have has made the situation for many alerts considerably better. It will be so important for us to know how the legislation and the law have worked in practice. That is precisely why I believe it is important that we now, relatively quickly after the law was implemented in Stortinget, also initiate an evaluation. A broad evaluation must include all those who are related to the law, including those who have tried their cases. Of course, I want to make sure that we have an evaluation that gives us enough knowledge to see if the legislation has worked that way when the Stortinget passed the law.
ParlaMint-NO_2009-11-04.ana.ud60e1925	I record that the Council of State is very clear that it has improved. One of those who have won a case that alerts – the only one who has won since the new law came into force – is sitting here. I don't think he experiences it in the same way as the Council of State – that this has become a better way, that you are actually being cared for as alerts. In the two cases of warning that have actually been won, they both say that if the law continues to be the way it is now, and you don't do anything about it, you might as well remove the entire alert paragraph. After the paragraph came, it has actually become worse to get through the legal system than before. So I hope the Council of State will answer that clearly. I would also like to ask the Council of State: will the Council of State now consider introducing some arrangements that would allow, if you are an alert and have a good case, you should have the opportunity to send your case to and get your case brought through the legal system, without risking having to end up in personal economic ruin? It is the everyday experience of many of the alerts. So because of the legal system and the payment system, you risk not getting your case up, and you're left as a debt slave.
ParlaMint-NO_2009-11-04.ana.ud60e1932	I still believe that the law has contributed to the fact that we now have a legal status that means that the alerts have a protection that you did not have until you got the new law in place. So I believe that when we first go into an evaluation, we need to evaluate all aspects of what is fact, and also maybe see if we have payment arrangements that prevent people from bringing cases before the judiciary. The Ministry of Justice has arrangements that could be applied. However, when we undertake an evaluation to see if it is necessary to make changes, all aspects of the case will be important to be briefed. I don't think the direction that Bård Hoksrud suggests – that we should go back to the state as it was before the new law – will be the right one. But we should look through this to see if we can make changes.
ParlaMint-NO_2009-11-04.ana.ud60e1942	I have had the pleasure of asking questions to the Council of State earlier today, and continue with the following questions: ‘The Court of Auditors’ report on the audit of the work and welfare budget for the financial year 2008 shows that the budget has had major management problems. The report tells of the failure of internal control procedures, the lack of follow-up of services and the large number of procedural gaps. On 1 March 2010, a redundancy allowance is introduced. What action does the Council of State take to ensure that this introduction is carried out in a sound manner, without prejudice to the legal certainty of users and the increased workload of staff in the establishment?’
