ParlaMint-NO_2009-12-09.ana.ud773e67	The representative Peter Skovholt Gitmark, who has been on leave, has again taken the seat.
ParlaMint-NO_2009-12-09.ana.ud773e3474	There are many legal questions that lawyer Michael Tetzschner and I could stand here and discuss. It is quite right, as was said, that the new system is based on objective liability. There is also reason to note that laws normally do not have the mechanism to give retroactive effect, but here we get to a compensation scheme that actually allows for those who may have damage that is older than that on which the law is based. And that a new circumstance occurred in 2005, when the mandate was given to personnel for international operations, should also be included in this picture. It's a rhetorical point, which must also be pleasing to the Right, that this government has taken hold of this question, which the Bondevik II government did not reach.
ParlaMint-NO_2009-12-09.ana.ud773e3483	Known information suggests that the situation in the Faryab province of Afghanistan, where the Norwegian forces are located, is likely to escalate worse during the financial year. Based on this known information, the United States has decided to send 30,000 additional forces, and the NATO Alliance is increasing by between 5,000 and 7000 staff. The government said no to the NATO Chief's primary wish during his Oslo visit, where he asked for a strengthened Norwegian troops contribution and a civil contribution. Would not Norway's no obviously weaken the security of Norwegian civil and military personnel in the Faryab province during the financial year?
ParlaMint-NO_2009-12-09.ana.ud773e3490	I feel confident that a balanced effort, as Norway provides both civil and military in Afghanistan, is the right way to go. On the military side, our efforts have gained great recognition. Our equipment of efforts with greater emphasis on mentoring, training and training of Afghan forces is now actually also being followed up in the ISAF regime. We also made adjustments, not least in the light of the security situation, some time ago. We have also wanted to assess any need for adaptation, including: in the light of the publication of new contributions by the United States. We contribute with considerable resources of high quality and will continue to do so. And as told, I also come back to Stortinget with a proposition about our efforts in 2010.
ParlaMint-NO_2009-12-09.ana.ud773e3495	Let me confirm to the council that the Christian People's Party wants to cooperate on the implementation of the long-term plan, based on the position we took to the plan when it was dealt with here in Stortinget. But we're going to do it with a critical look, because we're not as convinced as the Council of State that the allocation proposed today is enough to keep a desired level of operation and exercise. My question to the Council of State is about the relationship with veterans from international operations. The Christian People's Party is pleased that we have received the entire committee on a note that points to the need for a better follow-up of veterans who are suffering damage. The majority of the Committee supports a note that the allocation to the VA for damage in international operations should be strengthened. Those at risk of their own lives in Norway should experience that we are preparing for them. Therefore, my question as to whether the Council of State will provide for a larger investigation into damage among veterans in international operations and whether it will follow up the majority comment on increased support for SIOPS.
ParlaMint-NO_2009-12-09.ana.ud773e3502	I can promise the representative Høybråten that veterans will have a lot of attention from my side. As a follow-up to the issue being dealt with in Stortinget, we will now prepare an action plan in the Ministry. Of course, it will be based on both experience and input from organisations, as well as on what we have already identified by actions. SIOPS will be an important partner for us. I have also announced that in the Nordic Minister of Defence cooperation, veterinary matters will be one of the key issues in the coming years when I have the Presidency on behalf of Norway – and there will again be cooperation with the veterinary organisations at the centre.
ParlaMint-NO_2009-12-09.ana.ud773e3509	The cord shift is over.
ParlaMint-NO_2009-12-09.ana.ud773e3512	Norway is a small country in a densely interwoven world. We always have to remember that most people live in India and China. Globalization is very positive for us. We are one of the world's winners because of globalisation, not despite it. It has given us access to important markets for our export industry, it gives us greater cultural understanding, and it has given us cheap imports of consumer goods and access to labour through labour, particularly through the EEA – to mention something. The world is in a very serious financial crisis, and the financial crisis also affects foreign policy in several ways. The need for stronger control of financial markets is evident and there is a willingness to do so, including: in the EU. Large budget deficits during the financial crisis in very many countries also lead to cuts in many national budgets. Norway is in many ways an exception. The financial crisis is therefore a very good example of how the global and national are two sides of the same coin. Today, the Nordic regions are Norway’s main strategic focus on foreign policy. There's a lot of reasons for that. Climate change is very visible in the north. Northern areas are likely to have large oil and gas resources and some of the world's richest fishing resources. When the melting of the ice opens up new and shorter international transport routes between the Pacific and the Atlantic, which are too cold for pirates, new challenges and opportunities await in the area. We have an active policy in the northern regions. Both enhanced cooperation with Russia and our Nordic neighbours through Barents cooperation and Arctic cooperation is very important for Norway. Nevertheless, the people who live in the north, and who live in and with resource wealth, are the best of all to see the results of the effort. The Barents region is in reality becoming a single labour market. The future in the north implies increased activity on both the Norwegian and Russian sides. From 3000 border crossings between Norway and Russia in 1990, almost 110 000 cross the Norwegian-Russian border this year. The drivers behind them include: Norwegian enterprises with labour shortages, which will employ Russians, but more Norwegian enterprises are now engaged in Russia. Only in Murmansk, I've heard, over 20 Norwegian companies are established. It is important to have a simpler regulatory framework for border control with Russia in the north. Norway is now negotiating with Russia on a local border traffic regime, which will allow the population of border areas – within 30 km of each side – to cross the border without a visa. I hope we succeed in that. After the government’s Northern Territory Initiative was presented in the previous period, it has been increased by DKK 1.5 billion. In 2010, we are increasing the allocation by new 550 million. kr. It provides room for seven long-term strategic areas involving most ministries. In addition to this, there are several sectoral initiatives, such as: National transport plan and Defence’s long-term plan, which prioritises the northern regions. Perhaps even more than measured in crowns and ears, the political initiative behind the Northern Region Initiative of the Government has produced results. Our position as leading countries in the development of the north is strengthened. It's not obvious, but it's important to us. The understanding of the need for strong Norwegian and international focus and cooperation in the north is established and anchored both nationally, through broad support in the Stortinget, and internationally, through extensive international cooperation, not least through several projects. Both the EU and the US have presented their north-eastern strategies with plans for a stronger commitment. Russia also has such plans. Last night, Council conclusions on Arctic issues were adopted by EU foreign ministers. They conclude here that an EU policy for the Arctic should be based on international maritime law – an important breakthrough for Norway. The Council also opens up to the establishment of an Arctic Information Centre in the EU. The international interest in the Arctic and the northernmost regions of the world will only continue to increase. The government's ambition is to be ahead of this development. This is, of course, a position we in the Labour Party support. To achieve this, work must be part of the daily life of any department. Work must be well coordinated. Study visits and visits to Norwegian and foreign target groups continue to be organised. There's a lot of people who need knowledge about what's going on in the north. This work will be reinforced next year, and reputational work will be strengthened, inter alia. through our foreign stations. It's important. The coastguard oversees vessels and prevents illegal fishing in the north, and has been strengthened in recent years, inter alia. by increasing the number of days sailing. Overfished by cod has been reduced by 60 pst. The phase-in of new frigates will strengthen Norway's military capacity in the north. At the end of the 1990s, Norwegian fighter aircraft were on the wings to follow Russian planes three to four times. Last year, this increased to 87 Russian planes. In the choice of purchase of Norwegian fighter aircraft, the ability to monitor, patrol and exercise sovereignty over large sea areas has been important requirements for the aeroplanes. This also means a great deal in a north-eastern perspective.
ParlaMint-NO_2009-12-09.ana.ud773e3542	As the case rapporteur for the Svalbard budget, I would like to add a few words to that. Svalbard is, of course, a central part of the northern regions for Norway. The management of Svalbard is based on Norway’s full and unrestricted sovereignty over the island group, which is clearly enshrined in the Svalbard Treaty of 1920. The objectives of Norwegian svalbard policy have been established for a long time and form the basis for a stable and predictable exercise of authority for this group of islands. Norway has a significant responsibility for ensuring peace, stability, the protection of the wilderness environment and responsible resource use and management at Svalbard. By virtue of their sovereignty, Norway may also apply to Svalbard all the laws of the mainland as long as the law does not conflict with the provisions of the Svalbard Treaty. One example of this may be that the EEA Agreement does not apply to Svalbard and therefore there are different rules for Svalbard than for mainland Norway. The budget statement shows that Norwegian svalbard policy is largely politically anchored here in Stortinget. It also shows that we're going to go in for a 17.1 million increase in the budget. kr, i.e. 7.4 pst. increase in relation to the 2009 budget. We have previously addressed a report on Svalbard in Stortinget, which also established a broad political consensus on the future. No one visiting Svalbard can avoid being turned off by the powerful wilderness nature of this island group. Svalbard represents a natural heritage and a cultural heritage that Norwegian authorities have a specific responsibility to preserve. One of the main objectives of the svalbard policy is to preserve the unique wilderness nature. The environmental status of Svalbard is essentially very good today. Norway has long traditions of polar research, especially in the Arctic, and is also considered to be a heavy research nation in this field. In recent decades, large resources have been invested in research and education infrastructure, both in Longyearbyen and in New Zealand. This facilitates the strengthening of Svalbard as the international research arena. Further priority for Arctic research is widely supported. A robust presence has been and is an important tool in Norwegian swallowing policy. For a long time, coal has been critical for the Norwegian settlement in Longyearbyen. Nevertheless, coal management is essential for the Longyearbyen as a well-developed family community, and without coal-fired housing would be much less extensive, and likely to vary — at least the number of northern Svalbards applies, as under current rules no restrictions can be imposed on other countries' coal operations and settlements. But even though the coal industry has been and is important, other industries have also taken up their responsibilities. The growth of tourism as a basic industry is reflected in the increase in the number of guest days from barely 20,000 in 1991 to over 86 000 in 2007. Travel life activities in vulnerable areas require both knowledge of the actors and regulation by the authorities. Most of the growth in activity and population on Svalbard can be related to Longyearbyen. The town of Isfjorden has had a significant growth in the population over the past ten years. By 31 December 2008, there were 2,018 residents residing in Longyearbyen. Now, society is facing a capacity limit with regard to local infrastructure. A growth similar to that in the last ten years cannot be expected in the future, and further growth in the population will trigger the need for large investment. The Committee on Foreign Affairs and Defence points out that the Arctic landscape is vulnerable, and it is important that this vulnerability be taken into account by further focusing on business development and travel. These considerations need to be balanced against the general desire for stable family housing. A good swallowing policy requires coordinated efforts by several departments. Coordination of these efforts is important, and it is absolutely necessary to make good use of resources in line with the general political and more specific environmental policy objectives. But activity at nearly 80 degrees north puts both people and equipment on a test. This budgetary position shows that an aggregate increase wants to facilitate good governance where development and activity are adapted to the specific challenges facing the Svalbard community in the future.
ParlaMint-NO_2009-12-09.ana.ud773e3572	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2009-12-09.ana.ud773e3575	Sex is politics. Sex is also an overarching foreign policy. When women can't control their own sexuality, then sex is politics. When early marriage and pregnancy put an end to many girls' schooling, then is sex policy. When almost five million women get health damage every year because there's no order for abortion, then there's six policies. Therefore, the work on sexual and reproductive health is an important part of the Government’s efforts to promote gender equality internationally. Sexual and reproductive health is about pregnancy, birth and sexually transmitted diseases, protection against abuse and access to contraceptives. I am proud that Millennium Development Goals 4 and 5 on maternal and child health are priority areas for us – and I am pleased with the Government's proposal to continue the strong commitment in efforts for women and for gender equality in development cooperation. I have noticed that the Progress Party in the public debate continues to say that they want to combat sexual mutilation, coercion and cultural traditions that weaken women's independence. I am then surprised that they do not prioritise their work towards this higher level in foreign policy. Does the Progress Party believe that human rights are primarily reserved for Norwegian women? Or do they think that market forces will inform women ashore with conservative traditions about their sexual rights? Do they think that trade or increased trade will reduce coerciveness? When the Progress Party will reduce the external budget by more than one third, it cannot be avoided that they also reduce the work that ensures women in other parts of the world the privileges of Norwegian women: the right to education, the right to be heard and the right to shape their own lives. On our scale is 39.6 pst. by the representatives of women. In the assemblies of the world, women only make up 17 pst. The progress party cuts in money that goes to ensure other women the rights that have enabled me to stand here today and for the representative Siv Jensen to become the leader of the Progress Party. Over the last four years, the amount of female-oriented assistance has increased by DKK 2.4 billion. Female-oriented assistance has also increased from 20 pst. to 30 pst. of the entire aid budget. Women's rights are an objective in itself and at the same time a prerequisite for achieving other development policy objectives.
ParlaMint-NO_2009-12-09.ana.ud773e3609	I thought, as a fresh representative, that it was common for decisions to be taken here in Stortinget to be taken by the departments. It is therefore with great wonder that I have noticed the ambiguities surrounding the introduction of the new session system in the Defence. There have been great achievements in projects to improve today's session arrangements, which have very many weaknesses. A new regime would provide for better selection and recruitment to the Defence, but now the Government chooses to introduce a testing scheme because of a lack of willingness to prioritize within its own agreed bets. In any case, it should be a major defeat for the recent Minister of Defence Anne-Grete Stroem-Erichsen to see such well-established and clear action now being overlooked by today's government. We have witnessed a little protective romance from the representative Vedum today. The Minister of Defense did not mention our 7000 to 8 000 soldiers in need of protection each year, with one word in his speech to the Stortinget. But I want to focus on those who make a brilliant effort every single day. There has been a long discussion about the status of protective measures for those in the first-time service. It is therefore with great wonder that I look at the proposal for today's budget, which does not mention a single word about this. I am also surprised that the regime of trustees in the Defence and Defence Staff has developed 55 measures, which they passed on to political teams, and that none of these measures are mentioned in the State budget in a single word. I believe that if today's duty is to survive, we depend on that we have motivated soldiers, that they have a meaningful service, and that they are actually being demonstrated in a way that is worthy in 2009. Today's guardians deserve clear goals, as former Minister of Defence Kristin Krohn Devold did in 2005. She said that we should reach them, in terms of status lifting and compensation for the soldiers responsible. The government's draft budget is described by the soldiers as comical, and then there should be reason to take an extra look at the priorities of compulsory soldiers. I find, together with the Right and with both soldiers and officers in the Norwegian defence today, that the Government has unfortunately failed in this area too.
ParlaMint-NO_2009-12-09.ana.ud773e3627	When we listen to the debate on what is the apparent requirement of the Progress Party for factors to be present in the beneficiary countries of assistance in terms of the degree of democracy, anti-corruption and respect for human rights, it sounds like we are in the future, in order to be on the safe side, should start to provide assistance only to Sweden and Denmark – and it just might be. Assistance itself is a risk project, but assistance works. The great paradox in the world of aid is that the peoples who need our most development work are the peoples who live in those countries with the least democratic regimes, which are often estrangements for breaking human rights and for corruption. I think it's amazing that there are today's government parties who dare to take the tough discussions about what creates development, as well as to come up with the new grips to help where we can best contribute. We have never had as much debate about the device and effect of Norwegian assistance as in the last four years. All those concerned with efficiency and assistance should take note of the Paris Declaration and what it says about the construction of state structures and local ownership, and what it points to by effective instruments in the aid policy. Then I look forward to the point that the Progress Party has once again used a lot of space to criticise – budget support. Budgetary support is an important instrument for precisely responsibleing the authorities of the beneficiary countries so that they take responsibility for their own development. It is important because it supports its own priorities. It involves parliaments, and when it works – and most often it does – it leads to more transparency around budget management as a result of the demands they make with support. What budget support does is to ensure that developing countries themselves have their own hands on the road to poverty reduction. International evaluations also show that budget support is risky, but it works. It has great positive effects. Therefore, it is paradoxical that those batches which claim here that efficiency is more important than the amount of assistance, at the same time cut and reject one of the important means of achieving just local anchoring, accountability and long-term development. It's the results of the assistance that count. That is why I am also pleased that it is today's government that dares to give priority, which dares to focus on the tools that international evaluations say have a great impact.
ParlaMint-NO_2009-12-09.ana.ud773e3640	Now I'm finally going to be allowed to wear my own hat. Freedom of expression is something that we here in Norway take for granted, and I don't think everyone has quite taken on board that freedom of expression is not self-evident around the world. In May of this year, Norway was elected to the Human Rights Council together with, among others, Norway. China, Russia and Cuba. Having a seat in the Human Rights Council commits, and we must not in any way fail to do so even if we sit in the Council. The Progress Party expects Norway to say clearly about violations of human rights. So far, worldwide, 68 journalists have been killed. Of these, 50 are killed in their own country for political reasons. Deaths of journalists occur in Asia, Africa, Latin America and Europe. So this is a widespread phenomenon. Unfortunately, there is an increase in the killing of journalists from last year at 50 p.m., which is a good reason to worry about. Being killed because of their opinions and their willingness to communicate to the population, that is to say to practice their profession, is totally unacceptable. In addition to the slain, the many hundreds who are in prison and tortured, or those who live in their homes but who are threatened to silence, come. From the website of the CPJ, the Committee of Two Protect Journalists, or the Committee for the Protection of Journalists, it is shown that 136 journalists are in prison worldwide, where countries that are just China, Iran, Cuba and Eritrea top the list. Several of these countries are also members of the Human Rights Council. But also countries like Azerbaijan, Russia and Egypt are on this list. We cannot accept this, and I hope that we on the Norway side are clear and clear that we cannot accept this. In all the forums we are in, and where human rights are a theme, we need to address precisely the right to freedom of expression. I have visited countries like Ukraine and Russia, where I have met opposition press and their journalists who say they feel monitored and persecuted. It may seem that the Human Rights Council does not care to a great extent about detaining freedom of expression, but instead compromises are made that aim to limit freedom of expression to the benefit of religion. If the Human Rights Council is to have legitimacy, it must now focus on what is important, namely the protection of fundamental human rights. The Progress Party expects Norway not to be part of these compromises, but to dare there to be other tens. That's how you get respect and integrity.
ParlaMint-NO_2009-12-09.ana.ud773e3657	This spring, Stortinget dealt with two important documents in relation to our veterans and responsible personnel. It was Ot.prp. No 67 for 2008-2009 and St.meld. No 34 for 2008-2009. These two important documents referred to our responsibilities, and that we clearly had to make visible the responsibility of the defence for the personnel. There were various discussions in these documents, and a comprehensive review of measures and arrangements could be established for the staff. What's going on? Well, it's about the responsibility of society, the defense and the national authorities when we send our women and men on a demanding mission now in conflict areas. We must also recognize that we have not been good enough in this area, and that many veterans have not been properly and properly respected. If we look at how many people have been in the service of Norway after the Second World War, this is about approx. 120,000 men and women. It is now this year between 700 and 900 officers, officers and soldiers out there at all times. This means that between 1200 and 1600 people will participate in operations where Norway has a contribution this year. If we look at the international situation, it won't be less of this in the future. But the daily effort they make has its price, and it costs to risk their own security because they want to make an effort for society. It costs to be away from those you're happy with, and it costs to meet a society that's ruled by wars and conflicts, and meet individuals who all have their own history. Then it's not least that we're proud of the efforts these soldiers make. There's a risky mission to create peace and stability out there, and it also contributes to security and security for us here at home. I am now very pleased that the Government, which not least the Council of State has expressed today, is now taking this seriously and thoroughly and also following up what the Stortinget has said earlier. We have addressed the issue and, as the Minister of Defence also said now, the action plan is being implemented in full and look at the rights that need to be strengthened in this area. We have obligations when we ask the growing Norwegian population to go out and make an effort for the country of origin, for democracy and for peace and security.
ParlaMint-NO_2009-12-09.ana.ud773e3670	It's an interesting debate that alternates between the Middle East, Afghanistan, Olavsværn and the more homely parts of our kingdom. But that's what it's been like when we're going to bring together foreign and defence policy in one hat. The draft defence budget for 2010 is of the same size as the increase in the social security budget from 2009 to 2010. It's worrying – and it says a little about the development of our welfare community. The share of the defence budget in the total budget has continued to decline. This happens at the same time as defence equipment has had a much higher cost development than other materials. It was good to hear that the Minister of Defence stressed this in his speech. Defence has been through a more or less coherent change process over the last 20 years. Much of this change has been necessary to achieve an effective structure. Now this process of change has come so far that some start asking questions about whether we can maintain all the defenses. You approach a critical mass in size. All these changes have been a major challenge and burden on defence personnel. I would therefore say that we have now come to you that there is a need for a strong uplift in the appropriations for the defence. What worries me the most is the means to train and practice. It helps little with good material if we don't have money to practice and maintain. I would have liked to have commented on a number of areas in the defense, but within three minutes I have to limit myself to one of them, and that is the Home Office. It was a unanimous defence committee which, when examining the Long-term Defence Plan 2009-2012, provided for the continuation of the successful quality reform of the Home Protection System, and underlined the crucial importance of the HV Departments maintaining a satisfactory level of training and practice. This year, none of the HV's reinforcement and follow-up forces, the so-called FO forces, are trained, a force that should have been 40,000 men. The 2010 budget states that only 20 pst. the strength shall be exercised. This is too bad. In its annual report, the Inspector-General of Heimevernett says that HV will not be able to endure several years with very limited resources. Then quality reform will stop. When the Heimeverten education centre was shut down, the intention was that training of command and crews should be ensured through the defenses, i.e. through the Army, the Maritime Defense and the Air Force, and through a separate HV training centre for command in Porsangermoen. It now turns out that the other defenses are failing to meet their obligations, and as expected, the number of HV soldiers is now decreasing for each year. This applies in particular to rural crews, as there are smaller forces to take off. Many people are concerned today that the old election language for HV, which was 'Over everything, always!', is now and then going to be here. It's a little bit of a pleasant development, which concerns us especially in the Right.
ParlaMint-NO_2009-12-09.ana.ud773e3689	The Government fails to fulfil its obligations when it does not grant enough defence to exercise it, to fly it, and to operate it adequately. Norway must have a current defence in the sea areas under its jurisdiction. Sovereignty enforcement is part of international law, and rights can be lost if they are not enforced. Unexplained conflicts of interest vis-à-vis a neighbouring power have also led to a clarity of signals. Absence or reduced operational defence capability gives wrong signals. Also, the Russian military activity in the airspace, which in a few years has reached the same level as during the Cold War, gives cause for concern. On several occasions, as many as 13-14 Russian bombers, tankers, fighters and surveillance aircraft have been on the wings of the Danish, Norwegian and British territory. These are coordinated actions with a strength such as the ability to perform a complex and resource-intensive operation. Russia has resumed its Soviet practice by sending its bombing aircraft on mission outside its own territory. State Secretary Barth Eide has characterized this as “the most comprehensive Russian aviation activity we have seen since the Cold War. There are larger formations, they fly more frequently and further west and have practiced the supply of strategic weapons, so it is a notable change.» I assume that Barth Eide is speaking on behalf of the Government also in this matter. When the government considers the threat picture to be more alarming than before, it is to be surprised that the defense is not put in a better position to solve vital problems. Could there be consideration for SV that conducts this? The right has proposed to strengthen the Maritime Defense and Air Force by 125 million. kr each. The level of exercise and activity would then be raised above a critical minimum and break the trend that is now leading to the development of competence and operational capacity from year to year. A defence with wear-based defence reduces the ability to perform complex operations. Sea defence and air defence have been brought into a situation where, despite newly acquired materials, they do not have enough to mann, train, practice and operate as required. We get to believe that our world corner does not have more serious conflicts than we can resolve peacefully. But Norway's ability to resist the pressure is based on both military and political cooperation with those closest to us. The relationship with NATO is fundamental, but with political pressure, it is also best to have a binding political community with Europe. In the Nordic region, which is partly divided in defence policy and foreign policy, the biggest single contribution to peace and stability in our part of the world would be Sweden and Finland joining NATO and Norway joining the EU. The red-green performance project, where the Workers' Party must compromise with SV, provides a weaker defence than required.
ParlaMint-NO_2009-12-09.ana.ud773e3708	Today, the Oslo students have named this year's dictator. Over 4,000 students at the University of Oslo have voted, and the sovereign wins – if we can call it that – became Iran’s top leader, Ayatollah Ali Khamenei. That is a good way, I think, that the Oslo students have chosen to focus on repression, human rights and the fight that is now taking place, not least in the streets of Tehran, by courageous students and other demonstrators fighting for their legitimate freedom, a freedom struggle that I hope Norway supports differently. So some comments on the debate. I first need to say that I think there were two excellent posts that Laila Gustavsen and Tore Nordtun made about the Arctic and Svalbard. There were important things that were said. As usual, the Progress Party has received a lot of attention related to its cuts and amendments. We're used to that, and we also think it's positive that we get that attention. So no one has mentioned our significant increase – we think ourselves – of 100 million. kr for emergency aid and humanitarian aid. That's why I'm using the opportunity to mention it. The representative Tajik took hold of our cut in the aid directed at women. Now we have also addressed the situation of women in this debate. I would like to point out that having good intentions, that we all agree that women in many parts of the world, including in Norway, deserve an equivalent life and a better life, does not mean that with money to different countries and for different measures, they solve these challenges. When the Norwegian government chooses to support Nicaragua, at least I have understood that, among other things. is about the fact that the Nicaraguan government does not treat women in an equivalent and positive way, not least in relation to abortion legislation, which has been a theme here earlier today. So the Norwegian government is using the pressure to cut aid as an instrument. Thinking that more money automatically raises the status of women is, in my opinion, a faulty connection, but of course: these are so serious challenges that we are obliged to take them seriously. We're going to be the first to be involved in a constructive discussion about whether there's money that really solves the challenges. When we have an aid budget of more than DKK 18 billion, that does not mean that we have de-prioritized all the measures related to this, on the contrary.
ParlaMint-NO_2009-12-09.ana.ud773e3721	Nothing in Norwegian foreign policy can be more important than Norway’s relationship with the EU. No political association outside of population and government has a greater influence on Norway’s national policies than the EU. Nevertheless, the importance of the matter is inversely proportional to the attention of the matter in the public debate, and unfortunately also in this Chamber. Therefore, this small contribution to remind you that Norway is part of Europe, although Europe can hardly be said to be part of Norway. We've been outside the most important political community in our part of the world. So we have also said our part of the responsibility for the development of the continent of which we are part. In the name of real policy, it may be justified to sacrifice solidarity on the altar of self-determination, but it requires that we actually have ourselves, not that we pay others to do much of the job. My intention is not to compromise the excellence of the EEA Agreement, we agree on it, but to raise legitimate questions about the adequacy of the agreement. We are in practice a member of the EU, with four exceptions: fish, agriculture, the euro and participation. While many of the exporting industries want euro during these days, there should be a lack of participation of representatives in this room that concerns them. It should be concerned that significant parts of the framework conditions for Norwegian municipalities, Norwegian business, Norwegian judicial policy, Norwegian climate and environmental policy are not determined at Stortinget, but in Brussels. It should be a matter of concern that the Minister of Defence cannot attend meetings setting a framework for the use of Norwegian soldiers in EU operations. It should be concerned that Norway has drawn out its only national expert in the European Parliament, as set out in the only committee that we can be absolutely sure that, for the most part, is the EEA-relevant, namely the Internal Market Committee. It should be concerned that the EU's desire is increasingly to coordinate a common foreign and security policy, which in practice could form a strong block within the NATO Alliance and a clearer voice outside. For a country whose security policy is based on NATO membership and outside Europe, this is not necessarily a good development. Not least, it should be concerned that we still have debates and opinions on important EU directives which have been adopted several years earlier and which have actually sent us more to information than to voting. This is not my concern alone. Norway’s EU ambassador is also concerned about the adequacy of the EEA Agreement to cater for Norwegian interests in the face of a more dynamic and democratic EU. The EEA Agreement is good, but it is not good enough. What we get is the internal market in Europe, and that's a right we don't want to be apart, but what we pay is our democratic right to participate in Norway's development and future in important areas. As this is a budget debate, I would like to point out that it is a rigid price to pay.
ParlaMint-NO_2009-12-09.ana.ud773e3736	My post has a special address for the Minister of Defence. I was expecting the Government in its Declaration of Accession – Soria Moria II – to concretely promote a collection of the ICT services of the Defence at Jørstadmoen, and I quote: « bring together, as far as possible, ICT resources in the Defence in line with the Long-Term Plan and Option S 318 [[...]] [[2007-2008]] Although this is not fully met, the more committed right-wing approach to a full set of ICT services, with the strengthening of ICT work that this would mean, is clear that it is a positive signal that we will follow with interest in the coming years. It is with concern I have noted that the defense itself later to build a parallel organization under the head of INI in Oslo. We had a rather heated debate on this in connection with the previous budget, where the Right's starting point was, and is, that the Government did not follow up what was a unanimous position from the Stortinge in connection with the long-term plan. I leave the question of the government's lack of follow-up in this matter at this crossroads, but must point out that the defence's handling of the matter appears to be a strong disregard for a clearly expressed political will. When the Government now attaches such importance to this matter that it is concrete in Soria Moria II, I take it as a signal that the Government will at least follow up with it, in our opinion, the second best, namely a collection ‘as far as possible’. The question that then arises is, of course, what ‘as far as possible’ really means. The term is rather non-obligatory and requires a deepening. I expect the government itself to have a sense of what this is going to be about, and that the Storting will be informed about what collection it's going to add up to, and at what rate this will happen. I hope the Council of State can comment on this today, if the occasion permits. If not, we'll see to it that there are several crossroads where we can discuss this issue, as far as this is a matter where there will be relatively much attention in the future. This is a matter where the government has a significant need to build trust. It requires clear objectives and political action. In the light of this case’s history, there will also be a political need to have a real insight into the follow-up and organisation of ICT work by the Defence Agency. It must be clear that, on the part of the Great Britain, we cannot accept the fact that we are organising around what is clearly expressed political objectives. The right-hand position is still a full collection of ICT services at Jørstadmoen, and a strengthening of them – and then we see what the Government is doing.
ParlaMint-NO_2009-12-09.ana.ud773e3760	I asked for the floor after hearing the statements by the representatives of Hadia Tajik and Anette Trettebergstien regarding women's rights in some less developed countries. What they are criticising is that the Progress Party has proposed to remove, or significantly reduce, the financial support to some such countries. They wonder about it. What I find strange is that the two actually call for the worst countries to be encouraged by direct gifts of money – or call it budget support – to those regimes that suppress. Instead, the Progress Party will make demands for democratic development and not least demands for progress on equality and women's rights, in the countries concerned, i.e. take money from the rulers. Then the most corrupt dictators weaken, and we can get a little bit further. At least I can't see any examples of dictators getting any better when you give them more money. Several countries — and some of them have been mentioned in the debate today — have long since come to the conclusion that this type of reaction should be made through a strong reduction or even elimination of subsidies to those countries that behave badly with regard to women’s rights and other human rights.
ParlaMint-NO_2009-12-09.ana.ud773e3765	I didn't really intend to extend the debate, but since I was challenged so directly, I thought it might be okay to say something about three topics. One is Russian flights, which have shown a marked increase in the last three years. Today’s activity, however, is far from the activity of the Cold War. We have no reason to believe that this is specifically addressed to Norway. But we're going to follow it very closely. There is also reason to believe that the Russian defense has plans for training and training its forces and their materials. That it has also been hit by economic decline is probably also a fact, but perhaps to a lesser extent than what the Russian economy in general so far shows. With regard to the practice situation of Home Protection, I shall not say anything else in this round but that conversion, as I have said, requires priorities, and that we have had a smaller activity in the current year, is a fact. We're still adding up to the increased exercise of the forces next year. The so-called reinforcement and exercise strengths will exercise 20 pst., with an increased path towards the end of the long-term plan of 50 pst. Priority is given to intervention forces in this context, as is known. As far as Jørstadmoen is concerned, I would like to say that it is a theme that I have already been challenged on in the Questionnaire, and which I also have a lot of attention around. It is a strong environment on Jørstadmoen, which we will also assess how we can develop further. So it's true that there's a separate head of defence information infrastructure. I can also say this area, with the background of the technology industry, is an area where you have to look at both the virtual organisation – call it it – and the real location. Infrastructure is important to enable development from different locations to be carried out locally. I think Jørstadmoen is very well positioned to do a good job also in the continuation of the area for which they are responsible.
