ParlaMint-NO_2022-01-19.ana.ud1e28	The representative, Mr Grete Wold, will put forward a proposal for a representative.
ParlaMint-NO_2022-01-19.ana.ud1e1319	My job is to implement a government platform. It's also ambitious in the dental field, where we take steps to help both those who have special challenges in funding their dental treatment, because they need it, and those groups that we know are not able to give priority to regular dental treatment, namely those who are young. That's a government priority. It's always like that. It is a bit tempting to take the reasoning from the representative Aydar completely out. Then there would be quite a number of Red's proposals that do not get a majority in this Chamber, which are also a breach of promises. So this I think both voters and most people understand. One negotiates, one goes a step further, and it is a pleasure for 21 and 22-year-olds in Norway that they now receive half a price.
ParlaMint-NO_2022-01-19.ana.ud1e1329	‘When Right presented the first national health and hospital plan in 2015, it was in order to outsource the course for the country’s hospital in the years to come – a plan that was committed, that provided predictability and that set out what was needed to ensure a good treatment provision across the country. In the hospital speech, the Minister of Health said that the government should not continue with national health and hospital plans. Instead, the government must draw up a health and interaction plan. Will this plan be more or less binding than the national health and hospital plan?’
ParlaMint-NO_2022-01-19.ana.ud1e1336	I can reassure the representative that the national health and interaction plan will be at least as committed as the national health and health plans that have been discussed in the past. National health and interaction plan shall, in the same way as the previous plans, be addressed by the Stortinget and shall provide guidance for the regional and local development plans of the specialist health service. The plan will show how we will succeed in a decentralised healthcare service that provides good and equivalent healthcare throughout the country. When we replace the word ‘hospital’ with ‘cooperation’, it is to make the priority of one of the most important challenges in healthcare, namely interaction. We're getting older, more people are living longer with one or more chronic disorders, and we're not going to be able to meet this need only with increased crewing. We need to use our professionals in hospitals and municipalities in a better way. Not least, we need to take more care of patients and users with complex needs. All patients, users and relatives shall experience a comprehensive and coherent health and care service. In the National Health and Hospital Plan of 2019, the government then launched the establishment of 19 health communities between municipalities and health businesses. Health communities are well under way to further develop the structures of the interaction reform, but we believe they need more and better tools in the toolbox if they are to be a driver for joint planning and development of services for the benefit of patients, users and relatives. The government will see the national health and interaction plan in the context of the Health Personnel Commission and the sample to look at the governance model for the specialist healthcare service. This government will strengthen our common health and care service. Then we need to see the specialist health services and the community health and care services in the context. When interaction is the main theme, I believe that a big message that points towards the overall healthcare service will create more ownership and commitment than a message that is mainly directed at the specialist healthcare service.
ParlaMint-NO_2022-01-19.ana.ud1e1349	I am listening to what the Council of State says, but it is not that interaction and resource challenges have not been highlighted in the two national health and health plans that our government presented and that the Stortinge were dealing with. These have been important issues in both national health and health plans. What is a little worrying is, for example: whether we now have a hospital map that is no longer completed. The national health and hospital plan provided for the first time a completed hospital map for Norway. There have been redundancies about hospital expansion for over 20 years, and even if there is a cost of sitting in government, and even if decision-making costs are involved, the latest national health and hospital plan, which we are now in, is clearly linked to hospital expansion in Norway. Will the new plan of the Council of State be equally binding in this area?
ParlaMint-NO_2022-01-19.ana.ud1e1358	I am very uncertain about the criticism that the representative here is making. Is the word ‘hospital’ missing, or is it that there has been interaction before, but that it has not been called ‘cooperation plan’? I think it's going to be criticism without goals and directions. I have participated in the treatment of two national health and hospital plans. They've been very different. I do not share the description given by the representative Wilhelmsen Trøen that the first health and health plan established the hospital map in Norway. It pointed out in several areas where structural processes are still ongoing without a decision on the location of the new hospitals. So I just don't agree. The latest health and medical plan dealt with large patient groups in need of coordinated services, where they divided into four large groups and measured their need for just interaction, and where the health community was the concrete measure.
ParlaMint-NO_2022-01-19.ana.ud1e1367	Firstly, I hope that asking questions is not perceived as criticism. This is a question of what the new government is putting into a national health and interaction plan. It is quite right, as the Council of State says, that when we joined the government in 2013, we started to work on creating a national health and hospital plan. We then announced that these processes related to hospitalizations in Norway would continue. In eight years, all these decisions were taken, and the latest national health and hospital plan very clearly established what the hospital map in Norway should be like. At the same time, it contained both important decisions relating to interaction — to which the Council of State has been involved — and very good descriptions of where we wanted to, and how we should achieve them in the field of human resources. I am most concerned that the plan should be binding. I hope that the Council of State can confirm that the hospital card is still signed and that it is ready.
ParlaMint-NO_2022-01-19.ana.ud1e1376	Not all decisions have been made. In southern Greece, a two-sickness model has been chosen. There are still decisions that remain before the geographical structure is established. For the Inland, it has been decided – and that is what the previous Minister for Health did – to explore also a zero-plus option. So we still don't fully agree on the reality description. But a big message is just as binding no matter who submits it. The way we intend to follow up on this is through annual letter of assignment and enterprise protocol — just as the former Minister of Health did. And the fact that you are concerned about something – I can reassure the representative Troeen that the Storting has the same authority even if governments change.
ParlaMint-NO_2022-01-19.ana.ud1e1386	‘This week we were able to read about a young boy in Trøndelag who does not get the help he needs to deal with his drug problems because there is no 24-hour drug treatment service for young people in his neighbourhood. Will the Council of State ensure that provision is made for young people with serious drug problems that do not fit into outpatient or institutional settings under the Child Welfare Act, wherever in their country of residence?’
ParlaMint-NO_2022-01-19.ana.ud1e1393	I know the matter being referred to, as it appears in the newspaper article in question, and my comments are naturally general enough. In cases involving minors or young people with drug problems, all forces must join forces to ensure that young people receive the treatment and follow-up services they need. It's true throughout the country. If the specialist health service assesses the treatment that the specialist health service can provide, as necessary, health establishments have a care-care responsibility and the right to treatment has no lower age limit. Child and youth psychiatry is responsible for providing health services to children and young people with drug problems, but the follow-up to multidisciplinary specialised drug treatment or child protection may be relevant in some cases. Close cooperation between health services and child protection services is particularly important in matters where children or young people face challenges of mental health or drug abuse, and here I would also like to stress that we need to strengthen user involvement in patient treatment. Patients — regardless of their age — should be able to provide feedback on their help. It is important to me that we develop services and offers that respond to the needs and see people behind the problems. There is a need to develop and strengthen young people with drug problems. I would therefore like to entrust the Health Directorate with the task of clarifying why specialised drug treatment for children and young people should be offered, and to describe concrete proposals for strengthening services. Active outreach and multidisciplinary models, such as FACT Young, are to be seen in this work, where municipalities and specialist health services combine to provide good services to young people. I have also followed this up through the mission documents of the regional health companies. The aim is to strengthen mental health protection and multi-disciplinary specialised treatment in general, and in 2022 all healthcare establishments were given the task of strengthening the provision of drug treatment to children and young people. We want to strengthen and develop services in the drug field, as we have announced in the Hurdal platform, including for young people. I will come back to how we will carry out this work, which includes both treatment and follow-up services and a national drug prevention programme.
ParlaMint-NO_2022-01-19.ana.ud1e1410	Drug use in children is often viewed as a behavioral problem and not a health challenge. For some children there is a need not only for decisions under the Children’s Protection Act but also for proper follow-up in health services. The situation for those struggling with drug problems is this: In Health Middle Norway, there are no institutions that provide day-based treatment for those under 16 years of age. Nor does it do it in Health South-East, as among others. covers my home country, Agder. For children and young people in particular, it may be difficult and harmful to have to leave their family and their network for treatment. The boy in the matter to which I referred is now sent away for treatment 50 miles away from the family, in violation of professional advice. I am very pleased that the Council of State says that she will follow up the matter further and investigate it, but when can this boy and other children in the same situation as him expect to get an offer of help without having to travel terribly far away from home?
ParlaMint-NO_2022-01-19.ana.ud1e1419	All patients are entitled to treatment based on their need for health care. When health care needs are comprehensive and complex, both in the field of mental health protection and in the area of drugs, health regions are responsible for providing it. If you do not have that offer on your own, it is still the same patient rights that apply if you have to receive that offer elsewhere in the country. The fact that children and young people travel far in order to receive adequate treatment is not something we want to do, but it is also an assessment of the amount of capacity to be able to deal with day-to-day treatment and of the capacity to be able to deal with outpatient treatment. The goal we have now set for activity growth in hospitals in the field of mental health protection and drug abuse goes to both inpatient and outpatient care. There's going to be a growth.
ParlaMint-NO_2022-01-19.ana.ud1e1424	The Hurdal Platform is clear that the government wants to restrict the diversity of actors providing health and welfare services. Many of the children and young people with the greatest and most complex needs are currently cared for by professionals working outside public child protection or receiving offers from private health care institutions. It is also true that institutions and services often have exclusion criteria, which allow you to cut off in absolutely all of the boxes, but that if you, for example, working with intoxication, may be excluded from that institution. It also makes it even more difficult to find offers near where the children live, and it underlines the importance of diversity in the offer. Is the Council concerned that, eager to cut private suppliers, valuable skills may be lost by employees who have developed and delivered tailor-made offers to children over time, and how does the Council of State see that it is not only necessary to meet the needs of each child when systematic action is taken to eliminate the diversity of offers that children and young people need?
ParlaMint-NO_2022-01-19.ana.ud1e1433	I don't quite know if I understood the question, because we have a number of private and ideal actors in mental health protection and drug addiction who have agreements with regional health companies. If this is how the query refers to the Free Treatment Scheme, then there is a scheme we intend to wind up next year, 2023. There are only 27 actors per day, representing a small proportion. In the region mentioned, with the specific example from the Address Paper, there are very few – if any – of the free treatment voters. On the other hand, larger NPISHs have contracts with health businesses. There are, of course, offers that are supposed to be there and that have been there almost completely since we received a public health service and that interact well with the other public health services.
ParlaMint-NO_2022-01-19.ana.ud1e1443	This question, from the representative Hege Bae Nyholt to the Minister for Culture and Gender Equality, has been transferred to Minister for Children and Family Kjersti Toppe, who is directing him.
ParlaMint-NO_2022-01-19.ana.ud1e1448	My question is about the possibility for children and young people to borrow free equipment, and is as follows: ‘Are the objectives of the 100-day plan to ensure free lending of sports and leisure equipment in all parts of the country met, sufficient funds have been allocated to meet the needs, and how many more places in the country are expected to make such equipment available as a result of State budget appropriations?’
ParlaMint-NO_2022-01-19.ana.ud1e1455	The Hurdal Platform states that the government will ensure that a plan for accessing training and leisure equipment is set up in the municipalities. Leisure activities are a major part of the lives of children and young people, and it is a very important arena to develop social skills, mastery and friendship. We know that today there are children and young people who do not have the opportunity to participate, and research also shows that social inequality in participation in sports has increased. This worries me. Being outside social activities is difficult for children and young people. There's an increased risk of alienation later in life. As Minister for Children and Family Affairs, I want to work for all children and young people to have the opportunity to participate in leisure activities. In order to achieve that goal, the government will, among other things. make it easier for children and young people to borrow sports and leisure equipment free of charge or reasonable. Today, centres lending such equipment can benefit from the establishment or operation through the «Provide for the inclusion of children and young people» scheme. In 2022 the scheme was strengthened by 85 million. NOK and represents a total of 555 million. kr. Last year, about two out of three centres applied for the scheme were granted a grant. This year's strength will allow more people to start up, purchase more equipment or expand their opening hours. The number of new equipment centres that will be able to start up as a result of this exercise depends on the number of equipment centres that search the scheme and the quality of the applications. Local authorities shall then rank the local applications, so that the incentive will also depend on the degree to which municipalities want to give priority to the action. Experience shows that municipalities generally think that this is a very good scheme and prioritizes these applications, but I can't say in terms of how many new ones this will facilitate.
ParlaMint-NO_2022-01-19.ana.ud1e1466	We know that most people have gotten the harder. Quite a lot of people have been licensed in one or more rounds. The electricity price has probably overturned quite a number of family budgets around. Prices are rising a little in general, and life can be perceived as quite difficult, and then it is simply too small sketches when the school invites to ski day, a crisis in a family. Or: When it lures into the ake tray and the friends invite with it and you don't have it ake board, then it's also a problem that the government council was in, can lead to children and young people not being able to participate in the same line with others. When I talk to the managers of these loan centres, they describe that they have a lot to do and could borrow a lot more, and that they simply have to reject children and young people because they don't have the equipment to borrow. Does the Council share our concern about this?
ParlaMint-NO_2022-01-19.ana.ud1e1471	Yes, absolutely. Under the Coronapandemic we're in now, there's an extra challenge because there's a lot of kids and young people that got out of organized sport. Some sports have also received measures to prevent infection, so that it is more difficult. I'm very concerned about exactly this, the participation of children and young people, and especially now under the pandemic. What the representative points out is that equipment is actually an obstacle for some children and young people – many, many more than we believe – is something that we can do about politics, because in a simple way, it makes it easier for children most likely to participate in normal leisure activities. It is also behind our desire to strengthen this system and strengthen the equipment centres, as we did in the budget, and it is also behind the point we have in the Hurdal platform.
ParlaMint-NO_2022-01-19.ana.ud1e1476	Thanks for the answer. Equipment sheds can work smoothly. It may give children and young people the opportunity to participate in recreational activities in which they would otherwise have been prevented from participating. The managers of an equipment shed, which I have talked to, told me that very many people also choose to try out the equipment before they land on ice hockey or trucking is something for them. I am the mother of a child who plays ice hockey, and know that it is relatively expensive. Equipment stores can also be seen as a means of preventing the use-and-cast society, simply by having the opportunity to borrow if you need it once, or to try something out rather than buying full equipment and perhaps not having it sold. Furthermore, a manager told us that there are very many exchange students who use the lending opportunities to participate in the Norwegian outdoors. Does the Council share the experience that lending facilities are important to ensure less buy-in and throw-out in society and part of the green shift, and that, therefore, it should also be invested in that respect?
ParlaMint-NO_2022-01-19.ana.ud1e1481	The President will remind you that the speech must be made through the President.
ParlaMint-NO_2022-01-19.ana.ud1e1486	I'm sorry.
ParlaMint-NO_2022-01-19.ana.ud1e1491	I give the word to the Council of State Toppe.
ParlaMint-NO_2022-01-19.ana.ud1e1496	In addition to being Minister for Children and Family Affairs, I am the Minister for Consumer Affairs, so it is a question that goes right into my area of responsibility – preventing use and throwing and facilitating the re-use and sharing of equipment, which certainly contributes to the overall green shift. There are probably many more than children and young people who will be able to use such equipment centres. The arrangement that we have now is mostly about children and young people, young people, so it's also about the inclusion of children and young people, so it's a two-part consideration. We know a lot about what is needed to make equipment centres work even better. It has to do with opening times, etc. We will continue that work, because it is important in many areas.
ParlaMint-NO_2022-01-19.ana.ud1e1504	‘Does the Council intend to facilitate the notification of the national exit regime for high turnover enterprises due to hamster stoppages and other infectious measures by small enterprises with active owners who have converted the operation and keep the wheels running through 2021 with a small surplus for the year to be collected, for example, by not taking out wages or by taking very little pay over the year from the owner’s side?’
ParlaMint-NO_2022-01-19.ana.ud1e1509	We have seen through the pandemic that many companies have worked hard, and many owners have sacrificed a lot to keep their business floating. It says respect. Both the representative and I have met many of these companies and listened to their stories. The government wants to make some changes to the compensation mechanism to ensure that the Community funds contribute to job security, keep the wheels running and rescue companies from potential bankruptcy. At the same time, we must take into account small and medium-sized enterprises. Therefore, the government has said that we will make some adjustments, especially for those who have worked hard to make a small profit year after year. So in the regulation, we're going to consider what is going to be the minimum amount for a profit to be refunded. In any case, the company should not have to repay more than the company has received a grant for the period from November onwards, i.e. not earlier. We have also said that companies with a small profit in the year as a whole will not be entitled to a refund. It is also important to consider subtracting the deficit from the business in 2020. Those who have made a total deficit in the coronary apathy so far will not be entitled to a refund of grants. So the same thing is going to apply to those who, overall, have only gone with a small profit so far. The questioner indicates that working owners make low wages in order to adapt to a crisis situation. I'm aware of that. There are also other models that give equivalent effect. For example, there is a certain ability to agree on deferred wages or sales-based bonuses. It may also affect the entity's profit for the year as a whole. Dividends are structurally different from wages and bonuses. For example, dividend-based dividends are paid. relevance to pension and social security rights, as we know. Company law requirements also affect the ability to distribute dividends. Of course, I will not recommend company owners – small or large – to use one or the other solution, but I am concerned that smaller companies should also know that alternatives are available. So I would also like to make it clear that we haven't stressed these possible options when we have designed the rules. We have to deal with the realities, and so we're adapting the regulation on repayment if the company goes with profit.
ParlaMint-NO_2022-01-19.ana.ud1e1522	I thank you for your answer. At least I'm glad that the Minister of Industry acknowledges the problem that is being raised here, and announces that a person wants to look at some arrangements that avoid punishing them of this debt, which is actually quite a lot. It's a group that's been working very hard, especially the small businesses, especially in the catering industry, who have active owners who have been around the year to make sure that the companies have the small excess that is actually necessary and right to have for businesses, in order to be safe and move on. But I still notice that when it comes to setting limits on surplus for the big ones, a very high and dark and clear, while when it comes to these adjustments that are to come, the Minister of Industry says that one will assess it, one will look at it, one will come back to it. I think a lot of people are wondering: how fast will a person come back to it, and what adaptations are they actually talking about? What is the time period for the Council of State here?
ParlaMint-NO_2022-01-19.ana.ud1e1531	The government returned its proposal to Stortinget for a short time. It is now under consideration, as the representative knows, and the Storting must join. I guess that's all reason to think that the Storting essentially joins the main lines. Once that's done, the government will be able to come back and introduce a regulation, and that's what we're doing. We've been busy listening to the companies throughout this whole period and these weeks. I myself am out to meet the business that is particularly affected. I have almost daily contact with different companies and the social partners. We have also adjusted some of the arrangements along the way, and we will also take the consequences of this in the regulatory work. And then we're also dependent on and occupied with the tempo. We have said that if the Storting joins the proposed compensation schemes, at least our agencies have worked day and night, literally, to get the application systems, the payment systems up. That is, companies that have the papers in order, and that quickly submit their applications, will be able to have money in their accounts in a short time. It's important to relieve the companies that work the most.
ParlaMint-NO_2022-01-19.ana.ud1e1540	The Council of State here reiterates that the Storting joins the regimes proposed by the government. From the left's point of view, we're going to be very clear that we're going to have a rough and good compensation scheme, but it's going to be designed to also compensate small businesses with active owners, and the companies that have managed to cope with surpluses, the year as a whole, or actually have to make exchange payments to pay property taxes or other things, are not going to be punished. I hope that the bulk of the population, where the Labour Party is also involved, can be more clear about it, that this is not just something that should be considered in the future, but that we are actually going to meet these companies. Because it's not felt as reasonable that if you've managed to recover through the year as a whole, you'll be punished for it. This shall be a compensation for the specific period granted by the disease protection measures. I would like to challenge the Councils of State, among others.: Will he come, for example. NHO proposal, setting an excess threshold... [[President clubs]] [[The President Clubs Again]]
ParlaMint-NO_2022-01-19.ana.ud1e1549	Time is up, and it has to be respected.
ParlaMint-NO_2022-01-19.ana.ud1e1554	I think I understood the question from the representative, and this is one of the things we want to assess in the regulatory work. So I would like to stress that the government has launched more than 20 financial measures to help secure jobs, keep as many wheels as possible running and create predictability for business. We have also been clear that none of the schemes themselves are perfect, but we hope that the sum of financial measures will contribute to the desired effect. With regard to the national compensation scheme, we have tightened it somewhat from the past. These include: based on the experience we have from the previous round. We also have a number of other measures, including: The wage support scheme, which may have contributed to our having a tenth of the number of leavencies we had in April 2020. It's had an effect. We have the municipal compensation scheme, with which all of the businesses I meet are very satisfied, and for those schemes there are not equal demands. Here is the whole that needs to be assessed together, and we believe that this in sum will help to take Norway further.
ParlaMint-NO_2022-01-19.ana.ud1e1580	This question has been withdrawn.
ParlaMint-NO_2022-01-19.ana.ud1e1594	This question has been withdrawn. So the ordinary questioning strategy is over.
ParlaMint-NO_2022-01-19.ana.ud1e1610	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
