ParlaMint-NO_2022-03-02.ana.ud27e28	The representative, Tobias Drvland Lund, will make a proposal for a representative.
ParlaMint-NO_2022-03-02.ana.ud27e1716	Over time, there have been challenges in ensuring adequate manpower in the supply of food in Northern Ireland and in the valley of Rome. The food supply in Kristiansund has been temporarily closed since February last year, and births in the area are gathered at the hospital in Molde. Health Møre and Romsdal HF are working to reopen the offer in Kristiansund, as provided for in several decision-making decisions, and as we have communicated to Health Mid-Norway through business meetings. The management of specialist health services takes place through business meetings and annual mission documents. At the corporate meeting on 10 January, the situation in North Moravia and Romesdal was re-examined. I referred to the Hurdal platform, where the government has said that we will ensure the reopening of the food department in Kristiansund as soon as it can be done properly. The government has prioritised 25 million. kr for recruitment and competence measures in the North Sea and in the Valley of Rome. It is important for me to say that a considerable amount of work has been done to reopen a professionally sound supply of food in Kristiansund. The health company has worked actively to recruit staff, has invested in the further training of midwives and has carried out a recruitment campaign. In January this year, a midwifery ward was opened in Kristiansund, as a first step towards reopening the food supply. At the same time, we must recognise that recruitment of relevant professionals is a particular challenge. It must be resolved in a way that ensures both the proper provision of services and the stability of the offer. Furthermore, the health business lacks enough specialised professionals to be able to set a date for the reopening of the food department in Kristiansund. The ongoing work is usually followed up through the management dialogue I have with Health Mid-Norway. It is in everyone's interest that the offer can be reopened as intended. At the same time, both the recruitment situation and the operational situation are quite challenging.
ParlaMint-NO_2022-03-02.ana.ud27e1731	I want to follow up on recruitment. They're almost on target, but they're missing one gynecologist. We have heard from the Bunadsgerilja that there have been weaknesses in the recruitment work. For example, a decisive gynecologist position was announced in 2022 as a vicariate even if the need is manifestly firm. This changed after that reference. We're wondering what the Council of States is doing to make sure that Health More and Romesdal are doing their utmost to get the mission done by the Stortinget, which is also produced by the government platform.
ParlaMint-NO_2022-03-02.ana.ud27e1738	Governments have a governance dialogue with Health Mid-Norway about this. It is one of the challenges in the specialist health service that is also specifically mentioned in the government platform, where they have also received a package of recruitment and competence through the letter of assignment with a financial allocation for the purpose. So it's quite natural that the Council of States follows this closely, and I do.
ParlaMint-NO_2022-03-02.ana.ud27e1743	The situation is that both the Storting and the government have determined that a maternity ward should be opened here, and there are also funds, 25 million. kr, to ensure that it does. So it doesn't happen yet. The government is working to look at changes in health businesses, precisely to ensure that we get more political and democratic health management. What tools does the Council of State think it has at its disposal at the present time, when political decisions are not followed up within the time it has been adopted and envisaged?
ParlaMint-NO_2022-03-02.ana.ud27e1750	I wish I had far more comprehensive tools just to get access to health professionals, because the prerequisite for having a proper supply of food both in Kristiansund and in all other food departments in the country is enough professionals. The professionals are the whole service. Without competent professionals, we will not be able to meet the requirement for a professionally sound food supply. What is the task of a Council of States is to provide a framework to be able to do just that, but the responsibility for having a professionally sound offer is local, and it must be local. We lack midwives, we lack gynecologists as well, and the availability of that kind of competence – including anesthesia at Caesar's intersection and anesthetic – must be in place. That's what we're working on along multiple tracks.
ParlaMint-NO_2022-03-02.ana.ud27e1760	‘Since 2010, women living in municipalities with more than 90 minutes of travel from the hospital have been entitled to accompanying services on their way to birth. A review by VG in 2019 revealed that very many municipalities did not have this. In my county, Nordland lacked 16 municipalities this service. What will the government do to ensure a safe birth also for women living far from the hospital?"
ParlaMint-NO_2022-03-02.ana.ud27e1767	The accompanying service is important for the safety of long-distance pregnant women. Regional health businesses are responsible for the accompanying service for pregnant women. The Health Directorate's maternity counsellor assumes that there is a need for follow-up service where it is half an hour's journey to the place of birth, i.e. 90 minutes. In some places there has been a lack of follow-up service, as the representative points out. That's not good enough. It engaged me in opposition, in this room, and we then got the pressure from the previous government to take hold. Health regions were therefore assigned to monitor the follow-up service. The survey showed that health care businesses have mainly been provided with follow-up services. It was followed up with a new assignment, with a clear message to get it in place anywhere. We're going to have a safe birth and maternity care throughout the country. Some employers find it challenging to recruit sufficient professionals, both to municipalities and to hospital delivery departments. A good follow-up service assumes that we have a sufficient number of midwives. In view of, inter alia: This puts in place several initiatives by the government to ensure the proper follow-up of pregnant women and the safe provision of maternity care throughout the country. For 2022 it is granted 64 million. SEK 200 new training positions for specialised nurses in hospitals, including for midwife training. The admission capacity of nurse training shall be increased to 500 places of study from the autumn of 2022. Training institutions shall, as far as possible, inter alia: priority training for midwives. Overall, this will provide a good basis for increasing access to key specialised nurse groups, including midwives. To strengthen the midwife's competence in the municipalities is 60 million. kr of the grant to health care centre and school health services earmarked for midwives. The follow-up service is important for the safety of pregnant women. We must constantly work to ensure that birth-seekers get the best and safe experience of the delivery and delivery as possible. In the Hurdal platform, we have announced that we are embarking on a work on the overall provision of birth and maternity. It will include staffing, full-time positions and new funding model – and, of course, accompanying services as well.
ParlaMint-NO_2022-03-02.ana.ud27e1780	Women in the north don't have any slower uterus than other women, or they can hold back, but when you look at the total offer in the north, you'd think it was like that. We have a practice with summer-related food departments in Narvik, in Harstad, in Brønnøysund and several other places, and those who attend these places already have a long way to go. What will the government do to make it as safe to give birth all year long, even in the north?
ParlaMint-NO_2022-03-02.ana.ud27e1787	It should be equally safe to give birth all year round, but professionals must also be given the opportunity to leave, and in order to do so without failure to offer, we must have more professionals. The midwives must have more colleagues, the gynecologists must have more colleagues, the anaesthetics and the anaesthetics must have more colleagues. I think it is commendable of the representative to engage in his own home country, for Northernland is the country where women have the longest way to maternity wards. On the outside of Helgeland, it's a long way to maternity wards. There must then be a good follow-up service, and there are also solutions such as women coming to the hospital earlier, in order to avoid critical situations. In East Finland, which is number two in the statistics, they also have a long journey. So the country is different.
ParlaMint-NO_2022-03-02.ana.ud27e1794	It is commendable to hear that you want to recruit more professionals and strengthen your education, and we will follow that in Red. But that doesn't help, because it also has to do with the number of institutions we have, and the number of food institutions in this country is reduced from about 160 to today's 45 in a few decades. So then the question is, can the Council guarantee that no more maternity wards will be closed on her watch?
ParlaMint-NO_2022-03-02.ana.ud27e1799	This government has no plans to shut down or shut down any maternity wards. We have some areas in Norway where structural processes are in progress for the future hospital service. It's in Helgeland, as I mentioned, it's in the Inland, and it's here in Oslo. We have no plans to make changes in structure, but what's important is how many professionals we have access to. It is the professionals who decide how safe and safe a food supply is. One must have competent people at work when the birthing woman is going through birth and experiencing a family increase. So we focus on both how these services are funded and how we ensure enough professionals.
ParlaMint-NO_2022-03-02.ana.ud27e1807	‘In Norway, there is a marked increase in depression associated with pregnancy and childbirth. Several researchers point to a reduction in the supply of food and a reduction in maternity time as a cause. Is the Council of State concerned about developments?’
ParlaMint-NO_2022-03-02.ana.ud27e1814	The pandemic has been tough for many emerging and newly-baked parents. A recent study shows that many mothers experienced that the pandemic affected their mental health to a large or very large extent. There may be several reasons for this, but in any case progress is cause for concern. More than half of those with mental health disorders say they did not receive sufficient follow-up and assistance after birth. Less accessible services, social isolation and concerns about partner involvement in important milestones may have contributed to that kind of experience. Shorter lying times have also been identified as a possible cause of birth depression. I would like to stress that the duration of hospitalisation for women and their newborn children should be adapted to the needs of the woman and the newborn child and decided in consultation with the woman. Early discharge requires a good municipal offer from the health centre of the midwife or nurse. Good follow-up before, during and after birth is important to prevent pregnancy and maternity depression. The government will take more steps to ensure a safe and good birth and maternity care throughout the country. That is why we have announced that we are going to start work on the whole diet and the provision of maternity. It shall include, inter alia: include manning, follow-up, full-time positions and new funding model. We have also announced that we will cooperate with the municipalities on a concrete escalation plan to strengthen health centres and school health services. The new escalation plan we are implementing for mental health should cover both municipal services and the quality and capacity of specialist health services. We have now removed most of the measures against the pandemic. I believe and hope that it will mean a little less concern related to pregnancy, birth and maternity for those who are waiting for children. However, we need to pay great attention to this issue, so that we can prevent better, catch up more and help those who need it.
ParlaMint-NO_2022-03-02.ana.ud27e1829	The council and the undersigned have probably read the same study, and that's good, because then we'll talk about the same thing. What's not good is what gets fixed in the study. A number of midwives have also warned that the coronary restraints put them, births and accompanying persons in an unsustainable situation — that is the concept that was used. I think we've all also heard heartbreaking personal stories about fathers who have begged to come in, and mothers who have been afraid to enter the door alone. That the pandemic has done something about the birthing situation and the future, there is no doubt about it. The council was in on it, but I still want to ask if the council has any thoughts about doing something different to ensure the maternity care if the pandemic should flare up again.
ParlaMint-NO_2022-03-02.ana.ud27e1838	We've learned a lot over these two years. Now I've been a Health Minister for four months, but one of the things that's put in place on my watch is the assurance that the partner is going to be part of the birth, whether it's infected or not. There's a job all over the country's maternity wards have done, so hopefully there's a concern out of the world. We are conscious of the public health challenges that birth and maternity women reflect through this specific study. There have been more anxiety, more symptoms of depression, and therefore we look at a number of broad public health measures, while at the same time we have started work on the overall provision of birth and maternity, which involves several elements. Here we have to do several things at once. We also have an escalation plan for mental health, which will be one of several things.
ParlaMint-NO_2022-03-02.ana.ud27e1845	I thank you for your answer. In line with the state council, I've been a big-time representative for just four months. Before that, I've been working in kindergarten for a long time. From that field, I know that between them, birth depression is revealed in the first conversation with the one-year-old parents, usually at Mom's, but sometimes at Dad's. In many cases — even before the pandemic — the perpetrators themselves have not been aware that they have been in that situation and some have aha experiences in the course of the conversation. In other words, there are great numbers of darkness, little knowledge and quite low awareness of the theme. I also believe it is quite taboo. What does the Council of State have to do to expose more birth depressions, and to help those who have them?
ParlaMint-NO_2022-03-02.ana.ud27e1854	We'll probably have to do more things. One thing is how we work more to be able to maintain one's own mental health and learn to live with signals that it is not good, and then seek help. Broad public health responses to mental health challenges are important. Help must also be provided with the competence to help when the challenges become so great that they limit their lives to individuals. Here, as I said, the government works for several tracks. We're going to have a new public health report that we're going to present to Stortinget next spring. Mental health will also be important. We are working on developing skills both at the health centre and in the provision of birth and maternity care, and we are working on the whole chain of maternity care.
ParlaMint-NO_2022-03-02.ana.ud27e1864	‘In the construction of new maternity wards, Health South-East is planning to lay down the midwifery unit also known as the ABC department. Furthermore, the health-care provider plans to reduce the capacity of the maternity ward because the plans provide for new mothers to return within the first 24 hours. Will the Council of State permit Health South-East to worsen the provision of birth and maternity in this way?’
ParlaMint-NO_2022-03-02.ana.ud27e1871	There will be a repetition of my previous answers to questions about the ABC unit at Oslo University Hospital. Health companies are responsible for proper and sound birth care. I do not want to comment on organisational issues within the OYS from this pulpit. It is clear from my previous answers that Oslo University Hospital is still planning to give midwives a midwife-driven birth offer and the possibility of a physiological birth with the least intervention possible. Every woman will have a custom offer. New OUS foresees delivery sections at New Aker and the New Rikshospitalet. One goal in planning the food supply in new hospital buildings is that all birthers should receive an organized offer based on their own wishes and needs. The course of birth shall be supported by the measures necessary throughout the course and be guided by the patient and the medical need. Health professionals need to move to the birthing person to a greater extent. It'll give you better continuity in the process. There will be feeding rooms and multi-functional rooms for natural births on New Aker. Food establishments will be equipped to implement the necessary measures if epidural anaesthetic or other measures are necessary. In the planned multi-functional rooms, women will also be able to spend the time before the active birth and delivery time in the hospital together with their partner, which is a great many valuers of the ABC offer. All the women who are pregnant will get exclusive in the New OUS. In the case of post-natal hospital discharge, it shall be adapted to the needs of the woman and the newborn child. It shall be decided in consultation with the woman, in line with the Director-General for Health. Therefore, the assessment of the women for whom this is relevant will be individual and requires the construction of a municipal offer from a health centre at the midwife and health sister in the municipality where the woman lives. It shall be safe to give birth. With new hospital buildings and improved facilities, everyone will have access to a birth adapted to their needs. It is Oslo University Hospital, which is responsible for the ABC unit, which assesses the offer and is responsible for professional soundness.
ParlaMint-NO_2022-03-02.ana.ud27e1884	Experience from the hospital at Kalnes has shown that the goal of differentiated offers was not followed up when they merged the midwifery unit with the medical department. In its previous replies, the Council of State has continued to repeat the need for professionals. The closure of the midwifery department in Kalnes may have led to the midwifery crisis that the hospital is experiencing now. Why will the Council of State not oblige the health business to listen to birthing women in the Oslo region and to the professionals who are constantly saying so? Why make the provision of birth and maternity care worse in the current situation?
ParlaMint-NO_2022-03-02.ana.ud27e1889	We're listening to the professionals. If there is one thing in particular the Federation of midwives has been particularly clear, it is that the educational capacity has to rise. They have also been similarly clear that we need to look at the financing of the food supply. They have also shown that there is a need to look more comprehensively and coherently at the provision of birth and maternity services. It is a service provided in a chain — first in the municipality, during pregnancy, looking at a food supply at the specialist health service, and then being followed up by a health centre, a midwife, or the caretaker if necessary. We've taken all of this very seriously. There are clear formulations in the Hurdal platform, and we have a number of initiatives to improve the provision of birth and maternity in the years to come.
ParlaMint-NO_2022-03-02.ana.ud27e1894	The plans for Ullevål Hospital have not only worried birthing women today, tomorrow's birthing women and midwives, they also worry the Municipality of Oslo, who wrote in their response to the OYS's plans: ‘Oslo Municipality is concerned about the strong focus on early release for natives in national leaders. This may, in particular, challenge individual needs and in the light of this equivalent offer. This concern is shared by many professionals’ — and signed. We are familiar with what is on the Hurdal platform, but the plans Health South-East now provide for New Aker hospitals, I am also concerned that the future capacity increase or improvement of the offer will not be possible with the spatial planning of the New Aker hospitals now, when planning for an even smaller maternity ward than the other hospital has. [[President clubs]] [[The President Clubs Again]]
ParlaMint-NO_2022-03-02.ana.ud27e1904	Time's up.
ParlaMint-NO_2022-03-02.ana.ud27e1909	I don't know if I understood a question from the representative, but in the case of hospital discharge after birth, this should be adapted to the needs of the woman and the newborn child, and it should be decided in consultation with the woman, in line with the Health Directorate's supervisor. This is how soundness is ensured, through professional guidance. The assessment of the relevant women is individual and also requires a municipal offer from a health centre or midwife to care for postpartum women.
ParlaMint-NO_2022-03-02.ana.ud27e1917	‘The Swedish Match was rejected by the Health Directorate on its application for authorisation of tobacco-free snuff with nicotine. Whether we should follow the same logic as in this rejection – does the Minister of Health think that we should add sugar in sugar-free showers, or does the Minister of Health agree that it is a health effect that people use tobacco-free snubbing?’
ParlaMint-NO_2022-03-02.ana.ud27e1924	From 1989 until last year Norway had a ban on new tobacco and nicotine products, including tobacco-free nicotine snus. As from 1 July 2021, this prohibition was replaced by an authorisation system. This means that it is prohibited to import or sell new tobacco or nicotine products in Norway which are not authorised by the Directorate of Health. When examining applications, the Directorate-General for Health shall pay particular attention to whether the product in question can be attractive to children and young people or contribute to the start-up or normalisation of tobacco use. I see that it may seem illogical that nicotine snus without tobacco cannot be sold automatically in Norway as it is allowed to sell general tobacco snus. The very purpose of the authorisation system is to limit health damage and dependence resulting from the use of tobacco products and nicotine products. In particular, it is important to protect children and young people from new product types. As a consequence, new products which are potentially less harmful to health than products currently authorised may not be marketed in Norway. The Health Directorate has examined several applications for authorisation of tobacco-free nicotine nut. With regard to the specific matter referred to by the representative Hoksrud, it was rejected by the Directorate for Health with reference to the health risk of the product and the potential appeal in young people. Swedish Match has complained about the decision, and the appeal is pending. It is not natural for a State Council to comment further on this matter before the complaint is settled.
ParlaMint-NO_2022-03-02.ana.ud27e1935	First of all, the picture behind the president shows that tobacco is used, and it's visible, at least in this room. I record that the Council of State refers to the Directorate of Health, which says that there may be uncertainty as to its impact, but it has nevertheless been decided to reject the application. The big question is, why did the Norwegian health authorities open up so that operators could apply for authorisation for new nicotine products when the first Directorate of Health refuses? We have a goal of a tobacco-free Norway in not many years, but we have a system that requires putting tobacco into the snuff so that it can be legal and sold in Norway. It sounds very molar.
ParlaMint-NO_2022-03-02.ana.ud27e1944	If the question is what is moulboic and not, I think the Council of State chooses not to answer that, but I want to contribute some reflections to the representative on the issue. Tobacco snus is allowed in Norway and Sweden for historical reasons, and if there had been a new product today, it is not certain that it would have been legal. It's a thought exercise also the representative Hoksrud should try on. The authorisation system for new products must ensure a balance between the availability of harmful products for established tobacco users while preventing, as far as possible, the introduction of products on the market that contribute to the dependence of new generations on nicotine. That's the balance.
ParlaMint-NO_2022-03-02.ana.ud27e1953	It would be interesting if the government had defined what's molar-like, but the point here and what seems strange, and I think many people don't fully understand, is that when there are products that are definitely better for the health of people, you should nevertheless refuse it. The question is why tobacco-free snuffs are not treated as e-cigarettes. Consideration shall be given to whether the product is likely to have a positive effect on public health. Does the state council think that tobacco-free snuff is more or less harmful than smoking and snuffing with tobacco? That's what's really the essential. If you think that public health is the most important thing, you should make sure that we get people to use products that are less harmful to health, not that you should keep putting what you don't want in this country, tobacco, into the products to get it legally approved.
ParlaMint-NO_2022-03-02.ana.ud27e1962	There is a balance between the availability of harm-reduction products for established tobacco users — those who want to quit and who can switch to a product that does not have nicotine — and at the same time preventing products on the market that contribute to new generations becoming dependent on nicotine, which is the basis. Then the Health Directorate has made an assessment. It disagrees with the representative Hoksrud. The actor has complained about his case, it is a complaint procedure, and then it is not right for me to go deeper into the issue than it is about the approval system for new products.
ParlaMint-NO_2022-03-02.ana.ud27e1969	Question 27 is already answered, and we're going to go to question 28.
ParlaMint-NO_2022-03-02.ana.ud27e1977	‘The Solberg government set up a group that looked at the examination in the context of the renewal, but alternative final assessment forms for the examination were not properly investigated. The examination group pointed out in its final report that the examination should be renewed [[Udir, 2020]] Will the Council of State consider studies of alternative final evaluation methods that are more in line with the requirements of trade renewal and technological developments?’
ParlaMint-NO_2022-03-02.ana.ud27e1984	The examination is an important part of the final assessment in both primary and secondary education. The exam gives students a good opportunity to demonstrate their competence in the subject and to be assessed by an external sensor. Although the exam has been cancelled in the last three years of school, I believe that we will still have the exam in the future. At the same time, it does not mean that I believe that today's examination system is perfect, and I agree with many of the weaknesses pointed out by the representative in his question. In order for the examination to continue to play an important role, it may be necessary to further develop the scheme. Both the number of examinations, the distribution of examinations and alternative assessment forms may be current changes to the scheme. Spring 2021 processed the then deposit Report. St. 21 for 2020-2021, ‘The completion reform – with open doors to the world and the future’. The notification also referred to the assessment field and had several actions as referred to in the final assessment. I have said that the government will continue its efforts to follow up the implementation reform, as well as the measures relating to evaluation. It is the Directorate of Education that is responsible for conducting and developing examinations. The Education Directorate systematically and research-based works to improve and further develop the entire assessment field. They are e.g. developing examinations in the new curricula in the field of vocational renewal in order to safeguard the interests referred to by the representative. They also assess whether there is a need for changes in the upper secondary programme subjects. Following the report of the examination team and the completion reform, the Directorate for Education is also in the process of evaluating and testing new forms of assessment. They see, among other things: on possible tests of written oral examinations, alternatives to the drawing scheme, and long-term tasks as an alternative final assessment. Work on such tests will take place in the long term, but some will also start up during the year. Much professional development is already taking place in the field of assessment. The Education Directorate keeps the Department and me informed about the ongoing work. As the various tests are carried out, we will have better basis for assessing long-term changes in examinations. I am concerned that the students will have the exam in the future, but at the same time I am fully convinced that the scheme we have today can be better.
ParlaMint-NO_2022-03-02.ana.ud27e2001	Thank you for a good answer. It is a pleasure to hear that there is work going on. What is an important point in the discussion of final assessment forms and examination forms is that it is important for students to have a final assessment. But what kind of form it's going to take is an interesting question to ask. In the extension of what the Council of State said about investigations and processes that are going on in the Education Directorate, I thought I would ask if it might be wise, for example. to allow some counties to test out alternative final evaluation methods — if they want to, and if there are any parties in the schools in question — and then examine the experience of such trials. How does the Council of State assess this?
ParlaMint-NO_2022-03-02.ana.ud27e2008	The council should be honest that this is not something I have thought very carefully and thoroughly about. Let me just start with two introductions that in that case we have to think very carefully through. One is that the examination in its nature intends to be equal to everyone, and therefore the challenge of making individual projects for some states. The second is that since a coal is part of an experiment, it will have consequences that will follow them even in further training courses. At the same time, I believe that there is reason to consider different ways of testing different forms of assessment. There must be fair assessment methods, for which the representative is also concerned. There must be assessments that leave the student with an understanding of what he can and cannot do, and there must be evaluation methods that help both the teaching and the results of the student to remain experienced as useful and fair.
ParlaMint-NO_2022-03-02.ana.ud27e2015	Thanks for the answer. The examination has several explicit purposes. Firstly, the examination is intended to provide information on the competence of the students at the end of the training course. In addition, the grades have an important sorting function, so to speak, when the students are going on in the system. However, the examination also has several implicit roles that are not formalised, such as: in the development of assessment practices in general — i.e. not final assessments, but other assessments — or to influence the understanding of the curriculum and thus the teaching of the subject. So in order to discuss the quality and validity of the exam, it's important that it's clearly clear what the purpose of the exam is. Does the Council of State consider that it may be relevant that the development of good assessment practices and the impact on education can also serve as a useful purpose for the final assessment?
ParlaMint-NO_2022-03-02.ana.ud27e2022	I agree that quite a lot of different things in school are characterized by what we eventually end up testing and measuring and, for example, measuring. hold an examination in. We need to be conscious of the changes we are making, both in terms of the tests the students are going through, and in terms of the degree they are going through – how it affects back in terms of the priority of learning forces or resources at school. I'm concerned that we have a system in which we're always aware that exams are going to be an assessment, not part of the training, although having experience and having exams can be useful for people and students leaving school. I think we should be aware of how these things relate, how they shape each other, and I'm open to see if it can be part of the purposes that the representative describes that you can take in. But we're almost allowed to come back to that.
ParlaMint-NO_2022-03-02.ana.ud27e2032	Let me say, before I ask the question, that the situation has changed incredibly much since I wrote the question. So even though perhaps the description of the situation in the question I am asking is out of date, I think it is still relevant. I therefore allow myself to ask the following questions: ‘Millions of people in Ukraine need humanitarian aid and more than 700000 internally displaced. The invasion of Russia gives reason to believe that the number of asylum seekers from Ukraine will increase. The UN High Commissioner for Refugees said on 22 February that they do not yet see any increase in people as refugees from Ukraine, but that the UN is ready to help if the conflict gets worse. That's what it's doing now. How does the Council of State now assess this situation for Norway and what action will the government take to prepare Norway for an increase in arrivals?’
ParlaMint-NO_2022-03-02.ana.ud27e2041	It is as the representative began, quite right that this situation has changed a lot, and it continues to evolve. I appreciate the fact that the question still comes up, because it is nice to have an opportunity to give a brief overview of where we are now, and what the government thinks about it. I would like to begin by saying that the situation in Ukraine is terrible and worrying in very many ways. To me, and as I would also think applies to the rest of Norway, it is very bad to witness what is happening, that European citizens and people in our neighbourhood now have to flee from their homes because they are under attack from a neighbouring country. Norway will stand up for Ukraine and for the Ukrainian people. I'm glad I'm feeling it's a broad political consensus – that there's a broad uprising in the population about that. The government is now working closely with other European and EU countries to find common solutions. Today we see a slight increase in asylum seekers from Ukraine to Norway, but it is still small. UDI has suspended applications for asylum from Ukrainian citizens, and there is no obligation to leave now for Ukrainian citizens who do not have a residence permit in Norway. It's suspended. One of the most important things we do right now is to help Ukraine and the neighbouring countries, who are now receiving very many refugees. We have already decided by the government to provide comprehensive humanitarian assistance to address the immediate needs of the refugees who are now seeking help in Ukraine's neighbouring country, and to Ukraine itself. We have also said that we are positive about contributing to the distribution of refugees within the framework of European cooperation. But it is too early to say how we will do this, it will require close dialogue with other European countries. Among other things, I have to: to Brussels later today to meet the other Ministers of Justice in Europe and discuss these very issues. With regard to migration towards Norway, we closely follow the migration picture around us in the world – of course on a general basis, but especially now in view of what is happening in Ukraine. We have contingency plans to handle an increase in arrivals to us. We also gained useful experience with the asylum crisis in 2015. This has helped us to have a strengthened plan in this area today. In addition, the government is now constantly working to intensify capacity and increase preparedness for a possible large number of arrivals in Norway in different ways, or relocation, in which Norway will participate as part of the European Community.
ParlaMint-NO_2022-03-02.ana.ud27e2054	Thank you very much to the Council of State for your answer. I would like to stress that I too feel that there is a broad political consensus that we are going to stand up for those in Ukraine, and that there is a broad political consensus that we will be willing to accept refugees to Norway, of which it is likely to come. The Council of State was concerned with the same thing as the Prime Minister has pointed out, about European burden-sharing. In the oral question procedure today, the Minister for Foreign Affairs said that the main message from the Norwegian authorities to the European Union is that we are going to be rusty and that we are going to stand up. That, of course, also agrees with the Right. But in what way does the government now plan to anchor it in the Stortinget? And will the government be briefing on the signals that the government is now sending to our European colleagues on how we should deal with the Ukrainian population in the best possible way?
ParlaMint-NO_2022-03-02.ana.ud27e2061	The government is now constantly working to deal with this and find solutions, both the solutions required by us as a nation, and the solutions we need to find as part of Europe. We'll also come to the Storting properly, as far as usual, when it's necessary or right to do it. So it's important for us to have good dialogue with the entire political environment and the Storing. At the same time, the government now has to make assessments running every day, sometimes hour by hour. It is also important that we are aware of and take the responsibility required to be prepared in the event that this situation increases. We want to keep control, and we have.
ParlaMint-NO_2022-03-02.ana.ud27e2066	Thanks for the answer. We look forward to getting involved in that work. Of course, we also want to be constructive in order to get this done in a good way. Another question is how the government might consider saying that there is a mass migration situation that provides collective protection under the Foreign Affairs Act. It's the government that has the authority to decide if you want to do it. I note that some EU countries are calling for this to happen. When does the government plan to take a closer look at this? Is this something you're working on, and when would you possibly want to come back with this?
ParlaMint-NO_2022-03-02.ana.ud27e2073	This is one of the things that we're now evaluating and looking at. One thing is when people come here, another thing is how we're going to meet them, whether it's going to be through the usual asylum institute; are we going to use Section 34 of the Foreign Affairs Act and provide collective protection, are we going to do it in other ways? We must also bear in mind that Ukrainian citizens with biometric passports have visa freedom in Schengen for up to 90 days. So there's a little bit of a different thing that relates here. The government's input to this is that we follow up on what's happening in Europe. There is a warning that there will be a proposal to decide on tomorrow. We want to provide protection while we want to keep in mind that we all hope that this is a temporary situation. We have to do everything we can to help those who are now on the run until they can return home. And we're going to do it in a way that's also manageable for everyone who's going to stand up in Norway.
ParlaMint-NO_2022-03-02.ana.ud27e2081	‘In August 2021, the Government of Solberg presented the Action Plan ‘Freedom from violence’ on the prevention and combating of violence in close relations for 2021-2024. The action plan includes, inter alia, for the first time, a dedicated action area with 20 action points aimed at violence and abuse in Sami communities. The councils have announced that she will come up with a stepping-up plan, without it being clear what it will consist of. In what way will the Council of State follow up the Action Plan ‘Freedom from Violence’ and when will the Council of State present a plan of escalation?’
ParlaMint-NO_2022-03-02.ana.ud27e2086	Violence in close relationships is a serious crime that still affects too many. In the ultimate sense, this is violence that takes life. It gives us a clear commitment to do everything we can to ensure that it doesn't happen. For the government, it is an important task to prevent such crime from occurring and to ensure that individuals are guaranteed security, good legal certainty and available services throughout the country. Research also shows that people with a Sami background, and in particular Sami women, report a higher incidence of physical, mental and sexual violence than persons with a non-Samian background in the same geographical area — and that is also worrying. The government will work for Norway to be a leading country in terms of indigenous rights. We need to ensure good prevention and equivalent assistance services for all victims of violence and abuse, regardless of who you are and where you live. Violence and abuse is a challenge that is best addressed jointly, both in terms of the general challenge it is in society, and in terms of the specific, related to minorities such as the Sami people. For example, I'm going to visit the Sameting during the Sameting plenary session in March, where a main theme is just going to be violence and assault. We will look at the efforts to prevent and combat violence and abuse in Sami communities in the context of the general work against violence and abuse. It shall also be seen in the light of ongoing initiatives to promote language and culture and other work to strengthen mutual trust between the Norwegian authorities and the Sami population and other minorities. In order to ensure an equivalent level of assistance, there is also a need in the Sami area to integrate Sami language and cultural competences into all sectors and at all levels. In the Hurdal platform, the government has announced that the government will present an escalation plan against violence and abuse against children and violence in close relations. The plan shall be drawn up in cooperation between several departments and will have the security and legal certainty of the person concerned at the centre. A comprehensive and coordinated policy against violence in close relationships involves very many sectors, very many establishments, institutions and organisations. We have to work wide. Good interaction between levels of government and between different sectors at State, regional and municipal level is a prerequisite for quality in work and efficient use of resources. In addition, good cooperation between public, private and voluntary actors is important. The action plan against violence in close relations, freedom from violence, including the part dealing with violence and abuse in Sami communities, will follow up until the recovery plan is available.
ParlaMint-NO_2022-03-02.ana.ud27e2105	One of the measures of the Action Plan mentioned by the Council of State is to increase knowledge and competence of Sami languages and culture in the police and to ensure that reindeer police have Sami competence to prevent and follow up cases of violence in close relations. I myself met representatives of the Sameting last week, where they stressed that the follow-up of the areas of action in Sami communities is very important to them, and that extra efforts directed at the reindeer industry are something the industry itself has asked for. One of the challenges facing the Council of State is that in the core Sami regions there is a lack of trust in the Norwegian authorities. It's serious, especially for those who don't get the help they need. So my question to the Council of State is: What action has been taken to follow up the action plan in this area?
