ParlaMint-NO_2022-02-16.ana.ud409e28	The representative, Sivert Bjørnstad, will present a proposal for a representative.
ParlaMint-NO_2022-02-16.ana.ud409e1785	Before the right-wing government introduced the privatisation reform of free treatment choices in 2014, healthcare also used private, through contracts and tenders. It has been the Workers' Party, which I represent, and this government's policy. Now we've been sitting since October, but both government parties have thought that's the way to interact with private people. The free choice of treatment system should really be a hot freedom of establishment for private individuals, because it is not based on needs, it is based on a central authorisation, and if the actors are able to attract customers, they get funding as a suction tube out of the patient’s local hospital. We've seen the consequence of that. It has been evaluated — it has not helped to cut waiting lists, growth in private services has increased, nor has it provided more efficient services.
ParlaMint-NO_2022-02-16.ana.ud409e1790	I am responding to the definition of the evaluation that the Council of State repeatedly comes with. The evaluation of free treatment choices showed that those using the scheme had shorter waiting times. It showed that it contributed to increased freedom of choice and diversity. The evaluation also shows that free treatment options have an effect on waiting time in areas where treatment options providers are located. For the Right, it is not the most important person who provides the healthcare. For the right, it is important that we have short waiting times and that patients receive treatment quickly. In questions earlier in the Questionnaire today, the Council of State has confirmed that 240,000 people are now in line for treatment. What is it that means that officially approved suppliers, such as free treatment choice suppliers, should not be able to participate in and do this important work to ensure that we do not now get increased waiting lists and privatisation by purchasing patients themselves?
ParlaMint-NO_2022-02-16.ana.ud409e1797	It's a bit tempting to ask back: what makes the representative Troen think that 27 free treatment options actors are going to take away from 240 000 patient treatments? It is a simplification of the challenge facing specialist healthcare after two years of pandemic. What is important is that those who have received a treatment course do not receive undue residence in that treatment. We have said very clearly that we want to strengthen public health. Free treatment options actors have mainly established themselves in the central eastern region. We want a health service that is present all over the country, and that gives good and equivalent access to specialists no matter who you are, or what you have in your wallet. It's through the public health service that we reach those goals.
ParlaMint-NO_2022-02-16.ana.ud409e1802	Then we go to question 12.
ParlaMint-NO_2022-02-16.ana.ud409e1810	This question, from the representative Sigbjørn Framnes to the Minister for Transport, will be answered by the Minister for Economic Affairs on behalf of the Minister for Transport, who has a history of disease.
ParlaMint-NO_2022-02-16.ana.ud409e1815	I'm inside as being, and I'm from Stord. Therefore, this is important for me to lift today, so I thank you for a still. ‘Leader of the Transport and Communications Committee, Erling Sande, the Centre Party, recently stated that Hordfast and other major transport projects must be postponed or scaled down to provide sufficient money for road maintenance and racial protection. The progressing party has also noted that the proposal for the investigation and planning of Hordfast was withdrawn last autumn. At the same time, it's only a few months since the Minister of Transport from Stortinget's pulpit said that Hordfast is stuck. Can the Council of State guarantee that Hordfast will be expanded according to the existing plan and trasé elections?’
ParlaMint-NO_2022-02-16.ana.ud409e1824	The Spring Review of NTP 2022–2033 showed a broad political consensus on continued commitment to transport infrastructure. Roads, railways, ports, ferries and airports bind Norway together and are crucial for settlements and jobs across the country. The government's priority is to pursue a transport policy that ensures that people and goods emerge quickly and safely, where good infrastructure provides the basis for living local environments, not least profitable jobs and good migration. I agree that the route and race protection have been down-prioritized by the outgoing right-hand government. For this reason, the Hurdal Platform has established that an obliging road upgrading plan is to be established and that a national implementation plan is to be drawn up for the racial and tailor-made protection of all highways and highways with a high and medium pace. In the case of the individual sections Erling Sande believes that it should be scaled down or postponed on time, it is almost at his expense. The purpose of that play may have been to raise a debate on priorities first. The government, on its side, has been clear and continues to assume that the NTP 2022-2033 gross domestic product notification will be implemented. As the representative is aware, it is also in the Storing Communication that the projects referred to in the Communication should be pursued with a view to increasing societal benefits and reducing costs. Being mentioned in the NTP is, as we know, not a guarantee for the implementation of the project, regardless of, among other things. the cost development of the project and the economic space in other respects. In the case of E39 Stord–Os, i.e. The Hordfast project requested by the representative requires the government to continue its work on the state regulatory plan for this project, based on the adopted municipal plan of concept in the middle. The Swedish Road Administration informs us that the department plans the project in line with the agreed plan. The ETA also informs that the work on cost reductions in the project is and will be done, in line with what they will do. The ETA indicates that they assume that the project could be built on the basis of the NTP 2022-2033 framework.
ParlaMint-NO_2022-02-16.ana.ud409e1835	I thank you for your answer. So Hordfast is one of the NTP's most community-friendly projects. Every day the project is postponed, society loses money and Norway loses money. Therefore, I hope that the government will work hard every day to realize this as soon as possible. Business expectations about conversion are high, which I know that private companies are taking the most seriously. One of the things that industry locally has associated with Hordfast, says to me, is that we should be happy, infrastructure that Hordfast must be built as soon as possible. It is appropriate that the Minister for Industry should now reply, and the question is: Is the Minister in agreement with the business community in this?
ParlaMint-NO_2022-02-16.ana.ud409e1840	Yes, there's a lot in the country that's unconstructed, and I meet a lot of companies, not least in our common region, I'm almost told, who are involved in this project. I know the project quite well myself, and as I said, we are committed to carrying out and continuing investigations in line with what has been announced in the message work. As I mentioned, the team is working further on the project according to the mandate and the framework they have. Of course, we are concerned that good, socially viable road development projects are being carried out across the country that can contribute to the necessary transformation we are going through, not only to ensure our companies' competitive advantages, but also, of course, to facilitate more emission-friendly transport, not least that the whole country can be put into service, and that people can live a good life and get to and from where they are going in an efficient, rational way.
ParlaMint-NO_2022-02-16.ana.ud409e1845	As the Minister is aware, it is important that this is a good thing for citizens, businesses, municipalities and municipalities alike. In Western countries, where I am a daily politician, we are now working on a regional transport plan, where the linking of county road projects to national road projects is important. For Hordfast, there is a cross link that links Austevoll into E39, and Women's Herad through Sunnfast into E39. This is a regionally important project for further building the country together. The play of single representatives from the government party like Sande can call a hair in the government's soup, because I hope the government's goal is to build the country.
ParlaMint-NO_2022-02-16.ana.ud409e1850	Yes, the government's goal is to build the country, and I understand very well that the representative is particularly concerned about this transportation project. That is why I am pleased that I can be here today and answer his question. As I said, the agencies continue to work on this within the framework that is. The project is an important project in the national transport plan, and we will return to Stortinget with further progress when there is more to report in the case.
ParlaMint-NO_2022-02-16.ana.ud409e1858	This question, from the representative Silje Hemdal to the Minister for Transport, is answered by the Minister for Economic Affairs on behalf of the Minister for Transport, and it is drawn up by Helge André Njåstad on behalf of Silje Hemdal.
ParlaMint-NO_2022-02-16.ana.ud409e1863	In the extension of the previous questions, I also have a question that relates to roads in Hordaland, which is important for developments there: ‘Ringvei Øst in Bergen is important for Bergen and Nordhordland and the project linking new K5 Bergen-Voss with E39 Hordfast. In addition, the project solves today's major challenges with queues that everyone in North Hordland and Åsane experiences, and the road network past Grimeswings gets a real standard. The project is important, but there has recently been local political uncertainty. I would therefore like to assure myself of the following: does the Council of State have ambitions to plan and build four-field Ringweg East in Bergen?»
ParlaMint-NO_2022-02-16.ana.ud409e1872	Thank you for the question. There is a broad political consensus on the Stortinget that Ringvei east of Bergen is an important road project. It showed the high-level treatment of the national transport plan for 2022–2033 last spring, where a majority wanted to accelerate the start of the northernmost segment between Wagsbotn and Klauvaneset. A majority also wanted to prioritise previous start-up for other road projects related to this. The government agrees that Ringweg East is an important road project, and we will work towards its realization. At the same time, we need to take into account the whole of the project portfolio in the national transport plan, and even if a majority in Stortinget wants to get started quickly with Ringvei East, it is not a similar agreement on how this should be financed. In examining the State budget for 2022, the Stortinget decided to make an assessment of the road portfolio in the national transport plan to contribute to the effective implementation and follow-up of climate objectives. The review shall also assess road standards, including a higher traffic volume threshold for the construction of four-field roads. The government believes it is important that we make overall assessments of the portfolio, including Ringweg East, and that is what we will return to Stortinget. Last week, the State Road Administration presented its implementation plan for 2022–2027, which shows how the EEA will follow up its national transport plan in the coming years. Here, the State Road Administration has committed itself to continuing the planning of the E39 Vågsbotn–Klauvaneset and to start planning for the E39 Vjøsanger–Arna. This testifies to the good progress made by the State Road Administration in the planning of the precisely Ringweg east. Therefore, the government does not see it as natural now to take new initiatives towards the State Road Administration on Ringvesen east until the assessments of the whole of this portfolio have been made.
ParlaMint-NO_2022-02-16.ana.ud409e1883	I thank the Council of State for your answer. Unfortunately, it creates a little bit of uncertainty when you assume that you need to assess whether or not you need a four-field path. It is the local political debate in Bergen, which has created challenges for the party of state councils in Bergen, which is working with the Greens' Environment Party, but also for an entire region, which is now afraid that it is the Greens' Environment Party that wants to scale down the project, which will get the last words. The state Road Service has been very clear that they want to plan a four-field road, so I hope that it was a delay instead when one said that one should look at the need for a four-field road. Because I think everyone understands that with the corks and the cooling system that you have in Åsane, you need a four-field road to channel the traffic outside the Bergen center and not via the Bergen center. It is also a good project for the environment. So I hope the Council of State can be more clear that we need a four-field road outside the Bergen Centre.
ParlaMint-NO_2022-02-16.ana.ud409e1888	I meant what I said, namely, that the government believes that Ringweg East is an important road project, and we want to work for it to be realized. So that's how, as I said, we also have to take the portfolio into account in the national transport plan and do this in the most appropriate way possible. But that there is a need for this project, that it can be done in a good way, and that it is probably socio-economically profitable and the right thing to do, I think we all agree on. And then the government gets back to Stortinget when it's more to report further progress. But as I said, the state road system is already running. We are told from the department that there is good progress in planning the Ringweg East, and then we choose to believe it.
ParlaMint-NO_2022-02-16.ana.ud409e1895	I think the answer gets better every time, so the last answer might be even better. The only thing is that everyone's a few, I guess that's not right. The Swedish Government's cooperation party in Bergen, the Environmental Party Dei Green, does not want this project, but I think they are quite alone in wanting to reduce car traffic and rather want heavy transport to go through the Bergen centre rather than outside. But the other parties, and the parties in this hall, are some, and I perceive that the state road system is progressing well. So what's important then is that we make sure that it's the Storting that determines the level and dimension of a highway, not local politicians, and then with the Greens at the head of the Environment Party, that wants to scale down. Can the Council of State ensure that when it comes to building a European road, it is the State that defines the standard and defines how many fields we should have and that there is no local policy issue in the Bergen City Council.
ParlaMint-NO_2022-02-16.ana.ud409e1904	I can confirm that the way we adopt and decide on these projects will also be the basis of this project, and there are clear leads both in the NTP and in other policies on how the development is decided. Projects of over 1 billion. kr is going to Stortinget, I am familiar with it, and there are also a number of other leaders there that the government is going to deal with. So I just want to stress again that in Stortinget, and not least among the government parties, there's the excitement that this project will be realized. It works too fully, and we have no reason to believe that progress is slowed down or restricted by other factors.
ParlaMint-NO_2022-02-16.ana.ud409e1911	Then we move on to question 29, which is from the representative Kari Elisabeth Kaski to the Minister of Industry.
ParlaMint-NO_2022-02-16.ana.ud409e1919	‘The Hurdal Platform aims to ‘reduce mining waste through more stringent resource utilisation and refill requirements’. A company has been authorised to establish sea depots in Fördefjorden in order to extract in the mountains. An application has now been submitted from another company to exploit a larger part of the resource without the need for sea deposits. Does the Council of State nevertheless believe that the project of Nordic Rutile AS on Engebøjellet will be in line with the government's own mining objectives?»
ParlaMint-NO_2022-02-16.ana.ud409e1926	Thank you for a good question. The company Nordic Rutile AS wants to extract rutile in Engebøjellet in the municipality of Naustdal in the western counties. The company has worked on this project over a very long time, we get to say. That's why I think it might be useful to recapitulate the process so far. In the Engøs case, the process has taken about 14 years to this day. Work on impact studies, etc. until the regulatory plan took place in the years 2008 to 2011 and was adopted in the municipality in 2011. The decision was then appealed against to the Ministry of Municipal Affairs and Modernisation, which maintained the decision in 2015. The Ministry of Local Government then assumed that the emissions permit and the operating concession required the mining company to work to reduce the need for landfilling of waste masses. In 2015, that is, the same year, Nordic Rutile AS was also allowed to operate under the pollution law, i.e. an emission permit. It was from the Ministry of Climate and Environment. The project and the emissions case were then coordinated. Then, on 1 February 2019, Nordic Rutile AS applied to the Directorate of Mineral Management for an operating concession. That application was submitted at a hearing in August 2019 and the Directorate took a decision granting the operating concession to the company on 17 June 2020. That decision is, as is well known, indicted. The case was transferred to the Ministry of Industry and Fisheries as the Board of Appeal on 9 November 2020, and it is now for our specific assessment and treatment. As the representative writes, there is now another company that says they want to extract the mineral grenade in parts of the area. The question about the rights of the minerals in the Engebø body is also part of an expropriation case that we have to deal with, and that therefore I cannot go further into here. The government is committed to contributing to the creation of the world's most sustainable mineral industry. There is an overall environmental and climate movement, an overall industry, an overall force for the green shift that fully agrees with the government that we need a sustainable extraction of minerals, and that Norway can take on a special responsibility here. Therefore, we want to facilitate the development of nutrition and growth within the framework of the Mineral Law and other relevant legislation, while setting strict environmental requirements to ensure sustainable and efficient extraction. The government has decided and also communicated that we are working on a mineral strategy. I am myself quite closely involved in that work. I have had good meetings with the climate and environmental movement several times, met the industry, met the social partners, met the Sametinget. There are many who have good, strong opinions about this, who have good questions, and who have a lot of professional work to put up with. We are concerned that we should listen to as many actors as possible, because we mean seriously when we say that we should contribute to making the world's most sustainable mineral industry. In this work, of course, we will also look at new measures that can reduce the excess and re-use them for other reasonable purposes. In this work we will also look at the need for landfills and, of course, also how we can increase the environmental sustainability of these industries. Now we're going to do that work.
ParlaMint-NO_2022-02-16.ana.ud409e1947	I thank you for the thorough response from the Council of State. It follows from the legislation we have, in particular the pollution law, that it is not necessary to pollute unless it is strictly necessary. It is not allowed to contaminate. It also follows from the provisions of both the Pollution Act and the Basic Law that administration has a duty to convert in many ways when pollution is no longer necessary. This does not mean that the consideration given to those who have received a pollution permit is irrelevant, but it means that less attention must be given to the development of technology and the emergence of opportunities to avoid pollution. Will these considerations be taken into account in the assessment that the Ministry is now doing, in relation to the matter on the table?
ParlaMint-NO_2022-02-16.ana.ud409e1954	Let me just be quite clear that what I'm saying now is in general, because we have two specific issues – the same thing, but two different assessments, an operating concession complaint and an expropriation case – for treatment. In general, I would say that there should be a high threshold for converting permits. It is about predictability and that business should be able to trust that the administration is responsible for what the administration has said. It is true that Section 18 of the Pollution Act allows for the possibility of conversion in certain cases, for example: where new technologies make it possible to significantly reduce pollution. It is an assessment based on environmental legislation, not the concrete assessment we are now making of the operating concession and, where appropriate, expropriation. When it is said, we will see when we are going through the matter thoroughly. It's like, with all these things, a lot of strong opinions. It's an important matter for many, it's important for local communities, for industry, for the environment and others, and until we've been thoroughly involved, I can't comment on the further process in relation to this matter specifically.
ParlaMint-NO_2022-02-16.ana.ud409e1963	It is also an important issue for the environment. It follows from the Nordic Rutile AS’ own plans that they should exploit approx. 15 pst. by the ore, i.e. the rock that goes to the recovery after the grey mountain is sorted out. Then that other company has applied for a concession where they state that they will benefit from a much larger share. In the circular strategy, the government expresses an ambition for the government to be a leading country in the development of a green circular economy that makes better use of resources. Since it is possible in this case, how should the government follow it up without then taking responsibility for the permits that have not yet been put into effect?
ParlaMint-NO_2022-02-16.ana.ud409e1968	We must definitely follow that in our general industrial policy, and we must follow it up specifically when we are going to revise the Mineral Law. We also need to follow it up specifically in the work on a new mineral strategy. I understand very well the reason and the background to the question, but as I said, we now have these matters for concrete consideration in the department, both on the operating concession and on the expropriation request, it is not natural that I go into it more, other than saying that we are of course making a broad and proper assessment. We are committed to ensuring that all decisions are taken and that all relevant considerations are well-explained and well-managed. At the same time, I – then again in general – stress that there must also be predictability and not least predictability for business. When there are matters that have been going on over a long period of time, a lot of resources have been spent on investigations, and there are many who have been involved in the project, there should also be a threshold if one with permission chooses to change the assumptions for projects. So I'm going to say that on a general basis.
ParlaMint-NO_2022-02-16.ana.ud409e1980	‘Data from telecommunications companies provide information about where you were when you were using a service, who you were talking to, and what equipment you were using. This is valuable information for the military junta in Myanmar. Telenor established in Myanmar in 2014, but now sells out. Reuters and the Financial Times report that the buyers are M1 and Shwe Byain Phyu. The latter have direct links to the military junta in Myanmar. How will the Council of State, in dialogue with Telenor, prevent metadata from Telenor Myanmar from entering into the hands of the military junta?’
ParlaMint-NO_2022-02-16.ana.ud409e1987	Let me first express some general perspective on the situation in Myanmar and on the role of the state as a majority in Telenor. What's happening in Myanmar is terrible, it's really worrying us, and it's terrible for the locals in the first place. For Telenor's part, unfortunately, there are no good solutions, no obvious answers, and the company tells us that they have had to assess and choose between alternatives that can all have serious consequences. In the public debate, some have called for more action from the state as owner, and we are among others. asked to stop the sale or intervene in how customer data is handled. As owner, we have to deal with this matter within the framework set by the Company Law and the Ownership Notice, to which the Stortinget has joined. There is a line to this government, which was followed by the previous government – which almost all governments have followed – and which there are good reasons to follow. Not least when matters are demanding, it is important that we, as owners, handle them within these frameworks. Since the coup last February, we have had twenty meetings and contact points with Telenor, where Myanmar has been the theme. In the dialogue, we have, among other things: have been concerned with how Telenor has assessed and balanced the different options. This also applies to how the company can handle its customers' concerns in the best possible way, given the situation. So to the question, and then I'd like to be completely open and clear: as owner of a telecommunications company with a subsidiary in Myanmar, we can't prevent metadata from getting into the hands of the military junta. It's a very demanding answer to give, but it's a straightforward, honest and clear answer. It is not the State as the owner to decide how the company can best deal with the situation in Myanmar. It is a matter which, under company law, falls under the responsibility of the board of directors and the management, but which we naturally follow closely. Then I want to assure the representative Elvesuen that we will do what we can to help Telenor do its utmost to limit the negative consequences of selling the business. Finally, let me also express here what I have expressed to Telenor several times: the company should, of course within the circumstances permitted, strive to be as open as possible about the balances the company makes in this difficult case. It doesn't change the reality of the matter, but hopefully it can help to create greater transparency and understanding of the situation that we're all in.
ParlaMint-NO_2022-02-16.ana.ud409e2006	I hear a concern, but no action. The smaller the owners – you can read it at Reuters at the latest today – as DNB Asset Management, who say they want to have contact and discuss how personal data should be handled. Storebrand Asset Management says they're asking for a due diligence for human rights, KLP as well. These are owners of 1.64 pst. and 1.34 pst. We have almost 59 pst. Clearly, for the 18 million customers that Telenor Myanmar has, these personal data are a direct threat. They can be used, and they will be used, by the military authorities in Myanmar. Then my question becomes: Has the Council been clear to Telenor that one who owns rather takes the loss and the risk of removing... [[President clubs]] [[The President cut off]]
ParlaMint-NO_2022-02-16.ana.ud409e2013	Western State Council.
ParlaMint-NO_2022-02-16.ana.ud409e2018	I understand the question. I can assure you that there are very many assessments the company is making here, which are about far more than financial gain or financial loss. It's a very demanding situation. There are no obvious answers, obvious solutions, and almost no matter what choice Telenor takes, they could have consequences. It's like operating in a country where there's been a military coup. We just have to deal with that. I can assure the representative Elvesuen that we, as a majority shareholder, of course ask questions to the company. We've had almost 20 meetings on this topic. I have dialogue with the board of directors about this. We assure ourselves that the matter is informed, and that the company makes its own assessments in a good way, but as I said, there is no simple answer, and on the basis of the principles of ownership management and the division of roles in company law, it is the board of Telenor that manages this.
ParlaMint-NO_2022-02-16.ana.ud409e2025	I agree with that, but I would like to believe that a wise management also listens to a majority victory's clear speech, without breaking any principles of it. I wonder: after all, it is a military regime – with its law, which is completely without legitimacy. At the same time, the National Unity Government, the shadow government that also operates in Myanmar, has clearly stated that these personal data must not be transmitted. Then my question is: does the Council of State also have contact with the National Unity Government, and is it trying to support under their role as the legitimate government, which is based on a elected, legitimate government, because that is what we should strive to follow?
ParlaMint-NO_2022-02-16.ana.ud409e2034	Of course, the Norwegian Government and the Ministry of Foreign Affairs have dialogue with many actors and parties. We have, as we know, also received a letter from Duwa Lashi La, and it will be assessed and answered in the usual way. I have to say again that the issue that concerns the matter is about the role of Telenor in Myanmar and what assessments Telenor makes. In that context, it is worth remembering that there are no simple answers to this problem. If it were so that Telenor could ensure that metadata did not go unbalanced, and withdraw in other decent ways with regard to its employees, with regard to the local population — all the considerations that you have to take under such a regime — Telenor would, of course, have chosen that way. Telenor is therefore in a very difficult situation, considering different scenarios, different situations, and we trust that the company will deal with this in the best possible way, or at least bad way, and I can again stress that we are in close dialogue with the company about it.
ParlaMint-NO_2022-02-16.ana.ud409e2044	‘The sale of Telenor Myanmar to the M1 Group of Lebanon is given much attention. Myanmar exile is very critical. At the same time, Telenor has filed a complaint with the OECD National Contact Point of 474 civil law organisations and with the Data Protection Authority for breaches of the GDPR. Complaints are under consideration. The Norwegian State is a majority in Telenor. In what way does the sale of Telenor Myanmar damage the reputation of the company and the Norwegian State, and has the department considered asking Telenor to put the sale on hold until it is clear whether these complaints will arise?’»
ParlaMint-NO_2022-02-16.ana.ud409e2051	As I stated in my answer to the question from the representative Elvesuen just, this is a serious and demanding matter. And yes, the sale of Telenor Myanmar could also have reputational consequences, but it could also have the other options. This is no simple matter. It is, as we know, a military coup in Myanmar. A military coup has very serious consequences for the local population, and it also has very serious consequences for companies, including those in the region. Telenor. There are no good solutions here, no easy solutions, no obvious answers. In this respect, I point out that Telenor has stated that the company has assessed all alternatives, and that selling the business will be the least of the bad option. In such an extreme situation, it is important that the company make thorough assessments, which we, as a majority, have also been concerned about. It is also important for the company, as far as it can be done, to show transparency about the balances they have made. Telenor has been filed with the OECD National Contact Point. That complaint is now pending, and I note that Telenor itself has stated that although the company disagrees with the criticism raised in the complaint, the company will contribute constructively to the process and support the OECD's contact point with facts and clarifications. We are, of course, satisfied with that. The complaint to the OECD National Contact Point is a good example of the dilemmas that arise. Telenor shows that it is precisely the values reflected in OECD guidelines that will be impossible for the company to comply by continuing to operate in Myanmar. And regardless of who buys the company, the new owner must comply with the laws and directives laid down by the regime. As mentioned, in the dialogue with Telenor, we have been concerned about how Telenor has assessed the different options. This also applies to the company’s decision to implement the sale. However, it is not the State that owns it, but the company's board of directors and management that has to decide on such matters. As stated above, this follows company law and recognised ownership principles. In particular on this basis, we have not asked Telenor to wait for the sale until the mentioned complaints have been dealt with.
ParlaMint-NO_2022-02-16.ana.ud409e2066	As the owner and main shareholder of Telenor, the State has a special responsibility to ensure that the company operates in line with data protection law and with an internationally recognised framework for responsible business activities. It is of course worrying that Telenor has now been complained to several authorities in connection with the sale of Telenor Myanmar, and that the sale seems to be made before there is clarity about whether the sale and complaints are carried out in a responsible manner. In reply to my written question submitted on 31 January, the Council of State pointed out that Telenor considered: ‘they have assessed all possibilities and believe that a sale of the establishment is the least unfavourable solution in this situation’. Does the State Council share the assessment ‘the least unfavourable solution’?
ParlaMint-NO_2022-02-16.ana.ud409e2078	Yes, as I said, according to company law, it is up to the board of every company to assess any situation, any disposition, and do what they think is best for the company. That's the way it's been under the previous government, and that's how it is under this government. So, of course, this is a particularly important thing. It affects much more than industrial policy. We're all deeply concerned about the situation in Myanmar. That's also why we've had a number of meetings with Telenor on these questions. That is why I have personally asked a number of questions to the company and the company's board of directors about the handling, and we are of course available to be involved in the assessment. But then it is the company that has to assess what they think is right. They have until now, and still believe that this is the right decision, based on the fact that there are no obvious, easy answers, and that no matter what decision you fall on, it could have negative consequences. It's unfortunately a reality, although of course we don't like the situation.
ParlaMint-NO_2022-02-16.ana.ud409e2085	I had a meeting with Telenor yesterday and, of course, I understand that they are in a very difficult situation, but they are not alone in this matter. Reuters revealed on the weekend that the expected agreement means that there is a local conglomerate with ties to the junta that will take over as a majority victory. At the same time, we read today, as we also heard earlier in the debate here, that several Norwegian investment funds, which are owners of Telenor, are concerned about the handling of personal data for 18 million customers locally. Has the department which owns, in addition to these 20 meetings which have certainly taken place over a long period of time, been informed of the latest developments in this matter? And have any reassessments been made around the sale, now that the company is reportedly sold to a company with assumed close ties to the Junta locally in Myanmar?
ParlaMint-NO_2022-02-16.ana.ud409e2092	Yes, we have had close and good dialogue and have close and good dialogue with the Telenor regime. As I said, I myself have asked a number of questions. This matter also concerns me strongly. At the same time, it is important that we follow the law and principles of our ownership management, and I stress again: there are no obvious and simple answers. I hope I understand that there is some information related to the matter that, in the interests of Telenor's safety and employees in Telenor Myanmar's safety, we cannot now share. Then I register that the company has been asked questions from other owners. I'm glad. Any good owner should ask questions to companies in which he or she holds a holding. I can assure you that we also ask questions, and we follow the situation closely. But we have to deal with the fact that it's Telenor who made the assessments, and Telenor still assesses it so that what has the least negative effect now is going to be a sale of the company.
ParlaMint-NO_2022-02-16.ana.ud409e2103	So now we're going to go from Myanmar to Finnmark: ‘In Repparfjord, it is clear to build up mining operations involving the destruction of moving lodges and calving areas and difficult clean-up operations. In the Fosen judgment on the wind power plant at Storheia, the Supreme Court found that the power plant itself has led to a violation of indigenous rights when it had a significant negative impact on cultural pursuit. Does the Council of State, after this judgment, consider that the permits for mining in Repparfjord are in line with the State's obligations towards the community, and if not, will the Council of State transform the permits?»
ParlaMint-NO_2022-02-16.ana.ud409e2112	Thank you for the question. The Ministry of Economic Affairs and Fisheries took a decision granting the operating concession to Nussir ASA for their project for the extraction of Repparfjord copper body in February 2019. After review, the decision was maintained by the King in the Council of State in November of that year. In the assessment of the concession application, the Ministry stressed that the mining project would strengthen and develop the nutrient base in the north and make a positive contribution to the development of the community. Directly, the project will provide approximately 150 new jobs and provide industrial skills, economic growth, contribute to increased export income and increased value creation. As I answered a question earlier today, this is also part of the green shift, which would require a lot of metals and mineral deposits if we were to get ahead of it and save our climate. There is also strong local political outreach about the project. The operating concession decision made clear that the project would have an impact on the reindeer operators in this area. In order to minimise these consequences, the Ministry set out a number of remedial measures. The main ones are the requirement for the failure of the wolf lumbar spine during the calving period, i.e. from 1 May to 15 June. Another important requirement is the requirement for downgraded operation at the same site throughout the period of reindeer operation using the area. These measures were also initiated to prevent the possible closure of reindeer rentals. The remedial measures were put at the hands of the County of Finnmark, taking into account input from the reindeer grazing districts and the underlying reindeer professional report. The Ministry therefore believes that with the adjustments made, the project will not prevent or significantly reduce the reindeer performance in the district. The operating concession decision also made a thorough assessment of whether the project of Nussir ASA would conflict with Norway's international obligations, including the UN Convention on Civil and Political Rights, SP, Article 27. Here the Ministry assessed the impact of the project over time and the impact of past, present and future actions in the area. The Ministry assessed, inter alia: the amount of land seized by the project and the other measures in the area affecting the operation of the reindeer areas concerned. It was the overall assessment of the Ministry that the impact of the extraction, either alone or in conjunction with other measures in the areas of the reindeer districts concerned, would prevent or restrict the right to cultural exploitation to the extent that there is a breach of Article 27 of the SP. It was assessed that the decision was also not contrary to Norway’s other obligations under international law. As I said instead, access to minerals is an important prerequisite for success in the green shift. We have an ambition to contribute to the creation of the world's most sustainable mineral industry. In this work, of course, we also want to ensure social sustainability, including involvement and care for reindeer and Sami culture. I can assure the representative that Norway's international obligations underpin everything we do.
ParlaMint-NO_2022-02-16.ana.ud409e2131	I thank you for your answer. So after the department has done all of these assessments, we've got the Fosen judgment. So in the area around Repparfjord, there are several families like this, and that can end with reindeer drift because it will be impossible to operate a viable economical reindeer in the area. The state reindeer management, the Norwegian Reinbrutsamers Landsförbund and the Reinbeite district have said that it will be impossible to operate reindeer in the area even if there are conditions for remedial measures. SV believes that there needs to be an ongoing assessment of reindeer site interventions to prevent even more violations – now in the light of the Fosen judgment. How does the government proceed to such a review?
ParlaMint-NO_2022-02-16.ana.ud409e2136	We welcome all the good input into the work on mineral law and strategy, not least how we can jointly realize the ambition to create the world's most sustainable mineral industry. I myself have met with the Sameting, I have met with the environmental and climate movement, the industry and the social partners to get the most input into this work, so on a general basis we would like to take all good input further. Then the representative asked Fiskaa about the Fosen judgment. The Court of First Instance always takes a position on one specific matter, so I cannot comment on the significance of that judgment for any other matter. In principle, each case has to be assessed in concrete terms on an independent basis. All decisions taken by the Norwegian authorities must, as I said, comply with our obligations under international law, which is the basis of all our work. Our assessment is that the grant of an operating concession to Nussir ASA is not contrary to international law.
ParlaMint-NO_2022-02-16.ana.ud409e2143	Once again, I would like to thank you for your answer, and I understand that the Council of State is positive in being able to review it in order to prevent the state from going into even one click when it comes to the rights of indigenous peoples and their ability to practise culture. As the Council of State also refers to, there is a so-called green shift that can have major consequences, not least in indigenous areas. My question is: what kind of strategy does the Council of State have to be able to combine this green shift with the state taking care of the indigenous rights, which we are obliged to do.
ParlaMint-NO_2022-02-16.ana.ud409e2148	Thanks for the follow-up question. Only to be perfectly precise: the decision on the operating concession is final. So I said in general, that of course we accept all the input and would like to involve as many actors as possible in the work on how we can just realize a mineral strategy that takes sustainability seriously. Of course, it's not just about electrification and metals and minerals we need to cut greenhouse gas emissions, it's also about doing this in a socially sustainable way, and it's going to be economically sustainable. It has been very important for me to stress many times, and I do it again, that Norway's international obligations of course lie at the root. There should be no discussion about it. So there's a big question that's raised in the sequence exchange. I don't think there are any simple answers, but I can say that we're going into this with life and light in a proper way, precisely because we're serious, and the world's most sustainable mineral nutrition doesn't come of itself. My goal is to get the environmental movement, the combination, the industry and the parties to the same table, that we can find a strategic way together.
