ParlaMint-NO_2022-01-18.ana.ud386e80	The representative Siv Mossleth, who has been on leave, has once again taken his seat.
ParlaMint-NO_2022-01-18.ana.ud386e1597	It is mentioned that some have been local politicians, and very much of the elderly care actually happens out there in the municipalities, every single day. Today, more than 600 people in their own homes are waiting in hospital, more than 800 are in short-stay and waiting in long-term accommodation, and more than 300 are waiting for short-stay stays. Then we have untreated applications in the municipalities as well, where someone has probably applied because the need for hospitalization is present. It is important to have a goal that older people should stay at home as long as possible. But it must not be that you live at home just because there is no economy in the municipality to get at a higher level of care. We have good home services, mostly, in all municipalities around Norway. It is a challenge — it was also mentioned here — to form teams so that the elderly recognize those who are coming, and not to repeat their story about what is important in everyday life. When it comes to food and nutrition, there are many municipalities that deliver food to the elderly, and there are also some municipalities that have user representatives, elders' representatives, slightly different names, who write letters to everyone and tell them what opportunities exist in the municipality when you get up to a certain age, and what services you can order, among other things. food from different kitchens – for nutrition is very important. What may be a big challenge in municipalities is that there are very many older people who are alone. When you're alone, you might feel good and safe, but many people who are alone don't have relatives and networks around them either. Then the challenge starts to get a little bit bigger. Now I'm talking about those who are up at a certain age, and not all their lives, but this is about how we're going to build an old age care together in the future that's safe and good for all those who get older, so that you don't worry about getting older, and those who end up alone don't worry too much. We need to do something about the waiting lists of nursing homes, furnished dwellings and nursing homes for the older part of the population. It cannot be the case that there are long, long waiting lists, among other things. in nursing homes and you also do not have nursing homes. That's the reality out there. The reality is also that you build new hospitals, and then you put down the old ones, which are no longer modern. That means you don't get the net supply of nursing homes, and you don't really get to meet the time we've started on where there are more and more elderly people who need help. You can look at the nursing homes, once you get in and get a long-term place. Nutrition is said to be very important – it is very important that the elderly get food and nutrition. But I think you also have to go into how we carry out the meals in the nursing homes, because very many people are so sick that they are bedridden and get food on the night table, and if you are tired and perhaps have started to see bad etc., it may be that the appetite increases if you get some help around the meal. Just conversation and help to eat will perhaps improve the problems of nutrition for very many. Some municipalities carry out the reduction of food losses in their nursing homes. I think that's nice, but maybe you're going to focus more on the older people actually getting the food they're serving, so that they get smaller through it. A big challenge, regardless of the party, is how, in the years to come, we're going to get the care of the elderly, as someone says, to shine. Then it might have to be taken a little bit bigger than those that've been taken so far, whether they're called Life all their life or we have other approaches to it. This is important for the sitting government, it's been important for the previous government, and it's going to be important for the next government.
ParlaMint-NO_2022-01-18.ana.ud386e1615	I think the previous speeches ended well. What I want to say is that the intention and the desire for everyone is that everyone should live as long as possible, as best they can. I think we should conclude with that. So it's called that the name doesn't blush anyone. But it seems that the name for some is something more important than for others. I have read the reason why the municipality of Kinn received the Life Prize in 2020. That's a good reason. I'm a little surprised that the representative Svardal Bøe highlights one point, that they've got a community coordinator. It tells me that there may be a little bit less action-oriented, a little more bureaucratic, when we are so concerned about the names of the reforms. The municipalities need the right of self-determination, as the representative Myrvold also said, and they need money. They don't just need orders, and they don't just need good thoughts. Then there's a point the council didn't mention, that's on the Hurdal platform, that I want to stay at half a minute. That's what it says that we're going to have one door to municipal services. For the last 14 days, I've moved for my grandmother. She broke the pelvis at the age of 97 and entered the nursing home. She was taken care of well, but the fact that she was going to bring all the things with her demanded that I take a phone call to the service office, I had to pick up a phone to the social alarm centre, I had to talk to the help center and the home hospital, and then I had to help my mother report the move. It's pretty demanding to get old, and as a society, we too have to do something about it. I think we'll deal with all the good that's being said here, if we don't get too attached to the vocabulary. It's a municipal economy that's going to be in place. New farm nursing home in Sandefjord was mentioned. They have a very nice chef and very good items. What is important is that the municipalities have to be able to have a kitchen. Municipalities must be able to have a kitchen and a building up of their old-age care that is actually adapted to the municipality. Sandefjord is the largest municipality in Westfold and one of the largest in the country and is very centralized in the case of hospitals. It's all right for Sandefjord, because it wants Sandefjord. In Larvik, which is a significantly larger, long-term municipality, to the extent that the municipalities of Vestfold are long-distance, decentralised nursing homes have been chosen. It's because those who are in a nursing home can be closer to their relatives. It is essential that the municipalities themselves be allowed to decide. Otherwise, the Council of State has explained well what the government will do. We need to strengthen the local economy, we need to increase basic manpower, and we need to have an older policy based on overall quality objectives instead of stopping time. Among other things, we're going to get an organisation out in the municipalities, through increased resources and self-determination, which gives firm teams around the individual patient. That's what ensures a long and good run and life for the older.
ParlaMint-NO_2022-01-18.ana.ud386e1634	First of all, I would like to thank you for the debate. It's an important topic. We're getting older in our country, we've already passed one million pensioners, and this is a challenge that we have to solve. I would like to see more parties and more representatives taking part in this debate, which concerns a lot of people in our country. When we talk about older people, there are people who can and will contribute to society, either by contributing through working life and by being able to stand longer in work, or by being able to participate in meaningful activities such as voluntary work. That is why we need to create a more age-friendly society, just to make sure that older people are also seen as valuable contributors to society. So the debate says that much of what happens in the care of the elderly is happening in the municipalities, and that's quite right. That's why Life's whole life reform is so important, because it builds some national frameworks, for example. with support apparatus and with a grant scheme that can be used for this, because it is precisely the municipalities that have a lot of responsibility. But what's so important about this reform is that it takes what works in the municipalities, puts it into a system and helps municipalities learn from each other. So there's no doubt that economics is a factor that matters, and I could like to go into a debate with the representative Red on local economy. But the $2.50. kr that has been granted is not earmarked for parental care. This can be applied by the municipalities to what they want. When we ran, we made sure that several municipalities came out of ROBEK, and we also made sure to strengthen the municipal economy, which has given the municipalities more space for action. When I hear the government parties talk about living the whole life reform, it seems like it's about scraping a little bit of the reform and choosing to scrape some of the ideas around it because it's not their own ideas. I think that's a little sad, because the most important thing here is to be the starting point for patients and how we contribute to a good ageing policy and good care for the elderly in the municipalities. The right-hand side is still going to focus on this area. We want to pursue a policy that contributes to an active, safe and worthy old age, and where we actually contribute to creating a more age-friendly society and giving people the opportunity to, for example, longer working life. It was a pity, therefore, that the proposal we made to increase the age limit from 70 to 72 years, which would have allowed those who could and would have contributed, to continue to work, was withdrawn by the government. So life throughout life is important, and we're going to follow up on the reform further. It is not just about social coordinators or grant schemes, but it is actually an incredibly important part for municipalities to be able to carry out activities and communities that ultimately contribute to better care for the elderly and a more age-friendly society.
ParlaMint-NO_2022-01-18.ana.ud386e1657	I would also like to thank for a good debate and thank the interpellant, who gave me the opportunity to talk more about the follow-up to the Life-Reform, but also about the Hurdal platform's efforts in the elderly and the way we intend to implement it in the Støre-Registration. Age is wealth and disease. These were the words of King Harald when he visited the municipality of Malvik, the rapporteur, Ingrid Aune. In Malvik they have built hospitals and cultural houses – continuously. There's a bridge on the second floor, where you can fold into a bed, or get with a wheelchair or a scooter to the cultural offer. There are activities offered twice a week, such as physical activity, trim, training or theatre, two places in the municipality – it is a decentralised municipality – for all over 60 years. They also offer localisation technology, or GPS, which the previous red-green government provided was a legal tool to be able to use to protect the elderly with dementia. They offer all citizens over 60 years of age about the type of hand-held technology, regardless of diagnosis. On 17 November, Health and the Ministry of Care distributed the Life Prize at the Life Conference. It didn't go to Kinn this year, it was last year – no, now I said this year and last year, and then we've come to a new year. But by 2021 it was distributed to the Municipality of Oslo, and the reason for the jury was that Oslo is working very systematically and well to create more social meeting places. Oslo also has offers of the dining friend in collaboration with the volunteering of older residents, who can then eat the food they receive from the municipality, along with some. And here we know, among others. from the examinations carried out, that eating with someone leads to scraping the sauce from the plate, while getting the food that you are going to prepare yourself and eat alone, often leads to a warehouse with the elderly who increases weekly. We intend to strengthen the care of the elderly in our time of government, and I would almost say that it is strawman argumentation to incite words like «to scrape». It is only the representative Svardal Bøe who has spoken about, no Labour Party representatives, in this debate.
ParlaMint-NO_2022-01-18.ana.ud386e1668	Then your case no. 5 is over.
ParlaMint-NO_2022-01-18.ana.ud386e1686	Should Norway, as a nation, be able to facilitate existing and new industries and contribute actively and effectively to the green shift, it is necessary to adapt and develop the instrument. Here I am thinking in particular of proactive work in the regions to develop attractive areas for the localization of industry. Siva has a great potential to play an important role in that work. The Ministry of Industry and Fisheries established Process21 and the mandate was to develop a strategy for a competitive and sustainable process industry in Norway in 2050 and beyond. In this work, it is made clear that host making activities are about being an attractive location for business. The process21 identifies a number of factors that are defined as a competitive advantage when attracting and developing the industry of the future and also makes a division of responsibilities between the different levels of government in Norway visible. It is particularly important that a local and regional capacity to proactively develop an attractive alternative to industrial location. To a large extent, this will be about, among other things. the organisation of industrial and industrial land, including associated infrastructure, renewable energy in process management infrastructure, etc. In order for a municipality or region to be able to offer operators location, a regulation and clearance of the area must be made, which means that municipalities receive significant upfront costs. It will be several years before one can be sure to obtain a refund. Even for municipalities with areas that make it possible to undertake such projects, the economic priority will nevertheless make it difficult to throw itself at it. This makes it difficult to facilitate an increased level of industrial development and at the desired pace. In the winter of 2021, Norsk Hydro, Equinor and Panasonic went out and asked for offers on a larger plot for a possible future battery production. In addition to 80 municipalities, a little over 100 alternatives were presented. It is known that for many of the options, there were no land acquisitions, regulatory plans, impact assessments, etc. This showed, however, that Norwegian municipalities want to facilitate future industry, but realizing plans is a challenge. In order for Norwegian municipalities and local communities to facilitate future industrial development, it is necessary to assist the municipalities in this work, in particular with risk-absorbing through participation in such development. In June last year, several power operators sent together a letter to the Business Committee and the Energy and Environment Committee proposing to strengthen Norway as a Green Industry Host Nation. The proposal is about what can be done in concrete terms in order to establish a self-funding system where, through Siva, the State takes the risk by clarifying the industrial areas, including plant contributions and the necessary investments to clear up the land. In the 1980s and 1990s, Siva carried out important expansions of industrial facilities leased out to industry. The positive short-term and long-term effect this has had on nutrition development in many places, such as Narvik, Harstad, Sandness Lake, Namsos, Malm, and Verdal cannot be overestimated either. I was a little anxious and excited to read the Hurdal platform and that the government would strengthen Siva, for example. by assessing the liability of the company for the spraying of industrial premises. It's promising words from a government that hasn't always followed business. One possible model is that Siva Eiendom, by adjusting its mandate, is given the task of contributing together with Norwegian municipalities to the development of attractive industrial facilities, both land, infrastructure and other necessary factors, in order to form, in aggregate, an alternative location with a high hosting activity. But there are of course more models here. That's why I'm excited about what the Council of State answers to my question: what does it mean when the government wants to strengthen Siva, and what does he think about setting up a new programme to develop business and industry in municipalities that need a small handshake in order to offer the necessary space for tomorrow's industrial adventure?
ParlaMint-NO_2022-01-18.ana.ud386e1703	First, I want to thank the interpellant for addressing an important topic, for which I know that the interpellant also has a strong commitment to. Norway, with our world-leading competence and our natural resources, has enormous opportunities if we seize them. The government has strong ambitions and clear objectives that Norway should be an industrial driver even in a renewable future, when oil and gas revenues will gradually become less dominant. That's why the government has said very clearly, from the moment we joined, that we want to be involved in speeding up new industrial projects throughout Norway. Together with business, we need to cut emissions, create more jobs, increase investment in the mainland and, above all, increase exports. This is possible together, and it will also contribute strongly to financing our common well-being in the future. So the Hurdals platform says that the state is going to engage more, and that we're going to deploy the entire industrial policy toolbox. This means, among other things: that we contribute capital and other risk relief where necessary to trigger sustainable investment, sustainable production and new, profitable jobs. This is why the government is also working on the creation of new green value chains, export industries in Norway, such as the United Kingdom. carbon capture and storage, battery production and hydrogen. Good access to capital, land, infrastructure, energy supply, test facilities and, above all, links to relevant environments of expertise and networks are crucial if we are to succeed in these ambitions. Infrastructure, understood as good industrial and commercial premises with access to electricity, road, track or quay facilities, is crucial for industry. This is precisely why it is a separate point on the preparation of industrial sites in our government statement. For many companies throughout Norway and not least industrial environments around our country, the property activities of the state-owned company Siva, the Society for Industrial Growth, have played an important role for many years. Through its property activities, Siva is an important instrument for the development of businesses and business and knowledge environments throughout the country. The investment in the properties of Sivas shall contribute to lowering the barriers to the establishment of new industries and industrial environments where the usual market mechanisms make this particularly demanding, including for major industrial property projects. Therefore, Siva plays an important role in many places already in the country, and not least the company has a particular responsibility to promote growth in the districts. In order to promote this, county councils also have an important role to play as sponsors of Siva. Today, Siva has a number of industrial buildings and innovation buildings across the country. The company manages and develops a property portfolio with a total value of 4.8 billion. kr, where over 40 pst. are made up of industrial buildings. By 2020, Siva completed the construction of a new industrial building in Northern Ireland, to provide an example. In the Hurdal platform, the government points to the link between infrastructure and industrial construction and puts this in context with the expertise and experience of Siva in the development and organisation of industrial sites throughout the country. The preparation of industrial sites will involve cooperation and involvement with both regional and local forces in each municipality. With that in mind, I have asked Siva to make an assessment of how best to organise work on the preparation of industrial premises. I look forward to returning to Stortinget in an appropriate manner once this assessment has been made. There are many things that need to be put in place to succeed with a green industry that can assert itself in global competition and at the very top of the world. One of them is a good and effective tool, and the functions of today's Siva play an important role in this whole. At the same time, we also have a responsibility for constantly looking for development and improvement opportunities, so that we have an instrument that works closely and actively with industry and business, for the best of our country.
ParlaMint-NO_2022-01-18.ana.ud386e1722	I thank you for the answer so far. Knowing what works best in the different regions is not always easy to fully understand. Therefore, it is important that the regions have the opportunity to report back on issues that can separate them. In Norway, geography and demography can represent far different challenges from region to region. If it had been up to the Left and possibly the partner of the Workers' Party in the government, the county council would probably have had a greater responsibility for Siva per day. It would have given each region an opportunity to focus on their own challenges and opportunities and on how to address them. It is also in line with the report of the Hagen Committee from 2018 on the decentralisation of tasks from the state to the county municipalities. As we know, the contracting authority responsible for the Sivas incubation scheme and business environment programme was transferred to the eleven new counties to strengthen the regional governance of industrial development. It was a small – but important – grip, for the regions themselves are best aware of regional needs and assumptions. This is also true of the development of industrial areas and local industrial development. And that the regions themselves can take much more of the grips that are exciting in terms of both challenges and opportunities, we see that we have great opportunities to rigge based on the fact that the counties have increased, and can more fully assume the responsibilities of contracting entities for more programmes. I have to admit that the government's eagerness to break up several of the new regions, and the fact that they in addition grant hundreds of millions of dollars for that purpose, throws a dark shadow across that debate. Because while I think that the new regions could have been at the root of creating a new programme that focuses on land development and industrialisation, I understand that the way the government now wants to limit the power of the regions will make this more difficult. That the government will spend millions of dollars breaking up the new regions, while we're talking about how to get the regions to take on more responsibility, becomes a paradox for me. I allow myself to quote from the report of the Hagen Committee: ‘The Committee considers that the new counties have a functionality and size that facilitates greater responsibility for the policy area for county municipalities. The regional reform means that the state of the competitive area is growing and that the management of instruments should be more likely to be added to the regional level. The Committee therefore considers that alternative ways of organising the instrument should be provided for.’ Although I am not going to raise a debate on regional reform, it would have been interesting to hear what the Minister of Industry thinks that county municipalities should be able to have the contracting authority responsible for a new Siva programme – or the possibility of weakening the possibility of a reversal going on.
ParlaMint-NO_2022-01-18.ana.ud386e1740	If we're to succeed in the enormous problems that we have in front of us, which are perhaps the biggest change in Norwegian business ever, we need all forces to move in the same direction. Then we need the municipalities to be on track, we need the regions and the states to be on track, we need the state to set up, and we need our instruments to be well rigged for the decade we're in, and meet the needs of business. After joining as Minister of Industry, I set a goal that I would visit 100 companies throughout Norway by Christmas. The fasite became 120 companies, and I met everything from small startups to heavy industrial locomotives, everything from family-owned companies to listed companies and entrepreneurs. I asked the companies two questions. Point 1: How can the state and the municipalities, together with the regions and the business community, play teams to accelerate the green shift? And point 2: What low - hanging fruits do you see? We got an incredible amount of good recordings. It testifies to a business life that's on, that's creative, that has ideas, and that wants to take the green changed from word to action, but that also needs more help to get it to. That's why we've started a number of projects and we'll come up with more initiatives for the Storting to just make sure that we're playing along, and that all of our instruments are moving in the same direction. This means, among other things: that we are looking at the whole of our tool to see if it is best suited to the challenges and opportunities that our business is actually facing. We are currently looking at One way in, which is to make it easier for businesses to get in touch with the right tool, and we are looking at how the various existing actors can best be used to promote the objectives of our business policy: increasing investment in the mainland, increasing exports, creating more jobs and cutting greenhouse gases with both hands. In that work, we also look at how Siva can best be arranged. The government of Solberg provided for a larger division of tasks, where the programme activities of Siva were proposed to Innovation Norway. That's what our government asked Stortinget for us to take a pause of thought around, just because we want to see the tools in context and how we can judge them in the best possible way so that we can adapt to the world we live in, and the opportunities and challenges our business faces. We look forward to coming back to Stortinget with an assessment of this and other questions when we get to work on it, and when we are ready to present a review. Then, as I said, we have asked Siva to look at how they can take on greater responsibilities and tasks in the preparation of green industrial spaces.
ParlaMint-NO_2022-01-18.ana.ud386e1753	Then there will be a pause in the debate until after the vote at 3 p.m.
ParlaMint-NO_2022-01-18.ana.ud386e1765	The size is then ready to go to voting on the matter no. 1 to 4 on today's map.
ParlaMint-NO_2022-01-18.ana.ud386e1777	A total of seven proposals have been put forward during the debate. It's proposed no. 1-4, from Bård Hoksrud on behalf of the Advance Party, Socialist Left Party, Red and Patient Focus proposal No 5, from Marian Hussein on behalf of the Socialist Left Party, Red and Patient Focus proposal No 6, from Bård Hoksrud on behalf of the Progress Party and Red proposal No 7, from Bård Hoksrud on behalf of the Progress Party Proposal No. 7, from the Progress Party. The proposal reads as follows: ‘The government asks the government to ensure that Aker Hospital is planned and built on the basis that Aker Hospital will become a local hospital for the whole of Groruddalen.’ Red and Left have already given their support to the proposal.
ParlaMint-NO_2022-01-18.ana.ud386e1809	Proposal No. 6, from the Progress Party and Red. The proposal reads as follows: ‘The Government asks the Government to launch a new investigation and review of the hospital options for the Oslo region, including the preservation of Ullevål hospitals.’ The Left and the Greens support the proposal.
ParlaMint-NO_2022-01-18.ana.ud386e1826	Proposal No. 5, from the Socialist Left Party, Red and Patient Focus. The proposal reads as follows: ‘The government asks the government to ensure that Aker Hospital is soon to become a fully-fledged local hospital for all parts of Groruddalen.’ The Group of the Greens/European Progressive Democrats, the Left and the Greens/European Greens/European Free Alliance support this proposal.
ParlaMint-NO_2022-01-18.ana.ud386e1843	Proposal No. 1-4, from the Progress Party, Socialist Left Party, Red and Patient Focus. Proposal No. 1 sounds: ‘The government asks the government to launch an investigation into alternative development options for Oslo University Hospitals and come back to Stortinget with proposals for setting up an investigation into the location options.’ Proposal No. 2 sounds: ‘The government is asking the government to stop the closure of Ullevål Hospital and not to start the sale of Ullevål.’ Proposal No. 3 sounds: ‘The Government is asking the Government not to allow the demolition of existing functional building stock at Oslo University Hospital.’ Proposal No. 4 sounds: ‘The government asks that Gaustad Hospital be maintained as a treatment institution for patients in mental health protection and interdisciplinary specialised drug treatment, and that plans to prevent the use of the hospital and hospital areas for this patient group be stopped.’ The Left and the Greens have already given their support to the proposals.
ParlaMint-NO_2022-01-18.ana.ud386e1885	The Progress Party, the Socialist Left Party, the Red Party, the Left Party, the Green Party and the Patient Focus have warned that they will vote against it.
ParlaMint-NO_2022-01-18.ana.ud386e1904	A total of eight proposals have been put forward during the debate. It's proposed no. 1-3, by Marian Hussein on behalf of the Socialist Left Party and the Red Party proposed no. 4-8, from Seher Aydar on behalf of Red Proposal No. 8 from Red. The proposal reads as follows: ‘The government is asking the government to return to the revised national budget for 2022 with proposals to introduce free dental treatment for persons aged 19 to 21 and to introduce half the price of dental treatment for persons aged 22 to 25’.
ParlaMint-NO_2022-01-18.ana.ud386e1928	Proposal No. 7 from Red. The proposal reads as follows: ‘In the future, the government is asking for more price-regulating rates of dental benefit, so that the grant follows price developments.’ The Left, the Environment Party The Green and Patient Focus have already supported the proposal.
ParlaMint-NO_2022-01-18.ana.ud386e1945	Proposal No. 4-6, from Red. Proposal No. 4 sounds: ‘The government asks the Government to present a dental reform for the Storting, which includes a concrete plan for phase-in of a universally available dental service over four years, where teeth are treated as part of the body and dental services are treated in the same way as other health services, for example through a self-promotion scheme.’ Proposal No. 5 sounds: ‘The government is asking for proposals to extend the public dental service by gradually including new groups and extending the funding of dental care by the public interest.’ Proposal No. 6 sounds: ‘The government is asking the government to propose to reverse the deterioration in the system for covering expenditure on dental regulation for children and young people and to strengthen the social welfare system for people in need of orthodontics.’ The Green and Patient Focus Environment Party has already supported the proposals.
ParlaMint-NO_2022-01-18.ana.ud386e1974	Proposal No. 2 and 3 from the Socialist Left Party and the Red Party. Proposal No. 2 sounds: ‘The government is asked to consider measures that can help prevent the centralisation and closure of public dental clinics, including addressing the need for measures that could increase recruitment in professional and geographical areas where it is currently difficult to obtain qualified personnel. In this context, the government is also asked to introduce measures relating to the purchase of dental clinics by major chains.’ Proposal No. 3 sounds: ‘The government asks the government to assess how the competence of dental nurses can be more widely used for prevention and for solving dental-related tasks, e.g. in nursing homes and in nursing homes.’ The Green and Patient Focus Environment Party has already supported the proposals.
ParlaMint-NO_2022-01-18.ana.ud386e1999	Proposal No. 1, from the Socialist Left Party and the Red Party. The proposal reads as follows: ‘The government asks the government to ensure that the dental reform to equalise dental services with other health services contains measures to ensure that increased public funding goes to the health service as a whole, including the assessment of a ceiling on publicly funded dental health.’ The patient focus has alerted support for the proposal.
ParlaMint-NO_2022-01-18.ana.ud386e2023	The Environment Party The Green and Patient Focus have warned that they will vote against.
ParlaMint-NO_2022-01-18.ana.ud386e2042	A total of four proposals have been put forward during the debate. It's proposed no. 1-3, from Bård Hoksrud on behalf of the Progress Party, Socialist Left Party, Red and Patient Focus proposal No 4, from Marian Hussein on behalf of the Socialist Left Party, Red and Patient Focus Proposal No. 4, from the Socialist Left Party, Red and Patient Focus. The proposal reads as follows: ‘The government is asking for immediate suspension of all sales of hospital property currently used for mental health protection and multidisciplinary specialised drug treatment, pending a public inquiry related to the need for and future organisation of hospital treatment for patients in mental health protection and multidisciplinary specialised drug treatment.’ The Left and the Greens support the proposal.
ParlaMint-NO_2022-01-18.ana.ud386e2068	Proposal No. 2 and 3 from the Progress Party, Socialist Left Party, Red and Patient Focus. Proposal No. 2 sounds: ‘The government asks the government to address the need for long-term places in the field of mental health protection, with particular attention to the need for hospital facilities for patients judged to be subject to mandatory mental health protection.’ Proposal No. 3 sounds: ‘The government is asking to evaluate the funding model for mental health protection and multidisciplinary specialised drug treatment and the funding model for new hospital buildings, which makes it attractive for health businesses to sell the land currently used for mental health protection to finance new hospital buildings.’ The Greens have already given their support to the proposals.
ParlaMint-NO_2022-01-18.ana.ud386e2092	Proposal No. 1, from the Progress Party, Socialist Left Party, Red and Patient Focus. The proposal reads as follows: ‘The government is asking the government to set up a wide range of professionals to assess the benefits and disadvantages of a large-scale co-location of mental health protection and multidisciplinary specialised drug treatment with somatic care in the major hospitals.’ The Left and the Greens support the proposal.
ParlaMint-NO_2022-01-18.ana.ud386e2116	The Progress Party, the Socialist Left Party, the Red Party, the Green Party and the Patient Focus have warned that they will vote against it.
ParlaMint-NO_2022-01-18.ana.ud386e2135	The representative, Carl I. Hagen, has asked for the floor for an explanation of vote.
ParlaMint-NO_2022-01-18.ana.ud386e2140	This concerns proposal No. 1 from the Christian People's Party, that is, a loose proposal. It sounds like this: ‘The government is asking, in the light of the National Audit Office’s investigation, for rapid follow-up to the recommendations of NOU 2021: 11 Self-government is well-groomed, to ensure real equality and to prevent unfortunate differences between municipalities in the service and relief provision of persons with disabilities.’ I would recommend that the Group of the Party of European Socialists vote in favour because the operative part is to follow this up quickly. The setting itself is divided into a majority, a large minority and a small minority. So following up the recommendation is very uncertain. Because I interpret it as asking for a rapid follow-up from the government, I would recommend our group to vote in favour – i.e. for the fastest possible follow-up of the whole NOU, regardless of what you land on in terms of content.
ParlaMint-NO_2022-01-18.ana.ud386e2150	During the debate, Mr Vervik Bollestad put forward a proposal on behalf of the Christian People's Party. The proposal reads as follows: ‘The government is asking, in the light of the National Audit Office’s investigation, for rapid follow-up to the recommendations of NOU 2021: 11 Self-government is well-groomed, to ensure real equality and to prevent unfortunate differences between municipalities in the service and relief provision of persons with disabilities.’ Right, Progress Party, Left, Red and the Greens have already supported the proposal.
ParlaMint-NO_2022-01-18.ana.ud386e2179	Continued with handling of
ParlaMint-NO_2022-01-18.ana.ud386e2195	We go back to case no. 6th@item: inlistbox The first speaker is Solveig Vitanza.
ParlaMint-NO_2022-01-18.ana.ud386e2200	I think it's an important theme the representative of Skelstad is addressing in the interpellation. As the Hurdal platform points out, our government has clear targets of getting more jobs, creating activity across the country, increasing exports and cutting greenhouse gas emissions. We will do this by pursuing an active and forward-looking industrial policy. This means that the government needs a powerful toolbox there, among other things. the instrumentation plays an important role. The industrial tool consists of different instruments and actors that together contribute to solving different problems. Siva facilitates innovation through the development and financing of national innovation and industrial development infrastructures. Siva has a special responsibility to promote growth in districts. Through its property activities, Siva is an important instrument for the development of businesses and business and knowledge environments throughout the country. I myself have had the pleasure of working at two different knowledge parks where Siva has been one of the owners, and I have learned how the community contributes to cooperation and exchange of knowledge and innovation. In its last draft budget, the Solberg Government and the Minister for Industry of the Left proposed cutting the allocations for the cluster programme and the incubation programme, as well as breaking up the activities of Siva. This was also not the first time the Solberg government proposed to cut Siva. The left now calls for a plan, but there was no credible plan on how to remove a number of tasks and fragmentation of Siva, as the Left started in government, would strengthen Norwegian innovation and business development. Many of these took strongly against, for example. with concerns that the proposal would lead to fewer industrial start-ups. It is striking that the party now, in opposition, has finally got its eye on the important role Siva plays in Norwegian innovation and industrial development. The analysis by the Statistical Centre finds the positive effects of the Sivas incubator programme and business environment programme on income, number of employees, value creation and productivity. I would also like to refer to the letter from the Norwegian Business Administration that we received now, in connection with this interpellation debate. They underline the importance of Siva's participation in the business environment and its continuation. They indicate that Siva knows the business environment well, and that there is a link that gives positive results for both parties. Our government is clear that Norway should also be an industrial driver in a renewable future. Norwegian enterprises must have good, predictable and stable framework conditions that facilitate investment and further growth. In this context, we also need to review the whole of the economic instrument. This was the Council of State in the past. This is done with a view to simplifying, making available, adapting and strengthening the mechanisms to help Norwegian businesses grow and develop in line with future challenges and opportunities. This review will, of course, take place in close dialogue and in partnership with companies, trustees, counties and municipalities.
ParlaMint-NO_2022-01-18.ana.ud386e2219	Right will thank the interpellant for lifting an interesting and important case. We share the idea that Norway's potential is great, and that there are many possibilities. I am – perhaps not surprising – somewhat more skeptical to the Minister of Industry to let the state take over in areas where private everything delivers well. What we need in the field of interpellant promises is to make it easier for companies to navigate faster to create forward-looking jobs. I have not counted how many times both entrepreneurs and start-ups have reported that the tool tool is a young and difficult to deal with. The tool tool must help create jobs and values. Here, Siva has an important role to play, and especially for the business community in the districts. I'm excited about what a review of the tool tool will contribute to.
