ParlaMint-NO_2015-12-02.ana.ud524e26	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2015-12-02.ana.ud524e1228	I am pleased that the representative Toppe, who originally asked this question, is concerned with public information. So am I. Therefore, it is a goal for me to formulate myself so that even those without medical training and knowledge of health care understand what I mean. I have mentioned the specialisation in surgery in a chronicle in the Official Journal of Bergen. There I insisted that surgeons who are specialists in one area do not perform operations on another. To explain this, I wrote that a surgeon who is a specialist in brains does not operate on the knees. The representative asks me if anything like this has happened. As indicated by the chronicle, it does not take place at all. I have, however, let me tell you that bar cutters and field cutters may have performed both amputations and some dubious surgery in the skull. That happened hundreds of years ago. The representative and I probably agree that it has raised the quality of patient treatment that doctors, and after each surgeon, have replaced both the field cutters and the bartenders. The fact that the surgery has become more specialised means that we can treat diseases and damage it previously did not exist for treatment. It also enhances the quality of patient treatment. But we have to use the surgeons' skills wisely. In 14 of our small hospitals, an average of one acute surgery per day is performed. Should the hospitals in the future be fully prepared for this one intervention, it requires at least one orthoped, a gastrointestinal surgeon, a urologist and a gynecologist on watch 24 hours a day. It is not wise to use a high level of competence in my view. In the chronicle in Bergen's Official Journal, I did not just write about operations of brains and knees. I wrote that the specialization in surgery makes it increasingly demanding to maintain emergency surgery in the smallest hospitals. I also wrote that we need both the small and the large hospitals in the future, but that we have to distribute the problems between them wisely. I am pleased that the representative does not ask questions about any of this. I choose to interpret this as a support for my analysis. It is positive that politicians are concerned with public information and rhetoric. In my view, in the debate on the future of hospitals, rhetorical instruments are too often used to create fear over understanding. Even I prefer the last one.
ParlaMint-NO_2015-12-02.ana.ud524e1245	It was a comprehensive answer, and as the Council of State knows, we also have representatives for a short time, and that's why we're trying to have precise questions. It is expected that the Council of State is among the foremost leaders in our healthcare system, and in order to have respect and a natural authority, a leader must stand up with honest reasoning — not dictate a story that is to be led by a layman to believe in. Now, what the Council of State says is that what it says is that a surgeon who is a specialist in brains, does not operate in the knee, is what happened several hundred years ago. That's not the situation today. My simple question then is: I am sorry for the state council's statement, among other things. in Bergen’s Official Journal, which seduces people to believe that what was happening several hundred years ago is also the situation in Norway today?
ParlaMint-NO_2015-12-02.ana.ud524e1254	No, I have absolutely nothing to complain about, because what is in my chronicle is absolutely correct. Surgeons specializing in brains don't operate on knees. In fact, this helps to make people understand the challenge we face, namely that the specialisation in medicine presents us with challenges in how to secure and maintain a decentralised hospital structure with good quality in the future. So this is good public information. But I'm writing it in such a way that even those who don't have deep insight into health care or are doctors themselves should be able to understand the point. I think that is definitely the case. National health and hospital plan is just about being honest and clear on the challenges we face, and I had hoped that there would be more of them in this discussion. I record that some others very much want to play on fear and fear, instead of having a fact-based discussion.
ParlaMint-NO_2015-12-02.ana.ud524e1261	Where some others are going, I don't know, but I'm assuming that the Council of State can verify that. What's at the heart of this is that there's an impression that's wrong. If we go to the heart of the matter, it's probably that only about one in ten people who are admitted and assessed by surgeons are operated on. There's a lot of intrusions that a surgeon assesses without operating, because it's not broken. There are many bad-in-gastric cases considered by a surgeon without an operation. It is a fact that professionals who are in service today tell us when we contact reality. And it is very special that the fact – in the name of public information – is not communicated by the Council of State, on a topic that is so important. My question is, is the Council of State of the opinion that it is misleading to count operations to show what a surgeon is doing on guard?
ParlaMint-NO_2015-12-02.ana.ud524e1270	No, it's not misleading at all, because as I said in my original answer: it's maintaining a broad emergency surgery preparedness – as long as I realized that the representative fully agrees with me in the description that a surgeon is no longer one type of surgeon. So even though the representative himself is talking about surgery as if it were a general term, it is not. I see that the Central Party has no particularly pressing interest in providing information about people. When up to three to four different surgical specialities are needed to maintain a standby in a hospital, it is not uninteresting what the three to four specialities do — with the resources and competences it requires — over the course of the day, in view of the long-term challenges facing healthcare.
ParlaMint-NO_2015-12-02.ana.ud524e1282	‘More chicken producers face an uncertain period of time. Many are at risk of losing their livelihood. It should be noted that the absence of market regulation, increased concession limits, overproduction and unstable markets make the situation too much uncertain. The Council of State has argued for «to release the farmer», which shall involve maximum deregulation and increased concession limits in general and in particular for the production of chicken. Is the situation of several chicken producers ‘to release the farmer’ or ‘to release the farmer in a free fall’?’
ParlaMint-NO_2015-12-02.ana.ud524e1289	The market regulation for chicken was adopted in the agriculture agreement with both agricultural organisations in 2005 and implemented with effect from 2007 by the government of Stoltenberg. The background was, among other things, that production was already in practice governed by contracts between the chicken producers and the recipients. The increase in concessional limits from 1 January 2015 was necessary to ensure that the production of chicken can also be full-time professional production and not only be forced to be an additional production. Concession limits are a structural instrument, not a market regulation instrument. However, raising concession limits will always create some dynamism in the transition to the new limits – new limits that will lower production costs. The chicken market has grown strongly over a long period of time. The main cause of the problems we see in the chicken market now is the huge failure in demand that followed the attention to antibiotic resistance. In a short time, demand failed at over 15 pst. Such a demand failure was unpredictable and would be very demanding to deal with in all markets. It is up to the industry itself to regulate the production capacity of that market demand. It is, of course, demanding and has consequences for many producers. But it is my opinion that the industry itself has more effective means of making rapid adjustments now than if we had had traditional market regulation in the chicken sector. Then the probability is great that because of the late scaling down of the production we would have had large and unmanageable surplus stocks, which would burden the manufacturers further. The chicken market is now in the process of recovering, and this will ease the situation somewhat. To run an industry means a continuous need to work on development, risk and competition in the market. Structural changes are part of it and have been going on for decades in agriculture. I trust that the recipients and suppliers will find the best solutions to adapt their capacity to market demand.
ParlaMint-NO_2015-12-02.ana.ud524e1302	That was an expected answer. But it's not to hide that when you increase the concession limits as significantly as it was done, and as I understand it is part of the Council of State's ideology and approach to just food production, it could cause problems for some. Fortunately, the demand side seems to be improving, which the Council of State was also in on, but combined with the grips that are now taking place, among others. of the industry and where one has increased efforts in the vertical — and how many seem to merge its pilings, whether in terms of production, distribution, retailing — there is a cause for concern. And I would like to ask the Council of State first whether one is concerned, and whether the department and government look at measures to address the major problems that some people now have, especially those related to chicken production?
ParlaMint-NO_2015-12-02.ana.ud524e1307	We've examined this a little bit with the concession limit and how many have now started building larger chicken houses, and it's about three to four pieces on the iron. So if it was this concession limit that was the cause of the problems in the chicken market, then I find it hard to find the explanation there. What is certain and, as I hear, the representative of Storberget also agrees, is that the most significant demand failure is. Then I understand very well that there is a difficult situation for them. I also know that one in the Nortura system now assesses the situation that is up in Trøndelag, where we know that there are some producers that are insecure. But then we need to increase production in agriculture, for example. on bovine animals, so that those who wish to engage in farming have further opportunities, if not for chicken production.
ParlaMint-NO_2015-12-02.ana.ud524e1314	First of all, I asked if the Council of State was willing to look at any remedial measures for those in a difficult situation. That question is still there. However, since the Councils of State have introduced this into other types of production, such as: cattle, I would like to take a somewhat general approach towards this kind of policy, which we know the government and the Council of State are anxious about, where deregulation, increased quotas and to a large extent release is medicine. Now you can't see that it has at least some disadvantages in a country where we want food production across the country and to exploit all the areas that we can, and if we're going to be able to increase food production, it seems that we also have to bring with us the little ones. Does not this policy in its entirety make it difficult to achieve the goal in Norway to increase food production and also to maintain housing and other side-effects of an efficient and good agricultural policy?
ParlaMint-NO_2015-12-02.ana.ud524e1321	It is that we could have produced much more chicken in Norway and increased food production if we consumers wanted to eat more chicken. Therefore, we consumers will determine how much chicken is produced in Norway at all times. In advance of making changes to the concession limits for chicken, I talked to farmers who today were forced to work part-time outside the farm because they could not live off the chicken production. There were producers who thought to be full-time farmers, to be at home on the farm and to have full-time chicken production. I think it is important to facilitate more full-time farmers, that more people should be able to live from farm resources, and that is why this is an important step towards doing so. This is a market governed by contracts between manufacturers and suppliers, and I am therefore confident that good solutions will be found. It's also done in the situation that's now, where we see that you have had to scale down production for a period, and then I hope it will recover as a result of us consumers eating more chicken again.
ParlaMint-NO_2015-12-02.ana.ud524e1334	‘In order to combat dangerous climate change, research efforts need to reverse renewable energy, climate technologies and climate solutions. Norway and other rich countries with strong research institutions must take primary responsibility for this effort. This suggests that Norway should increase its research efforts in the field of climate change and go ahead of the international for a green shift in research efforts. Research must be shifted from fossil energy to climate solutions. What is the strategy of the Council of State to contribute to this?’
ParlaMint-NO_2015-12-02.ana.ud524e1341	Let me first mention that the Prime Minister, in the context of the Paris climate summit, has said that Norway will double the efforts in the field of renewable energy research by 2020, from 1.1 billion. kr today to SEK 2,2 billion. kr per year. It has, among other things, The Minister for Climate and Environment and the Minister for Oil and Energy has written about today. The government fully agrees that we need to take a great deal of responsibility in global efforts to acquire the knowledge needed to combat climate change. Climate, environment and energy are one of the priority areas of the Long-term Research and Higher Education Plan, and growth in funds has been the focus of priority. At the same time, the government has even higher ambitions than that. In further work on the follow-up to the long-term plan, we will assess the scope of stepping up research on low-emission development. As regards the relationship between research on environmentally friendly energy and research on petroleum, the Research Council has since 2009 spent at least twice as much money on research on environmentally friendly energy as on petroleum research. In 2015, the targeted budget for environmentally friendly energy in the Research Council was 780 million. kr, while the budget for petroleum research was 366 million. kr. Climate research is also part of many of the tools of the Research Council, both targeted initiatives, open programmes and programmes for purposes other than climate and energy. Together, the Research Council financed in 2014 climate-relevant research projects for 1.3 billion. kr. This government has also been particularly concerned with strengthening the open areas of the Research Council. For example, we have an escalating research infrastructure plan of 400 million. until 2018. The last call was the largest ever, and the award was given a green profile — including several major projects on environmentally friendly energy. It is also worth mentioning that the EU Programme Horizon 2020 prioritises research on climate and energy. Norwegian researchers are good at the competition for funds in this area. Petroleum research is a much lower priority in the EU. Finally, I would like to remind you that not everything in petroleum research is bad for climate and the environment, to say it that way. Part of the research is environmental-oriented, e.g. research on energy efficiency improvement and the reduction of the environmental impact of the sector. In summary, I believe that we have a reasonable balance in prioritising research funds between important topics.
ParlaMint-NO_2015-12-02.ana.ud524e1362	When it comes to the balance between our joint effort in the field of petroleum research and renewables, Norway currently spends around 5.7 billion. NOK in petroleum-rate research, which is then 11 pst. of the total Norwegian research effort. For comparison, 3 pst is going to go. of the total renewable energy effort. That means that the balance is very biased and then mostly on petroleum straight research. In the state budget submitted by the government for 2016, they propose that the maximum individual investment, Demo 2000, which is a petroleum-retarded investment, should be increased by 100 million. kr – and is the largest. My question remains: how will the Minister achieve a better balance between petroleum-oriented and renewable research?
ParlaMint-NO_2015-12-02.ana.ud524e1369	In terms of the figures the representative uses, I almost have to ask if there are total research efforts or if there is public research effort. If you look at the Research Council, which is, of course, the most important instrument of research, the figures are as I explained. So we're going to use more. We prioritise climate energy higher than we prioritise petroleum research. At the same time, in a situation where the oil price has fallen dramatically, we also believe that petroleum research and further development of the oil and gas industry in Norway should be pursued, but the great investment and the greatest money within the Research Council's programmes go to climate and environmental research. And what the Prime Minister announced here today is that our ambition is to double that wager from today's, approx. billion, by 2020.
ParlaMint-NO_2015-12-02.ana.ud524e1376	That's $5.7 billion. kr it's about, is the total effort – that is, both public and private. This is going to be over 4 billion. kr from industry itself within the very good frameworks to invest in research that petroleum industry has through our tax laws. In addition, an expert group set up by the Council of Technology has proposed to phase out public support for petroleum research and to turn the funds over to renewable energy and other future solutions. So there's no reason why the public feed is heavily involved in petroleum research when this is a mature industry that finances this to a large extent itself, and we also see that it is so extremely unevenly distributed. And petroleum exploration is one of our all, the biggest research arenas in Norway. Does the Minister not see the need to shift public efforts from petroleum research to the underfunded research on renewable energy?
ParlaMint-NO_2015-12-02.ana.ud524e1381	It was clarifying. It is clear that oil and gas are a major industry in Norway, and we want them to spend money on research, we want them to spend money on development. But it probably does that if you add up to private and public research, petroleum research gets bigger. My point was that in the areas for which we are responsible through the Research Council, climate and environmental research is clearly a priority over petroleum research. I believe we should continue to do that, and that is one of the reasons why the Prime Minister announces a strong commitment to climate and environmental research and not a similar commitment to petroleum research. But we also have to be able to have two thoughts in our head at the same time. I think the representative of the Joint Association, the LO organisation that organizes a lot of those who work in Norwegian oil and gas industries, puts it quite well in the class struggle when he calls SV's policy on desktop policy – simply because SV here ignores important jobs and also advice from trade unions.
ParlaMint-NO_2015-12-02.ana.ud524e1386	Then there's case no. 2, today's regular Question Time, over.
ParlaMint-NO_2015-12-02.ana.ud524e1399	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
